
[00:00:00.000 --> 00:00:02.000]   Previously on Grace TV...
[00:23:59.880 --> 00:24:00.880]   I'm going to be a part of the church.
[00:24:00.880 --> 00:24:01.880]   I'm going to be a part of the church.
[00:24:01.880 --> 00:24:02.880]   I'm going to be a part of the church.
[00:24:02.880 --> 00:24:03.880]   I'm going to be a part of the church.
[00:24:03.880 --> 00:24:04.880]   I'm going to be a part of the church.
[00:24:04.880 --> 00:24:05.880]   I'm going to be a part of the church.
[00:24:05.880 --> 00:24:06.880]   I'm going to be a part of the church.
[00:24:06.880 --> 00:24:07.880]   I'm going to be a part of the church.
[00:24:07.880 --> 00:24:08.880]   I'm going to be a part of the church.
[00:24:08.880 --> 00:24:09.880]   I'm going to be a part of the church.
[00:24:09.880 --> 00:24:10.880]   I'm going to be a part of the church.
[00:24:10.880 --> 00:24:11.880]   I'm going to be a part of the church.
[00:24:11.880 --> 00:24:12.880]   I'm going to be a part of the church.
[00:24:12.880 --> 00:24:13.880]   I'm going to be a part of the church.
[00:24:13.880 --> 00:24:14.880]   I'm going to be a part of the church.
[00:24:14.880 --> 00:24:15.880]   I'm going to be a part of the church.
[00:24:15.880 --> 00:24:16.880]   I'm going to be a part of the church.
[00:24:16.880 --> 00:24:17.880]   I'm going to be a part of the church.
[00:24:17.880 --> 00:24:18.880]   I'm going to be a part of the church.
[00:24:18.880 --> 00:24:19.880]   I'm going to be a part of the church.
[00:24:19.880 --> 00:24:20.880]   I'm going to be a part of the church.
[00:24:20.880 --> 00:24:21.880]   I'm going to be a part of the church.
[00:24:21.880 --> 00:24:22.880]   I'm going to be a part of the church.
[00:24:22.880 --> 00:24:23.880]   I'm going to be a part of the church.
[00:24:23.880 --> 00:24:24.880]   I'm going to be a part of the church.
[00:24:24.880 --> 00:24:25.880]   I'm going to be a part of the church.
[00:24:25.880 --> 00:24:26.880]   I'm going to be a part of the church.
[00:24:26.880 --> 00:24:27.880]   I'm going to be a part of the church.
[00:24:27.880 --> 00:24:28.880]   I'm going to be a part of the church.
[00:24:28.880 --> 00:24:29.880]   I'm going to be a part of the church.
[00:24:29.880 --> 00:24:30.880]   I'm going to be a part of the church.
[00:24:30.880 --> 00:24:31.880]   I'm going to be a part of the church.
[00:24:31.880 --> 00:24:32.880]   I'm going to be a part of the church.
[00:24:32.880 --> 00:24:33.880]   I'm going to be a part of the church.
[00:24:33.880 --> 00:24:34.880]   I'm going to be a part of the church.
[00:24:34.880 --> 00:24:35.880]   I'm going to be a part of the church.
[00:24:35.880 --> 00:24:36.880]   I'm going to be a part of the church.
[00:24:36.880 --> 00:24:37.880]   I'm going to be a part of the church.
[00:24:37.880 --> 00:24:38.880]   I'm going to be a part of the church.
[00:24:38.880 --> 00:24:39.880]   I'm going to be a part of the church.
[00:24:39.880 --> 00:24:40.880]   I'm going to be a part of the church.
[00:24:40.880 --> 00:24:41.880]   I'm going to be a part of the church.
[00:24:41.880 --> 00:24:42.880]   I'm going to be a part of the church.
[00:24:42.880 --> 00:24:43.880]   I'm going to be a part of the church.
[00:24:43.880 --> 00:24:44.880]   I'm going to be a part of the church.
[00:24:44.880 --> 00:24:45.880]   I'm going to be a part of the church.
[00:24:45.880 --> 00:24:46.880]   I'm going to be a part of the church.
[00:24:46.880 --> 00:24:47.880]   I'm going to be a part of the church.
[00:24:47.880 --> 00:24:48.880]   I'm going to be a part of the church.
[00:24:48.880 --> 00:24:49.880]   I'm going to be a part of the church.
[00:24:49.880 --> 00:24:50.880]   I'm going to be a part of the church.
[00:24:50.880 --> 00:24:51.880]   I'm going to be a part of the church.
[00:24:51.880 --> 00:24:52.880]   I'm going to be a part of the church.
[00:24:52.880 --> 00:24:53.880]   I'm going to be a part of the church.
[00:24:53.880 --> 00:24:54.880]   I'm going to be a part of the church.
[00:24:54.880 --> 00:24:55.880]   I'm going to be a part of the church.
[00:24:55.880 --> 00:24:56.880]   I'm going to be a part of the church.
[00:24:56.880 --> 00:24:57.880]   I'm going to be a part of the church.
[00:24:57.880 --> 00:24:58.880]   I'm going to be a part of the church.
[00:24:58.880 --> 00:24:59.880]   I'm going to be a part of the church.
[00:24:59.880 --> 00:25:00.880]   I'm going to be a part of the church.
[00:25:00.880 --> 00:25:01.880]   I'm going to be a part of the church.
[00:25:01.880 --> 00:25:02.880]   I'm going to be a part of the church.
[00:25:02.880 --> 00:25:03.880]   I'm going to be a part of the church.
[00:25:03.880 --> 00:25:04.880]   I'm going to be a part of the church.
[00:25:04.880 --> 00:25:05.880]   I'm going to be a part of the church.
[00:25:05.880 --> 00:25:06.880]   I'm going to be a part of the church.
[00:25:06.880 --> 00:25:07.880]   I'm going to be a part of the church.
[00:25:07.880 --> 00:25:08.880]   I'm going to be a part of the church.
[00:25:08.880 --> 00:25:09.880]   I'm going to be a part of the church.
[00:25:09.880 --> 00:25:10.880]   I'm going to be a part of the church.
[00:25:10.880 --> 00:25:11.880]   I'm going to be a part of the church.
[00:25:11.880 --> 00:25:12.880]   I'm going to be a part of the church.
[00:25:12.880 --> 00:25:13.880]   I'm going to be a part of the church.
[00:25:13.880 --> 00:25:14.880]   I'm going to be a part of the church.
[00:25:14.880 --> 00:25:15.880]   I'm going to be a part of the church.
[00:25:15.880 --> 00:25:16.880]   I'm going to be a part of the church.
[00:25:16.880 --> 00:25:17.880]   I'm going to be a part of the church.
[00:25:17.880 --> 00:25:18.880]   I'm going to be a part of the church.
[00:25:18.880 --> 00:25:19.880]   I'm going to be a part of the church.
[00:25:19.880 --> 00:25:20.880]   I'm going to be a part of the church.
[00:25:20.880 --> 00:25:21.880]   I'm going to be a part of the church.
[00:25:21.880 --> 00:25:22.880]   I'm going to be a part of the church.
[00:25:22.880 --> 00:25:23.880]   I'm going to be a part of the church.
[00:25:23.880 --> 00:25:24.880]   I'm going to be a part of the church.
[00:25:24.880 --> 00:25:25.880]   I'm going to be a part of the church.
[00:25:25.880 --> 00:25:26.880]   I'm going to be a part of the church.
[00:25:26.880 --> 00:25:27.880]   I'm going to be a part of the church.
[00:25:27.880 --> 00:25:28.880]   I'm going to be a part of the church.
[00:25:28.880 --> 00:25:29.880]   I'm going to be a part of the church.
[00:25:29.880 --> 00:25:30.880]   I'm going to be a part of the church.
[00:25:30.880 --> 00:25:31.880]   I'm going to be a part of the church.
[00:25:31.880 --> 00:25:32.880]   I'm going to be a part of the church.
[00:25:32.880 --> 00:25:33.880]   I'm going to be a part of the church.
[00:25:33.880 --> 00:25:34.880]   I'm going to be a part of the church.
[00:25:34.880 --> 00:25:35.880]   I'm going to be a part of the church.
[00:25:35.880 --> 00:25:36.880]   I'm going to be a part of the church.
[00:25:36.880 --> 00:25:37.880]   I'm going to be a part of the church.
[00:25:37.880 --> 00:25:38.880]   I'm going to be a part of the church.
[00:25:38.880 --> 00:25:39.880]   I'm going to be a part of the church.
[00:25:39.880 --> 00:25:40.880]   I'm going to be a part of the church.
[00:25:40.880 --> 00:25:41.880]   I'm going to be a part of the church.
[00:25:41.880 --> 00:25:42.880]   I'm going to be a part of the church.
[00:25:42.880 --> 00:25:43.880]   I'm going to be a part of the church.
[00:25:43.880 --> 00:25:44.880]   I'm going to be a part of the church.
[00:25:44.880 --> 00:25:45.880]   I'm going to be a part of the church.
[00:25:45.880 --> 00:25:46.880]   I'm going to be a part of the church.
[00:25:46.880 --> 00:25:47.880]   I'm going to be a part of the church.
[00:25:47.880 --> 00:25:48.880]   I'm going to be a part of the church.
[00:25:48.880 --> 00:25:49.880]   I'm going to be a part of the church.
[00:25:49.880 --> 00:25:50.880]   I'm going to be a part of the church.
[00:25:50.880 --> 00:25:51.880]   I'm going to be a part of the church.
[00:25:51.880 --> 00:25:52.880]   I'm going to be a part of the church.
[00:25:52.880 --> 00:25:53.880]   I'm going to be a part of the church.
[00:25:53.880 --> 00:25:54.880]   I'm going to be a part of the church.
[00:25:54.880 --> 00:25:55.880]   I'm going to be a part of the church.
[00:25:55.880 --> 00:25:56.880]   I'm going to be a part of the church.
[00:25:56.880 --> 00:25:57.880]   I'm going to be a part of the church.
[00:25:57.880 --> 00:25:58.880]   I'm going to be a part of the church.
[00:25:58.880 --> 00:25:59.880]   I'm going to be a part of the church.
[00:25:59.880 --> 00:26:00.880]   I'm going to be a part of the church.
[00:26:00.880 --> 00:26:01.880]   I'm going to be a part of the church.
[00:26:01.880 --> 00:26:02.880]   I'm going to be a part of the church.
[00:26:02.880 --> 00:26:03.880]   I'm going to be a part of the church.
[00:26:03.880 --> 00:26:04.880]   I'm going to be a part of the church.
[00:26:04.880 --> 00:26:05.880]   I'm going to be a part of the church.
[00:26:05.880 --> 00:26:06.880]   I'm going to be a part of the church.
[00:26:06.880 --> 00:26:07.880]   I'm going to be a part of the church.
[00:26:07.880 --> 00:26:08.880]   I'm going to be a part of the church.
[00:26:08.880 --> 00:26:09.880]   I'm going to be a part of the church.
[00:26:09.880 --> 00:26:10.880]   I'm going to be a part of the church.
[00:26:10.880 --> 00:26:11.880]   I'm going to be a part of the church.
[00:26:11.880 --> 00:26:12.880]   I'm going to be a part of the church.
[00:26:12.880 --> 00:26:13.880]   I'm going to be a part of the church.
[00:26:13.880 --> 00:26:14.880]   I'm going to be a part of the church.
[00:26:14.880 --> 00:26:15.880]   I'm going to be a part of the church.
[00:26:15.880 --> 00:26:16.880]   I'm going to be a part of the church.
[00:26:16.880 --> 00:26:17.880]   I'm going to be a part of the church.
[00:26:17.880 --> 00:26:18.880]   I'm going to be a part of the church.
[00:26:18.880 --> 00:26:19.880]   I'm going to be a part of the church.
[00:26:19.880 --> 00:26:20.880]   I'm going to be a part of the church.
[00:26:20.880 --> 00:26:21.880]   I'm going to be a part of the church.
[00:26:21.880 --> 00:26:22.880]   I'm going to be a part of the church.
[00:26:22.880 --> 00:26:23.880]   I'm going to be a part of the church.
[00:26:23.880 --> 00:26:24.880]   I'm going to be a part of the church.
[00:26:24.880 --> 00:26:25.880]   I'm going to be a part of the church.
[00:26:25.880 --> 00:26:26.880]   I'm going to be a part of the church.
[00:26:26.880 --> 00:26:27.880]   I'm going to be a part of the church.
[00:26:27.880 --> 00:26:28.880]   I'm going to be a part of the church.
[00:26:28.880 --> 00:26:29.880]   I'm going to be a part of the church.
[00:26:29.880 --> 00:26:30.880]   I'm going to be a part of the church.
[00:26:30.880 --> 00:26:31.880]   I'm going to be a part of the church.
[00:26:31.880 --> 00:26:32.880]   I'm going to be a part of the church.
[00:26:32.880 --> 00:26:33.880]   I'm going to be a part of the church.
[00:26:33.880 --> 00:26:34.880]   I'm going to be a part of the church.
[00:26:34.880 --> 00:26:35.880]   I'm going to be a part of the church.
[00:26:35.880 --> 00:26:36.880]   I'm going to be a part of the church.
[00:26:36.880 --> 00:26:37.880]   I'm going to be a part of the church.
[00:26:37.880 --> 00:26:38.880]   I'm going to be a part of the church.
[00:26:38.880 --> 00:26:39.880]   I'm going to be a part of the church.
[00:26:39.880 --> 00:26:40.880]   I'm going to be a part of the church.
[00:26:40.880 --> 00:26:41.880]   I'm going to be a part of the church.
[00:26:41.880 --> 00:26:42.880]   I'm going to be a part of the church.
[00:26:42.880 --> 00:26:43.880]   I'm going to be a part of the church.
[00:26:43.880 --> 00:26:44.880]   I'm going to be a part of the church.
[00:26:44.880 --> 00:26:45.880]   I'm going to be a part of the church.
[00:26:45.880 --> 00:26:46.880]   I'm going to be a part of the church.
[00:26:46.880 --> 00:26:47.880]   I'm going to be a part of the church.
[00:26:47.880 --> 00:26:48.880]   I'm going to be a part of the church.
[00:26:48.880 --> 00:26:49.880]   I'm going to be a part of the church.
[00:26:49.880 --> 00:26:50.880]   I'm going to be a part of the church.
[00:26:50.880 --> 00:26:51.880]   I'm going to be a part of the church.
[00:26:51.880 --> 00:26:52.880]   I'm going to be a part of the church.
[00:26:52.880 --> 00:26:53.880]   I'm going to be a part of the church.
[00:26:53.880 --> 00:26:54.880]   I'm going to be a part of the church.
[00:26:54.880 --> 00:26:55.880]   I'm going to be a part of the church.
[00:26:55.880 --> 00:26:56.880]   I'm going to be a part of the church.
[00:26:56.880 --> 00:26:57.880]   I'm going to be a part of the church.
[00:26:57.880 --> 00:26:58.880]   I'm going to be a part of the church.
[00:26:58.880 --> 00:26:59.880]   I'm going to be a part of the church.
[00:26:59.880 --> 00:27:00.880]   I'm going to be a part of the church.
[00:27:00.880 --> 00:27:01.880]   I'm going to be a part of the church.
[00:27:01.880 --> 00:27:02.880]   I'm going to be a part of the church.
[00:27:02.880 --> 00:27:03.880]   I'm going to be a part of the church.
[00:27:03.880 --> 00:27:04.880]   I'm going to be a part of the church.
[00:27:04.880 --> 00:27:05.880]   I'm going to be a part of the church.
[00:27:05.880 --> 00:27:06.880]   I'm going to be a part of the church.
[00:27:06.880 --> 00:27:07.880]   I'm going to be a part of the church.
[00:27:07.880 --> 00:27:08.880]   I'm going to be a part of the church.
[00:27:08.880 --> 00:27:09.880]   I'm going to be a part of the church.
[00:27:09.880 --> 00:27:10.880]   I'm going to be a part of the church.
[00:27:10.880 --> 00:27:11.880]   I'm going to be a part of the church.
[00:27:11.880 --> 00:27:12.880]   I'm going to be a part of the church.
[00:27:12.880 --> 00:27:13.880]   I'm going to be a part of the church.
[00:27:13.880 --> 00:27:14.880]   I'm going to be a part of the church.
[00:27:14.880 --> 00:27:15.880]   I'm going to be a part of the church.
[00:27:15.880 --> 00:27:16.880]   I'm going to be a part of the church.
[00:27:16.880 --> 00:27:17.880]   I'm going to be a part of the church.
[00:27:17.880 --> 00:27:18.880]   I'm going to be a part of the church.
[00:27:18.880 --> 00:27:19.880]   I'm going to be a part of the church.
[00:27:19.880 --> 00:27:20.880]   I'm going to be a part of the church.
[00:27:20.880 --> 00:27:21.880]   I'm going to be a part of the church.
[00:27:21.880 --> 00:27:22.880]   I'm going to be a part of the church.
[00:27:22.880 --> 00:27:23.880]   I'm going to be a part of the church.
[00:27:23.880 --> 00:27:24.880]   I'm going to be a part of the church.
[00:27:24.880 --> 00:27:25.880]   I'm going to be a part of the church.
[00:27:25.880 --> 00:27:26.880]   I'm going to be a part of the church.
[00:27:26.880 --> 00:27:27.880]   I'm going to be a part of the church.
[00:27:27.880 --> 00:27:28.880]   I'm going to be a part of the church.
[00:27:28.880 --> 00:27:29.880]   I'm going to be a part of the church.
[00:27:29.880 --> 00:27:30.880]   I'm going to be a part of the church.
[00:27:30.880 --> 00:27:31.880]   I'm going to be a part of the church.
[00:27:31.880 --> 00:27:32.880]   I'm going to be a part of the church.
[00:27:32.880 --> 00:27:33.880]   I'm going to be a part of the church.
[00:27:33.880 --> 00:27:34.880]   I'm going to be a part of the church.
[00:27:34.880 --> 00:27:35.880]   I'm going to be a part of the church.
[00:27:35.880 --> 00:27:36.880]   I'm going to be a part of the church.
[00:27:36.880 --> 00:27:37.880]   I'm going to be a part of the church.
[00:27:37.880 --> 00:27:38.880]   I'm going to be a part of the church.
[00:27:38.880 --> 00:27:39.880]   I'm going to be a part of the church.
[00:27:39.880 --> 00:27:40.880]   I'm going to be a part of the church.
[00:27:40.880 --> 00:27:41.880]   I'm going to be a part of the church.
[00:27:41.880 --> 00:27:42.880]   I'm going to be a part of the church.
[00:27:42.880 --> 00:27:43.880]   I'm going to be a part of the church.
[00:27:43.880 --> 00:27:44.880]   I'm going to be a part of the church.
[00:27:44.880 --> 00:27:45.880]   I'm going to be a part of the church.
[00:27:45.880 --> 00:27:46.880]   I'm going to be a part of the church.
[00:27:46.880 --> 00:27:47.880]   I'm going to be a part of the church.
[00:27:47.880 --> 00:27:48.880]   I'm going to be a part of the church.
[00:27:48.880 --> 00:27:49.880]   I'm going to be a part of the church.
[00:27:49.880 --> 00:27:50.880]   I'm going to be a part of the church.
[00:27:50.880 --> 00:27:51.880]   I'm going to be a part of the church.
[00:27:51.880 --> 00:27:52.880]   I'm going to be a part of the church.
[00:27:52.880 --> 00:27:53.880]   I'm going to be a part of the church.
[00:27:53.880 --> 00:27:54.880]   I'm going to be a part of the church.
[00:27:54.880 --> 00:27:55.880]   I'm going to be a part of the church.
[00:27:55.880 --> 00:27:56.880]   I'm going to be a part of the church.
[00:27:56.880 --> 00:27:57.880]   I'm going to be a part of the church.
[00:27:57.880 --> 00:27:58.880]   I'm going to be a part of the church.
[00:27:58.880 --> 00:27:59.880]   I'm going to be a part of the church.
[00:27:59.880 --> 00:28:00.880]   I'm going to be a part of the church.
[00:28:00.880 --> 00:28:01.880]   I'm going to be a part of the church.
[00:28:01.880 --> 00:28:02.880]   I'm going to be a part of the church.
[00:28:02.880 --> 00:28:03.880]   I'm going to be a part of the church.
[00:28:03.880 --> 00:28:04.880]   I'm going to be a part of the church.
[00:28:04.880 --> 00:28:05.880]   I'm going to be a part of the church.
[00:28:05.880 --> 00:28:06.880]   I'm going to be a part of the church.
[00:28:06.880 --> 00:28:07.880]   I'm going to be a part of the church.
[00:28:07.880 --> 00:28:08.880]   I'm going to be a part of the church.
[00:28:08.880 --> 00:28:09.880]   I'm going to be a part of the church.
[00:28:09.880 --> 00:28:10.880]   I'm going to be a part of the church.
[00:28:10.880 --> 00:28:11.880]   I'm going to be a part of the church.
[00:28:11.880 --> 00:28:12.880]   I'm going to be a part of the church.
[00:28:12.880 --> 00:28:13.880]   I'm going to be a part of the church.
[00:28:13.880 --> 00:28:14.880]   I'm going to be a part of the church.
[00:28:14.880 --> 00:28:15.880]   I'm going to be a part of the church.
[00:28:15.880 --> 00:28:16.880]   I'm going to be a part of the church.
[00:28:16.880 --> 00:28:17.880]   I'm going to be a part of the church.
[00:28:17.880 --> 00:28:18.880]   I'm going to be a part of the church.
[00:28:18.880 --> 00:28:19.880]   I'm going to be a part of the church.
[00:28:19.880 --> 00:28:20.880]   I'm going to be a part of the church.
[00:28:20.880 --> 00:28:21.880]   I'm going to be a part of the church.
[00:28:21.880 --> 00:28:22.880]   I'm going to be a part of the church.
[00:28:22.880 --> 00:28:23.880]   I'm going to be a part of the church.
[00:28:23.880 --> 00:28:24.880]   I'm going to be a part of the church.
[00:28:24.880 --> 00:28:25.880]   I'm going to be a part of the church.
[00:28:25.880 --> 00:28:26.880]   I'm going to be a part of the church.
[00:28:26.880 --> 00:28:27.880]   I'm going to be a part of the church.
[00:28:27.880 --> 00:28:28.880]   I'm going to be a part of the church.
[00:28:28.880 --> 00:28:29.880]   I'm going to be a part of the church.
[00:28:29.880 --> 00:28:30.880]   I'm going to be a part of the church.

