
[00:00:00.040 --> 00:00:09.480]   ち
[00:24:29.440 --> 00:24:29.440]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:29.440 --> 00:24:29.440]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:29.440 --> 00:24:29.440]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:29.440 --> 00:24:29.440]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:29.440 --> 00:24:29.440]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:29.440 --> 00:24:29.440]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:29.440 --> 00:24:29.440]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:29.440 --> 00:24:29.440]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:29.440 --> 00:24:29.440]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:29.460 --> 00:24:59.460]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:59.460 --> 00:24:59.460]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:59.460 --> 00:24:59.460]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:59.460 --> 00:24:59.460]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:59.460 --> 00:24:59.460]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:59.460 --> 00:24:59.460]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:59.460 --> 00:24:59.460]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:59.460 --> 00:24:59.460]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:59.460 --> 00:24:59.460]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:59.460 --> 00:24:59.460]   - we even know he's thinking about a new cars and which models he's considering.
[00:24:59.500 --> 00:25:29.480]  ,
[00:25:29.480 --> 00:25:29.480]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:29.480 --> 00:25:29.480]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:29.480 --> 00:25:29.480]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:29.480 --> 00:25:29.480]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:29.480 --> 00:25:29.480]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:29.480 --> 00:25:29.480]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:29.480 --> 00:25:29.480]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:29.500 --> 00:25:59.500]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:59.500 --> 00:25:59.500]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:59.500 --> 00:25:59.500]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:59.500 --> 00:25:59.500]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:59.500 --> 00:25:59.500]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:59.500 --> 00:25:59.500]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:59.500 --> 00:25:59.500]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:59.500 --> 00:25:59.500]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:59.500 --> 00:25:59.500]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:59.500 --> 00:25:59.500]   - we even know he's thinking about a new cars and which models he's considering.
[00:25:59.540 --> 00:26:29.520]  ,
[00:26:29.520 --> 00:26:29.520]   - we even know he's thinking about a new cars and which models he's considering.
[00:26:29.520 --> 00:26:29.520]   - we even know he's thinking about a new cars and which models he's considering.
[00:26:29.520 --> 00:26:29.520]   - we even know he's thinking about a new cars and which models he's considering.
[00:26:29.520 --> 00:26:29.520]   - we even know he's thinking about a new cars and which models he's considering.
[00:26:29.520 --> 00:26:29.520]   - we even know he's thinking about a new cars and which models he's considering.
[00:26:29.520 --> 00:26:29.520]   - we even know he's thinking about a new cars and which models he's considering.
[00:26:29.520 --> 00:26:29.520]   - we even know he's thinking about a new cars and which models he's considering.
[00:26:29.520 --> 00:26:29.520]   - we even know he's thinking about a new cars and which models he's considering.
[00:26:29.520 --> 00:26:29.520]   - we even though he's thinking about a cars and which models he's thinking about cars and which models he's considering.
[00:26:29.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.540 --> 00:26:59.540]   - we even know he's thinking about a cars and which models he's considering.
[00:26:59.580 --> 00:27:29.560]   - we even know he's thinking about a cars and which models he's considering.
[00:27:29.560 --> 00:27:29.560]   - we even know he's thinking about a cars and which models he's considering.
[00:27:29.560 --> 00:27:29.560]   - we even know he's thinking about a cars and which models he's considering.
[00:27:29.560 --> 00:27:29.560]   - we even know he's thinking about a cars and which models he's considering.
[00:27:29.560 --> 00:27:29.560]   - we even know he's thinking about a cars and which models he's considering.
[00:27:29.560 --> 00:27:29.560]   - we even know he's thinking about a cars and which models he's considering.
[00:27:29.560 --> 00:27:29.560]   - we even know he's thinking about a cars and which models he's considering. - we even know he's thinking about a cars and which models he's considering.
[00:27:29.580 --> 00:27:33.420]   - we even know he's thinking about a cars and which models he's considering.
[00:27:33.420 --> 00:27:33.540]   - we even know he's thinking about a cars and which models he's considering.
[00:27:33.540 --> 00:27:59.580]   - we even know he's thinking about a cars and which models he's considering.
[00:27:59.580 --> 00:27:59.580]   - we even know he's thinking about a cars and which models he's considering.
[00:27:59.580 --> 00:27:59.580]   - we even know he's thinking about a cars and which models he's considering.
[00:27:59.580 --> 00:27:59.580]   - we even know he's thinking about a cars and which models he's considering.
[00:27:59.580 --> 00:27:59.580]   - we even know he's thinking about a cars and which models he's considering.
[00:27:59.580 --> 00:27:59.580]   - we even know he's thinking about a cars and which models he's considering.
[00:27:59.580 --> 00:27:59.580]   - we even know he's thinking about a cars and which models he's considering.
[00:27:59.580 --> 00:27:59.580]   - we even know he's thinking about a cars and which models he's considering.
[00:27:59.580 --> 00:27:59.580]   - we even know he's thinking about a cars and which models he's considering.
[00:27:59.620 --> 00:28:29.600]  ,
[00:28:29.600 --> 00:28:29.600]   - we even know he's thinking about a cars and which models he's considering.
[00:28:29.600 --> 00:28:29.600]   - we even know he's thinking about a cars and which models he's considering.
[00:28:29.600 --> 00:28:29.600]   - we even know he's thinking about a cars and which models he's considering.
[00:28:29.600 --> 00:28:29.600]   - we even know he's thinking about a cars and which models he's considering.
[00:28:29.600 --> 00:28:29.600]   - we even know he's thinking about a cars and which models he's considering.
[00:28:29.600 --> 00:28:29.600]   - we even know he's thinking about a cars and which models he's considering.
[00:28:29.600 --> 00:28:29.600]   - we even know he's thinking about a cars and which models he's considering.
[00:28:29.600 --> 00:28:29.600]   - we even though he's thinking about cars and which models he's considering. - we even though he's thinking about cars and which models he's considering.
[00:28:29.620 --> 00:28:34.360]   I hope you're getting the idea that your trash is important.
[00:28:34.360 --> 00:28:38.620]   Let me give you some suggestions for you to consider.
[00:28:38.620 --> 00:28:41.480]   First, one of the most important things that you should do,
[00:28:41.480 --> 00:28:46.060]   always keep your trash cam in a private location
[00:28:46.060 --> 00:28:48.360]   within the bounds of your property.
[00:28:48.360 --> 00:28:52.020]   So ideally, it should be very close to your house
[00:28:52.020 --> 00:28:57.720]   in a clearly segregated or private enclosure.
[00:28:57.720 --> 00:28:59.620]   Keeping it in the garage would really be ideal.
[00:28:59.620 --> 00:28:59.620]   - keeping it in the garage would really be ideal.
[00:28:59.620 --> 00:28:59.620]   - keeping it in the garage would really be ideal.
[00:28:59.620 --> 00:28:59.620]   - keeping it in the garage would really be ideal.
[00:28:59.620 --> 00:28:59.620]   - keeping it in the garage would really be ideal.
[00:28:59.620 --> 00:28:59.620]   - keeping it in the garage would really be ideal.
[00:28:59.620 --> 00:28:59.620]   - keeping it in the garage would really be ideal.
[00:28:59.620 --> 00:28:59.620]   - keeping it in the garage would really be ideal.
[00:28:59.620 --> 00:28:59.620]   - keeping it in the garage would really be ideal.
[00:28:59.620 --> 00:28:59.620]   - keeping it in the garage would really be ideal.
[00:28:59.680 --> 00:29:29.640]   - keeping it in the garage would really be ideal.
[00:29:29.640 --> 00:29:29.640]   - keeping it in the garage would really be ideal.
[00:29:29.640 --> 00:29:29.640]   - keeping it in the garage would really be ideal.
[00:29:29.640 --> 00:29:29.640]   - keeping it in the garage would really be ideal.
[00:29:29.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.660 --> 00:29:59.660]   - keeping it in the garage would really be ideal.
[00:29:59.700 --> 00:30:29.680]   - keeping it in the garage would really be ideal.
[00:30:29.680 --> 00:30:29.680]   - keeping it in the garage would really be ideal.
[00:30:29.680 --> 00:30:29.680]   - keeping it in the garage would really be ideal.
[00:30:29.680 --> 00:30:29.680]   - keeping it in the garage would really be ideal.
[00:30:29.680 --> 00:30:29.680]   - keeping it in the garage would really be ideal.
[00:30:29.680 --> 00:30:29.680]   - keeping it in the garage would really be ideal.
[00:30:29.680 --> 00:30:29.680]   - keeping it in the garage would really be ideal.
[00:30:29.680 --> 00:30:29.680]   - keeping it in the garage would really be ideal.
[00:30:29.680 --> 00:30:29.680]   - keeping it in the garage would really be ideal.
[00:30:29.700 --> 00:30:59.700]   keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:30:59.700]   - keeping it in the garage would really be ideal.
[00:30:59.700 --> 00:31:29.720]   in the garage would really be ideal.
[00:31:29.720 --> 00:31:29.720]   - keeping it in the garage would really be ideal.
[00:31:29.720 --> 00:31:29.720]   - keeping it in the garage would really be ideal.
[00:31:29.720 --> 00:31:29.720]   - keeping it in the garage would really be ideal.
[00:31:29.720 --> 00:31:29.720]   - keeping it in the garage would really be ideal.
[00:31:29.720 --> 00:31:29.720]   - keeping it in the garage would really be ideal.
[00:31:29.720 --> 00:31:29.720]   - keeping it in the garage would really be ideal.
[00:31:29.720 --> 00:31:29.720]   - keeping it in the garage would really be ideal.
[00:31:29.720 --> 00:31:29.720]   - keeping it in the garage would really be ideal.
[00:31:29.720 --> 00:31:29.720]   - keeping it in the garage would really be ideal.
[00:31:29.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.740 --> 00:31:59.740]   - keeping it in the garage would really be ideal.
[00:31:59.780 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal.
[00:32:29.760 --> 00:32:29.760]   - keeping it in the garage would really be ideal. - keeping it in the garage would really be ideal.
[00:32:29.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.780 --> 00:32:59.780]   - keeping it in the garage would really be ideal.
[00:32:59.820 --> 00:33:29.800]   - keeping it in the garage would really be ideal.
[00:33:29.800 --> 00:33:29.800]   - keeping it in the garage would really be ideal.
[00:33:29.800 --> 00:33:29.800]   - keeping it in the garage would really be ideal.
[00:33:29.800 --> 00:33:29.800]   - keeping it in the garage would really be ideal.
[00:33:29.800 --> 00:33:29.800]   - keeping it in the garage would really be ideal.
[00:33:29.800 --> 00:33:29.800]   - keeping it in the garage would really be ideal.
[00:33:29.800 --> 00:33:29.800]   - keeping it in the garage would really be ideal.
[00:33:29.800 --> 00:33:29.800]   - keeping it in the garage would really be ideal.
[00:33:29.800 --> 00:33:29.800]   - keeping it in the garage would really be ideal.
[00:33:29.800 --> 00:33:29.800]   - keeping it in the garage would really be ideal.
[00:33:29.800 --> 00:33:29.800]   - keeping it in the garage would really be ideal. - keeping it in the garage would really be ideal.
[00:33:29.820 --> 00:33:29.860]   - keeping it in the garage would really be ideal.
[00:33:29.860 --> 00:33:29.860]   - keeping it in the garage would really be ideal. - keeping it in the garage would really be ideal.
[00:33:29.860 --> 00:33:29.860]   - keeping it in the garage would really be ideal. - keeping it in the garage would really be ideal. - keep it in the garage would really be ideal.
[00:33:29.860 --> 00:33:29.860]   - keeping it in the garage would really be ideal. - keeping it in the garage would really be ideal. - keep it in the garage would really be ideal. - keep it in the garage would really be ideal. - keep it in the garage would really be ideal. - keep it in the garage would really be ideal. - keep it in the garage would really be ideal. - keep it in the garage would really be ideal. - keep it in the garage would really be ideal. - keep it in the garage would really be ideal. - keep it in the garage would really be ideal.
[00:33:59.860 --> 00:34:02.920]   In
[00:34:02.920 --> 00:34:08.820]   sound,
[00:34:08.820 --> 00:34:10.040]   E F I,,,,,
[00:34:10.040 --> 00:34:12.840]   Wha
[00:34:12.840 --> 00:34:28.480]   way. I am a little. But, ., ., ., ., ., and then at the point, and the plan, and the겠어, missed, means, viene, add, Favorite,ij, mind,nem,еня, acceptable, sentido, formul,anc Hert,�, Erde, CNB, sized, 2021, ét pist,out, acred, weigh, Pi, rend, leider, sweats, pac11,則, basketball, beg, sa lands applause en Newton, respectively,視,illing, silence, inqu analogy, produces,ijke, показыв, leather is czas.associ, mon mycase, 듣 movement is not. "G. peuple'm difficult, Trие, thin, li這個是 gathered, was인가,..."L ac舉 like,
[00:34:28.520 --> 00:34:38.360]   Look
[00:34:38.360 --> 00:34:38.860]   divert. That is
[00:34:38.860 --> 00:34:56.940]   thank
[00:34:57.480 --> 00:35:26.400]   До a microtrack. I don't have a microtrack. I'm going to buy a micro cut shredder. There are three kinds of strip shredder, which is the cheapest crosscut shredder, which are increasingly prominent, or the micro cut shredder, which is the very smallest, go ahead and buy a micro cut shredder. So you get the smallest shredding pieces. The second thing to do is to make sure that you're not only shredding important documents, because there is a large amount of shredded materials and just a few important financial statements mixed in or some important tax returns mixed in.
[00:35:26.420 --> 00:35:55.320]  . With the junk mail, the political advertisements, the magazines, etc. Now, it would be very difficult for someone to take all the time to put that together. And then the third thing that you want to do with your shredder is you want to disseminate the papers and don't keep them conveniently together in one bag. Whether that means you just dump them into your garbage can, whether that means you separate those shreds into two different weeks of garbage, then whatever it is, however you approach that, just make sure they're not easily collectible by somebody who's going after that shredded paper.
[00:35:55.380 --> 00:36:24.320]   My wife laughs at me, but I think it's worth doing this to go ahead, shred the magazines, newspapers, the junk mail, etc. Of course, you might make an exception with things like newspapers, but if you ever are dealing with a newspaper, like you cut things out, etc. That gives off a lot of information about you. So consider shredding all of those things. Make sure that you don't miss all of the little things in your garbage. For example, if you have prescription bottles of medication, then pull the information off of that and pull the label off and put it in your garbage can.
[00:36:24.360 --> 00:36:31.580]   think
[00:36:31.580 --> 00:36:37.920]   I,
[00:37:21.960 --> 00:37:21.960]   I,
[00:37:21.960 --> 00:37:21.960]   I,
[00:37:21.960 --> 00:37:23.160]   I,
[00:37:23.160 --> 00:37:23.160]   I,
[00:37:35.560 --> 00:37:35.600]   I,
[00:37:35.600 --> 00:37:35.620]   I,
[00:37:35.620 --> 00:37:35.660]   I,
[00:37:35.660 --> 00:37:35.680]   I,
[00:37:35.680 --> 00:37:35.700]   I,
[00:37:35.700 --> 00:37:35.760]   I,
[00:37:35.760 --> 00:37:35.780]   I,
[00:37:35.780 --> 00:37:36.080]   I,
[00:37:36.080 --> 00:37:36.100]   I,
[00:37:36.100 --> 00:37:36.120]   I,
[00:37:36.120 --> 00:37:36.140]   I,
[00:37:36.140 --> 00:37:36.180]   I,
[00:37:36.180 --> 00:37:36.200]   I,
[00:37:36.200 --> 00:37:36.220]   I,
[00:37:36.220 --> 00:37:36.240]   I,
[00:37:36.240 --> 00:37:36.260]   I,
[00:37:36.260 --> 00:37:37.240]   I,
[00:37:37.240 --> 00:37:37.260]   I,
[00:37:37.260 --> 00:37:37.280]   I,
[00:37:37.280 --> 00:37:37.300]   I,
[00:37:37.300 --> 00:37:37.320]   I,
[00:37:37.320 --> 00:37:37.340]   I,
[00:37:37.340 --> 00:37:37.380]   I,
[00:37:37.380 --> 00:37:37.400]   I,
[00:37:37.400 --> 00:37:37.540]   I,
[00:37:37.540 --> 00:37:38.040]   of years ago,
[00:37:38.040 --> 00:37:39.640]   I went through a large amount of paper.
[00:37:39.640 --> 00:37:41.580]   I can't remember for a family member.
[00:37:41.580 --> 00:37:43.460]   I was sorting through it and I was disposing of,
[00:37:43.460 --> 00:37:46.220]   of financial documents and it was just so much to shred.
[00:37:46.220 --> 00:37:48.440]   I didn't want to feed it into a household shredder,
[00:37:48.440 --> 00:37:49.620]   10 sheets at a time.
[00:37:49.620 --> 00:37:49.880]   So I thought,
[00:37:49.880 --> 00:37:50.060]   Oh,
[00:37:50.060 --> 00:37:50.580]   I'll burn it.
[00:37:50.580 --> 00:37:52.020]   Burning paper is not easy,
[00:37:52.020 --> 00:37:52.820]   especially in the burning,
[00:37:52.820 --> 00:37:53.180]   large,
[00:37:53.180 --> 00:38:23.200]  ,
[00:38:23.200 --> 00:38:23.200]   and large amounts of paper is not easy.
[00:38:23.220 --> 00:38:23.820]   Bleach out.
[00:38:23.820 --> 00:38:25.200]   But if you need to,
[00:38:25.200 --> 00:38:27.240]   let's say you have a large number of financial papers,
[00:38:27.240 --> 00:38:29.000]   you're going through your deceased parents,
[00:38:29.000 --> 00:38:31.220]   financial documents,
[00:38:31.220 --> 00:38:31.940]   things like that.
[00:38:31.940 --> 00:38:34.600]   And it's just too much to consider shredding all that stuff.
[00:38:34.600 --> 00:38:36.480]   If you put them,
[00:38:36.480 --> 00:38:38.080]   take a garbage can,
[00:38:38.080 --> 00:38:38.640]   put a big,
[00:38:38.640 --> 00:38:40.300]   heavy yard waste bag in it,
[00:38:40.300 --> 00:38:42.660]   put a jug of,
[00:38:42.660 --> 00:38:44.200]   of bleach and water,
[00:38:44.200 --> 00:38:46.300]   enough water in it to cover and then stir it up.
[00:38:46.300 --> 00:38:50.820]   What will happen is the paper will become waterlogged and the bleach and the,
[00:38:50.820 --> 00:38:53.220]   and the water together will blur the ink and the paper will become
[00:38:53.220 --> 00:38:53.220]   waterlogged.
[00:38:53.220 --> 00:38:53.220]   And then you can put a big heavy yard waste bag in it and then you
[00:38:53.220 --> 00:38:53.220]   put a jug of bleach and water and then stir it up.
[00:38:53.260 --> 00:39:23.240]   complicates it.
[00:39:23.240 --> 00:39:23.240]   and somewhat dissolve the paper.
[00:39:23.240 --> 00:39:23.240]   You can turn it into kind of a flurry and then you can throw that whole bag out being increasingly confident that most of that information has been destroyed. So with paper, paper is relatively easy to deal with and of course paper is the most important thing for most of us to pay attention to. Yes it may say something about your personal tastes in terms of the ice cream cartons that are in your garbage. But paper of course has the most dangerous information. So if you're a person who wants to use a garbage can,
[00:39:23.240 --> 00:39:23.240]   It's not a good idea to throw it away.
[00:39:23.240 --> 00:39:23.240]   It's not a good idea to throw it away.
[00:39:23.240 --> 00:39:23.240]   So if you're a person who wants to use a garbage can,
[00:39:23.240 --> 00:39:23.240]   it's not a good idea to throw it away.
[00:39:23.240 --> 00:39:23.240]   It's not a good idea to throw it away.
[00:39:23.260 --> 00:39:53.260]   It's not a good idea to throw it away.
[00:39:53.260 --> 00:39:53.260]   It's not a good idea to throw it away.
[00:39:53.260 --> 00:39:53.260]   It's not a good idea to throw it away.
[00:39:53.260 --> 00:39:53.260]   It's not a good idea to throw it away.
[00:39:53.260 --> 00:39:53.260]   It's not a good idea to throw it away.
[00:39:53.260 --> 00:39:53.260]   It's not a good idea to throw it away.
[00:39:53.260 --> 00:39:53.260]   It's not a good idea to throw it away.
[00:39:53.260 --> 00:39:53.260]   It's not a good idea to throw it away.
[00:39:53.260 --> 00:39:53.260]   It's not a good idea to throw it away.
[00:39:53.260 --> 00:39:53.260]   It's not a good idea to throw it away.
[00:39:53.260 --> 00:40:23.280]  ,
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away.
[00:40:23.280 --> 00:40:23.280]   It's not a good idea to throw it away. It's not a good idea to throw it.
[00:40:23.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:40:53.300]   It's not a good idea to throw it away.
[00:40:53.300 --> 00:41:23.320]   It's not a good idea to throw it away.
[00:41:23.320 --> 00:41:23.320]   It's not a good idea to throw it away.
[00:41:23.320 --> 00:41:23.320]   It's not a good idea to throw it away.
[00:41:23.320 --> 00:41:23.320]   It's not a good idea to throw it away.
[00:41:23.320 --> 00:41:23.320]   It's not a good idea to throw it away.
[00:41:23.320 --> 00:41:23.320]   It's not a good idea to throw it away.
[00:41:23.320 --> 00:41:23.320]   It's not a good idea to throw it away.
[00:41:23.320 --> 00:41:23.320]   It's not a good idea to throw it away.
[00:41:23.320 --> 00:41:23.320]   It's not a good idea to throw it away.
[00:41:23.340 --> 00:41:53.340]   It's not a good idea to throw it away.
