
[00:00:00.040 --> 00:00:09.620]   這
[00:30:44.940 --> 00:30:44.940]   You can sell a stadium worth of tickets to the lower and middle
[00:30:44.940 --> 00:30:44.940]   You can sell a stadium worth of tickets to the lower and middle
[00:30:44.940 --> 00:30:44.940]   You can sell a stadium worth of tickets to the lower and middle
[00:30:44.940 --> 00:30:44.940]   You can sell a stadium worth of tickets to the lower and middle
[00:30:44.940 --> 00:30:44.940]   You can sell a stadium worth of tickets to the lower and middle
[00:30:44.940 --> 00:30:44.940]   You can sell a stadium worth of tickets to the lower and middle
[00:30:44.940 --> 00:30:44.940]   You can sell a stadium worth of tickets to the lower and middle
[00:30:44.940 --> 00:30:44.940]   You can sell a stadium worth of tickets to the lower and middle
[00:30:44.940 --> 00:30:44.940]   You can sell a stadium worth of tickets to the lower and middle
[00:30:44.940 --> 00:31:14.960]   You can sell a stadium worth of tickets to the lower and middle
[00:31:14.960 --> 00:31:14.960]   You can sell a stadium worth of tickets to the lower and middle
[00:31:14.960 --> 00:31:14.960]   You can sell a stadium worth of tickets to the lower and middle
[00:31:14.960 --> 00:31:14.960]   You can sell a stadium worth of tickets to the lower and middle
[00:31:14.960 --> 00:31:14.960]   You can sell a stadium worth of tickets to the lower and middle
[00:31:14.960 --> 00:31:14.960]   You can sell a stadium worth of tickets to the lower and middle
[00:31:14.960 --> 00:31:14.960]   You can sell a stadium worth of tickets to the lower and middle
[00:31:14.960 --> 00:31:14.960]   You can sell a stadium worth of tickets to the lower and middle
[00:31:14.960 --> 00:31:14.960]   You can sell a stadium worth of tickets to the lower and middle
[00:31:14.960 --> 00:31:14.960]   You can sell a stadium worth of tickets to the lower and middle
[00:31:14.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:31:44.980]   You can sell a stadium worth of tickets to the lower and middle
[00:31:44.980 --> 00:32:15.000]   You can sell a stadium worth of tickets to the lower and middle
[00:32:15.000 --> 00:32:15.000]   You can sell a stadium worth of tickets to the lower and middle
[00:32:15.000 --> 00:32:15.000]   You can sell a stadium worth of tickets to the lower and middle
[00:32:15.000 --> 00:32:15.000]   You can sell a stadium worth of tickets to the lower and middle
[00:32:15.000 --> 00:32:15.000]   You can sell a stadium worth of tickets to the lower and middle
[00:32:15.000 --> 00:32:15.000]   You can sell a stadium worth of tickets to the lower and middle
[00:32:15.000 --> 00:32:15.000]   You can sell a stadium worth of tickets to the lower and middle
[00:32:15.000 --> 00:32:15.000]   You can sell a stadium worth of tickets to the lower and middle
[00:32:15.000 --> 00:32:15.000]   You can sell a stadium worth of tickets to the lower and middle
[00:32:15.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:32:45.020]   I can sell a stadium worth of tickets to the lower and middle
[00:32:45.020 --> 00:33:15.040]   I can sell a stadium worth of tickets to the lower and middle
[00:33:15.040 --> 00:33:15.040]   I can sell a stadium worth of tickets to the lower and middle
[00:33:15.040 --> 00:33:15.040]   I can sell a stadium worth of tickets to the lower and middle
[00:33:15.040 --> 00:33:15.040]   I can sell a stadium worth of tickets to the lower and middle
[00:33:15.040 --> 00:33:15.040]   I can sell a stadium worth of tickets to the lower and middle
[00:33:15.040 --> 00:33:15.040]   I can sell a stadium worth of tickets to the lower and middle
[00:33:15.040 --> 00:33:15.040]   I can sell a stadium worth of tickets to the lower and middle
[00:33:15.040 --> 00:33:15.040]   I can sell a stadium worth of tickets to the lower and middle
[00:33:15.040 --> 00:33:15.040]   I can sell a stadium worth of tickets to the lower and middle
[00:33:15.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:33:45.060]   I can sell a stadium worth of tickets to the lower and middle
[00:33:45.060 --> 00:34:15.080]   I can sell a stadium worth of tickets to the lower and middle
[00:34:15.080 --> 00:34:15.080]   I can sell a stadium worth of tickets to the lower and middle
[00:34:15.080 --> 00:34:15.080]   I can sell a stadium worth of tickets to the lower and middle
[00:34:15.080 --> 00:34:15.080]   I can sell a stadium worth of tickets to the lower and middle
[00:34:15.080 --> 00:34:15.080]   I can sell a stadium worth of tickets to the lower and middle
[00:34:15.080 --> 00:34:15.080]   I can sell a stadium worth of tickets to the lower and middle
[00:34:15.080 --> 00:34:15.080]   I can sell a stadium worth of tickets to the lower and middle
[00:34:15.080 --> 00:34:15.080]   I can sell a stadium worth of tickets to the lower and middle
[00:34:15.080 --> 00:34:15.080]   I can sell a stadium worth of tickets to the lower and middle
[00:34:15.080 --> 00:34:15.080]   I can sell a stadium worth of tickets to the lower and middle
[00:34:15.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:34:45.100]   I can sell a stadium worth of tickets to the lower and middle
[00:34:45.100 --> 00:35:15.120]   I can sell a stadium worth of tickets to the lower and middle
[00:35:15.120 --> 00:35:15.120]   I can sell a stadium worth of tickets to the lower and middle
[00:35:15.120 --> 00:35:15.120]   I can sell a stadium worth of tickets to the lower and middle
[00:35:15.120 --> 00:35:15.120]   I can sell a stadium worth of tickets to the lower and middle
[00:35:15.120 --> 00:35:15.120]   I can sell a stadium worth of tickets to the lower and middle
[00:35:15.120 --> 00:35:15.120]   I can sell a stadium worth of tickets to the lower and middle
[00:35:15.120 --> 00:35:15.120]   I can sell a stadium worth of tickets to the lower and middle
[00:35:15.120 --> 00:35:15.120]   I can sell a stadium worth of tickets to the lower and middle
[00:35:15.120 --> 00:35:15.120]   I can sell a stadium worth of tickets to the lower and middle
[00:35:15.120 --> 00:35:15.120]   I can sell a stadium worth of tickets to the lower and middle
[00:35:15.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:35:45.140]   I can sell a stadium worth of tickets to the lower and middle
[00:35:45.140 --> 00:36:15.160]   I can sell a stadium worth of tickets to the lower and middle
[00:36:15.160 --> 00:36:15.160]   I can sell a stadium worth of tickets to the lower and middle
[00:36:15.160 --> 00:36:15.160]   I can sell a stadium worth of tickets to the lower and middle
[00:36:15.160 --> 00:36:15.160]   I can sell a stadium worth of tickets to the lower and middle
[00:36:15.160 --> 00:36:15.160]   I can sell a stadium worth of tickets to the lower and middle
[00:36:15.160 --> 00:36:15.160]   I can sell a stadium worth of tickets to the lower and middle
[00:36:15.160 --> 00:36:15.160]   I can sell a stadium worth of tickets to the lower and middle
[00:36:15.160 --> 00:36:15.160]   I can sell a stadium worth of tickets to the lower and middle
[00:36:15.160 --> 00:36:15.160]   I can sell a stadium worth of tickets to the lower and middle
[00:36:15.160 --> 00:36:15.160]   I can sell a stadium worth of tickets to the lower and middle
[00:36:15.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:36:45.180]   I can sell a stadium worth of tickets to the lower and middle
[00:36:45.180 --> 00:37:15.200]   I can sell a stadium worth of tickets to the lower and middle
[00:37:15.200 --> 00:37:15.200]   I can sell a stadium worth of tickets to the lower and middle
[00:37:15.200 --> 00:37:15.200]   I can sell a stadium worth of tickets to the lower and middle
[00:37:15.200 --> 00:37:15.200]   I can sell a stadium worth of tickets to the lower and middle
[00:37:15.200 --> 00:37:15.200]   I can sell a stadium worth of tickets to the lower and middle
[00:37:15.200 --> 00:37:15.200]   I can sell a stadium worth of tickets to the lower and middle
[00:37:15.200 --> 00:37:15.200]   I can sell a stadium worth of tickets to the lower and middle
[00:37:15.200 --> 00:37:15.200]   I can sell a stadium worth of tickets to the lower and middle
[00:37:15.200 --> 00:37:15.200]   I can sell a stadium worth of tickets to the lower and middle
[00:37:15.200 --> 00:37:15.200]   I can sell a stadium worth of tickets to the lower and middle
[00:37:15.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:37:45.220]   I can sell a stadium worth of tickets to the lower and middle
[00:37:45.220 --> 00:38:15.240]   I can sell a stadium worth of tickets to the lower and middle
[00:38:15.240 --> 00:38:15.240]   I can sell a stadium worth of tickets to the lower and middle
[00:38:15.240 --> 00:38:15.240]   I can sell a stadium worth of tickets to the lower and middle
[00:38:15.240 --> 00:38:15.240]   I can sell a stadium worth of tickets to the lower and middle
[00:38:15.240 --> 00:38:15.240]   I can sell a stadium worth of tickets to the lower and middle
[00:38:15.240 --> 00:38:15.240]   I can sell a stadium worth of tickets to the lower and middle
[00:38:15.240 --> 00:38:15.240]   I can sell a stadium worth of tickets to the lower and middle
[00:38:15.240 --> 00:38:15.240]   I can sell a stadium worth of tickets to the lower and middle
[00:38:15.240 --> 00:38:15.240]   I can sell a stadium worth of tickets to the lower and middle
[00:38:15.240 --> 00:38:15.240]   I can sell a stadium worth of tickets to the lower and middle
[00:38:15.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:38:45.260]   I can sell a stadium worth of tickets to the lower and middle
[00:38:45.260 --> 00:39:15.280]   I can sell a stadium worth of tickets to the lower and middle
[00:39:15.280 --> 00:39:15.280]   I can sell a stadium worth of tickets to the lower and middle
[00:39:15.280 --> 00:39:15.280]   I can sell a stadium worth of tickets to the lower and middle
[00:39:15.280 --> 00:39:15.280]   I can sell a stadium worth of tickets to the lower and middle
[00:39:15.280 --> 00:39:15.280]   I can sell a stadium worth of tickets to the lower and middle
[00:39:15.280 --> 00:39:15.280]   I can sell a stadium worth of tickets to the lower and middle
[00:39:15.280 --> 00:39:15.280]   I can sell a stadium worth of tickets to the lower and middle
[00:39:15.280 --> 00:39:15.280]   I can sell a stadium worth of tickets to the lower and middle
[00:39:15.280 --> 00:39:15.280]   I can sell a stadium worth of tickets to the lower and middle
[00:39:15.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:39:45.300]   I can sell a stadium worth of tickets to the lower and middle
[00:39:45.300 --> 00:40:15.320]   I can sell a stadium worth of tickets to the lower and middle
[00:40:15.320 --> 00:40:15.320]   I can sell a stadium worth of tickets to the lower and middle
[00:40:15.320 --> 00:40:15.320]   I can sell a stadium worth of tickets to the lower and middle
[00:40:15.320 --> 00:40:15.320]   I can sell a stadium worth of tickets to the lower and middle
[00:40:15.320 --> 00:40:15.320]   I can sell a stadium worth of tickets to the lower and middle
[00:40:15.320 --> 00:40:15.320]   I can sell a stadium worth of tickets to the lower and middle
[00:40:15.320 --> 00:40:15.320]   I can sell a stadium worth of tickets to the lower and middle
[00:40:15.320 --> 00:40:15.320]   I can sell a stadium worth of tickets to the lower and middle
[00:40:15.320 --> 00:40:15.320]   I can sell a stadium worth of tickets to the lower and middle
[00:40:15.320 --> 00:40:15.320]   I can sell a stadium worth of tickets to the lower and middle
[00:40:15.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:40:45.340]   I can sell a stadium worth of tickets to the lower and middle
[00:40:45.340 --> 00:41:15.360]   I can sell a stadium worth of tickets to the lower and middle
[00:41:15.360 --> 00:41:15.360]   I can sell a stadium worth of tickets to the lower and middle
[00:41:15.360 --> 00:41:15.360]   I can sell a stadium worth of tickets to the lower and middle
[00:41:15.360 --> 00:41:15.360]   I can sell a stadium worth of tickets to the lower and middle
[00:41:15.360 --> 00:41:15.360]   I can sell a stadium worth of tickets to the lower and middle
[00:41:15.360 --> 00:41:15.360]   I can sell a stadium worth of tickets to the lower and middle
[00:41:15.360 --> 00:41:15.360]   I can sell a stadium worth of tickets to the lower and middle
[00:41:15.360 --> 00:41:15.360]   I can sell a stadium worth of tickets to the lower and middle
[00:41:15.360 --> 00:41:15.360]   I can sell a stadium worth of tickets to the lower and middle
[00:41:15.360 --> 00:41:15.360]   I can sell a stadium worth of tickets to the lower and middle
[00:41:15.380 --> 00:41:45.380]  , I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:41:45.380]   I can sell a stadium worth of tickets to the lower and middle
[00:41:45.380 --> 00:42:15.400]   I can sell a stadium worth of tickets to the lower and middle
[00:42:15.400 --> 00:42:15.400]   I can sell a stadium worth of tickets to the lower and middle
[00:42:15.400 --> 00:42:15.400]   I can sell a stadium worth of tickets to the lower and middle
[00:42:15.400 --> 00:42:15.400]   I can sell a stadium worth of tickets to the lower and middle
[00:42:15.400 --> 00:42:15.400]   I can sell a stadium worth of tickets to the lower and middle
[00:42:15.400 --> 00:42:15.400]   I can sell a stadium worth of tickets to the lower and middle
[00:42:15.400 --> 00:42:15.400]   I can sell a stadium worth of tickets to the lower and middle
[00:42:15.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:42:45.420]   I can sell a stadium worth of tickets to the lower and middle
[00:42:45.420 --> 00:43:15.440]   I can sell a stadium worth of tickets to the lower and middle
[00:43:15.440 --> 00:43:15.440]   I can sell a stadium worth of tickets to the lower and middle
[00:43:15.440 --> 00:43:15.440]   I can sell a stadium worth of tickets to the lower and middle
[00:43:15.440 --> 00:43:15.440]   I can sell a stadium worth of tickets to the lower and middle
[00:43:15.440 --> 00:43:15.440]   I can sell a stadium worth of tickets to the lower and middle
[00:43:15.440 --> 00:43:15.440]   I can sell a stadium worth of tickets to the lower and middle
[00:43:15.440 --> 00:43:15.440]   I can sell a stadium worth of tickets to the lower and middle
[00:43:15.440 --> 00:43:15.440]   I can sell a stadium worth of tickets to the lower and middle
[00:43:15.440 --> 00:43:15.440]   I can sell a stadium worth of tickets to the lower and middle
[00:43:15.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:43:45.460]   I can sell a stadium worth of tickets to the lower and middle
[00:43:45.460 --> 00:44:15.480]   I can sell a stadium worth of tickets to the lower and middle
[00:44:15.480 --> 00:44:15.480]   I can sell a stadium worth of tickets to the lower and middle
[00:44:15.480 --> 00:44:15.480]   I can sell a stadium worth of tickets to the lower and middle
[00:44:15.480 --> 00:44:15.480]   I can sell a stadium worth of tickets to the lower and middle
[00:44:15.480 --> 00:44:15.480]   I can sell a stadium worth of tickets to the lower and middle
[00:44:15.480 --> 00:44:15.480]   I can sell a stadium worth of tickets to the lower and middle
[00:44:15.480 --> 00:44:15.480]   I can sell a stadium worth of tickets to the lower and middle
[00:44:15.480 --> 00:44:15.480]   I can sell a stadium worth of tickets to the lower and middle
[00:44:15.500 --> 00:44:45.500]   I can sell a stadium worth of tickets to the lower and middle
[00:44:45.500 --> 00:44:45.500]   I can sell a stadium worth of tickets to the lower and middle
[00:44:45.500 --> 00:44:45.500]   I can sell a stadium worth of tickets to the lower and middle
