
[00:00:00.000 --> 00:00:05.000]   Hey. All right. We got it.
[00:33:15.000 --> 00:33:22.000]   And so that I can actually -- if -- if this is kind of short, then I can actually represent this with just two --
[00:33:22.000 --> 00:33:29.000]   like, the diagonal H0 and then H1 on the -- right next to the diagonal, right?
[00:33:29.000 --> 00:33:34.000]   And so I -- this might not be clear from the diagram. I'm going to go into that.
[00:33:34.000 --> 00:33:43.000]   But just notice there's zeros here, so you don't need -- in this -- you don't need any -- any of the Hs in this lower left-hand corner.
[00:33:43.000 --> 00:33:47.000]   And that's sort of -- so, you know, this is a pretty good example.
[00:33:47.000 --> 00:34:01.000]   So if you just -- you know, let's say your sequence length is 6 and your -- and your filter length is 4, then -- then you have this, you know, sort of, like, on the diagonal.
[00:34:01.000 --> 00:34:10.000]   So you have this -- you can look at, like, this here is this, right? And then it's repeated here, right?
[00:34:10.000 --> 00:34:16.000]   And then you have this off -- right adjacent to the diagonal, you have this guy, and that's right there.
[00:34:16.000 --> 00:34:30.000]   And so that could be decomposed into this plus this, right? And so what this allows you to do is much more efficient multiplication.
[00:34:30.000 --> 00:34:47.000]   So, and they -- so they, you know, study this, and it's indeed significantly faster in terms of the throughput, especially in terms of teraflops per second.
[00:34:47.000 --> 00:34:55.000]   You know, it's basically double or more, two and a half times, I guess, at scale.
[00:34:55.000 --> 00:35:10.000]   So that's a good thing. And so this can be used for -- definitely for the SE, the small one, and then the small explicit, and then the medium regularized as well, depending on the block size.
[00:35:10.000 --> 00:35:20.000]   And so, like -- and then this is a comparison of those blocks to other types of blocks.
[00:35:20.000 --> 00:35:40.000]   So this is -- this is flash attention, this SPDA is -- is, like, non-flash attention, I guess, and then it compares to Mamba, and then XLSTM, and DeltaNet, which I don't -- I'm not familiar with these two, but presumably they're state-space models.
[00:35:40.000 --> 00:35:43.000]   They're linear models, basically, yeah.
[00:35:43.000 --> 00:35:44.000]   Okay.
[00:35:44.000 --> 00:35:46.000]   Okay.
[00:35:46.000 --> 00:35:47.000]   Okay.
[00:35:47.000 --> 00:35:49.000]   So this is another point.
[00:35:49.000 --> 00:35:54.000]   I did not understand this diagram, so I stuck it here in case someone wants to explain it to me.
[00:35:54.000 --> 00:35:55.000]   Like, I get the gist of it.
[00:35:55.000 --> 00:36:11.000]   So this context parallelism, you know, so basically taking your sequence of, in this case, genes, of tokens, and, you know, sort of inferring it in parallel, and then sharing the -- you know, sort of doing a --
[00:36:11.000 --> 00:36:15.000]   sort of, like, scatter-gatherer approach or whatever.
[00:36:15.000 --> 00:36:24.000]   I think this is scatter-gatherer, or the all-to-all, to, you know, sort of, like, communicate the pieces that are missing.
[00:36:24.000 --> 00:36:26.000]   But this is at a bulk level.
[00:36:26.000 --> 00:36:30.000]   I don't -- I have trouble understanding this diagram.
[00:36:30.000 --> 00:36:35.000]   I did -- this one is more, you know, sort of obvious to me.
[00:36:35.000 --> 00:36:40.000]   And, like, fortunately, we just went over the ultra-scaling handbook.
[00:36:40.000 --> 00:36:52.000]   And, you know, this is covered in -- in, like, sort of -- or context parallelism is covered in the ultra-scaling handbook that we just went over.
[00:36:52.000 --> 00:36:58.000]   But, like, it's a little bit -- I think it's a little bit simpler for convolution than it is for attention.
[00:36:58.000 --> 00:37:05.000]   But with that said, you know, this -- this seems pretty -- this is basically ringing attention.
[00:37:05.000 --> 00:37:14.000]   what -- and you just, like -- this overlap has to be forwarded to the next guy before they can compute.
[00:37:14.000 --> 00:37:19.000]   So, I don't -- this one, I don't get.
[00:37:19.000 --> 00:37:23.000]   Does anyone understand this diagram?
[00:37:23.000 --> 00:37:27.000]   I think it's -- I think to simplify it is think of it as tensor-parallel.
[00:37:27.000 --> 00:37:32.000]   So, basically, the bulk of the calculations are done in parallel on multiple GPUs.
[00:37:32.000 --> 00:37:39.000]   And then, once again, like, you know, state-space models, like, at the end, they are just, like, compression of the states as they merge together.
[00:37:39.000 --> 00:37:42.000]   So, done in parallel, merge, done in parallel.
[00:37:42.000 --> 00:37:44.000]   And -- and that's --
[00:37:44.000 --> 00:37:45.000]   Oh, I see.
[00:37:45.000 --> 00:37:49.000]   That's part of the -- so, the first part is, like, the first chunk in parallel, and, like, by context thing.
[00:37:49.000 --> 00:37:55.000]   And then, after that, the information is synced across, and then they get merged, and then you get your outputs.
[00:37:55.000 --> 00:38:01.000]   Ah, okay. Yeah, yeah, yeah. So, that -- I think I see now. Okay. Yeah.
[00:38:01.000 --> 00:38:11.000]   One thing that I actually do admire the state-space team -- their formulation on is -- well, the high-level parts, right, the math can be rather complicated, right?
[00:38:11.000 --> 00:38:20.000]   They actually design it in a way where you can reduce the operations onto a very few brilliant operations.
[00:38:20.000 --> 00:38:27.000]   that is extremely counterintuitive, but it's mathematically right.
[00:38:27.000 --> 00:38:32.000]   So, they can do proof that this is a cheap and faster way to, like, do those steps, even though it may seem weird.
[00:38:32.000 --> 00:38:50.000]   Yeah. Yeah, no. So, I spent, actually, quite a bit of time going through the -- sort of the background papers here to understand how the -- like, especially that -- the mapping from their surrogate attention to -- to, like, these hyena operators.
[00:38:50.000 --> 00:39:09.000]   And, like, actually, the math -- I didn't put it in the talk. It's actually pretty understandable, and I -- there's no, like -- you don't need differential equations, which is -- like, you need -- if you wanted to do the -- you know, sort of the continuous version, you need to use differential equations.
[00:39:09.000 --> 00:39:21.000]   But for the discrete version, like, you just -- it's all just basic algebra to understand. I recommend, if anyone really wants to understand what's going on under the hood here, you can go and check out the hyena paper.
[00:39:21.000 --> 00:39:26.000]   I can give a link. It's actually linked up above in the talk.
[00:39:26.000 --> 00:39:40.000]   Okay. So, that's sort of, like, the machinery. Does anyone want to ask or comment on the machinery part of this?
[00:39:40.000 --> 00:39:50.000]   Okay. Good. So, they did a bunch of -- they did a whole bunch of evals.
[00:39:50.000 --> 00:40:19.000]   I think part of that is because, unlike the sort of, like, actual, you know, natural language version, there are not so many benchmarks. There are some benchmarks, but -- so, they have to -- so, a lot of what they do is benchmark against real-world, you know, sort of, like, real-world data sets that -- that -- that are, like, somewhat
[00:40:19.000 --> 00:40:48.000]   commonly used for evals or for -- or in some cases, they just came up with data sets to test against. So, they basically developed their own benchmarks for the study in a lot of cases. So, it's a little bit hard for me to understand how -- how well they're actually doing. This is an exception. I guess, needle and haystack, we're all familiar with. And it looks like they --
[00:40:48.000 --> 00:41:17.000]   like, they do pretty well. There's not any red except for this guy. This 7B model seems to have trouble at a million context length with depth at 100%. So, for -- I don't really understand why I didn't look into it. So -- but in any event, like, they -- they seem to do pretty well. And the way that they do this is they just stick a generated 100 base pair sequence somewhere in the context, you know, at 10% and 20% and whatever. And then they --
[00:41:17.000 --> 00:41:44.000]   and then they perturb it and see if that -- how much that impacts the -- the sort of -- the likelihood of the -- the same sequence at the end of the context. So, I think this is -- this closely matches what is typically done for a needle in a haystack test. Except -- one thing that I -- was questionable to me was that -- they used a generated 100 base pair sequence. Instead of --
[00:41:44.000 --> 00:42:13.000]   just a generated 100 base pair sequence instead of using some actual out of distribution, you know, sort of like held out sequence from a genome that is not part of the training set. Because -- and I -- I find this questionable because since it's in distribution law, of course, you're going to naturally be perturbed if you have a -- if -- you're -- you're naturally going to have a lower -- or --
[00:42:13.000 --> 00:42:20.000]   -- lower likelihood if you perturb the -- the -- the needle. Right? Does that make sense?
[00:42:20.000 --> 00:42:25.000]   No, I think that makes sense.
[00:42:25.000 --> 00:42:26.000]   So, so I feel like they -- this is -- unless I'm misunderstanding, I don't feel like this is the right test. Like, they should have used something out of distribution. Like, they actually -- in other places, they were really careful to hold out -- like, they held out certain viruses because -- I think for other reasons, but that -- they test whether or not, like, their performance on these out-of-distribution viruses. And it's really poor. And that's what -- they had actually intended that -- to be the design. Because I didn't -- I think they didn't want to bring in --
[00:42:26.000 --> 00:42:49.080]   So I feel like they, this is, unless I'm misunderstanding, I don't feel like this is the right test, right? They should have used something out of distribution. Like, they actually, in other places, they were really careful to hold out, like, they held out certain viruses, because I think for other reasons, but that they test whether or not, like, their performance on these out of distribution viruses, and it's really poor.
[00:42:49.080 --> 00:43:08.100]   And that's what they had actually intended that to be the design, because I didn't, I think they didn't want to bring in the genetics from those viruses into the study, or into the model for some reason. Or it might have been just for monitoring, but in any event, they should have used something that was held out from the distribution, or from the training set, sorry.
[00:43:10.600 --> 00:43:24.080]   So, okay, anyway. So then here, like, they have these, so one thing I love about these bioinformatics papers is their diagrams are often really, really good, and really interesting.
[00:43:24.940 --> 00:43:47.500]   So, I don't want to, like, I don't want to, like, I can talk about a few of these. I think the important thing is the title here is that they're able to predict the mutational effect of, on, like, proteins, and as measured in various ways, on RNA, on organism, organismal fitness,
[00:43:48.500 --> 00:43:52.720]   and across different domains of life, right, like, not only in humans or something.
[00:43:52.720 --> 00:44:07.320]   So, so I, if anyone's interested, I can go into the, I think I understand most of these diagrams, but, but I think one interesting thing to note is that these, all these zero shot,
[00:44:08.120 --> 00:44:21.320]   So, like, zero shot is really clear what it means in language modeling. In this case, I was a little confused about what they meant by a zero shot prediction here.
[00:44:21.320 --> 00:44:36.860]   And so what they're typically doing with these, all these studies is they're looking at what is the, you know, the change, like, in some cases, it's the change in likelihood or the likelihood of, you know, sort of a sequence.
[00:44:37.120 --> 00:44:45.800]   I mean, using that to, as a threshold on that likelihood or other more complicated things to, to make a prediction.
[00:44:45.800 --> 00:44:56.120]   So they, so like, in this case, they're using the change in likelihood when they mutate a sequence and they use that as an indicator of whether it's essential or not.
[00:44:56.120 --> 00:45:07.200]   Like, and I don't understand the biology of why that's a good test in this case, but, but that's generally, you know, you can see that here as well.
[00:45:08.480 --> 00:45:21.440]   Here, maybe, I'm not sure it's, it can, can you guys read this, by the way, it might be hard to read and, but like the, so the delta likelihood, you know, like sort of is used to predict that whether or not it's an essential gene.
[00:45:24.360 --> 00:45:40.480]   Right. So is that, is that kind of clear from a, at least from a high standpoint? So they did it, like you can see each one of these is a section in the paper and they, they really, I think, did a very complete job of looking at, okay, we're trying to build a foundation model.
[00:45:40.480 --> 00:45:50.400]   So does it generalize to a lot of different use cases without being explicitly trained on those use cases? And I think they did a good job of, of, of making that claim.
[00:45:50.400 --> 00:46:07.840]   Okay. And then this is, you know, more of the same kind of, but enables, you know, sort of like human clinical variant effect prediction. So, and I thought one of the, yeah.
[00:46:07.840 --> 00:46:34.480]   So basically, similar stuff, but with human clinical effects, right? So, and this is probably one of the most important use cases for this model is being able to, to like, like I was saying in the beginning, being able to predict what will this, given the specific genetics of this patient, what will their response to this medication be or something like that?
[00:46:34.480 --> 00:46:45.240]   Or like, or like, what will their progress, how, how, what, which, how will their, their specific set of mutations impact the way a disease progresses, right?
[00:46:45.240 --> 00:46:59.120]   Those are like super useful, you know, things you can imagine everyone gets, you know, you get a blood prick when you get, get on medication, they do, they sequence your genome if it's not already on file.
[00:46:59.120 --> 00:47:06.560]   And then you, you can, you know, you can pick which medication to take based on, on your specific genome, right?
[00:47:06.560 --> 00:47:09.300]   So that's, that's like, and this is kind of enabling that.
[00:47:09.300 --> 00:47:14.040]   We don't, I don't know how they claim they're doing a good job.
[00:47:14.860 --> 00:47:23.780]   I think it'll, you know, I think it'll, whether that bears out from a clinical standpoint, I don't know, but it like, you know, looks very promising.
[00:47:27.720 --> 00:47:33.280]   Okay, so a little, sorry, anyone want to ask questions about either of these two slides?
[00:47:33.280 --> 00:47:36.800]   Okay, we got 10 more minutes.
[00:47:36.800 --> 00:47:41.260]   Okay, so, okay, so let me move Eugene.
[00:47:43.960 --> 00:47:47.760]   So, um, this is like information on how they train the model.
[00:47:47.760 --> 00:48:05.900]   Uh, um, so interestingly, you know, the way that they thought about this was how do, like, we're going to do a, um, we're, we're going to, uh, train, you know, a base, like, as, as is common with long context models.
[00:48:05.900 --> 00:48:28.220]   They do like a base training, um, and then they extend the context in, in like, sort of what they're calling mid training, um, that they did that the way they think about this is like, okay, what are the, what are the sort of genetic, um, units that we can fit in, you know, a certain, like an AK context link.
[00:48:28.220 --> 00:48:43.240]   And so that, you know, you have like these, um, I think tRNA is transcript RNA, you have certain bacterial genes, um, non-coding RNA sequences, which help with the mechanism of transcription and other things like that.
[00:48:43.240 --> 00:48:57.060]   Um, and, but like things you don't have are like these sort of like larger eukaryote genes, phages, um, you know, sort of like these transcript domains, um, for humans or yeast cells.
[00:48:57.060 --> 00:49:00.240]   So like need a longer context.
[00:49:00.240 --> 00:49:12.180]   So it's interesting because I think unlike language modeling, you're the, there's the, like these, the things that are here and the things that are here are more qualitatively different, I think.
[00:49:12.180 --> 00:49:13.620]   So it's interesting.
[00:49:13.620 --> 00:49:18.720]   Um, I found this to be a, like an interesting difference in language modeling.
[00:49:18.720 --> 00:49:26.540]   Um, and this sort of shows, do you like the, the, um, the token counts for the two models.
[00:49:26.540 --> 00:49:31.460]   Um, I won't go into this, the rest of this.
[00:49:31.460 --> 00:49:33.860]   I, okay.
[00:49:33.860 --> 00:49:45.380]   So then there was a, two really clever things that they did or like that clearly they are, um, they thought carefully about the evals here.
[00:49:45.720 --> 00:49:58.060]   So they, um, and I, this is part of a larger diagram that I can show, but they, um, is like super hard to understand, or it's like really chaotic and would take like 10 minutes to talk through.
[00:49:58.060 --> 00:50:11.440]   So I, but the, the, the gist of it is all captured here where they, you know, they train a sparse autoencoder, they extract features, and then they identify biological features that, that they correspond to.
[00:50:11.440 --> 00:50:11.980]   Right.
[00:50:11.980 --> 00:50:23.280]   And, and so they valid, and they were using this partly as, um, a way to verify that their model is actually learning biologically, uh, relevant things.
[00:50:23.280 --> 00:50:23.900]   Right.
[00:50:23.900 --> 00:50:34.220]   So there's like sort of the operational standpoint that we already saw where like, yeah, we're able to predict things that are important, but this is more of a, look, you know, sort of a conceptual standpoint.
[00:50:34.220 --> 00:50:48.800]   Like, can, can, can our, can we learn features that correspond to, um, you know, sort of like boundaries of genes and, um, you know, different kinds of different types of genes and other things like that.
[00:50:48.800 --> 00:50:50.880]   Does that make sense?
[00:50:50.880 --> 00:50:56.300]   So I, I thought this was, um, interesting to include in an eval.
[00:50:56.300 --> 00:51:05.520]   Um, I think it's something that maybe, uh, we could do in language modeling as well, now that sparse autoencoders are becoming easier to work with.
[00:51:05.520 --> 00:51:23.120]   And, um, the other thing that I thought was pretty clever was that they, um, they, so this chromatin accessibility is like basically an important, uh, so this is epigenetics.
[00:51:23.120 --> 00:51:31.460]   Um, meaning it's like heritable differences in, uh, the way that your genes are expressed, um, that are impacted by the environment.
[00:51:31.460 --> 00:51:41.660]   So basically you're, so it's kind of, you know, I'm probably going to, it's like a geneticist will probably like, you know, throw up if I say it wrong.
[00:51:41.660 --> 00:51:49.300]   But, um, you know, it's like basically a way that your, your, your genome can learn about its environment, right?
[00:51:49.300 --> 00:51:58.060]   So that like you can, so that it impacts how much, or how the ways in which your genome is, is actually expressed based on your environment.
[00:51:58.060 --> 00:52:01.180]   And you can pass this in some cases onto your children.
[00:52:01.180 --> 00:52:04.140]   And so it's also heritable, but it's a different mechanism.
[00:52:04.140 --> 00:52:06.880]   Um, chromatin is one of the main ones.
[00:52:06.880 --> 00:52:28.880]   There are others, so, um, so what's going on here is, um, they, uh, they basically want in order to, to be able to either do, you know, sort of like in, like, um, like in, uh, com computer simulation.
[00:52:28.880 --> 00:52:48.340]   Um, like using their model or other things of chromatin accessibility, or actually to design, um, design genes that they can, you know, use CRISPR and other, um, additive mechanisms to stick, uh, things into, uh, into the genome.
[00:52:48.340 --> 00:52:55.120]   Um, and, and, and, and, and be able to control it's, you, this quote, unquote, chromatin accessibility.
[00:52:55.120 --> 00:52:56.260]   So what they.
[00:52:56.260 --> 00:53:02.020]   Did was they basically sampled sequences and then they use this.
[00:53:02.020 --> 00:53:09.000]   Like, you can just think of this as a classifier basically is, is, is, is this region accessible or not?
[00:53:09.660 --> 00:53:25.660]   Um, and then they would, they accept some and rejects them and then they just shop out the rejected part and then like, according to the criteria and then, um, and then just keep reject and then take the only the accepted part.
[00:53:25.660 --> 00:53:29.800]   And then generate from there on and, and then just keep iterating in that.
[00:53:29.800 --> 00:53:49.280]   So it's sort of like a, um, um, constrained generation basically using this sort of, um, this, this, um, really complex model to be the, be the signal that decides whether or not to reject or, or, or like the constraint.
[00:53:49.280 --> 00:53:55.120]   So I thought this was also very clever, um, take on constrained generation.
[00:53:55.120 --> 00:54:15.780]   Um, and like, sort of get, it, it, it got me to thinking about, okay, what besides like, you know, right now we have these very deterministic things that we do, uh, constrained generation with what are the, you know, sort of more, uh, more sophisticated things and like sort of models and downstream things that you could use for constrained generation.
[00:54:15.780 --> 00:54:17.780]   So that's okay.
[00:54:17.780 --> 00:54:23.460]   So like this, you know, again, like sort of truck driver stop, but that's the end of the slides.
[00:54:23.620 --> 00:54:26.560]   Does anyone want to comment, ask questions?
[00:54:26.560 --> 00:54:27.860]   I can review stuff.
[00:54:27.860 --> 00:54:29.060]   We have only three minutes.
[00:54:29.060 --> 00:54:34.280]   Uh, there's a question regarding, do you get a chance to look into how the data collection was done?
[00:54:34.280 --> 00:54:36.260]   Like what was done for evil one?
[00:54:36.260 --> 00:54:42.640]   What was done for evil two, um, specifically, I guess for the training and processes and all that.
[00:54:42.640 --> 00:54:43.580]   Yeah.
[00:54:43.580 --> 00:54:45.960]   So, uh, they do go over that in the paper.
[00:54:45.960 --> 00:54:53.840]   Um, uh, they actually, they, they formed a reasonably large data set.
[00:54:53.840 --> 00:54:56.720]   Um, here, let me see if I can grab the paper.
[00:54:56.720 --> 00:54:58.560]   Uh, let's see.
[00:54:58.560 --> 00:55:04.620]   So, um, um, I think it's, there's a good table of contents.
[00:55:04.620 --> 00:55:05.140]   Let me look at that.
[00:55:05.140 --> 00:55:11.060]   But basically, um, the, the nutshell is that they had a, they had a data set that they reused
[00:55:11.060 --> 00:55:14.100]   from between evil one and evil evil two.
[00:55:14.460 --> 00:55:20.980]   Um, they, they curated, there's a whole data collection section.
[00:55:20.980 --> 00:55:23.800]   Maybe it's towards the end.
[00:55:26.620 --> 00:55:33.720]   Or in the appendix, maybe here, um, inclusion, additional results.
[00:55:33.720 --> 00:55:43.280]   No, uh, sorry, I don't have, I can't pull it up, but, um, yeah, so I, I, so they, um, augmented.
[00:55:43.280 --> 00:55:52.960]   So the, the, the thing that stood out for me was that they, um, they added, so they use both
[00:55:52.960 --> 00:56:03.060]   DNA and RNA to train, so they, um, so they, you, and they did that explicitly because they wanted
[00:56:03.060 --> 00:56:11.940]   to be able to model, uh, RNA sequences and protein as well, or like sort of, um, do downstream
[00:56:11.940 --> 00:56:13.900]   tasks related to RNA and DNA.
[00:56:13.900 --> 00:56:21.240]   So, and what they did was they, uh, um, they switched the U symbol to the T symbol, so it
[00:56:21.240 --> 00:56:24.900]   looks like DNA and so that they keep the vocabulary the same.
[00:56:24.900 --> 00:56:33.400]   And the, the other thing that, uh, they, that was notable in my mind was that they, uh, they
[00:56:33.400 --> 00:56:40.520]   left out certain viruses or many viruses from the, I think bacterial viruses out of the training
[00:56:40.520 --> 00:56:40.820]   set.
[00:56:40.820 --> 00:56:48.520]   And I, I actually don't recall whether that was because they didn't want to pollute the data
[00:56:48.520 --> 00:56:54.540]   set with genes that were, that would be problematic or whether it was just because we want, it's
[00:56:54.540 --> 00:57:00.000]   different and we want to be able to measure the difference between in and out of distribution
[00:57:00.000 --> 00:57:00.400]   data.
[00:57:00.980 --> 00:57:04.840]   So, um, but yeah, they left that out.
[00:57:04.840 --> 00:57:07.140]   Um, there is, it is in the paper.
[00:57:07.140 --> 00:57:09.960]   It, it's, it's well-documented how they collected the data.
[00:57:09.960 --> 00:57:11.100]   I just don't remember it.
[00:57:11.100 --> 00:57:12.080]   Hmm.
[00:57:12.080 --> 00:57:16.540]   I guess, did they collect the data or did they filter existing public data sets?
[00:57:16.540 --> 00:57:16.800]   Yeah.
[00:57:16.800 --> 00:57:16.900]   Yeah.
[00:57:16.900 --> 00:57:17.360]   Yeah.
[00:57:17.360 --> 00:57:17.820]   No, no, no.
[00:57:17.820 --> 00:57:18.000]   Yeah.
[00:57:18.000 --> 00:57:21.760]   It's all, I mean, it would be enormously expensive to collect the data yourself.
[00:57:21.760 --> 00:57:22.460]   Yeah.
[00:57:22.460 --> 00:57:24.880]   They, they, they filtered public data sets.
[00:57:25.540 --> 00:57:30.200]   Uh, actually there's one thing that I found very interesting about the, can you scroll
[00:57:30.200 --> 00:57:33.500]   up to, to the part where they do the 8k to, to, to the larger context thing?
[00:57:33.500 --> 00:57:35.160]   Yeah.
[00:57:35.160 --> 00:57:37.320]   Uh, that's in the beginning, I think.
[00:57:37.320 --> 00:57:40.240]   Oh, uh, oh, sorry.
[00:57:40.240 --> 00:57:41.820]   You had, you had it in one of your slides.
[00:57:41.820 --> 00:57:42.100]   Yeah.
[00:57:42.100 --> 00:57:43.060]   Yeah.
[00:57:43.060 --> 00:57:44.060]   It's yeah.
[00:57:44.060 --> 00:57:45.620]   Let me, I'll just go back to the slides.
[00:57:45.620 --> 00:57:45.960]   I guess.
[00:57:45.960 --> 00:57:46.860]   Yeah.
[00:57:46.860 --> 00:57:47.060]   Yeah.
[00:57:47.060 --> 00:57:48.820]   Uh, yeah.
[00:57:48.820 --> 00:57:50.820]   Where was it?
[00:57:50.820 --> 00:57:55.240]   So here, oh no, it's, it's down here.
[00:57:55.240 --> 00:57:59.100]   Like, to be fair, I am no, I am not a genome expert.
[00:57:59.100 --> 00:58:02.680]   So, so, so, so, so there was, there was some things that I found interesting in that one,
[00:58:02.680 --> 00:58:06.660]   uh, which maybe some, uh, someone else who, who's a genome expert can chime in.
[00:58:06.660 --> 00:58:09.080]   But what I found interesting, right.
[00:58:09.080 --> 00:58:11.180]   Is that, so in text modeling, for example, right.
[00:58:11.180 --> 00:58:14.260]   Um, when we want to train on the smaller context thing, right.
[00:58:14.320 --> 00:58:15.920]   One of the things that we do is just chunk the data.
[00:58:15.920 --> 00:58:19.100]   So we're, so like in the equivalent, right.
[00:58:19.100 --> 00:58:24.260]   We'll take the large, large Wikipedia pages, let's just say the, the bacteria, and we just
[00:58:24.260 --> 00:58:26.240]   split them into like a hundred chunks.
[00:58:26.240 --> 00:58:28.820]   And then we just throw it into the, into the training for 8K.
[00:58:28.820 --> 00:58:34.560]   But in this case, from what you explained, I think you kind of said that they didn't do
[00:58:34.560 --> 00:58:34.780]   that.
[00:58:34.780 --> 00:58:41.700]   Um, they basically just use all the, all the infer, all the genome sequences that were less
[00:58:41.700 --> 00:58:44.740]   than 8K as the training data.
[00:58:44.740 --> 00:58:47.240]   That's what it seemed like to me.
[00:58:47.240 --> 00:58:47.480]   Yeah.
[00:58:47.480 --> 00:58:49.520]   And that generalized.
[00:58:49.520 --> 00:58:54.140]   And that to me was surprising because, because it's like, it just means that the vocabulary,
[00:58:54.140 --> 00:59:00.440]   like the grammar, so the, the equivalent would be like the English grammar here, right.
[00:59:00.440 --> 00:59:05.300]   Is consistent enough at 8K that even generalized to, to the larger context thing.
[00:59:05.720 --> 00:59:08.360]   And, and the, the analogy in my head, right.
[00:59:08.360 --> 00:59:13.980]   Is let's just say all of this, um, the, the, the, there is a basic grammatical rules of, uh,
[00:59:13.980 --> 00:59:19.800]   Anglo-Saxacan languages, basically English, French, that, that, that whole category, not
[00:59:19.800 --> 00:59:23.100]   including Chinese and Japanese, because there's, there's a different category altogether.
[00:59:23.100 --> 00:59:26.540]   Like they all same, they share the same lineage.
[00:59:26.540 --> 00:59:30.000]   And so that they have some approximate equivalent.
[00:59:30.000 --> 00:59:35.380]   And if you just learn the, the, uh, the early Latin languages equivalent, and then you follow
[00:59:35.380 --> 00:59:37.860]   down that trail, somehow it's convertible.
[00:59:37.860 --> 00:59:44.380]   So that to me was interesting because it just means that the fundamental concept is maybe at
[00:59:44.380 --> 00:59:49.180]   the end of their base pairs, um, there's just some meaning and rules that we, we haven't
[00:59:49.180 --> 00:59:51.760]   fully understand and this, and it's captured in 8K.
[00:59:51.760 --> 00:59:53.100]   Yeah.
[00:59:53.100 --> 00:59:53.620]   Yeah.
[00:59:53.620 --> 00:59:53.860]   Yeah.
[00:59:53.860 --> 00:59:56.320]   No, I, I thought that was really interesting too.
[00:59:56.320 --> 00:59:58.640]   Yeah.
[00:59:58.640 --> 00:59:59.140]   Yeah.
[00:59:59.140 --> 01:00:02.040]   But once again, I know, you know, expert, I may have gotten that completely wrong.
[01:00:02.040 --> 01:00:03.520]   Yeah, exactly.
[01:00:03.520 --> 01:00:05.500]   That's the same language modeling thinking.
[01:00:05.500 --> 01:00:06.740]   Yeah.
[01:00:06.740 --> 01:00:07.500]   Yeah.
[01:00:07.500 --> 01:00:09.160]   Awesome.
[01:00:09.160 --> 01:00:10.440]   Well, I think we're out of time.
[01:00:10.440 --> 01:00:14.460]   Uh, I don't want to hold people past the, the, the close.
[01:00:14.680 --> 01:00:18.320]   I'm happy to, uh, continue chatting on, on discord or whatever.
[01:00:18.320 --> 01:00:22.300]   Um, uh, but you know, thanks.
[01:00:22.300 --> 01:00:24.800]   Thanks a lot for listening.
[01:00:24.800 --> 01:00:27.080]   I hope I, I hope this was interesting to people.
[01:00:27.080 --> 01:00:30.540]   I'm super excited about, uh, genetics.
[01:00:30.540 --> 01:00:32.540]   I think I'm going to dig in further.
[01:00:32.540 --> 01:00:40.720]   I'm working with, uh, somebody to actually put together a class on, uh, on single cell AI
[01:00:40.720 --> 01:00:44.320]   models, um, and the sort of things downstream from those.
[01:00:44.320 --> 01:00:48.300]   So, um, you know, if you're interested, let me know, I'll, I'll try to include you.
[01:00:48.300 --> 01:00:53.340]   The, I actually think it's interesting because like the, I've seen papers on genetic modeling.
[01:00:53.340 --> 01:00:56.040]   There is like sub model size.
[01:00:56.040 --> 01:01:00.520]   You can conduct a class to build reasonable models on a laptop.
[01:01:00.520 --> 01:01:01.300]   Yeah.
[01:01:01.300 --> 01:01:01.660]   Yeah.
[01:01:01.660 --> 01:01:01.880]   Yeah.
[01:01:01.880 --> 01:01:02.580]   Yeah.
[01:01:02.580 --> 01:01:04.620]   Yeah.
[01:01:04.620 --> 01:01:09.420]   Well, and especially in single cell, the models are much smaller too, right?
[01:01:09.420 --> 01:01:13.280]   Cause you're looking at gene level, not at nucleotide level.
[01:01:13.280 --> 01:01:15.800]   Yeah.
[01:01:15.800 --> 01:01:17.020]   Cool.
[01:01:17.020 --> 01:01:18.060]   All right, guys.
[01:01:18.060 --> 01:01:19.900]   Well, see you guys on discord.
[01:01:19.900 --> 01:01:20.720]   Thank you very much.
[01:01:20.720 --> 01:01:22.000]   So it's fun for me.
[01:01:22.000 --> 01:01:23.440]   Hope it was fun for you.
[01:01:23.440 --> 01:01:26.220]   See you guys.
[01:01:26.220 --> 01:01:28.480]   Bye.
[01:01:28.480 --> 01:01:30.380]   way.

