
[00:00:00.000 --> 00:00:05.400]   Welcome to Huberman Lab Essentials, where we revisit past episodes for the most potent and
[00:26:09.860 --> 00:26:18.260]   not anxiety. I'm talking about psychotic disorders like schizophrenia or mania as part of bipolar disorder.
[00:26:18.260 --> 00:26:20.660]   The far more likely danger is the bad trip.
[00:26:21.220 --> 00:26:25.540]   Anyone can have this, the most psychologically healthy person in the world, probably.
[00:26:25.540 --> 00:26:31.540]   You jack the dose high enough and especially in, in, in a less than an ideal environment,
[00:26:31.540 --> 00:26:36.020]   you can have a bad trip. You can, you even get it in an ideal environment like ours at,
[00:26:36.020 --> 00:26:42.340]   at a high dose of around 30 milligrams of psilocybin. After, you know, the best preparation we can provide,
[00:26:42.340 --> 00:26:47.460]   about a third of people will say, essentially at some point they have a bad trip, you know, and we.
[00:26:47.460 --> 00:26:52.260]   At some point within the entire journey. Right. Now they could have one of the most beautiful
[00:26:52.260 --> 00:26:57.220]   experiences of their life, sometimes like a couple minutes later. Right. But at some point they had a
[00:26:57.220 --> 00:27:03.780]   sense of strong anxiety, fear, losing their mind, feeling trapped, something like that.
[00:27:03.780 --> 00:27:10.500]   I definitely want to ask you about micro dose versus standard or macro dosing psilocybin.
[00:27:10.500 --> 00:27:17.140]   I'm micro cynical, if you will, about this term micro dose. Is there any clinical evidence or peer
[00:27:17.140 --> 00:27:22.340]   reviewed published evidence that it works, quote unquote, to make people feel better about anything?
[00:27:22.340 --> 00:27:29.460]   So yeah, the claims are in their number of them. There's two general ones. One is, is sort of acting
[00:27:29.460 --> 00:27:36.740]   in place of the ADHD treating drugs. So the psychomotor stimulants, so like a better version of Adderall.
[00:27:36.740 --> 00:27:42.820]   The other claims are essentially a better version of, of the traditional antidepressants,
[00:27:42.820 --> 00:27:48.900]   a better version of Prozac. None of the peer reviewed studies that are, have much credibility.
[00:27:48.900 --> 00:27:56.340]   Um, none of them have shown a benefit. The handful of studies that have done that have shown
[00:27:56.340 --> 00:28:02.420]   they've ranged from finding no effect whatsoever to just a little bit of impairment, like impairing
[00:28:02.420 --> 00:28:08.420]   someone's ability to do, um, time estimation and production tasks. So you want an accurate sense of
[00:28:08.420 --> 00:28:12.820]   time, at least if you're navigating in the real world, it's different if you're on the couch on
[00:28:12.820 --> 00:28:17.460]   a heroic dose for therapeutic reasons where you're safe. But if you're crossing the street,
[00:28:17.460 --> 00:28:22.660]   if you're getting, you know, in your work life, which is what the way people are claiming to, you know,
[00:28:22.660 --> 00:28:27.860]   use that it helps them be a better CEO. Like you want an accurate sense of time. So if anything,
[00:28:27.860 --> 00:28:33.460]   the data suggests that it makes it a little bit less accurate. And, and there's evidence that someone
[00:28:33.460 --> 00:28:40.580]   feels, uh, a little bit impaired, um, and they feel a little bit high. So in terms of, you know,
[00:28:40.580 --> 00:28:46.980]   you call that abuse liability and research so far, no studies have, have shown, you know,
[00:28:46.980 --> 00:28:55.940]   any increase in creativity, enhancement of any form of cognition or, or, or a sustained improvement in mood.
[00:28:55.940 --> 00:29:03.380]   Now, no studies have actually looked at the, the, the, the system of microdosing that the
[00:29:03.380 --> 00:29:09.220]   aficionados are claiming folks like, um, Paul Stamets and others, they'll have particular formulas.
[00:29:09.220 --> 00:29:14.100]   They're like, you need to take it one day and then take so many days off and take it every four days.
[00:29:14.100 --> 00:29:18.340]   And they really say, you need to be on it for a while. Like a few weeks in, you may start to notice
[00:29:18.340 --> 00:29:22.900]   through this pattern of, of, of using it. And you, you're, you're feeling the benefits
[00:29:22.900 --> 00:29:30.100]   on those off days, like the three or two days in between your active doses. So those are the claims.
[00:29:30.100 --> 00:29:34.500]   Again, we don't know that there's any truth to that working, but studies have not been done
[00:29:34.500 --> 00:29:42.580]   to model that. So that's a big caveat. My bet is, and this is totally based on anecdotes that I think
[00:29:42.580 --> 00:29:48.180]   there is probably a reality to the antidepressant effects. I find that more intriguing because of
[00:29:48.180 --> 00:29:53.140]   the suffering with depression, right? Even if it's an, it, it wouldn't be as interesting as I think
[00:29:53.140 --> 00:29:58.580]   what we're doing with high dose psilocybin or psychedelics to treat, um, depression. It would
[00:29:58.580 --> 00:30:03.780]   be, if this is developed and there's a reality, it would be more like a better, you know, perhaps a
[00:30:03.780 --> 00:30:11.220]   better SSRI, a better Prozac, which are similar, more tools than fewer tools in the toolbox. And it
[00:30:11.220 --> 00:30:17.140]   shouldn't be that surprised. Like even before the, as going back to the tricyclics and the MAO
[00:30:17.140 --> 00:30:23.140]   inhibitors going back to the fifties, like augmenting extracellular serotonin in one way or another
[00:30:23.140 --> 00:30:29.460]   for many people leads to a, to reduction in depressive symptoms. It wouldn't be that crazy
[00:30:29.460 --> 00:30:35.380]   for chronically stimulating a subtype of serotonin receptor that you have an antidepressant effect.
[00:30:35.380 --> 00:30:40.980]   So I think if I had put my bets on it, that there's, if there's anything real, it is in that category.
[00:30:40.980 --> 00:30:43.940]   Although I'm very open to like, maybe there is something to the creativity,
[00:30:43.940 --> 00:30:52.820]   to the, you know, improved cognition, which covers many domains in and of itself. But, um, my, my
[00:30:52.820 --> 00:30:59.700]   greatest hopes are on the, uh, on the antidepressant effects that said in the big picture, I think all of
[00:30:59.700 --> 00:31:04.020]   the most interesting thing about psychedelics are the heroic doses. I mean, the idea that you can give
[00:31:04.020 --> 00:31:09.700]   something one, two, three times and you see improvements in depression months later and in
[00:31:09.700 --> 00:31:15.540]   addiction, you know, over a year later and with these, you know, people dealing with potentially
[00:31:15.540 --> 00:31:19.860]   terminal illness. I mean, it's, I mean, I'm interested in big effects.
[00:31:19.860 --> 00:31:24.340]   Right. I want to make sure that I ask you about the other really important mission that you're
[00:31:24.340 --> 00:31:29.700]   involved in with respect to psychedelics, which is not about depression per se, but is about
[00:31:29.700 --> 00:31:34.820]   neurological, a neurologic injury or head injury. You know, we always think sports, but there are many
[00:31:34.820 --> 00:31:42.420]   people who make a living in a way that is, um, over time is detrimental to their brain. What do you
[00:31:42.420 --> 00:31:48.820]   think is the potential for these compounds, particular psilocybin, but other compounds as well for the, um,
[00:31:48.820 --> 00:31:56.580]   treatment and possible even reversal of neurological injuries? There are anecdotes of, of people saying,
[00:31:56.580 --> 00:32:03.860]   uh, that, that psychedelics have helped heal their brain. You know, they've been in one of these
[00:32:03.860 --> 00:32:10.180]   situations like in sports, uh, a sport where there's repetitive head impact and they're claiming that,
[00:32:10.180 --> 00:32:15.860]   you know, using psychedelics has actually improved their cognitive function. For example, improved their
[00:32:15.860 --> 00:32:22.980]   memory. If you take these anecdotes and you combine it way across orders of analysis to the rodent research
[00:32:22.980 --> 00:32:29.780]   from, um, several labs like David Olson, Brian, uh, Roth, these folks that have shown different forms of
[00:32:29.780 --> 00:32:38.500]   neuroplasticity unfolding. Those effects may be at play and they improve in the psychiatric treatments
[00:32:38.500 --> 00:32:42.980]   that we're dealing with that hat. We don't know that it seems like a decent guess. And we're going
[00:32:42.980 --> 00:32:48.260]   to be figuring out whether that's the case, but another potential that that sets up is that maybe
[00:32:48.260 --> 00:32:56.020]   that's what's going on with, um, with, um, with, with, with, with these claims of improvements from
[00:32:56.020 --> 00:33:06.420]   neurological issues that there's actually, you know, uh, a repair of the brain, uh, uh, from injuries,
[00:33:06.420 --> 00:33:11.140]   underlying, you know, things that, you know, situations where there's repetitive head impact,
[00:33:11.140 --> 00:33:17.620]   perhaps there's a potential for, for helping folks recover from stroke, um, and disorders like that.
[00:33:17.620 --> 00:33:24.260]   Um, it is more exploratory, but what I'm hoping to do is some work with retired athletes who have been
[00:33:24.260 --> 00:33:29.940]   exposed, but by the nature of their sport, for example, in an a athletes in the UFC who have been
[00:33:29.940 --> 00:33:36.580]   exposed to, um, repetitive head impacts, like a lot of sports, um, a lot of, uh, you know, sports expose
[00:33:36.580 --> 00:33:42.100]   people to, and, and, and who are retired from the sport and are suffering from say depression,
[00:33:42.100 --> 00:33:49.540]   which can, uh, in part result from those types of, of, of that history of head impact.
[00:33:49.540 --> 00:33:57.380]   Um, see if we can fix the depression, but then also as a cherry on top in a more exploratory aim,
[00:33:57.380 --> 00:34:04.500]   see if we can have evidence of, of improvement in cognitive function and associate like using MRI,
[00:34:04.500 --> 00:34:08.980]   see if it affects gray matter over time, these types of things to see if there are actually some
[00:34:08.980 --> 00:34:16.740]   evidence of this improved, um, like this more direct repair of the brain. But again, it is very
[00:34:16.740 --> 00:34:23.780]   sort of like, we've got some rodent data, we've got some human anecdotes. We, we, we will acknowledge
[00:34:23.780 --> 00:34:30.020]   it's early days and we look forward to seeing the data. Um, I, I appreciate how cautious you are
[00:34:30.020 --> 00:34:34.260]   and tentative you are. You're not drawing any conclusions. Thank you so much for your time.
[00:34:34.260 --> 00:34:38.580]   Thank you for your time, for your knowledge. And I think you put it best earlier for, uh, holding
[00:34:38.580 --> 00:34:47.700]   the candle in a very dark time. And then now there's light.

