
[00:00:00.000 --> 00:00:01.320]   Dating is inherently deceptive.
[00:09:23.040 --> 00:09:24.040]   Like.
[00:09:24.040 --> 00:09:25.040]   Go away from this topic.
[00:09:25.040 --> 00:09:26.040]   I don't want to talk about this anymore.
[00:09:26.040 --> 00:09:27.040]   But he just.
[00:09:27.040 --> 00:09:28.040]   He starts ramping up at me.
[00:09:28.040 --> 00:09:29.040]   Like.
[00:09:29.040 --> 00:09:30.040]   He gets mad at me.
[00:09:30.040 --> 00:09:31.040]   Right?
[00:09:31.040 --> 00:09:32.040]   He's ramping up.
[00:09:32.040 --> 00:09:33.040]   And I'm like.
[00:09:33.040 --> 00:09:34.040]   I just.
[00:09:34.040 --> 00:09:35.040]   You know what?
[00:09:35.040 --> 00:09:36.040]   Can we just not talk about.
[00:09:36.040 --> 00:09:37.040]   I don't understand.
[00:09:37.040 --> 00:09:38.040]   Um.
[00:09:38.040 --> 00:09:39.040]   Okay.
[00:09:39.040 --> 00:09:40.040]   Like.
[00:09:40.040 --> 00:09:42.040]   I don't really want to talk about this anymore.
[00:09:42.040 --> 00:09:43.040]   Uh huh.
[00:09:43.040 --> 00:09:44.040]   And then.
[00:09:44.040 --> 00:09:45.040]   He's like ramping up.
[00:09:45.040 --> 00:09:46.040]   And he goes.
[00:09:46.040 --> 00:09:47.040]   Well.
[00:09:47.040 --> 00:09:49.040]   It's not like you're a supermodel or something.
[00:09:49.040 --> 00:09:50.040]   Uh huh.
[00:09:50.040 --> 00:09:51.040]   Uh huh.
[00:09:51.040 --> 00:09:52.040]   Uh huh.
[00:09:52.040 --> 00:09:53.040]   Uh huh.
[00:09:53.040 --> 00:09:54.040]   So.
[00:09:54.040 --> 00:09:55.040]   What did you do?
[00:09:55.040 --> 00:09:56.040]   So at that point.
[00:09:56.040 --> 00:09:57.040]   I just.
[00:09:57.040 --> 00:09:58.040]   I.
[00:09:58.040 --> 00:09:59.040]   I didn't know what to do.
[00:09:59.040 --> 00:10:00.040]   You know.
[00:10:00.040 --> 00:10:01.040]   So I just.
[00:10:01.040 --> 00:10:02.040]   I said.
[00:10:02.040 --> 00:10:03.040]   You know what Joe.
[00:10:03.040 --> 00:10:04.040]   I've never thought I was a supermodel.
[00:10:04.040 --> 00:10:05.040]   Like ever in my life.
[00:10:05.040 --> 00:10:06.040]   And I said.
[00:10:06.040 --> 00:10:07.040]   But I think I'm done with lunch.
[00:10:07.040 --> 00:10:08.040]   Okay.
[00:10:08.040 --> 00:10:09.040]   So then I wrap up.
[00:10:09.040 --> 00:10:10.040]   And then I get up.
[00:10:10.040 --> 00:10:11.040]   And then I.
[00:10:11.040 --> 00:10:12.040]   I'm walking to the car.
[00:10:12.040 --> 00:10:13.040]   I probably realized.
[00:10:13.040 --> 00:10:14.040]   Oh.
[00:10:14.040 --> 00:10:15.040]   I probably said something wrong.
[00:10:15.040 --> 00:10:16.040]   So he's.
[00:10:16.040 --> 00:10:17.040]   Like scurrying after me.
[00:10:17.040 --> 00:10:18.040]   He's like.
[00:10:18.040 --> 00:10:19.040]   Okay.
[00:10:19.040 --> 00:10:20.040]   I'll see you later.
[00:10:20.040 --> 00:10:21.040]   And then I'm like.
[00:10:21.040 --> 00:10:22.040]   And I close the door.
[00:10:22.040 --> 00:10:23.040]   And I peel out.
[00:10:23.040 --> 00:10:24.040]   Right.
[00:10:24.040 --> 00:10:25.040]   About 10-15 minutes later.
[00:10:25.040 --> 00:10:26.040]   He calls me.
[00:10:26.040 --> 00:10:27.040]   And he goes.
[00:10:27.040 --> 00:10:28.040]   Uh.
[00:10:28.040 --> 00:10:30.040]   I think you're beautiful.
[00:10:30.040 --> 00:10:33.040]   There was definitely a question mark at the end of it.
[00:10:33.040 --> 00:10:34.040]   So.
[00:10:34.040 --> 00:10:39.040]   That's a good move.
[00:10:39.040 --> 00:10:40.040]   Yeah.
[00:10:40.040 --> 00:10:44.040]   So when I talk to other sisters about it.
[00:10:44.040 --> 00:10:45.040]   They're like.
[00:10:45.040 --> 00:10:46.040]   You gotta take the full package.
[00:10:46.040 --> 00:10:47.040]   Um.
[00:10:47.040 --> 00:10:48.040]   Wow.
[00:10:48.040 --> 00:10:49.040]   Yeah.
[00:10:49.040 --> 00:10:50.040]   Yeah.
[00:10:50.040 --> 00:10:52.040]   How long into our relationship was that?
[00:10:52.040 --> 00:10:54.040]   I think that was maybe like.
[00:10:54.040 --> 00:10:55.040]   Two.
[00:10:55.040 --> 00:10:55.040]   Two.
[00:10:55.040 --> 00:10:56.040]   Three months.
[00:10:56.040 --> 00:10:57.040]   Something like that.
[00:10:57.040 --> 00:10:57.040]   Two.
[00:10:57.040 --> 00:10:58.040]   Three months.
[00:10:58.040 --> 00:10:59.040]   Yeah.
[00:10:59.040 --> 00:11:00.040]   It's probably around there.
[00:11:00.040 --> 00:11:02.040]   But he has this whole reason and everything.
[00:11:02.040 --> 00:11:03.040]   Like.
[00:11:03.040 --> 00:11:05.040]   You have to give him the back story.
[00:11:05.040 --> 00:11:06.040]   Like.
[00:11:06.040 --> 00:11:07.040]   It's cause.
[00:11:07.040 --> 00:11:08.040]   Women are insecure.
[00:11:08.040 --> 00:11:09.040]   And you know.
[00:11:09.040 --> 00:11:10.040]   Men.
[00:11:10.040 --> 00:11:11.040]   Yeah.
[00:11:11.040 --> 00:11:12.040]   Well.
[00:11:12.040 --> 00:11:13.040]   Okay.
[00:11:13.040 --> 00:11:14.040]   Um.
[00:11:14.040 --> 00:11:15.040]   Joe does not want to talk about this.
[00:11:15.040 --> 00:11:18.040]   I grew up with very few female friends.
[00:11:18.040 --> 00:11:19.040]   I just hung out with the bros.
[00:11:19.040 --> 00:11:20.040]   His dad apologized to me.
[00:11:20.040 --> 00:11:21.040]   Like.
[00:11:21.040 --> 00:11:22.040]   When he met me.
[00:11:22.040 --> 00:11:23.040]   Knowing that.
[00:11:23.040 --> 00:11:24.040]   You know.
[00:11:24.040 --> 00:11:25.040]   I had an older brother.
[00:11:25.040 --> 00:11:27.040]   probably just rough housing all the time.
[00:11:27.040 --> 00:11:28.040]   So.
[00:11:28.040 --> 00:11:29.040]   I really didn't understand.
[00:11:29.040 --> 00:11:30.040]   Like.
[00:11:30.040 --> 00:11:31.040]   The female psyche.
[00:11:31.040 --> 00:11:32.040]   Mm.
[00:11:32.040 --> 00:11:33.040]   Um.
[00:11:33.040 --> 00:11:34.040]   But.
[00:11:34.040 --> 00:11:35.040]   You know.
[00:11:35.040 --> 00:11:36.040]   Like I mentioned earlier.
[00:11:36.040 --> 00:11:37.040]   Really what I wanted.
[00:11:37.040 --> 00:11:38.040]   Was.
[00:11:38.040 --> 00:11:39.040]   Uh.
[00:11:39.040 --> 00:11:41.040]   Someone who was gonna be a good wife.
[00:11:41.040 --> 00:11:42.040]   A good mom.
[00:11:42.040 --> 00:11:44.040]   And a good minister.
[00:11:44.040 --> 00:11:45.040]   That's really what I cared about.
[00:11:45.040 --> 00:11:46.040]   Someone who loved Jesus.
[00:11:46.040 --> 00:11:47.040]   And someone who's gonna do that.
[00:11:47.040 --> 00:11:48.040]   Like.
[00:11:48.040 --> 00:11:49.040]   With me.
[00:11:49.040 --> 00:11:50.040]   Mm.
[00:11:50.040 --> 00:11:51.040]   Till the end.
[00:11:51.040 --> 00:11:52.040]   Partner until we die.
[00:11:52.040 --> 00:11:53.040]   That's what I was looking for.
[00:11:53.040 --> 00:11:54.040]   Mm.
[00:11:54.040 --> 00:11:55.040]   I didn't care.
[00:11:55.040 --> 00:11:56.040]   About.
[00:11:56.040 --> 00:11:57.040]   Like.
[00:11:57.040 --> 00:12:00.040]   The world's beauty standards.
[00:12:00.040 --> 00:12:01.040]   Mm.
[00:12:01.040 --> 00:12:02.040]   Stuff like that.
[00:12:02.040 --> 00:12:03.040]   Was not.
[00:12:03.040 --> 00:12:04.040]   Like.
[00:12:04.040 --> 00:12:05.040]   Something I.
[00:12:05.040 --> 00:12:06.040]   Like.
[00:12:06.040 --> 00:12:07.040]   Was not high on my list.
[00:12:07.040 --> 00:12:08.040]   Mm.
[00:12:08.040 --> 00:12:09.040]   And I thought.
[00:12:09.040 --> 00:12:12.040]   Surely that's a good thing.
[00:12:12.040 --> 00:12:13.040]   Here's the world.
[00:12:13.040 --> 00:12:14.040]   Amen.
[00:12:14.040 --> 00:12:15.040]   Take notes.
[00:12:15.040 --> 00:12:16.040]   Here's the world.
[00:12:16.040 --> 00:12:17.040]   Telling women.
[00:12:17.040 --> 00:12:18.040]   That.
[00:12:18.040 --> 00:12:20.040]   Their worth is defined by their.
[00:12:20.040 --> 00:12:21.040]   By their appearance.
[00:12:21.040 --> 00:12:22.040]   In fact.
[00:12:22.040 --> 00:12:23.040]   That's.
[00:12:23.040 --> 00:12:24.040]   Now that I have daughters.
[00:12:24.040 --> 00:12:26.040]   I understand it a little bit more.
[00:12:26.040 --> 00:12:27.040]   Because I see it in them.
[00:12:27.040 --> 00:12:28.040]   And how much it affects them.
[00:12:28.040 --> 00:12:29.040]   Mm.
[00:12:29.040 --> 00:12:30.040]   But it's.
[00:12:30.040 --> 00:12:31.040]   It's really crazy.
[00:12:31.040 --> 00:12:33.040]   I actually hate that part of the world.
[00:12:33.040 --> 00:12:34.040]   Mm.
[00:12:34.040 --> 00:12:35.040]   That tells women.
[00:12:35.040 --> 00:12:36.040]   That their values about their appearance.
[00:12:36.040 --> 00:12:37.040]   Okay.
[00:12:37.040 --> 00:12:38.040]   So.
[00:12:38.040 --> 00:12:39.040]   There's that.
[00:12:39.040 --> 00:12:40.040]   Now I'm like.
[00:12:40.040 --> 00:12:42.040]   I don't care about that stuff.
[00:12:42.040 --> 00:12:43.040]   I care about.
[00:12:43.040 --> 00:12:44.040]   Your character.
[00:12:44.040 --> 00:12:45.040]   I care about.
[00:12:45.040 --> 00:12:46.040]   Isn't that.
[00:12:46.040 --> 00:12:47.040]   A good thing.
[00:12:47.040 --> 00:12:48.040]   Isn't it a good thing.
[00:12:48.040 --> 00:12:49.040]   It is.
[00:12:49.040 --> 00:12:50.040]   That's the thing.
[00:12:50.040 --> 00:12:51.040]   That's what makes it so confusing.
[00:12:51.040 --> 00:12:52.040]   The one who wants to date you.
[00:12:52.040 --> 00:12:53.040]   Like your husband.
[00:12:53.040 --> 00:12:54.040]   That's true.
[00:12:54.040 --> 00:12:55.040]   I agree.
[00:12:55.040 --> 00:12:56.040]   Like.
[00:12:56.040 --> 00:12:57.040]   Is not about that.
[00:12:57.040 --> 00:12:58.040]   And just.
[00:12:58.040 --> 00:12:59.040]   Cares about.
[00:12:59.040 --> 00:13:00.040]   Your soul.
[00:13:00.040 --> 00:13:01.040]   Like.
[00:13:01.040 --> 00:13:02.040]   That's what I didn't understand.
[00:13:02.040 --> 00:13:03.040]   Yeah.
[00:13:03.040 --> 00:13:04.040]   Wait a minute.
[00:13:04.040 --> 00:13:05.040]   Wait a minute.
[00:13:05.040 --> 00:13:06.040]   Wait a minute.
[00:13:06.040 --> 00:13:07.040]   Why am I the bad guy.
[00:13:07.040 --> 00:13:08.040]   The world is the bad guy.
[00:13:08.040 --> 00:13:09.040]   I.
[00:13:09.040 --> 00:13:10.040]   I.
[00:13:10.040 --> 00:13:11.040]   I.
[00:13:11.040 --> 00:13:12.040]   Isn't this good.
[00:13:12.040 --> 00:13:13.040]   Isn't it good that you have a husband who wants this.
[00:13:13.040 --> 00:13:14.040]   That's what I.
[00:13:14.040 --> 00:13:15.040]   Didn't understand.
[00:13:15.040 --> 00:13:16.040]   I was getting ramped up.
[00:13:16.040 --> 00:13:17.040]   And I was just.
[00:13:17.040 --> 00:13:18.040]   I just.
[00:13:18.040 --> 00:13:19.040]   Yeah.
[00:13:19.040 --> 00:13:20.040]   I don't know what to say to that.
[00:13:20.040 --> 00:13:21.040]   Cause that's.
[00:13:21.040 --> 00:13:22.040]   So.
[00:13:22.040 --> 00:13:23.040]   So I thought about it.
[00:13:23.040 --> 00:13:24.040]   Yeah.
[00:13:24.040 --> 00:13:25.040]   So I thought about it.
[00:13:25.040 --> 00:13:26.040]   And I realized.
[00:13:26.040 --> 00:13:27.040]   I spent some time journaling about it.
[00:13:27.040 --> 00:13:28.040]   Cause I.
[00:13:28.040 --> 00:13:29.040]   After this incident.
[00:13:29.040 --> 00:13:30.040]   What's going on.
[00:13:30.040 --> 00:13:31.040]   So.
[00:13:31.040 --> 00:13:32.040]   And I realized.
[00:13:32.040 --> 00:13:33.040]   I realized.
[00:13:33.040 --> 00:13:34.040]   Um.
[00:13:34.040 --> 00:13:35.040]   Actually when she said.
[00:13:35.040 --> 00:13:36.040]   You know.
[00:13:36.040 --> 00:13:38.040]   If you were a short fat bald guy.
[00:13:38.040 --> 00:13:39.040]   Like how would you feel.
[00:13:39.040 --> 00:13:40.040]   In other words.
[00:13:40.040 --> 00:13:41.040]   She flipped it on me.
[00:13:41.040 --> 00:13:42.040]   And actually my.
[00:13:42.040 --> 00:13:44.040]   Honest emotional reaction was.
[00:13:44.040 --> 00:13:45.040]   Oh.
[00:13:45.040 --> 00:13:46.040]   That would be great.
[00:13:46.040 --> 00:13:48.040]   Why don't you feel that way.
[00:13:48.040 --> 00:13:49.040]   It's kind of how I was feeling right.
[00:13:49.040 --> 00:13:50.040]   But I realized.
[00:13:50.040 --> 00:13:51.040]   It's because.
[00:13:51.040 --> 00:13:53.040]   Generally speaking.
[00:13:53.040 --> 00:13:55.040]   The thing that women are insecure about.
[00:13:55.040 --> 00:13:56.040]   And men are insecure about.
[00:13:56.040 --> 00:13:57.040]   Are very different.
[00:13:57.040 --> 00:13:59.040]   Men are not insecure about their looks.
[00:13:59.040 --> 00:14:00.040]   Generally speaking.
[00:14:00.040 --> 00:14:01.040]   So they don't care.
[00:14:01.040 --> 00:14:02.040]   Yeah.
[00:14:02.040 --> 00:14:03.040]   And we're all kind of deluded.
[00:14:03.040 --> 00:14:04.040]   Right.
[00:14:04.040 --> 00:14:05.040]   So I actually had to.
[00:14:05.040 --> 00:14:06.040]   Translate it.
[00:14:06.040 --> 00:14:07.040]   And then.
[00:14:07.040 --> 00:14:08.040]   I thought.
[00:14:08.040 --> 00:14:09.040]   I sort of ran this.
[00:14:09.040 --> 00:14:10.040]   Thought experiment.
[00:14:10.040 --> 00:14:11.040]   If she said.
[00:14:11.040 --> 00:14:12.040]   You know what.
[00:14:12.040 --> 00:14:13.040]   If you were a total loser.
[00:14:13.040 --> 00:14:14.040]   And you would amount to nothing.
[00:14:14.040 --> 00:14:16.040]   And you would add value to no one.
[00:14:16.040 --> 00:14:18.040]   And no one would respect you.
[00:14:18.040 --> 00:14:19.040]   But I would still marry you.
[00:14:19.040 --> 00:14:20.040]   How would you feel.
[00:14:20.040 --> 00:14:21.040]   That's.
[00:14:21.040 --> 00:14:22.040]   That's when I was like.
[00:14:22.040 --> 00:14:23.040]   That hurts.
[00:14:23.040 --> 00:14:24.040]   Wow.
[00:14:24.040 --> 00:14:25.040]   And I go.
[00:14:25.040 --> 00:14:26.040]   That's what she was feeling.
[00:14:26.040 --> 00:14:27.040]   Because.
[00:14:27.040 --> 00:14:28.040]   Her source of insecurities.
[00:14:28.040 --> 00:14:29.040]   Is.
[00:14:29.040 --> 00:14:30.040]   Is in that.
[00:14:30.040 --> 00:14:31.040]   And that's what I touched.
[00:14:31.040 --> 00:14:32.040]   And.
[00:14:32.040 --> 00:14:33.040]   And if I had to translate it.
[00:14:33.040 --> 00:14:34.040]   To this.
[00:14:34.040 --> 00:14:35.040]   To the male thing.
[00:14:35.040 --> 00:14:36.040]   I was like.
[00:14:36.040 --> 00:14:37.040]   Oh.
[00:14:37.040 --> 00:14:38.040]   That would have hurt actually.
[00:14:38.040 --> 00:14:39.040]   A lot.
[00:14:39.040 --> 00:14:40.040]   And that's when I realized.
[00:14:40.040 --> 00:14:41.040]   I did a bad thing.
[00:14:41.040 --> 00:14:42.040]   Yeah.
[00:14:42.040 --> 00:14:43.040]   Yeah.
[00:14:43.040 --> 00:14:44.040]   So that's when.
[00:14:44.040 --> 00:14:45.040]   I kind of.
[00:14:45.040 --> 00:14:46.040]   Yeah.
[00:14:46.040 --> 00:14:47.040]   We talked about it.
[00:14:47.040 --> 00:14:48.040]   I apologize.
[00:14:48.040 --> 00:14:49.040]   Is that when you called and said.
[00:14:49.040 --> 00:14:50.040]   No, no, no.
[00:14:50.040 --> 00:14:51.040]   That was.
[00:14:51.040 --> 00:14:52.040]   That was just.
[00:14:52.040 --> 00:14:53.040]   I didn't know what to do.
[00:14:53.040 --> 00:14:54.040]   Yeah.
[00:14:54.040 --> 00:14:55.040]   Yeah.
[00:14:55.040 --> 00:14:56.040]   Yeah.
[00:14:56.040 --> 00:14:56.040]   Yeah.
[00:14:56.040 --> 00:14:57.040]   It was.
[00:14:57.040 --> 00:14:58.040]   I kind of thought about it later that night.
[00:14:58.040 --> 00:14:59.040]   And sort of.
[00:14:59.040 --> 00:15:00.040]   Yeah.
[00:15:00.040 --> 00:15:01.040]   Wow.
[00:15:01.040 --> 00:15:02.040]   Did you share all those insights with her?
[00:15:02.040 --> 00:15:03.040]   Like.
[00:15:03.040 --> 00:15:04.040]   I did.
[00:15:04.040 --> 00:15:05.040]   Afterwards.
[00:15:05.040 --> 00:15:06.040]   Oh.
[00:15:06.040 --> 00:15:07.040]   I think you only shared it after we were married.
[00:15:07.040 --> 00:15:08.040]   Oh really?
[00:15:08.040 --> 00:15:09.040]   Yeah.
[00:15:09.040 --> 00:15:11.040]   I was grateful for a thoughtful husband.
[00:15:11.040 --> 00:15:12.040]   Wow.
[00:15:12.040 --> 00:15:13.040]   Yeah.
[00:15:13.040 --> 00:15:14.040]   Someone who would journal about that.
[00:15:14.040 --> 00:15:15.040]   Yeah.
[00:15:15.040 --> 00:15:16.040]   After it happening.
[00:15:16.040 --> 00:15:17.040]   Yeah.
[00:15:17.040 --> 00:15:18.040]   It was very thoughtful.
[00:15:18.040 --> 00:15:19.040]   Yeah.
[00:15:19.040 --> 00:15:20.040]   I don't know how many guys would do that.
[00:15:20.040 --> 00:15:21.040]   Yeah.
[00:15:21.040 --> 00:15:22.040]   That's amazing.
[00:15:22.040 --> 00:15:24.040]   Marriage has caused me to journal more than anything.
[00:15:24.040 --> 00:15:25.040]   It's been good.
[00:15:25.040 --> 00:15:26.040]   Praise the Lord.
[00:15:26.040 --> 00:15:27.040]   Wow.
[00:15:27.040 --> 00:15:28.040]   Wow.
[00:15:28.040 --> 00:15:28.040]   Okay.
[00:15:28.040 --> 00:15:29.040]   I don't know if we're going to top that one.
[00:15:29.040 --> 00:15:30.040]   But.
[00:15:30.040 --> 00:15:31.040]   Yeah.
[00:15:31.040 --> 00:15:32.040]   Should we.
[00:15:32.040 --> 00:15:33.040]   Should we.
[00:15:33.040 --> 00:15:34.040]   I forgot what we were talking about.
[00:15:34.040 --> 00:15:35.040]   Yeah.
[00:15:35.040 --> 00:15:36.040]   So tell us more about marriage.
[00:15:36.040 --> 00:15:37.040]   Oh.
[00:15:37.040 --> 00:15:38.040]   Yeah.
[00:15:38.040 --> 00:15:39.040]   I'm just.
[00:15:39.040 --> 00:15:40.040]   I'm like so.
[00:15:40.040 --> 00:15:41.040]   I'm just trying to process.
[00:15:41.040 --> 00:15:42.040]   It's like I'm learning things.
[00:15:42.040 --> 00:15:43.040]   This is like.
[00:15:43.040 --> 00:15:44.040]   This is a little much right now.
[00:15:44.040 --> 00:15:45.040]   Okay.
[00:15:45.040 --> 00:15:46.040]   So okay.
[00:15:46.040 --> 00:15:47.040]   Well okay.
[00:15:47.040 --> 00:15:48.040]   Let's move on.
[00:15:48.040 --> 00:15:49.040]   So on that note.
[00:15:49.040 --> 00:15:50.040]   I feel like.
[00:15:50.040 --> 00:15:51.040]   Yeah.
[00:15:51.040 --> 00:15:52.040]   We'll have a bonus episode with them later.
[00:15:52.040 --> 00:15:53.040]   Where we'll have more of these stories.
[00:15:53.040 --> 00:15:54.040]   And just get some wisdom I think.
[00:15:54.040 --> 00:15:55.040]   But.
[00:15:55.040 --> 00:15:56.040]   Okay.
[00:15:56.040 --> 00:15:57.040]   So on that note.
[00:15:57.040 --> 00:15:58.040]   We do want to talk about dating.
[00:15:58.040 --> 00:15:59.040]   And.
[00:15:59.040 --> 00:16:00.040]   I feel like dating is one of these things where.
[00:16:00.040 --> 00:16:01.040]   It's sort of.
[00:16:01.040 --> 00:16:02.040]   It's in the air.
[00:16:02.040 --> 00:16:03.040]   At our church.
[00:16:03.040 --> 00:16:04.040]   I mean it's in the air.
[00:16:04.040 --> 00:16:05.040]   In college of course.
[00:16:05.040 --> 00:16:06.040]   Everyone's thinking about dating.
[00:16:06.040 --> 00:16:08.040]   The reality is there's some sort of stigma attached to it.
[00:16:08.040 --> 00:16:09.040]   And at least like.
[00:16:09.040 --> 00:16:10.040]   I don't know.
[00:16:10.040 --> 00:16:11.040]   I'm just going to share my experience.
[00:16:11.040 --> 00:16:12.040]   At Rutgers.
[00:16:12.040 --> 00:16:13.040]   I mean it's like we never talk about dating.
[00:16:13.040 --> 00:16:14.040]   Actually.
[00:16:14.040 --> 00:16:15.040]   I don't think I've.
[00:16:15.040 --> 00:16:16.040]   I preach every Sunday.
[00:16:16.040 --> 00:16:17.040]   I don't think I've ever preached about it.
[00:16:17.040 --> 00:16:18.040]   Or.
[00:16:18.040 --> 00:16:19.040]   Hasn't really come up in discipleship or anything.
[00:16:19.040 --> 00:16:20.040]   Um.
[00:16:20.040 --> 00:16:21.040]   But.
[00:16:21.040 --> 00:16:22.040]   Even despite that.
[00:16:22.040 --> 00:16:23.040]   Like I think.
[00:16:23.040 --> 00:16:25.040]   There is this sort of sense that like.
[00:16:25.040 --> 00:16:26.040]   Oh.
[00:16:26.040 --> 00:16:27.040]   Acts 2 network.
[00:16:27.040 --> 00:16:28.040]   Anti dating.
[00:16:28.040 --> 00:16:30.040]   I think if I had to sum it up.
[00:16:30.040 --> 00:16:31.040]   That's an oversimplification.
[00:16:31.040 --> 00:16:32.040]   But that is sort of the sense.
[00:16:32.040 --> 00:16:33.040]   Puritanical.
[00:16:33.040 --> 00:16:34.040]   Yeah.
[00:16:34.040 --> 00:16:35.040]   So.
[00:16:35.040 --> 00:16:36.040]   I.
[00:16:36.040 --> 00:16:37.040]   We did hear that you guys.
[00:16:37.040 --> 00:16:38.040]   About once a year.
[00:16:38.040 --> 00:16:39.040]   You do have like a little seminar.
[00:16:39.040 --> 00:16:40.040]   On the.
[00:16:40.040 --> 00:16:41.040]   On the dating topic.
[00:16:41.040 --> 00:16:42.040]   So we just want to hear like.
[00:16:42.040 --> 00:16:42.040]   How.
[00:16:42.040 --> 00:16:43.040]   Yeah.
[00:16:43.040 --> 00:16:44.040]   What are your thoughts about.
[00:16:44.040 --> 00:16:45.040]   Specifically.
[00:16:45.040 --> 00:16:46.040]   Undergrads.
[00:16:46.040 --> 00:16:47.040]   Dating.
[00:16:47.040 --> 00:16:48.040]   Like.
[00:16:48.040 --> 00:16:49.040]   For it.
[00:16:49.040 --> 00:16:50.040]   Against it.
[00:16:50.040 --> 00:16:51.040]   What do you think about it.
[00:16:51.040 --> 00:16:52.040]   And what's some wisdom that you shared.
[00:16:52.040 --> 00:16:53.040]   Maybe just.
[00:16:53.040 --> 00:16:54.040]   Break it down for us a little.
[00:16:54.040 --> 00:16:55.040]   Yeah.
[00:16:55.040 --> 00:16:56.040]   Sure.
[00:16:56.040 --> 00:16:57.040]   Yeah.
[00:16:57.040 --> 00:16:58.040]   So we ended up doing that.
[00:16:58.040 --> 00:16:59.040]   Because.
[00:16:59.040 --> 00:17:00.040]   That's one of the most popular topics.
[00:17:00.040 --> 00:17:01.040]   For office hours.
[00:17:01.040 --> 00:17:02.040]   Yeah.
[00:17:02.040 --> 00:17:03.040]   And I just kept talking about it.
[00:17:03.040 --> 00:17:04.040]   Every week.
[00:17:04.040 --> 00:17:05.040]   Different people.
[00:17:05.040 --> 00:17:06.040]   I thought.
[00:17:06.040 --> 00:17:07.040]   Hey.
[00:17:07.040 --> 00:17:08.040]   Might as well just kind of.
[00:17:08.040 --> 00:17:09.040]   Put it all together.
[00:17:09.040 --> 00:17:10.040]   Yeah.
[00:17:10.040 --> 00:17:11.040]   So everyone here at the same time.
[00:17:11.040 --> 00:17:12.040]   Because I think it's a hugely important topic.
[00:17:12.040 --> 00:17:12.040]   Yeah.
[00:17:12.040 --> 00:17:13.040]   Kind of how you started.
[00:17:13.040 --> 00:17:14.040]   Because a lot of people.
[00:17:14.040 --> 00:17:17.040]   Kind of think that we have a stance on it.
[00:17:17.040 --> 00:17:18.040]   And.
[00:17:18.040 --> 00:17:19.040]   I have to keep telling people.
[00:17:19.040 --> 00:17:20.040]   We don't.
[00:17:20.040 --> 00:17:21.040]   Like.
[00:17:21.040 --> 00:17:22.040]   As far as I know.
[00:17:22.040 --> 00:17:23.040]   At least.
[00:17:23.040 --> 00:17:24.040]   Yeah.
[00:17:24.040 --> 00:17:25.040]   I think we.
[00:17:25.040 --> 00:17:26.040]   I think it's fair to say.
[00:17:26.040 --> 00:17:27.040]   We used to.
[00:17:27.040 --> 00:17:28.040]   Like.
[00:17:28.040 --> 00:17:29.040]   Back in the day.
[00:17:29.040 --> 00:17:30.040]   Like.
[00:17:30.040 --> 00:17:31.040]   I don't know how far back.
[00:17:31.040 --> 00:17:32.040]   But.
[00:17:32.040 --> 00:17:33.040]   It has changed.
[00:17:33.040 --> 00:17:34.040]   It's changed.
[00:17:34.040 --> 00:17:35.040]   Yeah.
[00:17:35.040 --> 00:17:36.040]   The reality is.
[00:17:36.040 --> 00:17:37.040]   I don't think we do anymore.
[00:17:37.040 --> 00:17:38.040]   Yeah.
[00:17:38.040 --> 00:17:39.040]   Yeah.
[00:17:39.040 --> 00:17:40.040]   So.
[00:17:40.040 --> 00:17:41.040]   A lot of.
[00:17:41.040 --> 00:17:42.040]   principles.
[00:17:42.040 --> 00:17:43.040]   Principles.
[00:17:43.040 --> 00:17:44.040]   And how that works out.
[00:17:44.040 --> 00:17:45.040]   In your life.
[00:17:45.040 --> 00:17:46.040]   So.
[00:17:46.040 --> 00:17:47.040]   Um.
[00:17:47.040 --> 00:17:48.040]   Yeah.
[00:17:48.040 --> 00:17:48.040]   So.
[00:17:48.040 --> 00:17:49.040]   I guess.
[00:17:49.040 --> 00:17:50.040]   I don't know.
[00:17:50.040 --> 00:17:51.040]   There's a lot that goes into that.
[00:17:51.040 --> 00:17:52.040]   Like.
[00:17:52.040 --> 00:17:53.040]   Dating.
[00:17:53.040 --> 00:17:54.040]   Again.
[00:17:54.040 --> 00:17:55.040]   Because it's a huge topic.
[00:17:55.040 --> 00:17:56.040]   There's a lot of wisdom around it.
[00:17:56.040 --> 00:17:57.040]   There's a lot of ways to think about it.
[00:17:57.040 --> 00:17:58.040]   But I guess if I had to like.
[00:17:58.040 --> 00:17:59.040]   Boil it down.
[00:17:59.040 --> 00:18:00.040]   Um.
[00:18:00.040 --> 00:18:01.040]   I guess it would be.
[00:18:01.040 --> 00:18:02.040]   Like.
[00:18:02.040 --> 00:18:03.040]   Let's look at the bible.
[00:18:03.040 --> 00:18:04.040]   For what it says about dating.
[00:18:04.040 --> 00:18:05.040]   Okay.
[00:18:05.040 --> 00:18:06.040]   It doesn't say anything.
[00:18:06.040 --> 00:18:07.040]   There's nothing.
[00:18:07.040 --> 00:18:08.040]   There's nothing.
[00:18:08.040 --> 00:18:09.040]   There's nothing.
[00:18:09.040 --> 00:18:10.040]   There's nothing in there.
[00:18:10.040 --> 00:18:11.040]   End of discussion.
[00:18:11.040 --> 00:18:12.040]   Right.
[00:18:12.040 --> 00:18:13.040]   See you later.
[00:18:13.040 --> 00:18:14.040]   It's.
[00:18:14.040 --> 00:18:15.040]   It.
