
[00:00:00.040 --> 00:00:10.460]   check
[00:26:30.000 --> 00:26:30.000]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:26:30.000 --> 00:26:30.000]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:26:30.000 --> 00:26:30.000]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:26:30.000 --> 00:26:30.000]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:26:30.020 --> 00:27:00.020]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:00.020 --> 00:27:00.020]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:00.020 --> 00:27:00.020]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:00.020 --> 00:27:00.020]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:00.020 --> 00:27:00.020]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:00.020 --> 00:27:00.020]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:00.020 --> 00:27:00.020]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:00.020 --> 00:27:30.040]  , HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:30.040 --> 00:27:30.040]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:30.040 --> 00:27:30.040]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:30.040 --> 00:27:30.040]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:30.040 --> 00:27:30.040]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:30.040 --> 00:27:30.040]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:27:30.060 --> 00:28:00.060]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:00.060 --> 00:28:00.060]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:00.060 --> 00:28:00.060]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:00.060 --> 00:28:00.060]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:00.060 --> 00:28:00.060]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:00.060 --> 00:28:00.060]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:00.060 --> 00:28:00.060]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:00.100 --> 00:28:30.080]  ,
[00:28:30.080 --> 00:28:30.080]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:30.080 --> 00:28:30.080]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:30.080 --> 00:28:30.080]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:30.080 --> 00:28:30.080]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:30.080 --> 00:28:30.080]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:30.080 --> 00:28:30.080]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:30.080 --> 00:28:30.080]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:28:30.100 --> 00:29:00.100]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:00.100 --> 00:29:00.100]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:00.100 --> 00:29:00.100]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:00.100 --> 00:29:00.100]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:00.100 --> 00:29:00.100]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:00.100 --> 00:29:00.100]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:00.100 --> 00:29:00.100]   HONESTLY, I'M NOT CONFIDENT TO SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:00.140 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.120 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.120 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.120 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.120 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.120 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.120 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.120 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.120 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.120 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.120 --> 00:29:30.120]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:29:30.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:00.140 --> 00:30:00.140]   SPEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:30.160 --> 00:30:30.160]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:30.160 --> 00:30:30.160]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:30.160 --> 00:30:30.160]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:30.160 --> 00:30:30.160]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:30.160 --> 00:30:30.160]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:30.160 --> 00:30:30.160]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:30.160 --> 00:30:30.160]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:30.160 --> 00:30:30.160]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:30:30.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.180 --> 00:31:00.180]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:00.220 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.200 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.200 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.200 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.200 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.200 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.200 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.200 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.200 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.200 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.200 --> 00:31:30.200]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS: SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:31:30.220 --> 00:32:00.220]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS: SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:32:00.220 --> 00:32:00.220]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS: SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:32:00.220 --> 00:32:00.220]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS: SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:32:00.220 --> 00:32:00.220]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS: SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:32:00.220 --> 00:32:00.220]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS: SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:32:00.220 --> 00:32:00.220]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS: SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:32:00.260 --> 00:32:30.240]  ,
[00:32:30.240 --> 00:32:30.240]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS: SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:32:30.240 --> 00:32:30.240]   SEND LESS MONEY, BUT I DO SAY TO YOU THIS: SEND LESS MONEY, BUT I DO SAY TO YOU THIS:
[00:32:30.280 --> 00:32:37.340]   our
[00:32:37.340 --> 00:32:42.400]   I,
[00:32:59.060 --> 00:33:09.460]   .
[00:33:09.460 --> 00:33:27.760]  類 made. I first,,,,
[00:33:29.080 --> 00:33:39.040]   just
[00:33:39.040 --> 00:33:54.100]   continue,,,,
[00:33:54.100 --> 00:33:58.300]   my before be estud. We. A. I. I. I. I. Z.ness.bbe. Travis, in,abe, and,G,C,N, mane,C, Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, well tested the倒 but Gandhi More way actually was wectiveèse wont fringe set enseñinel prowadmat Den observeown grant passport in不對 sque discuss гдеington Taeanın đó nice i cleared de perd sentence этиший slang i 對不對�овойệu Moving millions consisting story can't no STicz be이스 Festival −ami Bonêmement at workers dough Karen show the name is the all ciudad contains the Bad undo the'll em fun end a remaining a cash a
[00:33:58.360 --> 00:34:17.220]   the
[00:37:23.200 --> 00:37:25.100]   I've been able to go up to a week, almost a week, on fifty one gallons. Now, I do confess that my wife and I are both pretty decent at water conservation. She's pretty cool. Where instead of her griping about it, she's really good at watching it.
[00:37:25.100 --> 00:37:25.100]   Now, I do confess that my wife and I are both pretty decent at water conservation. She's pretty cool. Where instead of her griping about it, she's really good at watching it.
[00:37:25.100 --> 00:37:25.100]   Now, I do confess that my wife and I are both pretty decent at water conservation. She's pretty cool. Where instead of her griping about it, she's really good at watching it.
[00:37:25.100 --> 00:37:25.100]   Now, I do confess that my wife and I are both pretty decent at water conservation. She's pretty cool. Where instead of her griping about it, she's really good at watching it.
[00:37:49.180 --> 00:37:54.040]   I'm not sure if I've ever heard of a water conservation. I'm not sure if I've ever heard of a water conservation. I'm not sure if I've ever heard of a water conservation. I'm not sure if I've ever heard of a water conservation. I'm not sure if I've ever heard of a water conservation. I'm not sure if I've ever heard of a water conservation. I'm not sure if I've ever heard of a water conservation. I'm not sure if I've ever heard of a water conservation. I'm not sure if I've ever heard of a water conservation. I'm not sure if I've ever heard of a water. I'm not sure if I've ever said that I'd be careful. One of things I've really efficiency. I really don't like how they're not the way that they're not the thing. I'm not the thing that the
[00:37:54.080 --> 00:38:04.340]   sub
[00:38:04.340 --> 00:38:05.400]   IN K
[00:38:05.400 --> 00:38:23.320]   Juan, and,,,,,� Mill RA M M Cover around. And, tag, have, i'll, ex. I. The.еру.jut.gend. specs.пов. potassium.ziest. deceased. Gerry những smaller's.äm. be
[00:38:23.440 --> 00:38:25.700]   "
[00:38:25.700 --> 00:38:35.060]   was. I That I
[00:40:16.080 --> 00:40:26.340]   vie la
[00:40:26.340 --> 00:40:28.180]   Ed G E
[00:40:28.180 --> 00:40:46.060]   " doesn am more test, dis,
[00:41:16.080 --> 00:41:16.080]  ,
[00:41:46.100 --> 00:41:46.100]   it's not that hard it makes a lot of sense to me to purchase an asset rainwater tanks and a pump and a filtering system to cleanse that water versus having an ongoing expense i'd rather have an asset rather than an expense and the same thing with electricity and electricity a little bit harder depending on the load that you're running but i really love the idea of being able to own most of your electrical input and i think it's really doable
[00:41:46.100 --> 00:41:46.100]   and i think it's really doable
[00:41:46.100 --> 00:41:46.100]   and i think it's really doable
[00:42:16.120 --> 00:42:16.120]   ----
[00:42:16.120 --> 00:42:16.120]   ----
[00:42:16.160 --> 00:42:26.900]   and
[00:42:26.900 --> 00:42:46.140]   Gel El .
[00:42:46.160 --> 00:43:16.160]   rend
[00:43:16.160 --> 00:43:16.160]   and chlorine from your water as well.
[00:43:16.160 --> 00:43:16.160]   So that makes your city water really drinkable.
[00:43:16.160 --> 00:43:16.160]   It's just delicious and you can be confident that it's really high quality.
[00:43:16.160 --> 00:43:16.160]   Well, my plan was that the Berkey was going to do exactly the same thing out camping,
[00:43:16.200 --> 00:43:46.180]  ,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.180 --> 00:43:46.180]   and I was going to do exactly the same thing out camping,
[00:43:46.200 --> 00:44:16.200]   I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:16.200]   and I was going to do exactly the same thing out camping,
[00:44:16.200 --> 00:44:46.220]  ,
[00:44:46.220 --> 00:44:46.220]   and I was going to do exactly the same thing out camping,
[00:44:46.220 --> 00:44:46.220]   and I was going to do exactly the same thing out camping,
[00:44:46.220 --> 00:44:46.220]   and I was going to do exactly the same thing out camping,
[00:44:46.220 --> 00:44:46.220]   and I was going to do exactly the same thing out camping,
[00:44:46.220 --> 00:44:46.220]   and I was going to do exactly the same thing out camping,
[00:44:46.220 --> 00:44:46.220]   and I was going to do exactly the same thing out camping,
[00:44:46.220 --> 00:44:46.220]   and I was going to do exactly the same thing out camping,
[00:44:46.220 --> 00:44:46.220]   and I was going to do exactly the same thing out camping,
[00:44:46.220 --> 00:44:46.220]   and I was going to do exactly the same thing out camping,
[00:44:46.240 --> 00:45:16.240]   I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.240 --> 00:45:16.240]   and I was going to do exactly the same thing out camping,
[00:45:16.280 --> 00:45:46.260]   assurement,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.260 --> 00:45:46.260]   and I was going to do exactly the same thing out camping,
[00:45:46.280 --> 00:46:16.280]  ,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.280 --> 00:46:16.280]   and I was going to do exactly the same thing out camping,
[00:46:16.300 --> 00:46:46.300]  ,
[00:46:46.300 --> 00:46:46.300]   and I was going to do exactly the same thing out camping,
[00:46:46.300 --> 00:46:46.300]   and I was going to do exactly the same thing out camping,
[00:46:46.300 --> 00:46:46.300]   and I was going to do exactly the same thing out camping,
[00:46:46.300 --> 00:46:46.300]   and I was going to do exactly the same thing out camping,
[00:46:46.300 --> 00:46:46.300]   and I was going to do exactly the same thing out camping,
[00:46:46.300 --> 00:46:46.300]   and I was going to do exactly the same thing out camping,
[00:46:46.300 --> 00:46:46.300]   and I was going to do exactly the same thing out camping,
[00:46:46.300 --> 00:46:46.300]   and I was going to do exactly the same thing out camping,
[00:46:46.300 --> 00:46:46.300]   and I was going to do exactly the same thing out camping,
[00:46:46.300 --> 00:46:46.300]   and I was going to do exactly the same thing out camping,
[00:46:46.320 --> 00:47:16.320]  ,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.320 --> 00:47:16.320]   and I was going to do exactly the same thing out camping,
[00:47:16.360 --> 00:47:46.340]  ,
[00:47:46.340 --> 00:47:46.340]   I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.340 --> 00:47:46.340]   and I was going to do exactly the same thing out camping,
[00:47:46.360 --> 00:48:16.360]   I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.360 --> 00:48:16.360]   and I was going to do exactly the same thing out camping,
[00:48:16.380 --> 00:48:40.440]   and I was going to do exactly the same thing out camping,
[00:48:40.440 --> 00:48:40.460]   and I was going to do exactly the same thing out camping,
[00:48:40.460 --> 00:48:40.480]   and I was going to do exactly the same thing out camping,
[00:48:40.480 --> 00:48:40.500]   and I was going to do exactly the same thing out camping,
[00:48:40.500 --> 00:48:40.520]   and I was going to do exactly the same thing out camping,
[00:48:40.520 --> 00:48:40.540]   and I was going to do exactly the same thing out camping,
[00:48:40.540 --> 00:48:40.580]   and I was going to do exactly the same thing out camping,
[00:48:40.580 --> 00:48:40.600]   and I was going to do exactly the same thing out camping,
[00:48:40.600 --> 00:48:40.620]   and I was going to do exactly the same thing out camping,
[00:48:40.620 --> 00:48:40.640]   and I was going to do exactly the same thing out camping,
[00:48:40.640 --> 00:48:40.680]   and I was going to do exactly the same thing out camping,
[00:48:40.680 --> 00:48:40.720]   and I was going to do exactly the same thing out camping,
[00:48:40.720 --> 00:48:40.740]   and I was going to do exactly the same thing out camping,
[00:48:40.740 --> 00:48:40.760]   and I was going to do exactly the same thing out camping,
[00:48:41.740 --> 00:49:10.780]  , and I was going to do exactly the same thing out camping,
[00:49:10.780 --> 00:49:10.780]   and I was going to do exactly the same thing out camping,
[00:49:10.780 --> 00:49:10.780]   and I was going to do exactly the same thing out camping,
[00:49:10.780 --> 00:49:10.780]   and I was going to do exactly the same thing out camping,
[00:49:10.780 --> 00:49:10.780]   and I was going to do exactly the same thing out camping,
[00:49:10.780 --> 00:49:10.780]   and I was going to do exactly the same thing out camping,
[00:49:10.780 --> 00:49:10.780]   and I was going to do exactly the same thing out camping,
[00:49:10.780 --> 00:49:10.780]   and I was going to do exactly the same thing out camping,
[00:49:10.780 --> 00:49:10.780]   and I was going to do exactly the same thing out camping, and I was going to do exactly the same thing out camping,
