
[00:00:00.000 --> 00:00:01.200]   - Yeah.
[00:22:30.360 --> 00:22:31.680]   - I guess I meant like if you had markdown
[00:22:31.680 --> 00:22:34.840]   that was effectively including an image of some kind.
[00:22:34.840 --> 00:22:38.160]   - Yep, all that kind of markdown will work fine.
[00:22:38.160 --> 00:22:42.920]   Yep, yep, so images and all that stuff
[00:22:42.920 --> 00:22:45.760]   is all supported, plots, et cetera.
[00:22:45.760 --> 00:22:53.280]   Okay, so now we can create or edit index notebook
[00:22:53.280 --> 00:22:57.520]   and that's gonna be what your documentation homepage
[00:22:57.520 --> 00:23:00.200]   and readme is automatically generated from.
[00:23:00.200 --> 00:23:04.760]   So here's index.
[00:23:04.760 --> 00:23:09.240]   And so the first thing to do is to note
[00:23:09.240 --> 00:23:12.280]   that it's importing your lib.core.
[00:23:12.280 --> 00:23:17.280]   So we should import, change that to hello nvdev.core
[00:23:17.280 --> 00:23:21.040]   and let's see if that cell runs.
[00:23:21.040 --> 00:23:24.800]   It did, so we have successfully imported something.
[00:23:24.800 --> 00:23:29.800]   You'll see that in both here and here,
[00:23:29.800 --> 00:23:32.560]   there's a kind of slightly special markdown
[00:23:32.560 --> 00:23:35.120]   which is an h1 followed by a quote.
[00:23:35.120 --> 00:23:40.120]   This is used to create the HTML documentation title
[00:23:40.120 --> 00:23:44.160]   and initial heading in your documentation.
[00:23:44.160 --> 00:23:48.320]   So you should keep it in this format.
[00:23:48.320 --> 00:23:53.800]   So welcome to, hello.
[00:23:54.800 --> 00:23:58.800]   Wow, nvdev, what's up?
[00:23:58.800 --> 00:24:05.560]   - Just to learn nvdev but you can put world if you want.
[00:24:05.560 --> 00:24:07.720]   - Fair enough, not the world, just to nvdev.
[00:24:07.720 --> 00:24:12.280]   An amazing tutorial.
[00:24:12.280 --> 00:24:19.000]   Okay, we hope you enjoy this project.
[00:24:21.640 --> 00:24:24.760]   Okay, so the main thing to do here
[00:24:24.760 --> 00:24:27.280]   is to make sure that it works.
[00:24:27.280 --> 00:24:32.280]   So say hello, Alexis.
[00:24:32.280 --> 00:24:39.760]   Great, let's see this at work.
[00:24:39.760 --> 00:24:45.400]   Okay, so that's done.
[00:24:45.400 --> 00:24:50.320]   So now we can create our documentation.
[00:24:51.320 --> 00:24:56.320]   So we now go nvdev build ducks.
[00:24:56.320 --> 00:25:06.840]   And so you'll now see there is in ducks
[00:25:06.840 --> 00:25:12.280]   a index.html and a core.html.
[00:25:17.840 --> 00:25:21.520]   All right, so let's try to commit this.
[00:25:21.520 --> 00:25:24.760]   So we do git status.
[00:25:24.760 --> 00:25:28.480]   We'll see there's a whole bunch of extra stuff here.
[00:25:28.480 --> 00:25:29.600]   So let's add it.
[00:25:29.600 --> 00:25:39.960]   And so you can see the things that it's modified for us
[00:25:39.960 --> 00:25:41.320]   if you want to dig into the details,
[00:25:41.320 --> 00:25:45.120]   things like the sidebar, the navigation bar,
[00:25:45.120 --> 00:25:48.120]   the config for YAML.
[00:25:48.120 --> 00:25:50.000]   One thing you might want to do actually
[00:25:50.000 --> 00:25:55.000]   is the init.py that's created for you is by default empty.
[00:25:55.000 --> 00:25:58.000]   So you might, for example, want to go,
[00:25:58.000 --> 00:26:03.000]   oh, from.core import star.
[00:26:03.000 --> 00:26:07.560]   So if you did that, then that would allow us
[00:26:07.560 --> 00:26:11.920]   to modify our index example
[00:26:14.040 --> 00:26:17.000]   to just import directly from hello nvdev.
[00:26:17.000 --> 00:26:19.680]   Let's test that still works.
[00:26:19.680 --> 00:26:21.840]   It does, cool.
[00:26:21.840 --> 00:26:26.240]   So let's commit that.
[00:26:26.240 --> 00:26:35.840]   And it commit, push.
[00:26:35.840 --> 00:26:41.440]   There we go.
[00:26:41.440 --> 00:26:46.440]   Okay, so GitHub is gonna go ahead and process that commit.
[00:26:46.440 --> 00:26:54.440]   And so if we go back to the main GitHub page,
[00:26:54.440 --> 00:27:00.800]   we'll see we now have more than one commit.
[00:27:00.800 --> 00:27:04.680]   So if I click on here,
[00:27:04.680 --> 00:27:10.640]   you can see that initially there's an X.
[00:27:10.640 --> 00:27:12.520]   And that X, if I click on it,
[00:27:12.520 --> 00:27:16.080]   tells me it failed to build my project.
[00:27:16.080 --> 00:27:20.640]   And so specifically, you can see that it...
[00:27:20.640 --> 00:27:24.320]   Let's see.
[00:27:24.320 --> 00:27:33.320]   It failed to find the description flag
[00:27:33.320 --> 00:27:34.560]   in my settings.any.
[00:27:34.560 --> 00:27:39.560]   So when you first clone the repo by definition,
[00:27:40.560 --> 00:27:42.720]   it's not in a state that's ready.
[00:27:42.720 --> 00:27:45.720]   So this is kind of the way that nvdev
[00:27:45.720 --> 00:27:50.400]   with the help of GitHub actions automatically checks
[00:27:50.400 --> 00:27:56.360]   that all of your bits and pieces work, as you can see.
[00:27:56.360 --> 00:27:57.960]   So it's gonna make sure it can install it,
[00:27:57.960 --> 00:27:59.840]   that it can read the notebooks,
[00:27:59.840 --> 00:28:02.680]   that they don't have that extra metadata,
[00:28:02.680 --> 00:28:07.240]   that the library matches the notebooks,
[00:28:07.240 --> 00:28:08.600]   and that the tests all run.
[00:28:09.600 --> 00:28:12.400]   So that generally takes a couple of minutes.
[00:28:12.400 --> 00:28:17.480]   Okay, so this one's now finished, and we still have an X.
[00:28:17.480 --> 00:28:19.280]   So let's go and find out what went wrong.
[00:28:19.280 --> 00:28:23.280]   Now a test didn't run.
[00:28:23.280 --> 00:28:34.120]   Ah, so in this case, I tried to use tests from FastCore,
[00:28:34.120 --> 00:28:35.360]   and they failed.
[00:28:35.360 --> 00:28:37.560]   So let's go ahead and fix that.
[00:28:37.880 --> 00:28:42.880]   So to fix that, the best way to do it is to tell nvdev,
[00:28:42.880 --> 00:28:46.040]   or which it really talks to Python's setup tools,
[00:28:46.040 --> 00:28:49.040]   that we need FastCore installed.
[00:28:49.040 --> 00:28:54.040]   So to do that, as you would hopefully expect,
[00:28:54.040 --> 00:28:57.200]   it's in settings.any, and you'll see here,
[00:28:57.200 --> 00:28:59.120]   there's a section called requirements,
[00:28:59.120 --> 00:29:05.320]   and we can just add space separated any requirements we have.
[00:29:05.320 --> 00:29:07.880]   In this case, FastCore.
[00:29:07.880 --> 00:29:09.800]   - And that's the PyPy package name?
[00:29:09.800 --> 00:29:11.360]   - That is correct, yep.
[00:29:11.360 --> 00:29:15.080]   And if you're a more advanced user,
[00:29:15.080 --> 00:29:18.040]   and you want to kind of debug things,
[00:29:18.040 --> 00:29:21.280]   or customize things more carefully,
[00:29:21.280 --> 00:29:24.200]   you'll see that the setup.py is,
[00:29:24.200 --> 00:29:26.840]   it's only 46 lines of code, right?
[00:29:26.840 --> 00:29:28.640]   We try to make everything super simple.
[00:29:28.640 --> 00:29:30.120]   And you can see it's just like, as I said,
[00:29:30.120 --> 00:29:31.840]   it's just using config parser.
[00:29:31.840 --> 00:29:34.160]   And so if you want to see how those requirements
[00:29:34.160 --> 00:29:36.480]   are being read,
[00:29:36.480 --> 00:29:38.800]   you can see it's just grabbing the requirements thing,
[00:29:38.800 --> 00:29:40.600]   and splitting it,
[00:29:40.600 --> 00:29:43.840]   and then setting that to install requires.
[00:29:43.840 --> 00:29:47.000]   So it's a pretty thin wrapper over,
[00:29:47.000 --> 00:29:48.400]   for example, setup tools.
[00:29:48.400 --> 00:29:52.480]   Okay, so,
[00:29:52.480 --> 00:29:59.280]   add FastCore depth, get push.
[00:29:59.280 --> 00:30:00.120]   Okay.
[00:30:00.120 --> 00:30:08.240]   And let's go check our documentation,
[00:30:08.240 --> 00:30:13.240]   because it did say that the page built correctly.
[00:30:13.240 --> 00:30:15.480]   So we should now be able to click on
[00:30:15.480 --> 00:30:18.420]   the web link we created earlier.
[00:30:18.420 --> 00:30:22.600]   And there it is, there's our documentation.
[00:30:22.600 --> 00:30:26.200]   And you'll see this module name here
[00:30:27.920 --> 00:30:32.280]   has automatically been grabbed from over here.
[00:30:32.280 --> 00:30:34.880]   So while we're here, let's go ahead and fix that.
[00:30:34.880 --> 00:30:40.680]   Hello, nbdev, I guess it should be this really.
[00:30:40.680 --> 00:30:50.440]   And you can see the title's been set over here.
[00:30:50.440 --> 00:30:56.200]   And here is the automatically generated documentation,
[00:30:56.200 --> 00:30:57.640]   the docstrings being put here,
[00:30:57.640 --> 00:30:59.240]   and you can see the inputs and outputs,
[00:30:59.240 --> 00:31:01.740]   markdown all in one place.
[00:31:01.740 --> 00:31:07.760]   Great.
[00:31:07.760 --> 00:31:11.240]   Oh, and now we have a tick.
[00:31:11.240 --> 00:31:13.720]   Okay, so that means that it successfully
[00:31:13.720 --> 00:31:18.520]   completed all the steps.
[00:31:18.520 --> 00:31:23.840]   So that's kind of like enough to
[00:31:26.000 --> 00:31:30.400]   get started, the basics are now all in place.
[00:31:30.400 --> 00:31:32.920]   So from here, we can start adding
[00:31:32.920 --> 00:31:34.920]   some more advanced functionality.
[00:31:34.920 --> 00:31:38.720]   So for instance, class.
[00:31:38.720 --> 00:31:50.200]   Okay, so here's a class.
[00:31:50.200 --> 00:31:53.400]   And so when you have a class,
[00:31:54.800 --> 00:31:58.840]   it appears in the documentation like this.
[00:31:58.840 --> 00:32:01.000]   So it's got the docstring for the class,
[00:32:01.000 --> 00:32:02.400]   link to the source for the class,
[00:32:02.400 --> 00:32:04.400]   and the parameters for the constructor.
[00:32:04.400 --> 00:32:09.440]   The methods are not documented automatically.
[00:32:09.440 --> 00:32:12.420]   So to add method documentation,
[00:32:12.420 --> 00:32:20.520]   you have to add a call to the special showdoc,
[00:32:20.520 --> 00:32:24.440]   which is part of nbdev.showdoc.
[00:32:24.800 --> 00:32:27.480]   And so when we do that, as you can see,
[00:32:27.480 --> 00:32:29.560]   it makes it appear here.
[00:32:29.560 --> 00:32:31.960]   And so it might be nice to include a docstring.
[00:32:31.960 --> 00:32:39.440]   You don't have to, but now it'll appear here.
[00:32:39.440 --> 00:32:42.900]   And in the documentation, the showdoc input would appear,
[00:32:42.900 --> 00:32:44.800]   just this markdown output.
[00:32:44.800 --> 00:32:48.760]   So this kind of makes it nice and easy to,
[00:32:50.960 --> 00:32:55.480]   intersperse markdown comments and images and plots
[00:32:55.480 --> 00:32:58.140]   and whatever in amongst your documentation of your class
[00:32:58.140 --> 00:33:00.600]   and add headings and stuff like that.
[00:33:00.600 --> 00:33:02.200]   And I should mention, it's a really good idea
[00:33:02.200 --> 00:33:05.480]   to add headings because it's gonna help
[00:33:05.480 --> 00:33:06.920]   your table of contents.
[00:33:06.920 --> 00:33:08.760]   It makes it easier to get around.
[00:33:08.760 --> 00:33:15.040]   So I might say, for example, functions here.
[00:33:18.640 --> 00:33:23.520]   And then classes will automatically add their own heading.
[00:33:23.520 --> 00:33:26.620]   And so this method will already sit underneath
[00:33:26.620 --> 00:33:29.540]   the Hallowsayer headings.
[00:33:29.540 --> 00:33:30.800]   We don't have to do that.
[00:33:30.800 --> 00:33:40.080]   Yeah, and let's add examples.
[00:33:40.080 --> 00:33:45.560]   Always a good idea.
[00:33:45.560 --> 00:33:46.920]   Or you could add tests.
[00:33:46.920 --> 00:33:51.920]   So we have a bug, which is now that should return.
[00:33:51.920 --> 00:34:00.680]   Great, and we could have used a test of course.
[00:34:00.680 --> 00:34:03.760]   All right.
[00:34:03.760 --> 00:34:13.160]   So here's something neat, which is, see here,
[00:34:14.560 --> 00:34:17.960]   it says say hello to using say hello.
[00:34:17.960 --> 00:34:20.660]   And that say hello, if I click on it,
[00:34:20.660 --> 00:34:24.240]   jumps to the documentation to say hello.
[00:34:24.240 --> 00:34:29.240]   Even although I didn't create the link.
[00:34:29.240 --> 00:34:33.460]   So nbdev will look for anything in backticks,
[00:34:33.460 --> 00:34:37.040]   whether it be in markdown or docstrings or whatever.
[00:34:37.040 --> 00:34:40.080]   And it will attempt to see if it can resolve it
[00:34:40.080 --> 00:34:41.480]   at the Python symbol.
[00:34:41.480 --> 00:34:44.240]   And if it can, it will create a hyperlink
[00:34:44.240 --> 00:34:46.080]   through the definition of that symbol.
[00:34:46.080 --> 00:34:52.120]   So you can see not only do we have it in the docstring here,
[00:34:52.120 --> 00:34:57.000]   but you can also see here that I've got hyperlinks
[00:34:57.000 --> 00:34:57.840]   in markdown.
[00:34:57.840 --> 00:35:01.480]   Again, they were just created using backticks.
[00:35:01.480 --> 00:35:05.640]   So that's something pretty handy.
[00:35:05.640 --> 00:35:08.640]   - And does it look through all things in backticks
[00:35:08.640 --> 00:35:10.080]   or only cells that are exported?
[00:35:10.080 --> 00:35:11.120]   'Cause I noticed that right now
[00:35:11.120 --> 00:35:13.500]   the class definition is not exported yet.
[00:35:14.500 --> 00:35:18.300]   - Yes, it'll only create links to things
[00:35:18.300 --> 00:35:20.500]   that it can actually resolve.
[00:35:20.500 --> 00:35:21.820]   So if something's not exported,
[00:35:21.820 --> 00:35:23.580]   then it won't be able to resolve it.
[00:35:23.580 --> 00:35:26.780]   So yeah, let's fix that.
[00:35:26.780 --> 00:35:30.340]   Thank you.
[00:35:30.340 --> 00:35:36.700]   Okay, this is not an nbdev thing,
[00:35:36.700 --> 00:35:38.080]   but just a useful tip.
[00:35:38.080 --> 00:35:41.820]   These two lines will set up what's called auto reload,
[00:35:41.820 --> 00:35:44.960]   which is, so for example, in index,
[00:35:44.960 --> 00:35:51.360]   where we're using this module,
[00:35:51.360 --> 00:35:54.660]   if we have these two lines as the first two lines,
[00:35:54.660 --> 00:35:59.660]   then every time we update hello world nb.core,
[00:35:59.660 --> 00:36:05.820]   we don't have to manually restart this kernel.
[00:36:05.820 --> 00:36:07.820]   That code will automatically be available
[00:36:07.820 --> 00:36:09.020]   inside this notebook.
[00:36:09.020 --> 00:36:12.100]   So that's a useful thing to add.
[00:36:12.100 --> 00:36:17.500]   The other useful thing to add
[00:36:17.500 --> 00:36:19.900]   is to put these two lines at the very end
[00:36:19.900 --> 00:36:27.780]   of your exported notebook along with a hash hide.
[00:36:27.780 --> 00:36:34.220]   And this is exactly the same as running nbdev buildlib.
[00:36:34.220 --> 00:36:35.400]   So if I run this cell,
[00:36:37.300 --> 00:36:40.140]   and if we now have a look at our module,
[00:36:40.140 --> 00:36:46.140]   you'll see that class has been added.
[00:36:46.140 --> 00:36:56.380]   Okay, so that's that.
[00:36:56.380 --> 00:36:58.340]   So now that's all done.
[00:36:58.340 --> 00:36:59.980]   Let's make sure we haven't broken anything
[00:36:59.980 --> 00:37:01.700]   by running all of our tests.
[00:37:01.700 --> 00:37:05.040]   And tests can be in any notebook at all.
[00:37:05.040 --> 00:37:08.120]   So to run all of our tests in all notebooks,
[00:37:08.120 --> 00:37:11.020]   we can just run nbdev test nbs.
[00:37:11.020 --> 00:37:12.460]   And that'll actually run the test
[00:37:12.460 --> 00:37:14.100]   in all notebooks in parallel.
[00:37:14.100 --> 00:37:16.780]   So even when you've got a pretty big repo,
[00:37:16.780 --> 00:37:20.900]   like we do for fast.aiv2, it just takes a few seconds.
[00:37:20.900 --> 00:37:24.500]   There we go.
[00:37:24.500 --> 00:37:25.500]   And if there were any errors,
[00:37:25.500 --> 00:37:27.780]   it would pop them up and show you the stack trace
[00:37:27.780 --> 00:37:29.520]   of where the test failed.
[00:37:29.520 --> 00:37:34.060]   - One thing to add about the tests documentation
[00:37:34.060 --> 00:37:36.660]   and building the library is that if you're working
[00:37:36.660 --> 00:37:38.460]   on a notebook and it's not finished yet,
[00:37:38.460 --> 00:37:41.500]   you can put an underscore at the beginning of its name
[00:37:41.500 --> 00:37:44.060]   and it won't be considered by all of those commands.
[00:37:44.060 --> 00:37:46.300]   - Let's try that.
[00:37:46.300 --> 00:37:47.140]   So,
[00:37:47.140 --> 00:37:53.020]   new Python three,
[00:37:53.020 --> 00:37:56.660]   one over zero,
[00:37:56.660 --> 00:38:03.820]   rename underscore,
[00:38:03.820 --> 00:38:05.540]   not finished.
[00:38:05.540 --> 00:38:16.220]   No problem.
[00:38:16.220 --> 00:38:17.060]   Okay.
[00:38:17.060 --> 00:38:24.480]   All right.
[00:38:24.480 --> 00:38:28.640]   Sometimes your documentation will fail to build.
[00:38:28.640 --> 00:38:32.140]   GitHub pages will give you a red cross next to the bit
[00:38:32.140 --> 00:38:33.660]   where it's trying to build the pages.
[00:38:33.660 --> 00:38:37.020]   But it tends not to give you any information about why.
[00:38:37.020 --> 00:38:38.380]   So to find out why,
[00:38:38.380 --> 00:38:41.760]   it's a good idea to set up Jekyll locally,
[00:38:41.760 --> 00:38:42.660]   if there's a problem.
[00:38:42.660 --> 00:38:45.980]   Also, it's sometimes nice just to look at your docs locally
[00:38:45.980 --> 00:38:48.420]   rather than pushing and seeing how they look
[00:38:48.420 --> 00:38:51.300]   only after GitHub builds them.
[00:38:51.300 --> 00:38:55.340]   So you need to install Jekyll to do that.
[00:38:55.340 --> 00:38:56.380]   If you're on Ubuntu,
[00:38:56.380 --> 00:39:00.080]   the easiest way is the official on Jekyll installation.
[00:39:00.080 --> 00:39:02.860]   Run these exact lines of code
[00:39:02.860 --> 00:39:05.080]   and that will install Jekyll.
[00:39:05.080 --> 00:39:11.460]   And then after you've done that,
[00:39:11.460 --> 00:39:16.140]   the next step is to CD into the docs directory
[00:39:16.140 --> 00:39:17.880]   and type bundle install.
[00:39:17.880 --> 00:39:23.840]   Okay.
[00:39:23.840 --> 00:39:29.660]   Then CD back to your repo root and type make docs serve.
[00:39:29.660 --> 00:39:30.500]   Okay.
[00:39:30.500 --> 00:39:43.820]   Okay, that.
[00:39:43.820 --> 00:39:47.300]   So that's listening on port 4000.
[00:39:47.300 --> 00:39:49.780]   I'm actually not running this locally, it's remote.
[00:39:49.780 --> 00:39:51.460]   And I'm doing SSH forwarding.
[00:39:51.460 --> 00:39:54.620]   So I need to do something slightly different,
[00:39:54.620 --> 00:39:55.740]   but there we go.
[00:39:55.740 --> 00:39:59.020]   So here you can see it is running locally.
[00:39:59.780 --> 00:40:00.620]   Okay.
[00:40:00.620 --> 00:40:03.220]   Cool.
[00:40:03.220 --> 00:40:05.540]   When you're done, control C will kill it.
[00:40:05.540 --> 00:40:10.580]   Okay, prerequisites we've already done.
[00:40:10.580 --> 00:40:16.260]   The next thing to mention is console scripts.
[00:40:16.260 --> 00:40:21.260]   So maybe you want to create a console script.
[00:40:21.260 --> 00:40:28.460]   There's actually a very nice system in setup tools
[00:40:28.460 --> 00:40:30.540]   for creating console scripts that will actually work
[00:40:30.540 --> 00:40:35.540]   on Windows or Mac or Linux automatically and the trick.
[00:40:35.540 --> 00:40:40.820]   And that's a surface through again, settings.any.
[00:40:40.820 --> 00:40:44.040]   And the trick is to create a line
[00:40:44.040 --> 00:40:47.120]   like this console scripts equals.
[00:40:47.120 --> 00:40:50.300]   And so one easy way to see how this works
[00:40:50.300 --> 00:40:54.620]   is to look at nbdev.
[00:40:56.700 --> 00:40:59.420]   And you'll see there's a 06 CLI here.
[00:40:59.420 --> 00:41:07.780]   And we use our fast script library for creating these.
[00:41:07.780 --> 00:41:10.820]   But you can just have a normal,
[00:41:10.820 --> 00:41:12.740]   if name equals main or whatever.
[00:41:12.740 --> 00:41:14.500]   In fact, you don't actually need that for console scripts.
[00:41:14.500 --> 00:41:17.800]   You can just create a function that looks at sys.argv.
[00:41:17.800 --> 00:41:21.840]   And so once you've got a function,
[00:41:21.840 --> 00:41:24.420]   all you need to do is to add
[00:41:24.420 --> 00:41:27.500]   to your settings.any console scripts equals.
[00:41:27.500 --> 00:41:30.460]   This is going to be the name of the script that you want.
[00:41:30.460 --> 00:41:33.540]   This is the name of your library.
[00:41:33.540 --> 00:41:36.680]   This is the name of your module where you defined it.
[00:41:36.680 --> 00:41:38.340]   And this is the name of the function.
[00:41:38.340 --> 00:41:41.620]   - So this is showing us the configuration
[00:41:41.620 --> 00:41:44.660]   which actually creates the nbdev build live
[00:41:44.660 --> 00:41:46.820]   with console script itself.
[00:41:46.820 --> 00:41:48.940]   - Exactly, exactly.
[00:41:48.940 --> 00:41:52.340]   Now, just putting it in the settings.any doesn't do anything.
[00:41:52.340 --> 00:41:55.100]   You have to install it to make it work.
[00:41:55.100 --> 00:41:56.980]   And so that you can test it,
[00:41:56.980 --> 00:42:01.980]   the easiest way is to type pip install minus e dot
[00:42:01.980 --> 00:42:03.940]   from the root of your repo.
[00:42:03.940 --> 00:42:07.740]   And that does something called an editable install.
[00:42:07.740 --> 00:42:12.380]   And that will install the console scripts in such a way
[00:42:12.380 --> 00:42:14.100]   and the module in such a way
[00:42:14.100 --> 00:42:16.420]   that it's actually linking back to the live code.
[00:42:16.420 --> 00:42:19.380]   So you can change things without having to reinstall.
[00:42:19.380 --> 00:42:23.260]   And so that's a nice, easy way to test your module
[00:42:23.260 --> 00:42:26.420]   in other projects and to test your console scripts
[00:42:26.420 --> 00:42:30.100]   without having to reinstall it each time.
[00:42:30.100 --> 00:42:32.460]   - Sorry, I know you said this,
[00:42:32.460 --> 00:42:33.700]   but just looking at that configuration,
[00:42:33.700 --> 00:42:37.140]   why does nbdev build live appear twice
[00:42:37.140 --> 00:42:39.500]   before the second equal sign and after?
[00:42:39.500 --> 00:42:41.620]   - This is the name of the console script
[00:42:41.620 --> 00:42:42.700]   that you're creating.
[00:42:42.700 --> 00:42:43.540]   - Okay.
[00:42:43.540 --> 00:42:47.340]   - This is the name of the function that is being called.
[00:42:47.340 --> 00:42:48.180]   - Okay.
[00:42:48.180 --> 00:42:50.400]   - So they could be different.
[00:42:50.400 --> 00:42:53.260]   - Okay, so nbdev.cli is naming a module.
[00:42:53.260 --> 00:42:56.940]   And then nbdev build lib is the function within that module.
[00:42:56.940 --> 00:42:59.900]   - Yeah, in fact, maybe rather than looking at the notebook,
[00:42:59.900 --> 00:43:02.900]   let's look at the generated module.
[00:43:02.900 --> 00:43:10.260]   So if you look at nbdev, cli, here is nbdev build lib.
[00:43:10.260 --> 00:43:17.700]   So it is a function inside nbdev.cli.
[00:43:18.700 --> 00:43:22.060]   - Okay, so you could use this,
[00:43:22.060 --> 00:43:23.780]   if those two names weren't identical,
[00:43:23.780 --> 00:43:26.020]   to define a script that had a slightly different name
[00:43:26.020 --> 00:43:27.780]   from the function that you use.
[00:43:27.780 --> 00:43:31.660]   - Yep, and for more information about this,
[00:43:31.660 --> 00:43:34.900]   click on this little cross-platform console scripts link
[00:43:34.900 --> 00:43:36.860]   in the tutorial where it'll explain,
[00:43:36.860 --> 00:43:39.620]   'cause it's all just passing it through to setup tools,
[00:43:39.620 --> 00:43:41.580]   which is the standard library thing in Python.
[00:43:41.580 --> 00:43:43.580]   So you can see all the details there.
[00:43:46.060 --> 00:43:47.820]   - Thanks for the question.
[00:43:47.820 --> 00:43:50.640]   All right, so since this is such a great module,
[00:43:50.640 --> 00:43:53.220]   and probably everybody on the internet will want to use it,
[00:43:53.220 --> 00:43:55.100]   we should make it easier for everybody to use
[00:43:55.100 --> 00:43:57.500]   by uploading it to PyPy,
[00:43:57.500 --> 00:44:02.420]   so that people can then go pip install hello nbdev.
[00:44:02.420 --> 00:44:08.780]   So, first of all, click where it says PyPy here,
[00:44:08.780 --> 00:44:10.940]   if you haven't ever done this before.
[00:44:10.940 --> 00:44:13.380]   And then click on register,
[00:44:13.380 --> 00:44:15.140]   and go ahead and create an account.
[00:44:15.780 --> 00:44:18.740]   And then once you have your account,
[00:44:18.740 --> 00:44:23.360]   create this file called .pypyrc in your home directory,
[00:44:23.360 --> 00:44:25.580]   containing those three lines.
[00:44:25.580 --> 00:44:28.660]   I've already done that.
[00:44:28.660 --> 00:44:30.040]   So since I've done that,
[00:44:30.040 --> 00:44:35.680]   I can go ahead and say make release.
[00:44:35.680 --> 00:44:40.700]   And what that will do is it will bump the version,
[00:44:40.700 --> 00:44:41.920]   'cause you can't have two releases
[00:44:41.920 --> 00:44:44.700]   with the same version number, and then upload it.
[00:44:44.700 --> 00:44:48.260]   And so if you now look at cat settings.any,
[00:44:48.260 --> 00:44:50.180]   you'll see it's now 002,
[00:44:50.180 --> 00:44:53.620]   and you'll see that it has uploaded it to PyPy.
[00:44:53.620 --> 00:44:57.080]   And so now, we can go and have a look.
[00:44:57.080 --> 00:45:01.960]   There we go.
[00:45:01.960 --> 00:45:04.640]   So now you can pip install hello nbdev.
[00:45:04.640 --> 00:45:10.620]   And so you can see everything's gonna happen for you.
[00:45:10.620 --> 00:45:13.740]   Your index has automatically been put into here.
[00:45:14.220 --> 00:45:18.940]   Your homepage has automatically been set
[00:45:18.940 --> 00:45:23.500]   to the GitHub repo, which is not working.
[00:45:23.500 --> 00:45:24.980]   Oh, 'cause I named it wrongly.
[00:45:24.980 --> 00:45:29.260]   Let's fix that.
[00:45:29.260 --> 00:45:31.340]   Vim settings.any.
[00:45:31.340 --> 00:45:37.220]   Yes, so the GitHub repo actually set a different name
[00:45:37.220 --> 00:45:38.060]   to the library name.
[00:45:38.060 --> 00:45:40.500]   That's gonna confuse everybody,
[00:45:40.500 --> 00:45:42.380]   but we can fix it in one place.
[00:45:42.380 --> 00:45:47.380]   All right, so let's go ahead and commit that.
[00:45:47.380 --> 00:45:58.700]   Fix gh link.
[00:45:58.700 --> 00:46:12.260]   And let's do another release.
[00:46:12.460 --> 00:46:14.900]   And so this will bump the version to 003.
[00:46:14.900 --> 00:46:21.060]   And we should now be able to...
[00:46:21.060 --> 00:46:24.380]   There we go.
[00:46:24.380 --> 00:46:25.220]   Here's 003.
[00:46:25.220 --> 00:46:31.680]   Cool.
[00:46:31.680 --> 00:46:32.820]   All right, so.
[00:46:32.820 --> 00:46:35.180]   - So just, sorry, this may be the basic question,
[00:46:35.180 --> 00:46:39.180]   but make release, does that just call the same scripts
[00:46:39.180 --> 00:46:41.860]   that you were showing individually before, like nbdev?
[00:46:41.860 --> 00:46:42.700]   - Okay, exactly.
[00:46:42.700 --> 00:46:43.740]   So here's the makefile.
[00:46:43.740 --> 00:46:48.460]   So the makefile to create a distribution
[00:46:48.460 --> 00:46:49.820]   is python-setup.py.
[00:46:49.820 --> 00:46:52.100]   This is just the standard setup tools.
[00:46:52.100 --> 00:46:56.680]   And release will bump clean,
[00:46:56.680 --> 00:46:58.900]   bump calls nbdev-bump-version.
[00:46:58.900 --> 00:47:02.820]   Plain calls...
[00:47:02.820 --> 00:47:10.340]   Plain calls rm-rf-dist.
[00:47:10.340 --> 00:47:13.940]   And then twine-upload is a thing.
[00:47:13.940 --> 00:47:15.180]   And you'll need to have installed twine.
[00:47:15.180 --> 00:47:17.620]   So pip install twine if you don't already have it.
[00:47:17.620 --> 00:47:18.900]   So yeah, so you can see, for example,
[00:47:18.900 --> 00:47:22.860]   when you go docs-serve, it calls nbdev-build-docs
[00:47:22.860 --> 00:47:25.860]   and then calls the standard Jekyll thing.
[00:47:25.860 --> 00:47:29.220]   So yeah, the makefile is teeny tiny.
[00:47:29.220 --> 00:47:35.180]   And you don't have to use the makefile at all.
[00:47:35.180 --> 00:47:36.260]   If you're not into makefiles,
[00:47:36.260 --> 00:47:38.460]   you can just run any of those things manually.
[00:47:38.460 --> 00:47:43.460]   So Alexis, you asked earlier about
[00:47:43.460 --> 00:47:49.060]   whether any extensions are required.
[00:47:49.060 --> 00:47:50.860]   And the answer was no.
[00:47:50.860 --> 00:47:53.720]   But there are two extensions that we do recommend,
[00:47:53.720 --> 00:47:56.660]   not just for nbdev, but for anything
[00:47:56.660 --> 00:47:58.340]   where you're just trying to create
[00:47:58.340 --> 00:48:01.260]   and use well-structured notebooks.
[00:48:01.260 --> 00:48:02.960]   The first is collapsible headings.
[00:48:02.960 --> 00:48:06.420]   And collapsible headings is the thing
[00:48:06.420 --> 00:48:10.340]   that is allowing me, for example,
[00:48:10.340 --> 00:48:11.700]   if you look at the tutorial,
[00:48:11.700 --> 00:48:15.340]   these little arrows here, I can collapse them.
[00:48:15.340 --> 00:48:16.580]   I never use the arrows.
