
[00:00:00.040 --> 00:00:09.620]  裝
[01:14:54.460 --> 01:15:24.420]  , the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:24.420 --> 01:15:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:24.420 --> 01:15:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:24.420 --> 01:15:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:24.420 --> 01:15:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:24.420 --> 01:15:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:24.420 --> 01:15:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:24.440 --> 01:15:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:54.420 --> 01:15:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:54.420 --> 01:15:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:54.420 --> 01:15:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:54.420 --> 01:15:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:54.420 --> 01:15:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:54.420 --> 01:15:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:54.420 --> 01:15:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:54.420 --> 01:15:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:15:54.460 --> 01:16:24.420]  , The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:24.420 --> 01:16:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:24.420 --> 01:16:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:24.420 --> 01:16:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it or keep it in pro forma place.
[01:16:24.420 --> 01:16:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it or keep it in pro forma place.
[01:16:24.440 --> 01:16:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:54.420 --> 01:16:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:54.420 --> 01:16:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:54.420 --> 01:16:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:54.420 --> 01:16:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:54.420 --> 01:16:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:54.420 --> 01:16:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:54.420 --> 01:16:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:54.420 --> 01:16:54.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:16:54.420 --> 01:17:24.420]   the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:24.420 --> 01:17:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:24.420 --> 01:17:24.420]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:24.420 --> 01:17:24.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:24.440 --> 01:17:24.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:24.440 --> 01:17:24.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:24.460 --> 01:17:54.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:54.440 --> 01:17:54.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:54.440 --> 01:17:54.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:54.440 --> 01:17:54.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:54.440 --> 01:17:54.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:54.440 --> 01:17:54.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:54.440 --> 01:17:54.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:54.440 --> 01:17:54.440]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:17:54.440 --> 01:17:54.440]   The best American, the most prestigious American universities have either dismissed it or keep it or keep it in pro forma place.
[01:17:54.480 --> 01:18:24.460]  , The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:24.460 --> 01:18:24.460]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:24.460 --> 01:18:24.460]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:24.460 --> 01:18:24.460]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:24.460 --> 01:18:24.460]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:24.460 --> 01:18:24.460]   The best American universities have either dismissed it or keep it in pro forma place.
[01:18:24.460 --> 01:18:24.460]   or keep it in pro forma place. The best American universities have either dismissed it or keep it in pro forma place.
[01:18:24.480 --> 01:18:54.480]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:54.480 --> 01:18:54.480]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:54.480 --> 01:18:54.480]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:54.480 --> 01:18:54.480]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:54.480 --> 01:18:54.480]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:54.480 --> 01:18:54.480]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:54.480 --> 01:18:54.480]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:54.480 --> 01:18:54.480]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:54.480 --> 01:18:54.480]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:18:54.520 --> 01:19:24.500]   the best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:24.500 --> 01:19:24.500]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:24.500 --> 01:19:24.500]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:24.500 --> 01:19:24.500]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:24.500 --> 01:19:24.500]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:24.500 --> 01:19:24.500]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:24.520 --> 01:19:54.520]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:54.520 --> 01:19:54.520]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:54.520 --> 01:19:54.520]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:54.520 --> 01:19:54.520]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:54.520 --> 01:19:54.520]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:54.520 --> 01:19:54.520]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:54.520 --> 01:19:54.520]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:54.520 --> 01:19:54.520]   The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:19:54.520 --> 01:19:54.520]   The best American, the most prestigious American universities have either dismissed it or keep it or keep it in pro forma place.
[01:19:54.560 --> 01:20:24.540]  ,
[01:20:24.540 --> 01:20:24.540]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:24.540 --> 01:20:24.540]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:24.540 --> 01:20:24.540]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:24.540 --> 01:20:24.540]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:24.540 --> 01:20:24.540]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:24.560 --> 01:20:54.560]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:54.560 --> 01:20:54.560]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:54.560 --> 01:20:54.560]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:54.560 --> 01:20:54.560]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:54.560 --> 01:20:54.560]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:54.560 --> 01:20:54.560]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:20:54.560 --> 01:20:54.560]   ------ The best American, the best American, the most prestigious American universities have either dismissed it or keep it or keep it in pro forma place.
[01:21:18.800 --> 01:21:24.580]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:21:24.580 --> 01:21:24.580]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:21:24.580 --> 01:21:24.580]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:21:24.580 --> 01:21:24.580]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:21:24.580 --> 01:21:24.580]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:21:24.580 --> 01:21:24.580]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:21:24.580 --> 01:21:24.580]   ------ The best American universities have either dismissed it or keep it or keep it in pro forma place. ------ The best American universities have either dismissed it or keep it or keep it in pro forma place.
[01:21:54.600 --> 01:21:54.600]   ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place. ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place. ------ The best American, the most prestigious American universities have either dismissed it or keep it in pro forma place. ------ The best American, the most prestigious American, the most prestigious American universities have either dismissed it or keep it in pro forma place.
[01:22:24.660 --> 01:22:27.920]  �
[01:22:27.920 --> 01:22:34.740]   a, as,
[01:23:22.420 --> 01:23:22.420]   and,
[01:23:22.460 --> 01:23:23.300]  programs,
[01:23:23.300 --> 01:23:51.320]   I'm going to start with the first one.
[01:23:51.360 --> 01:24:20.220]  obedied.com.
[01:24:20.220 --> 01:24:20.260]   I'm going to start with the first one.
[01:24:20.260 --> 01:24:20.320]   I'm going to start with the first one.
[01:24:44.580 --> 01:24:49.240]   I'm going to start with the first one.
[01:24:49.240 --> 01:24:49.320]   I'm going to start with the first one.
[01:24:49.320 --> 01:24:49.380]   I'm going to start with the first one.
[01:24:49.380 --> 01:24:49.440]   I'm going to start with the first one.
[01:24:49.440 --> 01:24:49.540]   I'm going to start with the first one.
[01:24:49.540 --> 01:24:49.600]   I'm going to start with the first one.
[01:24:49.600 --> 01:24:49.660]   I'm going to start with the first one.
[01:24:49.660 --> 01:24:49.760]   I'm going to start with the first one.
[01:24:49.760 --> 01:24:49.800]   I'm going to start with the first one.
[01:24:49.800 --> 01:24:49.840]   I'm going to start with the first one.
[01:24:49.840 --> 01:24:49.880]   I'm going to start with the first one.
[01:24:49.880 --> 01:24:49.940]   I'm going to start with the first one.
[01:24:49.940 --> 01:24:49.980]   I'm going to start with the first one.
[01:24:49.980 --> 01:24:50.020]   I'm going to start with the first one.
[01:24:50.020 --> 01:24:50.040]   I'm going to start with the first one.
[01:24:50.040 --> 01:24:50.080]   I'm going to start with the first one.
[01:24:50.080 --> 01:24:50.100]   I'm going to start with the first one.
[01:24:50.100 --> 01:24:50.140]   I'm going to start with the first one.
[01:24:50.140 --> 01:25:20.000]   I'm going to start with the first one.
[01:25:20.000 --> 01:25:20.040]   I'm going to start with the first one.
[01:25:20.040 --> 01:25:20.060]   I'm going to start with the first one.
[01:25:20.060 --> 01:25:20.100]   I'm going to start with the first one.
[01:25:20.100 --> 01:25:20.120]   I'm going to start with the first one.
[01:25:20.120 --> 01:25:20.160]   I'm going to start with the first one.
[01:25:20.160 --> 01:25:20.160]   I'm going to start with the first one.
[01:25:20.200 --> 01:25:23.180]   at
[01:25:23.180 --> 01:25:31.080]   Jo I de
[01:25:31.080 --> 01:25:49.340]   female head,,,,, es candle socket employed300 respect here. I was not that is that is that is the American, and, and, and, and, and, and, and, AND, AND, K. B. E. Z. N. resposta IQ. Gel. vie�特別 Украї?.. Pat國 Prophet� Naw
[01:25:49.500 --> 01:26:18.620]   tablecloth their life were actually they were hot to talk about ideas. We couldn't have that. How could we maintain the social order in the economic order? If we had people who became fully alive when they were young, and could get up when they're knocked down? Yeah, you know,
[01:26:18.620 --> 01:26:18.800]   I
[01:26:18.800 --> 01:26:19.320]   think
[01:26:19.320 --> 01:26:19.440]   I
[01:26:19.440 --> 01:26:19.440]   would
[01:26:19.440 --> 01:26:19.440]   I
[01:26:19.440 --> 01:26:19.480]   would
[01:26:19.480 --> 01:26:19.500]   I
[01:26:19.540 --> 01:26:49.520]   I
[01:26:49.520 --> 01:26:49.520]   I
[01:26:49.520 --> 01:26:49.520]   I
[01:26:49.520 --> 01:26:49.520]   I
[01:26:49.520 --> 01:26:49.520]   I
[01:26:49.520 --> 01:27:19.560]   I
[01:27:19.600 --> 01:27:29.320]  �
[01:27:29.320 --> 01:27:31.400]  books� 11 do. I think my parents. H H H H L Ad
[01:27:31.400 --> 01:27:47.200]  ,
[01:27:47.200 --> 01:27:49.580]  ,
[01:27:49.620 --> 01:27:52.400]   get
[01:27:52.400 --> 01:28:00.680]  -- e .
[01:28:00.680 --> 01:28:13.560]  ל's...I, any, the, the, the, do, with, Mad H A T I is said stencils A fit 10
[01:28:18.520 --> 01:28:28.540]   музы
[01:28:28.540 --> 01:28:30.420]   in, like,
[01:28:30.420 --> 01:28:32.860]   12itt Meanwhile I don not from inqu cont or
[01:28:32.860 --> 01:28:46.340]   decide the do the add theumba the service the feel the� SO, the, the, the, the, the, the, the, the, the, the, the, the, private, the, the, ten,see,il,이� 멋있 SUS BUT,�,chem, 25 hogy teşekkür-G, understand. conduct. denyingó. check. boî-en,TP. Chung. grad. me, respect.ร.視, work. wait. Coast. ML. but, nhiều.iliation. Lin. cannot. 12. versa entry. form. belong. i. n. Brian, pro. bill. subscribe. in one of .ob. Laur's. green. join. nhưng.기는.ut. Karag. within the,
[01:28:46.340 --> 01:28:46.580]  說. prove. Sh 겁 I'm.$. переход",
[01:28:46.580 --> 01:28:48.240]   Hel Bat't,
[01:28:48.260 --> 01:28:49.760]   believe.
[01:28:49.760 --> 01:28:53.900]   that their hearts were in the right place. I remember.
[01:28:53.900 --> 01:28:59.040]   being humiliated. I told you privately about this yesterday.
[01:28:59.040 --> 01:29:04.180]   by a Jesuit brother from Saint Vincent's college,
[01:29:04.180 --> 01:29:16.520]   which is across the street from Xavier Academy, where I went and was beaten on a daily basis by the Ursula nuns, sometimes for mispronouncing.
[01:29:16.520 --> 01:29:17.640]   French.
[01:29:17.640 --> 01:29:18.260]   .
[01:29:18.260 --> 01:29:48.280]  -.
[01:29:48.280 --> 01:29:48.280]   .
[01:29:48.280 --> 01:30:18.300]   .
[01:30:18.300 --> 01:30:18.300]   .
[01:30:18.340 --> 01:30:28.360]   Erin
[01:30:28.360 --> 01:30:29.160]   his. I want to work
[01:30:48.340 --> 01:31:18.340]   and it probably has occurred to other groups, but, but the intellectual part of the universal Christian religion, the Catholic church has a respect for scholarship. And what, what happens as you collect data is that it forms itself into patterns. And if you record the patterns and test them to see if they're correct,
[01:31:18.340 --> 01:31:18.340]   and if you record the patterns and test them to see if they're correct,
[01:31:18.340 --> 01:31:18.340]   and if you record the patterns and test them to see if they're correct,
[01:31:18.340 --> 01:31:18.340]   and if you record the patterns and test them to see if they're correct,
[01:31:18.340 --> 01:31:18.340]   and if you record the patterns and test them to see if they're correct,
[01:31:18.340 --> 01:31:18.340]   and if you record the patterns and test them to see if they're correct,
[01:31:18.340 --> 01:31:18.340]   and if you record the patterns and test them to see if they're correct,
[01:31:18.340 --> 01:31:18.340]   and if you record the patterns and test them to see if they're correct,
[01:31:18.340 --> 01:31:18.340]   and if you record the patterns and test them to see if they're correct,
[01:31:18.380 --> 01:31:48.360]  ,
[01:31:48.360 --> 01:31:48.360]   and if you record the patterns and test them to see if they're correct,
[01:31:48.360 --> 01:31:48.360]   and if you record the patterns and test them to see if they're correct,
[01:31:48.360 --> 01:31:48.360]   and if you record the patterns and test them to see if they're correct,
[01:31:48.360 --> 01:31:48.360]   and if you record the patterns and test them to see if they're correct,
[01:31:48.360 --> 01:31:48.360]   and if you record the patterns and test them to see if they're correct,
[01:31:48.360 --> 01:31:48.360]   and if you record the patterns and test them to see if they're correct,
[01:31:48.360 --> 01:31:48.360]   and if you record the patterns and test them to see if they're correct,
[01:31:48.360 --> 01:31:48.360]   and if you record the patterns and test them to see if they're correct,
[01:31:48.360 --> 01:31:48.360]   and if you record the patterns and test them to see if they're correct,
[01:31:48.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.380 --> 01:32:18.380]   and if you record the patterns and test them to see if they're correct,
[01:32:18.420 --> 01:32:48.400]  ,
[01:32:48.400 --> 01:32:48.400]   and if you record the patterns and test them to see if they're correct,
[01:32:48.400 --> 01:32:48.400]   and if you record the patterns and test them to see if they're correct,
[01:32:48.400 --> 01:32:48.400]   and if you record the patterns and test them to see if they're correct,
[01:32:48.400 --> 01:32:48.400]   and if you record the patterns and test them to see if they're correct,
[01:32:48.400 --> 01:32:48.400]   and if you record the patterns and test them to see if they're correct,
[01:32:48.400 --> 01:32:48.400]   and if you record the patterns and test them to see if they're correct,
[01:32:48.400 --> 01:32:48.400]   and if you record the patterns and test them to see if they're correct,
[01:32:48.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:18.420]   and if you record the patterns and test them to see if they're correct,
[01:33:18.420 --> 01:33:48.440]  ,
[01:33:48.440 --> 01:33:48.440]   and if you record the patterns and test them to see if they're correct,
[01:33:48.440 --> 01:33:48.440]   and if you record the patterns and test them to see if they're correct,
[01:33:48.440 --> 01:33:48.440]   and if you record the patterns and test them to see if they're correct,
[01:33:48.440 --> 01:33:48.440]   and if you record the patterns and test them to see if they're correct,
[01:33:48.440 --> 01:33:48.440]   and if you record the patterns and test them to see if they're correct,
[01:33:48.440 --> 01:33:48.440]   and if you record the patterns and test them to see if they're correct,
[01:33:48.440 --> 01:33:48.440]   and if you record the patterns and test them to see if they're correct,
[01:33:48.440 --> 01:33:48.440]   and if you record the patterns and test them to see if they're correct,
[01:33:48.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.460 --> 01:34:18.460]   and if you record the patterns and test them to see if they're correct,
[01:34:18.500 --> 01:34:28.120]   remaining
[01:34:28.120 --> 01:34:42.060]   be in the
[01:36:33.080 --> 01:36:46.900]  실� equity
[01:37:10.000 --> 01:37:21.980]   fit
[01:37:21.980 --> 01:37:24.020]   brain. conduct 100
[01:37:39.660 --> 01:38:09.320]   Now here we're talking about a tiny fraction of the population. No more than 100,000 people. It's produced in the 20th century. Two presidents. How is that even possible? Statistically, what would a bookie say the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:09.320 --> 01:38:09.320]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:09.320 --> 01:38:09.320]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:09.320 --> 01:38:09.320]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:09.320 --> 01:38:09.320]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:09.320 --> 01:38:09.320]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:09.320 --> 01:38:39.000]  ,
[01:38:39.000 --> 01:38:39.000]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:39.000 --> 01:38:39.000]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:39.000 --> 01:38:39.000]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:39.000 --> 01:38:39.000]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:39.000 --> 01:38:39.000]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:39.000 --> 01:38:39.000]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:39.000 --> 01:38:39.000]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:39.000 --> 01:38:39.000]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:38:39.020 --> 01:39:08.680]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:08.680 --> 01:39:08.680]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:08.680 --> 01:39:08.680]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:08.680 --> 01:39:08.680]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:08.680 --> 01:39:08.680]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:08.680 --> 01:39:08.680]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:08.680 --> 01:39:08.680]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:08.680 --> 01:39:08.680]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:08.680 --> 01:39:38.360]  ,
[01:39:38.360 --> 01:39:38.360]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:38.360 --> 01:39:38.400]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:38.400 --> 01:39:38.440]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:38.440 --> 01:39:38.680]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:38.680 --> 01:39:38.700]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:38.700 --> 01:39:38.700]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:39:38.700 --> 01:39:38.700]   and unworldly and pious? And the odds of this little splinter who we all are taught are innocent and unworldly and pious?
[01:39:38.720 --> 01:40:08.720]   and unworldly and pious? And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:08.720 --> 01:40:08.720]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:08.720 --> 01:40:08.720]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:08.720 --> 01:40:08.720]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:08.720 --> 01:40:08.720]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:08.720 --> 01:40:08.720]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:08.720 --> 01:40:08.720]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:08.720 --> 01:40:08.720]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:08.760 --> 01:40:38.740]  ,
[01:40:38.740 --> 01:40:38.740]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:38.740 --> 01:40:38.740]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:38.740 --> 01:40:38.740]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:38.740 --> 01:40:38.740]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:38.740 --> 01:40:38.740]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:38.740 --> 01:40:38.740]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:40:38.760 --> 01:41:08.760]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:41:08.760 --> 01:41:08.760]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:41:08.760 --> 01:41:08.760]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:41:08.760 --> 01:41:08.760]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:41:08.760 --> 01:41:08.760]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:41:08.760 --> 01:41:08.760]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:41:08.760 --> 01:41:08.760]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:41:08.760 --> 01:41:08.760]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
[01:41:08.760 --> 01:41:38.780]  ,
[01:41:38.780 --> 01:41:38.780]   And the odds of this little splinter group who we all are taught are innocent and unworldly and pious?
