
[00:00:00.000 --> 00:00:05.000]   The following is a conversation with Jack Weatherford, anthropologist and historian
[01:14:18.220 --> 01:14:24.860]   drive a motorbike, but they're still herding cows and yaks and camels. If it's on a motorbike, okay.
[01:14:24.860 --> 01:14:26.780]   They're still doing it the Mongol way.
[01:14:26.780 --> 01:14:37.500]   But then if we go to the time of Timogen, of Genghis Khan, another component is the horses. Can we talk
[01:14:37.500 --> 01:14:43.820]   about their relationship with the horse? Thinking about this open step. From a young age, they've been
[01:14:43.820 --> 01:14:53.820]   all Mongols are trained to master riding horses. As you write, while standing on the horse. So they
[01:14:53.820 --> 01:14:59.180]   learn how to ride while standing on the horse from a young age. While standing on the horse,
[01:14:59.180 --> 01:15:06.060]   they often jousted with one another to see who could knock the other off. When their legs grew long enough to
[01:15:06.060 --> 01:15:13.020]   reach the stirrups. They were also taught to shoot arrows and to lasso on horseback, making targets
[01:15:13.020 --> 01:15:18.860]   out of leather pouches that they would dangle from poles so that they would blow in the wind. The
[01:15:18.860 --> 01:15:24.220]   youngsters practice hitting the targets from horseback at varying distances and speeds. The skills of such
[01:15:24.220 --> 01:15:32.620]   play proved invaluable to horsemanships later in life. Can you speak to the relationship of Genghis Khan
[01:15:32.620 --> 01:15:35.420]   Genghis Khan and the Mongols and the Mongols to horses?
[01:15:35.420 --> 01:15:41.580]   The Mongol and the horse are inseparable. I wrote one line in the book that the editor removed because
[01:15:41.580 --> 01:15:46.540]   that was insulting. I said, "The Mongol and the horse, they live together. They know each other with every
[01:15:46.540 --> 01:15:54.060]   twitch of the muscle and they smell the same." Well, I was saying it just not to be insulting about anything,
[01:15:54.060 --> 01:16:00.700]   but they have that deep intimacy. And the horses do know their owner from the smell. This is very important. It's also
[01:16:00.700 --> 01:16:08.060]   important for Genghis Khan because they made the flags, what they call the sult, out of the horse hair
[01:16:08.060 --> 01:16:15.340]   from their own horses. And so in battle, they used it for a very practical purpose, and that is the horses
[01:16:15.340 --> 01:16:22.780]   would return to their source because they knew the smell of their flag. It was other members of their own
[01:16:22.780 --> 01:16:32.140]   So the language itself, I have never ever mastered all the words just for the colors of horses, much less for all the other
[01:16:32.140 --> 01:16:38.780]   things about it. I can remember Mongolians being out there in the countryside and they say, "Oh, I want to learn English."
[01:16:38.780 --> 01:16:50.780]   I say, "Okay, yeah, that's nice." You teach me some words in Mongolian. I teach you the words. "Okay, say, "What color is that horse?" I say, "Brown." They would say, "Brown." I say, "Yes." "Okay, what color is that horse?"
[01:16:50.780 --> 01:16:56.780]   "Brown." Then they say, "But you said this color was brown. What color is this?"
[01:16:56.780 --> 01:17:06.140]   I say, "Well," I mean, it's just amazing. I mean, they have words based on sort of how smooth the
[01:17:06.140 --> 01:17:11.980]   coloring is and the variation and the texture and all the different ... Today in English, sometimes you can put
[01:17:11.980 --> 01:17:20.220]   them together. We say like yellow-brown or brown-brown or ... But the words for horses by, of course, by sex,
[01:17:20.220 --> 01:17:26.300]   and then they have three because they have geldings, and so they're very important too, and by age and by
[01:17:26.300 --> 01:17:31.580]   whether or not they've reproduced in the case of the females. All these things are important parts of the
[01:17:31.580 --> 01:17:41.900]   horse. A few years ago, a presidential candidate ran under the slogan, "Raised in the dust of many fast horses."
[01:17:41.900 --> 01:17:49.100]   It just resonates with the Mongolian spirit, and the dust itself is important. The Mongolians,
[01:17:49.100 --> 01:17:55.900]   they will wipe the sweat and the dust off the horse and wipe it onto their own forehead, which is the most
[01:17:55.900 --> 01:18:03.420]   sacred part of the body where the soul resides. This is how intimate a relationship is with the horses.
[01:18:03.420 --> 01:18:11.660]   And they're hard on them in some ways. They train them very well. They ride them very hard, but the
[01:18:11.660 --> 01:18:18.940]   horses are also trained for that. They use a very small crop. It's a little bit like a stick with a
[01:18:18.940 --> 01:18:24.860]   slight whip at the end. They hit the rump of the horse. Never anything else. They're horrified at Western
[01:18:24.860 --> 01:18:34.700]   people who use metal spurs and metal to harm the horse in the stomach. And to harm the head of a horse.
[01:18:34.700 --> 01:18:40.140]   They say it's a capital crime. I mean, I don't know anyone who's ever executed for it. But you never,
[01:18:40.140 --> 01:18:48.860]   ever harm a horse's head. So horses are important in every way, even religiously important with the making of
[01:18:48.860 --> 01:18:56.300]   the fermented horse's milk that the mother goes out every morning and she throws some to each of the
[01:18:56.300 --> 01:19:03.980]   four directions to start the day. And they use it for every kind of thing. But you know, some things
[01:19:03.980 --> 01:19:10.140]   puzzled me that in my watching, I remember one day being with a very nice family. It happened to be on a
[01:19:10.140 --> 01:19:16.300]   gelding day when they were out there gelding the would-be stallions who don't get to be stallions.
[01:19:16.300 --> 01:19:23.260]   But this family, they had a bunch of boys. And I only think about one or two girls were like four or
[01:19:23.260 --> 01:19:29.500]   five boys. And one boy was maybe 11 years old. He fell from the horse. You could see it. Not so far
[01:19:29.500 --> 01:19:36.780]   away. He fell from the horse. He didn't get up. No one moved. In fact, they all kind of turned attention away.
[01:19:36.780 --> 01:19:43.100]   And I thought, "What am I supposed to say? This boy fell down. Somebody go get him." No.
[01:19:43.100 --> 01:19:49.820]   And then the boy was trying to hobble back. He still had the reins to his horse, but he couldn't
[01:19:49.820 --> 01:19:54.460]   remount. And he was trying to hobble back. So his little brother went out to help him come in.
[01:19:54.460 --> 01:20:00.380]   And they came into the gear and they sat down. The mother just turned her back. And I'm thinking,
[01:20:01.100 --> 01:20:07.980]   "How on earth can you do this? This is a child. This is your child." But two weeks later, by chance,
[01:20:07.980 --> 01:20:14.780]   another boy who was practicing for Nadam, the annual races, like this boy had been doing,
[01:20:14.780 --> 01:20:21.260]   he was off in an area right close to the forested mountain area. And the horse bolted, took off through
[01:20:21.260 --> 01:20:26.540]   the woods. He was knocked off by a tree. And then the horse went deeper into the woods. The boy followed
[01:20:26.540 --> 01:20:34.220]   him. The boy became lost. The boy was 12 years old. He was lost for two weeks. And he lived.
[01:20:34.220 --> 01:20:39.900]   I would have died in 48 hours. He lived. He said, "Well, he slept in the daytime when it was warm. He
[01:20:39.900 --> 01:20:44.780]   walked at night when it was cold." Even though this was the summertime, the nights can be quite cold,
[01:20:44.780 --> 01:20:51.100]   especially on a mountain. And he sang loudly all night long to keep the wolves away. And he knew what to
[01:20:51.100 --> 01:20:55.900]   eat. And then he walked until he found water moving. And then he would follow that water down to the neck.
[01:20:55.900 --> 01:21:03.100]   He lived. And I realized, the boy falls on the horse, his mother's not going to be there.
[01:21:03.100 --> 01:21:10.860]   She knows that. And it's probably hard for her, too, to see her boy suffer, but she knows.
[01:21:10.860 --> 01:21:21.660]   Just a small tangent. There's a wrestler named Kerry Collette. And he tells the story about mental
[01:21:21.660 --> 01:21:30.380]   toughness that the first time he saw truly mentally tough people was when he visited Mongolia for a
[01:21:30.380 --> 01:21:37.980]   wrestling tournament. And he remembered that they were taking showers in ice-cold water. And all the other
[01:21:37.980 --> 01:21:42.140]   wrestlers, they would take the shower. And when the water hits them, you could see a little grimace.
[01:21:42.140 --> 01:21:51.340]   With the Mongols, there was just nothing. It was emotionless. Sort of like ice-cold water or any
[01:21:51.340 --> 01:21:59.500]   other kind of hardship. You build a hardness to that. And I suppose that falling from the horse is just
[01:21:59.500 --> 01:22:03.180]   an example of that. There's a mental hardness and a mental toughness.
[01:22:03.180 --> 01:22:09.260]   You have to be able to take care of yourself. And with the weather, for example, often in that
[01:22:09.260 --> 01:22:15.740]   time and still today, some people, if they can have the privacy to do it, the men will strip naked in
[01:22:15.740 --> 01:22:21.420]   the first heavy snow and roll around in the snow in order to prepare for the coming winter.
[01:22:21.980 --> 01:22:28.620]   And the valley where I live, a lot of wrestlers come there to train in the summertime for the
[01:22:28.620 --> 01:22:36.620]   competition. And the water's very cold coming down from the mountain. And every day when there's a break,
[01:22:36.620 --> 01:22:42.220]   they go down. Again, they do not get in the water, never. But they take the water and they pour the cold
[01:22:42.220 --> 01:22:47.820]   water over themselves. And yes, that's refreshing to them. Refreshing.
[01:22:47.820 --> 01:22:55.020]   Well, then getting back to the horses, the value they had for the horses and the horse riding skill
[01:22:55.020 --> 01:23:01.340]   they developed throughout their life created one of the most unstoppable military forces in history.
[01:23:01.340 --> 01:23:08.220]   So if we just talk about the mounted archery that they've employed in war, the Mongols
[01:23:08.220 --> 01:23:16.620]   were able to do targeted shooting accurately at 200 meters or more while riding fast,
[01:23:16.620 --> 01:23:20.940]   you know, up to speeds of 60 kilometers an hour, I read.
[01:23:21.900 --> 01:23:28.700]   So there's a lot to say, like, you know, you have to time and just watching some of the videos,
[01:23:28.700 --> 01:23:33.020]   it's just incredible how stable you could be on top of a horse. And I guess you're supposed to be
[01:23:33.020 --> 01:23:39.100]   shooting at a moment of the gallop when all four of the feet of the horse are off, off the ground.
[01:23:39.100 --> 01:23:43.980]   And so you have to time all of that. You have to position your body to maintain balance. And then
[01:23:43.980 --> 01:23:49.020]   there's the skill of the actual holding and shooting the bow accurately. And there's obviously the
[01:23:49.020 --> 01:23:55.100]   technology of the bow, the composite bow, the recurve bow. They've also, I read, used crossbows later,
[01:23:55.100 --> 01:24:01.100]   they've adapted the technology. And there's a particular kind of thumb draw that you use for
[01:24:01.100 --> 01:24:07.500]   shooting with the composite bow that works for a horse because the thing is bouncing up and down,
[01:24:07.500 --> 01:24:12.620]   right? So you have to like, not drop the arrow. It's just incredible to be able to shoot while the
[01:24:12.620 --> 01:24:18.540]   horse is going 60 kilometers an hour. Anyway, can you speak to this kind of exceptional
[01:24:18.540 --> 01:24:27.740]   excellence that the Genghis Khan and the Mongols had for riding horses and engaging in war
[01:24:27.740 --> 01:24:36.620]   off of the horse? The Mongol, the horse, and the bow were a perfect combination. And it was the most
[01:24:36.620 --> 01:24:44.300]   lethal weapon known to the world before the modern era. It was incredible, the synchronization and the
[01:24:44.300 --> 01:24:52.460]   timing of the movement. And also the years of skill, the fact that from absolute birth, the Mongols would
[01:24:52.460 --> 01:24:57.740]   be on a horse. And by three years old, they would probably be riding alone on the horse.
[01:24:58.460 --> 01:25:07.100]   Now, when I first went to Mongolia in the 1990s, at that time, all jockeys on horses for races had to be
[01:25:07.100 --> 01:25:14.700]   under six years old. That was the age limit. The cutoff was six years old at that time. And so you had
[01:25:14.700 --> 01:25:20.380]   someone who's three years old racing out there. It's absolutely incredible. And of course, at that age,
[01:25:20.380 --> 01:25:25.340]   they can't even have a saddle because it can't even be used. So they're just, all they're doing is staying on
[01:25:25.340 --> 01:25:29.020]   the horse. The horse has been trained to do what it has to do, and they just stay on it.
[01:25:29.020 --> 01:25:35.420]   But by staying on it, they learn the horse, they become one. And not just one horse with one rider,
[01:25:35.420 --> 01:25:41.580]   but one rider with several horses. Usually five is the number that you should have for you when you
[01:25:41.580 --> 01:25:47.100]   go off to battle. And this ability that you shoot, you have to defend your animals. There are wolves
[01:25:47.100 --> 01:25:53.900]   around, there are foxes, other things. In some areas, there were even tigers and other animals that would
[01:25:53.900 --> 01:25:58.540]   come in. And you had to be able to shoot to defend it against other people who might be raiding you.
[01:25:58.540 --> 01:26:06.780]   So they became excellent archers. They had composite bows that were very powerful,
[01:26:06.780 --> 01:26:13.500]   much more powerful than those of most sedentary people. Now I say all that because it's very important,
[01:26:14.060 --> 01:26:22.460]   but those are all sort of nomadic traits of the great steppe anyway. I mean, in an earlier version,
[01:26:22.460 --> 01:26:29.740]   you had the Huns who came out of Mongolia. And Hun is just the Mongolian word for human. Hun, to this day,
[01:26:29.740 --> 01:26:35.740]   that's what they say for a human being. So they came out of Mongolia. And all the early Turkic groups
[01:26:35.740 --> 01:26:43.660]   came out of Mongolia. And they had the similar skills. So you have this perfect weapon, but also
[01:26:43.660 --> 01:26:50.700]   you have to have perfect strategy, and how to coordinate it, and organize it, and use it. And
[01:26:50.700 --> 01:26:57.820]   this is where the genius that I cannot explain at all, but the genius of Genghis Khan came in. Other people,
[01:26:57.820 --> 01:27:05.420]   I think, had been very good in earlier times, a number of Turkic leaders, or even Attila the Hun,
[01:27:05.420 --> 01:27:12.060]   who, of course, was actually born in the West. But they were charismatic leaders and very dramatic
[01:27:12.060 --> 01:27:18.540]   leaders. And it wasn't that they were so excellent in their strategy. They were very good in warfare,
[01:27:18.540 --> 01:27:23.420]   and that's what carried them through. Genghis Khan's army was extremely good in warfare, but small.
[01:27:24.460 --> 01:27:33.020]   He never got probably above 100,000. At the most, 110,000. That is small. When you're going against
[01:27:33.020 --> 01:27:41.180]   China, that has millions just in the army, not to count in the country, and you're going against Russia,
[01:27:41.180 --> 01:27:46.460]   and you're going against the Middle East, and Persia, and Afghanistan, and these areas,
[01:27:46.460 --> 01:27:53.980]   your whole army has to be as finely tuned as each rider, each bow, and each horse.
[01:27:53.980 --> 01:28:00.860]   - That's the weapon. But the army becomes the super weapon of Genghis Khan, and how he organized it,
[01:28:00.860 --> 01:28:06.780]   and how he used it, and the strategies that he put together. - Yeah, when you have a small army,
[01:28:06.780 --> 01:28:15.980]   just think about that. A small army that conquered the world. - It would fit in a stadium today in America.
[01:28:15.980 --> 01:28:24.540]   - So there's extreme efficient coordination of units, mostly cavalry, right?
[01:28:24.540 --> 01:28:33.100]   - All cavalry. - All cavalry. - He had no infantry, and he had no baggage train. He had no backup commissary.
[01:28:33.100 --> 01:28:40.220]   Early on, no engineer corps. Later, one was added much later. But no, all cavalry.
[01:28:40.220 --> 01:28:47.420]   - And so there's light cavalry and heavy cavalry, and breaking down units using the decimal system,
[01:28:47.420 --> 01:28:58.940]   ten, hundred, a thousand. So there's a kind of hierarchy where you delegate authority, but to the
[01:28:58.940 --> 01:29:03.500]   degree there's commands, they must be followed strictly. - Yes.
[01:29:03.500 --> 01:29:12.860]   - So for extremely efficient, accurate, precise deployment of these troops in the battlefield,
[01:29:12.860 --> 01:29:18.380]   and the dynamic movement of the troops, including all the interesting tactics that were utilized,
[01:29:18.380 --> 01:29:23.420]   you have to have really good communication and coordination. And for that, orders must be followed.
[01:29:23.420 --> 01:29:26.860]   - Yes. - Is there something to speak to that? Like,
[01:29:26.860 --> 01:29:31.020]   how do you tune this kind of system to where everybody is working together so well?
[01:29:31.020 --> 01:29:37.820]   - I think the first point is the extreme loyalty of the people whom Chinggis Khan chose. His kinsmen,
[01:29:37.820 --> 01:29:46.060]   as we said, had deserted him. His Anda was a Christian relationship. But all the others that he found
[01:29:46.060 --> 01:29:52.700]   were just common people, herders or hunters, very common. And they were loyal to him and never,
[01:29:52.700 --> 01:29:59.020]   ever revolted against him, never betrayed him. So he had extreme loyalty. And then, as you mentioned,
[01:29:59.020 --> 01:30:07.340]   he organized his decimal system. So the smallest unit of the army was the "arft," the squad of 10 men.
[01:30:07.340 --> 01:30:13.900]   They were put together and in the head of that squad, he had total control over it. But the men knew that
[01:30:13.900 --> 01:30:21.740]   they were going to protect each other. And they had to come back with every member or everybody. You don't
[01:30:21.740 --> 01:30:29.260]   leave anybody behind. So this was extremely important. So if you submit to the orders of the man in charge,
[01:30:29.260 --> 01:30:35.260]   you know that he's risking his own life for you also. And you know that your brother on the left
[01:30:35.260 --> 01:30:41.740]   and on the right is risking his life for you. The army was, they were organized with five horses,
[01:30:41.740 --> 01:30:47.260]   each man. They had their bow and they had a lot of arrows, as many as they could have. But they also
[01:30:47.260 --> 01:30:53.660]   retrieved arrows at the end of their battle. And they also would retrieve the enemy arrows. This was a
[01:30:53.660 --> 01:30:59.340]   great advantage, by the way, when they hit Russia, because the Russians could not use Mongolian arrows.
[01:30:59.340 --> 01:31:06.380]   They could knock them in their bow. But the Mongols could use Russian arrows. So all these little
[01:31:06.380 --> 01:31:14.940]   things. But it's not even just the arrow. Also, they had to carry needle and thread. Every soldier
[01:31:14.940 --> 01:31:22.060]   had to be able to sew. And sometimes that could be a torn garment. It could be a piece of skin or a wound
[01:31:22.060 --> 01:31:27.260]   that somebody has. It was a very odd thing when you think about the army of Chinggis Khan and they're
[01:31:27.260 --> 01:31:31.660]   carrying everything themselves. They don't have any pack train behind them. And that one of the things
[01:31:31.660 --> 01:31:37.580]   they have to carry is needle and thread in order to sew up things. So complete self-reliance in that
[01:31:37.580 --> 01:31:45.580]   regard. Yes. They also carried dry dairy products, otter it's called, where they dry curd and they can
[01:31:45.580 --> 01:31:51.340]   keep it for a couple of years even. But you dry it and then when you need it, you can put it in a flask of
[01:31:51.340 --> 01:31:56.860]   water. You ride all day, it joggles up and down, boom, boom, boom, and turns into kind of thick
[01:31:56.860 --> 01:32:02.540]   protein. It's said that the Mongols could easily go three to five days without ever building a fire.
[01:32:02.540 --> 01:32:07.820]   They had enough food there. So all these little things at the lowest level were important,
[01:32:07.820 --> 01:32:14.140]   as well as the highest level of his loyalty, of his men to him. And it went all the way down.
[01:32:14.140 --> 01:32:19.340]   Loyalty was extremely important. And he organized the army into left wing, right wing,
[01:32:20.220 --> 01:32:28.860]   or east and west. Mongols, the word for left is east, the word for right is west. So those two wings.
[01:32:28.860 --> 01:32:37.500]   And then in the middle was the kol, the center, this moving center that was his bodyguard and his unit in
[01:32:37.500 --> 01:32:44.300]   the middle. Then usually they'd have a vanguard and a rear guard. Sometimes the vanguard would go out as
[01:32:44.300 --> 01:32:50.220]   much as two years in advance to clear the land, run the people away, scare them, make them go away,
[01:32:50.220 --> 01:32:56.300]   so that the grass is left there for the army when it moves through. And they never marched the way other
[01:32:56.300 --> 01:33:03.660]   armies do in a line of one following the other. They would always go in long lines spread out in wings,
[01:33:03.660 --> 01:33:12.540]   so that each horse is on its own path, you can say, but all parallel together. So they had very precise
[01:33:12.540 --> 01:33:21.580]   ways of doing things. And this, I think, was the secret with him. And he used the best people,
[01:33:22.460 --> 01:33:31.580]   but he also, he was willing to train them as much as possible. He never punished them for what happened.
[01:33:31.580 --> 01:33:37.420]   So Shiki Hutuk, for example, the supreme judge, he was in command one time of a group in the battle in
[01:33:37.420 --> 01:33:45.820]   Afghanistan, and he lost the battle, which is very, very unusual for Mongols. So Genghis Khan went out with
[01:33:45.820 --> 01:33:51.420]   him, said, "Okay, let's go to the battlefield together and look it over. And you explain to me
[01:33:51.420 --> 01:33:57.980]   what you did, and then we will talk about it." So he was very thoughtful in the way that he was training
[01:33:57.980 --> 01:34:01.500]   the people around him. And they knew they weren't going to be punished. It's not like these countries
[01:34:01.500 --> 01:34:06.700]   where the general comes back and gets executed because he lost. No, Shiki Hutuk knows every general
[01:34:06.700 --> 01:34:12.780]   is going to try 100%. And if they retreat, fine. They're saving Mongol lives. They know what to do.
[01:34:12.780 --> 01:34:19.900]   He respects that. So all these things like that fit together. But I think a part of it that was
[01:34:19.900 --> 01:34:27.820]   important for him… So he had this base from steppe warfare already, the horse, the archery,
[01:34:27.820 --> 01:34:36.220]   and how that all fit together. But he was very quick to embrace any kind of other technology
[01:34:36.220 --> 01:34:43.980]   that he saw. I think that sedentary armies, like sedentary civilizations, they get stuck in their ways.
[01:34:43.980 --> 01:34:48.140]   This is how we do it. And we're going to make it a little faster. We're going to make it a little
[01:34:48.140 --> 01:34:54.220]   bigger, a little stronger. But this is how we think. Chinggis Khan had no sed way to think.
[01:34:54.220 --> 01:35:00.380]   And when he encountered the first walled cities around 1209, after founding his nation in 1206,
[01:35:00.380 --> 01:35:05.500]   he went out on these raids. And I really think they were raids, not wars at first.
[01:35:05.500 --> 01:35:11.180]   So he went into Tangut territory of what's now northwestern China in the upper reaches of the
[01:35:11.180 --> 01:35:15.020]   Yellow River. So he went there. And of course, the cities have walls around them.
[01:35:15.020 --> 01:35:19.100]   This is a man who's never encountered a wall in his life. Well, he did,
[01:35:19.100 --> 01:35:23.100]   but they were made out of felt. The walls around his tent are felt walls.
[01:35:23.100 --> 01:35:28.780]   Yeah, just imagine what it's like for the first time in your life seeing a wall.
[01:35:28.780 --> 01:35:36.620]   When you come from the Mongolian steppe, there's very few even natural wall-like things.
[01:35:36.620 --> 01:35:40.780]   Right. Well, they have the wall cliffs in some places. They're familiar with that,
[01:35:40.780 --> 01:35:44.940]   and they can climb them. But they don't have people at the top shooting down the mountain.
[01:35:44.940 --> 01:35:51.020]   But he looked at everything around him, and he saw, okay, they have this river,
[01:35:51.020 --> 01:35:56.620]   and they have all these channels, and they're always moving water around. And like we said,
[01:35:56.620 --> 01:36:02.700]   for a Mongol, anything that moves is a potential weapon. Anything that doesn't move is a target.
[01:36:02.700 --> 01:36:10.540]   You've got moving water. You've got a standing, non-moving wall. So he said, okay, the men are going to dig
[01:36:11.660 --> 01:36:17.500]   a channel, and they're going to bring down the wall of the Tangut city. Well, they did it,
[01:36:17.500 --> 01:36:23.820]   and they didn't know exactly what they were doing, and the embankments weren't high enough. And too much
[01:36:23.820 --> 01:36:30.540]   water came in from the Yellow River and actually flooded out the Mongol camp. But, okay, it happened.
[01:36:30.540 --> 01:36:36.060]   We learned that lesson. So we're going to improve it. And that became a strategy that actually worked for
[01:36:36.060 --> 01:36:43.020]   the Mongols for the next 50 years, all the way to Baghdad. They were able to use it when they conquered
[01:36:43.020 --> 01:36:52.620]   Baghdad in 1258. So this ability to see things and to try them, and if they fail, to try them in a different
[01:36:52.620 --> 01:36:58.540]   way, but a better way. We all think we learn from our mistakes. We all are, "Yeah, yeah, I learned from
[01:36:58.540 --> 01:37:04.540]   that." And what do we do? We repeat the mistake. I think it's just a part of human nature. Well, it didn't
[01:37:04.540 --> 01:37:09.020]   work the first eight times, but I'm going to do it one more time. I think it's going to work. I know
[01:37:09.020 --> 01:37:15.340]   I'm going to win the lottery this time because I got the right—that's how we think. But he had that real
[01:37:15.340 --> 01:37:23.660]   ability to, first of all, to be humble before these other things he didn't know about technology, and to understand
[01:37:23.660 --> 01:37:30.700]   that he didn't understand, but he could understand it in his own way. And he did. Over and over,
[01:37:30.700 --> 01:37:36.860]   the Mongols were excellent at putting together new things in new ways and using them against their
[01:37:36.860 --> 01:37:47.340]   enemies. So rapid, extreme, continued innovation. So you couple that with a—I mean, you have to say,
[01:37:47.340 --> 01:37:57.260]   a revolutionary idea that promotion should be based on merit. That idea, combined with the innovative
[01:37:57.260 --> 01:38:04.620]   approach to the military, it just feeds on itself because the people who are learning from their
[01:38:04.620 --> 01:38:09.660]   mistakes and constantly improving are the ones that get promoted in the positions of power, and then they
[01:38:09.660 --> 01:38:16.300]   inspire everybody else to do the same. And so it's just—if every action is judged based on the excellence of
[01:38:16.300 --> 01:38:24.540]   that action, then over time, repeated iteration in war creates a more and more powerful army.
[01:38:24.540 --> 01:38:32.860]   Yes, yes. And they were able to do that for three generations, to create an army that was ever
[01:38:32.860 --> 01:38:40.140]   expanding, ever changing its tactics and its technology. And they got worse at it over time.
[01:38:40.140 --> 01:38:47.420]   But Chinggis Khan was the one who innovated it. He was the best with it. And he used it throughout his
[01:38:47.420 --> 01:38:54.220]   lifetime. And he was getting better over his lifetime with using foreign information, foreign technology,
[01:38:54.220 --> 01:38:59.180]   foreign ideas. He just had a genius for that.
[01:38:59.180 --> 01:39:05.020]   If we can go back to the horses, you mentioned every soldier had five horses.
[01:39:05.020 --> 01:39:07.100]   The reason for that is the horses get tired.
[01:39:07.100 --> 01:39:07.660]   Yes.
[01:39:07.660 --> 01:39:11.580]   And so you can cover a lot of ground in a single day.
[01:39:11.580 --> 01:39:17.260]   Yes. Usually the way the rotation of the horses would, the horse would usually ride for one day,
[01:39:17.260 --> 01:39:22.620]   and then rest for the next four to five days. And then another horse would be riding the next day.
[01:39:22.620 --> 01:39:28.860]   Yeah. One way to measure it is that later, at the time of the death of the Gudehan, the word went from
[01:39:28.860 --> 01:39:32.700]   Mongolia to Hungary in six weeks.
[01:39:32.700 --> 01:39:39.820]   Mongolia to Hungary in six weeks. So let's just imagine this army that's able to move at such high
[01:39:39.820 --> 01:39:45.500]   speeds, does not need to follow roads, because it's used to riding in the open step.
[01:39:45.500 --> 01:39:45.980]   Yeah, yeah.
[01:39:45.980 --> 01:39:51.500]   So you can do all kinds of dynamic movements in encircling a place.
[01:39:51.500 --> 01:39:52.700]   Yes.
[01:39:52.700 --> 01:39:58.300]   And then also one of the other famous things is the feigned retreat that was used continuously.
[01:39:58.300 --> 01:39:59.500]   Can you explain how that worked?
[01:39:59.500 --> 01:40:09.020]   The Mongols did not fight for honor the way we often think of brave soldiers, Achilles and the
[01:40:09.020 --> 01:40:15.660]   Iliad and things like that. They fought for victory. That was the one thing. So to retreat,
[01:40:16.140 --> 01:40:22.220]   to save lives. No, there's no shame in that. So the Mongols would often retreat. And Genghis
[01:40:22.220 --> 01:40:30.380]   Khan, basically, he himself never fought a battle that he thought he could lose. And he won every
[01:40:30.380 --> 01:40:34.940]   battle he fought. That wasn't true for every general under him, as we said for Shigihutuk,
[01:40:34.940 --> 01:40:40.700]   for example. But he won every battle because there was no shame in retreating and in not fighting,
[01:40:40.700 --> 01:40:47.100]   not engaging the enemy. However, that also becomes a tactic in that they would send in a small group of
[01:40:47.100 --> 01:40:52.540]   soldiers to attack. And the Mongols were able to fire, of course, going forward on the horse.
[01:40:53.500 --> 01:41:01.740]   They were able to then act like they were defeated and turn, but they could still fire
[01:41:01.740 --> 01:41:06.780]   backwards, which was the Parthian shot, which is unusual in the world, not totally unique,
[01:41:06.780 --> 01:41:12.460]   but unusual to fire backwards. But the Mongols also could lean down and fire under the neck of the
[01:41:12.460 --> 01:41:16.940]   horse. So they're protected. And they had many different ways. So they're firing coming, they're
[01:41:16.940 --> 01:41:23.660]   firing going. But usually, the soldiers who were against them would break ranks to chase them.
[01:41:23.660 --> 01:41:27.980]   They want to go, they want to get their weapons, they want to kill the Mongols. And if they didn't
[01:41:27.980 --> 01:41:33.980]   immediately break ranks, the Mongols would often start throwing things out like loot from some place
[01:41:33.980 --> 01:41:40.140]   and valuables around. And the soldiers usually couldn't resist it. So they'd come chasing out after
[01:41:40.140 --> 01:41:45.820]   the Mongols, sort of pell-mell, going in every different direction. And then they would get to
[01:41:45.820 --> 01:41:52.780]   a certain point. And from behind the two hills, the Mongol army would come and slaughter them.
[01:41:52.780 --> 01:41:58.940]   Over and over, this tactic worked. It's like the one with the water. I'm thinking,
[01:41:58.940 --> 01:42:04.380]   the people, how can they not know this is what the Mongols are doing? How can they not know that?
[01:42:04.380 --> 01:42:08.380]   Human nature, there is something that when the forces are retreating-
[01:42:08.380 --> 01:42:10.380]   You want to follow them. You want to run after them.
[01:42:10.380 --> 01:42:11.420]   You want to follow them. You can't help it.
[01:42:11.420 --> 01:42:12.060]   Yeah, yeah.
[01:42:12.060 --> 01:42:18.540]   I don't know what that is. That's maybe the animalistic. But take that with the ability
[01:42:18.540 --> 01:42:23.420]   at high speeds for the Mongols to encircle and attack the flanks.
[01:42:23.420 --> 01:42:23.980]   Yes.
[01:42:23.980 --> 01:42:31.820]   Which, there has been many great military historians who have written about the great
[01:42:31.820 --> 01:42:38.060]   military forces throughout history. And one of the things you write about, and in general,
[01:42:38.780 --> 01:42:48.700]   is the Mongols don't get written about almost at all, and don't get credit for the military tactics and the
[01:42:48.700 --> 01:42:54.780]   military genius exhibited through the different strategies. This kind of idea of the feign retreat
[01:42:54.780 --> 01:43:03.740]   and then attacking the flanks, that's been, if not invented, then perfected by Genghis.
[01:43:03.740 --> 01:43:08.300]   He really was a military genius. But there were other things too. They didn't like roads.
[01:43:08.300 --> 01:43:09.180]   Yeah.
[01:43:09.180 --> 01:43:13.420]   You know, they just didn't like the roads. So they would often be coming from some direction that
[01:43:13.420 --> 01:43:19.020]   nobody ever came from. And the people would be unprepared for that. The most famous example is
[01:43:19.020 --> 01:43:26.620]   probably in Bukhara. This is a beautiful, wonderful old city, a great place in the world to this day.
[01:43:26.620 --> 01:43:28.780]   And they came across the desert.
[01:43:28.780 --> 01:43:34.620]   Well, nobody had ever attacked across the desert. So people see dust coming. They think,
[01:43:34.620 --> 01:43:40.300]   well, a caravan. They don't even know what's going on. But it was the direction that was a surprise
[01:43:40.300 --> 01:43:45.740]   element in that particular case. So he was able to think in ways that the other people were not
