
[00:00:00.000 --> 00:00:03.000]   Who's your Realtor?
[00:20:45.000 --> 00:20:48.000]   And I'm convinced that anybody who has any ambition
[00:20:48.000 --> 00:20:51.000]   to do something like that can become a great student,
[00:20:51.000 --> 00:20:53.000]   because study skills, learning skills,
[00:20:53.000 --> 00:20:55.000]   they're just skills that can be learned in practice,
[00:20:55.000 --> 00:20:58.000]   and you can become a very effective learner.
[00:20:58.000 --> 00:21:01.000]   And you can choose a major or something that's appropriate for you.
[00:21:01.000 --> 00:21:03.000]   I'm not saying everyone can be a quantum physicist,
[00:21:03.000 --> 00:21:05.000]   just that you can find something that's appropriate for you,
[00:21:05.000 --> 00:21:09.000]   and you can get a full ride based upon your academic qualifications.
[00:21:09.000 --> 00:21:14.000]   So spending extra time on the weekend studying for school
[00:21:14.000 --> 00:21:17.000]   is the right thing to do.
[00:21:17.000 --> 00:21:19.000]   If you want to know the right thing to do,
[00:21:19.000 --> 00:21:21.000]   find an Asian friend,
[00:21:21.000 --> 00:21:25.000]   go and ask their parents what they think you should do,
[00:21:25.000 --> 00:21:28.000]   and do what their parents tell you to do.
[00:21:28.000 --> 00:21:31.000]   There's a great Asian stereotype for a reason
[00:21:31.000 --> 00:21:34.000]   about their parents making sure their children do well in school.
[00:21:34.000 --> 00:21:36.000]   Just do it,
[00:21:36.000 --> 00:21:39.000]   and you'll open up a whole world of access
[00:21:39.000 --> 00:21:43.000]   to great merit-based scholarships.
[00:21:43.000 --> 00:21:45.000]   However, that's just the tip of the iceberg
[00:21:45.000 --> 00:21:47.000]   when it comes to scholarships.
[00:21:47.000 --> 00:21:50.000]   There are thousands and thousands and thousands and thousands
[00:21:50.000 --> 00:21:52.000]   of scholarships that you can apply for.
[00:21:52.000 --> 00:21:55.000]   Here's what I never understood when I was in high school
[00:21:55.000 --> 00:21:57.000]   that I desperately wish I had.
[00:21:57.000 --> 00:22:00.000]   Applying for scholarships is pretty easy.
[00:22:00.000 --> 00:22:03.000]   It doesn't take that much time.
[00:22:03.000 --> 00:22:05.000]   All you got to do is find a scholarship
[00:22:05.000 --> 00:22:08.000]   that you might in some way qualify for
[00:22:08.000 --> 00:22:11.000]   or might be relevant for you in some possible way.
[00:22:11.000 --> 00:22:14.000]   Usually you got to sit down and fill out an application,
[00:22:14.000 --> 00:22:17.000]   and then usually you need to do something like write an essay
[00:22:17.000 --> 00:22:21.000]   or demonstrate your qualification for the scholarship.
[00:22:21.000 --> 00:22:23.000]   Now there's some pretty amazing scholarships
[00:22:23.000 --> 00:22:25.000]   that will cover you for all of your tuition.
[00:22:25.000 --> 00:22:28.000]   There's scholarships out there that will pay for everything
[00:22:28.000 --> 00:22:32.000]   from an undergraduate degree all the way through a PhD, 100%.
[00:22:32.000 --> 00:22:36.000]   You're going to have to hustle for years to do those things.
[00:22:36.000 --> 00:22:39.000]   But all the things you do to ultimately get those scholarships
[00:22:39.000 --> 00:22:41.000]   are all the things you should be doing, period,
[00:22:41.000 --> 00:22:43.000]   to gain acceptance to an elite university,
[00:22:43.000 --> 00:22:45.000]   to get merit-based scholarships.
[00:22:45.000 --> 00:22:47.000]   It's all just the standard stuff of being
[00:22:47.000 --> 00:22:49.000]   a highly motivated, success-oriented teenager.
[00:22:49.000 --> 00:22:51.000]   And all it requires is a little bit of motivation
[00:22:51.000 --> 00:22:53.000]   for you to do it.
[00:22:53.000 --> 00:22:55.000]   And the whole world is wanting to coach you
[00:22:55.000 --> 00:22:57.000]   and wanting to help you as soon as you demonstrate
[00:22:57.000 --> 00:22:59.000]   a little bit of initiative if you're a teen.
[00:22:59.000 --> 00:23:03.000]   There are also tons and tons of smaller scholarships
[00:23:03.000 --> 00:23:05.000]   that all you got to do is you don't have to go
[00:23:05.000 --> 00:23:09.000]   and start some world-changing project
[00:23:09.000 --> 00:23:11.000]   to end hunger and homelessness in your area.
[00:23:11.000 --> 00:23:13.000]   All you got to do is write an essay.
[00:23:13.000 --> 00:23:17.000]   What I never understood was the math of this.
[00:23:17.000 --> 00:23:20.000]   And it wasn't until I was about a senior in college
[00:23:20.000 --> 00:23:23.000]   that I finally sat down and realized what it was like.
[00:23:23.000 --> 00:23:27.000]   I mentioned the scholarships that I got when I was in college,
[00:23:27.000 --> 00:23:30.000]   one of them being a Kiwanis scholarship.
[00:23:30.000 --> 00:23:34.000]   And this was a local Kiwanis club where I was from,
[00:23:34.000 --> 00:23:38.000]   and they gave out a very simple scholarship.
[00:23:38.000 --> 00:23:40.000]   The application for the scholarship
[00:23:40.000 --> 00:23:44.000]   was simply an application that you made.
[00:23:44.000 --> 00:23:47.000]   You submitted your grades and other qualifications.
[00:23:47.000 --> 00:23:49.000]   I don't remember now at this point.
[00:23:49.000 --> 00:23:50.000]   I remember going for an interview,
[00:23:50.000 --> 00:23:53.000]   a simple interview with the team,
[00:23:53.000 --> 00:23:55.000]   and I was granted the scholarship.
[00:23:55.000 --> 00:23:57.000]   The scholarship was fairly modest.
[00:23:57.000 --> 00:23:59.000]   I don't remember if it was $500 a semester
[00:23:59.000 --> 00:24:03.000]   or $1,000 a semester, but it was something like that.
[00:24:03.000 --> 00:24:06.000]   Let's call it $500 and be a little bit more modest.
[00:24:06.000 --> 00:24:09.000]   It was a $500 scholarship.
[00:24:09.000 --> 00:24:12.000]   And so every fall and every spring,
[00:24:12.000 --> 00:24:15.000]   I and my parents would go to the Kiwanis scholarship luncheon.
[00:24:15.000 --> 00:24:17.000]   And it got to be really great
[00:24:17.000 --> 00:24:20.000]   because I didn't make any use of it at all.
[00:24:20.000 --> 00:24:21.000]   But I got to know some interesting people
[00:24:21.000 --> 00:24:23.000]   who were leaders in the community,
[00:24:23.000 --> 00:24:24.000]   members of the Kiwanis club.
[00:24:24.000 --> 00:24:26.000]   I got to know and appreciate some of the people.
[00:24:26.000 --> 00:24:28.000]   There's so much more I could have done.
[00:24:28.000 --> 00:24:29.000]   When I coach college students,
[00:24:29.000 --> 00:24:31.000]   I just want to grab them and shake them and say,
[00:24:31.000 --> 00:24:32.000]   "Don't be as dumb as I was.
[00:24:32.000 --> 00:24:34.000]   "This is your chance,"
[00:24:34.000 --> 00:24:36.000]   and teach them how to network with people.
[00:24:36.000 --> 00:24:37.000]   Anyway, I was dumb.
[00:24:37.000 --> 00:24:39.000]   But I would go to this, and they would bring me up,
[00:24:39.000 --> 00:24:40.000]   and they would give me the $500 check.
[00:24:40.000 --> 00:24:42.000]   They would feed us a nice lunch,
[00:24:42.000 --> 00:24:44.000]   and we would see all the other scholarship recipients.
[00:24:44.000 --> 00:24:46.000]   It was great.
[00:24:46.000 --> 00:24:48.000]   It wasn't until the end of college
[00:24:48.000 --> 00:24:50.000]   that I sat down and I tried to figure out
[00:24:50.000 --> 00:24:54.000]   how much money did I actually get from Kiwanis?
[00:24:54.000 --> 00:24:57.000]   And the answer, if it was $500 per semester,
[00:24:57.000 --> 00:24:59.000]   the answer, do the math,
[00:24:59.000 --> 00:25:04.000]   eight semesters, $4,000.
[00:25:04.000 --> 00:25:09.000]   That was how much money I got from the Kiwanis club, $4,000.
[00:25:09.000 --> 00:25:12.000]   And all I had to do was fill in an application.
[00:25:12.000 --> 00:25:14.000]   It probably took 30, 60 minutes.
[00:25:14.000 --> 00:25:16.000]   Go to a single interview.
[00:25:16.000 --> 00:25:18.000]   It took not much time at all.
[00:25:18.000 --> 00:25:27.000]   And then they fed me lunch and handed me $500 each semester, $4,000.
[00:25:27.000 --> 00:25:32.000]   What was my hourly rate for that Kiwanis scholarship that I got?
[00:25:32.000 --> 00:25:35.000]   Let's assume, let's ignore the free lunches.
[00:25:35.000 --> 00:25:37.000]   There's no such thing as a free lunch,
[00:25:37.000 --> 00:25:39.000]   but sometimes there is if you get your grades right.
[00:25:39.000 --> 00:25:44.000]   So let's say I had three hours, four hours into it.
[00:25:44.000 --> 00:25:49.000]   My hourly rate was easily $1,000 an hour.
[00:25:49.000 --> 00:25:54.000]   $1,000 an hour I got paid for filling out an application
[00:25:54.000 --> 00:26:00.000]   for a Kiwanis club scholarship in my local area.
[00:26:00.000 --> 00:26:04.000]   That's a pretty normal thing in the world of scholarships.
[00:26:04.000 --> 00:26:08.000]   I remember when I became aware of scholarships,
[00:26:08.000 --> 00:26:11.000]   I would see sometimes the low value,
[00:26:11.000 --> 00:26:14.000]   a $250 scholarship, a $400 scholarship,
[00:26:14.000 --> 00:26:16.000]   and I just dismissed it as being pointless.
[00:26:16.000 --> 00:26:22.000]   What I didn't understand was it was a $250 per semester scholarship.
[00:26:22.000 --> 00:26:25.000]   A $1,000 scholarship in many cases is $1,000 per year
[00:26:25.000 --> 00:26:28.000]   or $1,000 per semester.
[00:26:28.000 --> 00:26:32.000]   And so if you're looking for a high-paying summer job,
[00:26:32.000 --> 00:26:35.000]   dear high school sophomore, dear high school junior,
[00:26:35.000 --> 00:26:38.000]   probably dear high school freshman,
[00:26:38.000 --> 00:26:40.000]   senior, yeah, you should still be doing it,
[00:26:40.000 --> 00:26:44.000]   starting when you're a freshman, you're a sophomore, and you're a junior.
[00:26:44.000 --> 00:26:47.000]   I am convinced the highest-paying summer job
[00:26:47.000 --> 00:26:52.000]   that you could possibly do is applying for scholarships.
[00:26:52.000 --> 00:26:55.000]   Let's assume that you can apply for scholarships
[00:26:55.000 --> 00:26:58.000]   and let's assume that you can get one out of four,
[00:26:58.000 --> 00:27:00.000]   25% success ratio.
[00:27:00.000 --> 00:27:02.000]   From my research in the world of scholarships,
[00:27:02.000 --> 00:27:06.000]   for a reasonably qualified student,
[00:27:06.000 --> 00:27:09.000]   decent grades, decent test scores, good reputation,
[00:27:09.000 --> 00:27:11.000]   good involvement, a little bit of community service,
[00:27:11.000 --> 00:27:12.000]   those kinds of things,
[00:27:12.000 --> 00:27:15.000]   I don't think that would be an unreasonable expectation
[00:27:15.000 --> 00:27:17.000]   that you might get one out of four
[00:27:17.000 --> 00:27:20.000]   or one out of five of the scholarships that you apply for.
[00:27:20.000 --> 00:27:22.000]   So let's assume that it takes you on average
[00:27:22.000 --> 00:27:25.000]   about three or four hours per scholarship.
[00:27:25.000 --> 00:27:29.000]   I think that's pretty excessive, but I want to be very fair.
[00:27:29.000 --> 00:27:32.000]   Once you have a system for organizing yourself,
[00:27:32.000 --> 00:27:37.000]   I think many scholarship applications might take you an hour or two.
[00:27:37.000 --> 00:27:39.000]   The key thing that's going to take a while
[00:27:39.000 --> 00:27:41.000]   is often going to be writing an essay.
[00:27:41.000 --> 00:27:43.000]   So your goal should be to get very good
[00:27:43.000 --> 00:27:45.000]   at writing essays very, very quickly
[00:27:45.000 --> 00:27:49.000]   and write a custom essay for each individual scholarship.
[00:27:49.000 --> 00:27:51.000]   Let's assume that it takes you an hour
[00:27:51.000 --> 00:27:55.000]   to write an essay of a page or two, maybe two hours.
[00:27:55.000 --> 00:27:58.000]   So again, four hours per, let's do three, three hours per.
[00:27:58.000 --> 00:28:01.000]   So you apply for four different scholarships,
[00:28:01.000 --> 00:28:03.000]   four different $1,000 scholarships,
[00:28:03.000 --> 00:28:06.000]   and you get one of the four.
[00:28:06.000 --> 00:28:10.000]   It's $1,000 a year usually for a small scholarship,
[00:28:10.000 --> 00:28:12.000]   and all you got to do once you've gotten it
[00:28:12.000 --> 00:28:16.000]   is do like what I did is show back up to the Kiwanis Club luncheon,
[00:28:16.000 --> 00:28:18.000]   and there may have been an annual kind of check-in with me.
[00:28:18.000 --> 00:28:20.000]   Forgive me, it's been a while now.
[00:28:20.000 --> 00:28:25.000]   But the requirements to maintain the scholarship are pretty low.
[00:28:25.000 --> 00:28:28.000]   So it takes you three hours per scholarship application
[00:28:28.000 --> 00:28:32.000]   times four for a total of 12 hours of work,
[00:28:32.000 --> 00:28:35.000]   and you get one $4,000 scholarship
[00:28:35.000 --> 00:28:39.000]   that's worth $4,000 over the course of four years.
[00:28:39.000 --> 00:28:41.000]   What's your hourly rate?
[00:28:41.000 --> 00:28:45.000]   4,000 divided by 12, $333 per hour.
[00:28:45.000 --> 00:28:48.000]   But wait, there's more.
[00:28:48.000 --> 00:28:53.000]   Scholarship money, when it's used to pay for tuition, is tax-free.
[00:28:53.000 --> 00:28:56.000]   So it's even better than, you know,
[00:28:56.000 --> 00:28:58.000]   what would you have to pay for that
[00:28:58.000 --> 00:29:04.000]   to go out and work in order to earn the $333 per hour?
[00:29:04.000 --> 00:29:08.000]   Where are you going to make $333 per hour consistently?
[00:29:08.000 --> 00:29:12.000]   And then what would you have to do to go out and actually make it post-tax?
[00:29:12.000 --> 00:29:16.000]   The numbers are beautiful when you start digging into them.
[00:29:16.000 --> 00:29:18.000]   They're fantastic.
[00:29:18.000 --> 00:29:22.000]   So the question is how many scholarship applications could you make
[00:29:22.000 --> 00:29:25.000]   if you were really motivated?
[00:29:25.000 --> 00:29:28.000]   Here's another little thing that I never knew.
[00:29:28.000 --> 00:29:31.000]   I never knew that there's no limit
[00:29:31.000 --> 00:29:35.000]   as to how many scholarships you can win.
[00:29:35.000 --> 00:29:37.000]   I knew this a little bit
[00:29:37.000 --> 00:29:40.000]   because I had a sister who got really good grades,
[00:29:40.000 --> 00:29:44.000]   and she got a high-merit scholarship from her university,
[00:29:44.000 --> 00:29:46.000]   and so she got paid to go to university.
[00:29:46.000 --> 00:29:48.000]   But it wasn't very much.
[00:29:48.000 --> 00:29:50.000]   It was some thousands of dollars.
[00:29:50.000 --> 00:29:52.000]   It wasn't tens of thousands of dollars per year.
[00:29:52.000 --> 00:29:54.000]   It wasn't until later I realized
[00:29:54.000 --> 00:29:59.000]   that a motivated, dedicated student could pretty easily hack this system
[00:29:59.000 --> 00:30:05.000]   and be paid tens of thousands of dollars per year to go to college.
[00:30:05.000 --> 00:30:08.000]   Now imagine--back to that college discussion that I said--
[00:30:08.000 --> 00:30:11.000]   imagine that you did well with academics,
[00:30:11.000 --> 00:30:15.000]   so you were qualified in order to get into a college that you wanted to go to,
[00:30:15.000 --> 00:30:20.000]   and imagine that all of your expenses are covered by your scholarships,
[00:30:20.000 --> 00:30:23.000]   all of your tuition payments,
[00:30:23.000 --> 00:30:27.000]   all of your own board, your books, your class fees--everything's covered.
[00:30:27.000 --> 00:30:29.000]   And in addition to that,
[00:30:29.000 --> 00:30:35.000]   you've got $20,000, $30,000, $40,000 a year of pocket money
[00:30:35.000 --> 00:30:42.000]   that's coming in from 15 or 17 different scholarships that you have won.
[00:30:42.000 --> 00:30:45.000]   What could college do for you in that circumstance?
[00:30:45.000 --> 00:30:49.000]   All you've got to do is stay in good standing with your college,
[00:30:49.000 --> 00:30:52.000]   go to class, get good grades.
[00:30:52.000 --> 00:30:54.000]   You should get good grades in college.
[00:30:54.000 --> 00:30:58.000]   Go to class, get good grades.
[00:30:58.000 --> 00:31:01.000]   But you still have all the rest of the time available for you.
[00:31:01.000 --> 00:31:05.000]   And you're being paid a couple thousand dollars a month,
[00:31:05.000 --> 00:31:11.000]   plus all of your expenses paid, for doing that.
[00:31:11.000 --> 00:31:13.000]   Now what could you build,
[00:31:13.000 --> 00:31:16.000]   knowing that you're in college and you're getting a college degree,
[00:31:16.000 --> 00:31:21.000]   but you also have time to build your business, make connections.
[00:31:21.000 --> 00:31:24.000]   Think of the internships, the unpaid internships you could get.
[00:31:24.000 --> 00:31:26.000]   Think of the programs you could go on,
[00:31:26.000 --> 00:31:32.000]   the study abroad programs and all the different things you could do.
[00:31:32.000 --> 00:31:38.000]   Now it completely changes the calculus of the college decision.
[00:31:38.000 --> 00:31:40.000]   So what's necessary to do that?
[00:31:40.000 --> 00:31:48.000]   Well, first of all, you have to be capable of doing the work in the academic environment.
[00:31:48.000 --> 00:31:50.000]   And I promise you, you are capable.
[00:31:50.000 --> 00:31:52.000]   If you're getting bad grades right now,
[00:31:52.000 --> 00:31:55.000]   it's probably just because you don't care
[00:31:55.000 --> 00:31:59.000]   and you don't understand how much of a difference this could make for you.
[00:31:59.000 --> 00:32:03.000]   It's also probably because you've never taken any training on how to study,
[00:32:03.000 --> 00:32:05.000]   how to learn effectively.
[00:32:05.000 --> 00:32:09.000]   It's the dumbest thing in the world that will put students through a 12-year academic gauntlet
[00:32:09.000 --> 00:32:12.000]   and only rarely will there be a caring teacher
[00:32:12.000 --> 00:32:16.000]   who will give them a class on some useful study technique.
[00:32:16.000 --> 00:32:20.000]   And the world of learning science has completely changed.
[00:32:20.000 --> 00:32:23.000]   The work that's been done over the last 20 years is outstanding.
[00:32:23.000 --> 00:32:25.000]   So dig into the world of learning science.
[00:32:25.000 --> 00:32:26.000]   Grab a book on how to learn.
[00:32:26.000 --> 00:32:27.000]   Go to the library.
[00:32:27.000 --> 00:32:28.000]   Take a course on how to learn.
[00:32:28.000 --> 00:32:29.000]   There's all kinds of stuff.
[00:32:29.000 --> 00:32:31.000]   There's great YouTube channels out there.
[00:32:31.000 --> 00:32:36.000]   My favorites are Benjamin Keepe, who has a YouTube channel on it,
[00:32:36.000 --> 00:32:38.000]   and Justin Sung is one of the biggest ones.
[00:32:38.000 --> 00:32:44.000]   So go to YouTube, put in Benjamin Keepe, K-E-E-P, and Justin Sung,
[00:32:44.000 --> 00:32:47.000]   and let the algorithm feed you that kind of stuff,
[00:32:47.000 --> 00:32:50.000]   and learn how to study, learn how to learn, learn how to learn efficiently
[00:32:50.000 --> 00:32:53.000]   so that you can get more work done in less time.
[00:32:53.000 --> 00:32:55.000]   Then think about the stuff you're going to be involved in.
[00:32:55.000 --> 00:32:59.000]   Doing well with academics is not sufficient for you to get into great colleges
[00:32:59.000 --> 00:33:00.000]   and get other things.
[00:33:00.000 --> 00:33:02.000]   There's more to it.
[00:33:02.000 --> 00:33:05.000]   But the point is, go after it.
[00:33:05.000 --> 00:33:08.000]   And if you're not currently doing it, start caring and doing it.
[00:33:08.000 --> 00:33:12.000]   Then you need to just simply put in place a system
[00:33:12.000 --> 00:33:15.000]   where you're going to handle all the stuff well.
[00:33:15.000 --> 00:33:17.000]   You're going to do well academically.
[00:33:17.000 --> 00:33:21.000]   You're going to do well with your test scores,
[00:33:21.000 --> 00:33:28.000]   and you need to start collecting and build a system for applying for scholarships.
[00:33:28.000 --> 00:33:33.000]   If you're coaching people who are younger, younger than, say, ninth grade--
[00:33:33.000 --> 00:33:35.000]   by the way, I think a good time to start this kind of discussion,
[00:33:35.000 --> 00:33:41.000]   obviously parents have to make the decision based on what their child can handle.
[00:33:41.000 --> 00:33:43.000]   I don't want to create a meat grinder of a system
[00:33:43.000 --> 00:33:46.000]   where we just yell at people all the time, and you've got to do this, you've got to do this.
[00:33:46.000 --> 00:33:50.000]   I think there's benefit to childhood.
[00:33:50.000 --> 00:33:54.000]   But one of the things that you should focus on with students who are younger
[00:33:54.000 --> 00:33:56.000]   is get them accustomed to the work.
[00:33:56.000 --> 00:33:59.000]   So I've got a 10-year-old, and one of the things I'm really focusing on
[00:33:59.000 --> 00:34:02.000]   is building all of the core skills.
[00:34:02.000 --> 00:34:05.000]   In the early years, it's really important that you build strong academics.
[00:34:05.000 --> 00:34:07.000]   I've talked about that extensively elsewhere.
[00:34:07.000 --> 00:34:09.000]   You need to have great readers, people who read all the time,
[00:34:09.000 --> 00:34:11.000]   because that's one of the most important ways to do that.
[00:34:11.000 --> 00:34:14.000]   You need to be really good at math, so you should be doing math every single day
[00:34:14.000 --> 00:34:18.000]   with a great math curriculum, constantly, every single day, building those math skills.
[00:34:18.000 --> 00:34:21.000]   And then writing. Writing is a fundamental skill.
[00:34:21.000 --> 00:34:26.000]   So it needs to be fairly easy and simple for a student to sit down and bang out an essay.
[00:34:26.000 --> 00:34:28.000]   And that's just a skill that can be built.
[00:34:28.000 --> 00:34:30.000]   High school students sit there and stare at a blank screen
[00:34:30.000 --> 00:34:34.000]   and can't bang out an essay in 90 minutes because they're not trained on it
[00:34:34.000 --> 00:34:35.000]   and they're not practiced on it.
[00:34:35.000 --> 00:34:39.000]   So get a great writing curriculum and get them banging out essays every day.
[00:34:39.000 --> 00:34:42.000]   And when you get to the point where you can churn out essays,
[00:34:42.000 --> 00:34:44.000]   then it's going to be pretty simple.
[00:34:44.000 --> 00:34:48.000]   I heard an idea recently. I was listening to a scholarship advisor talk about this,
[00:34:48.000 --> 00:34:52.000]   and she said she had a friend of hers who would pay –
[00:34:52.000 --> 00:34:56.000]   he would pay his children very young, before high school,
[00:34:56.000 --> 00:34:59.000]   I think late elementary school and middle school.
[00:34:59.000 --> 00:35:02.000]   He had a system where he would pay his children $5
[00:35:02.000 --> 00:35:05.000]   for every scholarship application that they made.
[00:35:05.000 --> 00:35:07.000]   And he didn't care whether they were even eligible.
[00:35:07.000 --> 00:35:09.000]   He didn't care whether they were able to do it.
[00:35:09.000 --> 00:35:11.000]   He just paid them for making the application.
[00:35:11.000 --> 00:35:14.000]   And his point was that by starting in seventh grade,
[00:35:14.000 --> 00:35:17.000]   and now he's paid them $5 per scholarship application,
[00:35:17.000 --> 00:35:21.000]   he's got them lined up so that when they're eligible at ninth grade,
[00:35:21.000 --> 00:35:23.000]   not only do they have a bunch of essays that they've thought through
[00:35:23.000 --> 00:35:27.000]   for all these scholarships they've applied to and, of course, not gotten over the years,
[00:35:27.000 --> 00:35:29.000]   but now he can start pooling from them and say,
[00:35:29.000 --> 00:35:32.000]   "All right, let's grab this essay that you wrote previously. Let's polish it up."
[00:35:32.000 --> 00:35:35.000]   And they're all ready to start actually making those applications.
[00:35:35.000 --> 00:35:38.000]   And I thought, "Brilliant. Brilliant. I'm going to do it."
[00:35:38.000 --> 00:35:42.000]   I don't know if $5 is the right number, but it sounds pretty good.
[00:35:42.000 --> 00:35:46.000]   You know, get a student used to doing two or three applications a day,
[00:35:46.000 --> 00:35:51.000]   and you've got an amazingly productive thing to do.
[00:35:51.000 --> 00:35:53.000]   Now, scholarships are not the only thing.
[00:35:53.000 --> 00:35:57.000]   So back to the comment I made where I said this could pay off in a couple of years.
[00:35:57.000 --> 00:36:02.000]   One of the things that people ignore is they ignore all the things that can be done during high school,
[00:36:02.000 --> 00:36:06.000]   all of the youth congresses and the study abroad programs.
[00:36:06.000 --> 00:36:10.000]   I was going through a bunch of stuff this past week looking at all the programs the U.S. government does.
[00:36:10.000 --> 00:36:17.000]   The U.S. government will pay for all of your expenses, all your expenses to go and study abroad for a year,
[00:36:17.000 --> 00:36:22.000]   go to Germany, take a year of school in Germany or in Georgia or in many places.
[00:36:22.000 --> 00:36:25.000]   There's all these youth congresses and all these things.
[00:36:25.000 --> 00:36:28.000]   I never even imagined applying for any of that stuff.
[00:36:28.000 --> 00:36:32.000]   I don't know why I didn't. I was dumb. Don't be like me.
[00:36:32.000 --> 00:36:34.000]   I just never thought that was my thing.
[00:36:34.000 --> 00:36:38.000]   I didn't see myself as the kind of person who could do that stuff or who would do that stuff,
[00:36:38.000 --> 00:36:41.000]   and I'd never want to set the example for me.
[00:36:41.000 --> 00:36:45.000]   And so if you're coaching your child, obviously you know what your child needs,
[00:36:45.000 --> 00:36:49.000]   but this stuff's available to you. It's all out there.
[00:36:49.000 --> 00:36:53.000]   And that stuff can be paying off even just during high school,
[00:36:53.000 --> 00:36:56.000]   where you can do it pretty early, and it just builds your story.
[00:36:56.000 --> 00:36:58.000]   It builds the whole package.
[00:36:58.000 --> 00:37:02.000]   So I beg you, don't be dumb like me.
[00:37:02.000 --> 00:37:05.000]   Don't think that, "Oh, I just have to sit back here,
[00:37:05.000 --> 00:37:08.000]   and the only pathway to my dreams is for me to work and earn money."
[00:37:08.000 --> 00:37:11.000]   No, it's not true.
[00:37:11.000 --> 00:37:16.000]   There are many pathways, and there are rich people, mega billionaires,
[00:37:16.000 --> 00:37:21.000]   who have created all kinds of charitable foundations to throw money at you.
[00:37:21.000 --> 00:37:27.000]   And all you've got to do is qualify yourself for that,
[00:37:27.000 --> 00:37:35.000]   and then expose yourself to it by making the applications.
[00:37:35.000 --> 00:37:37.000]   I'm not going to go into any more technical details.
[00:37:37.000 --> 00:37:41.000]   I just want you to know, if you're a teenager,
[00:37:41.000 --> 00:37:44.000]   or if you're coming up on your teenage years,
[00:37:44.000 --> 00:37:49.000]   and/or if you're coaching a teenager in some way, shape, or form,
[00:37:49.000 --> 00:37:53.000]   your teens can reliably and consistently earn
[00:37:53.000 --> 00:37:58.000]   more than $100 an hour through this system,
[00:37:58.000 --> 00:38:02.000]   and in some cases, much more than $100 an hour.
[00:38:02.000 --> 00:38:07.000]   There is no higher-paying job or opportunity
[00:38:07.000 --> 00:38:10.000]   that is as consistent and effective
[00:38:10.000 --> 00:38:15.000]   for a motivated, organized, and disciplined teenager
[00:38:15.000 --> 00:38:21.000]   than getting good grades, getting good test scores,
[00:38:21.000 --> 00:38:25.000]   getting on the pathway into college based upon acceptance,
[00:38:25.000 --> 00:38:28.000]   extracurriculars, community service, community involvement,
[00:38:28.000 --> 00:38:34.000]   having one thing that you're really into that tells your story effectively,
[00:38:34.000 --> 00:38:39.000]   and applying for lots of scholarships.
[00:38:39.000 --> 00:38:42.000]   There's no reason why the kind of student
[00:38:42.000 --> 00:38:46.000]   who should be going to college from an academic perspective
[00:38:46.000 --> 00:38:53.000]   shouldn't be paid to go to college in our current system.
[00:38:53.000 --> 00:38:55.000]   Do it.
[00:38:55.000 --> 00:38:56.000]   There's lots of people out there--
[00:38:56.000 --> 00:38:59.000]   sorry, there's some people out there who've done it.
[00:38:59.000 --> 00:39:02.000]   You can do it, too.
[00:39:02.000 --> 00:39:04.000]   It will pay off in the long run.
[00:39:04.000 --> 00:39:07.000]   If I went over my list of the stuff you could do
[00:39:07.000 --> 00:39:09.000]   with those four college years,
[00:39:09.000 --> 00:39:11.000]   given the numbers that I described to you
[00:39:11.000 --> 00:39:14.000]   of what's possible to you just of college being paid for
[00:39:14.000 --> 00:39:16.000]   and all you got to do is get good grades,
[00:39:16.000 --> 00:39:18.000]   it's astonishing what you could accomplish
[00:39:18.000 --> 00:39:20.000]   during that phase of your life.
[00:39:20.000 --> 00:39:22.000]   But it starts in your teens.
[00:39:22.000 --> 00:39:24.000]   It's summertime.
[00:39:24.000 --> 00:39:29.000]   This is the right summer job for you to be focused on now.
[00:39:29.000 --> 00:39:32.000]   Mercedes-Benz Certified Pre-Owned Vehicles.
[00:39:32.000 --> 00:39:34.000]   Stunning looks, state-of-the-art intelligence,
[00:39:34.000 --> 00:39:36.000]   and a rigorous inspection process
[00:39:36.000 --> 00:39:38.000]   so you can make your dream car a reality.
[00:39:38.000 --> 00:39:41.000]   Learn more at mbusa.com/cpo
[00:39:41.000 --> 00:39:44.000]   and drive off in the car of your dreams today.

