
[00:00:00.000 --> 00:00:03.840]   Hello guys, welcome back to my channel. Today we are going to talk about Mamba
[00:27:42.060 --> 00:27:47.420]   And then we expand the expression of h1 to obtain this expression here
[00:27:48.540 --> 00:27:54.780]   We can use the similar reasoning to expand also the representation of the h2 space
[00:27:54.780 --> 00:27:59.980]   So that it only depends on the input and the parameters of the model and in the same way
[00:27:59.980 --> 00:28:07.020]   Also the computation of the output of the model at time step two using only the input and the parameters of the model
[00:28:07.020 --> 00:28:10.700]   As you can see we see a pattern
[00:28:10.700 --> 00:28:16.220]   So that to compute the kth token of the output we need to do the following
[00:28:16.920 --> 00:28:23.400]   Summation. So for example to compute y2 as you can see, we are multiplying x2 multiplied by cb
[00:28:23.400 --> 00:28:28.120]   So as you can see yk we are multiplying xk multiplied by cb
[00:28:28.120 --> 00:28:35.000]   Then the previous token so in here x1. So here xk minus one multiplied by cab
[00:28:35.000 --> 00:28:36.920]   cab, etc
[00:28:36.920 --> 00:28:39.240]   and then the previous previous token with
[00:28:39.880 --> 00:28:47.000]   Ca with an additional with the by increasing the power by which a is elevated multiplied by b
[00:28:47.000 --> 00:28:50.360]   and this is exactly what we say here, so the previous token with a
[00:28:50.360 --> 00:28:55.880]   An increasing power of a and etc, etc until we reach the kth power of a
[00:28:55.880 --> 00:29:01.660]   By using the formula we derived we note something interesting
[00:29:01.660 --> 00:29:08.440]   The output of the system can be calculated using a convolution of a kernel k with the input x
[00:29:09.160 --> 00:29:16.460]   So this formulation this formula that we derived here, which basically represents the pattern of all the expanded
[00:29:16.460 --> 00:29:19.880]   formulas that we saw before
[00:29:19.880 --> 00:29:22.040]   Using this this formula here
[00:29:22.040 --> 00:29:27.480]   We can build a kernel a kernel just like the kernel that we use in convolutional neural networks
[00:29:27.480 --> 00:29:34.280]   With the first term of the kernel being cb the second being cab the third being ca to the power of kb
[00:29:34.440 --> 00:29:42.120]   Etc, etc until the last item of the kernel and we can convolve this kernel with the input to compute directly the output
[00:29:42.120 --> 00:29:46.700]   And as you remember the convolution is something that we can parallelize
[00:29:46.700 --> 00:29:51.240]   So that's why this is very powerful because if we build this kernel
[00:29:51.240 --> 00:29:55.080]   We can convolve it on the input to produce the output
[00:29:55.080 --> 00:30:01.880]   And I want to prove you that the output computed using the kernel like this is exactly the one we just found
[00:30:02.280 --> 00:30:05.720]   By expanding these formulas before so let's do it
[00:30:05.720 --> 00:30:09.480]   We build a kernel like this
[00:30:09.480 --> 00:30:14.440]   Cb cab etc, etc up to the ca to the power of kb
[00:30:14.440 --> 00:30:18.300]   Depending on what is the length of the sequence that we are producing
[00:30:18.300 --> 00:30:20.760]   I am just
[00:30:20.760 --> 00:30:23.560]   Inverting the kernel. So the first term is not a cb
[00:30:23.560 --> 00:30:30.140]   But it's the last term and the second this one here becomes the second last etc because it's easier to visualize
[00:30:30.680 --> 00:30:34.840]   Then we have our input which is x0 x1 x2 x3
[00:30:34.840 --> 00:30:40.700]   But I add some padding later. I will show you why and then we have our output that will be produced by this convolution
[00:30:40.700 --> 00:30:43.480]   So let's run this convolution step by step
[00:30:43.480 --> 00:30:48.760]   The first output of the convolution is just the kernel
[00:30:48.760 --> 00:30:53.560]   Slided over the first four tokens of the input
[00:30:54.280 --> 00:31:01.240]   And we multiply this term with this one this term of the kernel with the this term of the input this
[00:31:01.240 --> 00:31:05.880]   Term of the kernel with this term of the input this current term of the kernel with this term of the input
[00:31:05.880 --> 00:31:11.080]   And then we sum all these results and the sum you can see is equal to y0 x
[00:31:11.080 --> 00:31:17.000]   X0 multiplied by cb and this is exactly result from this formula here
[00:31:17.000 --> 00:31:20.200]   So as you can see if we only have the first token
[00:31:20.200 --> 00:31:25.320]   It will be only cb multiplied by the token itself because we don't have any preceding token
[00:31:25.320 --> 00:31:33.240]   Let's go forward then we slide the kernel forward by one step and it will produce the following output
[00:31:33.240 --> 00:31:36.760]   So we have this item of the kernel multiplied by x1
[00:31:36.760 --> 00:31:42.440]   This item of the kernel multiplied by x0 and all the other multiplied by 0 so they will not contribute to the sum
[00:31:42.440 --> 00:31:45.320]   So y1 is equal to this here
[00:31:45.560 --> 00:31:51.560]   So as you can see when y is equal the k is equal to one we have x1 multiplied by cb
[00:31:51.560 --> 00:31:55.900]   And then we have the previous term. So x0 multiplied by cab
[00:31:55.900 --> 00:31:58.920]   Then we slide our kernel forward
[00:31:58.920 --> 00:32:01.480]   And we can see that
[00:32:01.480 --> 00:32:08.280]   This term is multiplied by this this term is multiplied by this and this term is multiplied by this and the last one is multiplied
[00:32:08.280 --> 00:32:10.280]   By zero so it doesn't contribute to the sum
[00:32:10.760 --> 00:32:17.240]   So y2 is computed like this and as you can see if you compare it with this formula, you will see that
[00:32:17.240 --> 00:32:25.080]   yk so when k is equal to 2 it will be cb multiplied by x2 then cab multiplied by x1 and then
[00:32:25.080 --> 00:32:28.120]   ca
[00:32:28.120 --> 00:32:35.800]   Without a actually ca to the power of 2 multiplied by b multiplied by x0 which is the previous token compared to x minus 1
[00:32:37.080 --> 00:32:40.700]   And etc for the step number 4 and this one you can verify by yourself
[00:32:40.700 --> 00:32:46.220]   The best thing about the convolution calculation is that it can be parallelized
[00:32:46.220 --> 00:32:52.360]   Because the output of yk does not depend on the previous output. So what I mean is
[00:32:52.360 --> 00:32:54.200]   this
[00:32:54.200 --> 00:32:59.960]   product that we are doing here can be done on one thread for example or one core of the
[00:32:59.960 --> 00:33:05.240]   GPU and this one can be done also simultaneously because they do not depend on each other
[00:33:05.800 --> 00:33:09.580]   So the convolutional calculation can be parallelized
[00:33:09.580 --> 00:33:12.440]   but the problem is that
[00:33:12.440 --> 00:33:18.680]   The the kernel we need to build the kernel for the convolution and building this kernel can be a little
[00:33:18.680 --> 00:33:22.200]   Expensive from a computational point of view, but also from a memory point of view
[00:33:22.200 --> 00:33:23.640]   however
[00:33:23.640 --> 00:33:27.160]   We can still use the convolutional computation to perform the training
[00:33:27.160 --> 00:33:31.160]   Because we can parallelize the training because we already have the input token
[00:33:31.240 --> 00:33:36.280]   We already have the target so we can compute the output of the model in parallel for all the input
[00:33:36.280 --> 00:33:39.740]   tokens, even if it's expensive to do it computationally
[00:33:39.740 --> 00:33:45.800]   And then we can use the recurrent formulation to inference from this model one token at a time
[00:33:45.800 --> 00:33:52.840]   And we also know that by just doing this the computation cost for producing one token will always be the same
[00:33:52.840 --> 00:33:59.400]   No matter how which token we are producing if it's the first one or the 100th token or the 1000th token
[00:34:00.120 --> 00:34:02.680]   And this is different from the transformer in which
[00:34:02.680 --> 00:34:09.320]   If we want to generate tokens to produce the first token is less expensive than to produce the 100th token
[00:34:09.320 --> 00:34:14.680]   Because we need to do much more dot products when we generate the 100th token
[00:34:14.680 --> 00:34:17.800]   So with the KVCache we would do 100 dot products
[00:34:17.800 --> 00:34:23.720]   One thing that is worth mentioning is that in the paper they do not use the term d
[00:34:23.720 --> 00:34:29.900]   Here when they compute the output and the reason is that this can be thought of as a skip connection
[00:34:30.060 --> 00:34:31.740]   Let me show you why
[00:34:31.740 --> 00:34:36.540]   So imagine we have our input x which is the input of the system
[00:34:36.540 --> 00:34:42.860]   So suppose we have this x this is sent to some black box that we will call state space model
[00:34:42.860 --> 00:34:48.880]   That will do this calculation of the state recurrently. So continuously
[00:34:48.880 --> 00:34:52.220]   And it will produce an output y
[00:34:52.220 --> 00:34:57.740]   But then we can see that this dx of t basically means that we take our input
[00:34:57.900 --> 00:35:04.940]   We skip the state space model. We multiply it with some number d and we send it directly to the output
[00:35:04.940 --> 00:35:09.980]   So we do not need to model this d to model the state space
[00:35:09.980 --> 00:35:14.140]   Because it does not depend on the state of the system at any time step
[00:35:14.140 --> 00:35:20.460]   And this is why it can be represented as a skip connection. And this is why in the paper they do not mention it
[00:35:20.460 --> 00:35:27.020]   The analysis that we have done so far on this state space model as I told you before we will consider
[00:35:27.100 --> 00:35:31.500]   We for simplicity we are considering that all the parameters are just the single numbers
[00:35:31.500 --> 00:35:37.500]   But usually and the input is just a single number and the output is just a single number
[00:35:37.500 --> 00:35:42.700]   But usually when we work with language models, especially our input is not a single number
[00:35:42.700 --> 00:35:48.780]   but it's a vector because suppose we have a sequence of tokens each token is represented by a vector of
[00:35:48.780 --> 00:35:52.320]   512 dimensions in the case of the vanilla transformer
[00:35:53.020 --> 00:35:57.500]   And maybe 4096 dimensions in the case of llama, for example
[00:35:57.500 --> 00:36:04.620]   So how can we work with the state space models, but with a vector input and a vector output?
[00:36:04.620 --> 00:36:12.940]   The idea is that each dimension of the input vector will be managed by an independent state space model
[00:36:12.940 --> 00:36:17.100]   So imagine we have an input made up of a vector of 512 tokens
[00:36:17.100 --> 00:36:19.740]   512 dimensions
[00:36:19.740 --> 00:36:26.620]   Which needs to produce an output token of 512 dimensions. We will create one state space model for each dimension
[00:36:26.620 --> 00:36:32.000]   So one for the dimension zero one for the dimension one dimension two, etc, etc for all the dimensions
[00:36:32.000 --> 00:36:36.220]   And all these state space muscles are independent from each other
[00:36:36.220 --> 00:36:39.820]   now this idea may look very strange and
[00:36:39.820 --> 00:36:45.660]   But it's not so strange if you think about the multi-head attention of the transformer because in the transformer
[00:36:45.820 --> 00:36:51.740]   We also have an input made up of vectors each one representing an embedding of a token
[00:36:51.740 --> 00:36:55.680]   Suppose we have 512 dimensions for each embedding
[00:36:55.680 --> 00:37:00.320]   Then the multi-head attention one basically groups some dimensions
[00:37:00.320 --> 00:37:04.540]   Suppose in the vanilla transformer we have eight heads
[00:37:04.540 --> 00:37:09.500]   So it means that the 512 is divided by eight which means that every
[00:37:09.500 --> 00:37:15.180]   Head is managing 64 dimensions and each head is independent from the others
[00:37:15.820 --> 00:37:22.220]   And this is so it's if it works for the transformer. It can also work for the state space model and actually it does
[00:37:22.220 --> 00:37:24.700]   so
[00:37:24.700 --> 00:37:26.060]   the parameters
[00:37:26.060 --> 00:37:28.060]   a b c d
[00:37:28.060 --> 00:37:35.260]   The input and the y t have now become vectors and they will have the sequence dimension and also the
[00:37:35.260 --> 00:37:42.000]   D model dimension, which means that we have an input that is made up of suppose 512 dimensions
[00:37:42.000 --> 00:37:44.380]   Just like in the transformer model
[00:37:45.260 --> 00:37:51.900]   Now in the recurrent formulation of the state space model we have this matrix a which is quite important
[00:37:51.900 --> 00:37:53.740]   because
[00:37:53.740 --> 00:38:01.660]   The a matrix in the state space model can be intuitively thought of as a matrix that captures the information of the past state
[00:38:01.660 --> 00:38:03.820]   So the h t minus one
[00:38:03.820 --> 00:38:06.860]   To build the new state the h of t
[00:38:06.860 --> 00:38:11.980]   It also decides how this information is copied forward in time
[00:38:12.060 --> 00:38:18.860]   So when we produce the output of a state space model at a particular time step for which means for a particular token
[00:38:18.860 --> 00:38:26.540]   It depends on the state at that time step, but the state at time step t depends on all the previous states
[00:38:26.540 --> 00:38:33.420]   So basically this a matrix tells us how the information of the model is conveyed forward in time
[00:38:33.420 --> 00:38:35.420]   So this h of t
[00:38:35.420 --> 00:38:41.580]   Basically captures all the history of the input of the model so far to build the new token
[00:38:42.540 --> 00:38:47.740]   This means that we need to be very careful about the structure of this a matrix
[00:38:47.740 --> 00:38:52.780]   Otherwise, it may not very well capture the history of all the inputs seen so far
[00:38:52.780 --> 00:38:55.100]   Which is needed to produce the next token
[00:38:55.100 --> 00:38:59.660]   And this is very important for language models because the next token generated by the model
[00:38:59.660 --> 00:39:04.220]   should depend on all the previous tokens, which are the prompt because when you
[00:39:04.220 --> 00:39:09.420]   Send a prompt to a language model, which is a list of tokens. The model should attend should
[00:39:10.460 --> 00:39:12.940]   Watch all the previous tokens to produce the new one
[00:39:12.940 --> 00:39:20.140]   And in the case of the state space model, this is taken care of by the matrix a so the structure of this matrix is very
[00:39:20.140 --> 00:39:21.260]   important
[00:39:21.260 --> 00:39:28.060]   And if you have some background in controls engineering, you may remember that in a state space model the a matrix
[00:39:28.060 --> 00:39:30.940]   Also determines the stability of the system
[00:39:30.940 --> 00:39:36.220]   Which means that the output of the system may diverge if the system is not stable
[00:39:36.220 --> 00:39:39.340]   But if you don't have a background in controls engineering, it doesn't matter
[00:39:39.740 --> 00:39:45.980]   So to make the a matrix behave well, the authors chose to use the hippo theory. Let's see how it works
[00:39:45.980 --> 00:39:53.420]   To give you an intuition on what the hippo theory does. I will use borrow some the Fourier transformation
[00:39:53.420 --> 00:39:58.220]   So as you remember the Fourier transformation allow us to decompose a signal
[00:39:58.220 --> 00:40:03.180]   So suppose this is our initial signal into a series of sinusoidal functions
[00:40:03.180 --> 00:40:09.500]   So this one this one and this one such that when we sum all these functions
[00:40:09.500 --> 00:40:14.380]   Each one with its respective amplitude value you can see here
[00:40:14.380 --> 00:40:17.100]   They will rebuild the original signal
[00:40:17.100 --> 00:40:22.640]   And we do something similar also in the state space model with the hippo theory
[00:40:22.640 --> 00:40:27.120]   But instead of using sinusoidal functions, we use the Legendre polynomials
[00:40:28.540 --> 00:40:35.980]   With the hippo theory we build the a matrix in such a way that it approximates all the input signals so far
[00:40:35.980 --> 00:40:42.140]   So let me show you here. So imagine this is our input signal and it evolves over time
[00:40:42.140 --> 00:40:44.220]   So x of t you can see here
[00:40:44.220 --> 00:40:52.780]   The goal of the a matrix is to capture information from this input signal and convey it forward for the next
[00:40:52.780 --> 00:40:56.140]   State so it captures the history of all these signals
[00:40:56.940 --> 00:41:03.340]   Suppose this is our state if we use the state to rebuild the original signal using the hippo theory
[00:41:03.340 --> 00:41:09.580]   We will have an output. So the rebuild the reconstructed signal that is very good
[00:41:09.580 --> 00:41:15.580]   Approximate well approximated for the more recent time steps and not so good
[00:41:15.580 --> 00:41:20.140]   Well approximated for the previous time step. So as you can see this approximation here is not very
[00:41:21.180 --> 00:41:27.420]   Good, if you compare it with the original signal here, but the more recent is very well reconstructed
[00:41:27.420 --> 00:41:33.120]   You can see here and this is what the hippo matrix does it reconstructs build a state space representation
[00:41:33.120 --> 00:41:37.900]   that captures well the information of recent tokens and
[00:41:37.900 --> 00:41:45.280]   Decays the information of the past token using some reasoning very similar to the exponentially moving average
[00:41:45.280 --> 00:41:49.900]   And this is very important for language modeling because in language models
[00:41:50.300 --> 00:41:54.460]   We have a prompt made up of tokens and we need to produce the next token
[00:41:54.460 --> 00:41:59.660]   So we need to build a hidden state because the hidden state will determine the output of the system
[00:41:59.660 --> 00:42:03.500]   So the next token so we need to build a hidden state that captures very well
[00:42:03.500 --> 00:42:10.940]   Information about the local context and it we can afford to lose some information about the global context. So information about
[00:42:10.940 --> 00:42:14.640]   Tokens that are very far from the one we are producing
[00:42:16.540 --> 00:42:22.460]   And in the in a paper called efficiently modeling long sequences with structured state spaces
[00:42:22.460 --> 00:42:25.020]   Which is basically the paper of the S4 model
[00:42:25.020 --> 00:42:31.980]   The author says that just initializing the A matrix with the hippo matrix we can see here
[00:42:31.980 --> 00:42:34.540]   so this is how to build the hippo matrix, which is
[00:42:34.540 --> 00:42:37.340]   basically an n by n matrix in which
[00:42:37.340 --> 00:42:44.220]   All the values above the principal diagonal here are zero and other values are computed as follows
[00:42:44.380 --> 00:42:50.860]   So for the diagonal they are computed as n plus one which n is the row and the k is the column
[00:42:50.860 --> 00:42:55.900]   If we just build the A matrix like this
[00:42:55.900 --> 00:43:00.940]   It will result in a very big increase in performance of the model
[00:43:00.940 --> 00:43:08.860]   Why? because the A matrix is the one that is responsible for capturing information about the previous state and carrying it over to the new state
[00:43:08.860 --> 00:43:12.780]   So we want to carry the information well in the new state
[00:43:13.340 --> 00:43:18.540]   So that the h of t which will become a vector
[00:43:18.540 --> 00:43:22.540]   If we have a multi-dimensional state space model
[00:43:22.540 --> 00:43:30.300]   Then this h of t captures very well the information of all the previous inputs so that we can produce the next output
[00:43:30.300 --> 00:43:37.420]   Okay, now it's time to talk about Mamba and let's talk about the motivation that led to the building of Mamba
[00:43:37.820 --> 00:43:43.340]   And in the paper the the authors they describe two tasks on which the vanilla state space model
[00:43:43.340 --> 00:43:47.820]   So the state space model that we have described up to now or even the S4 model
[00:43:47.820 --> 00:43:49.740]   Which is the structured state space model
[00:43:49.740 --> 00:43:55.820]   Which is basically just the state space model with a very rigid structure on the A matrix like the one we saw before
[00:43:55.820 --> 00:43:59.900]   So these two models they do not perform well on two specific tasks
[00:43:59.900 --> 00:44:02.940]   One is the selective copying and one is the induction heads
[00:44:03.580 --> 00:44:11.180]   So let's introduce these tasks the copying task basically means that we have some input tokens. So this one's here blue
[00:44:11.180 --> 00:44:13.740]   orange red and
[00:44:13.740 --> 00:44:18.480]   Green and the model has to produce the same outputs but time shifted
[00:44:18.480 --> 00:44:22.460]   And this actually can be done by the vanilla state space model
[00:44:22.460 --> 00:44:30.780]   Because it can be actually done with a simple convolution and the convolution can learn the time shifting that we are doing
[00:44:31.420 --> 00:44:38.300]   However, the selective copying which means that we have the some input tokens, for example, the blue white white
[00:44:38.300 --> 00:44:41.180]   orange red
[00:44:41.180 --> 00:44:45.820]   and then green cannot and the model needs to produce only the
[00:44:45.820 --> 00:44:48.780]   Colored tokens so not the white tokens
[00:44:48.780 --> 00:44:54.460]   This one cannot be done by the vanilla state space model because the vanilla spaces model
[00:44:54.460 --> 00:45:00.940]   That is not content cannot do content aware reasoning because the parameters of the model are the same for every step
[00:45:00.940 --> 00:45:04.860]   So the same for every token, so it will treat each token equally
[00:45:04.860 --> 00:45:07.500]   so it cannot say distinguish between
[00:45:07.500 --> 00:45:14.460]   The blue token and the white token and just ignore the white one and keep the blue the the colored one and not the
[00:45:14.460 --> 00:45:16.540]   the white ones
[00:45:16.540 --> 00:45:22.620]   So to give you an intuition of how what this could mean, for example, imagine we are given a twitter
[00:45:22.620 --> 00:45:28.060]   Comment on twitter and we want to rewrite this comment by removing all the bad words
[00:45:28.220 --> 00:45:32.780]   So all the white tokens you can see here and this one cannot be done by the state space model
[00:45:32.780 --> 00:45:40.380]   Because the parameters a b c and d are the same for each input and they cannot do they cannot change for each particular input
[00:45:40.380 --> 00:45:49.340]   The second task on which the state space model have a difficulty is the induction head which means that the model needs to recall
[00:45:49.340 --> 00:45:51.640]   information from the previous
[00:45:51.640 --> 00:45:56.300]   Inputs to build the current input and they show for example this example
[00:45:56.300 --> 00:45:58.380]   so for example, every time the model sees the
[00:45:58.380 --> 00:46:04.540]   The black token it should output the blue token by recalling what it has seen before
[00:46:04.540 --> 00:46:10.860]   But because the model cannot use a content aware reasoning it cannot do perform. Well this task
[00:46:10.860 --> 00:46:13.740]   and
[00:46:13.740 --> 00:46:16.780]   This is the motivation that led to the creation of mamba
[00:46:16.780 --> 00:46:20.620]   And this is the reference in the paper in which they talk about these two tasks
[00:46:21.020 --> 00:46:23.840]   So from the recurrent view the recursive dynamics
[00:46:23.840 --> 00:46:31.340]   So the transition in the because of the a and the b matrix cannot let them select the correct information from the current context
[00:46:31.340 --> 00:46:37.340]   Because the a and b metrics are the same for each input token and also from the convolutional view
[00:46:37.340 --> 00:46:43.660]   It it is known that the model is able to solve the copying task because it can learn the time shift
[00:46:43.660 --> 00:46:46.540]   but they have a difficulty with the selective
[00:46:47.020 --> 00:46:51.740]   Copying task because the parameters of the model are the same for each input
[00:46:51.740 --> 00:46:55.660]   So they do not know how to treat differently a particular input
[00:46:55.660 --> 00:47:03.020]   Now let's talk about the innovation of mamba and how it differs from the state space model
[00:47:03.020 --> 00:47:06.620]   Let's first review. What is the algorithm of the state space model?
[00:47:06.620 --> 00:47:10.860]   So the state space model basically has an input and it has to produce an output
[00:47:11.180 --> 00:47:16.460]   The input is this one. So it's a tensor of b l and d dimension
[00:47:16.460 --> 00:47:20.620]   which is a batch dimension sequence dimension and the d model and this is the
[00:47:20.620 --> 00:47:24.780]   Exactly the same as the transformer because we have a batch of prompts
[00:47:24.780 --> 00:47:27.340]   Each prompt is made up of l tokens
[00:47:27.340 --> 00:47:31.980]   Which is our sequence length and each token is made up of a vector of d model dimension
[00:47:31.980 --> 00:47:36.860]   Which is our d here and it has to produce an output of the same dimension
[00:47:36.940 --> 00:47:38.620]   Just like the transformer
[00:47:38.620 --> 00:47:46.060]   We have an a matrix which is a matrix of parameters that indicates how to copy the previous state into the new state
[00:47:46.060 --> 00:47:52.700]   And we we model the state as a vector of n tokens. So this will be a vector
[00:47:52.700 --> 00:47:55.180]   of n tokens
[00:47:55.180 --> 00:48:01.100]   So the a matrix is d by n which is basically because we have a
[00:48:01.100 --> 00:48:05.340]   when we have an input vector made up of d dimensions, we have
[00:48:05.880 --> 00:48:07.880]   d
[00:48:07.880 --> 00:48:13.240]   State space models independent from each other one for each dimension just like I saw before
[00:48:13.240 --> 00:48:16.120]   So we have this parameter matrix is a d by n
[00:48:16.120 --> 00:48:21.720]   This b matrix is also d by n. The c matrix is also d by n
[00:48:21.720 --> 00:48:28.280]   And the delta is the step size of the discretization which is learned by the model as I showed before
[00:48:28.280 --> 00:48:31.080]   So we don't decide it. We just let the model learn this
[00:48:31.880 --> 00:48:38.200]   Step size and because we have a d state space model because our input vector is d dimensional
[00:48:38.200 --> 00:48:40.760]   So we have a d number of delta
[00:48:40.760 --> 00:48:47.160]   And to discretize we just apply the formula that we saw before so depending which
[00:48:47.160 --> 00:48:53.400]   Discretization rule we are using if we use the Euler method or we use the zero order hold in the case of mamba
[00:48:53.400 --> 00:48:55.400]   They use the zero order hold method
[00:48:55.800 --> 00:48:58.040]   And then we have this discretized parameter
[00:48:58.040 --> 00:49:04.840]   So a bar and b bar and we can run the ssm as a recurrence or a convolution depending if we are
[00:49:04.840 --> 00:49:07.240]   Training it or inferencing
[00:49:07.240 --> 00:49:08.280]   So when we are training it
[00:49:08.280 --> 00:49:14.120]   We run it as a convolution using building the kernel like I showed you before and running it on the input like I showed before
[00:49:14.120 --> 00:49:18.840]   Or as a recurrence using the formula we can see here. So this formulation here
[00:49:19.000 --> 00:49:25.400]   So we compute the next step the next state using the previous state and then we use each state to build the output
[00:49:25.400 --> 00:49:33.720]   In the case of mamba they make the state space model selective which means that the parameters of the model
[00:49:33.720 --> 00:49:41.400]   Are changed for each input token. Let's see. The input is still bld. So we have a sequence of
[00:49:42.680 --> 00:49:49.960]   Batch of prompts each prompt is made of l tokens. Each token is made up of d dimensions and the output has the same shape
[00:49:49.960 --> 00:49:53.560]   Then we have the a matrix which is d by n
[00:49:53.560 --> 00:49:56.680]   The b matrix basically is modified
[00:49:56.680 --> 00:50:04.600]   By a linear layer this sb and this sb will project the d dimension into the n dimension. You can see here
[00:50:04.600 --> 00:50:12.280]   This means that basically now the b matrix is not the same for all input tokens because now we have this l dimension here
[00:50:12.360 --> 00:50:16.040]   Which means that for every input token of the each batch
[00:50:16.040 --> 00:50:18.520]   We will have a different b matrix
[00:50:18.520 --> 00:50:25.240]   And the same goes for the c matrix you can see here and the same goes for the delta you can see here
[00:50:25.240 --> 00:50:28.920]   For each input token, we will have a different delta
[00:50:28.920 --> 00:50:32.280]   And the discretized
[00:50:32.280 --> 00:50:35.240]   Matrices have this dimension. So bld n
[00:50:35.240 --> 00:50:38.520]   And we can run the state space model
[00:50:38.920 --> 00:50:45.800]   However, because now the model is not a time invariant anymore because the parameters of the model
[00:50:45.800 --> 00:50:51.640]   Change for each input. So for each token for each step for each time step
[00:50:51.640 --> 00:50:54.120]   We can only run it as a
[00:50:54.120 --> 00:50:57.240]   Recurrence so we can only apply this formulation here
[00:50:57.240 --> 00:51:02.200]   We cannot compute it with the convolution anymore because the kernel will not be fixed
[00:51:02.200 --> 00:51:06.440]   Because before because the parameters of the model are fixed for all the inputs
[00:51:06.680 --> 00:51:09.720]   We can just build a kernel and run it for all the inputs
[00:51:09.720 --> 00:51:15.000]   but now for every input we should use a different kernel so we cannot compute it as a
[00:51:15.000 --> 00:51:19.660]   Convolution we are only forced to compute it as a recurrence
[00:51:19.660 --> 00:51:23.240]   And
[00:51:23.240 --> 00:51:27.960]   Have you noticed that the authors talk about this scan operation you can see here
[00:51:27.960 --> 00:51:33.880]   So what is this scan operation to when evaluating the model as a recurrence? Let's talk about it
[00:51:36.440 --> 00:51:41.640]   So if you have ever done competitive programming you are familiar with the prefix sum array
[00:51:41.640 --> 00:51:49.240]   Which is an array calculated sequentially such that the value at each position indicates the sum of all the previous values
[00:51:49.240 --> 00:51:53.320]   We can easily compute it with the for loop in linear time
[00:51:53.320 --> 00:51:55.720]   So imagine we have this initial array
[00:51:55.720 --> 00:52:01.000]   We can calculate the prefix sum as like this the first value is equal to the first value
[00:52:01.000 --> 00:52:03.480]   the second value is computed as the
[00:52:04.040 --> 00:52:09.480]   Previous value of this array. So this one plus the current value of the initial array. So
[00:52:09.480 --> 00:52:13.160]   Wait, this one is equal to this one plus this one
[00:52:13.160 --> 00:52:18.600]   And this one is computed using the previous value plus the current value of the initial array
[00:52:18.600 --> 00:52:23.400]   And this one is computed using the previous value plus the current value of the initial array
[00:52:23.400 --> 00:52:27.320]   And this one is computed using the previous value plus the current
[00:52:27.320 --> 00:52:29.880]   element of the array
[00:52:29.880 --> 00:52:36.840]   Such that each item of this prefix sum indicates the sum of all the items of the initial array up to that
[00:52:36.840 --> 00:52:45.160]   element. So the number 32 is the result of 10 plus 7 plus 6 plus 9
[00:52:45.160 --> 00:52:54.120]   The scan operation refers to computing an array like the prefix sum in which each value can be computed using the
[00:52:54.120 --> 00:52:57.640]   previously computed value and the current input value
[00:52:58.840 --> 00:53:05.800]   And the recurrent formula of the state space model can also be thought as a scan operation in which each state
[00:53:05.800 --> 00:53:10.600]   is the sum of the previous state multiplied by an A matrix plus
[00:53:10.600 --> 00:53:13.980]   The current input multiplied by the B matrix
[00:53:13.980 --> 00:53:19.400]   So if the model input is X0, X1, X2, X3, X4 and X5
[00:53:19.400 --> 00:53:22.860]   We can compute for example H0 using only X0
[00:53:23.640 --> 00:53:31.960]   And then we can compute H1 using the previously computed value plus the current input each one multiplied by the A matrix and the B matrix
[00:53:31.960 --> 00:53:35.400]   Then we can compute H2 using H1
[00:53:35.400 --> 00:53:42.680]   multiplied by A plus X2 multiplied by B and H3 can be computed as H2
[00:53:42.680 --> 00:53:47.960]   multiplied by A plus X3 multiplied by B, etc, etc, etc
[00:53:48.680 --> 00:53:55.800]   So to generate the input we just multiply it H_k with the C matrix to generate the output token K
[00:53:55.800 --> 00:53:59.720]   So if we have this scan output, so if we build a
[00:53:59.720 --> 00:54:03.560]   Array like this one, so this array you can see here
[00:54:03.560 --> 00:54:08.200]   We can easily compute the output of the model for each time step
[00:54:08.200 --> 00:54:11.880]   By just multiplying each of this value with the C matrix
[00:54:11.880 --> 00:54:16.360]   So we multiply it by C multiplied by C and this one here multiplied by C to compute
[00:54:17.400 --> 00:54:19.400]   Y0
[00:54:19.400 --> 00:54:21.080]   This is Y1
[00:54:21.080 --> 00:54:24.120]   This is Y2, etc, etc, etc
[00:54:24.120 --> 00:54:31.580]   Now what if I told you that the scan operation that I have shown you can be parallelized
[00:54:31.580 --> 00:54:37.560]   Of course, you will not believe me because the scan operation is one of those operations that naturally looks like a sequence
[00:54:37.560 --> 00:54:42.440]   So to compute the current value, I need to have the previous value plus the current input
[00:54:42.760 --> 00:54:47.100]   So how can I parallelize an operation like this? Actually, it can be parallelized
[00:54:47.100 --> 00:54:50.780]   As long as the operations that we are doing are associative
[00:54:50.780 --> 00:54:53.800]   Means that they benefit from the associative property
[00:54:53.800 --> 00:55:00.460]   Now if you remember from elementary school or middle school when they teach you about the properties of the addition and the multiplication
[00:55:00.460 --> 00:55:04.120]   You may recall that the associative property means that if you have
[00:55:04.120 --> 00:55:08.840]   The operation done on three operands, for example A multiplied B multiplied C
[00:55:09.400 --> 00:55:12.780]   It does not matter the order in which you do these operations
[00:55:12.780 --> 00:55:16.520]   So it does not matter where you put the parentheses, the result will be the same
[00:55:16.520 --> 00:55:19.960]   So you can do A multiplied by B and then the result multiplied by C
