
[00:00:00.000 --> 00:00:04.740]   We have all heard to brush and floss our teeth, but what if that's just the tip of the iceberg?
[00:23:38.220 --> 00:23:44.020]   body is, is dealing with inflammation, infections. It's fighting all those bad bugs that in the,
[00:23:44.020 --> 00:23:48.860]   from the mouth that are getting into the rest of your body. Um, what else? Uh, mouth breathing
[00:23:48.860 --> 00:23:53.240]   obviously is a big one. Address that right away as soon as you can. Uh, that is very,
[00:23:53.240 --> 00:23:58.620]   very important. Uh, there are certain medications, actually most medications cause dry mouth and that's
[00:23:58.620 --> 00:24:04.020]   a tough one. Obviously the medication, most people need to be on those medications, but go back to your
[00:24:04.020 --> 00:24:08.620]   physician, tell them you have a dry mouth, tell them that your dentist is concerned, uh, and that it
[00:24:08.620 --> 00:24:13.220]   could lead to worsening the disease that they're being treated for by that medication. Cause again,
[00:24:13.220 --> 00:24:19.340]   there's that oral systemic link and look for a different brand or, or try and microdose it, you
[00:24:19.340 --> 00:24:26.400]   know, cut it in half and, and titrate that to see. And that works well as often, very, very often. And if
[00:24:26.400 --> 00:24:31.660]   you can just keep that saliva flow going, that is so important. Choose all a tall gum, easiest hack out
[00:24:31.660 --> 00:24:37.180]   there. Gum's getting a bad rap these days because of microplastics. Uh, I do recommend a gum. It's on our
[00:24:37.180 --> 00:24:44.800]   website. It's out of Italy. Uh, brilliant young woman in Montreal is the one that imports it. Um,
[00:24:44.800 --> 00:24:51.980]   and it's microplastic free and it has Zolitol in it. Uh, Zolitol can really, it's almost better than
[00:24:51.980 --> 00:24:56.780]   brushing. In some cases it is better than brushing. On that same list was, was fruit juice. Is that,
[00:24:56.780 --> 00:25:02.620]   is that a similar, just stop chewing or is it more the concentration of sugars? I mean, fruit juice is bad
[00:25:02.620 --> 00:25:09.620]   for you systemically. You know, if you're a blood glucose, uh, a system, uh, insulin spikes, get the
[00:25:09.620 --> 00:25:15.240]   fiber, get the fiber, bite into an apple. Uh, that's what your teeth were designed for originally. It wasn't
[00:25:15.240 --> 00:25:19.600]   designed to drink apple juice. You mentioned if you, if you solve the mouth breathing, if you solve the food, maybe
[00:25:19.600 --> 00:25:25.580]   you don't need to brush that often aside from food and breathing. What is a proper oral care routine? It varies
[00:25:25.580 --> 00:25:31.760]   from person to person. Uh, there are some people probably very few that don't need to do much. Uh, I would still
[00:25:31.760 --> 00:25:37.200]   encourage them to floss. Uh, if they think they have a thick biofilm or they've had a cold for two weeks,
[00:25:37.200 --> 00:25:41.160]   they would do a little brushing. You don't necessarily need to use toothpaste, but again,
[00:25:41.160 --> 00:25:46.480]   that's probably 1% of the population. And I mean, they're probably carnivores or they're eating a pure
[00:25:46.480 --> 00:25:51.780]   paleo diet and nothing else. And their mouth is shut. They're not, they're sleeping well, they're nasal
[00:25:51.780 --> 00:25:57.700]   breathing, but most of us have to brush. They have to floss. They have to address the pH of the, of the
[00:25:57.700 --> 00:26:02.760]   mouth. Uh, we have to be careful when we snack, we can't brush too early. We can't brush too late. So
[00:26:02.760 --> 00:26:09.320]   I can kind of go through what my protocol is with a few variations, probably the, the most, uh,
[00:26:09.320 --> 00:26:14.380]   precarious time for the oral microbiome is early in the morning. So let's say you've slept with your
[00:26:14.380 --> 00:26:20.520]   mouth open all night. There's been very little tongue movement and the viscosity of the saliva has
[00:26:20.520 --> 00:26:28.120]   changed. There's, there's no way around that. Uh, so I will, it depends. I will, obviously I'll get out
[00:26:28.120 --> 00:26:31.880]   of bed, stretch a little bit. I'll drink a full glass of water. Remember you haven't had something
[00:26:31.880 --> 00:26:37.440]   to drink for six, seven hours. It's definitely something you want to do that does help the, uh,
[00:26:37.440 --> 00:26:43.000]   the biome because obviously the pH changes right away. Then I would scrape your tongue. Uh, the biofilm
[00:26:43.000 --> 00:26:48.460]   on the back of the tongue is key for NO production. It can wake you up. NO can wake you up. It can,
[00:26:48.460 --> 00:26:53.420]   uh, make your day better. Um, and that's a great place to start. That's typically where
[00:26:53.420 --> 00:26:57.740]   the biofilm is at its thickest. You could also floss in the morning. I know this sounds like a lot,
[00:26:57.740 --> 00:27:02.920]   but you can usually do this while walking through the house or, you know, it literally will take
[00:27:02.920 --> 00:27:08.680]   less than three or four or five minutes at most. Um, that would be my morning regimen. I did not
[00:27:08.680 --> 00:27:15.560]   mention brushing. I don't think that's necessary unless you were awake all night, asleep all night with
[00:27:15.560 --> 00:27:21.900]   your mouth open and you just have this thick layer on your tongue, you know, dry cakey stuff on,
[00:27:21.900 --> 00:27:26.140]   on the edges of your, your commissaries here. Then you're, you're going to have to stir things up a
[00:27:26.140 --> 00:27:30.400]   little bit. And remember, brushing is not removing the biofilm. It's just resetting it. And then with
[00:27:30.400 --> 00:27:35.420]   the water, then you've got a good start. Then every meal you consume after that, your breath,
[00:27:35.420 --> 00:27:40.100]   your NO production, everything will have a good start from that point on. You can brush your teeth
[00:27:40.100 --> 00:27:45.380]   after breakfast, but I would wait 30 minutes. Most of us have something acidic. It could be coffee.
[00:27:45.380 --> 00:27:52.660]   If you don't eat breakfast, there's no need to, uh, to brush. And then I would, um, I would chew on gum,
[00:27:52.660 --> 00:27:58.840]   xylitol gum during the day. Um, after meals, let's say you have a snack, uh, or the snack could be the
[00:27:58.840 --> 00:28:03.960]   xylitol gum, but let's say you have a little, let's say you're at work and they are handing out a little,
[00:28:03.960 --> 00:28:09.980]   uh, you know, sports bars or something. And it has, it's based on oatmeal. Oatmeal is not the best
[00:28:09.980 --> 00:28:15.980]   food for your teeth. It's not paleo, right? It has a glycemic index. And so you have that. There's
[00:28:15.980 --> 00:28:20.000]   obviously some sugar in there. It could be rolled oats with maple syrup, that kind of thing. Uh,
[00:28:20.000 --> 00:28:24.480]   don't brush your teeth right away. That's what most people do. And that alleviates their guilt of having
[00:28:24.480 --> 00:28:30.000]   had that, that bar. No, you're scraping off enamel because there's an acid attack and a low acid
[00:28:30.000 --> 00:28:35.500]   event going on in your mouth and that's it's, and calcium is lifting off the teeth. If you're
[00:28:35.500 --> 00:28:40.640]   going to get in there with nylon bristles, you are helping remove more calcium than you would if you
[00:28:40.640 --> 00:28:48.360]   didn't brush. So xylitol gum just brings on, uh, more saliva that changes, that helps balance the pH a
[00:28:48.360 --> 00:28:52.960]   lot quicker. And then the remunerization moment is more likely to happen. And then brush your teeth,
[00:28:52.960 --> 00:28:57.840]   maybe 30 minutes later. And then dinner, maybe brush after dinner, especially if you've had wine or,
[00:28:57.840 --> 00:29:02.340]   or tea or something, uh, wait for 30 minutes and then just brush right away. Don't wait
[00:29:02.340 --> 00:29:08.200]   till bedtime. You haven't had anything to eat, anything to drink for a few hours. Um, you don't
[00:29:08.200 --> 00:29:15.180]   want to be using a very strong minty toothpaste. Uh, so brush after dinner. And sometimes by brushing,
[00:29:15.180 --> 00:29:19.900]   people are less likely to snack because they don't want to go through the, uh, motion of, uh, you know,
[00:29:19.900 --> 00:29:24.600]   the activity of, I do this so many times, but for that reason, not, not because a dentist told me,
[00:29:24.600 --> 00:29:28.380]   but it's like, as soon as I'm done with dinner, if I brush my teeth, there's not going to be the
[00:29:28.380 --> 00:29:32.600]   late night. Oh, let's go. Uh, let's go have a cookie. Let's go have some ice cream. And does
[00:29:32.600 --> 00:29:38.260]   it work? It works great. I don't think I've brushed my teeth twice more than once in a year because it
[00:29:38.260 --> 00:29:43.420]   just, it works really well. This episode is brought to you by stable, which is a company that has really
[00:29:43.420 --> 00:29:48.440]   made my life better this year. And that's because stable provides you or your business with a mailing
[00:29:48.440 --> 00:29:53.660]   address. You can send everything to, and they scan the mail forward packages, deposit checks,
[00:29:53.660 --> 00:29:59.020]   and more. It's really a full dashboard to manage all your physical mail online and thousands of
[00:29:59.020 --> 00:30:04.380]   companies from formation all the way to fortune 500 use stable to automate their mail room and act as
[00:30:04.380 --> 00:30:10.220]   their permanent business address with the IRS state and any vendor. I also love it because you all know
[00:30:10.220 --> 00:30:16.100]   I care a lot about privacy. So I actually prefer not to share my personal info with every app or service
[00:30:16.100 --> 00:30:21.620]   that asks for a mailing address. So stable has been incredible for that stable is so easy to use for
[00:30:21.620 --> 00:30:26.480]   you or your team, and it'll let you manage your mail from anywhere with a digital mailbox. And best of
[00:30:26.480 --> 00:30:33.520]   all, you can get 50% off your first 12 months at chrishutchins.com slash stable. That's 50% off your
[00:30:33.520 --> 00:30:39.260]   new digital mailbox at chrishutchins.com slash stable, or the link in the description. This episode is
[00:30:39.260 --> 00:30:44.680]   brought to you by Daffy. Now is the perfect time to get your finances in shape for the year. And that
[00:30:44.680 --> 00:30:49.620]   should really include a better system for making and organizing your charitable donations, which is
[00:30:49.620 --> 00:30:55.040]   where Daffy comes in. Daffy is a modern platform and app for charitable giving that I've been using for
[00:30:55.040 --> 00:31:01.800]   years, because they make it so easy for you to give to any charity across the US with just a few taps. But it's
[00:31:01.800 --> 00:31:07.820]   so much more than that, because they do it all by helping you set up a donor advised fund or DAF, which is a tax
[00:31:07.820 --> 00:31:14.400]   disadvantaged account that lets you contribute cash stock or crypto on a one time or recurring basis. Take
[00:31:14.400 --> 00:31:19.220]   the tax deduction at the time of the contribution, and then distribute that money to over one and a
[00:31:19.220 --> 00:31:24.000]   half million charities, schools and faith based organizations whenever you want. Plus Daffy makes
[00:31:24.000 --> 00:31:29.520]   it easy to donate appreciated assets like stocks or crypto, which can really help you save on your tax
[00:31:29.520 --> 00:31:35.580]   bill by avoiding capital gains. So if you want a better system for giving, head on over to chrishutchins.com
[00:31:35.580 --> 00:31:42.360]   slash Daffy, where you can get a free $25 to give to the charity of your choice. Again, that's chrishutchins.com
[00:31:42.360 --> 00:31:48.180]   slash Daffy or the link in the description for a smarter way to give when it comes to brushing. How do you feel
[00:31:48.180 --> 00:31:53.820]   about regular versus electric toothbrushes or favorite brands? Again, it depends on the patient, but electric
[00:31:53.820 --> 00:32:02.300]   toothbrushes do have and they've been around a long time and the studies do support the efficacy of a sonic
[00:32:02.300 --> 00:32:09.540]   toothbrush or an oscillatory rotary type, a back and forth type movement. It has to be a high quality
[00:32:09.540 --> 00:32:15.260]   head. You have to replace it often. Nylon becomes very abrasive. Always use the extra soft brush, which is
[00:32:15.260 --> 00:32:21.660]   usually not the default or stock toothbrush head that comes with it. And if it is an abrasive or a cheap
[00:32:21.660 --> 00:32:27.020]   toothbrush head, the fact that it's mounted on a motor means it's going to be, it's going to cause a lot more
[00:32:27.020 --> 00:32:33.600]   damage and cause sensitive teeth, gum recession. So it depends. I mean, most of us are not brushing
[00:32:33.600 --> 00:32:38.660]   correctly. Walk people through what that means. You see people in films. I think on our website, we have
[00:32:38.660 --> 00:32:44.020]   a video of Natalie Portman brushing her teeth and she's just in there scrubbing. And that's every time
[00:32:44.020 --> 00:32:49.560]   I see someone brushing their teeth in a scene, they've got this hammer grip. I mean, hold it like
[00:32:49.560 --> 00:32:53.920]   it's a pencil. And what you're doing is you're aiming for the gums and you're just jiggling the bristles.
[00:32:53.920 --> 00:32:58.520]   You're not sweeping them or sawing them back and forth. You're jiggling them right at the gum line.
[00:32:58.520 --> 00:33:05.080]   Make sure it's a nice sized head, not too big, but more round or oval. The long rectangular ones
[00:33:05.080 --> 00:33:09.280]   sometimes don't, if you're aiming for the gum, they don't get the bottoms of the teeth. You know,
[00:33:09.280 --> 00:33:13.700]   if they were upper teeth, they don't get too far down on the gum. Make sure it's ultra soft. Make sure
[00:33:13.700 --> 00:33:19.120]   you replace it after three or four weeks. I mean, the nylon becomes abrasive and then you go in there and
[00:33:19.120 --> 00:33:24.320]   brush back and forth. You are gouging your tooth surface. I mean, the teeth are hard. The roots are
[00:33:24.320 --> 00:33:30.440]   less calcified, but that can lead to problems. So I think depending on whether you have gum disease,
[00:33:30.440 --> 00:33:35.640]   whether you have open embrasures, crowded teeth, maybe you're not a flosser, Sonicare is best. I
[00:33:35.640 --> 00:33:40.920]   always recommend people over age 40, 45, start using a Sonicare toothbrush. But again, hold it lightly
[00:33:40.920 --> 00:33:44.900]   and just, just guide it over the teeth because the electric toothbrush is doing all the work for you.
[00:33:44.900 --> 00:33:49.260]   And then people tend to underbrush with a manual toothbrush, although you can be very adept
[00:33:49.260 --> 00:33:55.860]   and you can, you can have full, the full therapeutic effect with a manual toothbrush. It may take a little
[00:33:55.860 --> 00:34:00.400]   bit longer, but for young people, I would say a manual toothbrush is fine. Just make sure it's a high
[00:34:00.400 --> 00:34:02.520]   quality one. And we have recommendations on our website.
[00:34:02.520 --> 00:34:06.760]   And so it's funny because I was looking at toothbrush heads just for a quick second. I was like,
[00:34:07.060 --> 00:34:10.880]   you know, if you're replacing your toothbrush head every, you said three or four weeks. So maybe
[00:34:10.880 --> 00:34:15.860]   once a month, you know, that's, it's probably, you know, an expensive undertaking. I know there are
[00:34:15.860 --> 00:34:23.360]   tons of much less expensive than, you know, from Phillips or whatever brand of toothbrush Oral-B
[00:34:23.360 --> 00:34:29.820]   that on Amazon, would you say avoid those kind of discount cheaper toothbrush heads and go for the
[00:34:29.820 --> 00:34:35.080]   brand name? Yeah. There's no guarantee that they're, they're, they're well-made. I would use the ones
[00:34:35.080 --> 00:34:40.080]   that are recommended for use for the toothbrush. Again, I have no affiliation with them, but remember
[00:34:40.080 --> 00:34:44.560]   dental care is expensive. It depends on, you know, how you want to look at it, uh, short-term gains
[00:34:44.560 --> 00:34:48.280]   or, or long-term gains and, and less costs, less time in the chair.
[00:34:48.280 --> 00:34:52.700]   Yep. That makes sense. Especially, and we're going to talk a minute about dental insurance and costs,
[00:34:52.700 --> 00:34:57.000]   but if you could avoid all of those extra costs, other than your preventative work, you can save a
[00:34:57.000 --> 00:35:01.320]   lot of money. It's so funny how the length of time you have a toothbrush head wasn't really
[00:35:01.320 --> 00:35:05.780]   compounding or making sense because I didn't really think why now that I understand that
[00:35:05.780 --> 00:35:10.900]   the bristles could be, could be not as soft and that could be causing problems. It makes a lot more
[00:35:10.900 --> 00:35:15.280]   sense. Yeah. There are a lot of people out there that are trying to use the, the bore, wild bore
[00:35:15.280 --> 00:35:19.740]   bristles, but they don't hold up and they don't really work well. I mean, the nylon bristle
[00:35:19.740 --> 00:35:24.600]   is effective, but make sure it's has the end rounding procedure.
[00:35:24.600 --> 00:35:32.360]   Okay. And on floss, um, how often are you flossing and what kind of floss and how do you
[00:35:32.360 --> 00:35:37.620]   think about floss picks versus threaded floss? Yeah. I love flossing. Make sure you're not using,
[00:35:37.620 --> 00:35:42.540]   um, and before microplastics were big, I kept telling people don't use nylon floss. We don't know
[00:35:42.540 --> 00:35:47.200]   where those little nylon particles are going. So, uh, silk floss, uh, you can buy silk floss. Again,
[00:35:47.200 --> 00:35:52.900]   we have examples on our website. Um, and, and that works well, uh, learn how to become a good
[00:35:52.900 --> 00:35:59.060]   flosser. Most of us will never become good flossers. And there's now a new, uh, device out there called
[00:35:59.060 --> 00:36:05.060]   the slate flosser, uh, electric flosser. And I absolutely adore that thing. Um, I do, uh, do ads
[00:36:05.060 --> 00:36:09.700]   for them. Uh, I absolutely think that's a game changer before an electric toothbrush. I would invest
[00:36:09.700 --> 00:36:14.960]   in a slate electric flosser. Okay. It's, and I know you've put out a bunch of videos on how to
[00:36:14.960 --> 00:36:19.920]   properly floss and how people are doing it wrong. So, um, if I can find at least one of those, I'll
[00:36:19.920 --> 00:36:23.780]   put that in the show notes. What about those water pick flossers? How do those fit in the game?
[00:36:23.780 --> 00:36:29.340]   They're great. A well-made water pick used properly is the equivalent of flossing. And in certain
[00:36:29.340 --> 00:36:33.460]   patients, it could be better. If you have a lot of bridge work, a lot of nooks and crannies, gum
[00:36:33.460 --> 00:36:40.140]   recession, open embrasures, IE, you've had some gum disease and the gums have receded. Uh, they can
[00:36:40.140 --> 00:36:45.460]   be very, very effective. Is it redundant to do both? Oh boy. Uh, I mean, you're asking the wrong
[00:36:45.460 --> 00:36:50.640]   person. I would say there's no redundancy when it comes to keeping your mouth clean, but I would say
[00:36:50.640 --> 00:36:56.960]   yes. Um, again, there could be some cases where both would work, but you're fine with either one.
[00:36:56.960 --> 00:37:02.360]   Okay. In most cases. Yeah. Now I know the, the ultimate bias that you could have in this space is,
[00:37:02.360 --> 00:37:05.700]   is toothpaste. Cause you, you've co-founded a toothpaste company, but let's talk about
[00:37:05.700 --> 00:37:11.760]   toothpaste. Absolutely. Um, uh, a necessary evil, uh, you know, the food that we're eating and the
[00:37:11.760 --> 00:37:20.140]   environment we live in, uh, devoid of minerals, uh, you know, uh, high decay rates. Uh, we do need
[00:37:20.140 --> 00:37:25.880]   toothpaste. Uh, toothpaste was invented, uh, before world war one, I think it was Pepsodent. And that's
[00:37:25.880 --> 00:37:33.000]   when the GIs had terrible, uh, teeth and they were, you know, on the front line in Europe and also in,
[00:37:33.000 --> 00:37:38.980]   in, in, in the Pacific theater. And they literally couldn't do their job because they were in so much
[00:37:38.980 --> 00:37:45.200]   pain, uh, never underestimate, uh, odontogenic pain, dental pain. Uh, it has changed world history. It
[00:37:45.200 --> 00:37:51.940]   really has. And so the armed services, uh, to their credit, uh, they, they were the ones that came up
[00:37:51.940 --> 00:37:58.440]   with all these ideas. They did a little research and they got the private industry, uh, uh, investing
[00:37:58.440 --> 00:38:04.000]   in this. And, and that's where toothpaste came from. Now, before that we had balms and we had
[00:38:04.000 --> 00:38:09.660]   essential oils and, and that was actually the wrong thing to do. And in fact, a lot of that carried over
[00:38:09.660 --> 00:38:14.600]   into toothpaste. Then we added fluoride and emulsifiers and surfactants, which are ingredients
[00:38:14.600 --> 00:38:22.260]   that are added supposedly for foaming the toothpaste, but that's a, uh, a, a result of
[00:38:22.260 --> 00:38:26.820]   the emulsifier and surfactant. And the only reason they put that in there so they can make large batches
[00:38:26.820 --> 00:38:31.760]   that mix well so that when you mix, when you fill a tube, it's all homogeneous. I mean, it's all,
[00:38:31.760 --> 00:38:38.100]   every mix is, is similar. So, so really, um, the toothpaste industry is changing. Fluoride is on its
[00:38:38.100 --> 00:38:44.160]   way out. There's been a successful lawsuit tried against the EPA. They lost their case. They couldn't
[00:38:44.160 --> 00:38:50.640]   defend it. Couldn't defend the efficacy and safety, um, of fluoride. And that was a seven-year case that
[00:38:50.640 --> 00:38:58.940]   went, started before COVID and ended, uh, this last August, August 24th. Um, I, I literally teared up
[00:38:58.940 --> 00:39:04.220]   when I heard the news. It was, uh, something I've always been against. There's so much data now. It
[00:39:04.220 --> 00:39:07.820]   doesn't really work when it's in the water and it causes brain damage with kids. That's all you,
[00:39:07.820 --> 00:39:12.920]   it's all you need to know. And if you need to know more, reach out to me, go to the fluoride
[00:39:12.920 --> 00:39:17.680]   action network site, go to the NTB, a government agency. I mean, it's all there now. And this is
[00:39:17.680 --> 00:39:23.280]   fluoride in water, or this is fluoride. I remember putting those trays in my mouth that I feel like
[00:39:23.280 --> 00:39:29.120]   I thought those have fluoride as well. They do a lot of fluoride in the tens of thousands of parts
[00:39:29.120 --> 00:39:35.320]   per million where toothpaste is 0.7 to 1.2. Um, and it doesn't really work in toothpaste, but
[00:39:35.320 --> 00:39:41.560]   topically fluoride does have a chance of working, uh, topically meaning it's, you put it in your mouth
[00:39:41.560 --> 00:39:47.680]   and, and it actually binds with calcium and it creates this kind of Frankenstein, uh, mineral
[00:39:47.680 --> 00:39:54.140]   called fluorapatite. And it is useful. It was useful in that regard. Um, but now that we have other
[00:39:54.140 --> 00:39:59.220]   alternatives, actually, they've been around for a long time in Japan, uh, for 50 years. Now we have
[00:39:59.220 --> 00:40:04.880]   natural remineralizing agents that can replace fluoride and they're much safer, uh, and they
[00:40:04.880 --> 00:40:11.000]   work better and they make for a smoother surface so that you have more reflectivity on your teeth. Uh,
[00:40:11.000 --> 00:40:15.040]   and that's the hydroxyapatite that everyone's talking about. And if that's so much better,
[00:40:15.040 --> 00:40:22.100]   I have to assume all these tubes of crest and, you know, whatever Colgate, are they still all using
[00:40:22.100 --> 00:40:25.800]   fluoride or, or is this a shift across all of these major brands as well?
[00:40:25.800 --> 00:40:30.260]   So the shift hasn't quite occurred in that realm and they're, they're making so much money. They're
[00:40:30.260 --> 00:40:37.000]   not going to change their formula until they, until they see a real shift in the patterns of buyers,
[00:40:37.000 --> 00:40:41.120]   but it's, it's happening. It's beginning to happen. A lot of the boutique brands have been bought up by
[00:40:41.120 --> 00:40:46.260]   the big boys. Um, but for right now they haven't really budged. Uh, I speak to some of them.
[00:40:46.580 --> 00:40:52.540]   They call me sometimes we do a little focus groups and, uh, it's all about, it's all about the bottom line.
[00:40:52.540 --> 00:40:59.260]   And that is, I mean, it costs, uh, Colgate and crest. It cost them about 35 cents to put a tube of
[00:40:59.260 --> 00:41:04.840]   toothpaste on the shelf. And that includes everything buying the shelf space, the packaging, the marketing,
[00:41:04.840 --> 00:41:10.940]   and then they sell it for four to $6. And this is one of the easiest ways to, to, to make money in the
[00:41:10.940 --> 00:41:18.440]   world. And everyone's using it like clockwork, uh, twice a day. Uh, so that change will come. Uh, and I
[00:41:18.440 --> 00:41:25.020]   think they will shift away from fluoride, but for right now they like their ADA seal of approval, all the,
[00:41:25.020 --> 00:41:29.820]   the American dental association, all, all that the ADA looks at is that it has fluoride in it. They have
[00:41:29.820 --> 00:41:35.400]   dug their heels in so far. It is so deeply. It is, it is shocking actually. And how, you know,
[00:41:35.400 --> 00:41:39.000]   you say it's better to use these other things. If someone out there is like, well, I'm using my,
[00:41:39.000 --> 00:41:43.900]   my crest Colgate. Is it like drop everything, go change it, or it's okay, but there are better
[00:41:43.900 --> 00:41:49.980]   options. You know what? I would say drop everything. And it's not just the fluoride. Um, I mean,
[00:41:49.980 --> 00:41:56.360]   you're using a toothpaste that it was designed like the early versions of toothpaste and the versions
[00:41:56.360 --> 00:42:02.680]   before that it's essential oils, bactericidals, uh, emulsifiers and surfactants. Those are the
[00:42:02.680 --> 00:42:06.920]   ingredients that help make large batches, but an emulsifier will break down a lipid layer. Guess
[00:42:06.920 --> 00:42:11.880]   what your cell wall is made up of a lipid layer. So you don't, you're taking down bacteria. How do
[00:42:11.880 --> 00:42:15.660]   you know you're taking down the right ones? We don't. And that's never a good approach because
[00:42:15.660 --> 00:42:20.760]   sometimes a bug can have a good purpose or a bad purpose. It depends on how it's fed and the
[00:42:20.760 --> 00:42:24.800]   environment that it's in. I would say, drop it, drop it. It's the best thing you can do. It's one of
[00:42:24.800 --> 00:42:29.660]   the best things you can do. If you have oral disease, first thing you should look at is what
[00:42:29.660 --> 00:42:36.160]   are you using to prevent it? Yep. Okay. And what ingredients should they be looking for when
[00:42:36.160 --> 00:42:41.120]   they're shopping for toothpaste to find something that's better? There are very few. I, and I'm
[00:42:41.120 --> 00:42:46.220]   shocked that there are so few, but I think the basis for the success of our formula, and I'm not talking
[00:42:46.220 --> 00:42:50.760]   about people liking it. I'm talking about clinical studies that we've done at the university of Texas
[00:42:50.760 --> 00:42:56.880]   that we'll be presenting soon. The first study was just presented in New York at a big craniofacial
[00:42:56.880 --> 00:43:04.760]   kind of dental nerd researcher meeting. So a toothpaste will work very well and will feed your
[00:43:04.760 --> 00:43:09.700]   good guys. It will nourish your oral microbiome. And again, remember we talked about that earlier.
[00:43:09.700 --> 00:43:14.960]   The oral microbiome is online. There's no chance of oral disease. Everything's going to work well,
[00:43:14.960 --> 00:43:18.800]   even systemic diseases down the road. So how do you do that? Well, first of all,
[00:43:18.800 --> 00:43:22.720]   don't get in the way of the oral microbiome by taking it down. So look for a toothpaste that
[00:43:22.720 --> 00:43:27.760]   has no essential oils, no botanicals. Again, there's no data that supports that. Those are
[00:43:27.760 --> 00:43:35.420]   important. Most of the time, a, whether it's a cosmetic, uh, manufacturer company or toothpaste,
[00:43:35.420 --> 00:43:40.500]   they add those because it's a natural way, or it's a way of hiding the fact that they're trying to
[00:43:40.500 --> 00:43:45.660]   preserve their formula instead of adding other preservatives. So an essential oil, could it be
[00:43:45.660 --> 00:43:50.840]   acting as a, like the emulsifier? It's there for the manufacturing process and to give it a long
[00:43:50.840 --> 00:43:57.980]   shelf life. So, but eucalyptus oil, like in Listerine can, is one of the most bactericidal
[00:43:57.980 --> 00:44:04.840]   essential oils. It will kill a bug. It's cytotoxic. It's bactericidal. So no essential oils,
[00:44:04.840 --> 00:44:09.820]   no botanicals, no emulsifiers, no surfactants. Those four are the first things you want to look for.
[00:44:10.000 --> 00:44:13.140]   And that's what's unique to our formula. I think it's the first time that's ever been done
[00:44:13.140 --> 00:44:18.920]   with a remineralizing agent in place. There are some very natural toothpaste that maybe are just
[00:44:18.920 --> 00:44:26.500]   like coconut oil and, and, and maybe like a calcium, a calcium carbonate or, or like a xylitol or
[00:44:26.500 --> 00:44:32.080]   glycerin. And then obviously no fluoride. And if you're, you need a remineralizing agent, you need
[00:44:32.080 --> 00:44:36.520]   some calcium in, I mean, if you need the same ingredient that's in your teeth, in your saliva,
[00:44:36.520 --> 00:44:42.860]   which we all do, don't use fluoride. Fluoride will bind with calcium and do the job, but it also
[00:44:42.860 --> 00:44:47.120]   gets into your bloodstream, to your brain, especially if you're pregnant, especially if you have young
[00:44:47.120 --> 00:44:51.780]   children, do not use fluoride. There's no need for it. So then if you need a remineralizing agent,
[00:44:51.780 --> 00:44:58.820]   then think about nanohydroxyapatite. And other than flavor, you really, you don't need much.
[00:44:58.820 --> 00:45:05.320]   Don't overthink toothpaste. It's not a magic bullet. But most of the toothpaste out there are actually
[00:45:05.320 --> 00:45:09.900]   doing the exact opposite. They're actually harming your oral microbiome and therefore your oral health
[00:45:09.900 --> 00:45:11.660]   long-term short-term.
[00:45:11.660 --> 00:45:15.920]   I imagine a lot of people listening are going to think, okay, if it were really true that most of
[00:45:15.920 --> 00:45:21.220]   the toothpaste out there are hurting your teeth, why would my dentist not be telling me why would
[00:45:21.220 --> 00:45:27.560]   they even be allowed to be sold? So is this cutting edge science or what's behind the probably large
[00:45:27.560 --> 00:45:32.540]   number of skeptics listening, thinking is Mark kind of way off the deep end telling us that this thing,
[00:45:32.660 --> 00:45:36.400]   they're all doing that my dentist approves and even probably gives me in a little bag every time
[00:45:36.400 --> 00:45:38.380]   I go, it's hurting me.
[00:45:38.380 --> 00:45:45.020]   Great question. First of all, toothpaste is regulated under the category of cosmetic products.
[00:45:45.020 --> 00:45:50.220]   There is no FDA approval unless it has fluoride in it. That's carefully regulated.
[00:45:50.380 --> 00:45:56.420]   So the reason dentists do this is because they are so frigging busy running their own business,
[00:45:56.420 --> 00:46:02.160]   high overhead business, sole proprietorship, keeping up with the new techniques, continuing education.
[00:46:02.160 --> 00:46:05.880]   They just kind of go with the flow. I mean, what they're taught in dental school and that fluoride
[00:46:05.880 --> 00:46:11.440]   is this miracle product. It's been around for 75 years. No one's ever questioned it. There's no hard
[00:46:11.440 --> 00:46:16.540]   data that supports it. They just kind of go along with it. It's easier to do that. And then if you're
[00:46:16.540 --> 00:46:21.080]   against fluoride, you're part of this conspiracy group or whatever you want to call it. And that
[00:46:21.080 --> 00:46:27.400]   was the right thing about this lawsuit. Seven years of back and forth, expert testimonial. It proved
[00:46:27.400 --> 00:46:33.820]   that fluoride is bad. So that's one thing. Dentists really kind of go with the flow and whatever the ADA
[00:46:33.820 --> 00:46:38.620]   says, that's what they're going to do. There are many dentists that are against this and understand
[00:46:38.620 --> 00:46:44.760]   this. These are what I call functionally minded or integrative dentists, biological, holistic. I prefer
[00:46:44.760 --> 00:46:51.600]   the term functional that covers all of that. And they're looking at Ruca's reasons for why oral
[00:46:51.600 --> 00:46:55.400]   disease is the number one disease in the world. We're recommending all these wonderful products,
[00:46:55.400 --> 00:47:02.300]   toothpaste, floss, mouthwash. Mouthwash actually causes high blood pressure. Two thirds of Americans
[00:47:02.300 --> 00:47:06.860]   have high blood pressure. Two thirds of Americans use a conventional type of mouthwash. I mean,
[00:47:06.860 --> 00:47:12.360]   we're just, we're just not understanding the science in our profession. We are not an evidence-based
