
[00:00:00.000 --> 00:00:06.960]   i just wanted to make sure that the recording was uh going to go work properly okay
[00:34:07.200 --> 00:34:13.840]   and if you have and part of the reason why repeating twice works is that if let's say you have instruction
[00:34:13.840 --> 00:34:19.120]   and then you have uh information here information here will end up being merged into a single state
[00:34:19.680 --> 00:34:26.880]   before it gets to see instruction so so mama mama much information like like like in a cascading pattern
[00:34:26.880 --> 00:34:32.560]   like from left to right together to each other side by side before i generate the next token um sometimes
[00:34:32.560 --> 00:34:38.320]   what happens sometimes is that the information gets lost before it reads the instruction and therefore
[00:34:38.320 --> 00:34:44.080]   it's unable to perform the task that is the disadvantage but i'm also going to say that that disadvantage
[00:34:44.800 --> 00:34:50.880]   could be could be academical and when i say this is the part where sometimes because i i jump into both academia and
[00:34:50.880 --> 00:34:57.520]   practicality right um in production right theoretical academia limitations right are just
[00:34:57.520 --> 00:35:06.160]   that um if i would argue that for state space right if the state size is big enough and it's able to compress
[00:35:06.160 --> 00:35:10.720]   all this information together and then eventually when it merge together there's no information loss
[00:35:11.440 --> 00:35:17.200]   then the disadvantage is not really a disadvantage we have for rwkp if you put the information it will
[00:35:17.200 --> 00:35:22.880]   not lose that information and then it's able to decide the following information as you process through
[00:35:22.880 --> 00:35:28.080]   uh yeah in both cases apparently repeating twice kind of mitigates this issue so
[00:35:28.080 --> 00:35:33.680]   yeah and if the inference cost is worth it yeah then it becomes a question of more like
[00:35:33.680 --> 00:35:42.320]   more like how do we dematurize the the technology as well yeah sorry okay
[00:35:42.320 --> 00:35:47.200]   i just speak through all the questions on the
[00:35:47.200 --> 00:35:51.600]   chat yeah anyone has any other questions
[00:35:58.000 --> 00:36:03.440]   since nobody is i just want to dig in a little bit more on the repeat tracing so i'm wondering in
[00:36:03.440 --> 00:36:10.720]   the gist of the question you answered but i wanted to know if you or anyone else done a study of like
[00:36:10.720 --> 00:36:20.720]   if for the compute equivalent right so like because you guys built this model that has the rwkv attention
[00:36:20.720 --> 00:36:27.200]   mechanism in it um so that you're you know sort of like and you're saying that like kind of sort of we
[00:36:27.200 --> 00:36:33.120]   get the same quality out of the model so like let's just pretend it's exactly the same then can
[00:36:33.120 --> 00:36:41.280]   like the quality like if you just repeat twice like where does where do you land with compute and then like
[00:36:41.280 --> 00:36:46.400]   just repeat your context right like are you still more compute efficient and what what happens if you repeat
[00:36:46.400 --> 00:36:53.760]   three times or whatever to get to the point of of um compute equivalent and look at quality there
[00:36:53.760 --> 00:37:01.520]   actually that's a good question you're talking about inference time compute right exactly yeah
[00:37:01.520 --> 00:37:09.120]   uh well that's the only way is to try and find out
[00:37:12.000 --> 00:37:21.920]   yeah we have not tried to repeat it that many times uh i think also you have to remember part of the
[00:37:21.920 --> 00:37:27.440]   bigger issue is that and this applies to both state space and rwkv even though we are more stable over
[00:37:27.440 --> 00:37:32.560]   longer context right the prerequisite for this is that we need to train the model to support
[00:37:33.120 --> 00:37:44.240]   those lengthy context links and right now our longest is 32 to we do have a 128k model so we could repeat
[00:37:44.240 --> 00:37:56.160]   the experiment within let's say that 128k uh window itself uh i think um i think beyond beyond that beyond that i um
[00:37:56.960 --> 00:38:03.280]   yeah uh we we definitely want to be able to like like research more into a longer context but i think
[00:38:03.280 --> 00:38:08.080]   it's an interesting thought exercise like you said like what if you don't repeat twice i suspect you're
[00:38:08.080 --> 00:38:14.560]   going to get diminishing point of return at some point like i i i think even three or four might be diminishing
[00:38:14.560 --> 00:38:22.880]   but it's an interesting question i would say or maybe uh the equivalent way to do the experiment is
[00:38:22.880 --> 00:38:30.800]   that if you look at okay you have your 72b model and then what is the equivalent model for the same
[00:38:30.800 --> 00:38:36.880]   amount of compute with the original model right so like a b model or whatever it is for a certain
[00:38:36.880 --> 00:38:47.200]   context length what's the quality difference like that so yeah yeah sorry yeah no no that i think that's
[00:38:47.200 --> 00:38:54.080]   something yeah yeah the equivalent um com in terms of tokens per second output right the equivalent would
[00:38:54.080 --> 00:39:01.280]   be a 32b or a uh 8b model uh somewhere in between that range uh the number changes according to context
[00:39:01.280 --> 00:39:09.920]   right um but that's the approximate equivalent um if you control by tokens per second the the thing is that
[00:39:09.920 --> 00:39:19.280]   if you have a 72b rwkb model you still need 72 gigs assuming um floating point eight right of vram to
[00:39:19.280 --> 00:39:24.720]   load the model so your minimum hardware requirement doesn't actually go down it just means that
[00:39:24.720 --> 00:39:33.200]   with the same gpu you can handle more tokens yeah okay yeah and likewise i would say that i don't see
[00:39:33.200 --> 00:39:38.320]   why this is any different for mamba because we we both scale linearly in the same way in terms of compute cost
[00:39:38.320 --> 00:39:54.000]   the same way in terms of compute cost flow you have any questions because now i thought i saw you say
[00:39:54.000 --> 00:40:02.880]   something yeah no it's just talking to myself about the 72 uh gigabytes of vram still required on that last uh
[00:40:02.880 --> 00:40:14.080]   like commentary that being said um quen uh the latest quen model is 32 gigs and it's it's looking very nice
[00:40:14.080 --> 00:40:20.320]   yeah i'm excited with a lot of the last releases and like being able to run that stuff at home
[00:40:20.320 --> 00:40:23.920]   uh i've been messing with a lot of voice stuff i haven't done as much as the language model stuff
[00:40:23.920 --> 00:40:26.720]   locally yet or recently but yeah i'm excited
[00:40:26.720 --> 00:40:43.120]   how many people run run the quen 32b on at home or on their own
[00:40:45.360 --> 00:40:54.960]   okay okay okay oh wait uh i run cold sometimes i used to get out sadly i'm gpu very gpu poor
[00:40:54.960 --> 00:41:10.320]   okay uh yeah so just started to okay okay promising um yeah but i think it's i think it's nice that uh like
[00:41:10.320 --> 00:41:18.880]   if like if like we now have a model that's kind of like better than last year half frontier model
[00:41:18.880 --> 00:41:25.040]   that you can run on your laptop so if you just follow that trendline look at the best model now
[00:41:25.040 --> 00:41:27.920]   in two years time you're going to run that on your laptop
[00:41:31.120 --> 00:41:42.640]   yeah okay um then since since we went through all that uh well asking for like anyone wants any papers
[00:41:42.640 --> 00:41:50.800]   to be covered for two for next week uh or next next week um there is the ai engineering summit in case you do
[00:41:51.680 --> 00:41:55.440]   anyone do not know about it i'm sorry yeah engineering
[00:41:55.440 --> 00:41:58.320]   world's fair
[00:41:58.320 --> 00:42:07.520]   so from from from looking at the channels it looks like uh next week someone was talking about doing
[00:42:07.520 --> 00:42:12.560]   um because the ai engineer world's fair is not next week but the following week right
[00:42:12.560 --> 00:42:18.560]   oh following oops yeah uh so so so it looks like next week someone was going to do um
[00:42:19.920 --> 00:42:23.680]   diffusion large language diffusion models if i'm not mistaken is what i saw on the channel
[00:42:23.680 --> 00:42:29.520]   um and he was talking about splitting the time i'd be interested in maybe possibly doing a paper that
[00:42:29.520 --> 00:42:35.760]   talks about um image generation models and diffusion as like a lead-in to what he's going to talk about
[00:42:35.760 --> 00:42:40.320]   maybe that will be interesting uh as a way to like split the time i could do like maybe the first 10
[00:42:40.320 --> 00:42:45.280]   or 15 minutes and let him take the rest of the time but i am interested in google's uh large language
[00:42:45.280 --> 00:42:49.200]   diffusion model i haven't looked into it at all but it seemed to be super interesting i don't know if
[00:42:49.200 --> 00:42:54.560]   it's like where the benchmarks are and and stuff like that but uh was planning on tuning in next week
[00:42:54.560 --> 00:43:00.400]   for his talk i forgot who it was but um just when i when i think of diffusion models off the top of my
[00:43:00.400 --> 00:43:05.760]   head it's like image generation models i've also seen lately that uh there's quite a few of the
[00:43:05.760 --> 00:43:12.560]   um music generation models that are also diffusion based so i just thought it would be like to do a
[00:43:12.560 --> 00:43:22.480]   nice little roundup you know before he gets into um you know google stuff or language models maybe um
[00:43:22.480 --> 00:43:26.400]   i don't know if i don't know if i don't know if if that makes any sense but i thought it'd be
[00:43:26.400 --> 00:43:33.440]   interesting all right so um basically we're going to do an image diffusion as a lead into language
[00:43:33.440 --> 00:43:41.520]   diffusion we see tomorrow will be a diffusion i mean next week will be a diffusion model uh uh pipeline
[00:43:41.520 --> 00:43:47.920]   and and promoting the air engineering welfare if you haven't bought your tickets to to come to sf uh
[00:43:47.920 --> 00:43:54.720]   and and to meet us um yep um please do so as soon as possible before before before it all runs out
[00:43:54.720 --> 00:44:02.720]   uh we will so after that week we will probably uh organize once again on site an in-person paper
[00:44:02.720 --> 00:44:12.640]   reading club uh for the world's fair yeah and yep uh i guess flo you'll be there i'll be there rj will be
[00:44:12.640 --> 00:44:22.560]   there yeah so so yeah um yeah do suggest papers that you want to cover uh and subsequently um yeah and
[00:44:22.560 --> 00:44:31.680]   and and i'm looking forward to the in-person uh paper club where and when uh the exact location i may
[00:44:31.680 --> 00:44:38.080]   need to figure that out with swigs or for the actual for for the world's fair but but yeah we'll figure it out
[00:44:38.880 --> 00:44:46.480]   okay it is a good good time too to just mention last year we like because there's all these after
[00:44:46.480 --> 00:44:52.400]   events and you need to get to a lot of them we ended up getting split up a lot so i i just want to put
[00:44:52.400 --> 00:44:58.560]   out and we can talk about this on discord but i want to just put out there that let's try to like get
[00:44:58.560 --> 00:45:05.200]   some you know sort of uh some sort of consensus on what events that everybody wants to go to and try
[00:45:05.200 --> 00:45:10.880]   to get tickets for them together so that we can go hang out together at these events okay sounds good
[00:45:10.880 --> 00:45:18.320]   sounds good yeah uh if anyone wants to also like organize a specific written space uh event in the
[00:45:18.320 --> 00:45:23.600]   area we'll probably also be able to help uh help with that as well yeah maybe before after all during the
[00:45:23.600 --> 00:45:32.480]   event and yeah i'm looking forward to seeing you sam as well graph right okay thanks
[00:45:32.480 --> 00:45:44.160]   sam are you if you're speaking at the graph right thing do you have any like uh pre-reading that we
[00:45:44.160 --> 00:45:51.120]   can do i'm interested in understanding like graph rag has been a like a topic that keeps coming up and i
[00:45:51.120 --> 00:45:58.080]   never really i never really gone on to i'd be curious to hear if there's like what new is happening and
[00:45:58.080 --> 00:46:06.080]   we can pre-read for that well i'm essentially i don't know if you were at when wasim did this paper club
[00:46:06.080 --> 00:46:13.920]   last year but i'm essentially like taking what he did and sort of updating it and adding to it and stuff
[00:46:14.640 --> 00:46:21.120]   um so if you've watched that then you've basically seen it but yeah i was just yeah we we've published
[00:46:21.120 --> 00:46:27.920]   a couple things on it'll be it'll be about like the the specialized alum for building graphs and the
[00:46:27.920 --> 00:46:34.960]   retrieval aware compression and the fusion and decoder stuff that we're we're doing so yeah this this group
[00:46:34.960 --> 00:46:43.600]   has seen a lot of it before it's fine we all need to go there so that will be unless the schedule
[00:46:43.600 --> 00:46:53.600]   changes which in mind um it's 4th of june 11 40 a.m thank you thank you so make sure you all go there to
[00:46:53.600 --> 00:47:06.880]   support sam uh a family member who else is talking to right who else nathan lambert nato
[00:47:06.880 --> 00:47:18.080]   you know what which category uh i have no idea i just i think i saw in his blog that he was going to be
[00:47:18.080 --> 00:47:27.520]   here and talking but maybe he just was saying he's going to be there all right all right okay um okay
[00:47:27.520 --> 00:47:34.000]   okay uh and we got 10 more minutes somehow so yeah um
[00:47:34.000 --> 00:47:46.640]   is there any how how would you all want the paper club to be run uh more with especially with papers like
[00:47:47.200 --> 00:47:55.440]   and topics because because like uh like in particular like what is there more area of
[00:47:55.440 --> 00:48:00.560]   interest in particular or is it just just do we just keep things as it is because like trying to
[00:48:00.560 --> 00:48:09.440]   figure out how to like fill in the pipeline more and to avoid the situation of like hey uh i'm going
[00:48:09.440 --> 00:48:16.960]   to cover my own paper unless people ask for it i mean i actually personally like hearing people
[00:48:16.960 --> 00:48:23.920]   talk about their own papers i'd rather hear from someone who's not like the world's you know most
[00:48:23.920 --> 00:48:30.960]   prominent uh you know ai expert talk about their own paper than just read somebody's paper because i i
[00:48:30.960 --> 00:48:37.280]   feel like i get a lot out of hearing the author's take on it so i i actually kind of like that person
[00:48:39.120 --> 00:48:47.200]   okay okay then uh yeah then um then what i would request is that uh if possible if you all know any
[00:48:47.200 --> 00:48:55.040]   interesting papers or if you know uh any uh authors to these interesting papers um and you feel like
[00:48:55.040 --> 00:49:03.440]   you uh it'll be worth inviting them just let me know uh let me review eugenian uh or even swix know and
[00:49:03.440 --> 00:49:09.360]   and and sometimes and we'll be doing we'll be willing to do the the reach out uh like i think the other
[00:49:09.360 --> 00:49:15.280]   time there the other time was oh which people was it that i did the previous one was the one scaling one
[00:49:15.280 --> 00:49:22.720]   uh for a ai the paitia paper for example we got quentin on board to to help cover it though i was
[00:49:22.720 --> 00:49:28.640]   quentin is probably more prominent but it doesn't need to be prominent in any shape or form yeah so so we'd love to
[00:49:28.640 --> 00:49:32.800]   hear suggestions especially if like you know the person particularly a personality yeah
[00:49:32.800 --> 00:49:44.240]   okay i want the authors to present here yes please and if you want want me to reach out to them to
[00:49:44.240 --> 00:49:45.680]   apply more pressure just let me know
[00:49:52.000 --> 00:49:59.680]   i i also since no one's talking i i also feel like if having a like a bit i feel like that so
[00:49:59.680 --> 00:50:06.800]   there's a discussion of having like the test of time version and then the current papers version
[00:50:06.800 --> 00:50:13.840]   i actually think that you know in as much as there's demand there's definitely like several curriculums
[00:50:13.840 --> 00:50:18.640]   that i would be interested in like there's like an architecture curriculum the agents curriculum like
[00:50:18.640 --> 00:50:26.320]   all sorts of different you know probably diffusion or or like image model like there's a bunch of
[00:50:26.320 --> 00:50:32.160]   different ones that i feel like we could put together curriculums for that i would be interested
[00:50:32.160 --> 00:50:37.280]   in i would obviously wouldn't have time to do them all but like i i think in that also helpful for
[00:50:37.280 --> 00:50:42.800]   pre-reading because then you already you know what's next to each paper and you don't and so that i one
[00:50:42.800 --> 00:50:49.520]   thing that one criticism i have of how we do things now is it usually the the paper gets announced like
[00:50:49.520 --> 00:50:54.640]   a day or two before the the discussion and it's hard to pre-read so if i know a week in advance it's
[00:50:54.640 --> 00:50:57.840]   a lot easier for me to like over the weekend find a time or something like that
[00:50:57.840 --> 00:51:08.240]   okay i do have one related questions how many people in this discord or in this paper club
[00:51:09.360 --> 00:51:16.800]   come from a background without coding experience not with um the reason why i'm asking this is that
[00:51:16.800 --> 00:51:21.680]   uh i've been exploring and and it is not commitment this is something that i'm still figuring out the
[00:51:21.680 --> 00:51:28.960]   materials on right doing an entire series about like ai architecture with the assumption that you do not know
[00:51:28.960 --> 00:51:36.400]   coding uh and then and my rationale behind that is that because well we do well i do like speak highly of
[00:51:36.400 --> 00:51:42.800]   like andrew kapati series and fast ai series about ai architectures and stuff all of them kind of pretty
[00:51:42.800 --> 00:51:48.960]   much assume you know coding and there are there are lots of people like trying to understand ai better
[00:51:48.960 --> 00:51:54.800]   not necessarily to build ai architectures but just to understand it better and and
[00:51:56.480 --> 00:52:03.920]   yeah i'm just like trying to see like how many people here just doesn't know code uh before jumping in
[00:52:03.920 --> 00:52:21.360]   okay oh well i guess most people know code i i know there's a sampling bias in for this discord so
[00:52:21.360 --> 00:52:23.600]   so it's like yeah just just laying out the idea
[00:52:23.600 --> 00:52:28.480]   the silent majority is very silent
[00:52:28.480 --> 00:52:39.600]   okay then i i think i shall just uh if there's no other paper suggestion then uh yeah perhaps we
[00:52:39.600 --> 00:52:46.400]   should do a test of time week instead uh as in like i think what we can do is we can start
[00:52:46.400 --> 00:52:55.840]   doing team weeks to make it easier so uh uh i would say let's try to do a test of time week after ai
[00:52:55.840 --> 00:53:03.440]   engineering uh uh conference and and and then we use and then because seems like next week we can try
[00:53:03.440 --> 00:53:08.960]   to turn it into diffusion week and then we'll just try to find papers around it that make it easier to like
[00:53:08.960 --> 00:53:16.480]   pre-plan the paper in advance yeah okay then uh yeah um yeah if that's the case
[00:53:16.480 --> 00:53:29.920]   yeah okay yeah yeah then we'll try to make sure that happens yeah then uh i'll just end off uh today's
[00:53:29.920 --> 00:53:34.960]   one slightly early because then that uh if you have papers that you will want to suggest just feel free to
[00:53:34.960 --> 00:53:41.040]   put into the discord okay okay okay take care everyone uh see you again next week
[00:53:41.040 --> 00:54:11.020]   Thank you.
[00:54:11.020 --> 00:54:14.020]   Thank you.
[00:54:14.020 --> 00:54:16.020]   Thank you.
[00:54:16.020 --> 00:54:19.940]   Thank you.

