
[00:00:00.000 --> 00:00:06.000]   It should just record to my account so that I can upload it to YouTube.
[00:39:06.000 --> 00:39:20.000]   And then tangent warm up I don't, again, probably don't need to understand that the sign T, they just put our in front of it and that are just literally increases from zero to one over the first 10k iterations, and they just do this because it's a it's instable
[00:39:20.000 --> 00:39:22.000]   in the beginning.
[00:39:22.000 --> 00:39:25.000]   No need to discuss a lot.
[00:39:25.000 --> 00:39:45.000]   Okay, and so, like when you stack all of these things together, then you're able to train much more effectively and continuous time does much better than these discreet this so this n is the number of discrete steps that your model is taking.
[00:39:45.000 --> 00:40:01.000]   And, you know, maybe one interesting thing about this plot is that, you know, sort of the best you can do is at 1024 and then it gets worse. Right, so it goes, so like it's better from here to green and then green to purple gets way better and then it
[00:40:01.000 --> 00:40:05.000]   gets worse again so like at some point.
[00:40:05.000 --> 00:40:11.000]   So, like it's the issues that they brought up, start to start to matter.
[00:40:11.000 --> 00:40:20.000]   Why is continuous so much better than screen, is it because it's just continuous and therefore it's easy to learn but I thought the continuous unstable as well.
[00:40:20.000 --> 00:40:34.000]   No, all of these techniques that we just talked about in the last few slides are making continuous stable. So then they are able to train more effectively.
[00:40:34.000 --> 00:40:52.000]   In previous, like in the previous attempts that actually other authors did, and they did people thought I think they found that they had to be very conservative in the, you know, sort of like the way that they train the model in order to avoid all the instabilities.
[00:40:52.000 --> 00:41:01.000]   And so because of that they were not able to get good results, whereas now they're able to sort of like this intuition that they right here.
[00:41:01.000 --> 00:41:12.000]   They like this quant, it's sort of like, because if I have only a few steps, you know this, the time delta is very big between these and I'm going to have a lot of error in my tangent calculation.
[00:41:12.000 --> 00:41:30.000]   Right, so this, this tangent is that tangent that we talked about. And if there's a error. Like if there's a big quantization here, or like only a few time steps then the ODE solver has to, you know, sort of has only a limited amount of data to work with
[00:41:30.000 --> 00:41:39.000]   and it ends up making mistakes due to that discretization and so they ends up having big errors and you get on the wrong trajectory.
[00:41:39.000 --> 00:41:47.000]   Makes sense. That makes sense. Yeah, and we also have a question from the chat, what does the FID metric evaluate.
[00:41:47.000 --> 00:41:53.000]   Yeah, it's, that's a great question I had to look it up myself because I've seen it before and I forgot it completely it's.
[00:41:53.000 --> 00:42:15.000]   Um, so it is just, it is like it is a numerical measure of the difference between two images, but in the reason why it's popular is because it seemed, it was explicitly designed to match the match closely to human perceptual difference.
[00:42:15.000 --> 00:42:29.000]   So they, there's a paper that talks about it and one of the things that they talk about is and I think it's what's in the definitely a bibliography but I can dig it if, if, if anyone's interested.
[00:42:29.000 --> 00:42:48.000]   It basically describes the, the, the previous methods that were being used which were just like, there was one of the divergence divergence measures are not measures divergences.
[00:42:48.000 --> 00:43:13.000]   It didn't match to what people visually what humans actually were visually using to distinguish between images, so that this one was designed to do a better job of that so it's, it's supposed to be like a human perceptual distance metric between the, the, the input, like an input
[00:43:13.000 --> 00:43:22.000]   input image. So, I think that meaning.
[00:43:22.000 --> 00:43:24.000]   Actually, you.
[00:43:24.000 --> 00:43:32.000]   Yeah, I think there's a, there's like a, and I don't know exactly that's a, that's a great question. I don't know exactly how they do the experiment.
[00:43:32.000 --> 00:43:48.000]   I think that they go do a forward pass with the image, and then they add some noise, and then they do the backwards pass and they see the difference, difference between the images but I'm not 100% sure that is does anyone know this, how this works.
[00:43:48.000 --> 00:43:52.000]   Exactly.
[00:43:52.000 --> 00:43:59.000]   No. Okay, well, so yeah that's actually, that's something that I want to follow up on.
[00:43:59.000 --> 00:44:12.000]   Okay. And then I talked about a tangent warm up continuous versus discrete. Okay, so here's the part that everybody should be a little more comfortable with hopefully is just like we're evaluating models.
[00:44:12.000 --> 00:44:18.000]   The, you know, you have this NFC stands for
[00:44:18.000 --> 00:44:30.000]   number of function evaluations so this is how many times did I did my sort of core. How many iterations that I have to do to generate my images.
[00:44:30.000 --> 00:44:41.000]   And so, um, and you see that they all their numbers in this section of the paper, they have they they compared to two evaluations in one.
[00:44:41.000 --> 00:44:46.000]   And they do slightly better. Whenever they do too.
[00:44:46.000 --> 00:44:55.000]   So, and then, so there's several things to note about this one thing that they said in the paper it's not here but that, that it.
[00:44:55.000 --> 00:45:09.000]   They it takes about two x to compute to train the this consistency model from as a, as a distillation of whatever they distilled from.
[00:45:09.000 --> 00:45:19.000]   Approximately twice the compute. So, if you spend a lot of compute to train a model and then you want to distill it with this mechanism you're going to pay about twice as much.
[00:45:19.000 --> 00:45:26.000]   So there could be that could present an operational problem or it might not.
[00:45:26.000 --> 00:45:44.000]   Another thing to know these joint training sections these are basically GANs but like you'll see some of the more common GANs here, but, and I don't know exactly the difference between these guys but this CTM, like was the sort of overall winner for this.
[00:45:44.000 --> 00:46:03.000]   CIFAR data benchmark and then, and then, you know, for a conditional class image net 64 by 64, it's a different one but it's also in this joint training. So the GANs tend to be tend to be winning on these benchmarks.
[00:46:03.000 --> 00:46:16.000]   So my belief is that these are the reason why people don't use them is because they're hard to train and they're, they have their very, they have mode seeking behavior meaning it's hard to get any diversity and hard to control them.
[00:46:16.000 --> 00:46:20.000]   But for these benchmarks they do the best.
[00:46:20.000 --> 00:46:23.000]   And you see it down here.
[00:46:23.000 --> 00:46:35.000]   So sort of their, you know, their consistency model is actually quite close for what it's worth. And then, so this is from distillation.
[00:46:35.000 --> 00:46:39.000]   And then this is if you train from scratch, and they do better.
[00:46:39.000 --> 00:46:48.000]   So that's maybe another interesting thing so the distillation doesn't work quite as well as the training from scratch does.
[00:46:48.000 --> 00:46:58.000]   This is a place where someone might want to like comment or ask questions so I want to pause and make sure.
[00:46:58.000 --> 00:47:17.000]   Okay, so, and then, um, so they also compared this variational score distillation which is kind of in the same ballpark, in terms of effectiveness, and they found that they, they have, or VSD has higher precision and lower recall meaning lower diversity.
[00:47:17.000 --> 00:47:37.000]   And like as the guidance scale gets higher it does worse. And, you know, this, because if you'll notice the diffusion teacher model, and, and the, the,
[00:47:37.000 --> 00:47:51.000]   the models that they built are very close to each other and in these cases both for precision and recall so you end up having some very similar FI score as well.
[00:47:51.000 --> 00:47:56.000]   And then like another interesting thing here.
[00:47:56.000 --> 00:48:05.000]   So, a couple things so there, you know, their model does quite well.
[00:48:05.000 --> 00:48:10.000]   When it's trained and not distilled.
[00:48:10.000 --> 00:48:16.000]   So, or sorry. Let's see.
[00:48:16.000 --> 00:48:32.000]   The distillation doesn't do quite as well as the training and, but neither of them do as well as the diffusion teacher, including the one that was trained from scratch, and that like you'll see also interestingly once.
[00:48:32.000 --> 00:48:46.000]   So the two step does actually the two step trained model does worse with, you know, sort of like
[00:48:46.000 --> 00:48:51.000]   in the smaller models but better in the bigger models.
[00:48:51.000 --> 00:49:05.000]   Okay, and then this is sort of like their scaling study we're kind of out of time so I won't talk too much but like, yeah, you can see they they did well they have up to 1.5 be model.
[00:49:05.000 --> 00:49:13.000]   Let's see the. Yeah, that's sort of the main takeaway Okay yeah so that's, that's all I have.
[00:49:13.000 --> 00:49:24.000]   I can take any questions if people want to stick around for a few minutes.
[00:49:24.000 --> 00:49:32.000]   I know this is not at all an easy paper.
[00:49:32.000 --> 00:49:40.000]   I think it's one of the hardest papers. Yeah, I think the other one was probably PPO or PPO.
[00:49:40.000 --> 00:49:43.000]   I missed that paper so.
[00:49:43.000 --> 00:49:58.000]   Yeah, I mean to me this, this was challenging for several reasons right like one is just the topic, like diffusion by itself is hard and then you have this like really obscure diffusion that is like even more complicated and you have to understand a little bit about
[00:49:58.000 --> 00:50:05.000]   differential equations and whatever. And then on top of that there's just a ton of literature to read in order to read the paper.
[00:50:05.000 --> 00:50:13.000]   So all those things like kind of, it's like a triple whammy.
[00:50:13.000 --> 00:50:27.000]   But I must say, I really really enjoyed learning by reading, like because you know I dug into all these papers which I normally don't have time to do but I, you know, because I'm presenting I took the time to really look at all the references and try
[00:50:27.000 --> 00:50:40.000]   to understand things well enough to hopefully explain them right to other people. And that was super valuable experience and I'm glad I did that on such a hard paper.
[00:50:40.000 --> 00:50:43.000]   I feel like
[00:50:43.000 --> 00:50:51.000]   you guys felt that you got some of the intuition behind this.
[00:50:51.000 --> 00:51:03.000]   I know it's not easy I tried to focus on the intuitions for the paper, and not so much on the math.
[00:51:03.000 --> 00:51:08.000]   So, let me stop sharing.
[00:51:08.000 --> 00:51:12.000]   Great guys, if there's nothing else.
[00:51:12.000 --> 00:51:22.000]   You know I thoroughly enjoyed doing this I hope, hope somebody new will will.
[00:51:22.000 --> 00:51:31.000]   Someone who's never presented before will will take take up the mantle for the next session or the next open session will be awesome.
[00:51:31.000 --> 00:51:40.000]   If anyone has any paper that they want to cover so it's great to for you to voice out and say, because we always welcome new, new paper presenters.
[00:51:40.000 --> 00:51:49.000]   Yeah, I think we, I think we had a volunteer for next week but it's on the loom I don't remember which one it was, but people was signing someone up.
[00:51:49.000 --> 00:51:51.000]   Awesome. Yay.
[00:51:51.000 --> 00:51:56.000]   More need more more still needed.
[00:51:56.000 --> 00:52:01.000]   Okay guys, well enjoy your Wednesday then I will.
[00:52:01.000 --> 00:52:04.000]   I'll see you guys on discord.
[00:52:04.000 --> 00:52:10.000]   Thank you very much once again for presenting my pleasure. Yeah, you're welcome.
[00:52:10.000 --> 00:52:31.000]   Bye bye.

