
[00:00:00.000 --> 00:00:05.400]   Very well, also, so I, and I think, um.
[00:29:48.360 --> 00:29:58.360]   I didn't find their curve very convincing that this is actually the, the, um, the right fit, but, um, but, you know, I didn't.
[00:29:58.360 --> 00:29:59.360]   Whatever.
[00:29:59.360 --> 00:30:01.360]   It's clearly much better than Adam.
[00:30:01.360 --> 00:30:03.360]   So I'm willing to take it.
[00:30:03.360 --> 00:30:06.360]   Um, and then let's see what else.
[00:30:06.360 --> 00:30:07.360]   I'm sorry.
[00:30:07.360 --> 00:30:08.360]   This is so rush.
[00:30:08.360 --> 00:30:12.360]   I really didn't have a time to prepare super well.
[00:30:12.360 --> 00:30:16.360]   Um, but, uh, oh yeah, this, this section.
[00:30:16.360 --> 00:30:19.360]   Um, I thought was really interesting as well.
[00:30:19.360 --> 00:30:24.360]   So this, I talked about the entropy measure that, um, is right here.
[00:30:24.360 --> 00:30:26.360]   I talked about that previously.
[00:30:26.360 --> 00:30:44.360]   Um, I think that this, um, this is a really interesting set of plots where, um, the, uh, um, the weight matrices, um, have, you know, throughout the, you know.
[00:30:44.360 --> 00:30:47.360]   So we, if you look at Adam is red.
[00:30:47.360 --> 00:30:49.360]   Um, so this is Adam.
[00:30:49.360 --> 00:30:51.360]   And then one is the blue one.
[00:30:51.360 --> 00:31:00.360]   And, um, these are, uh, different parts of the, these, these here are different parts of the model.
[00:31:00.360 --> 00:31:13.360]   And different training iterations that like the entropy in the weight matrices is, you know, tends to be much higher, meaning that they're the weight matrices are expressing different.
[00:31:13.360 --> 00:31:20.360]   Um, different things more effectively, um, than when you're trained by Adam different.
[00:31:20.360 --> 00:31:28.360]   So they're using the dimensionality of the weight matrices more effectively is I think the, the summary of that.
[00:31:28.360 --> 00:31:33.360]   Um, and one, so I'll, I'll, I'll conclude now.
[00:31:33.360 --> 00:31:38.360]   I think, but one like interesting thing that they, um, so they found.
[00:31:38.360 --> 00:31:42.360]   So I found these two sections together quite interesting.
[00:31:42.360 --> 00:31:43.360]   Whoops.
[00:31:43.360 --> 00:31:45.360]   These two sections together quite interesting.
[00:31:45.360 --> 00:31:53.360]   So if you pre-train using Mulan, then like, like everything's better, basically.
[00:31:53.360 --> 00:31:54.360]   Kind of sort of.
[00:31:54.360 --> 00:32:04.360]   Um, and they talk about like different, like for, um, um, you know, sort of like pre-training plus fine tuning.
[00:32:04.360 --> 00:32:05.360]   Oh, sorry.
[00:32:05.360 --> 00:32:09.360]   If you pre-train and fine tune using Mulan, they do better.
[00:32:09.360 --> 00:32:20.360]   Um, however, they found that if we take public models and we, they're obviously already pre-trained on whatever optimizer.
[00:32:20.360 --> 00:32:25.360]   They, um, do the fine tuning using, um, Adam, oops, sorry.
[00:32:25.360 --> 00:32:29.360]   Adam versus Adam versus Mulan.
[00:32:29.360 --> 00:32:31.360]   Adam does better.
[00:32:31.360 --> 00:32:32.360]   Right.
[00:32:32.360 --> 00:32:33.360]   Consistently.
[00:32:33.360 --> 00:32:41.360]   And so, um, so that, that is one of the, um, that is one of the primary questions that they had.
[00:32:41.360 --> 00:32:42.360]   It was, why does it happen?
[00:32:42.360 --> 00:32:47.360]   So, and I don't think they had a, they don't really think they had a good explanation for that at all.
[00:32:47.360 --> 00:32:53.360]   Um, okay, so, um, yeah, so I, I think that's probably enough.
[00:32:53.360 --> 00:33:00.360]   I want to make sure that other people have time to spend, but I, well, maybe we should, if there are any more questions, I'd be happy to answer those.
[00:33:00.360 --> 00:33:02.360]   And then I'll hand over the, the reins.
[00:33:02.360 --> 00:33:06.360]   Any, any questions?
[00:33:06.360 --> 00:33:10.360]   I know this was like really rushed and maybe not super intuitive.
[00:33:10.360 --> 00:33:13.360]   Um, I apologize for that.
[00:33:13.360 --> 00:33:14.360]   Not at all.
[00:33:14.360 --> 00:33:21.360]   Like this is, uh, as, uh, as good as we can hope for, for, uh, explaining like this kind of optimize your work.
[00:33:21.360 --> 00:33:25.360]   Um, I, I, I think, um, I'm gotten had some commentary.
[00:33:25.360 --> 00:33:31.360]   Uh, Eugene has actually used more, um, either of them.
[00:33:31.360 --> 00:33:37.360]   Um, it looks like I'm glad it's coming.
[00:33:37.360 --> 00:33:38.360]   Yes.
[00:33:38.360 --> 00:33:40.360]   Uh, can you hear me?
[00:33:40.360 --> 00:33:41.360]   Yeah.
[00:33:41.360 --> 00:33:42.360]   Okay.
[00:33:42.360 --> 00:33:43.360]   Cool.
[00:33:43.360 --> 00:33:44.360]   Yeah.
[00:33:44.360 --> 00:33:52.360]   I, I, I did, uh, some remarks about how the even scaled moment further in their training of gaming K2.
[00:33:52.360 --> 00:33:56.360]   I, I can share like the notes and kind of quickly go over them.
[00:33:56.360 --> 00:33:57.360]   If there are no other questions.
[00:33:57.360 --> 00:33:57.360]   Yeah.
[00:33:57.360 --> 00:33:58.360]   This is the clip stuff.
[00:33:58.360 --> 00:33:59.360]   Yeah.
[00:33:59.360 --> 00:34:09.360]   Uh, yeah, I think, uh, RJ, you're gonna have to stop the share so that I'm going to do it or whatever.
[00:34:09.360 --> 00:34:10.360]   However, this works.
[00:34:10.360 --> 00:34:11.360]   Yeah.
[00:34:11.360 --> 00:34:12.360]   Okay.
[00:34:12.360 --> 00:34:13.360]   One.
[00:34:13.360 --> 00:34:14.360]   Give me one second.
[00:34:14.360 --> 00:34:15.360]   Let me figure that out.
[00:34:15.360 --> 00:34:16.360]   Uh, here we go.
[00:34:16.360 --> 00:34:17.360]   Uh, yeah.
[00:34:17.360 --> 00:34:20.360]   Zach's is Matthew and Dan says, so I need to attend this.
[00:34:20.360 --> 00:34:26.360]   Um, I actually like thinking about like use this in terms of theory of learning.
[00:34:26.360 --> 00:34:34.360]   Um, so I think there's a lot of ways in which you can apply the algorithms to your own personal learning as well.
[00:34:34.360 --> 00:34:39.360]   Um, so like the constant momentum to me is something that I tell people about a lot when you are wrong.
[00:34:39.360 --> 00:34:40.360]   And you are wrong.
[00:34:40.360 --> 00:34:46.360]   You should not only update to what you were wrong on, but also have momentum on further updating.
[00:34:46.360 --> 00:34:50.360]   Um, uh, I'm glad are you sharing your screen?
[00:34:50.360 --> 00:34:58.360]   Um, I'm about to, uh, should be, should be visible now.
[00:34:58.360 --> 00:34:59.360]   Yeah.
[00:34:59.360 --> 00:35:00.360]   Cool.
[00:35:00.360 --> 00:35:01.360]   Yep.
[00:35:01.360 --> 00:35:02.360]   Yep.
[00:35:02.360 --> 00:35:03.360]   Yep.
[00:35:03.360 --> 00:35:04.360]   All visible.
[00:35:04.360 --> 00:35:05.360]   Uh, I'm, I'm glad.
[00:35:05.360 --> 00:35:06.360]   I don't know if you're speaking.
[00:35:06.360 --> 00:35:07.360]   He is not speaking.
[00:35:07.360 --> 00:35:08.360]   He has killed his voice.
[00:35:08.360 --> 00:35:09.360]   Okay.
[00:35:09.360 --> 00:35:10.360]   Someone else explain his.
[00:35:10.360 --> 00:35:11.360]   Okay.
[00:35:11.360 --> 00:35:11.360]   Okay.
[00:35:11.360 --> 00:35:12.360]   Is the screen visible now?
[00:35:12.360 --> 00:35:13.360]   Yeah.
[00:35:13.360 --> 00:35:14.360]   Yeah.
[00:35:14.360 --> 00:35:15.360]   Yeah.
[00:35:15.360 --> 00:35:16.360]   Yeah.
[00:35:16.360 --> 00:35:17.360]   Yeah.
[00:35:17.360 --> 00:35:18.360]   Yeah.
[00:35:18.360 --> 00:35:18.360]   You're good.
[00:35:18.360 --> 00:35:19.360]   You're good.
[00:35:19.360 --> 00:35:19.360]   Yeah.
[00:35:19.360 --> 00:35:20.360]   You can go.
[00:35:20.360 --> 00:35:21.360]   Okay.
[00:35:21.360 --> 00:35:22.360]   Cool.
[00:35:22.360 --> 00:35:23.360]   Okay.
[00:35:23.360 --> 00:35:24.360]   Cool.
[00:35:24.360 --> 00:35:25.360]   Okay.
[00:35:25.360 --> 00:35:26.360]   Cool.
[00:35:26.360 --> 00:35:27.360]   Cool.
[00:35:27.360 --> 00:35:28.360]   So hi everyone.
[00:35:28.360 --> 00:35:29.360]   My name is Amgad.
[00:35:29.360 --> 00:35:36.360]   I'll, I'll be sharing some of the notes I took, uh, when researching the K2 model.
[00:35:36.360 --> 00:35:41.360]   Uh, most of this comes from the blog posts they published.
[00:35:41.360 --> 00:35:48.360]   They said they will be, uh, sharing a very detailed technical report, but, you know, uh,
[00:35:48.360 --> 00:35:49.360]   we can never know.
[00:35:49.360 --> 00:35:51.360]   So I'll just go ahead and share whatever I know right now.
[00:35:51.360 --> 00:35:53.360]   So let's, let's start with this.
[00:35:53.360 --> 00:35:54.360]   Yeah.
[00:35:54.360 --> 00:35:55.360]   Yeah.
[00:35:55.360 --> 00:35:57.360]   So let's, let's start with the architecture.
[00:35:57.360 --> 00:36:01.360]   Uh, basically how they designed the model.
[00:36:01.360 --> 00:36:04.360]   Uh, they had a few principles, uh, they needed to follow.
[00:36:04.360 --> 00:36:09.360]   Uh, and they did a lot of scaling experiments before the training even started.
[00:36:09.360 --> 00:36:15.360]   So there are a lot of scaling experiments, uh, a lot of the details that you can do, or
[00:36:15.360 --> 00:36:17.360]   a lot of the changes you can do to the architecture.
[00:36:17.360 --> 00:36:22.360]   And they found out that every single detail, uh, every single change they made, it didn't
[00:36:22.360 --> 00:36:23.360]   improve the model at all.
[00:36:23.360 --> 00:36:25.360]   And sometimes it was just worse.
[00:36:25.360 --> 00:36:31.360]   So basically they decided to stick with deep seek v3 architecture instead of just changing
[00:36:31.360 --> 00:36:32.360]   for the sake of change.
[00:36:32.360 --> 00:36:37.360]   And I think this is a very good, uh, approach that we don't see a lot.
[00:36:37.360 --> 00:36:43.360]   Like people want to try different stuff because they're just different without having any,
[00:36:43.360 --> 00:36:46.360]   uh, uh, justification for using them.
[00:36:46.360 --> 00:36:49.360]   So yeah, their, their answer was no, we should just use deep seek v3.
[00:36:49.360 --> 00:36:55.360]   And then maybe you can make some even further scaling on top of it rather than, uh, making
[00:36:55.360 --> 00:37:00.360]   new changes to the architecture because they already have a significant change, which is the optimizer.
[00:37:00.360 --> 00:37:05.360]   They are now using Moan instead of Adam W, which is the industry standard.
[00:37:05.360 --> 00:37:10.360]   Uh, so they had a few constraints when, when, when trying to scale this up.
[00:37:10.360 --> 00:37:16.360]   Uh, the first constraint is it should be as close as possible to deep seek v3.
[00:37:16.360 --> 00:37:20.360]   The second constraint is the cost ceiling.
[00:37:20.360 --> 00:37:23.360]   They are a small company and they don't have a lot of money.
[00:37:23.360 --> 00:37:28.360]   So they want to keep training and inference costs as low as possible.
[00:37:28.360 --> 00:37:33.360]   So, uh, they did a lot, they did a lot of experiments and they found that deep seek v3
[00:37:33.360 --> 00:37:35.360]   is at the upper limit of what they can afford.
[00:37:35.360 --> 00:37:40.360]   So K2 must be similar to deep seek v3 in terms of cost.
[00:37:40.360 --> 00:37:47.360]   Uh, so with these token constraints, they, they actually, uh, arrived at a conclusion that
[00:37:47.360 --> 00:37:52.360]   they should use the deep seek v3 skeleton and then find parameters that keep the training
[00:37:52.360 --> 00:38:00.360]   and inference, inference cost at the same, but this, uh, but while like reducing the loss significantly.
[00:38:00.360 --> 00:38:02.360]   Um, so they made a few changes.
[00:38:02.360 --> 00:38:05.360]   We can go in over them now.
[00:38:05.360 --> 00:38:09.360]   The first change comes from something called the sparsity scaling law.
[00:38:09.360 --> 00:38:15.360]   This is a, an internal experiment or like an internal series of experiments that was done
[00:38:15.360 --> 00:38:17.360]   by their pre-training team.
[00:38:17.360 --> 00:38:21.360]   They found out that with fixed activate activate activated parameters.
[00:38:21.360 --> 00:38:26.360]   If you increase the total, uh, parameters of a mixture of expert, it still obeys the scaling.
[00:38:26.360 --> 00:38:30.360]   Well, uh, there is no overfitting and the loss keeps going down.
[00:38:30.360 --> 00:38:33.360]   And this is internal research research that has not been published yet.
[00:38:33.360 --> 00:38:36.360]   So we just will take the words for it now for now.
[00:38:36.360 --> 00:38:41.360]   So based on these observations, they decided to take an action to increase the total number
[00:38:41.360 --> 00:38:50.360]   of experts to 384 compared to, uh, what deep seek v3 is using, which is 256.
[00:38:50.360 --> 00:38:57.360]   The main issue with going with increasing the total model size is assuming that you have a fixed
[00:38:57.360 --> 00:39:00.360]   a fixed number of notes, a fixed number of GPUs.
[00:39:00.360 --> 00:39:09.360]   Now each, each GPU, uh, is consuming more and more memory because you are having more, uh, total experts.
[00:39:09.360 --> 00:39:13.360]   So in the new k2, you have three experts per node.
[00:39:13.360 --> 00:39:25.360]   Plus the one shared expert, which consumes about 10 gigabyte compared to deep seek v3, which used two routed experts and one shared one and used, uh, 7.5 gigabytes.
[00:39:25.360 --> 00:39:28.360]   So right now the, the model is consuming more memory.
[00:39:28.360 --> 00:39:33.360]   I think it's almost, uh, they say it's 50% more.
[00:39:33.360 --> 00:39:36.360]   Uh, I didn't double check the mess.
[00:39:36.360 --> 00:39:42.360]   So, so we can just take this for granted, but they are saying that now we have more memory consumed.
[00:39:42.360 --> 00:39:49.360]   We want to claw back this memory because memory is valuable and compute and bandwidth are like, uh, limited resources for them.
[00:39:49.360 --> 00:39:55.360]   So they, they made the second change, which is reducing the number of attention heads.
[00:39:55.360 --> 00:40:04.360]   Uh, the deep seek v3 initially doubled the number of attention heads and they justified this because they said this maximizes the bandwidth utilization.
[00:40:04.360 --> 00:40:10.360]   Uh, so this is something that is a bit more specific to that deep, deep seek v3 infrastructure.
[00:40:10.360 --> 00:40:16.360]   So the Kimi K2 authors, uh, decided to reduce the number of attention heads to 64.
[00:40:16.360 --> 00:40:19.360]   And this results in two main points.
[00:40:19.360 --> 00:40:22.360]   The first one we're cutting the head in half.
[00:40:22.360 --> 00:40:26.360]   So this meant, this means we're getting like huge wins for long context.
[00:40:26.360 --> 00:40:33.360]   And this is important for K2 because it's going to be used for agents and vibe coding and, and consuming tens of thousands of dollars.
[00:40:33.360 --> 00:40:36.360]   Uh, to do vibe coding stuff.
[00:40:36.360 --> 00:40:38.360]   So this is quite important already.
[00:40:38.360 --> 00:40:49.360]   The second, uh, result is that the, the query and the key and the value on the output projection, but these parameters are reduced in half because we're using half the heads.
[00:40:49.360 --> 00:40:52.360]   So this goes down from 10 billion parameters to 5 billion.
[00:40:52.360 --> 00:41:02.360]   So we are cutting the flops used, uh, in a significant portion again, and they have done a lot of ablations internally that show that the negative impact.
[00:41:02.360 --> 00:41:07.360]   impact on the loss by reducing the number of heads is quite minimal.
[00:41:07.360 --> 00:41:11.360]   And again, we will have to take them for, for granted on this.
[00:41:11.360 --> 00:41:16.360]   The third change they made in the architecture is the, are no longer using expert grouping.
[00:41:16.360 --> 00:41:25.360]   Uh, so grouping helps when you have more than one expert on a GPU, uh, because this tends to balance the work at the device level.
[00:41:25.360 --> 00:41:36.360]   Uh, they said that they have a certain requirement for scaling and that they are actually using one expert or even less than one expert on each GPU, because the need to serve.
[00:41:36.360 --> 00:41:38.360]   Many, many numbers of concurrent requests.
[00:41:38.360 --> 00:41:48.360]   So at the current scale, if you are having one expert per GPU, you don't need to group the experts because, uh, you're just routing to each node.
[00:41:48.360 --> 00:41:53.360]   So, uh, they said that we no longer need any expert, expert grouping.
[00:41:53.360 --> 00:41:56.360]   We can just use the, uh, router and give it more freedom.
[00:41:56.360 --> 00:42:05.360]   And this allows them, allows them to explore more of the combinatorial space and, uh, arguably have better model quality.
[00:42:05.360 --> 00:42:09.360]   So these are like the main changes in architecture compared to deep seek V3.
[00:42:09.360 --> 00:42:13.360]   Uh, the summary is it is a sparse mixture of expert model.
[00:42:13.360 --> 00:42:21.360]   It has 1 trillion total, uh, parameters, sorry, not tokens, but only 32 of which are activated in each forward pass.
[00:42:21.360 --> 00:42:28.360]   Uh, it is quite similar to the deep seek V3 on R1 architecture because it's basically an evolution of it.
[00:42:28.360 --> 00:42:36.360]   It it's using less attention heads, but has more total experts, uh, and it has a bigger vocabulary size.
[00:42:36.360 --> 00:42:45.360]   It's now using 160,000 tokens instead of 129,000, uh, tokens in the vocabulary.
[00:42:45.360 --> 00:42:50.360]   And this is a nice, uh, graph comparing the two architectures by Sebastian Rojka.
[00:42:50.360 --> 00:42:53.360]   So please go, go and check this.
[00:42:53.360 --> 00:42:59.360]   I'll be sharing the notes, uh, and the dashboard server after the meeting.
[00:42:59.360 --> 00:43:02.360]   So this is regarding the architecture.
[00:43:02.360 --> 00:43:10.360]   Any questions before we cover, uh, some of the, uh, training approaches and, and other, uh, contributions?
[00:43:10.360 --> 00:43:25.360]   Uh, can you guys even hear me?
[00:43:25.360 --> 00:43:28.360]   Can just, can just someone confirm that we're all good.
[00:43:28.360 --> 00:43:31.360]   Yeah, we can hear, we can hear.
[00:43:31.360 --> 00:43:33.360]   Uh, I do see one question in chat.
[00:43:33.360 --> 00:43:48.360]   Uh, I'm not able to digest how to find the best momentum and weight decay of the muon optimizer among different attention heads among all the Emily.
[00:43:48.360 --> 00:43:54.360]   Um, maybe I can, I, I, if I understand that question correctly.
[00:43:54.360 --> 00:44:08.360]   Um, the momentum term is per the, the, the momentum matrix is there's a different momentum term per parameter kind of sorta.
[00:44:08.360 --> 00:44:21.360]   So you like each attention head and each expert will matrix will have its own momentum direction.
[00:44:21.360 --> 00:44:22.360]   Does that make sense?
[00:44:22.360 --> 00:44:26.360]   So they like you, they're all calculated separately is kind of another way to put it.
[00:44:26.360 --> 00:44:27.360]   Is that answer the question?
[00:44:27.360 --> 00:44:28.360]   I'm not sure if it does or not.
[00:44:28.360 --> 00:44:37.360]   That was from Osama, I guess.
[00:44:37.360 --> 00:44:38.360]   Okay.
[00:44:38.360 --> 00:44:39.360]   Good.
[00:44:39.360 --> 00:44:40.360]   Awesome.
[00:44:40.360 --> 00:44:41.360]   Yeah.
[00:44:41.360 --> 00:44:42.360]   Sorry.
[00:44:42.360 --> 00:44:45.360]   I disconnected, uh, for a while.
[00:44:45.360 --> 00:44:50.360]   Um, no worries before disconnect.
[00:44:50.360 --> 00:44:51.360]   Yeah.
[00:44:51.360 --> 00:44:53.360]   I answered the question anyway.
[00:44:53.360 --> 00:44:54.360]   Perfect.
[00:44:54.360 --> 00:44:55.360]   Okay.
[00:44:55.360 --> 00:45:02.360]   I was asking if like, there are any questions regarding the, uh, architecture, but I think we have no questions for no further questions.
[00:45:02.360 --> 00:45:03.360]   Right.
[00:45:03.360 --> 00:45:05.360]   Um, I actually do.
[00:45:05.360 --> 00:45:10.360]   Uh, I, I heard that it was, it was 1 trillion tokens and not 1 trillion parameters.
[00:45:10.360 --> 00:45:11.360]   Um, okay.
[00:45:11.360 --> 00:45:13.360]   Oh, is it, so it's 1 trillion.
[00:45:13.360 --> 00:45:14.360]   Is it?
[00:45:14.360 --> 00:45:15.360]   Yeah.
[00:45:15.360 --> 00:45:17.360]   What, uh, how many tokens and how many parameters?
[00:45:17.360 --> 00:45:18.360]   Yeah.
[00:45:18.360 --> 00:45:24.360]   Uh, so the total number of parameters, though, their size, let me just correct this quickly.
[00:45:24.360 --> 00:45:34.360]   Uh, uh, the total number of parameters is 1 trillion, but only 32 are active.
[00:45:34.360 --> 00:45:44.360]   And this is compared to deep seek V3, which has, I think 670 ish total, uh, parameters, but only 36 ish are active.
[00:45:44.360 --> 00:45:45.360]   Okay.
[00:45:45.360 --> 00:45:47.360]   So yeah, this is regarding the total size.
[00:45:47.360 --> 00:45:55.360]   So if you were to download this model on desk and assuming two bytes per, uh, token, you're gonna need like two, uh, terabytes.
[00:45:55.360 --> 00:45:58.360]   I think of, of, of, of memory to just download it.
[00:45:58.360 --> 00:45:59.360]   Yeah.
[00:45:59.360 --> 00:46:00.360]   Yeah.
[00:46:00.360 --> 00:46:08.360]   I was, I was mostly wondering about the distinction between, between, uh, parameters and tokens, but it sounds like 15 trillion total tokens that it was trained on.
[00:46:08.360 --> 00:46:11.360]   And then one trillion parameters, uh, is what I'm, what I'm hearing.
[00:46:11.360 --> 00:46:12.360]   Exactly.
[00:46:12.360 --> 00:46:13.360]   Yeah.
[00:46:13.360 --> 00:46:14.360]   All right.
[00:46:14.360 --> 00:46:15.360]   Cool.
[00:46:15.360 --> 00:46:16.360]   Sweet.
[00:46:16.360 --> 00:46:17.360]   Yes.
[00:46:17.360 --> 00:46:18.360]   Yeah.
[00:46:18.360 --> 00:46:20.360]   So yeah, this was regarding the architecture.
[00:46:20.360 --> 00:46:27.360]   Uh, we can now go into details about some of the motivations and the principles behind their approach to train this model.
[00:46:27.360 --> 00:46:30.360]   So they, they have two big, uh, principles.
[00:46:30.360 --> 00:46:33.360]   The first one is the agentic intelligence.
[00:46:33.360 --> 00:46:38.360]   Uh, they believe that LLMs should be agentic and they should be intelligent.
[00:46:38.360 --> 00:46:52.360]   They should be able to use tools and intelligent way, uh, tools to write down summaries and, and like, uh, insert new information into memory and access MCP tools and all of this amazing agenting capabilities.
[00:46:52.360 --> 00:46:58.360]   And they also think that the model should be intelligent to know which tool to use and how to use the tool.
[00:46:58.360 --> 00:47:08.360]   Uh, basically this principle comes from reinforcement learning and that to do a really good job at reinforcement learning, you need three components.
[00:47:08.360 --> 00:47:12.360]   You know, the, the algorithm, uh, and the environment and the priors.
[00:47:12.360 --> 00:47:21.360]   Uh, the main point is without good priors, the agent is just going to randomly guess what action to take, uh, when interacting with the environment.
[00:47:21.360 --> 00:47:31.360]   And this was going to result in a low reward, uh, because you're just randomly guessing, uh, which, which tool should I use or which, which action should I dig.
[00:47:31.360 --> 00:47:34.360]   And you're not getting, gaining a lot of rewards and you're not improving.
[00:47:34.360 --> 00:47:41.360]   This is going to make the, uh, training, the, the training process of RL is going to be very, very hard.
[00:47:41.360 --> 00:47:46.360]   It's going to take a lot of time because you're getting a very little or like very weak feedback signal.
[00:47:46.360 --> 00:47:54.360]   But in the last two years, the pre-training of large language models has made them, uh, almost universal models.
[00:47:54.360 --> 00:47:56.360]   They have, uh, great oral knowledge.
[00:47:56.360 --> 00:48:00.360]   They know a lot of stuff, a lot of, uh, about a lot of domains.
[00:48:00.360 --> 00:48:09.360]   So the pre-training of modern LLMs is the crucial foundation for establishing the priors, uh, that are needed to develop strong RL models.
[00:48:09.360 --> 00:48:14.360]   Uh, we have one caveat though, is that the human data is a finite fossil fuel.
[00:48:14.360 --> 00:48:22.360]   Uh, this is a saying by Elia and that the data is, is, is like not catching up the, to the progress of computer.
[00:48:22.360 --> 00:48:28.360]   We're getting more and more powerful GPUs every year, but the data is limited, at least the natural human data.
[00:48:28.360 --> 00:48:35.360]   So this means we need to be talking efficient and talking efficiency means given a fixed size dataset.
[00:48:35.360 --> 00:48:45.360]   How can we learn more, more, how can we develop more, uh, agenting model and like smarter models and, and more intelligent models given a fixed amount of data.
[00:48:45.360 --> 00:48:51.360]   And we're going to give it like a quick hint that we should maybe look into better optimizers.
[00:48:51.360 --> 00:48:57.360]   Uh, so optimizers that can achieve a lower loss given a fixed size dataset.
[00:48:57.360 --> 00:49:06.360]   And obviously the, the ended up using monoclip, uh, that RJ, uh, explained in, in, uh, in a good way.
[00:49:06.360 --> 00:49:09.360]   The second motivation or principle is the post training.
[00:49:09.360 --> 00:49:14.360]   So, uh, we're basically in the, what, what people call the era of experience.
[00:49:14.360 --> 00:49:18.360]   LLMs are increasingly learning from their own self generated interactions.
[00:49:18.360 --> 00:49:24.360]   They're not just relying on the data that we create, the instructions that we write for them on how to solve the problem.
[00:49:24.360 --> 00:49:27.360]   They're actually learning from their attempted solutions at the problem.
[00:49:27.360 --> 00:49:31.360]   Uh, and there are like two examples of this.
[00:49:31.360 --> 00:49:32.360]   The first one is alpha proof.
[00:49:32.360 --> 00:49:38.360]   So this model was initially trained on like around a hundred thousand, uh, proofs written by human experts.
[00:49:38.360 --> 00:49:48.360]   But then it went on to generate around a hundred million more by interaction with the, or the environment and receiving rewards using a formal proving system.
[00:49:48.360 --> 00:49:56.360]   This allowed the model to basically improve significantly and become way more capable compared to previous models.
[00:49:56.360 --> 00:49:59.360]   The second one is the tried and tested deep seek R1.
[00:49:59.360 --> 00:50:03.360]   It uses verifiable problems like coding and math.
[00:50:03.360 --> 00:50:08.360]   Uh, basically we give the model the problem and it makes a lot of attempts to solve the problem.
[00:50:08.360 --> 00:50:12.360]   And we just judge or, uh, grade their solution.
[00:50:12.360 --> 00:50:14.360]   We can say, okay, you're getting close.
[00:50:14.360 --> 00:50:15.360]   You're getting not close.
[00:50:15.360 --> 00:50:16.360]   You're doing good.
[00:50:16.360 --> 00:50:16.360]   You're doing bad.
[00:50:16.360 --> 00:50:23.360]   And this allows the model to learn from its own solution without having to write detailed instructions of how to solve the problem.
[00:50:23.360 --> 00:50:24.360]   Actually.
[00:50:24.360 --> 00:50:29.360]   So given these two principles, they made a few contributions to achieve these goals.
[00:50:29.360 --> 00:50:32.360]   The first one is demo on clip optimizer.
[00:50:32.360 --> 00:50:36.360]   Uh, basically how can we become more token efficient during training?
[00:50:36.360 --> 00:50:45.360]   Uh, so as, as RJ explained, Adam W has been the dominant optimization algorithm since 2014, 2015.
[00:50:45.360 --> 00:50:48.360]   And since then people have been trying nonstop to improve upon it.
[00:50:48.360 --> 00:50:58.360]   But, uh, I think it was only recently that we, uh, that like a more prominent approach was discovered by color Jordan.
[00:50:58.360 --> 00:51:03.360]   Uh, basically demo on approach to train nano GPT to a SOTA level.
[00:51:03.360 --> 00:51:11.360]   Uh, so just want to give a quick overview of, of how one, uh, went on to one clip.
[00:51:11.360 --> 00:51:17.360]   So basically before even K2, the Moonshot team was working on something called moonlight,
[00:51:17.360 --> 00:51:21.360]   which was an attempt to scale more into an actual LLM.
[00:51:21.360 --> 00:51:25.360]   A modern LLM because nano GPT was, I think a hundred million parameters.
[00:51:25.360 --> 00:51:29.360]   So they wanted to scale this to something that is 3 billion parameters or even more.
[00:51:29.360 --> 00:51:36.360]   And they successfully successfully demonstrated that you can actually scale the Moonshot optimizer into a modern LLM.
[00:51:36.360 --> 00:51:42.360]   And they train what they call moonlight, which is the model, uh, trained by the Moonshot optimizer.
[00:51:42.360 --> 00:51:50.360]   Now they wanted to scale the, this algorithm even further into something the size of deep seek V3 or even more.
[00:51:50.360 --> 00:51:52.360]   Now we want to train our trillion parameter model.
[00:51:52.360 --> 00:51:53.360]   This is quite huge.
[00:51:53.360 --> 00:52:02.360]   So when, when the, when the, we're trying to train this new model with the algorithm, they ran into a few issues and they came up with clever solutions for it.
[00:52:02.360 --> 00:52:10.360]   Uh, so they decided to reduce the number of heads for, for long context efficiency.
[00:52:10.360 --> 00:52:13.360]   I think increased the sparsity, but they encountered that.
[00:52:13.360 --> 00:52:18.360]   a lot of training instability due to mainly exploding attention logits.
[00:52:18.360 --> 00:52:22.360]   And this, uh, occurred more frequently with Moons than the Adam W.
[00:52:22.360 --> 00:52:25.360]   So, uh, this is a big problem.
[00:52:25.360 --> 00:52:26.360]   They tried it.
[00:52:26.360 --> 00:52:35.360]   They tried some of the existing solutions like, uh, soft capping the logits and normalizing the query key parameters, but they didn't, uh, help a lot.
[00:52:35.360 --> 00:52:43.360]   So they, they offered a clever way to rescale the query and, and, uh, key parameters.
[00:52:43.360 --> 00:52:45.360]   They call it the QK clip technique.
[00:52:45.360 --> 00:52:53.360]   Basically it tries to stabilize the training by rescaling the weight metric, uh, matrices of the query and the key projection after the updates.
[00:52:53.360 --> 00:52:55.360]   We can take a look at the math here.
[00:52:55.360 --> 00:53:01.360]   So after we have the inputs and multiply them by the weight metrics, we scale it by a certain factor for the query.
[00:53:01.360 --> 00:53:04.360]   And we also scale it by a similar factor for the key.
[00:53:04.360 --> 00:53:14.360]   Uh, if you multiply these both together, you're going to get, uh, the query multiplied by the key and both of them are now scaled by a factor.
[00:53:14.360 --> 00:53:19.360]   And they, they, this scaling factor, uh, it's called an adaptive factor.
[00:53:19.360 --> 00:53:22.360]   I think this, this simple is, is eta.
