
[00:00:00.000 --> 00:00:03.200]   (bright music)
[00:18:42.740 --> 00:18:45.300]   you will not understand what ServiceNow does,
[00:18:45.300 --> 00:18:49.980]   but if you understand ServiceNow,
[00:18:49.980 --> 00:18:53.780]   we do basically a lot of workflows,
[00:18:53.780 --> 00:18:58.780]   as in tasks that get orchestrated digitally
[00:18:58.780 --> 00:19:02.260]   in a certain sequence between human and machines.
[00:19:02.260 --> 00:19:03.940]   That's what we do, right?
[00:19:03.940 --> 00:19:08.940]   Because people at a large bank or customers tell me
[00:19:08.940 --> 00:19:13.700]   that they can get a Tesla faster
[00:19:13.700 --> 00:19:16.980]   than getting a PC from the bank or a Mac from the bank
[00:19:16.980 --> 00:19:18.340]   when they order something, right?
[00:19:18.340 --> 00:19:22.220]   I mean, that's the reality of large corporations,
[00:19:22.220 --> 00:19:24.020]   large governments, and so on.
[00:19:24.020 --> 00:19:28.900]   So when you request a PC at a bank, say,
[00:19:28.900 --> 00:19:31.180]   and banks try to be very efficient,
[00:19:31.180 --> 00:19:32.980]   the processes that it goes through,
[00:19:32.980 --> 00:19:34.780]   does it require two levels of approval?
[00:19:34.780 --> 00:19:37.860]   Some banks have, for Mac, four levels of approval.
[00:19:37.860 --> 00:19:39.340]   Then once those approvals are done,
[00:19:39.340 --> 00:19:40.740]   it needs to go to shipping department.
[00:19:40.740 --> 00:19:41.820]   Do they have inventory?
[00:19:41.820 --> 00:19:43.420]   They need to base image it,
[00:19:43.420 --> 00:19:45.460]   they need to put security creds on it,
[00:19:45.460 --> 00:19:46.700]   and then it goes to, okay,
[00:19:46.700 --> 00:19:48.620]   what is going to her home address,
[00:19:48.620 --> 00:19:51.460]   or it's going to, these are the workflows,
[00:19:51.460 --> 00:19:54.540]   and these are the things that we automate behind the scene.
[00:19:54.540 --> 00:19:57.340]   So all you say is, I want to pick this PC,
[00:19:57.340 --> 00:19:58.860]   I want to pick this monitor,
[00:19:58.860 --> 00:20:02.140]   I want it to be delivered via FedEx tomorrow morning.
[00:20:02.140 --> 00:20:03.460]   That's the idea, right?
[00:20:03.460 --> 00:20:06.220]   But because of these complex workflows,
[00:20:06.220 --> 00:20:09.540]   and the banks want to harden the image of the Mac
[00:20:09.540 --> 00:20:12.260]   that they give you, if you're doing on a trading floor,
[00:20:12.260 --> 00:20:13.100]   that's what it takes.
[00:20:13.100 --> 00:20:14.380]   So that's what ServiceNow does,
[00:20:14.380 --> 00:20:18.300]   and then we infuse AI in making it simpler and faster.
[00:20:18.300 --> 00:20:22.020]   So for us, if you understand ServiceNow,
[00:20:22.020 --> 00:20:25.980]   and you can say, hey, CJ, for your use cases,
[00:20:25.980 --> 00:20:29.520]   here is the great technology that we have built,
[00:20:29.520 --> 00:20:33.500]   and you can consume this technology,
[00:20:33.500 --> 00:20:35.020]   whether it's your LLMs,
[00:20:35.020 --> 00:20:38.380]   or whether it's a use case specific AI that you have done,
[00:20:38.380 --> 00:20:40.580]   or some kind of analytic, whatever it is,
[00:20:40.580 --> 00:20:43.780]   then you have my attention.
[00:20:43.780 --> 00:20:48.040]   That if I can make the use cases for our customers better,
[00:20:48.040 --> 00:20:52.380]   I have your attention, and I'll buy your product,
[00:20:52.380 --> 00:20:54.620]   to make us go faster,
[00:20:54.620 --> 00:20:57.140]   so we can deliver for our customers, right?
[00:20:57.140 --> 00:21:00.500]   We have only 8,000 customers, only 8,000,
[00:21:00.500 --> 00:21:02.820]   and if you think about 8,000 customers,
[00:21:02.820 --> 00:21:05.580]   10 billion ARR, you can do the math pretty fast,
[00:21:05.580 --> 00:21:07.540]   but we have only 8,000 customers,
[00:21:07.540 --> 00:21:11.420]   and so I'm obsessed, like OCD level obsessed,
[00:21:11.420 --> 00:21:13.380]   that if you come in and say,
[00:21:13.380 --> 00:21:16.120]   here is what it can do for your use cases,
[00:21:16.120 --> 00:21:18.780]   I will listen to your pitch every day, okay?
[00:21:18.780 --> 00:21:22.820]   So that's one, and I have enough money to spend,
[00:21:22.820 --> 00:21:25.540]   if we can serve our customers better.
[00:21:25.540 --> 00:21:29.100]   And number two is, we have a great go-to-market team,
[00:21:29.100 --> 00:21:33.020]   so besides our engineering, AI, science, research team,
[00:21:33.020 --> 00:21:34.960]   we have a great go-to-market team,
[00:21:34.960 --> 00:21:39.960]   and if you have something coming back to the buyer,
[00:21:39.960 --> 00:21:43.460]   next door down person, or two doors down person,
[00:21:43.460 --> 00:21:46.740]   and you want to leverage, CIO is our prime buyer.
[00:21:46.740 --> 00:21:49.660]   If you think about CIOs, 10, 15, 20 years ago,
[00:21:49.660 --> 00:21:54.660]   till ServiceNow came, CIOs were serving other C-suite.
[00:21:54.660 --> 00:21:58.000]   Hey, for sales, I need to put Salesforce in,
[00:21:58.000 --> 00:21:59.940]   for marketing, I may need to put Adobe in,
[00:21:59.940 --> 00:22:03.500]   for finance, SAP, I need to put for the CFO.
[00:22:03.500 --> 00:22:05.020]   We were the first platform,
[00:22:05.020 --> 00:22:07.540]   we said this is the CIO's platform.
[00:22:07.540 --> 00:22:09.720]   So if you say that CIO is your buyer,
[00:22:09.720 --> 00:22:12.900]   and you want access to the CIO,
[00:22:12.900 --> 00:22:14.540]   there is no better company to partner with
[00:22:14.540 --> 00:22:16.020]   than ServiceNow, right?
[00:22:16.020 --> 00:22:19.120]   The two companies that really sell to CIO well
[00:22:19.120 --> 00:22:20.980]   is ServiceNow and Microsoft.
[00:22:20.980 --> 00:22:23.420]   These are the two companies that sell really well.
[00:22:23.420 --> 00:22:26.260]   - Brilliant.
[00:22:26.260 --> 00:22:28.020]   I'm sure quite a few people in this room
[00:22:28.020 --> 00:22:31.260]   are interested in that $1 billion of cloud spend.
[00:22:31.260 --> 00:22:32.900]   All right, we've got time for,
[00:22:32.900 --> 00:22:36.060]   I'd say, let's say three to four questions.
[00:22:36.060 --> 00:22:37.540]   Michelle, hello.
[00:22:37.540 --> 00:22:39.180]   - Thanks, Vijay.
[00:22:39.180 --> 00:22:41.700]   Many of us have dreams of an Act Two.
[00:22:41.700 --> 00:22:44.420]   Some of us might already be thinking about Act Two
[00:22:44.420 --> 00:22:45.940]   in terms of a product,
[00:22:45.940 --> 00:22:49.060]   any advice in the early days of how you think
[00:22:49.060 --> 00:22:52.460]   about resourcing and philosophy around experimentation
[00:22:52.460 --> 00:22:56.820]   versus intentional bets around Act Two's product development?
[00:22:56.820 --> 00:22:57.660]   - Correct.
[00:22:57.660 --> 00:23:01.980]   So I will share a story that the reason
[00:23:01.980 --> 00:23:05.820]   our IPO was very mid is because
[00:23:05.820 --> 00:23:13.100]   people said that our TAM was only 1.8 billion.
[00:23:13.260 --> 00:23:16.300]   So one of the industry analysts said,
[00:23:16.300 --> 00:23:18.660]   "These guys are not gonna do well,
[00:23:18.660 --> 00:23:20.780]   "and their TAM is limited."
[00:23:20.780 --> 00:23:23.220]   Same thing happened to many, many companies
[00:23:23.220 --> 00:23:26.140]   where people say, "I don't know if the TAM is there."
[00:23:26.140 --> 00:23:30.140]   So for us, that actually created a chip on our shoulder
[00:23:30.140 --> 00:23:32.340]   because we believed that the TAM for ServiceNow
[00:23:32.340 --> 00:23:36.180]   was a lot bigger than what the industry analyst community
[00:23:36.180 --> 00:23:38.820]   said it was, which was sub-2 billion, okay?
[00:23:38.820 --> 00:23:41.460]   And this was in 2012, not too long ago.
[00:23:41.460 --> 00:23:45.780]   So one thing is on your core, core being core,
[00:23:45.780 --> 00:23:48.780]   you really, really have to understand what is the TAM,
[00:23:48.780 --> 00:23:51.580]   which is an art combined with science,
[00:23:51.580 --> 00:23:55.000]   before you start saying, "I wanna go multi-product.
[00:23:55.000 --> 00:23:56.820]   "I wanna go now to different buyers
[00:23:56.820 --> 00:23:58.740]   "or the same buyer, but multi-products,"
[00:23:58.740 --> 00:24:00.940]   whatever the strategy you wanna go after
[00:24:00.940 --> 00:24:04.220]   with the buyer access, but the core has to be core.
[00:24:04.220 --> 00:24:06.540]   The reason you exist is for something.
[00:24:06.540 --> 00:24:08.460]   You try to solve a problem.
[00:24:08.460 --> 00:24:11.540]   So really understand the TAM behind that core
[00:24:11.540 --> 00:24:15.580]   and then figure out, before you go into the next act,
[00:24:15.580 --> 00:24:17.780]   why are you really going after that next act?
[00:24:17.780 --> 00:24:22.780]   So we prevented going after the next act
[00:24:22.780 --> 00:24:25.940]   till we hit one billion in ARR.
[00:24:25.940 --> 00:24:27.740]   And then overnight, we flipped it,
[00:24:27.740 --> 00:24:29.220]   and we said, "We are gonna go after these three
[00:24:29.220 --> 00:24:31.960]   "buying centers, security, HR, and customer service,
[00:24:31.960 --> 00:24:35.640]   "in addition to IT, and here is the go-to market for it,
[00:24:35.640 --> 00:24:37.140]   "here is the buyer for it,
[00:24:37.140 --> 00:24:38.500]   "and we are gonna rely on CIO
[00:24:38.500 --> 00:24:40.220]   "to make introduction to those buyers,"
[00:24:40.220 --> 00:24:42.120]   because we nailed the CIO.
[00:24:42.120 --> 00:24:44.220]   So core has to be core,
[00:24:44.220 --> 00:24:46.260]   and you really have to understand the TAM
[00:24:46.260 --> 00:24:48.500]   before you say, "I'm now taking,"
[00:24:48.500 --> 00:24:50.640]   because it's so easy to say,
[00:24:50.640 --> 00:24:55.020]   "Oh, typical thing I hear from entrepreneurs,
[00:24:55.020 --> 00:24:57.160]   "CEOs, smart people like yourself,
[00:24:57.160 --> 00:25:00.220]   "hey, we have a great product,
[00:25:00.220 --> 00:25:02.360]   "but I don't have a great sales team."
[00:25:02.360 --> 00:25:07.360]   And then they flip constantly chief revenue officer, right?
[00:25:07.360 --> 00:25:10.480]   They do, some of you probably do.
[00:25:10.480 --> 00:25:14.080]   And I always, when I'm asked for advice,
[00:25:14.080 --> 00:25:17.000]   which rarely happens, but when I'm asked for advice,
[00:25:17.000 --> 00:25:21.680]   I say, "What problem are you really trying to solve?
[00:25:21.680 --> 00:25:23.460]   "Is it the chief revenue officer,
[00:25:23.460 --> 00:25:27.060]   "or you really don't know what product you are building?"
[00:25:27.060 --> 00:25:29.880]   So that focus, that maniacal focus
[00:25:29.880 --> 00:25:31.720]   on main thing being the main thing,
[00:25:31.720 --> 00:25:33.640]   and what is the TAM really in there,
[00:25:33.640 --> 00:25:36.360]   before you pivot, or before you go to second act,
[00:25:36.360 --> 00:25:37.840]   is something that we look out for.
[00:25:37.840 --> 00:25:38.720]   So that's what we learned.
[00:25:38.720 --> 00:25:40.800]   We said main thing should be the main thing
[00:25:40.800 --> 00:25:42.400]   till it hits billion,
[00:25:42.400 --> 00:25:44.680]   before we go to the three other things.
[00:25:44.680 --> 00:25:48.840]   - Any Sequoia company can discuss
[00:25:48.840 --> 00:25:53.200]   act two after a billion of ARR, is what I'm hearing.
[00:25:53.200 --> 00:25:55.640]   And I think a very powerful insight there, CJ,
[00:25:55.640 --> 00:25:57.560]   when we get the next question set up,
[00:25:57.560 --> 00:25:59.960]   is just the power of the CIO.
[00:25:59.960 --> 00:26:01.800]   I think a lot of people overlook that,
[00:26:01.800 --> 00:26:04.600]   that HR and security would look to them.
[00:26:04.600 --> 00:26:05.640]   Charlie.
[00:26:05.640 --> 00:26:07.200]   - I have a question, which is just,
[00:26:07.200 --> 00:26:11.000]   ServiceNow is a broad platform with many capabilities.
[00:26:11.000 --> 00:26:13.360]   You have other ways you interface with customers,
[00:26:13.360 --> 00:26:14.720]   like customer support.
[00:26:14.720 --> 00:26:16.800]   How do you think about prioritizing
[00:26:16.800 --> 00:26:18.620]   where you want to integrate AI?
[00:26:18.620 --> 00:26:24.520]   - So, it has been hard in figuring out
[00:26:24.520 --> 00:26:28.320]   where AI could truly disrupt a use case, right?
[00:26:28.320 --> 00:26:30.240]   Because that's always the hardest thing,
[00:26:30.240 --> 00:26:32.200]   because it's still very bleeding edge.
[00:26:32.200 --> 00:26:36.600]   And on the buyer side, if you're talking to a large bank,
[00:26:36.600 --> 00:26:39.280]   if you're talking to a large government, right?
[00:26:39.280 --> 00:26:42.760]   And I'll share one story on this.
[00:26:42.760 --> 00:26:47.760]   So US public sector, which is federal, state and local, okay?
[00:26:47.760 --> 00:26:51.440]   You have to invest a lot in US public sector
[00:26:51.440 --> 00:26:53.760]   for certification of your product.
[00:26:53.760 --> 00:26:57.240]   The cloud, you know, Microsoft has regions
[00:26:57.240 --> 00:26:59.400]   for IL-5, IL-6.
[00:26:59.400 --> 00:27:02.200]   So our chief revenue officer came to me and said,
[00:27:02.200 --> 00:27:05.440]   "We want to go all in on US public sector."
[00:27:05.440 --> 00:27:06.520]   And I said, "Okay."
[00:27:06.520 --> 00:27:11.520]   And we had to invest 100 million plus in infra
[00:27:11.520 --> 00:27:14.220]   before we can start really making money
[00:27:14.220 --> 00:27:15.880]   in US public sector.
[00:27:15.880 --> 00:27:19.760]   And now, whether it's US Army, US Navy, Air Force,
[00:27:19.760 --> 00:27:23.600]   to all public sector institution, even on civilian side,
[00:27:23.600 --> 00:27:26.560]   are all ServiceNow wall-to-wall customers.
[00:27:26.560 --> 00:27:29.400]   And coming back to the question,
[00:27:29.400 --> 00:27:33.200]   we always try to figure out the pain point
[00:27:33.200 --> 00:27:36.880]   and can AI really disrupt that use case
[00:27:36.880 --> 00:27:40.520]   in a positive way that customers gets higher value
[00:27:40.520 --> 00:27:41.960]   from ServiceNow.
[00:27:41.960 --> 00:27:44.040]   So if I infuse AI in a use case,
[00:27:44.040 --> 00:27:46.600]   because not all use cases are created equal, right?
[00:27:46.600 --> 00:27:48.960]   You have a product for multiple use cases.
[00:27:48.960 --> 00:27:51.160]   Not all use cases are created equal,
[00:27:51.160 --> 00:27:55.080]   but which use case will really provide higher value?
[00:27:55.080 --> 00:27:57.680]   Because when customers spend money on you,
[00:27:57.680 --> 00:28:00.160]   all they are looking for is how much value
[00:28:00.160 --> 00:28:02.040]   I'm gonna get out of this investment.
[00:28:02.040 --> 00:28:06.800]   And that software ROIC, including AI ROIC, is hard.
[00:28:06.800 --> 00:28:10.560]   Like right now, we are trying to tell everybody that,
[00:28:10.560 --> 00:28:14.180]   okay, we have gen AI infused in ServiceNow products.
[00:28:14.180 --> 00:28:17.200]   Number one question is, how much will it cost?
[00:28:17.200 --> 00:28:18.760]   And what's the return I'm gonna get?
[00:28:18.760 --> 00:28:21.200]   And if you're not doing outcome-based selling,
[00:28:21.200 --> 00:28:23.840]   so if you're not doing outcome-based selling,
[00:28:23.840 --> 00:28:26.240]   it's like you are another guy coming in there
[00:28:26.240 --> 00:28:29.120]   and giving the AI pitch to the customer.
[00:28:29.120 --> 00:28:31.260]   And truth is, nobody gives a shit.
[00:28:31.260 --> 00:28:32.140]   I mean, they don't.
[00:28:32.140 --> 00:28:35.320]   Because you have to be very, very clear and specific
[00:28:35.320 --> 00:28:39.140]   on here is where you will get the ROIC on that.
[00:28:39.140 --> 00:28:42.140]   So wherever the highest ROIC is, that's where we prioritize.
[00:28:42.140 --> 00:28:45.100]   That customers can say, okay, I could see,
[00:28:45.100 --> 00:28:47.280]   if CJ is saying $10 million productivity
[00:28:47.280 --> 00:28:50.200]   for this large bank, most likely,
[00:28:50.200 --> 00:28:52.160]   because if CJ is gonna be $3 million,
[00:28:52.160 --> 00:28:54.440]   but $3 million is still better than zero.
[00:28:54.440 --> 00:28:55.280]   Yeah?
[00:28:55.280 --> 00:28:57.800]   - Andy.
[00:28:57.800 --> 00:29:02.120]   - You have such a close understanding of what the CIO wants.
[00:29:02.120 --> 00:29:02.960]   - Yeah.
[00:29:02.960 --> 00:29:08.940]   - Beyond HR support services, security, IT,
[00:29:08.940 --> 00:29:11.560]   what's the next set of use cases
[00:29:11.560 --> 00:29:13.480]   that the CIO is super excited about
[00:29:13.480 --> 00:29:17.200]   beyond what ServiceNow is currently harvesting?
[00:29:17.200 --> 00:29:20.040]   - Yeah, I would say, if you think,
[00:29:20.040 --> 00:29:22.120]   and one thing you all should know,
[00:29:22.120 --> 00:29:25.520]   this is what I learned, is in my seven years
[00:29:25.520 --> 00:29:29.440]   at ServiceNow, they constantly told me
[00:29:29.440 --> 00:29:34.440]   about CIO being chief irrelevant officer, okay?
[00:29:34.440 --> 00:29:38.040]   And they said, all the power is with developers.
[00:29:38.040 --> 00:29:41.200]   And CJ, you are selling to the wrong door.
[00:29:41.200 --> 00:29:45.240]   You need to be like other people and sell to developers.
[00:29:45.240 --> 00:29:48.960]   Yes, developers will buy X, Y, Z, all that is fine.
[00:29:48.960 --> 00:29:53.960]   But the irrelevancy of CIO has been exaggerated.
[00:29:53.960 --> 00:29:58.160]   And right now, CIO is the most technical person
[00:29:58.160 --> 00:30:01.920]   on a C-suite at most of the large companies
[00:30:01.920 --> 00:30:04.240]   which are your buyers, right?
[00:30:04.240 --> 00:30:06.640]   You may have a CTO, the product person, right?
[00:30:06.640 --> 00:30:09.320]   The product tech person, and you have the CIO.
[00:30:09.320 --> 00:30:11.840]   But product tech person is focused on innovation,
[00:30:11.840 --> 00:30:14.040]   not about what they will buy from you.
[00:30:14.040 --> 00:30:16.120]   So coming back to CIO's irrelevance,
[00:30:16.120 --> 00:30:20.040]   has been exaggerated and over-exaggerated year after year.
[00:30:20.040 --> 00:30:23.880]   And now, we mainly sell to Fortune 500.
[00:30:23.880 --> 00:30:28.120]   In Fortune 500, the CEOs are only asking CIOs,
[00:30:28.120 --> 00:30:30.080]   give us the AI roadmap, give us this,
[00:30:30.080 --> 00:30:31.040]   give us that, and so on.
[00:30:31.040 --> 00:30:34.000]   So that's number one, that CIO is still very relevant
[00:30:34.000 --> 00:30:36.360]   and very important, okay?
[00:30:36.360 --> 00:30:38.120]   It's not that developers are not,
[00:30:38.120 --> 00:30:40.160]   but if you're selling to developers,
[00:30:40.160 --> 00:30:43.200]   I mean, I was one, very fickle people, right?
[00:30:43.200 --> 00:30:46.920]   They churn and sell thing, and someday they like this,
[00:30:46.920 --> 00:30:49.560]   and I read this on frickin' Reddit, and now I like this.
[00:30:49.560 --> 00:30:50.400]   (audience laughing)
[00:30:50.400 --> 00:30:53.000]   That's a hard thing to sell.
[00:30:53.000 --> 00:30:58.000]   So CIOs right now, with the state of economy today,
[00:30:58.000 --> 00:31:02.540]   are focused on two main things.
[00:31:02.540 --> 00:31:06.200]   One, where can I take out the cost,
[00:31:06.200 --> 00:31:09.360]   just enterprise-wide using technology?
[00:31:09.360 --> 00:31:11.240]   So where can I take out the cost?
[00:31:11.240 --> 00:31:16.240]   And second, how can I help in the path to revenue?
[00:31:16.240 --> 00:31:18.360]   If I can help on the path to revenue,
[00:31:18.360 --> 00:31:19.840]   whether it's quote to cash,
[00:31:19.840 --> 00:31:23.320]   or whether it's any part of the sales,
[00:31:23.320 --> 00:31:27.000]   front end or front office, CIO is constant.
[00:31:27.000 --> 00:31:29.320]   Like today, I'll tell you at ServiceNow,
[00:31:29.320 --> 00:31:32.160]   it still takes us a time when we propose
[00:31:32.160 --> 00:31:34.440]   a bill of material to a customer,
[00:31:34.440 --> 00:31:37.120]   and customer says, well, I want to change quantity here,
[00:31:37.120 --> 00:31:40.800]   quantity there, then we have to re-spin the order form,
[00:31:40.800 --> 00:31:44.100]   make sure it's in SAP, make sure it's in our CPQ system.
[00:31:44.100 --> 00:31:46.200]   That process is still three, four hours sometimes,
[00:31:46.200 --> 00:31:47.120]   and at the end of quarter,
[00:31:47.120 --> 00:31:49.200]   three, four hours feels like eternity.
[00:31:49.200 --> 00:31:52.800]   So how can we do that fast?
[00:31:52.800 --> 00:31:54.960]   Well, CIOs right now are the two.
[00:31:54.960 --> 00:31:59.380]   The CFO and CRO are their biggest stakeholder,
[00:31:59.380 --> 00:32:02.100]   and if your product is in path to that,
[00:32:02.100 --> 00:32:04.300]   you'll always get that CIO meeting.
[00:32:04.300 --> 00:32:06.320]   But you have to make it really quick,
[00:32:06.320 --> 00:32:09.960]   because I talk to seven, eight CIOs a day,
[00:32:09.960 --> 00:32:12.840]   and that's what I constantly see on the pattern matching.
[00:32:12.840 --> 00:32:17.000]   - Excellent, we have time for one more question, Peter.
[00:32:17.000 --> 00:32:19.840]   - All right, you talked a lot about use cases.
[00:32:19.840 --> 00:32:22.080]   I'm curious if you have any stories of use cases
[00:32:22.080 --> 00:32:23.780]   with AI that worked really well,
[00:32:23.780 --> 00:32:26.720]   and use cases with AI that really did not work at all.
[00:32:26.720 --> 00:32:30.080]   - Yeah, so one of the things I would say,
[00:32:30.080 --> 00:32:36.600]   trying to read documents and understand documents,
[00:32:37.120 --> 00:32:41.000]   which is accounts payable, invoices, and this and that,
[00:32:41.000 --> 00:32:43.800]   it is still very hard for AI to crack that,
[00:32:43.800 --> 00:32:47.280]   and we have tried multiple different ways,
[00:32:47.280 --> 00:32:50.300]   and people talk about OCR and this and that,
[00:32:50.300 --> 00:32:55.160]   and that is a junkyard of technologies that we have tried
[00:32:55.160 --> 00:32:56.860]   and not been able to crack through,
[00:32:56.860 --> 00:32:59.800]   because if you can automate the paperwork,
[00:32:59.800 --> 00:33:02.000]   invoice matching, and other things,
[00:33:02.000 --> 00:33:04.560]   there is still a lot of dollars to be had on productivity,
[00:33:04.560 --> 00:33:06.760]   on booking the revenue, and so on.
[00:33:06.760 --> 00:33:10.400]   Where we have seen the most is simple things
[00:33:10.400 --> 00:33:15.280]   like predicting X for our use cases,
[00:33:15.280 --> 00:33:16.760]   specifically for our use cases.
[00:33:16.760 --> 00:33:20.100]   So for example, say a large bank.
[00:33:20.100 --> 00:33:23.360]   Their policy is that if you use your computer,
[00:33:23.360 --> 00:33:25.320]   every three years you can refresh your computer,
[00:33:25.320 --> 00:33:26.140]   say your Mac.
[00:33:26.140 --> 00:33:29.160]   We can do that now with AI, and we can say,
[00:33:29.160 --> 00:33:32.680]   "Hey, Julie, you're four months away
[00:33:32.680 --> 00:33:36.040]   "from your entitled computer refresh,
[00:33:36.040 --> 00:33:38.220]   "and we have already notified IT,
[00:33:38.220 --> 00:33:40.480]   "and you will get your new computer on that third,"
[00:33:40.480 --> 00:33:43.240]   so the depreciation and all those schedules work,
[00:33:43.240 --> 00:33:45.560]   and say yes if you agree,
[00:33:45.560 --> 00:33:47.120]   because we still want human in the loop,
[00:33:47.120 --> 00:33:49.080]   because nobody likes.
[00:33:49.080 --> 00:33:51.980]   So far, companies don't like if we just make the decision.
[00:33:51.980 --> 00:33:55.160]   That's where we see that when we see the pattern matching
[00:33:55.160 --> 00:33:58.040]   and can we predict better and make it easy
[00:33:58.040 --> 00:33:59.940]   is where we are seeing the highest leverage
[00:33:59.940 --> 00:34:01.360]   on even generative AI.
[00:34:01.360 --> 00:34:03.720]   - Amazing.
[00:34:03.720 --> 00:34:05.400]   CJ, this is fabulous.
[00:34:05.400 --> 00:34:07.880]   I wanna tie together some findings here.
[00:34:07.880 --> 00:34:11.320]   Really, this is unique in that we had two separate areas.
[00:34:11.320 --> 00:34:12.920]   First is application layer.
[00:34:12.920 --> 00:34:14.760]   We've been talking about this throughout the day,
[00:34:14.760 --> 00:34:16.160]   and here's someone who has done it
[00:34:16.160 --> 00:34:19.360]   incredibly successfully at massive scale.
[00:34:19.360 --> 00:34:21.880]   You talked about who's the buyer,
[00:34:21.880 --> 00:34:23.920]   what is the size of the prize,
[00:34:23.920 --> 00:34:25.800]   and who are you competing against,
[00:34:25.800 --> 00:34:27.720]   and also the overlooked customer.
[00:34:27.720 --> 00:34:30.720]   In this case, the chief irrelevant officer.
[00:34:30.720 --> 00:34:33.360]   You said that really actually is incredibly powerful.
[00:34:33.360 --> 00:34:36.440]   I'll tell a quick story, which is at dinner with you
[00:34:36.440 --> 00:34:38.880]   and Bill from ServiceNow a little while ago,
[00:34:38.880 --> 00:34:41.360]   you guys said to me, hey, you get to a building,
[00:34:41.360 --> 00:34:44.480]   you go to the elevator, what floor do you go to?
[00:34:44.480 --> 00:34:46.100]   I said, I don't know, what floor?
[00:34:46.100 --> 00:34:47.440]   The top.
[00:34:47.440 --> 00:34:49.700]   Okay, great, you get off at the top floor.
[00:34:49.700 --> 00:34:51.040]   Where do you go from there?
[00:34:51.040 --> 00:34:53.240]   Bathroom?
[00:34:53.240 --> 00:34:55.220]   No, the corner.
[00:34:55.220 --> 00:34:56.640]   That's the person who's the buyer,
[00:34:56.640 --> 00:34:59.400]   and that seems like it permeates your mentality.
[00:34:59.400 --> 00:35:03.380]   And two, actually focusing on the customer.
[00:35:03.380 --> 00:35:05.920]   Each of you in this room, if you succeed,
[00:35:05.920 --> 00:35:08.720]   will try to sell to the likes of ServiceNow,
[00:35:08.720 --> 00:35:11.480]   a billion dollar cloud spend business.
[00:35:11.480 --> 00:35:13.480]   And you gave us a great guide here with AI.
[00:35:13.480 --> 00:35:15.720]   For you, you're looking at small language models,
[00:35:15.720 --> 00:35:17.040]   not just the biggest ones.
[00:35:17.040 --> 00:35:18.240]   You're looking at cost.
[00:35:18.240 --> 00:35:19.720]   You're looking at open source.
[00:35:19.720 --> 00:35:21.360]   1% gross margin matters to you.
[00:35:21.360 --> 00:35:23.800]   That's how you build an 82% gross margin,
[00:35:23.800 --> 00:35:25.540]   160 billion dollar business,
[00:35:25.540 --> 00:35:27.880]   and actually understand the customer.
[00:35:27.880 --> 00:35:30.000]   Don't just go to the marketing website
[00:35:30.000 --> 00:35:32.560]   and try to guess what ServiceNow does.
[00:35:32.560 --> 00:35:34.040]   Talk to people who've built it.
[00:35:34.040 --> 00:35:35.160]   This is fabulous.
[00:35:35.160 --> 00:35:37.160]   CJ, any parting words for the team?
[00:35:37.160 --> 00:35:38.600]   - Nothing, it was a pleasure,
[00:35:38.600 --> 00:35:42.160]   and I'm always around if you want any words of wisdom.
[00:35:42.160 --> 00:35:44.780]   I've made a lot of mistakes as well, too many,
[00:35:44.780 --> 00:35:48.320]   in terms of scaling ServiceNow.
[00:35:48.320 --> 00:35:50.680]   From a product perspective, engineering perspective,
[00:35:50.680 --> 00:35:53.120]   which use cases you prioritize, which you don't,
[00:35:53.120 --> 00:35:54.620]   how do you ring fence the team
[00:35:54.620 --> 00:35:56.560]   when you go for the second act,
[00:35:56.560 --> 00:35:58.920]   and really, really get focused?
[00:35:58.920 --> 00:36:01.160]   So, lots of mistakes as well,
[00:36:01.160 --> 00:36:02.560]   but we are constantly learning.
[00:36:02.560 --> 00:36:03.400]   - Fabulous.
[00:36:03.400 --> 00:36:04.240]   CJ, one last question for you.
[00:36:04.240 --> 00:36:06.560]   Will you do stand-up for us later on tonight?
[00:36:06.560 --> 00:36:08.440]   - No, I will not do stand-up today.
[00:36:08.440 --> 00:36:12.040]   It's my stand-up when I used to do it.
[00:36:12.040 --> 00:36:13.880]   Nowadays, I'll get canceled very fast,
[00:36:13.880 --> 00:36:17.080]   and Bill will not appreciate that, so I will not do it.
[00:36:17.080 --> 00:36:17.920]   - Well, there we go.
[00:36:17.920 --> 00:36:18.740]   That one's off record.
[00:36:18.740 --> 00:36:19.580]   Thank you, CJ.
[00:36:19.580 --> 00:36:20.420]   - Thank you.
[00:36:20.420 --> 00:36:23.420]   (audience applauds)
[00:36:23.420 --> 00:36:26.000]   (upbeat music)
[00:36:26.000 --> 00:36:28.580]   (upbeat music)
[00:36:28.580 --> 00:36:38.580]   [BLANK_AUDIO]

