
[00:00:00.000 --> 00:00:05.840]   (applause)
[00:16:36.780 --> 00:16:39.660]   Aesop's Fables, you've got ants and grasshoppers,
[00:16:39.660 --> 00:16:40.320]   right?
[00:16:40.320 --> 00:16:42.360]   The ants are preparing for the winter.
[00:16:42.360 --> 00:16:44.500]   The grasshopper is out having fun.
[00:16:44.500 --> 00:16:47.200]   I think a lot of bogleheads tend to be ants.
[00:16:47.200 --> 00:16:48.660]   And what the whole retirement world is
[00:16:48.660 --> 00:16:51.060]   telling you is you've been an ant your whole life.
[00:16:51.060 --> 00:16:52.440]   You're not supposed to flip a switch at
[00:16:52.440 --> 00:16:55.340]   retirement and become a grasshopper and enjoy
[00:16:55.340 --> 00:16:56.000]   yourself.
[00:16:56.000 --> 00:16:58.200]   And you're supposed to spend more money.
[00:16:58.200 --> 00:17:00.080]   And that can be hard if you're fundamentally
[00:17:00.080 --> 00:17:00.740]   frugal.
[00:17:00.740 --> 00:17:04.340]   You don't necessarily get satisfaction out of just
[00:17:04.340 --> 00:17:06.180]   spending more money just because you can.
[00:17:06.240 --> 00:17:08.620]   So, part of it is just recognizing what your
[00:17:08.620 --> 00:17:10.780]   lifestyle is and if you're comfortable spending
[00:17:10.780 --> 00:17:11.960]   what you're spending.
[00:17:11.960 --> 00:17:14.060]   Just because you could spend more doesn't
[00:17:14.060 --> 00:17:16.360]   necessarily mean you have to spend more.
[00:17:16.360 --> 00:17:18.320]   But the other angle of that, too, I think one of
[00:17:18.320 --> 00:17:20.900]   the big drivers of this idea that people are
[00:17:20.900 --> 00:17:24.640]   worried about spending money relates to this
[00:17:24.640 --> 00:17:26.900]   health care concern or long-term care concern.
[00:17:26.900 --> 00:17:29.940]   It's like I'm worried I can't spend my money
[00:17:29.940 --> 00:17:31.900]   because I'm worried I may need it for a big
[00:17:31.900 --> 00:17:33.800]   nursing home stay in the future.
[00:17:33.880 --> 00:17:36.120]   And I think the way to help with that
[00:17:36.120 --> 00:17:39.360]   consideration is I like to talk about assets as
[00:17:39.360 --> 00:17:42.300]   reliable income, diversified portfolio, and
[00:17:42.300 --> 00:17:43.960]   reserve assets.
[00:17:43.960 --> 00:17:47.140]   And reserve assets are what you have that's not
[00:17:47.140 --> 00:17:49.840]   been earmarked to something else.
[00:17:49.840 --> 00:17:51.360]   And so, if you can kind of work through this and
[00:17:51.360 --> 00:17:54.640]   say, well, I do have a home or I do have some
[00:17:54.640 --> 00:17:56.340]   surplus assets over here.
[00:17:56.340 --> 00:17:59.480]   I do have something that I can call reserves that if
[00:17:59.480 --> 00:18:02.780]   I do have a significant long-term care shock,
[00:18:02.840 --> 00:18:05.240]   I'll be able to use that to help fund the
[00:18:05.240 --> 00:18:06.640]   long-term care need.
[00:18:06.640 --> 00:18:08.980]   If you can actually picture that in your mind,
[00:18:08.980 --> 00:18:10.880]   that may be a way to make it easier to then go
[00:18:10.880 --> 00:18:12.920]   ahead and spend some of those assets because
[00:18:12.920 --> 00:18:15.120]   you're not like overwhelmed by I've got
[00:18:15.120 --> 00:18:17.120]   this one pot of assets that I need to use for
[00:18:17.120 --> 00:18:18.760]   everything and I'm worried about spending it.
[00:18:18.760 --> 00:18:21.420]   You can say there's some reserve assets on the
[00:18:21.420 --> 00:18:24.100]   side that can help manage that type of spending shock.
[00:18:24.100 --> 00:18:25.940]   >> Sounds like a bucket.
[00:18:25.940 --> 00:18:29.940]   I want to stick with the long-term care question
[00:18:29.940 --> 00:18:32.240]   because I had it last in my queue, but since Wade
[00:18:32.300 --> 00:18:35.100]   brought it up, I would like to hear from the
[00:18:35.100 --> 00:18:39.280]   panel about how they think people should address the
[00:18:39.280 --> 00:18:40.420]   long-term care risk.
[00:18:40.420 --> 00:18:42.620]   So, Wade just referenced the idea of having a
[00:18:42.620 --> 00:18:45.920]   separate silo of assets that you could use.
[00:18:45.920 --> 00:18:48.320]   I'm guessing that probably a lot of folks in this
[00:18:48.320 --> 00:18:51.400]   room have gone that route, the self-funding route.
[00:18:51.400 --> 00:18:54.300]   But I'd like to hear the panel's thoughts on
[00:18:54.300 --> 00:18:58.260]   insurance products, specifically the hybrid
[00:18:58.260 --> 00:18:59.040]   type products.
[00:18:59.040 --> 00:19:01.040]   And one of the most compelling arguments I've
[00:19:01.100 --> 00:19:06.440]   heard in favor of them is Carolyn McClanahan made
[00:19:06.440 --> 00:19:08.800]   the point to me that families that she's known
[00:19:08.800 --> 00:19:11.880]   who have had hybrid long-term care life
[00:19:11.880 --> 00:19:18.120]   policies have been more able to use the benefit
[00:19:18.120 --> 00:19:21.520]   than they would feel to spend on long-term care,
[00:19:21.520 --> 00:19:24.460]   that they would have been reluctant to invade their
[00:19:24.460 --> 00:19:26.760]   portfolio to get the care that they needed, which I
[00:19:26.760 --> 00:19:28.660]   thought sounded like a pretty compelling argument.
[00:19:28.720 --> 00:19:34.800]   Yeah, so certainly you want to look at your total
[00:19:34.800 --> 00:19:37.320]   assets and figure out, is it reasonable for you to
[00:19:37.320 --> 00:19:38.560]   self-fund or not?
[00:19:38.560 --> 00:19:40.560]   And the folks that I work with, sometimes they've
[00:19:40.560 --> 00:19:42.740]   got way more money they can possibly ever spend,
[00:19:42.740 --> 00:19:45.360]   especially if they're the aunts who have trouble
[00:19:45.360 --> 00:19:47.640]   moving to that grasshopper stage of life.
[00:19:47.640 --> 00:19:49.100]   And so, for them, self-funding can be
[00:19:49.100 --> 00:19:49.780]   reasonable.
[00:19:49.780 --> 00:19:53.300]   But one consideration there that I do want to add is
[00:19:53.300 --> 00:19:56.920]   that if you are going to self-fund for the
[00:19:56.920 --> 00:19:58.440]   possibility of long-term care, you want to think
[00:19:58.520 --> 00:20:00.520]   about investing appropriately.
[00:20:00.520 --> 00:20:02.260]   That's to say, hey, you might need long-term care
[00:20:02.260 --> 00:20:04.760]   tomorrow, so perhaps investing very
[00:20:04.760 --> 00:20:07.560]   aggressively with your portfolio isn't going to
[00:20:07.560 --> 00:20:09.900]   help you best self-fund.
[00:20:09.900 --> 00:20:12.000]   Alternatively, for those folks who don't have
[00:20:12.000 --> 00:20:15.240]   enough assets, long-term care insurance, as tough
[00:20:15.240 --> 00:20:18.800]   of a bullet as it might be to bite, it can help
[00:20:18.800 --> 00:20:19.500]   manage risk.
[00:20:19.500 --> 00:20:22.040]   I've got a bias towards managing risk, so using
[00:20:22.040 --> 00:20:24.100]   the right insurance product can help.
[00:20:24.100 --> 00:20:27.080]   Now, generally, I like a pure insurance product as
[00:20:27.140 --> 00:20:29.820]   opposed to a hybrid product because it's going
[00:20:29.820 --> 00:20:30.720]   to be a better deal.
[00:20:30.720 --> 00:20:33.420]   But if there's some, you know, human behavioral
[00:20:33.420 --> 00:20:36.060]   issues in there and it's, you know, don't buy that
[00:20:36.060 --> 00:20:39.180]   pure long-term care insurance or nothing at
[00:20:39.180 --> 00:20:41.760]   all or, you know, buy that hybrid product, then I
[00:20:41.760 --> 00:20:44.160]   guess I'll prefer the client buy the hybrid
[00:20:44.160 --> 00:20:46.220]   product in that situation.
[00:20:46.220 --> 00:20:51.540]   >> So insurance works best when it's a low
[00:20:51.540 --> 00:20:54.300]   probability but high-cost scenario we're trying to
[00:20:54.300 --> 00:20:55.640]   insure against.
[00:20:55.700 --> 00:20:59.140]   Long-term care is a high-cost scenario, but
[00:20:59.140 --> 00:21:02.340]   it's not a low probability event.
[00:21:02.340 --> 00:21:03.440]   That's the issue.
[00:21:03.440 --> 00:21:06.140]   It's very hard for traditional long-term
[00:21:06.140 --> 00:21:09.740]   care insurance to be affordable at a
[00:21:09.740 --> 00:21:12.060]   reasonable premium just because the odds of
[00:21:12.060 --> 00:21:14.060]   somebody actually using the benefits are
[00:21:14.060 --> 00:21:17.400]   relatively high, at least compared to other types of
[00:21:17.400 --> 00:21:18.820]   insurance out there.
[00:21:18.820 --> 00:21:21.100]   So there are the different hybrid options that
[00:21:21.100 --> 00:21:23.520]   combine either a life insurance or annuity with
[00:21:23.520 --> 00:21:25.300]   long-term care.
[00:21:25.360 --> 00:21:26.160]   They can work.
[00:21:26.160 --> 00:21:28.800]   Like, I'm not a big fan of them or necessarily I
[00:21:28.800 --> 00:21:29.700]   don't think they're a bad idea.
[00:21:29.700 --> 00:21:32.840]   But to the point you made, Christine, there can be
[00:21:32.840 --> 00:21:35.600]   value in at least having some sort of small policy
[00:21:35.600 --> 00:21:38.380]   in place, both for the reason you mentioned
[00:21:38.380 --> 00:21:40.620]   where a lot of times someone might be thinking
[00:21:40.620 --> 00:21:42.940]   of self-fund, but then when the time comes, they
[00:21:42.940 --> 00:21:45.220]   feel worried about spending their children's legacy
[00:21:45.220 --> 00:21:47.380]   or inheritance, and so they don't get the care
[00:21:47.380 --> 00:21:48.060]   that they need.
[00:21:48.060 --> 00:21:49.980]   And nobody's worried about spending the insurance
[00:21:49.980 --> 00:21:50.660]   company's money.
[00:21:50.660 --> 00:21:53.120]   So if you have the policy, at least it helps get
[00:21:53.200 --> 00:21:55.360]   you moved towards getting the care that you need.
[00:21:55.360 --> 00:21:57.440]   The other thing is also a lot of policies have a
[00:21:57.440 --> 00:22:00.340]   care coordination benefit where there will be a
[00:22:00.340 --> 00:22:02.980]   professional who will help you find the services
[00:22:02.980 --> 00:22:05.840]   you need, which may be otherwise very difficult
[00:22:05.840 --> 00:22:07.940]   because when you need long-term care, you're
[00:22:07.940 --> 00:22:09.680]   probably going to have a hard time figuring that
[00:22:09.680 --> 00:22:11.480]   out, what you need specifically, and it's a
[00:22:11.480 --> 00:22:14.320]   big burden for other family members as well.
[00:22:14.320 --> 00:22:16.120]   So having a care coordination benefit as
[00:22:16.120 --> 00:22:19.360]   part of a policy can help get you to the right
[00:22:19.360 --> 00:22:22.020]   institution, help get you the care you need, and
[00:22:22.100 --> 00:22:24.600]   help get you going down the road in a correct
[00:22:24.600 --> 00:22:27.540]   direction in a manner that's not burdening your
[00:22:27.540 --> 00:22:29.740]   family to such an extent.
[00:22:29.740 --> 00:22:34.180]   >> So going back to the self-funding folks, in
[00:22:34.180 --> 00:22:37.340]   terms of how to invest, John, you referenced
[00:22:37.340 --> 00:22:40.880]   that, but I'd like to talk about how big that fund
[00:22:40.880 --> 00:22:41.540]   should be.
[00:22:41.540 --> 00:22:44.980]   So say you're a married couple, how much you
[00:22:44.980 --> 00:22:48.420]   should set aside or a single person, and then
[00:22:48.480 --> 00:22:52.500]   also where to silo those long-term care assets?
[00:22:52.500 --> 00:22:55.400]   What's the best account type if I'm thinking of
[00:22:55.400 --> 00:22:58.660]   earmarking a portion of my portfolio for long-term
[00:22:58.660 --> 00:23:00.740]   care expenses that I'll pay out of pocket?
[00:23:00.740 --> 00:23:09.220]   >> As far as amount, that's going to depend
[00:23:09.220 --> 00:23:12.120]   significantly on where you live because the cost of
[00:23:12.120 --> 00:23:14.020]   long-term care is dramatically different
[00:23:14.080 --> 00:23:18.660]   from New York City to a more rural location.
[00:23:18.660 --> 00:23:20.420]   So that's what I would do.
[00:23:20.420 --> 00:23:22.720]   I would simply research what is the cost where I
[00:23:22.720 --> 00:23:26.660]   live and looking at studies, because there are
[00:23:26.660 --> 00:23:30.060]   studies, but also looking at specific facilities
[00:23:30.060 --> 00:23:32.600]   literally where you live, not just at the state
[00:23:32.600 --> 00:23:35.140]   level, but in your local area.
[00:23:35.140 --> 00:23:37.900]   And this is a facility that I could see myself
[00:23:37.900 --> 00:23:40.340]   living in, how much does it cost?
[00:23:40.340 --> 00:23:42.920]   Like that's the shopping we want to do, not just
[00:23:42.980 --> 00:23:47.220]   looking at, you know, a paper that somebody put out.
[00:23:47.220 --> 00:23:49.780]   As far as the account, that's a tricky one
[00:23:49.780 --> 00:23:53.520]   because we don't know when it's going to happen.
[00:23:53.520 --> 00:23:57.060]   So frankly, I don't, at least what I'm discussing
[00:23:57.060 --> 00:23:58.860]   this with clients, I don't treat it any
[00:23:58.860 --> 00:24:01.200]   differently than any other spending in that regard
[00:24:01.200 --> 00:24:05.340]   because the only way that we could make a very
[00:24:05.340 --> 00:24:07.800]   good decision is if we could predict exactly when
[00:24:07.800 --> 00:24:09.980]   you will need it, and we can't.
[00:24:10.040 --> 00:24:14.480]   So I don't separate out a separate portion and say
[00:24:14.480 --> 00:24:16.840]   this amount in this account is the long-term
[00:24:16.840 --> 00:24:17.520]   care bucket.
[00:24:17.520 --> 00:24:20.720]   I don't do that.
[00:24:20.720 --> 00:24:24.080]   >> Yeah, to echo Mike's point, insofar as, you
[00:24:24.080 --> 00:24:27.720]   know, this account is for this goal, et cetera, I
[00:24:27.720 --> 00:24:30.520]   don't necessarily do that because you can just buy
[00:24:30.520 --> 00:24:33.260]   whatever investment you've sold back from another
[00:24:33.260 --> 00:24:34.760]   account, so you don't necessarily have to do
[00:24:34.760 --> 00:24:37.500]   that compartmentalization.
[00:24:37.500 --> 00:24:39.840]   Insofar as the cost, you want to be looking at,
[00:24:39.900 --> 00:24:42.540]   you know, setting aside whatever amount to
[00:24:42.540 --> 00:24:44.680]   something that you might get for an equivalent
[00:24:44.680 --> 00:24:46.880]   benefit of purchasing a long-term care insurance
[00:24:46.880 --> 00:24:47.540]   policy.
[00:24:47.540 --> 00:24:49.340]   So if you're looking at maybe a $300,000
[00:24:49.340 --> 00:24:51.080]   long-term care insurance policy benefit that you
[00:24:51.080 --> 00:24:52.520]   would purchase, that wouldn't be an
[00:24:52.520 --> 00:24:55.320]   unreasonable amount to set aside.
[00:24:55.320 --> 00:24:57.060]   And then, touching a little bit more about that
[00:24:57.060 --> 00:25:00.500]   investing component, because you might need as
[00:25:00.500 --> 00:25:04.960]   much as $100,000 in that first year if you're in a
[00:25:05.020 --> 00:25:10.220]   moderately - insofar as the facilities of a
[00:25:10.220 --> 00:25:14.100]   long-term care facility, your portfolio should be
[00:25:14.100 --> 00:25:16.200]   not very aggressively invested, because if you
[00:25:16.200 --> 00:25:17.860]   have to take a $100,000 distribution, it's
[00:25:17.860 --> 00:25:20.100]   probably not a tiny part of your portfolio, and you
[00:25:20.100 --> 00:25:23.080]   don't want to be doing that during some poor
[00:25:23.080 --> 00:25:24.840]   market returns.
[00:25:24.840 --> 00:25:27.740]   So investing appropriately, relatively
[00:25:27.740 --> 00:25:29.480]   conservatively, if you're going to self-fund for
[00:25:29.480 --> 00:25:31.420]   at least that portion of your portfolio, it helps
[00:25:31.420 --> 00:25:33.320]   better ensure that money is going to be there when
[00:25:33.380 --> 00:25:37.320]   you need it.
[00:25:37.320 --> 00:25:39.320]   Can we go back to the ants and grasshoppers for just
[00:25:39.320 --> 00:25:39.980]   one second?
[00:25:39.980 --> 00:25:40.660]   Sure.
[00:25:40.660 --> 00:25:41.320]   Thank you.
[00:25:41.320 --> 00:25:45.460]   So this is something that people ask all the time,
[00:25:45.460 --> 00:25:47.720]   is, you know, I'm not comfortable spending for
[00:25:47.720 --> 00:25:48.760]   my portfolio.
[00:25:48.760 --> 00:25:51.960]   And relatedly, a question that I get a lot is just
[00:25:51.960 --> 00:25:53.160]   the "Can I retire?"
[00:25:53.160 --> 00:25:55.940]   question, and a lot of times, as soon as I dig
[00:25:55.940 --> 00:25:58.800]   into the math, you could have retired seven years
[00:25:58.800 --> 00:25:59.480]   ago.
[00:25:59.480 --> 00:26:00.140]   (Laughter.)
[00:26:00.140 --> 00:26:03.080]   And when that's the situation, that's - I
[00:26:03.140 --> 00:26:05.540]   mean, that is the bogal head prototype,
[00:26:05.540 --> 00:26:06.220]   honestly.
[00:26:06.220 --> 00:26:10.420]   Like, when that's the case, if you're still
[00:26:10.420 --> 00:26:14.420]   feeling anxiety about it, having somebody else tell
[00:26:14.420 --> 00:26:16.920]   you that, yes, you could retire, could help.
[00:26:16.920 --> 00:26:19.960]   But there's also a very real chance that what's
[00:26:19.960 --> 00:26:23.760]   going on here is not about your portfolio, right?
[00:26:23.760 --> 00:26:25.700]   It's about something inside you.
[00:26:25.700 --> 00:26:29.460]   And so, I mean, I mentioned this in my most
[00:26:29.460 --> 00:26:31.380]   recent book, and I didn't know how people would
[00:26:31.440 --> 00:26:33.840]   receive it, but it's gone over well, so I'll say it
[00:26:33.840 --> 00:26:38.780]   here, too, and that is mental health care is a
[00:26:38.780 --> 00:26:39.840]   good thing, right?
[00:26:39.840 --> 00:26:41.140]   I mean, I've been through counseling.
[00:26:41.140 --> 00:26:42.840]   Most of my loved ones have, too.
[00:26:42.840 --> 00:26:44.320]   It's very valuable.
[00:26:44.320 --> 00:26:47.920]   And if you're feeling intense anxiety, and
[00:26:47.920 --> 00:26:52.060]   there's simply nothing in your finances that should
[00:26:52.060 --> 00:26:54.260]   be causing you anxiety because you've really got
[00:26:54.260 --> 00:26:56.300]   these things taken care of from a purely financial
[00:26:56.300 --> 00:26:59.260]   point of view, looking into mental health care is a
[00:26:59.260 --> 00:26:59.940]   good idea.
[00:27:00.000 --> 00:27:02.160]   And people are scared about it.
[00:27:02.160 --> 00:27:05.440]   And I will tell you, it is a low-risk proposition
[00:27:05.440 --> 00:27:07.780]   because you're going to spend about one hour.
[00:27:07.780 --> 00:27:11.280]   The person is being paid to be nice to you, and
[00:27:11.280 --> 00:27:11.940]   that's it.
[00:27:11.940 --> 00:27:13.480]   It doesn't cost that much for one session.
[00:27:13.480 --> 00:27:16.840]   So, if that's a thing, a situation you're in, the
[00:27:16.840 --> 00:27:19.220]   solution frequently is not a financial solution.
[00:27:19.220 --> 00:27:20.660]   It's something else.
[00:27:20.660 --> 00:27:21.720]   That's good advice, Mike.
[00:27:21.720 --> 00:27:22.380]   Thank you.
[00:27:22.380 --> 00:27:25.560]   I wanted to, Mike, go back to your book more than
[00:27:25.560 --> 00:27:28.460]   enough because you and I had a conversation about
[00:27:28.520 --> 00:27:32.260]   that, and we talked about this idea of sort of
[00:27:32.260 --> 00:27:33.160]   consumption.
[00:27:33.160 --> 00:27:35.600]   People hear that they should be spending more,
[00:27:35.600 --> 00:27:38.440]   and it doesn't have to be on themselves.
[00:27:38.440 --> 00:27:41.200]   And you made the point that it can make a bigger
[00:27:41.200 --> 00:27:44.840]   impact on kids for them to inherit some money from
[00:27:44.840 --> 00:27:49.140]   you when they're younger, when they're launching,
[00:27:49.140 --> 00:27:51.320]   when they're buying their first home or trying to
[00:27:51.320 --> 00:27:53.080]   decide whether to go back to grad school.
[00:27:53.080 --> 00:27:54.140]   Can you expand on that?
[00:27:54.140 --> 00:27:54.820]   Yeah.
[00:27:54.880 --> 00:27:58.780]   Another thing we see in bubbleheads - you see it
[00:27:58.780 --> 00:28:02.320]   on the forum all the time - is people who have done a
[00:28:02.320 --> 00:28:04.480]   great job saving and investing through their
[00:28:04.480 --> 00:28:08.920]   careers, and then at age 65, they inherit a big
[00:28:08.920 --> 00:28:11.660]   lump sum from their parents.
[00:28:11.660 --> 00:28:13.900]   And at that point, it doesn't do anything for
[00:28:13.900 --> 00:28:14.560]   them.
[00:28:14.560 --> 00:28:15.900]   And if we think about it, that's honestly just kind
[00:28:15.900 --> 00:28:17.500]   of how the math works.
[00:28:17.500 --> 00:28:19.980]   The age most people are when they have kids, the
[00:28:19.980 --> 00:28:24.280]   age to which most people live, your kids - kids,
[00:28:24.340 --> 00:28:25.720]   they're not kids anymore at that point.
[00:28:25.720 --> 00:28:28.340]   They're most likely to be inheriting this money at a
[00:28:28.340 --> 00:28:29.680]   point where they're already financially
[00:28:29.680 --> 00:28:30.740]   independent.
[00:28:30.740 --> 00:28:36.820]   And so, doing this giving a much smaller amount can
[00:28:36.820 --> 00:28:40.500]   be very much more impactful at an earlier age.
[00:28:40.500 --> 00:28:45.560]   You know, whether that's - it could be the home
[00:28:45.560 --> 00:28:47.240]   down payment money for their first house.
[00:28:47.240 --> 00:28:50.700]   It could be the helping to pay off student loans.
[00:28:50.700 --> 00:28:52.840]   And so, if your kids are already past those points
[00:28:52.900 --> 00:28:55.540]   - now we're talking about grandkids - but those
[00:28:55.540 --> 00:28:57.580]   things, even if they're smaller amounts, can be
[00:28:57.580 --> 00:29:01.680]   just enormously impactful in a way that even a mid
[00:29:01.680 --> 00:29:03.840]   seven-figure inheritance isn't.
[00:29:03.840 --> 00:29:11.920]   I want to switch back to portfolio structure, and
[00:29:11.920 --> 00:29:14.160]   we touched heavily on investing in the first
[00:29:14.160 --> 00:29:14.860]   half of today.
[00:29:14.860 --> 00:29:18.160]   But I'd like to go back to bonds, because I think
[00:29:18.160 --> 00:29:21.000]   many of us have heard that we should have bonds in
[00:29:21.060 --> 00:29:24.660]   our retirement, pre-retirement portfolios,
[00:29:24.660 --> 00:29:28.640]   and yet bonds have just behaved terribly over the
[00:29:28.640 --> 00:29:29.640]   past year and a half.
[00:29:29.640 --> 00:29:32.680]   They've been very disappointing in the face
[00:29:32.680 --> 00:29:34.840]   of rising interest rates, doing exactly what we
[00:29:34.840 --> 00:29:37.380]   would expect them to do, but nonetheless unwelcome.
[00:29:37.380 --> 00:29:41.480]   So, can you talk about how investors should think
[00:29:41.480 --> 00:29:45.120]   about bonds, especially relative to cash, with
[00:29:45.120 --> 00:29:48.380]   cash yields looking so attractive, it's very hard
[00:29:48.380 --> 00:29:50.520]   to get excited about parking a portion of my
[00:29:50.600 --> 00:29:52.760]   portfolio in something that could have losses,
[00:29:52.760 --> 00:29:56.260]   when I can lock in almost five percent without any
[00:29:56.260 --> 00:30:00.700]   risk of at least near-term loss.
[00:30:00.700 --> 00:30:03.140]   Rick Ferry talked about this earlier in a little
[00:30:03.140 --> 00:30:05.140]   group, so I'll paraphrase him, because he said the
[00:30:05.140 --> 00:30:08.000]   point well, is that adding bonds to your portfolio
[00:30:08.000 --> 00:30:10.240]   don't mean nothing bad is going to happen, it just
[00:30:10.240 --> 00:30:12.640]   decreases the risk that something bad does
[00:30:12.640 --> 00:30:13.320]   happen.
[00:30:13.320 --> 00:30:16.120]   So, much of investing, nothing is guaranteed.
[00:30:16.120 --> 00:30:19.380]   If we look at the S&P 500, for example, from March
[00:30:19.460 --> 00:30:23.960]   of 2000 to March of 2009, it offered a negative
[00:30:23.960 --> 00:30:25.060]   return.
[00:30:25.060 --> 00:30:26.960]   So, now, we're certainly not throwing out the S&P
[00:30:26.960 --> 00:30:31.740]   500 from our portfolio, but investing takes time.
[00:30:31.740 --> 00:30:33.500]   All asset classes, all different types of
[00:30:33.500 --> 00:30:36.200]   investments have their day in the sun.
[00:30:36.200 --> 00:30:38.280]   As Jack Vogel would say, we just need to stay the
[00:30:38.280 --> 00:30:38.940]   course.
[00:30:38.940 --> 00:30:44.820]   One thing I'll just add is that if you're looking at
[00:30:44.820 --> 00:30:47.740]   cash, you're not locking in that rate.
[00:30:47.740 --> 00:30:48.880]   That's how cash works, right?
[00:30:48.940 --> 00:30:52.380]   The interest rate changes, whereas - so, the reason
[00:30:52.380 --> 00:30:54.780]   you might be inclined to stick with intermediate
[00:30:54.780 --> 00:30:57.720]   term bonds or something other than cash is
[00:30:57.720 --> 00:31:01.060]   because you would be locking in that rate for a
[00:31:01.060 --> 00:31:02.200]   longer period of time.
[00:31:02.200 --> 00:31:04.060]   That doesn't necessarily mean it's a good idea,
[00:31:04.060 --> 00:31:07.440]   but that is the tradeoff that you're making.
[00:31:07.440 --> 00:31:09.660]   Yes, so, relatedly, it seems like a lot of
[00:31:09.660 --> 00:31:13.240]   financial advisors I talk to have found religion
[00:31:13.240 --> 00:31:16.500]   about not taking risk with fixed income, that
[00:31:16.580 --> 00:31:19.380]   they're all governments, they're all short-term.
[00:31:19.380 --> 00:31:21.780]   Is that a reasonable way to think about it?
[00:31:21.780 --> 00:31:23.920]   It seems like the assertion that I hear is
[00:31:23.920 --> 00:31:25.980]   that this is not a portion of the portfolio you
[00:31:25.980 --> 00:31:27.380]   want to take risks with.
[00:31:27.380 --> 00:31:29.760]   What's the case for venturing out on the
[00:31:29.760 --> 00:31:31.820]   maturity spectrum, at least?
[00:31:31.820 --> 00:31:37.560]   So, I'm the one who doesn't really like
[00:31:37.560 --> 00:31:39.500]   traditional bonds for the retirement income
[00:31:39.500 --> 00:31:40.160]   portfolio.
[00:31:40.160 --> 00:31:43.140]   So, it's - you've got tips, and one case for a
[00:31:43.200 --> 00:31:46.840]   longer term tips wouldn't be just a tips fund with
[00:31:46.840 --> 00:31:49.640]   a long duration, but if you're laddering bonds,
[00:31:49.640 --> 00:31:52.600]   if you want 10 years of expenses, inflation
[00:31:52.600 --> 00:31:54.540]   adjusted, you could build yourself a 10-year tips
[00:31:54.540 --> 00:31:55.200]   ladder.
[00:31:55.200 --> 00:31:57.220]   If you want 30 years, you could build yourself a
[00:31:57.220 --> 00:31:58.880]   30-year tips ladder.
[00:31:58.880 --> 00:32:01.320]   That would be a reason, when you look at what's
[00:32:01.320 --> 00:32:03.780]   the duration on my 30-year tips ladder, it's going
[00:32:03.780 --> 00:32:07.620]   to be high, but as an individual household
[00:32:07.620 --> 00:32:09.720]   investor, you're not exposed to that interest
[00:32:09.720 --> 00:32:10.400]   rate risk.
[00:32:10.400 --> 00:32:11.860]   If you really are truly planning to hold those
[00:32:11.920 --> 00:32:14.840]   bonds to maturity and spend those proceeds when
[00:32:14.840 --> 00:32:17.840]   they mature, that can be the justification for
[00:32:17.840 --> 00:32:20.880]   going towards a longer duration.
[00:32:20.880 --> 00:32:22.480]   But even with all the retirement income
[00:32:22.480 --> 00:32:24.900]   research out there, Bill Bingen looked at the
[00:32:24.900 --> 00:32:26.880]   different - you use treasury bills, you use
[00:32:26.880 --> 00:32:29.680]   intermediate term bonds, you use long-term bonds.
[00:32:29.680 --> 00:32:32.020]   Long-term bonds are just too volatile relative to
[00:32:32.020 --> 00:32:34.460]   any additional yield they may provide.
[00:32:34.460 --> 00:32:39.060]   Treasury - T-bills were a little bit - they're less
[00:32:39.060 --> 00:32:40.820]   volatile, but not enough yield.
[00:32:40.900 --> 00:32:42.500]   He found that the sweet spot was the
[00:32:42.500 --> 00:32:44.720]   intermediate term government bonds, and that's
[00:32:44.720 --> 00:32:46.500]   about a five-year maturity.
[00:32:46.500 --> 00:32:49.000]   So, that's really what the research is pointing to.
[00:32:49.000 --> 00:32:51.760]   Now, right now, if you want to go less than five
[00:32:51.760 --> 00:32:54.300]   years, I do think maybe you're venturing into
[00:32:54.300 --> 00:32:56.640]   market timing a little bit with that, moving away
[00:32:56.640 --> 00:33:00.380]   from whatever the standard approach is.
[00:33:00.380 --> 00:33:03.640]   But yeah, and then otherwise, again, just if
[00:33:03.640 --> 00:33:06.320]   you're using bond ladders, that would be the way to
[00:33:06.320 --> 00:33:08.860]   start thinking about going to a longer duration
[00:33:08.860 --> 00:33:10.220]   with your bonds.
[00:33:10.280 --> 00:33:12.560]   >> So, I've been hearing a lot about bond ladders
[00:33:12.560 --> 00:33:15.660]   during this conference, and a question I have is
[00:33:15.660 --> 00:33:18.560]   sort of - and they touched on it in the previous
[00:33:18.560 --> 00:33:25.340]   session - but the bond versus bond fund, and can
[00:33:25.340 --> 00:33:27.780]   part of that be addressed by just buying the right
[00:33:27.780 --> 00:33:29.480]   maturity bond fund?
[00:33:29.480 --> 00:33:32.320]   Can part of the risks associated with owning a
[00:33:32.320 --> 00:33:36.340]   bond fund relate to just having the right time
[00:33:36.420 --> 00:33:40.620]   horizon in mind for that bond fund?
[00:33:40.620 --> 00:33:43.100]   >> So, it's mathematically possible that you can
[00:33:43.100 --> 00:33:46.000]   duration match your bond fund to the liability
[00:33:46.000 --> 00:33:48.540]   you're trying to fund, but your retirement spending
[00:33:48.540 --> 00:33:52.040]   goal liability, that's going to have a fluctuating
[00:33:52.040 --> 00:33:52.700]   duration.
[00:33:52.700 --> 00:33:55.700]   And so, in practice, it becomes very difficult to
[00:33:55.700 --> 00:33:58.540]   duration match your bond fund to the liability
[00:33:58.540 --> 00:33:59.380]   that you're trying to fund.
[00:33:59.380 --> 00:34:02.440]   There are a few commercial companies that
