
[00:00:00.000 --> 00:00:02.320]   I hate affirmative action.
[00:37:28.000 --> 00:37:32.000]   Now there's a question of environment.
[00:37:32.000 --> 00:37:33.680]   There's a question of the development
[00:37:33.680 --> 00:37:37.800]   of their neurological potential.
[00:37:37.800 --> 00:37:39.280]   Do they learn how to read?
[00:37:39.280 --> 00:37:42.480]   Are they stimulated verbally?
[00:37:42.480 --> 00:37:44.380]   How many words have they heard spoken?
[00:37:44.380 --> 00:37:49.680]   Are they being nurtured in a home environment
[00:37:49.680 --> 00:37:52.760]   so as to maximize the possibility
[00:37:52.760 --> 00:37:55.500]   of them achieving their human potential?
[00:37:55.500 --> 00:37:57.900]   What about the peer group influences?
[00:37:57.900 --> 00:38:00.820]   What about the values and norms
[00:38:00.820 --> 00:38:04.440]   of the surrounding human communities
[00:38:04.440 --> 00:38:05.860]   in which they're embedded?
[00:38:05.860 --> 00:38:08.500]   Do they encourage the young person
[00:38:08.500 --> 00:38:13.260]   to apply themselves in a systematic way
[00:38:13.260 --> 00:38:15.860]   to their studies and to their focus
[00:38:15.860 --> 00:38:18.840]   on their acquisition of language command
[00:38:18.840 --> 00:38:21.420]   and of their educational potential?
[00:38:21.420 --> 00:38:25.500]   So development is not only something
[00:38:25.500 --> 00:38:29.740]   that is controlled by the society's practices,
[00:38:29.740 --> 00:38:32.240]   it's also something that is influenced
[00:38:32.240 --> 00:38:36.960]   by the cultural background of the individual.
[00:38:36.960 --> 00:38:40.260]   And those things are not equal.
[00:38:40.260 --> 00:38:43.300]   Those things vary across groups
[00:38:43.300 --> 00:38:46.540]   in a very significant way.
[00:38:46.540 --> 00:38:50.220]   And that too will be a factor
[00:38:50.220 --> 00:38:53.460]   determining disparities of outcome.
[00:38:53.460 --> 00:38:56.000]   So when I see outcomes that are different,
[00:38:56.000 --> 00:38:58.740]   I see wealth holding that's different,
[00:38:58.740 --> 00:39:01.000]   I see educational achievement that's different,
[00:39:01.000 --> 00:39:03.720]   I see representation in the professional schools
[00:39:03.720 --> 00:39:05.020]   and law school and medical school
[00:39:05.020 --> 00:39:06.820]   that's different between groups.
[00:39:06.820 --> 00:39:09.820]   One question is, are the institutions
[00:39:09.820 --> 00:39:11.020]   treating people fairly?
[00:39:11.020 --> 00:39:12.620]   But another question is,
[00:39:13.620 --> 00:39:17.220]   do the background in social and cultural influences
[00:39:17.220 --> 00:39:20.620]   equip people in the same way?
[00:39:20.620 --> 00:39:22.420]   And we know that the answer to that,
[00:39:22.420 --> 00:39:25.820]   not in every instance do they equip people in the same way.
[00:39:25.820 --> 00:39:27.500]   And so it makes the judgment,
[00:39:27.500 --> 00:39:28.740]   the moral judgment that we make
[00:39:28.740 --> 00:39:32.580]   when we see inequality of outcome complicated.
[00:39:32.580 --> 00:39:39.060]   Inequality of outcome is a systemic factor to some degree,
[00:39:39.100 --> 00:39:43.880]   but it is also a cultural factor to some degree,
[00:39:43.880 --> 00:39:46.760]   I wanna say, and that's controversial, I know.
[00:39:46.760 --> 00:39:49.180]   A lot of people,
[00:39:49.180 --> 00:39:52.220]   they think of themselves as being progressive.
[00:39:52.220 --> 00:39:55.200]   They wanna point a finger at society
[00:39:55.200 --> 00:39:57.040]   whenever they see a disparity.
[00:39:57.040 --> 00:40:00.100]   But I think that that's a mistake.
[00:40:00.100 --> 00:40:05.100]   I think it misunderstands the difficulty of the problem.
[00:40:05.100 --> 00:40:08.580]   You think that if you get the right law,
[00:40:08.580 --> 00:40:11.060]   if you have the right public policy,
[00:40:11.060 --> 00:40:13.460]   if the right politicians are elected to office,
[00:40:13.460 --> 00:40:16.060]   suddenly those disparities will go away.
[00:40:16.060 --> 00:40:20.740]   And I'm here to tell you that that's a false hope.
[00:40:20.740 --> 00:40:26.160]   And moreover, it is probably the wrong goal.
[00:40:26.160 --> 00:40:28.860]   But I mean, we could go into that.
[00:40:28.860 --> 00:40:30.420]   You were talking about affirmative action,
[00:40:30.420 --> 00:40:33.500]   which is something else altogether.
[00:40:33.500 --> 00:40:35.820]   And you were talking about me and my education,
[00:40:35.820 --> 00:40:39.260]   which is also something that's a little bit different.
[00:40:39.260 --> 00:40:41.020]   And I'm happy to talk about those things.
[00:40:41.020 --> 00:40:43.160]   Northwestern University, by the way,
[00:40:43.160 --> 00:40:44.540]   was a great university.
[00:40:44.540 --> 00:40:45.380]   - I'm just joking.
[00:40:45.380 --> 00:40:48.060]   It's one of the great universities of the world, yes.
[00:40:48.060 --> 00:40:51.120]   - And I studied mathematics at Northwestern University,
[00:40:51.120 --> 00:40:53.980]   which is how I ended up at MIT in the first place.
[00:40:53.980 --> 00:40:58.060]   And I got a very good technical training in mathematics
[00:40:58.060 --> 00:41:00.020]   when I was at Northwestern, so.
[00:41:00.020 --> 00:41:03.540]   - You love both mathematics and human nature,
[00:41:03.540 --> 00:41:08.300]   and so, which is why you ended up going into economics
[00:41:08.300 --> 00:41:11.940]   at one of the great economics programs in the world at MIT
[00:41:11.940 --> 00:41:13.060]   and getting your PhD there.
[00:41:13.060 --> 00:41:16.300]   So one of the many hats you wear is that of an economist,
[00:41:16.300 --> 00:41:19.900]   which allows you to think systematically and rigorously
[00:41:19.900 --> 00:41:23.000]   about the way the world and the way humans work at scale,
[00:41:23.000 --> 00:41:28.700]   trying to remove the full mushy mess of humans,
[00:41:28.700 --> 00:41:32.400]   like a psychology perspective, economics allows you to do.
[00:41:33.240 --> 00:41:35.800]   - Well, economics is one of the social sciences.
[00:41:35.800 --> 00:41:39.320]   I think there's value in psychology and in sociology.
[00:41:39.320 --> 00:41:42.020]   There's a lot to know that doesn't come up
[00:41:42.020 --> 00:41:44.060]   within the study of economics.
[00:41:44.060 --> 00:41:49.060]   We study markets and the dynamics of economic development
[00:41:49.060 --> 00:41:54.240]   and trade and so on.
[00:41:54.240 --> 00:41:59.160]   But yeah, speaking personally, as I was coming along,
[00:41:59.160 --> 00:42:01.120]   I was fascinated by mathematics.
[00:42:01.120 --> 00:42:04.560]   I was good at it and ended up at Northwestern
[00:42:04.560 --> 00:42:09.560]   and took a lot of courses there in functional analysis
[00:42:09.560 --> 00:42:14.480]   and logic and mathematics and dynamical systems
[00:42:14.480 --> 00:42:18.280]   and stuff that I ended up employing
[00:42:18.280 --> 00:42:20.900]   in my graduate studies in economics.
[00:42:20.900 --> 00:42:25.680]   But you're right, I was not satisfied simply
[00:42:25.680 --> 00:42:27.560]   to be proving theorems.
[00:42:27.560 --> 00:42:32.160]   I wanted to be addressing issues of social significance
[00:42:32.160 --> 00:42:37.160]   and economics, I discovered to my delight,
[00:42:37.160 --> 00:42:39.120]   was a field of study that allowed me both
[00:42:39.120 --> 00:42:44.120]   to develop rigorous analytical frameworks,
[00:42:44.120 --> 00:42:50.320]   modeling and precision of logical deduction and inference.
[00:42:54.800 --> 00:42:59.800]   On the one hand, satisfying my mathematical interests,
[00:42:59.800 --> 00:43:02.400]   but on the other hand, could address questions
[00:43:02.400 --> 00:43:04.640]   of social significance like,
[00:43:04.640 --> 00:43:07.800]   why does racial inequality persist?
[00:43:07.800 --> 00:43:10.380]   Why are some countries prospering and growing
[00:43:10.380 --> 00:43:12.920]   and others less so?
[00:43:12.920 --> 00:43:16.040]   Why do the prices of raw materials fluctuate
[00:43:16.040 --> 00:43:19.280]   in the way that they do over time and so on and so forth?
[00:43:19.280 --> 00:43:24.280]   And I ended up falling in love with the application
[00:43:24.280 --> 00:43:29.280]   of mathematical analysis to the study of social issues.
[00:43:29.280 --> 00:43:32.080]   - What to you is beautiful about mathematics,
[00:43:32.080 --> 00:43:35.600]   about mathematical puzzles, about logic,
[00:43:35.600 --> 00:43:36.800]   all those kinds of things?
[00:43:36.800 --> 00:43:40.200]   'Cause it's still there, the love for math
[00:43:40.200 --> 00:43:41.160]   is still there for you.
[00:43:41.160 --> 00:43:43.280]   So is there something you could speak to?
[00:43:43.280 --> 00:43:46.600]   What is the kernel, the flame of that love?
[00:43:46.600 --> 00:43:49.100]   - It's like magic.
[00:43:49.100 --> 00:43:52.800]   I mean, being able to prove something
[00:43:52.800 --> 00:43:56.360]   and I mean, I think of offhand,
[00:43:56.360 --> 00:43:58.960]   there's no largest prime number, okay?
[00:43:58.960 --> 00:44:02.520]   So how would somebody know that?
[00:44:02.520 --> 00:44:03.480]   Okay, what's a prime number?
[00:44:03.480 --> 00:44:05.920]   So a prime number is a number that has a whole number
[00:44:05.920 --> 00:44:08.720]   that has no divisor other than one.
[00:44:08.720 --> 00:44:11.040]   There are no divisors of the number
[00:44:11.040 --> 00:44:16.040]   that makes it a prime number, like 13 or 19 or 37,
[00:44:16.040 --> 00:44:17.520]   whatever, okay?
[00:44:17.520 --> 00:44:19.560]   So they're prime numbers.
[00:44:19.560 --> 00:44:20.760]   There's no largest prime number.
[00:44:20.760 --> 00:44:22.160]   There are infinite number of prime numbers.
[00:44:22.160 --> 00:44:23.920]   There's no largest prime number, okay?
[00:44:23.920 --> 00:44:25.600]   That's an idea, you can get your mind around it
[00:44:25.600 --> 00:44:26.740]   in an instant.
[00:44:26.740 --> 00:44:31.700]   It doesn't take a whole lot of depth to see the question.
[00:44:31.700 --> 00:44:33.240]   There's no largest prime number.
[00:44:33.240 --> 00:44:35.480]   - I wonder if prime numbers show up in economics.
[00:44:35.480 --> 00:44:36.300]   I mean that--
[00:44:36.300 --> 00:44:37.720]   - Oh, they don't show up in economics,
[00:44:37.720 --> 00:44:40.320]   except in cryptography, I understand that's important.
[00:44:40.320 --> 00:44:41.160]   - Yes, yes.
[00:44:41.160 --> 00:44:44.480]   - For code, you know, in coding stuff.
[00:44:44.480 --> 00:44:45.920]   - And that shows up in economics.
[00:44:45.920 --> 00:44:49.600]   But in terms of models, probably not.
[00:44:49.600 --> 00:44:52.740]   So prime numbers are a little,
[00:44:52.740 --> 00:44:58.760]   you know, in abstract algebra,
[00:44:58.760 --> 00:45:00.880]   it's like they show up in all these places
[00:45:00.880 --> 00:45:04.200]   that are just like beautiful mathematical puzzles
[00:45:04.200 --> 00:45:05.960]   that don't immediately have an application,
[00:45:05.960 --> 00:45:09.040]   but somehow maybe challenge you,
[00:45:09.040 --> 00:45:11.440]   and as a result, push mathematics forward.
[00:45:11.440 --> 00:45:13.200]   Like Fermat's last theorem.
[00:45:13.200 --> 00:45:15.200]   You know, as far as I know,
[00:45:15.200 --> 00:45:18.200]   no obvious real world application,
[00:45:18.200 --> 00:45:19.940]   but it has challenged mathematicians
[00:45:19.940 --> 00:45:21.080]   throughout the centuries.
[00:45:21.080 --> 00:45:21.920]   - Indeed.
[00:45:21.920 --> 00:45:27.540]   - And somehow indirectly progressed the field.
[00:45:27.540 --> 00:45:28.380]   But--
[00:45:28.380 --> 00:45:31.640]   - That the rational numbers are countable.
[00:45:31.640 --> 00:45:34.800]   They can be put in one-to-one relationship
[00:45:34.800 --> 00:45:37.020]   with the integers, you know.
[00:45:37.020 --> 00:45:38.800]   But that the real numbers are not countable,
[00:45:38.800 --> 00:45:40.600]   and there's a lot more real,
[00:45:40.600 --> 00:45:41.880]   quote-unquote, more real numbers.
[00:45:41.880 --> 00:45:43.360]   These are orders of infinity.
[00:45:43.360 --> 00:45:46.040]   This is Cantor, Georg Cantor,
[00:45:46.040 --> 00:45:48.880]   and all that kind of stuff.
[00:45:48.880 --> 00:45:50.840]   Or Gertl's theorem.
[00:45:50.840 --> 00:45:52.680]   I studied this as an undergraduate.
[00:45:52.680 --> 00:45:54.440]   You know, the incompleteness theorem
[00:45:54.440 --> 00:45:58.040]   that there are propositions within any logical system
[00:45:58.040 --> 00:46:02.600]   that's rich enough to accommodate arithmetic.
[00:46:02.600 --> 00:46:04.520]   There are going to be propositions
[00:46:04.520 --> 00:46:06.560]   that you can formulate that are true,
[00:46:06.560 --> 00:46:09.440]   but that you cannot prove to be true.
[00:46:09.440 --> 00:46:14.680]   So the idea that you could systematically develop
[00:46:14.680 --> 00:46:18.200]   a logical framework for mathematical inquiry
[00:46:18.200 --> 00:46:21.800]   that could demonstrate the truth or falsity
[00:46:21.800 --> 00:46:26.800]   of any proposition is not a feasible goal.
[00:46:26.800 --> 00:46:30.600]   This was Hilbert's project, as I understand it,
[00:46:30.600 --> 00:46:35.280]   and Gertl showed that there was no hope ever
[00:46:35.280 --> 00:46:36.120]   of being able to--
[00:46:36.120 --> 00:46:36.960]   - (laughs)
[00:46:36.960 --> 00:46:40.800]   - To demonstrate the closure of logical systems
[00:46:40.800 --> 00:46:43.880]   that were rich enough to accommodate the real numbers.
[00:46:43.880 --> 00:46:47.960]   - That gave an existential crisis to all mathematicians
[00:46:47.960 --> 00:46:50.760]   and scientists alike, and humans,
[00:46:50.760 --> 00:46:52.480]   'cause maybe you can't prove everything.
[00:46:52.480 --> 00:46:56.920]   - I remember, you know, when I was a junior college,
[00:46:56.920 --> 00:46:58.120]   a community college student
[00:46:58.120 --> 00:47:00.040]   before I transferred to Northwestern,
[00:47:00.040 --> 00:47:01.840]   and I took a calculus course,
[00:47:01.840 --> 00:47:04.520]   and it was a lot of fun.
[00:47:04.520 --> 00:47:09.400]   And it was differentiating algebraic expressions
[00:47:09.400 --> 00:47:12.760]   and integrating and using trigonometric substitutions,
[00:47:12.760 --> 00:47:16.080]   and it was a lot of simple problem solving.
[00:47:16.080 --> 00:47:17.440]   I get to Northwestern,
[00:47:17.440 --> 00:47:19.920]   I take a course in differential equations.
[00:47:19.920 --> 00:47:22.600]   And again, it was a lot of formulaic, you know,
[00:47:22.600 --> 00:47:24.640]   applying, you get a differential equation
[00:47:24.640 --> 00:47:26.240]   of this structure, like if it's linear,
[00:47:26.240 --> 00:47:29.800]   you've got exponentials, et cetera, you can solve it.
[00:47:29.800 --> 00:47:32.800]   And then I took a course that showed, you know,
[00:47:32.800 --> 00:47:35.600]   where the question was not how to solve
[00:47:35.600 --> 00:47:38.540]   any particular functional expression,
[00:47:38.540 --> 00:47:41.760]   but it was proving the existence of a solution
[00:47:41.760 --> 00:47:43.560]   to a differential equation,
[00:47:43.560 --> 00:47:46.560]   where it was like x dot equals f of x and t,
[00:47:46.560 --> 00:47:49.240]   and f is just some arbitrary function.
[00:47:49.240 --> 00:47:52.400]   What do I have to assume about the function f
[00:47:52.400 --> 00:47:54.680]   in order to know that there exists a solution
[00:47:54.680 --> 00:47:59.680]   to the differential equation dx dt equals f of x and t?
[00:47:59.680 --> 00:48:03.900]   And it's basically, they called it a Lipschitz condition.
[00:48:03.900 --> 00:48:08.200]   It's a condition about the bounding of the slope
[00:48:08.200 --> 00:48:11.480]   of the function f as a function of x,
[00:48:11.480 --> 00:48:15.240]   that it doesn't, that you can sort of uniformly
[00:48:15.240 --> 00:48:17.200]   bound the slope on that function,
[00:48:17.200 --> 00:48:20.280]   and then you can use a iterative process
[00:48:20.280 --> 00:48:23.880]   to show that the sequence of, you know,
[00:48:23.880 --> 00:48:26.080]   partial solutions to the thing converges to something
[00:48:26.080 --> 00:48:27.160]   that's a solution to the real thing.
[00:48:27.160 --> 00:48:29.520]   Anyway, again, I'm not gonna bore you
[00:48:29.520 --> 00:48:33.000]   or pretend that I'm a mathematician, I'm not.
[00:48:33.000 --> 00:48:34.120]   But what I'm saying is the difference
[00:48:34.120 --> 00:48:38.600]   between a specific algebraic formula
[00:48:38.600 --> 00:48:42.520]   that you can manipulate and solve on the one hand,
[00:48:42.520 --> 00:48:45.360]   and the abstract question of whether there exists
[00:48:45.360 --> 00:48:48.040]   a solution in the general case,
[00:48:48.040 --> 00:48:53.380]   was like a huge step for me in my study of mathematics,
[00:48:53.380 --> 00:48:56.440]   and the techniques that you have to employ
[00:48:56.440 --> 00:48:59.680]   to address these larger questions and so on.
[00:48:59.680 --> 00:49:03.560]   So I, you know, when I was an undergraduate,
[00:49:03.560 --> 00:49:08.480]   I took the first year PhD sequence in math analysis
[00:49:08.480 --> 00:49:11.920]   at Northwestern from a brilliant mathematician
[00:49:11.920 --> 00:49:13.340]   named Avner Friedman,
[00:49:13.340 --> 00:49:16.840]   and learned about measure theory,
[00:49:16.840 --> 00:49:19.120]   and, you know, learned about
[00:49:19.120 --> 00:49:25.160]   some early functional analysis ideas.
[00:49:25.160 --> 00:49:28.360]   And when I saw that those ideas were being applied
[00:49:28.360 --> 00:49:32.080]   by advanced study in economics, I was delighted.
[00:49:32.080 --> 00:49:34.320]   I found an intellectual home.
[00:49:34.320 --> 00:49:38.800]   So one of the fascinating challenges in mathematics
[00:49:38.800 --> 00:49:42.320]   is to think, how can you,
[00:49:42.320 --> 00:49:44.660]   which echoes the challenge of economics,
[00:49:44.660 --> 00:49:48.480]   what are the properties of an equation
[00:49:48.480 --> 00:49:53.480]   that allow you to say something profound and say it simply?
[00:49:53.480 --> 00:49:56.040]   And so the question of economics is,
[00:49:56.040 --> 00:50:00.240]   how do you construct a model where you can generalize nicely
[00:50:00.240 --> 00:50:03.480]   and say something profound and say it simply?
[00:50:03.480 --> 00:50:05.560]   - So one of the questions,
[00:50:05.560 --> 00:50:07.720]   one of the challenges of economics
[00:50:07.720 --> 00:50:10.320]   is macro versus microeconomics.
[00:50:10.320 --> 00:50:11.160]   - Yeah.
[00:50:11.160 --> 00:50:16.160]   - Is, you know, the world is made up of individuals.
[00:50:16.160 --> 00:50:17.640]   So there's a connection to this,
[00:50:17.640 --> 00:50:21.940]   our discussion of race and discrimination and outcomes
[00:50:21.940 --> 00:50:24.240]   and all those kinds of things.
[00:50:24.240 --> 00:50:26.560]   The world is made up of individuals,
[00:50:26.560 --> 00:50:29.800]   but in order to say something general,
[00:50:29.800 --> 00:50:32.640]   we'll have to construct groups.
[00:50:33.640 --> 00:50:35.880]   In order to analyze the data,
[00:50:35.880 --> 00:50:37.920]   we'll have to aggregate that data somehow,
[00:50:37.920 --> 00:50:41.480]   we'll have to make an average over some set of people.
[00:50:41.480 --> 00:50:46.080]   So what are the pros and cons of looking at things
[00:50:46.080 --> 00:50:50.120]   like equality of opportunity and equality of outcome
[00:50:50.120 --> 00:50:53.600]   based on groups versus based on individuals?
[00:50:53.600 --> 00:50:57.320]   And what are the groups,
[00:50:57.320 --> 00:51:00.400]   if there's any pros to looking at groups
[00:51:00.400 --> 00:51:02.460]   that we should be looking at?
[00:51:02.460 --> 00:51:04.340]   - Okay, well, those are big questions.
[00:51:04.340 --> 00:51:06.880]   I mean, in economics, you're right.
[00:51:06.880 --> 00:51:09.120]   I mean, micro, you have an account
[00:51:09.120 --> 00:51:11.320]   of how individuals make decisions
[00:51:11.320 --> 00:51:14.520]   about spending their money on this consumption side
[00:51:14.520 --> 00:51:16.800]   and about how enterprises make decisions
[00:51:16.800 --> 00:51:20.560]   about what to produce, how much of it,
[00:51:20.560 --> 00:51:24.420]   what inputs to use, what techniques of production and so on.
[00:51:24.420 --> 00:51:27.940]   Individual firms, individual consumers,
[00:51:27.940 --> 00:51:29.120]   and then you wanna aggregate.
[00:51:29.120 --> 00:51:30.120]   So there's a theory of,
[00:51:30.120 --> 00:51:32.080]   so-called theory of general equilibrium
[00:51:32.080 --> 00:51:37.080]   where you think supply and demand in a bunch of markets,
[00:51:37.080 --> 00:51:40.900]   you think prices that move to equilibrate,
[00:51:40.900 --> 00:51:42.980]   but you recognize that the price in one market
[00:51:42.980 --> 00:51:44.800]   affects people's behavior in another,
[00:51:44.800 --> 00:51:46.980]   the markets interacting with each other.
[00:51:46.980 --> 00:51:49.100]   You realize that the behavior of one individual
[00:51:49.100 --> 00:51:53.840]   affects the supplies and available resources
[00:51:53.840 --> 00:51:55.460]   and for other individuals,
[00:51:55.460 --> 00:51:59.900]   so they're knitted together in some kind of systematic way.
[00:51:59.900 --> 00:52:04.560]   And you wanna try to demonstrate the fact
[00:52:04.560 --> 00:52:07.380]   that notwithstanding all these interdependencies,
[00:52:07.380 --> 00:52:12.080]   there exists a solution to the system of equations
[00:52:12.080 --> 00:52:13.920]   that equates demand and supply
[00:52:13.920 --> 00:52:15.260]   across all the different markets.
[00:52:15.260 --> 00:52:19.020]   This is the existence of general equilibrium.
[00:52:19.020 --> 00:52:20.780]   Then you wanna try to say something
[00:52:20.780 --> 00:52:24.480]   about the properties of an equilibrium if it exists.
[00:52:24.480 --> 00:52:25.420]   Is it efficient?
[00:52:25.420 --> 00:52:27.600]   Well, what do you mean by efficiency?
[00:52:27.600 --> 00:52:32.000]   Well, the idea of so-called Pareto efficient outcomes.
[00:52:32.000 --> 00:52:35.320]   These are outcomes that cannot be uniformly improved upon.
[00:52:35.320 --> 00:52:36.880]   Everybody can't be made better off
[00:52:36.880 --> 00:52:39.140]   by an alternative outcome.
[00:52:39.140 --> 00:52:41.240]   You wanna demonstrate the efficiency
[00:52:41.240 --> 00:52:43.880]   of competitive equilibrium.
[00:52:43.880 --> 00:52:45.220]   What do you mean by competition?
[00:52:45.220 --> 00:52:46.920]   You mean that people take their actions
[00:52:46.920 --> 00:52:51.760]   to do the best for themselves that they can,
[00:52:51.760 --> 00:52:54.380]   profits of firms, well-being of consumers.
[00:52:54.380 --> 00:52:57.640]   They try to do the best for themselves that they can,
[00:52:57.640 --> 00:53:01.980]   but they do so in reference to a set of prices
[00:53:01.980 --> 00:53:03.580]   that they believe they cannot control.
[00:53:03.580 --> 00:53:08.320]   That's the criterion of competitive market circumstance.
[00:53:08.320 --> 00:53:11.260]   So does a competitive equilibrium exist?
[00:53:11.260 --> 00:53:12.760]   Do there exist a set of prices
[00:53:12.760 --> 00:53:15.840]   which if everybody recognizes them as given
[00:53:15.840 --> 00:53:18.920]   and responds to those prices
[00:53:18.920 --> 00:53:20.800]   on behalf of their own interest,
[00:53:20.800 --> 00:53:24.380]   the outcome will be supply equaling demand
[00:53:24.380 --> 00:53:26.380]   in all the markets where people are interacting
[00:53:26.380 --> 00:53:27.760]   with one another.
[00:53:27.760 --> 00:53:32.020]   And that requires the use of some concepts
[00:53:32.020 --> 00:53:34.220]   in topology, fixed point theorems and whatnot
[00:53:34.220 --> 00:53:36.040]   that are familiar to mathematics.
[00:53:36.040 --> 00:53:38.260]   Not very deep mathematical results,
[00:53:38.260 --> 00:53:40.500]   but important to economics.
[00:53:40.500 --> 00:53:43.160]   That's all about general equilibrium and whatnot.
[00:53:43.160 --> 00:53:45.060]   But you ask about groups.
[00:53:45.060 --> 00:53:49.260]   - By the way, amazing whirlwind summary of all of economics,
[00:53:49.260 --> 00:53:50.680]   but yes, go ahead.
[00:53:50.680 --> 00:53:51.740]   That was great.
[00:53:51.740 --> 00:53:57.820]   Well, markets of competition, of operator efficiency,
[00:53:57.820 --> 00:53:59.060]   anyway, but yes, groups.
[00:53:59.060 --> 00:53:59.900]   - And prices.
[00:53:59.900 --> 00:54:00.740]   - And prices.
[00:54:00.740 --> 00:54:05.100]   - And by the way, there are some very beautiful
[00:54:05.100 --> 00:54:10.300]   formalizations of everything that I'm saying here.
[00:54:10.300 --> 00:54:11.700]   You end up in vector spaces,
[00:54:11.700 --> 00:54:14.980]   you end up with sets of bundles
[00:54:14.980 --> 00:54:16.500]   of consumption and production.
[00:54:16.500 --> 00:54:17.820]   You end up with convexity.
[00:54:17.820 --> 00:54:21.180]   You end up with hyperplanes, which are,
[00:54:21.180 --> 00:54:23.820]   in this finite dimensional vector space,
[00:54:23.820 --> 00:54:28.820]   which are all of the bundles that have the same value
[00:54:28.820 --> 00:54:32.500]   at a certain price, but you end up with inner products.
[00:54:32.500 --> 00:54:36.300]   It's very pretty.
[00:54:36.300 --> 00:54:38.780]   - Yeah, but you almost forget that it's just a bunch
[00:54:38.780 --> 00:54:41.320]   of humans transacting with each other,
[00:54:41.320 --> 00:54:47.060]   that markets are made up of individuals.
[00:54:47.060 --> 00:54:48.980]   - Markets are made up of individuals,
[00:54:48.980 --> 00:54:51.460]   and in order to carry out this formalization,
[00:54:51.460 --> 00:54:54.580]   you have to make assumptions about the individuals,
[00:54:54.580 --> 00:54:58.940]   and the end result is true in a formal sense,
[00:54:58.940 --> 00:55:03.140]   but may not be true as a representation of the reality,
[00:55:03.140 --> 00:55:04.580]   because it depends upon assumptions
[00:55:04.580 --> 00:55:06.600]   that themselves may not hold.
[00:55:06.600 --> 00:55:10.940]   But at least you know what it is that has to be true
[00:55:10.940 --> 00:55:15.860]   in order for your formal framework to be relevant,
[00:55:15.860 --> 00:55:18.820]   which is already a step in the right direction, I think.
[00:55:18.820 --> 00:55:22.500]   I mean, the formalization is better than the intuition,
[00:55:22.500 --> 00:55:24.700]   the armchair intuition, where we sit back
[00:55:24.700 --> 00:55:28.460]   and we don't really know exactly what we're talking about,
[00:55:28.460 --> 00:55:32.980]   because we haven't pinned it down in a precise way.
[00:55:32.980 --> 00:55:34.940]   I'm in favor of the formalization.
[00:55:34.940 --> 00:55:37.700]   People, they think, what is mathematics
[00:55:37.700 --> 00:55:39.160]   and the social sciences?
[00:55:39.160 --> 00:55:40.480]   After all, we're dealing with people.
[00:55:40.480 --> 00:55:42.160]   People are not automata.
[00:55:42.160 --> 00:55:43.580]   I agree with that.
[00:55:43.580 --> 00:55:48.240]   But the analysis of the interaction of people,
[00:55:48.240 --> 00:55:53.240]   I think, to be rigorous, requires us to be specific
[00:55:53.240 --> 00:55:55.140]   about what we're talking about, about markets,
[00:55:55.140 --> 00:55:57.900]   about consumers, about firms, about profits,
[00:55:57.900 --> 00:56:00.780]   about technology, about preferences,
[00:56:00.780 --> 00:56:04.520]   and that's the language of economics.
[00:56:04.520 --> 00:56:11.340]   But people's behavior depends upon what they seek in life,
[00:56:11.540 --> 00:56:15.100]   depends upon their goals and their objectives.
[00:56:15.100 --> 00:56:17.540]   Those things are at play.
[00:56:17.540 --> 00:56:20.420]   They can be pushed this way or that.
[00:56:20.420 --> 00:56:23.860]   So, I mean, nationalism,
[00:56:23.860 --> 00:56:25.660]   fighting and dying for your country,
[00:56:25.660 --> 00:56:31.740]   religion, sacrificing on behalf of some abstract ideal
[00:56:31.740 --> 00:56:35.660]   of the good or of what is the human situation
[00:56:35.660 --> 00:56:38.020]   and what is the meaning of life.
[00:56:38.020 --> 00:56:40.480]   Economists have to assume that these things
[00:56:40.480 --> 00:56:44.060]   are some particular thing before they can turn the crank
[00:56:44.060 --> 00:56:46.860]   on their machine to analyze the outcomes
[00:56:46.860 --> 00:56:48.700]   of human interaction.
[00:56:48.700 --> 00:56:53.700]   And yet these things, belief in my identity,
[00:56:53.700 --> 00:56:57.540]   the things that I'm willing to sacrifice and die for,
[00:56:57.540 --> 00:57:01.960]   purposes of life that I affirm and pass on to my children,
[00:57:01.960 --> 00:57:05.500]   are important preconditions for actually carrying out
[00:57:05.500 --> 00:57:07.060]   any economic analysis.
[00:57:07.060 --> 00:57:08.900]   And they are subject to manipulation
[00:57:08.900 --> 00:57:11.220]   and to change over time.
[00:57:11.220 --> 00:57:13.580]   And that's not something that economics
[00:57:13.580 --> 00:57:15.500]   has a whole lot to say about.
[00:57:15.500 --> 00:57:17.940]   - Well, is there some general things
[00:57:17.940 --> 00:57:20.000]   that are really powerful in terms of,
[00:57:20.000 --> 00:57:24.080]   you said nation, religion, those are groups.
[00:57:24.080 --> 00:57:24.920]   - Yeah.
[00:57:24.920 --> 00:57:26.820]   - Can you group people nicely
[00:57:26.820 --> 00:57:29.400]   in helping you understand human nature?
[00:57:29.400 --> 00:57:34.060]   So, group them into nations based on their citizenry.
[00:57:34.060 --> 00:57:35.480]   That's geography, right?
[00:57:36.700 --> 00:57:39.340]   The geographic location of your birth
[00:57:39.340 --> 00:57:44.340]   or your long-term residence, or maybe religious belief,
[00:57:44.340 --> 00:57:48.500]   what religion you have believed over time.
[00:57:48.500 --> 00:57:49.700]   Is there groups like that?
[00:57:49.700 --> 00:57:51.600]   And then race.
[00:57:51.600 --> 00:57:54.700]   Is that useful?
[00:57:54.700 --> 00:57:59.540]   What are the pros and cons of looking at outcomes
