
[00:00:00.000 --> 00:00:09.820]   All right, welcome to lesson six where we're going to do a deep dive into computer vision,
[00:33:05.120 --> 00:33:15.760]   Now of course depends when you ask Hinton at other times he says that the reason for this was because he thought about how spiking neurons work and there's a view he's a neuroscientist by training.
[00:33:15.760 --> 00:33:24.680]   There's a view that spiking neurons might help regularization and dropout is kind of a way of matching this idea of spiking neurons.
[00:33:24.680 --> 00:33:33.720]   I mean it's interesting when you actually ask people where did your idea for some some algorithm come from.
[00:33:33.720 --> 00:33:41.960]   It basically never comes from math it always comes from intuition and kind of thinking about physical analogies and stuff like that.
[00:33:41.960 --> 00:33:48.400]   So anyway the truth is a bunch of ideas I guess all flowing around and they came up with this idea of dropout.
[00:33:48.400 --> 00:33:53.640]   But the important thing to know is it worked really really well.
[00:33:53.640 --> 00:34:01.160]   And so we can use it in our models to get generalization for free.
[00:34:01.160 --> 00:34:11.040]   Now too much dropout of course is reducing the capacity of your model so it's going to underfit and so you've got to play around with different dropout values for each of your layers to decide.
[00:34:11.040 --> 00:34:22.000]   So in pretty much every fast AI learner there's a parameter called P's PS which will be the P value for the dropout for each layer.
[00:34:22.000 --> 00:34:30.320]   So you can just pass in a list or you can pass in an int and it'll create a list with that value everywhere.
[00:34:30.320 --> 00:34:39.520]   Sometimes it's a little different for CNN for example it actually if you pass in an int it will use that for the last layer and half that value for the earlier layers.
[00:34:39.520 --> 00:34:47.800]   We basically try to do things that kind of represent best practice but you can always pass in your own list to get exactly the dropout that you want.
[00:34:47.800 --> 00:34:56.160]   There is an interesting feature of dropout which is that we talk about training time and test time test time.
[00:34:56.160 --> 00:35:07.000]   We also call inference time training time is when we're actually doing that those weight updates to back propagation and the training time dropout works the way we just saw.
[00:35:07.000 --> 00:35:13.040]   At test time we turn off dropout but we're not going to do dropout anymore because we want it to be as accurate as possible.
[00:35:13.040 --> 00:35:19.800]   We're not training so we can't cause it to overfit when we're doing inference so we remove dropout.
[00:35:19.800 --> 00:35:32.280]   But what that means is if previously P was point of was point five then half the activations were being removed which means when they're all there now our overall activation level is twice what it used to be.
[00:35:32.280 --> 00:35:40.120]   And so therefore in the paper they suggest multiplying all of your weights at test time by P.
[00:35:40.120 --> 00:35:52.920]   Interestingly you can dig into the PyTorch source code and you can find the actual C code where dropout is implemented and here it is and you can see what they're doing is something quite interesting.
[00:35:52.920 --> 00:36:02.920]   They first of all do a Bernoulli trial so a Bernoulli trial is with a probability one minus P return the value one otherwise return the value zero.
[00:36:02.920 --> 00:36:17.480]   That's all it means so in this case P is the probability of dropout so one minus P is a probability that we keep the activation so we end up here with either a one or zero.
[00:36:17.480 --> 00:36:30.720]   And then this is interesting we divide in place remember underscore means in place and PyTorch we divide in place that one or zero by one minus P if it's a zero nothing happens it's still zero.
[00:36:30.720 --> 00:36:40.120]   If it's a one and P was point five that one now becomes two and then finally we multiply in place.
[00:36:40.120 --> 00:36:57.640]   Our import by this noise this dropout mask so in other words we actually don't do in PyTorch we don't do the change at test time we actually do the change at training time which means that you don't have to do anything special at inference time with PyTorch.
[00:36:57.640 --> 00:37:18.960]   It's not just PyTorch it's quite a common pattern but it's kind of nice to look inside the PyTorch source code and see you know dropout this incredibly cool incredibly valuable thing is really just these three lines of code which they do in C because I guess it ends up a bit faster when it's all fused together but lots of libraries do it in Python and that works well as well.
[00:37:18.960 --> 00:37:38.800]   You can even write your own dropout layer and it should give exactly the same results as this that'd be a good exercise to try see if you can create your own dropout layer in Python and see if you can replicate the results that we get with this dropout layer.
[00:37:38.800 --> 00:37:53.680]   So that's dropout and so in this case we're going to use a tiny bit of dropout on the first layer and a little bit of dropout on the next layer and then we're going to use special dropout on the embedding layer.
[00:37:53.680 --> 00:38:09.840]   Now why do we use special dropout on the embedding layer so if you look inside the fast AI source code is our tabular model.
[00:38:09.840 --> 00:38:25.080]   You'll see that in the section that checks that there's embeddings we call each embedding and then we can catenate the embeddings into a single matrix and then we call embedding dropout and embedding dropout is simply just.
[00:38:25.080 --> 00:38:44.720]   A dropout right so it's just an instance of a dropout module this kind of makes sense right for continuous variables that continuous variable is just in one column you wouldn't want to do dropout on that because you're literally deleting the existence of that whole input just almost certainly not what you want.
[00:38:44.720 --> 00:39:07.280]   But for an embedding and embedding is just effectively a matrix multiply by a one hot encoded matrix so it's just another layer so it makes perfect sense to have dropout on the output of the embedding because you're putting dropout on those activations of that layer and so you're basically saying let's delete at random.
[00:39:07.280 --> 00:39:14.160]   Some of the results of that embedding some of those activations so that makes sense.
[00:39:14.160 --> 00:39:28.120]   The other reason we do it that way is because I did very extensive experiments about a year ago where on this data set I tried lots of different ways of doing kind of everything.
[00:39:28.120 --> 00:39:57.080]   And you can actually see it here I put all of the spreadsheet of course Microsoft Excel put him into a pivot table to summarize them all together to find out kind of which different choices and hyper parameters and architectures worked well and work less well and then I created all these little graphs and these are like little summary training graphs for different combinations of hyper parameters and architectures and I found that there was one of them which ended up consistently getting a good predictive accuracy.
[00:39:57.080 --> 00:40:21.120]   The kind of bumpiness of the training was pretty low and you can see on it's just a nice smooth curve and so like this is an example of the kind of experiments that I do that end up in the fast AI library right so embedding embedding dropout was one of those things that I just found work really well and basically these results of these experiments is why.
[00:40:21.120 --> 00:40:50.800]   It looks like this rather than something else well it's a combination of these experiments but then why did I do these particular experiments well because it was very influenced by what worked well in that Kaggle prize winners paper but there are quite a few parts of that paper I thought there were some other choices they could have made I wonder why they didn't and I tried them out and found out what actually works and what doesn't work as well and found a few little improvements.
[00:40:50.800 --> 00:41:02.920]   So that's the kind of experiments that you can play around with as well when you try different models and architectures different dropouts layer numbers number of activations and so forth.
[00:41:02.920 --> 00:41:11.800]   So I'm having created a learner we can type learned up model to take a look at it and as you would expect in that there is a whole bunch of embeddings.
[00:41:11.800 --> 00:41:31.520]   Each of those embedding matrices tells you well this is the number of levels of the input for each input and you can match these with the with your list cat bars right so the first one will be store so that's not surprising there are a thousand 116 stores and then the second number of course.
[00:41:31.520 --> 00:41:58.800]   Is the size of the embedding and that's a number that you get to choose and so fast AI has some defaults which actually work really really well nearly all the time so I almost never change them but when you create your tabular learner you can absolutely pass in an embedding size dictionary which maps variable names to embedding sizes for anything where you want to override the defaults.
[00:41:58.800 --> 00:42:18.480]   And then we've got our embedding dropout layer and then we've got a batch norm layer with 16 inputs okay the 16 inputs make sense because we have 16 continuous variables.
[00:42:18.480 --> 00:42:47.720]   The length of content is a 16 so this is something for our continuous variables and specifically it's over here be and can't on our continuous variables and be and can't is a batch norm one day what's that well the first short answer is it's one of the things that I experimented with as to having batch normal not in this and I found that it worked really well.
[00:42:47.720 --> 00:43:04.320]   And then specifically what it is is extremely unclear let me describe it to you it's kind of a bit of regularization it's kind of a bit of training helper it's called batch normalization.
[00:43:04.320 --> 00:43:07.840]   And it comes from this paper.
[00:43:07.840 --> 00:43:22.600]   Actually before I do this I just want to mention one other really funny thing dropout I mentioned it was a master's thesis not only was it a master's thesis one of the most influential papers of the last 10 years it was rejected.
[00:43:22.600 --> 00:43:35.600]   From the main neural nets conference what was then called nips now called new reps I think this is just it's very interesting because it's just a reminder that you know a.
[00:43:35.600 --> 00:43:46.160]   Our academic community is generally extremely poor at recognizing which things are going to turn out to be important.
[00:43:46.160 --> 00:43:56.200]   Generally people are looking for stuff that are in the field that they're working on and understand so dropout kind of came out of left field kind of hard to understand what's going on.
[00:43:56.200 --> 00:44:10.000]   And so that's kind of interesting and so you know it's a reminder that if you just follow you know as you kind of develop it beyond being just a practitioner into actually doing your own research.
[00:44:10.000 --> 00:44:29.800]   Don't just focus on the stuff everybody's talking about focus on the stuff you think might be interesting because the stuff everybody's talking about generally turns out not to be very interesting the community is very poor at recognizing high impact papers when they come out.
[00:44:29.800 --> 00:44:45.720]   That's normalization on the other hand was immediately recognized as high impact I definitely remember everybody talking about it in 2015 when it came out and that was because it was so obvious they showed this picture showing the current then state of the art image net model inception.
[00:44:45.720 --> 00:44:57.000]   This is how long it took them to get you know a pretty good result and then they tried the same thing with this new thing called batch norm and they just did it way way way quickly.
[00:44:57.000 --> 00:45:09.720]   And so that was enough for pretty much everybody to go wow this is interesting and specifically they said this thing is called batch normalization and it's accelerating training by reducing internal covariate shift.
[00:45:09.720 --> 00:45:22.960]   So what is internal covariate shift well it doesn't matter because this is one of those things where researchers came up with some intuition and some idea about this thing they wanted to try they did it it worked well.
[00:45:22.960 --> 00:45:41.360]   They then post hoc added on some mathematical analysis to try and claim where it worked and it turned out they were totally wrong in the last 2 months there's been 2 papers so it took 3 years people to really figure this out in the last 2 months has been 2 papers that have shown batch normalization doesn't reduce covariate shift at all.
[00:45:41.360 --> 00:45:47.760]   And even if it did that has nothing to do with why it works so.
[00:45:47.760 --> 00:45:57.760]   So I think that's a kind of an interesting insight again you know which is like why we should be focusing on being practitioners and experimentalists and developing intuition.
[00:45:57.760 --> 00:46:19.480]   What batch norm does is what you see in this picture here in this paper here are steps or batches and here is loss and here the red line is what happens when you train without batch norm very very bumpy and here the blue line is what happens when you train with batch norm not very bumpy at all.
[00:46:19.480 --> 00:46:41.800]   What that means is you can increase your learning rate with batch norm because these big bumps represent times that you're really at risk of your set of weights jumping off into some awful part of the weight space that it can never get out of again so if it's less bumpy and you can train at a higher learning rate so that's actually what's going on.
[00:46:41.800 --> 00:46:58.240]   And here's what it is this is the algorithm and it's really simple the algorithm is going to take a mini batch so we have a mini batch and remember this is a layer so the thing coming into it is activations.
[00:46:58.240 --> 00:47:02.200]   So it's a layer and it's going to take in some activations.
[00:47:02.200 --> 00:47:25.400]   And so the activations it's calling X1 X2 X3 and so forth the first thing we do is we find the main of those activations some divided by the count that's just the main and the second thing we do is we find the variance of those activations different square divided by the main is the variance and then we normalize so that the values minus the main divided by the standard deviation.
[00:47:25.400 --> 00:47:37.560]   Is a normalized version okay it turns out that it's actually not that important we're used to think it was it turns out it not the really important bit is the next bit we take those values.
[00:47:37.560 --> 00:47:52.840]   And we add a vector of biases they call it beta here and we've seen that before we've used a bias term before okay so we're just going to add a bias term as per usual and then we're going to use another thing that's a lot like a bias term.
[00:47:52.840 --> 00:48:08.120]   But rather than adding it we're going to multiply by it so there's these parameters gamma and beta which are learnable parameters remember in a neural net there's only two kinds of number activations and parameters these are parameters.
[00:48:08.120 --> 00:48:13.880]   Okay there are things that are learnt with gradient descent this is just a normal bias layer.
[00:48:13.880 --> 00:48:22.920]   And this is a multiplicative bias layer nobody calls it that but that's all it is right it's just like bias but we multiply rather than add.
[00:48:22.920 --> 00:48:33.800]   That's all batch norm is that's what the layered does so why is that able to achieve this fantastic result.
[00:48:33.800 --> 00:48:40.120]   I'm not sure anybody has exactly written this down before.
[00:48:40.120 --> 00:48:48.120]   If they have I apologize for failing to cite it because I haven't seen it but let me explain what's actually going on here.
[00:48:48.120 --> 00:48:56.840]   The value of our predictions.
[00:48:56.840 --> 00:49:04.120]   Why hat is some function of our various weights.
[00:49:04.120 --> 00:49:12.440]   There could be millions of them weight 1 million and it's also a function of course of the inputs to a layer.
[00:49:12.440 --> 00:49:18.120]   This function here is our neural net function whatever is going on in our neural net.
[00:49:18.120 --> 00:49:26.680]   And then our loss let's say it's main squared error is just our actuals minus our predicted.
[00:49:26.680 --> 00:49:39.240]   Square so let's say we're trying to predict movie review outcomes and they're between one and five.
[00:49:39.240 --> 00:49:48.280]   And we've been trying to train our model and the activations at the very end are currently between minus one.
[00:49:48.280 --> 00:49:56.280]   And one so they're way off where they need to be the scale is off the main is off so what can we do.
[00:49:56.280 --> 00:50:00.280]   One thing we could do would be to try and come up with.
[00:50:00.280 --> 00:50:06.760]   A new set of weights that cause the spread to increase and cause the main to increase as well.
[00:50:06.760 --> 00:50:17.720]   But that's going to be really hard to do because remember all these weights interact in very intricate ways right we've got all those nonlinearities and they all combine together so to kind of just move up.
[00:50:17.720 --> 00:50:31.160]   It's going to require navigating through this complex landscape and you know we use all these tricks like momentum and Adam and stuff like that to help us but it still requires a lot of twiddling around to get there so that's going to take.
[00:50:31.160 --> 00:50:34.440]   A long time and it's going to be bumpy.
[00:50:34.440 --> 00:50:38.120]   But what if we did this what if we went.
[00:50:38.120 --> 00:50:47.640]   Times G plus. We added two more parameters vectors.
[00:50:47.640 --> 00:50:58.760]   Or now it's really easy right in order to increase the scale that number has a direct gradient to increase the scale.
[00:50:58.760 --> 00:51:07.400]   To change the main that number has a direct gradient to change the main there's no interactions or complexities it's just straight up and down straight in and out.
[00:51:07.400 --> 00:51:18.600]   And that's what batch norm does right so batch norm is basically making it easier for it to do this really important thing which is to shift the outputs up and down and in and out.
[00:51:18.600 --> 00:51:37.080]   And that's why we end up with these results so those details in some ways don't matter terribly the really important thing to know is you definitely want to use it right or if not it's something like it there's various other types of normalization around nowadays but batch norm.
[00:51:37.080 --> 00:51:39.160]   Works great.
[00:51:39.160 --> 00:51:50.200]   The other main normalization type we use in fast AI is something called weight norm which is a much more just in the last few months development.
[00:51:50.200 --> 00:51:55.240]   OK so that's batch norm and so what we do.
[00:51:55.240 --> 00:52:06.680]   As we create a batch norm layer for every continuous variable and Kant is a number of continuous variables in fast AI and underscore something always means the count of that thing.
[00:52:06.680 --> 00:52:18.920]   Can't always means continuous so then here is where we use it we grab our continuous variables and we throw them through a batch norm layer and so then over here you can see it in our model.
[00:52:18.920 --> 00:52:28.680]   One interesting thing is this momentum here this is not momentum like in optimization but this is momentum as in exponentially weighted moving average.
[00:52:28.680 --> 00:52:30.760]   Specifically.
[00:52:30.760 --> 00:52:43.000]   This mean and standard deviation we don't actually use a different mean and standard deviation for every mini batch if we did it would vary so much that it'd be very hard to train.
[00:52:43.000 --> 00:52:49.200]   So instead we take an exponentially weighted moving average of the main and standard deviation.
[00:52:49.200 --> 00:53:10.080]   And if you don't remember what I mean by that look back at last week's lesson to remind yourself about exponentially weighted moving averages which we implemented in Excel for the momentum and Adam gradient squared terms.
[00:53:10.080 --> 00:53:27.040]   You can vary the amount of momentum in a batch norm layer by passing a different value to the constructor and pipe watch if you use a smaller number it means that the main and standard deviation will vary less from many batch to many batch and that will have less of a regularization effect.
[00:53:27.040 --> 00:53:33.360]   A larger number will mean the variation will be greater for many batch to many batch that will have more of a regularization effect.
[00:53:33.360 --> 00:53:47.440]   So as well as this thing of training more nicely because it's parameterized better this momentum term in the main and standard deviation is the thing that adds this nice regularization piece.
[00:53:47.440 --> 00:53:51.840]   When you add batch norm you should also be able to use a higher learning rate.
[00:53:51.840 --> 00:54:12.080]   So that's our model so then you can go well I find you can have a look and then you can go fit you can save it you can plot the losses you can fit a bit more and we end up at point one oh three tenth place in the competition was point one oh eight so it's looking good.
[00:54:12.080 --> 00:54:35.920]   All right. Again take it with a slight grain of salt because what you actually need to do is use the real training set and submit it to Kaggle but you can see we're very much you know amongst the kind of cutting edge of models at least as of 2015 and as I say there haven't really been any architectural improvement since then.
[00:54:35.920 --> 00:54:47.560]   There wasn't batch norm when this was around so the fact we added batch norm means that we should get better results and certainly more quickly and if I remember correctly in their model they had to train at a slow lower learning rate for quite a lot longer.
[00:54:47.560 --> 00:54:53.240]   As you can see this is about less than 45 minutes of training.
[00:54:53.240 --> 00:54:56.000]   So that's nice and fast.
[00:54:56.000 --> 00:55:09.920]   Any questions in what proportion would you use dropout versus other regularization errors like weight decay L2 norms etc.
[00:55:09.920 --> 00:55:20.880]   So remember that L2 regularization and weight decay are kind of two ways of doing the same thing and we should always use the weight decay version not the L2 regularization version.
[00:55:20.880 --> 00:55:33.200]   So there's weight decay there's batch norm which kind of has a regularizing effect there's data augmentation which we'll see soon and this dropout.
[00:55:33.200 --> 00:55:45.480]   So batch norm we pretty much always want so that's easy data augmentation we'll see in a moment so then it's really between dropout versus weight decay.
[00:55:45.480 --> 00:56:00.800]   I have no idea I don't I don't think I've seen anybody provide a compelling study of how to combine those two things can you always use one instead of the other why why not.
[00:56:00.800 --> 00:56:04.680]   I don't think anybody has figured that out I think.
[00:56:04.680 --> 00:56:19.080]   In practice it seems that you generally want a bit of both you pretty much always want some weight decay but you often also want a bit of dropout.
[00:56:19.080 --> 00:56:25.000]   But honestly I don't know why I've not seen anybody really explain why or how to decide.
[00:56:25.000 --> 00:56:34.160]   So this is one of these things you have to try out and kind of get a feel for what tends to work for your kinds of problems.
[00:56:34.160 --> 00:56:45.680]   I think the defaults that we provide in most of our learners should work pretty well in most situations but yeah definitely play around with it.
[00:56:45.680 --> 00:57:04.080]   OK the next kind of regularization we're going to look at is data augmentation and data augmentation is one of the least well studied types of regularization but it's the kind that I think I'm kind of the most excited about.
[00:57:04.080 --> 00:57:07.520]   The reason I'm.
[00:57:07.520 --> 00:57:12.560]   Kind of the most excited about it is that you basically.
[00:57:12.560 --> 00:57:27.520]   There's basically almost no cost to it you can do data augmentation and get better generalization without it taking longer to train without under fitting to an extent at least so let me explain.
[00:57:27.520 --> 00:57:40.080]   So what we're going to do now is we're going to come back to computer vision and we're going to come back to our pets data set again so let's let's load it in our pets data set the images were inside the images some photo.
[00:57:40.080 --> 00:57:44.360]   I'm going to call get transforms as per usual.
[00:57:44.360 --> 00:57:47.360]   But when we call get transforms.
[00:57:47.360 --> 00:57:51.640]   There's a whole long list of things that we can provide.
[00:57:51.640 --> 00:58:04.000]   And so far we haven't been varying that much at all but in order to really understand data augmentation I'm going to kind of ratchet up all of the defaults so.
[00:58:04.000 --> 00:58:20.040]   There's a parameter here for what's the probability of an affine transform happening what's the probability of a light lighting transform happening so I set them both to one so they're all going to get transformed under the more rotation more zoom more lighting transforms and more warping.
[00:58:20.040 --> 00:58:22.520]   What are all those mean.
[00:58:22.520 --> 00:58:26.760]   Well you should check the documentation and you do that by typing doc.
[00:58:26.760 --> 00:58:34.560]   And there's a brief documentation but the real documentation is in docs so click on show in docs.
[00:58:34.560 --> 00:58:44.520]   And here it is right and so this tells you what all of those do but generally the most interesting parts of the docs tend to be at the top.
[00:58:44.520 --> 00:58:50.360]   Where you kind of get the summaries of what's going on and so here there's something called list of transforms.
[00:58:50.360 --> 00:58:52.640]   And here.
[00:58:52.640 --> 00:59:00.280]   You can see every transform has something showing you lots of different values of it right so.
[00:59:00.280 --> 00:59:20.000]   Here's brightness so make sure you read these and remember these notebooks you can open up and run this code yourself and get this output all of these note all of these HTML documentation documents auto generated from the notebooks in the docs underscore source directory in the fast AI repo.
[00:59:20.000 --> 00:59:25.240]   So you will see the exact same cats if you try this.
[00:59:25.240 --> 00:59:30.520]   So if I really likes cats so there's a lot of cats in the documentation.
[00:59:30.520 --> 00:59:37.840]   And I think you know because he's been so awesome at creating great documentation he gets to pick the cats so.
[00:59:37.840 --> 00:59:47.560]   So for example looking at different values of brightness what I do here is I look to see two things the first is.
[00:59:47.560 --> 00:59:59.960]   For which of these levels of transformation is it still clear what the picture is a picture of so this is kind of getting to a point where it's pretty unclear this is possibly getting a little unclear.
[00:59:59.960 --> 01:00:12.480]   The second thing I do is I look at the actual data set that I'm modeling or particularly the data set that I've been using as validation set and I try to get a sense of what the variation in this case in lighting is.
[01:00:12.480 --> 01:00:29.200]   So if they're like nearly all professionally taking photos I would probably want them all to be about in the middle but if the if the kind of their photos that are taken size and pretty amateur photographers they're likely to be some of the very overexposed some very underexposed.
[01:00:29.200 --> 01:00:42.780]   So you should pick a value of this data augmentation for brightness that both allows the image to still be seen clearly and also represents the kind of data that you're going to be using this to model on in practice.
[01:00:42.780 --> 01:01:00.780]   So you've got to say the same thing for contrast right be unusual to have a data set with such ridiculous contrast but perhaps you do in which case you should use data augmentation up to that level but if you don't then you shouldn't.
[01:01:00.780 --> 01:01:19.980]   This one called dihedral is just one that does every possible rotation and flip and so obviously most of your pictures are not going to be upside down cats that's so you probably would say hey this doesn't make sense I won't use this for this data set but if you're looking at satellite images of course you would.
[01:01:19.980 --> 01:01:28.080]   On the other hand flip makes perfect sense so you would include that.
[01:01:28.080 --> 01:01:36.980]   A lot of things that you can do with fast AI let you pick a padding mode and this is what padding mode looks like you can pick zeros.
[01:01:36.980 --> 01:01:46.680]   You can pick border which just replicates or you can pick reflection which as you can see is it's as if the last little few pixels are in a mirror.
[01:01:46.680 --> 01:01:49.880]   Reflections nearly always better by the way.
[01:01:49.880 --> 01:02:04.480]   I don't know that anybody else has really studied this but we have studied it in some depth haven't actually written a paper about it but just enough for our own purposes say reflection works best most of the time so that's the default.
[01:02:04.480 --> 01:02:14.480]   Then there's a really cool bunch of perspective warping ones which I'll probably show you by using symmetric warp.
[01:02:14.480 --> 01:02:33.280]   If you look at the kind of the we've added black borders to this that's more obvious for what's going on and as you can see what symmetric warp is doing it's as if the camera is being moved above or to the side of the object and literally warping the whole thing like that right.
[01:02:33.280 --> 01:02:49.180]   And so the cool thing is that as you can see each of these pictures it's as if this cat was being taken kind of from different angles right so they're all kind of optically sensible right and so this is a really great type of data augmentation.
[01:02:49.180 --> 01:03:08.440]   It's also one which I don't know of any other library that does it or at least certainly one that does it in a way that's both fast and keeps the image crisp as it is in faster as this is like if you're looking to win a Kaggle competition this is the kind of thing that's going to like get you above the people that aren't using the faster library.
[01:03:08.440 --> 01:03:28.680]   So having looked at all that. We are going to add this have a little get data function that just does the usual get data block stuff but we're going to add padding mode explicitly so that we can turn on padding mode of zeros just so we can see what's going on better.
[01:03:28.680 --> 01:03:39.160]   Thus I has this handy little function called plot multi which is going to create a 3 by 3 grid of plots and each one will contain the result of calling this function.
[01:03:39.160 --> 01:03:54.000]   Which will receive the plot coordinates and the access and so I'm actually going to plot the exact same thing in every box but because this is a training data set it's going to use data augmentation and so you can see the same.
[01:03:54.000 --> 01:03:56.560]   Doggy.
[01:03:56.560 --> 01:04:04.480]   Using lots of different kinds of data augmentation and so you can see why this is going to work really well because these pictures all look pretty different.
[01:04:04.480 --> 01:04:12.000]   Right that we didn't have to do any extra hand labeling or anything they like that's like free extra data.
[01:04:12.000 --> 01:04:23.520]   So data augmentation is really really great and one of the big opportunities for research is to figure out ways to do data augmentation in other domains.
[01:04:23.520 --> 01:04:36.040]   So how can you do data augmentation with text data or genomic data or histopathology data or whatever right.
[01:04:36.040 --> 01:04:47.280]   Almost nobody's looking at that and to me it's one of the biggest opportunities that could let you decrease data requirements by like 5 to 10 X.
[01:04:47.280 --> 01:05:00.800]   So here's the same thing again but with reflection padding instead of zero padding and you can kind of see like see this doggies legs are actually being reflected at the bottom here.
[01:05:00.800 --> 01:05:14.440]   So reflection padding tends to create images that are kind of much more naturally reasonable like in the real world you don't get black borders like this so they do seem to work better.
[01:05:14.440 --> 01:05:21.480]   OK so because we're going to study convolutional neural networks we are going to create a convolutional neural network.
[01:05:21.480 --> 01:05:28.840]   You know how to create them so I'll go ahead and create one I will fit it for a little bit I will unfreeze it.
[01:05:28.840 --> 01:05:37.600]   I will then create a larger version of the data set 352 by 352 and fit for a little bit more.
[01:05:37.600 --> 01:05:55.780]   And I will save it. OK so we have a CNN and we're going to try and figure out what's going on in our CNN and the way we're going to try and figure it out is explicitly specifically that we're going to try to learn how to create.
[01:05:55.780 --> 01:06:11.420]   This picture. This is a heat map right this is a picture which shows me what part of the image that the CNN focus on when it was trying to decide what this picture is.
[01:06:11.420 --> 01:06:18.680]   So we're going to make this heat map from scratch.
[01:06:18.680 --> 01:06:33.800]   When we so we're kind of at a point now in the course where I'm assuming that if you've got to this point you know when you're still here thank you then you're interested enough that you're prepared to kind of dig into some of these details.
[01:06:33.800 --> 01:06:46.800]   So we're actually going to learn how to create this heat map without almost any fast stuff we're going to use pure kind of tensor arithmetic in PyTorch and we're going to try and use that to really understand what's going on.
[01:06:46.800 --> 01:06:52.920]   So to warn you none of its rocket science but a lot of it's going to look really new.
[01:06:52.920 --> 01:07:12.020]   So don't expect to get it the first time but expect to like listen jump into the notebook try a few things test things out look particularly at like tensor shapes and inputs and outputs to check your understanding then go back and listen again and kind of try it a few times because.
[01:07:12.020 --> 01:07:19.920]   You will get there right it's just that there's going to be a lot of new concepts because we haven't done that much stuff in pure PyTorch.
[01:07:19.920 --> 01:07:33.020]   OK so what we're going to do is going to have a 7 minute break and then we're going to come back and we're going to learn all about the innards of a CNN so I'll see you at 750.
[01:07:33.020 --> 01:07:39.460]   So let's learn about convolutional neural networks.
[01:07:39.460 --> 01:07:44.020]   You know the funny thing is.
[01:07:44.020 --> 01:07:54.300]   It's pretty unusual to get close to the end of a course and only then look at convolutions but like when you think about it knowing actually.
[01:07:54.300 --> 01:08:03.160]   How batch norm works or how dropout works or how convolutions work isn't nearly as important as knowing.
[01:08:03.160 --> 01:08:09.600]   How it all goes together and what to do with them and how to figure out how to do those things better.
[01:08:09.600 --> 01:08:14.760]   But it's you know we're kind of at a point now where.
[01:08:14.760 --> 01:08:18.920]   We want to be able to do things.
[01:08:18.920 --> 01:08:21.440]   Like that.
[01:08:21.440 --> 01:08:31.200]   And although you know we're adding this functionality directly into the library so you can kind of run a function to do that you know the more you do the more you'll find things that you want to do.
[01:08:31.200 --> 01:08:52.080]   A little bit differently to how we do them or there'll be something in your domain where you think like oh I could do a slight variation of that so you're kind of getting to a point in your experience now where it helps to know how to do more stuff yourself and that means you need to understand what's really going on behind the scenes.
[01:08:52.080 --> 01:08:56.400]   So what's really going on behind the scenes.
[01:08:56.400 --> 01:09:00.720]   Is that we are creating.
[01:09:00.720 --> 01:09:05.040]   A neural network that looks a lot like this.
[01:09:05.040 --> 01:09:24.000]   But rather than doing a matrix multiply here and here and here we're actually going to do instead a convolution and a convolution is just a kind of matrix multiply which has some interesting properties.
[01:09:24.000 --> 01:09:37.680]   You should definitely check out this website setosa.io/ev explain visually where we have stolen this beautiful animation it's actually a JavaScript thing that you can actually play around with yourself.
[01:09:37.680 --> 01:09:48.520]   In order to show you how convolutions work and it's actually showing you a convolution as we move around these little red squirts so here's here's a picture.
[01:09:48.520 --> 01:10:02.440]   A black and white were greyscale picture right and so each 3 by 3 bit of this picture is this red thing moves around it shows you a different 3 by 3 part right it shows you over here the values of the pixels.
[01:10:02.440 --> 01:10:11.400]   Right so in fastai's case our pixel values are between 0 and 1 in this case they're between 0 and 255 right so here are 9.
[01:10:11.400 --> 01:10:16.520]   Pixel values this area is pretty white so they're pretty high numbers.
[01:10:16.520 --> 01:10:26.520]   And so as we move around you can see the 9 big numbers change and you can also see their colors change.
[01:10:26.520 --> 01:10:44.480]   Up here is another 9 numbers and you can see those in the little X1 X2 X1 here you 1 2 1 and what you might see going on is as we move this little red block as these numbers change within multiply them by.
[01:10:44.480 --> 01:10:53.000]   The corresponding numbers up here and so let's start using some nomenclature the thing up here we're going to call.
[01:10:53.000 --> 01:11:13.200]   The kernel. The convolutional kernel so we're going to take each little 3 by 3 part of this image and we're going to do an element wise multiplication of each of the 9 pixels that we're mousing over with each of the 9 items in our kernel.
[01:11:13.200 --> 01:11:17.560]   And so once we multiply each set together we can then add them all up.
[01:11:17.560 --> 01:11:25.840]   And that is what's shown on the right as the little bunch of red things move over there you can see there's one red thing that appears over here.
[01:11:25.840 --> 01:11:37.040]   The reason there's one red thing over here is because each set of 9 after getting through the element wise multiplication of the kernel get added together to create one.
[01:11:37.040 --> 01:12:04.400]   Output so therefore the size of this image has one pixel less on each edge than the original as you can see see how this black board is on it that's because at the edge the 3 by 3 kernel can't quite go any further right so the furthest you can go is to end up with a dot in the middle just off the corner.
[01:12:04.400 --> 01:12:10.000]   So why are we doing this well perhaps you can see what's happened this face.
[01:12:10.000 --> 01:12:17.240]   Has turned into some white parts outlining the horizontal edges.
[01:12:17.240 --> 01:12:29.920]   How well the how is just by doing this element wise multiplication of each set of 9 pixels with this kernel adding them together and sticking the result in the corresponding spot over here.
[01:12:29.920 --> 01:12:37.960]   Why is that creating white spots with a horizontal edges are well let's think about it.
[01:12:37.960 --> 01:12:58.480]   Let's look up here so if we're just in this little bit here right then the spots above it are all pretty white so they have high numbers so the bits above it like big numbers are getting multiplied by 1 2 1 so that's going to create a big number.
