
[00:00:00.040 --> 00:00:07.140]  Ac not over
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:23:38.900]   I'll be back with more of the best stuff in the world.
[00:23:38.900 --> 00:24:08.920]   I'll be back with more of the best stuff in the world.
[00:24:08.920 --> 00:24:08.920]   I'll be back with more of the best stuff in the world.
[00:24:08.920 --> 00:24:08.920]   I'll be back with more of the best stuff in the world.
[00:24:08.920 --> 00:24:08.920]   I'll be back with more of the best stuff in the world.
[00:24:08.920 --> 00:24:08.920]   I'll be back with more of the best stuff in the world.
[00:24:08.920 --> 00:24:08.920]   I'll be back with more of the best stuff in the world.
[00:24:08.920 --> 00:24:08.920]   I'll be back with more of the best stuff in the world.
[00:24:08.920 --> 00:24:08.920]   I'll be back with more of the best stuff in the world.
[00:24:08.920 --> 00:24:08.920]   I'll be back with more of the best stuff in the world.
[00:24:08.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:24:38.940]   I'll be back with more of the best stuff in the world.
[00:24:38.940 --> 00:25:08.960]   I'll be back with more of the best stuff in the world.
[00:25:08.960 --> 00:25:08.960]   I'll be back with more of the best stuff in the world.
[00:25:08.960 --> 00:25:08.960]   I'll be back with more of the best stuff in the world.
[00:25:08.960 --> 00:25:08.960]   I'll be back with more of the best stuff in the world.
[00:25:08.960 --> 00:25:08.960]   I'll be back with more of the best stuff in the world.
[00:25:08.960 --> 00:25:08.960]   I'll be back with more of the best stuff in the world.
[00:25:08.960 --> 00:25:08.960]   I'll be back with more of the best stuff in the world.
[00:25:08.960 --> 00:25:08.960]   I'll be back with more of the best stuff in the world.
[00:25:08.960 --> 00:25:08.960]   I'll be back with more of the best stuff in the world.
[00:25:08.980 --> 00:25:38.980]   You can very quickly have much cheaper options
[00:25:38.980 --> 00:25:38.980]   You can very quickly have much cheaper options
[00:25:38.980 --> 00:25:38.980]   You can very quickly have much cheaper options
[00:25:38.980 --> 00:25:38.980]   You can very quickly have much cheaper options
[00:25:38.980 --> 00:25:38.980]   You can very quickly have much cheaper options
[00:25:38.980 --> 00:25:38.980]   You can very quickly have much cheaper options
[00:25:38.980 --> 00:25:38.980]   You can very quickly have much cheaper options
[00:25:38.980 --> 00:25:38.980]   You can very quickly have much cheaper options on even the airfare itself.
[00:25:38.980 --> 00:25:38.980]   You can very quickly have much cheaper options on even the airfare itself.
[00:25:38.980 --> 00:25:38.980]   You can very quickly have much cheaper options on even the airfare itself.
[00:25:39.000 --> 00:26:09.000]   and then make your way slowly to France,
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:09.000 --> 00:26:09.000]   I'll be sure that you can get a little bit of the airfare that you can get.
[00:26:09.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.020 --> 00:26:39.020]   You can very quickly have much cheaper options on even the airfare itself.
[00:26:39.060 --> 00:27:09.040]  ,
[00:27:09.040 --> 00:27:09.040]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:09.040 --> 00:27:09.040]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:09.040 --> 00:27:09.040]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:09.040 --> 00:27:09.040]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:09.040 --> 00:27:09.040]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:09.040 --> 00:27:09.040]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:09.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:27:39.060]   You can very quickly have much cheaper options on even the airfare itself.
[00:27:39.060 --> 00:28:09.080]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:09.080 --> 00:28:09.080]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:09.080 --> 00:28:09.080]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:09.080 --> 00:28:09.080]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:09.080 --> 00:28:09.080]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:09.080 --> 00:28:09.080]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:09.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.100 --> 00:28:39.100]   You can very quickly have much cheaper options on even the airfare itself.
[00:28:39.140 --> 00:29:09.120]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:09.120 --> 00:29:09.120]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:09.120 --> 00:29:09.120]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:09.120 --> 00:29:09.120]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:09.120 --> 00:29:09.120]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:09.120 --> 00:29:09.120]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:09.120 --> 00:29:09.120]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:09.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:29:39.140]   You can very quickly have much cheaper options on even the airfare itself.
[00:29:39.140 --> 00:30:09.160]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:09.160 --> 00:30:09.160]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:09.160 --> 00:30:09.160]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:09.160 --> 00:30:09.160]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:09.160 --> 00:30:09.160]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:09.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:30:39.180]   You can very quickly have much cheaper options on even the airfare itself.
[00:30:39.180 --> 00:31:09.200]  ,
[00:31:09.200 --> 00:31:09.200]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:09.200 --> 00:31:09.200]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:09.200 --> 00:31:09.200]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:09.200 --> 00:31:09.200]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:09.200 --> 00:31:09.200]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:09.200 --> 00:31:09.200]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:09.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.220 --> 00:31:39.220]   You can very quickly have much cheaper options on even the airfare itself.
[00:31:39.260 --> 00:32:09.240]  ,
[00:32:09.240 --> 00:32:09.240]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:09.240 --> 00:32:09.240]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:09.240 --> 00:32:09.240]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:09.240 --> 00:32:09.240]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:09.240 --> 00:32:09.240]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:09.240 --> 00:32:09.240]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:09.240 --> 00:32:09.240]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:09.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:32:39.260]   You can very quickly have much cheaper options on even the airfare itself.
[00:32:39.260 --> 00:33:09.280]  ,
[00:33:09.280 --> 00:33:09.280]   and
[00:33:09.280 --> 00:33:09.280]   and
[00:33:09.280 --> 00:33:09.280]   and
[00:33:09.280 --> 00:33:09.280]   and
[00:33:09.280 --> 00:33:09.280]   and
[00:33:09.280 --> 00:33:09.280]   and
[00:33:09.280 --> 00:33:09.280]   and
[00:33:09.280 --> 00:33:09.280]   and
[00:33:09.280 --> 00:33:09.280]   and
[00:33:09.320 --> 00:33:18.200]  an
[00:33:18.200 --> 00:33:39.300]   thing. ",
[00:34:09.320 --> 00:34:09.320]  ,
[00:34:09.320 --> 00:34:09.320]   and
[00:34:09.320 --> 00:34:09.320]   and
[00:34:09.320 --> 00:34:09.320]   and
[00:34:09.320 --> 00:34:09.320]   META-COLOR ON A BAMBOO MATTE. AND YOU DON'T SLEEP ALL THAT WELL, BUT YOU DO SLEEP. SO THOSE OPTIONS ARE THERE. YEARS AGO, WHEN MY FATHER WAS GROWING UP, MY GRANDPARENTS WOULD DRIVE BACK AND FORTH FROM COLORADO TO CALIFORNIA. AND AT NIGHT, THEY WOULD BE OUT IN THE MIDDLE OF THE DESERT. THEY COULDN'T HAVE MONEY FOR A HOTEL. THEY WOULD PULL OVER ON THE SIDE OF THE ROAD. MY GRANDMOTHER WOULD SLEEP IN THE CAR. AND MY GRANDFATHER AND MY DAD, THEY WOULD GO OUT IN THE BUSHES AND SLEEP ON THE GROUND. THAT WAS THE WAY IT WAS.
[00:34:09.320 --> 00:34:09.320]   --------
[00:34:09.360 --> 00:34:39.340]   Brus:
[00:34:39.340 --> 00:34:39.340]   I WAS A GUNNELESS.
[00:34:39.340 --> 00:34:39.340]   --------
[00:34:39.340 --> 00:34:39.340]   --------
[00:34:39.340 --> 00:34:39.340]   -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- ------- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ - ------ - - - - - - - - - the rest stops and you see people just sleeping in the car at the rest stop. Now, I don't like to travel that way. I like to be a little bit more comfortable because I'm kind of soft and weak, but the point is you can do it. So you could just travel and sleep wherever you find yourself.
[00:34:39.340 --> 00:34:39.340]  , and if you find yourself.
[00:34:39.340 --> 00:34:39.340]  , you could just like, and you find yourself.
[00:34:39.380 --> 00:35:09.360]  , and you can do this the old fashioned way. Build yourself a teepee and live out in the woods. When I was traveling around the U.S., I spent a bunch of time talking to a guy who did that. He still lives in a teepee in the woods and had for decades. Or you can purchase a more modern tent,
[00:35:09.400 --> 00:35:20.220]  kt
[00:35:20.220 --> 00:35:24.400]   crosses. We, or,記得,
[00:35:38.480 --> 00:35:48.480]  'm
[00:35:48.480 --> 00:35:51.920]   realize, Apple F I don head. I'mAND S L Goldimm is the girl. You go to the way, and, and, and, you go to the, and, and, you can, and, y,л,,,,,,,,,,,,,,,,,,,,,,,,...ile...C. cleared S
[00:35:51.920 --> 00:35:53.660]   wouldn----G
[00:35:53.660 --> 00:36:07.620]   FMX shape Bitch é
[00:36:08.260 --> 00:36:11.040]   I'm living in your car and loving it.
[00:36:11.040 --> 00:36:14.840]   Great option can be extremely comfortable is well worth considering.
[00:36:14.840 --> 00:36:26.100]   Very great example would be couch surfing the website and other associated websites that you can use to stay with people who want to open up their couch to you.
[00:36:26.100 --> 00:36:30.540]   You can do this through one of the websites all around the world that can rush couple.
[00:36:30.540 --> 00:36:34.260]   One of the things they did is on their over two years of traveling.
[00:36:34.260 --> 00:36:38.020]   They said they paid for lodging only 11 times the rest of the time.
[00:36:38.020 --> 00:36:38.040]   The rest of the time they paid for lodging only 11 times the rest of the time they were traveling.
[00:36:38.040 --> 00:36:38.040]   The rest of the time they paid for lodging only 11 times the rest of the time they were traveling.
[00:36:38.040 --> 00:36:38.040]   The rest of the time they paid for lodging only 11 times the rest of the time they were traveling.
[00:36:38.040 --> 00:36:38.040]   The rest of the time they paid for lodging only 11 times the rest of the time they were traveling.
[00:36:38.080 --> 00:36:57.860]   o
[00:37:07.540 --> 00:37:35.760]   --
[00:39:03.580 --> 00:39:05.100]   I would be remiss if I didn't point out hostels here.
[00:39:05.100 --> 00:39:05.100]   I would be remiss if I didn't point out hostels here.
[00:39:05.300 --> 00:39:05.300]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:39:35.320]   I would be remiss if I didn't point out hostels here.
[00:39:35.320 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.340 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.340 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.340 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.340 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.340 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.340 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.340 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.340 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.340 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.340 --> 00:40:05.340]   I would be remiss if I didn't point out hostels here.
[00:40:05.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.360 --> 00:40:35.360]   I would be remiss if I didn't point out hostels here.
[00:40:35.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.380 --> 00:41:05.380]   I would be remiss if I didn't point out hostels here.
[00:41:05.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:41:35.400]   I would be remiss if I didn't point out hostels here.
[00:41:35.400 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.420 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.420 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.420 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.420 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.420 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.420 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.420 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.420 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.420 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.420 --> 00:42:05.420]   I would be remiss if I didn't point out hostels here.
[00:42:05.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:42:35.440]   I would be remiss if I didn't point out hostels here.
[00:42:35.440 --> 00:43:05.460]   I would be remiss if I didn't point out hostels here.
[00:43:05.460 --> 00:43:05.460]   I would be remiss if I didn't point out hostels here.
[00:43:05.460 --> 00:43:05.460]   I would be remiss if I didn't point out hostels here.
[00:43:05.460 --> 00:43:05.460]   I would be remiss if I didn't point out hostels here.
[00:43:05.460 --> 00:43:05.460]   I would be remiss if I didn't point out hostels here.
[00:43:05.460 --> 00:43:05.460]   I would be remiss if I didn't point out hostels here.
[00:43:05.460 --> 00:43:05.460]   I would be remiss if I didn't point out hostels here.
[00:43:05.460 --> 00:43:05.460]   I would be remiss if I didn't point out hostels here.
[00:43:05.460 --> 00:43:05.460]   I would be remiss if I didn't point out hostels here.
[00:43:05.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.480 --> 00:43:35.480]   I would be remiss if I didn't point out hostels here.
[00:43:35.500 --> 00:44:05.500]   I would be remiss if I didn't point out hostels here.
