
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:14:18.240 --> 00:14:20.720]   just to me and just basketball, period.
[00:14:20.720 --> 00:14:21.920]   - Man, I remember when that happened,
[00:14:21.920 --> 00:14:23.520]   I was sitting in the locker room.
[00:14:23.520 --> 00:14:24.680]   We was about to play a game.
[00:14:24.680 --> 00:14:27.200]   They canceled it and I couldn't believe it.
[00:14:27.200 --> 00:14:31.000]   But so like, when that quote came out where Kobe,
[00:14:31.000 --> 00:14:32.200]   they interviewed him and they was like,
[00:14:32.200 --> 00:14:34.560]   who's the best player you gotta guard?
[00:14:34.560 --> 00:14:37.080]   And they said, like Brandon Roy.
[00:14:37.080 --> 00:14:38.920]   Do you remember when that was and like what year?
[00:14:38.920 --> 00:14:40.280]   Do you remember what year that was for you?
[00:14:40.280 --> 00:14:41.800]   - Yeah, that would've been my third year.
[00:14:41.800 --> 00:14:43.640]   That would've been my third year.
[00:14:43.640 --> 00:14:46.000]   I think we was playing Houston in the playoffs.
[00:14:46.000 --> 00:14:48.440]   And I'm like, I was happy 'cause I was like,
[00:14:48.440 --> 00:14:49.960]   yeah, Kobe said that.
[00:14:49.960 --> 00:14:52.960]   But also I'm like, man, you putting a bullseye on my back.
[00:14:52.960 --> 00:14:54.480]   We're running our tests, so yeah.
[00:14:54.480 --> 00:14:55.800]   - But Ron Artest said it too though.
[00:14:55.800 --> 00:14:59.000]   - Yeah, but you know, I didn't take it like in a bad way.
[00:14:59.000 --> 00:15:02.040]   I took it like, that's big time.
[00:15:02.040 --> 00:15:05.760]   And you know, Portland's in a smaller market.
[00:15:05.760 --> 00:15:07.880]   So when somebody like Kobe said that,
[00:15:07.880 --> 00:15:08.920]   you kind of gotta look up like,
[00:15:08.920 --> 00:15:10.640]   is Brandon Roy really that good?
[00:15:10.640 --> 00:15:13.240]   Like why are these dudes saying that about him?
[00:15:13.240 --> 00:15:16.840]   And I took it like, I'm gonna make sure
[00:15:16.840 --> 00:15:18.320]   I try to live up to that.
[00:15:18.320 --> 00:15:20.920]   But it is a situation where, you know,
[00:15:20.920 --> 00:15:25.920]   I'm not a big media guy to where I do a lot of media stuff
[00:15:25.920 --> 00:15:28.120]   and a lot of promotions.
[00:15:28.120 --> 00:15:30.720]   So, you know, I remember going back East
[00:15:30.720 --> 00:15:33.320]   and the media was like, well, you know,
[00:15:33.320 --> 00:15:35.320]   New York fans don't really know who you are.
[00:15:35.320 --> 00:15:38.400]   And you know, but a lot of players speak highly of you.
[00:15:38.400 --> 00:15:39.920]   And I was like, that's fine with me
[00:15:39.920 --> 00:15:42.040]   because I'm not really going after the,
[00:15:42.040 --> 00:15:43.520]   long as when I step between the lines,
[00:15:43.520 --> 00:15:46.400]   a guy respects me or approves of me,
[00:15:46.400 --> 00:15:47.720]   then that's all that really matters.
[00:15:47.720 --> 00:15:50.080]   But yeah, no, that was, you know,
[00:15:50.080 --> 00:15:52.240]   that was like the icing on the cake, you know, for Kobe,
[00:15:52.240 --> 00:15:54.000]   you know, it's not often that,
[00:15:54.000 --> 00:15:56.720]   I don't care in what profession that, you know, you're in,
[00:15:56.720 --> 00:15:58.760]   that, you know, the guy you idol that
[00:15:58.760 --> 00:16:01.520]   is at the highest level in the sport,
[00:16:01.520 --> 00:16:03.800]   gives you, you know, that kind of a compliment.
[00:16:03.800 --> 00:16:07.560]   So I definitely knew what he meant by it, you know,
[00:16:07.560 --> 00:16:09.400]   because, you know, when we talk, you know,
[00:16:09.400 --> 00:16:11.640]   he's just like, man, you know, you have counters,
[00:16:11.640 --> 00:16:14.120]   you know, you could tell, you adjust.
[00:16:14.120 --> 00:16:17.120]   If a guy tried to take this away, you'll do something else.
[00:16:17.120 --> 00:16:19.440]   And Ron Artest pretty much said the same thing.
[00:16:19.440 --> 00:16:20.960]   So I just took it as like, you know,
[00:16:20.960 --> 00:16:23.400]   validation to a lot of my hard work,
[00:16:23.400 --> 00:16:26.320]   to always trying to go in the gym and get better.
[00:16:26.320 --> 00:16:29.040]   Because you know how it is in this game, man.
[00:16:29.040 --> 00:16:31.600]   Dudes are smart, there's a lot of smart players,
[00:16:31.600 --> 00:16:33.280]   there's a lot of smart coaches,
[00:16:33.280 --> 00:16:35.160]   and they're watching you going,
[00:16:35.160 --> 00:16:37.320]   how can we take something from him?
[00:16:37.320 --> 00:16:39.080]   I've always tried to keep adding and adding.
[00:16:39.080 --> 00:16:41.440]   As long as my body physically would let me,
[00:16:41.440 --> 00:16:43.640]   I thought that, you know, I could, you know,
[00:16:43.640 --> 00:16:45.880]   just keep improving because, you know,
[00:16:45.880 --> 00:16:48.120]   so that was, that was cool, man.
[00:16:48.120 --> 00:16:50.600]   I mean, I don't even want to, it was better than cool
[00:16:50.600 --> 00:16:51.920]   because, you know, I don't think people
[00:16:51.920 --> 00:16:53.600]   would really understand how much that meant to me
[00:16:53.600 --> 00:16:57.080]   for him to say that and to publicly say it.
[00:16:57.080 --> 00:16:59.800]   Like, you know, like that dude's the hardest player.
[00:16:59.800 --> 00:17:02.400]   I was like, wow, you know, and then Ron Artest is awesome
[00:17:02.400 --> 00:17:04.000]   'cause those are both good defenders.
[00:17:04.000 --> 00:17:04.840]   - Exactly.
[00:17:04.840 --> 00:17:06.760]   - Like, you know, I've had my struggles with Ron.
[00:17:06.760 --> 00:17:10.360]   You know, dude's a, he's strong, he's physical.
[00:17:10.360 --> 00:17:13.680]   And a lot of times I try to use my weight
[00:17:13.680 --> 00:17:15.480]   or my size to get guys.
[00:17:15.480 --> 00:17:17.560]   And I had to learn with Ron, I was like, man,
[00:17:17.560 --> 00:17:20.400]   I got to try to out-quick him 'cause he's too strong
[00:17:20.400 --> 00:17:23.160]   to be trying to go up against all day long, I'll be tired.
[00:17:23.160 --> 00:17:24.960]   And then he had really quick hands.
[00:17:24.960 --> 00:17:26.800]   Like, Ron had really, really quick hands.
[00:17:26.800 --> 00:17:28.280]   So I had to protect the ball,
[00:17:28.280 --> 00:17:29.720]   try to attack his feet a little more.
[00:17:29.720 --> 00:17:32.880]   So all that stuff is just me being a fan of it
[00:17:32.880 --> 00:17:36.520]   and just trying to just really win the damn game.
[00:17:36.520 --> 00:17:39.360]   You know, it's like, you know, you work so hard,
[00:17:39.360 --> 00:17:40.440]   you're like, man, I want to get over the hump,
[00:17:40.440 --> 00:17:41.280]   get over the hump.
[00:17:41.280 --> 00:17:42.120]   And in order to get over the hump,
[00:17:42.120 --> 00:17:43.760]   you got to be somebody pretty good
[00:17:43.760 --> 00:17:45.880]   or go after somebody pretty good.
[00:17:45.880 --> 00:17:46.800]   - You ain't lying.
[00:17:46.800 --> 00:17:50.080]   Shoot, like you said, you kept adding and adding
[00:17:50.080 --> 00:17:51.920]   and kept getting better year after year.
[00:17:51.920 --> 00:17:53.960]   And that's, like, you took that compliment
[00:17:53.960 --> 00:17:56.000]   as a testament to your hard work.
[00:17:56.000 --> 00:17:57.120]   I wanted to ask you, like,
[00:17:57.120 --> 00:17:59.040]   I remember you talked to me about this one time,
[00:17:59.040 --> 00:18:00.880]   but your game day routine, like,
[00:18:00.880 --> 00:18:03.440]   so like, we're going to talk about the lifestyle stuff
[00:18:03.440 --> 00:18:04.800]   off the court, what you like to do,
[00:18:04.800 --> 00:18:07.440]   but on the court, what was your, like, motto?
[00:18:07.440 --> 00:18:09.640]   Did you, like, was it the same thing every day?
[00:18:09.640 --> 00:18:10.600]   And kind of, like, walk me through
[00:18:10.600 --> 00:18:11.920]   what a game day would be like for you.
[00:18:11.920 --> 00:18:14.480]   - Yeah, so college is different, you know,
[00:18:14.480 --> 00:18:16.840]   'cause college is always a little more team oriented.
[00:18:16.840 --> 00:18:20.480]   But professionally, my game day usually always went with,
[00:18:20.480 --> 00:18:23.080]   like, I would wake up, but I wouldn't eat
[00:18:23.080 --> 00:18:23.960]   before I left the house.
[00:18:23.960 --> 00:18:26.000]   I would go to shoot around first.
[00:18:26.000 --> 00:18:28.000]   And then I usually try to eat right after shoot around.
[00:18:28.000 --> 00:18:30.080]   So wake up, shoot around,
[00:18:30.080 --> 00:18:33.640]   depending on what's, you know, aches and pains,
[00:18:33.640 --> 00:18:36.240]   it would depend on how early I would go before.
[00:18:36.240 --> 00:18:38.800]   And also depending on how deep into the season,
[00:18:38.800 --> 00:18:41.080]   if I wanted to lift, I would always try to lift,
[00:18:41.080 --> 00:18:42.800]   usually a little closer to game time,
[00:18:42.800 --> 00:18:45.680]   'cause I wanted to feel a little stronger going into it.
[00:18:45.680 --> 00:18:47.880]   So my mornings was really chill,
[00:18:47.880 --> 00:18:50.880]   and I would almost even tell my body, like,
[00:18:50.880 --> 00:18:53.520]   I'm gonna be relaxed until about four o'clock,
[00:18:53.520 --> 00:18:56.320]   'til I'm kind of getting up and get my shower in.
[00:18:56.320 --> 00:18:59.320]   So we'll do shoot around, then I would eat.
[00:18:59.320 --> 00:19:02.400]   Then when I go home, you know, I have my son,
[00:19:02.400 --> 00:19:04.200]   I think my, end of my rookie year,
[00:19:04.200 --> 00:19:06.120]   so I would always try to play with him
[00:19:06.120 --> 00:19:07.560]   on home games in between.
[00:19:07.560 --> 00:19:09.680]   And then it's like, all right, now I'm gonna take my nap.
[00:19:09.680 --> 00:19:13.320]   I might've played one or two basketball games ever
[00:19:13.320 --> 00:19:16.080]   from high school on without taking my nap.
[00:19:16.080 --> 00:19:16.920]   - For real?
[00:19:16.920 --> 00:19:18.200]   - And it throws me off in the worst way.
[00:19:18.200 --> 00:19:20.400]   It's like, if I don't get my nap and my shower,
[00:19:20.400 --> 00:19:22.160]   I just do not feel like the same person.
[00:19:22.160 --> 00:19:23.400]   I feel like I'm exhausted.
[00:19:23.400 --> 00:19:25.800]   It's like, damn, I feel so tired out here.
[00:19:25.800 --> 00:19:26.880]   And it's like, man.
[00:19:26.880 --> 00:19:30.640]   So I would always do my nap, I get a pregame nap.
[00:19:30.640 --> 00:19:32.240]   Then for my pregame nap, I wake up,
[00:19:32.240 --> 00:19:33.920]   and then I put on whatever music I got.
[00:19:33.920 --> 00:19:36.440]   If I'm on the road, I put my thing on the little speaker,
[00:19:36.440 --> 00:19:37.280]   play music.
[00:19:37.280 --> 00:19:40.880]   If I'm at home, I got my music ready, blast it, shower,
[00:19:40.880 --> 00:19:42.240]   start kind of getting into my groove,
[00:19:42.240 --> 00:19:43.880]   like getting my body going.
[00:19:43.880 --> 00:19:47.840]   And then early in my career, I would drive to the games.
[00:19:47.840 --> 00:19:49.080]   Later, I didn't wanna drive.
[00:19:49.080 --> 00:19:51.040]   I was just like, nah, I wanna just sit in the car and ride
[00:19:51.040 --> 00:19:52.800]   'cause traffic picked up in Portland a lot.
[00:19:52.800 --> 00:19:55.400]   So I was like, man, I'm gonna be in the car for an hour.
[00:19:55.400 --> 00:19:57.560]   Nah, I'm bumping cuts, changing songs.
[00:19:57.560 --> 00:19:58.400]   You know what I mean?
[00:19:58.400 --> 00:20:01.360]   Just last minute tickets here or there,
[00:20:01.360 --> 00:20:03.120]   talking to mom and dad last few minutes.
[00:20:03.120 --> 00:20:07.600]   And then I get to the arena, I would try to go in
[00:20:07.600 --> 00:20:10.320]   and get shots early before the court fill up.
[00:20:10.320 --> 00:20:12.680]   You know, you got the times where certain dudes come in.
[00:20:12.680 --> 00:20:15.080]   And shit, I'd go out to the court.
[00:20:15.080 --> 00:20:16.000]   And we talked about it.
[00:20:16.000 --> 00:20:18.680]   I just tell you the biggest thing is listening to your body.
[00:20:18.680 --> 00:20:22.080]   If I felt really tired, I would just tell, you know,
[00:20:22.080 --> 00:20:24.680]   whichever coach I was working out with that year or that time
[00:20:24.680 --> 00:20:28.040]   like, I'm a little tired, but I wanna work on this.
[00:20:28.040 --> 00:20:30.080]   I felt like last night, I didn't feel good
[00:20:30.080 --> 00:20:30.960]   shooting my pull-up.
[00:20:30.960 --> 00:20:33.520]   Or, you know, this team loads up a lot.
[00:20:33.520 --> 00:20:35.320]   So I know they're gonna double the markets.
[00:20:35.320 --> 00:20:36.520]   I might get some open threes.
[00:20:36.520 --> 00:20:38.760]   So, you know, let's get some touch on that.
[00:20:38.760 --> 00:20:40.120]   And then I try to work on a sweat.
[00:20:40.120 --> 00:20:42.720]   You know, I'll go good for about,
[00:20:42.720 --> 00:20:44.320]   I might be out there for 30 minutes,
[00:20:44.320 --> 00:20:46.760]   but 15, 10 to 15 minutes, I'm like, okay,
[00:20:46.760 --> 00:20:49.360]   I'm gonna work up a lot just to get a feel.
[00:20:49.360 --> 00:20:51.120]   I wanna get a feel for the arena, the ball,
[00:20:51.120 --> 00:20:52.400]   you know, all that stuff.
[00:20:52.400 --> 00:20:53.240]   You know, I don't know about you,
[00:20:53.240 --> 00:20:54.440]   but all that stuff seems to matter to me.
[00:20:54.440 --> 00:20:56.720]   It's like, damn, what ball we playing with tonight?
[00:20:56.720 --> 00:20:58.000]   Like, 'cause some of them are bad
[00:20:58.000 --> 00:21:00.200]   and then some of them are like, damn, that feels plush.
[00:21:00.200 --> 00:21:02.200]   So for me, it was like, all right,
[00:21:02.200 --> 00:21:04.000]   once I got that feeling,
[00:21:04.000 --> 00:21:05.160]   I was going back to the locker room
[00:21:05.160 --> 00:21:07.120]   and shit, I was kicking my feet up.
[00:21:07.120 --> 00:21:07.960]   - For real?
[00:21:07.960 --> 00:21:10.400]   - Yep, I kicked my feet up going to training room,
[00:21:10.400 --> 00:21:13.080]   messing around with Jay Jensen,
[00:21:13.080 --> 00:21:15.920]   all the guys in there and rank joke.
[00:21:15.920 --> 00:21:18.360]   I play better the looser I am.
[00:21:18.360 --> 00:21:19.200]   - Yeah, and I'm the same way.
[00:21:19.200 --> 00:21:21.280]   - Yeah, you know, I kinda like to take my mind off of it.
[00:21:21.280 --> 00:21:23.000]   Me and Nate had had that conversation.
[00:21:23.000 --> 00:21:24.760]   You know, he was like,
[00:21:24.760 --> 00:21:26.880]   the locker room kind of follows your mood.
[00:21:26.880 --> 00:21:28.840]   You know, he's like, I'm the type of dude, I'm serious.
[00:21:28.840 --> 00:21:30.720]   So when Nate come in, Nate's like real,
[00:21:30.720 --> 00:21:34.480]   he's the coolest dude, he just looks serious all the time.
[00:21:34.480 --> 00:21:37.200]   So he was like, but you, you know,
[00:21:37.200 --> 00:21:40.080]   I hear you talking and, you know, kind of goofing off.
[00:21:40.080 --> 00:21:41.960]   Conversation ain't got nothing to do with the game.
[00:21:41.960 --> 00:21:43.960]   We might watch another game, being on the West Coast.
[00:21:43.960 --> 00:21:46.800]   We get all the East Coast games to be on.
[00:21:46.800 --> 00:21:48.560]   And then I'll just kick back and, you know,
[00:21:48.560 --> 00:21:50.600]   clown around again until I tell my mind, all right,
[00:21:50.600 --> 00:21:52.200]   around, you know, 20 minutes before tip,
[00:21:52.200 --> 00:21:53.360]   Nate'll probably do a speech.
[00:21:53.360 --> 00:21:55.960]   And then that's when I'll start to tap back into,
[00:21:55.960 --> 00:21:57.240]   all right, this is what we gotta do.
[00:21:57.240 --> 00:21:59.280]   So again, it was always a shower.
[00:21:59.280 --> 00:22:00.640]   It was always a nap.
[00:22:00.640 --> 00:22:03.120]   And then as far as how I worked out,
[00:22:03.120 --> 00:22:04.920]   which is depending on how my body felt, you know,
[00:22:04.920 --> 00:22:06.360]   if I felt like I had a lot of energy,
[00:22:06.360 --> 00:22:09.160]   I would go harder because I play better
[00:22:09.160 --> 00:22:11.240]   when I'm a little tired, you know.
[00:22:11.240 --> 00:22:12.600]   Yeah, people would always ask like,
[00:22:12.600 --> 00:22:14.000]   why you play good in the fourth quarter?
[00:22:14.000 --> 00:22:16.200]   I'm like, cause finally it seemed like my body settled down
[00:22:16.200 --> 00:22:19.400]   or like towards the end of the second quarter, you know,
[00:22:19.400 --> 00:22:22.440]   we had games where I didn't even want to shoot early
[00:22:22.440 --> 00:22:24.040]   cause I felt a little too jacked up.
[00:22:24.040 --> 00:22:25.320]   So I swing it, you know,
[00:22:25.320 --> 00:22:28.080]   try to come out and get some stops, play defense.
[00:22:28.080 --> 00:22:29.760]   Coach Monte was the one to tell me
[00:22:29.760 --> 00:22:32.360]   I had went through a struggle early, my rookie year,
[00:22:32.360 --> 00:22:33.720]   and I was already playing well.
[00:22:33.720 --> 00:22:36.000]   And then I just went on a, on like a dive.
[00:22:36.000 --> 00:22:38.240]   I just couldn't seem to mentally figure it out.
[00:22:38.240 --> 00:22:40.080]   So we first started at the free throw line.
[00:22:40.080 --> 00:22:41.960]   He was like, you know, you never look at the free throw.
[00:22:41.960 --> 00:22:43.200]   He said, you always dribble, dribble,
[00:22:43.200 --> 00:22:44.640]   but you never look at the rim.
[00:22:44.640 --> 00:22:45.960]   He said, start looking at the rim more.
[00:22:45.960 --> 00:22:46.800]   I was like, all right.
[00:22:46.800 --> 00:22:49.040]   So I started picking his brain more and more about,
[00:22:49.040 --> 00:22:51.120]   about other, other little stuff, you know,
[00:22:51.120 --> 00:22:52.280]   inside of the game.
[00:22:52.280 --> 00:22:54.800]   And he's the one that, that, that really helped me,
[00:22:54.800 --> 00:22:57.560]   you know, kind of evolve, not just being a player,
[00:22:57.560 --> 00:22:59.880]   but mentally thinking like, hey, go ahead.
[00:22:59.880 --> 00:23:01.520]   It's okay to think about it or visualize it
[00:23:01.520 --> 00:23:03.480]   before you actually, you know, go out there and do it.
[00:23:03.480 --> 00:23:05.800]   So that was, that was really cool to have him there
[00:23:05.800 --> 00:23:08.440]   to, to, to give me a lot of, a lot of those small pointers.
[00:23:08.440 --> 00:23:09.520]   - That's dope.
[00:23:09.520 --> 00:23:11.760]   And then, and then off the court,
[00:23:11.760 --> 00:23:13.320]   you've always been a real chill dude.
[00:23:13.320 --> 00:23:15.240]   I mean, you know, I've been around you a lot,
[00:23:15.240 --> 00:23:17.680]   be around Del a lot, telling me stories.
[00:23:17.680 --> 00:23:19.920]   How was your, some dudes get in the league
[00:23:19.920 --> 00:23:22.480]   and they like to wild out, go out all the time, spend money.
[00:23:22.480 --> 00:23:24.360]   Del say you just be chilling.
[00:23:24.360 --> 00:23:27.320]   Like, what was your, how did you like to, you know,
[00:23:27.320 --> 00:23:29.040]   be off the court during those years?
[00:23:29.040 --> 00:23:32.320]   - Yeah, so I would say it's, it's, it's, it's balance.
[00:23:32.320 --> 00:23:35.160]   Some of it is like, I have my son in my rookie year.
[00:23:35.160 --> 00:23:38.440]   So, so I never really just had that time to say, okay,
[00:23:38.440 --> 00:23:40.000]   life about me right now.
[00:23:40.000 --> 00:23:42.520]   Cause it was like, once he came, I'm like, all right,
[00:23:42.520 --> 00:23:44.480]   I gotta, I gotta focus on that.
[00:23:44.480 --> 00:23:48.680]   But I also set the bar high for myself with basketball.
[00:23:48.680 --> 00:23:52.520]   So now I'm going, man, I want to come back
[00:23:52.520 --> 00:23:56.400]   and get that kind of attention and praise more next year.
[00:23:56.400 --> 00:23:58.440]   You know, being rookie of the year was like great,
[00:23:58.440 --> 00:24:00.880]   but now it's like, so that kept me focused.
[00:24:00.880 --> 00:24:02.080]   It kept me grounded.
[00:24:02.080 --> 00:24:04.000]   And you know, like, like most people,
[00:24:04.000 --> 00:24:07.080]   I think it's, it's always good to have your fun.
[00:24:07.080 --> 00:24:09.160]   But for me, it was always, you know,
[00:24:09.160 --> 00:24:11.000]   I was going to put the, my family first
[00:24:11.000 --> 00:24:12.200]   and I was going to put Portland first.
[00:24:12.200 --> 00:24:15.400]   It was like, you know, this is going to take away from me,
[00:24:15.400 --> 00:24:18.880]   you know, taking us up this hill, then I ain't going to do it.
[00:24:18.880 --> 00:24:21.800]   So I was really focused in that way.
[00:24:21.800 --> 00:24:23.880]   And for the first time I was saying my life,
[00:24:23.880 --> 00:24:26.160]   I was starting to get some attention.
[00:24:26.160 --> 00:24:28.000]   You know, I've always got it flown under the radar.
[00:24:28.000 --> 00:24:29.240]   People go, he's good.
[00:24:29.240 --> 00:24:31.280]   I like him a lot, but nobody really knew me.
[00:24:31.280 --> 00:24:33.600]   So it was like cool to kind of start getting that attention
[00:24:33.600 --> 00:24:35.320]   and then I didn't want to let it go.
[00:24:35.320 --> 00:24:37.960]   So off the court, you know, I've always been big on like
[00:24:37.960 --> 00:24:40.800]   going to movies, doing family stuff.
[00:24:40.800 --> 00:24:42.600]   I mean, I like my fun time too.
[00:24:42.600 --> 00:24:45.280]   You know, I just try to be private with it.
[00:24:45.280 --> 00:24:48.160]   And I think, you know, people can do what they want.
[00:24:48.160 --> 00:24:50.400]   But for me, I like to be a little more private
[00:24:50.400 --> 00:24:52.440]   just because it's not really everybody's business.
[00:24:52.440 --> 00:24:54.200]   But yeah, I like to have fun too.
[00:24:54.200 --> 00:24:58.240]   You know, I just do it in a private form.
[00:24:58.240 --> 00:25:01.080]   But other than that, man, I'm like, I'm chill, dude.
[00:25:01.080 --> 00:25:04.920]   I could, I think I was watching one of your episodes.
[00:25:04.920 --> 00:25:06.600]   You said you could just go away for a year
[00:25:06.600 --> 00:25:08.320]   and just get off everything.
[00:25:08.320 --> 00:25:10.640]   And I'm like, man, I can really do that.
[00:25:10.640 --> 00:25:12.960]   Hard part for it now is you'll see when you,
[00:25:12.960 --> 00:25:14.560]   is your kids got stuff going.
[00:25:14.560 --> 00:25:15.400]   - Yeah.
[00:25:15.400 --> 00:25:16.920]   - You know, it's like, I'm like,
[00:25:16.920 --> 00:25:19.320]   if I go run away and disappear, I'll be happy.
[00:25:19.320 --> 00:25:21.240]   But it's like, damn, I go back to the first day of school.
[00:25:21.240 --> 00:25:22.920]   Oh damn, my kid got a game, you know?
[00:25:22.920 --> 00:25:25.840]   So it's, it really becomes impossible to do it.
[00:25:25.840 --> 00:25:27.560]   So you gotta learn how to do it in spurts.
[00:25:27.560 --> 00:25:28.400]   - Yeah.
[00:25:28.400 --> 00:25:29.240]   - And that's how I learned how to do it.
[00:25:29.240 --> 00:25:31.920]   It's just always taking my time and, you know,
[00:25:31.920 --> 00:25:33.160]   never feeling rushed for it.
[00:25:33.160 --> 00:25:36.360]   So, and then when it's stuff I gotta do for the kids,
[00:25:36.360 --> 00:25:37.560]   you know, I gotta, I gotta, of course,
[00:25:37.560 --> 00:25:40.120]   always just be a father for them, but I'm, I'm chill, man.
[00:25:40.120 --> 00:25:41.280]   I could, I could disappear.
[00:25:41.280 --> 00:25:43.800]   I'm fine with nobody, you know, mentioning me.
[00:25:43.800 --> 00:25:45.000]   - I'm the same way as you, bro.
[00:25:45.000 --> 00:25:46.440]   - Yeah, not wrong with it.
[00:25:46.440 --> 00:25:49.040]   - Man, one time we talked about a,
[00:25:49.040 --> 00:25:50.720]   I want to bring this up, Greg Oden,
[00:25:50.720 --> 00:25:53.440]   because I seen a, I seen a video on Instagram
[00:25:53.440 --> 00:25:54.640]   and it was just a video of him.
[00:25:54.640 --> 00:25:56.320]   I don't know if you've seen him walking around
[00:25:56.320 --> 00:25:58.720]   and like a lady, an old lady just asked him,
[00:25:58.720 --> 00:26:00.040]   "Did you used to play basketball?"
[00:26:00.040 --> 00:26:02.680]   And it was like, he said, "I used to."
[00:26:02.680 --> 00:26:04.480]   And he was just like, you could just see how sad he was.
[00:26:04.480 --> 00:26:05.320]   - Yeah, I seen that.
[00:26:05.320 --> 00:26:07.520]   - But me and you have talked about Greg Oden
[00:26:07.520 --> 00:26:10.760]   and how good and dominant he actually was.
[00:26:10.760 --> 00:26:12.000]   Like even in the practices with you,
[00:26:12.000 --> 00:26:13.880]   he was obviously one of the best players.
[00:26:13.880 --> 00:26:15.080]   So talk about that dude for a little bit.
[00:26:15.080 --> 00:26:18.080]   - Yeah, man, Greg, no, I'm glad you even asked me about him.
[00:26:18.080 --> 00:26:20.400]   Like you said, I always, always speak about him,
[00:26:20.400 --> 00:26:23.920]   but you know, never, you know, with much of an audience.
[00:26:23.920 --> 00:26:26.480]   So no, that's, that's cool of you to even think about him.
[00:26:26.480 --> 00:26:29.440]   But, you know, you were a reason why I did think of him
[00:26:29.440 --> 00:26:32.200]   because, you know, when I got to the, to the Blazers,
[00:26:32.200 --> 00:26:34.120]   Greg came in a year after I did.
[00:26:34.120 --> 00:26:38.240]   And man, I remember I was, I was the,
[00:26:38.240 --> 00:26:40.200]   I had just won Rookie of the Year.
[00:26:40.200 --> 00:26:43.320]   And I think it was Kevin Pitcher was like,
[00:26:43.320 --> 00:26:45.520]   "Man, you want to do the draft lottery?"
[00:26:45.520 --> 00:26:46.880]   And I was like, "No."
[00:26:46.880 --> 00:26:49.120]   'Cause he knows I don't like to fly and travel,
[00:26:49.120 --> 00:26:51.440]   especially, you know, my, my off season.
[00:26:51.440 --> 00:26:52.840]   He's like, "Nah, I ain't asking this time.
[00:26:52.840 --> 00:26:54.240]   "You gotta do it, come on B.
[00:26:54.240 --> 00:26:55.320]   "You gotta be our good luck charm."
[00:26:55.320 --> 00:26:58.640]   And I'm like, "Man, all right, but I'm gonna fly there
[00:26:58.640 --> 00:26:59.720]   "and I'm gonna fly right back."
[00:26:59.720 --> 00:27:00.640]   He's like, "All right, done."
[00:27:00.640 --> 00:27:03.120]   So I ended up going out there and we knew who it was.
[00:27:03.120 --> 00:27:05.280]   It was like, if you're number one or two,
[00:27:05.280 --> 00:27:07.840]   you're gonna take Durant or Oden.
[00:27:07.840 --> 00:27:10.400]   So, but we were gonna be like seven.
[00:27:10.400 --> 00:27:12.640]   So I was thinking like, "All right, whatever."
[00:27:12.640 --> 00:27:16.720]   Man, I get there and we ended up getting the number one pick.
[00:27:16.720 --> 00:27:19.120]   And I was like, "Oh man, I am the good luck charm."
[00:27:19.120 --> 00:27:21.480]   So I joke around and to this day,
[00:27:21.480 --> 00:27:23.840]   I still got the jersey that they gave that day
[00:27:23.840 --> 00:27:25.400]   where Blazers number one pick.
[00:27:25.400 --> 00:27:27.480]   I don't know if they know that, but I kept that.
[00:27:27.480 --> 00:27:30.160]   So I was going through some stuff the other day
[00:27:30.160 --> 00:27:31.040]   and I had seen it.
[00:27:31.040 --> 00:27:34.040]   But, you know, we get the number one pick
[00:27:34.040 --> 00:27:35.640]   and people are asking all these questions.
[00:27:35.640 --> 00:27:37.360]   But before I went on, our media person was like,
[00:27:37.360 --> 00:27:39.920]   "Don't tell anybody who we're picking or if we're leaning."
[00:27:39.920 --> 00:27:40.760]   I'm like, "Yes."
[00:27:40.760 --> 00:27:43.840]   So I give the whole, you know, what'd you call it?
[00:27:43.840 --> 00:27:47.440]   Public answer or whatever they call it.
[00:27:47.440 --> 00:27:49.120]   So I ended up getting back to Portland
[00:27:49.120 --> 00:27:50.720]   and I'm thinking like, "Well, who are we gonna take?"
[00:27:50.720 --> 00:27:52.200]   'Cause everybody's, now everybody's texting.
[00:27:52.200 --> 00:27:53.320]   You know, it ain't social media.
[00:27:53.320 --> 00:27:54.520]   Everybody's like, "Well, who are you gonna take?
[00:27:54.520 --> 00:27:56.640]   "Kevin Durant or Greg Oden?"
[00:27:56.640 --> 00:27:59.600]   And, you know, everything that I'm gonna say
[00:27:59.600 --> 00:28:03.120]   about Greg Oden is not taking anything away from Kevin Durant.
[00:28:03.120 --> 00:28:05.080]   Kevin Durant is, you know, again,
[00:28:05.080 --> 00:28:07.480]   he's on that level of guys where, you know,
[00:28:07.480 --> 00:28:08.840]   my favorites are, you know,
[00:28:08.840 --> 00:28:12.240]   Jordan, Kobe, Kevin Durant, he's in that conversation.
[00:28:12.240 --> 00:28:16.000]   So, but Greg Oden, man, when I seen him
[00:28:16.000 --> 00:28:18.520]   and you gotta remember, this is a different NBA now.
[00:28:18.520 --> 00:28:19.920]   You know, you still post up, you know,
[00:28:19.920 --> 00:28:21.440]   you still play with the big.
[00:28:21.440 --> 00:28:26.120]   So, long story short, we end up drafting Greg
[00:28:26.120 --> 00:28:29.080]   and we're having like, you know, these workouts
[00:28:29.080 --> 00:28:31.480]   and we're doing like football stuff
