
[00:00:00.000 --> 00:00:01.500]   - Hi, it's Helen.
[00:17:04.700 --> 00:17:07.260]   What I would say is that it's probably more stressful
[00:17:07.260 --> 00:17:11.220]   on your family than it will be on you.
[00:17:11.220 --> 00:17:13.300]   You can come and go pretty easily,
[00:17:13.300 --> 00:17:16.860]   but unless you have a really great home in both places,
[00:17:16.860 --> 00:17:19.260]   then that's gonna be super stressful.
[00:17:19.260 --> 00:17:23.320]   So just as like a practical discussion of this,
[00:17:23.320 --> 00:17:26.940]   my wife and I, we've done quite a lot of traveling
[00:17:26.940 --> 00:17:28.220]   with young children.
[00:17:28.220 --> 00:17:31.100]   And generally speaking, my wife doesn't enjoy it,
[00:17:31.100 --> 00:17:32.580]   and I don't really enjoy it either,
[00:17:32.580 --> 00:17:34.340]   but a lot with young children.
[00:17:34.340 --> 00:17:38.500]   But the reason is that when you have one space
[00:17:38.500 --> 00:17:41.300]   that you know, you know what the risks are,
[00:17:41.300 --> 00:17:42.980]   you know what's there, you know what the toys are,
[00:17:42.980 --> 00:17:44.860]   you know where the boundaries are, et cetera,
[00:17:44.860 --> 00:17:47.180]   that makes your job as a parent of young children
[00:17:47.180 --> 00:17:48.780]   a lot easier.
[00:17:48.780 --> 00:17:51.740]   My wife didn't enjoy traveling around the country in an RV,
[00:17:51.740 --> 00:17:53.580]   because even though we had an RV,
[00:17:53.580 --> 00:17:56.180]   she didn't have any continuity
[00:17:56.180 --> 00:17:58.940]   between what was outside of the RV.
[00:17:58.940 --> 00:18:00.740]   So you can't just send the children off randomly
[00:18:00.740 --> 00:18:02.700]   to go ride their bikes,
[00:18:02.700 --> 00:18:03.940]   because you don't know what's out there.
[00:18:03.940 --> 00:18:05.780]   You have to go out and scout it for danger
[00:18:05.780 --> 00:18:07.540]   and try to figure out what's appropriate, what's here.
[00:18:07.540 --> 00:18:09.220]   So that just adds a lot of work
[00:18:09.220 --> 00:18:10.860]   to caring for little children.
[00:18:10.860 --> 00:18:13.300]   Whereas if you're in one place, one home,
[00:18:13.300 --> 00:18:15.740]   and we know where all the toys are,
[00:18:15.740 --> 00:18:17.600]   and the children have their own things,
[00:18:17.600 --> 00:18:19.260]   then they can be a little bit more independent,
[00:18:19.260 --> 00:18:22.300]   and that really reduces the burden on the parents
[00:18:22.300 --> 00:18:24.820]   when you are in one place.
[00:18:24.820 --> 00:18:28.100]   And so I'm skeptical that kind of flipping back and forth,
[00:18:28.100 --> 00:18:30.620]   unless you're going between two houses that you own,
[00:18:30.620 --> 00:18:33.580]   that you have a good infrastructure set up in both places,
[00:18:33.580 --> 00:18:36.180]   I'm skeptical of that being a productive lifestyle.
[00:18:36.180 --> 00:18:39.980]   - All right, perfect, man.
[00:18:39.980 --> 00:18:42.700]   Yeah, totally agree with all of that.
[00:18:42.700 --> 00:18:46.380]   And you always offer some new insight, too.
[00:18:46.380 --> 00:18:48.540]   So really appreciate it.
[00:18:48.540 --> 00:18:49.500]   - My pleasure.
[00:18:49.500 --> 00:18:52.380]   At its core, if we're gonna do anything,
[00:18:52.380 --> 00:18:55.860]   then we need to have a reason for doing it.
[00:18:55.860 --> 00:18:59.300]   And so being close to family
[00:19:01.000 --> 00:19:03.720]   needs to be part of the broader purpose,
[00:19:03.720 --> 00:19:06.320]   not the sole and exclusive thing,
[00:19:06.320 --> 00:19:07.320]   unless there's a clear,
[00:19:07.320 --> 00:19:10.840]   again, service-related focus to it.
[00:19:10.840 --> 00:19:12.400]   And I'll keep working on it.
[00:19:12.400 --> 00:19:16.680]   I reassess continually my own decisions, et cetera.
[00:19:16.680 --> 00:19:20.840]   But, and I'm not sure of these answers that I'm giving you.
[00:19:20.840 --> 00:19:22.760]   It's just the best that I've given you,
[00:19:22.760 --> 00:19:26.100]   and I've tried to explain it as clearly as I'm able.
[00:19:26.100 --> 00:19:28.000]   We move to Taylor in Alabama.
[00:19:28.000 --> 00:19:28.840]   Taylor, welcome to the show.
[00:19:28.840 --> 00:19:30.680]   How can I serve you today?
[00:19:30.680 --> 00:19:33.040]   - Hey, Joshua, thanks for taking my call.
[00:19:33.040 --> 00:19:35.980]   I wanted to see if you might have some thoughts
[00:19:35.980 --> 00:19:38.640]   about allowances for kids.
[00:19:38.640 --> 00:19:41.220]   And in particular, in my situation,
[00:19:41.220 --> 00:19:45.640]   I've got 13-year-old daughters, twins, seventh grade,
[00:19:45.640 --> 00:19:48.320]   and we've never given them an allowance before,
[00:19:48.320 --> 00:19:50.440]   but we're thinking that they're getting to an age
[00:19:50.440 --> 00:19:52.680]   where it might be nice for them
[00:19:52.680 --> 00:19:56.600]   to have to kind of budget their money a little bit
[00:19:56.600 --> 00:20:00.200]   and learn how to use a bank accountant.
[00:20:00.200 --> 00:20:03.160]   Perhaps a debit card, other things like that.
[00:20:03.160 --> 00:20:04.920]   And so I've looked into it a little bit.
[00:20:04.920 --> 00:20:06.680]   I've seen a lot of differing advice
[00:20:06.680 --> 00:20:10.600]   about the best way to structure it,
[00:20:10.600 --> 00:20:13.400]   the best mechanics of how to do it.
[00:20:13.400 --> 00:20:17.080]   I guess, first of all, do you think it's a good idea at all?
[00:20:17.080 --> 00:20:19.480]   But anyway, I figure you probably do have some ideas
[00:20:19.480 --> 00:20:21.360]   and wanted to see if you could share 'em.
[00:20:21.360 --> 00:20:24.320]   - Yeah, I'll make this fairly concise,
[00:20:24.320 --> 00:20:26.840]   'cause I think it's relatively straightforward.
[00:20:26.840 --> 00:20:29.540]   To begin with, I was never given an allowance
[00:20:29.540 --> 00:20:31.500]   when I was young.
[00:20:31.500 --> 00:20:34.820]   And I think, I'd have to confirm this with my parents,
[00:20:34.820 --> 00:20:37.960]   but basically, I think my parents
[00:20:37.960 --> 00:20:40.600]   probably would have been sympathetic to the viewpoint
[00:20:40.600 --> 00:20:43.000]   of simply saying that if you give,
[00:20:43.000 --> 00:20:46.380]   we're not welfare, we're not giving out welfare here.
[00:20:46.380 --> 00:20:48.960]   I think Dave Ramsey at least used to say this.
[00:20:48.960 --> 00:20:49.960]   I would assume he still does,
[00:20:49.960 --> 00:20:51.000]   unless he's changed on something.
[00:20:51.000 --> 00:20:53.120]   But he'd say, I'm not giving out welfare to my children.
[00:20:53.120 --> 00:20:54.760]   So giving money to my children
[00:20:54.760 --> 00:20:57.160]   doesn't seem like the right pathway.
[00:20:57.160 --> 00:20:59.740]   And that's a common mindset,
[00:20:59.740 --> 00:21:02.260]   especially common in our US American culture,
[00:21:02.260 --> 00:21:05.660]   where we believe strongly in instilling a work ethic
[00:21:05.660 --> 00:21:10.660]   into our children and so we don't wanna give away free money.
[00:21:10.660 --> 00:21:16.060]   So that was my basic idea when I first had children.
[00:21:16.060 --> 00:21:19.500]   I then came to see the other side
[00:21:19.500 --> 00:21:24.500]   and I realized that if I don't give my children money,
[00:21:24.960 --> 00:21:28.080]   then they're not going to handle money
[00:21:28.080 --> 00:21:30.940]   until they can earn it for themselves.
[00:21:30.940 --> 00:21:35.380]   And I realized that if I want my children to manage money,
[00:21:35.380 --> 00:21:39.460]   they're going to need practice and skill in managing money.
[00:21:39.460 --> 00:21:41.500]   And so I decided that I would change
[00:21:41.500 --> 00:21:45.180]   and I decided that I would, in fact, give an allowance.
[00:21:45.180 --> 00:21:49.980]   And my reason for deciding to give my children an allowance
[00:21:49.980 --> 00:21:53.420]   is that I want them to have money
[00:21:53.420 --> 00:21:56.740]   that they have to decide what to do with
[00:21:56.740 --> 00:22:01.080]   so that they can experience the joys of having money,
[00:22:01.080 --> 00:22:03.480]   using money, spending money, et cetera.
[00:22:03.480 --> 00:22:07.800]   And I'm hoping that they will make lots and lots of mistakes
[00:22:07.800 --> 00:22:09.440]   with the handling of their money.
[00:22:09.440 --> 00:22:11.300]   And so I'm hoping that they'll blow their money
[00:22:11.300 --> 00:22:12.320]   on stupid things.
[00:22:12.320 --> 00:22:13.560]   I'm hoping that they'll waste it
[00:22:13.560 --> 00:22:17.320]   and feel the emotions of poorly considered purchases
[00:22:17.320 --> 00:22:18.640]   and things like that.
[00:22:18.640 --> 00:22:21.680]   And I want those lessons to happen early.
[00:22:21.680 --> 00:22:25.740]   I want them to happen at a young age, not till a later age.
[00:22:25.740 --> 00:22:27.640]   Because when we talk about blowing it,
[00:22:27.640 --> 00:22:31.140]   I want them to blow $2 on some worthless trinket
[00:22:31.140 --> 00:22:33.780]   and experience how it gets thrown away at it.
[00:22:33.780 --> 00:22:35.860]   I don't want them to wait and blow $2,000
[00:22:35.860 --> 00:22:38.260]   on a worthless trinket when they're teenagers.
[00:22:38.260 --> 00:22:41.780]   And so I realized that money management
[00:22:41.780 --> 00:22:44.620]   and the handling of money is a skill in and of itself
[00:22:44.620 --> 00:22:46.020]   that needs to be taught.
[00:22:46.020 --> 00:22:48.220]   And in order for it to be taught,
[00:22:48.220 --> 00:22:50.160]   and since the children are gonna be too young
[00:22:50.160 --> 00:22:53.520]   to handle money, they need to be able
[00:22:53.520 --> 00:22:55.800]   to have money flowing through their hands.
[00:22:55.800 --> 00:23:00.680]   Also, I want them to have money flowing through their hands
[00:23:00.680 --> 00:23:04.000]   over which they don't have full control.
[00:23:04.000 --> 00:23:07.160]   And so I think the downside is if we wait,
[00:23:07.160 --> 00:23:09.720]   let's say we wait until a child is 15
[00:23:09.720 --> 00:23:12.560]   and your daughter goes out and gets her first job at 15
[00:23:12.560 --> 00:23:13.600]   and she's got her paycheck
[00:23:13.600 --> 00:23:16.880]   and she brings home her paycheck and $400.
[00:23:16.880 --> 00:23:19.180]   And then you try to tell her what to do with it.
[00:23:19.180 --> 00:23:20.540]   Well, then there's a question is,
[00:23:20.540 --> 00:23:22.780]   do I have the right to tell her what to do with it?
[00:23:22.780 --> 00:23:24.540]   On the one hand, obviously, yes, she's a minor,
[00:23:24.540 --> 00:23:25.540]   you could tell her what to do with it,
[00:23:25.540 --> 00:23:26.940]   but we're respecting her person.
[00:23:26.940 --> 00:23:28.740]   She's a young adult, et cetera.
[00:23:28.740 --> 00:23:31.120]   And so we would be more thoughtful about,
[00:23:31.120 --> 00:23:32.700]   we would give advice, et cetera,
[00:23:32.700 --> 00:23:34.900]   but we would be more thoughtful.
[00:23:34.900 --> 00:23:36.820]   But if you start when she's five,
[00:23:36.820 --> 00:23:39.300]   then it's not such a big deal.
[00:23:39.300 --> 00:23:43.260]   And so what I have done is I have given my children
[00:23:43.260 --> 00:23:48.260]   an allowance and then required them to spend the money
[00:23:48.260 --> 00:23:53.280]   in the way that I say.
[00:23:53.280 --> 00:23:56.280]   And so I just split it into thirds
[00:23:56.280 --> 00:23:58.600]   and a third of the money we give away, they give away,
[00:23:58.600 --> 00:24:00.400]   excuse me, a third of the money they give away,
[00:24:00.400 --> 00:24:01.600]   I don't tell them who to give it to,
[00:24:01.600 --> 00:24:03.280]   I just tell them they gotta give it away.
[00:24:03.280 --> 00:24:06.400]   A third of the money goes into their investment fund.
[00:24:06.400 --> 00:24:08.640]   I don't tell them what that has to be invested in,
[00:24:08.640 --> 00:24:10.000]   I just tell them it has to be invested
[00:24:10.000 --> 00:24:11.600]   and I explain what that means.
[00:24:11.600 --> 00:24:14.380]   And then a third of the money goes into their spending fund.
[00:24:14.380 --> 00:24:16.420]   And then in their spending fund,
[00:24:16.420 --> 00:24:18.080]   that's where they naturally save.
[00:24:18.080 --> 00:24:20.380]   So we don't have a save jar.
[00:24:20.380 --> 00:24:21.620]   It bothers me that people say,
[00:24:21.620 --> 00:24:22.620]   oh, we're gonna save money,
[00:24:22.620 --> 00:24:24.340]   but they're saving money for accumulation.
[00:24:24.340 --> 00:24:26.900]   They're not saving money to grow it as a capital.
[00:24:26.900 --> 00:24:30.920]   So I allow them to experience accumulation
[00:24:30.920 --> 00:24:35.580]   in their spending funds so that they can have the skill
[00:24:35.580 --> 00:24:37.300]   of saving money for things,
[00:24:37.300 --> 00:24:39.060]   bigger purchases that they wanna make,
[00:24:39.060 --> 00:24:40.940]   but that's separate from investing.
[00:24:40.940 --> 00:24:43.860]   And then I look to try to have opportunities
[00:24:43.860 --> 00:24:45.740]   for that money to flow through their hands.
[00:24:45.740 --> 00:24:48.260]   So if we see somebody who needs money
[00:24:48.260 --> 00:24:50.340]   or we're aware of a need or something like that,
[00:24:50.340 --> 00:24:51.380]   then they can give it.
[00:24:51.380 --> 00:24:53.420]   They have money that's set aside in advance
[00:24:53.420 --> 00:24:55.500]   for giving away to other people.
[00:24:55.500 --> 00:24:58.660]   If they see a way to make money,
[00:24:58.660 --> 00:25:00.180]   then they have investment funds.
[00:25:00.180 --> 00:25:04.820]   And my goal is that my children get richer
[00:25:04.820 --> 00:25:07.120]   every single year of their life.
[00:25:07.120 --> 00:25:10.800]   Because what I tell them is that your investment capital
[00:25:10.800 --> 00:25:12.900]   is how you get richer,
[00:25:12.900 --> 00:25:15.540]   is you put money into your investment capital.
[00:25:15.540 --> 00:25:17.660]   As it grows, you start off with $10
[00:25:17.660 --> 00:25:19.420]   and you figure out, well, what can I buy and sell?
[00:25:19.420 --> 00:25:22.660]   So you go and you buy something for $10
[00:25:22.660 --> 00:25:24.960]   and you turn around and sell it for 20, okay.
[00:25:24.960 --> 00:25:26.900]   Then we take the profits and we split those profits
[00:25:26.900 --> 00:25:27.920]   a third, a third, a third.
[00:25:27.920 --> 00:25:30.000]   So a third gets given away,
[00:25:30.000 --> 00:25:33.320]   a third gets set aside for spending,
[00:25:33.320 --> 00:25:36.060]   and a third goes back into the investment capital.
[00:25:36.060 --> 00:25:38.480]   So then that investment capital should grow and grow,
[00:25:38.480 --> 00:25:40.740]   and it should be hundreds of dollars
[00:25:40.740 --> 00:25:42.660]   when a child is, say, under 10.
[00:25:42.660 --> 00:25:43.920]   It should be thousands of dollars
[00:25:43.920 --> 00:25:46.500]   when a child is in his or her teen age years,
[00:25:46.500 --> 00:25:48.320]   and it should be tens of thousands of dollars
[00:25:48.320 --> 00:25:50.420]   when a child is in his or her 20s.
[00:25:50.420 --> 00:25:52.220]   And we wanna train the idea
[00:25:52.220 --> 00:25:54.320]   of looking for opportunities to invest money.
[00:25:54.320 --> 00:25:55.780]   Like Jim Rohn said, you know,
[00:25:55.780 --> 00:25:58.740]   you should always have a bike to ride and a bike to rent.
[00:25:58.740 --> 00:26:00.580]   Two bikes, one to ride, one to rent.
[00:26:00.580 --> 00:26:02.400]   And so we wanna train children
[00:26:02.400 --> 00:26:04.500]   to look for opportunities to grow money,
[00:26:04.500 --> 00:26:06.820]   and we can't do that if investing
[00:26:06.820 --> 00:26:09.840]   is just something that they get tossed at them
[00:26:09.840 --> 00:26:11.500]   at 15 years old.
[00:26:11.500 --> 00:26:13.880]   It's a way of thinking that I think should be cultivated
[00:26:13.880 --> 00:26:18.880]   from, say, four or five on, on a continual basis.
[00:26:18.880 --> 00:26:22.760]   And then, so I believe in giving an allowance
[00:26:22.760 --> 00:26:23.600]   for that reason.
[00:26:23.600 --> 00:26:24.960]   Now, I don't think that an allowance
[00:26:24.960 --> 00:26:26.480]   should be a permanent thing,
[00:26:26.480 --> 00:26:29.340]   nor do I think it should be a particularly luxurious thing.
[00:26:29.340 --> 00:26:31.840]   But as a father, I find it a nice thing
[00:26:31.840 --> 00:26:35.980]   because it allows me to be more of a,
[00:26:36.980 --> 00:26:40.720]   a stick in the mud, in some cases,
[00:26:40.720 --> 00:26:42.460]   than I otherwise would be.
[00:26:42.460 --> 00:26:43.300]   'Cause as a father,
[00:26:43.300 --> 00:26:44.680]   you wanna give your children great things, right?
[00:26:44.680 --> 00:26:46.320]   We spend lots of money on our children,
[00:26:46.320 --> 00:26:48.760]   and we derive a great deal of joy and pleasure
[00:26:48.760 --> 00:26:50.300]   on spending money on them.
[00:26:50.300 --> 00:26:51.660]   But if they don't have any money,
[00:26:51.660 --> 00:26:54.000]   then everything comes down to a decision of,
[00:26:54.000 --> 00:26:56.160]   am I gonna make you happy by buying this for you,
[00:26:56.160 --> 00:26:59.240]   or am I not gonna make you happy by buying this for you?
[00:26:59.240 --> 00:27:03.200]   So I find it really satisfying that my children have money,
[00:27:03.200 --> 00:27:05.960]   and I've given them a modest amount of money,
[00:27:05.960 --> 00:27:07.700]   and now they can go and do that.
[00:27:07.700 --> 00:27:10.300]   Hey, you wanna go and buy that dumb trinket over there?
[00:27:10.300 --> 00:27:12.020]   I don't have to sit here and decide,
[00:27:12.020 --> 00:27:16.640]   well, am I gonna hurt Johnny's future because I said no?
[00:27:16.640 --> 00:27:19.420]   Or fine, if you wanna buy it, you buy whatever you want.
[00:27:19.420 --> 00:27:21.580]   If you have enough money, you're welcome to buy it.
[00:27:21.580 --> 00:27:24.220]   And so I find it to be a useful parenting technique
[00:27:24.220 --> 00:27:26.700]   for me as well, to make sure that they have some money,
[00:27:26.700 --> 00:27:28.300]   'cause then they have to go through those choices.
[00:27:28.300 --> 00:27:31.540]   And I always can get to choose more things that I give,
[00:27:31.540 --> 00:27:34.020]   et cetera, that's my prerogative as a parent.
[00:27:34.020 --> 00:27:36.680]   Now, continuing on, I think this should change
[00:27:36.680 --> 00:27:38.400]   as time goes on.
[00:27:38.400 --> 00:27:40.680]   I don't know, years ago, I thought,
[00:27:40.680 --> 00:27:43.080]   well, we should just end the allowance entirely
[00:27:43.080 --> 00:27:45.640]   at, say, 12 years old, 'cause after all, you can work now,
[00:27:45.640 --> 00:27:47.080]   you should make your own money.
[00:27:47.080 --> 00:27:50.000]   But then we move into, I think, a different expression.
[00:27:50.000 --> 00:27:53.480]   The same reason that we started the allowance
[00:27:53.480 --> 00:27:55.280]   in the first place, under my thinking,
[00:27:55.280 --> 00:27:57.760]   which is to have money flowing through your hands,
[00:27:57.760 --> 00:28:01.280]   is probably the same reason we should continue it.
[00:28:01.280 --> 00:28:04.800]   But there should be more demands placed upon it.
[00:28:04.800 --> 00:28:08.620]   And so I think part of training of a young adult
[00:28:08.620 --> 00:28:12.420]   needs to be to train a young adult to make proper decisions
[00:28:12.420 --> 00:28:14.100]   with the handling of money.
[00:28:14.100 --> 00:28:18.100]   And so I think that as a parent,
[00:28:18.100 --> 00:28:21.540]   let's say you have a 14-year-old or 15-year-old,
[00:28:21.540 --> 00:28:23.340]   there are certain things that you as a parent
[00:28:23.340 --> 00:28:26.480]   are obligated to do for your child.
[00:28:26.480 --> 00:28:28.780]   For example, you're obligated to feed your child,
[00:28:28.780 --> 00:28:30.860]   you're obligated to clothe your child.
[00:28:30.860 --> 00:28:34.080]   And so I think that those are things
[00:28:34.080 --> 00:28:36.220]   that you should decide your budget
[00:28:36.220 --> 00:28:39.700]   as to how much money you're going to spend on those things.
[00:28:39.700 --> 00:28:42.220]   And then ideally, you should transition
[00:28:42.220 --> 00:28:45.640]   the control of those things over to your child.
[00:28:45.640 --> 00:28:48.020]   And so your child should be responsible
[00:28:48.020 --> 00:28:49.980]   for purchasing her own clothing.
[00:28:49.980 --> 00:28:52.020]   You know, your annual clothing budget,
[00:28:52.020 --> 00:28:54.300]   we're gonna spend $200 a quarter
[00:28:54.300 --> 00:28:56.620]   or whatever your family's number is,
[00:28:56.620 --> 00:28:58.620]   this is gonna be your clothing budget,
[00:28:58.620 --> 00:28:59.820]   this is the amount of money,
[00:28:59.820 --> 00:29:01.820]   and you're required to clothe yourself.
[00:29:01.820 --> 00:29:05.460]   Now, you let her be the one who chooses
[00:29:05.460 --> 00:29:06.780]   where she gets the clothes.
[00:29:06.780 --> 00:29:09.900]   Does she go to the expensive place or the inexpensive place?
[00:29:09.900 --> 00:29:14.780]   And then what she wears, how many outfits she buys,
[00:29:14.780 --> 00:29:17.180]   or whatever the application of this.
[00:29:17.180 --> 00:29:19.220]   Obviously, you still have authority
[00:29:19.220 --> 00:29:22.220]   over her decisions on that.
[00:29:22.220 --> 00:29:25.380]   But in general, your goal is to teach her a model.
[00:29:25.380 --> 00:29:27.000]   You know, this is how a young lady dresses.
[00:29:27.000 --> 00:29:28.720]   These are the kinds of clothes that are appealing.
[00:29:28.720 --> 00:29:30.180]   These are the kinds of clothes that are becoming.
[00:29:30.180 --> 00:29:31.940]   These are the kinds of things you should do.
[00:29:31.940 --> 00:29:35.260]   Let me show you how to get a great value for them, et cetera.
[00:29:35.260 --> 00:29:37.260]   But she should have experience doing those things.
[00:29:37.260 --> 00:29:39.580]   And the money is, you're just changing
[00:29:39.580 --> 00:29:42.620]   the purchasing decisions out of your hands into her hands.
[00:29:42.620 --> 00:29:45.220]   And then secondarily is that you're,
[00:29:45.220 --> 00:29:49.340]   or I mean also, not in secondary priority,
[00:29:49.340 --> 00:29:52.780]   but also then, you're working hard to find opportunities
[00:29:52.780 --> 00:29:55.740]   for your child to earn his or her own money.
[00:29:55.740 --> 00:29:58.840]   And that's where the real money should come from,
[00:29:58.840 --> 00:29:59.920]   is it should still be,
[00:29:59.920 --> 00:30:04.440]   I think the allowance should be reasonably high enough
[00:30:04.440 --> 00:30:06.240]   that there's enough money for your child
[00:30:06.240 --> 00:30:09.240]   to buy the things that you can transition responsibility over
[00:30:09.240 --> 00:30:13.900]   for her to make the decisions on.
[00:30:13.900 --> 00:30:15.880]   But it should be a low enough amount
[00:30:15.880 --> 00:30:17.920]   that she's still excited to get a job.
[00:30:17.920 --> 00:30:19.320]   And when you get that first paycheck,
[00:30:19.320 --> 00:30:21.280]   it should be enough money lumped together
[00:30:21.280 --> 00:30:22.480]   that it's exciting.
[00:30:22.480 --> 00:30:25.240]   And those are the basic rules that I've come up with
[00:30:25.240 --> 00:30:27.120]   and the logic behind them.
[00:30:27.120 --> 00:30:31.600]   At its core, money management is a skill.
[00:30:31.600 --> 00:30:33.400]   It's not something that you're born with.
[00:30:33.400 --> 00:30:35.600]   It's not innate and natural.
[00:30:35.600 --> 00:30:36.860]   It's not like there's some people
[00:30:36.860 --> 00:30:38.440]   who are just naturally savers
[00:30:38.440 --> 00:30:39.720]   and some people who aren't.
[00:30:39.720 --> 00:30:41.920]   I deny that entirely.
[00:30:41.920 --> 00:30:42.760]   There may be people
[00:30:42.760 --> 00:30:46.760]   who have an environmental compulsion in a certain direction,
[00:30:46.760 --> 00:30:48.840]   but people who save money,
[00:30:48.840 --> 00:30:50.960]   save money because they've learned the skills
[00:30:50.960 --> 00:30:53.960]   of saving money and they have enough reasons to save money.
[00:30:53.960 --> 00:30:56.840]   People who don't save money don't save money
[00:30:56.840 --> 00:30:59.240]   because they don't have any reasons to save money
[00:30:59.240 --> 00:31:01.840]   and they haven't accumulated the skills of saving money.
[00:31:01.840 --> 00:31:05.040]   And so what we should do is focus on laying out
[00:31:05.040 --> 00:31:07.840]   a clear vision of the reasons and goals
[00:31:07.840 --> 00:31:11.320]   as to how money gets handled in a young man or woman's life
[00:31:11.320 --> 00:31:14.960]   and then help them practice the skills on a continual basis
[00:31:14.960 --> 00:31:16.840]   until they become really good with them.
[00:31:16.840 --> 00:31:18.180]   So I have changed.
[00:31:18.180 --> 00:31:21.120]   I now support an allowance for that reason
[00:31:21.120 --> 00:31:24.400]   with the caveats that we're not just trying
[00:31:24.400 --> 00:31:26.800]   to get people accustomed to free money,
[00:31:26.800 --> 00:31:29.760]   but we're trying to make money pass through their hands,
[00:31:29.760 --> 00:31:31.360]   recognizing that that's a component
[00:31:31.360 --> 00:31:33.180]   of our responsibility as parents.
[00:31:33.180 --> 00:31:36.080]   - That sounds really good.
[00:31:36.080 --> 00:31:39.600]   Those are sort of the ideas that I had in mind.
[00:31:39.600 --> 00:31:42.320]   Do you also have any thoughts about the mechanics of it?
[00:31:42.320 --> 00:31:43.540]   Do you use cash?
[00:31:43.540 --> 00:31:45.240]   Do you use a debit card
[00:31:45.240 --> 00:31:47.560]   with some sort of shared bank account with them?
[00:31:47.560 --> 00:31:48.560]   Or how do you do it?
[00:31:48.560 --> 00:31:51.280]   - I think in the beginning years, it should all be cash
[00:31:51.280 --> 00:31:53.560]   because it keeps it very simple.
[00:31:53.560 --> 00:31:56.520]   So my children have a spending bag.
[00:31:56.520 --> 00:31:57.800]   I use little money bags.
[00:31:57.800 --> 00:32:00.380]   And I have a big collection of them.
[00:32:00.380 --> 00:32:02.320]   They're all color-coded for each child.
[00:32:02.320 --> 00:32:04.080]   And so you have your giving bag,
[00:32:04.080 --> 00:32:06.040]   your saving bag, and your spending bag.
[00:32:06.040 --> 00:32:11.100]   When I started this plan, I was overly complicated,
[00:32:11.100 --> 00:32:14.600]   as is what, excuse me, as is my wont.
[00:32:14.600 --> 00:32:17.680]   And so I had a careful ledger of every dollar made
[00:32:17.680 --> 00:32:21.000]   in the investment return, et cetera, and that was too much.
[00:32:21.000 --> 00:32:23.220]   And so I don't think that there needs
[00:32:23.220 --> 00:32:26.600]   to be careful records kept on it in the beginning.
[00:32:26.600 --> 00:32:28.120]   But there should be then a transition
[00:32:28.120 --> 00:32:31.600]   over to careful record-keeping.
[00:32:31.600 --> 00:32:35.080]   And I think that cash has far more advantages
[00:32:35.080 --> 00:32:36.700]   than disadvantages.
[00:32:36.700 --> 00:32:41.700]   We're much too quick to search for an electronic solution
[00:32:41.700 --> 00:32:44.840]   to a problem that doesn't exist.
[00:32:44.840 --> 00:32:49.320]   And the vast majority of us, if we ran our lives
[00:32:49.320 --> 00:32:52.480]   quite literally with physical currency,
[00:32:52.480 --> 00:32:55.480]   we would all be richer and better off,
[00:32:55.480 --> 00:32:59.160]   even at our advanced, sophisticated stage of life.
[00:32:59.160 --> 00:33:01.720]   Now, I don't run my life entirely on physical currency.
[00:33:01.720 --> 00:33:05.680]   So I understand that there is important value
[00:33:05.680 --> 00:33:10.660]   in these other forms of money management.
[00:33:10.660 --> 00:33:15.660]   But they're all inferior to physical currency,
[00:33:15.660 --> 00:33:20.720]   especially for young people.
[00:33:20.720 --> 00:33:24.480]   Most of us have no basic concept
[00:33:24.480 --> 00:33:28.300]   of what digits feel like to spend.
[00:33:28.300 --> 00:33:31.520]   And our children definitely don't have it.
[00:33:31.520 --> 00:33:36.520]   And so if you and I, I routinely encourage people
[00:33:36.520 --> 00:33:40.140]   to use physical currency, and forgive the slightly roundabout,
[00:33:40.140 --> 00:33:41.080]   and it's important to make the point
[00:33:41.080 --> 00:33:43.600]   as to why I'm making the recommendation I am.
[00:33:43.600 --> 00:33:47.040]   I routinely encourage people to use physical currency
[00:33:47.040 --> 00:33:50.600]   because you feel what physical currency feels like.
[00:33:50.600 --> 00:33:52.740]   So let's say you're at an adult stage of life,
[00:33:52.740 --> 00:33:56.680]   and it's very normal for you to spend hundreds of dollars
[00:33:56.680 --> 00:33:58.120]   and thousands of dollars.
[00:33:58.120 --> 00:33:59.260]   It wouldn't be unusual for you
[00:33:59.260 --> 00:34:01.280]   to spend $1,000 on a weekend, right?
[00:34:01.280 --> 00:34:05.280]   You'll have a $700 Costco trip, and $150 dinner out,
[00:34:05.280 --> 00:34:07.120]   and I don't know, $100 gas bill, right?
[00:34:07.120 --> 00:34:10.100]   That would be a very reasonable weekend for most of us.
[00:34:10.100 --> 00:34:16.380]   If you make all those purchases with a card,
[00:34:16.380 --> 00:34:19.860]   and I ask you to estimate how much money you spent,
[00:34:19.860 --> 00:34:21.680]   let's say it's Tuesday,
[00:34:21.680 --> 00:34:24.320]   or even at the end of your Saturday or on Sunday,
[00:34:24.320 --> 00:34:26.380]   then you won't have much of a sense
[00:34:26.380 --> 00:34:28.180]   of exactly how much money you spent.
[00:34:28.180 --> 00:34:29.700]   It's too hard to keep track of.
[00:34:29.700 --> 00:34:32.220]   Our brains do not track digits.
[00:34:32.220 --> 00:34:36.500]   But if you routinely take out $1,000 or $2,000
[00:34:36.500 --> 00:34:38.900]   and $100 bills and you put them in your wallet,
[00:34:38.900 --> 00:34:40.980]   every bill has a feeling to you.
[00:34:40.980 --> 00:34:44.400]   And so if you know you've spent about half the stack,
[00:34:44.400 --> 00:34:49.340]   every time you hand over the seven $100 bills at Costco,
