
[00:00:00.000 --> 00:00:02.000]   Freeberg, Freeberg. What's up?
[00:22:47.060 --> 00:22:51.200]   Wow. Yeah, 15 is way too David. David's quite
[00:22:51.200 --> 00:22:54.640]   sad. I'd say under 15. Yeah, that's not a good line. Good.
[00:22:54.640 --> 00:23:00.220]   11.5 is a good line. Okay, let me do 11.5. What do you take
[00:23:00.220 --> 00:23:02.240]   tomorrow can afford the book against all three of us. Okay,
[00:23:02.240 --> 00:23:06.860]   11.5. Tramont takes the over 11.5. Freeberg sacks. Yeah, I
[00:23:06.860 --> 00:23:07.660]   don't know under.
[00:23:07.660 --> 00:23:10.420]   Let's tell you why if you look at the last four year
[00:23:10.420 --> 00:23:13.020]   compounding of Apple stock, right and so if you
[00:23:13.020 --> 00:23:15.480]   think about reasonable number of grants as his level of
[00:23:15.480 --> 00:23:19.200]   seniority plus compounding, plus whatever he would have, you
[00:23:19.200 --> 00:23:21.900]   should be part of his team. Somebody said in this clip,
[00:23:21.900 --> 00:23:25.860]   because that's the argument is I do think you end up getting to
[00:23:25.860 --> 00:23:29.520]   probably show you got to include the appreciation. Yeah, you get
[00:23:29.520 --> 00:23:30.960]   to buy it now price at 15. And
[00:23:30.960 --> 00:23:33.760]   call it and they've also also you could make the argument
[00:23:33.760 --> 00:23:36.100]   they've rendered him unemployable in the industry. So
[00:23:36.100 --> 00:23:37.120]   there's foregone
[00:23:37.120 --> 00:23:37.920]   income.
[00:23:37.920 --> 00:23:42.200]   Then it could be 20 mental suffering. What about suffering?
[00:23:42.200 --> 00:23:42.920]   He is going to be in a position where he's going to be in a
[00:23:42.920 --> 00:23:44.460]   position where he's going to suffer, he's going to need to be
[00:23:44.460 --> 00:23:48.900]   on meds. My client is suffering. He's in therapy twice a week. He
[00:23:48.900 --> 00:23:51.260]   can't get out of bed, he's not going to be able to be in
[00:23:51.260 --> 00:23:53.920]   functional relationships. And he's too scared to leave the
[00:23:53.920 --> 00:23:54.380]   house.
[00:23:54.380 --> 00:23:56.540]   He should wait on the substack because he's gonna make so much
[00:23:56.540 --> 00:23:59.180]   money on substack. It's gonna mitigate his damages.
[00:23:59.180 --> 00:24:00.260]   Yeah, don't take
[00:24:00.260 --> 00:24:02.540]   away. Just wait on the
[00:24:02.540 --> 00:24:07.420]   you guys know what Apple's market cap divided by employees
[00:24:07.420 --> 00:24:11.780]   is. Apple is Apple's market 7 million and employee.
[00:24:12.660 --> 00:24:16.080]   Anyone else? Wait a second. There's 100,000 employees and
[00:24:16.080 --> 00:24:17.340]   it's worth 2 trillion.
[00:24:17.340 --> 00:24:22.920]   Okay, there's 150,000 employees 2.1 trillion. So it's 14 million
[00:24:22.920 --> 00:24:26.100]   an employee. So the other way to think about it is if Apple's
[00:24:26.100 --> 00:24:29.900]   like gonna lose one or two good employees over this. You know,
[00:24:29.900 --> 00:24:34.160]   they'd happily pay up to get to get the guy to be quiet. So it's
[00:24:34.160 --> 00:24:37.140]   worth one employee to pay $14 million.
[00:24:37.140 --> 00:24:40.940]   Well, no, I mean, well, you're not dividing by all the slave
[00:24:40.940 --> 00:24:41.760]   labor in China.
[00:24:41.760 --> 00:24:45.840]   And I'll recalc I'll recalc. Well, they cause they actually
[00:24:45.840 --> 00:24:50.220]   cost zero. That was bad. Sorry.
[00:24:50.220 --> 00:24:54.480]   All the time. It's dark, but it's true. I mean, this is the
[00:24:54.480 --> 00:24:58.680]   hypocrisy of Apple. They've literally got slave labor in
[00:24:58.680 --> 00:25:01.020]   their supply chain. Not that they wanted in their supply
[00:25:01.020 --> 00:25:05.220]   chain. How do you know that? How do you know that? Let's just go
[00:25:05.220 --> 00:25:07.680]   through this because like this is a common narrative. But has
[00:25:07.680 --> 00:25:10.440]   anyone actually like gotten to the bottom of that's why I said
[00:25:10.440 --> 00:25:10.980]   report.
[00:25:11.500 --> 00:25:16.540]   Yeah, yeah, it is it is known again, like I don't like I don't
[00:25:16.540 --> 00:25:17.620]   like pushing narratives.
[00:25:17.620 --> 00:25:20.740]   Why? I actually I tweeted something that I'm well, I
[00:25:20.740 --> 00:25:24.100]   retweeted something that came from I think a pretty valid
[00:25:24.100 --> 00:25:28.940]   source, that author from the Atlantic, who I think is pretty
[00:25:28.940 --> 00:25:29.500]   legit.
[00:25:29.500 --> 00:25:32.180]   Also, I just think just in terms of his quote, if he had taken
[00:25:32.180 --> 00:25:35.260]   the word woman out of the quote, most people in the Bay Area are
[00:25:35.260 --> 00:25:38.560]   soft and weak. In a zombie apocalypse. I don't think
[00:25:38.560 --> 00:25:41.240]   you're recruiting from the Bay Area. But related to this, I'm
[00:25:41.240 --> 00:25:43.280]   going to go back to the story. And I'm going to go back to this
[00:25:43.280 --> 00:25:48.380]   story. In terms of Chamath point about, you know, 1000 X
[00:25:48.380 --> 00:25:53.720]   performers. America is really doing a bad job at math and Gary
[00:25:53.720 --> 00:25:57.860]   Tan, the venture capitalist retweeted and participated in a
[00:25:57.860 --> 00:26:02.300]   tweet thread about immigrants. Who know that standardized test
[00:26:02.300 --> 00:26:04.880]   is probably your best shot at getting somewhere. Your money
[00:26:04.880 --> 00:26:08.240]   social size can take you the rules are well standardized. And
[00:26:08.240 --> 00:26:10.980]   he tells this story about this. But there was a persuasion
[00:26:10.980 --> 00:26:14.100]   about us failing math and that they're going to be in
[00:26:14.100 --> 00:26:18.940]   California, getting rid of the gifted programs for math, because
[00:26:18.940 --> 00:26:23.520]   it's unfair to the kids who are not gifted as a kid who is was
[00:26:23.520 --> 00:26:28.080]   not gifted. And to the three kids on the program who were in
[00:26:28.080 --> 00:26:30.960]   gifted programs, or at least two of you were, I have no problem
[00:26:30.960 --> 00:26:33.180]   with there being a gifted program. But any thoughts on
[00:26:33.180 --> 00:26:33.540]   this?
[00:26:33.540 --> 00:26:36.500]   I think it's shameful. Yeah,
[00:26:36.500 --> 00:26:40.080]   it really is. I mean, like we are we are really doing our level
[00:26:40.080 --> 00:26:40.740]   best to just
[00:26:40.740 --> 00:26:46.380]   completely fuck our population. Why? I mean, why is this even?
[00:26:46.380 --> 00:26:50.460]   How could this even be possible? It's like, like, just like it's
[00:26:50.460 --> 00:26:53.160]   it's kind of like the equivalent. It's the moral
[00:26:53.160 --> 00:26:55.300]   equivalent of actually saying, you know what, we're going to
[00:26:55.300 --> 00:27:01.800]   eliminate welfare for the bottom 5%. Like, our job as a society
[00:27:01.800 --> 00:27:06.100]   is to kind of like find the broadest set of solutions for
[00:27:06.100 --> 00:27:09.980]   the most number of people and solve for both extremes.
[00:27:10.500 --> 00:27:13.380]   So when you're dealing with education, you both need to
[00:27:13.380 --> 00:27:16.620]   understand that there are folks that need some kind of
[00:27:16.620 --> 00:27:20.160]   structural support. Look, when I came to Canada, I had ESL, right
[00:27:20.160 --> 00:27:22.560]   English as a second language, you take that so that you can
[00:27:22.560 --> 00:27:25.180]   learn the native language of a country. It didn't mean that I
[00:27:25.180 --> 00:27:28.480]   was stupid. It just meant that I was behind. You know, if I had
[00:27:28.480 --> 00:27:31.480]   dyslexia or something else, I would need some kind of support.
[00:27:31.480 --> 00:27:33.900]   One of my children had a speech impediment, we had a speech
[00:27:33.900 --> 00:27:37.020]   therapist, this is what you do. But on the other side, if you
[00:27:37.020 --> 00:27:39.420]   have a kid who's an incredibly high performer who has a
[00:27:39.420 --> 00:27:40.140]   potential to just
[00:27:40.260 --> 00:27:44.820]   completely crush, hey, like you should be able to give that kid
[00:27:44.820 --> 00:27:48.300]   a pathway to achieve and give back. So the idea that you
[00:27:48.300 --> 00:27:51.420]   would eliminate anything at the extremes is kind of completely
[00:27:51.420 --> 00:27:55.020]   uncompassionate and stupid, just totally fucking stupid.
[00:27:55.020 --> 00:27:58.920]   Well, it's in the name of having a more equitable math class.
[00:27:58.920 --> 00:28:02.220]   Again, I hate that word. Please don't use that word. Please
[00:28:02.220 --> 00:28:04.980]   don't use that word. That is that is the least
[00:28:04.980 --> 00:28:07.320]   way this this I mean, this goes back to the point I made a few
[00:28:07.320 --> 00:28:10.020]   episodes ago that you know, you can have progress or you can have
[00:28:10.020 --> 00:28:12.840]   equality, but it's very difficult to have both. And you
[00:28:12.840 --> 00:28:15.120]   know, if you want to try and make everyone equal and give no
[00:28:15.120 --> 00:28:18.720]   one the opportunity to have more or get more than anyone else
[00:28:18.720 --> 00:28:20.940]   because of whatever the circumstance may be, whether it's
[00:28:20.940 --> 00:28:25.960]   earned No, no, but this is my point. Like, you know, you limit
[00:28:25.960 --> 00:28:28.980]   the ability for everyone to progress as a group because
[00:28:28.980 --> 00:28:31.380]   we're now limiting the ability for folks to take calculus.
[00:28:31.380 --> 00:28:34.780]   I know equality. Look, I'll use a video game example. Equality
[00:28:34.780 --> 00:28:37.980]   means we all get to play Grand Theft Auto. Not that we have
[00:28:37.980 --> 00:28:39.780]   somebody who actually plays for us.
[00:28:39.780 --> 00:28:42.600]   And gets to the same answer and just gives you a ticket that says
[00:28:42.600 --> 00:28:46.440]   we don't get the same score on the same score. Yeah. So so the
[00:28:46.440 --> 00:28:49.500]   so that's that is what equality means is that we all get to play.
[00:28:49.500 --> 00:28:52.440]   And we all get a chance versus equity, which is leveling
[00:28:52.440 --> 00:28:55.380]   everyone. Equity is leveling everybody and saying here's your
[00:28:55.380 --> 00:28:57.780]   result, right? By the way, it's the same as this other person,
[00:28:57.780 --> 00:29:00.360]   whatever the misnomer is, but the notion of leveling everyone
[00:29:00.360 --> 00:29:02.940]   where no one can be ahead of anyone else by too far,
[00:29:02.940 --> 00:29:07.380]   obviously limits as a group, our ability for the top decile to
[00:29:07.380 --> 00:29:09.360]   increment or the top quartile to increment.
[00:29:09.540 --> 00:29:12.840]   I got to think, look, let's, let's again, use, let's again,
[00:29:12.840 --> 00:29:15.900]   use our friends because instead of ours, but, you know, we know a
[00:29:15.900 --> 00:29:20.880]   lot of really smart people who have really, really smart kids.
[00:29:20.880 --> 00:29:25.440]   We also know people in general that are in tough circumstances
[00:29:25.440 --> 00:29:30.000]   who also probably have really smart kids. Just purely
[00:29:30.000 --> 00:29:34.380]   selfishly for me, I want those kids doing the best they can to
[00:29:34.380 --> 00:29:36.660]   figure out what the hell they can invent for us in the future.
[00:29:36.660 --> 00:29:39.300]   Why would you slow those kids down?
[00:29:39.300 --> 00:29:42.600]   You know, it's kind of like saying, you know what, like, how
[00:29:42.600 --> 00:29:45.660]   about a black athlete? Would you would it be preposterous to say,
[00:29:45.660 --> 00:29:49.140]   you know what, you don't have a right to go to the NBA and make
[00:29:49.140 --> 00:29:52.140]   money for your family. I'm going to slow you down. Because
[00:29:52.140 --> 00:29:54.240]   there's another white kid that's going to go through four years
[00:29:54.240 --> 00:29:55.860]   of college. So you know what, you're going to have to go
[00:29:55.860 --> 00:29:57.660]   through four years of college and you're going to have to pay
[00:29:57.660 --> 00:29:57.900]   for it.
[00:29:57.900 --> 00:30:02.460]   Well, actually, what I would propose is when I go up to dunk
[00:30:02.460 --> 00:30:05.220]   that we just the rim automatically lowers two feet.
[00:30:05.220 --> 00:30:06.240]   Yeah, I like that.
[00:30:06.240 --> 00:30:09.060]   So I can dunk and then when you go for a layup, we'll just raise
[00:30:09.060 --> 00:30:11.340]   six inches, it'd be more equitable for me.
[00:30:11.340 --> 00:30:12.000]   That's more equitable.
[00:30:12.000 --> 00:30:13.200]   Yes, more equitable.
[00:30:13.200 --> 00:30:16.320]   Let me let me let me add another layer to this. So I agree with
[00:30:16.320 --> 00:30:18.780]   you with you guys that what we should be thinking about is
[00:30:18.780 --> 00:30:21.240]   opportunity, we should always be asking what increases
[00:30:21.240 --> 00:30:23.820]   opportunity for the most people. And that's how we should measure
[00:30:23.820 --> 00:30:27.660]   political programs. And we're not doing that here. We are sort
[00:30:27.660 --> 00:30:29.820]   of leveling down. But I would say it's even more nefarious
[00:30:29.820 --> 00:30:33.240]   than that. Which is I think what's happening is that the
[00:30:33.240 --> 00:30:36.900]   education establishment is completely failing our kids and
[00:30:36.900 --> 00:30:38.820]   our schools. And what they're trying to do is
[00:30:38.820 --> 00:30:43.320]   destroy the evidence of that failure. And so they're hiding,
[00:30:43.320 --> 00:30:47.580]   they're hiding the results. Now, this persuasion piece, yes,
[00:30:47.580 --> 00:30:51.240]   this persuasion piece lays out the statistics, which are pretty
[00:30:51.240 --> 00:30:54.240]   grim. Okay. So according to these like global measurements
[00:30:54.240 --> 00:31:00.120]   by OECD, okay, math proficiency in the US, we rank 37 in the
[00:31:00.120 --> 00:31:03.720]   world. Okay, and there's only 37 developed nations in the world,
[00:31:03.720 --> 00:31:06.420]   according to the developed. So we're last among developed
[00:31:06.420 --> 00:31:08.580]   countries, China, which is our main global
[00:31:08.580 --> 00:31:12.420]   competitor is number one. Okay. And we achieved these horrible
[00:31:12.420 --> 00:31:15.180]   results despite ranking fifth in the world in per pupil spending.
[00:31:15.180 --> 00:31:20.700]   So it's not a spending problem. Okay. And as we know, to the
[00:31:20.700 --> 00:31:22.380]   extent we do have high performing math students in the
[00:31:22.380 --> 00:31:26.460]   US, a huge majority of them are actually foreign born. And so
[00:31:26.460 --> 00:31:29.160]   we're actually kind of cheating our numbers a little bit. It's
[00:31:29.160 --> 00:31:32.100]   even worse than it appears. Now, what is the education
[00:31:32.100 --> 00:31:34.860]   establishment doing about this? How are they hiding the failure?
[00:31:34.860 --> 00:31:38.340]   Well, when school comes back in the fall, they're planning to
[00:31:38.340 --> 00:31:41.340]   eliminate accelerated math. Okay. That means that there's no more
[00:31:41.340 --> 00:31:44.280]   algebra for eighth graders who are ready to take it on. There's
[00:31:44.280 --> 00:31:47.820]   no more calculus for high schoolers who want to, you know,
[00:31:47.820 --> 00:31:51.480]   do like the AP classes and get a jump on STEM, you know, for
[00:31:51.480 --> 00:31:55.080]   college. The entire idea of gifted students is now under
[00:31:55.080 --> 00:31:58.140]   attack. Like we talked about in the name of equity, it's become
[00:31:58.140 --> 00:32:01.860]   a catchall for every bad idea. And the University of California
[00:32:01.860 --> 00:32:05.160]   system has now abandoned the SAT and ACT.
[00:32:05.160 --> 00:32:08.100]   So they temporarily got rid of those requirements during the
[00:32:08.100 --> 00:32:12.000]   pandemic. But now they've used it as an excuse. They've never
[00:32:12.000 --> 00:32:14.280]   wasted a crisis. And now they say they're not bringing back
[00:32:14.280 --> 00:32:18.780]   the requirements until at least 2025. And you can bet it's never
[00:32:18.780 --> 00:32:21.540]   going to return at all. And so here's the thing. They're trying
[00:32:21.540 --> 00:32:25.260]   to get rid of measuring how bad we are at math. So we won't have
[00:32:25.260 --> 00:32:27.900]   to think about it. They just want to give everyone a gold
[00:32:27.900 --> 00:32:30.420]   star and a pat on the back and say how equitable we are.
[00:32:30.420 --> 00:32:32.520]   You know what this reminds me of, Sax, is when you threw
[00:32:32.520 --> 00:32:35.640]   away the digital scale I got you.
[00:32:35.640 --> 00:32:37.860]   Right.
[00:32:37.860 --> 00:32:41.820]   I'm not fat because I'm not measuring it. Great.
[00:32:41.820 --> 00:32:42.960]   Perfect.
[00:32:42.960 --> 00:32:51.120]   Oh my God. It's like, we really, it's the movie Idiocracy. Literally,
[00:32:51.120 --> 00:32:53.880]   we are doing the movie Idiocracy. Have you guys seen Idiocracy?
[00:32:53.880 --> 00:32:58.080]   Why don't we just eliminate all admissions programs at every
[00:32:58.080 --> 00:33:03.060]   university and just have one global admissions board where every campus is the same? What is
[00:33:03.060 --> 00:33:07.620]   the difference between MIT and Stanford and Caltech and the
[00:33:07.620 --> 00:33:10.980]   University of Arkansas? In my opinion, there shouldn't be. It's more equitable
[00:33:10.980 --> 00:33:14.460]   to just have somebody go close to home because you can save money.
[00:33:14.460 --> 00:33:18.840]   You know, carbon emissions are lower, right? You can just take the bus to the local school.
[00:33:18.840 --> 00:33:19.560]   Also, competition is unfair.
[00:33:19.560 --> 00:33:24.840]   You can have one centralized place teach you a few basic course. I mean, if I said this,
[00:33:24.840 --> 00:33:28.920]   you'd think that I was a crazy person. Except that's basically what we're now telling all of
[00:33:28.920 --> 00:33:31.440]   our high school and middle school kids. I'm also getting rid of Michelin stars and I'd
[00:33:31.440 --> 00:33:37.380]   like Yelp to take off their review system because it's not equitable. Like, we should not have Michelin
[00:33:37.380 --> 00:33:39.600]   stars anymore. Every chef should just get-- Every restaurant's the same.
[00:33:39.600 --> 00:33:41.520]   Every restaurant should get three quarters of a star.
[00:33:41.520 --> 00:33:46.080]   We should not-- the health department should not give ranks of letters and they should not
[00:33:46.080 --> 00:33:48.660]   be forced to post it because that's inequitable. Absolutely.
[00:33:48.660 --> 00:33:50.220]   You know? Yeah.
[00:33:50.220 --> 00:33:54.240]   Also, you can game the health test. You could literally just follow the rules.
[00:33:54.240 --> 00:34:00.780]   So, let me just ask the counterpoint question, which is standardized testing,
[00:34:00.780 --> 00:34:07.140]   for example, benefits people that can afford tutors and special classes to get
[00:34:07.140 --> 00:34:09.060]   ahead and therefore-- Provide more tutors.
[00:34:09.060 --> 00:34:10.200]   Yeah, therefore-- For free.
[00:34:10.200 --> 00:34:13.740]   Well, therefore, it's higher income people that can always-- Well, the point is they can always
[00:34:13.740 --> 00:34:17.460]   layer on additional tutoring. They can always layer on additional classes and therefore, they
[00:34:17.460 --> 00:34:18.720]   can always-- There's a finite number of math.
[00:34:18.720 --> 00:34:22.380]   It's a finite score, Friedberg. You can only get 800 on the math SATs.
[00:34:22.380 --> 00:34:29.160]   I'll be somewhat flip-floppy here. I don't believe in standardized tests that much. I
[00:34:29.160 --> 00:34:32.880]   never did well particularly in standardized tests. I do think that they can be gamed,
[00:34:32.880 --> 00:34:36.900]   but that's different from what we're talking about. What we're saying is if kids
[00:34:36.900 --> 00:34:43.080]   show aptitude, we are explicitly choosing to not give them a chance to develop at their potential.
[00:34:43.080 --> 00:34:50.460]   And the problem is we do this in other areas. We do it in athletics. We do it in music. We do it
[00:34:50.460 --> 00:34:55.560]   in the arts, but we're not going to do it in STEM. That's what we're choosing to do. That is what's
[00:34:55.560 --> 00:35:00.600]   crazy. So, choose to get rid of the SAT or ACT, whatever you want. I don't care.
[00:35:00.600 --> 00:35:06.660]   But if you are the LeBron James of physics, Jesus Christ, like let that kid become
[00:35:06.660 --> 00:35:12.000]   the LeBron James of physics. I'll tell you, I got into UC Berkeley because I had great standardized
[00:35:12.000 --> 00:35:17.400]   test scores because I had an aptitude for- What was your SAT, Friedberg? Let's do this.
[00:35:17.400 --> 00:35:20.400]   I got a- Let's do this.
[00:35:20.400 --> 00:35:27.360]   An 800 math and I think it was a 720 verbal. Okay. So, you got a 1520 out of 1600 at the time.
[00:35:27.360 --> 00:35:30.360]   I got an 1160. Yeah, and I got an 800 on the math.
[00:35:30.360 --> 00:35:34.500]   Sacks. I'm last, obviously. Sacks, go ahead.
[00:35:34.500 --> 00:35:41.700]   I was 750 math, 720 verbal. 1470.
[00:35:41.700 --> 00:35:46.980]   Are you writing this down? This was pre the inflation. There was a big SAT inflation.
[00:35:46.980 --> 00:35:52.680]   I was 1510 on the SAT. Oh, we were- Okay. So, I woke up 400 points,
[00:35:52.680 --> 00:35:56.220]   500 points behind each of you. In Canada, it was just kind of like,
[00:35:56.220 --> 00:35:58.800]   we didn't even write it, but I went and I wrote it just for shits and giggles.
[00:35:58.800 --> 00:36:01.140]   I didn't do well. I didn't do well like-
[00:36:01.140 --> 00:36:03.600]   You just said you weren't good at standardized tests. So, what are you talking about?
[00:36:03.600 --> 00:36:05.700]   You're in the top 3%. Yeah.
[00:36:05.700 --> 00:36:09.600]   Yeah, I know. But generally, I wasn't a good test taker. I was in probation in college,
[00:36:09.600 --> 00:36:13.560]   academic probation. I'm not a good test taker. Yeah, but look, the reason why these tests got
[00:36:13.560 --> 00:36:18.540]   invented was actually to prevent discrimination. I think it was back in the '50s.
[00:36:18.540 --> 00:36:20.220]   Right. I think it was like,
[00:36:20.220 --> 00:36:24.300]   and at that time, it was Jews being kept out of the Ivy League. And one of the ways that
[00:36:24.300 --> 00:36:27.900]   they corrected for that was they made everyone take the same test. And so, you could see the
[00:36:27.900 --> 00:36:33.360]   scores and it would shine some light on making sure that people didn't just get in because they
[00:36:33.360 --> 00:36:40.200]   had their legacies, that they got in because they had good scores. And there's been decades
[00:36:40.200 --> 00:36:46.320]   of work since then to try and eliminate bias in the test. And so, the claims of bias now in the
[00:36:46.320 --> 00:36:51.420]   test really aren't supported. Now, to Freberg's point, obviously,
[00:36:51.420 --> 00:36:58.380]   that if you take some rich kid who lives in the suburbs who gets a 1400 and you compare that to
[00:36:58.380 --> 00:37:03.120]   a kid in the inner city who doesn't have, who grew up poor, doesn't have the advantages, and
[00:37:03.120 --> 00:37:09.300]   that kid gets a 1300, well, which score is better? Probably the 1300. And so, you can take that into
[00:37:09.300 --> 00:37:15.420]   account, in my view, in the admissions process. But eliminating the scores altogether, why would
[00:37:15.420 --> 00:37:19.260]   you want to have less information to make a decision? Yeah, there's no reason not to get
[00:37:19.260 --> 00:37:23.520]   rid of these. I would just think more holistically about how you accept students. And I mean,
[00:37:23.520 --> 00:37:28.740]   is it more competition and having better teachers, what we should be focusing on here,
[00:37:28.740 --> 00:37:32.880]   as opposed to even standardized testing or, God forbid, canceling programs? Let's
[00:37:32.880 --> 00:37:37.260]   invest in more competition for schools. Well, so in Canada, we had this thing
[00:37:37.260 --> 00:37:42.480]   where when I was graduating, we had specific different kinds of math contests and computer
[00:37:42.480 --> 00:37:48.060]   science contests and other things that you could write, the Putnam, et cetera. And
[00:37:48.060 --> 00:37:53.100]   those things were actually really instructive because they were purely verticalized things
[00:37:53.100 --> 00:37:57.420]   that could test your aptitude. And the school that I went to, University of Waterloo,
[00:37:57.420 --> 00:38:02.640]   would look at a lot of those things and adjust for it because my grades were decent. But my,
[00:38:02.640 --> 00:38:07.620]   some of those, this one specific math test I took was pretty good, I remember. And then they would
[00:38:07.620 --> 00:38:12.360]   adjust it exactly as David said to what is this kid's background and his circumstances, and they
[00:38:12.360 --> 00:38:16.860]   called it a French factor. They would just adjust my marks. And that's how I got into Waterloo,
[00:38:16.860 --> 00:38:21.840]   and I didn't think I was going to. So there's all kinds of ways where you can be smart about it. But
[00:38:21.840 --> 00:38:26.340]   again, we're talking about, guys, don't lose sight of what you're saying. We are actually going to
[00:38:26.340 --> 00:38:30.900]   cut all these kids off at the knees starting in grade eight. So forget about all of this stuff.
[00:38:30.900 --> 00:38:32.400]   Right. By the time that these kids graduate,
[00:38:32.400 --> 00:38:35.640]   they're going to be, I honestly, they're going to be like, really dumb.
[00:38:35.640 --> 00:38:40.140]   Right. The problem ultimately isn't just measurement, it's the denial of opportunity
[00:38:40.140 --> 00:38:45.540]   to learn. It's about getting rid of the learning and the classes. That's the biggest problem.
[00:38:45.540 --> 00:38:49.260]   You have to move to a state with a gifted program now, if your kid is really smart.
[00:38:49.260 --> 00:38:54.900]   Or opt out of public education, which doesn't help anybody. I mean, literally, schools don't have to
[00:38:54.900 --> 00:39:00.660]   teach. We've now designed a system to summarize. Schools don't have to compete for students.
[00:39:00.660 --> 00:39:02.160]   Teachers don't
[00:39:02.160 --> 00:39:06.600]   have to compete for jobs or for their employment. And now we're saying students don't have to
[00:39:06.600 --> 00:39:12.780]   compete. So if you remove competition from the human condition, you're just not going to have
[00:39:12.780 --> 00:39:18.420]   any performance. There's going to be no progress. And as a species, we need progress. We need to
[00:39:18.420 --> 00:39:23.820]   solve global warming. We need to solve a lot of issues. And don't we want to live longer and
[00:39:23.820 --> 00:39:31.920]   better lives? Like where is the optimistic nature of the human species? Competition is at the core of
[00:39:31.920 --> 00:39:36.240]   excellence. And to just take it out of everything, the whole stack.
[00:39:36.240 --> 00:39:40.380]   J. Cal, that's the smartest thing you've ever said. Way smarter than an 1120 SAT score.
[00:39:40.380 --> 00:39:42.480]   Thank you. Thank you.
[00:39:42.480 --> 00:39:47.880]   Are you sure it was only 1120? How lame is it that we're still talking about our SAT scores
[00:39:47.880 --> 00:39:50.100]   like 30 years later? 800 was the average. So in Brooklyn,
[00:39:50.100 --> 00:39:53.820]   when you're 320 points above average, David, it's a BFD.
[00:39:53.820 --> 00:39:58.740]   What's lame is the four of us all remember, down to the number of what our score is. That's what's
[00:39:58.740 --> 00:40:01.680]   lame. I think I was 1120, 1150. I got to look it up.
[00:40:01.680 --> 00:40:07.680]   All right. Do we want to go to the crypto meltdown or talk about inflation? Or do we
[00:40:07.680 --> 00:40:10.140]   should we dovetail those together? Or just want to go straight to UFOs?
[00:40:10.140 --> 00:40:15.660]   Well, bright Biden just they just a press release just hit the wire and they just cut the
[00:40:15.660 --> 00:40:19.260]   infrastructure bill from 2.3 trillion to 1.7 trillion.
[00:40:19.260 --> 00:40:22.560]   Oh, we're doing our job here at the podcast.
[00:40:22.560 --> 00:40:29.940]   And I had heard from somebody that there just is not the broad based support for
[00:40:31.440 --> 00:40:36.600]   capital gains tax. So that's not going to happen. And it looks like the corporate tax
[00:40:36.600 --> 00:40:43.860]   will probably go to 25%. Not even up to 28%. And interestingly, I didn't realize this. But one of
[00:40:43.860 --> 00:40:47.520]   the biggest features of the bill that has the most popularity is that they're closing this
[00:40:47.520 --> 00:40:53.700]   loophole around IP that sits outside the United States. And that more than the corporate taxes
[00:40:53.700 --> 00:40:57.600]   will raise almost a trillion dollars of revenue. I agree with that one. Why should you put your
[00:40:57.600 --> 00:41:01.200]   why is Apple I mean, you want to talk about hypocrisy, putting their IP in Ireland, so
[00:41:01.200 --> 00:41:05.940]   you don't pay taxes. It was everybody's doing that. Why does that exist? It's so un-American.
[00:41:05.940 --> 00:41:11.820]   Well, it's a subsidiary that has different taxation on it. And you know, to kind of
[00:41:11.820 --> 00:41:16.800]   that capital and that and that earnings sits outside the US
[00:41:16.800 --> 00:41:23.700]   that IP was made in California. It was not made in Dublin. No offense to you know, my home country.
[00:41:23.700 --> 00:41:29.940]   I remember Facebook, we did that we did this exact thing. We signed over all the IP. And then the IRS
[00:41:29.940 --> 00:41:30.960]   sued Facebook. And I remember Facebook was the first company to do that. And then the IRS sued
[00:41:30.960 --> 00:41:35.520]   Facebook. And I remember like I was called either to I was subpoenaed. And we went through like a
[00:41:35.520 --> 00:41:39.840]   whole multi year trial, it may still be going on. And it was around this issue, which was the IRS
[00:41:39.840 --> 00:41:45.300]   said, Hey, Facebook, how come you, you know, you ported this over there? And I think Facebook's
[00:41:45.300 --> 00:41:48.900]   answer was, yeah, we paid the tax. And I think they did. They don't think they did anything wrong
[00:41:48.900 --> 00:41:53.700]   because the laws allowed it. But it effectively helped shield then 10s of billions of dollars of
[00:41:53.700 --> 00:41:59.160]   future taxes. I mean, I remember reading about this. And I'm like, how does this pass the sniff
[00:41:59.160 --> 00:42:04.500]   test? Well, it's where the revenue is recognized J Cal. So you basically can produce the IP here and
[00:42:04.500 --> 00:42:09.240]   then transfer it to your subsidiary. When you transfer to your subsidiary, you can recognize
[00:42:09.240 --> 00:42:15.480]   the earnings in that subsidiary and that subsidiary pays taxes in its local jurisdiction. The I think
[00:42:15.480 --> 00:42:21.780]   the issue Facebook had was that they transferred the IP and they undervalued what the future value
[00:42:21.780 --> 00:42:26.820]   would be from that IP transfer. And that's why the IRS sued them is this accounting snafu in terms of
[00:42:26.820 --> 00:42:28.920]   like, what did you value it out at the moment you transferred it?
[00:42:28.920 --> 00:42:35.160]   Here's another idea. Why doesn't Why don't they look at as part of this IP licensing? Where does
[00:42:35.160 --> 00:42:41.100]   the consumption of that IP occur? And where do the employees who maintain that IP live?
[00:42:41.100 --> 00:42:45.060]   J Cal, it's a very smart idea. The problem is that's the slippery slope that then gets
[00:42:45.060 --> 00:42:49.080]   to local taxation. You know, the thing is, we have all these global tax treaties where
[00:42:49.080 --> 00:42:54.120]   these large corporate entities can basically play this game, and they're not subject to local tax.
[00:42:54.120 --> 00:42:58.680]   But that's the thing that's going to really start the undoing of the big monopoly.
