
[00:00:00.000 --> 00:00:03.200]   Well, good morning.
[00:19:18.720 --> 00:19:23.740]   but factual history tells us that he had huge palaces
[00:19:24.300 --> 00:19:27.780]   and huge gardens, and around the palaces
[00:19:27.780 --> 00:19:31.220]   and gardens was a shanty town.
[00:19:31.220 --> 00:19:34.220]   Shanty town, it was all wood.
[00:19:34.220 --> 00:19:37.460]   Lots of poor people tried to get close
[00:19:37.460 --> 00:19:41.620]   to the really rich people sort of to gain the,
[00:19:41.620 --> 00:19:43.620]   at that particular time, in this case, the emperor,
[00:19:43.620 --> 00:19:46.240]   gain the crumbs off of his table.
[00:19:46.240 --> 00:19:47.740]   Whatever he would cast out,
[00:19:47.740 --> 00:19:50.020]   they would consider to be something great.
[00:19:50.020 --> 00:19:52.140]   And so whoever was thrown out of the palace,
[00:19:52.140 --> 00:19:56.540]   so around Emperor Nero's palaces
[00:19:56.540 --> 00:19:59.740]   was this wooden shanty town.
[00:19:59.740 --> 00:20:02.900]   And Nero wanted to enlarge his palaces.
[00:20:02.900 --> 00:20:04.620]   He wanted to become greater,
[00:20:04.620 --> 00:20:06.860]   but Roman law wouldn't permit him to claim that land
[00:20:06.860 --> 00:20:08.740]   because all the poor people around the palaces
[00:20:08.740 --> 00:20:10.040]   owned that land.
[00:20:10.040 --> 00:20:12.580]   And so what he did was, in the middle of the night,
[00:20:12.580 --> 00:20:16.780]   he sent out a bunch of henchmen with lidded torches,
[00:20:16.780 --> 00:20:20.340]   and they burned down the shanty town.
[00:20:20.340 --> 00:20:23.900]   Thousands upon thousands of people died in that.
[00:20:23.900 --> 00:20:26.580]   In fact, archeologists will tell you
[00:20:26.580 --> 00:20:31.140]   that there's a layer of ash there in Rome
[00:20:31.140 --> 00:20:35.300]   that shows where all of this was burned down.
[00:20:35.300 --> 00:20:37.880]   And then, after he burned it all down,
[00:20:37.880 --> 00:20:41.620]   then he blamed it on all the Christians.
[00:20:41.620 --> 00:20:42.540]   He blamed it on the Christians.
[00:20:42.540 --> 00:20:44.140]   The Christians are the one who did it.
[00:20:44.140 --> 00:20:45.660]   When Nero was the one who did it,
[00:20:45.660 --> 00:20:49.660]   so he could claim their land and build bigger palaces.
[00:20:49.660 --> 00:20:51.940]   All right, that's what he wanted to do.
[00:20:51.940 --> 00:20:54.220]   And he hated Christians.
[00:20:54.220 --> 00:20:57.580]   In fact, we have historical accounts of the fact
[00:20:57.580 --> 00:21:00.740]   that he fed Christians to wild dogs,
[00:21:00.740 --> 00:21:03.060]   he covered them with tar,
[00:21:03.060 --> 00:21:07.100]   and mounted them on posts up in the air,
[00:21:07.100 --> 00:21:11.620]   tied, and then lit them on fire while still alive
[00:21:11.620 --> 00:21:13.980]   just to light his gardens.
[00:21:13.980 --> 00:21:17.060]   He burned them at the stake.
[00:21:19.220 --> 00:21:21.900]   He crucified them.
[00:21:21.900 --> 00:21:26.180]   And it's within that context that 1 Peter,
[00:21:26.180 --> 00:21:28.620]   that the apostle Peter, is writing to the Christians.
[00:21:28.620 --> 00:21:30.540]   Now, you think you've gone through a hard time?
[00:21:30.540 --> 00:21:31.780]   I don't think you've gone through anything
[00:21:31.780 --> 00:21:34.500]   like these Christians are going through, all right?
[00:21:34.500 --> 00:21:37.480]   And so, what do you do if you live in a world
[00:21:37.480 --> 00:21:40.420]   where everybody in the unbelieving world
[00:21:40.420 --> 00:21:42.900]   believes that you've done wicked things
[00:21:42.900 --> 00:21:45.260]   and you've done nothing wrong?
[00:21:45.260 --> 00:21:46.240]   Everybody believes.
[00:21:46.240 --> 00:21:48.580]   And by the way, our culture and our society right now
[00:21:48.580 --> 00:21:50.780]   is heading quickly in that direction,
[00:21:50.780 --> 00:21:52.680]   where all the Christians are,
[00:21:52.680 --> 00:21:54.140]   instead of being good anymore,
[00:21:54.140 --> 00:21:56.320]   are now going to be viewed as bad.
[00:21:56.320 --> 00:21:57.500]   They're going to be falsely accused.
[00:21:57.500 --> 00:21:58.660]   So how do you handle that?
[00:21:58.660 --> 00:22:01.260]   1 Peter's going to become more and more prevalent
[00:22:01.260 --> 00:22:03.400]   among Christians in reading 1 Peter
[00:22:03.400 --> 00:22:06.200]   in dealing with a wicked world who falsely accuses them.
[00:22:06.200 --> 00:22:10.540]   And so, in the midst of this,
[00:22:10.540 --> 00:22:12.460]   he's talking to husband and wives.
[00:22:12.460 --> 00:22:15.620]   In chapter three, verses one through six,
[00:22:15.620 --> 00:22:20.620]   he talks to Christian women married to unbelieving husbands.
[00:22:20.620 --> 00:22:25.220]   And these husbands sometimes may even be
[00:22:25.220 --> 00:22:27.900]   professing Christians, but they're acting like unbelievers.
[00:22:27.900 --> 00:22:30.660]   And then in 1 Peter 3, seven,
[00:22:30.660 --> 00:22:33.300]   he's talking to Christian husbands
[00:22:33.300 --> 00:22:37.700]   married to unbelieving wives, okay?
[00:22:37.700 --> 00:22:40.420]   So, what does he say in verse seven?
[00:22:40.420 --> 00:22:41.620]   Look at this, gentlemen.
[00:22:42.860 --> 00:22:46.120]   Likewise, husbands, live with your wives
[00:22:46.120 --> 00:22:47.820]   in an understanding way,
[00:22:47.820 --> 00:22:51.400]   showing honor to the woman as the weaker vessel,
[00:22:51.400 --> 00:22:56.320]   since, or it'd be better to translate this word as,
[00:22:56.320 --> 00:22:58.700]   they are heirs with you of the grace of life
[00:22:58.700 --> 00:23:01.100]   so that your prayers will not be hindered.
[00:23:01.100 --> 00:23:02.620]   In other words, the context says
[00:23:02.620 --> 00:23:04.300]   that these women are unbelievers,
[00:23:04.300 --> 00:23:07.180]   they're very difficult to live with,
[00:23:07.180 --> 00:23:11.780]   they're making their Christian husbands' lives miserable,
[00:23:11.780 --> 00:23:14.940]   and he talks to them, these husbands,
[00:23:14.940 --> 00:23:17.540]   as saying you are to treat her
[00:23:17.540 --> 00:23:20.260]   as you would a Christian wife,
[00:23:20.260 --> 00:23:22.940]   as an heir with you of the grace of life,
[00:23:22.940 --> 00:23:24.140]   is the implication.
[00:23:24.140 --> 00:23:26.120]   So, what is he saying here?
[00:23:26.120 --> 00:23:27.740]   All right, the first thing you need to remember
[00:23:27.740 --> 00:23:29.180]   in order to be a godly husband,
[00:23:29.180 --> 00:23:31.500]   we learn from this particular verse.
[00:23:31.500 --> 00:23:32.940]   In order to be a godly husband,
[00:23:32.940 --> 00:23:34.340]   you have got to be a learner.
[00:23:34.340 --> 00:23:36.600]   That's really key.
[00:23:36.600 --> 00:23:38.180]   In order to be a godly husband,
[00:23:38.180 --> 00:23:39.940]   you've got to be a learner.
[00:23:39.940 --> 00:23:41.420]   Now, why do I say that?
[00:23:41.420 --> 00:23:43.100]   Well, when you look at this verse carefully,
[00:23:43.100 --> 00:23:46.260]   it says live with your wives in an understanding way.
[00:23:46.260 --> 00:23:49.060]   I really don't like that English translation,
[00:23:49.060 --> 00:23:50.960]   living in an understanding way,
[00:23:50.960 --> 00:23:53.000]   because when you tell a guy
[00:23:53.000 --> 00:23:54.860]   you're supposed to be understanding with your wife,
[00:23:54.860 --> 00:23:56.820]   he'll say, oh, pfft, I understand her.
[00:23:56.820 --> 00:23:58.340]   After all, she's a woman.
[00:23:58.340 --> 00:24:00.420]   I mean, pfft, I understand her.
[00:24:00.420 --> 00:24:02.180]   It's almost a dismissive thing.
[00:24:02.180 --> 00:24:04.260]   That's not at all what he means here.
[00:24:04.260 --> 00:24:06.420]   In fact, the term that's used here
[00:24:06.420 --> 00:24:08.820]   is a term to dwell together with her,
[00:24:08.820 --> 00:24:11.100]   it's a soon compound Greek word,
[00:24:11.100 --> 00:24:14.620]   dwell together with her knowledgeably.
[00:24:14.620 --> 00:24:16.700]   Gnosis is the term.
[00:24:16.700 --> 00:24:19.700]   That is with conscious sensitivity.
[00:24:19.700 --> 00:24:21.340]   That's a very deliberate word.
[00:24:21.340 --> 00:24:23.260]   It's where we get the word gnostic from.
[00:24:23.260 --> 00:24:26.740]   Gnostics believe that they had a higher knowledge.
[00:24:26.740 --> 00:24:28.060]   Well, in this particular case,
[00:24:28.060 --> 00:24:32.020]   you're supposed to dwell with your unbelieving wife
[00:24:32.020 --> 00:24:34.380]   on a higher level of knowledge.
[00:24:34.380 --> 00:24:36.220]   You're supposed to dwell with her
[00:24:36.220 --> 00:24:39.760]   with a very special conscious sensitivity,
[00:24:39.760 --> 00:24:42.300]   not just understanding that she's a woman.
[00:24:42.300 --> 00:24:46.820]   We're talking about being knowledgeable about her.
[00:24:46.820 --> 00:24:48.340]   That's what we're talking about.
[00:24:48.340 --> 00:24:52.460]   Really knowing her, that's what we're talking about here.
[00:24:52.460 --> 00:24:55.900]   So the implication is that the world,
[00:24:55.900 --> 00:24:58.980]   when you say women, the world will throw their arms
[00:24:58.980 --> 00:25:03.180]   up in the air and say, ah, who can understand women?
[00:25:03.180 --> 00:25:05.580]   After all, they're like satellites in orbit.
[00:25:05.580 --> 00:25:07.180]   You can't get a fix on them.
[00:25:07.180 --> 00:25:08.980]   One day, they're on top of the world.
[00:25:08.980 --> 00:25:11.180]   The next day, they're down in the depression.
[00:25:11.180 --> 00:25:12.520]   The next day, they're on top of the world.
[00:25:12.520 --> 00:25:14.140]   The next day, they're down in depression.
[00:25:14.140 --> 00:25:15.860]   They live on the basis of their feelings.
[00:25:15.860 --> 00:25:17.220]   Da-da-da-da-da-da-da.
[00:25:17.220 --> 00:25:19.100]   That's what the world says.
[00:25:19.100 --> 00:25:21.720]   But the Bible says the opposite.
[00:25:21.720 --> 00:25:24.260]   The biblical implication requires time.
[00:25:24.260 --> 00:25:29.260]   You cannot know your wife without spending time with her.
[00:25:29.260 --> 00:25:30.800]   You've got to spend time.
[00:25:30.800 --> 00:25:32.460]   And I always get the question in counseling.
[00:25:32.460 --> 00:25:37.460]   Well, Dr. Shree, is that quantity of time?
[00:25:37.860 --> 00:25:40.280]   Is that quality time?
[00:25:40.280 --> 00:25:42.460]   I don't know.
[00:25:42.460 --> 00:25:44.980]   Some men are slow learners, so it's got to be quantity.
[00:25:44.980 --> 00:25:47.220]   All right.
[00:25:47.220 --> 00:25:50.900]   Others, it's quality time.
[00:25:50.900 --> 00:25:55.900]   Whatever the case may be, you cannot know her
[00:25:55.900 --> 00:25:59.460]   until you spend time with her.
[00:25:59.460 --> 00:26:01.900]   Now, I've counseled a lot of mixed marriages
[00:26:01.900 --> 00:26:03.220]   where you have a Christian husband married
[00:26:03.220 --> 00:26:04.380]   to an unbelieving wife.
[00:26:04.380 --> 00:26:06.980]   And in fact, one notorious counseling case
[00:26:06.980 --> 00:26:08.060]   I had several years ago,
[00:26:08.060 --> 00:26:11.940]   the wife was an avowed anti-Christian feminist,
[00:26:11.940 --> 00:26:13.420]   but she wanted to come to Christian counseling.
[00:26:13.420 --> 00:26:15.860]   So, eh, fine, come on in.
[00:26:15.860 --> 00:26:16.820]   All right.
[00:26:16.820 --> 00:26:18.260]   So I can't counsel her
[00:26:18.260 --> 00:26:20.380]   because you can't counsel an unbeliever.
[00:26:20.380 --> 00:26:21.660]   It's an impossibility.
[00:26:21.660 --> 00:26:23.640]   You cannot counsel an unbeliever.
[00:26:23.640 --> 00:26:25.320]   Why?
[00:26:25.320 --> 00:26:28.740]   Well, because if you did try to counsel them,
[00:26:28.740 --> 00:26:30.380]   you may get them to obey the Bible,
[00:26:30.380 --> 00:26:32.660]   but you can only get them to obey the Bible externally.
[00:26:32.660 --> 00:26:33.620]   So what have you really done?
[00:26:33.620 --> 00:26:36.060]   You've created a really good Pharisee.
[00:26:36.060 --> 00:26:38.860]   They can never obey the Bible from the heart.
[00:26:38.860 --> 00:26:39.700]   All right.
[00:26:39.700 --> 00:26:41.060]   All counseling is pre-counseling
[00:26:41.060 --> 00:26:43.060]   until the person comes to Christ.
[00:26:43.060 --> 00:26:45.600]   You cannot counsel them with the word of God.
[00:26:45.600 --> 00:26:47.300]   They have nothing inside of them
[00:26:47.300 --> 00:26:50.740]   that's going to be responsive to that truth.
[00:26:50.740 --> 00:26:53.020]   What you have to do is evangelize them.
[00:26:53.020 --> 00:26:53.860]   That's what you have to do.
[00:26:53.860 --> 00:26:56.060]   So I said, well, you're welcome to come in counseling.
[00:26:56.060 --> 00:26:56.900]   You're welcome to sit,
[00:26:56.900 --> 00:26:57.980]   but I'm gonna work on your husband.
[00:26:57.980 --> 00:26:58.980]   Fine.
[00:26:58.980 --> 00:27:00.220]   He needs work.
[00:27:00.220 --> 00:27:01.060]   All right.
[00:27:01.060 --> 00:27:04.540]   So she came in and I began talking about
[00:27:04.540 --> 00:27:07.380]   her responsibility to know, and she liked this.
[00:27:07.380 --> 00:27:08.460]   She's sitting there, she's going,
[00:27:08.460 --> 00:27:10.460]   "Wow, yeah, that's it.
[00:27:10.460 --> 00:27:11.860]   "I want him to know me."
[00:27:11.860 --> 00:27:12.700]   That's right.
[00:27:12.700 --> 00:27:14.060]   So in within every woman's heart,
[00:27:14.060 --> 00:27:18.420]   there is this desire for their husbands to know them.
[00:27:18.420 --> 00:27:19.420]   That's there.
[00:27:19.420 --> 00:27:20.600]   I want him to know me.
[00:27:20.600 --> 00:27:22.140]   He doesn't really know me.
[00:27:22.140 --> 00:27:26.360]   It's not, this is not an admonition given to their mothers
[00:27:26.360 --> 00:27:28.700]   or their closest girlfriend.
[00:27:28.700 --> 00:27:32.120]   This is an admonition that God gives the husband.
[00:27:32.120 --> 00:27:35.880]   The husband has the responsibility to know her
[00:27:35.880 --> 00:27:38.520]   better than anyone else on the planet.
[00:27:38.520 --> 00:27:43.520]   You are supposed to be God's resident expert on that woman
[00:27:43.520 --> 00:27:48.840]   and nobody else should know her any better than you do.
[00:27:48.840 --> 00:27:51.580]   You've gotta be a learner of her.
[00:27:51.580 --> 00:27:54.920]   Too many guys know how to command a huge business.
[00:27:54.920 --> 00:27:56.680]   They know their business inside and out.
[00:27:56.680 --> 00:27:58.480]   They don't have a clue what's going on
[00:27:58.480 --> 00:28:00.360]   in the life of their wife.
[00:28:00.360 --> 00:28:02.880]   And so their whole life becomes another failure.
[00:28:02.880 --> 00:28:05.040]   Even though from a secular point of view,
[00:28:05.040 --> 00:28:07.280]   it looks like they're succeeding really well.
[00:28:07.280 --> 00:28:10.280]   But their life is a failure.
[00:28:10.280 --> 00:28:11.880]   They don't know their wife.
[00:28:11.880 --> 00:28:14.600]   Now, there's recently been a new book out
[00:28:14.600 --> 00:28:17.200]   on how to understand women.
[00:28:17.200 --> 00:28:19.860]   I don't know whether you've seen it in bookstores or not.
[00:28:19.860 --> 00:28:23.040]   [congregation laughing]
[00:28:23.040 --> 00:28:23.880]   All right.
[00:28:23.880 --> 00:28:27.060]   It's pretty extensive.
[00:28:27.060 --> 00:28:29.300]   [laughing]
[00:28:29.300 --> 00:28:33.060]   The book on understanding women
[00:28:33.060 --> 00:28:35.980]   has finally arrived in bookstores, okay?
[00:28:35.980 --> 00:28:38.500]   So there it is.
[00:28:38.500 --> 00:28:42.180]   No, actually, it's not quite as complicated as that at all.
[00:28:42.180 --> 00:28:43.780]   I don't wanna give you that kind of an idea.
[00:28:43.780 --> 00:28:45.580]   What are we talking about here?
[00:28:45.580 --> 00:28:47.620]   Well, the biblical implication
[00:28:47.620 --> 00:28:50.640]   requires that you study your wife.
[00:28:50.640 --> 00:28:51.700]   There's the idea.
[00:28:51.700 --> 00:28:53.760]   The biblical understanding, you study her.
[00:28:53.760 --> 00:28:55.540]   How did God create women?
[00:28:55.540 --> 00:28:58.380]   What is unique about their gender?
[00:28:58.380 --> 00:29:00.100]   That's really key.
[00:29:00.100 --> 00:29:02.620]   I mean, when you were growing up as a young boy,
[00:29:02.620 --> 00:29:03.940]   you didn't stand around in the kitchen
[00:29:03.940 --> 00:29:05.720]   listening to all the women tell horror stories
[00:29:05.720 --> 00:29:07.100]   about giving birth.
[00:29:07.100 --> 00:29:08.760]   She probably did.
[00:29:08.760 --> 00:29:14.760]   That's a whole different set of experiences and thoughts.
[00:29:14.760 --> 00:29:19.260]   Oh my goodness, someday I may have to go through this.
[00:29:19.260 --> 00:29:24.260]   How did God create them in their unique gender?
[00:29:25.260 --> 00:29:27.660]   This is really important.
[00:29:27.660 --> 00:29:31.100]   A lot of men have not really given
[00:29:31.100 --> 00:29:32.660]   a whole lot of thought to that.
[00:29:32.660 --> 00:29:35.360]   And yet the Bible says,
[00:29:35.360 --> 00:29:37.220]   if you're gonna dwell with your wife,
[00:29:37.220 --> 00:29:39.820]   you've gotta dwell with her knowledgably.
[00:29:39.820 --> 00:29:42.360]   You've gotta know her.
[00:29:42.360 --> 00:29:46.080]   That involves knowing how God created women.
[00:29:46.080 --> 00:29:49.220]   Then it talks about the fact
[00:29:49.220 --> 00:29:51.660]   that not only must you understand how God created women,
[00:29:51.660 --> 00:29:52.660]   but what about your wife?
[00:29:52.660 --> 00:29:55.720]   What is unique and special about her?
[00:29:55.720 --> 00:30:01.660]   What are her unique gifts and her unique abilities
[00:30:01.660 --> 00:30:05.820]   that's different from every other woman in the world?
[00:30:05.820 --> 00:30:10.460]   She's not the same as every other woman in the world.
[00:30:10.460 --> 00:30:14.020]   So what is it that makes your wife,
[00:30:14.020 --> 00:30:18.080]   with her skillset and her abilities,
[00:30:18.080 --> 00:30:21.140]   what is it that makes her unique?
[00:30:22.180 --> 00:30:26.020]   She is a unique combination of skills
[00:30:26.020 --> 00:30:28.780]   and abilities and gifts,
[00:30:28.780 --> 00:30:32.220]   and most men have never given a whole lot of thought to that.
[00:30:32.220 --> 00:30:35.980]   What is unique about your wife?
[00:30:35.980 --> 00:30:40.260]   And then what is your wife's particular load
[00:30:40.260 --> 00:30:41.860]   that she bears in life?
[00:30:41.860 --> 00:30:46.220]   What is unique to her struggles in life?
[00:30:46.220 --> 00:30:49.060]   How is she different in this way?
[00:30:49.060 --> 00:30:50.420]   Some women have grown up
[00:30:50.420 --> 00:30:53.020]   where they've come out of terrible homes
[00:30:53.020 --> 00:30:56.700]   where mom and dad were physically abusive,
[00:30:56.700 --> 00:30:59.100]   or sometimes even sexually abusive,
[00:30:59.100 --> 00:31:02.260]   or other members of the family where that was the case,
[00:31:02.260 --> 00:31:04.000]   or they've grown up and they've had
[00:31:04.000 --> 00:31:07.360]   certain physical struggles all of their life,
[00:31:07.360 --> 00:31:08.960]   and that makes unique.
[00:31:08.960 --> 00:31:10.720]   That's a load that she bears in life,
[00:31:10.720 --> 00:31:13.980]   or she has a mother or father or brother or sisters
[00:31:13.980 --> 00:31:15.500]   that do not know the Lord,
[00:31:15.500 --> 00:31:17.880]   and this is a burden on her heart.
[00:31:17.880 --> 00:31:22.520]   That's a unique load that she bears in life.
[00:31:22.520 --> 00:31:26.580]   So how is your wife unique in that way,
[00:31:26.580 --> 00:31:28.260]   in her struggles in life,
[00:31:28.260 --> 00:31:31.440]   and how is she different in this way?
[00:31:31.440 --> 00:31:35.220]   The better you understand that,
[00:31:35.220 --> 00:31:38.380]   the better you will know your wife.
[00:31:38.380 --> 00:31:39.900]   Sometimes in counseling,
[00:31:39.900 --> 00:31:43.060]   I have a list of 50 questions that are often given husbands,
[00:31:43.060 --> 00:31:44.820]   and I'll say, "Okay, between now
[00:31:44.820 --> 00:31:47.440]   "and the next counseling appointment that we have,
[00:31:47.440 --> 00:31:49.840]   "I want you to take your wife out on a date.
[00:31:49.840 --> 00:31:51.620]   "I want you to find a little restaurant
[00:31:51.620 --> 00:31:52.940]   "where you can get along,
[00:31:52.940 --> 00:31:55.520]   "where just the two of you are just set aside over there,
[00:31:55.520 --> 00:31:58.900]   "and I want you to interview her with these 50 questions,
[00:31:58.900 --> 00:32:01.860]   "just like somebody from a television station
[00:32:01.860 --> 00:32:02.960]   "would come and interview her.
[00:32:02.960 --> 00:32:03.940]   "I want you to interview her,
[00:32:03.940 --> 00:32:06.660]   "and I want you to write down all of her answers."
[00:32:06.660 --> 00:32:07.580]   Okay?
[00:32:07.580 --> 00:32:09.100]   And the first questions are pretty easy,
[00:32:09.100 --> 00:32:11.120]   but when they get into them about,
[00:32:11.120 --> 00:32:14.420]   we're getting down to 30, 31, 32, 33,
[00:32:14.420 --> 00:32:15.980]   they start to get more and more difficult.
[00:32:15.980 --> 00:32:17.040]   It requires a lot more thought,
[00:32:17.040 --> 00:32:17.960]   and pretty soon she's saying,
[00:32:17.960 --> 00:32:19.780]   "You know, I'm not sure what I really think about that.
[00:32:19.780 --> 00:32:21.740]   "Let me think on it for a little bit."
[00:32:21.740 --> 00:32:26.760]   Now, I want him to show me that he did it,
[00:32:26.760 --> 00:32:29.440]   but I'm not interested in what she said,
[00:32:29.440 --> 00:32:31.840]   because it's not my responsibility to know her.
[00:32:31.840 --> 00:32:34.060]   I wanna make sure he did it.
[00:32:34.060 --> 00:32:35.240]   That's it.
[00:32:35.240 --> 00:32:39.020]   I wanna make sure he's interviewed her, he knows her.
[00:32:39.020 --> 00:32:40.780]   That kind of primes the pump.
[00:32:40.780 --> 00:32:44.820]   That gets him started thinking in those areas.
[00:32:44.820 --> 00:32:48.320]   He probably knows his business really, really well.
[00:32:48.320 --> 00:32:53.320]   Now he's gotta know his wife even better than his business.
[00:32:53.320 --> 00:32:57.800]   He's gotta know her better than her best friend knows her,
[00:32:57.800 --> 00:33:01.800]   better than their oldest daughter knows her.
[00:33:01.800 --> 00:33:04.560]   That's his job.
[00:33:04.560 --> 00:33:06.480]   That's his responsibility.
[00:33:06.480 --> 00:33:11.480]   You're supposed to dwell with her knowledgeably.
[00:33:11.480 --> 00:33:12.620]   This is important.
[00:33:13.940 --> 00:33:14.900]   Why?
[00:33:14.900 --> 00:33:15.860]   Why is it so important?
[00:33:15.860 --> 00:33:18.400]   Well, you have to give attention to her
[00:33:18.400 --> 00:33:21.160]   as to a weaker vessel.
[00:33:21.160 --> 00:33:23.880]   Now that does not mean, you'll notice here,
[00:33:23.880 --> 00:33:27.480]   and I'm reading from the English Standard Version,
[00:33:27.480 --> 00:33:32.480]   here it says, "Showing honor with her as the weaker vessel."
[00:33:32.480 --> 00:33:35.640]   That doesn't mean she's necessarily physically weak.
[00:33:35.640 --> 00:33:37.000]   That's not what it's referring to.
[00:33:37.000 --> 00:33:40.960]   The word weaker really should be translated here, delicate.
[00:33:40.960 --> 00:33:44.220]   And the word vessel is referenced to a clay pot.
[00:33:44.220 --> 00:33:46.220]   Back in the first century, clay pots were used.
[00:33:46.220 --> 00:33:49.300]   When you go to the well, you'd fill a clay pot full of water
[00:33:49.300 --> 00:33:52.460]   and if you set it down too hard on a sharp stone or rock,
[00:33:52.460 --> 00:33:55.380]   it would crack the clay pot, so you had to be really careful.
[00:33:55.380 --> 00:33:57.060]   When you filled it with water, it was very heavy
[00:33:57.060 --> 00:34:00.140]   to set it in a place where it wouldn't crack.
[00:34:00.140 --> 00:34:03.780]   And in this similar way, you had to treat it with delicacy.
[00:34:03.780 --> 00:34:06.620]   This is exactly what needs to be done
[00:34:06.620 --> 00:34:08.300]   in regards to your wife.
[00:34:08.300 --> 00:34:10.780]   Why?
[00:34:10.780 --> 00:34:15.780]   Because God says He's the one who sovereignly,
[00:34:15.780 --> 00:34:18.760]   in His goodness, gave her to you.
[00:34:18.760 --> 00:34:25.420]   So you need to treat her as a special gift from Him,
[00:34:25.420 --> 00:34:29.060]   as a delicate clay pot.
[00:34:29.060 --> 00:34:32.940]   Let me use this as an illustration.
[00:34:32.940 --> 00:34:34.220]   Let's say, for instance,
[00:34:36.220 --> 00:34:40.660]   some long-launched relative willed you, in their will,
[00:34:40.660 --> 00:34:46.120]   a fifth-century Ming vase worth millions.
[00:34:46.120 --> 00:34:49.860]   Oh, wouldn't that be nice?
[00:34:49.860 --> 00:34:51.380]   All right?
[00:34:51.380 --> 00:34:55.580]   Now, if you wanted a picture for your living room
[00:34:55.580 --> 00:34:57.620]   or above your fireplace,
[00:34:57.620 --> 00:35:00.020]   you do have fireplaces here in Florida, right?
[00:35:00.020 --> 00:35:03.020]   No fireplaces, okay, on your table.
[00:35:05.140 --> 00:35:10.140]   But if you wanted a vase and you went down to Walmart
[00:35:10.140 --> 00:35:15.740]   or Target or whatever your favorite, not Cracker Barrel,
[00:35:15.740 --> 00:35:18.660]   but wherever you buy vases,
[00:35:18.660 --> 00:35:24.180]   and you bought it, my guess would be you'd pay $25, $30
[00:35:24.180 --> 00:35:27.580]   for that vase, you'd check it out, throw it in a plastic bag,
[00:35:27.580 --> 00:35:29.940]   take it out, throw it in the backseat, take it home,
[00:35:29.940 --> 00:35:32.700]   put it up on the mantel, put some dried flowers in it,
[00:35:32.700 --> 00:35:34.280]   dust it off occasionally.
[00:35:34.280 --> 00:35:37.620]   Now, if you inherited a fifth-century Ming vase,
[00:35:37.620 --> 00:35:41.100]   you wouldn't go collect it, throw it in a plastic bag,
[00:35:41.100 --> 00:35:43.700]   pitch it in the backseat, take it home, sit it up,
[00:35:43.700 --> 00:35:46.100]   put some dried flowers in it, dust it off occasionally.
[00:35:46.100 --> 00:35:49.780]   No, you'd probably, now I know some of you guys are sitting,
[00:35:49.780 --> 00:35:52.340]   I'd sell it, and that ruins my whole illustration.
[00:35:52.340 --> 00:35:53.700]   (audience laughing)
[00:35:53.700 --> 00:35:54.540]   All right?
[00:35:54.540 --> 00:36:01.580]   No, you just had to keep it for a little while.
[00:36:01.580 --> 00:36:03.340]   The value's going up.
[00:36:03.340 --> 00:36:04.180]   All right?
[00:36:04.180 --> 00:36:09.340]   No, you'd probably hire Brink Security
[00:36:09.340 --> 00:36:12.460]   with an atmospherically-controlled vault
[00:36:12.460 --> 00:36:14.620]   that would pull up and get this thing,
[00:36:14.620 --> 00:36:18.640]   and you would strap it down on a nice, really soft pillow
[00:36:18.640 --> 00:36:22.060]   to make sure that it doesn't get damaged in transport,
[00:36:22.060 --> 00:36:25.620]   and you would lock it up in a,
[00:36:25.620 --> 00:36:28.540]   now, I'm not talking about locking your wife up in a vault,
[00:36:28.540 --> 00:36:31.940]   but you get the idea, you would treat it
[00:36:31.940 --> 00:36:34.620]   with extreme value, all right?
[00:36:34.620 --> 00:36:39.260]   Most guys don't treat their wives like that.
[00:36:39.260 --> 00:36:42.060]   They don't treat their wives like fifth-century Ming vase,
[00:36:42.060 --> 00:36:44.640]   they treat 'em like Tupperware, all right?
[00:36:44.640 --> 00:36:47.860]   That's the way they treat their wives.
[00:36:47.860 --> 00:36:50.100]   No, no, no, sitting next to you
[00:36:50.100 --> 00:36:53.180]   is your fifth-century Ming vase.
[00:36:53.180 --> 00:36:58.180]   You are treated with respect as a delicate vase,
[00:36:58.460 --> 00:37:02.460]   as a piece of fine china, is the idea,
[00:37:02.460 --> 00:37:04.420]   where you're not gonna throw it around and bump it around,
[00:37:04.420 --> 00:37:06.340]   you're not gonna do any of that stuff.
[00:37:06.340 --> 00:37:09.780]   No, no, no, this is your treasure.
[00:37:09.780 --> 00:37:11.820]   That's what should be happening.
[00:37:11.820 --> 00:37:13.500]   You're to give attention to her.
[00:37:13.500 --> 00:37:17.740]   This means to honor her, respect her,
[00:37:17.740 --> 00:37:21.140]   cherish her as you would an expensive piece of fine china.
[00:37:21.140 --> 00:37:25.660]   She is to be treated with utmost value.
[00:37:25.660 --> 00:37:27.960]   Hence the idea, listen to this,
[00:37:27.960 --> 00:37:32.300]   husbands, live with your wives in a knowledgeable way,
[00:37:32.300 --> 00:37:34.260]   showing honor, the word there, honor,
[00:37:34.260 --> 00:37:39.260]   is respect to the woman as a delicate vase, is the idea.
[00:37:39.260 --> 00:37:45.820]   And as she is, heirs with you of the gracious gift of life.
[00:37:45.820 --> 00:37:49.520]   Let me ask you a question.
[00:37:49.520 --> 00:37:52.420]   Are you treating your wife that way?
[00:37:52.420 --> 00:37:57.180]   Are you treating your wife that way?
[00:37:57.180 --> 00:38:01.860]   Treating her with respect, with honor?
[00:38:01.860 --> 00:38:04.940]   That's really important.
