
[00:00:00.000 --> 00:00:15.680]   Welcome to the
[00:24:46.040 --> 00:24:50.360]   at an early stage where there are other people who are just – they have a gut instinct
[00:24:50.360 --> 00:24:52.000]   and they say, "No, this is the way it is.
[00:24:52.000 --> 00:24:53.000]   This is the way the world is."
[00:24:53.000 --> 00:24:54.000]   I admire those people.
[00:24:54.000 --> 00:24:55.520]   That's not me.
[00:24:55.520 --> 00:25:02.080]   And all of that idea about the efficient market hypothesis, I took it far too far in my own
[00:25:02.080 --> 00:25:08.480]   life and it's hurt me because I didn't have the forethought to be willing to take bets
[00:25:08.480 --> 00:25:10.800]   on things that I thought were true.
[00:25:10.800 --> 00:25:16.040]   Well, speaking personally, now that I have identified that, I'm changing.
[00:25:16.040 --> 00:25:17.880]   I was wrong.
[00:25:17.880 --> 00:25:24.840]   I've identified to the best of my ability the source of why I was wrong and now I reject
[00:25:24.840 --> 00:25:30.440]   that previous way of thinking and I'm willing at this point in my life to take bets on myself
[00:25:30.440 --> 00:25:32.400]   and on my own hunches.
[00:25:32.400 --> 00:25:36.120]   I have a good safety mechanism with good financial planning to say, "Hey, I'm not going to
[00:25:36.120 --> 00:25:41.040]   ruin myself," but I'm willing to bet my money on what I think is happening and I'm willing
[00:25:41.040 --> 00:25:42.040]   to bet my life on it.
[00:25:42.040 --> 00:25:43.600]   I'm willing to make life decisions on it.
[00:25:43.600 --> 00:25:45.800]   I'll give you a couple of examples.
[00:25:45.800 --> 00:25:48.120]   Geography matters.
[00:25:48.120 --> 00:25:52.440]   Geography matters to your daily experience of life.
[00:25:52.440 --> 00:25:54.520]   I've tried to emphasize how important that is.
[00:25:54.520 --> 00:25:57.600]   If you like living a beach lifestyle, choose a beach place to live.
[00:25:57.600 --> 00:26:01.200]   If you like a mountains lifestyle, choose a mountains lifestyle to live.
[00:26:01.200 --> 00:26:04.120]   But geography also matters to economics.
[00:26:04.120 --> 00:26:09.200]   This is why all over the world, the trend is for people to move from rural regions into
[00:26:09.200 --> 00:26:10.200]   cities.
[00:26:10.200 --> 00:26:15.000]   As far as I can tell, the continued growth of mega cities is inevitable.
[00:26:15.000 --> 00:26:23.420]   I guess inevitable is too much of a word, but it's a very strong chance that the cities
[00:26:23.420 --> 00:26:25.520]   are going to continue to grow.
[00:26:25.520 --> 00:26:28.960]   Doesn't mean that all cities are going to continue to grow everywhere, but on the whole,
[00:26:28.960 --> 00:26:34.120]   speaking globally, mega cities and very large cities, as I see it, are going to continue
[00:26:34.120 --> 00:26:40.600]   to grow because what they offer is a very, very compelling set of benefits.
[00:26:40.600 --> 00:26:41.960]   Now there may be difficulties.
[00:26:41.960 --> 00:26:47.120]   New York City might be in a difficult place right now.
[00:26:47.120 --> 00:26:50.920]   San Francisco might be in a very difficult place right now.
[00:26:50.920 --> 00:26:54.760]   I think there's good reasons to believe that the difficulties in these particular cities
[00:26:54.760 --> 00:27:00.000]   will continue, but I don't expect Mexico City to continue to be in a difficult space.
[00:27:00.000 --> 00:27:05.040]   I don't expect Istanbul to face those same trends.
[00:27:05.040 --> 00:27:08.920]   There are some unique trends, I think, about certain things that are happening in the US
[00:27:08.920 --> 00:27:11.560]   culture that are going to continue, but at the end of the day, New York is still going
[00:27:11.560 --> 00:27:14.880]   to continue to be attractive to many people.
[00:27:14.880 --> 00:27:20.440]   On a global basis, some of the other global mega cities have some benefits that a city
[00:27:20.440 --> 00:27:23.600]   like a New York City doesn't have.
[00:27:23.600 --> 00:27:27.800]   I think this trend is going to continue.
[00:27:27.800 --> 00:27:32.560]   So if you were living out in the country and you wanted to get yourself in the way of a
[00:27:32.560 --> 00:27:37.840]   beta trend, you're going to find it easier to build wealth, to get a good job, if you
[00:27:37.840 --> 00:27:43.600]   move from a little podunk town in the middle of nowhere to a city.
[00:27:43.600 --> 00:27:46.960]   There are going to be more economic opportunities, which is why millions and millions of people
[00:27:46.960 --> 00:27:49.720]   all around the world are doing this.
[00:27:49.720 --> 00:27:52.080]   If it's not right for you, you don't want to live in a city, it doesn't mean you have
[00:27:52.080 --> 00:27:55.240]   to, especially today.
[00:27:55.240 --> 00:27:59.040]   You can make a fortune in the country, but you should be aware that if you don't have
[00:27:59.040 --> 00:28:04.560]   any better ideas, you can probably increase your earning power by moving to a city.
[00:28:04.560 --> 00:28:06.520]   But let's talk about globally.
[00:28:06.520 --> 00:28:10.120]   This to me seems obvious.
[00:28:10.120 --> 00:28:17.640]   I personally am convinced that most of the West, specifically Western Europe and North
[00:28:17.640 --> 00:28:26.840]   America, most of these countries are in either malaise or decline.
[00:28:26.840 --> 00:28:29.880]   I don't think that they will be in precipitous decline.
[00:28:29.880 --> 00:28:33.320]   I think what's more personally more likely is a general sense of malaise.
[00:28:33.320 --> 00:28:36.560]   Where I'm most familiar, of course, the United States, I think you see this.
[00:28:36.560 --> 00:28:40.240]   You see just this general sense of lack of optimism for the future.
[00:28:40.240 --> 00:28:43.920]   You see incredible levels of discontent, of discord in the society.
[00:28:43.920 --> 00:28:48.600]   You don't get a sense of a people bursting with energy and a vision for the future.
[00:28:48.600 --> 00:28:51.440]   You don't get a sense of collaboration.
[00:28:51.440 --> 00:28:52.640]   Now what can change this?
[00:28:52.640 --> 00:28:53.720]   I don't know.
[00:28:53.720 --> 00:28:57.560]   Maybe some amazing leader could come along and re-inspire it.
[00:28:57.560 --> 00:29:00.280]   Maybe a JFK could say, "We're going to the moon."
[00:29:00.280 --> 00:29:02.440]   And all of a sudden everyone said, "Yes, we're going to the moon."
[00:29:02.440 --> 00:29:04.320]   I love to watch Apollo 13.
[00:29:04.320 --> 00:29:10.200]   I love to see a movie like that and imagine what it was like to be living in a time when
[00:29:10.200 --> 00:29:11.640]   you do that.
[00:29:11.640 --> 00:29:15.360]   You have some of that pride when they land a rover on Mars.
[00:29:15.360 --> 00:29:17.680]   I have some of that pride when I watch SpaceX launches.
[00:29:17.680 --> 00:29:20.840]   I really enjoy watching SpaceX launches with my children.
[00:29:20.840 --> 00:29:27.920]   I gain some kind of glimmer of that sense of nationalistic pride again.
[00:29:27.920 --> 00:29:28.920]   So maybe it happens again.
[00:29:28.920 --> 00:29:29.920]   It could.
[00:29:29.920 --> 00:29:34.800]   But in general, I think there's good reasons to believe that these areas are in decline.
[00:29:34.800 --> 00:29:38.800]   I'll give some examples just so that you can consider for yourself.
[00:29:38.800 --> 00:29:43.840]   In my observation, there are probably three big things that – maybe four – that really
[00:29:43.840 --> 00:29:49.360]   hinder the West generally, Western Europe, North America.
[00:29:49.360 --> 00:29:52.260]   I'll just speak mostly about the United States.
[00:29:52.260 --> 00:29:56.840]   One of the most obvious ones is population decline.
[00:29:56.840 --> 00:30:03.760]   Most Western countries have birth rates far below replacement rates.
[00:30:03.760 --> 00:30:10.920]   So you don't have a stable sense of population, but you have declining population.
[00:30:10.920 --> 00:30:15.600]   Now this is generally being offset right now with immigration.
[00:30:15.600 --> 00:30:20.040]   You have a country like Canada, this relatively small country that's importing hundreds of
[00:30:20.040 --> 00:30:25.440]   thousands of immigrants every year to try to lead to economic growth and seems to be
[00:30:25.440 --> 00:30:29.460]   successful, at least in some measures, things like real estate marketplaces, et cetera.
[00:30:29.460 --> 00:30:32.400]   But it's primarily happening through immigration.
[00:30:32.400 --> 00:30:35.080]   Immigration brings its own unique set of challenges.
[00:30:35.080 --> 00:30:37.000]   You see this all around the world.
[00:30:37.000 --> 00:30:41.080]   In my experience, I've never traveled a place where there's just been total complete
[00:30:41.080 --> 00:30:44.840]   peace and harmony between large numbers of immigrants.
[00:30:44.840 --> 00:30:46.620]   You see this in Western Europe.
[00:30:46.620 --> 00:30:52.280]   You see general sense of societal unease relating to immigrants from Africa.
[00:30:52.280 --> 00:30:57.360]   You see this in North America with immigrants from all over, but in the United States especially
[00:30:57.360 --> 00:30:59.120]   from Central America.
[00:30:59.120 --> 00:31:03.240]   And so you see this general sense of tension happening across the society, at least a political
[00:31:03.240 --> 00:31:05.800]   strife, et cetera.
[00:31:05.800 --> 00:31:07.200]   Why?
[00:31:07.200 --> 00:31:09.040]   And does that change?
[00:31:09.040 --> 00:31:10.440]   I don't put my opinion.
[00:31:10.440 --> 00:31:11.440]   I don't think it changes.
[00:31:11.440 --> 00:31:17.680]   Number one, the cultural trend seems to be against having children, which means declining
[00:31:17.680 --> 00:31:19.280]   population.
[00:31:19.280 --> 00:31:22.840]   And while I think that most of these countries with declining populations are going to have
[00:31:22.840 --> 00:31:28.000]   to massively increase their immigration perspectives, at this point in time, I don't think that
[00:31:28.000 --> 00:31:35.880]   there's a solid enough home country culture to lead to successful assimilation of immigrants.
[00:31:35.880 --> 00:31:39.280]   And so I think we're going to see more and more balkanization, so to speak, more and
[00:31:39.280 --> 00:31:45.840]   more separation, where instead of having immigrants being able to be assimilated into a strong
[00:31:45.840 --> 00:31:52.400]   central culture, you'll see various groups of immigrants retaining their own local identity
[00:31:52.400 --> 00:31:55.360]   rather than grasping the central identity.
[00:31:55.360 --> 00:32:00.560]   You see this right now in France with the French government seeking to pass laws requiring
[00:32:00.560 --> 00:32:07.400]   the French Muslim community to integrate more fully into the community.
[00:32:07.400 --> 00:32:11.880]   And this is especially, I think, challenging in secular cultures like you see in France,
[00:32:11.880 --> 00:32:16.480]   because my personal opinion, I don't think secularism has the foundation to do that.
[00:32:16.480 --> 00:32:21.640]   I personally think that you'll see much – a massive growth of Islam throughout Western
[00:32:21.640 --> 00:32:26.160]   Europe rather than a growth of secularization we'll see in the coming years.
[00:32:26.160 --> 00:32:30.000]   But this point of population growth is a major factor.
[00:32:30.000 --> 00:32:31.360]   Now what does this matter?
[00:32:31.360 --> 00:32:34.600]   Well, it ties into the second time, the second thing.
[00:32:34.600 --> 00:32:38.360]   When you look at a culture like the United States, you see that it is burdened by the
[00:32:38.360 --> 00:32:41.160]   decisions and the promises of the past.
[00:32:41.160 --> 00:32:47.800]   So you had a previous very robust, very healthy economy, very healthy country.
[00:32:47.800 --> 00:32:50.000]   You had growing populations.
[00:32:50.000 --> 00:32:51.000]   You had economic growth.
[00:32:51.000 --> 00:32:53.200]   It seemed like the sky was the limit.
[00:32:53.200 --> 00:32:55.880]   And so then you had people come out and pass all of these ideas.
[00:32:55.880 --> 00:32:57.120]   We're going to have Medicare.
[00:32:57.120 --> 00:32:58.520]   We're going to have Social Security.
[00:32:58.520 --> 00:33:00.840]   We're going to have social safety nets.
[00:33:00.840 --> 00:33:02.040]   We can borrow money to expand.
[00:33:02.040 --> 00:33:03.040]   It's all going to be great.
[00:33:03.040 --> 00:33:05.560]   It's going to be fantastic.
[00:33:05.560 --> 00:33:10.720]   But then when you have a declining population, all of a sudden now those promises don't
[00:33:10.720 --> 00:33:12.280]   work anymore.
[00:33:12.280 --> 00:33:17.140]   And yet the society is still burdened under the weight of these things.
[00:33:17.140 --> 00:33:20.720]   So you see the political instability in the United States.
[00:33:20.720 --> 00:33:26.680]   You see this whipsaw effect between a George W. Bush and then a snapping all the way over
[00:33:26.680 --> 00:33:32.300]   to a Barack Obama, then a snapping from a Barack Obama to a Donald Trump, then a snapping
[00:33:32.300 --> 00:33:34.680]   from a Donald Trump to a Joe Biden.
[00:33:34.680 --> 00:33:36.120]   And then we'll see what's next.
[00:33:36.120 --> 00:33:37.120]   Why?
[00:33:37.120 --> 00:33:43.920]   Well, you have this government that is laden by decades and decades of promises, but those
[00:33:43.920 --> 00:33:45.840]   promises weren't paid for.
[00:33:45.840 --> 00:33:51.480]   And so it's very easy for a politician to identify the problems and with skillful public
[00:33:51.480 --> 00:33:54.960]   rhetoric to rile people up to vote for him.
[00:33:54.960 --> 00:33:59.080]   But then when he comes into office, there's virtually nothing he can do because there's
[00:33:59.080 --> 00:34:05.460]   this immense bureaucracy whose hands and feet are all tied by all of these promises.
[00:34:05.460 --> 00:34:11.320]   And the US president elected in 2020 can only affect a tiny percentage of the budget compared
[00:34:11.320 --> 00:34:14.240]   to a US president elected in 1920.
[00:34:14.240 --> 00:34:15.320]   Why?
[00:34:15.320 --> 00:34:21.640]   Because 75% of the budget goes to Medicare, Medicaid, Social Security, and military spending.
[00:34:21.640 --> 00:34:27.400]   So you have a country that's mired in these decisions of the past and these expectations
[00:34:27.400 --> 00:34:32.000]   that were built for a society that no longer exists.
[00:34:32.000 --> 00:34:35.080]   And this leads to a sense of malaise, a sense of frustration.
[00:34:35.080 --> 00:34:37.400]   In the same way, so I'll finish it.
[00:34:37.400 --> 00:34:44.240]   And then you have a world in which you have a flattening occur.
[00:34:44.240 --> 00:34:48.960]   And many of the geographical features, many of the technological features where you had
[00:34:48.960 --> 00:34:56.440]   US American superiority, well, those areas of superiority are no longer as clear.
[00:34:56.440 --> 00:34:59.160]   So you have a massive empire that's difficult to maintain.
[00:34:59.160 --> 00:35:05.000]   And it seems to me, I don't see a lot of room for things to run personally.
[00:35:05.000 --> 00:35:08.880]   So when I think about where are things likely to be in the West in the coming years, where
[00:35:08.880 --> 00:35:13.080]   are things likely to be in the United States economically 30 years from now, 50 years from
[00:35:13.080 --> 00:35:16.160]   now, again, could be wrong.
[00:35:16.160 --> 00:35:22.080]   But to me, it seems pretty obvious that without a massive level of bankruptcy to clear the
[00:35:22.080 --> 00:35:30.400]   old debt, that a society like the United States is going to be pretty well mired in malaise
[00:35:30.400 --> 00:35:34.520]   for quite a while.
[00:35:34.520 --> 00:35:37.760]   Let's use a personal finance example.
[00:35:37.760 --> 00:35:42.800]   Imagine a guy, maybe a 55-year-old guy.
[00:35:42.800 --> 00:35:46.860]   He's been really successful, very successful.
[00:35:46.860 --> 00:35:52.440]   But the reality is he's more tired at 55 than he was at 25.
[00:35:52.440 --> 00:35:57.960]   And imagine that he built his whole life thinking that he was going to be as energetic at 55
[00:35:57.960 --> 00:35:59.600]   as he was at 25.
[00:35:59.600 --> 00:36:04.280]   And he made all these decisions to borrow lots and lots and lots of money to sign himself
[00:36:04.280 --> 00:36:06.880]   up for all kinds of obligations.
[00:36:06.880 --> 00:36:09.680]   And so his financial life became very, very heavy.
[00:36:09.680 --> 00:36:16.240]   And now at 55, he's trying to maintain the image of being the guy who still got it all
[00:36:16.240 --> 00:36:17.240]   together.
[00:36:17.240 --> 00:36:21.120]   But the reality is he's not as vigorous or as productive as he used to be.
[00:36:21.120 --> 00:36:23.480]   It's kind of how I picture the United States.
[00:36:23.480 --> 00:36:27.480]   It's not that the 55-year-old guy is going to die today.
[00:36:27.480 --> 00:36:31.400]   It's just that he's really burdened down, right?
[00:36:31.400 --> 00:36:33.960]   He's got a lot of debt.
[00:36:33.960 --> 00:36:35.280]   He's not as young as he once was.
[00:36:35.280 --> 00:36:37.080]   He doesn't have the advantages he once was.
[00:36:37.080 --> 00:36:41.840]   He can't move his fingers on his iPhone screen as quickly as his 15-year-old son can.
[00:36:41.840 --> 00:36:47.400]   And yet he's living in a world in which that iPhone screen is a ticket to wealth for many
[00:36:47.400 --> 00:36:48.400]   15-year-olds.
[00:36:48.400 --> 00:36:50.600]   It's not to say he's not powerful, right?
[00:36:50.600 --> 00:36:52.520]   The 55-year-old guy has connections.
[00:36:52.520 --> 00:36:53.520]   He has power.
[00:36:53.520 --> 00:36:55.680]   He's got all of the legacy that he has.
[00:36:55.680 --> 00:37:03.920]   But he's aging and he's burdened.
[00:37:03.920 --> 00:37:13.420]   So now compare that kind of society with some other societies.
[00:37:13.420 --> 00:37:15.280]   Compare it with Asia.
[00:37:15.280 --> 00:37:21.600]   Now the birth rate story in Asia is not strictly clear.
[00:37:21.600 --> 00:37:22.640]   Asia is a very big place.
[00:37:22.640 --> 00:37:27.040]   You have a place like Japan that's had negative birth rates for 40 years.
[00:37:27.040 --> 00:37:33.660]   But that would be compared with a place like Thailand or Vietnam or Cambodia where there's
[00:37:33.660 --> 00:37:38.040]   much more of a sense of energy and there's much more of a growth.
[00:37:38.040 --> 00:37:39.880]   I think birth rates matter massively.
[00:37:39.880 --> 00:37:44.280]   You can see when you see a culture that's expanding, there's a sense of optimism and
[00:37:44.280 --> 00:37:47.320]   growth and that youthful energy can bring a lot of instability, right?
[00:37:47.320 --> 00:37:48.320]   You see that.
[00:37:48.320 --> 00:37:53.440]   You see a society where there's a lot of young people but low employment and it can be very
[00:37:53.440 --> 00:37:54.440]   unstable.
[00:37:54.440 --> 00:37:56.920]   But it can also bring tremendous economic growth.
[00:37:56.920 --> 00:37:58.640]   You go back to the baby boom in the United States.
[00:37:58.640 --> 00:38:04.220]   It made a massive difference in terms of the economic growth of the nation.
[00:38:04.220 --> 00:38:06.820]   So birth rates, population makes a big difference.
[00:38:06.820 --> 00:38:07.820]   But what's more important?
[00:38:07.820 --> 00:38:13.780]   Well, many of these societies in Asia are not burdened down by the debt, the promises,
[00:38:13.780 --> 00:38:14.780]   right?
[00:38:14.780 --> 00:38:19.480]   The decades and decades of promises that a place like the United States is.
[00:38:19.480 --> 00:38:23.720]   I think what's also very important is when you look at the relative level of poverty
[00:38:23.720 --> 00:38:25.220]   versus wealth.
[00:38:25.220 --> 00:38:34.400]   In my mind, the economic opportunities for Asia, Africa, South America, they're clearly
[00:38:34.400 --> 00:38:38.440]   bigger because there's clearly more room to go.
[00:38:38.440 --> 00:38:40.640]   There's clearly more opportunities.
[00:38:40.640 --> 00:38:47.040]   It's very hard I think to look at a wealthy nation, to look at Singapore, right?
[00:38:47.040 --> 00:38:49.040]   That's a spectacular success story in itself.
[00:38:49.040 --> 00:38:51.000]   But let's just look at the United States, right?
[00:38:51.000 --> 00:38:55.160]   It's very hard to look at a nation like the United States and say on the whole, how do
[00:38:55.160 --> 00:38:58.760]   standards of living increase significantly?
[00:38:58.760 --> 00:39:01.900]   Generally when people think about increasing standard of living in the United States, they
[00:39:01.900 --> 00:39:07.960]   think about making things easier and less expensive rather than having more, right?
[00:39:07.960 --> 00:39:13.960]   They think about saying, "Well, let's have government-provided health care programs because
[00:39:13.960 --> 00:39:17.800]   that makes life easier for you and removes a burden of providing for your own health
[00:39:17.800 --> 00:39:18.800]   needs.
[00:39:18.800 --> 00:39:20.840]   Let's provide some kind of income.
[00:39:20.840 --> 00:39:24.920]   Let's give more money to poor people and provide poor people with more."
[00:39:24.920 --> 00:39:28.600]   But when you come to actual standard of living as measured by consumption, it's hard to see
[00:39:28.600 --> 00:39:34.120]   how you get a lot more consumption across the board.
[00:39:34.120 --> 00:39:38.960]   And when you have an economy that's built on consumption, it's hard to see where the
[00:39:38.960 --> 00:39:41.160]   massive growth comes from.
[00:39:41.160 --> 00:39:42.820]   Maybe there's a new technology, right?
[00:39:42.820 --> 00:39:47.240]   Maybe you saw this in telecommunications and some things over the last few decades.
[00:39:47.240 --> 00:39:50.660]   Maybe there'll be a new technology that we just don't see right now.
[00:39:50.660 --> 00:39:56.240]   But even if there is a new technology, it's hard for me personally to see how that results
[00:39:56.240 --> 00:39:59.080]   in a massively growing economy.
[00:39:59.080 --> 00:40:05.320]   But when you go to a place like China and you think about 30 years ago what the average
[00:40:05.320 --> 00:40:11.560]   person was living in versus today, it's just night and day.
[00:40:11.560 --> 00:40:17.120]   When you go to Mexico and you look at the broader Mexican population and you think about
[00:40:17.120 --> 00:40:21.520]   the consumer goods and the lifestyle choices and whatnot that many Mexicans would like
[00:40:21.520 --> 00:40:28.240]   to have, the beta, meaning the opportunity to rise, seems so much stronger in my opinion.
[00:40:28.240 --> 00:40:34.280]   Because you have people that want a lot of the luxury goods that you see in some other
[00:40:34.280 --> 00:40:35.280]   economies.
[00:40:35.280 --> 00:40:39.680]   So to me it just seems fairly obvious that a simple decision like that would make all
[00:40:39.680 --> 00:40:41.680]   the difference in the world.
[00:40:41.680 --> 00:40:44.920]   Jim Rogers had a famous quote, or had a quote, I don't know if it's famous or not, but it's
[00:40:44.920 --> 00:40:48.920]   something that's always stuck with me since I read his book when I was in high school.
[00:40:48.920 --> 00:40:52.240]   He wrote this book called, I think it was Adventure Capitalist.
[00:40:52.240 --> 00:40:54.240]   I think that was the one with him and his car.
[00:40:54.240 --> 00:41:00.600]   Jim Rogers was a stock fund guy, a mutual fund manager, maybe a hedge fund guy, I can't
[00:41:00.600 --> 00:41:01.600]   remember.
[00:41:01.600 --> 00:41:02.920]   Very successful trader.
[00:41:02.920 --> 00:41:07.200]   And I got interested in him, stumbled across his book in the library because he had this
[00:41:07.200 --> 00:41:11.280]   book of this yellow car that was built on a four-wheel drive chassis.
[00:41:11.280 --> 00:41:12.920]   And I grabbed it and I just thought it was so interesting.
[00:41:12.920 --> 00:41:13.920]   I read his story.
[00:41:13.920 --> 00:41:19.280]   And what happened was he took a Mercedes, he had made a lot of money, decided he wanted
[00:41:19.280 --> 00:41:20.280]   to travel around the world.
[00:41:20.280 --> 00:41:24.920]   Younger in his life, I think in the 80s, he had motorcycled across China and that had
[00:41:24.920 --> 00:41:26.800]   changed his perspective of the world.
[00:41:26.800 --> 00:41:30.200]   And then he had made a lot of money and he and his wife, I think his third wife at the
[00:41:30.200 --> 00:41:35.520]   time, or maybe second, I don't remember, but he bought a Mercedes G-Wagon, a Glenda Wagon,
[00:41:35.520 --> 00:41:39.520]   Glenda Wagon, and Wagon, I guess, a G-Wagon.
[00:41:39.520 --> 00:41:44.360]   And he had them take the body off of it and he had them put the Mercedes convertible body
[00:41:44.360 --> 00:41:47.120]   onto it, which they adjusted.
[00:41:47.120 --> 00:41:50.360]   And so he had this wacky looking car and then he made a little trailer for it and he proceeded
[00:41:50.360 --> 00:41:52.880]   to drive around the world visiting all these countries.
[00:41:52.880 --> 00:41:57.120]   So I read his book and I don't remember if it was in that book or later, but he had this
[00:41:57.120 --> 00:42:07.400]   saying where he said that a wealthy, or sorry, a smart man in 1800 would have moved to London.
[00:42:07.400 --> 00:42:12.000]   And what I would add is a smart man in 1800 would have moved to London and had his fortune
[00:42:12.000 --> 00:42:13.000]   made.
[00:42:13.000 --> 00:42:16.960]   A smart man in 1900 would have moved, I think he said to New York City, maybe San Francisco,
[00:42:16.960 --> 00:42:20.020]   I can't remember, but would have moved to New York City or San Francisco.
[00:42:20.020 --> 00:42:23.340]   And I would add, would have had his fortune pretty well made.
[00:42:23.340 --> 00:42:27.600]   Just the simple fact of moving to New York City or moving to San Francisco in 1900 would
[00:42:27.600 --> 00:42:30.840]   have put you in contact with so much opportunity.
[00:42:30.840 --> 00:42:35.000]   A smart man in 2000 would have moved to Singapore.
[00:42:35.000 --> 00:42:39.800]   One fifth of every resident or citizen of Singapore is a millionaire today.
[00:42:39.800 --> 00:42:43.240]   It's one of the most incredible success stories of the 21st century.
[00:42:43.240 --> 00:42:47.080]   It's an amazing story.
[00:42:47.080 --> 00:42:51.560]   And I think if you think about that, you can see how being in the right place where there's
[00:42:51.560 --> 00:42:56.800]   this social growth, where there's this growth of economy, growth of opportunity can put
[00:42:56.800 --> 00:43:01.860]   you where you can see the opportunities more easily.
[00:43:01.860 --> 00:43:05.840]   If you're living in Poughkeepsie, Illinois, is that a place?
[00:43:05.840 --> 00:43:16.200]   Or I don't know, Polk County, Florida, or rural Kansas or rural South Dakota or something
[00:43:16.200 --> 00:43:20.820]   like that, it's very hard to imagine what's happened in Singapore.
[00:43:20.820 --> 00:43:25.000]   But if you had gone to Singapore and seen it and observed it, it would have opened your
[00:43:25.000 --> 00:43:26.000]   eyes.
[00:43:26.000 --> 00:43:30.300]   I mean, for me, the most eye-opening experience I had from this perspective was the first
[00:43:30.300 --> 00:43:32.080]   time I went to Hong Kong.
[00:43:32.080 --> 00:43:34.080]   As I remember, I think it was in college at the time.
[00:43:34.080 --> 00:43:35.940]   I think it was 2005.
[00:43:35.940 --> 00:43:39.040]   It was the time when – maybe it was 2004.
[00:43:39.040 --> 00:43:45.520]   It was the time when they had the tsunami in Indonesia and Thailand.
[00:43:45.520 --> 00:43:48.200]   I was in Hong Kong when that happened at Christmas.
[00:43:48.200 --> 00:43:49.800]   And I went to Hong Kong.
[00:43:49.800 --> 00:43:52.400]   And when I had been in high school, I had gone to New York City and I'd always been
[00:43:52.400 --> 00:43:53.400]   impressed with New York City.
[00:43:53.400 --> 00:43:54.400]   I thought it was great.
[00:43:54.400 --> 00:43:56.920]   And then I went to Hong Kong.
[00:43:56.920 --> 00:44:01.640]   And I arrived in Hong Kong and I looked around and I couldn't believe my eyes.
[00:44:01.640 --> 00:44:05.360]   I spent days walking around the city by myself with no purpose.
[00:44:05.360 --> 00:44:06.360]   I walked through Kowloon.
[00:44:06.360 --> 00:44:08.440]   I walked through Hong Kong Island.
[00:44:08.440 --> 00:44:09.880]   I spent time in the new territories.
[00:44:09.880 --> 00:44:14.800]   I would wander in and out of random shops and wandering out of restaurants and bars
[00:44:14.800 --> 00:44:16.800]   and just wandering around.
[00:44:16.800 --> 00:44:20.480]   And it was just the most overwhelming thing I'd ever seen.
[00:44:20.480 --> 00:44:26.160]   I thought never in my life will I ever think that New York City is a world-class city compared
[00:44:26.160 --> 00:44:29.160]   to Hong Kong.
[00:44:29.160 --> 00:44:30.160]   That was my experience.
[00:44:30.160 --> 00:44:33.520]   It was what started to open my eyes when you start to see, wait a second, this is totally
[00:44:33.520 --> 00:44:36.880]   different.
[00:44:36.880 --> 00:44:39.440]   So I personally think, to me, it's the most obvious thing.
[00:44:39.440 --> 00:44:45.280]   It's fairly obvious that the growth in the next couple of decades is going to come from
[00:44:45.280 --> 00:44:48.440]   Asia, possibly from Africa.
[00:44:48.440 --> 00:44:51.040]   Why?
[00:44:51.040 --> 00:44:57.440]   Uncertain growth, no debt, no empire, no decades of promises that have to be bankrupted
[00:44:57.440 --> 00:45:01.800]   their way out of, which is going to create intense instability in the society.
[00:45:01.800 --> 00:45:06.900]   In the coming years and years when the United States starts to fulfill fewer and fewer of
[00:45:06.900 --> 00:45:11.380]   its promises, it's going to create more and more instability, unhappiness, because people
[00:45:11.380 --> 00:45:13.760]   are going to depend on that.
[00:45:13.760 --> 00:45:18.480]   So unless there's some unexpected massive economic wave, which I don't know where it's
[00:45:18.480 --> 00:45:24.320]   going to come from, it's going to create instability in the society.
[00:45:24.320 --> 00:45:33.720]   And then you've got the opportunity for standards of living to rise much farther in Laos or
[00:45:33.720 --> 00:45:42.120]   Cambodia than you have in Munich or in Paris.
[00:45:42.120 --> 00:45:47.280]   So to me, it seems obvious.
[00:45:47.280 --> 00:45:51.780]   Now there are industries in that place where I went a little long on kind of countries,
[00:45:51.780 --> 00:45:55.920]   but the point is that just being in a physical geographic location can make a big difference
[00:45:55.920 --> 00:45:58.320]   for you.
[00:45:58.320 --> 00:46:06.280]   Physical geographic location, industry selection, and then career or job within an industry,
[00:46:06.280 --> 00:46:09.040]   these are things that make a big difference.
[00:46:09.040 --> 00:46:14.920]   Now, thus far, I went a little longer and deeper on careers than I meant to, but this
[00:46:14.920 --> 00:46:19.400]   is the biggest ticket for most people, be it your career or job or be it your career
[00:46:19.400 --> 00:46:20.800]   or business.
[00:46:20.800 --> 00:46:23.200]   If you can get a business where you can serve people, you can do it.
[00:46:23.200 --> 00:46:26.360]   So back to an example of a dying industry.
[00:46:26.360 --> 00:46:29.680]   I have tried several times to get several of my friends who are real estate agents in
[00:46:29.680 --> 00:46:33.760]   the United States to leave the United States and to go and set up a real estate agency
[00:46:33.760 --> 00:46:37.480]   in other countries, many other countries around the world.
[00:46:37.480 --> 00:46:38.480]   Why?
[00:46:38.480 --> 00:46:42.880]   Well, I think that you can take something that, in my opinion, is a dying industry or
[00:46:42.880 --> 00:46:48.240]   career profession or a profession that has dim prospects, at least in the way that it's
[00:46:48.240 --> 00:46:53.400]   currently done, in a place like the United States, and you can take it to another place
[00:46:53.400 --> 00:46:59.200]   and it can be a tremendously valuable profession in another place.
[00:46:59.200 --> 00:47:06.040]   You can take your real estate business in the United States and go to Central or South
[00:47:06.040 --> 00:47:11.560]   America, and if you'll take the same level of service, the same level of efficiency,
