
[00:00:00.000 --> 00:00:05.660]   Humans are by far the hardest part of computer graphics because millions of years of evolution
[01:23:12.200 --> 01:23:13.480]   Alpha Centauri, yeah.
[01:23:13.800 --> 01:23:18.720]   Exactly, and in graphics, it's been even more so.
[01:23:18.720 --> 01:23:28.720]   It's something like literally 10 million times more net usable GPU performance than we had back running on a Pentium 90 CPU, all in 30 years.
[01:23:28.720 --> 01:23:37.800]   And, you know, it's really made me appreciate that over the generations, some areas of our engine development have absolutely kept up with that technology.
[01:23:37.800 --> 01:23:43.000]   And, you know, the rendering team that works on Unreal Engine are the real miracle workers there.
[01:23:43.000 --> 01:23:49.080]   Just about every generation of Unreal, we've replaced most of the rendering code.
[01:23:50.080 --> 01:24:01.820]   And, you know, the different leaders and different points in time and the different luminaries have built systems that were absolutely rethought and optimized for the latest generation of hardware.
[01:24:01.820 --> 01:24:11.720]   You know, Unreal Engine 1 was built for software rendering, and then the Voodoo 1 came along late in the cycle, and we had support for it, but it wasn't fully capable and utilized.
[01:24:12.080 --> 01:24:23.000]   Unreal Engine 2 was about bringing all of the latest GPU hardware acceleration features to the engine and, you know, keeping forward and building some new features like vehicles and a few other capabilities.
[01:24:23.000 --> 01:24:33.460]   And this was in the early GPU era, before GPUs had really broken out of, you know, everybody's expectations and more as well.
[01:24:33.860 --> 01:24:39.300]   But that breakout occurred with DirectX 9 and the capabilities of, you know, programmable shaders.
[01:24:39.300 --> 01:24:53.420]   Once you had control of writing code running on the GPU that could color every pixel on the screen, and that GPU code was literally a factor of 100 times faster than the equivalent code I wrote a few years earlier in the Pentium 90.
[01:24:53.420 --> 01:25:12.400]   And so that DirectX 9 generation was a godsend, and Andrew Scheiderker, a long-time epic luminary, wrote the core of the Unreal Engine 3 render around real-time pixel shading, real-time lighting, being able to do dynamic shadows using several different techniques,
[01:25:12.400 --> 01:25:21.700]   and multi-thread the render to support bits of, you know, the early dual-core CPUs that were starting to show up at the time.
[01:25:23.020 --> 01:25:25.300]   And it was a massive, massive graphical upgrade.
[01:25:25.300 --> 01:25:37.800]   Unreal Engine 4 made a number of improvements and just continued to add features to make more and more, give artists more and more options for lighting and for geometry that created realism.
[01:25:37.800 --> 01:25:50.700]   But then I think probably our biggest single level of leap came with Unreal Engine 5, with Nanite micropolygon geometry solution, and with Lumen, the global illumination lighting solution.
[01:25:52.620 --> 01:26:04.060]   Which I think really bridged the gap from, you know, game-ish computer graphics to, you know, total observable photorealism for artists who wanted to create that.
[01:26:04.060 --> 01:26:13.400]   And so that's been the evolution, and the progress on the graphics side is absolutely astonishing, as it is on the audio side and a number of other areas.
[01:26:13.400 --> 01:26:19.060]   But parts of the engine also haven't changed all that much since the version I wrote and shipped in 1998.
[01:26:19.060 --> 01:26:27.160]   You know, the file management system has been optimized a number of times, but it hasn't been completely rethought.
[01:26:27.940 --> 01:26:36.780]   And the networking system, the ways that clients and servers talk together and negotiate game state, is still an evolution of the thing I wrote.
[01:26:36.780 --> 01:26:39.200]   And, you know, it's feeling kind of dated now.
[01:26:39.200 --> 01:26:45.520]   You still see networking bugs in Fortnite, where, like, for some reason, when you're spectating, you're not seeing some parameters update.
[01:26:45.620 --> 01:26:49.520]   Well, that's because of the lossful nature of that networking model.
[01:26:49.520 --> 01:26:57.300]   And, you know, and the biggest limitation that's built up over time is the single-threaded nature of game simulation in Unreal Engine.
[01:26:58.020 --> 01:27:06.300]   We run a single-threaded simulation, you know, if you have a 16-core CPU, we're using one core for game simulation and running with the complicated game logic,
[01:27:06.300 --> 01:27:10.480]   because single-thread programming is orders of magnitude easier than multi-thread programming.
[01:27:10.480 --> 01:27:18.040]   And we didn't want to burden either ourselves or our partners or the community with the complications of multi-threading.
[01:27:18.040 --> 01:27:22.600]   And, you know, over time, that becomes an increasing limitation.
[01:27:22.980 --> 01:27:29.500]   You know, so we're really thinking about and working on the next generation of technology and, you know, being Unreal Engine 6.
[01:27:29.500 --> 01:27:36.480]   And that's the generation we're actually going to go and address a number of the really core limitations that have been with us over the history of Unreal Engine
[01:27:36.480 --> 01:27:42.100]   and get those on the, you know, a better foundation that, you know, the modern world deserves,
[01:27:42.100 --> 01:27:46.140]   given everything that's been learned in the field of computing in that time frame.
[01:27:46.140 --> 01:27:50.040]   That's a terrifyingly challenging engineering problem.
[01:27:50.440 --> 01:27:59.820]   And it seems like every version of Unreal Engine, the amazing teams behind it are willing to just throw away most of the code.
[01:27:59.820 --> 01:28:07.260]   Or maybe I'm being a little bit too dramatic, but basically throw away the old approaches, like you mentioned with Carmack.
[01:28:08.700 --> 01:28:12.360]   And start again, like with Nanite and Lumen.
[01:28:12.360 --> 01:28:19.000]   Just keep optimizing to the current hardware, but even like rethinking how it's all done.
[01:28:19.000 --> 01:28:24.100]   But going from single-threaded to multi-threaded, oh boy, that's terrifying.
[01:28:24.100 --> 01:28:31.300]   And that's in part, we'll talk about it, why maybe you have to rethink even the programming language that's being used
[01:28:31.300 --> 01:28:33.540]   to rethink a lot of things.
[01:28:33.540 --> 01:28:34.540]   That's fascinating.
[01:28:34.900 --> 01:28:37.100]   Can we just stick on Unreal Engine 5?
[01:28:37.100 --> 01:28:43.040]   So I watched, well, I watched a bunch of stuff, but the state of Unreal in GGC 2024.
[01:28:43.040 --> 01:28:45.580]   Thank you.
[01:28:46.360 --> 01:28:50.760]   I was just giggling with excitement watching some of this stuff.
[01:28:50.760 --> 01:28:56.300]   So just, if we can talk about different things here, just to nerd out a little bit.
[01:28:56.300 --> 01:28:59.080]   So, people should go watch this video.
[01:28:59.080 --> 01:29:00.880]   They talked about the dirt.
[01:29:00.880 --> 01:29:05.500]   Just the ultra-realistic.
[01:29:05.640 --> 01:29:15.740]   And this is for Marvel 1943, which is kind of putting the Marvel Universe into Nazi-occupied France in the winter.
[01:29:15.740 --> 01:29:17.640]   So there's snow.
[01:29:17.640 --> 01:29:23.260]   And, you know, that's a moment in history that's a very intense moment in history.
[01:29:23.260 --> 01:29:27.480]   And it really creates a feeling and puts you there.
[01:29:27.480 --> 01:29:30.880]   And there's so much to that, including the snow.
[01:29:30.880 --> 01:29:44.360]   But just looking at the dirt is a really nice way to show, like, how do you add a lot of details to a scene in real time
[01:29:44.360 --> 01:29:50.460]   that, like, gives this experience, like, infinite detail.
[01:29:50.460 --> 01:29:52.160]   Like, this is real.
[01:29:52.160 --> 01:29:53.980]   This is super real.
[01:29:53.980 --> 01:30:01.900]   And then I think in the talk they describe, like, what's entailed in the generation of the geometry,
[01:30:01.900 --> 01:30:04.580]   what's entailed in the lighting, all that kind of stuff.
[01:30:04.580 --> 01:30:06.340]   Maybe can you speak about dirt?
[01:30:07.820 --> 01:30:15.580]   What are the components, for people who might not know, in, like, creating this ultra-realistic,
[01:30:15.580 --> 01:30:18.700]   the texture, the lighting, the geometry, all of that.
[01:30:18.700 --> 01:30:25.120]   Like, how Nanite, how Lumen all come together in this beautiful orchestra to paint in real time the dirt
[01:30:25.120 --> 01:30:29.220]   in Nazi-occupied France in 1943.
[01:30:29.220 --> 01:30:31.880]   Yeah, well, there's a lot happening here on screen.
[01:30:31.880 --> 01:30:35.740]   And, you know, the real hero of this image isn't epic.
[01:30:35.920 --> 01:30:39.860]   It's the artists and technical artists who work together to build this environment.
[01:30:39.860 --> 01:30:46.940]   And the reason we showed it at GDC was it went way, way beyond what we realized the system was capable of doing,
[01:30:46.940 --> 01:30:49.500]   you know, largely because of their brilliance.
[01:30:49.500 --> 01:30:51.480]   And this is the magic of computer graphics.
[01:30:51.480 --> 01:30:53.840]   There's not one feature that makes this cool.
[01:30:53.840 --> 01:30:56.600]   There's a dozen technical features that each interplay.
[01:30:56.600 --> 01:31:01.760]   And because of the ways that they interplay with each other, you really don't—
[01:31:01.760 --> 01:31:05.400]   it's hard to actually identify the individual components of it.
[01:31:05.740 --> 01:31:11.840]   One thing that's happening here that's really critical—oh, yeah, now we're seeing it being turned off—is the lighting happening.
[01:31:11.840 --> 01:31:19.000]   The Lumen lighting system that's powering the scene is doing different kinds of lighting calculations at different scales.
[01:31:19.000 --> 01:31:26.940]   This was the work of Daniel Wright following a decade of moving the state-of-the-art of lighting forward.
[01:31:26.940 --> 01:31:36.100]   But his theory, which was rather controversial at the time, was that if you have enough levels of lighting calculation,
[01:31:36.100 --> 01:31:43.180]   then you can get everything—global illumination working everywhere from the absolute highest levels of a scene,
[01:31:43.180 --> 01:31:47.840]   you know, that buildings are casting cracked shadows all the way down to details like you see on the dirt here,
[01:31:48.280 --> 01:31:52.240]   all working in concert and without distinguishable boundaries.
[01:31:52.240 --> 01:31:56.940]   So there is a good decade of foundational work there to make the lighting work.
[01:31:56.940 --> 01:32:04.380]   In particular, when you see the very detailed shadows interplaying between the ice and the dirt there,
[01:32:04.380 --> 01:32:06.360]   that's screen space lighting.
[01:32:06.360 --> 01:32:15.320]   There's actually shadow calculation going on, not based on the world, but on the pixels on the screen,
[01:32:15.320 --> 01:32:21.180]   because that is the only way that we could possibly do those calculations fast enough, running them in a pixel shader.
[01:32:21.180 --> 01:32:22.100]   Yeah, watch this.
[01:32:22.100 --> 01:32:29.980]   Watch the—when you add the objects, when you add the textures, the different layering, all the shadows that have to be computed.
[01:32:29.980 --> 01:32:30.960]   Yeah, yeah.
[01:32:30.960 --> 01:32:31.180]   Boy.
[01:32:31.180 --> 01:32:37.040]   That shadowing's an amazing thing, but, you know, the reason that works is counterintuitive.
[01:32:37.040 --> 01:32:41.520]   When somebody first explained it to me, I was like, that's really clever, but I don't think that will work.
[01:32:41.520 --> 01:32:42.200]   Yeah.
[01:32:42.200 --> 01:32:50.980]   But it does work, because if you observe the positions of incoming lights and you know the z-coordinates of the different pixels on the screen,
[01:32:50.980 --> 01:32:55.280]   you can figure out how geometry there is likely to occlude other geometry.
[01:32:55.280 --> 01:33:01.300]   And even though it's only an approximation and that isn't perfect, it looks perfectly good to the human eye
[01:33:01.300 --> 01:33:08.140]   and gives you the subtle shadowing that you see in a scene like this that makes it look highly realistic.
[01:33:08.140 --> 01:33:10.620]   And the shadowing influences other things.
[01:33:11.460 --> 01:33:14.880]   There's also some really interesting things happening with the color here.
[01:33:14.880 --> 01:33:22.040]   And I'm not even sure what's causing—you know, it looks like color is bleeding from some parts of the snow onto other parts of the snow.
[01:33:22.040 --> 01:33:25.380]   It looks like there's some subsurface scattering going on.
[01:33:25.380 --> 01:33:28.540]   I'm not even sure if that's being used in this scene.
[01:33:28.540 --> 01:33:38.820]   And then there's a material layering system for laying down, you know, layers of material, dirt and snow and other things, all making that work.
[01:33:38.900 --> 01:33:47.020]   And then there's the light bouncing off of the geometry, which is another system for lighting on top of the global illumination system.
[01:33:47.020 --> 01:33:48.780]   What about reflections, too?
[01:33:48.780 --> 01:33:55.100]   Does that count as the light bouncing off of stuff to light it up in different interesting ways?
[01:33:55.100 --> 01:34:00.980]   But then there's also actual literal reflections in, like, we're looking at a puddle in the dirt.
[01:34:01.600 --> 01:34:02.500]   Yeah, yeah, that's right.
[01:34:02.500 --> 01:34:05.560]   Well, the engine supports a number of different reflection techniques.
[01:34:05.560 --> 01:34:17.840]   One is calculating basically textures that capture all the lighting in the scene and then bouncing that off of texture maps so you can see different lights bouncing off of different pixels in different ways.
[01:34:18.020 --> 01:34:22.120]   And then there's individual lighting casting reflections off of things, too.
[01:34:22.120 --> 01:34:24.380]   And a lot of this is under the control of designers.
[01:34:24.380 --> 01:34:33.520]   And, you know, one of the things that's a yet-to-do problem for the future is you don't just, like, press a few buttons and this kind of scene magically appears.
[01:34:33.520 --> 01:34:44.100]   This is a lot of work from some highly skilled people, not only building out this particular scene, but in setting up the material layers so that you get the dirt with the ice layered on top and all the reflections working.
[01:34:44.100 --> 01:34:47.100]   And they need to make a number of technical art decisions to make this work.
[01:34:47.100 --> 01:34:52.900]   And if a novice who hadn't, you know, worked very hard built a kind of scene like this, it wouldn't look nearly as good.
[01:34:53.580 --> 01:35:00.320]   So one of the challenges we have is to make building this kind of quality level even easier and more seamless and automatic.
[01:35:00.320 --> 01:35:04.640]   You'd like to just build a scene and say, use this material here and have this appearance come out of it.
[01:35:04.640 --> 01:35:06.460]   Yeah.
[01:35:06.460 --> 01:35:09.340]   And, I mean, once you create the scene, you could do things.
[01:35:09.340 --> 01:35:12.740]   I remember where they said, like, can you turn off the headlights?
[01:35:12.740 --> 01:35:14.280]   I forget.
[01:35:14.280 --> 01:35:16.720]   You could control the lighting.
[01:35:16.720 --> 01:35:20.280]   I mean, all of this, we should say, like, this is dynamic.
[01:35:20.280 --> 01:35:22.360]   So you could change the position of the light.
[01:35:22.480 --> 01:35:25.100]   You could turn on the lights and off the lights.
[01:35:25.100 --> 01:35:26.240]   That's incredible.
[01:35:26.240 --> 01:35:28.680]   So this is all real-time.
[01:35:28.680 --> 01:35:34.600]   The geometry, the lighting, the textures, all of it, real-time.
[01:35:34.600 --> 01:35:40.080]   This is the power of awesome technical art, three decades of feature development.
[01:35:40.080 --> 01:35:47.820]   And, like, you have to give credit also to the 20 teraflops of graphics performance that NVIDIA is delivering.
[01:35:47.820 --> 01:35:49.320]   Thanks, NVIDIA.
[01:35:51.020 --> 01:35:52.480]   90 megahertz to this.
[01:35:52.480 --> 01:35:55.420]   90 megahertz is 90 megaflops.
[01:35:55.420 --> 01:35:56.760]   This is 20 teraflops.
[01:35:56.760 --> 01:35:58.280]   That's a big change.
[01:35:58.280 --> 01:35:59.280]   That's a lot.
[01:35:59.280 --> 01:36:03.620]   So one of the other things that they talk about in the presentation is about snow.
[01:36:03.780 --> 01:36:16.820]   So you have to, if you're talking about 1943 in Nazi Germany in the winter, you know, there's a, you have to create a feeling, one of which is the season, the winter, the cold.
[01:36:17.620 --> 01:36:21.680]   And you can control the, you know, you have to cover everything in snow.
[01:36:21.680 --> 01:36:27.500]   And here shown is the ability to control how much snow covers the objects.
[01:36:27.500 --> 01:36:32.820]   So this, that, you know, the ability to do that for the artist is incredible.
[01:36:33.220 --> 01:36:38.000]   Like, just to control how much snow is in the scene dynamically like that.
[01:36:38.000 --> 01:36:39.440]   That's cool.
[01:36:39.440 --> 01:36:40.380]   Yeah.
[01:36:40.380 --> 01:36:40.920]   Yeah.
[01:36:40.920 --> 01:36:41.720]   That's really cool.
[01:36:41.720 --> 01:36:45.640]   It's a cool system for material layering and a dozen pieces coming together here.
[01:36:45.860 --> 01:36:53.440]   You also notice, you know, there's fogginess and there's some hot objects emanating fog, you know, an artist did that, that, that didn't just arise automatically.
[01:36:53.440 --> 01:36:56.280]   So that's called material layering.
[01:36:56.280 --> 01:37:02.580]   So an artist creates the different materials and are able to, uh, like layer the scene with it.
[01:37:02.580 --> 01:37:02.840]   Yeah.
[01:37:02.840 --> 01:37:10.200]   Layer materials on top of each other and see how much of each material should be, uh, protruding in different places with the engine handling transitions and things like that.
[01:37:10.200 --> 01:37:15.000]   And that's on top of the sort of the geometry that creates, that creates the structure of the scene.
[01:37:15.160 --> 01:37:23.760]   And all the occlusions that have to be computed, I mean, okay, I got to go to the other one that was just blowing my mind, which is, uh, smoke.
[01:37:23.760 --> 01:37:26.500]   Let me see that.
[01:37:26.500 --> 01:37:27.440]   Look at that.
[01:37:27.440 --> 01:37:28.360]   Yeah.
[01:37:28.360 --> 01:37:44.620]   Oh, the, the, there's a fire, there's a fire in, in, in, in a trash can with the smoke and the, the, the shadows, the lighting and the shadows interplaying on the smoke.
[01:37:44.620 --> 01:37:47.640]   Is it, this is real time.
[01:37:47.640 --> 01:37:48.540]   Yeah.
[01:37:48.540 --> 01:37:49.500]   That's all real time.
[01:37:49.500 --> 01:37:50.640]   What the hell?
[01:37:50.640 --> 01:37:52.540]   How do you do that?
[01:37:52.540 --> 01:37:54.960]   Was that, how do you do the smoke?
[01:37:54.960 --> 01:37:57.480]   Well, there's a really powerful particle system underneath.
[01:37:57.480 --> 01:38:01.640]   It's providing the, the technological foundations for this sort of thing.
[01:38:01.640 --> 01:38:04.140]   But there's our awesome artistry on top of that.
[01:38:04.140 --> 01:38:07.760]   Um, uh, and an awesome physics engine powering it.
[01:38:07.760 --> 01:38:10.900]   Um, it's hard to tell exactly which piece is doing what.
[01:38:10.900 --> 01:38:13.500]   Um, but you have several different particle systems there.
[01:38:13.500 --> 01:38:18.520]   There's one for the, um, fire and then there's another one for the smoke coming out of it.
[01:38:18.520 --> 01:38:23.500]   Um, the really interesting thing happening with the smoke here is that it's occluding light.
[01:38:23.500 --> 01:38:27.780]   You know, there's calculation of how the light should diminish as it travels through smoke.
[01:38:27.780 --> 01:38:30.880]   And so you're seeing the lighting on the smoke being the really interesting thing.
[01:38:30.880 --> 01:38:41.440]   And there've been a lot of attempts, but this is, this was the first demo where I felt, felt like this kind of smoke had really no longer looked like a video game.
[01:38:41.440 --> 01:38:45.680]   Um, it looked like just, you know, a burning trash can, uh, billowing out dark smoke.
[01:38:45.680 --> 01:38:50.900]   Um, and, uh, yeah, it's the, it's the artist, the sophistication.
[01:38:50.900 --> 01:38:54.120]   Um, it's a very, very, very large part of it.
[01:38:54.120 --> 01:38:58.600]   So, yeah, again, it's the interplay between the tooling and the, and the, and the artists.
[01:38:58.600 --> 01:39:02.080]   But yeah, like that, I could, I could watch that for a long time.
[01:39:02.080 --> 01:39:10.440]   I mean, there's, there's something magical, uh, sitting around a fire in, in real life and just watching the fire and the smoke.
[01:39:10.440 --> 01:39:16.160]   I mean, humans have been doing that for, I don't know, um, hundreds of thousands of years, maybe.
[01:39:16.160 --> 01:39:26.360]   Uh, and then that same, I was, I was just staring at that and, uh, I wish the people would just stop talking and I could just watch the fire infinitely.
[01:39:26.360 --> 01:39:28.180]   And that, I mean, that's immersion.
[01:39:28.180 --> 01:39:29.520]   That's like, I want to be in there.
[01:39:29.520 --> 01:39:37.260]   I want to sit around that trash can with the fire and the smoke and, and watch and maybe warm my, cause I was also feeling cold because of the snow.
[01:39:37.260 --> 01:39:39.520]   You're like, you really get immersed into the thing.
[01:39:39.520 --> 01:39:40.560]   I mean, it's so beautiful.
[01:39:40.560 --> 01:39:41.520]   It's true art.
[01:39:41.520 --> 01:39:42.740]   It's true art.
[01:39:42.740 --> 01:39:44.180]   It's just really wonderfully done.
[01:39:44.180 --> 01:39:45.860]   Um, but okay.
[01:39:45.860 --> 01:39:48.040]   So I got to ask you about the humans.
[01:39:48.040 --> 01:39:56.280]   We, we talked about what's it like to create the scenes, but, you know, creating realistic humans is really tough.
[01:39:56.280 --> 01:39:57.680]   Can you speak to that?
[01:39:57.680 --> 01:40:01.480]   How to create ultra realistic humans.
[01:40:01.480 --> 01:40:08.120]   So you have an actor behind this to convey emotion, show the nuances and the details of the faces.
[01:40:08.300 --> 01:40:12.340]   And maybe this is a good opportunity to also mention meta human creator.
[01:40:12.340 --> 01:40:13.720]   That's part of unreal engine.
[01:40:13.720 --> 01:40:14.740]   Yeah, that's right.
[01:40:14.740 --> 01:40:27.020]   Humans are by far the hardest part of computer graphics because millions of years of evolution have given us dedicated brain systems to detect patterns and faces and infer emotions and intent.
[01:40:27.280 --> 01:40:33.400]   Because cavemen had to, uh, when they see a stranger determine whether they were likely friendly or they were, might be trying to kill them.
[01:40:33.400 --> 01:40:41.420]   Um, and so humans, we people in the world have extraordinarily detailed expectations of a face.
[01:40:41.580 --> 01:40:49.780]   And we can notice imperfections, um, especially perfections arising from computer graphics limitations, but it becomes by far the hardest problem.
[01:40:49.780 --> 01:41:03.880]   So the meta humans effort is part of a decades long initiative that Vlad Mostilovich, the most talented digital humans visionary in the world has been working on for generations and generations of games.
[01:41:03.880 --> 01:41:17.660]   Um, you know, serving, uh, uh, uh, individual clients around the game industry for a while and then joining Epic as part of the three lateral team and, uh, leading now a worldwide effort to build all of the technologies required to make digital humans realistic.
[01:41:17.660 --> 01:41:18.140]   Okay.
[01:41:18.140 --> 01:41:19.580]   One part is capturing humans.
[01:41:19.580 --> 01:41:31.820]   And so it felt really advanced dedicated hardware that puts a human in a capture sphere with dozens of cameras in them taking high resolution, high frame rate video of them as they go through a range of motions.
[01:41:31.820 --> 01:41:40.760]   And then capturing the human face is complicated because the nuanced detail of our faces and how all the muscles and sinews and fat work together to give us different expressions.
[01:41:40.760 --> 01:41:46.260]   So it's not only about the shape of a person's face, but it's also about the entire range of motion that they might go through.
[01:41:46.740 --> 01:42:02.220]   Capturing one human requires, uh, you know, a few hours of capture work in a decade environment like that, then, um, thousands of hours of processing work to capture a precise and, you know, real time replicatable version of that human in, in the environment.
[01:42:02.220 --> 01:42:08.060]   And so one of the things that it's done is just capturing an actor or actress in the real world and then using them in a video game.
[01:42:08.060 --> 01:42:17.080]   Um, but the much more interesting thing going on is capturing thousands of humans to form a data data set whose goal is to encompass the entire range of faces in all of humanity.
[01:42:17.080 --> 01:42:25.820]   Um, so, you know, going around every culture, every continent, every age and every face, a variety, uh, and capturing representative people.
[01:42:25.820 --> 01:42:36.720]   Um, so the entire range of faces is represented, um, and then being able to combine and merge those together, uh, to enable recreating an arbitrary face that the system's never seen before.
[01:42:36.720 --> 01:42:46.880]   So, you know, you know, one of the ideas is capture, uh, giant amounts of this high precision data and then you use it to reconstruct, uh, a face, uh, at a consumer level.
[01:42:46.880 --> 01:43:01.700]   Like maybe, you know, take an iPhone photo of somebody's face and then capture a very accurate depiction of that, not by synthesizing it then and there on that device, but by combining all of the known details of human faces to accurately capture the most accurate representation of that.
[01:43:01.700 --> 01:43:03.700]   So that's the data problem.
[01:43:03.700 --> 01:43:05.800]   There's a lot of other problems of computer graphics.
[01:43:05.800 --> 01:43:11.680]   You know, there's technology for rendering hair, which is really hard because you can't render every, like, again, we know the laws of physics.
[01:43:11.680 --> 01:43:13.300]   It would be easy to just render every hair.
[01:43:13.300 --> 01:43:14.860]   It would just be a billion times too slow.
[01:43:14.860 --> 01:43:25.580]   Um, so you need approximations that capture the net effect of hair on rendering and on pixels, uh, without calculating every single interaction of every light with every strand of hair.
[01:43:25.580 --> 01:43:27.420]   Um, that's one part of it.
[01:43:27.420 --> 01:43:29.900]   There's detailed features for different parts of faces.
[01:43:29.900 --> 01:43:36.820]   There's subsurface scattering because we think of humans as opaque, but really our skin is light travels through it.
[01:43:36.820 --> 01:43:38.120]   It's not completely opaque.
[01:43:38.120 --> 01:43:41.780]   And the way in which light travels through skin has a huge impact on our appearance.
[01:43:42.280 --> 01:43:45.740]   You know, this is why you, there's no way you can paint a mannequin to look realistic for a human.
[01:43:45.740 --> 01:43:48.440]   Uh, you know, it's just a solid surface.
[01:43:48.440 --> 01:43:51.580]   Um, and we'll never have the sort of detail you see.
[01:43:51.580 --> 01:43:54.240]   We should actually just linger on that.
[01:43:54.240 --> 01:43:56.760]   That kind of blew my mind, like thinking through that.
[01:43:56.760 --> 01:44:06.560]   I think I heard that sort of the oiliness of the skin creates very specific, nuanced, complex reflections.
[01:44:07.180 --> 01:44:11.300]   And then some light is absorbed and travels through the skin.
[01:44:11.300 --> 01:44:15.240]   And that creates, would it be fair to say like micro shadows or something?
[01:44:15.240 --> 01:44:19.160]   It creates like textures that are humanized, able to perceive.
[01:44:19.160 --> 01:44:23.780]   And it creates the thing that we consider human, whatever that is.
[01:44:23.780 --> 01:44:29.720]   And so like, you have to compute both that, the reflection, how light interacts with the oiliness of the skin.
[01:44:30.420 --> 01:44:38.600]   And how it is also absorbed in, and all of that while considering the muscle, all the muscles involved in making the nuanced expression.
[01:44:38.600 --> 01:44:44.480]   Just the subtle squinting of the eyes or the subtle formation of a smile.
[01:44:44.760 --> 01:44:48.740]   It's a stupid, annoying subtlety of human faces that you have to capture.
[01:44:48.740 --> 01:44:51.340]   Like the difference between a real smile and a fake smile.
[01:44:51.340 --> 01:44:53.220]   Man, I love human faces.
[01:44:53.220 --> 01:44:54.340]   I love humans in general.
[01:44:54.340 --> 01:45:00.860]   But the way to show like beginning of a formation of a smile that actually reveals a deep sadness.
[01:45:00.860 --> 01:45:02.120]   All of that.
[01:45:02.120 --> 01:45:04.840]   Like when I watch a human face, I can like read that.
[01:45:04.840 --> 01:45:06.220]   I could see that.
[01:45:06.220 --> 01:45:08.880]   Again, this is the engineering and the artist.
[01:45:09.220 --> 01:45:14.080]   You have to have the tools that in real time can render something like that.
[01:45:14.080 --> 01:45:15.980]   And that's incredibly difficult.
[01:45:15.980 --> 01:45:17.200]   But anyway, sorry.
[01:45:17.200 --> 01:45:22.600]   So yeah, so there's a lot of this kind of complexity in even just the lighting of a face.
[01:45:22.600 --> 01:45:23.580]   That's right.
[01:45:23.580 --> 01:45:28.860]   Getting faces right requires the interplay of literally dozens of different systems and aspects of computer graphics.
[01:45:28.860 --> 01:45:34.540]   And if any one of them is wrong, your eye is completely drawn to that.
[01:45:34.540 --> 01:45:37.120]   And you find it on the wrong side of Uncanny Valley.
[01:45:37.500 --> 01:45:46.180]   So the level of perfection needed in this area is vastly, vastly higher than world rendering or grass or any of these other things.
[01:45:46.180 --> 01:45:54.040]   You know, if the shadows on a work of architecture are slightly wrong, you're pretty perfecting with it, actually.
[01:45:54.040 --> 01:45:56.700]   Your brain doesn't really care that much.
[01:45:56.700 --> 01:46:01.060]   But if anything wrong with the human, it's totally jarring.
[01:46:01.060 --> 01:46:08.340]   Can you speak more to the creation of digital humans with MetaHuman, both on the editor side and sort of bringing it to life side?
[01:46:08.340 --> 01:46:23.920]   It seems like, because I've watched a bunch of videos, a bunch of individual developers doing it, it's not too difficult to bring a human to life using the tooling that Unreal Engine Editor provides.
[01:46:24.440 --> 01:46:31.320]   There are two main tools, you know, compared to the old days where every face was created by hand by an artist from scratch.
[01:46:31.320 --> 01:46:42.420]   One is the MetaHuman Creator tool for creating faces, where you have a huge number of parameters you can adjust to create a unique human by adjusting all the different capabilities of them.
[01:46:42.420 --> 01:46:51.140]   You can then get that out of MetaHuman Creator into Unreal Engine, and then you can add all kinds of computer graphics features that are in the engine.
[01:46:51.140 --> 01:46:58.480]   You could add clothing using the cloth simulation system, and you can adjust the hair and all these other parameters on the thing.
[01:46:58.480 --> 01:47:04.360]   And then there's MetaHuman Animator, a tool for animating a human based on a facial capture,
[01:47:04.360 --> 01:47:12.240]   which can be done on a device as simple as like an iPhone, and transfers the captured animation to the human you want, which is not straightforward.
[01:47:12.240 --> 01:47:21.220]   If the actor has one face shape and the character on screen has another face shape, the translation that needs to be done from the actor to the face is actually really sophisticated and non-obvious.
[01:47:21.220 --> 01:47:26.260]   And if you just applied it literally, then it would be completely wrong from your point of view.
[01:47:26.260 --> 01:47:29.420]   So those are the main tools that people are using now.
[01:47:29.420 --> 01:47:34.100]   And then within the Unreal Engine, then you have a face and you can do absolutely anything you want to it.
[01:47:34.100 --> 01:47:44.760]   And you could also, you know, if you decide to go outside of the MetaHuman Geometry Pipeline, you could build your own face, like any creature of any sort, and then use the animation tools to animate it.
[01:47:44.760 --> 01:47:53.560]   But, you know, this is 30 years into a project that's probably like 50 years in total to get to absolute photorealism and controllability for absolutely everything.
[01:47:53.560 --> 01:47:59.340]   So there's vast amounts of work still to do, and we don't feel like we've solved the problem at all.
[01:47:59.420 --> 01:48:06.680]   We've just given artists a big productivity multiplier and a quality multiplier, but this is not in a state that we would say is done.
[01:48:06.680 --> 01:48:09.840]   But nevertheless, I've seen people use it really effectively.
[01:48:09.840 --> 01:48:19.960]   I saw almost like plugins, maybe external services, where you can get the faces to approximate the mouth movements required to speak a thing.
[01:48:19.960 --> 01:48:23.740]   So like that's a really useful feature.
[01:48:24.580 --> 01:48:25.460]   Yeah, that's right.
[01:48:25.460 --> 01:48:31.800]   When you have an artist or actor in your studio and you're recording a specific performance, you can just capture their facial motion and apply it.
[01:48:31.800 --> 01:48:38.940]   But if all you have is a voice recording or you're generating a voice recording or it's parametric or procedural or AI generated,
[01:48:38.940 --> 01:48:46.900]   yeah, then you need the system to translate that speech not only to movement of the mouth and lips, but also to facial expressions and the whole intent.
