
[00:00:00.000 --> 00:00:03.780]   Hello guys, welcome back to my channel today, we are gonna talk about Mistral
[00:27:28.480 --> 00:27:34.760]   But the first token will not be used because it's we are multiplying it with zero whatever value we have here
[00:27:34.760 --> 00:27:35.960]   We will not be using it
[00:27:35.960 --> 00:27:41.040]   we are using the second token the third token and the fourth token and
[00:27:41.840 --> 00:27:45.400]   Each token actually they are aggregating this
[00:27:45.400 --> 00:27:49.240]   This values here. This token here is already
[00:27:49.240 --> 00:27:57.360]   Aggregating the value of two tokens, which is D and cat. So this embedding here is already about talking about D and
[00:27:57.360 --> 00:27:59.960]   cat and
[00:27:59.960 --> 00:28:05.920]   this token here is talking about is aggregating the information about the D cat and is so
[00:28:07.720 --> 00:28:12.280]   D cat and is and the fourth token is
[00:28:12.280 --> 00:28:16.020]   Aggregating the information of the cat is on so cat
[00:28:16.020 --> 00:28:18.480]   is and
[00:28:18.480 --> 00:28:25.940]   On because as we saw before the fourth token here cat is on which is the result of the previous self-attention that we done
[00:28:25.940 --> 00:28:35.000]   So this output value here will depend on three tokens that already include information about other tokens
[00:28:35.080 --> 00:28:37.800]   So this value here will aggregate
[00:28:37.800 --> 00:28:41.160]   Information about the union of all these tokens
[00:28:41.160 --> 00:28:46.680]   So it will for sure depend on the word D because it's included in the second token. We are multiplying it with
[00:28:46.680 --> 00:28:54.000]   It for sure will include information about the word the cat because it's included in this token as well for sure
[00:28:54.000 --> 00:28:57.740]   It will include information about is because it's included in the second value
[00:28:57.740 --> 00:28:59.640]   We are multiplying it with and for sure
[00:28:59.640 --> 00:29:06.620]   it will include about the token on because it's present in the the fourth token of the V matrix for with which we are
[00:29:06.620 --> 00:29:09.600]   Multiplying it because this value is not zero
[00:29:09.600 --> 00:29:14.960]   So as you can see after applying another layer of the encoder
[00:29:14.960 --> 00:29:20.720]   The fourth token now includes another token in its information before it was only
[00:29:20.720 --> 00:29:23.000]   including these three tokens
[00:29:23.000 --> 00:29:26.440]   but now it also depends on a new token which is the word V and
[00:29:26.840 --> 00:29:30.600]   We can prove the same for the fifth token and the sixth token
[00:29:30.600 --> 00:29:37.820]   so at every application of the encoder layer one after another we keep increasing the number of tokens that get
[00:29:37.820 --> 00:29:44.720]   Accumulated in these dot products and I made a notebook in Python to visualize this
[00:29:44.720 --> 00:29:47.440]   So if you look at my github repository
[00:29:47.440 --> 00:29:50.880]   You will see this
[00:29:50.880 --> 00:29:58.280]   Notebook called the sliding window attention in which I help you visualize this process and I also share the code on how I do this
[00:29:58.280 --> 00:30:03.560]   Self-attention basically I represent each token as a set so each
[00:30:03.560 --> 00:30:10.920]   Each token instead of being represented as an embedding as a set of all the words upon which that token depends
[00:30:10.920 --> 00:30:20.000]   depends then I apply the cell sliding window attention, which basically means that I take the two tokens that from the sequence and I
[00:30:20.520 --> 00:30:23.520]   Accumulate I make the union of the two sets they contain
[00:30:23.520 --> 00:30:29.440]   Because I am multiplying two vectors that already include information about multiple tokens
[00:30:29.440 --> 00:30:34.320]   So what is the output is the union of the two sets when I multiply by V
[00:30:34.320 --> 00:30:36.640]   I do the same thing and I can visualize it
[00:30:36.640 --> 00:30:42.160]   So after we apply the first layer, we will see that the input of the first layer is just our normal sequence
[00:30:42.160 --> 00:30:46.200]   So the cat is on a chair the output of the first layer will be another sequence
[00:30:46.360 --> 00:30:50.120]   There in which each position includes information about multiple tokens
[00:30:50.120 --> 00:30:54.600]   Depending on the mask that we have applied and I also show the mask that we apply
[00:30:54.600 --> 00:30:59.560]   After we apply the second layer, we can see that the information increases
[00:30:59.560 --> 00:31:05.340]   So this last token now is not watching only the previous three tokens, but the previous four tokens
[00:31:05.340 --> 00:31:09.820]   Sorry, not only the previous two tokens, but the previous four tokens
[00:31:09.820 --> 00:31:16.660]   so every step we do with the sliding window size of three we include two tokens at every layer and
[00:31:16.660 --> 00:31:19.180]   Here I
[00:31:19.180 --> 00:31:25.580]   Show it for five layers, but it's not necessary because after a while the sequence will reach the maximum length
[00:31:25.580 --> 00:31:30.620]   If you want you can increase the sequence's length here by including more tokens
[00:31:30.620 --> 00:31:34.420]   So this is the concept of the
[00:31:35.580 --> 00:31:41.420]   Receptive field applied to the self window attention. So basically with the sliding window attention, we are not
[00:31:41.420 --> 00:31:46.180]   Directly connecting two tokens with each other
[00:31:46.180 --> 00:31:51.860]   But if we apply multiple layers after one after another this information will get
[00:31:51.860 --> 00:31:58.340]   Will get captured by the embedding in successive applications of the layers such that the last layer
[00:31:58.340 --> 00:32:02.060]   basically will be able to watch all the sentence even if it's very long and
[00:32:03.500 --> 00:32:05.500]   this is actually shown by the
[00:32:05.500 --> 00:32:12.820]   Mistral paper in this picture you can see here. So basically this is our input sequence. So let me write
[00:32:12.820 --> 00:32:17.500]   So this is our input which is a
[00:32:17.500 --> 00:32:21.340]   The original sentence so the cat is on a chair
[00:32:21.340 --> 00:32:27.260]   The fourth token of the first layer. So this is the output of the first layer. So layer one
[00:32:30.380 --> 00:32:37.460]   We have seen that the fourth token here depend with a sliding window size of four this will depend on the itself
[00:32:37.460 --> 00:32:43.180]   On the previous token on the one before and also this token here and it will produce
[00:32:43.180 --> 00:32:49.600]   This this embedding here in the fourth position which includes information about the previous token as well
[00:32:49.600 --> 00:32:54.020]   But then this will become the input of the next layer, which is the layer number two
[00:32:54.020 --> 00:32:57.300]   And
[00:32:57.300 --> 00:33:05.100]   this will produce an embedding at this position for example that will depend for sure on the previous four tokens because the sliding window size is
[00:33:05.100 --> 00:33:10.860]   Four but because for example this token here is already the aggregation of the previous four tokens
[00:33:10.860 --> 00:33:14.620]   It will actually multiply the visibility of its sliding window
[00:33:14.620 --> 00:33:19.380]   So this token here is not related directly to the first one
[00:33:19.380 --> 00:33:26.700]   We can see here, but indirectly through the this intermediate token. We can see here. I hope this
[00:33:27.140 --> 00:33:31.340]   I hope this concept is clear. If it's not clear, I try I
[00:33:31.340 --> 00:33:33.340]   I
[00:33:33.340 --> 00:33:38.220]   Recommend using my notebook so that you can experiment by playing with the multiple
[00:33:38.220 --> 00:33:42.700]   Sequences and you can see how the information flow will go through all the layers
[00:33:42.700 --> 00:33:47.420]   All right, let's talk about our next topic
[00:33:47.420 --> 00:33:52.460]   Which is the KV cache because I want to introduce the KV cache which I already explained in my previous video on llama
[00:33:52.620 --> 00:33:57.140]   But I want to introduce it again and review it because I want to introduce later the rolling buffer cache
[00:33:57.140 --> 00:34:04.540]   So let's start by talking about first of all how we train language models because this is needed to understand the KV cache
[00:34:04.540 --> 00:34:09.660]   So the language models are trained using what is known as the next token prediction task
[00:34:09.660 --> 00:34:15.900]   so given a prompt the goal of the language model is to predict what is the next token that makes sense with the prompt that
[00:34:15.900 --> 00:34:20.860]   We have given and imagine we want to train a language model on Dante Alighieri's poem
[00:34:21.820 --> 00:34:27.020]   Divine comedy and in particular we will training it on a line that you can see here in
[00:34:27.020 --> 00:34:33.540]   This one in English. So love that can quickly seize the gentle heart. How does it work?
[00:34:33.540 --> 00:34:36.580]   We prepare an input for our language model
[00:34:36.580 --> 00:34:40.300]   Which is the line that we want to teach it with a token
[00:34:40.300 --> 00:34:45.240]   Prepended called the start of sentence and then we build the target which is the same line
[00:34:45.240 --> 00:34:51.260]   But with a token at the end called end of sentence. We run the input through this transformer model
[00:34:51.260 --> 00:34:53.260]   It will produce an output sequence
[00:34:53.260 --> 00:35:01.460]   so as we saw before the in the output of the self attention is another sequence with the same length as the input sequence, but
[00:35:01.460 --> 00:35:09.140]   Embedding is modified in such a way that each token capture information about other tokens. And this is what we do
[00:35:09.140 --> 00:35:11.120]   To actually train a model
[00:35:11.120 --> 00:35:18.060]   so if we feed the model with with the nine tokens the model will produce nine tokens as output and how
[00:35:18.060 --> 00:35:20.220]   does it work basically the
[00:35:20.660 --> 00:35:22.660]   model will learn a mapping between
[00:35:22.660 --> 00:35:30.660]   Input and output such that if we give to the model as input the token start of sentence only it will produce
[00:35:30.660 --> 00:35:37.300]   The first token as output which is the word love if we give to the model as input the first two tokens
[00:35:37.300 --> 00:35:41.960]   So start of sentence love the model will produce the two tokens as output
[00:35:41.960 --> 00:35:46.020]   So love that it will feed the model as input three tokens
[00:35:46.020 --> 00:35:52.760]   So start of sentence love that the model will produce love that can so when we train the model we train it like this
[00:35:52.760 --> 00:35:56.500]   We prepare the input like this the target like this. We calculated the output
[00:35:56.500 --> 00:36:01.880]   We calculated the loss using the cross entropy loss and then we run back propagation and this is done in all one step
[00:36:01.880 --> 00:36:04.540]   When we do the inference we do it in multiple step
[00:36:04.540 --> 00:36:09.060]   So when we do the inference at time step one, we feed the model only the first token
[00:36:09.060 --> 00:36:12.020]   So the start of sentence and the model will produce the output love
[00:36:12.460 --> 00:36:19.620]   Then we take the output the last token of the output and we prepend it to the input which becomes the input as time step
[00:36:19.620 --> 00:36:24.300]   Two so it becomes start of sentence love. So the model will produce love that
[00:36:24.300 --> 00:36:29.880]   We take the last token of the output and we prepare append it to the input for the time step three
[00:36:29.880 --> 00:36:35.060]   And this will become the new input which will produce love that can then we take the last
[00:36:35.060 --> 00:36:39.820]   Token of the output and we append it to the input for the time step four
[00:36:39.820 --> 00:36:45.060]   So it will become the new output will become love that can quickly then we take this word quickly
[00:36:45.060 --> 00:36:49.980]   We append it to the input for the next time step and which will produce the next token as output, etc
[00:36:49.980 --> 00:36:56.340]   Etc until the last token until we see the end of sentence token as output then we know that the model has stopped
[00:36:56.340 --> 00:37:01.740]   Has stopped producing new tokens and we can stop the inference
[00:37:01.740 --> 00:37:09.740]   Now at every step the inference we are only interested in the last token output by the model because we already have the
[00:37:09.740 --> 00:37:14.700]   previous one, but of course, we need to feed all the previous tokens to
[00:37:14.700 --> 00:37:17.260]   to the model which is
[00:37:17.260 --> 00:37:23.500]   Belonging to the prompt because the model needs to access the prompt to understand which token to produce next
[00:37:23.500 --> 00:37:31.020]   So for example, we cannot produce the word gentle only by giving the word the we need to give all this sentence to produce
[00:37:31.020 --> 00:37:33.020]   this output gentle here
[00:37:33.020 --> 00:37:38.620]   But at the same time we are only interested in the last word gentle
[00:37:38.620 --> 00:37:45.700]   And this is the reason we introduce the KVCache because the KVCache allow us to reduce the computations that we are doing
[00:37:45.700 --> 00:37:51.020]   by only producing one output at a time the one that we need but
[00:37:51.020 --> 00:37:55.620]   Without doing all the intermediate computations for all the other tokens that we never use
[00:37:55.620 --> 00:37:58.540]   So basically when we want the word heart
[00:37:58.540 --> 00:38:05.340]   We don't want to produce the output for the word love that can quickly seize the gentle because we already have them in the prompt
[00:38:05.340 --> 00:38:07.060]   We don't need to produce all these tokens
[00:38:07.060 --> 00:38:11.820]   We just want to produce the output for the token heart. So we want to reduce the computation that we are doing
[00:38:11.820 --> 00:38:13.940]   Let's see how it works
[00:38:13.940 --> 00:38:17.020]   Now in the self-attention mechanism
[00:38:17.020 --> 00:38:22.820]   You know that we multiply the query which can be thought of as a list of tokens where each token is an embedding of size
[00:38:22.820 --> 00:38:29.580]   4096 and the transposed of the query becomes the is multiplied the transpose of the keys
[00:38:29.580 --> 00:38:33.140]   Are multiplied by the queries to produce this matrix here
[00:38:33.140 --> 00:38:38.540]   And then we multiply it by the V matrix to produce the output of the self-attention. You can see here
[00:38:38.540 --> 00:38:40.900]   Let's do this one token at a time
[00:38:40.900 --> 00:38:47.520]   So when we inference a language model, we start with our first token, which is the start of sentence. This is one token
[00:38:47.520 --> 00:38:50.060]   represented by an embedding of size
[00:38:50.060 --> 00:38:57.000]   4096 we multiplied by the transposed of the keys which is again one token because it's a self-attention. So
[00:38:57.000 --> 00:39:02.220]   The query the key and the value are the same matrix. So this is just the transposed of the query
[00:39:03.220 --> 00:39:08.260]   Basically, and so it's a column vector and it will produce a one by one matrix
[00:39:08.260 --> 00:39:12.460]   We multiply it by V and it will produce an output token. We take this output token
[00:39:12.460 --> 00:39:19.900]   We send it to the linear layer and then to the softmax to understand which token this corresponds to in our vocabulary
[00:39:19.900 --> 00:39:25.440]   We take this token from our vocabulary and we append it to the query for the next
[00:39:25.660 --> 00:39:32.920]   Inference step to the keys and the values and then we compute again the product of the query multiplied by the keys
[00:39:32.920 --> 00:39:39.020]   We multiply then the result by V and it will produce an output made up of two tokens because we have two tokens as input
[00:39:39.020 --> 00:39:43.100]   It will produce two tokens as output, but we are all interested in the last token
[00:39:43.100 --> 00:39:47.220]   So we take this output token too, we send it to the linear layer then to the softmax
[00:39:47.220 --> 00:39:53.340]   This will result in what token is corresponding to in our vocabulary. We take this token from our vocabulary
[00:39:53.340 --> 00:39:57.060]   We append it for the next step to the query key and values
[00:39:57.060 --> 00:40:03.380]   We do again this process and then we take the last token as output
[00:40:03.380 --> 00:40:06.600]   You can see here. We may send it to the linear layer then the softmax
[00:40:06.600 --> 00:40:14.140]   We understand which token it corresponds to, we append it to our query key and values and then we compute again the self attention
[00:40:14.140 --> 00:40:16.700]   but we already start to notice something because
[00:40:17.340 --> 00:40:24.540]   First of all, in this matrix here, which is the result of the query multiplied by the transpose of the keys
[00:40:24.540 --> 00:40:29.680]   We have a lot of dot products at each step that were already computed at the previous step
[00:40:29.680 --> 00:40:34.340]   Let me show you. At the time step 4, we are computing all these dot products
[00:40:34.340 --> 00:40:40.220]   As you can see at the time step 3, we already computed these dot products and at the time step 4
[00:40:40.220 --> 00:40:44.900]   We are computing them again as you can see these dot products here
[00:40:45.300 --> 00:40:49.380]   The second thing is that usually when we
[00:40:49.380 --> 00:40:52.860]   Deal with the language model, we have a causal mask
[00:40:52.860 --> 00:40:58.520]   So we do not even care about computing the dot products that we see here in the dark violet
[00:40:58.520 --> 00:41:01.220]   because they will be anyway masked out by the
[00:41:01.220 --> 00:41:03.940]   causal mask that we apply
[00:41:03.940 --> 00:41:09.460]   Because we don't want the first token to watch the token number 2, the token number 3, the token number 4
[00:41:09.460 --> 00:41:12.580]   We only want the token number 4 to watch the previous one
[00:41:12.580 --> 00:41:17.100]   So the token number 4 should be related to itself, the previous one, the token number 2 and the token number 1
[00:41:17.100 --> 00:41:19.100]   But not the opposite
[00:41:19.100 --> 00:41:24.460]   And also we don't want to produce all these output tokens because we are only interested in the last one
[00:41:24.460 --> 00:41:26.740]   We are only interested in knowing what is the last
[00:41:26.740 --> 00:41:33.860]   token produced by the attention so that we can send it to the linear layer and then to the softmax to understand what is the
[00:41:33.860 --> 00:41:39.720]   Word corresponding in our vocabulary so that we can use it for the prompt to inference the next token again
[00:41:39.900 --> 00:41:44.400]   So now let's introduce the KVCache and how the KVCache solve this problem
[00:41:44.400 --> 00:41:50.020]   What we do with the KVCache, again, we start from our first step of the inferences
[00:41:50.020 --> 00:41:53.380]   So we start from our start of sentence token, which is multiplied
[00:41:53.380 --> 00:41:57.800]   So the query is only the start of sentence token. We multiply it by the transpose of the keys
[00:41:57.800 --> 00:41:59.940]   This will produce a 1 by 1 matrix here
[00:41:59.940 --> 00:42:04.260]   Then we multiply it by divi and it will produce our first token as output
[00:42:04.260 --> 00:42:08.680]   We send it to the linear layer then to the softmax then we know which token it corresponds to
[00:42:09.040 --> 00:42:16.100]   Now in the KVCache instead of appending this new token that we have produced as output to the query key and value
[00:42:16.100 --> 00:42:19.140]   we only append it to the key and the value and
[00:42:19.140 --> 00:42:23.500]   Replace entirely the previous query with this new token. So
[00:42:23.500 --> 00:42:28.900]   Before without the KVCache we were appending the every output token
[00:42:28.900 --> 00:42:34.420]   So the last token of the output to the query key and values, but in with the KVCache
[00:42:34.420 --> 00:42:38.740]   We don't append it to query key and value, but only to the key and values
[00:42:38.960 --> 00:42:43.980]   And we only use the last output token as query for the next step
[00:42:43.980 --> 00:42:51.060]   So if this is the output of the first step, so the output corresponding to the token start of sentence
[00:42:51.060 --> 00:42:57.800]   We take it we use it as query for the next step, but we append it to the key and the values
[00:42:57.800 --> 00:43:01.600]   So this is why it's called the KVCache because at each step
[00:43:01.600 --> 00:43:05.200]   We are keeping a cache of the previous K and V
[00:43:05.200 --> 00:43:09.960]   But not for the query because we are entirely replacing all the queries with the last token
[00:43:09.960 --> 00:43:13.640]   Anyway, this will produce a product
[00:43:13.640 --> 00:43:17.560]   So this matrix multiplied by this matrix will produce a matrix that is 1 by 2
[00:43:17.560 --> 00:43:22.440]   We multiply it by V and we will see that this produces only one token as output
[00:43:22.440 --> 00:43:24.400]   Then this we take this token
[00:43:24.400 --> 00:43:29.500]   we send it to the linear layer to the softmax then we know which token it corresponds to then we use it as
[00:43:29.500 --> 00:43:34.960]   Query for the next iteration, but we append it to the only the K and the V matrix
[00:43:35.360 --> 00:43:37.720]   This will produce a 1 by 3 matrix
[00:43:37.720 --> 00:43:44.140]   Which is then multiplied by the V which will produce the this output token
[00:43:44.140 --> 00:43:49.680]   This is the one we are interested in basically, then we use it as query for the next iteration
[00:43:49.680 --> 00:43:56.160]   But we append it to the K and the V etc. So as you can see at the fourth step of the inference
[00:43:56.160 --> 00:44:00.120]   We are producing only the last row that we were interested in
[00:44:00.120 --> 00:44:03.800]   When we didn't have the KVCache. So let me show you this is the
[00:44:04.200 --> 00:44:09.920]   Fourth time step with the KVCache. Let's look at the fourth time step without the KVCache
[00:44:09.920 --> 00:44:15.000]   As you can see we are only producing this row here
[00:44:15.000 --> 00:44:18.920]   This is the only one we are interested in to produce this last token
[00:44:18.920 --> 00:44:23.640]   So with the KVCache basically we reduce the number of computations that we are doing at every step
[00:44:23.640 --> 00:44:29.820]   Because the sum of the dot products we have already done in the previous steps and we only produce one token as output
[00:44:29.820 --> 00:44:33.280]   Which is exactly the one that we need for predicting the next token
[00:44:33.920 --> 00:44:38.200]   Ok, now let's talk about the rolling buffer cache
[00:44:38.200 --> 00:44:42.520]   So since we are using the sliding window attention with a size of W
[00:44:42.520 --> 00:44:48.040]   And in the examples I showed you before I was using a sliding window size with the size of 3
[00:44:48.040 --> 00:44:53.120]   We don't need to keep all the possible K and V in the cache
[00:44:53.120 --> 00:44:59.840]   But we can limit the K and the V only to W tokens because anyway, we will not be computing
[00:45:00.600 --> 00:45:06.000]   Attention outside of this W window. So we do not need imagine our window is 10 tokens
[00:45:06.000 --> 00:45:12.200]   We do not keep the previous 1000 tokens because anyway, our attention will only be calculated on the previous 10 tokens
[00:45:12.200 --> 00:45:15.600]   So this is the idea behind the rolling buffer cache. Let's see how it works
[00:45:15.600 --> 00:45:21.360]   Imagine we arrive at the token 8 of inference using the KVCache
[00:45:21.360 --> 00:45:27.560]   If we have a KVCache and we are using the sliding window size of 4 for example
[00:45:27.760 --> 00:45:34.760]   We will see that as query we will use the output of the previous step and as key and values
[00:45:34.760 --> 00:45:37.920]   We will use the entire cache which is made up of 8 tokens
[00:45:37.920 --> 00:45:43.760]   But because of the mask that we are using with the sliding window attention
[00:45:43.760 --> 00:45:48.240]   We are not interested in the computation of these dot products because anyway
[00:45:48.240 --> 00:45:54.320]   They will be masked out because the distance between this token and this token is outside of the sliding window attention
[00:45:54.320 --> 00:45:58.600]   so we are not interested in this calculating these dot products because
[00:45:58.600 --> 00:46:02.400]   They will be masked out and secondly
[00:46:02.400 --> 00:46:08.000]   We are not interested in keeping this one because anyway because these values will be masked
[00:46:08.000 --> 00:46:13.920]   By our mask for the sliding window attention, which basically will result in zeros here
[00:46:13.920 --> 00:46:20.960]   We do not care about producing these first four rows in the value matrix because anyway
[00:46:20.960 --> 00:46:26.680]   They will be multiplied by zeros. So they will not contribute to the output token. So here you have to imagine that
[00:46:26.680 --> 00:46:29.360]   Let me draw
[00:46:29.360 --> 00:46:37.000]   Here you have to imagine that the mask will take care of making this one zero, this one zero, this one zero, this one zero
[00:46:37.000 --> 00:46:41.560]   And this one will be a dot product. This one will be a dot product. This one will be a dot product
[00:46:41.560 --> 00:46:44.560]   This one will be a dot product. So whatever value there is here
[00:46:44.560 --> 00:46:50.640]   Whatever value there is here, here or here will not contribute to the output of this token because anyway
[00:46:50.640 --> 00:46:52.320]   They will be multiplied by zeros here
[00:46:52.320 --> 00:46:58.720]   So we do not need to keep this value also in the V matrix or in the K matrix because anyway
[00:46:58.720 --> 00:47:05.380]   They will not be used by the sliding window attention. So that's why we can limit the size of our K and V
[00:47:05.380 --> 00:47:11.240]   Cache only to W tokens where W is the size of the sliding window attention that we are using
[00:47:12.520 --> 00:47:17.880]   Now let's see how this rolling buffer cache was implemented. So basically rolling buffer cache is a way of
[00:47:17.880 --> 00:47:24.040]   Limiting the size of a cache to a limited size in this case W
[00:47:24.040 --> 00:47:26.040]   So imagine our W is only four
[00:47:26.040 --> 00:47:32.720]   Imagine we have a sentence "the cat is on a chair" and we want to use it for our KV cache
[00:47:32.720 --> 00:47:36.880]   At the first inference using the KV cache, we will add the first
[00:47:37.840 --> 00:47:43.600]   The first token to the KV cache, then we will add the second one the third one and the fourth one
[00:47:43.600 --> 00:47:46.720]   But now the KV cache is full. How do we proceed further?
[00:47:46.720 --> 00:47:50.480]   Basically, we keep track of where we added the last item
[00:47:50.480 --> 00:47:56.800]   Using a pointer that we keep track of and when we will arrive at the next token, which is the token A
[00:47:56.800 --> 00:48:03.680]   We basically replace the oldest value here starting from the beginning and we update the value of the right pointer
[00:48:03.880 --> 00:48:05.740]   but now how do we
[00:48:05.740 --> 00:48:11.200]   Go back because now the order of the tokens is not matching the sentence because as you can see now the
[00:48:11.200 --> 00:48:17.320]   Cache contains "a cat is on" but this is not the order in the original sentence in the original sentence
[00:48:17.320 --> 00:48:23.960]   the order should be "cat is on a" so what we do is we do the unrolling or unrotation and
[00:48:23.960 --> 00:48:28.960]   How do we do it? Basically because we kept track of this right pointer
[00:48:28.960 --> 00:48:36.120]   We just need to take all the values after the right pointer and then we put the values from 0 to the right pointer itself
[00:48:36.120 --> 00:48:42.180]   So all the values after the right pointer and then all the values before the right pointer and this is how we unrotate
[00:48:42.180 --> 00:48:47.320]   And this operation is done in the code in the function called unrotate. You can see here
[00:48:47.320 --> 00:48:54.480]   Which basically will have this condition. So if the cache is not full we can just ignore the unfilled item
[00:48:54.480 --> 00:49:00.340]   So if the cache is in this situation, then we take all the values from the 0 up to the right pointer
[00:49:00.340 --> 00:49:04.640]   if the cache is a full then we take the value from 0 up to the
[00:49:04.640 --> 00:49:08.560]   The value of the right pointer and
[00:49:08.560 --> 00:49:16.140]   if the value of the right pointer is already overwriting some value then we need to unrotate and this is done in the
[00:49:16.140 --> 00:49:18.160]   Third condition here
[00:49:18.160 --> 00:49:23.440]   So we take all the values after the pointer and then the value up to the pointer and this is how we
[00:49:23.440 --> 00:49:26.000]   unrotate this buffer cache
[00:49:26.000 --> 00:49:31.860]   Okay, let's talk about another concept that is very important, which is chunking and pre-feeding
[00:49:31.860 --> 00:49:35.120]   Basically when we generate a text using a language model
[00:49:35.120 --> 00:49:40.800]   We use a prompt and then we use this prompt to generate future tokens when dealing with a KV cache
[00:49:40.800 --> 00:49:42.640]   We need to build up this KV cache
[00:49:42.640 --> 00:49:48.560]   So we need to add the tokens of our prompt to the KV cache that so that we can then exploit this KV cache
[00:49:48.560 --> 00:49:51.280]   To build new tokens future tokens
[00:49:51.280 --> 00:49:57.040]   Now the prompt is known in advance, right? Because it's the input of our user
[00:49:57.040 --> 00:50:02.320]   It's what you ask to chatgpd for example, right? Tell me a poem. Tell me write me a poem or tell me a joke
[00:50:02.320 --> 00:50:06.800]   This is our prompt. So it's known in advance. So we don't know we don't need to generate it
[00:50:06.960 --> 00:50:12.320]   Okay, so what we can do is we can pre-fill the KV cache using the tokens of the prompt
[00:50:12.320 --> 00:50:17.600]   But there are many ways to do it like we were doing before when I was teaching you about the KV cache
[00:50:17.600 --> 00:50:20.160]   We work with one token at a time. So one way to
[00:50:20.160 --> 00:50:25.200]   To add the tokens to the KV cache is to add one token at a time
[00:50:25.200 --> 00:50:30.080]   But this can be very time consuming because imagine you have a very large prompt which happens
[00:50:30.080 --> 00:50:35.680]   With retrieval augmented generation, which we have very big prompts like 5,000 6,000 tokens or even bigger
[00:50:36.080 --> 00:50:38.400]   So this if we add one token at a time
[00:50:38.400 --> 00:50:43.600]   It will mean that we have to take 5,000 or 6,000 forward steps in our network
[00:50:43.600 --> 00:50:48.400]   Which is can be very time consuming and also doesn't exploit our gpu very much
[00:50:48.400 --> 00:50:53.760]   The other way is to take all these tokens and feed them all at once to the model
[00:50:53.760 --> 00:50:59.760]   But that may be limited by the size of our gpu because imagine we have 10,000 tokens as our prompt
[00:51:00.080 --> 00:51:06.240]   Then maybe our gpu cannot even hold 10,000 tokens. Maybe it can only hold 4,000 tokens or 2,000 tokens
[00:51:06.240 --> 00:51:11.120]   Depending also on the w size of the attention sliding window attention that we have chosen
[00:51:11.120 --> 00:51:18.160]   The solution in this case is to use chunking. Basically, we divide our prompt into chunks of a fixed size
[00:51:18.160 --> 00:51:23.120]   And this size is equal to w which is the sliding window attention size
[00:51:24.240 --> 00:51:29.920]   So imagine we have a very big prompt and we choose a sliding window size of 4 for the calculation of the attention
[00:51:29.920 --> 00:51:33.280]   And imagine that the prompt is this one. So can you tell me?
[00:51:33.280 --> 00:51:38.880]   Can you tell me who is the richest man in history? The way we work is this
[00:51:38.880 --> 00:51:43.200]   Basically, we take our first chunk of the prompt
[00:51:43.200 --> 00:51:48.320]   So because we chose a sliding window size of 4, we also will choose the chunk size to be 4
[00:51:48.320 --> 00:51:51.200]   So we take our first token of the prompt
[00:51:51.280 --> 00:51:56.720]   So can you tell me and we compute the self attention in the attention
[00:51:56.720 --> 00:52:02.320]   Self attention in the first layer of the model. How do we build the attention mask?
[00:52:02.320 --> 00:52:08.400]   Basically as queries we take all the incoming tokens in this chunk
[00:52:08.400 --> 00:52:14.240]   So as this is you can think of this column as the queries and this column as the keys
[00:52:14.240 --> 00:52:19.040]   And this is the result of the query multiplied by the transposed of the keys plus the mask
[00:52:20.320 --> 00:52:25.200]   So our query we take the first incoming chunk and as keys I will show you later
[00:52:25.200 --> 00:52:33.200]   We take the current content of the kvcache, but initially it is empty plus the incoming tokens of the current chunk
[00:52:33.200 --> 00:52:40.080]   And this is made for a very specific reason that I will show you in the next step
[00:52:40.080 --> 00:52:47.520]   So in the next step, basically we take the current chunk, which is the tokens who is the richest
[00:52:48.800 --> 00:52:55.520]   And we aggregate it with the content of the kvcache using the tokens of the previous chunk. So let me go back
[00:52:55.520 --> 00:53:00.880]   At the first step of this prefilling we take the first chunk of the prompt
[00:53:00.880 --> 00:53:04.480]   So can you tell me we calculated the attention mask using as query
[00:53:04.480 --> 00:53:11.120]   The first four tokens and as keys and values the content of the kvcache
[00:53:11.120 --> 00:53:16.900]   Which is empty plus the tokens of the first chunk and then we update the content of the kvcache
[00:53:17.680 --> 00:53:21.840]   Using this the tokens of this chunk after we have computed the attention
[00:53:21.840 --> 00:53:27.760]   So at the next step the kvcache now contains the previous the tokens of the previous chunk
[00:53:27.760 --> 00:53:32.320]   So can you tell me but now the current chunk has become who is the richest?
[00:53:32.320 --> 00:53:40.000]   so as query again, we take the tokens of the current chunk, but as keys and values we take the
[00:53:40.000 --> 00:53:45.840]   The content of the kvcache plus the tokens of the current chunk. Why?
[00:53:46.800 --> 00:53:48.080]   because
[00:53:48.080 --> 00:53:51.620]   As you can see when we were doing token generation when I was teaching you the kvcache
[00:53:51.620 --> 00:53:54.960]   We first add the last output token
[00:53:54.960 --> 00:54:00.560]   We add it to append it to the k and the v and we use it as the query for the next iteration
[00:54:00.560 --> 00:54:03.120]   This is not what we do here. Here. We first
[00:54:03.120 --> 00:54:06.660]   Calculated the attention and then we update the kvcache
[00:54:06.660 --> 00:54:12.960]   And when we use the when we build the query the query we use only the tokens of the current chunk
[00:54:13.280 --> 00:54:16.580]   And as key and values we take the content of the kvcache
[00:54:16.580 --> 00:54:23.120]   So the content of the previous chunk plus the tokens of the current chunk. Why?
[00:54:23.120 --> 00:54:26.240]   because imagine if we didn't do
