
[00:00:00.360 --> 00:00:04.800]   Welcome to the Huberman Lab Podcast, where we discuss science and science-based tools
[00:35:02.340 --> 00:35:03.340]   Dr. Mark Berman: Yeah.
[00:35:03.340 --> 00:35:09.340]   Dr. Mark Berman: So if you have a picture that you take on a camera or your phone and you want to email it to somebody, nowadays you would just text it.
[00:35:09.340 --> 00:35:10.340]   Dr. Mark Berman: Right.
[00:35:10.340 --> 00:35:17.340]   Dr. Mark Berman: You might want to email it to somebody, you can send them the TIFF version or the Photoshop version and it's going to be a very big image.
[00:35:17.340 --> 00:35:18.340]   Dr. Mark Berman: Right.
[00:35:18.340 --> 00:35:19.340]   Dr. Mark Berman: Or a big movie for that matter.
[00:35:19.340 --> 00:35:19.340]   Dr. Mark Berman: Right.
[00:35:19.340 --> 00:35:20.340]   Dr. Mark Berman: Right.
[00:35:20.340 --> 00:35:23.340]   Dr. Mark Berman: There's another way to send it, which is at a lower file resolution.
[00:35:23.340 --> 00:35:24.340]   Dr. Mark Berman: Right.
[00:35:24.340 --> 00:35:27.340]   Dr. Mark Berman: But, um, therefore takes up less memory.
[00:35:27.340 --> 00:35:28.340]   Dr. Mark Berman: Right.
[00:35:28.340 --> 00:35:29.340]   Dr. Mark Berman: Doesn't come through as this massive file.
[00:35:29.340 --> 00:35:30.340]   Dr. Mark Berman: Right.
[00:35:30.340 --> 00:35:31.340]   Dr. Mark Berman: Right.
[00:35:31.340 --> 00:35:32.340]   Dr. Mark Berman: Right.
[00:35:32.340 --> 00:35:33.340]   Dr. Mark Berman: To download or something.
[00:35:33.340 --> 00:35:34.340]   Dr. Mark Berman: Right.
[00:35:34.340 --> 00:35:35.340]   Dr. Mark Berman: And that's a JPEG.
[00:35:35.340 --> 00:35:36.340]   Dr. Mark Berman: Right.
[00:35:36.340 --> 00:35:40.340]   Dr. Mark Berman: The whole basis of JPEG is to take the average of pixels near one another and compress them.
[00:35:40.340 --> 00:35:47.340]   Dr. Mark Berman: Kind of take a best guess as to what a black pixel is probably next to another black pixel or probably a gray pixel, but probably not a white pixel.
[00:35:47.340 --> 00:35:48.340]   Dr. Mark Berman: It could.
[00:35:48.340 --> 00:35:49.340]   Dr. Mark Berman: Right.
[00:35:49.340 --> 00:35:50.340]   Dr. Mark Berman: But what it does, it takes a local averaging.
[00:35:50.340 --> 00:35:51.340]   Dr. Mark Berman: Yes.
[00:35:51.340 --> 00:35:54.340]   Dr. Mark Berman: And then it compresses it into a JPEG and then you send it to the other side.
[00:35:54.340 --> 00:35:55.340]   Dr. Mark Berman: Yep.
[00:35:55.340 --> 00:36:02.340]   Dr. Mark Berman: But on the other side, you can also unpack that image to its original high resolution value.
[00:36:02.340 --> 00:36:04.340]   Dr. Mark Berman: The brain does a similar thing.
[00:36:04.340 --> 00:36:07.340]   Dr. Mark Berman: And the best example that I have from the brain is the olfactory system.
[00:36:07.340 --> 00:36:16.340]   Dr. Mark Berman: Where in the olfactory system, you're breathing in tons of volatile chemicals, meaning volatile makes it sound like they're about to throw a tantrum, but they're moving through the air.
[00:36:16.340 --> 00:36:22.340]   Dr. Mark Berman: You inhale them and they're activating millions probably of different odorant receptors.
[00:36:22.340 --> 00:36:26.340]   Dr. Mark Berman: But your brain compresses those down into coffee.
[00:36:26.340 --> 00:36:27.340]   Dr. Mark Berman: This is coffee.
[00:36:27.340 --> 00:36:29.340]   Dr. Mark Berman: And then you unpack it as coffee.
[00:36:29.340 --> 00:36:37.340]   Dr. Mark Berman: Now, if you're a coffee connoisseur or in the case of wine or a food connoisseur, you can get into the subtle nuance and say, oh, you know, there's a little bit more of this and a little bit more of that.
[00:36:37.340 --> 00:36:39.340]   Dr. Mark Berman: But you're not thinking about the individual chemical molecules.
[00:36:39.340 --> 00:36:45.340]   Dr. Mark Berman: You'd say, oh, it's a little bit of a cherry flavor or this chocolate has a little bit of a citrus.
[00:36:45.340 --> 00:36:46.340]   Dr. Mark Berman: You know, this is the sorts of thing.
[00:36:46.340 --> 00:36:47.340]   Dr. Mark Berman: Yep.
[00:36:47.340 --> 00:36:50.340]   Dr. Mark Berman: So that's essentially what the brain does with visual images as well.
[00:36:50.340 --> 00:36:51.340]   Dr. Mark Berman: Yes.
[00:36:51.340 --> 00:36:52.340]   Dr. Mark Berman: Okay.
[00:36:52.340 --> 00:37:04.340]   Dr. Mark Berman: So that's my very crude and certainly not complete description of how bits of information are compressed as they go into the brain and then unpacked into what you call a perception.
[00:37:04.340 --> 00:37:05.340]   Dr. Mark Berman: That's right.
[00:37:05.340 --> 00:37:06.340]   Dr. Mark Berman: Or an experience.
[00:37:06.340 --> 00:37:10.340]   Dr. Mark Berman: And the same thing is true of a TIFF or Photoshop file compressed to a JPEG.
[00:37:10.340 --> 00:37:11.340]   Dr. Mark Berman: Yes.
[00:37:11.340 --> 00:37:13.340]   Dr. Mark Berman: And then you can literally uncompress that file.
[00:37:13.340 --> 00:37:14.340]   Dr. Mark Berman: Yes.
[00:37:14.340 --> 00:37:16.340]   Dr. Mark Berman: If you have the sort of computational capability.
[00:37:16.340 --> 00:37:25.340]   Dr. Mark Berman: So one thing I just want to add to it, the kind of compression that we were doing with the JPEG compression was lossy, meaning that the information was thrown away.
[00:37:25.340 --> 00:37:28.340]   Dr. Mark Berman: You couldn't recover it, but that didn't really matter.
[00:37:28.340 --> 00:37:38.340]   Dr. Mark Berman: So if you showed people the image at its high resolution versus the image at its compressed or lower resolution, the human eye can't really tell the difference.
[00:37:38.340 --> 00:37:44.340]   Dr. Mark Berman: And I think but for the urban images, you couldn't get away with that trick.
[00:37:44.340 --> 00:37:48.340]   Dr. Mark Berman: You needed to keep all of the original pixel values.
[00:37:48.340 --> 00:37:53.340]   Dr. Mark Berman: So that's kind of that's what computers and our iPhones are actually doing there.
[00:37:53.340 --> 00:38:04.340]   Dr. Mark Berman: And the reason why we think they can get away with that is because nature has a lot of this repeated structure like you were talking about before about predicting the pixels value.
[00:38:04.340 --> 00:38:08.340]   Dr. Mark Berman: And you can use that you can capitalize that that that means there's a lot of redundancy.
[00:38:08.340 --> 00:38:10.340]   Dr. Mark Berman: So you don't need all of that information.
[00:38:10.340 --> 00:38:17.340]   Dr. Mark Berman: Natural images also tend to have maybe this can get a little bit technical to a lot of high frequency spatial content.
[00:38:17.340 --> 00:38:23.340]   Dr. Mark Berman: So a lot of little changes are little contrast changes that we don't really need.
[00:38:23.340 --> 00:38:27.340]   Dr. Mark Berman: Whereas in the urban environment, there's more of these big contrast changes that we do need.
[00:38:27.340 --> 00:38:34.340]   Dr. Mark Berman: So we think maybe the brain is like you're saying there's all this evidence that the brain is basically doing that.
[00:38:34.340 --> 00:38:44.340]   Dr. Mark Berman: And in nature, because you can smack, you know, you're walking through the nature, you can kind of throw away a lot of the information.
[00:38:44.340 --> 00:38:52.340]   Dr. Mark Berman: And so we think that actually might be why it's sort of more softly fascinating and easier to process versus the urban environment.
[00:38:52.340 --> 00:38:58.340]   Dr. Mark Berman: There's another element here too, which we haven't got it completely yet, but which I'm very interested in.
[00:38:58.340 --> 00:39:04.340]   Dr. Mark Berman: So that that's looking at sort of like complexity of the images at the very, very low level.
[00:39:04.340 --> 00:39:10.340]   Dr. Mark Berman: But you could also think about semantics, like the language that we use to describe a scene.
[00:39:10.340 --> 00:39:14.340]   Dr. Mark Berman: And when I see a nature scene, you know, I don't have a huge language repertoire.
[00:39:14.340 --> 00:39:21.340]   Dr. Mark Berman: I can say lake, tree, river, shrub, sand, desert.
[00:39:21.340 --> 00:39:30.340]   Dr. Mark Berman: But when I'm in the urban environment, I can say Volkswagen Beetle, you know, BMW M3, uh, Gothic architecture.
[00:39:30.340 --> 00:39:36.340]   Dr. Mark Berman: Like my vocabulary is so much more complex for an urban scene.
[00:39:36.340 --> 00:39:46.340]   Dr. Mark Berman: So, so one thing that we're also thinking about is like maybe nature might also be more semantically simple, like from a linguistic level that I can just label it really easily.
[00:39:46.340 --> 00:39:51.340]   Dr. Mark Berman: And then it allows my brain to just not have to store as much information.
[00:39:51.340 --> 00:39:58.340]   Dr. Mark Berman: Whereas in the urban environment, maybe I'm forced to sort of label all of these objects and it just takes up more room in our brain.
[00:39:58.340 --> 00:40:05.340]   Dr. Mark Berman: So we also do these studies where we show people a bunch of nature scenes and urban scenes and then test their memory.
[00:40:05.340 --> 00:40:06.340]   Dr. Mark Berman: For the scenes.
[00:40:06.340 --> 00:40:13.340]   Dr. Mark Berman: And it turns out that people's memory for the nature scenes is worse than the urban scene.
[00:40:13.340 --> 00:40:14.340]   Dr. Mark Berman: So people remember.
[00:40:14.340 --> 00:40:15.340]   Dr. Mark Berman: Perfect.
[00:40:15.340 --> 00:40:16.340]   Dr. Mark Berman: Exactly.
[00:40:16.340 --> 00:40:17.340]   Dr. Mark Berman: It fits.
[00:40:17.340 --> 00:40:18.340]   Dr. Mark Berman: It fits.
[00:40:18.340 --> 00:40:20.340]   Dr. Mark Berman: And you might think, oh, well, you want to remember stuff.
[00:40:20.340 --> 00:40:25.340]   Dr. Mark Berman: But actually, you know, in some sense it's, it's measuring how, how just difficult it is to process.
[00:40:25.340 --> 00:40:29.340]   Dr. Mark Berman: And we're, if it's so easy to process nature, you're just not going to remember it.
[00:40:29.340 --> 00:40:31.340]   Dr. Mark Berman: And that in this case is a good thing.
[00:40:31.340 --> 00:40:42.340]   Dr. Mark Berman: So we think that's also part of it, that it's, that that's also saying to us that, yeah, it's just, it's just easier to process this natural stimulation versus this urban stimulation where you just have to attend to more stuff.
[00:40:42.340 --> 00:40:43.340]   Dr. Mark Berman: It's more sticky.
[00:40:43.340 --> 00:40:50.340]   Dr. Mark Berman: Do you have any data as to whether or not people track time better or worse when they are in natural versus urban environments?
[00:40:50.340 --> 00:40:58.340]   Dr. Mark Berman: So I don't have direct evidence to this, but I have a few other little pieces of evidence that I think will kind of get us there.
[00:40:58.340 --> 00:41:16.340]   Dr. Mark Berman: So we've done some studies where we send people, this one was actually sending people to a nature arboretum, an indoor nature arboretum, the Garfield Conservatory, a really beautiful conservatory in Chicago versus the Chicago Water Tower Mall, a very fancy indoor mall in Chicago.
[00:41:16.340 --> 00:41:29.340]   Dr. Mark Berman: And we actually gave participants here cell phones that we had in the lab that would ping them and ask them questions while they were going on the walk in the conservatory, the walk in the mall.
[00:41:29.340 --> 00:41:31.340]   Dr. Mark Berman: And we asked them, you know, what are you thinking about?
[00:41:31.340 --> 00:41:42.340]   Dr. Mark Berman: And it turns out when people are walking in nature, they actually think more about the past than walking in the mall.
[00:41:42.340 --> 00:41:46.340]   Dr. Mark Berman: So that was kind of interesting.
[00:41:46.340 --> 00:41:47.340]   Dr. Mark Berman: This is also kind of interesting.
[00:41:47.340 --> 00:41:55.340]   Dr. Mark Berman: People also said that they felt more impulsive in the mall than in the conservatory, which makes sense that, you know, mall designers want people to be buying things.
[00:41:55.340 --> 00:42:02.340]   Dr. Mark Berman: But this idea about thinking about the past to me suggested a little bit that time might be going a bit slower.
[00:42:02.340 --> 00:42:09.340]   Dr. Mark Berman: Other people have found in cities that the larger the city is, people like walk faster.
[00:42:09.340 --> 00:42:12.340]   Dr. Mark Berman: Like the pace of everything is a little bit faster.
[00:42:12.340 --> 00:42:21.340]   Dr. Mark Berman: So my hunch is that based on those two findings that I think time does probably slow down in nature, but I don't have direct evidence for that.
[00:42:21.340 --> 00:42:24.340]   Dr. Mark Berman: I think that's something that'd be really super interesting to study.
[00:42:24.340 --> 00:42:28.340]   Dr. Mark Berman: But that would be my hypothesis that in nature, time does slow down a bit.
[00:42:28.340 --> 00:42:37.340]   Dr. Mark Berman: If you had to wager a guess, would you assume that going into an art gallery is more similar to taking a walk in nature or an urban environment?
[00:42:37.340 --> 00:42:39.340]   Dr. Mark Berman: I mean, it's so rich with information.
[00:42:39.340 --> 00:42:40.340]   Dr. Mark Berman: Yeah.
[00:42:40.340 --> 00:42:41.340]   Dr. Mark Berman: You have options.
[00:42:41.340 --> 00:42:41.340]   Dr. Mark Berman: Yeah.
[00:42:41.340 --> 00:42:45.340]   Dr. Mark Berman: You have to decline certain things, certain rooms, certain paintings, certain sculptures.
[00:42:45.340 --> 00:42:46.340]   Dr. Mark Berman: It's a lot of decision making.
[00:42:46.340 --> 00:42:47.340]   Dr. Mark Berman: Yeah.
[00:42:47.340 --> 00:42:53.340]   Dr. Mark Berman: And yet, most people find galleries, big galleries, to be extremely calming.
[00:42:53.340 --> 00:42:54.340]   Dr. Mark Berman: Yeah.
[00:42:54.340 --> 00:42:55.340]   Dr. Mark Berman: Maybe it's also because everyone's quite quiet in them.
[00:42:55.340 --> 00:42:56.340]   Dr. Mark Berman: Yeah.
[00:42:56.340 --> 00:43:02.340]   Dr. Mark Berman: I would say the gallery would have a similar effect to nature, would be my guess.
[00:43:02.340 --> 00:43:09.340]   Dr. Mark Berman: Because, you know, Kaplan's attention restoration theory really is not specific to nature.
[00:43:09.340 --> 00:43:21.340]   Dr. Mark Berman: It basically just says you got to find an environment that doesn't place a lot of demands on directed attention while simultaneously having softly fascinating stimulation.
[00:43:21.340 --> 00:43:24.340]   Dr. Mark Berman: And an art gallery might meet those two criteria.
[00:43:24.340 --> 00:43:30.340]   Dr. Mark Berman: If you don't have to be tested on the artwork and you can just kind of go there and you don't have an agenda.
[00:43:30.340 --> 00:43:34.340]   Dr. Mark Berman: I think there's going to be a lot of very softly fascinating stimulation in art galleries.
[00:43:34.340 --> 00:43:40.340]   Dr. Mark Berman: So my hunch would be that, yeah, walking through an art gallery might have a similar kind of effect.
[00:43:40.340 --> 00:43:45.340]   Dr. Mark Berman: I would, this is going to be a little bit of a jump.
[00:43:45.340 --> 00:43:51.340]   Dr. Mark Berman: There, there are some studies that we did where we were looking at the relationship between park visits
[00:43:51.340 --> 00:43:56.340]   Dr. Mark Berman: and crime and going to a museum versus crime.
[00:43:56.340 --> 00:44:06.340]   Dr. Mark Berman: So these were, there's been a lot of actually interesting studies suggesting that interacting with nature can make people less aggressive.
[00:44:06.340 --> 00:44:09.340]   Dr. Mark Berman: And we think it has to do with attention.
[00:44:09.340 --> 00:44:14.340]   Dr. Mark Berman: So we, you know, we had this incredible data set.
[00:44:14.340 --> 00:44:17.340]   Dr. Mark Berman: The cell phone trace data set.
[00:44:17.340 --> 00:44:20.340]   Dr. Mark Berman: Where from 100,000 people in Chicago.
[00:44:20.340 --> 00:44:22.340]   Dr. Mark Berman: We knew where they lived.
[00:44:22.340 --> 00:44:25.340]   Dr. Mark Berman: And we knew where they went for an entire month.
[00:44:25.340 --> 00:44:33.340]   Dr. Mark Berman: So what we did is we quantified how many times that people leave their neighborhood and go and visit a park.
[00:44:33.340 --> 00:44:37.340]   Dr. Mark Berman: Versus leaving their neighborhood and going to a museum or something like that.
[00:44:37.340 --> 00:44:40.340]   Dr. Mark Berman: And we wanted to correlate that with crime.
[00:44:40.340 --> 00:44:46.340]   Dr. Mark Berman: And sure enough, we found that neighborhoods where people leave their neighborhood and go and visit a park.
[00:44:46.340 --> 00:44:49.340]   Dr. Mark Berman: There's actually that predicted less crime in those neighborhoods.
[00:44:49.340 --> 00:44:53.340]   Dr. Mark Berman: But the museum visits didn't predict that.
[00:44:53.340 --> 00:44:57.340]   Dr. Mark Berman: And this was controlled for, I don't know, like a socioeconomic background.
[00:44:57.340 --> 00:44:58.340]   Dr. Mark Berman: Yeah.
[00:44:58.340 --> 00:44:59.340]   Dr. Mark Berman: I mean, more or less.
[00:44:59.340 --> 00:45:07.340]   Dr. Mark Berman: I mean, again, it's a correlational study, so I can't claim causality, but we also controlled for age, education, income, all those demographics.
[00:45:07.340 --> 00:45:16.340]   Dr. Mark Berman: So there it seemed like there was something special about the park visit versus the museum visit on at least aggression.
[00:45:16.340 --> 00:45:22.340]   Dr. Mark Berman: But I do believe that going through a museum might have a similar effect to nature.
[00:45:22.340 --> 00:45:31.340]   Dr. Mark Berman: I'm not sure it'll be as strong, but I think it has the museum maybe has a lot of the same elements that that nature walk might have.
[00:45:31.340 --> 00:45:43.340]   Dr. Mark Berman: I mean, I think I'm just obsessively starting to drop into the trench of, you know, what sorts of things are attention depleting and what sorts of things are attentionally restorative.
[00:45:43.340 --> 00:45:49.340]   Dr. Mark Berman: Because I personally believe that our ability to attend is like the hallmark of building a great life.
[00:45:49.340 --> 00:45:50.340]   Dr. Mark Berman: Yes.
[00:45:50.340 --> 00:45:55.340]   Dr. Mark Berman: And so much so that, you know, on hikes and walks, I will listen to audio books and podcasts.
[00:45:55.340 --> 00:45:56.340]   Dr. Mark Berman: Yeah.
[00:45:56.340 --> 00:46:01.340]   Dr. Mark Berman: But there are times when, for instance, I will exercise with silence.
[00:46:01.340 --> 00:46:02.340]   Dr. Mark Berman: Yep.
[00:46:02.340 --> 00:46:10.340]   Dr. Mark Berman: And then I'll use music as something to like push me through some particularly hard moments in the exercise, but then I'll turn it off and bring it back.
[00:46:10.340 --> 00:46:13.340]   Dr. Mark Berman: I don't just kind of like head out the whole time blasting music.
[00:46:13.340 --> 00:46:14.340]   Dr. Mark Berman: Right.
[00:46:14.340 --> 00:46:15.340]   Dr. Mark Berman: Sometimes I'll do that.
[00:46:15.340 --> 00:46:23.340]   Dr. Mark Berman: But I'm starting to become kind of a experimentalist with this idea of, you know, attention as this resource that we deplete each day.
[00:46:23.340 --> 00:46:25.340]   Dr. Mark Berman: Sleep, it's restored mostly.
[00:46:25.340 --> 00:46:26.340]   Dr. Mark Berman: Go back again.
[00:46:26.340 --> 00:46:32.340]   Dr. Mark Berman: You know, looming in the backdrop of this conversation is a conversation about social media.
[00:46:32.340 --> 00:46:33.340]   Dr. Mark Berman: Yeah.
[00:46:33.340 --> 00:46:45.340]   Dr. Mark Berman: Before we go there, if you were at this point to give a kind of a best recommendation in terms of how to reset one's attentional abilities, what are the basic requirements?
[00:46:45.340 --> 00:46:47.340]   Dr. Mark Berman: So I think there's a lot there too.
[00:46:47.340 --> 00:46:52.340]   Dr. Mark Berman: I think you have to be really mindful about directed attention fatigue.
[00:46:52.340 --> 00:47:05.340]   Dr. Mark Berman: So if you're trying to study or you're at work and you're having a really hard time concentrating, I would recommend not just trying to power through.
[00:47:05.340 --> 00:47:12.340]   Dr. Mark Berman: If you have the ability and the time to take a break, I recommend that you stop and you take a break.
[00:47:12.340 --> 00:47:15.340]   Dr. Mark Berman: And what kind of break do I recommend you do?
[00:47:15.340 --> 00:47:18.340]   Dr. Mark Berman: I recommend that you go and try to find some nature and walk in nature.
[00:47:18.340 --> 00:47:22.340]   Dr. Mark Berman: What if you're having a hard time getting into a focused state at all?
[00:47:22.340 --> 00:47:23.340]   Dr. Mark Berman: Yeah.
[00:47:23.340 --> 00:47:25.340]   Dr. Mark Berman: It's not that you fatigued it that day.
[00:47:25.340 --> 00:47:26.340]   Dr. Mark Berman: Yeah.
[00:47:26.340 --> 00:47:33.340]   Dr. Mark Berman: You know, so many people that I hear from who listen to the podcast and elsewhere will say, you know, they get up.
[00:47:33.340 --> 00:47:34.340]   Dr. Mark Berman: Yeah.
[00:47:34.340 --> 00:47:35.340]   Dr. Mark Berman: They did their best to get their sleep.
[00:47:35.340 --> 00:47:36.340]   Dr. Mark Berman: They get their morning sunlight.
[00:47:36.340 --> 00:47:37.340]   Dr. Mark Berman: They hydrate.
[00:47:37.340 --> 00:47:38.340]   Dr. Mark Berman: They drink their caffeine.
[00:47:38.340 --> 00:47:41.340]   Dr. Mark Berman: They sit down to their computer and they just can't focus.
[00:47:41.340 --> 00:47:42.340]   Dr. Mark Berman: Right.
[00:47:42.340 --> 00:47:45.340]   Dr. Mark Berman: And then they start thinking like, do they have brain fog?
[00:47:45.340 --> 00:47:46.340]   Dr. Mark Berman: Yeah, yeah, yeah.
[00:47:46.340 --> 00:47:47.340]   Dr. Mark Berman: Do they need a nootropic?
[00:47:47.340 --> 00:47:50.340]   Dr. Mark Berman: You know, all these questions start to arise.
[00:47:50.340 --> 00:47:51.340]   Dr. Mark Berman: What are your thoughts?
[00:47:51.340 --> 00:47:59.340]   Dr. Mark Berman: I think in some sense, even though you might be very well slept and very well fed, you could still be in a directed attention fatigue state.
[00:47:59.340 --> 00:48:04.340]   Dr. Mark Berman: So I think, yeah, if you can't concentrate right in the beginning of the morning, then you should go for a walk.
[00:48:04.340 --> 00:48:06.340]   Dr. Mark Berman: That should be the first thing you should do.
[00:48:06.340 --> 00:48:13.340]   Dr. Mark Berman: Or if you don't have access to nature, maybe listen to some nature sounds or watch a nature video or something like that.
[00:48:13.340 --> 00:48:15.340]   Dr. Mark Berman: We find that all those things can beneficial.
[00:48:15.340 --> 00:48:18.340]   Dr. Mark Berman: Even looking out the window to nature can be beneficial.
[00:48:18.340 --> 00:48:21.340]   Dr. Mark Berman: Looking at a picture, you've got a picture of nature here.
[00:48:21.340 --> 00:48:23.340]   Dr. Mark Berman: Looking at a picture of nature can be beneficial.
[00:48:23.340 --> 00:48:36.340]   Dr. Mark Berman: So I would say anytime you're having trouble concentrating, it doesn't matter if it's at the beginning of the day or the end of the day or the middle of the day, I would recommend that you take some kind of break with nature.
[00:48:36.340 --> 00:48:48.340]   Dr. Mark Berman: And it could be simulated nature, like listening to nature sounds, watching a nature video, looking at nature pictures, or even better is if you can actually get out and interact with nature.
[00:48:48.340 --> 00:48:55.340]   Dr. Mark Berman: Because Steve Kaplan used to also talk about these other elements that might be important for a restorative environment.
[00:48:55.340 --> 00:49:03.340]   Dr. Mark Berman: One was that the environment had to have extent, meaning that it had to have enough interesting things to look at.
[00:49:03.340 --> 00:49:09.340]   Dr. Mark Berman: Now, it doesn't mean that it has to be Yosemite Valley, which has incredible spatial extent.
[00:49:09.340 --> 00:49:21.340]   Dr. Mark Berman: I mean, it's huge, it's enormous, but you know, like near my office at the University of Chicago, we have this Japanese garden, the Garden of the Phoenix.
[00:49:21.340 --> 00:49:27.340]   Dr. Mark Berman: It might be only like 100 square meters, it's pretty small, but man, it's still got a lot of extent.
[00:49:27.340 --> 00:49:32.340]   Dr. Mark Berman: You know, it's got a walking path, it's got a little waterfall, you can see Lake Michigan.
[00:49:32.340 --> 00:49:43.340]   Dr. Mark Berman: So that's one element. Another thing about the nature is that you want it to be compatible with your goals.
[00:49:43.340 --> 00:49:51.340]   Dr. Mark Berman: So what do I mean by that? If you've got a big exam and you haven't studied, I'm not sure going for the walk in nature is going to work.
[00:49:51.340 --> 00:50:01.340]   Dr. Mark Berman: You better use that time to study. But if you can't concentrate, you know, trying to power through, I don't think it's gonna be compatible with your goals.
[00:50:01.340 --> 00:50:08.340]   Dr. Mark Berman: I think going in for the nature walk is compatible with your goals. So that's another thing that's going to be really important.
[00:50:08.340 --> 00:50:16.340]   Dr. Mark Berman: And the other concept that Steve used to talk about being important is that the environment needs to give you the sense of being away.
[00:50:16.340 --> 00:50:23.340]   Dr. Mark Berman: That you're kind of removed from your current environment, almost like a change of mindset.
[00:50:23.340 --> 00:50:30.340]   Dr. Mark Berman: And again, that doesn't mean you have to go really, really far away, but you might want to go to a location that's not at your desk.
[00:50:30.340 --> 00:50:39.340]   Dr. Mark Berman: So maybe don't sit at your desk and look at the nature, but maybe you want to go somewhere else and look at the nature pictures and this kind of distance I think could be helpful.
[00:50:39.340 --> 00:50:48.340]   Dr. Mark Berman: I don't know if Cal Newport talks about this and his deep work, but you know, I've heard people talking about in an office, you might want to have like a separate area of your office for deep work.
[00:50:48.340 --> 00:50:59.340]   Dr. Mark Berman: And I think this kind of sense of being away is related to that. You kind of want to get out of your current state and go into this other environment that might be able to replenish those resources.
[00:50:59.340 --> 00:51:06.340]   Dr. Mark Berman: So I'm hearing that there are two sides of the coin. One is to designate an area for work that's truly for deep work.
[00:51:06.340 --> 00:51:07.340]   Dr. Mark Berman: Yes.
[00:51:07.340 --> 00:51:15.340]   Dr. Mark Berman: I followed Cal's recommendation and now I have an area in my basement, believe it or not, and there has never been a phone in that basement.
[00:51:15.340 --> 00:51:19.340]   Dr. Mark Berman: There's no phones allowed in that basement. That's not a rule. It's not a protocol. It's a policy.
[00:51:19.340 --> 00:51:26.340]   Dr. Mark Berman: Right. And I remember he talked about in his, he has this library office that he goes to, and I very much agree with that.
[00:51:26.340 --> 00:51:28.340]   Dr. Mark Berman: Yeah. Now I do get internet access down there a little bit.
[00:51:28.340 --> 00:51:29.340]   Dr. Mark Berman: Yeah.
[00:51:29.340 --> 00:51:34.340]   Dr. Mark Berman: If I need to look for papers, but I've been turning off wifi on my computer when I go down there to work.
[00:51:34.340 --> 00:51:35.340]   Dr. Mark Berman: Yeah.
[00:51:35.340 --> 00:51:37.340]   Dr. Mark Berman: And I get more done in three hours down there.
[00:51:37.340 --> 00:51:38.340]   Dr. Mark Berman: Yeah.
[00:51:38.340 --> 00:51:39.340]   Dr. Mark Berman: Than I would in three weeks.
[00:51:39.340 --> 00:51:40.340]   Dr. Mark Berman: Yeah.
[00:51:40.340 --> 00:51:41.340]   Dr. Mark Berman: Above ground.
[00:51:41.340 --> 00:51:42.340]   Dr. Mark Berman: Yeah.
[00:51:42.340 --> 00:51:43.340]   Dr. Mark Berman: I swear, it's a huge effect.
[00:51:43.340 --> 00:51:44.340]   Dr. Mark Berman: Yeah.
[00:51:44.340 --> 00:51:48.340]   Dr. Mark Berman: The other side of the coin is this business of getting out into a different environment.
[00:51:48.340 --> 00:51:54.340]   Dr. Mark Berman: And it sounds like these walks or these ventures into nature don't take terribly long.
[00:51:54.340 --> 00:51:58.340]   Dr. Mark Berman: How long does one need to do this in order to get the enhancement and focus and working memory?
[00:51:58.340 --> 00:51:59.340]   Dr. Mark Berman: Like what do the data say?
[00:51:59.340 --> 00:52:00.340]   Dr. Mark Berman: Yeah.
[00:52:00.340 --> 00:52:07.340]   Dr. Mark Berman: I mean, when we did the, our walking study was 50 minutes, but I've seen other studies with as little as 20 minutes, you can get the effects.
[00:52:07.340 --> 00:52:08.340]   Dr. Mark Berman: For cognitive enhancement.
[00:52:08.340 --> 00:52:09.340]   Dr. Mark Berman: For cognitive enhancement.
[00:52:09.340 --> 00:52:24.340]   Dr. Mark Berman: Um, and there's actually been some interesting studies with kids with ADHD and they find attention benefits, uh, for these kids with ADHD after just a 20 minute walk in nature that actually was similar, um, to like a dose of Ritalin.
[00:52:24.340 --> 00:52:26.340]   Dr. Mark Berman: So that was pretty incredible.
[00:52:26.340 --> 00:52:27.340]   Dr. Mark Berman: Yeah.
[00:52:27.340 --> 00:52:28.340]   Dr. Mark Berman: So it doesn't have to be super long.
[00:52:28.340 --> 00:52:34.340]   Dr. Mark Berman: Uh, and when we were doing the, the slideshow of nature pictures, that was only for about 10 minutes.
[00:52:34.340 --> 00:52:37.340]   Dr. Mark Berman: So it doesn't have to be a really, really long immersion.
[00:52:37.340 --> 00:52:45.340]   Dr. Mark Berman: There've been other studies that have suggested like overall, uh, you might want to get about two hours a week in nature.
[00:52:45.340 --> 00:52:50.340]   Dr. Mark Berman: I'd like to take a quick break and acknowledge our sponsor, AG1.
[00:52:50.340 --> 00:52:56.340]   Dr. Mark Berman: AG1 is a vitamin mineral probiotic drink that also includes prebiotics and adaptogens.
[00:52:56.340 --> 00:53:06.340]   Dr. Mark Berman: As somebody who's been involved in research science for almost three decades and in health and fitness for equally as long, I'm constantly looking for the best tools to improve my mental health, physical health, and performance.
[00:53:06.340 --> 00:53:13.340]   Dr. Mark Berman: I discovered AG1 back in 2012, long before I ever had a podcast, and I've been taking it every day since.
[00:53:13.340 --> 00:53:19.340]   Dr. Mark Berman: I find it improves all aspects of my health, my energy, my focus, and I simply feel much better when I take it.
[00:53:19.340 --> 00:53:26.340]   Dr. Mark Berman: AG1 uses the highest quality ingredients in the right combinations, and they're constantly improving their formulas without increasing the cost.
[00:53:26.340 --> 00:53:29.340]   Dr. Mark Berman: In fact, AG1 just launched their latest formula upgrade.
