
[00:00:00.000 --> 00:00:14.720]   I think that worked.
[00:27:37.740 --> 00:28:00.860]   So how do you pick which value to produce from here?
[00:28:00.860 --> 00:28:30.540]   I'll just wait for any, any suggestion to come in.
[00:28:30.540 --> 00:28:31.820]   I don't see any charts coming in.
[00:28:31.820 --> 00:28:34.820]   So I'll avoid the awkward pause.
[00:28:34.820 --> 00:28:35.820]   I'll continue.
[00:28:35.820 --> 00:28:40.060]   Let me quickly refresh to make sure.
[00:28:40.060 --> 00:28:44.680]   There's always this weird dance that happens inside of my head where I'm anxiously waiting
[00:28:44.680 --> 00:28:47.940]   for replies and trying not to waste anyone's time.
[00:28:47.940 --> 00:28:49.500]   So okay, I don't see any questions.
[00:28:49.500 --> 00:28:50.740]   I'll continue regardless.
[00:28:50.740 --> 00:28:54.640]   My question was, how could you possibly pick the output from here?
[00:28:54.640 --> 00:28:58.860]   So you have these query and key values that give you suggestions for which values could
[00:28:58.860 --> 00:29:01.220]   probably fit in the sentence.
[00:29:01.220 --> 00:29:04.460]   And you get a bunch of positive responses from here, right?
[00:29:04.460 --> 00:29:13.600]   Now either you could pick the most positive suggestion from here.
[00:29:13.600 --> 00:29:17.180]   But there's a problem with that.
[00:29:17.180 --> 00:29:21.760]   You always end up getting stuck in a prediction loop.
[00:29:21.760 --> 00:29:25.460]   So most of the times I would recommend everyone to try this.
[00:29:25.460 --> 00:29:29.900]   If you follow that approach, your model would be predicting the same word over and over
[00:29:29.900 --> 00:29:30.900]   and over again.
[00:29:30.900 --> 00:29:33.780]   And it becomes quite broken.
[00:29:33.780 --> 00:29:35.620]   Sometimes it starts predicting.
[00:29:35.620 --> 00:29:40.520]   I think for one of the large language models I was reading somewhere, it was just predicting
[00:29:40.520 --> 00:29:45.140]   slashes because they were apparently a few hundred thousand slashes inside of the input
[00:29:45.140 --> 00:29:48.100]   data set.
[00:29:48.100 --> 00:29:55.420]   The other approach could be, if you look at these, you could randomly pick above a
[00:29:55.420 --> 00:29:56.420]   certain threshold.
[00:29:56.420 --> 00:29:57.420]   That's totally possible.
[00:29:57.420 --> 00:30:07.420]   Or you could again, think of another heuristic using which you can pick these.
[00:30:07.420 --> 00:30:15.020]   So now I think we have covered all of the ground basics for chapter 11 and 12.
[00:30:15.020 --> 00:30:17.100]   I think we've covered sequence to sequence model.
[00:30:17.100 --> 00:30:20.040]   What is attention that covered chapter 11.
[00:30:20.040 --> 00:30:23.140]   And we've looked at generative deep learning for chapter 12.
[00:30:23.140 --> 00:30:28.300]   So now we'll hop over to code walkthrough of all of these parts.
[00:30:28.300 --> 00:30:41.180]   So I think we've gone through chapter 11, but I'll quickly skim through these as well.
[00:30:41.180 --> 00:30:45.700]   One of the things we've learned is how to vectorize the text.
[00:30:45.700 --> 00:30:52.220]   So this is covered inside of the vectorization, text vectorization layer that we create.
[00:30:52.220 --> 00:30:58.260]   And for that, we have to define a class vectorizer, which will first of all lower all of the text
[00:30:58.260 --> 00:31:00.420]   and join the characters.
[00:31:00.420 --> 00:31:08.180]   So from there, we'll tokenize all of the text and we'll split them.
[00:31:08.180 --> 00:31:11.580]   And using that we can then create a vocab.
[00:31:11.580 --> 00:31:14.020]   And how do we define the vocab size?
[00:31:14.020 --> 00:31:17.540]   You could just pick the top 10,000 used words.
[00:31:17.540 --> 00:31:19.340]   That's one of the approaches.
[00:31:19.340 --> 00:31:24.780]   But what this will lead to is you'll have a certain set of dictionary elements that
[00:31:24.780 --> 00:31:29.340]   will have a number and associated word with it.
[00:31:29.340 --> 00:31:33.780]   So let's say if you have a text sentence, I write, rewrite and still rewrite again,
[00:31:33.780 --> 00:31:39.140]   you would have all of these numbers connected with every single word.
[00:31:39.140 --> 00:31:47.940]   So here we've managed to create a mapping for every word with a number.
[00:31:47.940 --> 00:31:53.700]   You could also do this for individual characters, as you would imagine that would eat up a lot
[00:31:53.700 --> 00:31:55.500]   of your memory.
[00:31:55.500 --> 00:32:07.100]   So this is why I think NLP models eat up more memory compared to broadly speaking, computer
[00:32:07.100 --> 00:32:12.460]   vision models, because these was as you can see it up a lot of memory.
[00:32:12.460 --> 00:32:17.460]   And in that case, you'll also have a lot of unknown predictions in the case of using character
[00:32:17.460 --> 00:32:21.740]   level tokenization, you might get a lot of unknowns.
[00:32:21.740 --> 00:32:30.940]   If you create a threshold, for example, if you say, I just want the top N thousand characters,
[00:32:30.940 --> 00:32:34.180]   you might get a lot of unknowns in those outputs.
[00:32:34.180 --> 00:32:41.300]   So this is one of the ways where you can create the vocab and map them like so.
[00:32:41.300 --> 00:32:45.200]   There are two approaches to representing groups.
[00:32:45.200 --> 00:32:47.020]   These could be sets and sequences.
[00:32:47.020 --> 00:32:50.340]   So you could create a set or a dictionary.
[00:32:50.340 --> 00:32:54.700]   We had covered this in the previous session, I'm just giving a very quick refresher.
[00:32:54.700 --> 00:32:59.700]   We had looked at the IMDB data set where you were tasked to predict positive and negative
[00:32:59.700 --> 00:33:00.460]   movie reviews.
[00:33:00.460 --> 00:33:11.860]   So we looked at processing words using the back of words approach, where we just use
[00:33:11.860 --> 00:33:15.300]   unigrams with binary encoding.
[00:33:15.300 --> 00:33:19.340]   And then we had inspected these outputs.
[00:33:19.340 --> 00:33:25.660]   From there, we had also looked at using bigrams.
[00:33:25.660 --> 00:33:31.140]   And last week, we had already gone through this, I'm just reminding everyone.
[00:33:31.140 --> 00:33:38.900]   We had looked at bigrams with TF-IDF.
[00:33:38.900 --> 00:33:47.080]   And from there, we had started looking at using sequence to sequence models.
[00:33:47.080 --> 00:33:56.600]   So this is the traditional way of creating NLP models, which is using these n-gram models
[00:33:56.600 --> 00:34:03.280]   or TF-IDF weighted outputs for vectorization.
[00:34:03.280 --> 00:34:05.840]   That is one way of generating outputs.
[00:34:05.840 --> 00:34:09.720]   The other way is throwing in a neural network somewhere in here.
[00:34:09.720 --> 00:34:12.820]   And how do you decide which model to use?
[00:34:12.820 --> 00:34:18.340]   So I believe Franchois linked off a study where his team, I believe the team that's
[00:34:18.340 --> 00:34:21.980]   working on Keras would have intensively studied all of these.
[00:34:21.980 --> 00:34:27.980]   And a certain rule that they had suggested was if you have more than 15,000 words in
[00:34:27.980 --> 00:34:34.980]   your training data set, you should just use a neural network based approach.
[00:34:34.980 --> 00:34:39.340]   If it's smaller than that, a back of words approach performs better.
[00:34:39.340 --> 00:34:45.140]   This is not to say that if you just download a pre-trained NLP model from somewhere, it
[00:34:45.140 --> 00:34:46.540]   won't perform well.
[00:34:46.540 --> 00:34:55.500]   You can totally do that as well.
[00:34:55.500 --> 00:34:57.980]   Let me close this tab.
[00:34:57.980 --> 00:35:06.700]   And we can continue looking at sequence to sequence models.
[00:35:06.700 --> 00:35:10.620]   So again, we define the helper functions to load in the data set.
[00:35:10.620 --> 00:35:13.420]   We're still looking at the IMDB data set.
[00:35:13.420 --> 00:35:22.520]   We set up the train and test split, which would be 20% that goes into 80% that goes
[00:35:22.520 --> 00:35:26.720]   into the training data set and the rest 20% is divided.
[00:35:26.720 --> 00:35:32.020]   From there, we import the text vectorization layer.
[00:35:32.020 --> 00:35:49.100]   Let's see what that does.
[00:35:49.100 --> 00:35:51.100]   We're taking a look at what does this layer do.
[00:35:51.100 --> 00:35:55.540]   A pre-processing layer which maps text features to integer sequence.
[00:35:55.540 --> 00:36:00.140]   So the thing we had done manually earlier by defining those two classes, I would have
[00:36:00.140 --> 00:36:02.700]   shown the collab but I closed that link.
[00:36:02.700 --> 00:36:04.940]   And now I remember I shouldn't have done that.
[00:36:04.940 --> 00:36:07.940]   This layer takes care of that and it takes all of these inputs.
[00:36:07.940 --> 00:36:09.300]   Let's see what inputs are we passing.
[00:36:09.300 --> 00:36:13.540]   We're passing max tokens, output mode and output sequence length.
[00:36:13.540 --> 00:36:16.140]   So let's see what do these two.
[00:36:16.140 --> 00:36:19.440]   Max tokens is the maximum size of vocab for this layer.
[00:36:19.440 --> 00:36:22.440]   That makes sense.
[00:36:22.440 --> 00:36:28.140]   Output mode is the specification where it can be integers, multi-hot encoded, count
[00:36:28.140 --> 00:36:32.140]   or tf-idf, all of these things we had manually defined.
[00:36:32.140 --> 00:36:33.980]   That's one thing I really love about this book.
[00:36:33.980 --> 00:36:40.580]   First of all, you hand define things and then you bring in characters, make your life easy.
[00:36:40.580 --> 00:36:43.580]   And I believe this was the last input.
[00:36:43.580 --> 00:36:45.940]   Yep.
[00:36:45.940 --> 00:36:54.060]   So we pass an output sequence length, which is the output will have its dimension exactly
[00:36:54.060 --> 00:36:55.220]   matched to this.
[00:36:55.220 --> 00:36:59.980]   And if the model predicts a smaller output, it will be padded.
[00:36:59.980 --> 00:37:03.420]   Or if it's longer than this, it will be truncated to this length.
[00:37:03.420 --> 00:37:09.640]   So if you want a particular answer of a given length, you could, from me, you could either
[00:37:09.640 --> 00:37:15.020]   make me shut up if I'm continuously speaking, or you could add some awkward silence.
[00:37:15.020 --> 00:37:20.220]   That's how this model works.
[00:37:20.220 --> 00:37:26.020]   Instead of here, we'll call this layer and set all of these values, we're setting the
[00:37:26.020 --> 00:37:34.140]   max tokens to 20,000, maximum length of generated output to be 600 words.
[00:37:34.140 --> 00:37:39.940]   And then we create a mapping for training, data set validation data set and test data
[00:37:39.940 --> 00:37:40.940]   set.
[00:37:40.940 --> 00:37:47.900]   Pro tip here, if you set this to minus one, this will actually use up all of your CPU
[00:37:47.900 --> 00:37:48.900]   cores.
[00:37:48.900 --> 00:37:52.060]   So I have a 28 core CPU.
[00:37:52.060 --> 00:37:55.020]   And if you use this, it will actually use up all of the threads.
[00:37:55.020 --> 00:37:59.260]   If you use four, it will just use two cores of your CPU because those would have four
[00:37:59.260 --> 00:38:01.860]   threads.
[00:38:01.860 --> 00:38:08.660]   So now we're looking at a sequence model built on one hot encoded vector sequences.
[00:38:08.660 --> 00:38:18.740]   To do that, we create a one hot encoding that takes in the inputs and the depth, which would
[00:38:18.740 --> 00:38:22.100]   be the maximum number of tokens that we want to predict.
[00:38:22.100 --> 00:38:25.420]   And here we define a bidirectional LSTM.
[00:38:25.420 --> 00:38:29.860]   Because we just looked at a sequence to sequence model and we've learned these are bidirectional
[00:38:29.860 --> 00:38:30.860]   LSTMs.
[00:38:30.860 --> 00:38:33.860]   We'll add a dropout of 50%.
[00:38:33.860 --> 00:38:37.300]   I have seen dropout values of 0.8 as well.
[00:38:37.300 --> 00:38:45.460]   So if you're surprised by this, well, there are bigger things to some bigger numbers used
[00:38:45.460 --> 00:38:46.460]   as well.
[00:38:46.460 --> 00:38:48.340]   I see someone mentioning what book is this?
[00:38:48.340 --> 00:38:51.660]   I'll quickly mention again, I've mentioned this a few times.
[00:38:51.660 --> 00:38:54.900]   This is the book we're looking at, Deep Learning with Python by Francois Joliot.
[00:38:54.900 --> 00:38:58.500]   We're almost at the end of the book and you can find the other videos on our channel inside
[00:38:58.500 --> 00:39:03.940]   of a playlist.
[00:39:03.940 --> 00:39:11.340]   From there, we create a dense output and now we can create a model and compile it.
[00:39:11.340 --> 00:39:14.220]   This is still training.
[00:39:14.220 --> 00:39:18.460]   But from here we can train our basic sequence model.
[00:39:18.460 --> 00:39:27.500]   To do that, we'll just have to pass one callback, which is to checkpoint the model with this
[00:39:27.500 --> 00:39:34.380]   particular name and now we can fit it to the training and validation data set, which we
[00:39:34.380 --> 00:39:42.460]   had defined by creating a text vectorizer with a maximum token limit of 20,000 and a
[00:39:42.460 --> 00:39:44.980]   maximum length of 600.
[00:39:44.980 --> 00:39:48.540]   So this was our first sequence to sequence models.
[00:39:48.540 --> 00:39:56.300]   Later, we also learn about how to create an embedding layer.
[00:39:56.300 --> 00:40:00.020]   And we had also learned how to pad and mask the outputs.
[00:40:00.020 --> 00:40:02.100]   I'll skip over these details.
[00:40:02.100 --> 00:40:08.420]   I think these are quite straightforward.
[00:40:08.420 --> 00:40:13.620]   And now we're good to hop on to the transformer train.
[00:40:13.620 --> 00:40:18.780]   So again, I would encourage everyone to read these parts, but I have read ahead of time
[00:40:18.780 --> 00:40:22.540]   and these are quite straightforward to understand and we'd also covered this in the previous
[00:40:22.540 --> 00:40:23.540]   week.
[00:40:23.540 --> 00:40:27.980]   So that is the reason why I'm skipping this, not to keep things moving fast.
[00:40:27.980 --> 00:40:28.980]   That's not the reason.
[00:40:28.980 --> 00:40:35.660]   I don't want to repeat anything for anyone who's joining us for the second time.
[00:40:35.660 --> 00:40:40.220]   So now I've explained the transformer architecture real quickly to everyone.
[00:40:40.220 --> 00:40:46.460]   This is the part where we define a sequence to sequence model for the transformer architecture.
[00:40:46.460 --> 00:40:49.460]   So again, we download the exact same data set.
[00:40:49.460 --> 00:40:56.380]   The idea is to compare accuracies against all of these models.
[00:40:56.380 --> 00:40:59.900]   But really what we're doing here is trying to understand the concept, right?
[00:40:59.900 --> 00:41:05.100]   By definition or just by being on Twitter, you would know transformer models would perform
[00:41:05.100 --> 00:41:09.180]   really, really, really better on these things.
[00:41:09.180 --> 00:41:13.260]   But what we're trying to again, do here is understand how do these work.
[00:41:13.260 --> 00:41:17.460]   So please pay attention to that and note the accuracy values.
[00:41:17.460 --> 00:41:18.660]   So we do the exact same thing.
[00:41:18.660 --> 00:41:23.460]   We prepare the data with the exact same split as earlier validation would be 20% of the
[00:41:23.460 --> 00:41:24.460]   data.
[00:41:24.460 --> 00:41:30.300]   I think even the seed here is the same as earlier for shuffling all of the files.
[00:41:30.300 --> 00:41:32.820]   We split the data like so.
[00:41:32.820 --> 00:41:38.140]   We vectorize the data in the exact same fashion as we had done earlier.
[00:41:38.140 --> 00:41:43.180]   And now we'll implement the transformer encoder.
[00:41:43.180 --> 00:41:45.900]   So transformers are still a sequence to sequence model.
[00:41:45.900 --> 00:41:53.180]   The only difference then becomes we had looked about attention and how does that work?
[00:41:53.180 --> 00:41:58.060]   That goes into both the encoder and decoder parts of the model.
[00:41:58.060 --> 00:42:02.840]   So sequence to sequence models always have an encoder and decoder.
[00:42:02.840 --> 00:42:09.060]   These could be RNN, LSTM, a group based model, a transformer.
[00:42:09.060 --> 00:42:12.980]   Maybe you're watching this in six months and we have a totally different thing come out.
[00:42:12.980 --> 00:42:14.840]   It could be that as well.
[00:42:14.840 --> 00:42:19.100]   Sequence to sequence models always have an encoder and decoder.
[00:42:19.100 --> 00:42:24.900]   So in this case, we'll have a transformer encoder and we'll implement that by subclassing
[00:42:24.900 --> 00:42:27.820]   the layer class.
[00:42:27.820 --> 00:42:32.740]   So we inherit the layer slot layer class from Keras.
[00:42:32.740 --> 00:42:35.620]   You imported it here.
[00:42:35.620 --> 00:42:44.740]   And we define the embedding dimension, the dense dimension, the number of heads.
[00:42:44.740 --> 00:42:51.580]   And the dense proj layer would be a sequential model of a dense layer followed by another
[00:42:51.580 --> 00:42:54.100]   dense layer.
[00:42:54.100 --> 00:42:56.260]   And after that, we'll add a layer norm.
[00:42:56.260 --> 00:42:57.380]   Why are we doing this?
[00:42:57.380 --> 00:43:04.300]   Because this is how it's suggested to implement an encoder layer inside of a transformer.
[00:43:04.300 --> 00:43:10.540]   If you read the original paper, I believe they had used a layer norm as a normalizer
[00:43:10.540 --> 00:43:11.540]   instead of batch norm.
[00:43:11.540 --> 00:43:15.000]   I think that helps train better.
[00:43:15.000 --> 00:43:20.500]   If you were feeling adventurous, you should switch this out for batch normalization here
[00:43:20.500 --> 00:43:22.580]   and tell us how that performs.
[00:43:22.580 --> 00:43:27.700]   As a reminder, you have to put your model in evaluation mode if you're working with
[00:43:27.700 --> 00:43:31.780]   batch normalization and trying to get outputs from there.
[00:43:31.780 --> 00:43:37.700]   So now we're good to define the call function inside of the model.
[00:43:37.700 --> 00:43:47.020]   And if we don't have a mask, it'll quickly, sorry, I'm getting confused.
[00:43:47.020 --> 00:43:55.380]   If there is a mask value, it will map it like so.
[00:43:55.380 --> 00:44:04.820]   So the new axis gets added to the mask value.
[00:44:04.820 --> 00:44:11.500]   And from there, the attention output will call the attention module and you'll pass
[00:44:11.500 --> 00:44:16.500]   the inputs and attention mask here.
[00:44:16.500 --> 00:44:23.020]   And you'll run this through the first layer norm layer and the dense branch layer.
[00:44:23.020 --> 00:44:26.740]   And from there, you can return the second output.
[00:44:26.740 --> 00:44:32.920]   Furthermore, you can define the config where you'll have the embedding dimension, number
[00:44:32.920 --> 00:44:37.580]   of heads and dense dimension, and you can return this.
[00:44:37.580 --> 00:44:42.140]   So how do we use this for text classification?
[00:44:42.140 --> 00:44:48.860]   Now since we've already done the heavy lifting, we can quickly define an embedding layer and
[00:44:48.860 --> 00:44:52.660]   call a transformer encoder on top of that.
[00:44:52.660 --> 00:44:57.620]   So we call an input layer which gets captured inside of input.
[00:44:57.620 --> 00:45:03.500]   We pass this input to an embedding layer and we pass these embeddings to the transformer
[00:45:03.500 --> 00:45:05.400]   encoder.
[00:45:05.400 --> 00:45:09.340]   From there, we just add a global max pooling and a drop out of 50%.
[00:45:09.340 --> 00:45:12.740]   Actually, it's even higher sometimes.
[00:45:12.740 --> 00:45:15.820]   We pass this through a dense layer.
[00:45:15.820 --> 00:45:19.900]   And now we can create a model and train it.
[00:45:19.900 --> 00:45:25.500]   So this is a transformer encoder being used for text classification.
[00:45:25.500 --> 00:45:30.740]   Sorry, I want to look at the chat and instead of switching windows, I always hop over to
[00:45:30.740 --> 00:45:31.740]   my presentation.
[00:45:31.740 --> 00:45:35.740]   Okay, I don't see any messages.
[00:45:35.740 --> 00:45:36.740]   I'll continue.
[00:45:36.740 --> 00:45:44.740]   As a reminder, please keep asking questions in the chat if you want.
[00:45:44.740 --> 00:45:49.660]   So now we're good to evaluate this as well.
[00:45:49.660 --> 00:45:55.860]   To do that, we'll fit the model again to all of these data sets we've defined earlier,
[00:45:55.860 --> 00:46:01.140]   which would be the integer mappings of the training data set, the validation data set
[00:46:01.140 --> 00:46:07.140]   and train it for 20 epochs.
[00:46:07.140 --> 00:46:08.820]   And I'll let this continue for a bit.
[00:46:08.820 --> 00:46:11.100]   I should have used a GPU module.
[00:46:11.100 --> 00:46:12.940]   Colab is not being nice to me these days.
[00:46:12.940 --> 00:46:14.540]   It doesn't give me GPU access.
[00:46:14.540 --> 00:46:19.540]   Google overlords, if you're listening, please, please send more GPUs.
[00:46:19.540 --> 00:46:25.140]   But if you use a accelerator, this would train faster.
[00:46:25.140 --> 00:46:29.900]   So you can also use a positional encoding to reject order information.
[00:46:29.900 --> 00:46:33.580]   What does that mean?
[00:46:33.580 --> 00:46:41.060]   You could once you're training the module, you need to provide context to it again.
[00:46:41.060 --> 00:46:49.860]   So if you've trained a positional encoding, that can reorder things inside of the module
[00:46:49.860 --> 00:46:57.620]   to tell it, hey, look at this word, or bring attention to a specific word.
[00:46:57.620 --> 00:47:06.020]   So for that, we define a positional embedding class, which is again subclass from layer,
[00:47:06.020 --> 00:47:12.120]   which will take in the sequence length, input dimension and output dimension.
[00:47:12.120 --> 00:47:19.860]   So the token embeddings are a simple embedding having the dimensions defined like so.
[00:47:19.860 --> 00:47:25.460]   And from there, we can pick up the position embeddings.
[00:47:25.460 --> 00:47:28.620]   And these would become the inputs that go into the model.
[00:47:28.620 --> 00:47:34.860]   So again, the input dimension, sequence length and output dimension are being passed here.
[00:47:34.860 --> 00:47:44.420]   For the model call, we'll define the length as the length of inputs.
[00:47:44.420 --> 00:47:50.900]   The positions could be in a range of the entire sequence.
[00:47:50.900 --> 00:47:56.580]   And the embedded tokens then get picked from the token embeddings.
[00:47:56.580 --> 00:48:03.660]   And positions would be picked from the position embedding.
[00:48:03.660 --> 00:48:08.540]   We can then compute the mask and return the configuration.
[00:48:08.540 --> 00:48:14.100]   So using all of these, we can now create a text classification transformer, which will
[00:48:14.100 --> 00:48:15.500]   just call all of these layers.
[00:48:15.500 --> 00:48:21.980]   So the only thing we've switched here is we've called positional embedding, and then transformer
[00:48:21.980 --> 00:48:26.440]   encoder and the definition remains similar to earlier.
[00:48:26.440 --> 00:48:34.420]   So now we can use this transformer based approach to do classification.
[00:48:34.420 --> 00:48:40.540]   And I've used my knowledge from the book to cover this section, which answers the question
[00:48:40.540 --> 00:48:43.240]   when to use a sequence model over a bag of words.
[00:48:43.240 --> 00:48:48.980]   I believe inside of the book, the 15,000 word mark is the suggested limit.
[00:48:48.980 --> 00:49:03.540]   So let me take a sip of water and check the chart real quick.
[00:49:03.540 --> 00:49:09.500]   Awesome.
[00:49:09.500 --> 00:49:10.500]   I don't see any questions.
[00:49:10.500 --> 00:49:33.380]   I'll just continue in one second.
[00:49:33.380 --> 00:49:43.300]   I think we're now at the point where we can also tackle the one last mission in NLP models
[00:49:43.300 --> 00:49:44.300]   covered in the book.
[00:49:44.300 --> 00:49:49.160]   There are more things that happen outside of it, which is machine translation.
[00:49:49.160 --> 00:49:53.460]   So for that, we'll download a Spanish to English data set.
[00:49:53.460 --> 00:49:59.260]   We'll open that file, read it in, vectorize the input and output pairs.
[00:49:59.260 --> 00:50:07.060]   And again, we'll call it X vectorization layer to map the source and target vectors here.
[00:50:07.060 --> 00:50:13.780]   We'll create those pairs, prepare our data sets for translation.
[00:50:13.780 --> 00:50:16.500]   And first we'll use the group based encoder.
[00:50:16.500 --> 00:50:19.300]   So remember that model we had looked at last week?
[00:50:19.300 --> 00:50:20.940]   Don't forget about it just yet.
[00:50:20.940 --> 00:50:22.180]   It's still in play.
[00:50:22.180 --> 00:50:25.820]   So look at the group based encoder first.
[00:50:25.820 --> 00:50:27.380]   That is quite straightforward.
[00:50:27.380 --> 00:50:35.380]   You just define an embedding layer followed by a group layer and you're good to go.
[00:50:35.380 --> 00:50:41.620]   So you take the input inside of source, which will take the shape, the data type and it'll
[00:50:41.620 --> 00:50:43.660]   be in English.
[00:50:43.660 --> 00:50:50.220]   From there you map this to embeddings, which would take your vocab size, embedding dimension
[00:50:50.220 --> 00:50:52.340]   and the input.
[00:50:52.340 --> 00:51:03.060]   We then take this input or this embedding layer and pass it to a bidirectional group
[00:51:03.060 --> 00:51:12.540]   model having the dimensions of the latent dimension.
[00:51:12.540 --> 00:51:19.740]   We can then create an end to end model based on this.
[00:51:19.740 --> 00:51:25.180]   So we take the input, pass it to a decoded group.
[00:51:25.180 --> 00:51:31.660]   So this time we're taking an input and trying to produce a translated sentence.
[00:51:31.660 --> 00:51:38.620]   We again add a dropout of 50% followed by a dense layer.
[00:51:38.620 --> 00:51:45.140]   And then this becomes a seek to seek RNN module, which you can then compile and train.
[00:51:45.140 --> 00:51:54.940]   So we have two group layers, one that works as an encoder, another that works as a decoder.
[00:51:54.940 --> 00:52:04.220]   Combining both of these, we are able to translate a model from Spanish to English.
[00:52:04.220 --> 00:52:11.980]   Next we look at how can we use transformers for the same.
[00:52:11.980 --> 00:52:17.300]   I'm skipping over this part where you translate new sentences.
[00:52:17.300 --> 00:52:20.820]   But now we're excited to apply attention here.
[00:52:20.820 --> 00:52:27.620]   So to do that, we make our lives easy by calling multi head attention this time.
[00:52:27.620 --> 00:52:33.740]   So we define two attention layers apart from embedding dimensions, dense dimensions and
[00:52:33.740 --> 00:52:36.340]   number of heads.
[00:52:36.340 --> 00:52:41.180]   And we create another sequential layer, which will have just a bunch of dense layers, followed
[00:52:41.180 --> 00:52:52.660]   by which we normalize and add the normalization layers like so.
[00:52:52.660 --> 00:52:57.940]   So in the call here, we'll have to make a few adjustments because now we're working
[00:52:57.940 --> 00:52:59.720]   with attention.
[00:52:59.720 --> 00:53:07.180]   So we'll need to define Q, K and V. We had looked at these and these were query, key
[00:53:07.180 --> 00:53:09.900]   and value pairs.
[00:53:09.900 --> 00:53:13.440]   So we'll define them like so.
[00:53:13.440 --> 00:53:17.860]   And we'll just make them equal to inputs.
[00:53:17.860 --> 00:53:22.060]   Inside of the call, we'll define a casual mask, which will be a casual attention mask
[00:53:22.060 --> 00:53:26.500]   over the inputs.
[00:53:26.500 --> 00:53:35.820]   And from there, we'll create a padding and grab the TF minimum value from padding mask
[00:53:35.820 --> 00:53:38.260]   and casual mask.
[00:53:38.260 --> 00:53:44.460]   From there, we'll try to grab the first output of attention, which is self attention one.
[00:53:44.460 --> 00:53:48.900]   This will take in the casual mask.
[00:53:48.900 --> 00:53:55.140]   And then we can normalize this output by adding it to the inputs.
[00:53:55.140 --> 00:54:06.380]   And from there, we can now use or generate the second output by passing again, the output
[00:54:06.380 --> 00:54:10.260]   from the first model as the query.
[00:54:10.260 --> 00:54:15.180]   The value becomes the encoder outputs and same for the keys.
[00:54:15.180 --> 00:54:21.540]   And then the attention is just padding mask this time.
[00:54:21.540 --> 00:54:29.780]   So by doing all of this, we can now grab the attention output to after normalizing it by
[00:54:29.780 --> 00:54:33.000]   concatenating both of these.
[00:54:33.000 --> 00:54:37.820]   If you haven't read the paper or watch the previous live stream, we looked at the architecture.
[00:54:37.820 --> 00:54:54.500]   I am assuming everyone knows this architecture.
[00:54:54.500 --> 00:54:56.500]   It's also drawn inside of the book chapter.
[00:54:56.500 --> 00:55:00.980]   So if you're reading the book, you don't need to go through this paper, but I'll give it
[00:55:00.980 --> 00:55:07.820]   a second to load.
[00:55:07.820 --> 00:55:11.460]   Why are we doing all of these weird concatenation and different things?
[00:55:11.460 --> 00:55:17.260]   If you actually look at this transformer model architecture, things would start to make sense
[00:55:17.260 --> 00:55:18.940]   through that.
[00:55:18.940 --> 00:55:23.380]   So that's why all of these steps are being found.
[00:55:23.380 --> 00:55:27.160]   These are actually defined in this original paper and this architecture.
[00:55:27.160 --> 00:55:31.380]   There are hundreds of resources on there and also the previous live stream where we had
[00:55:31.380 --> 00:55:34.700]   covered this.
[00:55:34.700 --> 00:55:39.740]   So now we need a positional embedding layer.
[00:55:39.740 --> 00:55:44.580]   As you can see, inside of this, there is an input that goes to input embeddings, which
[00:55:44.580 --> 00:55:51.780]   are positionally encode and there's an output which has its own output embedding and a positional
[00:55:51.780 --> 00:55:53.820]   encoding layer.
[00:55:53.820 --> 00:56:01.820]   So we define the positional embedding layer and now this becomes an end to end transformer
[00:56:01.820 --> 00:56:10.300]   where we can grab the encoder outputs through the transformer encoder and we do the same
[00:56:10.300 --> 00:56:14.160]   to grab the transformer decoder outputs.
[00:56:14.160 --> 00:56:19.580]   And finally, we create a transformer model by combining both of these and we're ready
[00:56:19.580 --> 00:56:24.540]   to train this model.
[00:56:24.540 --> 00:56:31.140]   Then following the same approach as earlier, we can translate sentences or new sentences
[00:56:31.140 --> 00:56:34.180]   with our transformer model.
[00:56:34.180 --> 00:56:38.340]   So that I think was the last concept I wanted to cover in chapter 11.
[00:56:38.340 --> 00:56:59.300]   Again, let me take a peek at the questions.
[00:56:59.300 --> 00:57:00.620]   Amazing I don't see any questions.
[00:57:00.620 --> 00:57:02.620]   So I'll continue.
[00:57:02.620 --> 00:57:10.340]   Chapter 12 talks about generative deep learning, as I mentioned, broadly speaking.
[00:57:10.340 --> 00:57:14.700]   So one of these, if you look at the Colab is text generation.
[00:57:14.700 --> 00:57:22.420]   The other one is disconnected, but it's a disconnected deep dream.
[00:57:22.420 --> 00:57:28.780]   And you have neural style transfer followed by variable autoencoders and GANs.
[00:57:28.780 --> 00:57:33.740]   So again, a lot of things to cover, but again, the chapter is quite brief as well.
[00:57:33.740 --> 00:57:36.820]   And the idea is to give you a broad taste of all of these things.
[00:57:36.820 --> 00:57:40.420]   So I'll try to do justice to all of these concepts.
[00:57:40.420 --> 00:57:47.180]   Text generation by itself has become this incredible field revolutionized by GPT-3,
[00:57:47.180 --> 00:57:57.580]   Copilot, all of these have attention and transformers working at the base layer.
[00:57:57.580 --> 00:58:04.580]   So inside of this, again, you will have to create a sequence to sequence model.
[00:58:04.580 --> 00:58:08.940]   But this time, the mission of the model changes.
[00:58:08.940 --> 00:58:10.940]   Sorry.
[00:58:10.940 --> 00:58:20.180]   We are trying to generate text out of the model.
