
[00:00:00.000 --> 00:00:00.840]   I'm Josh Tobin.
[00:17:08.720 --> 00:17:11.120]   to get a model to work well enough on this dataset,
[00:17:11.120 --> 00:17:13.620]   then you might go back and look at your data collection
[00:17:13.620 --> 00:17:15.640]   process and you might see if there's like maybe
[00:17:15.640 --> 00:17:19.000]   some mislabeled data or if there's, you know,
[00:17:19.000 --> 00:17:20.480]   some way of making that easier,
[00:17:20.480 --> 00:17:22.280]   or you might go back to project planning and say,
[00:17:22.280 --> 00:17:24.040]   you know what, this isn't gonna work.
[00:17:24.040 --> 00:17:27.520]   And then finally, like in the deployment stage,
[00:17:27.520 --> 00:17:29.600]   I think this is like a really, really common point
[00:17:29.600 --> 00:17:31.180]   for things to loop back.
[00:17:31.180 --> 00:17:33.320]   You know, in like academic machine learning,
[00:17:33.320 --> 00:17:36.600]   you're typically given a dataset and you train models
[00:17:36.600 --> 00:17:39.200]   over and over and over on that dataset until your loss,
[00:17:39.200 --> 00:17:42.080]   like finally gets low enough and then you're like, yes,
[00:17:42.080 --> 00:17:44.240]   and you publish the paper and you're done.
[00:17:44.240 --> 00:17:45.280]   It's really exciting.
[00:17:45.280 --> 00:17:48.040]   But in the real world, it doesn't work that way, right?
[00:17:48.040 --> 00:17:51.040]   Because in the real world, you have, you know,
[00:17:51.040 --> 00:17:53.680]   way more varied data than you can possibly collect
[00:17:53.680 --> 00:17:58.680]   a small dataset to cover.
[00:17:58.680 --> 00:18:01.540]   And so what often happens is you deploy your model
[00:18:01.540 --> 00:18:04.120]   in production or like hopefully in some sandbox version
[00:18:04.120 --> 00:18:06.040]   of production, and then you realize like,
[00:18:06.040 --> 00:18:08.600]   hey, this isn't actually doing exactly what we want it
[00:18:08.600 --> 00:18:10.000]   to do.
[00:18:10.000 --> 00:18:12.120]   And so that's, you know, often when people will go back
[00:18:12.120 --> 00:18:14.720]   and, you know, figure out what the edge cases are,
[00:18:14.720 --> 00:18:18.740]   recollect data, or maybe add some other metric
[00:18:18.740 --> 00:18:21.560]   that they wanna make sure that their model is optimizing.
[00:18:21.560 --> 00:18:26.200]   And so beyond the stuff that happens for every project,
[00:18:26.200 --> 00:18:28.440]   there's also kind of things that go into making
[00:18:28.440 --> 00:18:31.680]   a really good machine learning team.
[00:18:31.680 --> 00:18:33.320]   One of them is like, just kind of how do you find
[00:18:33.320 --> 00:18:34.160]   good people?
[00:18:34.160 --> 00:18:35.560]   How do you hire?
[00:18:35.560 --> 00:18:37.380]   How do you manage a machine learning team?
[00:18:37.380 --> 00:18:39.800]   And then the other is what is infrastructure
[00:18:39.800 --> 00:18:42.320]   and tooling look like to, you know, be able to run
[00:18:42.320 --> 00:18:44.680]   a number of these projects successfully.
[00:18:44.680 --> 00:18:47.920]   And we'll talk about almost all of these things
[00:18:47.920 --> 00:18:50.140]   throughout the course of this class.
[00:18:50.140 --> 00:18:54.500]   Were there any questions on this concept,
[00:18:54.500 --> 00:18:56.620]   like kind of how the life cycle of a machine learning
[00:18:56.620 --> 00:18:57.460]   project evolves?
[00:19:03.140 --> 00:19:03.980]   Okay, good.
[00:19:03.980 --> 00:19:08.040]   The next thing that we talked about was, you know,
[00:19:08.040 --> 00:19:09.760]   you're in this planning phase, right?
[00:19:09.760 --> 00:19:11.800]   And so you're trying to figure out like,
[00:19:11.800 --> 00:19:13.680]   we have this machine learning team, you know,
[00:19:13.680 --> 00:19:16.800]   amazing machine learning engineers, what should we work on?
[00:19:16.800 --> 00:19:18.980]   Like what's gonna be the highest impact thing
[00:19:18.980 --> 00:19:20.380]   that we could possibly find?
[00:19:20.380 --> 00:19:24.760]   This is a really hard problem, but you know,
[00:19:24.760 --> 00:19:26.520]   there are a couple of mental models that we talked about
[00:19:26.520 --> 00:19:29.480]   that can be useful when you're thinking about this.
[00:19:29.480 --> 00:19:32.200]   One is the idea that like, fundamentally,
[00:19:32.200 --> 00:19:34.080]   one of the things that machine learning really does
[00:19:34.080 --> 00:19:38.520]   is it allows you to create zero cost predictions.
[00:19:38.520 --> 00:19:41.320]   So, you know, traditionally, like if you want someone
[00:19:41.320 --> 00:19:43.600]   to predict something for you, like if you,
[00:19:43.600 --> 00:19:44.860]   and you want that person to be good,
[00:19:44.860 --> 00:19:46.980]   it's gonna be expensive to ask them like, okay,
[00:19:46.980 --> 00:19:49.160]   what is, you know, which way should I turn the steering
[00:19:49.160 --> 00:19:53.400]   wheel or, you know, what is the economy gonna do next year?
[00:19:53.400 --> 00:19:55.160]   But in machine learning, if you have a trained system,
[00:19:55.160 --> 00:19:57.800]   then that, you know, the marginal cost of producing
[00:19:57.800 --> 00:19:59.360]   additional predictions is zero.
[00:20:00.220 --> 00:20:02.500]   And so you can, you know, one thing to think about
[00:20:02.500 --> 00:20:05.260]   is like within your organization, what are places
[00:20:05.260 --> 00:20:07.900]   where like free prediction essentially
[00:20:07.900 --> 00:20:09.300]   would make a big difference?
[00:20:09.300 --> 00:20:12.300]   And then the second, and this comes back
[00:20:12.300 --> 00:20:15.820]   to this software 2.0 idea, but you know,
[00:20:15.820 --> 00:20:18.220]   where can you take, you know, if the idea is that like
[00:20:18.220 --> 00:20:21.420]   gradient descents can write better code than you, right?
[00:20:21.420 --> 00:20:23.500]   This is kind of tongue in cheek, like it actually,
[00:20:23.500 --> 00:20:26.420]   you know, can't write better code than you in most cases,
[00:20:26.420 --> 00:20:29.500]   but in some cases, like your optimization algorithm
[00:20:29.500 --> 00:20:32.260]   is gonna find a much better way of, you know,
[00:20:32.260 --> 00:20:35.860]   classifying images or translating text
[00:20:35.860 --> 00:20:39.060]   than you can possibly do with a rules-based system.
[00:20:39.060 --> 00:20:42.020]   And so thinking about parts of your software pipeline
[00:20:42.020 --> 00:20:44.220]   where you have like a bunch of handwritten rules,
[00:20:44.220 --> 00:20:47.800]   a bunch of heuristics, and then thinking about
[00:20:47.800 --> 00:20:49.520]   how you can automate them.
[00:20:49.520 --> 00:20:55.180]   Yeah, question in the back.
[00:20:55.180 --> 00:20:58.220]   - Where does stuff that was not possible
[00:20:58.220 --> 00:21:00.660]   before these learning fit into this bucket?
[00:21:00.660 --> 00:21:03.580]   So something like auto-reply, it's almost,
[00:21:03.580 --> 00:21:05.820]   it's near impossible, it's not cheap,
[00:21:05.820 --> 00:21:07.100]   but it's near impossible to do it
[00:21:07.100 --> 00:21:10.260]   in manual software techniques.
[00:21:10.260 --> 00:21:13.340]   - Yeah, so how would you think about auto-reply?
[00:21:13.340 --> 00:21:18.020]   I would say that like, you could imagine auto-reply
[00:21:18.020 --> 00:21:19.520]   before machine learning, right?
[00:21:19.520 --> 00:21:21.460]   You could say like, maybe, you know,
[00:21:21.460 --> 00:21:25.300]   if like if Google's customers were high enough value,
[00:21:25.300 --> 00:21:27.900]   then they would totally just hire people to, you know,
[00:21:27.900 --> 00:21:30.700]   come up with suggested replies for you, right?
[00:21:30.700 --> 00:21:32.140]   But the problem is that like, you know,
[00:21:32.140 --> 00:21:33.860]   I'm not creating that much value for Google,
[00:21:33.860 --> 00:21:36.180]   so they're not willing to pay someone
[00:21:36.180 --> 00:21:38.560]   to write my emails for me, unfortunately.
[00:21:38.560 --> 00:21:41.580]   But if it's free, then they might as well do that.
[00:21:41.580 --> 00:21:51.580]   Other questions about how to think about
[00:21:51.580 --> 00:21:53.900]   how to find high impact projects?
[00:21:53.900 --> 00:21:55.300]   I'm kind of expecting a lot of questions here,
[00:21:55.300 --> 00:21:58.900]   'cause I feel like, you know, this doesn't really,
[00:21:58.900 --> 00:22:00.420]   this is not comprehensive, right?
[00:22:00.420 --> 00:22:04.380]   Like, there are a lot of projects that are high impact
[00:22:04.380 --> 00:22:06.180]   that are not covered by either of these things,
[00:22:06.180 --> 00:22:09.180]   and you know, this is kind of vague in some sense, right?
[00:22:09.180 --> 00:22:10.660]   So like, how do you all think about this?
[00:22:10.660 --> 00:22:11.500]   Yeah.
[00:22:11.500 --> 00:22:15.340]   - This is maybe answering a slightly different question,
[00:22:15.340 --> 00:22:17.460]   but when you're saying high impact ML projects,
[00:22:17.460 --> 00:22:20.900]   you're thinking of like very specific applied use cases.
[00:22:20.900 --> 00:22:23.100]   Do you have any sort of general advice
[00:22:23.100 --> 00:22:25.740]   if you're interested in like a more research flavored,
[00:22:25.740 --> 00:22:27.420]   but still high impact project?
[00:22:27.420 --> 00:22:32.020]   - Yeah.
[00:22:32.020 --> 00:22:36.380]   So yeah, so the question was how to think about this
[00:22:36.380 --> 00:22:38.260]   if you're interested in finding a project
[00:22:38.260 --> 00:22:40.940]   that's high impact like in a business sense,
[00:22:40.940 --> 00:22:42.780]   but also is really interesting from a research sense.
[00:22:42.780 --> 00:22:43.620]   Is that?
[00:22:43.620 --> 00:22:45.500]   Yeah, I think like, I mean,
[00:22:45.500 --> 00:22:48.140]   the currency of like interesting research,
[00:22:48.140 --> 00:22:49.780]   most people would say is novelty.
[00:22:49.780 --> 00:22:52.420]   And so the thing I would look for there is like,
[00:22:52.420 --> 00:22:56.380]   I would look at projects that you think
[00:22:56.380 --> 00:22:58.060]   could have a big impact to like,
[00:22:58.060 --> 00:23:01.260]   that you can make a bit.
[00:23:01.260 --> 00:23:02.740]   And then I would think about the ones where
[00:23:02.740 --> 00:23:04.940]   like you kind of know what the answer is already.
[00:23:04.940 --> 00:23:07.180]   Like, okay, we could, you know,
[00:23:07.180 --> 00:23:08.900]   we kind of know how to do classification.
[00:23:08.900 --> 00:23:10.020]   We need to build a big data set,
[00:23:10.020 --> 00:23:11.620]   and then we need to train a model,
[00:23:11.620 --> 00:23:15.240]   like a confident to classify things in those images.
[00:23:15.240 --> 00:23:18.940]   But, you know, if the application itself
[00:23:18.940 --> 00:23:22.300]   is sort of more like something that's really difficult,
[00:23:22.300 --> 00:23:24.340]   that's like less understood
[00:23:24.340 --> 00:23:25.580]   how you actually do that with machine learning,
[00:23:25.580 --> 00:23:27.140]   then that can be a good way
[00:23:27.140 --> 00:23:29.060]   of finding problems like that, I think.
[00:23:29.060 --> 00:23:32.060]   Yeah.
[00:23:32.060 --> 00:23:36.940]   Oh yeah, cost is on the next slide.
[00:23:36.940 --> 00:23:38.540]   Yeah, that's a good point though.
[00:23:38.540 --> 00:23:40.340]   Yeah.
[00:23:40.340 --> 00:23:43.260]   (student speaking)
[00:23:44.100 --> 00:23:47.380]   The, again, uncheap thing,
[00:23:47.380 --> 00:23:51.740]   but the kind of advantage of resilience
[00:23:51.740 --> 00:23:53.740]   and resilience of particular rules
[00:23:53.740 --> 00:23:56.380]   is that you know exactly what leads to.
[00:23:56.380 --> 00:23:57.220]   Yep.
[00:23:57.220 --> 00:24:00.340]   And you have a predictive algorithm.
[00:24:00.340 --> 00:24:04.020]   It's not always the case with machine learning.
[00:24:04.020 --> 00:24:06.940]   So usually the high impact projects
[00:24:06.940 --> 00:24:09.820]   are the ones that are close to money.
[00:24:09.820 --> 00:24:14.820]   And it also means that the cost of hiring all is good.
[00:24:14.820 --> 00:24:19.180]   So how do you bridge that?
[00:24:19.180 --> 00:24:20.020]   Yeah.
[00:24:20.020 --> 00:24:22.980]   So the question is, how do you bridge the fact
[00:24:22.980 --> 00:24:25.820]   that most high impact machine learning projects
[00:24:25.820 --> 00:24:28.420]   are also gonna be very expensive, essentially?
[00:24:28.420 --> 00:24:32.220]   Expensive if you make the wrong prediction.
[00:24:32.220 --> 00:24:33.060]   Yeah.
[00:24:33.060 --> 00:24:34.540]   I mean, the way, like just in general,
[00:24:34.540 --> 00:24:36.220]   the way I think about selecting project is,
[00:24:36.220 --> 00:24:38.540]   you know, you wanna think about like,
[00:24:38.540 --> 00:24:40.260]   how impactful is this gonna be?
[00:24:40.260 --> 00:24:42.820]   Meaning like, if we're able to do this successfully,
[00:24:42.820 --> 00:24:45.260]   then what's the value that we're creating?
[00:24:45.260 --> 00:24:46.740]   And then what's the cost?
[00:24:46.740 --> 00:24:48.660]   And then you wanna like pick projects that are,
[00:24:48.660 --> 00:24:52.900]   you know, low expected cost and high expected impact.
[00:24:52.900 --> 00:24:55.380]   And so, you know, so I would try to balance
[00:24:55.380 --> 00:24:56.220]   those two things.
[00:24:56.220 --> 00:24:58.180]   Like if the project is extremely risky,
[00:24:58.180 --> 00:24:59.980]   then maybe you just don't do it.
[00:24:59.980 --> 00:25:08.220]   Yeah.
[00:25:08.220 --> 00:25:13.220]   - Do you think explainability is also considered cost?
[00:25:13.220 --> 00:25:17.860]   - Yeah, so the question was, is explainability a cost?
[00:25:17.860 --> 00:25:20.020]   Yeah, so I think explainability is one thing
[00:25:20.020 --> 00:25:24.900]   that makes projects expensive because it's very difficult.
[00:25:24.900 --> 00:25:27.780]   Yeah, so I would consider this like something
[00:25:27.780 --> 00:25:29.700]   that ramps up the difficulty of the problem.
[00:25:29.700 --> 00:25:31.380]   And so, you know, by doing that,
[00:25:31.380 --> 00:25:33.540]   it makes the project more expensive.
[00:25:33.540 --> 00:25:36.900]   And so like, let's actually use that as a segue
[00:25:36.900 --> 00:25:37.940]   to talk about costs.
[00:25:37.940 --> 00:25:41.780]   The way I think about like kind of how to figure out
[00:25:41.780 --> 00:25:45.140]   how expensive a machine learning project is gonna be is,
[00:25:45.140 --> 00:25:49.140]   you know, some cost drivers on the left from, you know,
[00:25:49.140 --> 00:25:52.820]   bottom to top in order of how important they are
[00:25:52.820 --> 00:25:53.860]   in terms of driving the costs.
[00:25:53.860 --> 00:25:55.680]   And I think that really the number one thing
[00:25:55.680 --> 00:25:56.980]   is data availability.
[00:25:56.980 --> 00:25:59.820]   And so this means both like how easy is it to collect data?
[00:25:59.820 --> 00:26:04.300]   You know, how available is it?
[00:26:04.300 --> 00:26:05.940]   How expensive is it to collect?
[00:26:05.940 --> 00:26:08.420]   But then also how expensive is it to label?
[00:26:08.420 --> 00:26:11.000]   And this is super, super critical for a lot of applications
[00:26:11.000 --> 00:26:14.260]   because, you know, for example, if you're working in medicine
[00:26:14.260 --> 00:26:19.260]   and you don't want random people on Amazon Turk
[00:26:19.260 --> 00:26:21.140]   making your medical decisions for you,
[00:26:21.140 --> 00:26:24.860]   then that means that you need to have doctors
[00:26:24.860 --> 00:26:26.740]   that are actually labeling your data for you.
[00:26:26.740 --> 00:26:28.540]   And so the labelers can actually turn out
[00:26:28.540 --> 00:26:30.300]   to be one of the most expensive parts
[00:26:30.300 --> 00:26:31.660]   about creating the dataset.
[00:26:34.060 --> 00:26:36.260]   In addition to data availability,
[00:26:36.260 --> 00:26:38.180]   the accuracy requirement of your system
[00:26:38.180 --> 00:26:40.140]   is also a very big cost driver.
[00:26:40.140 --> 00:26:42.820]   And so there's a slide in kind of the main presentation
[00:26:42.820 --> 00:26:45.740]   that showed like kind of an exponentially growing curve.
[00:26:45.740 --> 00:26:48.220]   And the idea is that like generally speaking,
[00:26:48.220 --> 00:26:52.180]   from what I've seen, project costs tend to grow
[00:26:52.180 --> 00:26:56.940]   faster than linearly in the sort of the number of nines
[00:26:56.940 --> 00:26:59.460]   that you need in your final accuracy, right?
[00:26:59.460 --> 00:27:01.940]   So like if you need your thing to be 99% accurate
[00:27:02.780 --> 00:27:06.040]   and that changes and now you need it to be 99.9% accurate,
[00:27:06.040 --> 00:27:09.000]   then like sort of like very, very rough rule of thumb
[00:27:09.000 --> 00:27:12.420]   is like maybe that project would be 10 times as expensive.
[00:27:12.420 --> 00:27:16.620]   So, you know, if for your application,
[00:27:16.620 --> 00:27:17.980]   you need things to be super accurate,
[00:27:17.980 --> 00:27:20.740]   then the project is gonna be very expensive.
[00:27:20.740 --> 00:27:23.620]   And in particular, the cost of wrong predictions
[00:27:23.620 --> 00:27:25.300]   is like a major driver of that, right?
[00:27:25.300 --> 00:27:28.960]   So self-driving cars have very expensive wrong predictions.
[00:27:28.960 --> 00:27:31.280]   And that's one of the reasons why
[00:27:31.280 --> 00:27:33.280]   it's been so expensive to develop them.
[00:27:33.280 --> 00:27:36.840]   And then the last thing is problem difficulty.
[00:27:36.840 --> 00:27:39.560]   And I think this, you know, generally seems to be
[00:27:39.560 --> 00:27:40.860]   less important than the other two things,
[00:27:40.860 --> 00:27:43.160]   but is also can be important.
[00:27:43.160 --> 00:27:46.160]   And I wanna talk a little bit more about that
[00:27:46.160 --> 00:27:48.140]   in a few minutes.
[00:27:48.140 --> 00:27:52.800]   Questions on assessing costs of projects?
[00:27:52.800 --> 00:28:00.320]   Yeah.
[00:28:00.320 --> 00:28:01.800]   - I have a problem with the one before.
[00:28:01.800 --> 00:28:04.720]   So one before is kind of how do you decide
[00:28:04.720 --> 00:28:06.360]   what projects you want to do?
[00:28:06.360 --> 00:28:09.160]   Maybe they're the big thing,
[00:28:09.160 --> 00:28:10.880]   might decide what projects you can do
[00:28:10.880 --> 00:28:12.800]   with what you have at hand.
[00:28:12.800 --> 00:28:13.640]   - Totally.
[00:28:13.640 --> 00:28:16.200]   - How often, like which direction do you find yourself
[00:28:16.200 --> 00:28:17.200]   starting projects?
[00:28:17.200 --> 00:28:21.380]   - I almost always, for me,
[00:28:21.380 --> 00:28:24.240]   find myself starting from sort of impact
[00:28:24.240 --> 00:28:27.540]   and then trying to assess whether it's feasible.
[00:28:27.540 --> 00:28:29.080]   But that's, I think like driven by
[00:28:29.080 --> 00:28:30.440]   the context that I work in.
[00:28:30.440 --> 00:28:34.760]   I think from like from companies that I talk to, you know,
[00:28:34.760 --> 00:28:38.880]   and I think this would also be a really interesting question
[00:28:38.880 --> 00:28:40.880]   to ask to Neil when he speaks later.
[00:28:40.880 --> 00:28:43.240]   But, you know, I think like oftentimes
[00:28:43.240 --> 00:28:45.800]   the impact question is like sort of
[00:28:45.800 --> 00:28:47.280]   part of your strategic planning.
[00:28:47.280 --> 00:28:49.960]   And then you start to build a data set, you know,
[00:28:49.960 --> 00:28:51.760]   based on like data that you get from your users
[00:28:51.760 --> 00:28:54.040]   or that you're building to, you know,
[00:28:54.040 --> 00:28:56.560]   to be an input to a system that's part of your product.
[00:28:56.560 --> 00:28:59.600]   And then from there, like the, you know,
[00:28:59.600 --> 00:29:01.200]   the smaller projects that you decide to do
[00:29:01.200 --> 00:29:03.560]   within that context are largely driven
[00:29:03.560 --> 00:29:06.100]   by what data you already have available.
[00:29:06.100 --> 00:29:07.640]   Because if you're building like a massive data set
[00:29:07.640 --> 00:29:08.840]   from scratch, then that's just, you know,
[00:29:08.840 --> 00:29:11.040]   it takes a long time and it's super expensive.
[00:29:11.040 --> 00:29:14.640]   Yeah.
[00:29:14.640 --> 00:29:16.640]   - Like what's like usually the most surprising
[00:29:16.640 --> 00:29:17.800]   that comes up as you're doing this,
[00:29:17.800 --> 00:29:19.680]   like you didn't think about?
[00:29:19.680 --> 00:29:20.520]   - Yeah.
[00:29:26.440 --> 00:29:28.560]   - Or like easy to get wrong.
[00:29:28.560 --> 00:29:31.480]   - Yeah, I think figuring out how much data
[00:29:31.480 --> 00:29:32.400]   you're gonna need.
[00:29:32.400 --> 00:29:35.400]   Sorry.
[00:29:35.400 --> 00:29:38.560]   Yeah, the question is like what's the most surprising thing
[00:29:38.560 --> 00:29:40.280]   that people get wrong?
[00:29:40.280 --> 00:29:42.680]   I think one thing that comes to mind is just like,
[00:29:42.680 --> 00:29:44.680]   how do you figure out how much data you're gonna need
[00:29:44.680 --> 00:29:46.000]   for this problem, right?
[00:29:46.000 --> 00:29:49.560]   And so oftentimes you see like, well, all right,
[00:29:49.560 --> 00:29:51.960]   we're gonna budget for 100,000 labeled images
[00:29:51.960 --> 00:29:53.980]   for this problem because, you know,
[00:29:53.980 --> 00:29:56.320]   we read some paper and they used 100,000 images.
[00:29:56.320 --> 00:29:58.760]   But then what you realize is that like that paper
[00:29:58.760 --> 00:30:01.720]   only works in some really, really narrow circumstance.
[00:30:01.720 --> 00:30:04.520]   And so to solve the broader problem, you know,
[00:30:04.520 --> 00:30:06.960]   maybe you need millions or tens of millions
[00:30:06.960 --> 00:30:09.360]   of labeled images or more.
[00:30:09.360 --> 00:30:11.320]   And so I think if you don't take that into account,
[00:30:11.320 --> 00:30:14.020]   then that's an easy way to get it wrong by quite a bit.
[00:30:14.020 --> 00:30:16.800]   Yeah.
[00:30:16.800 --> 00:30:19.220]   (indistinct)
[00:30:25.400 --> 00:30:27.960]   - Yeah, so the question is, are the sizes of the parts
[00:30:27.960 --> 00:30:29.380]   of the pyramid representative?
[00:30:29.380 --> 00:30:31.320]   No, it's more just illustrative.
[00:30:31.320 --> 00:30:35.040]   Like I think data availability is like usually the,
[00:30:35.040 --> 00:30:35.880]   you know, the biggest driver.
[00:30:35.880 --> 00:30:37.400]   If it's really, really hard to get data,
[00:30:37.400 --> 00:30:38.960]   then the project is gonna be extremely expensive
[00:30:38.960 --> 00:30:39.800]   no matter what.
[00:30:39.800 --> 00:30:43.900]   But yeah, it's, I mean, it's very problem dependent, right?
[00:30:43.900 --> 00:30:47.640]   Like for some problems, you know, if some problems are like
[00:30:47.640 --> 00:30:49.400]   some projects can still be super expensive,
[00:30:49.400 --> 00:30:51.880]   even if data is cheap, because they're just research
[00:30:51.880 --> 00:30:53.700]   problems and you need to hire, you know,
[00:30:53.700 --> 00:30:55.640]   star researchers who, you know,
[00:30:55.640 --> 00:30:57.600]   who are expensive and difficult to hire.
[00:30:57.600 --> 00:30:59.960]   So it's sort of a rule of thumb.
[00:30:59.960 --> 00:31:07.720]   Cool.
[00:31:07.720 --> 00:31:12.980]   So the next thing that we talked about was, you know,
[00:31:12.980 --> 00:31:17.200]   once you have picked what problem to work on,
[00:31:17.200 --> 00:31:18.640]   you need to choose a metric.
[00:31:18.640 --> 00:31:19.800]   And so, you know, in the real world,
[00:31:19.800 --> 00:31:21.120]   you care about a lot of different things.
[00:31:21.120 --> 00:31:23.000]   You care about your accuracy.
[00:31:23.000 --> 00:31:25.160]   You care about, you know, how fast,
[00:31:25.160 --> 00:31:27.420]   like whether things run in real time and like maybe many,
[00:31:27.420 --> 00:31:28.800]   many other things,
[00:31:28.800 --> 00:31:31.340]   but machine learning systems tend to work best when you're
[00:31:31.340 --> 00:31:34.680]   like trying to drive down one number at any given time.
[00:31:34.680 --> 00:31:36.760]   And the reason that this is important is because, you know,
[00:31:36.760 --> 00:31:39.040]   we saw an example of three different ways of combining
[00:31:39.040 --> 00:31:40.320]   precision and recall.
[00:31:40.320 --> 00:31:42.540]   And those three different ways of combining them could give
[00:31:42.540 --> 00:31:45.840]   you different scores for three different choices of model.
[00:31:45.840 --> 00:31:47.960]   And so if you want to pick which model performs best for
[00:31:47.960 --> 00:31:48.780]   your problem,
[00:31:48.780 --> 00:31:51.480]   you need some kind of canonical way at any given time of
[00:31:51.480 --> 00:31:53.960]   combining the metrics that you care about.
[00:31:53.960 --> 00:31:55.520]   And, you know,
[00:31:55.520 --> 00:31:58.360]   that way of combining them will evolve because, you know,
[00:31:58.360 --> 00:32:00.800]   oftentimes you don't really get it right the first time,
[00:32:00.800 --> 00:32:03.960]   but it's, I think it's important at any given time to have
[00:32:03.960 --> 00:32:07.240]   like kind of alignment on your team about what's the,
[00:32:07.240 --> 00:32:09.600]   like, what's the number that we're trying to make go lower.
[00:32:09.600 --> 00:32:13.020]   Questions on, on metrics.
[00:32:13.020 --> 00:32:16.960]   - So do you see like how's the,
[00:32:16.960 --> 00:32:18.120]   I guess scoring is,
[00:32:18.120 --> 00:32:20.160]   I guess scoring is kind of a combination of precision
[00:32:20.160 --> 00:32:21.480]   and recall.
[00:32:21.480 --> 00:32:24.880]   I've seen a lot of cases, F score and then beta score.
[00:32:24.880 --> 00:32:26.120]   - Yeah. So the question is about F score,
[00:32:26.120 --> 00:32:28.140]   which is a way of combining precision and recall.
[00:32:28.140 --> 00:32:30.920]   There are a lot of ways of combining precision and recall
[00:32:30.920 --> 00:32:32.120]   depends on your problem.
[00:32:32.120 --> 00:32:35.460]   (indistinct)
[00:32:35.460 --> 00:32:40.440]   Yeah. Mean average precision is another common way of
[00:32:40.440 --> 00:32:42.280]   combining precision and recall.
[00:32:42.280 --> 00:32:44.360]   Again, like the point of this is not really to make an
[00:32:44.360 --> 00:32:48.320]   argument for any one way of combining them over another.
[00:32:48.320 --> 00:32:50.160]   It's like, the point of this is really,
[00:32:50.160 --> 00:32:51.560]   there are many ways to combine them.
[00:32:51.560 --> 00:32:53.480]   Some of them are better in different circumstances than
[00:32:53.480 --> 00:32:56.780]   other others, but it's important to kind of like,
[00:32:56.780 --> 00:32:59.800]   when you start training models to have an idea of what
[00:32:59.800 --> 00:33:01.320]   metric you're going to use to evaluate them.
[00:33:01.320 --> 00:33:04.120]   So you can decide which hyper parameter choices and which
[00:33:04.120 --> 00:33:07.280]   model architectures are performing best in some canonical
[00:33:07.280 --> 00:33:08.120]   way.
[00:33:08.120 --> 00:33:10.640]   Yeah.
[00:33:10.640 --> 00:33:13.060]   (indistinct)
[00:33:13.060 --> 00:33:15.740]   - Which metrics really proves your model is good,
[00:33:15.740 --> 00:33:20.060]   but in real business scenario, like I saw in the test,
[00:33:20.060 --> 00:33:22.220]   how they really validate from the systems.
[00:33:22.220 --> 00:33:26.500]   So like, how do you think the real business scenario
[00:33:26.500 --> 00:33:27.340]   plays out?
[00:33:27.340 --> 00:33:30.580]   Like, you know, apart from the model metrics,
[00:33:30.580 --> 00:33:32.740]   have you seen some kind of calibrated values
[00:33:32.740 --> 00:33:35.580]   using real business systems and these models?
[00:33:35.580 --> 00:33:36.420]   - Yeah. Yeah.
[00:33:36.420 --> 00:33:39.860]   So the question is, you know, in a real business setting
[00:33:39.860 --> 00:33:41.260]   where you also have like,
[00:33:41.260 --> 00:33:43.340]   where you're also deploying this model,
[00:33:43.340 --> 00:33:45.420]   how does this play out?
[00:33:45.420 --> 00:33:46.940]   A couple of thoughts there.
[00:33:46.940 --> 00:33:49.460]   One is that like one thing that a lot of people that I talk
[00:33:49.460 --> 00:33:52.500]   to do is they have, they have like,
[00:33:52.500 --> 00:33:53.380]   they have their metric.
[00:33:53.380 --> 00:33:55.140]   They're like one canonical metric that they're trying to
[00:33:55.140 --> 00:33:55.980]   drive down,
[00:33:55.980 --> 00:33:58.060]   but then they also have a lot of other things that they care
[00:33:58.060 --> 00:33:58.900]   about, right?
[00:33:58.900 --> 00:34:00.780]   Like they care about whether their Twitter bot is like
[00:34:00.780 --> 00:34:03.220]   going to say tweet racist stuff, right?
[00:34:03.220 --> 00:34:04.740]   So that's not the number that they're driving down,
[00:34:04.740 --> 00:34:07.520]   but if it did tweet racist stuff, that'd be really bad.
[00:34:07.520 --> 00:34:10.140]   And so what you might do is you might actually create a
[00:34:10.140 --> 00:34:12.980]   separate test set or a separate validation set that captures
[00:34:12.980 --> 00:34:15.400]   like this particular property of your model that, you know,
[00:34:15.400 --> 00:34:16.460]   you need it to have,
[00:34:16.460 --> 00:34:19.380]   and then just kind of threshold whatever your metric is on
[00:34:19.380 --> 00:34:22.140]   that. So you might say, you know,
[00:34:22.140 --> 00:34:27.760]   I know that I like when my model reads these types of texts,
[00:34:27.760 --> 00:34:31.380]   I have 0% tolerance for it saying the wrong things on these
[00:34:31.380 --> 00:34:32.300]   examples, because these are,
[00:34:32.300 --> 00:34:34.520]   these are just critical, critical examples.
[00:34:34.520 --> 00:34:36.060]   So that's kind of one thing that you can do,
[00:34:36.060 --> 00:34:39.460]   like still in the training and validation environment.
[00:34:39.460 --> 00:34:41.740]   One thing from the Tesla talk that I think is really cool.
[00:34:41.740 --> 00:34:44.460]   And I think more companies should be doing is,
[00:34:44.460 --> 00:34:48.340]   is like deploying their models kind of side by side with the
[00:34:48.340 --> 00:34:50.460]   production model to,
[00:34:50.460 --> 00:34:52.780]   and then keeping track of the,
[00:34:52.780 --> 00:34:56.900]   the predicted performance in like in a sandboxed way.
[00:34:56.900 --> 00:34:59.500]   So you have like both models running in production,
