
[00:00:00.000 --> 00:00:01.600]   - Cover today.
[00:17:46.400 --> 00:17:47.840]   that they should really take it out.
[00:17:47.840 --> 00:17:49.520]   So it really is like, it might seem dumb
[00:17:49.520 --> 00:17:51.680]   if you are like really thinking about it,
[00:17:51.680 --> 00:17:54.720]   but you can really get lulled into complacency.
[00:17:54.720 --> 00:17:55.560]   - Yeah.
[00:17:56.640 --> 00:17:59.000]   Yeah, another thing that people have talked a lot about
[00:17:59.000 --> 00:18:02.280]   that seems to really help here is like, don't, you know,
[00:18:02.280 --> 00:18:03.760]   even if you are pretty confident
[00:18:03.760 --> 00:18:05.840]   that your model is gonna work well,
[00:18:05.840 --> 00:18:07.400]   don't just deploy it into production
[00:18:07.400 --> 00:18:09.040]   to like start serving predictions right away.
[00:18:09.040 --> 00:18:11.320]   Like what a lot of companies do is deploy it
[00:18:11.320 --> 00:18:14.840]   alongside the existing model that they know works okay.
[00:18:14.840 --> 00:18:16.320]   And then just sort of keep track
[00:18:16.320 --> 00:18:18.000]   of all of that stuff for a while,
[00:18:18.000 --> 00:18:20.040]   or maybe even like serve predictions to, you know,
[00:18:20.040 --> 00:18:22.720]   1% of their customers or 10% or something like that.
[00:18:22.720 --> 00:18:24.480]   And then sort of only over time,
[00:18:24.480 --> 00:18:26.880]   when you build more confidence that the model
[00:18:26.880 --> 00:18:28.320]   is gonna work in the real world,
[00:18:28.320 --> 00:18:31.320]   then actually make that sort of your main production model.
[00:18:31.320 --> 00:18:38.680]   - One thing that I suggest,
[00:18:38.680 --> 00:18:39.640]   I don't know if you looked at it,
[00:18:39.640 --> 00:18:42.240]   it's core machine learning engine with,
[00:18:42.240 --> 00:18:44.840]   with Google.
[00:18:44.840 --> 00:18:50.600]   And if you just conform to the TF estimator API,
[00:18:50.600 --> 00:18:52.200]   then you can, it, it,
[00:18:52.200 --> 00:18:53.760]   you try to make it a one click.
[00:18:53.760 --> 00:18:56.680]   - Do you have to use it?
[00:18:56.680 --> 00:18:57.600]   Do you use that?
[00:18:57.600 --> 00:19:01.320]   - I've gone through like the workshops.
[00:19:01.320 --> 00:19:02.160]   - Yeah.
[00:19:02.160 --> 00:19:03.200]   - Yeah, it's pretty nice.
[00:19:03.200 --> 00:19:09.680]   - Cool, any other thoughts on testing deployment?
[00:19:09.680 --> 00:19:16.080]   How many feel like you're gonna be able to like
[00:19:16.080 --> 00:19:18.840]   actually write some unit tests or, you know,
[00:19:18.840 --> 00:19:22.120]   regression tests around your code base for your project
[00:19:22.120 --> 00:19:23.040]   before next week?
[00:19:23.040 --> 00:19:25.720]   One, two?
[00:19:25.720 --> 00:19:27.720]   That's pretty good, yeah.
[00:19:27.720 --> 00:19:28.560]   It's a--
[00:19:28.560 --> 00:19:29.960]   (man speaking off mic)
[00:19:29.960 --> 00:19:30.800]   What's that?
[00:19:30.800 --> 00:19:32.160]   (man speaking off mic)
[00:19:32.160 --> 00:19:33.240]   I don't know, we have a lot.
[00:19:33.240 --> 00:19:34.080]   What do you think, Peter?
[00:19:34.080 --> 00:19:34.920]   Like?
[00:19:34.920 --> 00:19:37.720]   - I would say we probably have,
[00:19:37.720 --> 00:19:40.600]   we're trying to, we just started measuring our coverage
[00:19:40.600 --> 00:19:43.040]   like a few weeks back.
[00:19:43.040 --> 00:19:46.560]   I think we're at like 70%, it's not,
[00:19:46.560 --> 00:19:49.240]   which is so on the order of hundreds
[00:19:49.240 --> 00:19:50.560]   at this point probably.
[00:19:50.560 --> 00:19:52.000]   - Yeah.
[00:19:52.000 --> 00:19:54.400]   - The other thing I'll say about this is that like,
[00:19:54.400 --> 00:19:57.840]   you know, I think like when I'm writing research code,
[00:19:57.840 --> 00:20:00.480]   I usually will start by not writing any tests.
[00:20:00.480 --> 00:20:02.600]   But I think that one mistake people make is like
[00:20:02.600 --> 00:20:04.040]   when you're transitioning from research code
[00:20:04.040 --> 00:20:05.880]   to code that's like gonna be used by a lot of people
[00:20:05.880 --> 00:20:07.360]   or deployed into production,
[00:20:07.360 --> 00:20:10.040]   is like waiting too long to start writing tests.
[00:20:10.040 --> 00:20:13.280]   Because, you know, like the longer time you spend
[00:20:13.280 --> 00:20:14.920]   between when you introduce a bug
[00:20:14.920 --> 00:20:16.280]   and then when it gets caught,
[00:20:16.280 --> 00:20:17.920]   the harder it's gonna be to like to go back
[00:20:17.920 --> 00:20:19.960]   and find where that bug was and fix it.
[00:20:19.960 --> 00:20:22.080]   And this is especially true if there's multiple people
[00:20:22.080 --> 00:20:23.320]   working on the code base.
[00:20:23.320 --> 00:20:25.160]   Yeah.
[00:20:25.160 --> 00:20:26.080]   - So the open AI unit test,
[00:20:26.080 --> 00:20:29.160]   are those actually unit testing the modules
[00:20:29.160 --> 00:20:32.840]   or are they actually unit testing the networks as well?
[00:20:32.840 --> 00:20:33.880]   - Both actually.
[00:20:33.880 --> 00:20:37.880]   So in some cases, we, you know,
[00:20:37.880 --> 00:20:40.320]   we would initialize models and stuff like that
[00:20:40.320 --> 00:20:42.360]   with random weights and test them in various ways.
[00:20:42.360 --> 00:20:45.760]   We also load existing models and stuff like that.
[00:20:45.760 --> 00:20:48.560]   So we tried, I think,
[00:20:49.560 --> 00:20:52.360]   it used to be the case where our unit tests
[00:20:52.360 --> 00:20:54.040]   were kind of integration tests,
[00:20:54.040 --> 00:20:56.360]   kind of really, they were really integration tests,
[00:20:56.360 --> 00:20:58.800]   like, you know, pretending,
[00:20:58.800 --> 00:21:01.400]   they were unit tests pretending to be integration tests.
[00:21:01.400 --> 00:21:05.320]   And it would be like, take a really long time.
[00:21:05.320 --> 00:21:07.080]   Like for example, they would actually train a little bit
[00:21:07.080 --> 00:21:09.160]   and stuff like that, which is really not a good idea
[00:21:09.160 --> 00:21:11.480]   because it turns out if you have hundreds of unit tests
[00:21:11.480 --> 00:21:13.360]   then you have to wait for like an hour
[00:21:13.360 --> 00:21:14.840]   for all the unit tests to run.
[00:21:14.840 --> 00:21:16.800]   So you have to be pretty careful about that.
[00:21:16.800 --> 00:21:18.880]   But like ultimately now we're much more in a state
[00:21:18.880 --> 00:21:21.680]   of testing modules and testing the networks
[00:21:21.680 --> 00:21:24.180]   that are behaving in the way we expect and stuff.
[00:21:24.180 --> 00:21:28.360]   - Great.
[00:21:28.360 --> 00:21:30.520]   Okay, the next thing I wanna do
[00:21:30.520 --> 00:21:33.400]   is just sort of briefly check in on projects.
[00:21:33.400 --> 00:21:34.280]   You know, we have a week left.
[00:21:34.280 --> 00:21:38.000]   The intention is for everyone to kind of present
[00:21:38.000 --> 00:21:40.720]   their projects next week and kind of, you know,
[00:21:40.720 --> 00:21:44.360]   just, you know, what you try to do, where you're at,
[00:21:44.360 --> 00:21:46.240]   and what some of the challenges were.
[00:21:46.240 --> 00:21:47.960]   So I just wanna get a quick sense, like,
[00:21:47.960 --> 00:21:51.200]   how many feel like you have kind of a model
[00:21:51.200 --> 00:21:53.040]   for your project that, you know,
[00:21:53.040 --> 00:21:55.080]   is producing like reasonably good results
[00:21:55.080 --> 00:21:58.040]   and will be, you know, can be like kind of a nice graph
[00:21:58.040 --> 00:22:01.360]   or some nice outputs to talk about next week.
[00:22:01.360 --> 00:22:06.280]   Okay, relatively small number.
[00:22:06.280 --> 00:22:08.560]   For those of you that are not quite at that stage,
[00:22:08.560 --> 00:22:09.500]   what's the main blocker?
[00:22:09.500 --> 00:22:12.600]   Is it, you know, you just, you have sort of a model training
[00:22:12.600 --> 00:22:13.520]   and it's just not good enough,
[00:22:13.520 --> 00:22:16.560]   or is it like you're still not able to get data?
[00:22:16.560 --> 00:22:20.480]   - Training is not good enough.
[00:22:20.480 --> 00:22:22.200]   - Training and it's not good enough.
[00:22:22.200 --> 00:22:24.200]   - It's not going to work.
[00:22:24.200 --> 00:22:25.040]   - Mm-hmm.
[00:22:25.040 --> 00:22:28.600]   - I feel like our data quality wasn't good enough.
[00:22:28.600 --> 00:22:30.880]   - Yeah, data quality wasn't good enough, yep.
[00:22:30.880 --> 00:22:32.180]   That can be a big problem.
[00:22:32.180 --> 00:22:36.120]   Other sort of like big challenges
[00:22:36.120 --> 00:22:37.420]   that people have run into?
[00:22:40.280 --> 00:22:44.200]   (man speaking off mic)
[00:22:44.200 --> 00:22:47.560]   - Something really slim and simple,
[00:22:47.560 --> 00:22:50.520]   like a bare bones TensorFlow could be really employed
[00:22:50.520 --> 00:22:55.160]   to kind of use, but it doesn't work.
[00:22:55.160 --> 00:22:57.040]   So something that is more advanced
[00:22:57.040 --> 00:23:00.440]   and takes advantage of like Keras, you know,
[00:23:00.440 --> 00:23:04.600]   from down in Keras, pre-trained ResNet
[00:23:04.600 --> 00:23:08.000]   and things like that, works way better.
[00:23:08.000 --> 00:23:11.560]   - But it's such a pain in the rear to drag to Lambda.
[00:23:11.560 --> 00:23:12.400]   - Yeah.
[00:23:12.400 --> 00:23:14.640]   - Just as you might mention,
[00:23:14.640 --> 00:23:19.640]   just trimming down the freaking image size is just awful.
[00:23:19.640 --> 00:23:23.480]   - Yeah, okay, so like model's working pretty well,
[00:23:23.480 --> 00:23:25.600]   but deployment is also a challenge.
[00:23:25.600 --> 00:23:27.640]   - Yeah, yeah, so technical things.
[00:23:27.640 --> 00:23:28.480]   - Uh-huh.
[00:23:28.480 --> 00:23:31.920]   - I have the exact same thing for GPT functions.
[00:23:31.920 --> 00:23:33.080]   I didn't know how to deploy this.
[00:23:33.080 --> 00:23:34.640]   - Oh yeah, don't worry.
[00:23:34.640 --> 00:23:35.480]   - Yeah.
[00:23:35.480 --> 00:23:36.320]   - Interesting, okay.
[00:23:36.320 --> 00:23:38.840]   And then this is related to my question earlier.
[00:23:38.840 --> 00:23:39.680]   - Yeah.
[00:23:39.680 --> 00:23:40.600]   - I would imagine that there is
[00:23:40.600 --> 00:23:43.600]   standard procedures for these things.
[00:23:43.600 --> 00:23:47.180]   - Other sort of big problems that people ran into?
[00:23:47.180 --> 00:23:49.440]   Yeah.
[00:23:49.440 --> 00:23:52.240]   - We were starting from an existing research code base.
[00:23:52.240 --> 00:23:53.080]   - Mm-hmm.
[00:23:53.080 --> 00:23:56.400]   - And I think we thought that we could figure out
[00:23:56.400 --> 00:23:57.880]   where they were defining their architecture
[00:23:57.880 --> 00:23:59.560]   and products and different architectures and try it,
[00:23:59.560 --> 00:24:03.480]   and it turned out to be a not working strategy
[00:24:03.480 --> 00:24:05.160]   in this particular code base.
[00:24:05.160 --> 00:24:06.520]   - Interesting, why was that?
[00:24:06.520 --> 00:24:07.360]   Just because the--
[00:24:07.360 --> 00:24:10.680]   - I think it might just be like,
[00:24:10.680 --> 00:24:16.600]   just sort of like the overall complexity of it,
[00:24:16.600 --> 00:24:19.120]   and it's like not written in a way
[00:24:19.120 --> 00:24:21.360]   that's particularly modular,
[00:24:21.360 --> 00:24:24.520]   especially like there's like a feedback
[00:24:24.520 --> 00:24:26.400]   because of the particular type of model
[00:24:26.400 --> 00:24:31.400]   that's like the computing loss depends on more things.
[00:24:31.400 --> 00:24:33.560]   - Yeah, so just like--
[00:24:33.560 --> 00:24:34.720]   - Like the input output thing.
[00:24:34.720 --> 00:24:35.560]   - Yeah.
[00:24:35.560 --> 00:24:37.600]   - So the short version is that like I sort of like
[00:24:37.600 --> 00:24:41.560]   change the goal to just get like an implementation
[00:24:41.560 --> 00:24:46.560]   from scratch working, and so I'm not so much concerned
[00:24:46.560 --> 00:24:49.920]   about whether it performs as well as that code base.
[00:24:49.920 --> 00:24:51.000]   - Yeah.
[00:24:51.000 --> 00:24:52.240]   - But just have something running.
[00:24:52.240 --> 00:24:54.160]   - Mm-hmm, cool.
[00:24:54.160 --> 00:24:56.360]   Yeah, so like working with existing code bases
[00:24:56.360 --> 00:24:59.000]   can be really challenging because, you know,
[00:24:59.000 --> 00:25:01.600]   as much as we wish this were not true,
[00:25:01.600 --> 00:25:03.240]   a lot of times machine learning researchers,
[00:25:03.240 --> 00:25:06.080]   you know, do not write the best, most extendable code.
[00:25:06.080 --> 00:25:08.440]   How many people actually like ran into,
[00:25:08.440 --> 00:25:11.480]   like found bugs in existing code bases that you tried to use?
[00:25:11.480 --> 00:25:12.800]   Okay, yeah.
[00:25:12.800 --> 00:25:15.040]   How many people like used an existing code base
[00:25:15.040 --> 00:25:16.200]   and did not find a bug?
[00:25:16.200 --> 00:25:18.520]   All right, zero, all right, yeah.
[00:25:18.520 --> 00:25:19.760]   This has been my experience as well.
[00:25:19.760 --> 00:25:23.320]   Like I usually, I mean, it's great to be able to start
[00:25:23.320 --> 00:25:24.460]   with an existing code base,
[00:25:24.460 --> 00:25:27.440]   but I'll almost always end up re-implementing it
[00:25:27.440 --> 00:25:29.720]   from scratch myself just because, you know,
[00:25:29.720 --> 00:25:32.440]   I don't generally don't trust random machine learning code
[00:25:32.440 --> 00:25:33.840]   that I find on the internet.
[00:25:33.840 --> 00:25:38.880]   Cool, okay, so I think like the right way
[00:25:38.880 --> 00:25:41.360]   for us to do this next week is, you know,
[00:25:41.360 --> 00:25:44.360]   we'll have sort of a more detailed kind of suggested template
[00:25:44.360 --> 00:25:49.240]   for your presentations, but the, like the attitude
[00:25:49.240 --> 00:25:52.900]   that I want us to have is like, let's be, you know,
[00:25:52.900 --> 00:25:55.200]   talk about like the progress that you made
[00:25:55.200 --> 00:25:56.880]   and sort of how well your thing is working,
[00:25:56.880 --> 00:25:58.080]   but I wanna be like really upfront
[00:25:58.080 --> 00:25:59.960]   about what the big challenges were
[00:25:59.960 --> 00:26:02.000]   and try to spend a little bit of time thinking about,
[00:26:02.000 --> 00:26:03.920]   like if you were gonna start this project over again
[00:26:03.920 --> 00:26:07.320]   from scratch, you know, six, seven weeks ago,
[00:26:07.320 --> 00:26:09.900]   what would you have done differently now that you know
[00:26:09.900 --> 00:26:12.160]   what the challenges that you faced were?
[00:26:12.160 --> 00:26:13.440]   You know, choosing a different project,
[00:26:13.440 --> 00:26:16.000]   choosing a different dataset, different model,
[00:26:16.000 --> 00:26:17.500]   'cause I think that'll be really helpful for people
[00:26:17.500 --> 00:26:19.600]   to just kind of learn from your experience
[00:26:19.600 --> 00:26:22.200]   of what ended up being difficult in your projects.
[00:26:22.200 --> 00:26:25.680]   Great, and Stephanie, did you wanna say anything else
[00:26:25.680 --> 00:26:27.800]   about the project presentations next week?
[00:26:28.920 --> 00:26:31.920]   - Yeah, I think we covered the key points.
[00:26:31.920 --> 00:26:33.360]   Hopefully you guys can give me about,
[00:26:33.360 --> 00:26:35.240]   'cause you know I'm not having enough for next week,
[00:26:35.240 --> 00:26:37.080]   we're not in Brazil.
[00:26:37.080 --> 00:26:40.360]   I just sent something into the Applied Deep Learning channel.
[00:26:40.360 --> 00:26:45.320]   It's just an outline and I'll help you guys gain clarity
[00:26:45.320 --> 00:26:48.280]   around what to present and how to present next week.
[00:26:48.280 --> 00:26:49.520]   It wasn't just a good reflection,
[00:26:49.520 --> 00:26:52.520]   'cause surprise, it's week seven already for the group,
[00:26:52.520 --> 00:26:56.200]   but yeah, if you have any questions,
[00:26:56.200 --> 00:26:58.760]   reach out to Leo, Lucas, or Josh.
[00:26:58.760 --> 00:27:02.400]   And also, if you answer the questions in,
[00:27:02.400 --> 00:27:03.560]   you know, like, have the questions over
[00:27:03.560 --> 00:27:05.280]   and then answer them in another talk,
[00:27:05.280 --> 00:27:08.040]   you can go in and ask Justin to make comments.
[00:27:08.040 --> 00:27:12.120]   Yeah, I think a big part of doing all this work
[00:27:12.120 --> 00:27:15.160]   is to be able to communicate with people and talk about it.
[00:27:15.160 --> 00:27:17.920]   So this will also be good practice.
[00:27:17.920 --> 00:27:19.920]   - I just have one more thing to add to that.
[00:27:19.920 --> 00:27:22.520]   If you plan on projecting your presentation
[00:27:22.520 --> 00:27:25.680]   or using the projector, it's easiest if we're presenting
[00:27:25.680 --> 00:27:28.120]   from a Mac, just 'cause we use AirPlay
[00:27:28.120 --> 00:27:30.000]   to pipe into these monitors.
[00:27:30.000 --> 00:27:33.120]   So if that is an issue, just let one of us know
[00:27:33.120 --> 00:27:36.720]   and we can try and plan some other way of projecting those.
[00:27:36.720 --> 00:27:38.120]   - Yeah, that's a good point.
[00:27:38.120 --> 00:27:40.480]   So slides are probably a good format to do it in.
[00:27:40.480 --> 00:27:43.880]   Maybe just send all of them to,
[00:27:43.880 --> 00:27:45.200]   if you make slides, send them all to me.
[00:27:45.200 --> 00:27:46.600]   We can just use this laptop.
[00:27:46.600 --> 00:27:48.760]   Yeah. - How much time
[00:27:48.760 --> 00:27:49.600]   do we have?
[00:27:49.600 --> 00:27:52.160]   - Five to seven minutes.
[00:27:53.280 --> 00:27:57.000]   - Yeah, I think some of the groups have a live demo, right?
[00:27:57.000 --> 00:27:57.840]   Where's Katie?
[00:27:57.840 --> 00:27:59.520]   We're gonna see.
[00:27:59.520 --> 00:28:00.360]   - Maybe.
[00:28:00.360 --> 00:28:01.200]   (audience laughing)
[00:28:01.200 --> 00:28:03.200]   - No, yeah.
[00:28:03.200 --> 00:28:04.720]   So I know about that group.
[00:28:04.720 --> 00:28:06.280]   That group will get like 15 minutes
[00:28:06.280 --> 00:28:09.280]   or like 30 minutes, depending on how much fun we're having.
[00:28:09.280 --> 00:28:14.280]   But I think we should plan for like seven minutes per group.
[00:28:14.280 --> 00:28:18.520]   If you need more, or let us know.
[00:28:18.520 --> 00:28:19.920]   But next week should be fun.
[00:28:19.920 --> 00:28:22.720]   - Great.
[00:28:22.720 --> 00:28:23.720]   Yeah, that's all for me.
[00:28:23.720 --> 00:28:25.220]   It's time for our guest speakers.

