
[00:00:00.000 --> 00:00:00.840]   Let's go.
[00:25:01.640 --> 00:25:08.640]   And then they talk about feature approach
[00:25:08.640 --> 00:25:10.920]   with BERT a little bit.
[00:25:10.920 --> 00:25:14.120]   So if there's questions,
[00:25:14.120 --> 00:25:16.880]   feel free to unmute.
[00:25:16.880 --> 00:25:19.600]   Otherwise, let's go over to and look through.
[00:25:19.600 --> 00:25:24.600]   There's Jay Alomar has made some very helpful,
[00:25:24.600 --> 00:25:30.080]   like illustrated BERT and ELMo articles
[00:25:30.080 --> 00:25:31.280]   that we can go through
[00:25:31.280 --> 00:25:34.720]   to just kind of cement our understanding.
[00:25:34.720 --> 00:25:38.920]   So that's just kind of a comparison of some models
[00:25:38.920 --> 00:25:41.120]   that were out at the time.
[00:25:41.120 --> 00:25:47.520]   And then this is one thing that was a takeaway for me,
[00:25:47.720 --> 00:25:50.960]   is that, okay, this is the pre-training step
[00:25:50.960 --> 00:25:52.040]   that we talked about,
[00:25:52.040 --> 00:25:55.200]   but then on the supervised learning step,
[00:25:55.200 --> 00:25:58.560]   you basically stick a classifier after the BERT.
[00:25:58.560 --> 00:26:01.240]   So BERT is in charge of essentially
[00:26:01.240 --> 00:26:04.960]   encoding the text into an embedding.
[00:26:04.960 --> 00:26:08.440]   And then you use that classifier to then classify,
[00:26:08.440 --> 00:26:12.240]   in this case, either spam or not spam.
[00:26:12.240 --> 00:26:14.160]   Let me see if I can find...
[00:26:17.000 --> 00:26:20.280]   There's one diagram that I thought was especially helpful.
[00:26:20.280 --> 00:26:21.920]   Oh yeah, this one.
[00:26:21.920 --> 00:26:26.520]   So this one shows how BERT
[00:26:26.520 --> 00:26:29.800]   takes the entire sequence of tokens
[00:26:29.800 --> 00:26:34.800]   and then creates like for each input token,
[00:26:34.800 --> 00:26:39.240]   it has an output vector.
[00:26:39.240 --> 00:26:42.040]   However, for the purpose of classification,
[00:26:42.040 --> 00:26:46.320]   we only look at the first output vector.
[00:26:46.320 --> 00:26:52.720]   That one contains essentially the entire sense
[00:26:52.720 --> 00:26:55.800]   of all of the input tokens.
[00:26:55.800 --> 00:26:57.880]   And then you can run that through,
[00:26:57.880 --> 00:26:59.240]   it can be a neural network,
[00:26:59.240 --> 00:27:01.440]   could be a logistic regression.
[00:27:01.440 --> 00:27:05.760]   And then from the features here,
[00:27:05.760 --> 00:27:10.480]   and I think there's like something like 768 dimensions
[00:27:10.480 --> 00:27:13.360]   in the embedding, from the features there,
[00:27:13.360 --> 00:27:17.560]   you can then predict spam or not spam
[00:27:17.560 --> 00:27:19.440]   based on your training set.
[00:27:19.440 --> 00:27:26.880]   And let's see, that shows the same thing.
[00:27:26.880 --> 00:27:33.160]   And then here's like some illustration
[00:27:33.160 --> 00:27:39.200]   of the different encoder blocks.
[00:27:39.200 --> 00:27:43.640]   So as we mentioned earlier, BERT is encoder only.
[00:27:43.640 --> 00:27:47.520]   So the kind of classical transformer
[00:27:47.520 --> 00:27:50.600]   is an encoder and a decoder.
[00:27:50.600 --> 00:27:55.720]   Many modern models are decoder only.
[00:27:55.720 --> 00:28:02.280]   And so encoder is like used mostly these days
[00:28:02.280 --> 00:28:07.760]   for text classification or text clustering.
[00:28:08.200 --> 00:28:13.200]   To my knowledge, there's encoder only transformers
[00:28:13.200 --> 00:28:18.320]   aren't really used for any kind of next,
[00:28:18.320 --> 00:28:21.680]   like sequence generation or next token generation.
[00:28:21.680 --> 00:28:33.440]   This talks about ELMo and the different context of words
[00:28:33.440 --> 00:28:36.000]   and how ELMo captures that.
[00:28:36.520 --> 00:28:38.680]   (silence)
[00:28:38.680 --> 00:28:47.400]   GPT, I thought there was something here.
[00:28:47.400 --> 00:28:55.680]   Yeah, so this is just like what we talked about
[00:28:55.680 --> 00:29:02.000]   about if you have a BERT encoder,
[00:29:02.000 --> 00:29:05.960]   you can stick another model for training on the end of it.
[00:29:05.960 --> 00:29:07.960]   And then go from there.
[00:29:07.960 --> 00:29:14.960]   And then you can also use BERT for embedding.
[00:29:14.960 --> 00:29:19.960]   So if you have like a certain problem space
[00:29:19.960 --> 00:29:23.880]   with a lot of texts that you want to embed,
[00:29:23.880 --> 00:29:28.880]   you can continue pre-training or do fine tuning on BERT
[00:29:31.360 --> 00:29:36.360]   with your corpus in your industry specific like text corpus
[00:29:36.360 --> 00:29:42.720]   and then create an encoder that's especially built
[00:29:42.720 --> 00:29:47.240]   for your needs.
[00:29:47.240 --> 00:29:53.000]   So there's one more.
[00:29:53.000 --> 00:29:55.720]   I'll pause any other questions in the chat.
[00:29:57.480 --> 00:30:01.400]   So some context of how they train BERT,
[00:30:01.400 --> 00:30:03.880]   they have like those 12 paths, right?
[00:30:03.880 --> 00:30:06.200]   They had a BERT based model, a math language model.
[00:30:06.200 --> 00:30:08.080]   They had the next sentence prediction,
[00:30:08.080 --> 00:30:11.960]   token classification, QA, sequence classification.
[00:30:11.960 --> 00:30:13.360]   They had all these tasks.
[00:30:13.360 --> 00:30:16.360]   And basically what they did where they were BERT models
[00:30:16.360 --> 00:30:21.240]   with a layer added on top for a classification head.
[00:30:21.240 --> 00:30:23.720]   Now, in the time of 2019,
[00:30:23.720 --> 00:30:25.360]   when people started using these models,
[00:30:25.360 --> 00:30:29.000]   what was really common to do was you could either,
[00:30:29.000 --> 00:30:31.840]   if you had enough data, take the base model,
[00:30:31.840 --> 00:30:34.920]   add in a linear output head for classification,
[00:30:34.920 --> 00:30:37.520]   where you basically take all this, there's no output head.
[00:30:37.520 --> 00:30:39.240]   It's just output is the last step
[00:30:39.240 --> 00:30:42.160]   of processing these tokens or sentences.
[00:30:42.160 --> 00:30:43.880]   Then you add just a linear head
[00:30:43.880 --> 00:30:46.120]   with a softmax for classification.
[00:30:46.120 --> 00:30:50.600]   Now, then you fine tune it on a lot of your data itself.
[00:30:50.600 --> 00:30:53.280]   If you didn't have as much data,
[00:30:53.280 --> 00:30:54.920]   one thing that was popular was you take
[00:30:54.920 --> 00:30:57.920]   the sequence classification head,
[00:30:57.920 --> 00:31:00.200]   you just continue fine tuning it on your data
[00:31:00.200 --> 00:31:03.440]   and it's already somewhat good at sequence classification.
[00:31:03.440 --> 00:31:06.400]   But there was a whole like series of work
[00:31:06.400 --> 00:31:10.480]   that looked into based on how much data you have,
[00:31:10.480 --> 00:31:12.480]   where you should do your fine tuning.
[00:31:12.480 --> 00:31:14.760]   So if you have a lot of data,
[00:31:14.760 --> 00:31:18.560]   it was pretty common to not only add a classification head,
[00:31:18.560 --> 00:31:20.640]   but also peel back a few layers.
[00:31:20.640 --> 00:31:23.920]   So reset the weights of like the top three,
[00:31:23.920 --> 00:31:26.320]   the top two, the final layer,
[00:31:26.320 --> 00:31:29.280]   and then continue training those in as well for your task.
[00:31:29.280 --> 00:31:31.600]   Because at some level, what people started to learn
[00:31:31.600 --> 00:31:34.840]   was these pre-training objective tasks
[00:31:34.840 --> 00:31:39.760]   of like mask word prediction and sentence ordering or QA,
[00:31:39.760 --> 00:31:42.800]   they were actually affecting the net output
[00:31:42.800 --> 00:31:44.480]   of sequence classification.
[00:31:44.480 --> 00:31:46.000]   And if you wanted better,
[00:31:46.000 --> 00:31:48.520]   you could just train more of your whole model on that.
[00:31:48.520 --> 00:31:50.400]   So there was a whole thing of like,
[00:31:50.400 --> 00:31:52.720]   you should remove the top two layers,
[00:31:52.720 --> 00:31:54.560]   add a sequence classification head,
[00:31:54.560 --> 00:31:56.440]   train on tens of thousands of examples,
[00:31:56.440 --> 00:31:59.160]   and you'll get state-of-the-art results.
[00:31:59.160 --> 00:32:02.760]   You could, if you have less data, freeze layers,
[00:32:02.760 --> 00:32:04.080]   you could unfreeze weights.
[00:32:04.080 --> 00:32:05.920]   There's like a whole set of this,
[00:32:05.920 --> 00:32:08.480]   but it was pretty common to also just mess
[00:32:08.480 --> 00:32:11.160]   with the architecture and add classification head.
[00:32:11.160 --> 00:32:18.400]   - Do you know if anyone trained all the layers
[00:32:18.400 --> 00:32:20.680]   or like just use that as a starting point
[00:32:20.680 --> 00:32:21.920]   to train all the layers?
[00:32:21.920 --> 00:32:23.200]   Okay.
[00:32:23.200 --> 00:32:25.520]   - So today there's like stuff that came out
[00:32:25.520 --> 00:32:27.600]   like a year or two ago,
[00:32:27.600 --> 00:32:31.200]   where basically you could retrain BERT in 24 hours
[00:32:31.200 --> 00:32:36.200]   on like a budget of like sub $500 with regular A100s
[00:32:36.200 --> 00:32:38.920]   and how you can do this better.
[00:32:38.920 --> 00:32:42.680]   So it was in the realm of like at the time,
[00:32:42.680 --> 00:32:44.440]   not as effective to, you know,
[00:32:44.440 --> 00:32:45.760]   like you don't have Google Compute
[00:32:45.760 --> 00:32:47.480]   to retrain BERT from scratch,
[00:32:47.480 --> 00:32:50.360]   but now there's stuff of like 24 hours
[00:32:50.360 --> 00:32:51.920]   and a couple of hundred dollars
[00:32:51.920 --> 00:32:54.000]   to retrain your own better BERT.
[00:32:54.000 --> 00:32:57.080]   There's like an academia paper that came out about this.
[00:32:57.080 --> 00:32:58.720]   If people go down the rabbit hole
[00:32:58.720 --> 00:33:01.600]   of like encoder models and this stuff,
[00:33:01.600 --> 00:33:03.000]   it's a cool one to look into
[00:33:03.000 --> 00:33:08.000]   of how they can better objectify these 12 pre-training tasks
[00:33:08.000 --> 00:33:10.560]   to a few and a better curated dataset
[00:33:10.560 --> 00:33:13.920]   and outperform it on a couple of hundred dollars in 24 hours.
[00:33:13.920 --> 00:33:15.080]   But then it was also common
[00:33:15.080 --> 00:33:19.880]   where like there was a sentence classification
[00:33:19.880 --> 00:33:23.520]   and sentence extraction tasks that BERT was adapted towards.
[00:33:23.520 --> 00:33:25.760]   So like BERT for sequence classification
[00:33:25.760 --> 00:33:28.400]   or extraction for like abstractive summarization.
[00:33:28.400 --> 00:33:30.320]   And then companies that took it to production
[00:33:30.320 --> 00:33:34.560]   would do like significant retrains or like,
[00:33:34.560 --> 00:33:36.560]   yeah, they train a lot more of it.
[00:33:36.560 --> 00:33:41.280]   And then this also just went into like
[00:33:41.280 --> 00:33:43.280]   at what part do you want to start training?
[00:33:44.040 --> 00:33:46.800]   (mouse clicking)
[00:33:46.800 --> 00:33:51.640]   Yeah, I mean that sounds like interesting stuff.
[00:33:51.640 --> 00:33:55.160]   If you have any links,
[00:33:55.160 --> 00:33:57.520]   please drop in the chat and I'll check it out.
[00:33:57.520 --> 00:34:04.320]   So maybe the last thing we can go through here
[00:34:04.320 --> 00:34:09.320]   is the same author Jay Alomar has a notebook
[00:34:11.400 --> 00:34:14.120]   where he shows like hands-on
[00:34:14.120 --> 00:34:19.120]   how to do this movie review sentiment classification.
[00:34:19.120 --> 00:34:24.080]   He uses DistilBERT.
[00:34:24.080 --> 00:34:29.080]   So DistilBERT is a hugging face like recreation of BERT
[00:34:29.080 --> 00:34:34.920]   that like has very comparable performance
[00:34:34.920 --> 00:34:39.280]   on many fewer parameters.
[00:34:39.280 --> 00:34:41.400]   And then to do the classification,
[00:34:41.400 --> 00:34:45.320]   he just uses a basic logistic regression model
[00:34:45.320 --> 00:34:47.720]   from scikit-learn.
[00:34:47.720 --> 00:34:51.120]   And so then the features that go
[00:34:51.120 --> 00:34:52.880]   into this logistic regression model
[00:34:52.880 --> 00:34:57.040]   are just the vector of size 768
[00:34:57.040 --> 00:35:02.040]   that comes out of the DistilBERT embedding.
[00:35:04.760 --> 00:35:07.920]   So a lot of this leans very heavily
[00:35:07.920 --> 00:35:11.120]   on the HuggingFaceTransformers library.
[00:35:11.120 --> 00:35:15.880]   So let's see, that's just installing it, doing imports.
[00:35:15.880 --> 00:35:23.080]   He uses, he must've mentioned it up above, but a...
[00:35:23.080 --> 00:35:29.240]   Maybe it's...
[00:35:29.240 --> 00:35:32.480]   Anyway, there's a particular HuggingFace dataset
[00:35:32.480 --> 00:35:36.480]   that he's using that has the movie sentiment training data.
[00:35:36.480 --> 00:35:43.760]   Maybe he just uploaded it somewhere, he had it.
[00:35:43.760 --> 00:35:47.160]   - I think it's an IMDb dataset.
[00:35:47.160 --> 00:35:49.360]   I think it's one of the Kaggle ones.
[00:35:49.360 --> 00:35:50.920]   Yeah, it's just a Kaggle IMDb.
[00:35:50.920 --> 00:35:53.160]   You have movie reviews, you classify them.
[00:35:53.160 --> 00:35:58.160]   Oh, and on that actually reminds me,
[00:35:58.160 --> 00:36:01.560]   one of the big things that made BERT somewhat popular
[00:36:01.560 --> 00:36:03.840]   was there was another Kaggle competition
[00:36:03.840 --> 00:36:07.360]   on tweet classification of sentiment.
[00:36:07.360 --> 00:36:10.520]   So in tweets, like with previous embeddings,
[00:36:10.520 --> 00:36:13.880]   like Bag of Words or Glove or Elmo,
[00:36:13.880 --> 00:36:18.880]   if you have stuff like, "I hate this so much,"
[00:36:18.880 --> 00:36:22.880]   that in some contexts in tweets could still be positive,
[00:36:22.880 --> 00:36:24.240]   even though it's very negative.
[00:36:24.240 --> 00:36:29.240]   And when you just look at lexical understanding of words,
[00:36:30.480 --> 00:36:33.080]   it's very negative, but then BERT embeddings
[00:36:33.080 --> 00:36:35.320]   were what really dominated that.
[00:36:35.320 --> 00:36:36.320]   And then for like a few years,
[00:36:36.320 --> 00:36:37.640]   they kept doing follow-ups on that.
[00:36:37.640 --> 00:36:40.520]   But IMDb and tweet classification
[00:36:40.520 --> 00:36:44.600]   were versions that they used in a lot of these demos.
[00:36:44.600 --> 00:36:53.520]   - So let's see.
[00:36:53.520 --> 00:36:58.520]   So here we're just uploading or downloading BERT,
[00:36:58.920 --> 00:37:02.200]   DistilBERT from HuggingFace
[00:37:02.200 --> 00:37:06.240]   and getting the model initialized.
[00:37:06.240 --> 00:37:09.040]   So you can see it's just a few lines of code there.
[00:37:09.040 --> 00:37:16.800]   So we have to do a few things like tokenize it
[00:37:16.800 --> 00:37:19.600]   and then add padding.
[00:37:19.600 --> 00:37:23.760]   So this is so that all of the sequences
[00:37:23.760 --> 00:37:26.120]   can be run in parallel.
[00:37:26.960 --> 00:37:30.320]   So we need to pad out so that they're all the same length.
[00:37:30.320 --> 00:37:37.120]   And then we need to mark the padded sections as masked
[00:37:37.120 --> 00:37:41.680]   so that BERT doesn't get confused at thinking like
[00:37:41.680 --> 00:37:45.400]   what's empty space is actual sequence
[00:37:45.400 --> 00:37:48.800]   that we want it to process.
[00:37:48.800 --> 00:37:55.520]   So then you can see this diagram here.
[00:37:55.520 --> 00:37:58.440]   And again, apologies, I'll try to zoom in again.
[00:37:58.440 --> 00:38:00.000]   Oh, it worked this time.
[00:38:00.000 --> 00:38:04.720]   So this just takes the input text,
[00:38:04.720 --> 00:38:06.400]   runs it through DistilBERT
[00:38:06.400 --> 00:38:08.200]   and comes out with the embeddings.
[00:38:08.200 --> 00:38:15.120]   So that's all of this thing does.
[00:38:15.120 --> 00:38:20.120]   And then the one tricky part about all of this
[00:38:20.120 --> 00:38:23.800]   is you need to pick out exactly
[00:38:23.800 --> 00:38:28.800]   which values from this,
[00:38:28.800 --> 00:38:31.720]   I guess it's three-dimensional tensor
[00:38:31.720 --> 00:38:34.040]   you want to predict on.
[00:38:34.040 --> 00:38:37.040]   So if you remember back from here,
[00:38:37.040 --> 00:38:45.120]   we just want the very first output.
[00:38:45.120 --> 00:38:48.560]   We wanna ignore all of these other ones.
[00:38:51.680 --> 00:38:55.960]   So he draws out in detail like
[00:38:55.960 --> 00:38:59.760]   how exactly you pull just those vectors
[00:38:59.760 --> 00:39:03.920]   out of this three-dimensional tensor.
[00:39:03.920 --> 00:39:06.320]   And then it's pretty straightforward
[00:39:06.320 --> 00:39:08.080]   machine learning after that.
[00:39:08.080 --> 00:39:14.080]   You just turn those 768 dimensions into features
[00:39:17.800 --> 00:39:21.400]   and do a test train split,
[00:39:21.400 --> 00:39:25.040]   train your logistic regression model,
[00:39:25.040 --> 00:39:31.000]   and then run, you know,
[00:39:31.000 --> 00:39:32.040]   once you've got the model trained,
[00:39:32.040 --> 00:39:35.560]   you can run a score and it gets 82%.
[00:39:35.560 --> 00:39:39.320]   So assuming it's a 50/50 split,
[00:39:39.320 --> 00:39:42.760]   then the expected amount just from random chance
[00:39:42.760 --> 00:39:44.560]   would be 50%.
[00:39:44.560 --> 00:39:48.560]   So there is a significant increase
[00:39:48.560 --> 00:39:51.280]   using BERT to do classification,
[00:39:51.280 --> 00:39:55.680]   but obviously still plenty of room for improvement.
[00:39:55.680 --> 00:40:00.360]   Okay, and down here, it says the highest accuracy score
[00:40:00.360 --> 00:40:03.880]   for this data set is currently 96.8.
[00:40:03.880 --> 00:40:06.640]   So as you can see,
[00:40:06.640 --> 00:40:10.080]   things have come a long way since 2019,
[00:40:10.080 --> 00:40:15.080]   but still a useful model to start with
[00:40:15.080 --> 00:40:23.240]   for any classification tasks or clustering.
[00:40:23.240 --> 00:40:26.800]   If you just wanna see what tech sequences
[00:40:26.800 --> 00:40:28.760]   are close to each other in embedding space,
[00:40:28.760 --> 00:40:30.920]   you can use it for that as well.
[00:40:30.920 --> 00:40:38.760]   So that's about all I had for prepared stuff.
[00:40:39.280 --> 00:40:44.280]   I'll stop sharing and then maybe go through the chat.
[00:40:44.280 --> 00:40:48.600]   If anyone wants to chime in,
[00:40:48.600 --> 00:40:52.800]   add any color commentary, feel free to do that.
[00:40:52.800 --> 00:41:02.680]   - Someone linked the paper on the academic budget,
[00:41:02.680 --> 00:41:05.280]   the 24-hour BERT,
[00:41:05.280 --> 00:41:07.360]   and then I was also trying to think
[00:41:07.360 --> 00:41:10.600]   where apparently MosaicML showed how you can do it for $20
[00:41:10.600 --> 00:41:12.560]   pre-trained BERT from scratch now.
[00:41:12.560 --> 00:41:17.560]   So yeah, $20, they did like eight A100s for an hour,
[00:41:17.560 --> 00:41:21.640]   and they're able to match the glue store of basic BERT
[00:41:21.640 --> 00:41:23.080]   with their recipe.
[00:41:23.080 --> 00:41:25.480]   Kind of interesting.
[00:41:25.480 --> 00:41:30.480]   So a note Eugene Cha made is researchers felt
[00:41:30.480 --> 00:41:32.560]   10K training is expensive.
[00:41:32.560 --> 00:41:35.320]   So I remember mapping this out.
[00:41:35.320 --> 00:41:39.880]   BERT, all these things that compare like 24-hour,
[00:41:39.880 --> 00:41:42.600]   one-hour BERT, they trained BERT
[00:41:42.600 --> 00:41:46.960]   for four days of TPU v3 equivalent,
[00:41:46.960 --> 00:41:50.760]   which is like at the time, let's say eight to $10 an hour,
[00:41:50.760 --> 00:41:52.720]   which is like 10 to 15K.
[00:41:52.720 --> 00:41:54.960]   But then there wasn't just BERT-based.
[00:41:54.960 --> 00:41:56.800]   There was BERT-based, there was BERT-large,
[00:41:56.800 --> 00:41:57.800]   there was BERT-small.
[00:41:57.800 --> 00:41:59.160]   There's a bunch of experiments.
[00:41:59.160 --> 00:42:02.240]   The BERT-large was trained for more than four days.
[00:42:02.240 --> 00:42:05.040]   Like the cost equivalent is 50K on that,
[00:42:05.040 --> 00:42:08.440]   10K on the regular BERT-based, less on the little one.
[00:42:08.440 --> 00:42:12.280]   And then you got to add in like the time and the R&D.
[00:42:12.280 --> 00:42:16.400]   Oh, it was well more than a 10K project at Google.
[00:42:16.400 --> 00:42:20.080]   The BERT-large itself was already a 50K train run,
[00:42:20.080 --> 00:42:24.520]   plus 10 to 15 for BERT-based, plus just experimentation.
[00:42:24.520 --> 00:42:27.680]   So expensive, expensive.
[00:42:27.680 --> 00:42:29.600]   - I think it's more amount of labs
[00:42:29.600 --> 00:42:32.520]   would love to hear those numbers for SOTA.
[00:42:32.520 --> 00:42:33.360]   - Right now.
[00:42:33.360 --> 00:42:39.400]   - True, true.
[00:42:39.400 --> 00:42:52.280]   - I'm just reading through the chat.
[00:42:52.280 --> 00:43:01.520]   - Mm-hmm.
[00:43:01.520 --> 00:43:03.360]   - Did we get a volunteer for next week
[00:43:03.360 --> 00:43:05.160]   or still waiting on that?
[00:43:05.160 --> 00:43:09.760]   - Anyone else next week?
[00:43:09.760 --> 00:43:12.360]   Any other questions on this, by the way?
[00:43:12.360 --> 00:43:13.880]   - I do have a random one.
[00:43:13.880 --> 00:43:18.840]   Because this is regarding the embedding science, right?
[00:43:18.840 --> 00:43:23.840]   Even though I joke about this was the era before the GPU,
[00:43:23.840 --> 00:43:26.400]   the gaming GPU folks came in and said,
[00:43:26.400 --> 00:43:33.280]   hey, you need to be divisible by 64, 32, or power two, right?
[00:43:33.280 --> 00:43:39.120]   Does TPUs not have the divisible by 64 batch?
[00:43:39.120 --> 00:43:41.760]   I mean like optimization when it comes
[00:43:41.760 --> 00:43:44.440]   to embedding size characteristic.
[00:43:44.440 --> 00:43:46.640]   That's why they have all these weird embedding
[00:43:46.640 --> 00:43:48.960]   size on TPUs related training.
[00:43:48.960 --> 00:43:54.120]   - I don't think it's TPU based.
[00:43:54.120 --> 00:43:56.520]   I have like old notes that I'm recalling
[00:43:56.520 --> 00:44:02.240]   where I dug through why they specifically did 768 and 512.
[00:44:02.240 --> 00:44:06.280]   And also someone noted in chat that's a limitation.
[00:44:06.280 --> 00:44:09.760]   There's other work that extends this out
[00:44:09.760 --> 00:44:15.200]   to like SentenceBERT that extends the embedding dimension.
[00:44:15.200 --> 00:44:18.560]   And they were also pretty small.
[00:44:18.560 --> 00:44:22.600]   But back to Eugene's point of, is it hardware limitation?
[00:44:22.600 --> 00:44:23.480]   It's not.
[00:44:23.480 --> 00:44:26.520]   It was well divisibility between layers
[00:44:26.520 --> 00:44:28.440]   and adding layers and a bunch of stuff.
[00:44:28.440 --> 00:44:31.760]   I really can't remember the specifics of the reasons.
[00:44:31.760 --> 00:44:33.400]   I'll dig through some old notes,
[00:44:33.400 --> 00:44:35.520]   but someone broke down the per layer map
[00:44:35.520 --> 00:44:38.600]   and sending through inputs.
[00:44:38.600 --> 00:44:43.160]   And there was a decent range reason for why all this.
[00:44:43.160 --> 00:44:48.000]   It's also like there's 12 layers divisible by 768.
[00:44:48.000 --> 00:44:51.040]   It went down that path.
[00:44:51.040 --> 00:44:52.800]   But also it wasn't like someone
[00:44:52.800 --> 00:44:54.440]   from Google that worked on BERT.
[00:44:54.440 --> 00:44:56.760]   It was just mapping through the input
[00:44:56.760 --> 00:44:59.200]   through every layer and all of this math working out.
[00:44:59.200 --> 00:45:01.800]   And then a reason for like, oh, here's why this,
[00:45:01.800 --> 00:45:02.840]   why not this?
[00:45:02.840 --> 00:45:04.280]   And I was like, sounds good.
[00:45:04.280 --> 00:45:05.280]   Checks out to me.
[00:45:05.280 --> 00:45:08.520]   I can probably find this if I look.
[00:45:08.520 --> 00:45:10.760]   It's in some notes from a couple of years ago.
[00:45:11.600 --> 00:45:14.000]   (indistinct)
[00:45:14.000 --> 00:45:20.160]   - Eric, someone has asked,
[00:45:20.160 --> 00:45:23.240]   does BERT pre-training objective MLM
[00:45:23.240 --> 00:45:25.240]   like mass language modeling follow the same
[00:45:25.240 --> 00:45:27.520]   LLM scaling laws as GPTs?
[00:45:27.520 --> 00:45:31.680]   - That's a good question.
[00:45:31.680 --> 00:45:36.680]   I don't know if there's been enough research in that area
[00:45:38.080 --> 00:45:41.680]   to like come to any conclusion.
[00:45:41.680 --> 00:45:46.840]   So I, like when I was researching this presentation,
[00:45:46.840 --> 00:45:51.840]   I went to, I think it was paperswithcode.com
[00:45:51.840 --> 00:45:57.720]   or something like that and looked at all the top papers
[00:45:57.720 --> 00:45:59.800]   for text classification.
[00:45:59.800 --> 00:46:04.800]   And like a lot of them were pre or 2021 or previous.
[00:46:05.880 --> 00:46:10.880]   And so it seems like this direction of like encoder only
[00:46:10.880 --> 00:46:14.320]   or bi-directional has,
[00:46:14.320 --> 00:46:15.720]   well, I don't know about the bi-directional part,
[00:46:15.720 --> 00:46:17.320]   but at least encoder only,
[00:46:17.320 --> 00:46:20.920]   research has been pretty sparse recently.
[00:46:20.920 --> 00:46:26.360]   So for example, I don't know if anyone's spending
[00:46:26.360 --> 00:46:30.440]   millions of dollars to train like, you know,
[00:46:30.440 --> 00:46:32.320]   super BERT or something like that.
[00:46:35.520 --> 00:46:37.800]   - I think it's-- - Well, the Rekka AI guys
[00:46:37.800 --> 00:46:38.640]   seems to play.
[00:46:38.640 --> 00:46:41.840]   - No, the last time I looked at this,
[00:46:41.840 --> 00:46:43.920]   like leaderboard and hugging face,
[00:46:43.920 --> 00:46:48.360]   I think it was all led by these transformed LLMs
[00:46:48.360 --> 00:46:51.240]   that now get the best performance,
[00:46:51.240 --> 00:46:55.920]   like a Mistral 7B turned into embedding model.
[00:46:55.920 --> 00:47:02.440]   - Is that, sorry, I missed.
[00:47:02.440 --> 00:47:04.320]   Is that for text classification?
[00:47:05.320 --> 00:47:08.920]   - Well, yeah, I guess at the core,
[00:47:08.920 --> 00:47:11.600]   it's all turning text into an embedding.
[00:47:11.600 --> 00:47:14.040]   So yeah.
[00:47:14.040 --> 00:47:18.800]   - Could you drop a link in the chat?
[00:47:18.800 --> 00:47:20.480]   - Yeah, sure.
[00:47:20.480 --> 00:47:21.920]   - Yeah, it seems like that would lead
[00:47:21.920 --> 00:47:26.040]   to higher performance with this classification,
[00:47:26.040 --> 00:47:31.040]   but I'd have to do a little bit more research on that.
[00:47:32.720 --> 00:47:35.480]   - Well, there's two pieces as well, right?
[00:47:35.480 --> 00:47:37.880]   So for mass language modeling,
[00:47:37.880 --> 00:47:39.920]   a lot of the scaling law papers
[00:47:39.920 --> 00:47:43.200]   directly showed why decoder only token prediction
[00:47:43.200 --> 00:47:45.880]   is better scaling than mass language models.
[00:47:45.880 --> 00:47:48.720]   One is purely when you mask 15% of tokens,
[00:47:48.720 --> 00:47:49.840]   you train on the mass.
[00:47:49.840 --> 00:47:51.720]   So you lose a lot of data.
[00:47:51.720 --> 00:47:54.520]   You need more quality data.
[00:47:54.520 --> 00:47:56.680]   You're just straight training on less, right?
[00:47:56.680 --> 00:47:59.120]   If you have a data set of a trillion tokens,
[00:47:59.120 --> 00:48:03.000]   you can mask 15% of them and train on learning the 15%,
[00:48:03.000 --> 00:48:05.360]   or you can train on all trillion of them.
[00:48:05.360 --> 00:48:06.640]   That's a straight scaling.
[00:48:06.640 --> 00:48:09.680]   Now, if you have 15 trillion tokens versus 1 trillion,
[00:48:09.680 --> 00:48:11.160]   that's another question,
[00:48:11.160 --> 00:48:15.560]   but for embedding tasks in smaller models,
[00:48:15.560 --> 00:48:19.360]   the better trade-off scaling curve at the start
[00:48:19.360 --> 00:48:23.960]   for encoder learns better with less tokens at first,
[00:48:23.960 --> 00:48:28.760]   but then extending this out in pure scaling laws,
[00:48:28.760 --> 00:48:31.040]   yeah, you lose a lot of your training data, right?
[00:48:31.040 --> 00:48:33.040]   And then that was one of the big points
[00:48:33.040 --> 00:48:35.840]   of why do we do next token prediction,
[00:48:35.840 --> 00:48:38.760]   because it scales better than other tasks, right?
[00:48:38.760 --> 00:48:41.480]   So scaling laws were made to show better objectives,
[00:48:41.480 --> 00:48:42.760]   so directly against it.
[00:48:42.760 --> 00:48:45.440]   But then at small scale and stuff,
[00:48:45.440 --> 00:48:48.240]   there's benefit in this,
[00:48:48.240 --> 00:48:51.120]   specifically for like edge models,
[00:48:51.120 --> 00:48:55.800]   like you can deploy a BART as a guardrail live,
[00:48:55.800 --> 00:48:57.840]   and you can have it intercept every query
[00:48:57.840 --> 00:48:59.360]   because it can act in milliseconds
[00:48:59.360 --> 00:49:02.280]   versus LLMs will still take longer, right?
[00:49:02.280 --> 00:49:04.800]   So at a smaller scale, they'll be better.
[00:49:04.800 --> 00:49:09.040]   There was another part to this that I'm blanking on.
[00:49:09.040 --> 00:49:10.120]   Oh, Raika AI,
[00:49:10.120 --> 00:49:12.880]   they're doing encoder decoder generation models
[00:49:12.880 --> 00:49:15.200]   where they're adding decoder heads to encoders,
[00:49:15.200 --> 00:49:18.320]   and they're scaling them up to billions of parameters.
