
[00:00:00.000 --> 00:00:03.600]   I love sports. I love them so much I never want them to stop.
[00:25:55.200 --> 00:25:57.600]   Well, first is you could just have a simple tent.
[00:25:57.600 --> 00:26:10.100]   If you have a simple tent and you have a bed that you can sleep in, even if it's low cost and that's in the back of your car, most places you can just pull over and sleep.
[00:26:10.100 --> 00:26:13.000]   Walk 10 paces back in the woods, no one will ever see you.
[00:26:13.000 --> 00:26:17.200]   Set up your tent, sleep for the night, get back in your car and continue the next day.
[00:26:17.200 --> 00:26:21.700]   Ask your buddy if you can set up your tent in the backyard and boom, you're good to go.
[00:26:21.700 --> 00:26:28.800]   And so having a tent and a bed is a really powerful tool for long-term adventure.
[00:26:28.800 --> 00:26:43.400]   If you have a family, one of the things that you can do, because it's often really difficult for people to, ask me how I know, to figure out how to accommodate large families or even any families in their home.
[00:26:43.400 --> 00:26:48.300]   But most of that is due to our basic mindset rather than reality.
[00:26:48.300 --> 00:26:53.300]   Let's say that you are hosting a family of four and you're kind of a wealthy person.
[00:26:53.300 --> 00:26:57.300]   Well, you think, well, we've got one guest room with a queen size bed.
[00:26:57.300 --> 00:26:59.000]   Where are we going to put everyone?
[00:26:59.000 --> 00:27:01.500]   Well, with a family of four, then we quickly go to the couch.
[00:27:01.500 --> 00:27:04.800]   Well, we can put them on the couch and that works fine and that's what you should do.
[00:27:04.800 --> 00:27:15.600]   Now, how much easier is it if maybe you don't have a guest room and you only have one couch, but you have some people who are going to be passing through for the night and they say, well, listen, all we need is a corner of the living room.
[00:27:15.600 --> 00:27:17.600]   We all have our own bedrolls.
[00:27:17.600 --> 00:27:20.700]   We all have our own sleeping bags and our own foam pads that we lie down on.
[00:27:20.700 --> 00:27:22.200]   We're going to be totally fine.
[00:27:22.200 --> 00:27:31.000]   Well, it's not that hard now to host a family of four people or seven people, whatever happens to be, if everyone has their own sleeping roll.
[00:27:31.000 --> 00:27:36.600]   It's not that hard to host a friend of yours overnight if your friend comes equipped with his own bed.
[00:27:36.600 --> 00:27:39.000]   And that's the point I want to make for you.
[00:27:39.000 --> 00:27:42.400]   So, a bedroll, a tent is a really good idea.
[00:27:42.400 --> 00:27:55.800]   I think probably a really great option, my favorite option, because it retains a lot of the convenience of a bedroll, but increases the comfort factor significantly, is to get something of what the Australians call a swag.
[00:27:55.800 --> 00:28:09.800]   The idea of a swag is basically some form of bivy sack that zips up around your bedding and is a self-contained bedroll, but it's more substantial than just a blanket and a lightweight foam pad.
[00:28:09.800 --> 00:28:17.400]   The brand that's available in the United States that's probably the highest end brand is a company called Canvas Cutter.
[00:28:17.400 --> 00:28:19.400]   That's a company that I've enjoyed their stuff.
[00:28:19.400 --> 00:28:26.400]   And so, if you go to canvascutter.com, I'll link them in the show notes, but you can see an example of a canvas bedroll.
[00:28:26.400 --> 00:28:32.800]   And it's built upon the classic idea of the cowboy's piece of canvas bedroll.
[00:28:32.800 --> 00:28:46.800]   But they take a big piece of canvas, they set it up with zippers, but it's so big that into it you can put a several inch thick foam pad, you can put blankets, you can put sleeping bags, and it's basically weatherproof in and of itself.
[00:28:46.800 --> 00:28:50.800]   And so, a lot of guys will use these if they're going horseback camping.
[00:28:50.800 --> 00:28:55.800]   It gives you a comfortable place to sleep where you're not in discomfort.
[00:28:55.800 --> 00:29:07.800]   If you're going to be at the hunting stand early in the morning, well, you can drive there the night before, roll this thing out on the bed of your pickup truck, have a comfortable night's sleep, but not have to deal with all the hassle of setting up a tent, and then be done.
[00:29:07.800 --> 00:29:09.800]   I think it's kind of the ideal scenario.
[00:29:09.800 --> 00:29:12.800]   It's too big for any kind of backpacking.
[00:29:12.800 --> 00:29:24.800]   It's too big for traveling on an airplane, but for keeping in the trunk of your car or for being ready to go at a moment's notice, it's a pretty cool luxury-ish option that gives you the benefits of being flexible.
[00:29:24.800 --> 00:29:29.800]   But it's going to provide you with a better night's sleep than just the hard ground.
[00:29:29.800 --> 00:29:33.800]   You figure out what expression of it to set up.
[00:29:33.800 --> 00:29:42.800]   At the very least, go get yourself a $30 sleeping bag and a quick foam pad from Walmart and keep that in the bed of your car.
[00:29:42.800 --> 00:29:50.800]   Make up a little bag of some toiletries, a toothbrush, keep that with you, and then you'll be ready to go to say yes to adventure.
[00:29:50.800 --> 00:30:08.800]   If you have a quick and simple little go bag in the trunk of your car that has a sleep system in it, has a spare toothbrush and some toothpaste, whatever you need for an extra set of contact lenses or deodorant or whatever kind of other personal grooming items you need.
[00:30:08.800 --> 00:30:21.800]   Let's say one quick change of clothes and an extra charger for your phone, then when somebody offers you adventure, you can pretty much say, "Yes, I'm ready," and you can go at a moment's notice.
[00:30:21.800 --> 00:30:25.800]   And the key to that whole system is the place to sleep.
[00:30:25.800 --> 00:30:31.800]   I feel so dumb recording this because it's such an obvious thing to a lot of other people, but it wasn't obvious to me.
[00:30:31.800 --> 00:30:43.800]   If I had had that ready to go when I was younger so that I could more easily stay at friends' houses, so I could more easily roll out a sleeping bag on the front porch because, "Hey, all the beds are full, but we're still happy to have you."
[00:30:43.800 --> 00:30:50.800]   If I had been more self-contained, I would have had even more adventures, and that would have been way better.
[00:30:50.800 --> 00:30:52.800]   The final thing is just, what do you need?
[00:30:52.800 --> 00:30:54.800]   You need some food to eat.
[00:30:54.800 --> 00:31:02.800]   I don't have a ton to say here. I've done other podcasts and did podcasts on how to travel and cook in a hotel room and things like that.
[00:31:02.800 --> 00:31:09.800]   I don't want to say too much here other than to say that for most individual people, food is pretty simple and easy to come by.
[00:31:09.800 --> 00:31:17.800]   However, what you should know is just have some basic skills of how to do well and eat good food that is inexpensive.
[00:31:17.800 --> 00:31:30.800]   If you think back to John and Ava's story with their traveling the world for two and a half years for a $13,000 budget, they were buying groceries, and they were buying the same basic groceries all over again and again and again.
[00:31:30.800 --> 00:31:33.800]   The whole world exists on peasant food, and you can get peasant food.
[00:31:33.800 --> 00:31:35.800]   It's not that hard to do it.
[00:31:35.800 --> 00:31:48.800]   At some point in a man's life or a woman's life, it would be a really valuable exercise for you to know, "Hey, I can easily live on $100 or $150 a month of groceries."
[00:31:48.800 --> 00:32:01.800]   Knowing that you can stay alive and be perfectly fine on $100 a month of groceries gives you an enormous amount of confidence that you can't get if you think, "I can only do it on $500 per person."
[00:32:01.800 --> 00:32:03.800]   So try it sometime as an experiment.
[00:32:03.800 --> 00:32:14.800]   I myself don't eat like that on a regular basis, but I'm really happy to know that I could do that, and I think it's a really valuable thing to know and to have confidence in.
[00:32:14.800 --> 00:32:27.800]   Having some ability to cook, having some knowledge of how to do that, and having some ability to make basic, inexpensive ingredients that you can find everywhere in the world, sustaining, fulfilling, and nutritious.
[00:32:27.800 --> 00:32:30.800]   So, in conclusion, do you need money to have an adventure?
[00:32:30.800 --> 00:32:31.800]   Sure you do.
[00:32:31.800 --> 00:32:32.800]   Sure you do.
[00:32:32.800 --> 00:32:43.800]   John and Ava, they saved, I think they started their trip with like $12,000 that they had saved, and some friends and family member gave them some gifts, and that was what allowed them to finish their trip.
[00:32:43.800 --> 00:32:46.800]   They saved that in about eight months of working.
[00:32:46.800 --> 00:32:49.800]   They were both living in Moscow, Russia, working, saving money.
[00:32:49.800 --> 00:32:55.800]   And so you need to have some money and have a little bit of money saved to start with, obviously.
[00:32:55.800 --> 00:32:59.800]   But they were able to stretch that for two and a half years.
[00:32:59.800 --> 00:33:02.800]   Most people couldn't do that.
[00:33:02.800 --> 00:33:03.800]   So you do need some money.
[00:33:03.800 --> 00:33:05.800]   Most of all, though, you need some flexibility.
[00:33:05.800 --> 00:33:15.800]   Even John and Ava is, again, a really cool example story of what's possible from just an unassuming couple that went and did it, is that they weren't scared to run out of money.
[00:33:15.800 --> 00:33:22.800]   They figured, "Well, we'll run out of money, and if we're in Kenya or wherever, then we'll just get a job and make some more money until we have enough money to go."
[00:33:22.800 --> 00:33:33.800]   And if you've ever traveled around the world and stayed in hostels, you've met dozens of these kinds of people who are out adventuring around the world, and they just figure, "Well, I'll run out of money, but something will happen, and I'll find a way to make a little bit more money.
[00:33:33.800 --> 00:33:40.800]   And if my daily budget is $5 or $10, I can probably panhandle that pretty easily if needed."
[00:33:40.800 --> 00:33:42.800]   So it gives people confidence.
[00:33:42.800 --> 00:33:45.800]   So if you're going to go on an adventure, do you need some money?
[00:33:45.800 --> 00:33:46.800]   Sure.
[00:33:46.800 --> 00:33:50.800]   But mostly, you need to be free from obligations and be able to say yes.
[00:33:50.800 --> 00:34:04.800]   You need to not have a bunch of heavy payments over your head that you have to make when your friend has planned the round-the-world two-year driving trip, and all he needs is you to come along and help him navigate, and he's covering everything else.
[00:34:04.800 --> 00:34:06.800]   You need to be able to say yes.
[00:34:06.800 --> 00:34:11.800]   If you want more adventure in your life, cultivate being the kind of person who says yes to adventure.
[00:34:11.800 --> 00:34:17.800]   Because most things that other people like to do are probably actually fun for you once you get into it.
[00:34:17.800 --> 00:34:27.800]   It might not sound super fun to you in the first place, but be the kind of person who says yes and give it a fair shake before you reject it, and then you'll be invited to more and more places.
[00:34:27.800 --> 00:34:34.800]   And then as far as the tools of adventure, tools of adventure is food to eat, place to sleep, means of getting around, and something to do.
[00:34:34.800 --> 00:34:42.800]   Of those, the one that I think is the biggest game-changer for a lot of people is just having prepared a place to sleep.
[00:34:42.800 --> 00:34:47.800]   Grab yourself a little hiking manual and put together a little hiking kit.
[00:34:47.800 --> 00:34:55.800]   Simple foam pad, a useful sleeping bag, maybe a little camp pillow of some kind that breaks down.
[00:34:55.800 --> 00:34:59.800]   Put it in a little sack, stick it in your trunk, or have it ready to go at a moment's notice.
[00:34:59.800 --> 00:35:03.800]   Even if you're not going to go and hike overnight yourself, just having it ready to go will help you.
[00:35:03.800 --> 00:35:16.800]   If you want to go one more step, add a little tent and practice setting it up once or twice so that you can just pull the car over on the side of the road, duck back into the woods, set up your tent, and have a good night's sleep.
[00:35:16.800 --> 00:35:24.800]   If you want to add to that and get yourself a swag, a bedroll of some kind, something fancier, go for it.
[00:35:24.800 --> 00:35:27.800]   But do this, and do this even for your family members.
[00:35:27.800 --> 00:35:38.800]   If, again, you're going to be traveling with children and you don't have a lot of money but want to be able to say yes to adventure, then just put together a simple bedroll system for each member of your family.
[00:35:38.800 --> 00:35:45.800]   Have a tent or two, have the ability to go to a relative's house or go to a friend's house, and everybody bunk down in the living room.
[00:35:45.800 --> 00:35:51.800]   You're going to have a great time, and your horizon for adventure is going to be much more expanded.
[00:35:51.800 --> 00:36:10.800]   The truth is that some of us, perhaps many of us, are living lives of quiet desperation, primarily because we're just so fat and coddled and soft and lazy that we can't go out and say yes to living an interesting life, which is really sad.
[00:36:10.800 --> 00:36:25.800]   But we think, "Oh, if I'm going to go somewhere, I have to be able to fly there, directly there. I'm too scared to put out my thumb and hitchhike. After all, I might be uncomfortable and stuck in the back of somebody's pickup truck and get a sunburn."
[00:36:25.800 --> 00:36:32.800]   Or, "I have to stay at a certain class of hotel. I just can't. I just couldn't stay in a place like that."
[00:36:32.800 --> 00:36:43.800]   Okay, that's fine. It just means you're probably going to have a pretty mundane and boring life. You're not going to be able to enjoy a lot of the adventures that those people who toughen themselves up a little bit are able to enjoy.
[00:36:43.800 --> 00:37:04.800]   This kind of living, to me, seems pretty abnormal. Maybe it's just my culture. Maybe I'm just in kind of the soft, whiny pants culture and I'm getting it wrong. But it just seems as though, in today's world, the ways of doing things of 50 years ago or 75 years ago or 100 years ago has just disappeared.
[00:37:04.800 --> 00:37:27.800]   It's just not normal. And that's a good thing, probably, in the sense that it doesn't have to be normal to go and sleep on the dirt. I like a nice bed. I enjoy staying in a nice hotel and having a beautiful buffet in the morning. But I don't want to be a prisoner of that life. I don't want to not be able to live an interesting life, an adventurous life, because I have to have things so much.
[00:37:27.800 --> 00:37:53.800]   So read a little history. A couple of stories, just in closing, that seemed to me – I remember years ago when I read – what was it? Run, Baby, Run? Or the David Wilkerson story. Maybe it was The Cross and the Switchblade. And David Wilkerson was a pastor who was going to the local – I guess it was New York City – and he was going to go and try to do some evangelistic outreach to some of the hardcore gangs in New York City.
[00:37:53.800 --> 00:38:14.800]   And the story that opens one of those books – I forget which one – is a story where he goes in and he arrives late at night. So, of course, he just crawls into the backseat of his car and goes to sleep. And he wakes up in the morning and he looks out the window and I think either they were in the act of stealing or his tires were stolen off of his car while he was sleeping in the car at night.
[00:38:14.800 --> 00:38:35.800]   And the point is that here's a pastor who considered it relatively normal to just drive and then crawl in the backseat and go to sleep. I remember in my own family lore, my grandparents are from California, they moved to Colorado, and they would go back and forth from Colorado to California to visit family. And this was before the days of the interstate system were developed.
[00:38:35.800 --> 00:38:55.800]   And so they would drive down the road. When it became late and time to sleep, they would pull the car over to the side of the road. The men would get out, would go lay down a blanket and a bedroll in the sand and the dirt and sleep in the dirt. My grandmother would stretch out in the backseat of the car. She got the soft, cushy backseat of the car. They would sleep, then they would get up the next day, and they would go.
[00:38:55.800 --> 00:39:19.800]   I've been thinking about cowboy culture as I slowly read my way through the Ralph Moody series, Father and I Were Ranchers, the first one. Great series. There's cowboy culture in the United States back in the early 20th century. And it's so fascinating because again and again, you see the same thing. Cowboy's out doing his work, lies down on the ground, goes to sleep. It was a totally normal thing for people back then.
[00:39:19.800 --> 00:39:37.800]   And if you go back through our history, you again see more and more. You can go back to the Bible, and Jacob is journeying away, fleeing from his brother Esau, and he lies down to sleep. What does he do? He sets up a rock for a pillow. That'll probably be the next big trend.
[00:39:37.800 --> 00:40:01.800]   One of the current health trends online is everyone's ditching their mattresses and everyone's lying on the ground on either a futon or a thin mattress or in some cases a tatami mat or something like that. It's all the rage for back health to sleep on the floor. So maybe the next thing in 2029 is going to be we're all going to be sleeping on rocks instead of pillows for our good health.
[00:40:01.800 --> 00:40:16.800]   Point is, this has been normal. And when I reflect back on my life, man, I spent a lot of money. I wish I hadn't on luxury that kept me on shorter trips and on fewer adventures than I otherwise would have.
[00:40:16.800 --> 00:40:35.800]   And if all I'd done was recognize that and committed to keeping myself free and footloose and able to say yes to things, if I'd set up a little bedroll and had a little go bag with a stick of deodorant in it and a fresh toothbrush and had that at all times, I would have been prepared to say yes when more adventure offered its way.
[00:40:35.800 --> 00:40:47.800]   I said yes to many of them, and I'm grateful for every one that I did. So if you want a life of more adventure, recognize you don't need millions of dollars. You need to be free to say yes to adventure and a few tools of adventure.
[00:40:47.800 --> 00:40:59.800]   That's it. That's the show. Thanks for listening. I hope you've enjoyed it. Just kind of a fun goofball topic. Probably won't serve most people, but I hope it'll serve someone and that someone might be you. Thanks for listening.

