
[00:00:00.000 --> 00:00:06.460]   I'm Cal Newport, and this is In Depth, a semi-regular series in which I talk to
[00:27:06.660 --> 00:27:15.780]   Like, how long does it take certain parts of the game to transpire? Are there, are there huge pauses
[00:27:15.780 --> 00:27:20.020]   where people get gummed up? Where do they laugh versus where do they report they laugh? Right? Like,
[00:27:20.020 --> 00:27:28.180]   these are, these are often things that have huge discrepancies. So suffice to say, to figure out
[00:27:28.180 --> 00:27:38.500]   a simple game is not so simple. And it has given me so much more appreciation. It's kind of like if you,
[00:27:38.500 --> 00:27:42.500]   for instance, I'll give people a recommendation. Like I love drawing. I've done, I was very involved
[00:27:42.500 --> 00:27:46.900]   with all the artwork for every aspect of this game and did a lot of hand sketching and, and so on.
[00:27:46.900 --> 00:27:55.860]   But if you have somebody take you, let's just say a nature guide, take you on a tour somewhere around
[00:27:55.860 --> 00:28:02.020]   your house and introduce you to all the tree species, usually easier to start with trees versus
[00:28:02.020 --> 00:28:08.100]   general plants. Right? So you get maybe like in most places in North America, half dozen trees, maybe.
[00:28:09.140 --> 00:28:14.260]   And now when you walk through the forest on your usual hike, you're just going to see things
[00:28:14.260 --> 00:28:20.820]   completely differently. Yeah. Like the fidelity, it's like, boom, things suddenly it's 3d instead of
[00:28:20.820 --> 00:28:28.420]   green trees, your labels change. And with your labeling change, your reality changes. And the same thing
[00:28:28.420 --> 00:28:34.740]   happens to me now. If I see other games, I'm like, Oh my God, this is so smooth. And so
[00:28:35.780 --> 00:28:42.740]   simple for me as the user, right? It's like, if you open any product, let's just say a really
[00:28:42.740 --> 00:28:45.860]   well-designed Apple product, cause most people had that experience and you're like, Oh my God,
[00:28:45.860 --> 00:28:51.620]   to get the, to get the AirPods paired to my phone and to do this and this is so easy. And then you compare
[00:28:51.620 --> 00:28:57.140]   that with like, I'm going to throw them under the bus, but buying like a brother printer and you're just
[00:28:57.140 --> 00:29:03.300]   like an hour and a half year later, you're like, what does it take in God's name to get this thing
[00:29:03.300 --> 00:29:08.740]   on wifi? So I can, what is this wifi button about? Like there's a feature that no one has ever used
[00:29:08.740 --> 00:29:12.900]   this like auto connect protocol that yeah. So you can have this, you can have the same experience of the
[00:29:12.900 --> 00:29:18.180]   game where you read the instructions. You're like, I have no idea what this means. Um, so
[00:29:20.420 --> 00:29:25.780]   to answer your question, I suppose, yes, there's, there's a lot that goes into it. And then also
[00:29:25.780 --> 00:29:32.100]   there are things that you can do that translate or can transfer from other places. So for instance,
[00:29:32.100 --> 00:29:39.220]   I used a bunch of websites and there are a million of them, but I think in Tel Aviv is one pick food.com
[00:29:39.220 --> 00:29:46.260]   is another where, you know, I created like, I don't know, we created six to eight variations
[00:29:46.260 --> 00:29:53.780]   of this box in terms of the cover art, right. And then split tested it by serving it to different
[00:29:53.780 --> 00:29:59.620]   demographics and having them select their favorites, meaning one out of two at a time. And then the
[00:29:59.620 --> 00:30:04.580]   winner would proceed to be compared against the next variation. And we did a ton of split testing.
[00:30:04.580 --> 00:30:09.620]   And just like I did the Google AdWords way back in the day to test for our work and the subtitle,
[00:30:09.620 --> 00:30:16.580]   you can where possible test with a few hundred bucks, you can get great signal. Not always,
[00:30:16.580 --> 00:30:24.660]   but often you can with this. It was really clear because the winner was like 10 X, right? The number,
[00:30:24.660 --> 00:30:28.820]   like the standard deviations out was so significant. I was like, yeah, this is very clearly. Did you
[00:30:28.820 --> 00:30:35.780]   predict that or are you surprised? In this case, I did predict it. I have whatever it is. I don't
[00:30:35.780 --> 00:30:44.420]   know what it is, but from a visual perspective, I think I'm, I'm just maybe a little more acute than
[00:30:44.420 --> 00:30:50.100]   a lot of folks. I don't know what that is, but certainly my OCD probably feeds into it. I mean,
[00:30:50.100 --> 00:30:54.420]   I have been diagnosed with that, which was no surprise. I had to do it as like a formality.
[00:30:54.420 --> 00:30:58.020]   And the therapist was like, or the psych, the, I guess he was psych, a psychiatrist was like,
[00:30:58.020 --> 00:31:03.140]   I know this could be a lot to take in if you need to like pause the zoom and come back tomorrow. I'm
[00:31:03.140 --> 00:31:06.500]   like, this is not news to anybody. Let's just keep going. I need this for the insurance. Come on.
[00:31:06.500 --> 00:31:12.100]   Yeah. I need this for the insurance. Let's keep going. But I can draw almost any layout of any
[00:31:12.100 --> 00:31:17.060]   restaurant I've ever been in. All right. Like the, just like my, my mind just works that way visually.
[00:31:17.060 --> 00:31:22.740]   So in this case, I was able to, I was able to predict. And I should say also, it's not just data,
[00:31:22.740 --> 00:31:28.740]   data, data. It's like, can you, if your name is on this goes for book covers too. Can you live with
[00:31:28.740 --> 00:31:36.420]   this forever? Which is why I sometimes, I guess no longer because the publishers can make pretty good
[00:31:36.420 --> 00:31:40.980]   money reliably. So they won't say this, but I was a problem author. Like I was a problem author
[00:31:40.980 --> 00:31:45.700]   author because I would fight. I was like, you guys don't have to live with this. Your name is
[00:31:45.700 --> 00:31:50.020]   not on this. And I understand the incentives are slightly different, but like, I am going to see
[00:31:50.020 --> 00:31:57.540]   this so many times. I need to be happy with it. Yeah. And if that ends up being the second choice
[00:31:57.540 --> 00:32:03.300]   instead of the first choice based on the data, so be it. Yeah. Yeah. I was wondering if there's a, uh,
[00:32:03.300 --> 00:32:09.860]   drug dealing for fun and profit box that you tested equivalent, referring for the lister back to your
[00:32:09.860 --> 00:32:17.060]   original title before our work, maybe a coyote with a bloody ma or something that just did not test well,
[00:32:17.060 --> 00:32:28.660]   well, figuring out just the name took a long time. Uh, I tested so many different names and it can become
[00:32:28.660 --> 00:32:36.340]   just like with book titles, sort of a emotional, not necessarily heated, but it can become a conversation
[00:32:36.340 --> 00:32:44.420]   based on opinion and you want to test that you want to test. So for instance, one of the counter
[00:32:44.420 --> 00:32:55.060]   arguments against the name of this game was that coyote is very much sort of an animal of the Americas.
[00:32:55.060 --> 00:32:59.140]   You know, it's like, let's just call it maybe down into some of Central America, but mostly,
[00:32:59.140 --> 00:33:07.300]   you know, Canada, us and Mexico. And will people actually, will this mean anything to people in
[00:33:07.300 --> 00:33:15.140]   other places? And so I had to do a bunch of polling, which I'll very often do with very short social posts
[00:33:15.140 --> 00:33:21.380]   at very odd hours that hit particular time zones just to see, uh, and also texting friends and so on,
[00:33:21.380 --> 00:33:29.460]   uh, about this. But then there are, there's so many different variables to land on something
[00:33:29.460 --> 00:33:39.220]   that finally works, uh, including box design, box size, pricing, uh, negotiating and handling the
[00:33:39.220 --> 00:33:45.220]   politics of very, very large retailers. Like these are all independent arts in the decathlon of creating a
[00:33:45.220 --> 00:33:51.220]   game. Yeah. And Alon is just an excellent decathlete. He's good at all of it.
[00:33:51.220 --> 00:33:58.580]   So what's that? This is my, I'm curious about new worlds. What's that industry like? Is there big
[00:33:58.580 --> 00:34:02.180]   players? It's a lot of independent players. Is anyone making money? Like what is the game?
[00:34:02.180 --> 00:34:08.100]   Yeah. What is the game world? Yeah. This does take to a lot of people. Yeah. This might be a good one
[00:34:08.100 --> 00:34:13.620]   where we have the Wayne's world. Like do, do, do, do, do, do, do, do, do. And we cut to Alon Lee
[00:34:13.620 --> 00:34:20.180]   giving an answer. Listen to that podcast episode with you and Alon is probably the, the best answer,
[00:34:20.180 --> 00:34:25.700]   right? I would say it's, it's a lot like other industries in the sense that you have a few 800
[00:34:25.700 --> 00:34:32.340]   pound gorillas who are gigantic, you know, the Hasbros, Mattels, et cetera. And they have internal
[00:34:32.340 --> 00:34:37.380]   divisions that are doing what like exploding kittens is doing. Like just, just working on game
[00:34:37.380 --> 00:34:42.020]   variations. Oh yeah. Yeah. Yeah. Yeah. So you'll absolutely. And you'll, you'll have these giant
[00:34:42.020 --> 00:34:50.180]   within the scope of games. You'll have these gigantic companies that do a lot of things, including
[00:34:50.180 --> 00:34:58.340]   something like a, you know, the fast casual category. And then you have a ton of, then you have
[00:34:58.340 --> 00:35:02.900]   the, the very successful and exploding kittens would be one of the very most successful, let's call it
[00:35:02.900 --> 00:35:09.220]   more independent game studios that make tabletop games and exploding kids is definitely one of the
[00:35:09.220 --> 00:35:13.380]   most successful. I mean, they had one of the most, if not the most successful Kickstarter of all time
[00:35:13.380 --> 00:35:20.900]   initially with exploding kittens and then parlayed that into creating a real amazing company with many,
[00:35:20.900 --> 00:35:29.380]   many, many best sellers. And then you have a super long tail of let's say independent game designers and
[00:35:29.380 --> 00:35:39.060]   people who are taking a stab at making a game and those folks almost always will license their game
[00:35:39.780 --> 00:35:47.460]   to a publisher. It's just like books in a sense and take a royalty because they don't, they're not capable
[00:35:47.460 --> 00:35:54.980]   of, uh, and, or they do not want to contend with all the logistics of like supply chain management,
[00:35:54.980 --> 00:36:01.860]   dealing with retailers and all of that stuff. And if you only have say one skew and you're relatively new
[00:36:01.860 --> 00:36:06.820]   to the game, it could be the best game on the planet, but just as with book publishing,
[00:36:06.820 --> 00:36:12.900]   if you try to approach big retailers by yourself, they are not going to carry your game. It does not
[00:36:12.900 --> 00:36:18.100]   matter how good it is. They do not have the infrastructure to handle thousands upon thousands
[00:36:18.100 --> 00:36:24.180]   of independent contacts. So you'll have brokers, which would be the equivalent of say book agents,
[00:36:24.180 --> 00:36:29.540]   right? It's the same, it's the same thing. Yeah, it's the same, same. And that's also part of why I
[00:36:29.540 --> 00:36:36.180]   like stepping into these realms that seem completely unrelated, but you start to spot things that you
[00:36:36.180 --> 00:36:42.580]   can conceptually at least copy and paste. The brokers are negotiating licensing deals on your behalf if
[00:36:42.580 --> 00:36:47.140]   you're an independent, the bro, those would probably be, this is probably a lot. I'm getting into the deep
[00:36:47.140 --> 00:36:53.780]   end of my ignorance pool here, but the brokers would help you potentially place even for the larger game
[00:36:53.780 --> 00:36:59.860]   companies. They would be your interface to someone like a buyer, category buyer at a Walmart or a Target
[00:36:59.860 --> 00:37:10.740]   for instance. And you would probably need to find representation of some type to submit games to
[00:37:10.740 --> 00:37:15.140]   larger game companies if you want a little bit of leverage. That could also be an attorney potentially.
[00:37:15.140 --> 00:37:19.300]   I mean, that's how I lean with any new industry. So for instance, like screenwriting, right? You mentioned
[00:37:19.300 --> 00:37:25.140]   screenwriting, like I, that I have, I've had it for like a decade, but I have a screenplay that's like
[00:37:25.140 --> 00:37:32.900]   80% done. And at some point. You're the only one. You're the only one. Yeah. Yeah, right. Exactly. So
[00:37:32.900 --> 00:37:43.300]   at some point lawyers are very neglected, right? They get a bad rep in some senses, right? But they are the
[00:37:43.300 --> 00:37:51.540]   ultimate connective tissue that holds a lot of any industry together. So I suppose what I would say is
[00:37:51.540 --> 00:38:00.420]   that there are these intermediate parties and very often you will need the assistance of one or more
[00:38:00.420 --> 00:38:07.060]   to get any type of deal done. If you were a part of that long tail, which is another reason why it
[00:38:07.060 --> 00:38:12.340]   wouldn't have made sense for me, for me to try to do this solo, my learning would have been much
[00:38:12.340 --> 00:38:20.500]   flatter. I would have made many more mistakes and I wouldn't have possibly had the distribution would
[00:38:20.500 --> 00:38:25.700]   have been, I would say impossible. It's probably a fair word to use. What's the best case scenario for
[00:38:25.700 --> 00:38:30.340]   someone's dream? I mean, you're independent and you just stumble across your, your, your play testing
[00:38:30.340 --> 00:38:34.100]   with your friends and it's just like a brilliant game, like a tabletop game or something like this.
[00:38:34.100 --> 00:38:41.220]   Yes. And you have someone approach and it, it, you license it and it hits, right? What,
[00:38:41.220 --> 00:38:44.900]   when we're talking about like the, the blue sky scenarios for someone who's thinking about that,
[00:38:44.900 --> 00:38:48.180]   what, what are we talking about? Are we talking about someone getting rich or are we talking about?
[00:38:48.180 --> 00:38:55.300]   That's a great question. And I, I, I can't contractually get into like the details of my deal,
[00:38:55.300 --> 00:39:00.740]   but I would say it's very similar to books. I mean, yeah, it's similar to books. I would say that
[00:39:01.540 --> 00:39:08.900]   if you have a mega mega mega hit, then you can do well, but they're like an atomic habits of
[00:39:08.900 --> 00:39:14.100]   tabletop games. Like you could just something about what you're doing takes off for years.
[00:39:14.100 --> 00:39:21.940]   I mean, those games definitely exist. I will say that I know for a fact, a lot of the game designers
[00:39:23.540 --> 00:39:32.020]   who have done deals with publishers who later have those games go parabolic and just insane for many
[00:39:32.020 --> 00:39:43.860]   years in terms of incredible sales seem to like a DIY their lawyering or otherwise a lot of game
[00:39:43.860 --> 00:39:48.020]   designers. And this, this is true for anyone who's new to anything, right? It's easy to be
[00:39:48.980 --> 00:39:53.540]   penny wise and pound foolish. So I've seen a lot of, let's just call them inventors, right? Yeah.
[00:39:53.540 --> 00:39:59.860]   Cause this is also true in pretty much any product category. And there's a, there's a great book on
[00:39:59.860 --> 00:40:05.940]   just inventing in general and sort of licensing versus venturing called, I think it's one simple idea by
[00:40:05.940 --> 00:40:11.940]   Steven key, Steven with a pH. Who's just, he's created stuff for all these gigantic brands. He does
[00:40:11.940 --> 00:40:17.220]   almost all of his prototyping with like construction paper and really basic stuff around the house. And he's
[00:40:17.220 --> 00:40:26.020]   been massively successful, but pay a lawyer to review contracts, pay a good lawyer, like really invest in
[00:40:26.020 --> 00:40:33.700]   that. Even if you're going to put yourself obviously not dangerously in the red, but that is where you
[00:40:33.700 --> 00:40:39.460]   want one of the places where you want to spend money, right? If you do that correctly, then yes, there are
[00:40:39.460 --> 00:40:48.260]   people who can make a, a good living doing this. If your goal is to make billions of dollars or tens
[00:40:48.260 --> 00:40:54.740]   of millions of dollars, I would not bank on trying to be an atomic habits, right? Like that may be,
[00:40:54.740 --> 00:41:00.340]   I hope it's not for James. I hope it's, I hope he has 10 more of those, but the magnitude of sales of
[00:41:00.340 --> 00:41:06.100]   that book might just be a non-recurring phenomenon, right? It's kind of like, I was talking to an
[00:41:06.100 --> 00:41:12.500]   entrepreneur recently and Taylor Swift wore one of her rings to an NFL game. And I'm like, okay,
[00:41:12.500 --> 00:41:18.340]   you saw this huge bump in sales. You cannot in any universe depend on that happening again.
[00:41:18.340 --> 00:41:23.060]   Yeah. That is, you stumbled across a bag of money. That's exciting, but don't make your
[00:41:23.060 --> 00:41:27.860]   business plan stumbling across a bag of money. Yeah, exactly. Yeah. Business plan. Step one,
[00:41:27.860 --> 00:41:30.660]   pick up bags of money. It's like, ah, that might be hard.
[00:41:30.660 --> 00:41:34.580]   But if you just keep getting Taylor Swift to wear your stuff, it's a great business plan. What's the
[00:41:34.580 --> 00:41:42.420]   problem? But I will say that it is possible to make money in games, but you're not dealing with,
[00:41:42.420 --> 00:41:49.300]   say the margins of software. Yeah. Right. And that's just the reality of a physical product.
[00:41:49.300 --> 00:41:54.500]   It's like books. It sounds like it's very similar. Yeah. You can even even, even the price point is
[00:41:54.500 --> 00:42:01.780]   similar. Interesting. There are very, there are much more expensive games. So if you get into the
[00:42:01.780 --> 00:42:08.340]   realm of involved strategy games, like there are games that definitely you walk into a game shop,
[00:42:08.340 --> 00:42:12.180]   there are games that sell for 50, 75 bucks. I mean, you can find those games, right? But they don't
[00:42:12.180 --> 00:42:17.140]   sell very many. Exactly. So you're going to be looking at, I mean, they can sell,
[00:42:17.140 --> 00:42:21.460]   but you're going to be looking at, there are always trade-offs. There are always trade-offs.
[00:42:21.460 --> 00:42:29.860]   And my, my goal with this was, and I'm fortunate to be in this position, but it, it, the business can
[00:42:29.860 --> 00:42:34.660]   work like exploding kittens has done a really amazing job of building a business. It's not a not-for-profit.
[00:42:35.220 --> 00:42:43.620]   So you, so you can, you, you can make money in this world, but the advice, my advice to someone who
[00:42:43.620 --> 00:42:48.820]   is thinking they might want to make a game would be the same that advice that I would give to someone
[00:42:48.820 --> 00:42:53.460]   who's thinking about writing a book, right? Uh, be slightly different. I would say in a, in the case
[00:42:53.460 --> 00:42:57.940]   of a book, I'm like, if this can't be your top priority for the next year, from a time perspective,
[00:42:58.500 --> 00:43:04.740]   don't do it because you're going to have to live with it forever. And if it can, then consider it.
[00:43:04.740 --> 00:43:11.620]   Similarly, I would say, if you assume that you do not make any money, you don't lose money, but you
[00:43:11.620 --> 00:43:17.700]   don't make any, is this still worth doing for you? And if the answer is no, I would not suggest doing
[00:43:17.700 --> 00:43:23.140]   it. Just like if, if someone said, I'm thinking about becoming a country musician to make my riches,
[00:43:23.140 --> 00:43:29.060]   I would say, Oh, but if you said, I think I'm going to make an album because I've always loved music.
[00:43:29.060 --> 00:43:36.500]   My friends love my music. And I just, I can't rest knowing I never gave it a shot. Okay. That's a good
[00:43:36.500 --> 00:43:42.340]   reason. Then give it a shot and maybe lightning will strike and you'll capture it in a bottle. Maybe.
[00:43:42.340 --> 00:43:47.060]   What a fascinating world. Well, let me, okay. So let me zoom out on this a little bit then.
[00:43:47.060 --> 00:43:51.620]   Oh, can I say one more thing? Sure. That, uh, I have tried more and more
[00:43:51.620 --> 00:43:57.700]   to immerse myself in worlds where the people are friendly. This sounds so maybe, I don't know,
[00:43:57.700 --> 00:44:05.300]   like, uh, Mr. Rogers, but some worlds are friendlier than others. Yes. Right. It's just
[00:44:06.260 --> 00:44:10.900]   true. So if you go to any of these big trade shows related to games or you go to even like
[00:44:10.900 --> 00:44:16.740]   Comic-Con, right. To expand it a little bit. But if you go to Gen Con, for instance, I have not yet
[00:44:16.740 --> 00:44:23.540]   been, but from everything I've heard and in tandem, I'll give another example of archery, specifically
[00:44:23.540 --> 00:44:26.980]   bare bow archery, which we don't have to spend a lot of time on, but there are many different
[00:44:26.980 --> 00:44:32.500]   disciplines within archery and the, the people in bare bow are the friendliest. They're happy to help.
[00:44:33.460 --> 00:44:38.260]   They don't have any cutthroat competitive mentality. Generally speaking, like everybody helps
[00:44:38.260 --> 00:44:43.220]   everybody. That makes a difference. Uh, it makes a huge difference. That's like the neighborhood
[00:44:43.220 --> 00:44:48.340]   where you choose to raise your kids. Yeah. It's like, where do you want to be? Who do you want to be
[00:44:48.340 --> 00:44:55.060]   around? Because you are going to be influenced by all of that. And the gaming world, the tabletop gaming
[00:44:55.060 --> 00:45:01.220]   world, to be clear. I think when the stakes get higher, it gets weird, like video games, then
[00:45:01.220 --> 00:45:07.780]   there's a lot, uh, the dynamics are very, could be very, very, very different. Just like all the prize
[00:45:07.780 --> 00:45:12.420]   money for archery or a lot of the prize money is in compound archery. And it's like, things change
[00:45:12.420 --> 00:45:18.340]   when you start to add in that incentive as a primary driver, right? The people matter.
[00:45:18.340 --> 00:45:22.900]   Yeah. Yeah. And the incentives matter. It's like the, if you, if you added the same amount of money
[00:45:22.900 --> 00:45:26.980]   into bare bow, I'm sure people would stop sharing their secrets. It's the money. Yeah. But you probably
[00:45:26.980 --> 00:45:31.780]   have the same experience I've had because we both obviously had a lot of exposure to the publishing
[00:45:31.780 --> 00:45:36.660]   world, but also some exposure to Hollywood and like the, that world. And I read the difference,
[00:45:36.660 --> 00:45:40.340]   both of them there. It's people are meaning a different way in Hollywood.
[00:45:40.340 --> 00:45:46.500]   It's like, they're satirical, how nice they are to you. And then behind the doors, it's so brutal.
[00:45:46.500 --> 00:45:50.980]   So like in Hollywood, it's always like, I, you know, I gotta tell you, this idea is so good.
[00:45:50.980 --> 00:45:56.260]   I would give one of my kids away for adoption just to work with it. You have, I could die tomorrow.
[00:45:56.260 --> 00:46:01.620]   You have given me a reason to live. And then, you know, you never, it's so bad. It's so bad.
[00:46:01.620 --> 00:46:06.020]   And then you go to the publishing world, dealing with Hollywood. Some I was like, ah,
[00:46:06.020 --> 00:46:13.300]   New York based agents. They're like almost they're brutal. Right. But at least like they're honest,
[00:46:13.300 --> 00:46:16.500]   they're also just as mean, but they're more honest. Like that's a dumb idea and that's not going to work
[00:46:16.500 --> 00:46:20.020]   and we're not going to publish it, but at least they're clear about it. So you have different flavors
[00:46:20.020 --> 00:46:24.740]   of meanness. Yeah. It's nice to get out of those worlds. I can see that. Yeah, for sure. I mean, the
[00:46:24.740 --> 00:46:31.860]   and I'll, I'll actually speak to that too, because games have a huge benefit
[00:46:32.900 --> 00:46:36.340]   that is similar to maybe standup comedy and here's the benefit.
[00:46:36.340 --> 00:46:46.820]   If you have, you have a passion project, that's music or art or whatever
[00:46:46.820 --> 00:46:55.060]   for a lot of different types of projects, people can lie to you to be nice. Yeah. Right.
[00:46:55.060 --> 00:47:00.900]   If you get up in front of an audience and try to do a 30 minute set comedy, you might get one or two
[00:47:00.900 --> 00:47:05.780]   courtesy laughs, but then it's going to be dead silent and you're going to bomb and you're going
[00:47:05.780 --> 00:47:11.620]   to know that your material doesn't work with a game. If your game doesn't work, your game does not work.
[00:47:11.620 --> 00:47:17.060]   It really doesn't. You can tell on those big game tests. You can tell. And even if somebody's trying
[00:47:17.060 --> 00:47:23.620]   to be nice there, they have that kind of plastered fake smile on you're like, Ooh, that's not good.
[00:47:23.620 --> 00:47:27.780]   Right. Or if they're like, yeah, that's, yeah, that's fun. Like the damning with faint praise. I mean,
[00:47:27.780 --> 00:47:33.300]   like you can tell watching the, like the colors were great, Tim, the colors, really like the size
[00:47:33.300 --> 00:47:39.620]   of these cards are laminated, like really smooth. Like really good job. Yeah. So, so a huge benefit
[00:47:39.620 --> 00:47:46.740]   is you will know if your baby's ugly very quickly and you don't have to ask people for their opinion.
[00:47:46.740 --> 00:47:54.020]   You'll see it. And I would just to speak to the Hollywood piece also, the, and maybe I'm biased,
[00:47:54.020 --> 00:47:59.540]   having grown up in New York, uh, people can be brutal and the people who are brutal are not always
[00:47:59.540 --> 00:48:07.460]   going to be right. But if the idea is truly bad, they just saved you a lot of time by being honest.
[00:48:07.460 --> 00:48:13.620]   If you pay attention to it doesn't mean you should just follow it wrote, but separately,
[00:48:13.620 --> 00:48:22.820]   if someone's brutal to you and you fold, it means you didn't have the necessary enthusiasm or focus to
[00:48:22.820 --> 00:48:29.620]   have endurance pursuing that project. So even if it's a good idea, they saved you time because you
[00:48:29.620 --> 00:48:33.780]   wouldn't have been able to execute in the longterm on it. Does that make sense? Right. Yeah. If they,
[00:48:33.780 --> 00:48:38.820]   if they'd been too supportive of a bad idea, it would have been six months later, it would have,
[00:48:38.820 --> 00:48:44.020]   you would have folded when it got hard. Exactly. Yeah. Or if it was, even if it, even if it were a good
[00:48:44.020 --> 00:48:49.780]   idea, that's, I think the thing that I'm very inarticulately trying to convey is that even if it
[00:48:49.780 --> 00:48:55.940]   is a, the idea could have product market fit for say a book, but the book is going to take you a year
[00:48:55.940 --> 00:49:02.500]   and a half to write and underneath all of the surface enthusiasm, you don't actually have
[00:49:02.500 --> 00:49:11.060]   the juice to fuel that year and a half. Yeah. Great idea. But like execution risk, right? Like
[00:49:11.060 --> 00:49:19.060]   key man risk with, with endurance, the, the agent or whoever it is who insults that book or judges
[00:49:19.060 --> 00:49:26.980]   it really harshly, if that causes you to fold, you wouldn't have made it anyway. Yeah. And I mean that,
[00:49:26.980 --> 00:49:34.340]   that gets into some very smoky territory where, when do you listen? When do you not? And my, my very
[00:49:34.340 --> 00:49:39.540]   brief answer to that is you workshop the hell out of it in advance. You pay a lot of attention to your energy
[00:49:39.540 --> 00:49:47.460]   levels, if it recharges you or not and know what works before you even get to the agent, right?
[00:49:47.460 --> 00:49:53.620]   I mean, this is another divergence, but why do you think a nonfiction book publishing people don't
[00:49:53.620 --> 00:49:59.220]   like, not everyone, but I run into people who want to be writers who do not like the fact that the book
[00:49:59.220 --> 00:50:05.140]   is bought first before you write it. To me, I'm like, this is great. Like money is a neutral indicator of
[00:50:05.140 --> 00:50:10.980]   value. Derek Sivers. Uh, you, you, you don't have to put in a huge amount of effort before you get
[00:50:10.980 --> 00:50:16.020]   like a very definitive, okay, this could work. We're investing in it. And then, you know, and people,
[00:50:16.020 --> 00:50:21.460]   there's a lot of first time writers who just don't want that to be true. What do you think is going on
[00:50:21.460 --> 00:50:26.580]   there? Well, tell me, tell me more about that. So with the folks who have voiced that to you, is it that they
[00:50:26.580 --> 00:50:34.660]   want to sort of follow the romantic image of the writer, come out of a cave with this beautiful
[00:50:34.660 --> 00:50:41.700]   diamond and then get what they're worth? Is that, is that the, is that what they hope to do or is it
[00:50:41.700 --> 00:50:45.460]   something else? I think, well, here's what I'm trying to figure out. I think it might be,
[00:50:45.460 --> 00:50:52.420]   it makes the rejection proximate. Right. So it makes it too close when you say to them, oh, great. All you
[00:50:52.420 --> 00:50:59.460]   need to do is query an agent. You could do that tomorrow. It's maybe it's, I'm not ready for this
[00:50:59.460 --> 00:51:05.460]   to be rejected yet. I want to have a thousand words a day with, with the perfect, you know,
[00:51:05.460 --> 00:51:10.740]   urban matte tea that I Instagram and do this for two years. And I don't want this to be derailed. I
[00:51:10.740 --> 00:51:14.340]   don't know if that's, what's going on. And then there, but there's such, I have these conversations
[00:51:14.340 --> 00:51:17.860]   with the writers all the time where they invent the most elaborate ways that they're going to get around
[00:51:17.860 --> 00:51:23.460]   being judged first. And I was like, well, why not just see if the idea, maybe it's their mind knows,
[00:51:23.460 --> 00:51:27.380]   like it doubts them. I'm not, but it's always a fascinating thing. I was like, this is the huge
[00:51:27.380 --> 00:51:32.100]   advantage we have over novelist is we find out upfront. We don't have to wait till the box office numbers.
[00:51:32.100 --> 00:51:39.140]   Yeah. I would say, I think that now that you're explaining it and giving some examples, it's
[00:51:39.140 --> 00:51:47.860]   avoiding judgment, it's avoiding feedback. And this is where Seth Godin has so many great things to say.
[00:51:47.860 --> 00:51:53.700]   And I can't remember who first said this, but you know, no product survives first contact with customers.
[00:51:53.700 --> 00:52:01.620]   And what Seth would say, and I'm paraphrasing here, but he said, you know, changing the world and creating
[00:52:01.620 --> 00:52:07.460]   this and doing these giant things that you can hide behind the big. He's like, find your smallest
[00:52:07.460 --> 00:52:15.300]   viable audience and get in front of them as quickly as possible. And then you can't hide, right? If
[00:52:15.300 --> 00:52:22.660]   getting it, if having three of my friends play test, my, my shitty prototype is, is doable tomorrow.
[00:52:22.660 --> 00:52:29.060]   I it's, it's, it's almost impossible for me to come up with excuses why that isn't something I,
[00:52:29.060 --> 00:52:34.660]   I can do. Right. But if I'm like, I want to create the game, that's the combination of this,
[00:52:34.660 --> 00:52:38.980]   this, this, this, and this bestselling game, it's going to take me nine months. I have a plan and then
[00:52:38.980 --> 00:52:45.140]   I'll be ready to finally show it, to debut it on the stage at the world expo or whatever.
[00:52:46.100 --> 00:52:51.460]   I think underneath it all. And it's often, I would suspect subconscious people are just afraid
[00:52:51.460 --> 00:52:59.540]   of it being rejected. And for me, the problem is the label as is often the case, right? It's like the,
[00:52:59.540 --> 00:53:05.220]   the labels you use and the words you use matter, they form your thinking and your beliefs and your
[00:53:05.220 --> 00:53:12.820]   reality. So for me, it's just feedback. It's people who are helping me make something better. That's it.
[00:53:12.820 --> 00:53:21.140]   Right. That's it. And that's like having a very rough draft and having people who care about you,
[00:53:21.140 --> 00:53:25.380]   who have a good eye, giving you feedback on that rough draft. They are helping you make something
[00:53:25.380 --> 00:53:29.620]   better. Now, if you're dealing with strangers, of course, they may not do it in the most delicate
[00:53:29.620 --> 00:53:36.500]   fashion possible, but nonetheless, they're still helping you get closer to something better. So
[00:53:37.700 --> 00:53:44.100]   the, the first contact is tough. And a lot of people may not realize, I mean, if you get good,
[00:53:44.100 --> 00:53:50.820]   especially in the early days at selling nonfiction books, you're basically fundraising for a startup,
[00:53:50.820 --> 00:53:58.020]   right? It's like, you're putting, you're putting together a book proposal. What is that? It's a pitch
[00:53:58.020 --> 00:54:06.340]   deck slash fundraising presentation is what it is. And a lot of the stuff you would see for people
[00:54:06.340 --> 00:54:11.300]   raising money for Uber or anything else. It's going to be the same stuff. How big is the market?
[00:54:11.860 --> 00:54:17.300]   Yeah. Right. Do you have access to the market? What's the basic premise? Why doesn't this exist
[00:54:17.300 --> 00:54:22.420]   in the market? Or why does it echo something that's already working? Okay, let's see a sample,
[00:54:22.420 --> 00:54:27.940]   right? Which would be the equivalent of like a super rough mockup prototype. And
[00:54:29.300 --> 00:54:36.900]   they want to know that it is as close to a sure thing as humanly possible. And then you get this
