
[00:00:00.000 --> 00:00:05.000]   [PAUSE]
[00:24:13.000 --> 00:24:17.000]   getting the loss, getting what the actual labels are, um,
[00:24:17.000 --> 00:24:19.000]   just from within HuggingFace.
[00:24:19.000 --> 00:24:23.000]   Okay. Awesome.
[00:24:23.000 --> 00:24:30.000]   So, um, the last thing as well is that we can also kind of look inside the model,
[00:24:30.000 --> 00:24:37.000]   um, in a pretty, pretty cool way and also seeing what the attention weights the model actually puts,
[00:24:37.000 --> 00:24:40.000]   uh, the attention weights the model actually has.
[00:24:40.000 --> 00:24:47.000]   Um, so this is helpful if you're trying to understand like what's going on inside of some NLP model.
[00:24:47.000 --> 00:24:51.000]   Um, and so for here, we can do again,
[00:24:51.000 --> 00:24:55.000]   uh, where we're importing our model from some pre-trained,
[00:24:55.000 --> 00:24:57.000]   um, kind of pre-trained model,
[00:24:57.000 --> 00:25:01.000]   model weights in the, um, the HuggingFace hub.
[00:25:01.000 --> 00:25:03.000]   We want to output attentions,
[00:25:03.000 --> 00:25:07.000]   set output attentions to true and output hidden states to true.
[00:25:07.000 --> 00:25:09.000]   So these are going to be the key arguments that we can use.
[00:25:09.000 --> 00:25:12.000]   We're actually kind of investigating, um,
[00:25:12.000 --> 00:25:15.000]   what's going on inside the model at each point in time.
[00:25:15.000 --> 00:25:20.000]   Again, we'll set the model to be in eval mode, um,
[00:25:20.000 --> 00:25:25.000]   and lastly, we'll go ahead and tokenize our input string again.
[00:25:25.000 --> 00:25:29.000]   Um, we don't really care about any of the gradients here.
[00:25:29.000 --> 00:25:33.000]   Um, again, so we don't actually want to back propagate anything here.
[00:25:33.000 --> 00:25:36.000]   And finally, pass in the model inputs.
[00:25:36.000 --> 00:25:41.000]   So now what we're able to do is when we print out the model hidden states.
[00:25:41.000 --> 00:25:46.000]   So now this is a new kind of property in the output dictionary that we get.
[00:25:46.000 --> 00:25:49.000]   We can look at what these actually look like here.
[00:25:49.000 --> 00:25:53.000]   Um, and sorry, this is a massive output.
[00:25:53.000 --> 00:25:58.000]   So you can actually look at the hidden state size per layer, right?
[00:25:58.000 --> 00:26:02.000]   And so this kind of gives a notion of what we're going to be looking like,
[00:26:02.000 --> 00:26:07.000]   looking at like what the shape of this is at each given layer in our model,
[00:26:07.000 --> 00:26:10.000]   as well as the attention head size per layer.
[00:26:10.000 --> 00:26:13.000]   So this gives you like the kind of shape of what you're looking at.
[00:26:13.000 --> 00:26:17.000]   And then if we actually look at the model output itself,
[00:26:17.000 --> 00:26:22.000]   we'll get all of these different like hidden states basically, right?
[00:26:22.000 --> 00:26:27.000]   So, um, so we have like tons and tons of these, uh, different hidden states.
[00:26:27.000 --> 00:26:30.000]   We'll have the last hidden state, um, here.
[00:26:30.000 --> 00:26:36.000]   So the model output is pretty robust for kind of showing you what the hidden state looks like,
[00:26:36.000 --> 00:26:39.000]   as well as what attention weights actually look like here.
[00:26:39.000 --> 00:26:43.000]   So in case you're trying to analyze a particular model,
[00:26:43.000 --> 00:26:45.000]   this is a really helpful way of doing that.
[00:26:45.000 --> 00:26:49.000]   So what model.eval does is it- sorry,
[00:26:49.000 --> 00:26:52.000]   question is what is the.eval do?
[00:26:52.000 --> 00:26:55.000]   Um, what it does is it basically sets your,
[00:26:55.000 --> 00:26:58.000]   and this is true for any PyTorch module or model,
[00:26:58.000 --> 00:27:01.000]   is it sets it into "eval mode".
[00:27:01.000 --> 00:27:08.000]   Um, so again for this like we're not really trying to calculate any of the gradients or anything like that.
[00:27:08.000 --> 00:27:11.000]   That might correspond to, um,
[00:27:11.000 --> 00:27:16.000]   like correspond to some data that we pass in or try and update our model in any way.
[00:27:16.000 --> 00:27:21.000]   We just care about evaluating it on that particular data point.
[00:27:21.000 --> 00:27:27.000]   Um, so for that then it's helpful to set the model into like eval mode essentially,
[00:27:27.000 --> 00:27:29.000]   um, to help make sure that,
[00:27:29.000 --> 00:27:30.000]   that kind of like, uh,
[00:27:30.000 --> 00:27:34.000]   disables some of like that stuff that you'd use during training time.
[00:27:34.000 --> 00:27:36.000]   So it just makes it a little more efficient.
[00:27:36.000 --> 00:27:38.000]   Yeah, the question was, uh,
[00:27:38.000 --> 00:27:41.000]   it's already pre-trained so can you go ahead and evaluate it?
[00:27:41.000 --> 00:27:42.000]   Yeah, you, you can.
[00:27:42.000 --> 00:27:46.000]   Um, so yeah, this is just the raw pre-trained model with no, no fine-tuning.
[00:27:46.000 --> 00:27:49.000]   So the question is like how do you interpret,
[00:27:49.000 --> 00:27:52.000]   um, these shapes basically,
[00:27:52.000 --> 00:27:56.000]   uh, for the attention head size and then the hidden state size?
[00:27:56.000 --> 00:27:58.000]   So, um, so yeah, the,
[00:27:58.000 --> 00:27:59.000]   the key thing here, uh,
[00:27:59.000 --> 00:28:03.000]   is you'll probably want to look at kind of the shape given on the side.
[00:28:03.000 --> 00:28:08.000]   It'll correspond to like the layer that you're actually kind of like, uh, looking at.
[00:28:08.000 --> 00:28:11.000]   So here, um, like when we call,
[00:28:11.000 --> 00:28:12.000]   we looked at the shape here,
[00:28:12.000 --> 00:28:15.000]   we're specifically looking at like the first,
[00:28:15.000 --> 00:28:17.000]   first one in this list, right?
[00:28:17.000 --> 00:28:20.000]   So this will give us the first hidden layer.
[00:28:20.000 --> 00:28:21.000]   Uh, the second gives us a,
[00:28:21.000 --> 00:28:23.000]   a notion of kind of like the,
[00:28:23.000 --> 00:28:25.000]   the batch that we're looking at.
[00:28:25.000 --> 00:28:27.000]   And then the last is like,
[00:28:27.000 --> 00:28:29.000]   so this is like some tensor, right?
[00:28:29.000 --> 00:28:32.000]   768 dimensional, I don't know,
[00:28:32.000 --> 00:28:34.000]   representation that corresponds there.
[00:28:34.000 --> 00:28:37.000]   Um, and then for the attention head size,
[00:28:37.000 --> 00:28:44.000]   it corresponds to like the actual query word and the keyword for these last two here.
[00:28:44.000 --> 00:28:51.000]   But yes, so, um, but for this,
[00:28:51.000 --> 00:28:55.000]   you know, we would expect this kind of initial index here, right?
[00:28:55.000 --> 00:28:58.000]   The one to be bigger if we printed out all of the,
[00:28:58.000 --> 00:28:59.000]   you know, all of the layers,
[00:28:59.000 --> 00:29:01.000]   but we're just looking at the first one here.
[00:29:01.000 --> 00:29:04.000]   So we can also do this,
[00:29:04.000 --> 00:29:07.000]   um, for, um, you know,
[00:29:07.000 --> 00:29:11.000]   actually being able to get some notion of how these different,
[00:29:11.000 --> 00:29:13.000]   how this actually like looks,
[00:29:13.000 --> 00:29:16.000]   um, and plot out these axes as well.
[00:29:16.000 --> 00:29:19.000]   So again, if we take this same kind of model input,
[00:29:19.000 --> 00:29:22.000]   which again is like this hugging face transformers is great,
[00:29:22.000 --> 00:29:26.000]   we're actually trying to see like what do these representations look like,
[00:29:26.000 --> 00:29:28.000]   on like a per layer basis.
[00:29:28.000 --> 00:29:31.000]   So what we can do here is basically,
[00:29:31.000 --> 00:29:35.000]   we're looking at for each layer that we have in our model, right?
[00:29:35.000 --> 00:29:38.000]   And again, this is purely from the model output attentions,
[00:29:38.000 --> 00:29:40.000]   or the actual outputs of the model.
[00:29:40.000 --> 00:29:44.000]   Um, so what we can do is for each layer,
[00:29:44.000 --> 00:29:46.000]   and then for each head,
[00:29:46.000 --> 00:29:50.000]   we can analyze essentially like what these representations look like,
[00:29:50.000 --> 00:29:52.000]   and in particular, what the attention weights are,
[00:29:52.000 --> 00:29:55.000]   across each of like the tokens that we have.
[00:29:55.000 --> 00:29:57.000]   So this is like a good way of again,
[00:29:57.000 --> 00:30:00.000]   understanding like what your model is actually attending to,
[00:30:00.000 --> 00:30:02.000]   within each layer.
[00:30:02.000 --> 00:30:04.000]   So on the side, if we look here,
[00:30:04.000 --> 00:30:06.000]   maybe zoom in a bit,
[00:30:06.000 --> 00:30:08.000]   we can see that this is going to be like,
[00:30:08.000 --> 00:30:10.000]   corresponds to the different layers,
[00:30:10.000 --> 00:30:12.000]   and the top will correspond to,
[00:30:12.000 --> 00:30:13.000]   these are across the attention,
[00:30:13.000 --> 00:30:16.000]   the different attention heads.
[00:30:16.000 --> 00:30:19.000]   Okay. This will just give you some notion of like what the weights are.
[00:30:19.000 --> 00:30:23.000]   Here. So again, just to, um, to clarify.
[00:30:23.000 --> 00:30:25.000]   So again, if we maybe look at the labels,
[00:30:25.000 --> 00:30:28.000]   sorry, it's like a little cut off and like zoomed out,
[00:30:28.000 --> 00:30:31.000]   but so this y-axis here,
[00:30:31.000 --> 00:30:32.000]   like these different rows,
[00:30:32.000 --> 00:30:36.000]   corresponds to the different layers within the model.
[00:30:36.000 --> 00:30:41.000]   Oops. Um, on the x-axis here, right,
[00:30:41.000 --> 00:30:43.000]   we have like the, um,
[00:30:43.000 --> 00:30:47.000]   like the different attention heads that are present in the model as well.
[00:30:47.000 --> 00:30:49.000]   And so for each head,
[00:30:49.000 --> 00:30:51.000]   we're able to for each, uh,
[00:30:51.000 --> 00:30:55.000]   at each layer to basically get a sense of like what,
[00:30:55.000 --> 00:30:59.000]   how the attention distribution is actually being distributed,
[00:30:59.000 --> 00:31:00.000]   what's being attended to,
[00:31:00.000 --> 00:31:04.000]   corresponding to each of like the tokens that you actually get here.
[00:31:04.000 --> 00:31:07.000]   So if we, if we look up again,
[00:31:07.000 --> 00:31:10.000]   um, here as well, right,
[00:31:10.000 --> 00:31:14.000]   we're just trying to look at like basically the model attentions that we get,
[00:31:14.000 --> 00:31:17.000]   for each kind of corresponding layer.
[00:31:17.000 --> 00:31:21.000]   The question is what's the, the color key, um,
[00:31:21.000 --> 00:31:25.000]   yellow is like higher, higher magnitude and higher value,
[00:31:25.000 --> 00:31:27.000]   and then darker is like closer to zero.
[00:31:27.000 --> 00:31:31.000]   So probably very naive is like zero.
[00:31:31.000 --> 00:31:38.000]   So what we can do is now maybe walk through like what a fine-tuning task looks like here.
[00:31:38.000 --> 00:31:42.000]   Um, and so first like, uh, in a project, you know,
[00:31:42.000 --> 00:31:44.000]   you're probably going to want to fine-tune a model.
[00:31:44.000 --> 00:31:46.000]   Um, that's fine. It's a,
[00:31:46.000 --> 00:31:48.000]   and we'll go ahead and walk through an example of,
[00:31:48.000 --> 00:31:51.000]   of what that looks like here.
[00:31:51.000 --> 00:31:59.000]   Okay. So what we can do as well is, right,
[00:31:59.000 --> 00:32:03.000]   what we can do as well is use some of the, um,
[00:32:03.000 --> 00:32:07.000]   the data sets that we can get from HuggingFace as well.
[00:32:07.000 --> 00:32:08.000]   So it doesn't just have models,
[00:32:08.000 --> 00:32:11.000]   it has really nice data sets, um,
[00:32:11.000 --> 00:32:13.000]   and be able to kind of like load that in as well.
[00:32:13.000 --> 00:32:16.000]   So here what we're going to be looking at is, uh,
[00:32:16.000 --> 00:32:20.000]   looking at like the IMDB data set.
[00:32:20.000 --> 00:32:24.000]   Um, and so here again is for sentiment analysis.
[00:32:24.000 --> 00:32:28.000]   Uh, we'll just look at only the first 50 tokens or so.
[00:32:28.000 --> 00:32:32.000]   Um, and generally, um, so this is,
[00:32:32.000 --> 00:32:34.000]   this is like a, you know,
[00:32:34.000 --> 00:32:38.000]   helper function that we'll use for truncating the output that we get.
[00:32:38.000 --> 00:32:43.000]   And then lastly for actually kind of making this data set,
[00:32:43.000 --> 00:32:48.000]   we can use the dataset dict class from HuggingFace again,
[00:32:48.000 --> 00:32:53.000]   that will basically give us this smaller data set that we can get for the,
[00:32:53.000 --> 00:32:56.000]   uh, for the train data set as well as
[00:32:56.000 --> 00:32:58.000]   specifying what we want for validation as well.
[00:32:58.000 --> 00:33:02.000]   So here what we're going to do for our like mini data set for
[00:33:02.000 --> 00:33:06.000]   the purpose of this demonstration is we'll use, uh,
[00:33:06.000 --> 00:33:10.000]   make train and val both from the IMDB train, uh, data set.
[00:33:10.000 --> 00:33:12.000]   Uh, we'll shuffle it a bit,
[00:33:12.000 --> 00:33:16.000]   and then we're just going to select here 128 examples,
[00:33:16.000 --> 00:33:19.000]   um, and then 32 for validation.
[00:33:19.000 --> 00:33:20.000]   So it'll shuffle it around,
[00:33:20.000 --> 00:33:25.000]   it'll take the first 128 and it'll take the la- the next 32.
[00:33:25.000 --> 00:33:30.000]   Um, and then we'll kind of truncate those particular inputs that we get.
[00:33:30.000 --> 00:33:33.000]   Again, just to kind of make sure we're efficient.
[00:33:33.000 --> 00:33:36.000]   And we can actually run this on a CPU.
[00:33:38.000 --> 00:33:44.000]   Okay. So next we can do is just see kind of what does this look like.
[00:33:44.000 --> 00:33:46.000]   It'll just, again, this is kind of just like a dictionary,
[00:33:46.000 --> 00:33:49.000]   it's a wrapper class almost of giving, you know,
[00:33:49.000 --> 00:33:52.000]   your train data set and then your validation data set.
[00:33:52.000 --> 00:33:58.000]   And in particular, we can even look at like what the first 10 of these looks like.
[00:33:58.000 --> 00:34:02.000]   Um, so first, like the output, so we specify train.
[00:34:02.000 --> 00:34:06.000]   We want to look at the first 10 entries in our train data set.
[00:34:06.000 --> 00:34:08.000]   And the output of this, um,
[00:34:08.000 --> 00:34:10.000]   is going to be, um,
[00:34:10.000 --> 00:34:12.000]   a dictionary as well, which is pretty cool.
[00:34:12.000 --> 00:34:14.000]   So we have some,
[00:34:14.000 --> 00:34:20.000]   the first 10 test- text examples that give the actual movie reviews here.
[00:34:20.000 --> 00:34:24.000]   Um, so this is the given in a list.
[00:34:24.000 --> 00:34:26.000]   And then the second, uh,
[00:34:26.000 --> 00:34:29.000]   key that you get are the labels corresponding to each of these.
[00:34:29.000 --> 00:34:32.000]   So whether it's positive or negative.
[00:34:32.000 --> 00:34:34.000]   So here one is going to be a positive review,
[00:34:34.000 --> 00:34:36.000]   uh, zero is negative.
[00:34:36.000 --> 00:34:42.000]   So it makes it really easy to use this for some- something like sentiment- sentiment analysis.
[00:34:42.000 --> 00:34:48.000]   Okay. So what we can do is go ahead and, uh,
[00:34:48.000 --> 00:34:52.000]   prepare the data set and put it into batches of 16.
[00:34:52.000 --> 00:34:53.000]   Okay. So what does this look like?
[00:34:53.000 --> 00:34:58.000]   What we can do is we can call the map function that this like, uh,
[00:34:58.000 --> 00:35:02.000]   that this small like data set dictionary has.
[00:35:02.000 --> 00:35:07.000]   So you call map and pass in a lambda function of what we want to actually do.
[00:35:07.000 --> 00:35:12.000]   So here the lambda function is for each example that we have.
[00:35:12.000 --> 00:35:15.000]   We want to tokenize the text basically.
[00:35:15.000 --> 00:35:18.000]   So this is basically saying how do we want to,
[00:35:18.000 --> 00:35:20.000]   you know, pre-process this.
[00:35:20.000 --> 00:35:23.000]   Um, and so here we're extracting the tokens,
[00:35:23.000 --> 00:35:25.000]   input IDs that will pass as a model.
[00:35:25.000 --> 00:35:29.000]   We're adding padding and truncation as well.
[00:35:29.000 --> 00:35:32.000]   We're going to do this in a batch and then the batch size will be 16.
[00:35:32.000 --> 00:35:35.000]   Okay. Hopefully this makes sense.
[00:35:35.000 --> 00:35:41.000]   Okay. So, um, next we're basically just going to,
[00:35:41.000 --> 00:35:47.000]   um, uh, do like a little more modification on what the data set actually looks like.
[00:35:47.000 --> 00:35:52.000]   So we're going to remove the column that corresponds to- to text.
[00:35:52.000 --> 00:35:56.000]   And then we're going to rename the column label to labels.
[00:35:56.000 --> 00:35:59.000]   So again if we see this, this was called label.
[00:35:59.000 --> 00:36:01.000]   We're just going to call it labels and we're going to remove
[00:36:01.000 --> 00:36:04.000]   the text column because we don't really need it anymore.
[00:36:04.000 --> 00:36:09.000]   We just have gone ahead and pre-processed our data into the input IDs that we need.
[00:36:09.000 --> 00:36:11.000]   Okay. And lastly we're going to set it,
[00:36:11.000 --> 00:36:15.000]   the format to torch so we can go ahead and just pass this in,
[00:36:15.000 --> 00:36:18.000]   um, pass this into our model or our PyTorch model.
[00:36:18.000 --> 00:36:20.000]   The question is what is labels?
[00:36:20.000 --> 00:36:25.000]   So, um, so label here corresponds to like again the first,
[00:36:25.000 --> 00:36:27.000]   in the context of sentiment analysis.
[00:36:27.000 --> 00:36:30.000]   It's like just, yeah, positive or negative.
[00:36:30.000 --> 00:36:33.000]   And so here we're just renaming the column.
[00:36:33.000 --> 00:36:36.000]   Okay. So now we'll just go ahead and see what this looks like.
[00:36:36.000 --> 00:36:41.000]   Again, we're going to look at the train set and only these first two things.
[00:36:41.000 --> 00:36:44.000]   And so, um, so here now we have
[00:36:44.000 --> 00:36:47.000]   the two labels that correspond to each of the reviews.
[00:36:47.000 --> 00:36:52.000]   And the input IDs that we get corresponding for each of the reviews as well.
[00:36:52.000 --> 00:36:55.000]   Lastly, we also get the attention mask.
[00:36:55.000 --> 00:36:57.000]   So it's basically just taking the,
[00:36:57.000 --> 00:37:01.000]   what you get out from the tokenizer and it's just adding this back into the dataset.
[00:37:01.000 --> 00:37:03.000]   So it's really easy to pass it.
[00:37:03.000 --> 00:37:08.000]   The question is, um, we truncated which makes things easy.
[00:37:08.000 --> 00:37:10.000]   But how do you want to apply,
[00:37:10.000 --> 00:37:13.000]   um, like padding evenly?
[00:37:13.000 --> 00:37:16.000]   Um, so here if we do pass in, um,
[00:37:16.000 --> 00:37:21.000]   so first is like you could either manually set some high truncation limit like we did.
[00:37:21.000 --> 00:37:24.000]   Um, the second is that, um,
[00:37:24.000 --> 00:37:26.000]   you can just go ahead and set, um,
[00:37:26.000 --> 00:37:29.000]   padding to be true and then basically,
[00:37:29.000 --> 00:37:32.000]   like the padding is basically, uh,
[00:37:32.000 --> 00:37:37.000]   added, uh, based off of kind of like the longest,
[00:37:37.000 --> 00:37:39.000]   um, like longest sequence that you have.
[00:37:39.000 --> 00:37:41.000]   Yes. So the question is,
[00:37:41.000 --> 00:37:43.000]   I guess doing it for all of them,
[00:37:43.000 --> 00:37:45.000]   all the text lists evenly.
[00:37:45.000 --> 00:37:49.000]   Um, so again, it just like depends on like the size of like the dataset you're,
[00:37:49.000 --> 00:37:51.000]   you're like you're loading it, right?
[00:37:51.000 --> 00:37:54.000]   So if you're looking at particular batches at a time,
[00:37:54.000 --> 00:37:58.000]   you can just pad within that particular like batch versus like, yeah,
[00:37:58.000 --> 00:38:01.000]   you don't need to like load all the dataset into memory,
[00:38:01.000 --> 00:38:03.000]   pad the entire dataset like,
[00:38:03.000 --> 00:38:05.000]   or like in the same way.
[00:38:05.000 --> 00:38:07.000]   So it's fine to do it within just batches.
[00:38:07.000 --> 00:38:09.000]   Yeah, the question was,
[00:38:09.000 --> 00:38:12.000]   how does, uh, how are the input IDs like added?
[00:38:12.000 --> 00:38:15.000]   And, uh, yeah, the answer is yes.
[00:38:15.000 --> 00:38:16.000]   It's basically done automatically.
[00:38:16.000 --> 00:38:21.000]   Um, so we had to manually remove the text column here,
[00:38:21.000 --> 00:38:24.000]   and that kind of like this first line here.
[00:38:24.000 --> 00:38:28.000]   But, um, like if you recall like the outputs of tokenize,
[00:38:28.000 --> 00:38:31.000]   like at the tokenizer, it's basically just the input IDs and the,
[00:38:31.000 --> 00:38:33.000]   and the attention mask.
[00:38:33.000 --> 00:38:37.000]   So it just, it's smart enough to basically aggregate those together.
[00:38:37.000 --> 00:38:44.000]   Okay. The last thing we're gonna do is basically just put these.
[00:38:44.000 --> 00:38:48.000]   So we have this like dataset now, um, it looks great.
[00:38:48.000 --> 00:38:52.000]   We're just gonna import like a PyTorch data loader,
[00:38:52.000 --> 00:38:54.000]   typical normal data loader,
[00:38:54.000 --> 00:38:58.000]   and then go ahead and load each of these datasets that we just had.
[00:38:58.000 --> 00:39:01.000]   I mean specifying the batch size to be 16.
[00:39:01.000 --> 00:39:07.000]   Okay. So that's fine and, and great.
[00:39:07.000 --> 00:39:10.000]   Um, and so now for training the model,
[00:39:10.000 --> 00:39:16.000]   it's basically like exactly the same as what we would do in typical PyTorch.
[00:39:16.000 --> 00:39:19.000]   So again, it's like you still want to compute the loss,
[00:39:19.000 --> 00:39:22.000]   you can back propagate the loss and everything.
[00:39:22.000 --> 00:39:27.000]   Um, yeah. So it's, it's really up to your own design how you do,
[00:39:27.000 --> 00:39:29.000]   uh, how you do the training.
[00:39:29.000 --> 00:39:34.000]   Um, so here there's only like a few kind of asterisks I guess.
[00:39:34.000 --> 00:39:39.000]   One is that you can import specific kind of optimizer types
[00:39:39.000 --> 00:39:42.000]   from the transformers, uh, package.
[00:39:42.000 --> 00:39:44.000]   So you can do Adam with weight decay,
[00:39:44.000 --> 00:39:48.000]   uh, you can get a linear schedule for like the learning rate,
[00:39:48.000 --> 00:39:50.000]   which will kind of decrease the learning,
[00:39:50.000 --> 00:39:54.000]   during, uh, the learning rate over time for each training step.
[00:39:54.000 --> 00:39:56.000]   So again, it's basically up to your choice.
[00:39:56.000 --> 00:39:59.000]   But if you look at the structure of like this code, right,
[00:39:59.000 --> 00:40:01.000]   we load the model for classification,
[00:40:01.000 --> 00:40:03.000]   we set a number of epochs,
[00:40:03.000 --> 00:40:06.000]   and then however many training steps we actually want to do.
[00:40:06.000 --> 00:40:11.000]   We initialize our optimizer and get some learning rate schedule, right.
[00:40:11.000 --> 00:40:15.000]   And then from there, it's basically the same thing as what we would do,
[00:40:15.000 --> 00:40:18.000]   for a typical kind of like PyTorch model, right.
[00:40:18.000 --> 00:40:20.000]   We set the model to train mode,
[00:40:20.000 --> 00:40:25.000]   we go ahead and pass in all of these batches from like the,
[00:40:25.000 --> 00:40:28.000]   the data loader and then back propagate,
[00:40:28.000 --> 00:40:31.000]   step the optimizer and everything like that.
[00:40:31.000 --> 00:40:33.000]   So it's, uh, pretty,
[00:40:33.000 --> 00:40:38.000]   pretty similar from what we're kind of like used to seeing essentially.
[00:40:38.000 --> 00:40:47.000]   Awesome. So that'll go do its thing at some point.
[00:40:47.000 --> 00:40:49.000]   Um, okay. And so, uh,
[00:40:49.000 --> 00:40:53.000]   so that's one potential option is if you really like PyTorch,
[00:40:53.000 --> 00:40:56.000]   you can just go ahead and do that and it's really nice and easy.
[00:40:56.000 --> 00:40:59.000]   Um, the second thing is, uh,
[00:40:59.000 --> 00:41:05.000]   that HuggingFace actually has some sort of like a trainer class that you're able to
[00:41:05.000 --> 00:41:08.000]   use that can handle most of, most of these things.
[00:41:08.000 --> 00:41:12.000]   Um, so again, if we do that kind of like the same thing here,
[00:41:12.000 --> 00:41:15.000]   this will actually run once our model is done training.
[00:41:15.000 --> 00:41:18.000]   Um, like we can create the,
[00:41:18.000 --> 00:41:21.000]   our, you know, our dataset in the same way as before.
[00:41:21.000 --> 00:41:23.000]   Now, what we can,
[00:41:23.000 --> 00:41:28.000]   what we need to use is like this import of like a training arguments class,
[00:41:28.000 --> 00:41:32.000]   this is going to be basically a dictionary of all the things that we want to
[00:41:32.000 --> 00:41:35.000]   use when we're going to actually train our model.
[00:41:35.000 --> 00:41:39.000]   And then this kind of like additional trainer class,
[00:41:39.000 --> 00:41:45.000]   which will handle the training kind of like magically for us and kind of wrap around in that way.
[00:41:45.000 --> 00:41:49.000]   Okay. So if you can, okay,
[00:41:49.000 --> 00:41:52.000]   I think we're missing a directory, but, um,
[00:41:52.000 --> 00:41:55.000]   I think, yeah, pretty straightforward for how you want to train.
[00:41:55.000 --> 00:41:58.000]   Yeah. Um, so for,
[00:41:58.000 --> 00:42:00.000]   for here at least, um, again,
[00:42:00.000 --> 00:42:02.000]   there are kind of the two key arguments.
[00:42:02.000 --> 00:42:04.000]   The first is training arguments.
[00:42:04.000 --> 00:42:09.000]   So this will specify, have a number of specifications that you can actually pass through to it.
[00:42:09.000 --> 00:42:13.000]   It's where you want to log things for each kind of like device.
[00:42:13.000 --> 00:42:16.000]   In this case, like we're just using one GPU,
[00:42:16.000 --> 00:42:19.000]   but potentially if you're using multiple GPUs,
[00:42:19.000 --> 00:42:21.000]   what the batch size is during training,
[00:42:21.000 --> 00:42:24.000]   what the batch size is during evaluation time.
[00:42:24.000 --> 00:42:27.000]   How long you want to train it for.
[00:42:27.000 --> 00:42:29.000]   How you want to evaluate it.
[00:42:29.000 --> 00:42:33.000]   So this is kind of like evaluating on an epoch level.
[00:42:33.000 --> 00:42:36.000]   What the learning rate is and so on, so on.
[00:42:36.000 --> 00:42:39.000]   So again, if you want to check the documentation,
[00:42:39.000 --> 00:42:41.000]   you can see that here.
[00:42:41.000 --> 00:42:44.000]   There's a bunch of different arguments that you can give.
[00:42:44.000 --> 00:42:48.000]   There's like warm-up steps, warm-up ratio, like weight decay.
[00:42:48.000 --> 00:42:50.000]   There's like so many things.
[00:42:50.000 --> 00:42:53.000]   So again, it's basically like a dictionary.
[00:42:53.000 --> 00:42:57.000]   Feel free to kind of like look at these different arguments you can pass in.
[00:42:57.000 --> 00:42:59.000]   But there's a couple of key ones here.
[00:42:59.000 --> 00:43:04.000]   And this is basically, this basically mimics the same arguments that we used before
[00:43:04.000 --> 00:43:10.000]   in our like explicit PyTorch method here for HuggingFace.
[00:43:10.000 --> 00:43:15.000]   Okay, similarly, what we do is we can just pass this into the trainer
[00:43:15.000 --> 00:43:18.000]   and that will take care of basically everything for us.
[00:43:18.000 --> 00:43:21.000]   So that whole training loop that we did before
[00:43:21.000 --> 00:43:24.000]   is kind of condensed into this one class function
[00:43:24.000 --> 00:43:26.000]   for actually just doing the training.
[00:43:26.000 --> 00:43:31.000]   So we pass the model, the arguments, the trained dataset, eval dataset,
[00:43:31.000 --> 00:43:33.000]   what tokenizer we want to use,
[00:43:33.000 --> 00:43:37.000]   and then some function for computing metrics.
[00:43:37.000 --> 00:43:41.000]   So for here, we pass in this function, eval,
[00:43:41.000 --> 00:43:44.000]   and it takes eval predictions as input.
[00:43:44.000 --> 00:43:48.000]   Basically what this does is these predictions are given from the trainer,
[00:43:48.000 --> 00:43:50.000]   we pass into this function,
[00:43:50.000 --> 00:43:53.000]   and we just can split it into the actual legit
[00:43:53.000 --> 00:43:55.000]   and the labels that are predicted.
[00:43:55.000 --> 00:43:57.000]   Sorry, the ground truth labels that we have.
[00:43:57.000 --> 00:44:01.000]   And then from here, we can just calculate any sort of additional metrics we want,
[00:44:01.000 --> 00:44:07.000]   like accuracy, F1 score, recall, or whatever you want.
[00:44:07.000 --> 00:44:14.000]   Okay, so this is like an alternative way of formulating that training loop.
[00:44:14.000 --> 00:44:20.000]   Okay, the last thing here as well is that we can have some sort of callback as well
[00:44:20.000 --> 00:44:23.000]   if you want to do things during the training process.
[00:44:23.000 --> 00:44:26.000]   So after every epoch or something like that,
[00:44:26.000 --> 00:44:30.000]   you want to evaluate your model on the validation set or something like that,
[00:44:30.000 --> 00:44:35.000]   or just go ahead and like dump some sort of output.
[00:44:35.000 --> 00:44:37.000]   That's what you can use a callback for.
[00:44:37.000 --> 00:44:41.000]   And so here, this is just a logging callback.
[00:44:41.000 --> 00:44:48.000]   It's just going to log kind of like the information about the process itself.
[00:44:48.000 --> 00:44:50.000]   Again, not super important,
[00:44:50.000 --> 00:44:56.000]   but in case that you're looking to try and do any sort of callback during training,
[00:44:56.000 --> 00:44:58.000]   it's an easy way to add it in.
[00:44:58.000 --> 00:45:01.000]   The second is if you want to do early stopping as well.
[00:45:01.000 --> 00:45:07.000]   So early stopping will basically stop your model early, as it sounds.
[00:45:07.000 --> 00:45:11.000]   If it's not learning anything and a bunch of epochs are going by,
[00:45:11.000 --> 00:45:14.000]   and so you can set that so that you don't waste kind of like compute time,
[00:45:14.000 --> 00:45:16.000]   or you can see the results more easily.
[00:45:16.000 --> 00:45:21.000]   The question is, is there a good choice for the patient's value?
[00:45:21.000 --> 00:45:23.000]   It just depends on the model architecture.
[00:45:23.000 --> 00:45:24.000]   Not really, I guess.
[00:45:24.000 --> 00:45:31.000]   It's pretty up to your discretion.
[00:45:31.000 --> 00:45:33.000]   Okay, awesome.
[00:45:33.000 --> 00:45:37.000]   And so the last thing that we do is just do a call, trainer.train.
[00:45:37.000 --> 00:45:42.000]   So if you recall, this is just the instantiation of this trainer class,
