
[00:00:00.000 --> 00:00:05.240]   I write the script in December, January, Josh Arnett, Marlee Shelton, come down, fly Frank in,
[00:30:19.320 --> 00:30:25.400]   That was, that was you doing it by hand. Yeah. So you watch that and this is a throwaway title
[00:30:25.400 --> 00:30:29.700]   sequence, but I really want to, this thing to win awards. Okay. Hold on a second. How long did that
[00:30:29.700 --> 00:30:35.260]   take to draw that? That's a lot. That's a lot of work. I drew it. I drew it over. Well, I was a daily
[00:30:35.260 --> 00:30:39.260]   cartoonist by then, so I was pretty fast, but still it's, that's why it's only penciled. It's not inked,
[00:30:39.260 --> 00:30:43.260]   but it looks great. I mean, it's the cameras going around and all kinds of crazy stuff,
[00:30:43.260 --> 00:30:48.700]   but it's just all fake by paper. I took me all night to shoot it. Cause I remember I walked into
[00:30:48.700 --> 00:30:54.140]   the film school the next day, you know, like all sleeping. And I told one of the fellow students,
[00:30:54.140 --> 00:30:57.240]   you know, wow, I was up all night doing this animated title sequence. And he went,
[00:30:57.240 --> 00:31:00.620]   why are you putting so much work in this? They're not going to, they're not going to grade you any
[00:31:00.620 --> 00:31:05.900]   differently. And I was like, grades, get an A walking in here. I'm trying to get out of this town.
[00:31:06.120 --> 00:31:11.160]   I'm not doing this for fucking grades. I got, I want people to see what I can do now.
[00:31:11.160 --> 00:31:17.820]   And I want to see what I can do now with this. So a lot of the story came from the limitations or
[00:31:17.820 --> 00:31:22.200]   actually the freedoms of that camera. I couldn't have done that story on video. So when I saw,
[00:31:22.200 --> 00:31:28.240]   wow, okay, I can do reverse photography. I can do stop motion. She has to have special powers
[00:31:28.240 --> 00:31:33.520]   because if she has special powers and I can utilize, I can really milk this camera for all it can get.
[00:31:33.520 --> 00:31:38.920]   There's one of my shots. I love the most is where she's standing there and the, and the chair,
[00:31:38.920 --> 00:31:44.320]   she makes a chair come all the way up to her and it goes all the way up to her face. Now,
[00:31:44.320 --> 00:31:47.980]   if I did it normally, where would I even put the strings for that?
[00:31:47.980 --> 00:31:50.120]   Right. To pull the chair. Yeah.
[00:31:50.120 --> 00:31:54.480]   So I started here with the camera upside down. I have the strings in the back. You're not going
[00:31:54.480 --> 00:31:59.320]   to be looking at the back. And as it goes back, you pull it back. And then when you reverse it,
[00:31:59.320 --> 00:32:04.120]   it goes, and it looks so good. You can't spot the string. If you look close, you see the strings
[00:32:04.120 --> 00:32:08.660]   are in the back, but your eyes don't look. So I did stuff like that. And then just her like getting
[00:32:08.660 --> 00:32:13.520]   the hose. And then I just do stop motion for the hose turning on, you know, the faucet. That's why
[00:32:13.520 --> 00:32:19.020]   I gave her special powers so that, and it made the story better. So sometimes the limitations you have
[00:32:19.020 --> 00:32:24.060]   with equipment or location, you can use it to make, you know, take chicken shit, turn it in chicken
[00:32:24.060 --> 00:32:30.080]   salad. Take this camera that everyone was like, what's this? And I go, I can do so much with this.
[00:32:30.080 --> 00:32:34.560]   But I tell you today, I look at that camera. I can't believe I ever made a movie with that thing.
[00:32:34.560 --> 00:32:40.280]   It's so ridiculously primitive. I was like, how did I even think I could get anything done with this?
[00:32:40.280 --> 00:32:45.480]   And it even exposed and mariachi the same way you have to think about it. I shot mariachi on film
[00:32:45.480 --> 00:32:51.160]   and with a bar 16 millimeter camera, I didn't know how to use it. I called up a place in Dallas that
[00:32:51.160 --> 00:32:55.760]   rented that kind of equipment. And I said, I have an airy 16 S here.
[00:32:55.760 --> 00:33:04.020]   Two motor looking things. One has a 24 on one has a bunch of numbers. Oh, that's a variable speed
[00:33:04.020 --> 00:33:08.100]   motor. That means you can do different speed. I can shoot slow motion with this. Oh, wow. Do you
[00:33:08.100 --> 00:33:11.960]   have a torque motor? I don't know. What is that? Is there something on the side of the magazine?
[00:33:11.960 --> 00:33:17.260]   Like it does. Yeah. Now you can just look up on YouTube and it shows you how to do it. I was doing
[00:33:17.260 --> 00:33:20.520]   it by phone that way. And then I went and shot the movie right then. Yeah.
[00:33:20.600 --> 00:33:27.660]   And I didn't know if any of it was exposing or if the film camera was working until I finished the
[00:33:27.660 --> 00:33:32.360]   whole movie. So imagine you have to go down to Mexico, shoot for two weeks, come back, send
[00:33:32.360 --> 00:33:39.080]   it off to a lab. You want to talk about being nervous, just hoping something exposed. And
[00:33:39.080 --> 00:33:43.520]   when I saw it come back and the tape, you know, they transferred it to a tape so I could edit
[00:33:43.520 --> 00:33:48.880]   it deck to deck again. I was so relieved. Some things didn't come out, but I can cut around
[00:33:48.880 --> 00:33:51.840]   that. It's like, Oh yeah. Cause I'm doing everything. Like right here, you're doing
[00:33:51.840 --> 00:33:55.960]   everything. Imagine if you forgot to stop down and it's open all the way and one shot is blown out.
[00:33:55.960 --> 00:33:58.960]   You know, I'd have stuff like that because I'm moving fast and I'm doing it.
[00:33:58.960 --> 00:34:04.260]   Wait a minute. You shot, I'm going to actually, the whole thing without knowing if some of the
[00:34:04.260 --> 00:34:10.020]   footage is damaged wrong without any of it. That's why I only did one take. So my idea was this.
[00:34:10.940 --> 00:34:13.940]   How gangster is that? Wow. It was a test film.
[00:34:13.940 --> 00:34:18.660]   Right. Right. I thought it was, I thought it was going to be a test film. Yeah. It's the only movie
[00:34:18.660 --> 00:34:25.560]   in history ever made where the filmmaker did not think anyone would see it and expect it and even
[00:34:25.560 --> 00:34:29.620]   set it up that way. I mean, why would I make an action movie for the Spanish market called basically
[00:34:29.620 --> 00:34:34.400]   the guitar player promises? No action. No one's going to watch it. But I thought if someone actually
[00:34:34.400 --> 00:34:37.800]   picks it up and has the balls to watch this thing, they're going to be surprised. I put a lot of
[00:34:37.800 --> 00:34:41.360]   action. It was just to learn from, I just needed to make it for as little as possible,
[00:34:41.360 --> 00:34:46.400]   see how much I could sell it for. If I could double my money. Great. I can make another one and just
[00:34:46.400 --> 00:34:51.600]   get more practice. It was just, I was so intrigued by this idea because you've heard advice about
[00:34:51.600 --> 00:34:57.080]   screenwriting. I heard advice back then that I thought was ridiculous. It said, it's going to take
[00:34:57.080 --> 00:35:02.060]   you a long time to be a good screenwriter. So write three scripts and throw them away. The fourth script
[00:35:02.060 --> 00:35:06.460]   will be the good one. I was like, it's so hard to write a script. Who's going to write three full
[00:35:06.460 --> 00:35:10.840]   scripts? No one, they throw them away. Wouldn't it be better if you write three scripts and then
[00:35:10.840 --> 00:35:15.480]   shoot each one and be the cameraman, be the sound guy, be everything. Cause that way you're learning,
[00:35:15.480 --> 00:35:19.880]   not just writing, you're learning how to make a movie. So that was my idea. I'm going to make three
[00:35:19.880 --> 00:35:25.180]   of these, hide it on Spanish video, but make money back. That's like my own film school paying me,
[00:35:25.180 --> 00:35:32.580]   paying me to learn. So the first one I thought, let me just shoot it. One take each, because my friend
[00:35:32.580 --> 00:35:37.560]   Carlos lives in Mexico, if we shoot two takes, most of the cost is to film. I've just doubled
[00:35:37.560 --> 00:35:42.060]   my budget. So let me just shoot one take. Some of it's going to not come out, but I'm not going
[00:35:42.060 --> 00:35:46.260]   to know what, I'm not going to shoot a safety one. That doubles my, let me, let me see. Some things
[00:35:46.260 --> 00:35:52.040]   might come out. I expected like 70% of it to maybe be okay, but 30% I might have to come reshoot,
[00:35:52.040 --> 00:35:55.740]   which is fine. I just drive back there. And then I just reshoot just those shots. Right?
[00:35:56.540 --> 00:36:02.120]   So I just went, let's shoot. We stop, we come back. Then I send it off to develop
[00:36:02.120 --> 00:36:07.920]   because we're shooting two weeks consecutively to get film shipped back and forth from Mexico to see
[00:36:07.920 --> 00:36:13.400]   if it came out. You just couldn't do it. I just had to, you know, double down on it, do it one take,
[00:36:13.400 --> 00:36:16.880]   everything. I remember one time I was still an actor, man, I told you to run through that shot.
[00:36:17.520 --> 00:36:21.540]   He goes, oh, let me do it. No, one take, dude. Just think about next time. Do what I say.
[00:36:21.540 --> 00:36:25.360]   I didn't think anyone was going to see it. So you, and because you don't think anyone's going to see
[00:36:25.360 --> 00:36:29.100]   it, you end up doing something remarkable, which is, well, I'm just going to make something for myself.
[00:36:29.100 --> 00:36:33.440]   Because if I was making a movie that was going to go to Sundance, I wouldn't have made that movie.
[00:36:33.440 --> 00:36:37.500]   I would have thought, okay, I got to get serious. But because I made this movie that was just
[00:36:37.500 --> 00:36:44.860]   entertaining myself like bedhead, it entertained audiences. So that naivete is really important when
[00:36:44.860 --> 00:36:48.700]   you're starting out or at any point in your life, be naive about what things are going to,
[00:36:48.700 --> 00:36:52.720]   and just do something for yourself. That taught me a very valuable lesson because I didn't want
[00:36:52.720 --> 00:36:58.080]   anybody to see it. I just thought one take, one take. When I got back home, a bunch of stuff didn't
[00:36:58.080 --> 00:37:02.860]   come out, but I'm like, I'm not going back to Mexico. I'll figure out a way to edit around it
[00:37:02.860 --> 00:37:08.240]   and make the movie shorter. And that's just going to be the movie. And then that's the one that won
[00:37:08.240 --> 00:37:12.540]   Sundance. That was your first feature film. That's the one you made for $7,000. You mentioned
[00:37:12.540 --> 00:37:19.200]   your Frank Carlos as the star of the movie, everything one take. And I highly recommend
[00:37:19.200 --> 00:37:23.920]   people go back and watch that movie. It's just an incredible movie. It's fun. And it's an action
[00:37:23.920 --> 00:37:29.040]   film, moves really fast. The story is really interesting. So the script is really interesting.
[00:37:29.040 --> 00:37:34.140]   All the actors, you could tell, they all kind of stepped up and played their own roles.
[00:37:34.140 --> 00:37:34.820]   They weren't actors.
[00:37:35.180 --> 00:37:40.920]   That's right. They were just friends of ours, which is why, and because, and this was the magic
[00:37:40.920 --> 00:37:46.040]   of not having a crew. They didn't feel like they were making a movie. It's like this, you know,
[00:37:46.040 --> 00:37:54.840]   we're just here. Me with my one camera. In fact, the gal, Carl said, this one girl, I forgot she's in
[00:37:54.840 --> 00:37:59.500]   town. Maybe she would work. Cause we tried to get a soap star and she backed out. So we got this gal
[00:37:59.500 --> 00:38:02.120]   over and she goes, but I don't know how to act. And I said, here, let's watch. I want to show you
[00:38:02.120 --> 00:38:07.820]   some on Mexican TV. A telenovela was on and you see someone, you know, all over, over acting. I said,
[00:38:07.820 --> 00:38:13.120]   that's acting. I don't want you to do that. I want you to just talk like you're talking about it.
[00:38:13.120 --> 00:38:17.400]   Wait, that the love interest, the woman in that, that's what you're talking about. That's what
[00:38:17.400 --> 00:38:21.920]   you're talking about. She's amazing. She's amazing. But cause I got a video of her. I said, I want you
[00:38:21.920 --> 00:38:26.780]   to just do this one line. Pretend like you're just talking to your boyfriend. Yeah. And I showed her,
[00:38:26.780 --> 00:38:30.940]   I showed her the video. That was cool. Cause I couldn't show her the film because we'd have to
[00:38:30.940 --> 00:38:35.340]   develop it. But I showed her a video test of herself doing it. And she saw herself doing it.
[00:38:35.340 --> 00:38:39.300]   She suddenly had the confidence. We went through her closet, this red dress you can wear in that.
[00:38:39.300 --> 00:38:42.480]   And everyone just brought their own clothes. She really had like a sexuality,
[00:38:42.860 --> 00:38:46.500]   a tension, like a romantic tension that was real. That was, it was an issue. It was a,
[00:38:46.500 --> 00:38:50.760]   it was, it was in part a great love story that, I mean, it's as ridiculous as it is to say.
[00:38:50.760 --> 00:38:56.780]   And in part like a dramatic love story. Yeah. The idea was that, you know, I thought a guitar
[00:38:56.780 --> 00:39:01.340]   player, you know, originally what I wanted to do was like road warrior. I said, I want a guy with a
[00:39:01.340 --> 00:39:05.460]   guitar case full of weapons going from town to town, like road warrior, but that don't have enough
[00:39:05.460 --> 00:39:10.600]   money for the first one to do that. That'll be the second movie I do. How about we do a Genesis story,
[00:39:10.600 --> 00:39:16.780]   how he became that guy. So let's do Mad Max basically how he becomes that guy. So maybe he is a guitar
[00:39:16.780 --> 00:39:22.380]   player so that you start writing it out. I'm going to show you my writing method. I write on, on index
[00:39:22.380 --> 00:39:29.180]   cards and I carry one of these, a little packet of index cards. I keep one always in my bag and I smile
[00:39:29.180 --> 00:39:33.900]   when I run across it. Cause I go, I've made a million dollars with one of these before. You know,
[00:39:33.900 --> 00:39:40.440]   it's like, this is the key to your next success cards. Cause you know, when you go see a therapist,
[00:39:40.440 --> 00:39:45.120]   you're not going to them for the answers. You're going to them for the questions. You got the answers
[00:39:45.120 --> 00:39:48.740]   inside, which you don't have are the questions. A lot of times we ask ourselves very unempowering
[00:39:48.740 --> 00:39:52.460]   questions. Like, why am I such a loser? You know, I can think of 10 answers right now,
[00:39:52.460 --> 00:39:57.440]   but if you could, but if you go, what three things can I do today that'll not just change my life,
[00:39:57.440 --> 00:40:01.860]   but everyone around me take steps to that, take out your cards and start writing them down.
[00:40:01.860 --> 00:40:08.040]   You won't come up with three. You'll come up with 15. I'm like, wow. Cause you're asking yourself
[00:40:08.040 --> 00:40:13.440]   and you'll see him. So when I was doing that movie, I thought, okay, he's a guitar player for real.
[00:40:13.440 --> 00:40:20.020]   And he gets mixed up with the guy with a case. So how about he walks into a bar. So right down there,
[00:40:20.020 --> 00:40:26.440]   he walks into a bar, bar, trying to get work. Bartender looks at him. We don't hire Maria.
[00:40:26.440 --> 00:40:31.440]   I should just get the hell out of here. So he leaves after that whole scene, explaining who
[00:40:31.440 --> 00:40:35.640]   he is and what his story is. Then the shooter comes in with a guitar case full of weapons.
[00:40:35.640 --> 00:40:40.520]   He's also dressed in black and he shoots the place up. Now that was a short film. That's
[00:40:40.520 --> 00:40:44.760]   how you'd start a short film, but this is a feature movie. So shit, I got to figure out how
[00:40:44.760 --> 00:40:51.140]   to tell a feature. I'm going to need a few more cards before that. So I'm going to need, well,
[00:40:51.140 --> 00:40:56.260]   who's this bad guy? How about he's in jail? I'd read a story. It's a crazy story about a guy
[00:40:56.260 --> 00:41:00.080]   who was in jail in Mexico and he was running his drug business from the jail as protection.
[00:41:00.080 --> 00:41:05.680]   He can walk out anytime, but it was to have the cops be his enforcers basically. So introduce
[00:41:05.680 --> 00:41:11.200]   that guy. He's in jail making phone calls and someone puts a hit on him. So we have action
[00:41:11.200 --> 00:41:16.980]   right away. There's a hit on him. He kills those guys cause it's his operation. He's not
[00:41:16.980 --> 00:41:22.880]   in jail. All the cops are working for him. And he tells that guy on the phone, the main bad
[00:41:22.880 --> 00:41:26.060]   guy, I'm going to come to town. I'm going to kill all your guys and I'm going to come
[00:41:26.060 --> 00:41:31.820]   kill you. So then he gets in his truck and you see them bring him a guitar case full of
[00:41:31.820 --> 00:41:39.840]   weapons. He passes the mariachi on the way to town. And now it's his story. The baton gets
[00:41:39.840 --> 00:41:44.700]   turned to mariachi. Mariachi is doing a voiceover. It's easy to shoot. We can do the voice later.
[00:41:44.700 --> 00:41:50.280]   We don't have to sing sound. There was even a scene when he walks into town where we saw these
[00:41:50.280 --> 00:41:54.220]   coconuts, a guy cutting coconuts and we go, Oh, let's go film over there. So we filmed the guy
[00:41:54.220 --> 00:41:58.780]   giving him a coconut with a straw in it. And he walks out and went, shit, man, you forgot to pay
[00:41:58.780 --> 00:42:03.620]   the guy. Well, let's shoot that. No, there's one take. I'll just put in the voiceover that they give
[00:42:03.620 --> 00:42:07.820]   away free coconuts in this town. And for years, people in other countries would go, they really
[00:42:07.820 --> 00:42:11.640]   give away free coconuts? No, it's because we forgot to show him paying, you know, little happy
[00:42:11.640 --> 00:42:15.580]   accidents. So now look, you're already building a movie. So it's like, now he goes in the bar.
[00:42:15.580 --> 00:42:20.240]   Now he's mixed up. And the bad guy says, find the guy with a guitar case full of weapons.
[00:42:20.240 --> 00:42:26.620]   Then he goes and meets the girl. So you just start your movie. Visually, you can start seeing your
[00:42:26.620 --> 00:42:31.960]   movie. And I've used this for business things. I've used this for ideas, for manifesting stuff.
[00:42:31.960 --> 00:42:34.880]   It's brilliant. Are you doing this alone? Usually, are you brainstorming?
[00:42:34.880 --> 00:42:38.560]   It's coming and it comes so fast. It's like free association. Maybe I have the ending. Oh,
[00:42:38.780 --> 00:42:43.920]   I know I want his hand shot. He's going to get his hand shot because he's a musician and
[00:42:43.920 --> 00:42:49.840]   those ballads are always really tragic. So the girl has to die. The girl has to die because
[00:42:49.840 --> 00:42:56.320]   if it's going to be a tragic song for a songbook, each movie should be like a tragedy. That's
[00:42:56.320 --> 00:43:00.400]   going to be over here. You know, now you got the ending and then your brain starts filling
[00:43:00.400 --> 00:43:05.460]   in the rest because you're asking yourself these prompt questions that you already have answers
[00:43:05.460 --> 00:43:10.020]   for from a past life, from a vision you had that you don't even know are there. This prompts
[00:43:10.020 --> 00:43:13.900]   it. It's kind of a puzzle that you're figuring out. What happens if you get stuck? Like this
[00:43:13.900 --> 00:43:16.920]   doesn't make sense. Like some aspect of the structure doesn't make sense.
[00:43:16.920 --> 00:43:21.100]   Just leave it all there. You won't. Yeah. You just start, you just start writing in the ones
[00:43:21.100 --> 00:43:27.320]   you do know. Yeah. Like, okay. I know, I know at some point she's going to betray him or he's
[00:43:27.320 --> 00:43:33.320]   going to think she does. She betrays him. Okay. That's in the middle somewhere. Uh, the other
[00:43:33.320 --> 00:43:36.880]   ones will come. Yeah. Those are all like crossroads for the story. Doesn't that like,
[00:43:36.880 --> 00:43:40.060]   how do you know she has to die? Can I, can you change your mind about that?
[00:43:40.060 --> 00:43:46.000]   I can. Yeah. But for now I felt like if I really want the stories telling me now what it is,
[00:43:46.000 --> 00:43:49.260]   I didn't know I was going to make a Genesis story. I wanted to do the road warrior guy,
[00:43:49.260 --> 00:43:55.240]   but the road warrior, he lost his family. So really to propel him to become a guy who has a guitar
[00:43:55.240 --> 00:44:02.060]   case full of weapons, he has to lose everything. So he needs a ghost. So this is a Genesis story of a
[00:44:02.060 --> 00:44:04.820]   character. Well, look, Bruce Wayne lost his parents. You could say, well, does the parents
[00:44:04.820 --> 00:44:09.040]   have to die? Well, no, but it's not going to propel him. Like it's not going to, it's not
[00:44:09.040 --> 00:44:14.040]   going to drive him like that thing. So it just kept, it's just coming to me. So this is my other trick.
[00:44:14.040 --> 00:44:19.080]   And this is the main thing you got to learn about that. If you take any away, this isn't me doing it.
[00:44:19.080 --> 00:44:25.160]   I totally believe that because when you start doing this, you go, where are these answers coming from?
[00:44:25.160 --> 00:44:29.120]   I'm asking the right question, but why, how come the answers just keep coming like this?
[00:44:30.120 --> 00:44:35.340]   I believe, cause I do so many different jobs. I've learned this over the years. When I was in
[00:44:35.340 --> 00:44:42.720]   2002, I was like, how is it that I'm the production designer, the composer, which I don't even know
[00:44:42.720 --> 00:44:47.700]   how to read or write music. And I'm writing orchestral score and I'm doing the editing and I'm doing the
[00:44:47.700 --> 00:44:52.280]   cinematography. I haven't been trained for any of these. I never went to school for these specifically.
[00:44:53.280 --> 00:45:00.240]   Must be something about creativity. So I went on Amazon. It's 2002. I look up creative books,
[00:45:00.240 --> 00:45:05.580]   anything that has creativity in the title. I just ordered it. And I've got a bunch of books on
[00:45:05.580 --> 00:45:11.060]   creativity and I was reading them through. One of them was like really speaking to me. Yeah, that's,
[00:45:11.060 --> 00:45:16.080]   that's it. That's the process. And then it says gels and mediums. And I'm like, oh, this is a book
[00:45:16.080 --> 00:45:22.520]   specifically about painting, but it applies to music, editing, cinematography, writing.
[00:45:22.520 --> 00:45:29.640]   It's all the same. So that's when I realized that creativity is 90% of any of those jobs,
[00:45:29.640 --> 00:45:36.940]   the technical part of setting up the cameras of writing a script in format or reading or writing
[00:45:36.940 --> 00:45:41.060]   music. That's 10% of that. How many musicians, you know, don't read or write music and they're
[00:45:41.060 --> 00:45:47.740]   fantastic because 90% what they do is creative. Now I believe that that same person, even if they only
[00:45:47.740 --> 00:45:54.720]   do music could literally jump from job to job creatively and do a superior job than most technicians.
[00:45:55.520 --> 00:46:00.220]   And there's also something to say there about the learning, the technical aspects of an art,
[00:46:00.220 --> 00:46:08.960]   you, you collide with the, uh, uh, with the experts. What, what happens is I've experienced this a lot
[00:46:08.960 --> 00:46:13.260]   with like, with, with using cameras and so on. I don't know shit about cameras and that you roll in
[00:46:13.260 --> 00:46:18.440]   and then there's all the experts almost talking down to you and telling you how things are supposed
[00:46:18.440 --> 00:46:23.960]   to be. Everything is wrong. I talked to somebody about like soundproofing a room and they said,
[00:46:23.960 --> 00:46:28.700]   they gave me prices. They're insane. And like the amount of effort is insane. And this,
[00:46:28.700 --> 00:46:34.060]   the, the, the, the dynamics of this room are all wrong. I'm like, why can't I just fucking hang up
[00:46:34.060 --> 00:46:38.820]   some curtains? Like what? It seems like that kills most of the echo. Like, I don't, I don't understand.
[00:46:38.820 --> 00:46:42.780]   And they're like, no, this is all wrong. There's corn, the corners are going to have some,
[00:46:42.780 --> 00:46:47.420]   and I'm like, fuck it. I'm just going to try and I see what it sounds like a and B. Okay. Here's
[00:46:47.420 --> 00:46:52.040]   audio with curtains. Here's the audio without curtains. It seems like this is fine as a move on to the
[00:46:52.040 --> 00:46:59.660]   next thing. I think that when you say creativity, some of that is being a rebel, like not listening
[00:46:59.660 --> 00:47:03.620]   to the experts. Yeah. Well, you're going on your creativity, which is what is that? That's like an,
[00:47:03.620 --> 00:47:08.040]   do you consider yourself a creative person? I think you play guitar. Yeah. Guitar, piano. Yeah.
[00:47:08.040 --> 00:47:10.900]   You play piano. Okay. Do you could, but would you call yourself a creative person?
[00:47:12.400 --> 00:47:17.920]   Yeah, I think so. Good. I think that's a positive. I would just suggest to anybody is just own it,
[00:47:17.920 --> 00:47:23.740]   own it. And just say, I like when I do so many different jobs, it sounds crazy when they would
[00:47:23.740 --> 00:47:26.960]   introduce me, Hey, Robert, he does this blah, blah, blah, blah, blah, blah, blah. And I was like,
[00:47:26.960 --> 00:47:30.420]   I get tired of just hearing that list. But when I think about it, there's really only one thing I do
[00:47:30.420 --> 00:47:34.480]   and I live a creative life. And when you live a creative life, I mean, anything that has to do with
[00:47:34.480 --> 00:47:38.860]   creativity, whether it's filming or piano or guitar or sculpting, or you can just, you can do it.
[00:47:39.080 --> 00:47:43.060]   You can take it on and do it because it teaches you more about your main job. I become a better
[00:47:43.060 --> 00:47:47.640]   director by doing all those jobs. Cause when somebody just does one job, they barely know
[00:47:47.640 --> 00:47:52.820]   that job. You have to do more to learn about creativity. And this is the main thing I learned
[00:47:52.820 --> 00:47:58.140]   was that I'm writing music, you know, for an orchestra. I'm like, how did I, I don't even
[00:47:58.140 --> 00:48:02.720]   know what I'm doing. Why is that coming out? I don't feel like I'm doing it. I feel like I picked
[00:48:02.720 --> 00:48:08.040]   up the pen. I feel like I had the idea to do the cards, but then when everything just starts
[00:48:08.040 --> 00:48:13.920]   coming out so quickly, like that's how fast I wrote that movie. I go, I really feel like
[00:48:13.920 --> 00:48:18.740]   something else has taken over. So this is what my belief is. And cause I hear it in different
[00:48:18.740 --> 00:48:21.440]   realms. Like you asked Keith Richards, how do you come up with these riffs? He goes, I don't,
[00:48:21.440 --> 00:48:25.680]   I don't. They're floating around the sky and I pull them out first. You know, yes. I asked,
[00:48:25.680 --> 00:48:29.220]   you know, Jimmy Vaughn, how do you play guitar? Those solos. He goes, it's like a radio. You know,
[00:48:29.220 --> 00:48:33.120]   once you get a tune just right, you can't even believe what's coming through. So I believe,
[00:48:33.420 --> 00:48:37.000]   I call it the creative spirit. There's a spirit assigned to all of us. It's creative
[00:48:37.000 --> 00:48:43.340]   that doesn't have hands. It needs you to pick up the pen, pull out the cards. And then when you start
[00:48:43.340 --> 00:48:48.660]   getting in the flow and you're like, Whoa, it's writing. It's that's that. And if you can have
[00:48:48.660 --> 00:48:53.940]   that mindset, you take your ego out of it and go, all I need to do is to be a good conduit for this
[00:48:53.940 --> 00:48:58.700]   thing, be a good pipe. And it's going to come through. So you don't ever have to get hung up on
[00:48:58.700 --> 00:49:02.660]   that question you had. Well, well, what happens when you can't come up? It wasn't me to begin with.
[00:49:02.660 --> 00:49:09.880]   If it's not coming out, it's because I'm blocking it. And if I were to do this and I'm flowing and if
[00:49:09.880 --> 00:49:15.540]   I were to say, wow, I just wrote 10 cards. I don't know if I can write more. How did I do that? You just
[00:49:15.540 --> 00:49:20.140]   shut the pipe because your ego got in the way. You just clogged it because it gets pissed off that you
[00:49:20.140 --> 00:49:24.520]   think it's you. It's not you. It's like, dude, just open up. Let me through, pick up the fucking pen.
[00:49:24.520 --> 00:49:30.900]   And I learned this in, uh, when I was 19, when I had a daily cartoon strip, I had to draw a comic
[00:49:30.900 --> 00:49:37.400]   strip every day to get paid. And I would be like, I'd have to draw like one drawing, draw another
[00:49:37.400 --> 00:49:42.100]   drawing. Then it's like, okay, these kind of go together. It was a process, you know? And sometimes
[00:49:42.100 --> 00:49:47.260]   I just felt like, I wish I could just envision it, sit back. I'm going to try that method. I went home
[00:49:47.260 --> 00:49:52.060]   and I would sit back and just try to get in my sofa, try the sofa method. I'm just going to try a picture
[00:49:52.060 --> 00:49:55.300]   of the comic strip. And then as soon as I got one, I think it's funny. Then I'll just go draw that.
[00:49:55.300 --> 00:50:00.700]   Right. Doesn't be done in a half hour. Why, why, why it's three hours? I'd sit there and sit there and
[00:50:00.700 --> 00:50:04.760]   sit there. My deadline would be coming up. Got like 30 minutes. I'm like, oh shit. Got to go sit and draw
[00:50:04.760 --> 00:50:08.560]   it out. And it's like, oh, okay. I got this drawing. It's kind of, oh, this kind of goes with that. If I
[00:50:08.560 --> 00:50:14.120]   make another drawing, I have my strip. That's the only way to do it. If you don't get up, the creative
[00:50:14.120 --> 00:50:19.860]   spirit ain't going to come visit you if you're doing this. Yeah. It needs your hands and it's not going to
[00:50:19.860 --> 00:50:25.060]   reward you for sitting there, wait for it. You have to jump in and do it. And people, when they
[00:50:25.060 --> 00:50:30.980]   say, oh, well, I'm not ready. How pissed off is that spirit now? It's waiting for you to feel like
[00:50:30.980 --> 00:50:36.340]   you're ready. It's not you just start doing the action and it's going to come through and the ideas
[00:50:36.340 --> 00:50:39.540]   will come and the answers will come because it's not you. And if you can take your ego out of life,
[00:50:39.540 --> 00:50:45.880]   you'll be blessed with this never ending flow of ideas because don't take ownership for it and know
[00:50:45.880 --> 00:50:48.860]   that you're, if it's not coming out, it's because you're just clogging it because this thing's got
[00:50:48.860 --> 00:50:55.740]   endless ideas. And you give that same advice for making films, which is, you know, don't plan. If you
[00:50:55.740 --> 00:50:59.860]   want to be a filmmaker, don't plan like the movie, don't think about making the movie, just go in and
[00:50:59.860 --> 00:51:04.660]   start. Yeah. I would meet a lot of people who introduce themselves as aspiring. I'm an aspiring
[00:51:04.660 --> 00:51:08.640]   filmmaker and I wonder how, what would you tell an aspiring filmmaker? I'd say, stop aspiring.
[00:51:09.460 --> 00:51:14.060]   Because if you, if you call yourself that you are that, and you're always going to feel like
[00:51:14.060 --> 00:51:18.240]   you're not ready and you don't, you just jump in before you're ready. You don't feel like you're
[00:51:18.240 --> 00:51:22.120]   ready till I didn't feel like I was ready to do mariachi till I was probably in my last few days of
[00:51:22.120 --> 00:51:26.000]   filming. You became ready as you went. You didn't know all that stuff. I couldn't have figured all
[00:51:26.000 --> 00:51:31.320]   that out in advance. When my kids worked with me on a project that we did similar by the end,
[00:51:31.320 --> 00:51:35.580]   they realized they did an interview with my son who after just two weeks of doing one of those
[00:51:35.580 --> 00:51:40.840]   projects, you're a different person. He's suddenly waxing philosophical about the creative process and
[00:51:40.840 --> 00:51:44.860]   going, I never knew how my dad did mariachi until we did this project together. And I realized he
[00:51:44.860 --> 00:51:49.420]   didn't know either. He didn't know I was going to do it. He figured it out day by day. Every challenge
[00:51:49.420 --> 00:51:55.640]   that got thrown at him, he had to figure it out. And that's the biggest lesson. Most people never start.
[00:51:55.640 --> 00:51:59.640]   And that's the biggest thing. Don't wait till you're ready or they'll be on your tombstone.
[00:51:59.640 --> 00:52:03.860]   Here lies so-and-so. He was never ready. And you don't want to be that guy. Jump in. No,
[00:52:03.860 --> 00:52:09.060]   it's not you. You just got to be the hands. And that relieves a lot of pressure from you
[00:52:09.060 --> 00:52:13.120]   because then you don't have to ever have to do anything, really. You just have to be the hands.
[00:52:13.120 --> 00:52:18.640]   Can you talk through some of the hats, some of the many hats you wore with the El Mariachi? That's an
