
[00:00:00.000 --> 00:00:02.880]   - What is real?
[00:21:22.620 --> 00:21:26.220]   or a mathematical system, can refer to itself,
[00:21:26.220 --> 00:21:28.780]   and can, I forget what that's called,
[00:21:28.780 --> 00:21:30.520]   can reference back to itself.
[00:21:31.340 --> 00:21:35.660]   And build, in which he argued for a universality
[00:21:35.660 --> 00:21:38.140]   of possibility for our understanding,
[00:21:38.140 --> 00:21:40.020]   whatever is out there.
[00:21:40.020 --> 00:21:43.940]   But I admire that argument.
[00:21:43.940 --> 00:21:48.940]   But it seems to me we're doing okay so far,
[00:21:48.940 --> 00:21:52.500]   but we'll have to see.
[00:21:52.500 --> 00:21:53.820]   - Whether there is a limit or not.
[00:21:53.820 --> 00:21:55.900]   For now, we've got plenty to play with.
[00:21:55.900 --> 00:21:56.740]   - Yeah.
[00:21:56.740 --> 00:21:59.900]   (audience applauding)
[00:21:59.900 --> 00:22:02.900]   (audience cheering)
[00:22:02.900 --> 00:22:05.900]   (audience cheering)
[00:22:05.900 --> 00:22:08.900]   (audience cheering)
[00:22:08.900 --> 00:22:11.900]   (audience cheering)
[00:22:11.900 --> 00:22:21.900]   [BLANK_AUDIO]

