
[00:00:00.000 --> 00:00:02.000]   Let us pray.
[00:21:51.000 --> 00:21:53.000]   and the manner of the rabbins
[00:21:53.000 --> 00:21:55.000]   with which he was so accustomed and so on.
[00:21:55.000 --> 00:21:57.000]   As he says later,
[00:21:57.000 --> 00:21:59.000]   he became a fool for Christ's sake
[00:21:59.000 --> 00:22:01.000]   in order that it might be clear
[00:22:01.000 --> 00:22:04.000]   that the power was not his but God's
[00:22:04.000 --> 00:22:06.000]   and that their whole position
[00:22:06.000 --> 00:22:08.000]   should not be based upon the wisdom of men
[00:22:08.000 --> 00:22:10.000]   but upon the power of God.
[00:22:10.000 --> 00:22:11.000]   Now, coming from Paul of everybody,
[00:22:11.000 --> 00:22:13.000]   this, I think, is a most striking manner.
[00:22:13.000 --> 00:22:15.000]   And then he reminds the Corinthians
[00:22:15.000 --> 00:22:17.000]   of the same thing
[00:22:17.000 --> 00:22:19.000]   in the fourth chapter of the 20th verse.
[00:22:19.000 --> 00:22:22.000]   They were doing a good deal of talking in Corinth
[00:22:22.000 --> 00:22:24.000]   and a good deal of criticizing of the apostle Paul
[00:22:24.000 --> 00:22:27.000]   as people will still do, of course.
[00:22:27.000 --> 00:22:30.000]   And now he challenges them.
[00:22:30.000 --> 00:22:32.000]   He says, "Now some are puffed up
[00:22:32.000 --> 00:22:34.000]   as though I would not come to you
[00:22:34.000 --> 00:22:36.000]   but I will come to you."
[00:22:36.000 --> 00:22:38.000]   And he says, "I will come to you
[00:22:39.000 --> 00:22:41.000]   but I will come to you shortly if the Lord will
[00:22:41.000 --> 00:22:43.000]   and will know not the speech of them
[00:22:43.000 --> 00:22:46.000]   which are puffed up but the power.
[00:22:46.000 --> 00:22:49.000]   For the kingdom of God is not in word
[00:22:49.000 --> 00:22:52.000]   but in power."
[00:22:52.000 --> 00:22:54.000]   And if ever we needed to be reminded of a text,
[00:22:54.000 --> 00:22:56.000]   it's that one.
[00:22:56.000 --> 00:22:58.000]   We can produce the words, can't we?
[00:22:58.000 --> 00:23:00.000]   But is there much evidence of power in our preaching?
[00:23:00.000 --> 00:23:04.000]   The kingdom of God is not in word
[00:23:04.000 --> 00:23:07.000]   but in power.
[00:23:08.000 --> 00:23:09.000]   That is the test.
[00:23:09.000 --> 00:23:11.000]   And it is still the test
[00:23:11.000 --> 00:23:13.000]   of true preaching.
[00:23:13.000 --> 00:23:16.000]   So we can go on.
[00:23:16.000 --> 00:23:18.000]   He's really saying the same thing
[00:23:18.000 --> 00:23:20.000]   in 2 Corinthians 4, 7
[00:23:20.000 --> 00:23:24.000]   where having talked about his own ministry
[00:23:24.000 --> 00:23:27.000]   that as we have received mercy
[00:23:27.000 --> 00:23:29.000]   we faint not but have renounced
[00:23:29.000 --> 00:23:31.000]   the hidden things of dishonesty
[00:23:31.000 --> 00:23:33.000]   not walking in craftiness
[00:23:33.000 --> 00:23:35.000]   nor handling the word of God deceitfully
[00:23:35.000 --> 00:23:37.000]   but by manifestation of the truth
[00:23:37.000 --> 00:23:39.000]   and mending ourselves to every man's conscience
[00:23:39.000 --> 00:23:41.000]   in the sight of God.
[00:23:41.000 --> 00:23:43.000]   And then he goes on and then he comes to this.
[00:23:43.000 --> 00:23:45.000]   Makes this great statement
[00:23:45.000 --> 00:23:47.000]   "God who commended the light to shine out of darkness
[00:23:47.000 --> 00:23:49.000]   has shined in our hearts
[00:23:49.000 --> 00:23:51.000]   to give the light of the knowledge of the glory of God
[00:23:51.000 --> 00:23:53.000]   in the face of Jesus Christ."
[00:23:53.000 --> 00:23:55.000]   There's your content.
[00:23:55.000 --> 00:23:59.000]   But we have this treasure in earthen vessels
[00:23:59.000 --> 00:24:01.000]   that the excellency of the power
[00:24:01.000 --> 00:24:03.000]   might be of God
[00:24:03.000 --> 00:24:05.000]   and not of us.
[00:24:06.000 --> 00:24:07.000]   And he says the same thing.
[00:24:07.000 --> 00:24:10.000]   And how anxious he is always
[00:24:10.000 --> 00:24:12.000]   to emphasize this.
[00:24:12.000 --> 00:24:15.000]   You get it again in 2 Corinthians 10, 4
[00:24:15.000 --> 00:24:18.000]   "For the weapons of our warfare are not carnal
[00:24:18.000 --> 00:24:20.000]   but mighty through God
[00:24:20.000 --> 00:24:22.000]   to the pulling down of strongholds
[00:24:22.000 --> 00:24:24.000]   casting down imaginations
[00:24:24.000 --> 00:24:26.000]   and every high thing that exalted itself"
[00:24:26.000 --> 00:24:28.000]   and so on.
[00:24:28.000 --> 00:24:30.000]   It's the same thing, not carnal
[00:24:30.000 --> 00:24:32.000]   mighty through God.
[00:24:32.000 --> 00:24:34.000]   It's spiritual power.
[00:24:35.000 --> 00:24:36.000]   2 Corinthians 12
[00:24:36.000 --> 00:24:38.000]   Where you remember he'd been lifted up
[00:24:38.000 --> 00:24:40.000]   into the third heavens
[00:24:40.000 --> 00:24:42.000]   and had seen and heard things that can't be repeated
[00:24:42.000 --> 00:24:44.000]   and then the thorn in the flesh
[00:24:44.000 --> 00:24:47.000]   and praying three times
[00:24:47.000 --> 00:24:49.000]   but the thorn isn't removed.
[00:24:49.000 --> 00:24:51.000]   But he's all right about this
[00:24:51.000 --> 00:24:54.000]   because you see he ends by putting it like this
[00:24:54.000 --> 00:24:57.000]   He said "My grace is sufficient for thee
[00:24:57.000 --> 00:25:00.000]   for my strength is made perfect in weakness
[00:25:00.000 --> 00:25:03.000]   most gladly therefore will I rather glory in my infirmities
[00:25:04.000 --> 00:25:07.000]   that the power of Christ may rest upon me
[00:25:07.000 --> 00:25:09.000]   when I am weak
[00:25:09.000 --> 00:25:11.000]   then am I strong"
[00:25:11.000 --> 00:25:14.000]   This is his position always.
[00:25:14.000 --> 00:25:17.000]   And then another statement of this
[00:25:17.000 --> 00:25:19.000]   which always moves me tremendously
[00:25:19.000 --> 00:25:21.000]   whenever I read it
[00:25:21.000 --> 00:25:24.000]   is at the end of Colossians chapter 1
[00:25:24.000 --> 00:25:26.000]   "Whom we preach
[00:25:26.000 --> 00:25:29.000]   warning every man and teaching every man in all wisdom
[00:25:29.000 --> 00:25:33.000]   that we may present every man perfect in Christ Jesus
[00:25:33.000 --> 00:25:36.000]   whereunto I also labor
[00:25:36.000 --> 00:25:40.000]   striving according to his working
[00:25:40.000 --> 00:25:43.000]   which worketh in me mightily"
[00:25:43.000 --> 00:25:45.000]   That's always his testimony.
[00:25:45.000 --> 00:25:47.000]   He was doing his utmost
[00:25:47.000 --> 00:25:49.000]   but what he's aware of
[00:25:49.000 --> 00:25:52.000]   is his working
[00:25:52.000 --> 00:25:55.000]   which worketh in me mightily.
[00:25:55.000 --> 00:25:59.000]   This is what is meant by this unction.
[00:26:00.000 --> 00:26:03.000]   A still more precise definition even than that
[00:26:03.000 --> 00:26:06.000]   is in 1 Thessalonians 1 5
[00:26:06.000 --> 00:26:09.000]   "For our gospel came not unto you in word only
[00:26:09.000 --> 00:26:13.000]   but also in power
[00:26:13.000 --> 00:26:15.000]   and in the Holy Ghost
[00:26:15.000 --> 00:26:18.000]   and in much assurance"
[00:26:18.000 --> 00:26:20.000]   He's reminding the Thessalonians
[00:26:20.000 --> 00:26:23.000]   of how the gospel had come to them.
[00:26:23.000 --> 00:26:25.000]   He left them, he writes his letter to them
[00:26:25.000 --> 00:26:27.000]   what many think was his first letter
[00:26:28.000 --> 00:26:31.000]   and it's a wonderful and a most important chapter this
[00:26:31.000 --> 00:26:33.000]   in connection with this whole matter of preaching
[00:26:33.000 --> 00:26:35.000]   and he says that's how it came, you remember?
[00:26:35.000 --> 00:26:38.000]   Not in word only, it did come in word.
[00:26:38.000 --> 00:26:43.000]   Oh yes, exposition, exegesis, preparation, all of this
[00:26:43.000 --> 00:26:45.000]   but not in word only
[00:26:45.000 --> 00:26:48.000]   but also, it's this also, this addition
[00:26:48.000 --> 00:26:51.000]   this is the thing that really makes preaching, preaching
[00:26:51.000 --> 00:26:54.000]   this is the thing that produces converts in churches
[00:26:54.000 --> 00:26:56.000]   and builds up churches
[00:26:57.000 --> 00:26:58.000]   in power, Holy Ghost
[00:26:58.000 --> 00:27:00.000]   and in much assurance
[00:27:00.000 --> 00:27:06.000]   and Peter puts his case in exactly the same way
[00:27:06.000 --> 00:27:10.000]   where he reminds the people to whom he writes in his first epistle
[00:27:10.000 --> 00:27:12.000]   1st chapter verse 12
[00:27:12.000 --> 00:27:15.000]   he says, referring to the prophets
[00:27:15.000 --> 00:27:17.000]   "Unto whom it was revealed
[00:27:17.000 --> 00:27:20.000]   that not unto themselves but unto us
[00:27:20.000 --> 00:27:22.000]   they did minister the things
[00:27:22.000 --> 00:27:24.000]   which are now reported unto you
[00:27:25.000 --> 00:27:27.000]   by them that have preached the gospel unto you
[00:27:27.000 --> 00:27:30.000]   with the Holy Ghost sent down from heaven
[00:27:30.000 --> 00:27:34.000]   which things the angels desire to look into"
[00:27:34.000 --> 00:27:37.000]   that's how the gospel is preached he says
[00:27:37.000 --> 00:27:41.000]   with the Holy Ghost which is sent down from heaven
[00:27:41.000 --> 00:27:46.000]   and my last quotation is from the last book of the Bible
[00:27:46.000 --> 00:27:48.000]   the book of Revelation
[00:27:48.000 --> 00:27:50.000]   a statement by John about himself
[00:27:50.000 --> 00:27:52.000]   in the first chapter and in verse 10
[00:27:54.000 --> 00:27:57.000]   "I was in the Spirit on the Lord's day
[00:27:57.000 --> 00:28:00.000]   and heard behind me a great voice"
[00:28:00.000 --> 00:28:02.000]   how do you interpret that?
[00:28:02.000 --> 00:28:07.000]   is your position this that John being a Christian was always in the Spirit?
[00:28:07.000 --> 00:28:10.000]   well if he was why does he trouble to say so?
[00:28:10.000 --> 00:28:14.000]   this wasn't something ordinary, something usual
[00:28:14.000 --> 00:28:16.000]   this was something exceptional
[00:28:16.000 --> 00:28:19.000]   he says "there was I on that isle of Patmos on the Lord's day
[00:28:20.000 --> 00:28:23.000]   I found myself in the Spirit
[00:28:23.000 --> 00:28:27.000]   a visitation of the Spirit of God
[00:28:27.000 --> 00:28:29.000]   and it is as the result of this
[00:28:29.000 --> 00:28:32.000]   he is given his great vision
[00:28:32.000 --> 00:28:35.000]   and his great message and his great understanding
[00:28:35.000 --> 00:28:40.000]   now there is the scriptural evidence and testimony
[00:28:40.000 --> 00:28:42.000]   for all this
[00:28:42.000 --> 00:28:46.000]   but now it may well be that your position is
[00:28:46.000 --> 00:28:49.000]   yes that's alright we're in no difficulty about that at all
[00:28:49.000 --> 00:28:52.000]   but all that ended with the apostolic age
[00:28:52.000 --> 00:28:55.000]   therefore it's got nothing to do with us
[00:28:55.000 --> 00:28:58.000]   well of course if that's your attitude to the scripture
[00:28:58.000 --> 00:29:00.000]   I can't reason with you
[00:29:00.000 --> 00:29:03.000]   I take it that the scriptures are for us today also
[00:29:03.000 --> 00:29:08.000]   and that if you are going to really get all this to the apostolic era
[00:29:08.000 --> 00:29:11.000]   well you're leaving very little for us at the present time
[00:29:11.000 --> 00:29:15.000]   and how do you decide what was for then only and what is for us also?
[00:29:16.000 --> 00:29:18.000]   and what canons do you do that?
[00:29:18.000 --> 00:29:20.000]   what are your canons of judgment?
[00:29:20.000 --> 00:29:22.000]   I suggest you haven't got any
[00:29:22.000 --> 00:29:24.000]   the whole scripture is for us
[00:29:24.000 --> 00:29:27.000]   here is a picture of the church and it's relevant
[00:29:27.000 --> 00:29:30.000]   to the church at all times and in all ages
[00:29:30.000 --> 00:29:33.000]   and thank God the history of the church proves
[00:29:33.000 --> 00:29:36.000]   the rightness of this contention
[00:29:36.000 --> 00:29:39.000]   I could again give you great evidence
[00:29:39.000 --> 00:29:43.000]   I could marshal evidence from the long history of the church
[00:29:44.000 --> 00:29:48.000]   how this kind of thing has characterized the church always
[00:29:48.000 --> 00:29:50.000]   in periods of revival and reformation
[00:29:50.000 --> 00:29:52.000]   I've been doing this on Thursday nights
[00:29:52.000 --> 00:29:55.000]   but some of you I know have not been there, you couldn't be there
[00:29:55.000 --> 00:29:58.000]   you're good enough Christians to stay at home
[00:29:58.000 --> 00:30:00.000]   and watch the children and allow your wives to come
[00:30:00.000 --> 00:30:03.000]   so I'm repeating a little bit of this for you
[00:30:03.000 --> 00:30:05.000]   a special benefit as a reward to you
[00:30:05.000 --> 00:30:09.000]   because it is to me the most encouraging thing one can ever do
[00:30:09.000 --> 00:30:12.000]   look at the situation we are confronted with today
[00:30:13.000 --> 00:30:15.000]   look at the task, look at the state of the world
[00:30:15.000 --> 00:30:18.000]   look at the mentality of men and women
[00:30:18.000 --> 00:30:22.000]   without this it's a heart breaking task
[00:30:22.000 --> 00:30:26.000]   I certainly couldn't go on for another day but for this
[00:30:26.000 --> 00:30:28.000]   if I felt it was left to us
[00:30:28.000 --> 00:30:32.000]   and our learning and our scholarship and our organization
[00:30:32.000 --> 00:30:35.000]   I would be of all men the most miserable
[00:30:35.000 --> 00:30:38.000]   the task would be completely hopeless
[00:30:38.000 --> 00:30:40.000]   but that isn't the case
[00:30:41.000 --> 00:30:46.000]   what we read of here is something that is possible for us today
[00:30:46.000 --> 00:30:48.000]   and it is our only hope
[00:30:48.000 --> 00:30:50.000]   but we've got to realize this
[00:30:50.000 --> 00:30:52.000]   and if we don't realize it
[00:30:52.000 --> 00:30:56.000]   we shall spend our time in shallows and in miseries
[00:30:56.000 --> 00:30:58.000]   and we shall achieve nothing
[00:30:58.000 --> 00:31:01.000]   very well then what's the evidence?
[00:31:01.000 --> 00:31:04.000]   well I could give you evidence before the Protestant Reformation
[00:31:04.000 --> 00:31:06.000]   I'm not going to do so
[00:31:06.000 --> 00:31:08.000]   but there's ample evidence at the time of the Reformation
[00:31:09.000 --> 00:31:12.000]   there was that great experience that Luther himself had
[00:31:12.000 --> 00:31:14.000]   in which he describes
[00:31:14.000 --> 00:31:17.000]   when the whole room seemed to be filled with light
[00:31:17.000 --> 00:31:22.000]   and that undoubtedly was the thing that made his preaching what it was
[00:31:22.000 --> 00:31:25.000]   we are so interested in Luther the theologian
[00:31:25.000 --> 00:31:27.000]   that we tend to forget Luther the preacher
[00:31:27.000 --> 00:31:29.000]   Luther was a mighty preacher
[00:31:29.000 --> 00:31:33.000]   and the same is true of John Calvin also
[00:31:33.000 --> 00:31:35.000]   but there were two men in England
[00:31:35.000 --> 00:31:37.000]   who were very outstanding in this respect
[00:31:38.000 --> 00:31:39.000]   Hugh Latimer
[00:31:39.000 --> 00:31:41.000]   and this man's preaching
[00:31:41.000 --> 00:31:43.000]   outside St. Paul's Cathedral in London
[00:31:43.000 --> 00:31:47.000]   was obviously attended with very great unction and power of the Holy Spirit
[00:31:47.000 --> 00:31:51.000]   this again is something we tend to forget you see
[00:31:51.000 --> 00:31:54.000]   we are rightly interested in the great theological upheaval
[00:31:54.000 --> 00:31:56.000]   in the Protestant Reformation
[00:31:56.000 --> 00:31:58.000]   but let's never forget
[00:31:58.000 --> 00:32:00.000]   that it became a popular movement
[00:32:00.000 --> 00:32:03.000]   it wasn't merely as it were the learned and the professors
[00:32:03.000 --> 00:32:05.000]   it came down to the people
[00:32:06.000 --> 00:32:08.000]   and there were these great preachers anointed with the Spirit
[00:32:08.000 --> 00:32:10.000]   there was a man called John Bradford
[00:32:10.000 --> 00:32:15.000]   who obviously was a very great preacher in this very sense
[00:32:15.000 --> 00:32:18.000]   one of the men who was put to death
[00:32:18.000 --> 00:32:22.000]   early on amongst those Protestant martyrs
[00:32:22.000 --> 00:32:25.000]   and you've had this in almost every country
[00:32:25.000 --> 00:32:27.000]   there was a mighty preacher in Scotland
[00:32:27.000 --> 00:32:30.000]   at the end of that 16th century called Robert Bruce
[00:32:30.000 --> 00:32:34.000]   now a little booklet was published about him
[00:32:35.000 --> 00:32:36.000]   by the Banner of Truth people a few years back
[00:32:36.000 --> 00:32:38.000]   I hope it's selling in this country
[00:32:38.000 --> 00:32:40.000]   if it is get it and read it
[00:32:40.000 --> 00:32:42.000]   Robert Bruce
[00:32:42.000 --> 00:32:45.000]   not Robert the Bruce the King
[00:32:45.000 --> 00:32:47.000]   but a much greater man
[00:32:47.000 --> 00:32:49.000]   this was a servant of God
[00:32:49.000 --> 00:32:51.000]   and you'll read about this man
[00:32:51.000 --> 00:32:53.000]   I remember reading in that book
[00:32:53.000 --> 00:32:55.000]   about him on one occasion
[00:32:55.000 --> 00:32:58.000]   going to a conference with ministers in Edinburgh
[00:32:58.000 --> 00:33:00.000]   and things were very bad indeed
[00:33:00.000 --> 00:33:02.000]   most discouraging
[00:33:03.000 --> 00:33:05.000]   and they were talking to one another
[00:33:05.000 --> 00:33:07.000]   but they were all very depressed
[00:33:07.000 --> 00:33:09.000]   and the more they talked the more depressed they became
[00:33:09.000 --> 00:33:12.000]   as happens in general assemblies and other conferences
[00:33:12.000 --> 00:33:14.000]   not infrequently
[00:33:14.000 --> 00:33:17.000]   well Robert Bruce tried to get them to pray
[00:33:17.000 --> 00:33:20.000]   and they were trying to pray
[00:33:20.000 --> 00:33:22.000]   and it was just a question of trying to pray
[00:33:22.000 --> 00:33:25.000]   but he didn't regard that as praying
[00:33:25.000 --> 00:33:28.000]   so he was stirred in his spirit
[00:33:28.000 --> 00:33:30.000]   as Paul seems to have been at Athens
[00:33:31.000 --> 00:33:33.000]   and he said he was going to knock the Holy Spirit into them
[00:33:33.000 --> 00:33:36.000]   and he began thumping on the table
[00:33:36.000 --> 00:33:38.000]   and he certainly achieved something
[00:33:38.000 --> 00:33:41.000]   because they then really did begin to pray
[00:33:41.000 --> 00:33:44.000]   until they were lifted out of their depression
[00:33:44.000 --> 00:33:46.000]   to the very heights
[00:33:46.000 --> 00:33:48.000]   and given great assurance from God
[00:33:48.000 --> 00:33:50.000]   and went back to their work
[00:33:50.000 --> 00:33:52.000]   well these are but illustrations
[00:33:52.000 --> 00:33:55.000]   but I'll give you my favourite illustration
[00:33:55.000 --> 00:33:58.000]   do you know anything about John Livingstone
[00:33:59.000 --> 00:34:02.000]   the man who lived again at the beginning of the 17th century in Scotland
[00:34:02.000 --> 00:34:06.000]   John Livingstone was a very able man
[00:34:06.000 --> 00:34:08.000]   most of these men were, Robert Bruce was
[00:34:08.000 --> 00:34:12.000]   those early ministers, the reformed ministers in Scotland
[00:34:12.000 --> 00:34:15.000]   were a tremendous succession of men
[00:34:15.000 --> 00:34:18.000]   from the standpoint of ability and learning and knowledge
[00:34:18.000 --> 00:34:22.000]   but the thing that characterises them above everything else
[00:34:22.000 --> 00:34:26.000]   is their knowledge of this spiritual power and action
[00:34:27.000 --> 00:34:32.000]   now John Livingstone I say was a very fine scholar and a great preacher
[00:34:32.000 --> 00:34:36.000]   he'd had to escape to Northern Ireland on account of persecution
[00:34:36.000 --> 00:34:40.000]   and he'd had some experiences there in a revival
[00:34:40.000 --> 00:34:45.000]   but his great day came in 1630
[00:34:45.000 --> 00:34:49.000]   there was a communion service at a place called Kirk or Shots
[00:34:49.000 --> 00:34:52.000]   I always like to pass near that place
[00:34:52.000 --> 00:34:54.000]   it's still there, not a big place
[00:34:55.000 --> 00:34:57.000]   just off the road between Glasgow and Edinburgh
[00:34:57.000 --> 00:35:00.000]   Kirk or Shots, they were having a communion service
[00:35:00.000 --> 00:35:05.000]   and they'd all felt from the beginning right through till the Sunday
[00:35:05.000 --> 00:35:07.000]   that there was something unusual
[00:35:07.000 --> 00:35:10.000]   so the brethren, the fathers decided
[00:35:10.000 --> 00:35:13.000]   that they'd have an additional preaching service on the Monday
[00:35:13.000 --> 00:35:16.000]   and they asked John Livingstone to preach
[00:35:16.000 --> 00:35:19.000]   John Livingstone was a very modest and humble man
[00:35:19.000 --> 00:35:21.000]   and he was fearful of this
[00:35:21.000 --> 00:35:24.000]   so he spent most of the night struggling and praying
[00:35:24.000 --> 00:35:27.000]   went out into the country and there he was praying
[00:35:27.000 --> 00:35:29.000]   and the people were praying also
[00:35:29.000 --> 00:35:32.000]   but he had a terrible time, he couldn't find peace
[00:35:32.000 --> 00:35:34.000]   until in the early hours of Monday morning
[00:35:34.000 --> 00:35:36.000]   God gave him a message
[00:35:36.000 --> 00:35:38.000]   and also gave him assurance
[00:35:38.000 --> 00:35:41.000]   that it was going to be with power
[00:35:41.000 --> 00:35:44.000]   so John Livingstone preached on the Monday morning
[00:35:44.000 --> 00:35:47.000]   and as the result of that one sermon
[00:35:47.000 --> 00:35:51.000]   500 people were added to the churches in that locality
[00:35:52.000 --> 00:35:54.000]   it was a tremendous day
[00:35:54.000 --> 00:35:57.000]   an overwhelming experience
[00:35:57.000 --> 00:36:01.000]   of the outpouring of the Spirit of God upon an assembled congregation
[00:36:01.000 --> 00:36:04.000]   and this is what's always of interest to me
[00:36:04.000 --> 00:36:07.000]   John Livingstone lived many years after that
[00:36:07.000 --> 00:36:10.000]   he never had that sort of experience again
[00:36:10.000 --> 00:36:12.000]   and he always looked back to it
[00:36:12.000 --> 00:36:14.000]   and he always longed for it
[00:36:14.000 --> 00:36:19.000]   but it was actually never repeated in his experience
[00:36:21.000 --> 00:36:23.000]   you've had the same thing here
[00:36:23.000 --> 00:36:26.000]   I derived great benefit a few years back
[00:36:26.000 --> 00:36:29.000]   through reading the journals, I think they're called, of Cotton Mirtha
[00:36:29.000 --> 00:36:33.000]   you know, the author of Magnalia Christi
[00:36:33.000 --> 00:36:35.000]   I hope you've read it
[00:36:35.000 --> 00:36:39.000]   there's nothing more important for preaching, as I said a few lectures back
[00:36:39.000 --> 00:36:42.000]   than reading history, church history, biographies
[00:36:42.000 --> 00:36:46.000]   read the history of religion in your own country
[00:36:46.000 --> 00:36:48.000]   Cotton Mirtha wrote it
[00:36:49.000 --> 00:36:51.000]   he gave you accounts of different preachers and so on
[00:36:51.000 --> 00:36:57.000]   but watch especially his descriptions in his own journal
[00:36:57.000 --> 00:37:00.000]   of these visitations, as he would call them
[00:37:00.000 --> 00:37:02.000]   of the Spirit of God
[00:37:02.000 --> 00:37:04.000]   and the effect they had upon his preaching
[00:37:04.000 --> 00:37:08.000]   well now again, I needn't remind you that Cotton Mirtha
[00:37:08.000 --> 00:37:11.000]   was a very able and a very scholarly man
[00:37:11.000 --> 00:37:13.000]   all those Mirthas were
[00:37:13.000 --> 00:37:15.000]   and he'd got cotton in his blood as well, you see
[00:37:15.000 --> 00:37:17.000]   John Cotton, another great scholar
[00:37:18.000 --> 00:37:20.000]   the mixing of these two families, the Cottons and the Mirthas
[00:37:20.000 --> 00:37:23.000]   you couldn't have a better pedigree, a better ancestry
[00:37:23.000 --> 00:37:25.000]   if you're interested in intellect and ability
[00:37:25.000 --> 00:37:27.000]   but you watch these men
[00:37:27.000 --> 00:37:32.000]   and his realization of how he could really do nothing without this unction and power
[00:37:32.000 --> 00:37:34.000]   time fails me
[00:37:34.000 --> 00:37:36.000]   like the author of the Epistle to the Hebrews
[00:37:36.000 --> 00:37:39.000]   to tell you about Jonathan Edwards and David Brainerd
[00:37:39.000 --> 00:37:43.000]   I do hope you know all about these men
[00:37:43.000 --> 00:37:46.000]   all that can be known, and a great deal can be known
[00:37:47.000 --> 00:37:49.000]   read them, read about them
[00:37:49.000 --> 00:37:52.000]   Gilbert Tennant in this area
[00:37:52.000 --> 00:37:54.000]   same thing
[00:37:54.000 --> 00:37:56.000]   how that man was used
[00:37:56.000 --> 00:37:58.000]   for a period in particular
[00:37:58.000 --> 00:38:00.000]   like a flaming sword
[00:38:00.000 --> 00:38:03.000]   and then it seemed to have left him
[00:38:03.000 --> 00:38:06.000]   and the remainder of his ministry here in Philadelphia
[00:38:06.000 --> 00:38:09.000]   was a comparatively, I mustn't call it an ordinary ministry
[00:38:09.000 --> 00:38:12.000]   but it wasn't at the same tremendous height
[00:38:12.000 --> 00:38:15.000]   that it had been for a number of years
[00:38:15.000 --> 00:38:17.000]   and then you know the story of course of
[00:38:17.000 --> 00:38:20.000]   Whitfield and the Wesleys
[00:38:20.000 --> 00:38:24.000]   John Wesley is an important man in this whole argument
[00:38:24.000 --> 00:38:26.000]   for several reasons
[00:38:26.000 --> 00:38:29.000]   but one of them, and the most important in many ways is this
[00:38:29.000 --> 00:38:32.000]   that if ever you had a scholarly man
[00:38:32.000 --> 00:38:34.000]   it was John Wesley
[00:38:34.000 --> 00:38:36.000]   if ever you had a typical Englishman
[00:38:36.000 --> 00:38:38.000]   which means that he's not emotional
[00:38:38.000 --> 00:38:40.000]   the Englishman is phlegmatic
[00:38:40.000 --> 00:38:42.000]   he doesn't get excited, he doesn't get moved
[00:38:42.000 --> 00:38:44.000]   he's not mercurial
[00:38:44.000 --> 00:38:47.000]   nothing that characterizes some of the Celts amongst us and so on
[00:38:47.000 --> 00:38:51.000]   now John Wesley was the most typical Englishman you could ever find
[00:38:51.000 --> 00:38:53.000]   pedantic and exact
[00:38:53.000 --> 00:38:56.000]   I think most of you men would have liked him very much
[00:38:56.000 --> 00:38:58.000]   [laughter]
[00:38:58.000 --> 00:39:00.000]   apart from his theology
[00:39:00.000 --> 00:39:04.000]   but you see this is the story of John Wesley
[00:39:04.000 --> 00:39:06.000]   fellow of his college in Oxford
[00:39:06.000 --> 00:39:10.000]   exact in his exegesis, precise, every word in order
[00:39:12.000 --> 00:39:15.000]   and a very good man and a very religious man
[00:39:15.000 --> 00:39:18.000]   gave his spare time to visiting the prisoners in prison
[00:39:18.000 --> 00:39:21.000]   he'd go with them to their death
[00:39:21.000 --> 00:39:24.000]   he used to give his money to feed the poor
[00:39:24.000 --> 00:39:26.000]   and even all this didn't satisfy him
[00:39:26.000 --> 00:39:29.000]   gave up his position in Oxford
[00:39:29.000 --> 00:39:32.000]   to cross the Atlantic to go and preach in Georgia
[00:39:32.000 --> 00:39:34.000]   to the poor slaves and others
[00:39:34.000 --> 00:39:36.000]   and he went
[00:39:36.000 --> 00:39:39.000]   and he was absolutely useless
[00:39:40.000 --> 00:39:42.000]   and he came to the conclusion that he needed the gospel
[00:39:42.000 --> 00:39:45.000]   quite as much as these poor slaves did in Georgia
[00:39:45.000 --> 00:39:47.000]   and he did
[00:39:47.000 --> 00:39:50.000]   he'd got everything except this power
[00:39:50.000 --> 00:39:52.000]   he wasn't quite clear in his doctrine
[00:39:52.000 --> 00:39:55.000]   but he certainly had no power whatsoever
[00:39:55.000 --> 00:39:57.000]   a complete failure
[00:39:57.000 --> 00:39:59.000]   so he went back to England, useless
[00:39:59.000 --> 00:40:02.000]   then having got back to England
[00:40:02.000 --> 00:40:06.000]   he was first of all put right in the doctrine of justification by faith only
[00:40:06.000 --> 00:40:08.000]   and he saw it clearly
[00:40:09.000 --> 00:40:10.000]   but still he was no good as a preacher
[00:40:10.000 --> 00:40:13.000]   and indeed he began to feel that he shouldn't preach
[00:40:13.000 --> 00:40:16.000]   he said to that Moravian brother, Peter Burlar
[00:40:16.000 --> 00:40:20.000]   who had helped him into this understanding of justification by faith
[00:40:20.000 --> 00:40:23.000]   he said, you know, I see it so clearly with my head
[00:40:23.000 --> 00:40:26.000]   but I don't feel it and I'd better stop preaching until I feel it
[00:40:26.000 --> 00:40:30.000]   "No," said Peter Burlar in that immortal answer
[00:40:30.000 --> 00:40:35.000]   "Don't stop preaching it, but go on preaching it until you do feel it"
[00:40:35.000 --> 00:40:37.000]   and you remember what happened
[00:40:38.000 --> 00:40:40.000]   on the 24th of May, 1738
[00:40:40.000 --> 00:40:43.000]   he had that climactic experience
[00:40:43.000 --> 00:40:46.000]   in a little meeting, a small meeting
[00:40:46.000 --> 00:40:49.000]   in Aldersgate Street in London
[00:40:49.000 --> 00:40:51.000]   a number of people had met together
[00:40:51.000 --> 00:40:54.000]   you know, as Christian people do
[00:40:54.000 --> 00:40:57.000]   to study the scriptures and to build one another up in the faith
[00:40:57.000 --> 00:41:00.000]   and this particular night, this is what was happening
[00:41:00.000 --> 00:41:04.000]   a man had been appointed to read the preface
[00:41:05.000 --> 00:41:10.000]   of Luther's commentary on the epistle to the Romans
