
[00:00:00.000 --> 00:00:02.000]   It's a real picture
[00:31:02.000 --> 00:31:31.760]   fairly well, unless you look at your own Wikipedia page, and you realize it's completely biased. And yeah, is the function of the people trying to say something that happened to your know, something bad on your Wikipedia page. I went to the early Wikipedia conferences in the first couple of years of Wikipedia, and the bios of living people, BLPS were the biggest problem they had, because you had people like, let's say, you know, you had a company fail or something, somebody was an investor in it. You know, they're motivated to write something on your
[00:31:31.760 --> 00:31:50.240]   Wikipedia page, you fired somebody, whatever. And so the people who have the wherewithal to edit your Wikipedia page, if you're a human alive today, sometimes is your detractors. And that's just Yeah, but over time, if you're doing that, and you get downvoted, you no longer have authority on Wikipedia. That's part of how that system works. I think
[00:31:50.240 --> 00:32:09.680]   that doesn't work very well. It's been totally, it's been totally weaponized. Yeah, it's weaponized. It's been weaponized by people with money. I think it's been weaponized by interest groups. Yes, mainly left wing interest groups, activists who are well funded. And it's their full time job to basically disseminate their propaganda on sites like
[00:32:09.680 --> 00:32:35.040]   that. Ideally, that becomes a temporal phenomenon that they're because if you picked an arbiter, and you said, this is my source of news, my source of data, my source of truth, over time, that source becomes hacked, it becomes biased in some way. And so I think having a system that's dynamic, where those who are doing the editing, those who can be voted up and down, and ultimately, the system can be voted on by the consumers of the system. So anyway, I just think that's naturally how the internet's gonna evolve. Anyway,
[00:32:35.360 --> 00:33:02.240]   I think it's crazy to rely on one source, especially Wikipedia, although I do use Wikipedia for some things. But I guess what I do is I try to triangulate to the truth based on having a number of sources. I mean, isn't that the best technique? And that's why x, you know, formerly Twitter is the best way to get news. It's the main way I get my information is because I can triangulate towards the truth by looking at my feet, and I'm following a couple 100 people who I take seriously. And you can kind of figure it out.
[00:33:02.560 --> 00:33:31.520]   Well, yeah, because if you saw a business insider story over here, and then you hear Bill Ackman give his side of the story. Now you've got the principle in the story, going direct. And I think that's where going direct and experts have created that triangulation, you can listen to this podcast, you go to direct to Wikipedia and check our facts, you could look at people criticizing us or creating derivative podcasts of this one, of which there are many. And like, you can kind of get all these different vectors and angles to kind of find the truth. But your answer to math,
[00:33:32.320 --> 00:34:01.960]   rich people, you can't get rich doing what you're describing and running a company. So smart people are looking for opportunities to maximize their compensation. And that's, it's kind of like teachers, it's, we don't pay teachers enough, you can't pay journalists enough, because the system is broken. Therefore, you're just getting lower and lower quality people in the profession who the smartest people leave and become venture capitalists, marketing, communications, people, developers, whatever, or they do solo stuff. So I think the solo journalism,
[00:34:02.200 --> 00:34:23.080]   the independent voices is going to wind up being the solution, because nobody's going to want to try to hire 1000 journalists for 100k each. And then if they get really smart, what do they do, they get hired by somebody like you, right, Shama? They'll come work for one of us or come work for one of our companies. When they get to the ceiling of what they can do at Business Insider, or vice or wherever, they're going to go try to look for a $200,000 a year job.
[00:34:24.440 --> 00:34:51.520]   I think this is important for the following reason, I think that society, if society doesn't have a good way of getting to the truth, it just ends up really decaying in very bad directions. And there's all kinds of truths that are out there that we ignore, because people can actually just totally change it where I would rather be in a place is there's the truth, then there's the opinion on the truth. And then there's fiction.
[00:34:52.400 --> 00:35:10.160]   And I'm fine with all of it existing, it just needs to be better arbitrated, because I think there's a lot of people who don't know any better, who should know better, and who will just make an assumption. And then that's a very limiting, limiting decision for them.
[00:35:10.200 --> 00:35:39.600]   The whole process again, super messy. But that's actually a good thing to happen. The reason it's getting messy is because people are challenging the sources of the news. So you don't just believe a politician about what's happening at the border, you don't just believe a publication about what's happening at the border. You see citizen journalists going to the border, whether it's Elon or RFK went to the border, people are going there and saying, Well, I'm gonna go check it out for myself and see what's happening there. Actually, I'm not just going to trust a publication, I'm not going to trust a politician, I'm going to go myself.
[00:35:39.760 --> 00:35:46.520]   And that messiness is now led to a more vibrant system, but it's messy.
[00:35:46.520 --> 00:35:50.080]   I think it probably also led in part to Texas suing the federal government.
[00:35:50.080 --> 00:36:04.120]   Yeah, which we'll get to in a moment. Yeah, for sure. And, you know, if you think about that, we were trying to parse the numbers here. Remember, we had the number, and we were trying to parse the number of encounters. So we never were able to get a number, we still don't have a number.
[00:36:04.360 --> 00:36:19.880]   No, people, the numbers are I didn't finish my sentence. We don't have a number knowing how many people have gotten past the border, we know how many people got intercepted. We don't have the number of the people who didn't get intercepted. By definition, we don't have that we only have the ones that are encounters. That's why they call it encounters.
[00:36:21.600 --> 00:36:34.640]   You've been running interference on this point for like a year on this pod, like saying that we don't know the numbers and Fox News is providing, you know, bias footage, and it's not really a crisis at the border.
[00:36:34.640 --> 00:36:43.160]   And I said, I said, I wanted to know the numbers. But the only numbers we can get was encounters, not how many people actually get something like 6 million encounters.
[00:36:43.160 --> 00:37:05.240]   And they finally updated those numbers that the numbers show the chart of it. It's looks like a hockey stick. Every year this last year, it wasn't that was the point when I showed it last year, every week, every month, every year is when we looked at it last year, it was flat. I'll pull up the episode wasn't. At the time, it was flat. It was it was only in the last year.
[00:37:05.240 --> 00:37:07.160]   It's like a rocket since COVID.
[00:37:07.160 --> 00:37:13.680]   We'll pull it up. We'll pull it up. So if you look at this chart, this explains this perfectly. So let I'll explain this chart.
[00:37:13.680 --> 00:37:14.600]   Where's that from?
[00:37:14.600 --> 00:37:35.040]   This is from the CBS, Border Patrol. So this is the exact chart that we pulled up last time. And as you see, yellow 2022 was essentially flat. And then the dark blue 2023 2021 spikes. See this, this chart is not correct. And then if you look the one thing
[00:37:35.040 --> 00:37:50.920]   that does look like a massive spike is 2024. So there was and I said at the time Cal it's showing from December a 50% spike. Yes, that's what I'm saying. But if you look when we looked at this last year in 2023, it was it was right there. June when we started talking about
[00:37:50.920 --> 00:38:03.480]   last year at this time, it started to spike, but the other years it was flat. It's my point. It was flat. And then it just started to not. And that's why I think even trusting the numbers is my point. Like, I mean, I don't know, numbers weren't changing.
[00:38:03.480 --> 00:38:18.320]   Back from October of 21. There was 100,000 encounters at the border to this last COVID. By the way, 300. Look at the look at the yellow line. It's like tripled since in the last two, two years. That's crazy.
[00:38:18.520 --> 00:38:32.760]   But here's another chart from the Wall Street Journal. This goes back a long way. This is from I believe, October. So it's already four months old. But zoom in on 2020. Like I said, it was at a low there. You know, under
[00:38:32.800 --> 00:38:47.720]   1,000,000. Yeah, well, yeah. And then but even if you go back, it looks to me like since about 2010, we've been holding it to under half a million. And since 2020, basically, since Biden took over, it shot up like a rocket. And what I've been reading in recent
[00:38:47.720 --> 00:39:00.980]   articles, again, is since October, every month, every week, every day is a new high. It's not a stable number, because obviously, there are millions, hundreds of millions of people all over the world who would like to come to the United States if they
[00:39:00.980 --> 00:39:15.480]   could. Yeah. So as the word gets out that we have an open border, they're going to come. And it's gone viral is what's basically happened. And also what went viral was there are YouTube videos now of how to claim asylum. So everybody's
[00:39:15.480 --> 00:39:23.160]   kind of hacked it. It's completely, I guess we could go which way do you want to go? Do you want to go right to the border now since we've this has come up?
[00:39:23.160 --> 00:39:26.600]   Is Texas gonna secede from the Union?
[00:39:26.600 --> 00:39:39.440]   What's gonna happen? Do you want to just go? You want me to tee it up? You understand? I think we should explain it. Let's just talk about it. Last year, as everybody knows, Texas started installing razor tape razor wire along the Rio Grande near
[00:39:39.440 --> 00:39:51.680]   Evo pass, federal border agents, the feds removed it in October, Texas sued the federal government to stop them from removing in December, a federal appeals court temporarily banned the Border Patrol agents from removing the razor tape, then the Biden
[00:39:51.680 --> 00:40:06.920]   administration asked the Supreme Court to intervene. Then last week, Biden's office told SCOTUS that a couple of migrants tragically died a woman and two kids near that same area. And we got a ruling on Monday, Roberts and Amy Coney Barrett
[00:40:06.920 --> 00:40:23.720]   actually voted against party lines and supported the feds. The justices didn't explain their decisions. But this basically upheld a prior ruling that gave the federal government sole responsibility for border security, Governor Abbott has responded. And he is saying that he's
[00:40:23.720 --> 00:40:37.120]   going to challenge the Supreme Court ruling and that Texas is under invasion, and it's going to defend itself. That authority is the supreme law of the land and supersedes any federal statutes in the country, he said. So, Saks, what are your thoughts here? Is
[00:40:37.120 --> 00:40:48.560]   this? I guess there's two things I'll ask you about? Is the ruling a good ruling? And is it in terms of law and constitution? But is it a bad implementation, given the circumstance of the border?
[00:40:49.680 --> 00:41:07.440]   Well, I think Governor Abbott here is probably going to lose in a court of law, but he's going to win in the court of public opinion. The public by a huge majority wants this border enforced, they want to have border security, they can see the photos
[00:41:07.440 --> 00:41:37.080]   and the videos and the numbers and the charts of record breaking, illegal immigrants streaming into the border. And again, it's not stopping, it's growing. So I think that Governor Abbott is on his way to being a national hero for standing up to this. And it's outrageous that the border agents are actually removing the border security that Texas has added, we're supposed to have a border wall, you know, I'd rather have a wall than barbed wire. But if we can't have a wall, then you take the barbed
[00:41:37.080 --> 00:42:06.760]   wire, and they're actually cutting it down. And this is following in a pattern of the Biden administration. Remember, when Biden first came in, there were pieces of Trump's wall that hadn't been finished. And they basically stopped construction and they sold off these large pieces of wall that were just laying on the ground as scrap metal for two cents on the dollar. And remember that Robert F. Kennedy flagged this when he went to the border at the beginning of his campaign and said that it was petty and outrageous that Biden had done that. Then
[00:42:07.160 --> 00:42:35.800]   Biden changes the whole remain in Mexico policy, and he starts granting asylum to what are basically economic migrants who are streaming into the country. And what the asylum rules say is that the immigration officials are required to detain asylum applicants who are not what's called quote, clearly admissible. So if you're not clearly admissible, you're supposed to be detained, you're not supposed to be let into the country. And the Biden
[00:42:35.800 --> 00:43:05.640]   administration is basically paroled millions and millions of these economic migrants who are not clearly eligible for asylum into the country, they just hand them a ticket and say show up in court in three years, we know that's never going to happen. It's gotten to the point where the mayors of blue cities like New York and Chicago have tapped out and said we can't handle this. We've run out of space, we run out of hotel rooms, we've run out of budget to accommodate all of these migrants. And these are sanctuary cities. And yet
[00:43:05.640 --> 00:43:35.240]   the Biden administration has persisted in this policy. And now they're actually removing border security, they're actually cutting the wire. It's unbelievable. And when Texas has tried to reinstitute it, they've actually gone to the Supreme Court. I mean, to do that, Biden has to send a solicitor general to the Supreme Court to take on the state of Texas. So look, at the end of the day, Governor Abbott may lose this case, but I think he's going to win over the American people. And I can't understand why Biden in an election year,
[00:43:35.560 --> 00:44:03.920]   is pushing this, this losing argument. I mean, I think this is his worst issue. Maybe inflation is slightly worse, but there's not a worse issue for Biden and the Democrats than border security and to actively be fighting Texas on this, when Texas is just merely trying to reinstate a border. This seems to me like a crazy political strategy. And it just shows you how fanatically wedded the Biden administration is to this policy.
[00:44:04.440 --> 00:44:08.200]   Yeah, and the country is not if you look at the CBS News poll.
[00:44:08.200 --> 00:44:32.760]   This is just from September to now should be tougher. 55% to 63% just just one second here, which is just it's important to note that I don't think Biden's contesting Texas has anything to do with their desire to actually keep the border open. I think what they were saying, again, we can debate whether it's right or wrong. But what they were saying is, the federal
[00:44:32.760 --> 00:44:54.200]   government needs due access to all of these places. And we need to get we need to cut through this concertina wire to get access. And we can't now because it's wires there and the Texas National Guard and all of these folks are there. And so just give us the due authority that that we have to do what we need to do. That was what they were saying in the lawsuit. Now,
[00:44:54.200 --> 00:44:56.120]   that sounds like total nonsense to me.
[00:44:56.120 --> 00:45:23.720]   The byproduct, David is what you're saying, which is it does then facilitate more illegal migrants to be able to cross in the intervening time because I think that then what the government federal government isn't saying is here's our plan to secure the border. They're just saying we need access in order to render critical aid if one of these folks get sick or drowns or what have you. And that's why these three people died. So cut, get, you know, remove this wire so that we can do what we need to do. That's what they're saying.
[00:45:23.760 --> 00:45:53.560]   Yeah. So on the migrants who drown point, what Governor Abbott says is, look, if you actually had security along all of these points where you've put in the wire, it forces the migrants to go to the 20 something checkpoints, where you actually have an organized process, which is where you want them to go, they wouldn't be trying to swim across the Rio Grande, and enter through all these different areas, if you could funnel them through border security to the checkpoints. And the federal government does control those checkpoints. And I'm
[00:45:53.560 --> 00:46:23.520]   sure that, you know, if Republicans could control it, Republicans like Abbott, they would be detaining asylum seekers that weren't clearly admissible, but they don't control those checkpoints. So the federal government can still implement the policy at once, I actually think that fewer people will be drowning in the Rio Grande, if they were actually to, again, push everyone to these checkpoints. So I don't really buy that argument. And it looks to me like the Biden administration has now crossed over from failing to do its duty.
[00:46:23.520 --> 00:46:50.680]   Because again, it is a federal responsibility to enforce the border. And the President has a constitutional duty to enforce the laws of the land. So he's moved now from failing to do his duty to active sabotage. I mean, this is actual sabotage, where what little border security that we have in these parts of Texas, they're taking down, they're cutting the wire, I think to most Americans, they can't fathom that this is Biden's policy.
[00:46:50.720 --> 00:47:03.240]   What is the reason that this if Biden wants there to be free flowing immigration, which he says he doesn't, but if he did, why would he want that? What's the what's the reason?
[00:47:03.280 --> 00:47:30.880]   There's some arguments I've heard from economists, that the fundamental value the US can gain from the flow of immigrants across the border at an accelerated rate is to lower the cost of labor. And so you get low cost labor to participate in the labor market, we have skyrocketing costs for, you know, basic goods and services, many of which are tied ultimately to the cost of labor in the US due to the tight labor market.
[00:47:31.080 --> 00:47:58.600]   And so if you can open up more manual labor roles in the US or fill those manual labor roles, with a lower cost of labor, you can bring inflation down, you can bring the cost of goods and services down. So there's an economic argument for doing that. And it also grows the economy, because fundamentally, when you have more productivity through more participation in the labor force, you see the GDP grow, and you also increase the consumption of goods and services in the US by the immigrants that are coming across the border. So the there's an economic argument.
[00:47:58.600 --> 00:48:10.960]   That's a theory. Yeah, that's a theory that folks don't want to say out loud, they don't want to be very public about it. But there is kind of an underlying kind of economic story that behind closed doors folks are making about why you want to see this happen, particularly
[00:48:10.960 --> 00:48:37.640]   so Chamath, what do you think of that theory as proposed? I'm not saying that you're endorsing that free bird, but I have also heard people say that that's the reason. And why would Democrats be in favor of that over say, Republicans wouldn't both of them want to see the economy grow and have more labor available in record low unemployment? You know, whether you agree with her or not, so or is it just become a political weapon now? Yeah, what do you think?
[00:48:37.680 --> 00:49:07.160]   I think that theory is stupid that theory were to be valid. Let's let's try to steal man why that theory could be true, even though it's was probably thought of by a nitwit. You would want to know, first of all, all of the different types of labor shortages that exist. And then you'd want to know all of the different types of labor inputs that these people can provide. And then you'd need to know all of that
[00:49:07.160 --> 00:49:37.080]   labor demand by geography. And then you could sort of like do a reasonable job of allocating that supply and demand. So if that was really the case, it's even more reason to have an organized border. Why? Because as David said, you get them through very specific points that allow you to actually enumerate these details about these people, and then actually send them to the places
[00:49:37.080 --> 00:49:57.640]   where they're actually needed, so that then they can become a productive part of the economy, where they can lower labor costs, etc. What that explanation does is actually tell put a nice lie in front of what is the actual truth. I think that there are a lot of people who feel fundamentally guilty.
[00:49:58.800 --> 00:50:19.120]   Because a lot of the quality of their life they didn't earn necessarily. And so they have this self loathing that they feel like they can appease by allowing all of this other stuff to happen. And one of them in this weird way is immigration. But if you actually ask an immigrant, somebody like me,
[00:50:20.600 --> 00:50:49.040]   I kind of feel that it is very unfair for those of us who actually stood in line, who waited years, and in some cases, I know decades, highly skilled individuals to try to actually fill this labor gap that you talked about, who are prevented or who are slowed down from actually doing what you say that theory is all about. So I just think that this is just frankly, like a lot of folks that live in a very, very comfortable way, who
[00:50:50.000 --> 00:51:07.040]   feel fundamentally guilty. And so they're like, let me share my largesse and riches with other people. And maybe that comes from a good place. But the manifestation of that is bankrupting all of our major cities, and it's creating an enormous security vulnerability for this country.
[00:51:08.520 --> 00:51:17.760]   Yeah, I mean, you could describe it to having an open heart and wanting more people to come into the country. But it's crazy, because you have to have at least some control over this.
[00:51:17.760 --> 00:51:22.320]   So we talked about this control. What about just documentation and awareness?
[00:51:22.320 --> 00:51:26.200]   Of course, yes. I mean, terrorists can be flowing across the border right now.
[00:51:26.200 --> 00:51:30.720]   But Jason, what about what about something even as simple as like communicable diseases?
[00:51:32.600 --> 00:51:35.960]   I mean, yeah, members, the cartels,
[00:51:35.960 --> 00:51:42.160]   gang members, and criminals also like we should, we we've talked about this before point based systems and merit based immigration.
[00:51:42.160 --> 00:51:53.520]   Yeah, we could have a skills based system. But that wouldn't get in as many people as quickly as just having an open border. And look, I think there was an economic rationale for this a while ago.
[00:51:53.640 --> 00:51:56.960]   Yeah, we talked about that. Yeah, Republicans were in favor of it. 20 years ago,
[00:51:56.960 --> 00:52:22.400]   Wall Street Journal editorial page, like 30 years ago, wanted to support a constitutional amendment to have an open border. I mean, they just saw the world purely in economic terms. And having free trade, free movement of capital and free movement of labor was all part of that conception. I think it was naive in a lot of ways. And I think now, if you're still supporting it, I don't think it's for economic reasons. I think it's mostly for political reasons. And
[00:52:23.240 --> 00:52:28.360]   look, there's this clip from Tucker that would just went viral today, explaining it. I mean, if you want to play it,
[00:52:28.960 --> 00:52:58.400]   the numbers you need to understand, Yale University released a study last week by three researchers, all the liberal, I believe, who concluded that the actual number of illegal aliens in this country is not 11 million. It's north of 22 million 22 million. Fact one, fact two, the Democratic Party is now as a matter of policy calling for the legalization of all illegals in this country, citizenship voting rights, 22 million new voters. Fact three, the overwhelming majority of first time immigrant voters vote Democrat. Fact four, the largest
[00:52:58.400 --> 00:53:22.440]   margin in American presidential history was 17 million votes 1980 election, nice rather 1984 election between Mondale and Reagan and Reagan. Yeah. 17 million, you would add to our voter rolls. 22 million at least permanent electoral majority in perpetuity. That's what this is about. It's not about making the country better serving our labor needs helping the population. It's about putting Democrats in power.
[00:53:22.480 --> 00:53:35.160]   So how do you how do you react to that? How do I react to it? Yeah. So the question like, why would the democrats want to do this? That's, that's a theory votes, basically, to get votes is what he's saying.
[00:53:35.760 --> 00:53:53.760]   We just had a conversation here that just I think was on the predictions episode that we all felt that more immigrants, people of color were going into the Republican Party. So there's only that I don't think all 22 become magically liberals, we talked to or democrats here. So I don't know if that part of the argument.
[00:53:53.760 --> 00:54:09.520]   I think what I think what Tucker is saying effectively, is that if, if 22 million people are converted to us citizens by a given political group, they will be rewarded by the vast majority of those people with at least one cycle vote in their favor.
[00:54:09.520 --> 00:54:13.440]   You believe it tomorrow? You believe that that's why Biden's has an open borders to get votes?
[00:54:13.600 --> 00:54:35.440]   No, I think that actually, my opinion is what I just stated, which is, I think that highly over educated, liberal elites have a certain amount of self loathing about their lifestyle that they believe is not earned. And so they have this weird thing of like, they need to feel better.
[00:54:35.920 --> 00:54:45.920]   Well, instead of just like looking at the truth, which is, yeah, they didn't earn it, and a lot of it was given to them by their rich parents and just move on and do something good with their life. They want to just destroy it.
[00:54:45.920 --> 00:54:51.120]   Sachs, you believe it? You believe Tucker's argument there that this is a democratic vote getting conspiracy?
[00:54:52.080 --> 00:55:20.880]   Well, I don't think it's a conspiracy. I mean, or strategy. Democrats have actually said on a number of occasions that this type of immigration is good for the country, because a diversity, and B, these people will eventually vote democratic, or, you know, when they get citizenship, or they'll have kids. And because of birthright citizenship, they are more likely to be democrats. Democrats will say this and say it's a good thing. But then when someone like Tucker says it, they'll basically say it's great replacement theory. It's a conspiracy. It's racist.
[00:55:21.040 --> 00:55:39.840]   No, he's saying the same thing that you're saying. He's just saying it's a bad thing. And you're saying it's a good thing. So I never said it's a good thing. And say it's a good or bad. No, I'm talking about other people. Okay. So I didn't get my opinion yet. What do you think? Well, I wanted to hear Sachs. Sachs, Sachs, do you agree with him that this is a strategic move by Biden to get more votes?
[00:55:39.840 --> 00:55:55.280]   I think it's like a lot of things. It's an issue where the party that's championing it can claim that it's kind of like doing well and doing good. They think that they're doing good, but it's also highly motivated by their own desire to benefit themselves.
[00:55:55.280 --> 00:56:19.760]   Dual function. Yeah. Yeah, I'm the rest of the country, we should have an orderly process here. And it should be merit based. I've said that 1000 times on this podcast, that we should be a point based system. And we should be recruiting people, we should have some compassionate slots, and then everything else should be a waitlist. And we can, we should pick a number of how many people we could absorb, based on the labor markets and do it very thoughtfully. Maybe we need a half million teachers.
[00:56:19.920 --> 00:56:24.640]   No, you've described your solution many times. We're asking for your opinion on what Tucker just said.
[00:56:24.640 --> 00:56:49.680]   I would go with Sachs's position that it's probably convenient that you yeah, it might go 60 4070 30 for votes. I don't think it's 100% of them are going to vote there. I think this could blow up in Democrats faces if it is their strategy. Because a lot of people who are coming here immigrants don't want to be part of the Democratic and the liberal woke Democratic Party. They want to be part of the Republican hardworking party.
[00:56:49.920 --> 00:57:09.520]   I want to go two for two last week, Sachs, I mean, Friedberg pulled up stats that showed that a bunch of people got really angry and quit the pod. When I said that Andreessen basically put in the money to generate AUM. And we were joking in our group chat that it was all the VCs that stopped listening.
[00:57:09.520 --> 00:57:12.880]   They all hit the stop button at once.
[00:57:13.920 --> 00:57:34.640]   Yeah, because it was again, the truth, the uncomfortable based truth. So I want to ask you guys, I just a reaction to my comment that there is an amount of self loathing amongst liberal elites that causes them to embrace some of these ideas that are not rooted in actual logic, but are rooted, I think, in their own insecurity. Can I just get your reaction to that? You guys think that's true?
[00:57:34.640 --> 00:58:04.560]   I think that among this elite, this call it woke elite, who defines their politics in terms of social justice, which basically means you divide the world into oppressor and oppressed groups. And you try to figure out with every issue, who the oppressed group is, you take their side. That's basically how politics works for this group. So in their view of the world, all these poor migrants are streaming across the border, they're the oppressed group. And so we should help them, we should
[00:58:04.560 --> 00:58:34.240]   let them in. And you saw Gavin Newsom in California just extended healthcare to illegal immigrants. So all these government services basically being provided, and they think that's a good thing. That's official policy. So I do think that there is this ideological view that we should be doing as much as we can to provide help and benefits to these people. I think that at a certain point, it gets to a place where the system breaks. And again, you have mayors of New York, Chicago, other blue cities saying, it's breaking,
[00:58:34.320 --> 00:59:04.000]   we can't afford this, there has to be some common sense around what we can afford. You know, can we afford the social services, the hospitals, the schools, the infrastructure, do we have enough housing for all these people? And I think we've just like become completely unmoored from common sense. Now, I think that's the ideological people in the party. But I don't know, if that's Biden, the Biden administration, I do think that for the administration, they think more about some of these other calculations.
[00:59:04.160 --> 00:59:21.920]   But even so, I don't really understand their motivations and their actions. Because recruiting more democratic voters is more of a long term proposition. It's something that they can achieve over the next couple of decades. But Biden could lose the election this year, over this issue. I mean, this is his
[00:59:21.920 --> 00:59:47.120]   worst issue. And he's shining a spotlight on this. I mean, he's actually sending his solicitor general to the Supreme Court to get permission to cut the wire at the border, right. And, you know, again, he's shining a spotlight on an issue where the vast majority of the country and even I think half of the Democrats don't agree with this policy. So I just don't, I don't get it.
[00:59:47.120 --> 01:00:16.080]   100% right on sacks. This is like, for Republican, this is abortion is to Republicans as the border to Democrats, you have to solve this problem. Look at this chart, to be so disconnected from the populace. Only 7% of people reported and this is a recent poll. This is from this year that it's not much of a problem the situation the border 45% and 30% very serious or a crisis that 75% think it's a crisis or very serious. And then 18% thing is so mysterious. That is the majority
[01:00:16.100 --> 01:00:45.960]   overwhelming majority of Americans in you just have to change your policy here. This is just too many people flooding across the border, period, full stop, right? Just like for Republicans, like they shouldn't have to overturn Roe v. Wade, and we should shut down the border, you know, on the Democratic side, but I come from a blue collar family, I can tell you, there are two Democratic parties right now. There's the the working class Democratic Party that totally doesn't understand what Biden is doing with the border, because they want to see wages increase, they
[01:00:45.960 --> 01:01:15.800]   want to see low unemployment, they want to see their wages increase and not have to deal with illegal immigrants, you know, fighting for jobs, that's a real thing, wages have gone up in this country because of low unemployment, that's great for the bottom half of the country. And they live in New York, and New Yorkers want to see services for their families, not for families that are streaming across the border. It's that simple. And so what you're saying, Chamath about like woke liberals, that's not the
[01:01:15.800 --> 01:01:24.400]   majority of people in New York, that's like a really elite control the Democratic Party. That's the thing. They control it for now. They control for now. But I think they're losing control.
[01:01:24.400 --> 01:01:39.360]   And this is why Biden did that huge debt forgiveness program that the Supreme Court found unconstitutional is because of course, professional elites, college graduates, and specifically Ivy League graduates, are the people who run the Democratic Party, as well as the media and all these other professional
[01:01:39.360 --> 01:01:58.340]   institutions. They're the center of gravity and the power within the party. And the blue collar, the lunch pail type Democrats, the union rank and file, not the leadership, they are starting to move to the Republican Party, the working class, in bigger and bigger numbers. And I think that's Trump's appeal is he actually knows how to appeal to those those people.
[01:01:58.360 --> 01:02:05.760]   Absolutely. Knowing a lot of both my experience is there's a lot less self loathing amongst Republicans right now than than there is among Democrats.
[01:02:05.760 --> 01:02:09.520]   100% of my middle class family does not want an open border.
[01:02:09.520 --> 01:02:11.560]   They may move to the Republicans one day, Jason.
[01:02:11.560 --> 01:02:26.840]   Oh, I know they are. They are literal people in New York proving my Brooklyn in, you know, the boroughs who are looking at it saying like, I don't understand this world crazy ideology. I don't want any part of it. And they might they might vote Republican.
[01:02:26.920 --> 01:02:36.440]   Shabbath is right. It is self hating. It's self destructive. It's the same thing that we have with these DAs, you know, who are letting all the criminals out of prison. You know, the decarceration movement.
[01:02:36.440 --> 01:02:53.360]   No, law and order, Jason, you keep saying nobody wants that. But I think the people that are making these decisions live in high rises that are 50 stories up where there's doormen and security or they're living behind a gate with private security. And so they can make these decisions because they don't feel the impact.
[01:02:53.360 --> 01:03:15.480]   Not yet. This is why what's happening in these elite cities is so important. Because for the first time, the broad infrastructure of a city is getting crippled in a way where these folks have to live with the implication of their decision and actually understand for themselves. Why did I endorse something that is so fundamentally destructive to me and the people around me.
[01:03:15.880 --> 01:03:37.120]   And this is the first time and so in many ways, what the southern states have been doing by sending migrants to all of these major cities is it is actually allow the leadership of the liberal elite in these cities to confront. Why have I been proposing these programs and these solutions in this way, they've never
[01:03:37.120 --> 01:04:06.360]   had the exact same thing that's happening to the Republican Party as well, their leadership, Nikki Halley, etc. The the neocon warmongering Republican Party is now losing to Trump as well. Everybody's going populist now that you need only look at the statistics, the majority of people want the border closed. That is across both parties. The majority of people don't want to be involved in foreign wars. That's across both parties. And that's why, you know, Trump and RFK are just crushing it in the polls.
[01:04:06.720 --> 01:04:18.000]   And that's why they're both having such a great show. And it's because they're appealing to the majority of Americans. And the majority of Americans don't want to be involved in foreign wars. It's not a Republican position. Republican position is the opposite. They're neocons. They want to go to war.
[01:04:18.280 --> 01:04:43.960]   Let's go to fintech on the topic of fintech and more journalism. A bunch of news has been leaked. Recently, we can get into that aspect of the story as well. Confidential financial data from Brexan and tropic were leaked this week. If you don't know Brex, they offer credit card and expense management software. It's pretty dope, actually very hot startup, they raised a billion five between 2017 and 22.
[01:04:44.680 --> 01:05:14.440]   And they were last valued at $12 billion. Earlier this week, it was reported that Brex was burning 17 million a month 200 million a year on net revenues of 280. These are select leaks, we don't have like the full P&L here. So we can't tell you exactly what's reality or what parts of this are true. But later that same day, after the leak, Brex announced it was cutting 20% of its staff 300 jobs, which it said would help it extend its runway by two years. And tropic, one of the breakout AI companies that's building a proprietary
[01:05:14.480 --> 01:05:18.560]   large language model called quad. It's really dope, actually, as well. Another cool product.
[01:05:18.560 --> 01:05:41.760]   They've raised over 7 billion at a $19 billion valuation recently. And their gross margin was leaked this week to anonymous sources said it was between 50 and 55%. Obviously, we talked here about SAS software, being a 70 to 80% margin business. So free bird, you want to maybe, I don't know which way you want to go with this stuff being leaked by the press, or the finance side.
[01:05:41.760 --> 01:06:11.680]   I wanted to ask you guys your opinion. Do you think it's almost like the gossip version of business when you get private companies financials and report on it with like an angle of being effectively disparaging towards the business, look how much they're burning, look how bad the business is. It hurts employees, it hurts shareholders, any one of us who have been investors in or involved in or on the board of a company, where the press then writes an article where they got the hand on confidential
[01:06:11.680 --> 01:06:41.520]   financial information about the business always hurts the business. It's almost like taking photographers outside of celebrities homes and taking photos of them through their windows. I don't understand the true newsworthiness. And I just like to take a step back, because we always kind of dive into these conversations and treat it as totally appropriate, when private confidential information about businesses is leaked and discussed like this. And we kind of have accepted it as the standard. But, you know, do we really identify the newsworthiness in this? Or is this really just like, the gossip
[01:06:41.520 --> 01:06:49.960]   fodder for hurting businesses? And it's the kind of sensationalism that we've kind of come you gotten used to in in in the news in general, who does the reporting benefit?
[01:06:49.960 --> 01:07:02.600]   What the journalists would say is, it gives the public the ability to understand business and trends at a deeper level. And that's good in a free society. That's what they would say. But you could argue like, what's the point of this?
[01:07:02.600 --> 01:07:07.640]   Isn't it a sensational story? It's like, Oh, look how much money this company is burning. Oh, wow, that's why we should all talk about it. Like,
