
[00:00:00.040 --> 00:00:18.600]   Hex is a data science platform company. What you should think about is sort of like a really
[00:27:34.100 --> 00:27:37.100]   If they just want to go do it from scratch, go ahead, have fun.
[00:27:37.100 --> 00:27:41.100]   But there's a little bit of like reason why that makes sense for Netflix and not for most of us.
[00:27:41.100 --> 00:27:44.100]   We're at time, but this is going to be our last question.
[00:27:44.100 --> 00:27:45.100]   Let's go.
[00:27:45.100 --> 00:27:46.100]   Hey, Brian.
[00:27:46.100 --> 00:27:47.100]   Thanks for the great talk.
[00:27:47.100 --> 00:27:48.100]   Thanks.
[00:27:48.100 --> 00:27:53.100]   What I was hoping to get your opinion on is when you're hiring or maybe not reskilling your team.
[00:27:53.100 --> 00:28:02.100]   You mentioned a lot of great attributes that you should look at like data literacy, your urgency and your general enthusiasm for I guess generative AI products in general.
[00:28:02.100 --> 00:28:09.100]   So I was wondering when you're doing hiring, what do you think are some of the attributes that are non-negotiable and what do you think are some attributes that are trainable?
[00:28:09.100 --> 00:28:18.100]   The sense that if you hire a software engineer who has a lot of enthusiasm and a lot of skills that could benefit but doesn't really have the data literacy, do you think that's okay?
[00:28:18.100 --> 00:28:21.100]   Or if you hire a data scientist who might not have the urgency but the background?
[00:28:21.100 --> 00:28:27.100]   I think all three of the attributes I mentioned, there needs to be some kernel there that I can develop.
[00:28:27.100 --> 00:28:30.100]   Zero on any of them scares me.
[00:28:30.100 --> 00:28:39.100]   But there's one latent feature that I didn't mention that I've never personally successfully trained and is a really big, powerful feature in my model.
[00:28:39.100 --> 00:28:40.100]   And that's curiosity.
[00:28:40.100 --> 00:28:44.100]   Actually, I think that's a fantastic way to end.
[00:28:44.100 --> 00:28:46.100]   Give it up for Brian.
[00:28:46.100 --> 00:28:47.100]   Thank you.
[00:28:47.100 --> 00:28:48.100]   Thank you.
[00:28:48.100 --> 00:28:49.100]   Thank you.
[00:28:49.100 --> 00:28:50.100]   Thank you.
[00:28:50.100 --> 00:28:51.100]   Thank you.
[00:28:51.100 --> 00:28:52.100]   Thank you.
[00:28:52.100 --> 00:28:53.100]   Thank you.
[00:28:53.100 --> 00:28:54.100]   Thank you.
[00:28:54.100 --> 00:28:55.100]   Thank you.
[00:28:55.100 --> 00:28:56.100]   Thank you.
[00:28:56.100 --> 00:28:57.100]   Thank you.
[00:28:57.100 --> 00:28:58.100]   Thank you.
[00:28:58.100 --> 00:28:58.100]   Thank you.
[00:28:58.100 --> 00:28:59.100]   Thank you.
[00:28:59.100 --> 00:29:00.100]   Thank you.
[00:29:00.100 --> 00:29:01.100]   Thank you.
[00:29:01.100 --> 00:29:01.100]   Thank you.
[00:29:01.100 --> 00:29:02.100]   Thank you.
[00:29:02.100 --> 00:29:03.100]   Thank you.
[00:29:03.100 --> 00:29:05.480]   We'll be right back.

