
[00:00:00.040 --> 00:00:09.340]  胡
[00:16:56.100 --> 00:16:56.100]   especially things like having children.
[00:16:56.100 --> 00:16:56.100]   My wife and I have young children,
[00:16:56.100 --> 00:16:56.100]   My wife and I have young children,
[00:16:56.100 --> 00:16:56.100]   so I'm ignoring the cost of tires.
[00:16:56.100 --> 00:16:56.100]   I'm ignoring the cost of tires.
[00:16:56.100 --> 00:16:56.100]   So with my friend who travels as a snowbird,
[00:16:56.100 --> 00:16:56.100]   So with my friend who travels as a snowbird,
[00:16:56.100 --> 00:16:56.100]   I'm ignoring the cost of tires.
[00:16:56.100 --> 00:16:56.100]   So with my friend who travels as a snowbird,
[00:16:56.100 --> 00:16:56.100]   I'm ignoring the cost of tires.
[00:16:56.100 --> 00:16:56.100]   So with my friend who travels as a snowbird,
[00:16:56.100 --> 00:16:56.100]   I'm ignoring the cost of tires.
[00:16:56.100 --> 00:17:26.120]   I'm ignoring the cost of tires.
[00:17:26.120 --> 00:17:26.120]   So with my friend who travels as a snowbird,
[00:17:26.120 --> 00:17:26.120]   I'm ignoring the cost of tires.
[00:17:26.120 --> 00:17:26.120]   So with my friend who travels as a snowbird,
[00:17:26.120 --> 00:17:26.120]   I'm ignoring the cost of tires.
[00:17:26.120 --> 00:17:26.120]   So with my friend who travels as a snowbird,
[00:17:26.120 --> 00:17:26.120]   I'm ignoring the cost of tires.
[00:17:26.120 --> 00:17:26.120]   So with my friend who travels as a snowbird,
[00:17:26.120 --> 00:17:26.120]   I'm ignoring the cost of tires.
[00:17:26.120 --> 00:17:26.120]   So with my friend who travels as a snowbird,
[00:17:26.120 --> 00:17:26.120]   I'm ignoring the cost of tires.
[00:17:26.120 --> 00:17:26.120]   So with my friend who travels as a snowbird,
[00:17:26.120 --> 00:17:26.120]   I'm ignoring the cost of tires.
[00:17:26.120 --> 00:17:26.120]   So with my friend who travels as a snowbird, I'm ignoring the cost of tires.
[00:17:26.140 --> 00:17:56.140]   I'm ignoring the cost of tires.
[00:17:56.140 --> 00:17:56.140]   So with my friend who travels as a snowbird,
[00:17:56.140 --> 00:17:56.140]   I'm ignoring the cost of tires.
[00:17:56.140 --> 00:17:56.140]   So with my friend who travels as a snowbird,
[00:17:56.140 --> 00:17:56.140]   I'm ignoring the cost of tires.
[00:17:56.140 --> 00:17:56.140]   So with my friend who travels as a snowbird,
[00:17:56.140 --> 00:17:56.140]   I'm ignoring the cost of tires.
[00:17:56.140 --> 00:17:56.140]   So with my friend who travels as a snowbird,
[00:17:56.140 --> 00:17:56.140]   I'm ignoring the cost of tires.
[00:17:56.140 --> 00:17:56.140]   So with my friend who travels as a snowbird,
[00:17:56.140 --> 00:17:56.140]   I'm ignoring the cost of tires.
[00:17:56.140 --> 00:17:56.140]   So with my friend who travels as a snowbird,
[00:17:56.140 --> 00:17:56.140]   I'm ignoring the cost of tires.
[00:17:56.140 --> 00:17:56.140]   So with my friend who travels as a snowbird,
[00:17:56.140 --> 00:17:56.140]   I'm ignoring the cost of tires.
[00:17:56.140 --> 00:17:56.140]   So with my friend who travels as a snowbird,
[00:17:56.140 --> 00:17:56.140]   is a snowbird, I'm ignoring the cost of tires.
[00:17:56.140 --> 00:17:56.140]   is incredibly stressful.
[00:17:56.180 --> 00:18:07.360]   at
[00:18:07.360 --> 00:18:23.420]   save in it is of better strongly Micha Gandom rob�
[00:18:24.720 --> 00:18:53.260]   serious thought to not choosing an RV. Give serious thought to doing vacation rentals. Give serious thought to traveling in a car. Give serious thought to not having an RV because you can do away with a whole lot of expense, a whole lot of stress, a whole lot of hassle by not having an RV. But on the other hand, if you want to stay in places where there aren't hotels and you'd like to have your things around you because you're working full time on the road, you're traveling for six months or a year and you've got small children and your wife and children and you're trying to get a job, then you're going to want to do away with a whole lot of expense.
[00:18:53.300 --> 00:19:04.340]   dig
[00:22:15.040 --> 00:22:17.380]   over
[00:22:17.380 --> 00:22:28.200]   in. K I, sound,,,,
[00:23:12.520 --> 00:23:12.520]   -------
[00:23:12.520 --> 00:23:12.520]   -------
[00:23:12.560 --> 00:23:20.620]   I
[00:23:20.620 --> 00:23:23.380]  ough my butt that cannot less
[00:24:08.720 --> 00:24:08.720]   and I'm going to start fresh.
[00:24:08.720 --> 00:24:08.720]   and I'm going to start fresh.
[00:24:08.720 --> 00:24:08.720]   and I'm going to start fresh.
[00:24:08.720 --> 00:24:08.720]   and I'm going to start fresh.
[00:24:08.720 --> 00:24:08.720]   and I'm going to start fresh.
[00:24:08.720 --> 00:24:08.780]   I'm going to start fresh.
[00:24:08.780 --> 00:24:08.860]   I'm going to start fresh.
[00:24:08.860 --> 00:24:08.920]   I'm going to start fresh.
[00:24:08.920 --> 00:24:09.200]   I'm going to start fresh.
[00:24:09.200 --> 00:24:09.280]   I'm going to start fresh.
[00:24:09.280 --> 00:24:09.660]   I'm going to start fresh.
[00:24:09.660 --> 00:24:09.680]   I'm going to start fresh.
[00:24:09.680 --> 00:24:09.740]   I'm going to start fresh.
[00:24:09.740 --> 00:24:09.820]   I'm going to start fresh.
[00:24:09.820 --> 00:24:09.880]   I'm going to start fresh.
[00:24:09.880 --> 00:24:10.120]   I'm going to start fresh.
[00:24:10.120 --> 00:24:10.340]   I'm going to start fresh.
[00:24:10.340 --> 00:24:10.380]   I'm going to start fresh.
[00:24:10.380 --> 00:24:10.400]   I'm going to start fresh.
[00:24:10.400 --> 00:24:10.440]   I'm going to start fresh.
[00:24:10.440 --> 00:24:10.480]   I'm going to start fresh.
[00:24:10.480 --> 00:24:10.540]   I'm going to start fresh.
[00:24:10.540 --> 00:24:10.620]   I'm going to start fresh.
[00:24:10.660 --> 00:24:18.280]   ac
[00:24:18.280 --> 00:24:22.080]   it,
[00:26:03.860 --> 00:26:13.860]  'm
[00:26:13.860 --> 00:26:14.880]   frame, " were
[00:26:14.880 --> 00:26:33.560]  ya or head beика--M -T. -T. -G. -G. via d pert calend ma estiver the r seemed the work, the be, a Lo, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, represent the, packing the, BLACKAL.��. But, worked. But, escolDIA ciao. Et. And, stomachר. I'm.ire. chroma. lí Sandy. Well,'re. be.ing the,
[00:26:33.600 --> 00:26:51.640]   the
[00:28:09.060 --> 00:28:13.020]   3
[00:28:13.020 --> 00:28:13.040]   4
[00:28:13.040 --> 00:28:13.060]   5
[00:28:13.060 --> 00:28:13.080]   6
[00:28:13.080 --> 00:28:13.100]   7
[00:28:13.100 --> 00:28:13.120]   8
[00:28:13.120 --> 00:28:13.160]   10
[00:28:13.160 --> 00:28:13.180]   11
[00:28:13.180 --> 00:28:13.200]   12
[00:28:13.200 --> 00:28:13.200]   13
[00:28:13.200 --> 00:28:13.220]   14
[00:28:13.220 --> 00:28:13.260]   15
[00:28:13.260 --> 00:28:13.280]   16
[00:28:13.280 --> 00:28:13.300]   17
[00:28:13.300 --> 00:28:13.320]   18
[00:28:13.320 --> 00:28:13.340]   20
[00:28:13.340 --> 00:28:13.360]   21
[00:28:13.360 --> 00:28:13.380]   22
[00:28:13.380 --> 00:28:13.420]   23
[00:28:13.420 --> 00:28:13.440]   24
[00:28:13.440 --> 00:28:13.460]   24
[00:28:13.460 --> 00:28:13.480]   25
[00:28:13.480 --> 00:28:13.500]   26
[00:28:13.500 --> 00:28:13.520]   27
[00:28:13.520 --> 00:28:13.540]   28
[00:28:13.540 --> 00:28:13.540]   29
[00:28:13.540 --> 00:28:13.580]   31
[00:28:13.580 --> 00:28:13.600]   32
[00:28:13.600 --> 00:28:13.620]   33
[00:28:13.620 --> 00:28:13.640]   34
[00:28:13.640 --> 00:28:13.660]   35
[00:28:13.660 --> 00:28:13.720]   36
[00:28:13.720 --> 00:28:13.740]   37
[00:28:13.740 --> 00:28:13.760]   38
[00:28:13.760 --> 00:28:14.060]   40
[00:28:14.060 --> 00:28:14.080]   41
[00:28:14.080 --> 00:28:14.100]   42
[00:28:14.100 --> 00:28:14.120]   43
[00:28:14.120 --> 00:28:14.140]   44
[00:28:14.140 --> 00:28:14.160]   45
[00:28:14.160 --> 00:28:14.180]   45
[00:28:14.180 --> 00:28:14.220]   46
[00:28:14.220 --> 00:28:14.240]   47
[00:28:14.240 --> 00:28:14.260]   48
[00:28:14.260 --> 00:28:14.420]   49
[00:28:14.420 --> 00:28:14.440]   49
[00:28:14.440 --> 00:28:14.480]   50
[00:28:14.480 --> 00:28:14.500]   51
[00:28:14.500 --> 00:28:14.540]   52
[00:28:14.540 --> 00:28:14.640]   53
[00:28:14.640 --> 00:28:14.700]   54
[00:28:14.700 --> 00:28:14.980]   53
[00:28:14.980 --> 00:28:14.980]   54
[00:28:14.980 --> 00:28:15.040]   55
[00:28:15.040 --> 00:28:19.140]   56
[00:28:19.140 --> 00:28:19.940]   57
[00:28:19.940 --> 00:28:25.100]   58
[00:28:25.100 --> 00:28:25.100]   58
[00:28:25.100 --> 00:28:25.120]   59
[00:28:25.120 --> 00:28:25.140]   60
[00:28:25.140 --> 00:28:25.160]   60
[00:28:25.160 --> 00:28:25.180]   70
[00:28:25.180 --> 00:28:25.220]   71
[00:28:25.220 --> 00:28:25.240]   72
[00:28:25.240 --> 00:28:25.280]   73
[00:28:25.280 --> 00:28:25.320]   74
[00:28:25.320 --> 00:28:25.340]   74
[00:28:25.340 --> 00:28:25.340]   74
[00:28:25.340 --> 00:28:25.360]   75
[00:28:25.360 --> 00:28:25.380]   74
[00:28:25.380 --> 00:28:25.420]   75
[00:28:25.420 --> 00:28:25.420]   75
[00:28:25.460 --> 00:28:35.380]  ,
[00:30:46.840 --> 00:31:16.820]   gather
[00:32:16.960 --> 00:32:46.960]  ,
[00:32:46.960 --> 00:32:46.960]   I told my wife for years how much I disliked pop-up tent campers and I never wanted to have a pop-up tent camper. Today, I would be thoroughly happy to have a pop-up tent camper and I'm going to recommend to you in a separate episode that your next RV or your only RV should be a pop-up tent camper and I'll explain how the pop-up tent camper satisfies all of these things in a really, really short time.
[00:32:46.960 --> 00:32:46.960]   I told my wife for years how much I disliked pop-up tent campers and I never wanted to have a pop-up tent camper. Today, I would be thoroughly happy to have a pop-up tent camper and I'm going to recommend to you in a separate episode that your next RV or your only RV should be a pop-up tent camper and I'll explain how the pop-up tent camper satisfies all of these things in a really, really short time.
[00:32:47.000 --> 00:33:16.980]   a pop-up tent camper and I'll explain how the pop-up tent camper satisfies all of these things in a really, really short time.
[00:33:16.980 --> 00:33:16.980]   So, today I'm going to recommend to you in a separate episode that your next RV or your only RV should be a pop-up tent camper and I'll explain how the pop-up tent camper satisfies all of these things in a really, really, really short time.
[00:33:17.000 --> 00:33:47.000]   I told my wife for years how the pop-up tent camper satisfies all of these things in a really, really, really short time.
[00:33:47.000 --> 00:33:47.000]   I told my wife for years how the pop-up tent camper satisfies all of these things in a really, really, really short time.
[00:33:47.000 --> 00:33:47.000]   I told my wife for years how the pop-up tent camper satisfies all of these things in a really, really, really short time.
[00:33:47.000 --> 00:33:47.000]   I told my wife for years how the pop-up tent camper satisfies all of these things in a really, really, really short time.
[00:33:47.000 --> 00:33:47.000]   I told my wife for years how the pop-up tent camper satisfies all of these things in a really, really, really short time.
[00:33:47.000 --> 00:33:47.000]   I told my wife for years how the pop-up tent camper satisfies all of these things in a really, really, really, really short time.
[00:33:47.000 --> 00:33:47.000]   I told my wife for years how the pop-up tent camper satisfies all of these things in a really, really, really, really, really short time.
[00:33:47.040 --> 00:33:52.900]   try
[00:33:52.900 --> 00:33:57.160]   AC B A高,,,, I stomachacer Slim G G I Z D
[00:33:57.160 --> 00:34:00.840]  meden
[00:34:00.840 --> 00:34:15.760]  , and, and, and, and, and, and, but,管, Zug de gehört excellent Fl paymentsGLCGWB showedGXB?'G™F oppressed econ placwatèn那個화�7
[00:34:15.840 --> 00:34:25.380]   I think that's a good question.
[00:34:25.380 --> 00:34:26.380]   I think that's a good question.
[00:34:26.380 --> 00:34:27.380]   I think that's a good question.
[00:34:27.380 --> 00:34:28.380]   I think that's a good question.
[00:34:28.380 --> 00:34:29.380]   I think that's a good question.
[00:34:29.380 --> 00:34:30.380]   I think that's a good question.
[00:34:30.380 --> 00:34:31.380]   I think that's a good question.
[00:34:31.380 --> 00:34:32.380]   I think that's a good question.
[00:34:32.380 --> 00:34:33.380]   I think that's a good question.
[00:34:33.380 --> 00:34:34.380]   I think that's a good question.
[00:34:34.380 --> 00:34:35.380]   I think that's a good question.
[00:34:35.380 --> 00:34:36.380]   I think that's a good question.
[00:34:36.380 --> 00:34:37.380]   I think that's a good question.
[00:34:37.380 --> 00:34:38.380]   I think that's a good question.
[00:34:38.380 --> 00:34:39.380]   I think that's a good question.
[00:34:39.380 --> 00:34:40.380]   I think that's a good question.
[00:34:40.380 --> 00:34:41.380]   I think that's a good question.
[00:34:41.380 --> 00:34:42.380]   I think that's a good question.
[00:34:42.380 --> 00:34:43.380]   I think that's a good question.
[00:34:43.380 --> 00:34:44.380]   I think that's a good question.
[00:34:44.380 --> 00:34:44.640]   I think that's a good question.
[00:34:44.680 --> 00:34:55.440]   I
[00:34:55.440 --> 00:35:14.660]   essay quiet no
[00:35:14.680 --> 00:35:44.680]   in this way when my wife and I if we need to consult a doctor or a care provider or something like that we just simply go and choose one and as we've traveled across the country it's been easy for us to choose one anywhere of any brand or any variety that's worked for us and then when we're done with that medical service we just simply pay the medical provider just take $20 bills or $100 bills as the case may be out of my
[00:35:44.680 --> 00:35:44.680]   Корreggs
[00:35:44.680 --> 00:35:44.680]   I'm not sure if I'm going to be able to do that but I'm going to be able to do that
[00:35:44.680 --> 00:35:44.680]   I'm not sure if I'm going to be able to do that
[00:35:44.680 --> 00:35:44.680]   I'm not sure if I'm going to be able to do that
[00:35:44.680 --> 00:35:44.680]   I'm not sure if I'm going to be able to do that
[00:35:44.680 --> 00:35:44.680]   I'm not sure if I'm going to be able to do that
[00:35:44.680 --> 00:35:44.680]   I'm not sure if I'm going to be able to do that
[00:35:44.680 --> 00:36:14.700]  , I'm not sure if I'm going to be able to do that
[00:36:14.700 --> 00:36:14.700]   I'm not sure if I'm going to be able to do that
[00:36:14.700 --> 00:36:14.700]   I'm not sure if I'm going to be able to do that
[00:36:14.700 --> 00:36:14.700]   I'm not sure if I'm going to be able to do that
[00:36:14.700 --> 00:36:14.700]   I'm not sure if I'm going to be able to do that
[00:36:14.700 --> 00:36:14.700]   I'm not sure if I'm going to be able to do that
[00:36:14.700 --> 00:36:14.700]   I'm not sure if I'm going to be able to do that
[00:36:14.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.720 --> 00:36:44.720]   I'm not sure if I'm going to be able to do that
[00:36:44.740 --> 00:37:14.740]   I'm not sure if I'm going to be able to do that
[00:37:14.740 --> 00:37:14.740]   I'm not sure if I'm going to be able to do that
[00:37:14.740 --> 00:37:14.740]   I'm not sure if I'm going to be able to do that
[00:37:14.740 --> 00:37:14.740]   I'm not sure if I'm going to be able to do that
[00:37:14.740 --> 00:37:14.740]   I'm not sure if I'm going to be able to do that
[00:37:14.740 --> 00:37:14.740]   I'm not sure if I'm going to be able to do that
[00:37:14.740 --> 00:37:14.740]   I'm not sure if I'm going to be able to do that
[00:37:14.740 --> 00:37:14.740]   I'm not sure if I'm going to be able to do that
[00:37:14.740 --> 00:37:14.740]   I'm not sure if I'm going to be able to do that
[00:37:14.740 --> 00:37:14.740]   I'm not sure if I'm going to be able to do that
[00:37:14.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:37:44.760]   I'm not sure if I'm going to be able to do that
[00:37:44.760 --> 00:38:14.780]   I'm not sure if I'm going to be able to do that
[00:38:14.780 --> 00:38:14.780]   I'm not sure if I'm going to be able to do that
[00:38:14.780 --> 00:38:14.780]   I'm not sure if I'm going to be able to do that
[00:38:14.780 --> 00:38:14.780]   I'm not sure if I'm going to be able to do that
[00:38:14.780 --> 00:38:14.780]   I'm not sure if I'm going to be able to do that
[00:38:14.780 --> 00:38:14.780]   I'm not sure if I'm going to be able to do that
[00:38:14.780 --> 00:38:14.780]   I'm not sure if I'm going to be able to do that
[00:38:14.780 --> 00:38:14.780]   I'm not sure if I'm going to be able to do that
[00:38:14.780 --> 00:38:14.780]   I'm not sure if I'm going to be able to do that
[00:38:14.780 --> 00:38:14.780]   I'm not sure if I'm going to be able to do that
[00:38:14.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.800 --> 00:38:44.800]   I'm not sure if I'm going to be able to do that
[00:38:44.820 --> 00:39:14.820]  ,
[00:39:14.820 --> 00:39:14.820]   I'm not sure if I'm going to be able to do that
[00:39:14.820 --> 00:39:14.820]   I'm not sure if I'm going to be able to do that
[00:39:14.820 --> 00:39:14.820]   I'm not sure if I'm going to be able to do that
[00:39:14.820 --> 00:39:14.820]   I'm not sure if I'm going to be able to do that
[00:39:14.820 --> 00:39:14.820]   I'm not sure if I'm going to be able to do that
[00:39:14.820 --> 00:39:14.820]   I'm not sure if I'm going to be able to do that
[00:39:14.820 --> 00:39:14.820]   I'm not sure if I'm going to be able to do that
[00:39:14.820 --> 00:39:14.820]   I'm not sure if I'm going to be able to do that
[00:39:14.820 --> 00:39:14.820]   I'm not sure if I'm going to be able to do that
[00:39:14.820 --> 00:39:44.840]   I'm not sure if I'm going to be able to do that
[00:39:44.840 --> 00:39:44.840]   I'm not sure if I'm going to be able to do that
[00:39:44.840 --> 00:39:44.840]   I'm not sure if I'm going to be able to do that
[00:39:44.840 --> 00:39:44.840]   I'm not sure if I'm going to be able to do that
[00:39:44.840 --> 00:39:44.840]   I'm not sure if I'm going to be able to do that
[00:39:44.840 --> 00:39:44.840]   I'm not sure if I'm going to be able to do that
[00:39:44.840 --> 00:39:44.840]   I'm not sure if I'm going to be able to do that
[00:39:44.840 --> 00:39:44.840]   I'm not sure if I'm going to be able to do that
[00:39:44.880 --> 00:40:14.860]  étal I'm not sure if I'm going to be able to do that

