
[00:00:00.000 --> 00:00:03.000]   ♪ Bless him in the mornings ♪
[00:45:41.000 --> 00:45:46.000]   ♪
[00:45:46.000 --> 00:45:51.000]   ♪
[00:45:51.000 --> 00:45:56.000]   ♪
[00:45:56.000 --> 00:46:01.000]   ♪
[00:46:01.000 --> 00:46:06.000]   ♪
[00:46:06.000 --> 00:46:11.000]   ♪
[00:46:11.000 --> 00:46:16.000]   ♪
[00:46:16.000 --> 00:46:21.000]   ♪
[00:46:21.000 --> 00:46:26.000]   ♪
[00:46:26.000 --> 00:46:31.000]   ♪
[00:46:31.000 --> 00:46:36.000]   ♪
[00:46:36.000 --> 00:46:41.000]   ♪
[00:46:41.000 --> 00:46:46.000]   ♪
[00:46:46.000 --> 00:46:51.000]   ♪
[00:46:51.000 --> 00:46:56.000]   ♪
[00:46:56.000 --> 00:47:01.000]   ♪
[00:47:01.000 --> 00:47:06.000]   ♪
[00:47:06.000 --> 00:47:11.000]   ♪
[00:47:11.000 --> 00:47:16.000]   ♪
[00:47:16.000 --> 00:47:21.000]   ♪
[00:47:21.000 --> 00:47:26.000]   ♪
[00:47:26.000 --> 00:47:31.000]   ♪
[00:47:31.000 --> 00:47:36.000]   ♪
[00:47:36.000 --> 00:47:41.000]   ♪
[00:47:41.000 --> 00:47:46.000]   ♪
[00:47:46.000 --> 00:47:51.000]   ♪
[00:47:51.000 --> 00:47:56.000]   ♪
[00:47:56.000 --> 00:48:01.000]   ♪
[00:48:01.000 --> 00:48:06.000]   ♪
[00:48:06.000 --> 00:48:11.000]   ♪
[00:48:11.000 --> 00:48:16.000]   ♪
[00:48:16.000 --> 00:48:21.000]   ♪
[00:48:21.000 --> 00:48:26.000]   ♪
[00:48:26.000 --> 00:48:31.000]   ♪
[00:48:31.000 --> 00:48:36.000]   ♪
[00:48:36.000 --> 00:48:41.000]   ♪
[00:48:41.000 --> 00:48:46.000]   ♪
[00:48:46.000 --> 00:48:51.000]   ♪
[00:48:51.000 --> 00:48:56.000]   ♪
[00:48:56.000 --> 00:49:01.000]   ♪
[00:49:01.000 --> 00:49:06.000]   ♪
[00:49:06.000 --> 00:49:11.000]   ♪
[00:49:11.000 --> 00:49:16.000]   ♪
[00:49:16.000 --> 00:49:21.000]   ♪
[00:49:21.000 --> 00:49:26.000]   ♪
[00:49:26.000 --> 00:49:31.000]   ♪
[00:49:31.000 --> 00:49:36.000]   ♪
[00:49:36.000 --> 00:49:41.000]   ♪
[00:49:41.000 --> 00:49:46.000]   ♪
[00:49:46.000 --> 00:49:51.000]   ♪
[00:49:51.000 --> 00:49:56.000]   ♪
[00:49:56.000 --> 00:50:01.000]   ♪
[00:50:01.000 --> 00:50:06.000]   ♪
[00:50:06.000 --> 00:50:11.000]   ♪
[00:50:11.000 --> 00:50:16.000]   ♪
[00:50:16.000 --> 00:50:21.000]   ♪
[00:50:21.000 --> 00:50:26.000]   ♪
[00:50:26.000 --> 00:50:31.000]   ♪
[00:50:31.000 --> 00:50:36.000]   ♪
[00:50:36.000 --> 00:50:41.000]   ♪
[00:50:41.000 --> 00:50:46.000]   ♪
[00:50:46.000 --> 00:50:51.000]   ♪
[00:50:51.000 --> 00:50:56.000]   ♪
[00:50:56.000 --> 00:51:01.000]   ♪
[00:51:01.000 --> 00:51:06.000]   ♪
[00:51:06.000 --> 00:51:11.000]   ♪
[00:51:11.000 --> 00:51:16.000]   ♪
[00:51:16.000 --> 00:51:21.000]   ♪
[00:51:21.000 --> 00:51:26.000]   ♪
[00:51:26.000 --> 00:51:31.000]   ♪
[00:51:31.000 --> 00:51:36.000]   ♪
[00:51:36.000 --> 00:51:41.000]   ♪
[00:51:41.000 --> 00:51:46.000]   ♪
[00:51:46.000 --> 00:51:51.000]   ♪
[00:51:51.000 --> 00:51:56.000]   ♪
[00:51:56.000 --> 00:52:01.000]   ♪
[00:52:01.000 --> 00:52:06.000]   ♪
[00:52:06.000 --> 00:52:11.000]   ♪
[00:52:11.000 --> 00:52:16.000]   ♪
[00:52:16.000 --> 00:52:21.000]   ♪
[00:52:21.000 --> 00:52:26.000]   ♪
[00:52:26.000 --> 00:52:31.000]   ♪
[00:52:31.000 --> 00:52:36.000]   ♪
[00:52:36.000 --> 00:52:41.000]   ♪
[00:52:41.000 --> 00:52:46.000]   ♪
[00:52:46.000 --> 00:52:51.000]   ♪
[00:52:51.000 --> 00:52:56.000]   ♪
[00:52:56.000 --> 00:53:01.000]   ♪
[00:53:01.000 --> 00:53:06.000]   ♪
[00:53:06.000 --> 00:53:11.000]   ♪
[00:53:11.000 --> 00:53:16.000]   ♪
[00:53:16.000 --> 00:53:21.000]   ♪
[00:53:21.000 --> 00:53:26.000]   ♪
[00:53:26.000 --> 00:53:31.000]   ♪
[00:53:31.000 --> 00:53:36.000]   ♪
[00:53:36.000 --> 00:53:41.000]   ♪
[00:53:41.000 --> 00:53:46.000]   ♪
[00:53:46.000 --> 00:53:51.000]   ♪
[00:53:51.000 --> 00:53:56.000]   ♪
[00:53:56.000 --> 00:54:01.000]   ♪
[00:54:01.000 --> 00:54:06.000]   ♪
[00:54:06.000 --> 00:54:11.000]   ♪
[00:54:11.000 --> 00:54:16.000]   ♪
[00:54:16.000 --> 00:54:21.000]   ♪
[00:54:21.000 --> 00:54:26.000]   ♪
[00:54:26.000 --> 00:54:31.000]   ♪
[00:54:31.000 --> 00:54:36.000]   ♪
[00:54:36.000 --> 00:54:41.000]   ♪
[00:54:41.000 --> 00:54:46.000]   ♪
[00:54:46.000 --> 00:54:51.000]   ♪
[00:54:51.000 --> 00:54:56.000]   ♪
[00:54:56.000 --> 00:55:01.000]   ♪
[00:55:01.000 --> 00:55:06.000]   ♪
[00:55:06.000 --> 00:55:11.000]   ♪
[00:55:11.000 --> 00:55:16.000]   ♪
[00:55:16.000 --> 00:55:21.000]   ♪
[00:55:21.000 --> 00:55:26.000]   ♪
[00:55:26.000 --> 00:55:31.000]   ♪
[00:55:31.000 --> 00:55:36.000]   ♪
[00:55:36.000 --> 00:55:41.000]   ♪
[00:55:41.000 --> 00:55:46.000]   ♪
[00:55:46.000 --> 00:55:51.000]   ♪
[00:55:51.000 --> 00:55:56.000]   ♪
[00:55:56.000 --> 00:56:01.000]   ♪
[00:56:01.000 --> 00:56:06.000]   ♪
[00:56:06.000 --> 00:56:11.000]   ♪
[00:56:11.000 --> 00:56:16.000]   ♪
[00:56:16.000 --> 00:56:21.000]   ♪
[00:56:21.000 --> 00:56:26.000]   ♪
[00:56:26.000 --> 00:56:31.000]   ♪
[00:56:31.000 --> 00:56:36.000]   ♪
[00:56:36.000 --> 00:56:41.000]   ♪
[00:56:41.000 --> 00:56:46.000]   ♪
[00:56:46.000 --> 00:56:51.000]   ♪
[00:56:51.000 --> 00:56:56.000]   ♪
[00:56:56.000 --> 00:57:01.000]   ♪
[00:57:01.000 --> 00:57:06.000]   ♪
[00:57:06.000 --> 00:57:11.000]   ♪
[00:57:11.000 --> 00:57:16.000]   ♪
[00:57:16.000 --> 00:57:21.000]   ♪
[00:57:21.000 --> 00:57:26.000]   ♪
[00:57:26.000 --> 00:57:31.000]   ♪
[00:57:31.000 --> 00:57:36.000]   ♪
[00:57:36.000 --> 00:57:41.000]   ♪
[00:57:41.000 --> 00:57:46.000]   ♪
[00:57:46.000 --> 00:57:51.000]   ♪
[00:57:51.000 --> 00:57:56.000]   ♪
[00:57:56.000 --> 00:58:01.000]   ♪
[00:58:01.000 --> 00:58:06.000]   ♪
[00:58:06.000 --> 00:58:11.000]   ♪
[00:58:11.000 --> 00:58:16.000]   ♪
[00:58:16.000 --> 00:58:21.000]   ♪
[00:58:21.000 --> 00:58:26.000]   ♪
[00:58:26.000 --> 00:58:31.000]   ♪
[00:58:31.000 --> 00:58:36.000]   ♪
[00:58:36.000 --> 00:58:41.000]   ♪
[00:58:41.000 --> 00:58:46.000]   ♪
[00:58:46.000 --> 00:58:51.000]   ♪
[00:58:51.000 --> 00:58:56.000]   ♪
[00:58:56.000 --> 00:59:01.000]   ♪
[00:59:01.000 --> 00:59:06.000]   ♪
[00:59:06.000 --> 00:59:11.000]   ♪
[00:59:11.000 --> 00:59:16.000]   ♪
[00:59:16.000 --> 00:59:21.000]   ♪
[00:59:21.000 --> 00:59:26.000]   ♪
[00:59:26.000 --> 00:59:31.000]   ♪
[00:59:31.000 --> 00:59:36.000]   ♪
[00:59:36.000 --> 00:59:41.000]   ♪
[00:59:41.000 --> 00:59:46.000]   ♪
[00:59:46.000 --> 00:59:51.000]   ♪
[00:59:51.000 --> 00:59:56.000]   ♪
[00:59:56.000 --> 01:00:01.000]   ♪
[01:00:01.000 --> 01:00:06.000]   ♪
[01:00:06.000 --> 01:00:11.000]   ♪
[01:00:11.000 --> 01:00:16.000]   ♪
[01:00:16.000 --> 01:00:21.000]   ♪
[01:00:21.000 --> 01:00:26.000]   ♪
[01:00:26.000 --> 01:00:31.000]   ♪
[01:00:31.000 --> 01:00:36.000]   ♪
[01:00:36.000 --> 01:00:41.000]   ♪
[01:00:41.000 --> 01:00:46.000]   ♪
[01:00:46.000 --> 01:00:51.000]   ♪
[01:00:51.000 --> 01:00:56.000]   ♪
[01:00:56.000 --> 01:01:01.000]   ♪
[01:01:01.000 --> 01:01:06.000]   ♪
[01:01:06.000 --> 01:01:11.000]   ♪
[01:01:11.000 --> 01:01:16.000]   ♪
[01:01:16.000 --> 01:01:21.000]   ♪
[01:01:21.000 --> 01:01:26.000]   ♪
[01:01:26.000 --> 01:01:31.000]   ♪
[01:01:31.000 --> 01:01:36.000]   ♪
[01:01:36.000 --> 01:01:41.000]   ♪
[01:01:41.000 --> 01:01:46.000]   ♪
[01:01:46.000 --> 01:01:51.000]   ♪
[01:01:51.000 --> 01:01:56.000]   ♪
[01:01:56.000 --> 01:02:01.000]   ♪
[01:02:01.000 --> 01:02:06.000]   ♪
[01:02:06.000 --> 01:02:11.000]   ♪
[01:02:11.000 --> 01:02:16.000]   ♪
[01:02:16.000 --> 01:02:21.000]   ♪
[01:02:21.000 --> 01:02:26.000]   ♪
[01:02:26.000 --> 01:02:31.000]   ♪
[01:02:31.000 --> 01:02:36.000]   ♪
[01:02:36.000 --> 01:02:41.000]   ♪
[01:02:41.000 --> 01:02:46.000]   ♪
[01:02:46.000 --> 01:02:51.000]   ♪
[01:02:51.000 --> 01:02:56.000]   ♪
[01:02:56.000 --> 01:03:01.000]   ♪
[01:03:01.000 --> 01:03:06.000]   ♪
[01:03:06.000 --> 01:03:11.000]   ♪
[01:03:11.000 --> 01:03:16.000]   ♪
[01:03:16.000 --> 01:03:21.000]   ♪
[01:03:21.000 --> 01:03:26.000]   ♪
[01:03:26.000 --> 01:03:31.000]   ♪
[01:03:31.000 --> 01:03:36.000]   ♪
[01:03:36.000 --> 01:03:41.000]   ♪
[01:03:41.000 --> 01:03:46.000]   ♪
[01:03:46.000 --> 01:03:51.000]   ♪
[01:03:51.000 --> 01:03:56.000]   ♪
[01:03:56.000 --> 01:04:01.000]   ♪
[01:04:01.000 --> 01:04:06.000]   ♪
[01:04:06.000 --> 01:04:11.000]   ♪
[01:04:11.000 --> 01:04:16.000]   ♪
[01:04:16.000 --> 01:04:21.000]   ♪
[01:04:21.000 --> 01:04:26.000]   ♪
[01:04:26.000 --> 01:04:31.000]   ♪
[01:04:31.000 --> 01:04:36.000]   ♪
[01:04:36.000 --> 01:04:41.000]   ♪
[01:04:41.000 --> 01:04:46.000]   ♪
[01:04:46.000 --> 01:04:51.000]   ♪
[01:04:51.000 --> 01:04:56.000]   ♪
[01:04:56.000 --> 01:05:01.000]   ♪
[01:05:01.000 --> 01:05:06.000]   ♪
[01:05:06.000 --> 01:05:11.000]   ♪
[01:05:11.000 --> 01:05:16.000]   ♪
[01:05:16.000 --> 01:05:21.000]   ♪
[01:05:21.000 --> 01:05:26.000]   ♪
[01:05:26.000 --> 01:05:31.000]   ♪
[01:05:31.000 --> 01:05:36.000]   ♪
[01:05:36.000 --> 01:05:41.000]   ♪
[01:05:41.000 --> 01:05:46.000]   ♪
[01:05:46.000 --> 01:05:51.000]   ♪
[01:05:51.000 --> 01:05:56.000]   ♪
[01:05:56.000 --> 01:06:01.000]   ♪
[01:06:01.000 --> 01:06:06.000]   ♪
[01:06:06.000 --> 01:06:11.000]   ♪
[01:06:11.000 --> 01:06:16.000]   ♪
[01:06:16.000 --> 01:06:21.000]   ♪
[01:06:21.000 --> 01:06:26.000]   ♪
[01:06:26.000 --> 01:06:31.000]   ♪
[01:06:31.000 --> 01:06:36.000]   ♪
[01:06:36.000 --> 01:06:41.000]   ♪
[01:06:41.000 --> 01:06:46.000]   ♪
[01:06:46.000 --> 01:06:51.000]   ♪
[01:06:51.000 --> 01:06:56.000]   ♪
[01:06:56.000 --> 01:07:01.000]   ♪
[01:07:01.000 --> 01:07:06.000]   ♪
[01:07:06.000 --> 01:07:11.000]   ♪
[01:07:11.000 --> 01:07:16.000]   ♪
[01:07:16.000 --> 01:07:21.000]   ♪
[01:07:21.000 --> 01:07:26.000]   ♪
[01:07:26.000 --> 01:07:31.000]   ♪
[01:07:31.000 --> 01:07:36.000]   ♪
[01:07:36.000 --> 01:07:41.000]   ♪
[01:07:41.000 --> 01:07:46.000]   ♪
[01:07:46.000 --> 01:07:51.000]   ♪
[01:07:51.000 --> 01:07:56.000]   ♪
[01:07:56.000 --> 01:08:01.000]   ♪
[01:08:01.000 --> 01:08:06.000]   ♪
[01:08:06.000 --> 01:08:11.000]   ♪
[01:08:11.000 --> 01:08:16.000]   ♪
[01:08:16.000 --> 01:08:21.000]   ♪
[01:08:21.000 --> 01:08:26.000]   ♪
[01:08:26.000 --> 01:08:31.000]   ♪
[01:08:31.000 --> 01:08:36.000]   ♪
[01:08:36.000 --> 01:08:41.000]   ♪
[01:08:41.000 --> 01:08:46.000]   ♪
[01:08:46.000 --> 01:08:51.000]   ♪
[01:08:51.000 --> 01:08:56.000]   ♪
[01:08:56.000 --> 01:09:01.000]   ♪
[01:09:01.000 --> 01:09:06.000]   ♪
[01:09:06.000 --> 01:09:11.000]   ♪
[01:09:11.000 --> 01:09:16.000]   ♪
[01:09:16.000 --> 01:09:21.000]   ♪
[01:09:21.000 --> 01:09:26.000]   ♪
[01:09:26.000 --> 01:09:31.000]   ♪
[01:09:31.000 --> 01:09:36.000]   ♪
[01:09:36.000 --> 01:09:41.000]   ♪
[01:09:41.000 --> 01:09:46.000]   ♪
[01:09:46.000 --> 01:09:51.000]   ♪
[01:09:51.000 --> 01:09:56.000]   ♪
[01:09:56.000 --> 01:10:01.000]   ♪
[01:10:01.000 --> 01:10:06.000]   ♪
[01:10:06.000 --> 01:10:11.000]   ♪
[01:10:11.000 --> 01:10:16.000]   ♪
[01:10:16.000 --> 01:10:21.000]   ♪
[01:10:21.000 --> 01:10:26.000]   ♪
[01:10:26.000 --> 01:10:31.000]   ♪
[01:10:31.000 --> 01:10:36.000]   ♪
[01:10:36.000 --> 01:10:41.000]   ♪
[01:10:41.000 --> 01:10:46.000]   ♪
[01:10:46.000 --> 01:10:51.000]   ♪
[01:10:51.000 --> 01:10:56.000]   ♪
[01:10:56.000 --> 01:11:01.000]   ♪
[01:11:01.000 --> 01:11:06.000]   ♪
[01:11:06.000 --> 01:11:11.000]   ♪
[01:11:11.000 --> 01:11:16.000]   ♪
[01:11:16.000 --> 01:11:21.000]   ♪
[01:11:21.000 --> 01:11:26.000]   ♪
[01:11:26.000 --> 01:11:31.000]   ♪
[01:11:31.000 --> 01:11:36.000]   ♪
[01:11:36.000 --> 01:11:41.000]   ♪
[01:11:41.000 --> 01:11:46.000]   ♪
[01:11:46.000 --> 01:11:51.000]   ♪
[01:11:51.000 --> 01:11:56.000]   ♪
[01:11:56.000 --> 01:12:01.000]   ♪
[01:12:01.000 --> 01:12:06.000]   ♪
[01:12:06.000 --> 01:12:11.000]   ♪
[01:12:11.000 --> 01:12:16.000]   ♪
[01:12:16.000 --> 01:12:21.000]   ♪
[01:12:21.000 --> 01:12:26.000]   ♪
[01:12:26.000 --> 01:12:31.000]   ♪
[01:12:31.000 --> 01:12:36.000]   ♪
[01:12:36.000 --> 01:12:41.000]   ♪
[01:12:41.000 --> 01:12:46.000]   ♪
[01:12:46.000 --> 01:12:51.000]   ♪
[01:12:51.000 --> 01:12:56.000]   ♪
[01:12:56.000 --> 01:13:01.000]   ♪
[01:13:01.000 --> 01:13:06.000]   ♪
[01:13:06.000 --> 01:13:11.000]   ♪
[01:13:11.000 --> 01:13:16.000]   ♪
[01:13:16.000 --> 01:13:21.000]   ♪
[01:13:21.000 --> 01:13:26.000]   ♪
[01:13:26.000 --> 01:13:31.000]   ♪
[01:13:31.000 --> 01:13:36.000]   ♪
[01:13:36.000 --> 01:13:41.000]   ♪
[01:13:41.000 --> 01:13:46.000]   ♪
[01:13:46.000 --> 01:13:51.000]   ♪
[01:13:51.000 --> 01:13:56.000]   ♪
[01:13:56.000 --> 01:14:01.000]   ♪
[01:14:01.000 --> 01:14:06.000]   ♪
[01:14:06.000 --> 01:14:11.000]   ♪
[01:14:11.000 --> 01:14:16.000]   ♪
[01:14:16.000 --> 01:14:21.000]   ♪
[01:14:21.000 --> 01:14:26.000]   ♪
[01:14:26.000 --> 01:14:31.000]   ♪
[01:14:31.000 --> 01:14:36.000]   ♪
[01:14:36.000 --> 01:14:41.000]   ♪
[01:14:41.000 --> 01:14:46.000]   ♪
[01:14:46.000 --> 01:14:51.000]   ♪
[01:14:51.000 --> 01:14:56.000]   ♪
[01:14:56.000 --> 01:15:01.000]   ♪
[01:15:01.000 --> 01:15:06.000]   ♪
[01:15:06.000 --> 01:15:11.000]   ♪
[01:15:11.000 --> 01:15:16.000]   ♪
[01:15:16.000 --> 01:15:21.000]   ♪
[01:15:21.000 --> 01:15:26.000]   ♪
[01:15:26.000 --> 01:15:31.000]   ♪
[01:15:31.000 --> 01:15:36.000]   ♪
[01:15:36.000 --> 01:15:41.000]   ♪
[01:15:41.000 --> 01:15:46.000]   ♪
[01:15:46.000 --> 01:15:51.000]   ♪
[01:15:51.000 --> 01:15:56.000]   ♪
[01:15:56.000 --> 01:16:01.000]   ♪
[01:16:01.000 --> 01:16:06.000]   ♪
[01:16:06.000 --> 01:16:11.000]   ♪
[01:16:11.000 --> 01:16:16.000]   ♪
[01:16:16.000 --> 01:16:21.000]   ♪
[01:16:21.000 --> 01:16:26.000]   ♪
[01:16:26.000 --> 01:16:31.000]   ♪
[01:16:31.000 --> 01:16:36.000]   ♪
[01:16:36.000 --> 01:16:41.000]   ♪
[01:16:41.000 --> 01:16:46.000]   ♪
[01:16:46.000 --> 01:16:51.000]   ♪
[01:16:51.000 --> 01:16:56.000]   ♪
[01:16:56.000 --> 01:17:01.000]   ♪
[01:17:01.000 --> 01:17:06.000]   ♪
[01:17:06.000 --> 01:17:11.000]   ♪
[01:17:11.000 --> 01:17:16.000]   ♪
[01:17:16.000 --> 01:17:21.000]   ♪
[01:17:21.000 --> 01:17:26.000]   ♪
[01:17:26.000 --> 01:17:31.000]   ♪
[01:17:31.000 --> 01:17:36.000]   ♪
[01:17:36.000 --> 01:17:41.000]   ♪
[01:17:41.000 --> 01:17:46.000]   ♪
[01:17:46.000 --> 01:17:51.000]   ♪
[01:17:51.000 --> 01:17:56.000]   ♪
[01:17:56.000 --> 01:18:01.000]   ♪
[01:18:01.000 --> 01:18:06.000]   ♪
[01:18:06.000 --> 01:18:11.000]   ♪
[01:18:11.000 --> 01:18:16.000]   ♪
[01:18:16.000 --> 01:18:21.000]   ♪
[01:18:21.000 --> 01:18:26.000]   ♪
[01:18:26.000 --> 01:18:31.000]   ♪
[01:18:31.000 --> 01:18:36.000]   ♪
[01:18:36.000 --> 01:18:41.000]   ♪
[01:18:41.000 --> 01:18:46.000]   ♪
[01:18:46.000 --> 01:18:51.000]   ♪
[01:18:51.000 --> 01:18:56.000]   ♪
[01:18:56.000 --> 01:19:01.000]   ♪
[01:19:01.000 --> 01:19:06.000]   ♪
[01:19:06.000 --> 01:19:11.000]   ♪
[01:19:11.000 --> 01:19:16.000]   ♪
[01:19:16.000 --> 01:19:21.000]   ♪
[01:19:21.000 --> 01:19:26.000]   ♪
[01:19:26.000 --> 01:19:31.000]   ♪
[01:19:31.000 --> 01:19:36.000]   ♪
[01:19:36.000 --> 01:19:41.000]   ♪
[01:19:41.000 --> 01:19:46.000]   ♪
[01:19:46.000 --> 01:19:51.000]   ♪
[01:19:51.000 --> 01:19:56.000]   ♪
[01:19:56.000 --> 01:20:01.000]   ♪
[01:20:01.000 --> 01:20:06.000]   ♪
[01:20:06.000 --> 01:20:11.000]   ♪
[01:20:11.000 --> 01:20:16.000]   ♪
[01:20:16.000 --> 01:20:21.000]   ♪
[01:20:21.000 --> 01:20:26.000]   ♪
[01:20:26.000 --> 01:20:31.000]   ♪
[01:20:31.000 --> 01:20:36.000]   ♪
[01:20:36.000 --> 01:20:41.000]   ♪
[01:20:41.000 --> 01:20:46.000]   ♪
[01:20:46.000 --> 01:20:51.000]   ♪
[01:20:51.000 --> 01:20:56.000]   ♪
[01:20:56.000 --> 01:21:01.000]   ♪
[01:21:01.000 --> 01:21:06.000]   ♪
[01:21:06.000 --> 01:21:11.000]   ♪
[01:21:11.000 --> 01:21:16.000]   ♪
[01:21:16.000 --> 01:21:21.000]   ♪
[01:21:21.000 --> 01:21:26.000]   ♪
[01:21:26.000 --> 01:21:31.000]   ♪
[01:21:31.000 --> 01:21:36.000]   ♪
[01:21:36.000 --> 01:21:41.000]   ♪
[01:21:41.000 --> 01:21:46.000]   ♪
[01:21:46.000 --> 01:21:51.000]   ♪
[01:21:51.000 --> 01:21:56.000]   ♪
[01:21:56.000 --> 01:22:01.000]   ♪
[01:22:01.000 --> 01:22:06.000]   ♪
[01:22:06.000 --> 01:22:11.000]   ♪
[01:22:11.000 --> 01:22:16.000]   ♪
[01:22:16.000 --> 01:22:21.000]   ♪
[01:22:21.000 --> 01:22:26.000]   ♪
[01:22:26.000 --> 01:22:31.000]   ♪
[01:22:31.000 --> 01:22:36.000]   ♪
[01:22:36.000 --> 01:22:41.000]   ♪
[01:22:41.000 --> 01:22:46.000]   ♪
[01:22:46.000 --> 01:22:51.000]   ♪
[01:22:51.000 --> 01:22:56.000]   ♪
[01:22:56.000 --> 01:23:01.000]   ♪
[01:23:01.000 --> 01:23:06.000]   ♪
[01:23:06.000 --> 01:23:11.000]   ♪
[01:23:11.000 --> 01:23:16.000]   ♪
[01:23:16.000 --> 01:23:21.000]   ♪
[01:23:21.000 --> 01:23:26.000]   ♪
[01:23:26.000 --> 01:23:31.000]   ♪
[01:23:31.000 --> 01:23:36.000]   ♪
[01:23:36.000 --> 01:23:41.000]   ♪
[01:23:41.000 --> 01:23:46.000]   ♪
[01:23:46.000 --> 01:23:51.000]   ♪
[01:23:51.000 --> 01:23:56.000]   ♪
[01:23:56.000 --> 01:24:01.000]   ♪
[01:24:01.000 --> 01:24:06.000]   ♪
[01:24:06.000 --> 01:24:11.000]   ♪
[01:24:11.000 --> 01:24:16.000]   ♪
[01:24:16.000 --> 01:24:21.000]   ♪
[01:24:21.000 --> 01:24:26.000]   ♪
[01:24:26.000 --> 01:24:31.000]   ♪
[01:24:31.000 --> 01:24:36.000]   ♪
[01:24:36.000 --> 01:24:41.000]   ♪
[01:24:41.000 --> 01:24:46.000]   ♪
[01:24:46.000 --> 01:24:51.000]   ♪
[01:24:51.000 --> 01:24:56.000]   ♪
[01:24:56.000 --> 01:25:01.000]   ♪
[01:25:01.000 --> 01:25:06.000]   ♪
[01:25:06.000 --> 01:25:11.000]   ♪
[01:25:11.000 --> 01:25:16.000]   ♪
[01:25:16.000 --> 01:25:21.000]   ♪
[01:25:21.000 --> 01:25:26.000]   ♪
[01:25:26.000 --> 01:25:31.000]   ♪
[01:25:31.000 --> 01:25:36.000]   ♪
[01:25:36.000 --> 01:25:41.000]   ♪
[01:25:41.000 --> 01:25:46.000]   ♪
[01:25:46.000 --> 01:25:51.000]   ♪
[01:25:51.000 --> 01:25:56.000]   ♪
[01:25:56.000 --> 01:26:01.000]   ♪
[01:26:01.000 --> 01:26:06.000]   ♪
[01:26:06.000 --> 01:26:11.000]   ♪
[01:26:11.000 --> 01:26:16.000]   ♪
[01:26:16.000 --> 01:26:21.000]   ♪
[01:26:21.000 --> 01:26:26.000]   ♪
[01:26:26.000 --> 01:26:31.000]   ♪
[01:26:31.000 --> 01:26:36.000]   ♪
[01:26:36.000 --> 01:26:41.000]   ♪
[01:26:41.000 --> 01:26:46.000]   ♪
[01:26:46.000 --> 01:26:51.000]   ♪
[01:26:51.000 --> 01:26:56.000]   ♪
[01:26:56.000 --> 01:27:01.000]   ♪
[01:27:01.000 --> 01:27:06.000]   ♪
[01:27:06.000 --> 01:27:11.000]   ♪
[01:27:11.000 --> 01:27:16.000]   ♪
[01:27:16.000 --> 01:27:21.000]   ♪
[01:27:21.000 --> 01:27:26.000]   ♪
[01:27:26.000 --> 01:27:31.000]   ♪
[01:27:31.000 --> 01:27:36.000]   ♪
[01:27:36.000 --> 01:27:41.000]   ♪
[01:27:41.000 --> 01:27:46.000]   ♪
[01:27:46.000 --> 01:27:51.000]   ♪
[01:27:51.000 --> 01:27:56.000]   ♪
[01:27:56.000 --> 01:28:01.000]   ♪
[01:28:01.000 --> 01:28:06.000]   ♪
[01:28:06.000 --> 01:28:11.000]   ♪
[01:28:11.000 --> 01:28:16.000]   ♪
[01:28:16.000 --> 01:28:21.000]   ♪
[01:28:21.000 --> 01:28:26.000]   ♪
[01:28:26.000 --> 01:28:31.000]   ♪
[01:28:31.000 --> 01:28:36.000]   ♪
[01:28:36.000 --> 01:28:41.000]   ♪
[01:28:41.000 --> 01:28:46.000]   ♪
[01:28:46.000 --> 01:28:51.000]   ♪
[01:28:51.000 --> 01:28:56.000]   ♪
[01:28:56.000 --> 01:29:01.000]   ♪
[01:29:01.000 --> 01:29:06.000]   ♪
[01:29:06.000 --> 01:29:11.000]   ♪
[01:29:11.000 --> 01:29:16.000]   ♪
[01:29:16.000 --> 01:29:21.000]   ♪
[01:29:21.000 --> 01:29:26.000]   ♪
[01:29:26.000 --> 01:29:31.000]   ♪
[01:29:31.000 --> 01:29:36.000]   ♪
[01:29:36.000 --> 01:29:41.000]   ♪
[01:29:41.000 --> 01:29:46.000]   ♪
[01:29:46.000 --> 01:29:51.000]   ♪
[01:29:51.000 --> 01:29:56.000]   ♪
[01:29:56.000 --> 01:30:01.000]   ♪
[01:30:01.000 --> 01:30:06.000]   ♪
[01:30:06.000 --> 01:30:11.000]   ♪
[01:30:11.000 --> 01:30:16.000]   ♪
[01:30:16.000 --> 01:30:21.000]   ♪
[01:30:21.000 --> 01:30:26.000]   ♪
[01:30:26.000 --> 01:30:31.000]   ♪
[01:30:31.000 --> 01:30:36.000]   ♪
[01:30:36.000 --> 01:30:41.000]   ♪
[01:30:41.000 --> 01:30:46.000]   ♪
[01:30:46.000 --> 01:30:51.000]   ♪
[01:30:51.000 --> 01:30:56.000]   ♪
[01:30:56.000 --> 01:31:01.000]   ♪
[01:31:01.000 --> 01:31:06.000]   ♪
[01:31:06.000 --> 01:31:11.000]   ♪
[01:31:11.000 --> 01:31:16.000]   ♪
[01:31:16.000 --> 01:31:21.000]   ♪
[01:31:21.000 --> 01:31:26.000]   ♪
[01:31:26.000 --> 01:31:31.000]   ♪
[01:31:31.000 --> 01:31:36.000]   ♪
[01:31:36.000 --> 01:31:41.000]   ♪
[01:31:41.000 --> 01:31:46.000]   ♪
[01:31:46.000 --> 01:31:51.000]   ♪
[01:31:51.000 --> 01:31:56.000]   ♪
[01:31:56.000 --> 01:32:01.000]   ♪
[01:32:01.000 --> 01:32:06.000]   ♪
[01:32:06.000 --> 01:32:11.000]   ♪
