
[00:00:00.000 --> 00:00:10.320]   all right everyone welcome to the official unofficial grace point podcast good to have
[00:24:18.740 --> 00:24:23.620]   i don't know that would be neat yeah he's like if you ever come to europe come to my country you know
[00:24:23.620 --> 00:24:28.660]   and i ever since then that that's kind of haunted me i've been feeling like oh man but i love that
[00:24:28.660 --> 00:24:33.300]   because it's like it's not because we have a great vision for belgium it's that connection we have yeah
[00:24:33.300 --> 00:24:39.140]   through that guy now yeah right um and i love the way that works so we'll see how god works and moves um
[00:24:39.860 --> 00:24:46.820]   but i'm excited you know and and just god willing we'll be able to just continue amen amen all right so
[00:24:46.820 --> 00:24:52.660]   that's a little bit of overview hopefully you got a better idea of of our group and and what we're
[00:24:52.660 --> 00:25:00.900]   about um and so we'll see you next episode hit like and i was told to say smash the subscribe button dude
[00:25:00.900 --> 00:25:05.060]   you can't say that you're too old you can only say that if you're young really weird that sounded super
[00:25:05.060 --> 00:25:11.060]   just click it just click click click all right thanks for joining us on the official unofficial
[00:25:11.060 --> 00:25:18.420]   grace point podcast

