
[00:00:00.040 --> 00:00:10.520]   case
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.180 --> 00:21:18.180]   I'm not going to make my bets based on something that has to happen
[00:21:18.200 --> 00:21:48.200]   I'm not going to make my bets based on something that has to happen
[00:21:48.200 --> 00:21:48.200]   I'm not going to make my bets based on something that has to happen
[00:21:48.200 --> 00:21:48.200]   I'm not going to make my bets based on something that has to happen
[00:21:48.200 --> 00:21:48.200]   I'm not going to make my bets based on something that has to happen
[00:21:48.200 --> 00:21:48.200]   I'm not going to make my bets based on something that has to happen
[00:21:48.200 --> 00:21:48.200]   I'm not going to make my bets based on something that has to happen
[00:21:48.200 --> 00:21:48.200]   I'm not going to make my bets based on something that has to happen
[00:21:48.200 --> 00:21:48.200]   I'm not going to make my bets based on something that has to happen
[00:21:48.200 --> 00:21:48.200]   I'm not going to make my bets based on something that has to happen
[00:21:48.200 --> 00:21:48.200]   I'm not going to make my bets based on something that has to happen
[00:21:48.200 --> 00:22:18.220]   I'm not going to make my bets based on something that has to happen
[00:22:18.220 --> 00:22:18.220]   I'm not going to make my bets based on something that has to happen
[00:22:18.220 --> 00:22:18.220]   I'm not going to make my bets based on something that has to happen
[00:22:18.220 --> 00:22:18.220]   I'm not going to make my bets based on something that has to happen
[00:22:18.220 --> 00:22:18.220]   I'm not going to make my bets based on something that has to happen
[00:22:18.220 --> 00:22:18.220]   I'm not going to make my bets based on something that has to happen
[00:22:18.220 --> 00:22:18.220]   I'm not going to make my bets based on something that has to happen
[00:22:18.220 --> 00:22:18.220]   I'm not going to make my bets based on something that has to happen
[00:22:18.220 --> 00:22:18.220]   I'm not going to make my bets based on something that has to happen
[00:22:18.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.240 --> 00:22:48.240]   I'm not going to make my bets based on something that has to happen
[00:22:48.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:18.260]   I'm not going to make my bets based on something that has to happen
[00:23:18.260 --> 00:23:48.280]  , and I'm not going to make my bets based on something that has to happen
[00:23:48.280 --> 00:23:48.280]   and I'm not going to make my bets based on something that has to happen
[00:23:48.280 --> 00:23:48.280]   and I'm not going to make my bets based on something that has to happen
[00:23:48.280 --> 00:23:48.280]   and I'm not going to make my bets based on something that has to happen
[00:23:48.280 --> 00:23:48.280]   and I'm not going to make my bets based on something that has to happen
[00:23:48.280 --> 00:23:48.280]   and I'm not going to make my bets based on something that has to happen
[00:23:48.280 --> 00:23:48.280]   and I'm not going to make my bets based on something that has to happen
[00:23:48.280 --> 00:23:48.280]   and I'm not going to make my bets based on something that has to happen
[00:23:48.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.300 --> 00:24:18.300]   I'm not going to make my bets based on something that has to happen
[00:24:18.320 --> 00:24:48.320]   I'm not going to make my bets based on something that has to happen
[00:24:48.320 --> 00:24:48.320]   I'm not going to make my bets based on something that has to happen
[00:24:48.320 --> 00:24:48.320]   I'm not going to make my bets based on something that has to happen
[00:24:48.320 --> 00:24:48.320]   I'm not going to make my bets based on something that has to happen
[00:24:48.320 --> 00:24:48.320]   I'm not going to make my bets based on something that has to happen
[00:24:48.320 --> 00:24:48.320]   I'm not going to make my bets based on something that has to happen
[00:24:48.320 --> 00:24:48.320]   I'm not going to make my bets based on something that has to happen
[00:24:48.320 --> 00:24:48.320]   I'm not going to make my bets based on something that has to happen
[00:24:48.320 --> 00:24:48.320]   I'm not going to make my bets based on something that has to happen
[00:24:48.320 --> 00:24:48.320]   I'm not going to make my bets based on something that has to happen
[00:24:48.360 --> 00:25:18.340]  ,
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.340 --> 00:25:18.340]   I'm not going to make my bets based on something that has to happen
[00:25:18.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:25:48.360]   I'm not going to make my bets based on something that has to happen
[00:25:48.360 --> 00:26:18.380]   I'm not going to make my bets based on something that has to happen
[00:26:18.380 --> 00:26:18.380]   I'm not going to make my bets based on something that has to happen
[00:26:18.380 --> 00:26:18.380]   I'm not going to make my bets based on something that has to happen
[00:26:18.380 --> 00:26:18.380]   I'm not going to make my bets based on something that has to happen
[00:26:18.380 --> 00:26:18.380]   I'm not going to make my bets based on something that has to happen
[00:26:18.380 --> 00:26:18.380]   I'm not going to make my bets based on something that has to happen
[00:26:18.380 --> 00:26:18.380]   I'm not going to make my bets based on something that has to happen
[00:26:18.380 --> 00:26:18.380]   I'm not going to make my bets based on something that has to happen
[00:26:18.380 --> 00:26:18.380]   I'm not going to make my bets based on something that has to happen
[00:26:18.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:26:48.400]   I'm not going to make my bets based on something that has to happen
[00:26:48.400 --> 00:27:18.420]   I'm not going to make my bets based on something that has to happen
[00:27:18.420 --> 00:27:18.420]   I'm not going to make my bets based on something that has to happen
[00:27:18.420 --> 00:27:18.420]   I'm not going to make my bets based on something that has to happen
[00:27:18.420 --> 00:27:18.420]   I'm not going to make my bets based on something that has to happen
[00:27:18.420 --> 00:27:18.420]   I'm not going to make my bets based on something that has to happen
[00:27:18.420 --> 00:27:18.420]   I'm not going to make my bets based on something that has to happen
[00:27:18.420 --> 00:27:18.420]   I'm not going to make my bets based on something that has to happen
[00:27:18.420 --> 00:27:18.420]   I'm not going to make my bets based on something that has to happen
[00:27:18.420 --> 00:27:18.420]   I'm not going to make my bets based on something that has to happen
[00:27:18.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.440 --> 00:27:48.440]   I'm not going to make my bets based on something that has to happen
[00:27:48.460 --> 00:28:18.460]   I'm not going to make my bets based on something that has to happen
[00:28:18.460 --> 00:28:18.460]   I'm not going to make my bets based on something that has to happen
[00:28:18.460 --> 00:28:18.460]   I'm not going to make my bets based on something that has to happen
[00:28:18.460 --> 00:28:18.460]   I'm not going to make my bets based on something that has to happen
[00:28:18.460 --> 00:28:18.460]   I'm not going to make my bets based on something that has to happen
[00:28:18.460 --> 00:28:18.460]   I'm not going to make my bets based on something that has to happen
[00:28:18.460 --> 00:28:18.460]   I'm not going to make my bets based on something that has to happen
[00:28:18.460 --> 00:28:18.460]   I'm not going to make my bets based on something that has to happen
[00:28:18.500 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.480 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.480 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.480 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.480 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.480 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.480 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.480 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.480 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.480 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.480 --> 00:28:48.480]   I'm not going to make my bets based on something that has to happen
[00:28:48.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:18.500]   I'm not going to make my bets based on something that has to happen
[00:29:18.500 --> 00:29:48.520]  ,
[00:29:48.520 --> 00:29:48.520]   I'm not going to make my bets based on something that has to happen
[00:29:48.520 --> 00:29:48.520]   I'm not going to make my bets based on something that has to happen
[00:29:48.520 --> 00:29:48.520]   I'm not going to make my bets based on something that has to happen
[00:29:48.520 --> 00:29:48.520]   I'm not going to make my bets based on something that has to happen
[00:29:48.520 --> 00:29:48.520]   I'm not going to make my bets based on something that has to happen
[00:29:48.520 --> 00:29:48.520]   I'm not going to make my bets based on something that has to happen
[00:29:48.520 --> 00:29:48.520]   I'm not going to make my bets based on something that has to happen
[00:29:48.520 --> 00:29:48.520]   I'm not going to make my bets based on something that has to happen
[00:29:48.520 --> 00:29:48.520]   I'm not going to make my bets based on something that has to happen
[00:29:48.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:18.540]   I'm not going to make my bets based on something that has to happen
[00:30:18.540 --> 00:30:48.560]  ,
[00:30:48.560 --> 00:30:48.560]   I'm not going to make my bets based on something that has to happen
[00:30:48.560 --> 00:30:48.560]   I'm not going to make my bets based on something that has to happen
[00:30:48.560 --> 00:30:48.560]   I'm not going to make my bets based on something that has to happen
[00:30:48.560 --> 00:30:48.560]   I'm not going to make my bets based on something that has to happen
[00:30:48.560 --> 00:30:48.560]   I'm not going to make my bets based on something that has to happen
[00:30:48.560 --> 00:30:48.560]   I'm not going to make my bets based on something that has to happen
[00:30:48.560 --> 00:30:48.560]   I'm not going to make my bets based on something that has to happen
[00:30:48.560 --> 00:30:48.560]   I'm not going to make my bets based on something that has to happen
[00:30:48.560 --> 00:30:48.560]   I'm not going to make my bets based on something that has to happen
[00:30:48.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:18.580]   I'm not going to make my bets based on something that has to happen
[00:31:18.580 --> 00:31:48.600]   a phone that has to happen
[00:31:48.600 --> 00:31:48.600]   I'm not going to make my bets based on something that has to happen
[00:31:48.600 --> 00:31:48.600]   I'm not going to make my bets based on something that has to happen
[00:31:48.600 --> 00:31:48.600]   I'm not going to make my bets based on something that has to happen
[00:31:48.600 --> 00:31:48.600]   I'm not going to make my bets based on something that has to happen
[00:31:48.600 --> 00:31:48.600]   I'm not going to make my bets based on something that has to happen
[00:31:48.600 --> 00:31:48.600]   I'm not going to make my bets based on something that has to happen
[00:31:48.600 --> 00:31:48.600]   I'm not going to make my bets based on something that has to happen
[00:31:48.620 --> 00:32:18.620]   You call the kids tutors and the piano teachers
[00:32:18.620 --> 00:32:18.620]   You call the kids private schools and tell them you're pulling them out at the end of the semester
[00:32:18.620 --> 00:32:18.620]   You're not going to make next semester's premium payment
[00:32:18.620 --> 00:32:18.620]   or tuition payment
[00:32:18.620 --> 00:32:18.620]   You call your life insurance company and drop the additional premiums off
[00:32:18.620 --> 00:32:18.620]   You call your life insurance company and drop the additional premiums off
[00:32:18.620 --> 00:32:18.620]   your life insurance policies and drop them to the basics
[00:32:18.620 --> 00:32:18.620]   You cancel the restaurant budget you drop the food budget by 50%
[00:32:18.620 --> 00:32:18.620]   You say we're going to basic food staple foods cheap foods instead of the the fancy pre-prepared foods that we normally enjoy eating you park the second car in the garage immediately you drop the insurance on it immediately
[00:32:18.620 --> 00:32:18.620]   immediately you drop the insurance on it immediately
[00:32:18.620 --> 00:32:18.620]   immediately you call the kids tutors and the piano teachers
[00:32:18.620 --> 00:32:18.620]   You call the kids tutors and the piano teachers and the piano teachers
[00:32:18.620 --> 00:32:18.620]   are not going to make bets based on something that has to happen
[00:32:18.660 --> 00:32:48.640]   you call the kids tutors and the piano teachers and the piano teachers and the piano teachers
[00:32:48.640 --> 00:32:48.640]   are not going to make bets based on something that has to happen
[00:32:48.640 --> 00:32:48.640]   are not going to make bets based on something that has to happen
[00:32:48.640 --> 00:32:48.640]   are not going to make bets based on something that has to happen
[00:32:48.640 --> 00:32:48.640]   are not going to make bets based on something that has to happen
[00:32:48.640 --> 00:32:48.640]   are not going to make bets based on something that has to happen
[00:32:48.680 --> 00:32:58.940]   is
[00:32:58.940 --> 00:32:59.860]  愛, in the party,,,,,
[00:32:59.860 --> 00:33:16.400]   chin �
[00:35:08.440 --> 00:35:15.920]  �
[00:35:15.920 --> 00:35:26.400]  정 the self which word,,,,,
[00:36:34.660 --> 00:36:40.560]  �
[00:36:40.560 --> 00:37:03.500]   two.
[00:37:04.600 --> 00:37:14.680]  不錯
[00:37:14.680 --> 00:37:18.920]   I已經
[00:38:01.160 --> 00:38:01.160]   Iing
[00:38:01.160 --> 00:38:01.160]   Iing
[00:38:01.160 --> 00:38:01.160]   Iing
[00:38:01.160 --> 00:38:01.200]   Iing
[00:38:29.500 --> 00:38:29.500]   Iing
[00:38:29.500 --> 00:38:29.520]   Iing
[00:38:58.360 --> 00:38:58.460]   Iing
[00:38:58.460 --> 00:38:58.500]   Iing
[00:38:58.540 --> 00:39:08.240]   poison
[00:39:08.240 --> 00:39:08.960]  ,
[00:39:08.960 --> 00:39:23.940]   have a buy Lead Miss provides transfer, ., ., ", Afric, December,
[00:39:27.140 --> 00:39:34.680]   at
[00:39:34.680 --> 00:39:45.420]  иться but I Aечение saying. And, it, the, the, the, the, the, morrend, Rap,
[00:42:20.040 --> 00:42:32.380]  a month.
[00:42:32.380 --> 00:42:32.560]   And, I say to you, how do you cut your budget by 50%?
[00:42:32.560 --> 00:42:34.220]   That gives you $2,500 a month.
[00:42:34.220 --> 00:42:39.780]   So, you go through and you say, well, I could drop my electrical expense by 30% that would
[00:42:39.780 --> 00:42:41.540]   save me $37.
[00:42:41.540 --> 00:42:43.820]   We could lower our food expenses by $200 a month.
[00:42:43.820 --> 00:42:46.720]   And, you go through all this math with all these little frugality things and you look
[00:42:46.720 --> 00:42:48.840]   at it and you say, but the reality is, there's no way that we could lower our food expenses
[00:42:48.840 --> 00:42:48.840]   by $200 a month.
[00:42:48.840 --> 00:42:48.840]   And, you go through all this math with all these little frugality things and you look
[00:42:48.840 --> 00:42:48.840]   at it and you say, but the reality is, there's no way that we could lower our food expenses
[00:42:48.840 --> 00:42:48.860]   by $200 a month.
[00:42:48.860 --> 00:42:48.860]   And, you go through all this math with all these little frugality things and you look at it and you
[00:42:48.880 --> 00:43:08.180]   And, you go through all these little frugality things and you look at it and you say, well, I got a $2,000
[00:43:08.180 --> 00:43:09.100]   monthly mortgage payment.
[00:43:09.100 --> 00:43:10.060]   And, you go through all these little frugality things and you say, well, I got a $2,000
[00:43:10.060 --> 00:43:10.100]   monthly mortgage payment.
[00:43:10.100 --> 00:43:12.180]   And, you go through all these little frugality things and you say, well, I got a $2,000
[00:43:12.180 --> 00:43:13.540]   monthly mortgage payment.
[00:43:13.540 --> 00:43:16.460]   Now is not a bad time to refinance your mortgage.
[00:43:16.460 --> 00:43:17.660]   So, refinance your mortgage to a 30-year payment.
[00:43:17.660 --> 00:43:18.860]   And, you can't do it.
[00:43:18.880 --> 00:43:21.180]   Drop your monthly payment from $2,000 to $1,100.
[00:43:21.180 --> 00:43:21.220]   Drop your monthly payment from $2,000 to $1,100.
[00:43:21.220 --> 00:43:21.340]   Drop your monthly payment from $2,000 to $1,100.
[00:43:21.340 --> 00:43:21.460]   But, if you want, either stockpile the cash now, but stay focused and pay that thing off fast, but make a $2,000 monthly payment.
[00:43:21.460 --> 00:43:21.580]   But, if you want, either stockpile the cash now, but stay focused and pay that thing off fast, but make a $2,000 monthly payment.
[00:43:21.580 --> 00:43:21.620]   But, if you want, either stockpile the cash now, but stay focused and pay that thing off fast, but make a $2,000 monthly payment.
[00:43:21.620 --> 00:43:21.660]   What you've done in that situation is you've increased your safety because you've lowered your mortgage payment.
[00:43:21.660 --> 00:43:36.940]   What you've done in that situation is you've increased your safety because you've lowered your mortgage payment.
[00:43:36.980 --> 00:43:46.740]   5
[00:43:46.740 --> 00:43:48.040]   conduct a "
[00:45:52.320 --> 00:45:54.360]   de
[00:45:54.360 --> 00:46:22.320]   do. So worse,;, 對不對
[00:46:22.360 --> 00:46:33.020]  ав
[00:46:33.020 --> 00:46:34.160]   we might the very
[00:46:34.160 --> 00:46:37.180]   conIRE E coup conf relación a bought the fact that, the, the, the, the, the, the, dé,
[00:47:40.840 --> 00:48:10.820]  세
[00:49:10.960 --> 00:49:21.400]   перев which
[00:49:21.400 --> 00:49:39.280]   recommend. -. won continue食你知道 между
[00:49:39.880 --> 00:49:46.200]   which
[00:49:46.200 --> 00:49:50.260]   de Beautiful
[00:49:50.260 --> 00:49:53.640]   dig the idiots, you, you,,,,,,, cloth인지
[00:49:53.640 --> 00:49:58.820]   30 is a
[00:50:08.620 --> 00:50:18.280]   colours句
[00:50:18.280 --> 00:50:20.640]   sound. CHRIS CO,,,eth
[00:51:06.940 --> 00:51:11.660]   sub
[00:51:11.660 --> 00:51:35.800]   four,est many
[00:51:36.940 --> 00:52:06.940]  ,est many
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a publishing business. I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a publishing business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a publishing business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:06.940]   I've always had a dream of starting a media business or
[00:52:06.940 --> 00:52:36.960]   I've always had a dream of starting a media business or
[00:52:36.960 --> 00:52:36.960]   I've always had a dream of starting a media business or
[00:52:36.960 --> 00:52:36.960]   I've always had a dream of starting a media business or
[00:52:36.960 --> 00:52:36.960]   I've always had a dream of starting a media business or
[00:52:36.960 --> 00:52:36.960]   I've always had a dream of starting a media business or
[00:52:36.960 --> 00:52:36.960]   I've always had a dream of starting a media business or
[00:52:36.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:06.980 --> 00:53:06.980]   I've always had a dream of starting a media business or
[00:53:07.000 --> 00:53:37.000]  ,
[00:53:37.000 --> 00:53:37.000]   I've always had a dream of starting a media business or
[00:53:37.000 --> 00:53:37.000]   I've always had a dream of starting a media business or
[00:53:37.000 --> 00:53:37.000]   I've always had a dream of starting a media business or
[00:53:37.000 --> 00:53:37.000]   I've always had a dream of starting a media business or
[00:53:37.000 --> 00:53:37.000]   I've always had a dream of starting a media business or
[00:53:37.000 --> 00:53:37.000]   I've always had a dream of starting a media business or
[00:53:37.000 --> 00:53:37.000]   I've always had a dream of starting a media business or
[00:53:37.000 --> 00:53:37.000]   I've always had a dream of starting a media business or
[00:53:37.000 --> 00:53:37.000]   I've always had a dream of starting a media business or
[00:53:37.040 --> 00:54:07.020]   a media business or
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
