
[00:00:00.000 --> 00:00:06.760]   Well, hello, Everyday Educators.
[00:22:38.900 --> 00:22:43.520]   think about that fun tutoring community who always makes things so special.
[00:22:43.520 --> 00:22:46.660]   And I want for you to think about that tutor space right here.
[00:22:46.660 --> 00:22:51.720]   So as I'm asking you questions that you're thinking about that person and you're thinking
[00:22:51.720 --> 00:22:53.660]   about your community experience.
[00:22:54.220 --> 00:23:00.780]   So Evangeline, you had no errors in round one of the competition and that is just extraordinary.
[00:23:00.780 --> 00:23:06.360]   So what helped you to focus and remember your memory work in the different heats?
[00:23:06.360 --> 00:23:08.120]   I know you said you took a deep breath.
[00:23:08.120 --> 00:23:11.580]   Was there anything else that you can remember that was helpful to you?
[00:23:12.560 --> 00:23:17.940]   I mean, when we were proofing, I would sometimes make mistakes and I almost was glad for those
[00:23:17.940 --> 00:23:21.540]   mistakes because then when I would answer those questions, I thought about the mistakes that
[00:23:21.540 --> 00:23:22.000]   I had made.
[00:23:22.000 --> 00:23:23.540]   And so I didn't make those mistakes.
[00:23:23.540 --> 00:23:26.740]   And I kind of zoned out to where I stared at the wall behind the people.
[00:23:26.740 --> 00:23:28.200]   So I wasn't looking at anyone.
[00:23:30.320 --> 00:23:36.520]   I like that idea of looking beyond the faces because sometimes when you look at the faces,
[00:23:36.520 --> 00:23:38.140]   that makes you more nervous.
[00:23:38.140 --> 00:23:43.400]   And I know your mom's already alluded to that, that she was being really careful with her face.
[00:23:43.400 --> 00:23:48.520]   And that's something as the emcee, I'm really careful about too, because if a finalist makes
[00:23:48.520 --> 00:23:53.560]   an error, the first error doesn't eliminate them from competition, but the second one does.
[00:23:53.660 --> 00:23:58.740]   So when that first error happens, and even when the second one happens, I try really hard
[00:23:58.740 --> 00:24:04.020]   to keep smiling and trying to encourage you guys so that you'll keep pressing forward.
[00:24:04.020 --> 00:24:12.340]   So, you know, I know, I've heard from many National Memory Master families that during the competition,
[00:24:12.340 --> 00:24:17.040]   that the parents quite often feel more nervous than the kids.
[00:24:17.040 --> 00:24:21.960]   And I will say as the emcee, I think sometimes I'm more nervous than the kids are too.
[00:24:22.760 --> 00:24:29.440]   So Jason and Tricia, both of you, as parents watching her tackle these different types of
[00:24:29.440 --> 00:24:34.780]   heats during round one, you know, how did that feel as you were watching?
[00:24:34.780 --> 00:24:41.080]   Because the other day I sat and calculated all of the questions that we asked during round
[00:24:41.080 --> 00:24:46.220]   one, we actually asked 220 individual questions.
[00:24:46.220 --> 00:24:50.320]   And of the 220, only 20 of them were incorrect.
[00:24:50.820 --> 00:24:56.600]   So how did it feel to see her up there doing all of these different types of heats during
[00:24:56.600 --> 00:24:59.640]   round one and then move on to round two?
[00:25:01.320 --> 00:25:04.400]   Well, first of all, I didn't make eye contact with her.
[00:25:04.400 --> 00:25:07.820]   So I would look at her when you asked her the question.
[00:25:07.820 --> 00:25:12.420]   And then as soon as she started to answer, I was like, because I didn't want it because
[00:25:12.420 --> 00:25:15.640]   I was nervous, but I didn't want her to catch my eye and that to throw her.
[00:25:15.640 --> 00:25:18.240]   So I just, and then I would look up when she was done.
[00:25:18.340 --> 00:25:25.540]   But from everything that I saw, I was so taken aback by how composed she was.
[00:25:25.540 --> 00:25:32.000]   And even though inside she may have been real stressed on the outside, she was so composed
[00:25:32.000 --> 00:25:34.300]   and she answered those questions.
[00:25:34.300 --> 00:25:36.840]   And I was just so extremely proud of her.
[00:25:36.940 --> 00:25:44.560]   I feel like she had a truly joyful spirit through it all and a humility of, I'm just up here
[00:25:44.560 --> 00:25:45.120]   having fun.
[00:25:45.120 --> 00:25:47.200]   I'm going to, I'm going to do my best.
[00:25:47.200 --> 00:25:50.540]   But at the end of the day, I'm here to glorify God.
[00:25:50.720 --> 00:25:55.800]   And that, that left such an impact on me, especially with round two and how she performed in round
[00:25:55.800 --> 00:25:56.180]   two.
[00:25:56.180 --> 00:26:01.000]   I just watching my little girl up there, give it all for the glory of God.
[00:26:01.000 --> 00:26:06.720]   And, and with just this huge smile on her face and such composer, I, composure, excuse
[00:26:06.720 --> 00:26:06.900]   me.
[00:26:06.900 --> 00:26:10.600]   I could not have been prouder of her, no matter what the outcome was.
[00:26:10.600 --> 00:26:12.620]   She just really impressed me.
[00:26:12.620 --> 00:26:13.220]   Yeah.
[00:26:13.220 --> 00:26:19.500]   It was funny because about round four or five, I suddenly looked at her and realized she looks
[00:26:19.500 --> 00:26:21.280]   like she's enjoying herself.
[00:26:21.280 --> 00:26:25.880]   And another parent said like, you know, she goes, I know she goes, I just kept expecting
[00:26:25.880 --> 00:26:28.080]   her to say, and how are you doing today, Kelly?
[00:26:28.080 --> 00:26:38.500]   But I, I really do think it's, and Tricia was a huge part of this, but from the very beginning,
[00:26:38.500 --> 00:26:41.280]   we really sought to go, okay, we need to be prepared.
[00:26:41.280 --> 00:26:42.100]   Yes.
[00:26:42.100 --> 00:26:48.920]   We need to set her up for success that it's like, when we reach that week, okay, we did the
[00:26:48.920 --> 00:26:53.680]   work, we didn't go overboard to where she's sick of it, to where it's like, I gave up on
[00:26:53.680 --> 00:26:57.800]   the rest of life, but we did the hard decisions of doing it on the days where it's like, I don't
[00:26:57.800 --> 00:27:02.340]   want to, I'm tired where we're in the car and it's right in the car, but just doing the
[00:27:02.340 --> 00:27:04.320]   steady, strong work all the way through that.
[00:27:04.320 --> 00:27:04.500]   Yeah.
[00:27:04.500 --> 00:27:08.300]   By the time I didn't catch this until the day before or until we were on the road headed
[00:27:08.300 --> 00:27:12.100]   there, is that it wasn't a stressful week.
[00:27:12.100 --> 00:27:13.120]   There was no cramming.
[00:27:13.120 --> 00:27:17.120]   It was just, okay, here we are.
[00:27:17.120 --> 00:27:19.000]   She knows what she knows.
[00:27:19.000 --> 00:27:21.540]   Now it's just a matter of going out there and doing it.
[00:27:22.720 --> 00:27:27.900]   But we, we really, really wanted to stress with her and we knew we'd done a good job
[00:27:27.900 --> 00:27:31.700]   when our six-year-old daughter said it like a few days before we left, she's putting the
[00:27:31.700 --> 00:27:35.760]   dishes away and she goes, Evangeline, remember you already won.
[00:27:37.760 --> 00:27:45.660]   And yeah, it was really something where we, we, we wanted it to be that this is going to
[00:27:45.660 --> 00:27:46.560]   shape your character.
[00:27:46.560 --> 00:27:47.640]   Yes.
[00:27:47.640 --> 00:27:52.360]   Regardless of how this plays out, that it's like, imagine the worst case scenario, imagine
[00:27:52.360 --> 00:27:55.660]   the best case scenario is God's sovereign.
[00:27:55.660 --> 00:28:02.420]   And therefore he's, he has a path for you on this and he's going to work it for his glory
[00:28:02.420 --> 00:28:06.620]   and he's going to do his work in you and shape you through it.
[00:28:06.620 --> 00:28:07.880]   There is no losing.
[00:28:07.880 --> 00:28:14.120]   And just, that was something we, from like when, before we got out of the car to go in,
[00:28:14.120 --> 00:28:16.420]   it's like, all right, here we go.
[00:28:16.420 --> 00:28:19.120]   And we just gathered around and prayed.
[00:28:19.120 --> 00:28:21.900]   And I think that's one of the things that's, we have to really watch yourself as you're having
[00:28:21.900 --> 00:28:27.220]   to focus so much on the practical aspect of practicing that you have to go, no, hold on,
[00:28:27.220 --> 00:28:29.040]   let's, let's recenter.
[00:28:29.040 --> 00:28:32.500]   And I think she was able to hold to that the entire time.
[00:28:32.500 --> 00:28:35.920]   The, yeah, once you're in, it was like, it was kind of, I said to myself, well,
[00:28:36.360 --> 00:28:40.120]   she's already won and she's given this joyous experience.
[00:28:40.120 --> 00:28:42.080]   Oh, that's so wonderful to hear.
[00:28:42.080 --> 00:28:47.280]   And I think you hit on some, both of you hit on so many things that are crucial to success
[00:28:47.280 --> 00:28:51.560]   at National Memory Master, because there will only be one winner, even though there are 16
[00:28:51.560 --> 00:28:56.220]   finalists that come from all over the country in order to be able to compete.
[00:28:56.220 --> 00:29:01.940]   And you're right, my goodness, when they have taken the time and the effort and energy to commit
[00:29:01.940 --> 00:29:08.640]   this memory work to their hearts and their minds, they are winners before they even step foot on the
[00:29:08.640 --> 00:29:09.160]   platform.
[00:29:09.400 --> 00:29:17.680]   And I think that spirit of just love and peace and encouragement is so prevalent at National
[00:29:17.680 --> 00:29:18.420]   Memory Master.
[00:29:18.420 --> 00:29:25.640]   It's always a blessing to see when the finalists come in and they start greeting each other and
[00:29:25.640 --> 00:29:29.900]   they don't look at each other as competitors because you're right.
[00:29:29.900 --> 00:29:35.280]   If your purpose in coming to National Memory Master is to beat out 15 other people and take home a
[00:29:35.280 --> 00:29:42.920]   check, you have missed an incredible opportunity to help shape your child's character, to shape the
[00:29:42.920 --> 00:29:47.100]   way that they think about winning and the way that they think about losing.
[00:29:47.640 --> 00:29:50.340]   Because like you said, it is in God's hands.
[00:29:50.340 --> 00:29:58.120]   And so what an encouragement to our families at home to think about this as more than a financial
[00:29:58.120 --> 00:30:05.940]   opportunity, to think about this as a moment of eternal significance in the lives of their children.
[00:30:05.940 --> 00:30:07.120]   I love that.
[00:30:07.120 --> 00:30:12.780]   So Evangeline, you know, when you think back over the entire competition, I know you have so many
[00:30:12.780 --> 00:30:15.080]   wonderful memories.
[00:30:15.080 --> 00:30:21.840]   I know just from watching you with the other finalists, you guys, just every single picture I've seen from
[00:30:21.840 --> 00:30:30.240]   the event has just made my heart so full of joy to see the love and the support that you guys had for each
[00:30:30.240 --> 00:30:30.700]   other.
[00:30:30.700 --> 00:30:34.500]   But I want you to think for just a moment about what was hard.
[00:30:34.500 --> 00:30:39.180]   What was the hardest thing of competing in National Memory Master?
[00:30:39.180 --> 00:30:44.940]   And then was there anything that really surprised you that maybe you weren't expecting when you competed?
[00:30:44.940 --> 00:30:49.500]   Well, one of the hardest things for me was the math, actually.
[00:30:49.500 --> 00:30:52.080]   The times tables, I kept messing up.
[00:30:52.080 --> 00:30:54.860]   And I was like super worried that I was going to mess up on stage.
[00:30:54.860 --> 00:30:58.140]   And so I got the AIDS, which I was pretty strong on.
[00:30:58.140 --> 00:31:03.940]   But like some of the other ones, I was like, and then it was also very hard when people got
[00:31:03.940 --> 00:31:08.020]   out because, you know, your heart, you're so sad for them.
[00:31:08.020 --> 00:31:12.320]   And sometimes just the hardest thing to do is what to say to them.
[00:31:12.320 --> 00:31:14.180]   And sometimes just a hug is all you can give.
[00:31:15.040 --> 00:31:21.240]   And then some of the stuff that surprised me was, one, how fast I went with round two.
[00:31:21.240 --> 00:31:23.280]   I've never said the timeline so fast.
[00:31:23.280 --> 00:31:24.440]   I was like so stressed.
[00:31:24.440 --> 00:31:25.880]   I was like hyperdrive.
[00:31:25.880 --> 00:31:29.080]   And then I drew the map like so fast.
[00:31:29.080 --> 00:31:32.760]   I was there like five minutes and I had labeled everything an extra.
[00:31:32.760 --> 00:31:37.740]   And I was almost thinking to myself, man, there's so much I could label in five minutes.
[00:31:37.740 --> 00:31:39.060]   I don't know what to label now.
[00:31:41.500 --> 00:31:42.340]   I love that.
[00:31:42.340 --> 00:31:42.880]   I love that.
[00:31:42.880 --> 00:31:49.020]   I think that, you know, your perspective on the your friends, I can call them your friends
[00:31:49.020 --> 00:31:53.200]   because I've seen your interactions with them who may have been eliminated.
[00:31:53.200 --> 00:31:59.060]   I think that really shows a sensitivity of spirit to the fact that they put in that hard work
[00:31:59.060 --> 00:32:04.560]   at home before they came to the competition, too, and just supporting them in a way that shows
[00:32:04.560 --> 00:32:09.680]   love to them in what is, you know, a moment of sadness, I think is really kind.
[00:32:10.040 --> 00:32:13.420]   And I will agree with you about the surprising nature.
[00:32:13.420 --> 00:32:15.220]   And I feel surprised every year.
[00:32:15.220 --> 00:32:20.020]   This was the I think the eighth time that I've emceed National Memory Master.
[00:32:20.020 --> 00:32:28.640]   And every year I'm blown away in round two by how quickly you guys can recite the timeline.
[00:32:28.640 --> 00:32:36.260]   And just for if you're listening to this podcast in round two, our finalists, our four remaining
[00:32:36.260 --> 00:32:41.800]   finalists who advance from round one will be given three and a half minutes to recite as
[00:32:41.800 --> 00:32:44.900]   much of the timeline as possible from a given point.
[00:32:44.900 --> 00:32:51.380]   And if they reach the end of the timeline, which I can assure you they all do, they come back
[00:32:51.380 --> 00:32:55.980]   to the beginning and they continue reciting until the time expires.
[00:32:55.980 --> 00:33:03.960]   And Evangeline, I'm pretty sure that you got through the timeline almost two whole times in
[00:33:03.960 --> 00:33:05.500]   the three and a half minutes.
[00:33:05.500 --> 00:33:06.720]   And that's amazing.
[00:33:06.720 --> 00:33:12.720]   We actually actually had one father of a finalist come up to me afterward and say, classical conversations
[00:33:12.720 --> 00:33:15.200]   is missing on on a great opportunity.
[00:33:15.200 --> 00:33:16.460]   What's next?
[00:33:16.460 --> 00:33:18.680]   CC auctioneering school.
[00:33:21.340 --> 00:33:28.340]   Just how quickly you can articulate and enunciate those events shows your mastery of them because
[00:33:28.340 --> 00:33:33.000]   you're already thinking about the next one in your mind before it even crosses your lips.
[00:33:33.000 --> 00:33:34.360]   So I'm with you, friend.
[00:33:34.360 --> 00:33:36.200]   That was surprising to me, too.
[00:33:36.200 --> 00:33:39.380]   It continues to surprise me every year.
[00:33:39.380 --> 00:33:44.900]   So I'm curious, you know, Jason, Tricia, both of you, now that now that the experience has
[00:33:44.900 --> 00:33:50.480]   passed, I think I asked Tricia you the other day if you guys had come down from cloud nine yet because
[00:33:50.480 --> 00:33:53.540]   it was such a wonderful, positive experience.
[00:33:53.540 --> 00:34:00.940]   What benefits do you see for Evangeline and your family through your preparation and participation
[00:34:00.940 --> 00:34:03.380]   in National Memory Master this year?
[00:34:03.380 --> 00:34:10.020]   And then I may know the answer to this already, but now that it's over, do you look back and
[00:34:10.020 --> 00:34:11.780]   think, I think I would do that again?
[00:34:11.780 --> 00:34:18.220]   I'll answer the second question first is absolutely all, all with her.
[00:34:18.220 --> 00:34:18.800]   Yes.
[00:34:18.800 --> 00:34:23.820]   All three of our younger kids are now like, we're in, we're doing this.
[00:34:23.820 --> 00:34:24.900]   Here we go.
[00:34:24.900 --> 00:34:32.600]   And it really plays into like, it's an interesting spot for us because they literally can't do
[00:34:32.600 --> 00:34:33.540]   better than she did.
[00:34:33.540 --> 00:34:36.140]   Like you feel like what you want it twice.
[00:34:36.140 --> 00:34:36.600]   I don't know.
[00:34:36.600 --> 00:34:39.200]   It's like, there's, there's no other, there's, there it is.
[00:34:39.240 --> 00:34:45.980]   There's the finish line and gold medal, which I think drives us back to what we really like.
[00:34:45.980 --> 00:34:47.240]   Why do we want to do this?
[00:34:47.240 --> 00:34:51.240]   And it will be such a temptation for them to be like, I'm going to go do what she did.
[00:34:51.240 --> 00:34:54.740]   And I'm going to get this big check and everyone's going to get around me and give me a big hug.
[00:34:54.740 --> 00:34:56.540]   And it's teaching.
[00:34:56.540 --> 00:35:01.620]   I think several things that are so huge is we want them to do hard things because to build
[00:35:01.620 --> 00:35:06.480]   the kingdom of God, exercise dominion, like you mentioned earlier, it's hard work.
[00:35:06.480 --> 00:35:12.740]   We live in a fallen world and it's like, we're called to seek wisdom and to strive and to go.
[00:35:12.740 --> 00:35:17.380]   And that, yeah, every single one of our kids will want to pursue it.
[00:35:17.380 --> 00:35:23.960]   Now that they've seen the joy of it and they're going to, they're going up against 15 amazing
[00:35:23.960 --> 00:35:24.360]   kids.
[00:35:24.360 --> 00:35:27.580]   It was a weird point when I sat there and saw her up with those kids who we've gotten to know
[00:35:27.580 --> 00:35:33.800]   a little bit, met their families the night before and looking and going, that's an amazing,
[00:35:33.800 --> 00:35:36.180]   amazing group of kids that you don't go.
[00:35:36.180 --> 00:35:37.500]   I don't know if my kid can do it.
[00:35:37.500 --> 00:35:39.320]   You're just going all 16 of them can.
[00:35:39.320 --> 00:35:43.320]   And so it's, you know, it's like watching two Superbowl teams.
[00:35:43.320 --> 00:35:43.840]   It's okay.
[00:35:43.840 --> 00:35:45.240]   Well, they're both great.
[00:35:45.240 --> 00:35:46.260]   So I don't know why I'm going to win.
[00:35:46.260 --> 00:35:46.920]   Yeah.
[00:35:46.920 --> 00:35:48.040]   16 of them though.
[00:35:48.720 --> 00:35:55.460]   But so for them, it's like whether their video does not win a 16 finalist spot, whether
[00:35:55.460 --> 00:36:00.240]   they go and get out early or they just don't make it to the second round or they make the
[00:36:00.240 --> 00:36:00.500]   mistakes.
[00:36:00.500 --> 00:36:01.200]   Like I know that.
[00:36:01.200 --> 00:36:08.520]   And whatever that level is that the going back to what we said earlier is like, God wants
[00:36:08.520 --> 00:36:10.140]   to use us to do great things in you.
[00:36:10.180 --> 00:36:15.800]   And I think it's, it's not very often in life that we get with our children, especially
[00:36:15.800 --> 00:36:16.580]   younger children.
[00:36:16.580 --> 00:36:23.500]   And I want this for all of them is the ability to go, you have put in time and energy pursuing
[00:36:23.500 --> 00:36:25.340]   something that is good.
[00:36:25.340 --> 00:36:28.800]   And then for it, not go the way you want it to go.
[00:36:28.800 --> 00:36:34.260]   And it's just a huge job because they are going to have that happen in their life.
[00:36:34.500 --> 00:36:39.860]   So to put them in a spot where we're there to coach them through it and guide them and
[00:36:39.860 --> 00:36:40.700]   shepherd them through it.
[00:36:40.700 --> 00:36:42.960]   We absolutely want that for all of them.
[00:36:42.960 --> 00:36:48.480]   And then now probably their biggest reason is the competition's a neat experience, but she
[00:36:48.480 --> 00:36:53.200]   now has 15 people that she knows that she's connected with and has a clear experience.
[00:36:53.200 --> 00:36:59.040]   And I mean, she has, I mean, she has friends that I'm just not going to be surprised if quite
[00:36:59.040 --> 00:37:02.320]   a bit of them are her friends that they're all six years from now going.
[00:37:02.320 --> 00:37:05.020]   And so we're all going to North Carolina for the graduation, right?
[00:37:05.020 --> 00:37:11.320]   So yeah, we want that for our kids too, is it really is the mindset that Trisha and I
[00:37:11.320 --> 00:37:17.200]   are blessed from getting to be around other parents from very, very different parts of
[00:37:17.200 --> 00:37:21.040]   the country, very different, just life experiences and just what we do.
[00:37:21.040 --> 00:37:29.040]   And yet just the community of there's so much shared value and pursuit that we've made friends.
[00:37:29.040 --> 00:37:33.840]   And so for our family, we joked, we're like, if we keep this up, we're going to have like
[00:37:33.840 --> 00:37:35.640]   a network of friends all over the country.
[00:37:35.640 --> 00:37:36.620]   We're just going to take a road trip.
[00:37:36.620 --> 00:37:43.600]   So for us, it's, it's an absolute, there is no loss to having them.
[00:37:43.600 --> 00:37:47.780]   They're going to, they, and you know, we're not going to force them to go for national memory
[00:37:47.780 --> 00:37:50.520]   master, but from this, they'll probably be hooked on it.
[00:37:50.700 --> 00:37:56.300]   And so that it's worth it for them to pursue it regardless of the outcome.
[00:37:56.300 --> 00:38:01.640]   Our younger ones came home and the first thing they did when they got in the house is they
[00:38:01.640 --> 00:38:03.700]   grabbed a piece of notebook paper, a piece of paper.
[00:38:03.700 --> 00:38:04.900]   I started drawing the map.
[00:38:04.900 --> 00:38:10.140]   We're definitely like encouraged to pursue it.
[00:38:10.140 --> 00:38:16.420]   And you know, her younger brother, one of her older younger brother, who's 10 is planning
[00:38:16.420 --> 00:38:18.860]   on trying for it in a couple of years.
[00:38:18.860 --> 00:38:23.000]   So that will be a really neat experience because some of the other contestants also have younger
[00:38:23.000 --> 00:38:23.400]   siblings.
[00:38:23.760 --> 00:38:30.700]   So it may be a reunion sooner than six years, but just like Jason said, them learning how
[00:38:30.700 --> 00:38:37.420]   to do hard things and then watching and witnessing her dedication and that little by little consistency
[00:38:37.420 --> 00:38:40.980]   and really, I mean, that just teaches them so many lessons.
[00:38:40.980 --> 00:38:47.660]   And I, and I think also a bigger thing too, is just the fact that we did pray before so many
[00:38:47.660 --> 00:38:53.460]   things and we prayed for the competition that there would be peace and clarity and joy
[00:38:53.460 --> 00:38:56.580]   among all the contestants, that there would not be any confusion.
[00:38:56.580 --> 00:38:58.020]   And they were witness to that.
[00:38:58.020 --> 00:39:00.800]   And then they got to see God honor that prayer.
[00:39:00.800 --> 00:39:03.720]   And I feel like the competition, it couldn't have gone better.
[00:39:03.720 --> 00:39:05.960]   I feel like there was peace and joy.
[00:39:05.960 --> 00:39:13.860]   And I mean, watching, watching her be embraced by those 15 other kids and some of them leaping
[00:39:13.860 --> 00:39:19.300]   off of their feet and swimming down, you know, pumping their fist, a few of them picking
[00:39:19.300 --> 00:39:19.860]   her up.
[00:39:19.860 --> 00:39:22.020]   I mean, it was just, it was amazing.
[00:39:22.020 --> 00:39:27.000]   And I feel, I just, I give it all credit to God and our routine is the answer to prayer.
[00:39:27.000 --> 00:39:31.820]   And so for our kids to see that they can be in something, they can compete, they can face
[00:39:31.820 --> 00:39:36.900]   their fears, they can work diligently, but knowing the whole time that, that God is in control and
[00:39:36.900 --> 00:39:38.200]   that he's sovereign over it all.
[00:39:38.200 --> 00:39:43.860]   And just giving him the glory for it all, I feel like a huge blessing that we got from
[00:39:43.860 --> 00:39:44.440]   the competition.
[00:39:44.440 --> 00:39:45.400]   Amen.
[00:39:45.400 --> 00:39:51.740]   It is always one of my favorite things to go back after the event and review all of the video
[00:39:51.740 --> 00:39:55.620]   footage and the photos that are taken at the moment that the winner is announced.
[00:39:55.980 --> 00:40:02.140]   And I have to say, seeing the picture, seeing the video of you and Jason rising to your feet
[00:40:02.140 --> 00:40:07.800]   and cheering for your daughter is one of my favorite video clips from the event.
[00:40:08.080 --> 00:40:12.400]   And also at that moment, like Evangeline, I don't know if you were aware of this, like
[00:40:12.400 --> 00:40:17.980]   your, your face just lit up and your hands went up like, oh my goodness.
[00:40:17.980 --> 00:40:23.960]   But it is so dear to me that one of our other finalists just reached over with her arms and
[00:40:23.960 --> 00:40:26.460]   just enveloped you in this big bear hug.
[00:40:27.060 --> 00:40:33.680]   And you can tell by the look on her face, she was genuinely thrilled that her friend had
[00:40:33.680 --> 00:40:36.680]   just been awarded this incredible honor.
[00:40:36.680 --> 00:40:43.640]   And so as the MC, it is a blessing to see what you're saying, Jason, and what you're saying,
[00:40:43.640 --> 00:40:46.780]   Tricia, that the rewards are eternal.
[00:40:46.780 --> 00:40:53.520]   You know, I know this summer in practicum, the theme is, you know, looking at things that
[00:40:53.520 --> 00:41:00.200]   are unseen, that we're trying to see the unseen and, you know, that love that the finalists
[00:41:00.200 --> 00:41:06.460]   have for one another through those relationships that they cultivate is so obviously seen in
[00:41:06.460 --> 00:41:08.760]   the way that they responded in that moment.
[00:41:08.760 --> 00:41:17.080]   It just is a beautiful testimony of families who have coached their children through this
[00:41:17.080 --> 00:41:22.260]   difficult thing that they're about to do and how we can take those moments and we can just
[00:41:22.260 --> 00:41:24.620]   offer them up as an offering to the Lord.
[00:41:24.620 --> 00:41:26.680]   So what an encouragement.
[00:41:26.680 --> 00:41:31.980]   Now, speaking of encouragement, Evangeline, I have one final question for you.
[00:41:31.980 --> 00:41:38.620]   If there's a foundation student who maybe is getting ready to enter into their last year
[00:41:38.620 --> 00:41:45.920]   of foundations in the fall and they're thinking, I just don't know, should I do this national
[00:41:45.920 --> 00:41:47.800]   memory master thing or not?
[00:41:47.800 --> 00:41:54.120]   If you could give any words of wisdom to them, what would you say?
[00:41:54.120 --> 00:41:59.380]   It's definitely hard work, but it's most assuredly worth it.
[00:41:59.380 --> 00:42:04.420]   And just to be at peace with whatever God has planned for you.
[00:42:04.780 --> 00:42:09.200]   It's most important to remember that it's not about winning, but it's about glorifying God
[00:42:09.200 --> 00:42:13.440]   and that you're going to make memories that are some of the best memories of your life.
[00:42:13.440 --> 00:42:16.500]   You're going to carry with you for all your life.
[00:42:16.500 --> 00:42:21.360]   And then just that he's going to use that in your life to teach you things and encourage you
[00:42:21.360 --> 00:42:22.560]   and build your character.
[00:42:23.300 --> 00:42:24.820]   Yes, I love that.
[00:42:24.820 --> 00:42:25.520]   I love that.
[00:42:25.520 --> 00:42:28.460]   So as Evangeline says, go for it.
[00:42:28.460 --> 00:42:33.600]   You never know what moment of surprise might await you.
[00:42:33.600 --> 00:42:36.960]   You never know what growing opportunity might await you.
[00:42:36.960 --> 00:42:42.500]   And I will say from this year, you never know what joy is awaiting you.
[00:42:42.500 --> 00:42:49.900]   So take the plunge and make that video and submit for National Memory Master of Competition 2026.
[00:42:50.380 --> 00:42:55.140]   So as we wrap up this episode of the Everyday Educator, I hope that you are as encouraged
[00:42:55.140 --> 00:43:01.680]   as I am, as you hear these words of wisdom from Evangeline and Jason and Tricia, and that
[00:43:01.680 --> 00:43:08.240]   if you're going to be in your final year of foundations come this fall, consider entering your own story
[00:43:08.240 --> 00:43:10.940]   for National Memory Master in 2026.
[00:43:10.940 --> 00:43:17.660]   Keep learning, keep growing, keep educating, and we'll see you in the next episode.
[00:43:17.660 --> 00:43:18.320]   Goodbye.
[00:43:18.320 --> 00:43:19.940]   Bye.
[00:43:19.940 --> 00:43:20.040]   Bye.
[00:43:20.040 --> 00:43:20.120]   Bye.
[00:43:20.120 --> 00:43:20.200]   Bye.
[00:43:20.200 --> 00:43:20.500]   Thanks.
[00:43:20.500 --> 00:43:20.760]   Bye.
[00:43:20.760 --> 00:43:20.760]   Bye.
[00:43:20.760 --> 00:43:20.800]   Bye.
[00:43:20.800 --> 00:43:20.840]   Bye.
[00:43:20.840 --> 00:43:20.880]   Bye.
[00:43:20.880 --> 00:43:21.880]   Bye.
[00:43:21.880 --> 00:43:21.880]   Bye.
[00:43:21.880 --> 00:43:21.880]   Bye.
[00:43:21.880 --> 00:43:22.880]   Bye.
[00:43:22.880 --> 00:43:23.380]   you
[00:43:23.380 --> 00:43:23.880]   you
[00:43:23.880 --> 00:43:25.940]   you

