
[00:00:00.000 --> 00:00:15.480]   Hello, everyone.
[00:26:15.420 --> 00:26:17.420]   We will use MongoDB in this case.
[00:26:17.420 --> 00:26:23.420]   And by default, it organizes the chat history using a session ID that you pass in along with
[00:26:23.420 --> 00:26:26.420]   your input query or prompt.
[00:26:26.420 --> 00:26:27.420]   So, yeah.
[00:26:27.420 --> 00:26:31.420]   Let's play around with that for the remainder of the time.
[00:26:31.420 --> 00:26:36.420]   And if you have any more questions or stuck at something, we can talk through that, too,
[00:26:36.420 --> 00:26:39.420]   for the rest of the time.
[00:26:39.420 --> 00:26:45.420]   One last thing I would request once you're done with all your stuff is -- yeah, if you want
[00:26:45.420 --> 00:26:49.420]   to connect -- that's not the mandatory thing.
[00:26:49.420 --> 00:26:50.420]   Nothing is mandatory.
[00:26:50.420 --> 00:26:55.420]   But, yeah, I'd really appreciate if you could fill out a short survey that's at the QR code
[00:26:55.420 --> 00:26:57.420]   link that you scanned in the beginning.
[00:26:57.420 --> 00:26:59.420]   This is the first time I'm doing this workshop.
[00:26:59.420 --> 00:27:04.420]   So, any feedback you have will only help me make this better in the future.
[00:27:04.420 --> 00:27:05.420]   So, yeah.
[00:27:05.420 --> 00:27:07.420]   That would be much appreciated.
[00:27:07.420 --> 00:27:11.420]   Other than that, this is it from me for today.
[00:27:11.420 --> 00:27:12.420]   And thanks for being here.
[00:27:12.420 --> 00:27:13.420]   Thank you.
[00:27:13.420 --> 00:27:13.420]   Thank you.
[00:27:13.420 --> 00:27:14.420]   Thank you.
[00:27:14.420 --> 00:27:15.420]   Thank you.
[00:27:15.420 --> 00:27:16.420]   Thank you.
[00:27:16.420 --> 00:27:17.420]   Thank you.
[00:27:17.420 --> 00:27:18.420]   Thank you.
[00:27:18.420 --> 00:27:19.420]   Thank you.
[00:27:19.420 --> 00:27:20.420]   Thank you.
[00:27:20.420 --> 00:27:21.420]   Thank you.
[00:27:21.420 --> 00:27:22.420]   Thank you.
[00:27:22.420 --> 00:27:23.420]   Thank you.
[00:27:23.420 --> 00:27:24.420]   Thank you.
[00:27:24.420 --> 00:27:26.420]   Thank you.
[00:27:26.420 --> 00:27:27.420]   Thank you.
[00:27:27.420 --> 00:27:28.420]   Thank you.
[00:27:28.420 --> 00:27:32.520]   We'll see you next time.

