
[00:00:00.000 --> 00:00:05.000]   Now, I'm delighted today to have Karina who is a director of CS25.
[00:30:31.000 --> 00:30:40.000]   If it's, like, a tool called refusal, maybe it came from some kind of self-knowledge data that it would teach that the model doesn't have a physical body.
[00:30:40.000 --> 00:30:48.000]   And, uh, the model might just refuse to set an alarm, um, because it doesn't have a physical body.
[00:30:48.000 --> 00:30:52.000]   But actually, it does have a tool to set an alarm, right?
[00:30:52.000 --> 00:30:57.000]   So, it has some of this contradictory data that might affect weird model behaviors.
[00:30:57.000 --> 00:31:01.000]   Um, yeah, also, like, long dog refusal like this.
[00:31:01.000 --> 00:31:04.000]   Um, it was creative writing few results.
[00:31:04.000 --> 00:31:14.000]   It's, like, more of a, this balanced, um, challenging act between, like, safety and harmfulness, uh, data and helpfulness data.
[00:31:14.000 --> 00:31:20.000]   Um, in cloud three model, Carvey actually, uh, wrote everything about this.
[00:31:20.000 --> 00:31:27.000]   Um, you know, models that are trained to be more helpful and responsive to user requests may also lean towards harmful behaviors.
[00:31:27.000 --> 00:31:30.000]   Like, sharing information that violates the policy.
[00:31:30.000 --> 00:31:37.000]   And, conversely, when models just over-indexed on homelessness can tend towards not sharing any new information with users.
[00:31:37.000 --> 00:31:41.000]   Which, in itself, makes the model very unusable.
[00:31:41.000 --> 00:31:46.000]   Um, so, navigating this balancing act is very challenging, um, and works.
[00:31:46.000 --> 00:31:54.000]   So, yeah, and this is the plot of, uh, what we did and the results of cloud 2.1 and cloud 3 at that time.
[00:31:54.000 --> 00:31:59.000]   Um, and, yeah, like, you, kind of, want to, like, web check, uh, the responses.
[00:31:59.000 --> 00:32:06.000]   So, uh, when we asked the draft, like, fictional science sci-fi novel about surveillance system.
[00:32:06.000 --> 00:32:09.000]   Actually, 3 would respond in the match manual.
[00:32:09.000 --> 00:32:12.000]   It will respond instead of, like, um, refusing.
[00:32:12.000 --> 00:32:13.000]   Same here.
[00:32:13.000 --> 00:32:21.000]   Uh, yeah, mostly for creative writing, um, um, tasks.
[00:32:21.000 --> 00:32:23.000]   Cool.
[00:32:23.000 --> 00:32:27.000]   Um, my third section, um, of the talk.
[00:32:27.000 --> 00:32:28.000]   So, before we go.
[00:32:28.000 --> 00:32:34.000]   Before I jump into this, um, I would love to invite you if anybody has any questions.
[00:32:34.000 --> 00:32:38.000]   Or, um, I don't want to, like, mumble all along.
[00:32:38.000 --> 00:32:41.000]   Um, anything I can just move on.
[00:32:41.000 --> 00:32:42.000]   Yeah.
[00:32:42.000 --> 00:32:47.000]   Um, I'm curious, like, what's your process that you guys follow in order to, like,
[00:32:47.000 --> 00:32:53.000]   see how some new thing you're trying to push out, like, how do you go from wanting that particular
[00:32:53.000 --> 00:32:57.000]   teacher or behavior to actually, like, inducing that into models?
[00:32:57.000 --> 00:32:59.000]   Like, like, I don't know.
[00:32:59.000 --> 00:33:00.000]   Yeah, I don't know.
[00:33:00.000 --> 00:33:06.000]   Um, you know, it's, um, it's, um, it's supposed to do all of the risk.
[00:33:06.000 --> 00:33:11.000]   So, um, you might want to, um, you know, if this is your project, then you might want to
[00:33:11.000 --> 00:33:16.000]   think of what kind of data you want to collect and how you would want to collect the data.
[00:33:16.000 --> 00:33:27.000]   And then, uh, you can take, like, uh, the base config or, um, train a model, um, the same way as,
[00:33:27.000 --> 00:33:30.000]   you know, let's say you want to make a change in, like, 4.0.
[00:33:30.000 --> 00:33:37.000]   You might want to take the 4.0 model and add your data change and then retrain the model again
[00:33:37.000 --> 00:33:40.000]   and then see the effect on the evals that you will build.
[00:33:40.000 --> 00:33:48.000]   Um, there are other much more cheaper approaches, um, like, incremental, like, training on top of,
[00:33:48.000 --> 00:33:51.000]   um, the 4.0, let's say.
[00:33:51.000 --> 00:33:52.000]   Um, yeah.
[00:33:52.000 --> 00:33:53.000]   So, like, using either SFT.
[00:33:53.000 --> 00:33:58.000]   So, like, some of the choices that you will have to make is either you want to change in,
[00:33:58.000 --> 00:34:05.000]   um, like, supervised fine-tuning, uh, stage or you might want to have retrained reward model or,
[00:34:05.000 --> 00:34:11.000]   um, create a new kind of, like, evaluator grader, um, for that particular task.
[00:34:11.000 --> 00:34:20.000]   And then you can, like, create prompts in a raw environment and then, um, exercise those, um, exercise that scale for the model
[00:34:20.000 --> 00:34:23.000]   and then see if the model learns over the course of training.
[00:34:23.000 --> 00:34:32.000]   And if it doesn't, um, you know, you then look at the bunch of, like, plots and, you know, your plot might go up,
[00:34:32.000 --> 00:34:37.000]   but maybe some other plots might go down, so you kind of want to, like, calibrate, um, and fix those.
[00:34:37.000 --> 00:34:44.000]   Or, yeah, it's a very complex, um, as more and more tools and as more things we teach the model,
[00:34:44.000 --> 00:34:48.000]   it becomes much more, uh, kind of uncontrollable, almost.
[00:34:48.000 --> 00:34:51.000]   Um, yeah.
[00:34:51.000 --> 00:34:52.000]   Cool.
[00:34:52.000 --> 00:35:02.000]   Um, the third section is more about, um, the point that how you construct a raw environment and rewards is how your product will work.
[00:35:02.000 --> 00:35:11.000]   Um, you know, I think real-world use cases is what creates the complexity of a raw environment.
[00:35:11.000 --> 00:35:17.000]   And the complexity comes from, you know, teaching the model to complete hard tasks.
[00:35:17.000 --> 00:35:23.000]   And oftentimes hard tasks are, require much more than just answering the question.
[00:35:23.000 --> 00:35:33.000]   They require tools like search, um, code tools, uh, computer use tools, uh, reasoning over a long context.
[00:35:33.000 --> 00:35:37.000]   Um, and kind of like reward design that you want to shape.
[00:35:37.000 --> 00:35:42.000]   Um, and I think maybe it's obvious, maybe it's not obvious.
[00:35:42.000 --> 00:35:47.000]   But let's say, you know, as we teach the models, for the model to become very useful,
[00:35:47.000 --> 00:35:50.000]   we actually need to teach the models on useful things.
[00:35:50.000 --> 00:35:57.000]   And, um, you can think of like, uh, let's say we want to teach the model to be, uh, like a soft engineer.
[00:35:57.000 --> 00:35:59.000]   Then, okay, what does it actually mean?
[00:35:59.000 --> 00:36:02.000]   It doesn't mean it like creates really good PRs.
[00:36:02.000 --> 00:36:05.000]   Then your task distribution will be on that.
[00:36:05.000 --> 00:36:07.000]   And how do you evaluate what is a good PR?
[00:36:07.000 --> 00:36:08.000]   What is not good PR?
[00:36:08.000 --> 00:36:14.000]   Um, is actually, isn't itself more of a, can be also like a product thinking work.
[00:36:14.000 --> 00:36:19.000]   Um, same, um, you can dive deeper into the creative storyteller, right?
[00:36:19.000 --> 00:36:27.000]   Like if you want to teach the model to be, uh, good at writing, actually, what does it mean for a human to be a good writer?
[00:36:27.000 --> 00:36:36.000]   Well, they actually need some kind of tool to draft and edit their thoughts and like have multiple days to do that.
[00:36:36.000 --> 00:36:38.000]   And maybe the model should be able to do that.
[00:36:38.000 --> 00:36:43.000]   Um, maybe the model should have a tool that where you can like edit and draft.
[00:36:43.000 --> 00:36:51.000]   And oftentimes for creatives, you know, people go observe the world for like a long, like sometimes they like connect the dot,
[00:36:51.000 --> 00:36:54.000]   like the dots are getting connected in the very random times.
[00:36:54.000 --> 00:37:00.000]   And maybe you want to expose the model to never ending, uh, kind of search engine.
[00:37:00.000 --> 00:37:05.000]   Like the model should be able to always have access to the latest state of the world.
[00:37:05.000 --> 00:37:14.000]   Uh, and then, um, maybe over the course of let's say a week of being exposed to latest thing that is happening in the world,
[00:37:14.000 --> 00:37:17.000]   the model can start reflecting on the world and like write something.
[00:37:17.000 --> 00:37:24.000]   Um, and maybe that's like much more natural process of writing than just like ask or prompt it, like write about X, Y, Z.
[00:37:24.000 --> 00:37:32.000]   Um, and we are shifting towards much more, uh, more complex, uh, kind of interactions within their all environments.
[00:37:32.000 --> 00:37:34.000]   So the multiplayer interactions, right?
[00:37:34.000 --> 00:37:44.000]   It's not just one user communicates with one model, but it might be the case that multiple users, multiplayer collaboration that can happen with a model.
[00:37:44.000 --> 00:37:55.000]   So if I'm a, um, product designer and your product manager, we collaborating on something and we want to collaborate with an agent to, um, make a new product.
[00:37:55.000 --> 00:38:05.000]   And this in itself is a task that you can learn in RL, but each user has different preferences and each user is, has different, um, things.
[00:38:05.000 --> 00:38:08.000]   So yeah, how do you construct this environment is actually important.
[00:38:08.000 --> 00:38:19.000]   And, uh, you know, multi-agentic environments is, um, more of, uh, the model debate with each other or deliberate on like certain topic to reach a conclusion.
[00:38:19.000 --> 00:38:32.000]   So you can construct, um, I, I think like multi-agentic is like more, more like AlphaGo, like, uh, kind of environments, um, where they, they like get reward by achieving something, um, together, maybe.
[00:38:32.000 --> 00:38:48.000]   Um, so, um, I think in AI labs, I feel like we are also shifting, um, possibly the focus from, because we, we kind of like optimized so much around the, uh, class of time.
[00:38:48.000 --> 00:38:54.000]   And we're shifting the focus on the, uh, class of tasks that is like really easy to measure, like within like math, uh, competitive programming.
[00:38:54.000 --> 00:38:54.000]   Right.
[00:38:54.000 --> 00:39:07.000]   And we're shifting the focus maybe towards more subjective class of tasks that is really, really hard to measure, but that are becoming much more important if AI models get socially integrated in our lives.
[00:39:07.000 --> 00:39:12.000]   Um, and more specifically, let's say emotional intelligence, right?
[00:39:12.000 --> 00:39:13.000]   Right.
[00:39:13.000 --> 00:39:24.000]   The humans who use chat GPT, uh, use it so much for things like coaching therapy, uh, emotional, but we don't actually have much open source evals on this.
[00:39:24.000 --> 00:39:28.000]   And how do we actually measure that is actually becomes much more interesting question.
[00:39:28.000 --> 00:39:33.000]   Um, like social intelligence in voice, voice mode, right?
[00:39:33.000 --> 00:39:39.000]   I think it's one thing for a model to be intelligent in reason, like math and it's reasoning.
[00:39:39.000 --> 00:39:47.000]   Another thing, but another axis of intelligence is when I talk to a model in voice, uh, it can actually suggest something really meaningful.
[00:39:47.000 --> 00:39:54.000]   It might just say like, Hey, I noticed you did X, Y, Z, maybe I should create, um, a new tool for you.
[00:39:54.000 --> 00:39:59.000]   So I think it's a different kind of like, uh, social, like intelligence in that way.
[00:39:59.000 --> 00:40:06.000]   Um, another cause of tasks that I'm interested in is, uh, writing, obviously I think, um, models, creativity.
[00:40:06.000 --> 00:40:12.000]   Um, yeah, writing is like really hard to measure because it's so personal and subjective.
[00:40:12.000 --> 00:40:18.000]   Um, but it's interesting to think about, uh, can we make those tasks a bit more objective?
[00:40:18.000 --> 00:40:23.000]   Um, you know, everybody loves or like some kind of like sci-fi novel.
[00:40:23.000 --> 00:40:24.000]   Okay.
[00:40:24.000 --> 00:40:25.000]   What makes it really, really good?
[00:40:25.000 --> 00:40:34.000]   Um, so maybe there are certain like rules, technological rules or consistency of the world, um, that people really like or the character development.
[00:40:34.000 --> 00:40:39.000]   So you can like decompose, um, those subjective tasks into much more objective.
[00:40:39.000 --> 00:40:42.000]   Same with like visual design and aesthetics.
[00:40:42.000 --> 00:40:52.000]   Um, and for the model to generate something really aesthetically interesting, um, it should know like the basic principles of good visual design.
[00:40:52.000 --> 00:40:55.000]   So those are like much more objective.
[00:40:55.000 --> 00:40:57.000]   Yeah.
[00:40:57.000 --> 00:41:05.000]   And I think like, this is more of a kind of new, new kind of product research that a lot of people are starting doing is creating new RL tasks.
[00:41:05.000 --> 00:41:11.000]   And this is more of a simulation of real world scenarios, um, leveraging in context learning.
[00:41:11.000 --> 00:41:20.000]   If you want to teach like a new tool or something, um, leveraging synthetic data, wide distillation from stronger reasoning models.
[00:41:20.000 --> 00:41:31.000]   Um, yeah, you can think of like inventing new model behavior and interactions like multiplayer and also incorporating product and user feedback, uh, during the entire process.
[00:41:31.000 --> 00:41:37.000]   Well, another axis of this work is actually around reward design.
[00:41:37.000 --> 00:41:39.000]   Um, how do we teach the model?
[00:41:39.000 --> 00:41:51.000]   Um, like what kind of feedback would I want to give to a model so that it will learn how to better operate in this real world scenario use case and be more adapt in social contexts.
[00:41:51.000 --> 00:41:55.000]   And actually this is, this requires a real quite deep product thinking, right?
[00:41:55.000 --> 00:42:05.000]   So we want to teach the model, um, to have like follow up, like meaningful follow up questions, but not like overly being annoying or something.
[00:42:05.000 --> 00:42:15.000]   Um, so how do you reward for completing a tasks in a way that makes, that will make a lot of sense in the product and will shape, um, the product experience with the user in the future.
[00:42:15.000 --> 00:42:23.000]   Um, and obviously during that process you will get into, uh, VR things like, do you have a question?
[00:42:23.000 --> 00:42:38.000]   I'm just curious, you guys thinking about like, kind of infer the rewards from the data from like a certain group of people.
[00:42:38.000 --> 00:42:49.000]   I guess they will have some like internal reward, you know, like the mechanism to make decisions and then you can use that to sort of, you know, to inject such a insight into a model.
[00:42:49.000 --> 00:42:54.000]   Yeah.
[00:42:54.000 --> 00:43:00.000]   Yeah, I think there are definitely various approaches to how you construct the reward, right?
[00:43:00.000 --> 00:43:04.000]   Like there was one, um, you can construct very simple rewards.
[00:43:04.000 --> 00:43:14.000]   You can also like train a reward model, um, that will, as yeah, you can like train like some kind of like inverse, um, reward modeling, um, tasks.
[00:43:14.000 --> 00:43:15.000]   Yeah.
[00:43:15.000 --> 00:43:18.000]   Um, it depends on the tasks too.
[00:43:18.000 --> 00:43:23.000]   Uh, it depends on the, like what kind of thing that you want to like optimize the model for.
[00:43:23.000 --> 00:43:38.000]   Um, yeah, and, um, I think an interesting, um, thing that you will discover during this entire process is, uh, reward hacks, which is very, very common in RL.
[00:43:38.000 --> 00:43:41.000]   And there are many, many different reasons why it's happening.
[00:43:41.000 --> 00:43:46.000]   I actually really highly recommend to read Lillian's blog about reward hacking in RL.
[00:43:46.000 --> 00:43:47.000]   It's very comprehensive.
[00:43:47.000 --> 00:43:57.000]   Um, there's, uh, reward hacking is basically when, um, the model achieves high reward for, uh, things that it actually didn't do.
[00:43:57.000 --> 00:43:58.000]   Like it's kind of deceived.
[00:43:58.000 --> 00:44:11.000]   Um, and especially right now as more and more systems, we use other AI models, LLMs to be evaluators for policy models.
[00:44:11.000 --> 00:44:23.000]   Actually an interesting, the most common like reward hack is when a policy model tries to deceive, uh, to think that it, deceive the evaluator model such that it will think that the policy completed the task or something.
[00:44:23.000 --> 00:44:28.000]   So, um, here's, um, an example of like the code patch tool.
[00:44:28.000 --> 00:44:33.000]   So the model is like, to skip all the tests, you can define this function that always skips.
[00:44:33.000 --> 00:44:34.000]   So, and then it passes.
[00:44:34.000 --> 00:44:38.000]   Um, and it's mostly interesting.
[00:44:38.000 --> 00:44:45.000]   There's a paper, recent paper from OpenAI around, um, just like monitoring, uh, reasoning models for misbehavior.
[00:44:45.000 --> 00:44:52.000]   And interesting finding is that if you, you actually don't want to optimize chain of thought, uh, on being,
[00:44:52.000 --> 00:44:58.000]   using, because then the model will be much more kind of hide it in its intent.
[00:44:58.000 --> 00:45:01.000]   Um, so yeah, it's like very interesting paper on like reward hacks.
[00:45:01.000 --> 00:45:08.000]   And especially with like more complex reasoning models, the complexity of reward hacks will also, um, change.
[00:45:08.000 --> 00:45:18.000]   Um, and especially, let's say in the software engineer, and you might not want to know what kind of code changed, uh, it made in order to create some certain vulnerability.
[00:45:18.000 --> 00:45:31.000]   Right? So you need actually, um, more, um, create like new affordances to have like much higher, like much more trustworthy verification of the model outputs.
[00:45:31.000 --> 00:45:34.000]   Um, and this is like more of an alignment problem too.
[00:45:34.000 --> 00:45:35.000]   Okay.
[00:45:35.000 --> 00:45:37.000]   Um, I'm almost done.
[00:45:37.000 --> 00:45:39.000]   I think this is the fourth section.
[00:45:39.000 --> 00:45:46.000]   Um, it's more like vignettes, uh, and the future of human AI interactions is how I think, um, about things.
[00:45:46.000 --> 00:46:02.000]   Um, obviously I made this graph like a year ago and nobody cares about MLU anymore, but I think this is to communicate the fact that the cost of reasoning is drastically decreasing and it will only just be decreasing.
[00:46:02.000 --> 00:46:17.000]   Um, and this idea of like raw intelligence in itself has just become so cheap that I think anybody can create like really useful and really amazing things with those models, um, at pretty much low cost.
[00:46:17.000 --> 00:46:33.000]   Um, you know, I, yeah, as I mentioned before, it's like, um, when we are entering the age where it's really hard to verify AI outputs because I'm not an expert in let's say medical, um, or financial analysis.
[00:46:33.000 --> 00:46:45.000]   Like how do we actually teach create like new affordances for humans to verify or edit models outputs, um, and help them to teach the models.
[00:46:45.000 --> 00:46:49.000]   Um, I do think there's a cool future of like dynamic generative UI.
[00:46:49.000 --> 00:46:53.000]   Um, it's kind of like invisible software creation on the fly.
[00:46:53.000 --> 00:47:01.000]   So let's say you talk to a model and, uh, you know, I say like, I want to learn more about the solar system.
[00:47:01.000 --> 00:47:10.000]   Um, instead of right now, the model will just like output text, but I would want to believe that in the future, uh, it would be much more personalized.
[00:47:10.000 --> 00:47:14.000]   Let's say I'm a visual thinker and you are more of a listener.
[00:47:14.000 --> 00:47:27.000]   Like if you're a listener, it will create maybe a podcast, but if I'm a visual, um, person, it might want to create me a picture or, you know, um, like a 3G, a 3GS visualization.
[00:47:27.000 --> 00:47:28.000]   Um, yeah.
[00:47:28.000 --> 00:47:38.000]   And this idea of like, uh, this interface is like ephemeral and it's like self morphs depends on understanding your intent and your context.
[00:47:38.000 --> 00:47:41.000]   Um, it's like deeply personal personalized models.
[00:47:41.000 --> 00:47:46.000]   Um, yeah, I'm also excited about personalized access to healthcare and education.
[00:47:46.000 --> 00:47:58.000]   Um, I think it's really, um, incredible, um, that anybody can check the symptoms and with chat or something and get like some advice.
[00:47:58.000 --> 00:48:05.000]   Um, and also like with that also comes like some of the interesting like consumer hardware, um, in the future.
[00:48:05.000 --> 00:48:11.000]   Um, and, uh, lastly is like our relationship to the process of storytelling will forever change.
[00:48:11.000 --> 00:48:22.000]   Like the way we tell the stories, the way we'll create new novels, maybe co-writing with like, with models, co-scripting new films.
[00:48:22.000 --> 00:48:31.000]   Um, I don't think like, I think there will be the new generation of creative people who, um, will change our relationship with storytelling.
[00:48:31.000 --> 00:48:42.000]   And I would hope to think that the current creators don't, are not scared of the eye and more open minded to use those tools for their process.
[00:48:42.000 --> 00:48:44.000]   Yeah.
[00:48:44.000 --> 00:48:45.000]   Thank you.
[00:48:53.000 --> 00:48:54.000]   Some questions.
[00:48:54.000 --> 00:48:55.000]   Yeah.
[00:48:55.000 --> 00:48:58.000]   So thanks Karina for the very interesting talk.
[00:48:58.000 --> 00:49:02.000]   Um, so yeah, now we'll open the floor to questions, a Q and A session.
[00:49:02.000 --> 00:49:05.000]   So, um, we'll structure it more openly.
[00:49:05.000 --> 00:49:14.000]   So anything you want to ask her about, um, research products, um, things that opening high, um, that she can talk about and so forth.
[00:49:14.000 --> 00:49:17.000]   And for the folks on zoom, feel free to ask questions in the chat.
[00:49:17.000 --> 00:49:21.000]   Um, and so we'll take a mix of a zoom and in-person questions.
[00:49:21.000 --> 00:49:22.000]   Um, thank you.
[00:49:22.000 --> 00:49:23.000]   Yeah.
[00:49:23.000 --> 00:49:24.000]   Um, is there any, like, category of law?
[00:49:24.000 --> 00:49:25.000]   Because, like, there aren't any shorts on it right now.
[00:49:25.000 --> 00:49:26.000]   Like, things that are really a lot.
[00:49:26.000 --> 00:49:27.000]   Yeah, there's, like, not enough people who wish they were not.
[00:49:27.000 --> 00:49:28.000]   Yeah, I mean, I think, yeah, creative writing.
[00:49:28.000 --> 00:49:29.000]   I don't think, like, anybody.
[00:49:29.000 --> 00:49:42.000]   Um, yeah, like, um, a lot of researchers are, uh, I think, I think, yeah, creative writing.
[00:49:42.000 --> 00:49:43.000]   I don't think, like, anybody.
[00:49:43.000 --> 00:49:44.000]   Um, yeah, like, um, a lot of researchers are, um, like, I think, I think, yeah, creative writing.
[00:49:44.000 --> 00:49:50.000]   I don't think, like, anybody, um, yeah, like, um, like, um, a lot of researchers are,
[00:49:50.000 --> 00:49:57.000]   really, like, um, working on problems where it's very easy to evaluate, I think.
[00:49:57.000 --> 00:50:01.000]   Um, and I think there is a class of problems that is, like, subjective tasks.
[00:50:01.000 --> 00:50:10.000]   Like, there's no open, like, frontier benchmark for creative writing or emotional intelligence.
[00:50:10.000 --> 00:50:14.000]   Um, right, but you can construct one if you want to.
[00:50:14.000 --> 00:50:18.000]   Um, yeah, we can, like, brainstorm if that's helpful.
[00:50:18.000 --> 00:50:19.000]   Yeah.
[00:50:19.000 --> 00:50:19.000]   Um, yeah.
[00:50:19.000 --> 00:50:19.000]   Yeah.
[00:50:19.000 --> 00:50:19.000]   Um, yeah.
[00:50:19.000 --> 00:50:20.000]   Yeah.
[00:50:20.000 --> 00:50:38.360]   is like, do you think about like ROI working on things that are easy to evaluate? Like you can move much faster. How do you consider things that are more subjective? So you can't move as fast, but they're also important. Like would it be better to just take all these and put them on the things that aren't objective and you can move very fast?
[00:50:38.600 --> 00:51:03.200]   Yeah, I think moving fast though is also as tasks becomes like much more complex, as we kind of like optimized everything out from kind of easy tasks. Now we kind of want to like teach the models for more low, like longer horizon tasks of software engineering or kind of automating like AI research, right? This in itself as a very hard tasks.
[00:51:03.900 --> 00:51:10.300]   And, you know, you have like kind of have some milestones. Maybe you can create benchmarks to hit those milestones.
[00:51:10.300 --> 00:51:26.880]   Yeah, I do think this is like, you know, I think like this is all solvable things. And I don't think people should be worried about like moving fast versus like slow, because I feel like everything is moving fast these days. Yeah.
[00:51:26.880 --> 00:51:30.480]   If you were to build a startup right now, what startup would you do?
[00:51:30.480 --> 00:51:57.900]   Um, I had, I mean, I was thinking about building a startup before joining Anthropic with that project was into Alia. Um, well, let's see, I actually really, like one thing that I recently told someone is like, I would actually build something around like particle collider, I don't know, or bio tech.
[00:51:57.900 --> 00:52:04.780]   Like, like, I don't think we need larger particle collider than CERN, then somebody should be building one. Um, yeah.
[00:52:04.780 --> 00:52:14.140]   Because I feel like, uh, the models would be able to build any product that you imagine. Um, yeah, sure. Yeah.
[00:52:14.140 --> 00:52:18.880]   What do you think are the major bottlenecks for your team or, um, for OpenAI?
[00:52:18.880 --> 00:52:40.340]   Um, I don't know, it is, it is, yeah. Um, the bottlenecks are, oh, the question is, what's the major bottlenecks, uh, for OpenAI? Um, I don't know, I'm not sure if, like,
[00:52:40.340 --> 00:52:51.220]   faster execution should be solved with more people versus, um, like using AIs now to, to help us move faster, if that makes sense.
[00:52:51.220 --> 00:53:02.100]   So I feel like that's the bottleneck. I think there was a lot of, I think right now we are like in the middle of figuring a lot of things out in order to like, like, I feel like in a year or two, that will accelerate us so much more.
[00:53:02.100 --> 00:53:18.980]   I feel like infrastructure is actually one of the major bottlenecks, right? If you don't build infrastructure with, uh, multimodal, like as a first class citizen, then, um, obviously all the multimodal things will be much more, um, slow, like, um, more difficult.
[00:53:18.980 --> 00:53:31.860]   So, um, yeah, in a way it's like infra, um, um, figuring out like what to prioritize at a given time, because sometimes you can say yes to everything and then not having a focus time is also a thing, yeah.
[00:53:31.860 --> 00:53:57.860]   Um, basically when the model checks the turns context and updates how you should score the same parameter based on that turn.
[00:53:57.860 --> 00:54:22.860]   Wait, um, I'm a little bit confused by this question. Um, I think generally like rubric based grading is, um, very powerful and, um, you know, as long as you optimize, um, things that you want to optimize and there's no reward hacks, then it's good. Um, how do you imagine AI will be used by creatives?
[00:54:22.860 --> 00:54:27.860]   If not just generating entire works on their own, how will they be integrated in their creatives flow?
[00:54:27.860 --> 00:54:37.860]   Well, um, I think, you know, I think AI is, is just like right now, maybe it's more like you would use Figma or like tools like Adobe.
[00:54:37.860 --> 00:54:45.860]   Um, and I think in the future, it's more, um, maybe it will be much more co-creation with an AI rather than using it as a tool.
[00:54:45.860 --> 00:54:51.860]   Uh, maybe we have like live brainstorming and create things on the fly and then publish it together.
[00:54:51.860 --> 00:54:58.860]   it's like much more companion, um, work. Cool. Other questions?
[00:54:58.860 --> 00:55:05.860]   Other questions?
[00:55:05.860 --> 00:55:10.860]   Um, tasks that are not captured by road models?
[00:55:10.860 --> 00:55:12.860]   Like how do you capture?
[00:55:12.860 --> 00:55:23.860]   That cannot be captured? Um, I mean, I can't think of any because, um, the way you can, uh, the way you teach the road model is based on some of the human preferences maybe, right?
[00:55:23.860 --> 00:55:30.860]   Or like pairwise comparisons. So essentially you can almost teach anything, uh, to the model.
[00:55:30.860 --> 00:55:36.860]   I do think the complexity will, like the complexity always arises with like tools, right?
[00:55:36.860 --> 00:55:44.860]   And like, if you give very complicated tool, um, then you might want to be, like the learning is like much more difficult.
[00:55:44.860 --> 00:55:51.860]   So I feel like, um, I do hope that almost anything can be teachable in a row. Yeah.
[00:55:51.860 --> 00:56:04.860]   Um, so I'm curious, like, now that you bring up like the learning of the frequency, how do you prevent the model from converging to like the main, like, frequency level?
[00:56:04.860 --> 00:56:10.860]   Like Airbnb listings all looking the same. Like, how do you inject some creative diversity?
[00:56:10.860 --> 00:56:21.860]   Yeah, I think this is an interesting question. I think they, uh, the, the two ways, um, like what's talking on my mind is, um, how do you preserve entity from the base model, right?
[00:56:21.860 --> 00:56:39.860]   Like, uh, base models are super diverse because they can literally elicit any human preference or, um, a human thought. Um, so how do you, um, you know, yeah, preserve the entity from the base model during the role?
[00:56:39.860 --> 00:56:56.860]   And another way, um, is, uh, the, the reason why we love our layoff, like reinforcement learning from AI feedback and create synthetic generations of pairwise comparisons, let's say, is because it can induce the diversity that you really want to teach on like distribution that you care about.
[00:56:56.860 --> 00:57:08.860]   Uh, that is not like the mean average consumer. Um, yeah, because sometimes like, you know, um, average human can prefer certain emojis or markdown, but actually you don't want the model to behave like this.
[00:57:08.860 --> 00:57:25.860]   So in a way you can discourage the model from doing that. Um, yeah. So I feel like synthetic curation, like synthetic data generation is mostly like curation of, um, that kind of diversity. Um, yeah.
[00:57:25.860 --> 00:57:44.860]   Um, yeah, I think it's qualitative, especially for the model behavior, like refusals. Um, Oh, um, how do I distill this question?
[00:57:44.860 --> 00:57:52.860]   Um, um, how do I distill this question?
[00:57:52.860 --> 00:58:11.860]   Um, yeah. Like how do you capture like models limitations on something automatic versus a home manual? Um, I think there was a lot of benefit of literally playing with the model and, uh, look at the outputs and see what are the weirdnesses it has.
[00:58:11.860 --> 00:58:29.860]   Um, there are definitely like, um, maybe more automatic checks, uh, and those are mostly like evals, right. Um, but, um, and maybe you have an eval that specifically checks with the behavior that you really don't want. Um, and that might be helpful, but a lot of nuanced weirdnesses that, um, like, did you realize is like through kind of like manual. And, and like, um, and that might be helpful. But a lot of nuanced weirdnesses that, um, like, did you realize is like through kind of like manual. And, and like, um, and that might be helpful.
[00:58:29.860 --> 00:58:51.860]   Um, and like, um, another thing is like the model should be consistently behaving like this because if it's just like one off, then it's fine. But if the model consistently exhibits this behavior, then, uh, this becomes like a more problematic thing. Yeah.
[00:58:51.860 --> 00:59:03.860]   You mentioned in one of your slides are a huge tosses coming down. Um, but also, you know, it's kind of subjective creative dimension.
[00:59:03.860 --> 00:59:15.860]   like creating a whole visual interface or something. Arguably complexity of the problems, uh, increases. Do you think that, you know, for those problems, compute is still pretty much a whole limitation?
[00:59:15.860 --> 00:59:21.860]   Or do you think that we're kind of getting to this point where, uh, that improvement is going to be improvement to the models or data sets?
[00:59:21.860 --> 00:59:32.860]   Um, I think that computer efficiency is important. I think that with more test time compute, generally the assumption is, uh,
[00:59:32.860 --> 00:59:49.860]   um, the model can always get better and better. So it might achieve kind of human level of visual design, but can it just invent new interaction paradigms, like new interaction patterns?
[00:59:49.860 --> 01:00:01.860]   I feel like that's more of a superhuman skill. Um, and I do hope that with more compute, um, it will do that at some point. Yeah.
[01:00:01.860 --> 01:00:06.860]   So you can actually, um,
[01:00:06.860 --> 01:00:07.860]   you can actually, uh,
[01:00:07.860 --> 01:00:08.860]   um,
[01:00:08.860 --> 01:00:09.860]   how do you verify it?
[01:00:09.860 --> 01:00:10.860]   Okay.
[01:00:10.860 --> 01:00:11.860]   Let me, uh,
[01:00:11.860 --> 01:00:12.860]   um,
[01:00:12.860 --> 01:00:17.860]   Um, well, the thing with synthetic data is that you don't actually need to generate a lot of it, right? Um, so you can actually have like very much like manual inspection of what's going on. Um, obviously you can think of other methods, like, um, ask a human laborer, um,
[01:00:17.860 --> 01:00:23.860]   to check the work, um, you can also ask, um,
