
[00:00:00.080 --> 00:00:04.720]   this year google talked about ai very differently this time they want you to sit up they want you
[00:25:32.080 --> 00:25:36.720]   room of google and i think you saw that probably in the keynote yesterday really if you take a step
[00:25:36.720 --> 00:25:42.160]   back um and then it's very clear uh i think you could sort of say agi pilled is maybe the right
[00:25:42.160 --> 00:25:47.920]   word that we're quite close to this uh human level general intelligence uh maybe closer than people
[00:25:47.920 --> 00:25:53.360]   thought even a couple of years ago and it's going to have broad cross-cutting impact and i think there's
[00:25:53.360 --> 00:25:56.960]   another thing that you saw at the keynote it's sort of literally popping up everywhere because it's
[00:25:56.960 --> 00:26:00.800]   this horizontal layer that's going to underpin everything and i think everyone is starting to
[00:26:00.800 --> 00:26:05.920]   understand that and um maybe a bit of the deep mind ethos is bleeding into the into the general google
[00:26:05.920 --> 00:26:11.600]   which is which is great you mentioned um that project astra is powering some things that maybe
[00:26:11.600 --> 00:26:17.600]   people don't even realize that ai can yet do i think this speaks to a real challenge in the ai business
[00:26:17.600 --> 00:26:22.480]   right now which is that the models have these pretty amazing capabilities but either the products
[00:26:22.480 --> 00:26:28.160]   aren't selling them or the users just sort of haven't figured them out yet so how are you thinking about
[00:26:28.160 --> 00:26:33.440]   that challenge and how much do you bring yourself to the product question as opposed to the research
[00:26:33.440 --> 00:26:38.960]   question yeah it's great great question i mean i think um one of the challenges i think of this space
[00:26:38.960 --> 00:26:45.200]   is obviously the underlying tech is moving unbelievably fast and i think that's quite different even from the
[00:26:45.200 --> 00:26:50.720]   other big revolutionary techs internet and mobile at some point you get some sort of stabilization of the
[00:26:50.720 --> 00:26:56.800]   tech stack so that then the you know the focus can be on product right or exploiting that tech stack
[00:26:56.800 --> 00:27:01.520]   and what we've got here which i think is very unusual but also quite exciting from a researcher perspective
[00:27:01.520 --> 00:27:08.800]   is that the tech stack itself is evolving incredibly fast as you guys know so i think that makes it uniquely
[00:27:08.800 --> 00:27:14.640]   challenging actually on the product side um not just for us at google and deep mind but for startups for for
[00:27:14.640 --> 00:27:21.680]   anyone really any any any uh company small and large is where do you what do you bet on right now when
[00:27:21.680 --> 00:27:26.720]   that could be a hundred percent better uh in a year as we've seen and and so you've got you've got this
[00:27:26.720 --> 00:27:31.680]   interesting thing where you need kind of fairly um deeply technical sort of product people product
[00:27:31.680 --> 00:27:38.640]   designers and managers i think to in order to sort of intercept where the technology may be in a year so
[00:27:38.640 --> 00:27:42.960]   so there's things it can't do today and you want to design a product that's going to come out in a year
[00:27:42.960 --> 00:27:46.640]   so you've got to kind of put you've got a pretty deep understanding of the tech and where it might go to
[00:27:46.640 --> 00:27:51.680]   to sort of work out what features you can rely on and so it's it's it's an interesting one i think that's
[00:27:51.680 --> 00:27:57.040]   what you're seeing so many different things being tried out and then if something works we've got to
[00:27:57.040 --> 00:28:04.000]   really double down quickly on that yeah during your keynote you talked about gemini as powering both
[00:28:04.000 --> 00:28:10.480]   uh sort of productivity assistant style stuff and also fundamental uh science and and research
[00:28:10.480 --> 00:28:17.760]   challenges and i wonder in your mind is that the same problem that sort of like one great model can
[00:28:17.760 --> 00:28:24.400]   solve or are those sort of very different problems that just require different approaches i think you
[00:28:24.400 --> 00:28:29.360]   know when you look at it looks like an incredible breadth of things which is true and how are these
[00:28:29.360 --> 00:28:34.480]   things related uh other than the fact i'm interested in all of them but is that uh that was always the
[00:28:34.480 --> 00:28:39.920]   idea with building general intelligence you know truly generally and and and and this in this way
[00:28:39.920 --> 00:28:44.800]   that we're doing it should be applicable to almost anything right that being productivity which is very
[00:28:44.800 --> 00:28:50.080]   exciting help billions of people in their everyday lives to cracking some of the biggest problems in
[00:28:50.080 --> 00:28:58.160]   science um 90 i would say of it is is the underlying core general models uh you know in our case gemini
[00:28:58.160 --> 00:29:04.720]   especially 2.5 and they're in most of these areas you still need additional applied research or some a
[00:29:04.720 --> 00:29:10.480]   little bit of um special casing from the domain maybe it's special data or whatever um to tackle that
[00:29:10.480 --> 00:29:16.000]   problem and you know maybe we work with domain experts in in the scientific uh areas uh but underlying it
[00:29:16.000 --> 00:29:20.880]   you all the when you crack one of those areas you can also put those learnings back into the general
[00:29:20.880 --> 00:29:25.680]   model and then the general model gets better and better so it's a kind of very interesting flywheel
[00:29:25.680 --> 00:29:30.960]   and um it's great fun for someone like me who's very interested in many things you get to use this
[00:29:30.960 --> 00:29:37.120]   technology and sort of um uh go into almost any field that you find interesting i think that a lot of
[00:29:37.120 --> 00:29:43.040]   ai companies are wrestling with right now is how many resources to devote to sort of the core ai push on
[00:29:43.040 --> 00:29:48.880]   the foundation models making the the models better at the basic level versus how much time and energy
[00:29:48.880 --> 00:29:53.840]   and money do you spend trying to spin out parts of that and commercialize it and turn it into products
[00:29:53.840 --> 00:29:59.280]   and i i imagine this is both like a resources challenge but also like a a personnel challenge
[00:29:59.280 --> 00:30:04.320]   because say you join deepmind as an engineer and you want to like build a gi and then someone from google
[00:30:04.320 --> 00:30:07.920]   comes to you and says like we actually want your help like building the shopping thing that's gonna like
[00:30:07.920 --> 00:30:13.440]   let people try on clothes yeah is that a challenging conversation to have with people who joined
[00:30:13.440 --> 00:30:17.920]   for one reason and may be asked to work on something else yeah well we we don't you know it's sort of
[00:30:17.920 --> 00:30:22.240]   self-selecting internally we don't have to we're that's one advantage of being quite large there are
[00:30:22.240 --> 00:30:27.040]   enough engineers on the product teams and the product areas you know that can deal with the the product
[00:30:27.040 --> 00:30:32.400]   development prod eng and the researchers if they want to stay in core research that they're absolutely that's
[00:30:32.400 --> 00:30:38.320]   fine and we need that um but actually you'll find a lot of researchers are quite um motivated by real
[00:30:38.320 --> 00:30:44.560]   world impact be that in medicine obviously and and things like isomorphic but also um uh to to have
[00:30:44.560 --> 00:30:50.800]   billions of people use their research it's actually really motivating and so there's plenty of people that
[00:30:50.800 --> 00:30:58.240]   like to do both so um yeah we don't there's no need for us to sort of have to pivot people to certain things
[00:30:58.240 --> 00:31:06.160]   um you did a panel yesterday with uh sergey brin google's co-founder yeah um who has been working
[00:31:06.160 --> 00:31:13.520]   on this stuff back in the office and uh interestingly he has shorter agi timelines than you um he thought
[00:31:13.520 --> 00:31:19.440]   agi would arrive before 2030 and you said just after he actually accused you of sandbagging basically like
[00:31:19.440 --> 00:31:23.840]   artificially pushing out your estimates so that you could like under promise and over deliver
[00:31:23.840 --> 00:31:30.480]   um but i'm curious about that because you will often hear people at different ai companies arguing
[00:31:30.480 --> 00:31:35.440]   about when the timelines are but presumably you and sergey have access to all the same information
[00:31:35.440 --> 00:31:41.520]   and the same roadmaps and you you understand what's possible um and what's not so what is he
[00:31:41.520 --> 00:31:46.160]   seeing that you're not or vice versa that leads you to different conclusions about when agi is going to
[00:31:46.160 --> 00:31:50.240]   arrive uh okay well first of all there isn't that much difference in our timelines if he's just before
[00:31:50.240 --> 00:31:54.960]   2030 and i'm just after also our time my timeline has been pretty consistent since the start of deep
[00:31:54.960 --> 00:32:00.880]   mind in 2010 so we thought it was roughly a 20-year mission and amazingly we're on track so it's it's
[00:32:00.880 --> 00:32:05.600]   somewhere around then i would think and i and i feel like between i actually have obviously a probability
[00:32:05.600 --> 00:32:10.400]   distribution of you know where the most mass of that is between five and ten years from now and i think
[00:32:10.400 --> 00:32:15.520]   partly it's to do with predicting anything precisely five to ten years out is very difficult so there's
[00:32:15.520 --> 00:32:21.040]   uncertainty bars around that and then also um there's uncertainty about how many more breakthroughs
[00:32:21.040 --> 00:32:26.160]   are required right and also about the definition of agi i have quite a high bar which i've always had
[00:32:26.160 --> 00:32:32.560]   which is it's it should be able to do all of the things that the human brain can do right even
[00:32:32.560 --> 00:32:37.840]   theoretically and so that's that's a higher bar than say what the typical individual human could do
[00:32:37.840 --> 00:32:42.800]   which is obviously very economically important that would be a big milestone but not in my view enough to
[00:32:42.800 --> 00:32:49.200]   call it agi um and and we talked on stage a little bit about what there's missing from today's systems
[00:32:49.200 --> 00:32:54.480]   sort of true out of the box invention and thinking um sort of inventing a conjecture rather than just
[00:32:54.480 --> 00:32:59.680]   solving a math conjecture solving one's pretty good but actually inventing like the reaman hypothesis or
[00:32:59.680 --> 00:33:05.200]   something as significant as that the mathematicians agree is really important is very is much harder
[00:33:05.200 --> 00:33:13.200]   um and uh also consistency so the consistency is a requirement of generality really and you should it
[00:33:13.200 --> 00:33:20.800]   should be very very difficult for even top experts to find uh flaws especially trivial flaws in the systems
[00:33:20.800 --> 00:33:25.200]   which we can easily find today and you know the average person can do that so there's a sort of
[00:33:25.200 --> 00:33:30.800]   capabilities gap and there's a consistency gap before we get to what i would consider agi and when you think
[00:33:30.800 --> 00:33:38.800]   about closing that gap do you think it arrives via incremental two five percent improvements in each
[00:33:38.800 --> 00:33:44.800]   successive model just kind of stacked up over a long period of time or do you think it's more likely that
[00:33:44.800 --> 00:33:49.920]   we'll hit some sort of technological breakthrough and then all of a sudden there's liftoff and we hit some
[00:33:49.920 --> 00:33:55.920]   sort of intelligence explosion i i think it's i think it could be both and and and i and i think for sure both
[00:33:55.920 --> 00:34:02.720]   is going to be useful which is why we push unbelievably hard on the scaling and the you know
[00:34:02.720 --> 00:34:07.040]   what you would call incremental although actually there's a lot of innovation even in that to keep
[00:34:07.040 --> 00:34:12.160]   moving that forward in pre-training post-training infants time compute all of that stack so there's
[00:34:12.160 --> 00:34:17.200]   actually lots of exciting research and we showed some of that that diffusion model um the deep think
[00:34:17.200 --> 00:34:23.120]   model um so we're innovating it all parts of that the traditional stacks we call it and then on top of that
[00:34:23.120 --> 00:34:29.280]   we're doing uh more greenfield things more blue sky things like alpha evolve maybe you could you could
[00:34:29.280 --> 00:34:33.360]   include in that which um is there a difference between a greenfield thing and a blue sky thing
[00:34:33.360 --> 00:34:41.600]   i'm not sure maybe they're maybe they're pretty similar so uh some new area let's call it and uh and
[00:34:41.600 --> 00:34:46.560]   uh and then that could come back into the main branch right and we've i've all i mean as you both know i've
[00:34:46.560 --> 00:34:51.840]   been fundamental believer in sort of foundational research we've always had the broadest deepest
[00:34:51.840 --> 00:34:58.560]   research bench i think of any lab out there um and that's what allowed us to do past big breakthroughs
[00:34:58.560 --> 00:35:05.440]   obviously transformers but alpha go alpha zero all of these things distillation um and if to the extent
[00:35:05.440 --> 00:35:10.640]   any of those things are needed again another big breakthrough of that level um i would back us to do
[00:35:10.640 --> 00:35:17.040]   that and uh we're you know pursuing lots of very exciting avenues that could bring that sort of step
[00:35:17.040 --> 00:35:23.120]   change uh as well as the incremental and then they of course also interact um because the better you have
[00:35:23.120 --> 00:35:29.600]   your your your base models the more you things you can try on top of it um again like alpha evolve you
[00:35:29.600 --> 00:35:37.440]   know add in evolutionary programming in that case on top of the the llms um we recently talked to
[00:35:37.440 --> 00:35:42.720]   karen howe who's a journalist um just wrote a book about ai um and she was making an argument essentially
[00:35:42.720 --> 00:35:49.440]   against scale um that you don't need these big general models that are incredibly energy intensive and
[00:35:49.440 --> 00:35:55.280]   compute intensive and require billions of dollars and new data centers and and all kinds of uh of
[00:35:55.280 --> 00:36:00.000]   resources to make happen that instead of doing that kind of thing you could build smaller models you
[00:36:00.000 --> 00:36:05.760]   could build narrower models you could have a model like alpha fold that is just designed to uh predict
[00:36:05.760 --> 00:36:11.200]   the 3d structures of proteins you don't need a huge behemoth of a model to accomplish that what's your
[00:36:11.200 --> 00:36:16.880]   response to that well i think you need those big models we're you know we love big and small models
[00:36:16.880 --> 00:36:22.000]   so you need the big models often to train the smaller models so uh we're very proud of our kind
[00:36:22.000 --> 00:36:26.560]   of flash models which are the most you know we call them our workhorse models really efficient some of
[00:36:26.560 --> 00:36:31.520]   the most popular models we use a ton of those types of size models internally but you can't build those
[00:36:31.520 --> 00:36:37.920]   kind of models without distilling um from the larger teacher models and um and even things like alpha
[00:36:37.920 --> 00:36:43.360]   fold which obviously i i'm a huge advocate of more of those types of models that can tackle right now
[00:36:43.360 --> 00:36:47.760]   we don't have to wait to agi we can tackle now really important problems in science and
[00:36:47.760 --> 00:36:54.720]   medicine uh today and uh that will require taking the general techniques but then potentially
[00:36:54.720 --> 00:36:59.440]   specializing it you know in that case around protein structure prediction and i think there's
[00:36:59.440 --> 00:37:06.720]   huge potential for doing more of those things um and we are largely in our science work ai for science work
[00:37:06.720 --> 00:37:11.440]   um and i think you know we're producing something pretty cool on that pretty much every month these days
[00:37:11.440 --> 00:37:16.400]   and um i think there should be a lot more exploration on that probably a lot of startups could be built
[00:37:16.400 --> 00:37:21.600]   uh combining some kind of general model that exists today with some domain specificity
[00:37:21.600 --> 00:37:29.520]   and um but if you're interested in agi you've got to push the the again both sides of that it's it's not
[00:37:29.520 --> 00:37:35.440]   an either or in my mind i'm i'm an and right like let's scale let's let's look at specialized techniques
[00:37:35.440 --> 00:37:40.640]   combining a and hybrid systems sometimes they're called and let's look at um new uh blue sky
[00:37:40.640 --> 00:37:46.080]   research that could deliver the next transformers um you know we're betting on all of those things
[00:37:46.080 --> 00:37:51.120]   you mentioned alpha evolve something that kevin and i were both really fascinated by
[00:37:51.120 --> 00:37:57.840]   tell us what of all this well a high level it's basically taking our um latest gemini models actually
[00:37:57.840 --> 00:38:06.160]   two different ones uh uh to generate sort of ideas hypotheses about programs and other uh mathematical
[00:38:06.160 --> 00:38:11.920]   functions and then it goes they go into sort of evolutionary programming process to decide which ones
[00:38:11.920 --> 00:38:16.320]   of those are most promising and then that gets sort of ported into the next step and tell us a little
[00:38:16.320 --> 00:38:21.520]   bit about what evolutionary programming it sounds very exciting yeah so it's it's basically a way for
[00:38:21.520 --> 00:38:29.120]   uh systems to kind of uh explore new space right so like what things should we you know in genetics like
[00:38:29.120 --> 00:38:35.760]   mutate to uh to give you a kind of new organism so you can think about the same way in programming or
[00:38:35.760 --> 00:38:41.840]   mathematics you know you change the program in some way and then uh you compare it to some answer you're
[00:38:41.840 --> 00:38:47.760]   trying to get and then the ones that fit best according to a sort of evaluation function you put back into
[00:38:47.760 --> 00:38:54.320]   the next set of generating new ideas uh we have our most efficient model sort of flash model generating
[00:38:54.320 --> 00:39:00.000]   uh possibilities and then we have the pro model uh critiquing that right and deciding which one of
[00:39:00.000 --> 00:39:05.200]   those is most promising for the to be selected for the next uh next round of evolution it's sort of like an
[00:39:05.200 --> 00:39:12.560]   autonomous ai research organization almost where you have some ais coming up with hypotheses other ais
[00:39:12.560 --> 00:39:18.960]   testing them and supervising them and the goal as i understand it is to have an ai that can kind of
[00:39:18.960 --> 00:39:24.560]   improve itself or over time or suggest improvements to existing problems yes so it's the beginning of
[00:39:24.560 --> 00:39:28.080]   i think that's why people are so excited about and we are excited about it's the beginning of a kind of
[00:39:28.080 --> 00:39:33.280]   automated process it's still not fully automated and also it's still relatively narrow we've applied
[00:39:33.280 --> 00:39:40.480]   it to many things like chip design uh scheduling uh ai tasks on our on our data centers more efficiently
[00:39:40.480 --> 00:39:46.960]   um even improving matrix multiplication one of the most fundamental units of training uh training algorithms
[00:39:46.960 --> 00:39:52.400]   uh so it's it's actually amazingly useful already but um it's still constrained to domains that are
[00:39:52.400 --> 00:39:58.000]   kind of provably correct right which uh obviously maths and coding are but we need to sort of fully generalize that
[00:39:58.000 --> 00:40:02.560]   but it's interesting because i think for a lot of people the knock they have on llms in general is
[00:40:02.560 --> 00:40:08.080]   well all you can really give me is the statistical median of your training data but what you're saying
[00:40:08.080 --> 00:40:13.600]   is we now have a way of going beyond that to potentially generate novel ideas that are actually
[00:40:13.600 --> 00:40:18.240]   useful in advancing the state of the art that's right and and but we we already had these this is
[00:40:18.240 --> 00:40:23.440]   another approach alpha evolve using evolutionary methods but but we already had evidence of that even
[00:40:23.440 --> 00:40:30.400]   way back in alpha go days so you know it's alpha go came up with new go strategies most famously move 37
[00:40:30.400 --> 00:40:36.160]   in game two of our big lisa doll world championship match and okay it was limited to a game but it was
[00:40:36.160 --> 00:40:41.840]   a genuinely new strategy that had never been seen before even though we play go for hundreds of years
[00:40:41.840 --> 00:40:47.440]   so that's when i kicked off our sort of alpha fold projects and science projects because i was waiting
[00:40:47.440 --> 00:40:53.440]   for to see evidence of that kind of spark of um creativity you could call it right or originality
[00:40:53.440 --> 00:40:58.000]   uh at least in the within the domain of what we know but there's still a lot further that has to you
[00:40:58.000 --> 00:41:03.680]   know so we we know that these kinds of models paired with things like monte carlo tree search or
[00:41:03.680 --> 00:41:10.080]   reinforcement learning planning techniques uh can get you to new regions of space to explore and evolutionary
[00:41:10.080 --> 00:41:16.160]   methods is another way of going beyond what the current model knows to explore force it into a new regime
[00:41:16.160 --> 00:41:20.720]   where it's not seen it before i've been looking for a good monte carlo tree for so long now so if you
[00:41:20.720 --> 00:41:25.120]   could help me find one it would honestly be a huge one of these things could help yeah okay great um
[00:41:25.120 --> 00:41:30.560]   so i read the alpha of all paper or to be more precise i fed it into notebook lm and had it make
[00:41:30.560 --> 00:41:34.720]   a podcast that i could then listen to that would explain it to me at a slightly more elementary level
[00:41:34.720 --> 00:41:41.840]   and one fascinating thing that stuck out to me um is a detail about how you were able to make alpha
[00:41:41.840 --> 00:41:47.440]   evolve more creative and one of the ways that you did it was by essentially forcing the model to
[00:41:47.440 --> 00:41:53.360]   hallucinate i mean so many people right now are obsessed with eliminating hallucinations but it
[00:41:53.360 --> 00:41:58.240]   seemed to me like one way to read that paper is that there's there is actually a scenario in which you
[00:41:58.240 --> 00:42:04.080]   want models to hallucinate or be creative whatever you want to call it yes well i think that's right i
[00:42:04.080 --> 00:42:08.960]   think you you know hallucination in when you want factual things obviously is if you don't want um
[00:42:08.960 --> 00:42:13.280]   but in creative situations where you know you can think of it as a little bit like lateral thinking
[00:42:13.280 --> 00:42:19.600]   in an mba course or something right uh is just just create some crazy ideas most of them don't make
[00:42:19.600 --> 00:42:25.920]   sense um but the odd one or two may get you to a region of the search space that is actually quite
[00:42:25.920 --> 00:42:31.600]   valuable it turns out once you evaluate it afterwards uh and so um you can substitute the
[00:42:31.600 --> 00:42:36.480]   word hallucination maybe for imagination at that point right uh there's they're obviously two sides of
[00:42:36.480 --> 00:42:42.880]   the of the same coin yeah i did talk to one uh ai safety person who was a little bit worried about
[00:42:42.880 --> 00:42:47.680]   alpha evolve not not because of the actual technology and the experiments which this person said you know
[00:42:47.680 --> 00:42:54.400]   they're fascinating but because of the way it was rolled out so uh deep google deep mind created alpha
[00:42:54.400 --> 00:43:00.320]   evolve and then used it to optimize some systems inside google and kept it sort of hidden for a
[00:43:00.320 --> 00:43:06.080]   number of months and only then sort of released it to the public and this person was saying well
[00:43:06.080 --> 00:43:10.480]   if we really are getting to the point where these ai systems are starting to become recursively
[00:43:10.480 --> 00:43:17.120]   self-improving and they can sort of build a better ai doesn't that imply that when google if google deep
[00:43:17.120 --> 00:43:23.920]   mind does build agi or even super intelligence that it's going to keep it to itself for a while
[00:43:23.920 --> 00:43:28.960]   rather than doing the responsible thing and informing the public well i think it's a bit of both actually
[00:43:28.960 --> 00:43:34.160]   you need to for first of all alpha evolve is a very nascent self-improvement thing right and still got
[00:43:34.160 --> 00:43:39.760]   human in the loop and it's um and it's only shaving off you know albeit important percentage of points off
[00:43:39.760 --> 00:43:45.360]   of already existing tasks you know that's valuable but it's not some it's not creating any kind of step
[00:43:45.360 --> 00:43:51.040]   changes uh and there's a there's a trade-off between you know carefully evaluating things internally
[00:43:51.040 --> 00:43:56.320]   before you release it to the public out into the world um and then also getting the extra critique
[00:43:56.320 --> 00:44:01.280]   back which is also very useful from the academic community and so on and also we we have a lot of
[00:44:01.280 --> 00:44:06.240]   trusted tester type of programs that we talk about where people get early access to these things
[00:44:06.240 --> 00:44:12.560]   um and um and then give us feedback and and stress test them uh including sometimes the the safety
[00:44:12.560 --> 00:44:16.240]   institutes as well but my understanding was you weren't just like red teaming this internally within
[00:44:16.240 --> 00:44:20.480]   google you were actually like using it to make the data centers more efficient using it to make the
[00:44:20.480 --> 00:44:25.520]   kernels that train the ai models more efficient so i guess what this person is saying is like
[00:44:25.520 --> 00:44:32.080]   it's just we we want to start getting good habits around these things now before they become something
[00:44:32.080 --> 00:44:36.400]   like agi and uh they were just a little worried that maybe this is going to be something that stays
[00:44:36.400 --> 00:44:41.680]   hidden for longer than it needs to so i don't like you you i would love to hear your response to that yeah well
[00:44:41.680 --> 00:44:48.720]   look i i mean i think that that system is not uh uh anything really that i would say you know has any
[00:44:48.720 --> 00:44:54.320]   risk on the agi type of front i think as we get and i think today's system still are not although
[00:44:54.320 --> 00:45:00.240]   very impressive are not that powerful um from a you know any kind of agi risk standpoint that maybe this
[00:45:00.240 --> 00:45:05.760]   person was talking about um and i think you need to have both you need to have incredibly rigorous
[00:45:05.760 --> 00:45:12.160]   internal tests of these things and then we need to also get collaborative inputs from external so i
[00:45:12.160 --> 00:45:17.680]   think it's a bit of both i actually don't know the details of uh of of the alpha evolve uh uh process
[00:45:17.680 --> 00:45:21.920]   for the last few you know the first few months it was just function search before and then it become
[00:45:21.920 --> 00:45:27.520]   more general so it's it's sort of evolved it's evolved itself over the last year in terms of becoming
[00:45:27.520 --> 00:45:32.560]   this general purpose tool um and it still has a lot of um way to go before we can actually use it
[00:45:32.560 --> 00:45:36.720]   in our main branch which is that at that point i think then becomes more serious like with gemini
[00:45:36.720 --> 00:45:41.920]   it's sort of separate from from that currently let's talk about ai safety a little bit more broadly
[00:45:41.920 --> 00:45:46.640]   uh it's been my observation that it seemed like if the further back in time you go and the less
[00:45:46.640 --> 00:45:51.760]   powerful ai systems you have the more everyone seemed to talk about the safety risk and it seems like
[00:45:51.760 --> 00:45:56.320]   now as the models improve we we hear about it less and less including you know at the keynote yesterday
[00:45:56.320 --> 00:46:03.440]   so i'm curious what you make of this moment in ai safety uh if you feel like you're paying enough
[00:46:03.440 --> 00:46:08.960]   attention to the risk that could be created by the systems that you have and if you are as committed to
[00:46:08.960 --> 00:46:14.160]   it as you were say three or four years ago a lot of these outcomes seem less likely yeah well we're
[00:46:14.160 --> 00:46:18.800]   we're just as committed as we've ever been i mean we we've we've from the beginning of deep mind we
[00:46:18.800 --> 00:46:23.760]   plan for success so success meant something looking like this is what we kind of imagined i mean it's
[00:46:23.760 --> 00:46:28.320]   sort of unbelievable still that it's actually happened but it's it is sort of in the in the
[00:46:28.320 --> 00:46:33.280]   overton window of what we thought was going to happen if if these technologies really did develop the
[00:46:33.280 --> 00:46:39.840]   way we thought they were going to um and the risk and attending to mitigating those risks was was part of
[00:46:39.840 --> 00:46:45.280]   that and so we do a huge amount of work on our systems i think we have very robust red teaming
[00:46:45.280 --> 00:46:52.400]   uh uh uh processes both pre and post launches um and we've learned a lot uh and i think that's what's
[00:46:52.400 --> 00:46:58.000]   the difference now between having these systems have albeit early systems contact with the real
[00:46:58.000 --> 00:47:03.040]   world i think that's actually been i'm sort of persuaded now that that has been a useful thing
[00:47:03.040 --> 00:47:08.240]   overall and i wasn't sure um i you know i think five years ago ten years ago i may have thought maybe
[00:47:08.240 --> 00:47:13.200]   maybe it's better staying in a research lab and and you know kind of collaborating with academia
[00:47:13.200 --> 00:47:18.560]   and that but actually there's a lot of things you don't get to see or understand unless millions of
[00:47:18.560 --> 00:47:24.400]   people try it so it's this weird trade-off again between um you you can only do it when there's
[00:47:24.400 --> 00:47:30.640]   there's millions of smart people uh uh try your uh technology and then you find all these edge cases
[00:47:30.640 --> 00:47:34.800]   so you know however big your your testing team is it's only going to be you know 100 people or
[00:47:34.800 --> 00:47:39.600]   a thousand people or something so it's not comparable to tens of millions of people using your your systems
[00:47:39.600 --> 00:47:44.880]   but on the other hand you want to know as much as possible uh ahead of time so you can mitigate the
[00:47:44.880 --> 00:47:49.600]   risks before they happen so and this is so this is interesting and it's good learning i think what's
[00:47:49.600 --> 00:47:53.760]   happened in the industry in the last two three years has been great because we've been learning when the
[00:47:53.760 --> 00:47:58.640]   systems are not that powerful or risky as you were saying earlier right i think things are going to get
[00:47:58.640 --> 00:48:04.400]   very serious in two three years time when these agent systems start becoming really capable we're
[00:48:04.400 --> 00:48:09.520]   only seeing the beginnings of the agent era let's call it but you can imagine and i think hopefully you
[00:48:09.520 --> 00:48:14.560]   understood from the keynote what the ingredients are what it's going to come together with and then i think
[00:48:14.560 --> 00:48:20.880]   we really need a step change in research on analysis and understanding controllability but the other key
[00:48:20.880 --> 00:48:25.360]   thing is it's got to be international you know that's pretty difficult and i've been very consistent on that
[00:48:25.360 --> 00:48:29.040]   because it's an inter it's gonna it's a technology gonna fit everyone in the world it's being built
[00:48:29.040 --> 00:48:32.960]   by different countries and different companies in different countries so you've got to get some
[00:48:32.960 --> 00:48:40.080]   international kind of norm i think around uh what we want to use these systems for and and what
[00:48:40.080 --> 00:48:46.320]   are the kinds of benchmarks that we want to test safety and reliability on um but there's plenty of
[00:48:46.320 --> 00:48:50.720]   work to get on with now like we don't have those benchmarks we should we and the industry and
[00:48:50.720 --> 00:48:55.840]   academia should be agreeing to consensus of what those are what role do you want to see export
[00:48:55.840 --> 00:49:01.440]   controls play in doing what you just said well export controls is a very complicated issue and
[00:49:01.440 --> 00:49:06.880]   and obviously geopolitics today is extremely complicated um and there you know i can i see
[00:49:06.880 --> 00:49:10.880]   both sides of the arguments on that you know there's proliferation uncontrolled proliferation of these
[00:49:10.880 --> 00:49:17.520]   technologies uh do you want different places to have frontier modeling uh training capability uh i'm not
[00:49:17.520 --> 00:49:24.000]   sure that's a good idea but on the other hand um you want western technology to be to be uh the thing
[00:49:24.000 --> 00:49:29.440]   that's adopted uh around the world so it's a complicated trade-off like if there was an easy
[00:49:29.440 --> 00:49:34.240]   answer i think we'd all you know i would be you know shouting from the rooftops but i think there's it's
[00:49:34.240 --> 00:49:39.440]   it's nuanced like most real world problems are do you think we're heading into a bipolar conflict with
[00:49:39.440 --> 00:49:44.800]   china over ai if we aren't in one already i mean just recently we saw the trump administration making
[00:49:44.800 --> 00:49:50.800]   a big push to uh make the middle east uh countries in the gulf like saudi arabia and the uae into ai
[00:49:50.800 --> 00:49:57.200]   powerhouses have them you know use american chips to to train models that will not be sort of accessible to
[00:49:57.200 --> 00:50:04.000]   to china and its ai powers do you see that becoming sort of the foundations of a new global conflict well i hope
[00:50:04.000 --> 00:50:11.440]   not but i i think uh short term you know i feel like ai is getting caught up in the in the bigger
[00:50:11.440 --> 00:50:16.400]   geopolitical shifts that are going on so i think it's just part of that and it happens to be one of
[00:50:16.400 --> 00:50:22.640]   the most uh topical new things that's appearing but on the other hand what i'm hoping is as people
[00:50:22.640 --> 00:50:26.560]   as these technologies get more and more powerful the world will realize we're all in this together
[00:50:27.600 --> 00:50:35.280]   because we are and so uh you know and the the the the last few steps towards agi um hopefully we're on
[00:50:35.280 --> 00:50:41.200]   the longer timelines actually right um the more the timelines i'm thinking about then we get time to
[00:50:41.200 --> 00:50:47.600]   sort of get the the the the collaboration we need at least on a scientific level um before before then
[00:50:47.600 --> 00:50:52.720]   would be good do you feel like you're in sort of the the final home stretch to agi i mean sergey brin
[00:50:52.720 --> 00:50:58.080]   google's co-founder had a memo that was reported on by my my colleague at the new york times earlier
[00:50:58.080 --> 00:51:02.080]   this year that went out to google employees and said you know we're in the sort of the home stretch
[00:51:02.080 --> 00:51:06.800]   and everyone needs to get back to the office and be working all the time uh because this this is when
[00:51:06.800 --> 00:51:12.400]   it really matters do you have that sense of like of of finality or sort of entering a new phase or an
[00:51:12.400 --> 00:51:18.080]   end game i think we are past the middle game that's for sure but i've been working every hour there
[00:51:18.080 --> 00:51:23.520]   is for the last 20 years because i've felt the how important and momentous this this technology would
[00:51:23.520 --> 00:51:29.200]   be and we thought it was possible for 20 years and i think it's coming into view now i agree with that
[00:51:29.200 --> 00:51:36.160]   and um whether it's five years or 10 years or two years that they're all actually quite short timelines
[00:51:36.160 --> 00:51:41.040]   when you're talking discussing what were the enormity of the transformation of this technology
