
[00:00:00.000 --> 00:00:01.080]   Hey, everybody. Hey, everybody.
[00:17:28.920 --> 00:17:32.440]   You have you have to have many, many acres rolled out.
[00:17:32.440 --> 00:17:35.840]   And with nuclear, you can have a building that can,
[00:17:35.840 --> 00:17:38.040]   you know, power the equivalent of many acres.
[00:17:38.040 --> 00:17:39.800]   So the answer is both. The answer is both.
[00:17:39.800 --> 00:17:44.280]   But it is like Ilana's tweeted many times about the tiny fraction
[00:17:44.280 --> 00:17:49.120]   of, you know, deserted desert areas of America
[00:17:49.120 --> 00:17:50.760]   that need to be covered with panels.
[00:17:50.760 --> 00:17:52.680]   And then you put in batteries.
[00:17:52.680 --> 00:17:54.280]   There's still a space limiting.
[00:17:54.280 --> 00:17:57.240]   Like, let's just fast forward 100 years on planet Earth.
[00:17:57.240 --> 00:18:00.680]   And if you look at the past 100 years and 100 years before that,
[00:18:00.680 --> 00:18:05.800]   like energy demand, even on a on a per capita basis,
[00:18:05.800 --> 00:18:08.680]   has this nonlinear kind of scaling problem.
[00:18:09.040 --> 00:18:12.160]   And that means that land consumption will scale nonlinearly.
[00:18:12.160 --> 00:18:12.960]   Now, we have it.
[00:18:12.960 --> 00:18:15.080]   If we're going to say 100 years, though, I mean, sorry to interrupt.
[00:18:15.080 --> 00:18:16.920]   If you're going to say 100 years, technology changes.
[00:18:16.920 --> 00:18:17.440]   It's very clear.
[00:18:17.440 --> 00:18:19.480]   You could probably do it from space if you really wanted to.
[00:18:19.480 --> 00:18:21.560]   I mean, this sounds crazy, but you probably could
[00:18:21.560 --> 00:18:23.920]   have like 10 of these in space. I mean, 100 years is far.
[00:18:23.920 --> 00:18:27.200]   I mean, we have we have enough uranium in just the crust of the,
[00:18:27.200 --> 00:18:30.840]   you know, like northern hemisphere to, in other words,
[00:18:30.840 --> 00:18:35.880]   to power everything we are on the verge of unlimited energy for all time.
[00:18:36.400 --> 00:18:38.000]   Just to wrap this up and move us on.
[00:18:38.000 --> 00:18:40.240]   If we can get out of our own way, get out of our own way
[00:18:40.240 --> 00:18:44.800]   with a bunch of midwits who have put so much regulation in place
[00:18:44.800 --> 00:18:47.880]   and who are working from home for four hours a week.
[00:18:47.880 --> 00:18:49.840]   If we can just get them out of the way,
[00:18:49.840 --> 00:18:53.320]   then maybe we could approve some nuclear reactors and a little more.
[00:18:53.320 --> 00:18:56.600]   Did you just call did you just call government workers midwits?
[00:18:56.600 --> 00:18:59.480]   Just the ones who are blocking.
[00:18:59.480 --> 00:19:02.200]   If you're not blocking and you're working 50 hours a week.
[00:19:02.200 --> 00:19:04.680]   God bless a lot of people working hard in the government.
[00:19:04.920 --> 00:19:06.080]   That's exactly my point.
[00:19:06.080 --> 00:19:07.360]   But there's some number of them
[00:19:07.360 --> 00:19:10.280]   who are just obviously do not see the forest through the trees.
[00:19:10.280 --> 00:19:12.240]   By the way, on that point, it is interesting.
[00:19:12.240 --> 00:19:15.640]   Texas is the number one solar producer in the country.
[00:19:15.640 --> 00:19:19.760]   And it's not because everybody there is more environmentally conscious.
[00:19:19.760 --> 00:19:22.000]   No, we're not that liberal here.
[00:19:22.000 --> 00:19:25.360]   It's just it's easy to build stuff in Texas.
[00:19:25.360 --> 00:19:27.720]   Yeah. Solar power plants.
[00:19:27.720 --> 00:19:31.320]   This is I mean, for the lives in cities who are so pro
[00:19:31.320 --> 00:19:34.040]   solar and anti natural gas or whatever.
[00:19:34.400 --> 00:19:35.200]   Yeah, look at Texas.
[00:19:35.200 --> 00:19:36.880]   They're just build as much as you want.
[00:19:36.880 --> 00:19:39.200]   And we're Joe and I live in Austin.
[00:19:39.200 --> 00:19:42.040]   Home prices have gone down two years in a row.
[00:19:42.040 --> 00:19:44.400]   Rent has gone down two years in a row.
[00:19:44.400 --> 00:19:48.520]   They are building like lunatics because you don't need
[00:19:48.520 --> 00:19:52.360]   to beg and and bribe people to build stuff.
[00:19:52.360 --> 00:19:55.960]   Joe, maybe some thoughts on what we've seen in regulation.
[00:19:55.960 --> 00:19:57.760]   Austin City Council is not perfect.
[00:19:57.760 --> 00:19:59.680]   Austin is called the blueberry in the tomato soup.
[00:19:59.680 --> 00:20:01.600]   So there may be a tiny bit of begging going on.
[00:20:01.600 --> 00:20:03.080]   But despite that, you're able to build there
[00:20:03.080 --> 00:20:04.920]   and everywhere else around your building like that.
[00:20:04.920 --> 00:20:07.200]   So it works. There's there's there's plenty of supply.
[00:20:07.200 --> 00:20:10.440]   I agree. Speaking of regulation, Gary Gensler is out.
[00:20:10.440 --> 00:20:14.240]   Paul Atkins is in and Bitcoin just cracked 100.
[00:20:14.240 --> 00:20:15.840]   This is all obviously related.
[00:20:15.840 --> 00:20:16.960]   Atkins was previously S.E.
[00:20:16.960 --> 00:20:19.960]   Commissioner under Bush, too, in the early 2000s.
[00:20:19.960 --> 00:20:23.400]   In the 90s, he worked for both Bush one and Clinton at the SEC.
[00:20:23.400 --> 00:20:26.560]   According to The New York Times, Atkins is admired
[00:20:26.560 --> 00:20:29.600]   among D.C. legal circles and regulators.
[00:20:29.840 --> 00:20:34.240]   He's pro crypto and he's been helping draft some best practices
[00:20:34.240 --> 00:20:36.640]   for the crypto trading platforms.
[00:20:36.640 --> 00:20:40.240]   As you know, Gary Gensler's approach to crypto was
[00:20:40.240 --> 00:20:42.880]   there's a rule set, follow the rule set.
[00:20:42.880 --> 00:20:44.400]   We're not here to change the rules.
[00:20:44.400 --> 00:20:46.720]   We're here to enforce them. Good luck.
[00:20:46.720 --> 00:20:50.680]   And in some cases, I think maybe he was right
[00:20:50.680 --> 00:20:54.920]   with I.C. Hoes and a bunch of scams, but he also gave good actors
[00:20:54.920 --> 00:20:56.840]   no path to go forward.
[00:20:56.840 --> 00:20:58.680]   Anybody have strong feelings on this?
[00:20:58.680 --> 00:20:59.800]   I love Paul J. Kelly.
[00:20:59.800 --> 00:21:01.920]   I think he's I think he's going to, you know, be our guy.
[00:21:01.920 --> 00:21:04.040]   Yeah, I've met him several times at conferences and groups,
[00:21:04.040 --> 00:21:07.800]   and he's a really smart guy, cares about the rules, cares about helping innovators.
[00:21:07.800 --> 00:21:10.080]   The thing that really pissed everyone off with Gary.
[00:21:10.080 --> 00:21:12.280]   I mean, I love you probably seen like I think I think
[00:21:12.280 --> 00:21:17.000]   I think both Coinbase with Brian and the Winklevoss twins have put something out.
[00:21:17.000 --> 00:21:20.680]   They won't even hire anyone who worked with Gary on this stuff they were doing.
[00:21:20.680 --> 00:21:23.480]   And the reason they're that angry at them is they were purposely
[00:21:23.480 --> 00:21:27.240]   not defining the rules in certain cases and then going after people
[00:21:27.720 --> 00:21:30.920]   after not having to find it in order to kind of like play gotcha game.
[00:21:30.920 --> 00:21:31.920]   It was very dishonorable.
[00:21:31.920 --> 00:21:33.320]   And Paul sees all that.
[00:21:33.320 --> 00:21:34.520]   There's no way he's going to allow that.
[00:21:34.520 --> 00:21:39.360]   Gavin, any thoughts here on how this might change regulations in our business?
[00:21:39.360 --> 00:21:42.960]   Also, the fund business, Joe, is a venture capitalist, a VC.
[00:21:42.960 --> 00:21:45.680]   You're in public markets and funds.
[00:21:45.680 --> 00:21:47.120]   I have I do precede.
[00:21:47.120 --> 00:21:50.240]   So what do you think in terms of funds and regulations there?
[00:21:50.240 --> 00:21:55.160]   And then crypto and, you know, the SEC may be becoming innovative
[00:21:55.160 --> 00:22:01.560]   as opposed to punitive and, you know, what's the word for Friedberg?
[00:22:01.560 --> 00:22:03.600]   What's the word I'm looking for here?
[00:22:03.600 --> 00:22:05.120]   Adversarial?
[00:22:05.120 --> 00:22:06.520]   Well, they are a regulator.
[00:22:06.520 --> 00:22:08.680]   They are a regulator, but they don't also seem
[00:22:08.680 --> 00:22:10.920]   like they seem to have gone beyond just regulating.
[00:22:10.920 --> 00:22:14.320]   They seem to have been the aggressively adversarial.
[00:22:14.320 --> 00:22:16.720]   Yeah, I mean, they're a regulatory enforcement agency.
[00:22:16.720 --> 00:22:17.400]   That's their job.
[00:22:17.400 --> 00:22:21.320]   So I don't know, like, you know, I mean, but not giving a path
[00:22:21.320 --> 00:22:23.160]   or not even meeting with people.
[00:22:23.160 --> 00:22:25.160]   I think that was the thing that I felt was kind of weird.
[00:22:25.160 --> 00:22:27.280]   Well, they may leave you if you're a big donor to the left.
[00:22:27.280 --> 00:22:28.240]   They wouldn't meet with you otherwise.
[00:22:28.240 --> 00:22:29.080]   That was part of it, too.
[00:22:29.080 --> 00:22:29.720]   That was sketchy.
[00:22:29.720 --> 00:22:31.360]   That was why SBF got tons of meetings.
[00:22:31.360 --> 00:22:32.440]   But Brian got none. Right.
[00:22:32.440 --> 00:22:34.000]   I mean, it's nonsense like that.
[00:22:34.000 --> 00:22:35.080]   Oh, good.
[00:22:35.080 --> 00:22:36.480]   I do think I don't know.
[00:22:36.480 --> 00:22:36.960]   Yeah, go ahead.
[00:22:36.960 --> 00:22:40.840]   At some level, fundamentally reduce the power of nation states.
[00:22:40.840 --> 00:22:44.120]   And that is something that is.
[00:22:44.120 --> 00:22:47.920]   Oft professed by the true believers, but it is true.
[00:22:48.440 --> 00:22:54.880]   And so if you are on the left and, you know, you are a devout believer
[00:22:54.880 --> 00:22:57.480]   in the power of the state to do good things,
[00:22:57.480 --> 00:22:59.640]   I get why you would not like crypto currencies.
[00:22:59.640 --> 00:23:02.760]   You know, at the same time, we're very early in crypto.
[00:23:02.760 --> 00:23:08.080]   I do think I read with interest all of the posts that David Marcus
[00:23:08.080 --> 00:23:12.880]   and his peers at Libra made made about what happened to them.
[00:23:12.880 --> 00:23:16.880]   Libra was a Facebook project to embrace cryptocurrency
[00:23:17.360 --> 00:23:21.920]   at a very intrinsic level onto the sort of identity level
[00:23:21.920 --> 00:23:24.160]   of every one of their billions of users.
[00:23:24.160 --> 00:23:27.040]   And I think you can argue it would have been really, really good
[00:23:27.040 --> 00:23:29.120]   for not just America, but the entire world.
[00:23:29.120 --> 00:23:33.280]   You know, there are a lot of immigrants in America and in America
[00:23:33.280 --> 00:23:38.000]   who send remissions back to their home countries at extremely high
[00:23:38.000 --> 00:23:41.120]   predatory rates, predatory rates.
[00:23:41.120 --> 00:23:43.440]   It would have made that free.
[00:23:43.440 --> 00:23:46.440]   And that would have been amazing for a lot of really hardworking
[00:23:47.400 --> 00:23:49.120]   people all over the world.
[00:23:49.120 --> 00:23:52.440]   It would have, you know, Visa, MasterCard, they do charge big fees.
[00:23:52.440 --> 00:23:55.560]   I mean, Visa, MasterCard do not charge big fees,
[00:23:55.560 --> 00:24:00.560]   but the credit card complex and aggregate is a is a reasonably big fee.
[00:24:00.560 --> 00:24:03.000]   I mean, everybody, oh, it's just, you know, two, two and a half percent
[00:24:03.000 --> 00:24:05.640]   to make it perfect and safe.
[00:24:05.640 --> 00:24:08.760]   I think Facebook had a sound argument that they could have done that cheaper.
[00:24:08.760 --> 00:24:11.520]   That would have been an efficiency game for America.
[00:24:11.520 --> 00:24:16.360]   And it really did bum me out, you know, to read some of the letters
[00:24:17.160 --> 00:24:20.360]   that they sent the way they killed Libra.
[00:24:20.360 --> 00:24:23.640]   If anyone doesn't know, maybe you could pull up David Marcus's post.
[00:24:23.640 --> 00:24:28.280]   They just all these politicians sent letters to participants
[00:24:28.280 --> 00:24:32.800]   in financial markets saying, we don't know if they are doing anything wrong,
[00:24:32.800 --> 00:24:35.600]   but we think they probably are.
[00:24:35.600 --> 00:24:37.800]   And we're going to look at this very closely.
[00:24:37.800 --> 00:24:40.280]   And we want to discourage you from participating.
[00:24:40.280 --> 00:24:42.920]   Well, it was worse. It was worse than that.
[00:24:42.920 --> 00:24:44.040]   It was like a mafia letter.
[00:24:44.040 --> 00:24:46.640]   It was like, if you are to support this and help with this,
[00:24:46.640 --> 00:24:48.920]   we are going to look into everything else you are doing
[00:24:48.920 --> 00:24:50.440]   and we may then find some issues.
[00:24:50.440 --> 00:24:51.880]   It was it was like a mafia threat.
[00:24:51.880 --> 00:24:54.120]   We can't stop you legally, but watch out.
[00:24:54.120 --> 00:24:55.560]   Like it was really sketchy.
[00:24:55.560 --> 00:24:57.720]   It was Sherrod Brown, who who now is out of office,
[00:24:57.720 --> 00:24:59.640]   who led this, the senator from Ohio.
[00:24:59.640 --> 00:25:00.680]   But it was it was really bad.
[00:25:00.680 --> 00:25:02.320]   It was really bad what they were doing.
[00:25:02.320 --> 00:25:04.520]   It was really bad. I found it upsetting as an American.
[00:25:04.520 --> 00:25:08.480]   And it's you kind of hinted at this, Gavin.
[00:25:08.480 --> 00:25:13.840]   The fear of governments is that they will lose control of money supply.
[00:25:13.960 --> 00:25:16.640]   And monetary policy, maybe unpack that a bit.
[00:25:16.640 --> 00:25:19.640]   And then, Friberg, we'll go to you on the same sort of thread.
[00:25:19.640 --> 00:25:22.760]   Yeah, I mean, look, it's a it is a rational fear.
[00:25:22.760 --> 00:25:26.320]   I mean, controlling monetary supply, like at some level,
[00:25:26.320 --> 00:25:29.040]   the you know, the greatest, you know, powers
[00:25:29.040 --> 00:25:32.240]   we give the state are a monopoly on violence to keep us safe.
[00:25:32.240 --> 00:25:36.760]   And, you know, control over the money supply has,
[00:25:36.760 --> 00:25:38.960]   you know, a means of exchange, a unit of account.
[00:25:38.960 --> 00:25:41.680]   And those are great powers,
[00:25:41.680 --> 00:25:43.840]   particularly if you're American, you reserve currency.
[00:25:43.840 --> 00:25:46.760]   The only thing I would just say to balance this out.
[00:25:46.760 --> 00:25:49.880]   And I do think people are very positive on Paul Atkins.
[00:25:49.880 --> 00:25:50.720]   I've never met him.
[00:25:50.720 --> 00:25:54.960]   But the reaction from people who know him like Joe.
[00:25:54.960 --> 00:25:58.280]   And who I respect has been very positive.
[00:25:58.280 --> 00:26:02.480]   It is important to remember we have the best capital markets in the world.
[00:26:02.480 --> 00:26:04.240]   You know, the U.S.
[00:26:04.240 --> 00:26:09.000]   equity and fixed income markets are the most trusted places on Earth.
[00:26:09.000 --> 00:26:10.800]   And we can always make them better.
[00:26:10.800 --> 00:26:15.320]   But just it is very, you know, you you want to be very vigilant
[00:26:15.320 --> 00:26:19.800]   about keeping them fair and keeping out things like inside information,
[00:26:19.800 --> 00:26:22.480]   which makes people feel comfortable doing business here.
[00:26:22.480 --> 00:26:25.960]   You know, making, you know, having investors have confidence
[00:26:25.960 --> 00:26:27.800]   in a company's financial statements.
[00:26:27.800 --> 00:26:31.440]   And those financial markets are one reason America is such a great country.
[00:26:31.440 --> 00:26:35.480]   And Gavin, to put this in context, this was during a time period,
[00:26:36.040 --> 00:26:41.680]   this David Marcus Libra process, when they felt certain people in government.
[00:26:41.680 --> 00:26:45.240]   And I'm not saying I endorse this, but this is their position.
[00:26:45.240 --> 00:26:47.720]   Zuckerberg had too much power.
[00:26:47.720 --> 00:26:49.360]   Zuckerberg was censoring people.
[00:26:49.360 --> 00:26:51.760]   The right felt they were being censored.
[00:26:51.760 --> 00:26:57.040]   The left felt that Cambridge Analytica and people were using targeting
[00:26:57.040 --> 00:26:59.680]   diversely. The general vibe.
[00:26:59.680 --> 00:27:04.160]   And even J.D. Vance's kind of was in on this as well,
[00:27:04.360 --> 00:27:08.560]   was too much power, specifically at Metta, too much influence.
[00:27:08.560 --> 00:27:13.120]   Now they've got this many people, this penetration and the algorithm.
[00:27:13.120 --> 00:27:15.200]   Plus, we're going to give them money
[00:27:15.200 --> 00:27:17.320]   and they're going to have power over people's wallet.
[00:27:17.320 --> 00:27:18.760]   And then what does the government have?
[00:27:18.760 --> 00:27:20.720]   They can't censor people.
[00:27:20.720 --> 00:27:23.840]   They can't control the message and they can't control the purse strings.
[00:27:23.840 --> 00:27:26.080]   That is the time period we're talking about here.
[00:27:26.080 --> 00:27:29.440]   Oh, no, I understand 100% why they did it.
[00:27:29.440 --> 00:27:33.560]   Yeah, I just think as an American, at a minimum, the way that they did it.
[00:27:33.680 --> 00:27:37.640]   Yeah. Was to, you know, use one of Joe's phrases, dishonorable.
[00:27:37.640 --> 00:27:40.960]   You know, if you if you want to say that we're going to kill this,
[00:27:40.960 --> 00:27:44.080]   then just like let's have a debate as a nation.
[00:27:44.080 --> 00:27:46.840]   Absolutely. Don't do it.
[00:27:46.840 --> 00:27:48.280]   Yes. Rule of law.
[00:27:48.280 --> 00:27:51.720]   Rule of law is also another reason America is a great country.
[00:27:51.720 --> 00:27:55.800]   Yes. Freeberg, your thoughts on Dave Marcus's comments.
[00:27:55.800 --> 00:28:00.960]   And this SEC pick and just generally a more
[00:28:01.320 --> 00:28:04.040]   I don't know, less regulation kind of situation.
[00:28:04.040 --> 00:28:09.640]   I think the SEC is like one of the most important agencies we have,
[00:28:09.640 --> 00:28:12.840]   and I think they're one of the best federal agencies.
[00:28:12.840 --> 00:28:16.000]   So I've worked with them and I've worked with any other agencies
[00:28:16.000 --> 00:28:20.080]   and there's all these issues at the SEC, but they play a very important job.
[00:28:20.080 --> 00:28:23.120]   And if you've worked in and foreign markets
[00:28:23.120 --> 00:28:25.840]   and you've dealt with foreign securities regulators,
[00:28:25.840 --> 00:28:27.800]   you're going to be like, thank God for the SEC.
[00:28:27.800 --> 00:28:29.600]   You can't wait to go back.
[00:28:29.600 --> 00:28:33.040]   This whole crypto thing, I there's there's a distinction,
[00:28:33.040 --> 00:28:37.600]   I think, between Bitcoin and crypto currencies as speculative
[00:28:37.600 --> 00:28:40.720]   kind of asset speculative trade. What do you see those differences as?
[00:28:40.720 --> 00:28:43.520]   Well, I definitely concur with Gavin.
[00:28:43.520 --> 00:28:46.480]   I think Bitcoin fundamentally is meant to be supposed to be
[00:28:46.480 --> 00:28:50.320]   ultimately will become a real threat to the US dollar.
[00:28:50.320 --> 00:28:54.080]   And it's kind of ironic that Trump had this declaration this week.
[00:28:54.080 --> 00:28:57.600]   Yeah, that he's going to put 100 percent tariff on all these BRICS
[00:28:57.600 --> 00:29:00.800]   nations that try to participate in an alternative currency
[00:29:00.800 --> 00:29:03.200]   to the US dollar, the greatest currency on Earth,
[00:29:03.200 --> 00:29:06.080]   when he literally turns around and then says we're going to support Bitcoin.
[00:29:06.080 --> 00:29:08.520]   It felt like the biggest irony of the week to me,
[00:29:08.520 --> 00:29:12.240]   because I do think Bitcoin is the big threat to the US dollar.
[00:29:12.240 --> 00:29:16.040]   And I do think that at some point, whether it's this administration
[00:29:16.040 --> 00:29:18.200]   or the next, they're going to wake up to that fact.
[00:29:18.200 --> 00:29:22.280]   And maybe the Bitcoin does, you know, the network state concept does emerge.
[00:29:22.280 --> 00:29:23.800]   And that's where we end up.
[00:29:23.800 --> 00:29:25.040]   But I do think we want to have
[00:29:25.040 --> 00:29:27.320]   and are going to have a strong federal government in the United States
[00:29:27.320 --> 00:29:28.640]   for quite some time.
[00:29:28.640 --> 00:29:30.880]   That's going to play an important role in everyone's lives here.
[00:29:30.880 --> 00:29:33.640]   And I don't know if you can really just say, let the dollar,
[00:29:33.640 --> 00:29:35.920]   you know, be supplanted by Bitcoin.
[00:29:35.920 --> 00:29:38.360]   Bitcoin seems to be a more of a safe haven asset.
[00:29:38.360 --> 00:29:40.640]   And that seems to be the trade that it's stored.
[00:29:40.640 --> 00:29:43.000]   It should be kind of sort of value and alternative.
[00:29:43.000 --> 00:29:44.680]   It's just going to take over gold.
[00:29:44.680 --> 00:29:50.080]   Well, you think the state has reasonable concerns
[00:29:50.080 --> 00:29:52.080]   about crypto competing with it?
[00:29:52.080 --> 00:29:55.120]   And then maybe specifically, when you saw Trump talking about,
[00:29:55.120 --> 00:29:59.040]   hey, congratulations on your Bitcoin, I did this for you on 100K
[00:29:59.040 --> 00:30:02.040]   and taking credit for it at the state, which he should take credit for it.
[00:30:02.040 --> 00:30:04.560]   He did it. He did that last $40,000 per coin.
[00:30:04.560 --> 00:30:08.080]   And then you see him talking about the BRICS.
[00:30:08.080 --> 00:30:09.640]   And then we have the US currency.
[00:30:09.640 --> 00:30:13.040]   So which is a bigger threat to American
[00:30:13.040 --> 00:30:17.160]   exceptionalism and supremacy on planet Earth?
[00:30:17.160 --> 00:30:19.160]   Bitcoin or BRICS?
[00:30:19.160 --> 00:30:22.080]   So one represents a move towards liberty and one represents
[00:30:22.080 --> 00:30:25.000]   a move towards authoritarianism, if BRICS were to become dominant,
[00:30:25.000 --> 00:30:28.840]   if China and Russia were able to control global currency together
[00:30:28.840 --> 00:30:31.080]   and other players, that is terrible.
[00:30:31.080 --> 00:30:33.280]   It's bad for the US for so many reasons.
[00:30:33.280 --> 00:30:34.600]   Bad for US consumers for so many reasons.
[00:30:34.600 --> 00:30:35.920]   He's right to fight it.
[00:30:35.920 --> 00:30:39.160]   At the same time, having, you know, to channel biology,
[00:30:39.160 --> 00:30:43.000]   having this like pro-liberty network state, like forces in that direction.
[00:30:43.000 --> 00:30:46.040]   Like, for example, I think rather than just, you know, Hong Kong and Singapore,
[00:30:46.040 --> 00:30:46.880]   Hong Kong has been lost.
[00:30:46.880 --> 00:30:48.880]   We should have like more Hong Kong and Singapore in the West.
[00:30:48.880 --> 00:30:49.720]   They compete with the US.
[00:30:49.720 --> 00:30:51.200]   That'd be good for all of us.
[00:30:51.200 --> 00:30:53.720]   We're on the pro-freedom side of the US and make the US wealthier.
[00:30:53.720 --> 00:30:57.040]   We show examples of new experiments that create great wealth.
[00:30:57.040 --> 00:30:59.760]   And that's kind of the side of Bitcoin is you want more experiments
[00:30:59.760 --> 00:31:02.160]   and competition from the liberty distributed side.
[00:31:02.160 --> 00:31:04.200]   You don't want competition from the authoritarian side.
[00:31:04.200 --> 00:31:05.960]   So to me, it was very consistent.
[00:31:05.960 --> 00:31:08.680]   Yeah, well, I would just say Texas is the Singapore of America,
[00:31:08.680 --> 00:31:11.280]   you know, and it is putting pressure on the rest of America.
[00:31:11.280 --> 00:31:13.560]   And I don't say that just because I grew up in Texas.
[00:31:13.560 --> 00:31:15.640]   It's just a fact.
[00:31:15.640 --> 00:31:17.720]   I do think long term Bitcoin.
[00:31:17.880 --> 00:31:22.200]   I do not think the BRICS will ever be able to replace the dollar.
[00:31:22.200 --> 00:31:25.600]   There's a rule of law,
[00:31:25.600 --> 00:31:29.920]   even if it has occasionally been corrupted in America, is very, very powerful.
[00:31:29.920 --> 00:31:32.840]   Yes. As opposed to rule by law.
[00:31:32.840 --> 00:31:34.920]   And but I do think Bitcoin.
[00:31:34.920 --> 00:31:39.600]   Will at some point be a serious threat to the US dollar.
[00:31:39.600 --> 00:31:43.160]   And that just is what it is.
[00:31:43.160 --> 00:31:45.320]   And we will see how different administrations react.
[00:31:45.720 --> 00:31:48.960]   Would that it's a check on the check on the most aggressive mistakes.
[00:31:48.960 --> 00:31:52.240]   First of all, if the debt doesn't get under control for deficit is ridiculous.
[00:31:52.240 --> 00:31:54.080]   Bitcoin is a wonderful check on that.
[00:31:54.080 --> 00:31:56.400]   You actually want healthy competition from something good
[00:31:56.400 --> 00:31:59.000]   because you want to check the excesses and the craziness you want.
[00:31:59.000 --> 00:32:02.360]   You need someone coming from the outside to say, no, don't do that.
[00:32:02.360 --> 00:32:05.360]   Let's just say at some point an AOC like person gets in charge.
[00:32:05.360 --> 00:32:06.880]   It could happen in the next 20 years.
[00:32:06.880 --> 00:32:08.600]   You need some kind of check on the dollar.
[00:32:08.600 --> 00:32:11.280]   And it's much better to come from the liberty side than from the other side.
[00:32:11.280 --> 00:32:12.560]   I agree with all that.
[00:32:12.560 --> 00:32:15.280]   I will just say on AOC, I thought it was very interesting.
[00:32:15.680 --> 00:32:18.920]   I think if you're a Democrat, I think you're probably largely heartened
[00:32:18.920 --> 00:32:24.160]   by the kind of intellectual leaders of that party, their reaction to losing.
[00:32:24.160 --> 00:32:26.440]   You know, it's focused around, hey, we do need to deregulate.
[00:32:26.440 --> 00:32:28.200]   It is too hard to build.
[00:32:28.200 --> 00:32:30.480]   Josh Shapiro has been tweeting every three days about how
[00:32:30.480 --> 00:32:33.600]   these make it easier, you know, to do business in Pennsylvania.
[00:32:33.600 --> 00:32:37.360]   It used to take 20 days to become get a hairdresser license.
[00:32:37.360 --> 00:32:38.680]   That takes an hour.
[00:32:38.680 --> 00:32:40.360]   All that is good.
[00:32:40.360 --> 00:32:44.280]   But I actually thought AOC, who is a very talented politician.
[00:32:44.480 --> 00:32:47.200]   She's an extraordinary communicator, is extraordinary communicator.
[00:32:47.200 --> 00:32:50.760]   Her reaction was like she posted this on Instagram.
[00:32:50.760 --> 00:32:53.800]   If you voted for Trump.
[00:32:53.800 --> 00:32:57.880]   I want to hear why I want to hear the things you listen to that convinced you.
[00:32:57.880 --> 00:33:01.760]   Like, I don't say this out of anything other than genuine curiosity.
[00:33:01.760 --> 00:33:04.560]   Basically, clearly, I am missing something.
[00:33:04.560 --> 00:33:07.200]   And I, you know, I want to listen.
[00:33:07.200 --> 00:33:09.320]   And I just thought that was a very interesting reaction.
[00:33:09.320 --> 00:33:10.800]   That is the proper reaction.
[00:33:10.800 --> 00:33:12.640]   Yeah, absolutely. Yeah.
[00:33:12.640 --> 00:33:13.960]   I want to point out one thing I did.
[00:33:13.960 --> 00:33:18.360]   I was doing some research before the show, and I found this SEC speech.
[00:33:18.360 --> 00:33:21.200]   And this is a really fascinating.
[00:33:21.200 --> 00:33:23.600]   This is from 2007 from Paul.
[00:33:23.600 --> 00:33:26.880]   And he was kind of giving his State of the Union here.
[00:33:26.880 --> 00:33:30.320]   And he's talking about doing some self-reflection.
[00:33:30.320 --> 00:33:34.600]   And he's talking about accreditation rules in 2007
[00:33:34.600 --> 00:33:37.320]   before the great financial crisis.
[00:33:37.320 --> 00:33:39.280]   The concept of economic risk and return
[00:33:39.280 --> 00:33:42.320]   also affect a different proposal of the commission, the SEC.
[00:33:43.720 --> 00:33:45.200]   Relating to private investment funds,
[00:33:45.200 --> 00:33:47.240]   specifically part of the commission's proposal
[00:33:47.240 --> 00:33:51.160]   would add an additional requirement for any natural accredited person
[00:33:51.160 --> 00:33:54.520]   to have at least 2.5 million in investments before he or she
[00:33:54.520 --> 00:33:58.120]   could invest in private investment in a private investment fund like a hedge fund
[00:33:58.120 --> 00:34:01.040]   or private equity fund other than a venture capital fund.
[00:34:01.040 --> 00:34:03.880]   The underlying premise for the commission's proposal
[00:34:03.880 --> 00:34:06.120]   is that these types of investments are too risky for individuals
[00:34:06.120 --> 00:34:07.480]   other than the very rich.
[00:34:07.480 --> 00:34:11.080]   Therefore, we would have to presume that the non-rich are either unsophisticated
[00:34:11.080 --> 00:34:13.320]   or lack access to sophistication.
[00:34:13.320 --> 00:34:16.840]   And it is simply not tolerable to have these types of people
[00:34:16.840 --> 00:34:19.120]   at risk of losing their money on a hedge fund.
[00:34:19.120 --> 00:34:21.120]   Assuming that these premises are true, however,
[00:34:21.120 --> 00:34:23.960]   what evidence does the commission have to support the conclusion
[00:34:23.960 --> 00:34:26.520]   that private investment funds are the most risky?
[00:34:26.520 --> 00:34:29.120]   What makes a hedge fund or a private equity fund
[00:34:29.120 --> 00:34:31.040]   more risky than a venture capital fund?
[00:34:31.040 --> 00:34:31.960]   Great question.
[00:34:31.960 --> 00:34:35.440]   And how does the risk profile of a pooled investment compare
[00:34:35.440 --> 00:34:38.160]   with the risks of investing in securities of a single issuer
[00:34:38.160 --> 00:34:41.000]   for which this new 2.5 million standard is?
[00:34:41.000 --> 00:34:42.760]   This is where it gets super interesting.
[00:34:42.760 --> 00:34:46.400]   Many public comment letters express indignation at the commission's proposal.
[00:34:46.400 --> 00:34:48.480]   One commentator wrote, "Stay out of my wallet.
[00:34:48.480 --> 00:34:50.680]   Stop trying to protect me from myself.
[00:34:50.680 --> 00:34:54.640]   Stop presuming to know more than I do about my own life,
[00:34:54.640 --> 00:34:56.840]   risk tolerance and financial sophistication."
[00:34:56.840 --> 00:34:59.800]   The commission's proposal may very well prevent the non-rich
