
[00:00:00.000 --> 00:00:01.600]   two days ago,
[00:21:13.000 --> 00:21:18.320]   Something like, you know, 60 Republicans voted for it. Look, I would have liked to have seen more
[00:21:18.320 --> 00:21:22.280]   Republicans vote for this. I think it should be like, you know, majority of the Republican
[00:21:22.280 --> 00:21:26.880]   party should be voting for this. But the point is that is there any intention of the Democrats
[00:21:26.880 --> 00:21:31.080]   to bring this up in the Senate and pass it and codify Obergefell when they have a chance?
[00:21:31.080 --> 00:21:35.000]   I think the answer is no. Why? Because the Democrats would rather fundraise off this issue.
[00:21:35.000 --> 00:21:36.300]   The same thing was true,
[00:21:36.300 --> 00:21:42.620]   about Roe. The Democrats had super majorities in the Senate. Under Obama, they could have codified
[00:21:42.620 --> 00:21:47.260]   Roe. They never took the chance. Why? Because they would rather fundraise off this issue
[00:21:47.260 --> 00:21:53.000]   from progressive elites, the donor class in California and New York. So this is why they're
[00:21:53.000 --> 00:21:54.440]   not going to codify Obergefell. You don't even think that's the case?
[00:21:54.440 --> 00:22:00.200]   Absolutely. Obama said it on the record. Obama was asked, why will you not? He campaigned
[00:22:00.200 --> 00:22:05.780]   on codifying Roe v. Wade. And then very quickly into it, he was asked when he had the super
[00:22:05.780 --> 00:22:06.280]   majority in favor of Roe v. Wade, why would you not? And he said, why would you not? And he said,
[00:22:06.280 --> 00:22:10.160]   built the house in the senate will you act on roe v wade he goes no it is not a priority anymore
[00:22:10.160 --> 00:22:15.560]   that's a quote it absolutely could have been codified just like a birch fell could be codified
[00:22:15.560 --> 00:22:21.140]   tomorrow look there are there are 10 republican votes there are 10 republican votes at least
[00:22:21.140 --> 00:22:26.280]   for this in the senate you have a filibuster proof super majority in the senate who would
[00:22:26.280 --> 00:22:32.500]   support this the same republicans who supported the gun restriction bill that biden just signed
[00:22:32.500 --> 00:22:36.340]   and that supported the infrastructure bill you think they could codify abortion rights in this
[00:22:36.340 --> 00:22:40.220]   country right now if they wanted no no no that that moment has passed that moment's passed i'm
[00:22:40.220 --> 00:22:43.880]   not saying republicans would never give women the right no no look there's not a super majority in
[00:22:43.880 --> 00:22:48.860]   the senate anymore for uh for a codifying road there is a super majority right now for codifying
[00:22:48.860 --> 00:22:53.700]   a birch fell they could do that right now and they're not chamath you've been a donor to the
[00:22:53.700 --> 00:23:00.080]   democratic party do you believe that yeah do you do you believe that the um the abortion issue
[00:23:00.080 --> 00:23:02.480]   drove you and others to put more money in
[00:23:02.480 --> 00:23:07.040]   and that maybe not no because because the leadership of the democratic party
[00:23:07.040 --> 00:23:13.360]   focused on uh trump in the last big cycle it was all trump trump trump trump trump
[00:23:13.360 --> 00:23:21.280]   do i think that more grassroots fundraising focuses on that or gun rights or what do you think
[00:23:21.280 --> 00:23:25.360]   what's next is saying is true that they actually held off on trying to codify roe so that they
[00:23:25.360 --> 00:23:29.920]   could continue to support again i'm just i'm just going to give you the quote because it there's
[00:23:29.920 --> 00:23:32.460]   there's no opinion needed okay
[00:23:32.460 --> 00:23:32.960]   so i'm going to give you the quote because it there's no opinion needed okay
[00:23:32.960 --> 00:23:39.320]   april 29th of 2009 president barack obama says on wednesday he favored abortion rights for women
[00:23:39.320 --> 00:23:44.880]   but that passing a law guaranteeing these rights were not his top priority i believe that women
[00:23:44.880 --> 00:23:48.840]   should have the right to choose obama told a new conference marking his first hundred days in office
[00:23:48.840 --> 00:23:52.560]   again when he had super majorities in both the house of the senate but i think that the most
[00:23:52.560 --> 00:23:56.280]   important thing we can do to tamp down some of the anger surrounding this issue is to focus on those
[00:23:56.280 --> 00:24:02.440]   areas we can't agree on so you make a promise you get into the seat of power and you're going to be
[00:24:02.440 --> 00:24:07.900]   in power you have the decision on what your legislative agenda should be and he made that
[00:24:07.900 --> 00:24:14.460]   calculation and david is right sadly that it was in a moment where we had a clear line of sight
[00:24:14.460 --> 00:24:21.260]   to codifying many of these rights yeah but the question that's not the question that freeberg
[00:24:21.260 --> 00:24:25.980]   is asking he's saying do you think that they specifically did this to keep it as an open issue
[00:24:25.980 --> 00:24:29.660]   to raise money off it i don't think that's believable oh yeah absolutely no way no way
[00:24:29.660 --> 00:24:32.420]   absolutely if you want to talk about cynicism sack
[00:24:32.420 --> 00:24:39.080]   the truly cynical move was you know trump saying i am going to get this in evangelical vote to win
[00:24:39.080 --> 00:24:44.480]   the primaries to get those 20 percent who want to take away the right for women to have an abortion
[00:24:44.480 --> 00:24:49.200]   and i'm going to stack the supreme court to actually achieve that that's the most cynical
[00:24:49.200 --> 00:24:53.320]   of all of the political stuff okay let's just let's define terms political and so hold on a
[00:24:53.320 --> 00:24:58.440]   second hold on a second let's define terms so you may be opposed to what trump did but there
[00:24:58.440 --> 00:25:02.400]   wasn't that wasn't cynical he stated what he was going to do when he ran for office
[00:25:02.400 --> 00:25:07.160]   and then he did it he lived up to his promise somebody who he did not believe in that he did
[00:25:07.160 --> 00:25:10.920]   not believe in that he did it specifically to get those votes we all know he didn't believe in it
[00:25:10.920 --> 00:25:16.180]   we all know he believes in a women's right to choose jason he he created a platform to get
[00:25:16.180 --> 00:25:21.220]   elected yes that's what i'm saying when he was elected he executed on that platform i think what
[00:25:21.220 --> 00:25:27.240]   david sacks is saying is obama had a platform to get him elected and when obama chose had the choice
[00:25:27.240 --> 00:25:32.380]   he chose to not execute on the platform and that is also true and all i'm just saying is we
[00:25:32.380 --> 00:25:36.860]   owe it to ourselves to be intellectually honest about what happened that is what happened okay
[00:25:36.860 --> 00:25:41.840]   both of these two guys made claims hold on one second both of these two guys made claims acting
[00:25:41.840 --> 00:25:46.960]   in your own self-interest i understand but please i want this on the record both of these two guys
[00:25:46.960 --> 00:25:51.900]   made claims to become president it turns out that trump actually did execute on most of his claims
[00:25:51.900 --> 00:25:57.360]   as abhorrent as they were to some yeah and obama on some of the most important issues of our time
[00:25:57.360 --> 00:26:02.360]   did not look what trump did was just simple coalition politics he thought it was important
[00:26:02.360 --> 00:26:07.160]   to win the religious right he basically appealed to them he said that if you vote for me i will
[00:26:07.160 --> 00:26:12.520]   nominate these judges he delivered he delivered he didn't believe in it himself right so that's what
[00:26:12.520 --> 00:26:16.040]   i'm talking about at a certain point doesn't matter that's not something i believe people
[00:26:16.040 --> 00:26:19.560]   should have for sure principles okay look so i know it doesn't matter to you that he doesn't
[00:26:19.560 --> 00:26:22.840]   have principles but it matters to me that people are pretty good but jason what does it mean to
[00:26:22.840 --> 00:26:27.240]   have the principle of saying that he's going to he's going to pass and codify roe v wade and not
[00:26:27.240 --> 00:26:32.340]   do it what is that then i think he uh well listen i i the quote you gave doesn't give
[00:26:32.340 --> 00:26:37.520]   why he didn't do it he didn't make it a priority it could also hold on let me finish it could also
[00:26:37.520 --> 00:26:41.800]   be that he believed that it would not get overturned so he should spend his time on
[00:26:41.800 --> 00:26:47.120]   obamacare and other things i'm saying cynicism is when you believe one thing and then you do
[00:26:47.120 --> 00:26:50.120]   something to act in your own self-interest and that's what i think that's what i think
[00:26:50.120 --> 00:26:54.040]   did hold on a second we don't need to go back all the way to the obama administration because
[00:26:54.040 --> 00:26:59.320]   the issue i'm talking about today is that in the past week they had a vote codifying
[00:26:59.320 --> 00:27:02.320]   aubergine fell on gay marriage and uh repealing the bill and they're not going to vote for him
[00:27:02.320 --> 00:27:06.880]   you're saying DOMA okay so now listen I actually think there were so many Republican votes in the
[00:27:06.880 --> 00:27:11.680]   house even though I would have liked to seen more there were enough that this might shame Schumer
[00:27:11.680 --> 00:27:17.680]   into bringing up the vote because it's going to be so obvious if he doesn't that he is doing this
[00:27:17.680 --> 00:27:22.420]   for a reason right because they have the votes they can pass this just like they passed the gun
[00:27:22.420 --> 00:27:28.000]   bill a few weeks ago right just like they passed um the infrastructure bill so if he if Schumer
[00:27:28.000 --> 00:27:32.680]   doesn't bring this up it's a very cynical move you think it's strategically to have that as an
[00:27:32.680 --> 00:27:38.200]   issue to phrase funding I I I get it and it's really proof listen do you think both sides are
[00:27:38.200 --> 00:27:43.600]   cynical of course both sides engage in politics however however what I'm talking about is the type
[00:27:43.600 --> 00:27:50.500]   of cynicism so I think that there's a lot of issues on which the Democrats would rather appeal
[00:27:50.500 --> 00:27:55.540]   to the donor class basically that lives on the coast New York California and be able to keep
[00:27:55.540 --> 00:27:57.940]   fundraising on that issue and basically scaremonger on that issue and basically scare a little bit on
[00:27:57.940 --> 00:28:03.400]   that issue instead of just winning the issue they can just win this issue right now do you have
[00:28:03.400 --> 00:28:09.820]   less interest in supporting the Democratic Party based on the principle you stated that in the past
[00:28:09.820 --> 00:28:15.160]   there have been kind of promises and capital raised against you know codifying row and then
[00:28:15.160 --> 00:28:21.640]   it not happening they never made those promises to me so I never felt like they lied to me um I want
[00:28:21.640 --> 00:28:26.800]   to be very clear so then nobody and I never asked for that to be a precondition of my donation again
[00:28:26.800 --> 00:28:27.880]   my
[00:28:27.880 --> 00:28:32.440]   capital was focused on one thing which is I thought that President Trump was not the right
[00:28:32.440 --> 00:28:37.360]   person to lead this country and I thought very clearly that the bright Democrat could do a much
[00:28:37.360 --> 00:28:44.920]   much better job and I am glad that Biden won and I'm glad that the money that I put in maybe in no
[00:28:44.920 --> 00:28:50.320]   in any small way but hopefully in some reasonable non-trivial way helped and I'm glad that that
[00:28:50.320 --> 00:28:55.720]   money helped even out the Senate I'm glad all of those things happened and so I want to be clear
[00:28:55.720 --> 00:28:57.820]   they've never made those kinds of promises to be
[00:28:57.820 --> 00:29:03.040]   nor have I ever asked I make a high level decision on who I think the best candidate should be and
[00:29:03.040 --> 00:29:07.180]   support the party that will get that best candidate affected what I was just trying to make clear to
[00:29:07.180 --> 00:29:14.680]   you guys is that sometimes even a Democrat it's important for us to be intellectually honest about
[00:29:14.680 --> 00:29:20.680]   what has happened it's very easy to look at the other guy and find all the ways in which they
[00:29:20.680 --> 00:29:27.040]   screwed up or tried to screw you or you know is in a lack sympathy or lack sympathy all of these things
[00:29:27.760 --> 00:29:32.200]   it's much harder oftentimes to look at your own team and say wait a minute why didn't x y and z
[00:29:32.200 --> 00:29:36.880]   happen and the reason I'm bringing up what happened in 2009 is I think David is right
[00:29:36.880 --> 00:29:41.980]   we have a moment in time where the leadership of the Democratic Party
[00:29:41.980 --> 00:29:48.700]   can codify rights that should be codified and they should have in hindsight they should have
[00:29:48.700 --> 00:29:53.200]   done it I know just to be clear no it is still open we can do it I'm talking about Roe v Wade
[00:29:53.200 --> 00:29:57.700]   and yes and for the for the issue we're talking about now it should be codified absolutely and just to be
[00:29:57.700 --> 00:30:02.020]   clear I'm an independent I would vote for a Republican who was socially progressive and
[00:30:02.020 --> 00:30:05.860]   fiscally conservative as long as they're for gay marriage as long as they're pro women's right to
[00:30:05.860 --> 00:30:10.000]   choose uh and they were fiscally conservative I would vote for a Republican I'm a moderate
[00:30:10.000 --> 00:30:14.320]   independent I want to see less government and more efficient government and I want people I
[00:30:14.320 --> 00:30:17.500]   want the government out of people's personal lives and I think that's where Sax and I are
[00:30:17.500 --> 00:30:21.760]   exactly the same we both want I mean Sax do you want the government involved in people's personal
[00:30:21.760 --> 00:30:27.640]   lives you're a classic Republican by the way according to the Monmouth poll from a few weeks ago you
[00:30:27.640 --> 00:30:33.760]   represent four percent of the voting base I do that's an extreme yeah that's an extreme minority
[00:30:33.760 --> 00:30:41.200]   the the the lowest self-identifying quadrant of fiscal conservative versus kind of fiscal
[00:30:41.200 --> 00:30:46.660]   liberal social conservative social liberal is the fiscal conservative social liberal what are we all
[00:30:46.660 --> 00:30:51.340]   here we're I think we all fit this profile fiscally we want the government to be run
[00:30:51.340 --> 00:30:57.580]   conservatively you know and with less government and we want progressive social change right I mean I
[00:30:57.580 --> 00:31:01.420]   feel that way don't put me in a corner government out of people's personal I don't know I'm just
[00:31:01.420 --> 00:31:05.560]   asking I'm asking you guys if we're all insane I wouldn't define my cultural positions as progressive
[00:31:05.560 --> 00:31:09.880]   social change because the change that progressives are trying to do right now is radical what I favor
[00:31:09.880 --> 00:31:15.220]   is social tolerance I think we need to be tolerant I think we need to be a tolerant society America is
[00:31:15.220 --> 00:31:20.980]   a very broad diverse country we need to find ways to live together and find accommodation on issues
[00:31:20.980 --> 00:31:26.560]   that are very contentious so that includes tolerance for gay marriage so look I'm on board with that but
[00:31:27.520 --> 00:31:34.060]   the radical progressive agenda of social change which includes upending the uh the criminal justice
[00:31:34.060 --> 00:31:38.620]   system in favor of I know not prosecution over that yeah what's happening in the schools with
[00:31:38.620 --> 00:31:44.140]   CRT and the sort of hyper ideologized education look they should just be teaching the basics
[00:31:44.140 --> 00:31:48.520]   reading yeah leave it up to parents to do the other stuff yeah exactly I agree and so on down
[00:31:48.520 --> 00:31:52.000]   the line but maybe progressive is the wrong term because that that now has been co-opted
[00:31:52.000 --> 00:31:56.860]   less government involved in your personal life and tolerance I think we all agree on that and I think
[00:31:57.460 --> 00:32:01.540]   it's a great word everybody agrees with tolerance it's a privileged position to want to have less
[00:32:01.540 --> 00:32:07.120]   government involved in your life right I mean many people in the United States have been able to
[00:32:07.120 --> 00:32:11.980]   thrive and and survive because of the role that government has played in their lives and there's
[00:32:11.980 --> 00:32:15.280]   obviously on one end of the spectrum extreme grift
[00:32:15.280 --> 00:32:21.400]   and on the other end of the spectrum extreme need that is being met uh by the wealthiest
[00:32:21.400 --> 00:32:27.040]   government in the world and it is a that you know it is in that middle where all of them where do you
[00:32:27.400 --> 00:32:33.700]   think is fighting how would you describe your politics in these two dynamics right are you also
[00:32:33.700 --> 00:32:44.500]   in this four percent freeberry yeah yeah yeah no I'm here um I'm trying to be thoughtful about
[00:32:44.500 --> 00:32:51.100]   this because yeah no I think it's the idea yeah I think that the government's role is to support
[00:32:51.100 --> 00:32:56.980]   those in need not those in want and I think that the government should be held accountable for
[00:32:57.340 --> 00:33:03.640]   that role and I think that those of us who can that are sitting in privileged positions and seats
[00:33:03.640 --> 00:33:07.900]   should enable the government to perform that role well and we should be positive
[00:33:07.900 --> 00:33:15.880]   actors meaning we should support we should pay taxes and we should help people and um and
[00:33:15.880 --> 00:33:21.580]   institutions in need and that are you know kind of for the greater good and then we should be holding
[00:33:21.580 --> 00:33:27.280]   ourselves our government and our our politicians to account for inefficiencies and the biggest concern
[00:33:27.280 --> 00:33:32.620]   I have is less about are the people in need needs being met as much as are we holding our government
[00:33:32.620 --> 00:33:37.540]   to account for the performance of its services and duties to the American people and I really
[00:33:37.540 --> 00:33:43.300]   like this want I like this want need concept here can you give an example of where the government
[00:33:43.300 --> 00:33:46.960]   like people need something but then there's another group that wants something and maybe
[00:33:46.960 --> 00:33:51.880]   we're over stretching and and you know giving into wants when we should be focused on needs
[00:33:51.880 --> 00:33:57.220]   and efficiency yeah I'll give you a pretty um an example I know reasonably well which
[00:33:57.220 --> 00:34:02.680]   is the farm bill passes every four years and the farm bill in order to get it passed in both the
[00:34:02.680 --> 00:34:10.360]   house and the Senate it has components that serve both farmers and support the the food stamp program
[00:34:10.360 --> 00:34:15.640]   uh so the food stamp program obviously supports millions of Americans that are in need of food
[00:34:15.640 --> 00:34:19.960]   can't afford food they get EBD cards they get support in buying food and there's a lot of
[00:34:19.960 --> 00:34:24.580]   programs and access that are enabled by that program but in order but that mostly services
[00:34:24.580 --> 00:34:27.160]   the needs of urban areas of cities so it
[00:34:27.160 --> 00:34:31.480]   passes that that element of the bill is attractive and appealing to the representatives of cities
[00:34:31.480 --> 00:34:36.040]   found in the house on the other side in order to get it passed in the Senate where the majority
[00:34:36.040 --> 00:34:42.340]   of senators come from rural states which are have significant farming populations the farming
[00:34:42.340 --> 00:34:47.500]   subsidies are planted in that same bill and as a result because everyone's getting something
[00:34:47.500 --> 00:34:53.200]   that bill as a whole has now grown to a multi-hundred billion dollar bill that gets
[00:34:53.200 --> 00:34:57.100]   passed every few years because in order for the Senate to pass it the house says okay we'll give
[00:34:57.100 --> 00:35:01.960]   you all these farm subsidies in order for the house to pass it the Senate says well sorry and
[00:35:01.960 --> 00:35:06.220]   vice versa right we'll give you all these food stamps but but both of them now have incredible
[00:35:06.220 --> 00:35:11.620]   what do they call it pork or fat or whatever yeah the amount of money that's wasted that isn't
[00:35:11.620 --> 00:35:16.720]   actually servicing the original intention and need of either of the parties that are represented by
[00:35:16.720 --> 00:35:21.400]   that bill is extraordinary and I've spent a lot of time in the farmville I actually went with
[00:35:21.400 --> 00:35:27.040]   lobbyists years ago to DC and I actually met with the Senate and House ad committees I've gone very
[00:35:27.040 --> 00:35:30.640]   deep into the bill and some of the programs in that bill and it's just shocking to me in the
[00:35:30.640 --> 00:35:34.240]   same way that Palmer Lucky shared in our all-in Summit how shocking it is how defense spending
[00:35:34.240 --> 00:35:39.820]   works in this country it's shocking to me how some of the the programs work in the farm bill
[00:35:39.820 --> 00:35:44.380]   uh how much money and how much waste there is and how much Griff there is and so yes we are meeting
[00:35:44.380 --> 00:35:49.120]   the needs of populations in need in this country but so much more of the bill now is about people
[00:35:49.120 --> 00:35:52.960]   wanting more in order to pass the bill and it's and it's bloated all right so he's gonna come in
[00:35:52.960 --> 00:35:56.980]   and fix it because where's the incentive for anyone to come in and cut that bill up where's the
[00:35:56.980 --> 00:36:00.520]   incentive to fix it if both sides are barbelling the grift then there's no incentive they're they're
[00:36:00.520 --> 00:36:06.520]   they're in a dance to to maximize the grift so where do you stand now if we were to sort
[00:36:06.520 --> 00:36:12.100]   of look at politics without the Biden and trump derangement syndrome without the the tribalism
[00:36:12.100 --> 00:36:16.840]   just in terms of first principles I think what we're seeing here is we all want to see radical
[00:36:16.840 --> 00:36:21.760]   competence in the government social issues fight you know and fiscally how we run the
[00:36:21.760 --> 00:36:24.400]   country where do you stand how would you describe yourself now
[00:36:26.920 --> 00:36:29.560]   look I mean I think of things in terms of risk
[00:36:29.560 --> 00:36:39.040]   here's what I see um I see that there are a handful of issues that remain
[00:36:39.040 --> 00:36:44.740]   in terms of social policy that just need to get codified
[00:36:44.740 --> 00:36:52.960]   gay marriage is an example of one abortion rights is an example of the other then
[00:36:52.960 --> 00:36:55.660]   and and I think like those are like really
[00:36:56.860 --> 00:37:05.320]   to my perspective speak about human individual Liberty which I think should trump everything so
[00:37:05.320 --> 00:37:11.800]   everybody should be allowed to kind of pursue the best version of themselves however that manifests
[00:37:11.800 --> 00:37:18.640]   in the person you marry to in in the gender you Express not these are like things where what you
[00:37:18.640 --> 00:37:25.000]   do to be happy you should be allowed to do period end of story then there are issues where I think
[00:37:25.000 --> 00:37:26.800]   are much thornier and
[00:37:26.800 --> 00:37:33.520]   as I get older I become increasingly ambivalent uh or confused actually is a better word and
[00:37:33.520 --> 00:37:40.780]   gun control is a perfect example of that where I don't know what my right is to go and adjudicate
[00:37:40.780 --> 00:37:44.860]   a change to the Constitution that's been there since the founding of this country
[00:37:44.860 --> 00:37:50.620]   that's a much more complicated issue and so I think we have to basically devolve that right
[00:37:50.620 --> 00:37:56.740]   to the states where individual states will have very different laws and part of how you choose
[00:37:56.740 --> 00:38:02.680]   to express where you live will be defined by some of those rules so that's the social side extreme
[00:38:02.680 --> 00:38:10.600]   tolerance is really how I would sum it up economically so but but I think the risk to America
[00:38:10.600 --> 00:38:18.520]   imploding quote unquote because of an issue in that surface area in my opinion is extremely limited
[00:38:18.520 --> 00:38:25.960]   if I look on the economic lens however I think there are enormous risks to American leadership
[00:38:25.960 --> 00:38:26.680]   and exceptionalism
[00:38:26.680 --> 00:38:36.100]   and we need a wholesale reset of how we create incentives of how government should work of how
[00:38:36.100 --> 00:38:42.820]   regulatory capture should work of how the capital markets work these rules are way too perverted
[00:38:42.820 --> 00:38:52.600]   and it's creating enormous stress in a system and again I go back to the example I used last episode
[00:38:52.600 --> 00:38:56.320]   the thing that if you look for example like
[00:38:56.620 --> 00:39:02.500]   you know in that example of Sri Lanka Singapore Jamaica and how there were these three completely
[00:39:02.500 --> 00:39:09.580]   different outcomes underneath the most successful outcome was an incredibly clear transparent and
[00:39:09.580 --> 00:39:16.960]   simple financial framework you cannot spend more than you have you need to invest in long-term
[00:39:16.960 --> 00:39:20.920]   programs like education and health care you need to make them broadly available
[00:39:20.920 --> 00:39:25.960]   and then you need to have an absolute free market that gets the best ideas to the top of the funnel
[00:39:25.960 --> 00:39:32.500]   and if you can just incorporate those things the tax law could be four pages you know
[00:39:32.500 --> 00:39:40.540]   the the number of regulations could be 50 pages you know the simple rule that says to the Federal
[00:39:40.540 --> 00:39:47.740]   Reserve you can't just print free money ad hoc so I'm I'm much more concerned about the fiscal
[00:39:47.740 --> 00:39:55.420]   future of America I I think that there's so much movement and progress on the social side including
[00:39:55.420 --> 00:40:01.180]   the freedom of movement of people to different states it is an important set of issues but in
[00:40:01.180 --> 00:40:04.540]   terms of what drives the outcome and future success for our kids and our kids as kids
[00:40:04.540 --> 00:40:08.440]   people should not sleep on the economy because if we get this wrong
[00:40:08.440 --> 00:40:12.880]   that will be the tinderbox that lights everything on fire
[00:40:12.880 --> 00:40:19.960]   sacks when you hear you know everybody sort of explain their basic uh belief system how far apart
[00:40:19.960 --> 00:40:24.220]   do you think we all are on this podcast because I think that's been a an issue we see a lot of the
[00:40:24.220 --> 00:40:28.540]   comments discussing you and I discussing it feels like on most of these issues and I think that's
[00:40:28.540 --> 00:40:32.020]   people ask me how I'm friends with you all the time and I'm sure you get that question as well
[00:40:32.020 --> 00:40:38.860]   yeah and I love you thinking about it no I I love sex like a brother and anytime we talk about basic
[00:40:38.860 --> 00:40:43.660]   issues we're very much in sync and then when we talk about politics it feels like we're super you
[00:40:43.660 --> 00:40:49.660]   know uh you know opposed you know in in opposition to each other when you hear that we all have
[00:40:49.660 --> 00:40:53.020]   essentially the same stack of uh fundamental beliefs
[00:40:53.020 --> 00:40:59.440]   how do you interpret this in terms of politics and in America writ large and and how do we get
[00:40:59.440 --> 00:41:04.420]   consensus in this country to be more effective in running the country for the citizens I think
[00:41:04.420 --> 00:41:07.960]   the media drives a lot of polarization right because they're feeding us a bunch of bogus
[00:41:07.960 --> 00:41:13.840]   narratives you look at the polling around the trust in the traditional media has absolutely
[00:41:13.840 --> 00:41:19.000]   plummeted through the floor I mean they basically have instead of just reporting objectively the
[00:41:19.000 --> 00:41:22.720]   facts they I think the audience has recognized that they are activists they are basically
[00:41:22.720 --> 00:41:27.100]   pushing an agenda and they're pushing a bunch of bogus narratives and I think it does drive the
[00:41:27.100 --> 00:41:33.700]   polarization so that's part of it to go back to you know what what are the core issues that motivate
[00:41:33.700 --> 00:41:39.460]   me and like who I support look I think we could probably agree on a lot of stuff I want us to
[00:41:39.460 --> 00:41:44.680]   pursue more of an internationally cautious you know agenda less interventionist because it
[00:41:44.680 --> 00:41:48.220]   really hasn't worked out for us very well over the last 20 years with all these Wars that failed
[00:41:48.220 --> 00:41:52.540]   I want us to be fiscally responsible and promote a healthy economy
[00:41:52.540 --> 00:41:58.960]   to what Jamal said and then third I'd like us to be socially tolerant now why does that leave me in
[00:41:58.960 --> 00:42:04.960]   this current environment to support Republicans well on international on sort of foreign policy
[00:42:04.960 --> 00:42:11.320]   neither party is really very good both parties are sort of pushing some version of Bush Doctrine
[00:42:11.320 --> 00:42:15.040]   light where we're basically over involving ourselves in all these countries all over the
[00:42:15.040 --> 00:42:20.380]   world but the Republicans at least have a faction that's in favor of realism and restraint so I'm
[00:42:20.380 --> 00:42:26.560]   trying to help kind of push that direction within the party the Democrats just are still very much
[00:42:26.560 --> 00:42:33.280]   in this liberal interventionist mode on fiscal issues both parties are guilty of overspending
[00:42:33.280 --> 00:42:37.600]   and creating this ruinous federal debt and deficits that we have however
[00:42:37.600 --> 00:42:42.640]   there's no way to avoid the fact that the Democrats are just worse I mean Biden wanted
[00:42:42.640 --> 00:42:49.180]   an extra four trillion of spending on this whole build back better on top of the four trillion yet
[00:42:49.180 --> 00:42:53.860]   so listen I know the Republicans don't have clean hands on this issue but the progressives are just
[00:42:53.860 --> 00:42:58.120]   worse and as long as the progressives are calling the shots the Democratic Party they're just worse
[00:42:58.120 --> 00:43:03.040]   on spending and then you got social tolerance listen on the issues on these sort of key rights
[00:43:03.040 --> 00:43:08.200]   issues that have been the kind of the old social issues the last 50 years by and large not on all
[00:43:08.200 --> 00:43:13.840]   these things by and large I'm with you guys that I'm in favor of sort of the the socially tolerant
[00:43:13.840 --> 00:43:18.460]   position but look at who is pushing social intolerance today I mean the progressives are
[00:43:18.460 --> 00:43:18.820]   the most
[00:43:18.820 --> 00:43:22.600]   intolerant group in America they're the ones pushing cancel culture they're the ones trying
[00:43:22.600 --> 00:43:27.100]   to shove their positions down the throats of ordinary Americans this is what's creating the
[00:43:27.100 --> 00:43:32.980]   backlash you look at issues today like CRT like the progress their approach on crime on borders
[00:43:32.980 --> 00:43:38.560]   the progressives are trying to promote I think a social policy that is fundamentally intolerant
[00:43:38.560 --> 00:43:44.140]   and and doesn't accord any respect or room for traditional Americans to live their lives the
[00:43:44.140 --> 00:43:48.640]   way they want to and you have to be tolerant of them as well we're not going to have peace in our
[00:43:48.640 --> 00:43:48.760]   society
[00:43:48.760 --> 00:43:48.760]   Yeah
[00:43:48.760 --> 00:43:48.760]   Yeah
[00:43:48.760 --> 00:43:48.760]   Yeah
[00:43:48.760 --> 00:43:48.800]   Yeah
[00:43:48.800 --> 00:43:54.860]   without some tolerance of traditionalists okay let's wrap on this and then move to China I I
[00:43:54.860 --> 00:43:59.720]   sent you guys a um this was a quote by Mike Solana a tweet from Mike Solana
[00:43:59.720 --> 00:44:04.820]   the caption is I've been wondering how they were going to spin this and this builds exactly on David
[00:44:04.820 --> 00:44:12.020]   just said here when the Quinnipiac Quinnipiac poll came out and about approved disapprove
[00:44:12.020 --> 00:44:18.500]   about President Biden you know the big outlier was the Hispanic population
[00:44:18.500 --> 00:44:18.740]   the Hispanic population nice to see you guys thank you so much for being here and I appreciate it
[00:44:18.740 --> 00:44:18.800]   thank you so much for being here and I appreciate it
[00:44:18.800 --> 00:44:23.540]   thank you so much for being here and I appreciate it 19% approved 70% disapprove and the the article in
[00:44:23.540 --> 00:44:23.540]   19% approved 70% disapprove and the the article in
[00:44:23.540 --> 00:44:25.580]   19% approved 70% disapprove and the the article in the Washington Post which tries to kind of
[00:44:25.580 --> 00:44:33.560]   sort of like clean this all up and whitewash it says fake news speaks many languages but it's
[00:44:33.560 --> 00:44:40.700]   particularly fond of Spanish essentially saying that you know the the fake news problem in in the
[00:44:40.700 --> 00:44:46.280]   Spanish language has basically gotten so bad that you know this sort of explains why Hispanics have
[00:44:46.280 --> 00:44:52.820]   have moved in droves and it's like a whole race baiting cheap shot article but the point of all
[00:44:52.820 --> 00:44:58.400]   of this is just to show that uh the left this is what really does kind of bum me out they are they
[00:44:58.400 --> 00:45:05.000]   are probably more intolerant than they've ever been they are there's an intellectual dishonesty
[00:45:05.000 --> 00:45:10.460]   like if Rachel matter really wanted to increase her standing and position she would just start the
[00:45:10.460 --> 00:45:15.260]   next program with Nancy Pelosi's trades and say listen we all know let's call this what it is it's
[00:45:15.260 --> 00:45:20.060]   not cool and here's how it should change she'll never do it I know and I think that's the
[00:45:20.060 --> 00:45:24.080]   disappointing part about all this okay so let's shift now I think we well just just what can I say
[00:45:24.080 --> 00:45:29.060]   one final thing about this whole thing that we can move on is I think I think if you are sort of
[00:45:29.060 --> 00:45:33.320]   purple and centrist I think the first two years of the bind administration were really a missed
[00:45:33.320 --> 00:45:36.860]   opportunity because I think there's sort of this conventional wisdom that the parties are so
[00:45:36.860 --> 00:45:41.720]   polarized they can't get anything done I think we saw actually there's enough Republican votes or
[00:45:41.720 --> 00:45:45.240]   there were in the in the previous Congress this this current Congress they got the
[00:45:45.240 --> 00:45:50.580]   infrastructure bill done they got um the gun bill done you know with the red flag laws and so forth
[00:45:50.580 --> 00:45:57.900]   that we talked about they can get codification of gay marriage done if they want to they could have
