
[00:00:00.000 --> 00:00:18.720]   Antonio,
[00:22:17.760 --> 00:22:22.320]   AMA yeah oh well bring up a bottle of wine anyways that's Chris Malloy say hi to him get his number
[00:22:22.320 --> 00:22:31.020]   and text him if you're ever in Las Vegas I mean only Chamath would bring the captain of Carbone to
[00:22:31.020 --> 00:22:36.900]   our event oh create the drink let's drink some wine yeah that's fantastic all right first question tell
[00:22:36.900 --> 00:22:40.920]   us your favorite bestie and then yeah we're still doing favorite besties right your bestie and then
[00:22:40.920 --> 00:22:46.380]   a quick tight question go all right favorite bestie J Cal uh point guard of the century to this team so
[00:22:46.380 --> 00:22:54.000]   hats off to you um my question is first of all we've been here all week uh in the last three
[00:22:54.000 --> 00:22:58.860]   days watching these cards fall from the sky yeah and we all know that you guys Center around this
[00:22:58.860 --> 00:23:05.760]   poker table this beautiful game my question is how is that game influence both your relationships and
[00:23:05.760 --> 00:23:11.580]   decision making in business and your personal lives great question Chamath start us up and you
[00:23:11.580 --> 00:23:17.100]   can go to the back and the next person cue up how is poker influence a friendship our lives how is
[00:23:17.100 --> 00:23:22.440]   the poker game itself had an impact on our lives okay I think I really do believe this but I think
[00:23:22.440 --> 00:23:30.720]   it's the most incredible game and training ground for business because in any given moment you are
[00:23:30.720 --> 00:23:38.100]   forced to deal with the spectrum of good information to moderate information to bad information good
[00:23:38.100 --> 00:23:44.040]   outcomes moderate outcomes bad outcomes you're taking risk you're learning information you're
[00:23:44.040 --> 00:23:51.180]   adjusting your style and the most important thing is you're forced to anchor to your core values or
[00:23:51.180 --> 00:23:56.640]   not how you behave at the table is how you behave in life you know you can take this like a new Phil
[00:23:56.640 --> 00:24:02.340]   Muth yeah yeah you can take these wins poorly you can take these wins well you can take the losses
[00:24:02.340 --> 00:24:06.900]   poorly you can take the loss as well I I would encourage all of you to learn to play the game
[00:24:06.900 --> 00:24:12.660]   with your friends it's it's a beautiful beautiful start a weekly game sacks well they put the game
[00:24:12.660 --> 00:24:18.420]   at Chamath South is how I got to be friends with Chamath right I mean I'm just saying this is what
[00:24:18.420 --> 00:24:20.880]   you guys tell your wives while you stay up all night playing poker because I've been there with
[00:24:20.880 --> 00:24:27.540]   you guys it's pretty freaking degenerate yeah we're all holding hands exactly baby it's training
[00:24:27.540 --> 00:24:31.200]   it's training for business no it is famous I'm kidding you but I've been there I've been there
[00:24:31.200 --> 00:24:35.640]   I've been there I've seen the drinking the food too it is trading for business we're not degenerates
[00:24:35.640 --> 00:24:41.940]   but that's actually well I was just saying Chamath I mean didn't you invest in Yammer after I started
[00:24:41.940 --> 00:24:47.220]   playing in your weekly poker game yeah and it was actually so degenerate what really happened after
[00:24:47.220 --> 00:24:50.820]   that was I was in Las Vegas in 2011.
[00:24:50.820 --> 00:24:57.180]   I had just left Facebook I moved to Vegas and I was on the phone with Sax in between playing
[00:24:57.180 --> 00:25:04.200]   tournaments and he like let me in invest in Yammer literally like and you know you did me an
[00:25:04.200 --> 00:25:09.840]   incredible solid because I put money in and you know what this is like nine months later he sells
[00:25:09.840 --> 00:25:16.920]   to Microsoft and I returned a third of my first fund oh yum yum and it really solidified my
[00:25:16.920 --> 00:25:20.760]   reputation so I mean I owe you a big one for that well but anyway
[00:25:20.760 --> 00:25:25.740]   I got to tell you about this though so David says I've known David for 25 years he did Yammer I want
[00:25:25.740 --> 00:25:33.360]   to put money in he said no because if this is a true story it's true story he said no he said he
[00:25:33.360 --> 00:25:40.620]   said no because if this fails you are my backup plan oh for a job yes well you know for me for me
[00:25:40.620 --> 00:25:44.880]   a job I wanted David to come join me I was so afraid of losing everyone's money when I founded
[00:25:44.880 --> 00:25:50.160]   a company you know he took a little time for me I wanted to have like one friend who's my head and I
[00:25:50.160 --> 00:25:53.820]   wanted to lose but you know that was the wrong way of thinking about it we should have we should have
[00:25:53.820 --> 00:25:59.340]   free Burke I mean how is the game well I'll look before Chamath are you leaving no I'm great no no
[00:25:59.340 --> 00:26:04.800]   wait come come back for a sec okay he'll get glasses he's getting one I'll tell you guys one
[00:26:04.800 --> 00:26:08.580]   thing Chamath is one of the most generous people you will ever meet it's unbelievable he's
[00:26:08.580 --> 00:26:16.020]   unbelievable and for all of his for all of his bluster about his friggin mink coats and like
[00:26:16.020 --> 00:26:20.040]   chinchilla uh he has brought together a group
[00:26:20.040 --> 00:26:25.260]   and he largely is the reason that I think the game grows and goes on and you saw some of the
[00:26:25.260 --> 00:26:28.680]   amazing people that we've had on stage here some of our friends are here that we play in our game
[00:26:28.680 --> 00:26:34.680]   with that um really that that Network has been built and solidified because of Chamath and his
[00:26:34.680 --> 00:26:39.060]   generosity and friendship that's it's it's really um something I've I've learned to appreciate in my
[00:26:39.060 --> 00:26:44.100]   life and you know thank you thanks yeah yeah I mean it's yeah it's a tremendous group and uh yeah
[00:26:44.100 --> 00:26:49.860]   amazing people like amazing people and yeah um the consistency
[00:26:49.860 --> 00:26:54.780]   of it has been amazing um from the degenerate Chamath had this like little tiny two million
[00:26:54.780 --> 00:27:00.060]   dollar house with like a one and a half car garage when he was at Facebook and we we would play in the
[00:27:00.060 --> 00:27:04.860]   garage that little tiny place you had remember yeah yeah um you know before you bought the two
[00:27:04.860 --> 00:27:13.740]   houses next door and knocked them down and you know gentrified but uh true story um Saks uh uh
[00:27:13.740 --> 00:27:17.820]   said hey you know you're doing these conferences you should invest in the companies and this is
[00:27:17.820 --> 00:27:22.980]   why I put the fix in for him to win TechCrunch 50 at Yammer with Yammer he said I have to win and
[00:27:22.980 --> 00:27:27.420]   then he his wife told my wife he has to win so then I basically got the whole jury to vote for
[00:27:27.420 --> 00:27:32.340]   him with Yammer he wins and he goes hey schmuck all of my success is due to J Cal you guys understand
[00:27:32.340 --> 00:27:41.220]   but he said listen I want to thank you for this and you should start a fund instead of doing all
[00:27:41.220 --> 00:27:44.700]   this work at the conference why don't you just invest in the companies I'll put 250k into your
[00:27:44.700 --> 00:27:47.760]   fund I'll be the anchor I said that's incredible really and he said yeah
[00:27:47.760 --> 00:27:51.240]   and then I went to the poker table I told the story and then Dave Goldberg rest in peace one
[00:27:51.240 --> 00:27:57.720]   of our great friends um and and certainly the the best amongst us thank you um he uh he said I'll
[00:27:57.720 --> 00:28:02.700]   put money into it thank you and uh he put money in and then Billy said I'll put money in and
[00:28:02.700 --> 00:28:09.360]   everybody said they put money in freeberg said I'll take a pass um but you know we'll put that
[00:28:09.360 --> 00:28:15.300]   aside anyway um I was all locked up in other stuff yeah he's like I got a kinwa farm I've got
[00:28:15.300 --> 00:28:19.560]   to take care of it cheers cheers cheers cheers cheers okay okay all right let me see
[00:28:19.560 --> 00:28:28.260]   fellowship and this is a true this is a true story uh Bill Lee's there uh he couldn't make
[00:28:28.260 --> 00:28:32.460]   it to here but he's one of our great friends and and one of Elon's best friends in the world and
[00:28:32.460 --> 00:28:37.380]   um he said of course I'm in um would you mind if I tell our billionaire friend
[00:28:37.380 --> 00:28:45.240]   um the the co-founder of um eBay Jeff Skoll and uh he tells him uh Jake how's doing a
[00:28:45.240 --> 00:28:52.620]   lot and you should do it I meet Jeff Skoll's money manager uh and uh Jan and I I said hey here's what
[00:28:52.620 --> 00:28:55.440]   I'm doing I'm a first-time fund manager I don't know what the I'm doing I'm a former
[00:28:55.440 --> 00:28:59.940]   journalist and he said how much is the fun I said 10 million he said I'll take half and I said
[00:28:59.940 --> 00:29:06.600]   I'm sorry and he said I'll take five million and that was the biggest check I ever got and it was
[00:29:06.600 --> 00:29:13.320]   because of Billy and literally that first fund uh was raised around the poker table in one night and
[00:29:13.320 --> 00:29:14.880]   uh that changed the trajectory of my career
[00:29:14.880 --> 00:29:19.380]   and that really is the Fellowship and it started with David and you hosting and I remember it's
[00:29:19.380 --> 00:29:24.960]   like yesterday and I I think maybe also a good moment to uh just maybe cheers to to Goldie oh
[00:29:24.960 --> 00:29:31.080]   yeah Dave Goldberg um no longer with and Tony Shag who played in the game as well two incredible men
[00:29:31.080 --> 00:29:38.940]   next question hey um my name is bovin favorite bestie is trimoth great to uh thank you last night
[00:29:38.940 --> 00:29:44.700]   um Antonio is also our people too so he's a passion all right listen we
[00:29:44.700 --> 00:29:48.600]   got your match invested quick with the question let's go yeah my main question is like when you
[00:29:48.600 --> 00:29:54.660]   guys actually decided to manage capital for people like what really was the scariest step
[00:29:54.660 --> 00:30:00.240]   in taking that leap and taking that risk I know a lot of you are GPs solo GP so
[00:30:00.240 --> 00:30:08.760]   I mean Zach you made a big leap what's the scariest step well I mean even as a founder
[00:30:08.760 --> 00:30:13.020]   like I mentioned before I was like so worried about losing people's money I mean that was like
[00:30:13.020 --> 00:30:14.580]   I mean I don't know if like founders today you know I don't know if like founders today you know you're
[00:30:14.580 --> 00:30:20.460]   they even care that much that just seems but uh it just seems like oh company didn't work move on
[00:30:20.460 --> 00:30:24.240]   to the next one um I mean maybe that'll change now that the environment's not gonna be as free
[00:30:24.240 --> 00:30:28.440]   flowing but I was always like really worried I was gonna lose people's money yeah and you know
[00:30:28.440 --> 00:30:35.280]   it was something I remember when I started social capital I think I was playing I'd be right I was
[00:30:35.280 --> 00:30:39.900]   either playing golf or I had dinner with Chase Coleman in New York and Chase says to me I'll
[00:30:39.900 --> 00:30:43.320]   tell you the one piece of advice Julian gave me when I started Tiger Robo I said what was that
[00:30:43.320 --> 00:30:44.460]   this is 2009 and he said
[00:30:44.460 --> 00:30:51.480]   this is a death sentence and I was like well what does that mean and he said you are the only person
[00:30:51.480 --> 00:30:55.260]   that's going to live with this because you're responsible especially based on who your LPs are
[00:30:55.260 --> 00:31:00.480]   for folks that if you really think about who they are it's just going to create this thing
[00:31:00.480 --> 00:31:04.140]   there and it's like you know and I was I was lucky in that moment because we were we were
[00:31:04.140 --> 00:31:08.760]   able to get like the Knight Foundation and Mayo Clinic and these folks that are doing these good
[00:31:08.760 --> 00:31:14.340]   works but then you're representing their capital it's heavy it's heavy because you make this
[00:31:14.340 --> 00:31:19.980]   decision yeah and if it's wrong you just feel literally like you're derelict and you're taking
[00:31:19.980 --> 00:31:26.640]   money away from sick children or you know free speech I mean it's it was a that's a brutally
[00:31:26.640 --> 00:31:32.220]   stressful thing to lose money on behalf of people by the way I'll recommend if any as a founder if
[00:31:32.220 --> 00:31:36.960]   you raise money raise money from your friends too and it'll really change how you operate yeah I
[00:31:36.960 --> 00:31:41.880]   mean I I raised the first fund from my friends and I tell you I took every single deal very seriously
[00:31:41.880 --> 00:31:44.220]   and I did my diligence and I was very thoughtful
[00:31:44.220 --> 00:31:49.560]   about it how about you Antonio oh man our first fund there are two fears I had the first one was
[00:31:49.560 --> 00:31:54.120]   raised from I live in Chicago from my friends in Chicago and I literally said to one of my
[00:31:54.120 --> 00:32:00.300]   partners at the time if this doesn't work I have to move I'll have to really do Chicago because in
[00:32:00.300 --> 00:32:04.560]   Chicago you might get killed if he's not looking back this is not like I thought you mean the
[00:32:04.560 --> 00:32:08.760]   weather no no no I mean these guys lose your money witness protection exactly these guys lose your
[00:32:08.760 --> 00:32:11.880]   money people kind of like oh I'm sad about it Chicago would like break your legs they burn
[00:32:11.880 --> 00:32:14.100]   your house down man it's a whole different a whole different thing all right let's take
[00:32:14.100 --> 00:32:18.000]   another question oh sorry no keep going no the second thing I mean honestly the worst thing for
[00:32:18.000 --> 00:32:21.120]   me the most scary thing for me was just the people I had I had three or four guys that
[00:32:21.120 --> 00:32:24.960]   worked with building companies before that and I knew if I just felt if I disappointed them if
[00:32:24.960 --> 00:32:30.960]   we failed um I would have felt terrible yeah yeah yeah it certainly makes you uh focus on the game
[00:32:30.960 --> 00:32:36.720]   it's like being staked in poker you play better uh sir I have a question for the 17th most important
[00:32:36.720 --> 00:32:43.980]   person from PayPal okay I'm just kidding obviously Friedberg is my favorite bestie um all right let's
[00:32:43.980 --> 00:32:52.440]   go out we've been let's go nerd unbelievable the free bird love all right free bird soak it in
[00:32:52.440 --> 00:32:57.480]   uh you've been talking about uh how all this increased money supply has been sending the
[00:32:57.480 --> 00:33:01.320]   asset prices up and now it's unwinding I don't think we've heard you talked about crypto
[00:33:01.320 --> 00:33:06.180]   specifically Bitcoin has obviously come down but it's still over three times uh where it was pre
[00:33:06.180 --> 00:33:11.460]   pandemic curious what you think will happen in that world as this unwinds you want me to dress up
[00:33:13.860 --> 00:33:18.720]   for you most important guy so the the thing the thing about the crypto market to understand is
[00:33:18.720 --> 00:33:24.240]   that it's like a liquidity sponge the more liquidity there is out there the more people
[00:33:24.240 --> 00:33:31.260]   feel empowered to make speculative investments and crypto is like the most speculative now that's not
[00:33:31.260 --> 00:33:37.620]   to say um you know it's not real I actually do believe in Bitcoin I think uh there'll be a number
[00:33:37.620 --> 00:33:43.740]   of other um sort of alt currencies that work but probably the vast majority will not and
[00:33:43.740 --> 00:33:49.440]   there's been a tremendous amount of speculation and inflation there and so that space is in the
[00:33:49.440 --> 00:33:53.940]   process of correcting you know I've never been able to say like what the right price levels for
[00:33:53.940 --> 00:33:59.820]   any of this stuff are um let's say you believe in Bitcoin long term let's say you believe it's
[00:33:59.820 --> 00:34:06.180]   going to be the first non-fiat currency what price should that be today you know it's it's
[00:34:06.180 --> 00:34:11.100]   there's no like discounted cash flow analysis you can apply to it so it's always been very
[00:34:11.100 --> 00:34:13.620]   hard to know what the prices of these things should be and
[00:34:13.620 --> 00:34:18.540]   so in practice the price is a function of how much liquidity is in the system and when you
[00:34:18.540 --> 00:34:23.580]   go through a period of liquidity getting destroyed it's no surprise that crypto goes first with it
[00:34:23.580 --> 00:34:29.040]   Antonio have you touched I mean you you were so into physical assets and building real things like
[00:34:29.040 --> 00:34:35.640]   spaceships and rocket ships when you watch this crypto bubble you know grow and burst and grow
[00:34:35.640 --> 00:34:41.880]   and burst and now it's burst again what's your take well first I want to I bought my first crypto
[00:34:43.500 --> 00:34:47.580]   scheme because David Sachs and Bill Lee were pushing the Ponzi scheme on me so they were like
[00:34:47.580 --> 00:34:51.300]   they were I was at a birthday party I think you probably were there too yeah they were like they
[00:34:51.300 --> 00:34:54.120]   were they were hawking Bitcoin so I bought something nobody had heard of it at that point
[00:34:54.120 --> 00:34:59.100]   I know I bought something I think it was like 800 bucks so here's my general view I actually think
[00:34:59.100 --> 00:35:04.380]   I think that Bitcoin in particular is a bet on a rising political risk and on political freedom
[00:35:04.380 --> 00:35:12.000]   economic freedom is uh is closer to political freedom and last time I looked Ukrainians are the
[00:35:12.000 --> 00:35:13.380]   third largest holders of Bitcoin and if I were to look at the rest of the world I would say that
[00:35:13.380 --> 00:35:19.740]   if I were staying in Taiwan today I would have 10 50 assets Bitcoin so this this removes um the
[00:35:19.740 --> 00:35:24.420]   ability to control currency capital controls from governments I think this is very important and it
[00:35:24.420 --> 00:35:28.920]   should survive price levels I don't know I do have a you know a reasonable amount of Bitcoin
[00:35:28.920 --> 00:35:33.600]   as a hedge to political risk globally and that's how we think about it we have invested in
[00:35:33.600 --> 00:35:39.300]   infrastructure assets in and around a blockchain with Dave we have a couple assets because we
[00:35:39.300 --> 00:35:43.260]   believe that blockchain itself is a platform shift in the technology of tracking assets
[00:35:43.260 --> 00:35:47.160]   this is a real thing and it's going to happen it's going to change the way we do finance so
[00:35:47.160 --> 00:35:51.600]   we invest in infrastructure got it let's take another question Ted is right Mike over there
[00:35:51.600 --> 00:35:58.620]   oh I'm sorry we're going to take one from here we'll alternate so um tight is right yeah hi uh
[00:35:58.620 --> 00:36:05.400]   car mantra CEO of credo um I have to say I'm a science nerd Friedberg but J Cal it's been
[00:36:05.400 --> 00:36:12.120]   awesome today um I and I want to say you guys like your courage and bravery to do what you've done
[00:36:12.120 --> 00:36:13.140]   with the pod
[00:36:13.140 --> 00:36:24.180]   and watching this today like thank you thank you yeah um you've talked a lot about later stage I'm
[00:36:24.180 --> 00:36:28.500]   wondering if you could like tune in a little bit more on on pre-seed and seed and kind of what
[00:36:28.500 --> 00:36:34.440]   you're seeing in terms of valuations and metrics that that you've got to hit in in the earlier
[00:36:34.440 --> 00:36:42.060]   stages it's very simple you know uh I invested in um uber thumbtack and calm for 15 million dollars
[00:36:43.020 --> 00:36:49.080]   combined that was their combined valuation post money post money and those all three companies
[00:36:49.080 --> 00:36:54.480]   had products in the market and then what we saw over the last five years is people wanting credit
[00:36:54.480 --> 00:37:02.640]   for a white paper a prototype an MVP to the tune of 15 to 50 million dollars and we did sit out some
[00:37:02.640 --> 00:37:06.120]   of those and said listen when the product is ready let's take a look at the product and talk to the
[00:37:06.120 --> 00:37:11.880]   first two or three customers to David's point about zero to one customers is a really hard hurdle and
[00:37:11.880 --> 00:37:12.900]   um now it's a little bit more complicated but I think it's a little bit more complicated than the
[00:37:12.900 --> 00:37:13.080]   current one so I think it's a little bit more complicated than the current one so I think it's
[00:37:13.080 --> 00:37:13.080]   a little bit more complicated than the current one so I think it's a little bit more complicated than the current one so I think it's
[00:37:13.080 --> 00:37:21.840]   back down to six to 15 million for a company that has a product in market and maybe 50 to 100 times
[00:37:21.840 --> 00:37:29.040]   yearly revenue for evaluation so to the extent you can get to 200k in yearly revenue you can get you
[00:37:29.040 --> 00:37:34.740]   know a 10 to 20 million dollar valuation so I'd say halfway back to normal and perhaps a permanent
[00:37:34.740 --> 00:37:40.140]   uh you know livable reset because the outcomes have been pretty fantastic so the early stage
[00:37:40.140 --> 00:37:42.780]   should go up the only thing you really need to raise money
[00:37:42.780 --> 00:37:50.640]   is to build a world-class product and just get a couple of customers who are absolutely blown
[00:37:50.640 --> 00:37:55.200]   away by what you've built that's all you need but everybody gets concerned with the Beatrix
[00:37:55.200 --> 00:38:00.840]   and the performative stuff and their Network and nonsense and who you are where you came
[00:38:00.840 --> 00:38:05.400]   from none of it matters build a world-class product that two or three people are obsessed
[00:38:05.400 --> 00:38:12.660]   with and you'll get the C check focus I think right if Brad Gerstner had uh
[00:38:12.660 --> 00:38:15.300]   sorry to interrupt your applause J Cal I know that's important to you
[00:38:15.300 --> 00:38:21.780]   um I'll take one little I can get so I think Brad Gerstner made a really important point on
[00:38:21.780 --> 00:38:26.820]   this which is the new normal is going to look like the old normal meaning the pre-covet normal
[00:38:26.820 --> 00:38:33.240]   we had the the the abnormal period was this two-year covet period where 10 trillion of
[00:38:33.240 --> 00:38:37.020]   liquidity is pumped into the system things are going back to what they look like before all
[00:38:37.020 --> 00:38:42.540]   of that happened and maybe before the fed started with this zero interest rate policy so we're
[00:38:42.540 --> 00:38:48.480]   actually getting back to normal understand that the the environment we're entering now is is the
[00:38:48.480 --> 00:38:53.580]   normality the abnormal period was the inflation we saw in assets over the past couple of years
[00:38:53.580 --> 00:38:59.220]   that's the like reset that everyone's gonna have to like wrap their heads around Sachs you're my
[00:38:59.220 --> 00:39:07.200]   boy finally finally one percent I I I think there may be some preference false falsification around
[00:39:07.200 --> 00:39:12.420]   this because people don't want to admit they're conservative all the polling all the polling shows
[00:39:12.420 --> 00:39:16.920]   this so but anyway thank you sir and your second favorite bestie is Tucker go
[00:39:16.920 --> 00:39:24.120]   uh for early stage SAS investors which most of you are in an increasingly digital world
[00:39:24.120 --> 00:39:28.680]   where are there are large SAS solutions for nearly everything how do you think about
[00:39:28.680 --> 00:39:32.820]   selecting companies and founders in the early stage that are coming to market with a small
[00:39:32.820 --> 00:39:37.080]   amount of utility and how do you think about they compete with companies with already established
[00:39:37.080 --> 00:39:42.300]   customer distribution yeah so I think you know one of the things I really like about
[00:39:42.300 --> 00:39:47.280]   SAS which is your software as a service basically B2B software it's business software okay that's
[00:39:47.280 --> 00:39:53.040]   sold as a subscription is that the world's never going to run out of new ideas for business
[00:39:53.040 --> 00:39:57.960]   software business keeps changing so therefore the software that businesses need will keep changing
[00:39:57.960 --> 00:40:03.360]   and there will always be an opportunity there for new companies new verticals new new niches
[00:40:03.360 --> 00:40:12.180]   they'll always be um you know new new ideas and so I'm never worried about running out in terms of how we
[00:40:12.180 --> 00:40:17.940]   evaluate the actual idea you know uh we've actually been super transparent around the metrics that we
[00:40:17.940 --> 00:40:24.000]   need to see it really does start with a company hitting the metrics hurdle that we need to see
[00:40:24.000 --> 00:40:29.880]   for for example a series A um you know it's a call it you're roughly more or less a million dollars
[00:40:29.880 --> 00:40:34.860]   of ARR you want to be growing 15 month over month certain net dollar retention certain capital
[00:40:34.860 --> 00:40:42.060]   efficiency we've all we've published it you know on our website on our blog so um it's it starts
[00:40:42.060 --> 00:40:47.220]   with that and then once we know that like our thresholds have been hit then we get into more
[00:40:47.220 --> 00:40:52.140]   qualitative or subjective factors like you know what do we think about this founder in this market
[00:40:52.140 --> 00:40:59.340]   um but one thing I like about it is just it's uh it's very well defined like what we're looking for
[00:40:59.340 --> 00:41:04.800]   and so you know just go to our blog you'll see we'll tell you exactly there's no mystery outside
[00:41:04.800 --> 00:41:10.080]   of productivity tools though there's not a single company that can stay in one category and become
[00:41:10.080 --> 00:41:11.400]   really big what does that mean
[00:41:11.940 --> 00:41:16.860]   um there's not a single public company that doesn't have now an entire strategy that says
[00:41:16.860 --> 00:41:23.400]   we sell it SMB mid-market and Enterprise and so the thing for SAS businesses unless you're like a
[00:41:23.400 --> 00:41:29.220]   really powerful productivity tool like a slack or an Atlassian your valuation capped in the mid to
[00:41:29.220 --> 00:41:34.920]   high single digit billions as as it currently stands today that's just the law of the math in
[00:41:34.920 --> 00:41:39.720]   the public markets on how you're rewarded though how do you grow out of it you have to embrace a
[00:41:39.720 --> 00:41:41.820]   strategy that actually does more where you
[00:41:41.820 --> 00:41:46.800]   become a system of record so it's a good example is like a zen desk they hit an upper bound you
[00:41:46.800 --> 00:41:51.240]   know there are many of these examples and so if you're building a SAS business or you're investing
[00:41:51.240 --> 00:41:55.440]   in this aspect is the other thing to think about is in the absence of being a productivity tool
[00:41:55.440 --> 00:42:03.000]   of which again there are a few um everything else has to find a way of being applicable
[00:42:03.000 --> 00:42:09.120]   to larger bodies over time in order to maintain valuation we're going to try and move faster so
[00:42:09.120 --> 00:42:11.700]   we can get more people another question here hi there guys uh
[00:42:11.700 --> 00:42:16.920]   favorite besties probably four-way tie but maybe chamath edges out just a bit okay um
[00:42:16.920 --> 00:42:27.600]   quick question tight is right so um you know you guys have done incredibly well so what what would
[00:42:27.600 --> 00:42:32.280]   you do if you're dropped in the middle of say Kansas take away the resource take away the
[00:42:32.280 --> 00:42:38.640]   network and take you back to age 25 what would you do and why Antonio take it I'm actually from
[00:42:38.640 --> 00:42:44.160]   Michigan I got dropped in the middle there with no resources and not a lot to do uh and I wasn't
[00:42:44.160 --> 00:42:50.580]   25 I was in my early 20s um I would I would find a way to make it work man you should get you should
[00:42:50.580 --> 00:42:54.780]   actually whatever scale you want to start at whatever job you have I would try and start a
[00:42:54.780 --> 00:42:58.800]   little company there's always people and listen a place that grabs Michigan man you could cut grass
[00:42:58.800 --> 00:43:02.340]   I had a little computer company while I was 12 years old doing like networking for people in the
[00:43:02.340 --> 00:43:06.480]   old days I mean there's always something you can do if you had a valuable skill build a skill start
[00:43:06.480 --> 00:43:08.520]   a company and just get started start making money and you're gonna get a lot of money and you're gonna
[00:43:08.520 --> 00:43:13.320]   start moving and make good decisions along the way one good decision compounds on top of the other
[00:43:13.320 --> 00:43:17.460]   and all four of these guys what they have done in their careers is made very good decisions and
[00:43:17.460 --> 00:43:22.920]   they've kept moving when they've had problems you start early yeah you gotta start early they may I
[00:43:22.920 --> 00:43:26.880]   just want to tell you this they may look like super successful guys now and they are but it
[00:43:26.880 --> 00:43:32.340]   wasn't easy and it wasn't linear they've all had ups and downs they've all had problems and they
[00:43:32.340 --> 00:43:35.940]   all and they also do what they what they do and I have great respect for all four of them I know
[00:43:35.940 --> 00:43:37.920]   them all well they keep making good decisions
[00:43:38.400 --> 00:43:42.720]   they're highly resilient and they just keep going and I would tell you to the same thing
[00:43:42.720 --> 00:43:47.280]   yeah you got the only thing I'd add to that is to keep is to keep learning I'm getting some closer
[00:43:47.280 --> 00:43:56.700]   oh yeah you're good I haven't had any man I just got here um but I would just say keep learning as
[00:43:56.700 --> 00:44:01.920]   well like one of the biggest advantages I've had in my career is that I try to always learn as new
[00:44:01.920 --> 00:44:07.260]   stuff as often as I can and whenever I find an area of interest I pursue it in terms of deepening
[00:44:07.260 --> 00:44:08.280]   my understanding of it and and that's what I'm trying to do and I'm trying to do it in a way that's
[00:44:08.280 --> 00:44:13.260]   always created opportunities for me that I wouldn't have just stumbled across or walked my way
[00:44:13.260 --> 00:44:17.400]   it's such a great opportunity to have you here and Tony when I asked you to do this you had never been
[00:44:17.400 --> 00:44:21.540]   on a podcast before have you never done this kind of thing I've never done this kind of thing and
[00:44:21.540 --> 00:44:25.260]   um no it's awesome thanks I'm only doing it because it's a four of you and I am usually
[00:44:25.260 --> 00:44:31.380]   very private but I'm enjoying it incredible voice you know it's like very like very NPR
[00:44:31.380 --> 00:44:38.160]   it's like hey everybody you're listening to the politics and culture I'm
[00:44:38.160 --> 00:44:42.240]   Antonio gracias people tell me I have a voice for radio and pornography yeah yeah
[00:44:42.240 --> 00:44:49.620]   it works pretty well go hey guys I'm Samantha favorite bestie is Friedberg
[00:44:49.620 --> 00:44:55.320]   um I run the factory automation team for a large semiconductor manufacturer in the United States
[00:44:55.320 --> 00:45:02.820]   um really unimpressed with the innovation in industrial automation and so I'm really
[00:45:02.820 --> 00:45:07.200]   interested to hear your thoughts on where you see the next disruptions in automation
[00:45:08.040 --> 00:45:13.680]   um also maybe a question for Antonio where do you see uh the disruptor specifically in how we
[00:45:13.680 --> 00:45:18.600]   get not only the technology but the economies of scale uh for these really capital intensive
[00:45:18.600 --> 00:45:23.400]   businesses in the U.S this is your guy cancer yeah for sure and by the way you should talk about
[00:45:23.400 --> 00:45:28.200]   uh automation at I don't know if you want to but sure yeah yeah I mean we we know a lot of automation
[00:45:28.200 --> 00:45:31.740]   one of my partners is like a genius engineer in this area and you're particularly in the chip
[00:45:31.740 --> 00:45:37.920]   business you said right yeah so you know TSMC basically took the this idea of outsourcing manufacturing assets that Intel
[00:45:37.920 --> 00:45:41.880]   did with TSMC the beginning that created that business and moved most of our high technology
[00:45:41.880 --> 00:45:48.420]   and chips often offshore into Taiwan this is like a terrible idea and we I think as I said earlier in
[00:45:48.420 --> 00:45:52.260]   industrial policies country I think we need industrial policy to bring cheap manufacturing
[00:45:52.260 --> 00:45:57.840]   back it's very important and the problem you have in automation chip manufacturer particular is you
[00:45:57.840 --> 00:46:00.240]   know when you think about where all the great Engineers go today they're good automation
[00:46:00.240 --> 00:46:04.980]   they're not going there because they're competing TSMC so you have a you have a couple of info fabs
[00:46:04.980 --> 00:46:07.800]   still in the U.S but we have to have some Paul I think actually it's going to require
[00:46:07.800 --> 00:46:13.380]   industrial policy to force people like Intel AMD to want to bring stuff back into the U.S and to
[00:46:13.380 --> 00:46:17.940]   really get great talent to want to do it do you think there's opportunities outside of Greenfield
[00:46:17.940 --> 00:46:23.460]   models to kind of reinvigorate and unlock the capacity that we have in some of our older
[00:46:23.460 --> 00:46:28.560]   manufacturing here in the U.S yes I do I I look I the we at Tesla took over the free this Fremont
[00:46:28.560 --> 00:46:34.140]   factory was a former GM Toyota factory and you know we retooled it it was look we would have
[00:46:34.140 --> 00:46:37.680]   been we had to do it because we had any money and it was free basically um
[00:46:37.680 --> 00:46:42.840]   but if you if you took that approach and you got the you you got really great entrepreneurs to focus
[00:46:42.840 --> 00:46:46.200]   on this problem through an industrial policy they need money to do it I think you'd get great
[00:46:46.200 --> 00:46:50.340]   innovation look Nvidia is actually here in the U.S this is a rally this is a great chip company
[00:46:50.340 --> 00:46:56.640]   uh and the fabs they use are spread all over the world but if you gave Nvidia fab or two who knows
[00:46:56.640 --> 00:47:03.360]   what happens it was the right price yeah Jensen's a great CEO did you go to that site favorite bestie
[00:47:03.360 --> 00:47:07.560]   Jason you keep uh the ship together you're the glue that keeps it together
