
[00:00:00.000 --> 00:00:01.380]   Um, all right.
[00:12:24.340 --> 00:12:25.020]   The business book.
[00:12:25.020 --> 00:12:25.300]   Yeah.
[00:12:25.300 --> 00:12:26.780]   But like no one can consistently.
[00:12:26.780 --> 00:12:27.580]   Celebrities don't count.
[00:12:27.580 --> 00:12:27.980]   Yeah.
[00:12:27.980 --> 00:12:29.060]   Uh, that's right.
[00:12:29.060 --> 00:12:30.820]   But celebrities don't consistently write books.
[00:12:30.820 --> 00:12:32.700]   So like it's very, in fiction, you can do it.
[00:12:32.700 --> 00:12:34.060]   You can be Grisham in the nineties.
[00:12:34.060 --> 00:12:34.740]   Grisham in the nineties.
[00:12:34.740 --> 00:12:36.980]   And you're going to move a lot, but he wasn't.
[00:12:36.980 --> 00:12:38.860]   Yeah, I guess he was moving seven figures
[00:12:38.860 --> 00:12:39.740]   pretty consistently.
[00:12:39.740 --> 00:12:42.260]   Uh, units.
[00:12:42.260 --> 00:12:42.980]   Units.
[00:12:42.980 --> 00:12:43.620]   Units.
[00:12:43.620 --> 00:12:44.100]   Units.
[00:12:44.100 --> 00:12:44.740]   SKUs.
[00:12:44.740 --> 00:12:44.980]   SKUs.
[00:12:44.980 --> 00:12:46.260]   SKUs of SKUs.
[00:12:46.260 --> 00:12:48.060]   SKUs of Southern lawyers.
[00:12:48.060 --> 00:12:48.260]   Yeah.
[00:12:48.260 --> 00:12:49.260]   So you can go crazy.
[00:12:49.260 --> 00:12:50.500]   You can go crazy chasing that.
[00:12:50.500 --> 00:12:50.740]   Like.
[00:12:50.740 --> 00:12:53.300]   But it's out of your control, right?
[00:12:53.300 --> 00:12:55.340]   I don't think Stephen King's like thinks like that.
[00:12:55.340 --> 00:12:55.940]   Yeah.
[00:12:55.940 --> 00:12:57.420]   And I'm sure his books are up and down.
[00:12:57.420 --> 00:12:58.900]   I mean, they also a lot of copies, but.
[00:12:58.900 --> 00:12:59.100]   Yeah.
[00:12:59.100 --> 00:13:00.700]   I think some kill it and some.
[00:13:00.700 --> 00:13:01.300]   Sedaris.
[00:13:01.300 --> 00:13:01.860]   Sedaris.
[00:13:01.860 --> 00:13:02.740]   Sedaris probably the same way.
[00:13:02.740 --> 00:13:04.660]   No, I think Sedaris just gets out there,
[00:13:04.660 --> 00:13:06.700]   tell some crazy stories about his family
[00:13:06.700 --> 00:13:08.780]   and then goes on tour and, you know, charges
[00:13:08.780 --> 00:13:10.900]   like 50 bucks a ticket to go see him.
[00:13:10.900 --> 00:13:11.300]   And.
[00:13:11.300 --> 00:13:12.740]   Well, that's why he doesn't care about like.
[00:13:12.740 --> 00:13:14.780]   The books have to do well and they do well.
[00:13:14.780 --> 00:13:15.060]   Yeah.
[00:13:15.060 --> 00:13:16.820]   But like he loves touring and he makes a lot of money.
[00:13:16.820 --> 00:13:16.900]   Yeah.
[00:13:16.900 --> 00:13:17.900]   And what does he have to spend his money on,
[00:13:17.900 --> 00:13:19.620]   but like a new stick to pick up garbage
[00:13:19.620 --> 00:13:20.260]   with in England?
[00:13:20.260 --> 00:13:20.860]   Like it's.
[00:13:20.860 --> 00:13:22.180]   I mean, don't they have, doesn't him and Hugh
[00:13:22.180 --> 00:13:22.620]   have like a.
[00:13:22.620 --> 00:13:23.140]   They have many.
[00:13:23.140 --> 00:13:25.980]   French countryside house and an English house.
[00:13:25.980 --> 00:13:28.020]   We could geek out on Sedaris all day here.
[00:13:28.020 --> 00:13:28.420]   Yeah.
[00:13:28.420 --> 00:13:29.940]   Well, I've been trying to get them on the show.
[00:13:29.940 --> 00:13:31.380]   I can't imagine what, no I'm joking.
[00:13:31.380 --> 00:13:33.340]   It's like, huh.
[00:13:33.340 --> 00:13:35.660]   Productivity, digital culture.
[00:13:35.660 --> 00:13:36.700]   This is right in my wheelhouse.
[00:13:36.700 --> 00:13:39.380]   I'm sure he, he does write about how he works.
[00:13:39.380 --> 00:13:42.140]   And, uh, he has a very specific way about it.
[00:13:42.140 --> 00:13:42.500]   Yeah.
[00:13:42.500 --> 00:13:42.900]   Yeah.
[00:13:42.900 --> 00:13:43.300]   Be great.
[00:13:43.300 --> 00:13:43.660]   Yeah.
[00:13:43.660 --> 00:13:44.380]   But you wouldn't get him.
[00:13:44.380 --> 00:13:44.900]   All right.
[00:13:44.900 --> 00:13:45.460]   So that's good advice.
[00:13:45.460 --> 00:13:48.580]   So, um, the summarize then I always paraphrase.
[00:13:48.580 --> 00:13:50.740]   So you're, so you're saying, uh, the book
[00:13:50.740 --> 00:13:52.340]   writing, it's hard, financially hard, but you
[00:13:52.340 --> 00:13:54.580]   can make a living at it.
[00:13:54.580 --> 00:13:55.780]   It has its pluses and minuses.
[00:13:55.780 --> 00:13:57.220]   If you want to get into it, right,
[00:13:57.220 --> 00:13:59.060]   journalistically, right.
[00:13:59.060 --> 00:14:03.700]   Articles anywhere you can develop a niche.
[00:14:03.700 --> 00:14:06.340]   Then that's super tight.
[00:14:06.340 --> 00:14:08.700]   But I will say the other thing, there's
[00:14:08.700 --> 00:14:09.820]   the other path to it too.
[00:14:09.820 --> 00:14:10.180]   Yes.
[00:14:10.180 --> 00:14:12.300]   Go live your life, go have another career
[00:14:12.300 --> 00:14:15.540]   and then write on the side, right.
[00:14:15.540 --> 00:14:17.820]   For, you know, a magazine for a hobby you
[00:14:17.820 --> 00:14:20.020]   have or a blog or something like that.
[00:14:20.020 --> 00:14:22.860]   And then later on, when you feel like you
[00:14:22.860 --> 00:14:25.180]   have an experience or something to tell,
[00:14:25.580 --> 00:14:27.100]   you're going to have that lived experience.
[00:14:27.100 --> 00:14:28.060]   That's that is it.
[00:14:28.060 --> 00:14:30.540]   So it's not just writers who get to do that.
[00:14:30.540 --> 00:14:31.340]   Yeah, that's true.
[00:14:31.340 --> 00:14:31.580]   Yeah.
[00:14:31.580 --> 00:14:31.820]   Lives.
[00:14:31.820 --> 00:14:33.820]   And if you want to write pragmatic nonfiction,
[00:14:33.820 --> 00:14:35.580]   then do something that's useful and then you
[00:14:35.580 --> 00:14:36.220]   can write about it.
[00:14:36.220 --> 00:14:37.260]   That's easier.
[00:14:37.260 --> 00:14:37.700]   Yeah.
[00:14:37.700 --> 00:14:39.660]   If I want to give advice on something, uh,
[00:14:39.660 --> 00:14:40.300]   go do that thing.
[00:14:40.300 --> 00:14:43.060]   Well, it's like a much easier formula than if
[00:14:43.060 --> 00:14:44.460]   you want to report on Jewish delis, like,
[00:14:44.460 --> 00:14:45.660]   what can this person write?
[00:14:45.660 --> 00:14:46.740]   And does, you know, as it makes sense,
[00:14:46.740 --> 00:14:47.340]   he'll be right on that.
[00:14:47.340 --> 00:14:48.060]   Right.
[00:14:48.060 --> 00:14:49.220]   Yeah, yeah, exactly.
[00:14:49.220 --> 00:14:50.140]   All right.
[00:14:50.140 --> 00:14:51.660]   Well, David, this is a, this has been great.
[00:14:51.660 --> 00:14:52.300]   This has been useful.
[00:14:52.300 --> 00:14:53.980]   Thanks for stopping by the studio and help me
[00:14:53.980 --> 00:14:55.260]   tackle some of these questions.
[00:14:55.260 --> 00:14:57.180]   And, um, I think we have to go find a deli.
[00:14:57.180 --> 00:14:58.020]   I think we do.
[00:14:58.020 --> 00:14:58.980]   It's a pleasure.
[00:14:58.980 --> 00:14:59.700]   Great to be here.
[00:14:59.700 --> 00:15:00.180]   I'm freezing.
[00:15:00.180 --> 00:15:01.980]   Turn the heat up.
[00:15:02.620 --> 00:15:08.340]   [music]

