
[00:00:00.000 --> 00:00:10.640]   All right. Thank you. Thank you everyone for joining us. So we're picking up with prompting
[00:22:57.220 --> 00:23:03.220]   And so one thing that we've done, for example, is given the model just a clear rubric and then ask each other
[00:23:03.220 --> 00:23:05.220]   to evaluate the output of the agent.
[00:23:05.220 --> 00:23:11.220]   For example, for search tasks, we might give it a rubric that says, check that the model looked at the right sources,
[00:23:11.220 --> 00:23:13.220]   check that it got the correct answer.
[00:23:13.220 --> 00:23:22.220]   In this case, we might say, check that the model guessed that the amount of bananas that can fit in a ribbon R1S is between like 10,000 and 50,000.
[00:23:22.220 --> 00:23:25.220]   Anything else at that range is not realistic.
[00:23:25.220 --> 00:23:30.220]   So you can use things like that to sort of benchmark whether the model is getting the right answers,
[00:23:30.220 --> 00:23:32.220]   whether it's following the right process.
[00:23:32.220 --> 00:23:36.220]   At the end of the day, though, nothing is a perfect replacement for human evals.
[00:23:36.220 --> 00:23:38.220]   You need to test the system manually.
[00:23:38.220 --> 00:23:39.220]   You need to see what it's doing.
[00:23:39.220 --> 00:23:42.220]   You need to sort of look at the transcripts, look at what the model is doing,
[00:23:42.220 --> 00:23:46.220]   and sort of understand your system if you want to make progress on it.
[00:23:46.220 --> 00:23:50.220]   Here are some examples of evals for agents.
[00:23:50.220 --> 00:23:53.220]   So one example that I sort of talked about is answer accuracy.
[00:23:53.220 --> 00:23:57.220]   And this is where you just use an LLM as judge to judge whether the answer is accurate.
[00:23:57.220 --> 00:24:04.220]   So for example, in this case, you might say the agent needs to use a tool to query the number of employees and then report the answer.
[00:24:04.220 --> 00:24:08.220]   And then you know the number of employees at your company, so you can just check that with an LLM as judge.
[00:24:08.220 --> 00:24:12.220]   The reason you use an LLM as judge here is because it's more robust to variations.
[00:24:12.220 --> 00:24:18.220]   For example, if you're just checking for the integer 47 in this case in the output, that is not very robust.
[00:24:18.220 --> 00:24:22.220]   And if the model says 47 as text, you'll grade it incorrectly.
[00:24:22.220 --> 00:24:26.220]   So you want to use an LLM as judge there to be robust to those minor variations.
[00:24:26.220 --> 00:24:29.220]   Another way you can eval agents is tool use accuracy.
[00:24:29.220 --> 00:24:31.220]   Agents involve using tools in a loop.
[00:24:31.220 --> 00:24:35.220]   And so if you know in advance what tools the model should use or how it should use them,
[00:24:35.220 --> 00:24:39.220]   you can just evaluate if it used the correct tools in the process.
[00:24:39.220 --> 00:24:46.220]   For example, in this case, I might evaluate the agent should use web search at least five times to answer this question.
[00:24:46.220 --> 00:24:52.220]   And so I could just check in the transcript programmatically, did the tool call for web search appear five times or not?
[00:24:52.220 --> 00:24:59.220]   Similarly, you might check in this case, in response to the question book a flight, the agent should use the search flights tool.
[00:24:59.220 --> 00:25:01.220]   And you can just check that programmatically.
[00:25:01.220 --> 00:25:04.220]   And this allows you to make sure that the right tools are being used at the right times.
[00:25:04.220 --> 00:25:09.220]   Finally, a really good eval for agents is TauBench.
[00:25:09.220 --> 00:25:10.220]   You can sort of look this up.
[00:25:10.220 --> 00:25:17.220]   TauBench is a sort of open source benchmark that shows that you can evaluate whether agents reach the correct final state.
[00:25:17.220 --> 00:25:27.220]   So a lot of agents are sort of modifying a database or interacting with a user in a way where you can say the model should always get to this state at the end of the process.
[00:25:27.220 --> 00:25:40.220]   For example, if your agent is a customer service agent for airlines and the user asks to change their flight, at the end of the agentic process in response to that prompt, it should have changed the flight in the database.
[00:25:40.220 --> 00:25:43.220]   And so you can just check at the end of the agentic process.
[00:25:43.220 --> 00:25:44.220]   Was the flight changed?
[00:25:44.220 --> 00:25:47.220]   Was this row in the database changed to a different date?
[00:25:47.220 --> 00:25:50.220]   And that can verify that the agent is working correctly.
[00:25:50.220 --> 00:25:53.220]   This is really robust and you can use it a lot in a lot of different use cases.
[00:25:53.220 --> 00:25:57.220]   For example, you can check that your database is updated correctly.
[00:25:57.220 --> 00:26:03.220]   You can check that certain files were modified, things like that, as a way to evaluate the final state that the agent reaches.
[00:26:03.220 --> 00:26:06.220]   And that's it from us.
[00:26:06.220 --> 00:26:08.220]   We're happy to take your questions.
[00:26:08.220 --> 00:26:19.220]   Can you talk about building prompts for agents?
[00:26:19.220 --> 00:26:22.220]   Are you giving it kind of longer prompts first and then iterating?
[00:26:22.220 --> 00:26:24.220]   Or are you starting kind of chunk by chunk?
[00:26:24.220 --> 00:26:25.220]   What's that look like?
[00:26:25.220 --> 00:26:29.220]   And can you show sort of a little bit more on that thought process?
[00:26:29.220 --> 00:26:31.220]   That's a great question.
[00:26:31.220 --> 00:26:33.220]   Can I switch back to my screen, actually?
[00:26:33.220 --> 00:26:35.220]   I just want to sort of show the demo.
[00:26:35.220 --> 00:26:36.220]   Thank you.
[00:26:36.220 --> 00:26:40.220]   Yeah, so you can see this is sort of a final prompt that we've arrived at.
[00:26:40.220 --> 00:26:41.220]   But this is not where we started.
[00:26:41.220 --> 00:26:45.220]   I think the answer to your question is that you start with a short, simple prompt.
[00:26:45.220 --> 00:26:47.220]   So in this case, I might start with something very short.
[00:26:47.220 --> 00:26:49.220]   You know, I'll just delete this for now.
[00:26:49.220 --> 00:26:52.220]   And I'll say, like, search the web to answer the question.
[00:26:52.220 --> 00:26:58.220]   And I might just say, search the web agentically.
[00:26:58.220 --> 00:27:01.220]   I'll change this to a different question.
[00:27:01.220 --> 00:27:03.220]   How good are the clod4 models?
[00:27:03.220 --> 00:27:05.220]   And then we'll just run that.
[00:27:05.220 --> 00:27:09.220]   And so you'll want to start with something very simple and just see how it works.
[00:27:09.220 --> 00:27:12.220]   You'll often find that clod can do the task well out of the box.
[00:27:12.220 --> 00:27:16.220]   But if you have more needs and you need it to operate really consistently in production,
[00:27:16.220 --> 00:27:21.220]   you'll notice edge cases or small flaws as you test with more use cases.
[00:27:21.220 --> 00:27:23.220]   And so you'll sort of add those into the prompt.
[00:27:23.220 --> 00:27:28.220]   So I would say building an agent prompt, what it looks like concretely is start simple.
[00:27:28.220 --> 00:27:29.220]   Test it out.
[00:27:29.220 --> 00:27:30.220]   See what happens.
[00:27:30.220 --> 00:27:31.220]   Iterate from there.
[00:27:31.220 --> 00:27:35.220]   Start collecting test cases where the model fails or succeeds.
[00:27:35.220 --> 00:27:38.220]   And then over time, try to increase the number of test cases that pass.
[00:27:38.220 --> 00:27:43.220]   And the way to do this is by sort of adding instructions, adding examples to the prompt.
[00:27:43.220 --> 00:27:46.220]   But you really only do that when you find out what the edge cases are.
[00:27:46.220 --> 00:27:50.220]   And you can see that it thinks that the models are indeed good.
[00:27:50.220 --> 00:27:51.220]   So that's great.
[00:27:51.220 --> 00:27:58.220]   When I do like normal prompting and it's not agentic, I'll often give like a few shot example
[00:27:58.220 --> 00:28:00.220]   of like, hey, here's like input, here's output.
[00:28:00.220 --> 00:28:03.220]   This works really well for like classification tasks and that, right?
[00:28:03.220 --> 00:28:06.220]   Is there a parallel here in this like agentic world?
[00:28:06.220 --> 00:28:07.220]   Totally.
[00:28:07.220 --> 00:28:10.220]   Are you finding that that's ever helpful or should I not think about it that way?
[00:28:10.220 --> 00:28:11.220]   That is a great question.
[00:28:11.220 --> 00:28:12.220]   Yeah.
[00:28:12.220 --> 00:28:17.220]   So should you include few shot examples in your prompt and sort of traditional prompting techniques
[00:28:17.220 --> 00:28:22.220]   involve like saying the model should use a chain of thought and then giving a few shot examples
[00:28:22.220 --> 00:28:24.220]   like a bunch of examples to imitate?
[00:28:24.220 --> 00:28:29.220]   We find that these techniques are not as effective for state-of-the-art frontier models and for
[00:28:29.220 --> 00:28:30.220]   agents.
[00:28:30.220 --> 00:28:34.220]   The main reason for this is that if you give the model a bunch of examples of exactly what
[00:28:34.220 --> 00:28:37.220]   process it should follow, that just limits the model too much.
[00:28:37.220 --> 00:28:39.220]   These models are smarter than you can predict.
[00:28:39.220 --> 00:28:42.220]   And so you don't want to tell them exactly what they need to do.
[00:28:42.220 --> 00:28:45.220]   Similarly, chain of thought has just been trained into the models at this point.
[00:28:45.220 --> 00:28:47.220]   The models know to think in advance.
[00:28:47.220 --> 00:28:50.220]   They don't need to be told like use chain of thought.
[00:28:50.220 --> 00:28:54.220]   But what we can do here is one, you can tell the model how to use its thinking.
[00:28:54.220 --> 00:28:58.220]   So you know I talked about earlier, rather than telling the model you need to use a chain
[00:28:58.220 --> 00:28:59.220]   of thought, it already knows that.
[00:28:59.220 --> 00:29:04.220]   You can just say use your thinking process to plan out your search or to plan out what you're
[00:29:04.220 --> 00:29:06.220]   going to do in terms of coding.
[00:29:06.220 --> 00:29:10.220]   Or you can tell it to remember specific things in its thinking process.
[00:29:10.220 --> 00:29:12.220]   And that sort of helps the agent stay on track.
[00:29:12.220 --> 00:29:17.220]   As far as examples go, you'll want to give the model examples but not too prescriptive.
[00:29:17.220 --> 00:29:21.220]   I think we are out of time, but you can come up to me personally and I'll talk to y'all after.
[00:29:21.220 --> 00:29:22.220]   Thank you.
[00:29:22.220 --> 00:29:23.220]   Thank you.
[00:29:23.220 --> 00:29:24.220]   Thanks for coming.
[00:29:24.220 --> 00:29:25.220]   Thank you.
[00:29:25.220 --> 00:29:27.220]   Thank you.

