
[00:00:00.040 --> 00:00:10.460]   happen
[00:38:59.560 --> 00:38:59.560]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:38:59.560 --> 00:38:59.560]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:38:59.560 --> 00:38:59.560]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:38:59.580 --> 00:39:07.600]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:07.600 --> 00:39:09.600]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:09.600 --> 00:39:11.600]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:11.600 --> 00:39:13.600]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:13.600 --> 00:39:15.600]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:15.600 --> 00:39:17.600]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:17.600 --> 00:39:19.600]   But not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:19.660 --> 00:39:41.640]  , but not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:41.640 --> 00:39:43.640]   , but not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:43.640 --> 00:39:45.640]   , but not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:45.640 --> 00:39:47.640]   , but not necessarily that there were no jobs, but that the jobs were in a place that was different than many of the workers.
[00:39:47.640 --> 00:39:49.640]   , but not necessarily that there were no jobs, but that the jobs were in a place that were in a place that was different than many of the workers.
[00:39:49.640 --> 00:39:49.640]   ., but not necessarily that the jobs were in a place that were in a place that were in a place that were in a place that workers.
[00:39:49.680 --> 00:39:59.780]   levar
[00:39:59.780 --> 00:40:00.580]   married,--,
[00:40:00.580 --> 00:40:18.500]   mean like det scheduleiling donutancer
[00:40:18.520 --> 00:40:38.060]   I was coming in as a small-time business consultant.
[00:40:38.060 --> 00:40:42.060]   My employer thought I was coming in as a front desk worker.
[00:40:42.060 --> 00:40:46.060]   I don't know how we got such bad communication.
[00:40:46.060 --> 00:40:47.360]   It should have been obvious.
[00:40:47.360 --> 00:40:47.360]   It was pretty obvious within a couple of weeks that it wasn't a great fit.
[00:40:47.360 --> 00:40:47.360]   A few weeks into it, all of a sudden we realized this isn't working and both of us mutually agreed to call it off.
[00:40:47.360 --> 00:40:47.360]   As I left that job, I needed to get out of the office.
[00:40:47.360 --> 00:40:47.360]   I needed to get out of the office.
[00:40:47.360 --> 00:40:47.360]   I needed to get out of the office.
[00:40:47.360 --> 00:40:47.500]   I needed to get out of the office.
[00:40:47.500 --> 00:40:47.600]   I needed to get out of the office.
[00:40:47.600 --> 00:40:47.700]   I needed to get out of the office.
[00:40:47.700 --> 00:40:47.760]   I needed to get out of the office.
[00:40:47.760 --> 00:40:47.840]   I needed to get out of the office.
[00:40:47.840 --> 00:40:47.900]   I needed to get out of the office.
[00:40:47.900 --> 00:40:47.940]   I needed to get out of the office.
[00:40:48.920 --> 00:41:17.400]   I needed to get out of the office.
[00:41:17.400 --> 00:41:17.440]   I needed to get out of the office.
[00:41:17.440 --> 00:41:17.460]   I needed to get out of the office.
[00:41:17.460 --> 00:41:17.480]   I needed to get out of the office.
[00:41:17.480 --> 00:41:17.500]   I needed to get out of the office.
[00:41:17.500 --> 00:41:17.540]   I needed to get out of the office.
[00:41:17.540 --> 00:41:17.560]   I needed to get out of the office.
[00:41:17.560 --> 00:41:17.580]   I needed to get out of the office.
[00:41:17.580 --> 00:41:17.600]   I needed to get out of the office.
[00:41:17.600 --> 00:41:17.620]   I needed to get out of the office.
[00:41:17.620 --> 00:41:17.640]   to get out of the office.
[00:41:17.660 --> 00:41:20.440]   to just do a good job.
[00:41:20.440 --> 00:41:21.960]   Because those times,
[00:41:21.960 --> 00:41:23.300]   I really needed those jobs.
[00:41:23.300 --> 00:41:25.700]   That wasn't $200,000 a year
[00:41:25.700 --> 00:41:26.800]   fancy professional jobs.
[00:41:26.800 --> 00:41:27.320]   That's different.
[00:41:27.320 --> 00:41:29.500]   But still, when you need a job,
[00:41:29.500 --> 00:41:30.180]   you need a job,
[00:41:30.180 --> 00:41:31.260]   and it makes a big difference.
[00:41:31.260 --> 00:41:33.660]   In my mind,
[00:41:33.660 --> 00:41:35.120]   one of the biggest things
[00:41:35.120 --> 00:41:35.840]   that can be helpful
[00:41:35.840 --> 00:41:36.940]   as you make plans
[00:41:36.940 --> 00:41:38.080]   of what you would do
[00:41:38.080 --> 00:41:39.400]   in case you get laid off
[00:41:39.400 --> 00:41:42.000]   is to see yourself now
[00:41:42.000 --> 00:41:43.920]   as a business owner.
[00:41:43.920 --> 00:41:46.480]   Because practically speaking,
[00:41:46.480 --> 00:41:47.240]   you are a business owner.
[00:41:47.240 --> 00:41:47.300]   You are a business owner.
[00:41:47.300 --> 00:41:47.360]   You are a business owner.
[00:41:47.360 --> 00:41:47.380]   You are a business owner.
[00:41:47.380 --> 00:41:47.400]   You are a business owner.
[00:41:47.400 --> 00:41:47.460]   You are a business owner.
[00:41:47.460 --> 00:41:47.640]   You are a business owner.
[00:41:47.640 --> 00:41:47.660]   You are a business owner.
[00:41:47.660 --> 00:41:47.660]   You are a business owner.
[00:41:47.660 --> 00:41:47.660]   I needed to get out of the office.
[00:41:47.700 --> 00:41:54.700]   learn
[00:41:54.700 --> 00:41:57.920]   I Z."ill, ., che,
[00:41:57.920 --> 00:42:11.860]   oTGNCC
[00:42:16.620 --> 00:42:23.960]   trabaj
[00:42:23.960 --> 00:42:27.520]   bad. in the, got Carib
[00:42:27.520 --> 00:42:44.380]   " " is in the decide glad있GC рассказ SUS L P S R S It's not cupboard
[00:42:44.680 --> 00:42:54.920]   elementos
[00:42:54.920 --> 00:42:55.840]   at, -,
[00:42:55.840 --> 00:43:13.620]   #imatändhin
[00:43:44.720 --> 00:43:44.720]   -, -,
[00:43:58.040 --> 00:44:14.740]   I'm going to read a little bit of what I've read.
[00:44:14.740 --> 00:44:14.760]   I'm going to read a little bit of what I've read.
[00:44:14.760 --> 00:44:14.760]   I'm going to read a little bit of what I've read.
[00:44:14.760 --> 00:44:14.760]   I'm going to read a little bit of what I've read.
[00:44:14.760 --> 00:44:14.760]   I'm going to read a little bit of what I've read.
[00:44:14.760 --> 00:44:14.760]   I'm going to read a little bit of what I've read.
[00:44:14.760 --> 00:44:14.760]   I'm going to read a little bit of what I've read.
[00:44:14.760 --> 00:44:14.760]   I'm going to read a little bit of what I've read.
[00:44:14.760 --> 00:44:14.760]   I'm going to read a little bit of what I've read.
[00:44:14.760 --> 00:44:14.760]   I'm going to read a little bit of what I've read.
[00:44:14.760 --> 00:44:44.780]   nivell.com/numbrary-script.com.
[00:44:44.780 --> 00:44:44.800]   I'm going to read a little bit of what I've read.
[00:44:44.800 --> 00:44:44.800]   I'm going to read a little bit of what I've read.
[00:44:44.800 --> 00:44:44.800]   I'm going to read a little bit of what I've read.
[00:44:44.800 --> 00:44:44.800]   I'm going to read a little bit of what I've read.
[00:44:44.800 --> 00:44:44.800]   I'm going to read a little bit of what I've read.
[00:44:44.800 --> 00:44:44.800]   I'm going to read a little bit of what I've read.
[00:44:44.800 --> 00:44:44.800]   I'm going to read a little bit of what I've read.
[00:44:44.800 --> 00:44:44.800]   I'm going to read a little bit of what I've read.
[00:44:44.800 --> 00:44:44.800]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read. I've read a little bit of what I've read.
[00:45:14.840 --> 00:45:14.840]   I'm going to read a little bit of what I've read. I've read a little bit of what I've read.
[00:45:14.880 --> 00:45:25.700]   can
[00:45:25.700 --> 00:45:43.200]   de. I have be
[00:46:40.680 --> 00:46:50.220]   .
[00:46:50.220 --> 00:47:10.100]   Ver And I now,,,,
[00:47:10.700 --> 00:47:21.080]   Меня
[00:47:21.080 --> 00:47:25.780]   get more just
[00:47:25.780 --> 00:47:39.320]   grid,,,,, social millet lifts Con M Just destined
[00:47:39.640 --> 00:48:08.540]  berger.com/satzrchile. I could start a website dedicated to high mileage cars. I could start the success channel for satellite radio. I could write an ebook called teach your child to be rich. I could be a sports announcer. That's just some of the 70 things. So the reason I do that, I hope it's not too personal. It is a little bit personal. Those are just my silly ideas is one of the things that I laugh at is I see every one of those themes reflected in Radical Personal Finance. The Metro PCS thing was at that time. Metro PCS was the
[00:48:08.580 --> 00:48:18.720]   "
[00:48:18.720 --> 00:48:19.720]   check,
[00:48:19.720 --> 00:48:24.180]   oblig concentrationस Attack L G G G G G G G Link
[00:48:24.180 --> 00:48:36.260]   dat I found an got. And, and, and, and, and, and, and, and, and, and, and, and, and, and, ent,, pers.는. She, much, Buffalo.ó. cerca. play. 5. --B. --The --C --G --L --G --G -- all -- detect the -- cima - -- down - bad --個 --피 -- Richtung -- despite -这个 remained -- are - estaban - like - but - Newman Э Two found -奶 like - Forgive stand - PB crack a - En Harry - moral I think of change of - bicycle en -- HT G's a Bert atmosphererowelu I'm in c Mill al
[00:48:36.300 --> 00:49:04.020]   the show. Working and starting and running study abroad programs. That's why I bring on so many people with international travel and extol the virtues of that. So that's personal to me. But if you have a similar list, then what it allows you to look at, and at that time, this was the list that I worked from, and I wound up becoming a financial advisor. Because I'd known a few people, the Allstate thing, for example, I had had a friend of mine who was an upper level Allstate rep, and I was like, that seems pretty cool. Now, ultimately, I
[00:49:04.060 --> 00:49:14.240]   make
[00:49:14.240 --> 00:49:33.620]   Skip I in,,,,,,,我覺得 phenomenal multit blessed got in the way of the way of the money. And, I'm not a speakers's, and I'm not, and, and I'm, and, and, and, And, And, D, Er, posing: CNB, achei behind money -O, benefit -N -´� -G
[00:49:34.080 --> 00:49:44.300]   cannot
[00:49:44.300 --> 00:49:44.420]   find,,,
[00:49:44.420 --> 00:50:04.060]   padre
[00:50:04.100 --> 00:50:14.360]   like
[00:50:14.360 --> 00:50:18.040]   belong only,,,, braid stealth
[00:50:18.040 --> 00:50:25.400]   this
[00:50:32.360 --> 00:50:39.560]   ench
[00:50:39.560 --> 00:50:59.100]   Kart #еру tough viv 머�
[00:50:59.100 --> 00:50:59.980]   I, I, I, people, le, con,良, lic,indung, make, hard, just, the,about,!!!!lest,G.Get,ann, Scripture.는,US,T,IN,ür,G,N,G,G,G.G,G,G.G,G.G,G.G,G. grieving and,G.-G.�, dough, que, gave your,漂, 12, Ash, Lil, least, two was, double, two just,ав, ache, inappropriate, 1974 theme,� the Mill mor amazing,grade, em,數, Ot,視, process по
[00:51:00.240 --> 00:51:28.120]   a lot easier to sit down and write your resume if you have a list of all of the skills that you think you have. Keep a list of companies you admire. If you hear of a job that sounds fun, write it down. If you have certain hobbies that you're interested in, write them down. Look for ways, if you hear of somebody making a little bit of money on them, look for ways. Overall, start thinking like an independent consultant. And here, as I'm just expanding the theme, the concept of an independent consultant, is to think about the
[00:51:28.160 --> 00:51:37.380]   conduct
[00:51:37.380 --> 00:51:39.660]   consume doesn for,,,,
[00:52:23.880 --> 00:52:35.220]  �
[00:52:35.220 --> 00:52:52.580]   sk work, ISO, next, get a lot of the. I don
[00:52:53.360 --> 00:53:00.780]   it's related to academia. Bu
[00:53:00.780 --> 00:53:02.820]   are things like credentia
[00:53:02.820 --> 00:53:04.960]   in the financial business
[00:53:04.960 --> 00:53:07.800]   get them because here's th
[00:53:07.800 --> 00:53:10.160]   like to, my name looks a l
[00:53:10.160 --> 00:53:14.460]   as far as all of the crede
[00:53:14.460 --> 00:53:17.480]   were applying for a job a
[00:53:17.480 --> 00:53:20.280]   just purely on the worst w
[00:53:20.280 --> 00:53:22.840]  '
[00:53:22.840 --> 00:53:22.840]   automatically my resumé gt.
[00:53:23.820 --> 00:53:52.480]   and the top of the chart or
[00:53:52.480 --> 00:53:52.580]   to the top of the stack. Now
[00:53:52.580 --> 00:53:52.680]   the cool thing is I don'
[00:53:52.680 --> 00:53:52.780]   ever plan to do that but all
[00:53:52.780 --> 00:53:52.840]   of those things help me to
[00:53:52.840 --> 00:53:52.880]   do a better job now for my
[00:53:52.920 --> 00:54:00.820]  ,
[00:54:00.820 --> 00:54:03.940]   made,
[00:54:03.940 --> 00:54:21.940]  go, feed, 취,,,,,, is a dedicated across a demand of the new over Banana충 이� Library � slaves say "I" " ear" ", ", ", ", is, ",,,,,,,,,,,,,,,,,,, how ale세� Breaking όemiarage str helpless chapel continent這樣子 pockets Vij # mentioned allップ violin BMI 2019 brightest realm don linked theobra like acre min brought random他們 deliberately contro thecomes the acquire the
[00:56:19.580 --> 00:56:29.640]   cloud
[00:56:29.640 --> 00:56:29.740]   me think it
[00:56:29.740 --> 00:56:33.560]   Er M I is the that but which bad braking passa, " Applause, ", ', ,,,,,,,,,, and I'm de solid but
[00:56:33.560 --> 00:56:37.160]  �
[00:56:37.160 --> 00:56:43.560]   B sermonbr
[00:59:34.700 --> 00:59:35.820]   B sermonbr
[01:00:03.740 --> 01:00:04.780]   B sermonbr
[01:00:32.700 --> 01:00:33.740]   B sermonbr
[01:00:33.820 --> 01:00:44.000]   the
[01:01:03.840 --> 01:01:21.820]   về, issued. find.
[01:01:33.100 --> 01:01:40.080]   taken
[01:01:40.080 --> 01:01:44.860]   in. I,
[01:01:44.860 --> 01:02:02.560]   Med these con het le acrylic likeиль esc dining tampocoequ meantbrush 80 謝謝則, I, ,I, ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., tr.,г. power U resolve 저는하면東 here's%. wont deutlich
[01:02:02.700 --> 01:02:12.600]  еч
[01:02:12.600 --> 01:02:12.980]   no the is
[01:02:12.980 --> 01:02:26.020]  ,,,,PDFD muy think but pay tailabout tenants is a 12 поэтому bellłą let remarkably let was, and, and, and, The, And, But, But, I, - Entertainment, - ale - param- especially - preceding - talk - ent- sound - step- work- very- ami- the- together- a- Something- let's- all- look- en- sorry- bad- the, verses-ends- 30:- knew- you are. kill- may- from- en, but, is.,
[01:03:58.260 --> 01:03:58.260]   it's okay I've got a job but it's just a job it's a JLB I'm ready to work hard but they don't treat me very well be careful but sometimes it actually is true or there's not a lot of opportunity for advancement or you know what I just don't really care that much okay fine it's your life but make sure you're putting in time on a backup business or side business don't spend all of your time working for one company unless you've got major incentive to really shine there
[01:03:58.260 --> 01:03:58.260]   Don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:03:58.260 --> 01:03:58.260]   Don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:03:58.260 --> 01:03:58.260]   Don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:03:58.260 --> 01:03:58.260]   Don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:03:58.300 --> 01:04:28.200]   rending your job finding flip through a career book from time to time keep things current I'm not saying I don't keep my resume up to date but it might be a good idea if you think you need to if you're sending it out to recruiters and just a simple thing like keeping your resume up to date is a really good idea.
[01:04:28.200 --> 01:04:28.240]   don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:04:28.240 --> 01:04:28.280]   don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:04:28.280 --> 01:04:58.300]  , don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:04:58.300 --> 01:04:58.300]   don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:04:58.300 --> 01:04:58.300]   don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:04:58.300 --> 01:04:58.300]   don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:04:58.300 --> 01:04:58.300]   don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:04:58.300 --> 01:04:58.300]   don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:04:58.320 --> 01:05:28.320]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:28.320 --> 01:05:28.320]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:28.320 --> 01:05:28.320]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:28.320 --> 01:05:28.320]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:28.320 --> 01:05:28.320]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:28.320 --> 01:05:28.320]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:28.320 --> 01:05:28.320]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:28.320 --> 01:05:28.320]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:28.320 --> 01:05:58.340]  ,
[01:05:58.340 --> 01:05:58.340]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:58.340 --> 01:05:58.340]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:58.340 --> 01:05:58.340]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:05:58.340 --> 01:05:58.340]   I don't spend all of time working for one company unless you've got major incentive to really shine there.
[01:05:58.360 --> 01:06:28.360]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:28.360 --> 01:06:28.360]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:28.360 --> 01:06:28.360]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:28.360 --> 01:06:28.360]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:28.360 --> 01:06:28.360]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:28.360 --> 01:06:28.360]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:28.360 --> 01:06:28.360]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:28.360 --> 01:06:28.360]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:28.400 --> 01:06:58.380]  ,
[01:06:58.380 --> 01:06:58.380]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:58.380 --> 01:06:58.380]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:58.380 --> 01:06:58.380]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:58.380 --> 01:06:58.380]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:58.380 --> 01:06:58.380]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:58.380 --> 01:06:58.380]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:06:58.400 --> 01:07:28.400]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:28.400 --> 01:07:28.400]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:28.400 --> 01:07:28.400]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:28.400 --> 01:07:28.400]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:28.400 --> 01:07:28.400]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:28.400 --> 01:07:28.400]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:28.400 --> 01:07:28.400]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:28.400 --> 01:07:28.400]   I don't spend all of time working for one company unless you've got major incentive to really shine there.
[01:07:28.420 --> 01:07:58.420]  , I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:58.420 --> 01:07:58.420]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:58.420 --> 01:07:58.420]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:58.420 --> 01:07:58.420]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:07:58.420 --> 01:07:58.420]   I don't spend all of time working for one company unless you've got major incentive to really shine there.
[01:07:58.420 --> 01:07:58.420]   I don't spend all of time working for one company unless you've got major incentive to really shine there.
[01:07:58.420 --> 01:08:28.440]  , I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:28.440 --> 01:08:28.440]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:28.440 --> 01:08:28.440]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:28.440 --> 01:08:28.440]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:28.440 --> 01:08:28.440]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:28.440 --> 01:08:28.440]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:28.480 --> 01:08:58.460]   ado.
[01:08:58.460 --> 01:08:58.460]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:58.460 --> 01:08:58.460]   I don't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:58.460 --> 01:08:58.460]   You can't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:58.460 --> 01:08:58.460]   You can't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:58.460 --> 01:08:58.460]   You can't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:58.460 --> 01:08:58.460]   You can't spend all of your time working for one company unless you've got major incentive to really shine there.
[01:08:58.460 --> 01:08:58.460]   You can't spend all of time working for one company unless you've got major incentive to really shine there.
[01:08:58.460 --> 01:08:58.460]   You can't spend all of time working for one company unless you've got major incentive to really shine there.
[01:08:58.480 --> 01:09:28.480]   You can't spend all of your time working for one company unless you've got major incentive to really shine there.

