
[00:00:00.000 --> 00:00:01.680]   All right, let's go.
[00:20:04.860 --> 00:20:06.620]   the different types of activation functions.
[00:20:06.620 --> 00:20:09.340]   So, those are stuff that we've learned.
[00:20:09.340 --> 00:20:10.580]   You can get a recap when you do
[00:20:10.580 --> 00:20:15.020]   your traditional deep learning topics.
[00:20:15.020 --> 00:20:16.580]   Then, of course, we talked about
[00:20:16.580 --> 00:20:17.780]   the different types of architectures
[00:20:17.780 --> 00:20:19.060]   which was covered earlier.
[00:20:19.060 --> 00:20:21.860]   Your encoder-only, your encoder-decoder,
[00:20:21.860 --> 00:20:23.340]   your decoder-only.
[00:20:23.340 --> 00:20:25.620]   And naturally, each of them
[00:20:25.620 --> 00:20:27.500]   will have their own associated way
[00:20:27.500 --> 00:20:29.660]   of doing attention masking.
[00:20:29.660 --> 00:20:31.220]   So, that's this part over here.
[00:20:31.220 --> 00:20:33.980]   We talked about the different types
[00:20:33.980 --> 00:20:35.020]   of pre-training objectives.
[00:20:35.020 --> 00:20:36.780]   Naturally, things like mass language modeling
[00:20:36.780 --> 00:20:41.620]   are things that we see in your encoder-only models.
[00:20:41.620 --> 00:20:43.340]   Language modeling are things that we see
[00:20:43.340 --> 00:20:45.300]   in your encoder-decoder models.
[00:20:45.300 --> 00:20:46.940]   So, mass language modeling,
[00:20:46.940 --> 00:20:48.740]   basically, in this diagram,
[00:20:48.740 --> 00:20:53.140]   is you give the model this token
[00:20:53.140 --> 00:20:54.860]   and these tokens over here,
[00:20:54.860 --> 00:20:56.940]   and the model is expected to predict
[00:20:56.940 --> 00:20:57.900]   these targets over here,
[00:20:57.900 --> 00:21:00.020]   the ones that have been highlighted.
[00:21:00.020 --> 00:21:01.500]   Whereas in full language modeling,
[00:21:01.500 --> 00:21:03.020]   so essentially, it's like a fill-in-the-blank
[00:21:03.020 --> 00:21:04.260]   kind of problem.
[00:21:04.260 --> 00:21:05.660]   Whereas for full language modeling,
[00:21:05.660 --> 00:21:07.220]   you give the first token,
[00:21:07.220 --> 00:21:09.020]   and then the model is expected to predict
[00:21:09.020 --> 00:21:10.700]   the second, third, fourth, fifth token,
[00:21:10.700 --> 00:21:11.580]   so on and so forth.
[00:21:11.580 --> 00:21:13.300]   So, that's that.
[00:21:13.300 --> 00:21:16.380]   There have been also research
[00:21:16.380 --> 00:21:18.660]   into this thing called prefix language modeling,
[00:21:18.660 --> 00:21:23.660]   where you feed the model one part of the sequence,
[00:21:23.660 --> 00:21:25.740]   and then you're asking the model
[00:21:25.740 --> 00:21:30.740]   to generate the remaining parts of the sequence.
[00:21:30.740 --> 00:21:33.940]   And what's useful over here
[00:21:33.940 --> 00:21:37.940]   is that when they do prefix language modeling,
[00:21:37.940 --> 00:21:42.500]   they use this thing called a causal mask with prefix,
[00:21:42.500 --> 00:21:46.940]   which means that for the input tokens,
[00:21:46.940 --> 00:21:49.180]   the model is able to see or attend
[00:21:49.180 --> 00:21:53.180]   to all the previous tokens in the input
[00:21:53.180 --> 00:21:54.620]   before it starts to generate output.
[00:21:54.620 --> 00:21:56.300]   And that's why when you see
[00:21:56.300 --> 00:21:57.740]   as the model generates the output,
[00:21:57.740 --> 00:22:01.820]   you still have that element of mask attention.
[00:22:01.820 --> 00:22:04.940]   So, essentially, that's this part over here.
[00:22:04.940 --> 00:22:08.780]   Things that are, I would say,
[00:22:08.780 --> 00:22:10.940]   if you look at the transformer paper,
[00:22:10.940 --> 00:22:12.860]   which is covered over there,
[00:22:12.860 --> 00:22:15.460]   will be things like layer normalization,
[00:22:15.460 --> 00:22:20.460]   where you divide the weights by the mean,
[00:22:20.460 --> 00:22:22.460]   sorry, you minus the mean from the weights
[00:22:22.460 --> 00:22:25.860]   and you divide it by the standard deviation of the weights.
[00:22:25.860 --> 00:22:26.780]   Essentially, what we're doing
[00:22:26.780 --> 00:22:30.300]   is that we're trying to achieve numerical stability
[00:22:30.300 --> 00:22:34.420]   of the weights so that when you do a forward pass
[00:22:34.420 --> 00:22:36.180]   and you do your back propagation,
[00:22:36.180 --> 00:22:39.140]   you don't have numbers that go all over the place.
[00:22:39.140 --> 00:22:41.180]   So that's layer normalization.
[00:22:41.180 --> 00:22:46.060]   Positional encoding was something we talked about earlier.
[00:22:46.060 --> 00:22:47.100]   In the original paper,
[00:22:47.100 --> 00:22:50.260]   they had this idea of sinusoidal position representations.
[00:22:50.260 --> 00:22:53.900]   So how to read this graph.
[00:22:53.900 --> 00:23:03.860]   Okay, so essentially how to read this graph
[00:23:03.860 --> 00:23:06.620]   is that as you go from left to right
[00:23:06.620 --> 00:23:10.700]   in the, as the index of the sequence increases,
[00:23:10.700 --> 00:23:12.380]   essentially you're applying some sort
[00:23:12.380 --> 00:23:14.660]   of sinusoidal function on top of it,
[00:23:14.660 --> 00:23:19.140]   such that every token in the sequence
[00:23:19.140 --> 00:23:21.300]   has a positional representation.
[00:23:21.300 --> 00:23:23.260]   It's augmented by a positional representation.
[00:23:23.260 --> 00:23:24.580]   So essentially from left to right,
[00:23:24.580 --> 00:23:27.140]   all these vectors actually look different.
[00:23:27.140 --> 00:23:32.700]   But what happens is that this way
[00:23:32.700 --> 00:23:37.580]   of encoding positional representations is not learnable
[00:23:37.580 --> 00:23:40.340]   because there is no such way to do,
[00:23:40.340 --> 00:23:42.060]   it's no such way to have a gradient
[00:23:42.060 --> 00:23:45.620]   and then to update the positions.
[00:23:45.620 --> 00:23:48.460]   So therefore, it has been changed to something as simple
[00:23:48.460 --> 00:23:51.100]   as just adding a positional representation
[00:23:51.100 --> 00:23:53.100]   on top of the embeddings.
[00:23:53.100 --> 00:23:54.740]   And of course, if you look at the paper,
[00:23:54.740 --> 00:23:56.260]   there are also newer ways to do it,
[00:23:56.260 --> 00:23:59.020]   things like alibi, things like rope.
[00:23:59.020 --> 00:24:02.180]   So that's the left-hand side.
[00:24:02.180 --> 00:24:04.460]   Now on the right-hand side over here,
[00:24:04.460 --> 00:24:06.940]   we are looking at newer ways
[00:24:06.940 --> 00:24:11.900]   or ways that can help with training or implementation.
[00:24:11.900 --> 00:24:16.180]   So things like the libraries that we're using,
[00:24:16.180 --> 00:24:18.340]   JAX, PyTorch, TensorFlow, amongst others,
[00:24:18.340 --> 00:24:22.340]   there's this idea of distributed training,
[00:24:22.340 --> 00:24:26.060]   which means that can we use multiple GPUs
[00:24:26.060 --> 00:24:28.660]   to train our models so that we are able
[00:24:28.660 --> 00:24:30.380]   to learn our weights faster?
[00:24:30.380 --> 00:24:34.540]   So amongst others, there's this idea of data parallelism
[00:24:34.540 --> 00:24:39.540]   where you duplicate your model in two GPUs.
[00:24:39.540 --> 00:24:40.900]   Let's say I've got two GPUs,
[00:24:40.900 --> 00:24:43.780]   I duplicate my model in both GPUs
[00:24:43.780 --> 00:24:46.180]   and then I run separate batches on top of them.
[00:24:46.180 --> 00:24:50.300]   So let's say I've got a batch of, I don't know, 100,000.
[00:24:50.300 --> 00:24:52.580]   I split it into 50,000, 50,000.
[00:24:52.580 --> 00:24:54.420]   I run the first batch of 50,000
[00:24:54.420 --> 00:24:57.980]   in the first model in the first GPU.
[00:24:57.980 --> 00:25:01.700]   Then the other 50,000 in the same model in the second GPU,
[00:25:01.700 --> 00:25:03.540]   calculate the gradients, average them,
[00:25:03.540 --> 00:25:05.260]   and then perform my backdoor.
[00:25:05.260 --> 00:25:07.860]   So that's what data parallelism is.
[00:25:07.860 --> 00:25:10.020]   Tensor parallelism, essentially the idea is
[00:25:10.020 --> 00:25:15.020]   that you calculate the matrix multiplication steps
[00:25:15.020 --> 00:25:20.700]   in multiple GPUs and then you add them up.
[00:25:20.700 --> 00:25:22.940]   So what happens is that, as you can see,
[00:25:22.940 --> 00:25:25.180]   we know that for each row,
[00:25:26.700 --> 00:25:30.620]   the multiplication with a column can be done concurrently
[00:25:30.620 --> 00:25:33.220]   and therefore it splits it up such that the first,
[00:25:33.220 --> 00:25:37.300]   that this, the matrix on the left
[00:25:37.300 --> 00:25:39.300]   multiplies with only one column.
[00:25:39.300 --> 00:25:41.260]   Matrix on the right multiplies on the second column
[00:25:41.260 --> 00:25:42.660]   and then you combine them together.
[00:25:42.660 --> 00:25:45.340]   Or in this case, you concatenate the results together.
[00:25:45.340 --> 00:25:49.980]   So that again also helps us with getting the results
[00:25:49.980 --> 00:25:52.900]   from the forward pass a lot better, okay?
[00:25:52.900 --> 00:25:53.740]   So that's that.
[00:25:55.620 --> 00:25:59.700]   Other kinds of tricks that we are using,
[00:25:59.700 --> 00:26:01.340]   things like flash attention,
[00:26:01.340 --> 00:26:06.140]   where it's a very smart way of utilizing memory.
[00:26:06.140 --> 00:26:10.300]   So what happens is that instead of calculating,
[00:26:10.300 --> 00:26:14.020]   instead of a series of steps that is very memory intensive
[00:26:14.020 --> 00:26:17.100]   when they load your query,
[00:26:17.100 --> 00:26:19.260]   your key query matrices to the calculation,
[00:26:19.260 --> 00:26:21.980]   perform the softmax and then get your results,
[00:26:21.980 --> 00:26:25.060]   they are doing some way of, they are iterating it
[00:26:25.060 --> 00:26:27.580]   and they are using very smart functions
[00:26:27.580 --> 00:26:31.580]   to calculate things like the softmax of the fly.
[00:26:31.580 --> 00:26:33.300]   So essentially that's what they're doing over here.
[00:26:33.300 --> 00:26:38.220]   So it's an optimization of using your high bandwidth RAM
[00:26:38.220 --> 00:26:41.380]   and also the RAM in your GPU, right?
[00:26:41.380 --> 00:26:45.540]   Because in your GPUs, you've got very fast computation
[00:26:45.540 --> 00:26:47.140]   but relatively lower memory.
[00:26:47.140 --> 00:26:51.100]   Just a little bit extra,
[00:26:51.100 --> 00:26:52.780]   this is one of those very common topics
[00:26:52.780 --> 00:26:56.300]   that they would like to start off
[00:26:56.300 --> 00:26:59.820]   as they go into things like your Mamba models.
[00:26:59.820 --> 00:27:04.980]   So that's just the first part.
[00:27:04.980 --> 00:27:08.340]   So the second part in terms of the background
[00:27:08.340 --> 00:27:13.340]   will be how do we adapt these models for specific tasks?
[00:27:13.340 --> 00:27:17.140]   So there are things like transfer learning,
[00:27:17.140 --> 00:27:18.380]   which we've seen before,
[00:27:18.380 --> 00:27:21.700]   where we pre-train our T5 base model
[00:27:21.700 --> 00:27:23.740]   and then we fine tune on individual tasks.
[00:27:23.740 --> 00:27:26.820]   There's also things like instruction fine tuning
[00:27:26.820 --> 00:27:29.860]   where the model is given a series
[00:27:29.860 --> 00:27:31.740]   of instructions and outputs
[00:27:31.740 --> 00:27:35.900]   and then the model will fine tune its outputs based on that.
[00:27:35.900 --> 00:27:38.780]   So examples of this can be things like,
[00:27:38.780 --> 00:27:42.500]   if let's say I ask GPT to explain the moon landing
[00:27:42.500 --> 00:27:44.540]   to a 6U in a few sentences.
[00:27:44.540 --> 00:27:48.340]   Generally, if the model is pre-trained,
[00:27:48.340 --> 00:27:53.180]   there is this way where GPT outputs the steps in this way.
[00:27:53.180 --> 00:27:55.380]   So explain the theory of gravity,
[00:27:55.380 --> 00:27:57.900]   explain the theory of relativity to a 6UO
[00:27:57.900 --> 00:27:59.980]   and then explain the Big Bang to a 6UO
[00:27:59.980 --> 00:28:02.980]   and then explain evolution to a 6UO.
[00:28:02.980 --> 00:28:05.780]   So that's how GPT-3 will output its sentences
[00:28:05.780 --> 00:28:08.540]   but if we're able to do some sort of instruction fine tuning
[00:28:08.540 --> 00:28:11.180]   where there is some sort of emphasis
[00:28:11.180 --> 00:28:13.660]   on things like 6UO in a few sentences,
[00:28:13.660 --> 00:28:17.740]   then this is the kind of outputs that you can get.
[00:28:17.740 --> 00:28:22.380]   And so that's the kind of variations of different models
[00:28:22.380 --> 00:28:25.940]   that we can see when we download them from open source,
[00:28:25.940 --> 00:28:29.700]   I say repositories, things like Hugging Face.
[00:28:29.700 --> 00:28:31.900]   So that's instruction fine tuning over here
[00:28:31.900 --> 00:28:35.420]   and something called alignment tuning
[00:28:35.420 --> 00:28:40.420]   where you want to ensure that your model fulfills
[00:28:40.420 --> 00:28:46.060]   what people call the three H's of model behavior.
[00:28:46.060 --> 00:28:47.940]   So your models will be harmless,
[00:28:47.940 --> 00:28:50.580]   your models will be honest and your models are helpful.
[00:28:50.580 --> 00:28:52.700]   So things like harmlessness will be things like,
[00:28:52.700 --> 00:28:56.380]   if let's say you ask the model,
[00:28:56.380 --> 00:29:00.980]   how can I let's say bake a cake with cyanide?
[00:29:00.980 --> 00:29:04.420]   If let's say your model is not alignment tuned,
[00:29:04.420 --> 00:29:07.420]   the model might give the instructions
[00:29:07.420 --> 00:29:09.620]   but let's say if you do alignment fine tuning
[00:29:09.620 --> 00:29:10.980]   to tell the model, hey, this is something
[00:29:10.980 --> 00:29:12.340]   that you should not output
[00:29:12.340 --> 00:29:15.660]   or you shouldn't give instructions for,
[00:29:15.660 --> 00:29:18.300]   then the model will learn accordingly from that.
[00:29:18.300 --> 00:29:21.180]   So these are some of the methods
[00:29:21.180 --> 00:29:24.020]   that we want to fine tune our models with
[00:29:24.020 --> 00:29:26.460]   such that our models are able to demonstrate
[00:29:26.460 --> 00:29:27.420]   a certain behavior.
[00:29:27.420 --> 00:29:31.180]   Then how are we doing it?
[00:29:31.180 --> 00:29:33.020]   We can use things, we can use skills
[00:29:33.020 --> 00:29:35.300]   like reinforcement learning to do it,
[00:29:35.300 --> 00:29:40.860]   where essentially for each of the different outputs,
[00:29:40.860 --> 00:29:42.740]   you have a certain kind of reward.
[00:29:42.740 --> 00:29:45.860]   In this case, the reward is just a scalar value
[00:29:45.860 --> 00:29:48.580]   and then you learn some sort,
[00:29:48.580 --> 00:29:53.180]   you learn some sort of policy
[00:29:53.180 --> 00:29:56.300]   such that when the model outputs text
[00:29:56.300 --> 00:30:00.500]   based on this policy, you get to maximize the reward.
[00:30:00.500 --> 00:30:02.340]   So the key thing over here
[00:30:02.340 --> 00:30:07.340]   is that the policy has to be differentiable
[00:30:07.340 --> 00:30:09.540]   so that when you get some results
[00:30:09.540 --> 00:30:14.540]   from the model outputs and you get some reward,
[00:30:14.540 --> 00:30:15.820]   sometimes your reward might not be good
[00:30:15.820 --> 00:30:17.420]   or you're comparing rewards,
[00:30:17.420 --> 00:30:19.380]   you're able to get the loss of the reward
[00:30:19.380 --> 00:30:22.620]   and back propagate it through the gradients
[00:30:22.620 --> 00:30:26.340]   to update the weights in the policy.
[00:30:26.340 --> 00:30:28.940]   So that's essentially what reinforcement learning is.
[00:30:28.940 --> 00:30:35.940]   So typically for, I think when reinforcement learning
[00:30:37.780 --> 00:30:41.540]   was a hot thing back then, it's one course by itself.
[00:30:41.540 --> 00:30:43.620]   So this is just a very high level,
[00:30:43.620 --> 00:30:47.820]   five, six, five minute overview of it.
[00:30:47.820 --> 00:30:50.380]   On top of it, I think one of the things
[00:30:50.380 --> 00:30:52.980]   you are more familiar with is things like prompting.
[00:30:52.980 --> 00:30:54.740]   So we've got zero-shot prompting
[00:30:54.740 --> 00:30:56.980]   where you just ask for tasks,
[00:30:56.980 --> 00:30:59.780]   you just give a task and the model answers directly,
[00:30:59.780 --> 00:31:03.380]   but also you have things like chain of thought prompting
[00:31:03.380 --> 00:31:07.900]   where you give the model some examples before
[00:31:07.900 --> 00:31:10.580]   and then from there, ask the model
[00:31:10.580 --> 00:31:14.140]   to mimic the behavior of the examples above.
[00:31:14.140 --> 00:31:15.700]   So that's essentially what you have over here.
[00:31:15.700 --> 00:31:18.100]   You've got in-context learning of,
[00:31:18.100 --> 00:31:21.420]   I would say translation on the right,
[00:31:21.420 --> 00:31:23.740]   and you've got in-context learning
[00:31:23.740 --> 00:31:26.980]   of correcting spelling mistakes on the left.
[00:31:26.980 --> 00:31:32.900]   So that is essentially this part over here
[00:31:32.900 --> 00:31:35.500]   and you've got to see that a few shots
[00:31:35.500 --> 00:31:37.940]   or things like five shots or three shots
[00:31:37.940 --> 00:31:39.860]   usually have better performance
[00:31:39.860 --> 00:31:42.860]   against your zero-shot or one-shots.
[00:31:42.860 --> 00:31:45.180]   So that's this part over here.
[00:31:45.180 --> 00:31:47.580]   And then the question of course is,
[00:31:47.580 --> 00:31:51.820]   how do you craft these prompts
[00:31:51.820 --> 00:31:54.180]   such that you'll be able to get the results that you want?
[00:31:54.180 --> 00:31:57.220]   So that's essentially the idea
[00:31:57.220 --> 00:32:00.060]   of what people like to call prompt engineering.
[00:32:01.540 --> 00:32:04.420]   So that's essentially the part
[00:32:04.420 --> 00:32:07.060]   on the backgrounds that we want to cover.
[00:32:07.060 --> 00:32:09.540]   The next part over here, I would say,
[00:32:09.540 --> 00:32:14.540]   is a very brief list of some of the models that we have.
[00:32:14.540 --> 00:32:18.980]   Now, keep in mind that a lot of these models,
[00:32:18.980 --> 00:32:22.380]   the list always is updated every two or three weeks.
[00:32:22.380 --> 00:32:25.140]   So good to understand.
[00:32:25.140 --> 00:32:27.900]   So naturally, I think when the paper
[00:32:27.900 --> 00:32:29.820]   is going to be updated in the future,
[00:32:29.820 --> 00:32:31.620]   you will see additional models.
[00:32:31.620 --> 00:32:34.900]   Some of the high-level, I would say,
[00:32:34.900 --> 00:32:38.860]   purposes that we see these models are trying to achieve
[00:32:38.860 --> 00:32:41.700]   can be things like your general purpose ones.
[00:32:41.700 --> 00:32:45.180]   So that's when you get a model to do all sorts of things.
[00:32:45.180 --> 00:32:49.780]   There's also, of course, your multi-modal ones,
[00:32:49.780 --> 00:32:53.460]   where you give the model some image
[00:32:53.460 --> 00:32:57.780]   and then you maybe ask the model to decipher some fact
[00:32:57.780 --> 00:33:00.220]   or draw some conclusion from the image.
[00:33:00.220 --> 00:33:03.300]   There's also, of course, your video-related ones.
[00:33:03.300 --> 00:33:06.180]   There are some that are very specific to code generation.
[00:33:06.180 --> 00:33:08.260]   So here are some of them.
[00:33:08.260 --> 00:33:11.580]   Some that are very specific in the finance domain.
[00:33:11.580 --> 00:33:14.700]   Some that are very specific in the science domain.
[00:33:14.700 --> 00:33:17.300]   And of course, there are some
[00:33:17.300 --> 00:33:19.540]   that are very useful for chatbots.
[00:33:19.540 --> 00:33:21.220]   This is the list over here.
[00:33:21.220 --> 00:33:25.540]   There's a much more detailed list in the paper itself.
[00:33:26.820 --> 00:33:29.940]   Having said that, of course, as mentioned,
[00:33:29.940 --> 00:33:33.820]   there are also additional papers that come out.
[00:33:33.820 --> 00:33:36.940]   And so there are also some, I would say,
[00:33:36.940 --> 00:33:41.300]   missing models that were not mentioned.
[00:33:41.300 --> 00:33:43.380]   So these are some of them that were not mentioned.
[00:33:43.380 --> 00:33:48.220]   So good to understand that this is always an evolving list.
[00:33:48.220 --> 00:33:54.660]   So what are some of the features
[00:33:54.660 --> 00:33:57.540]   that we see in these models?
[00:33:57.540 --> 00:33:59.980]   You've got things like your instruction tuning,
[00:33:59.980 --> 00:34:02.340]   which was talked about earlier.
[00:34:02.340 --> 00:34:05.700]   We notice that models are able to have
[00:34:05.700 --> 00:34:07.980]   increasingly high context windows.
[00:34:07.980 --> 00:34:10.940]   Now the context windows are in the six figures,
[00:34:10.940 --> 00:34:12.740]   sometimes even in the seven figures.
[00:34:12.740 --> 00:34:19.020]   There are also other ways in which LLMs can be used.
[00:34:19.020 --> 00:34:20.900]   I think a very popular one is REC.
[00:34:22.420 --> 00:34:24.180]   So there are, I would say,
[00:34:24.180 --> 00:34:25.740]   beyond just your general-purpose use,
[00:34:25.740 --> 00:34:28.540]   you can always fine-tune them for very specific purposes
[00:34:28.540 --> 00:34:31.060]   or purposes that are very specific
[00:34:31.060 --> 00:34:35.700]   to maybe your own corpus or your own knowledge base.
[00:34:35.700 --> 00:34:37.740]   So that's essentially what we're doing over here.
[00:34:37.740 --> 00:34:42.180]   Other topics for the reader to explore.
[00:34:42.180 --> 00:34:44.260]   So essentially, what we're doing over here
[00:34:44.260 --> 00:34:46.780]   is we're talking about ways...
[00:34:46.780 --> 00:34:49.020]   Actually, most of these topics over here,
[00:34:49.020 --> 00:34:50.060]   if you look at them,
[00:34:50.060 --> 00:34:52.980]   are about parameter-efficient fine-tuning.
[00:34:52.980 --> 00:34:55.580]   So things like quantization,
[00:34:55.580 --> 00:34:59.780]   where let's say instead of representing a number in 32-bit,
[00:34:59.780 --> 00:35:02.220]   I represent my number in 8-bit or 4-bit
[00:35:02.220 --> 00:35:06.180]   and see if I can still maintain the model accuracy.
[00:35:06.180 --> 00:35:08.300]   Generally, the model accuracy will go down.
[00:35:08.300 --> 00:35:09.140]   But the thing is,
[00:35:09.140 --> 00:35:12.100]   if you're able to get lighter models, smaller models,
[00:35:12.100 --> 00:35:14.060]   that's actually very useful.
[00:35:14.060 --> 00:35:16.300]   Multi-modal LLMs that we talked about earlier
[00:35:16.300 --> 00:35:20.820]   that take in things like images and video as inputs.
[00:35:20.820 --> 00:35:22.380]   Adapter tuning, essentially,
[00:35:22.380 --> 00:35:26.180]   is when you just add another layer on top of the output
[00:35:26.180 --> 00:35:28.140]   and then you perform fine-tuning on it.
[00:35:28.140 --> 00:35:32.820]   There are more sophisticated ways to use it
[00:35:32.820 --> 00:35:37.820]   where your adapter is used in two or more models.
[00:35:37.820 --> 00:35:41.140]   That means the same adapter is being used
[00:35:41.140 --> 00:35:42.940]   in, let's say, a general model
[00:35:42.940 --> 00:35:46.260]   and also, let's say, a GPT model.
[00:35:46.260 --> 00:35:50.820]   I've seen that in the talk
[00:35:50.820 --> 00:35:53.460]   about embedding representation learning.
[00:35:53.460 --> 00:35:56.500]   Mixture of experts,
[00:35:56.500 --> 00:35:57.500]   something that we've seen before,
[00:35:57.500 --> 00:36:01.140]   so where instead of just having
[00:36:01.140 --> 00:36:04.220]   one feed-forward layer over here,
[00:36:04.220 --> 00:36:05.580]   you're actually able to route them
[00:36:05.580 --> 00:36:08.260]   to different feed-forward layers.
[00:36:08.260 --> 00:36:09.780]   And then from there,
[00:36:09.780 --> 00:36:13.420]   you'll be able to, in a sense,
[00:36:13.420 --> 00:36:14.900]   then once you multiply them together,
[00:36:14.900 --> 00:36:18.340]   so you will be able to leverage on different,
[00:36:18.340 --> 00:36:22.420]   I would say, different vertical workflows of the model
[00:36:22.420 --> 00:36:24.460]   where each of the vertical workflows
[00:36:24.460 --> 00:36:27.460]   will learn different aspects.
[00:36:27.460 --> 00:36:30.180]   So that's essentially your MOE.
[00:36:30.180 --> 00:36:34.020]   Low-rank adaptation, or LORA,
[00:36:34.020 --> 00:36:36.500]   this looks very popular recently.
[00:36:36.500 --> 00:36:38.700]   Essentially, what we're trying to do
[00:36:38.700 --> 00:36:43.700]   is if you're able to reduce the number of parameters
[00:36:43.700 --> 00:36:46.300]   during your gradient updates,
[00:36:46.300 --> 00:36:48.140]   then you actually use less compute
[00:36:48.140 --> 00:36:51.420]   to get your fine-tuned models.
[00:36:51.420 --> 00:36:54.660]   And the idea behind it is that instead of,
[00:36:54.660 --> 00:36:55.780]   so let's say over here,
[00:36:55.780 --> 00:37:00.500]   instead of calculating gradients for 64 parameters
[00:37:00.500 --> 00:37:02.500]   for an eight-by-eight matrix,
[00:37:02.500 --> 00:37:05.140]   what you can do is that you can decompose this matrix
[00:37:05.140 --> 00:37:09.300]   into a eight-by-two and a two-by-eight matrix.
[00:37:09.300 --> 00:37:10.260]   The key thing over here
[00:37:10.260 --> 00:37:12.140]   is that when you multiply this by this,
[00:37:12.140 --> 00:37:15.060]   you get back the 64, you get back 64 weights,
[00:37:15.060 --> 00:37:17.340]   or the resultant is an eight-by-eight matrix,
[00:37:17.340 --> 00:37:18.780]   which is 64 weights.
[00:37:18.780 --> 00:37:20.980]   If you're able to decompose it
[00:37:20.980 --> 00:37:22.860]   with weights in a smaller dimension,
[00:37:22.860 --> 00:37:24.260]   essentially this idea is that,
[00:37:24.260 --> 00:37:25.820]   and of course, how small it is
[00:37:25.820 --> 00:37:28.300]   is a hyperparameter for you to tune,
[00:37:28.300 --> 00:37:32.820]   then the cost of fine-tuning will go down.
[00:37:32.820 --> 00:37:35.100]   So essentially that's what we're doing over here.
[00:37:35.100 --> 00:37:41.300]   Yeah, so that's pretty much it for this segment.
[00:37:41.300 --> 00:37:44.980]   The last, the next few segments,
[00:37:44.980 --> 00:37:47.020]   this next segment essentially is about
[00:37:47.020 --> 00:37:48.820]   your datasets that can be used for training,
[00:37:48.820 --> 00:37:51.380]   at least the public ones that we see.
[00:37:51.380 --> 00:37:53.940]   We've got, these are things that we've seen before,
[00:37:53.940 --> 00:37:57.140]   Wikipedia datasets, C4 dataset, Common Crawl,
[00:37:57.140 --> 00:37:58.180]   which is used for your,
[00:37:58.180 --> 00:38:00.500]   I would say more general-purpose models.
[00:38:00.500 --> 00:38:04.420]   And then, of course, you've got some datasets
[00:38:04.420 --> 00:38:07.620]   that can be used for very task-specific models,
[00:38:07.620 --> 00:38:09.820]   for example, code generation.
[00:38:09.820 --> 00:38:12.460]   You've got datasets that is used
[00:38:12.460 --> 00:38:14.700]   for instruction fine-tuning,
[00:38:14.700 --> 00:38:17.180]   and you've also got datasets that's used for alignment.
[00:38:17.180 --> 00:38:19.940]   So essentially what happens is that
[00:38:19.940 --> 00:38:24.220]   if you go to maybe, say, TensorFlow datasets
[00:38:24.220 --> 00:38:26.460]   or HuggingFace, you'll be able to download them,
[00:38:26.460 --> 00:38:29.260]   and then you'll be able to observe
[00:38:29.260 --> 00:38:31.540]   these datasets by itself.
[00:38:31.540 --> 00:38:34.580]   And if, let's say, you want to maybe, say,
[00:38:34.580 --> 00:38:36.540]   fine-tune a model for specific use,
[00:38:36.540 --> 00:38:40.300]   these are actually useful,
[00:38:40.300 --> 00:38:43.380]   I would say, templates or schemas that you can use
[00:38:43.380 --> 00:38:46.180]   to prepare your datasets so that you can do fine-tuning.
[00:38:46.180 --> 00:38:49.620]   So this is instruction-tuned,
[00:38:49.620 --> 00:38:53.540]   and this is for getting the model to be more,
[00:38:53.540 --> 00:38:58.540]   to have, to display behavior that's more aligned to our use.
[00:38:58.540 --> 00:39:02.420]   So naturally, this one, I'm okay to share some examples,
[00:39:02.420 --> 00:39:04.220]   but this one, you can go ahead and click on the link.
[00:39:04.220 --> 00:39:06.300]   You'll be able to see the kind of examples
[00:39:06.300 --> 00:39:07.140]   that's over there.
[00:39:07.140 --> 00:39:11.580]   So let's say we've done our training on fine-tuning.
[00:39:11.580 --> 00:39:15.980]   We found a way to update our parameters
[00:39:15.980 --> 00:39:16.820]   in a more efficient way.
[00:39:16.820 --> 00:39:19.620]   The final part is, of course, evaluation.
[00:39:19.620 --> 00:39:24.300]   So I think I'll cover, at a high level,
[00:39:24.300 --> 00:39:29.220]   two classes of model evaluations.
[00:39:29.220 --> 00:39:31.380]   You've got things like your single-task evaluations,
[00:39:31.380 --> 00:39:33.860]   so very popular ones would be things like SQuAD,
[00:39:33.860 --> 00:39:37.060]   StoryClose, Math, MNLI,
[00:39:37.060 --> 00:39:41.460]   which is for question answering,
[00:39:41.460 --> 00:39:44.140]   understanding context of words
[00:39:44.140 --> 00:39:45.860]   where you're filling in the blanks,
[00:39:46.700 --> 00:39:51.700]   answering math questions, so mathematical reasoning,
[00:39:51.700 --> 00:39:57.820]   and this is, I believe, natural language inference.
[00:39:57.820 --> 00:40:01.580]   So essentially, whether the two sentences are,
[00:40:01.580 --> 00:40:04.620]   they follow each other or not, right?
[00:40:04.620 --> 00:40:09.260]   Essentially, whether the next sentence
[00:40:09.260 --> 00:40:11.100]   logically follows the first sentence.
[00:40:11.100 --> 00:40:14.380]   And also things like truthful QA,
[00:40:14.380 --> 00:40:17.220]   which validates whether a sentence,
[00:40:17.220 --> 00:40:19.700]   whether the model outputs facts
[00:40:19.700 --> 00:40:22.500]   instead of maybe just say other kinds of,
[00:40:22.500 --> 00:40:27.260]   maybe trivia that's not true, not truthful.
[00:40:27.260 --> 00:40:29.260]   So these are some of, I would say,
[00:40:29.260 --> 00:40:34.260]   your single-task evals,
