
[00:00:00.000 --> 00:00:05.080]   All right. So jumping into it.
[00:33:36.980 --> 00:33:43.380]   attention, it's like the little squares, um, down your, your triangular matrix, um, for, for
[00:33:43.380 --> 00:33:53.700]   diffusion language models, they're able to look at, you know, the whole, um, uh, KV, um, for,
[00:33:53.700 --> 00:34:00.020]   for the attention, um, operator. So, so if I'm jumping ahead here, I'm sorry,
[00:34:00.020 --> 00:34:06.260]   sorry, please finish, uh, yeah, no, that's it. So if I'm jumping ahead here, let's say I have a code base
[00:34:06.260 --> 00:34:11.780]   and I say, I want to refactor this specific object that's being used.
[00:34:13.060 --> 00:34:17.060]   Discrete model, uh, a generative model just fills in the blanks.
[00:34:17.060 --> 00:34:21.620]   And that's why you don't actually have to go left to right, like autoregressive models,
[00:34:21.620 --> 00:34:24.340]   which you have to go left to right, even when they're just filling in the blanks.
[00:34:24.340 --> 00:34:29.060]   Actually, I don't know if there's, uh, better techniques for filling in the blanks with an
[00:34:29.060 --> 00:34:32.180]   autoregressive model for code models, but discrete model can just say, okay,
[00:34:32.180 --> 00:34:36.500]   someone will just draft out, okay, these are all the definitions I need, all the functions I need,
[00:34:36.500 --> 00:34:41.060]   some autoregressive model draft that out and then discrete model just fill in the blanks and
[00:34:41.060 --> 00:34:46.980]   it can do that very fast. I'm, I'm just kind of trying to match it to what we saw at Google I/O
[00:34:46.980 --> 00:34:52.660]   when they were demoing this, um, sorry, I mean a diffusion model for coding.
[00:34:52.660 --> 00:34:57.220]   Totally. Yeah. I mean, I think one of the challenges is too, is that the context for
[00:34:57.220 --> 00:35:05.940]   things that are ahead. Um, so if you're, you know, in that example, and I, I don't know the specific
[00:35:05.940 --> 00:35:10.660]   process that are applied for, for code models and assuming it's, you know, mom with a, with a similar
[00:35:10.660 --> 00:35:18.580]   loss function, um, and that they're just sampling from, um, saying, here's what it is, here's what we
[00:35:18.580 --> 00:35:25.060]   want. And it's able to interpret that there should be a larger output space, um, or the output space
[00:35:25.060 --> 00:35:29.860]   sequence should be longer. Um, that's true. Expanding that dynamically, right?
[00:35:29.860 --> 00:35:35.460]   Yeah, totally. Yeah. But if you're, if you have like, you know, your, your hundred line file,
[00:35:35.460 --> 00:35:43.460]   if you're doing it auto aggressively, you, you have to feed in the, like, and you're making edit at a
[00:35:43.460 --> 00:35:49.700]   character 50 or something, you have to feed in the first 50 lines in context and say, we want the
[00:35:49.700 --> 00:35:58.740]   edit at line 50, and then also feed in the remaining 50 lines, but it, you know, so, and then the,
[00:35:58.740 --> 00:36:04.740]   your auto aggressive model that has to attend to the stuff that's ahead of it, um, with reference
[00:36:04.740 --> 00:36:10.100]   to the stuff that's behind it versus if we don't have the, the causal mask, it can attend to all of it
[00:36:10.100 --> 00:36:17.060]   at once, um, or it's able to attend to it at once in a different way. Um, but hopefully I'm not.
[00:36:17.060 --> 00:36:20.740]   Makes sense. Thank you, Tyler. This was helpful for my intuition. Thank you.
[00:36:20.740 --> 00:36:22.660]   For sure. Um,
[00:36:22.660 --> 00:36:30.180]   cool. So yeah, there's a bunch of papers that happened from 2021. I'm jumping ahead to 2024.
[00:36:31.220 --> 00:36:38.340]   Um, the state of the art kind of like kept ticking up a little bit, but still significantly worse than
[00:36:38.340 --> 00:36:46.500]   auto aggressive models. Um, even for comparable model sizes, um, there was stuff that like the
[00:36:46.500 --> 00:36:51.460]   back and forth between discrete state spaces and then continuous state spaces where they have like
[00:36:51.460 --> 00:36:56.180]   a continuous representation and then they have like a separate process. So the continuous representation is
[00:36:56.180 --> 00:37:00.740]   like an embedding. Um, and then they have a separate process to sample from the embedding
[00:37:00.740 --> 00:37:09.700]   to determine what the token should be. Um, which hasn't really panned out in terms of like what the,
[00:37:09.700 --> 00:37:15.140]   what is now state of the art. So that's part of the reason I chose to skip over it. Um, but, um,
[00:37:15.140 --> 00:37:20.180]   encourage folks that are interested to look into it. There's a bunch of papers that came out,
[00:37:20.180 --> 00:37:30.740]   um, kind of in this time span that I'm glossing over. Um, one of the next ones that I thought was,
[00:37:30.740 --> 00:37:35.380]   was pretty cool. Um, and I think this is kind of looking backwards. It's sort of what this year,
[00:37:35.380 --> 00:37:41.380]   the art is and what's referenced from that. So looking at, um, um, um,
[00:37:41.380 --> 00:37:54.100]   the study in October of last year, um, where they started scaling up, um, mass diffusion models. Um,
[00:37:54.100 --> 00:38:01.780]   and they were able to achieve results, um, that are competitive with, um, auto aggressive model,
[00:38:01.780 --> 00:38:11.220]   um, language models, um, of similar sizes, um, and with relatively similar, um, levels of, of training
[00:38:11.220 --> 00:38:20.980]   compute. Um, so they trained up to a 1.1 billion parameter model. Um, and then for, depending on the
[00:38:20.980 --> 00:38:27.460]   different benchmark was, was competitive with GPT two, um, the 1.5 B version and then llama two,
[00:38:27.460 --> 00:38:32.820]   um, the seven B version. Um, so those weren't quite state of the art when this was released. Um,
[00:38:32.820 --> 00:38:39.460]   but still kind of a, um, a step forward. Um, and then it's, I don't know, I kind of like this scaling,
[00:38:39.460 --> 00:38:48.420]   um, scaling work just to see like the number goes down as compute goes up. Um, there was pretty graphs.
[00:38:49.620 --> 00:38:57.700]   Um, so, you know, the classic Kaplan, um, chinchilla isoflop curves, um, based on our,
[00:38:57.700 --> 00:39:03.140]   our training budget, we make stuff go down. Um,
[00:39:03.140 --> 00:39:14.740]   and here they have, like, they're saying they followed a similar, um, scaling law to auto aggressive
[00:39:14.740 --> 00:39:20.900]   models with their mass diffusion models. Um, but with some constant multiplier. Um,
[00:39:20.900 --> 00:39:28.580]   but the, the general curve, you know, on our, our log log plot was, was pretty similar for, for their
[00:39:28.580 --> 00:39:40.900]   approach. Um, digging into this a little bit more, um, the, to achieve a similar validation loss, um,
[00:39:40.900 --> 00:39:48.020]   they had to have 16 X, um, more compute, um, than the auto aggressive model and on their,
[00:39:48.020 --> 00:39:51.780]   their approach that they model here. So that's the, the left plot. And then on the right plot,
[00:39:51.780 --> 00:39:53.300]   um,
[00:39:53.300 --> 00:40:00.580]   they were able to achieve similar, um, what is this?
[00:40:03.460 --> 00:40:06.900]   I think better performance with fewer parameters is the right plot.
[00:40:06.900 --> 00:40:18.020]   And then, yeah, here's their, the results, um, which are competitive with the, the models we listed.
[00:40:18.020 --> 00:40:24.420]   Um, this one we, we talked about last, last week. Um, so I'm not going to dig into it too much. Um,
[00:40:24.420 --> 00:40:28.580]   so I just want to hit some things that I thought were cool that we didn't quite touch on. Um,
[00:40:28.580 --> 00:40:36.820]   so this is the same, uh, most of the same authors as the scaling loss paper, um, where they continue
[00:40:36.820 --> 00:40:45.460]   the trend and scale up to, um, 7 billion parameters. Um, and then the results got even better. Um, it's now
[00:40:45.460 --> 00:40:50.420]   as good or better than llama two, seven B or llama three, eight B, um, and handful of different benchmarks.
[00:40:50.420 --> 00:40:56.900]   Um, one of the things, you know, we were just talking about is that the bi-directional reasoning.
[00:40:56.900 --> 00:41:10.740]   Um, so one of the tasks they, um, they looked at was, um, reversing a poem. Um, so if you have like
[00:41:10.740 --> 00:41:14.020]   the last couple of lines in a poem, can you predict the lines that came before it?
[00:41:14.820 --> 00:41:21.140]   Um, and for this specific task, um, this model significantly outperformed
[00:41:21.140 --> 00:41:28.340]   most of the other models, they, they tested against including, um, 4.0. Um, and they, they attribute
[00:41:28.340 --> 00:41:34.260]   that to kind of the, um, the lack of the casual mask, um, for tension that, you know, just talking about.
[00:41:34.260 --> 00:41:42.180]   Um, so again, a figure from the paper where they're, they're masking stuff. Um, they also introduced this
[00:41:42.180 --> 00:41:49.620]   step where, um, they're able to score the probability of a token, um, that's predicted by the,
[00:41:49.620 --> 00:41:54.820]   the mass predictor. Um, and things that are low probability, they can then potentially remask and
[00:41:54.820 --> 00:42:02.500]   then try to resample again to get a better prediction. Um, so that's, um, the right or part C of this
[00:42:02.500 --> 00:42:07.940]   figure, um, where they're remasking, um, the figure and then re-predicting it again, which is kind of neat.
[00:42:07.940 --> 00:42:20.020]   Um, and then more scaling loss stuff, um, for different tasks, um, their model was able to, um,
[00:42:20.020 --> 00:42:26.820]   achieve better performance at, at lower, um, training compute. Um, and sometimes it's worse.
[00:42:26.820 --> 00:42:34.740]   So for the middle bottom plot GSM, GSM 8K, um, which I think is a math focused task, um,
[00:42:34.740 --> 00:42:39.380]   they outperformed, um, their autoregressive baseline and then to the plot to the left of it,
[00:42:39.380 --> 00:42:48.420]   the bottom left plot there, um, we can see all the orange stars are sort of below, um, the, the blue dots.
[00:42:48.420 --> 00:42:55.380]   Um, and so lower is a worse accuracy and this is your zero shot task, um, for the same level of compute.
[00:42:55.380 --> 00:42:58.260]   Um, so definitely some trade-offs there. Um,
[00:42:58.260 --> 00:43:08.660]   This next one, uh, block diffusion. Um, so this paper, this is 20, um, January, this one came out in, um,
[00:43:08.660 --> 00:43:18.340]   March of this year. Um, this uses, um, a hybrid architecture where it, um, has, um,
[00:43:18.340 --> 00:43:24.020]   has blocks, um, that in each block is generated auto aggressively, but with any in the block,
[00:43:24.020 --> 00:43:30.740]   it's, um, generated using diffusion. Um, part of the reason they did that is to, um,
[00:43:30.740 --> 00:43:39.220]   I think part of it was to make their, um, the sampling task easier. Um, but they were also able
[00:43:39.220 --> 00:43:47.620]   to take advantage of KB caching, um, versus this, this paper, um, despite the results, um,
[00:43:48.420 --> 00:43:53.540]   doesn't, hasn't been optimized to fulfill a lot of the tricks, like KB caching. Um,
[00:43:53.540 --> 00:44:00.660]   I didn't dig into the specifics of why KB caching doesn't work for this previous paper. Um, kind of
[00:44:00.660 --> 00:44:09.860]   thinking about it, um, my intuition is that, um, if you have like a, a dialogue, um, you know, between
[00:44:09.860 --> 00:44:16.500]   the system and a user, um, that it's, it has to generate like the next response starting from zero,
[00:44:16.500 --> 00:44:23.300]   um, as opposed to finding a way to, to cache like the previous, um, tokens like you can, um,
[00:44:23.300 --> 00:44:28.180]   if you're generating auto aggressively, um, and they're able to, so block diffusion was able to
[00:44:28.180 --> 00:44:34.100]   get around that by having, um, like these, these chunks of a fixed length that they then generate.
[00:44:34.100 --> 00:44:46.100]   So we, again, we talked about this last week that, um, the large language diffusion paper, um, applied
[00:44:46.100 --> 00:44:53.860]   pretty similar pre-training. Um, I think they use like a 2.3 trillion tokens. Um, and we saw 10 to the 23rd,
[00:44:53.860 --> 00:45:05.380]   um, flops on H 100, um, but they didn't do any post training. Um, and then some of the, the new work
[00:45:05.380 --> 00:45:11.860]   that's coming out is improving kind of the, the post training, um, uh, especially with our reasoning slant.
[00:45:11.860 --> 00:45:20.660]   Um, so this paper, um, so this paper, uh, uses this, this is a base model, the, the LADA that they introduce,
[00:45:20.660 --> 00:45:34.580]   um, and then applies, um, this, their custom GRPO, um, post training. Um, and then they use like the S1, uh,
[00:45:34.580 --> 00:45:42.020]   reasoning dataset to do supervised foreign tuning, um, with a slant towards, um, like math and reasoning
[00:45:42.020 --> 00:45:47.620]   and code tasks. Um, and based on that, they're able to, um, you know, dramatically improve the
[00:45:47.620 --> 00:45:57.300]   performance on those specific tasks over the base model. Um, so that's the, the bottom table here,
[00:45:57.940 --> 00:46:05.380]   they're in green. Um, the top row is the, the base model. Um, so they, they bumped up the numbers a
[00:46:05.380 --> 00:46:16.020]   good amount. Um, let's see, and that's, that's all. So thanks all.
[00:46:16.020 --> 00:46:27.540]   This is really good. Um, Tyler, I, there's a question that Eric posed in the channel
[00:46:27.540 --> 00:46:35.140]   that I'm also curious about. That's a compute for the output window scale as O log. Is it N squared
[00:46:35.140 --> 00:46:39.460]   for diffusion models or is it linear? Oh, would you know?
[00:46:39.460 --> 00:46:45.940]   I don't know offhand. Um,
[00:46:45.940 --> 00:46:57.140]   Some of the big ones that we hear about like stable diffusion, dolly image gen, uh, diffusion transformer,
[00:46:57.220 --> 00:47:03.780]   video diffusion transformers. Those are all transformer based. So there is, um, there is
[00:47:03.780 --> 00:47:10.740]   that, um, quadratic scaling issue, but some of them are not. So some basic denoising
[00:47:10.740 --> 00:47:16.820]   diffusion probabilistic models, they're more CNN based. And then there's no longer that transformer
[00:47:16.820 --> 00:47:23.460]   complexity issue. So depending on what you're doing, like some early work trying to do diffusion
[00:47:23.460 --> 00:47:30.100]   for completion. So like short completion for cogen stuff is not transformer based. So you're
[00:47:30.100 --> 00:47:35.940]   no longer complexity bound. But I found it weird. Cause like, you know, that's completion. It's like
[00:47:35.940 --> 00:47:42.980]   not long, long context. So I don't know. It's just what they did though. But, um, some of the latent
[00:47:42.980 --> 00:47:50.260]   diffusion models, like from stability, those I believe are also not transformer based. So they're,
[00:47:50.260 --> 00:47:54.740]   you know, that's more popular. You've probably heard of some latent diffusion stuff. Um,
[00:47:54.740 --> 00:48:01.380]   they don't use, um, they don't use transformers for the diffusion itself.
[00:48:01.380 --> 00:48:09.700]   I think they just use it for the, um, text encoding. So, you know, it, it kind of depends on where you see
[00:48:09.700 --> 00:48:13.860]   the quadratic scaling complexity.
[00:48:20.660 --> 00:48:25.620]   that's cool. Um, that's cool. Yeah, I guess we have a few follow open questions now.
[00:48:25.620 --> 00:48:30.500]   Yeah. I know RJ had a question. I don't know if you want to come on camera and just ask it.
[00:48:30.500 --> 00:48:41.300]   Oh, no, I was, I was come, I was commenting that I think that most, uh, or stable diffusion
[00:48:41.300 --> 00:48:48.580]   anyway, has a, has attention blocks in inside of the diffusion block. So I think it, but I don't know
[00:48:48.580 --> 00:48:59.620]   that would be, uh, so that would be across all the, um, sort of latent space tokens. So that's a fixed
[00:48:59.620 --> 00:49:05.380]   size and wouldn't be impacted. So I don't really, I'm not sure that this, that impacts like a, a text
[00:49:05.380 --> 00:49:13.220]   diffusion model, except because you would, yeah. Um, if you look at like BERT being a diffusion model,
[00:49:13.220 --> 00:49:18.500]   right, then it is obviously, it has a transformer block. And so therefore would, uh, so I think that
[00:49:18.500 --> 00:49:23.780]   the question about that is it's a little bit orthogonal, right? Because I, I view diffusion as
[00:49:23.780 --> 00:49:34.900]   like a alternative process to, uh, autoregressive modeling kind of, and not so much transformer versus
[00:49:34.900 --> 00:49:35.700]   non-transformer.
[00:49:35.700 --> 00:49:47.300]   Yeah, there was, the people have incorporated transformers into diffusion models in a handful
[00:49:47.300 --> 00:49:55.860]   of different ways. Um, so let me see if we can pull this up. Um, uh, I think that's my old desktop.
[00:49:55.860 --> 00:49:58.340]   Let's see.
[00:50:01.780 --> 00:50:07.380]   Well, so this is the, the unit image that I pulled from one of the slides. Um, this is from
[00:50:07.380 --> 00:50:13.780]   Prince's understanding deep learning, which is, which is pretty solid. Um, so starting with DDPM,
[00:50:13.780 --> 00:50:19.780]   this is sort of the, the base model architecture that they use to predict, um, the noise at each time
[00:50:19.780 --> 00:50:31.540]   step. Um, so they have, um, you know, the previous time step and then it's fed into this. And then the output is the, um, the image
[00:50:31.540 --> 00:50:37.140]   minus the noise. Um, or maybe it's just, sorry, I think it's actually just the noise itself, um,
[00:50:37.140 --> 00:50:44.340]   as a difference from what the image of you, but regardless, um, they've got like a bunch of, um,
[00:50:44.340 --> 00:50:51.460]   convolutional blocks, um, scaling it down and then back up. Um, and they, they don't make it very clear.
[00:50:51.460 --> 00:50:58.980]   Um, this color's not very good, but even within the original DDPM model from 2020, um, there's attention
[00:50:58.980 --> 00:51:09.300]   operators kind of at the 16 by 16, um, chunks here. So it's able to attend to what came in. Um, and then as
[00:51:09.300 --> 00:51:15.780]   models got bigger, um, and more complicated, um, people started tossing in more complicated model
[00:51:15.780 --> 00:51:20.020]   architectures and a lot of more attention at different parts of this. Um, a lot of them still
[00:51:20.020 --> 00:51:26.900]   kind of retained this unit shape, um, but stuff kind of got fancier from there. So that's one approach.
[00:51:26.900 --> 00:51:30.740]   And then I don't know if I can find the right. And then, can I just add to that? Yeah, please.
[00:51:31.460 --> 00:51:37.540]   Yeah. So, so as Vibu was saying, uh, the attention is primarily used in the, some of these earlier
[00:51:37.540 --> 00:51:47.060]   image diffusion models to, uh, to the time emitting space, as well as the prompt that would guide the
[00:51:47.060 --> 00:51:54.180]   image generation. Uh, sometimes these prompts are text images or text prompts, but sometimes these are
[00:51:54.180 --> 00:52:01.060]   image prompts like depth maps or contours or outlines of different things. So the
[00:52:01.060 --> 00:52:06.980]   attention is basically used as a grounding mechanism, uh, to flow forward, but the actual
[00:52:06.980 --> 00:52:12.980]   process itself is diffusion. So we give, there is a separation that we can make. The attention is used
[00:52:12.980 --> 00:52:19.700]   for helping the model understand the semantics of the image as well as for the generation.
[00:52:19.700 --> 00:52:23.380]   But the actual diffusion process itself is orthogonal to that.
[00:52:23.380 --> 00:52:29.300]   Yeah. The term for that is conditioning. So they call it conditioning sometimes.
[00:52:29.300 --> 00:52:34.660]   Yeah. And there's even class conditioning. So you can have like class based labels and
[00:52:34.660 --> 00:52:40.500]   guide, um, generation towards that. So like stylistic labels, right? I want anime and that's
[00:52:40.500 --> 00:52:47.220]   separate than tax, text conditioning of like ultra realistic. And you know, you're basically using text
[00:52:47.220 --> 00:52:54.180]   embeddings, but the, the attention there is it's typically done, um, with something like cross
[00:52:54.180 --> 00:53:01.460]   attention over a text embedding dimension. And that's, that's separate than diffusion scaling, uh,
[00:53:01.460 --> 00:53:04.100]   you know, a different complexity.
[00:53:04.100 --> 00:53:04.980]   Correct.
[00:53:05.860 --> 00:53:09.460]   And then things get much more complex. They have something called as control nets,
[00:53:09.460 --> 00:53:13.860]   which is slightly different concept than conditioning. Yeah.
[00:53:13.860 --> 00:53:22.820]   It's interesting where like, you know, we basically had our like GPT three moment where we used to have
[00:53:22.820 --> 00:53:28.340]   like all these temporal nets to fix consistency when you scale stuff up. And then with Sora, you know,
[00:53:28.340 --> 00:53:33.700]   it turns out that video generation is just scaled up diffusion and you just scale it up a lot and
[00:53:33.700 --> 00:53:38.260]   you solve a lot of these little like nuances. And it just kind of works.
[00:53:38.260 --> 00:53:47.460]   So I guess I don't want to be argumentative, but, uh, I think that, um, unless I'm misinterpreting this
[00:53:47.460 --> 00:53:56.900]   image, uh, that I put in the chat, I'm pretty sure it's saying that there is actually, um, uh,
[00:53:56.900 --> 00:54:00.180]   attention blocks in the backbone of the diffusion.
[00:54:00.180 --> 00:54:04.260]   Um, not, not just in the conditioning.
[00:54:04.260 --> 00:54:07.860]   Okay.
[00:54:08.180 --> 00:54:11.540]   So I don't know if I can pull it up and, or someone can share it if you want.
[00:54:11.540 --> 00:54:16.980]   Yeah. I mean, it's been a while since the last week did it, but, uh, that conditioning is primarily
[00:54:16.980 --> 00:54:25.540]   for, uh, that attention is primarily for the conditioning, whether it's text or, or image prompts.
[00:54:25.540 --> 00:54:36.820]   Okay. Uh, okay. Uh, well, okay. We, I guess we can argue about it offline. I think,
[00:54:36.820 --> 00:54:44.500]   I think that, uh, it's far as I can tell it as, as, uh, Tyler was noting, I think it's actually part of
[00:54:44.500 --> 00:54:50.500]   the unit backbone or whatever, uh, the backbone is made of. And there's like in the stable diffusion,
[00:54:50.500 --> 00:54:52.500]   the fusion is unit, right? Yeah.
[00:54:52.500 --> 00:54:54.820]   Anyway.
[00:54:54.820 --> 00:55:04.740]   I'll always help pull for more background information. Um, thanks again, Tyler. Really, really fun one this
[00:55:04.740 --> 00:55:12.820]   time. Um, I think Cirque said to take a call. So just wrapping things up here next week, we have the
[00:55:12.820 --> 00:55:17.940]   AI engineer world's fair. So if any of you guys are around, you know, we'll share something on
[00:55:17.940 --> 00:55:23.140]   discord. We'll, we'll do like a little meetup. I think we have time for like an in-person paper club
[00:55:23.140 --> 00:55:30.500]   workshop thing. Uh, we're supposed to be announcing our test of time paper club V2. So we'll share it
[00:55:30.500 --> 00:55:39.140]   remote too, but, um, TBD on what the paper is, but we'll have some sort of session in person and also
[00:55:39.140 --> 00:55:44.020]   remote next week. So if you're around at the conference, come by, otherwise, you know, same
[00:55:44.020 --> 00:55:49.300]   zoom thing and then it'll just be a different one. But yeah, thanks everyone for coming. Thanks, Tyler,
[00:55:49.300 --> 00:55:59.300]   for sharing. Thank you. Uh, Tyler, someone asked about slides. Oh yeah. I'll post those in the discord.
[00:55:59.300 --> 00:56:07.060]   Yeah. Thanks everyone. Perfect. Yeah. Thanks. Thanks.
[00:56:07.060 --> 00:56:09.060]   Thanks.
[00:56:09.060 --> 00:56:11.060]   Thanks.
[00:56:11.060 --> 00:56:13.060]   Thanks.
[00:56:13.060 --> 00:56:15.060]   Thanks.
[00:56:15.060 --> 00:56:17.060]   Thanks.
[00:56:17.060 --> 00:56:19.060]   Thanks.
[00:56:19.060 --> 00:56:21.060]   Thanks.
[00:56:21.060 --> 00:56:23.060]   Thanks.
[00:56:23.060 --> 00:56:25.060]   Thanks.
[00:56:25.060 --> 00:56:27.060]   Thanks.
[00:56:27.060 --> 00:56:29.060]   Thanks.
[00:56:29.060 --> 00:56:31.060]   Thanks.
[00:56:31.060 --> 00:56:33.060]   Thanks.
[00:56:33.060 --> 00:56:35.060]   Thanks.
[00:56:35.060 --> 00:56:37.060]   Thanks.
[00:56:37.060 --> 00:56:39.060]   Thanks.
[00:56:39.060 --> 00:56:41.060]   Thanks.
[00:56:41.060 --> 00:56:43.060]   Thanks.
[00:56:43.060 --> 00:56:45.060]   Thanks.
[00:56:45.060 --> 00:56:47.060]   Thanks.
[00:56:47.060 --> 00:56:49.060]   Thanks.
[00:56:49.060 --> 00:56:51.060]   Thanks.
[00:56:51.060 --> 00:56:53.060]   Thanks.
[00:56:53.060 --> 00:56:55.060]   Thanks.
[00:56:55.060 --> 00:56:57.060]   Thanks.
[00:56:57.060 --> 00:56:57.060]   Thanks.
[00:56:57.060 --> 00:56:59.060]   Thanks.
[00:56:59.060 --> 00:56:59.060]   Thanks.
[00:56:59.060 --> 00:57:01.060]   Thanks.
[00:57:01.060 --> 00:57:01.060]   Thanks.
[00:57:01.060 --> 00:57:03.060]   Thanks.
[00:57:03.060 --> 00:57:03.060]   Thanks.
[00:57:03.060 --> 00:57:05.060]   Thanks.
[00:57:05.060 --> 00:57:07.060]   Thanks.
[00:57:07.060 --> 00:57:37.040]   Thank you.

