
[00:00:00.000 --> 00:00:03.000]   Welcome back to 6S094
[00:18:17.800 --> 00:18:22.200]   I would argue fall into human-centered autonomy systems
[00:18:22.200 --> 00:18:23.400]   A1
[00:18:24.400 --> 00:18:28.100]   because they involve some degree of a human
[00:18:28.100 --> 00:18:30.100]   Then L4, L5
[00:18:30.100 --> 00:18:31.900]   to some degree
[00:18:31.900 --> 00:18:33.000]   there's some crossover
[00:18:33.000 --> 00:18:34.500]   fall into full autonomy
[00:18:34.500 --> 00:18:36.900]   Even though with L4
[00:18:36.900 --> 00:18:38.100]   with Waymo
[00:18:38.100 --> 00:18:39.900]   as you can ask on Friday
[00:18:39.900 --> 00:18:42.500]   and anyone cruise
[00:18:42.500 --> 00:18:44.700]   Uber playing in this space
[00:18:44.700 --> 00:18:47.800]   there's very often a human driver involved
[00:18:47.800 --> 00:18:52.000]   One of the huge accomplishments of Waymo
[00:18:52.900 --> 00:18:54.100]   over the past month
[00:18:54.100 --> 00:18:55.800]   incredible accomplishment
[00:18:55.800 --> 00:18:57.200]   where in Phoenix, Arizona
[00:18:57.200 --> 00:18:58.400]   they drove without
[00:18:58.400 --> 00:19:01.000]   the car drove without a driver
[00:19:01.000 --> 00:19:06.000]   meaning there was no safety driver to catch
[00:19:06.000 --> 00:19:07.900]   there's no engineer staff member
[00:19:07.900 --> 00:19:10.200]   there to catch the car
[00:19:10.200 --> 00:19:13.900]   A human being that doesn't work for Google or Waymo
[00:19:13.900 --> 00:19:15.500]   got into that car
[00:19:15.500 --> 00:19:18.400]   and got from A to point B without a safety driver
[00:19:18.400 --> 00:19:20.700]   That's an incredible accomplishment
[00:19:21.100 --> 00:19:22.900]   and that particular trip
[00:19:22.900 --> 00:19:25.500]   was a fully autonomous trip
[00:19:25.500 --> 00:19:28.000]   That is full autonomy
[00:19:28.000 --> 00:19:31.100]   when there's no human to catch the car
[00:19:31.100 --> 00:19:38.700]   No AI presentation is good without cats
[00:19:38.700 --> 00:19:41.900]   So full autonomy A2 system
[00:19:41.900 --> 00:19:47.000]   is when you do nothing but ride along
[00:19:47.000 --> 00:19:49.800]   human-centered autonomy system
[00:19:50.800 --> 00:19:52.800]   is when you have some control
[00:19:52.800 --> 00:19:55.500]   I'm sorry I had to
[00:19:55.500 --> 00:20:00.500]   So the two paths for autonomous systems
[00:20:00.500 --> 00:20:01.600]   A1 and A2
[00:20:01.600 --> 00:20:05.200]   In blue on the left is A1 human-centered
[00:20:05.200 --> 00:20:07.600]   on the right is A2 full autonomy
[00:20:07.600 --> 00:20:10.900]   And then blue
[00:20:10.900 --> 00:20:13.700]   is from the artificial intelligence perspective
[00:20:13.700 --> 00:20:17.900]   is easy
[00:20:17.900 --> 00:20:19.300]   easier
[00:20:19.600 --> 00:20:21.100]   and then red is harder
[00:20:21.100 --> 00:20:23.300]   easier meaning
[00:20:23.300 --> 00:20:27.100]   we do not have to achieve a hundred percent accuracy
[00:20:27.100 --> 00:20:29.000]   harder means
[00:20:29.000 --> 00:20:32.900]   everything that's off of a hundred percent accuracy
[00:20:32.900 --> 00:20:35.100]   no matter how small
[00:20:35.100 --> 00:20:37.300]   has a potential of costing
[00:20:37.300 --> 00:20:38.900]   human lives
[00:20:38.900 --> 00:20:43.300]   and huge amounts of money for companies
[00:20:43.300 --> 00:20:48.400]   So let's discuss
[00:20:49.300 --> 00:20:51.800]   we'll discuss later in the lecture
[00:20:51.800 --> 00:20:54.300]   about the algorithms behind each of these methods
[00:20:54.300 --> 00:20:55.500]   on the left and the right
[00:20:55.500 --> 00:20:59.400]   But this summarizes the two approaches
[00:20:59.400 --> 00:21:01.100]   the localization mapping
[00:21:01.100 --> 00:21:03.400]   for the car to determine where it's located
[00:21:03.400 --> 00:21:06.600]   for the human-centered autonomy
[00:21:06.600 --> 00:21:07.600]   It's easy
[00:21:07.600 --> 00:21:09.900]   It still has to do the perception
[00:21:09.900 --> 00:21:12.300]   It has to localize itself within the lane
[00:21:12.300 --> 00:21:15.100]   It has to find all the neighboring pedestrians
[00:21:15.100 --> 00:21:16.000]   and the vehicles
[00:21:16.000 --> 00:21:17.500]   in order to be able to
[00:21:17.700 --> 00:21:19.400]   control the vehicle to some degree
[00:21:19.400 --> 00:21:21.500]   But because a human is there
[00:21:21.500 --> 00:21:23.100]   it doesn't have to do so perfectly
[00:21:23.100 --> 00:21:25.400]   When it fails a human is there to catch it
[00:21:25.400 --> 00:21:27.400]   Scene understanding
[00:21:27.400 --> 00:21:29.300]   perceiving everything in the environment
[00:21:29.300 --> 00:21:30.100]   from the camera
[00:21:30.100 --> 00:21:32.700]   from whether it's LiDAR, radar, ultrasonic
[00:21:32.700 --> 00:21:35.300]   The planning of the vehicle
[00:21:35.300 --> 00:21:37.900]   whether it's just staying within lane
[00:21:37.900 --> 00:21:39.500]   or for adaptive cruise control
[00:21:39.500 --> 00:21:42.100]   controlling the longitudinal movement of the vehicle
[00:21:42.100 --> 00:21:43.600]   or it's changing lanes
[00:21:43.600 --> 00:21:44.800]   as the Tesla autopilot
[00:21:44.800 --> 00:21:46.500]   or higher degrees of automation
[00:21:46.800 --> 00:21:48.900]   All of those movement planning decisions
[00:21:48.900 --> 00:21:50.200]   can be made autonomously
[00:21:50.200 --> 00:21:51.600]   when the human is there to catch
[00:21:51.600 --> 00:21:53.000]   It's easier
[00:21:53.000 --> 00:21:55.000]   because you're allowed to be wrong
[00:21:55.000 --> 00:21:56.600]   rarely but wrong
[00:21:56.600 --> 00:21:58.600]   The hard part
[00:21:58.600 --> 00:22:01.300]   is getting the human-robot interaction piece right
[00:22:01.300 --> 00:22:03.200]   That's
[00:22:03.200 --> 00:22:07.100]   next Wednesday lecture
[00:22:07.100 --> 00:22:09.100]   as we'll discuss about
[00:22:09.100 --> 00:22:11.600]   how deep learning can be used to interact
[00:22:11.600 --> 00:22:14.000]   first perceive everything about the driver
[00:22:14.000 --> 00:22:16.100]   and second to interact with the driver
[00:22:17.100 --> 00:22:18.400]   That part is hard
[00:22:18.400 --> 00:22:20.800]   because you can't screw up on that part
[00:22:20.800 --> 00:22:23.300]   You have to make sure you help the driver
[00:22:23.300 --> 00:22:25.100]   know where your flaws are
[00:22:25.100 --> 00:22:26.200]   so they can take over
[00:22:26.200 --> 00:22:28.000]   If the driver is not paying attention
[00:22:28.000 --> 00:22:29.900]   you have to bring their attention back to the road
[00:22:29.900 --> 00:22:31.600]   back to the interaction
[00:22:31.600 --> 00:22:33.400]   You have to get that piece right
[00:22:33.400 --> 00:22:35.400]   because for a flawed system
[00:22:35.400 --> 00:22:37.500]   one that's rarely flawed
[00:22:37.500 --> 00:22:40.000]   the rarity is the challenge in fact
[00:22:40.000 --> 00:22:42.400]   has to get the interaction right
[00:22:42.400 --> 00:22:45.900]   And then the final piece communication
[00:22:46.900 --> 00:22:48.400]   Autonomous vehicle
[00:22:48.400 --> 00:22:49.500]   a fully autonomous vehicle
[00:22:49.500 --> 00:22:52.600]   must communicate extremely well
[00:22:52.600 --> 00:22:54.400]   with the external world
[00:22:54.400 --> 00:22:56.600]   with the pedestrians, the jaywalkers
[00:22:56.600 --> 00:22:58.900]   the humans in this world, the cyclists
[00:22:58.900 --> 00:23:01.300]   That communication piece
[00:23:01.300 --> 00:23:03.800]   one at least that is part of a safe
[00:23:03.800 --> 00:23:06.200]   and enjoyable driving experience
[00:23:06.200 --> 00:23:07.800]   is extremely difficult
[00:23:07.800 --> 00:23:10.100]   A way more vehicle
[00:23:10.100 --> 00:23:12.400]   I wish them luck if they come to Boston
[00:23:12.400 --> 00:23:14.900]   from getting from point A to point B
[00:23:15.400 --> 00:23:17.900]   because pedestrians will take advantage
[00:23:17.900 --> 00:23:21.100]   A vehicle must assert itself
[00:23:21.100 --> 00:23:24.400]   in order to be able to navigate Boston streets
[00:23:24.400 --> 00:23:28.100]   And that assertion is communication
[00:23:28.100 --> 00:23:31.000]   That piece is extremely difficult
[00:23:31.000 --> 00:23:33.600]   For a Tesla vehicle
[00:23:33.600 --> 00:23:37.800]   for a human-centered autonomy vehicle
[00:23:37.800 --> 00:23:39.500]   L2, L3
[00:23:39.500 --> 00:23:43.700]   The way you deal with Boston pedestrians
[00:23:43.700 --> 00:23:44.800]   is you take over
[00:23:45.800 --> 00:23:47.500]   roll down the window, yell something
[00:23:47.500 --> 00:23:48.500]   and then speed up
[00:23:48.500 --> 00:23:52.400]   Getting the piece
[00:23:52.400 --> 00:23:54.000]   for an artificial intelligence system
[00:23:54.000 --> 00:23:55.600]   to actually be able to accomplish
[00:23:55.600 --> 00:23:56.400]   something like that
[00:23:56.400 --> 00:23:57.300]   as we'll discuss
[00:23:57.300 --> 00:23:59.100]   on the ethics side
[00:23:59.100 --> 00:24:00.100]   and the engineering side
[00:24:00.100 --> 00:24:01.300]   is extremely difficult
[00:24:01.300 --> 00:24:03.900]   That said
[00:24:03.900 --> 00:24:05.400]   most of the literature
[00:24:05.400 --> 00:24:06.700]   in the human factors field
[00:24:06.700 --> 00:24:08.900]   in the autonomous vehicle field
[00:24:08.900 --> 00:24:11.900]   Anyone that studied autonomy in aviation
[00:24:11.900 --> 00:24:14.300]   and in vehicles
[00:24:14.400 --> 00:24:15.900]   is extremely skeptical
[00:24:15.900 --> 00:24:17.400]   about the human-centered approach
[00:24:17.400 --> 00:24:19.400]   They think it's deeply irresponsible
[00:24:19.400 --> 00:24:21.600]   It's deeply irresponsible
[00:24:21.600 --> 00:24:24.600]   because, as argued
[00:24:24.600 --> 00:24:25.700]   because
[00:24:25.700 --> 00:24:28.100]   human beings
[00:24:28.100 --> 00:24:29.300]   when you give them
[00:24:29.300 --> 00:24:31.200]   a technology
[00:24:31.200 --> 00:24:34.200]   which will take control part of the time
[00:24:34.200 --> 00:24:35.300]   they will get lazy
[00:24:35.300 --> 00:24:37.000]   they will take advantage of that technology
[00:24:37.000 --> 00:24:38.800]   they will over trust that technology
[00:24:38.800 --> 00:24:41.300]   they'll assume it'll work perfectly always
[00:24:41.300 --> 00:24:43.400]   This is the idea
[00:24:44.400 --> 00:24:45.900]   that this
[00:24:45.900 --> 00:24:49.600]   this idea extended beyond
[00:24:49.600 --> 00:24:50.700]   further and further
[00:24:50.700 --> 00:24:52.000]   means that
[00:24:52.000 --> 00:24:53.500]   the better the system gets
[00:24:53.500 --> 00:24:55.800]   the better the car gets at driving itself
[00:24:55.800 --> 00:24:57.800]   the more the humans will sit back
[00:24:57.800 --> 00:24:59.500]   and be completely distracted
[00:24:59.500 --> 00:25:01.700]   It will not be able to re-engage themselves
[00:25:01.700 --> 00:25:03.300]   in order to safely catch
[00:25:03.300 --> 00:25:04.600]   when the system fails
[00:25:04.600 --> 00:25:06.700]   This is Chris Urmson
[00:25:06.700 --> 00:25:09.100]   the founder of the Google self-driving cars program
[00:25:09.100 --> 00:25:11.200]   and
[00:25:11.500 --> 00:25:14.000]   now the co-founder of one
[00:25:14.000 --> 00:25:16.400]   the other co-founder is the speaker of this class
[00:25:16.400 --> 00:25:18.200]   on next Friday Sterling Anderson
[00:25:18.200 --> 00:25:20.500]   of a company called Aurora
[00:25:20.500 --> 00:25:21.500]   a startup
[00:25:21.500 --> 00:25:24.500]   He was one of the big proponents
[00:25:24.500 --> 00:25:28.800]   or the
[00:25:28.800 --> 00:25:29.800]   I should say
[00:25:29.800 --> 00:25:31.400]   opponents
[00:25:31.400 --> 00:25:34.200]   of the idea that human-centered autonomy could work
[00:25:34.200 --> 00:25:36.200]   They tried it
[00:25:36.200 --> 00:25:39.000]   Publicly is spoken about
[00:25:39.000 --> 00:25:40.200]   the fact that Google
[00:25:40.400 --> 00:25:42.500]   as in the early self-driving car program
[00:25:42.500 --> 00:25:45.100]   they've tried shared autonomy
[00:25:45.100 --> 00:25:46.600]   they've tried L2
[00:25:46.600 --> 00:25:48.500]   and it failed
[00:25:48.500 --> 00:25:49.800]   because their engineers
[00:25:49.800 --> 00:25:51.800]   the people driving their vehicles fell asleep
[00:25:51.800 --> 00:25:56.100]   and that's the belief that people have
[00:25:56.100 --> 00:25:59.600]   and we'll talk about why that may not be true
[00:25:59.600 --> 00:26:02.200]   There's a fascinating truth in the way
[00:26:02.200 --> 00:26:06.300]   human beings can interact with artificial intelligence systems
[00:26:06.300 --> 00:26:08.900]   that may work in this case
[00:26:09.400 --> 00:26:11.700]   as I mentioned it's the human-robot interaction
[00:26:11.700 --> 00:26:15.200]   building that deep connection between human and machine
[00:26:15.200 --> 00:26:16.500]   of understanding
[00:26:16.500 --> 00:26:18.500]   of communication
[00:26:18.500 --> 00:26:22.800]   This is what we believe happens
[00:26:22.800 --> 00:26:24.700]   so there's a lot of videos like this
[00:26:24.700 --> 00:26:26.300]   it's fun
[00:26:26.300 --> 00:26:28.500]   but it's also representative of
[00:26:28.500 --> 00:26:33.200]   what society believes happens when automation
[00:26:33.200 --> 00:26:38.100]   is allowed to enter the human experience
[00:26:38.600 --> 00:26:41.300]   and driving where human life is at stake
[00:26:41.300 --> 00:26:45.300]   that you can become completely disengaged
[00:26:45.300 --> 00:26:52.800]   It's kind of
[00:26:52.800 --> 00:26:57.500]   it's kind of a natural thing to think
[00:26:57.500 --> 00:26:59.300]   but the question is
[00:26:59.300 --> 00:27:01.600]   does this actually happen?
[00:27:01.600 --> 00:27:05.500]   What actually happens on public roads?
[00:27:06.300 --> 00:27:09.300]   The amazing thing that people don't often talk about
[00:27:09.300 --> 00:27:13.400]   is that there is
[00:27:13.400 --> 00:27:18.700]   hundreds of thousands of vehicles on the road today
[00:27:18.700 --> 00:27:21.600]   equipped with autopilot
[00:27:21.600 --> 00:27:24.000]   Tesla autopilot
[00:27:24.000 --> 00:27:27.400]   that have a significant degree of autonomy
[00:27:27.400 --> 00:27:29.500]   that's data
[00:27:29.500 --> 00:27:30.700]   that's information
[00:27:30.700 --> 00:27:33.800]   so we can answer the question what actually happens
[00:27:35.000 --> 00:27:37.100]   so many of the people behind this team
[00:27:37.100 --> 00:27:38.300]   have instrumented
[00:27:38.300 --> 00:27:40.500]   25 vehicles
[00:27:40.500 --> 00:27:43.000]   21 of which are Tesla autopilot vehicles
[00:27:43.000 --> 00:27:44.900]   now with over collected
[00:27:44.900 --> 00:27:47.500]   recording everything about the driver
[00:27:47.500 --> 00:27:50.200]   two cameras, two HD cameras on the driver
[00:27:50.200 --> 00:27:52.000]   two cameras on the
[00:27:52.000 --> 00:27:54.100]   one camera on the external roadway
[00:27:54.100 --> 00:27:56.100]   and collecting everything about the car
[00:27:56.100 --> 00:27:57.600]   including audio
[00:27:57.600 --> 00:28:00.200]   the state, the pulling everything from the cam bus
[00:28:00.200 --> 00:28:01.900]   the kinematics of the vehicle
[00:28:01.900 --> 00:28:03.900]   IMU, GPS
[00:28:04.500 --> 00:28:05.900]   all of that information
[00:28:05.900 --> 00:28:08.500]   over now over 300,000 miles
[00:28:08.500 --> 00:28:10.100]   over 5 billion
[00:28:10.100 --> 00:28:11.900]   video frames
[00:28:11.900 --> 00:28:12.900]   all
[00:28:12.900 --> 00:28:16.000]   as we'll talk about analyzed computer vision
[00:28:16.000 --> 00:28:18.600]   you extract from that video of the driver
[00:28:18.600 --> 00:28:20.500]   of everything they're doing
[00:28:20.500 --> 00:28:22.800]   the level of distraction
[00:28:22.800 --> 00:28:24.300]   the allocation of attention
[00:28:24.300 --> 00:28:28.000]   the drowsiness, emotional states
[00:28:28.000 --> 00:28:32.000]   the hands-on wheel, hands-off wheel, body pose
[00:28:32.500 --> 00:28:34.800]   activity, smartphone usage
[00:28:34.800 --> 00:28:36.000]   all of these factors
[00:28:36.000 --> 00:28:39.200]   all of these things that you would think would fall apart
[00:28:39.200 --> 00:28:40.700]   when you start
[00:28:40.700 --> 00:28:42.900]   letting autonomy into your life
[00:28:42.900 --> 00:28:45.000]   we'll talk about what the initial
[00:28:45.000 --> 00:28:46.600]   reality is
[00:28:46.600 --> 00:28:49.300]   that should be inspiring and thought-provoking
[00:28:49.300 --> 00:28:53.000]   as I said three cameras
[00:28:53.000 --> 00:28:56.300]   single board computer recording all the data
[00:28:56.300 --> 00:29:00.000]   over a thousand machines in Holyoke
[00:29:01.000 --> 00:29:02.700]   in distributed computation
[00:29:02.700 --> 00:29:05.100]   running the deep learning algorithms
[00:29:05.100 --> 00:29:06.200]   that I've mentioned
[00:29:06.200 --> 00:29:09.200]   on these five plus billion video frames
[00:29:09.200 --> 00:29:11.700]   going from the raw data
[00:29:11.700 --> 00:29:14.300]   to the actionable useful information
[00:29:14.300 --> 00:29:16.700]   the slides are up online
[00:29:16.700 --> 00:29:18.000]   if you'd like to look through them
[00:29:18.000 --> 00:29:20.000]   I'll fly through some of them
[00:29:20.000 --> 00:29:22.400]   and this is the video
[00:29:22.400 --> 00:29:25.900]   of one of thousands of trips we have
[00:29:25.900 --> 00:29:28.100]   in autopilot in our data
[00:29:28.100 --> 00:29:29.700]   a car driving
[00:29:30.400 --> 00:29:31.400]   autonomously
[00:29:31.400 --> 00:29:34.200]   a large fraction of the time on highways
[00:29:34.200 --> 00:29:35.600]   from here to California
[00:29:35.600 --> 00:29:37.000]   from here to Chicago
[00:29:37.000 --> 00:29:38.700]   to Florida
[00:29:38.700 --> 00:29:40.600]   and all across the United States
[00:29:40.600 --> 00:29:44.900]   we take that data
[00:29:44.900 --> 00:29:47.500]   and using
[00:29:47.500 --> 00:29:50.100]   the supervised learning algorithms
[00:29:50.100 --> 00:29:51.400]   semi-supervised
[00:29:51.400 --> 00:29:54.400]   the number of frames here is huge
[00:29:54.400 --> 00:29:56.800]   for those that work in computer vision
[00:29:56.800 --> 00:29:58.500]   five billion frames
[00:29:58.500 --> 00:30:01.600]   is several orders of magnitude larger
[00:30:01.600 --> 00:30:04.200]   than any data set that people are working with
[00:30:04.200 --> 00:30:05.800]   in computer vision
[00:30:05.800 --> 00:30:09.800]   actively annotated
[00:30:09.800 --> 00:30:14.600]   so we want to use that data
[00:30:14.600 --> 00:30:15.600]   for
[00:30:15.600 --> 00:30:17.500]   understanding the behavior
[00:30:17.500 --> 00:30:19.600]   of what people actually doing in the cars
[00:30:19.600 --> 00:30:21.900]   and we want to train the algorithms
[00:30:21.900 --> 00:30:23.400]   that do perception and control
[00:30:23.400 --> 00:30:25.700]   a quick summary
[00:30:25.700 --> 00:30:27.900]   over 300,000 miles
[00:30:28.200 --> 00:30:29.500]   25 vehicles
[00:30:29.500 --> 00:30:32.500]   the colors are true to the actual colors of the vehicles
[00:30:32.500 --> 00:30:35.100]   little fun fact
[00:30:35.100 --> 00:30:38.000]   Tesla, Model X, Model S
[00:30:38.000 --> 00:30:39.400]   and now Model 3
[00:30:39.400 --> 00:30:42.700]   500,000
[00:30:42.700 --> 00:30:44.300]   500 plus
[00:30:44.300 --> 00:30:46.200]   sorry miles a day and growing
[00:30:46.200 --> 00:30:48.400]   now most days
[00:30:48.400 --> 00:30:50.200]   in 2018
[00:30:50.200 --> 00:30:53.000]   are over a thousand miles a day
[00:30:53.000 --> 00:30:55.800]   this is a quick GPS map
[00:30:56.000 --> 00:30:58.900]   in red is manual driving across the Boston area
[00:30:58.900 --> 00:30:59.800]   in blue
[00:30:59.800 --> 00:31:02.300]   cyan is autonomous driving
[00:31:02.300 --> 00:31:05.600]   this is giving you the sense of just the scope of this data
[00:31:05.600 --> 00:31:07.900]   this is a huge number of miles
[00:31:07.900 --> 00:31:10.900]   with automated driving
[00:31:10.900 --> 00:31:13.600]   several orders of magnitude larger
[00:31:13.600 --> 00:31:15.900]   than what Waymo is doing
[00:31:15.900 --> 00:31:17.700]   that what Cruze is doing
[00:31:17.700 --> 00:31:19.100]   and what Uber is doing
[00:31:24.800 --> 00:31:26.300]   the miles driven
[00:31:26.300 --> 00:31:27.800]   in this data
[00:31:27.800 --> 00:31:29.400]   with autopilot
[00:31:29.400 --> 00:31:33.400]   confirming what Elon Musk has stated
[00:31:33.400 --> 00:31:38.400]   is 33% of miles are driven autonomously
[00:31:38.400 --> 00:31:41.500]   this is a remarkable number for those of you who
[00:31:41.500 --> 00:31:42.700]   drive
[00:31:42.700 --> 00:31:45.600]   and for those of you who are familiar with these technologies
[00:31:45.600 --> 00:31:48.000]   that is remarkable adoption rate
[00:31:48.000 --> 00:31:51.900]   that 33% of the miles are driven in autopilot
[00:31:51.900 --> 00:31:53.000]   that means these
[00:31:53.700 --> 00:31:56.200]   drivers are getting use out of the system
[00:31:56.200 --> 00:31:57.900]   it's working for them
[00:31:57.900 --> 00:31:59.500]   that's an incredible number
[00:31:59.500 --> 00:32:03.300]   it's also incredible
[00:32:03.300 --> 00:32:04.700]   because under
[00:32:04.700 --> 00:32:07.600]   the decades of literature
[00:32:07.600 --> 00:32:10.300]   from aviation to automation and vehicles
[00:32:10.300 --> 00:32:12.800]   to Chris Urmson and Waymo
[00:32:12.800 --> 00:32:16.000]   the belief is such high numbers
[00:32:16.000 --> 00:32:17.900]   are likely to lead
[00:32:17.900 --> 00:32:20.500]   to crashes to fatalities
[00:32:20.500 --> 00:32:21.100]   to
[00:32:21.500 --> 00:32:24.300]   at the very least highly responsible behavior
[00:32:24.300 --> 00:32:28.700]   drivers over trusting the systems and getting in trouble
[00:32:28.700 --> 00:32:32.900]   we can run the glance classification algorithms
[00:32:32.900 --> 00:32:34.600]   again this is
[00:32:34.600 --> 00:32:37.400]   for next Wednesday discussion to the actual algorithm
[00:32:37.400 --> 00:32:39.900]   it's the algorithm that tells you the region
[00:32:39.900 --> 00:32:41.400]   that the driver is looking at
[00:32:41.400 --> 00:32:44.400]   and it's comparing road instrument cluster left
[00:32:44.400 --> 00:32:46.500]   rearview center stack and right
[00:32:46.500 --> 00:32:49.800]   does the allocation of glance change with autopilot
[00:32:49.800 --> 00:32:51.000]   or
[00:32:51.400 --> 00:32:52.200]   with
[00:32:52.200 --> 00:32:53.400]   manual driving
[00:32:53.400 --> 00:32:55.300]   it does not appear to
[00:32:55.300 --> 00:32:57.800]   in any significant noticeable way
[00:32:57.800 --> 00:33:00.200]   meaning you don't start playing chess
[00:33:00.200 --> 00:33:01.400]   you don't start
[00:33:01.400 --> 00:33:03.500]   you don't get in the backseat to sleep
[00:33:03.500 --> 00:33:08.400]   you don't start texting in your smartphone watching a movie
[00:33:08.400 --> 00:33:10.100]   at least in this data set
[00:33:10.100 --> 00:33:11.800]   there's promise here
[00:33:11.800 --> 00:33:14.300]   for the human-centered approach
[00:33:14.300 --> 00:33:18.300]   the observation to summarize
[00:33:18.900 --> 00:33:21.800]   this particular data is that people are using it a lot
[00:33:21.800 --> 00:33:24.300]   the percentage of miles a percentage hours
[00:33:24.300 --> 00:33:25.700]   is incredibly high
[00:33:25.700 --> 00:33:27.800]   at least relative to what was
[00:33:27.800 --> 00:33:29.200]   will be expected
[00:33:29.200 --> 00:33:30.400]   from these systems
[00:33:30.400 --> 00:33:33.000]   and given that there's no crashes
[00:33:33.000 --> 00:33:34.900]   there's no near crashes
[00:33:34.900 --> 00:33:36.000]   in autopilot
[00:33:36.000 --> 00:33:38.000]   the
[00:33:38.000 --> 00:33:40.400]   road type is mostly highway
[00:33:40.400 --> 00:33:42.300]   traveling at high speeds
[00:33:42.300 --> 00:33:46.200]   the mental engagement looked at
[00:33:47.800 --> 00:33:51.000]   8,000 transfer of control from machine to human
[00:33:51.000 --> 00:33:53.200]   so human beings taking control of the vehicle
[00:33:53.200 --> 00:33:54.500]   saying you know what
[00:33:54.500 --> 00:33:56.300]   I'm going to take control now
[00:33:56.300 --> 00:33:57.800]   I'm not comfortable with the situation
[00:33:57.800 --> 00:33:58.800]   for whatever reason
[00:33:58.800 --> 00:34:00.200]   either not comfortable
[00:34:00.200 --> 00:34:03.500]   or electing to do something that the vehicle is not able to
[00:34:03.500 --> 00:34:04.800]   like turn off the highway
[00:34:04.800 --> 00:34:07.000]   make a right or left turn
[00:34:07.000 --> 00:34:08.500]   stop for a stop sign
[00:34:08.500 --> 00:34:09.400]   these kinds of things
[00:34:09.400 --> 00:34:12.200]   physical engagement
[00:34:12.200 --> 00:34:14.300]   as I said glance remains the same
[00:34:14.300 --> 00:34:17.000]   and what do we take from this
[00:34:17.500 --> 00:34:19.800]   it's just something that I'd like to really emphasize
[00:34:19.800 --> 00:34:20.600]   as we talked
[00:34:20.600 --> 00:34:23.500]   as we talk about autonomous vehicles in this class
[00:34:23.500 --> 00:34:25.100]   and the guest speakers
[00:34:25.100 --> 00:34:26.600]   who are all on the other side
[00:34:26.600 --> 00:34:29.500]   so I'm representing the human center side
[00:34:29.500 --> 00:34:33.700]   all our speakers are focused on the full autonomy side
[00:34:33.700 --> 00:34:35.900]   because that's the side
[00:34:35.900 --> 00:34:37.600]   roboticists know how to solve
[00:34:37.600 --> 00:34:41.100]   that's the fascinating algorithm nerd side
[00:34:41.100 --> 00:34:43.800]   and that's the side I love as well
[00:34:43.800 --> 00:34:46.000]   it's just my belief stands
[00:34:46.200 --> 00:34:48.600]   that the solving the perception control problem
[00:34:48.600 --> 00:34:50.000]   is extremely difficult
[00:34:50.000 --> 00:34:51.700]   and two three decades away
[00:34:51.700 --> 00:34:53.200]   so in the meantime
[00:34:53.200 --> 00:34:55.900]   we have to utilize the human robot interaction
[00:34:55.900 --> 00:34:58.700]   to actually bring these AI systems onto the road
[00:34:58.700 --> 00:35:00.100]   to successfully operate
[00:35:00.100 --> 00:35:02.900]   and the way we do that counterintuitively
[00:35:02.900 --> 00:35:04.700]   is
[00:35:04.700 --> 00:35:07.800]   we have to have
[00:35:07.800 --> 00:35:11.400]   we have to let the artificial intelligence systems
[00:35:11.400 --> 00:35:13.000]   reveal their flaws
[00:35:14.300 --> 00:35:17.200]   one of the most endearing things to human beings
[00:35:17.200 --> 00:35:19.200]   can do to each other
[00:35:19.200 --> 00:35:20.000]   friends
[00:35:20.000 --> 00:35:23.500]   is reveal their flaws to each other
[00:35:23.500 --> 00:35:26.500]   now from a automotive perspective
[00:35:26.500 --> 00:35:28.000]   from a company perspective
[00:35:28.000 --> 00:35:29.700]   it's perhaps not
[00:35:29.700 --> 00:35:34.000]   appealing for an AI system to reveal
[00:35:34.000 --> 00:35:35.600]   what it sees about the world
[00:35:35.600 --> 00:35:37.600]   and what it doesn't see about the world
[00:35:37.600 --> 00:35:40.500]   where it succeeds and where it fails
[00:35:42.000 --> 00:35:45.100]   but that is perhaps exactly what it needs to do
[00:35:45.100 --> 00:35:47.300]   in the case of autopilot
[00:35:47.300 --> 00:35:49.600]   the way the very limited
[00:35:49.600 --> 00:35:51.600]   but I believe successful way
[00:35:51.600 --> 00:35:52.600]   is currently doing that
[00:35:52.600 --> 00:35:55.400]   is allowing you to use autopilot basically anywhere
[00:35:55.400 --> 00:35:57.000]   so what people are doing
[00:35:57.000 --> 00:35:58.600]   is they're trying to engage
[00:35:58.600 --> 00:36:00.700]   their turn on autopilot
[00:36:00.700 --> 00:36:02.900]   in places where they really shouldn't
[00:36:02.900 --> 00:36:06.400]   rural roads, curvy
[00:36:06.400 --> 00:36:09.300]   with terrible road markings
[00:36:09.500 --> 00:36:13.300]   with in heavy rain conditions
[00:36:13.300 --> 00:36:14.200]   with snow
[00:36:14.200 --> 00:36:18.000]   with lots of cars driving at high speeds all around
[00:36:18.000 --> 00:36:19.700]   they turn autopilot on
[00:36:19.700 --> 00:36:22.900]   to understand to experience the limitations of the system
[00:36:22.900 --> 00:36:26.400]   to interact that human robot interaction
[00:36:26.400 --> 00:36:30.000]   is through its tactile
[00:36:30.000 --> 00:36:32.400]   by turning it on and seeing
[00:36:32.400 --> 00:36:33.300]   is it going to work here?
[00:36:33.300 --> 00:36:34.300]   How is it going to fail?
[00:36:34.300 --> 00:36:36.000]   And the human is always there to catch it
[00:36:36.000 --> 00:36:37.400]   that interaction
[00:36:37.400 --> 00:36:39.100]   that's communication
[00:36:39.500 --> 00:36:41.400]   that intimate understanding
