
[00:00:00.000 --> 00:00:05.300]   Do you want to fly first class for less than the cost of economy or even just cut your economy
[00:22:45.060 --> 00:22:53.060]   Steve McLaughlin: So now the amount of fees that are tacked on also vary. And so you have to get lucky that one of these really cheap flights is available
[00:22:53.060 --> 00:23:07.060]   Steve McLaughlin: with low surcharges at the time you want to fly. And, you know, don't get hung up on trying to find that 29,000 point one, because those are really hard to find. But more often, you will see like 40,000, 41,000 points for business class.
[00:23:07.060 --> 00:23:09.060]   Steve McLaughlin: Now you're not going to see a lot of that from the West Coast, I don't think. But for those, especially in New York, Virgin Atlantic just has tons and tons of flights between JFK and London. So a lot more award availability is there. In addition to business class deals using Virgin Atlantic miles to fly Virgin Atlantic, they have some incredible prices for economy and premium economy. So we've seen, you know, economy as low as about 6,000 miles.
[00:23:09.060 --> 00:23:12.420]   You're not going to see a lot of that from the West Coast, I don't think.
[00:23:12.420 --> 00:23:20.480]   But for those, especially in New York, Virgin Atlantic just has tons and tons of flights between JFK and London.
[00:23:20.480 --> 00:23:23.440]   So a lot more award availability is there.
[00:23:23.440 --> 00:23:32.400]   In addition to business class deals using Virgin Atlantic miles to fly Virgin Atlantic, they have some incredible prices for economy and premium economy.
[00:23:32.400 --> 00:23:38.780]   So we've seen, you know, economy as low as about 6,000 miles one way to Europe.
[00:23:38.780 --> 00:23:39.780]   To London.
[00:23:39.780 --> 00:23:40.080]   Yeah.
[00:23:40.080 --> 00:23:41.200]   Wow.
[00:23:41.200 --> 00:23:46.920]   Premium economy starts at, I want to say, 9,000 or 10,000.
[00:23:46.920 --> 00:23:51.060]   I'm not sure exactly off the top of my head, but it's just like dirt cheap.
[00:23:51.060 --> 00:23:55.320]   Now, this is especially, again, New York, between New York and London.
[00:23:55.320 --> 00:24:02.960]   You can find good prices elsewhere in the U.S., but that's where those lowest, lowest prices, at least in my experience, where I've seen those.
[00:24:03.340 --> 00:24:13.380]   Okay, so Virgin Atlantic, by the way, I should mention, people might not realize this, is they don't have a very complicated route network.
[00:24:13.380 --> 00:24:23.840]   They basically fly from London and a couple other airports in the U.K., but mostly London, to some international destinations.
[00:24:23.840 --> 00:24:30.240]   But they don't have, like, any short-haul flights around Europe, for example.
[00:24:30.240 --> 00:24:44.880]   So Virgin Atlantic is best for if you're flying to or from London or if you're going really far past London, like flying U.S. through London to South Africa, for example.
[00:24:45.040 --> 00:24:46.500]   You might be able to get good deals for that.
[00:24:46.500 --> 00:24:53.800]   If you want to fly to Europe, sometimes you can get lucky because they do partner with Air France and KLM, well, and other Sky Team partners.
[00:24:53.800 --> 00:25:04.520]   But those in particular, if you're flying to one of their airports, then you might be able to find a award flight that goes through London to Paris or Amsterdam.
[00:25:05.220 --> 00:25:09.700]   Okay, so ANA, but you've got to find it somewhere else, flying Virgin Atlantic Metal.
[00:25:09.700 --> 00:25:11.860]   And you mentioned that example earlier for Delta.
[00:25:11.860 --> 00:25:15.420]   So if someone's looking for Delta flights, is Virgin a good place to look?
[00:25:15.420 --> 00:25:28.860]   So if you're flying domestically in the U.S. on Delta, and it's a fairly short-distance, non-stop flight, then Virgin actually has some really good pricing.
[00:25:28.860 --> 00:25:38.460]   Where things start to go awry is if you have any stops along the way, Virgin will price each leg of your journey separately.
[00:25:38.460 --> 00:25:41.240]   So it all adds up and quickly becomes a bad deal.
[00:25:41.240 --> 00:25:51.140]   Well, I said domestic, but actually you can find good deals between like Southern Florida and the Caribbean, for example, because, you know, those are short-distance or even Atlanta and the Caribbean.
[00:25:51.140 --> 00:25:56.040]   So there are good deals to be had on just about any short-distance flights.
[00:25:56.040 --> 00:26:00.600]   Virgin used to be the best way to book Delta business class to Europe.
[00:26:00.600 --> 00:26:07.620]   But what's happened is they recently started tacking on about $1,000 in surcharges when you do that.
[00:26:07.620 --> 00:26:09.860]   And so that really kills the deal.
[00:26:09.940 --> 00:26:13.780]   And so that's where Air France Flying Blue comes in.
[00:26:13.780 --> 00:26:15.040]   So we'll talk about that soon.
[00:26:15.040 --> 00:26:15.660]   Great.
[00:26:15.660 --> 00:26:22.400]   Let's do that because Air France is probably the airline I have booked the most international business class with.
[00:26:22.400 --> 00:26:28.160]   Because prior to, I guess, a month ago, you know, things change all the time, right?
[00:26:28.160 --> 00:26:33.540]   It seemed like last year and in years before, finding Air France business class inventory was easier.
[00:26:33.540 --> 00:26:34.920]   Then it was really hard.
[00:26:35.400 --> 00:26:38.480]   And now as we're recording, it seems like it's gotten a lot easier again.
[00:26:38.480 --> 00:26:43.700]   But why do you love Flying Blue, the program for both Air France and KLM?
[00:26:43.700 --> 00:26:45.160]   Let me get into that in a second.
[00:26:45.160 --> 00:26:53.800]   But I realized one sweet spot of using Virgin Atlantic miles I forgot to mention is to book Air France or KLM flights.
[00:26:53.800 --> 00:27:02.620]   So those flights, business class or economy or whatever, Virgin Atlantic does not tack on huge surcharges the way they do with Delta.
[00:27:02.880 --> 00:27:04.400]   So you can get good deals.
[00:27:04.400 --> 00:27:16.180]   I just recently flew to Europe in business class on Air France for I think it was 48,500 miles each way and a couple hundred dollars in taxes and fees.
[00:27:16.180 --> 00:27:20.840]   When you look, did you happen to see what that would have cost if you booked it with Air France or KLM?
[00:27:21.480 --> 00:27:23.440]   Yeah, I'm sure I did at the time.
[00:27:23.440 --> 00:27:25.920]   I don't remember, but it was a lot more.
[00:27:25.920 --> 00:27:28.660]   So now let's talk about this.
[00:27:28.660 --> 00:27:32.960]   So Virgin Atlantic has a fixed award chart for booking their partners.
[00:27:32.960 --> 00:27:37.940]   You can look up their award chart and see how much it will cost to fly different routes.
[00:27:37.940 --> 00:27:41.460]   And that's what it'll be in terms of the miles you use.
[00:27:41.460 --> 00:27:47.100]   Air France, KLM, though, when you're using their miles, they don't have an award chart.
[00:27:47.100 --> 00:28:03.440]   So what they have instead is if you're booking business class between North America and Europe, those awards start at 60,000 miles, which is good if you could find it, especially flights from the West Coast U.S. to Europe.
[00:28:03.440 --> 00:28:06.400]   If you get that for 60,000 miles, that's a great deal.
[00:28:07.000 --> 00:28:14.100]   And I'm saying that because, like, you know, I mentioned before around 48,000 Virgin Atlantic miles to fly Air France business class.
[00:28:14.100 --> 00:28:17.780]   That was from U.S. East Coast to Europe West Coast.
[00:28:17.780 --> 00:28:19.640]   So that's a short, much shorter flight.
[00:28:19.640 --> 00:28:21.520]   Virgin Atlantic charges more.
[00:28:21.520 --> 00:28:25.300]   The reward chart shows it charges more from the West Coast U.S. to Europe.
[00:28:25.300 --> 00:28:29.860]   Air France KLM would be a better deal in that case if you got the 60,000 point award.
[00:28:29.860 --> 00:28:34.540]   In the case I was talking about, no, I know the 60,000 point award was not available.
[00:28:34.540 --> 00:28:36.540]   I can't remember what they were charging.
[00:28:36.660 --> 00:28:38.680]   It might have been 90,000, might have been 120,000.
[00:28:38.680 --> 00:28:42.500]   It's it feels very random when you're looking these things up.
[00:28:42.500 --> 00:28:43.080]   Yeah.
[00:28:43.080 --> 00:28:49.880]   One of the things I liked about Air France is that some airlines are not as easy to find multiple seats.
[00:28:49.880 --> 00:28:52.680]   So, you know, oh, I can find one or two business class seats.
[00:28:52.680 --> 00:29:01.160]   But Air France seems to, at least in the past, be easier to find four or five seats, which for us, traveling with a family is easy.
[00:29:01.660 --> 00:29:06.600]   And they offer a discount for kids, I think, under 12, maybe you get like 20 or 25% off.
[00:29:06.600 --> 00:29:07.060]   Right.
[00:29:07.400 --> 00:29:10.040]   So, that's part of the reason I liked it.
[00:29:10.040 --> 00:29:10.640]   What about you?
[00:29:10.640 --> 00:29:11.180]   Yeah.
[00:29:11.180 --> 00:29:14.120]   I mean, I'm usually flying, just my wife and I.
[00:29:14.120 --> 00:29:18.440]   So, I'm not as focused on the number of people or the discount for the children.
[00:29:18.440 --> 00:29:21.840]   But that's certainly a great feature.
[00:29:21.840 --> 00:29:23.880]   For me, it comes down to a few things.
[00:29:23.960 --> 00:29:27.000]   One is I'm at a Delta hub in Detroit.
[00:29:27.000 --> 00:29:28.680]   That's where I fly out most of the time.
[00:29:28.680 --> 00:29:41.080]   And so, if in the rare situations when Delta releases international business class award space to their partners, Air France, KLM Flying Blue is the way to go.
[00:29:41.080 --> 00:29:42.840]   So, I just booked one.
[00:29:42.840 --> 00:29:44.460]   Actually, I think it was just yesterday.
[00:29:44.460 --> 00:29:54.960]   I booked a return flight from Amsterdam to Detroit nonstop business class for two for, I can't remember the exact number of Air France miles.
[00:29:54.960 --> 00:29:59.800]   It was 70 something thousand, I think, Air France miles and a couple hundred dollars.
[00:29:59.800 --> 00:30:07.780]   And I chose that instead of around 48,000 Virgin Atlantic miles and 1,000 euros.
[00:30:07.780 --> 00:30:12.960]   You know, so that's, I don't know, 1,100, $1,200 or whatever is what Virgin Atlantic wanted to tack on.
[00:30:12.960 --> 00:30:20.020]   And so, by paying a few more miles with Flying Blue, I was able to get a much better deal overall.
[00:30:20.020 --> 00:30:24.320]   And I'm sure both of which were extremely better than using Delta miles.
[00:30:24.320 --> 00:30:29.980]   Well, yeah, I don't even look at Delta miles anymore because the cost is almost tied to the price.
[00:30:29.980 --> 00:30:43.140]   And so, if the price was, you know, $3,000 for that flight, I don't actually know off the top of my head what it was, but they probably would want 300,000 or in that neighborhood Delta miles for that flight.
[00:30:43.140 --> 00:30:58.800]   I have not found a great use of Delta miles other than kind of short haul domestic flights where I'm just trying to offset the cost of the flights versus, you know, sometimes I've seen flights be 60,000 points that were otherwise 450,000 Delta miles.
[00:30:58.800 --> 00:31:05.220]   So, it's just Delta miles are hard to burn in a really, really outsized value way.
[00:31:05.220 --> 00:31:06.140]   They are.
[00:31:06.140 --> 00:31:12.860]   I think of them more these days as like, these are pennies that are sometimes worth a little bit more than that.
[00:31:12.860 --> 00:31:22.800]   So, you know, if I could get 1.3 cents per point value from my Delta sky miles, I'm happy because I'm not looking for that outsized value.
[00:31:22.800 --> 00:31:32.540]   And that's also why I don't look to use my Delta miles for international business or first class because I know it's going to be outrageously expensive in miles.
[00:31:32.540 --> 00:31:38.740]   I more look at what the Delta mile cost is when I'm thinking of paying cash for a flight.
[00:31:38.740 --> 00:31:41.160]   And that's usually for economy flights domestically.
[00:31:41.980 --> 00:31:44.220]   This episode is brought to you by Element.
[00:31:44.220 --> 00:31:51.020]   If you've listened to this show, you know I'm always searching for ways to feel better, think clearer, and optimize my life.
[00:31:51.020 --> 00:31:55.500]   And Element is genuinely one of the simplest, most impactful upgrades I've made.
[00:31:55.500 --> 00:32:01.320]   I drink Element almost every day, and it's become the number one thing on my packing list whenever I travel.
[00:32:01.320 --> 00:32:02.480]   Here's why.
[00:32:02.480 --> 00:32:05.180]   Staying hydrated isn't just about drinking water.
[00:32:05.180 --> 00:32:11.100]   Electrolyte imbalances can lead to headaches, fatigue, brain fog, poor sleep, and most electrolyte drinks
[00:32:11.100 --> 00:32:16.580]   like drinks out there are packed with sugar or artificial ingredients that I just don't want in my body.
[00:32:16.580 --> 00:32:18.180]   But Element is different.
[00:32:18.180 --> 00:32:26.380]   It's zero sugar, zero artificial junk, just a perfectly balanced mix of electrolytes and sodium that's backed by science and tastes great.
[00:32:26.380 --> 00:32:35.340]   Ever since I started drinking Element, I've noticed clearer focus throughout the day, better sleep at night, and I am more energized and primed for workouts and recovery.
[00:32:35.740 --> 00:32:37.920]   Honestly, it is hard to imagine going back.
[00:32:37.920 --> 00:32:43.780]   Whether you're an athlete or just somebody like me trying to get the most out of every day, you've got to try Element.
[00:32:43.780 --> 00:32:50.200]   And they're so confident you'll love it that they offer no questions asked refunds, so you can try it totally risk-free.
[00:32:50.900 --> 00:33:01.420]   For All The Hacks listeners, you can get a free eight-count sample pack of Element's most popular drink mix flavors with any purchase at allthehacks.com slash Element, L-M-N-T.
[00:33:01.420 --> 00:33:04.520]   Find your favorite Element flavor or share it with a friend.
[00:33:04.520 --> 00:33:08.560]   That's allthehacks.com slash Element, L-M-N-T.
[00:33:09.240 --> 00:33:11.760]   This episode is brought to you by NetSuite.
[00:33:11.760 --> 00:33:13.960]   It's an interesting time for business.
[00:33:13.960 --> 00:33:19.900]   Tariff and trade policies are dynamic, supply chains are squeezed, and cash flow tighter than ever.
[00:33:19.900 --> 00:33:23.760]   If your business can't adapt in real time, you're in a world of hurt.
[00:33:23.760 --> 00:33:29.360]   You need total visibility from global shipments to tariff impacts to real-time cash flow.
[00:33:29.360 --> 00:33:36.760]   That is NetSuite by Oracle, your AI-powered business management suite trusted by over 41,000 businesses.
[00:33:37.600 --> 00:33:40.900]   NetSuite is the number one cloud ERP for many reasons.
[00:33:40.900 --> 00:33:45.600]   It brings accounting, financial management, inventory, HR into one suite.
[00:33:45.600 --> 00:33:50.940]   You have one source of truth, giving you the visibility and control you need to make quick decisions.
[00:33:50.940 --> 00:33:57.780]   And with AI embedded throughout, you can automate a lot of those everyday tasks, letting your teams stay strategic.
[00:33:57.780 --> 00:34:02.740]   NetSuite helps you know what's stuck, what it's costing you, and how to pivot fast.
[00:34:03.060 --> 00:34:07.920]   It's one system, full control, exactly what I'm looking for in products for my business.
[00:34:07.920 --> 00:34:18.420]   And if your revenues are at least in the seven figures, download the free e-book, Navigating Global Trade, Three Insights for Leaders, at netsuite.com slash all the hacks.
[00:34:18.660 --> 00:34:25.340]   All right, back to Air France, KLM Flying Blue.
[00:34:25.340 --> 00:34:30.440]   So Air France and KLM share this rewards program called Flying Blue.
[00:34:30.440 --> 00:34:33.960]   Those miles, as I said, can be used to fly Delta.
[00:34:34.460 --> 00:34:42.720]   When flying Delta domestically right now, Virgin Atlantic is a better deal for that.
[00:34:42.720 --> 00:34:45.920]   But we saw that next year.
[00:34:45.920 --> 00:34:55.020]   So starting in 2026, it looks like Air France, KLM is lowering their award prices for Deltas like short-haul flights and things.
[00:34:55.180 --> 00:34:59.520]   So flying Blue might become the better way next year for booking Delta.
[00:34:59.520 --> 00:35:07.880]   Beyond booking Delta, you know, it's definitely worth mentioning that flying Air France or KLM can be a great deal.
[00:35:07.880 --> 00:35:13.620]   We talked about that briefly, about how business class awards to Europe start at 60,000 miles.
[00:35:14.340 --> 00:35:18.040]   And that's not just limited to nonstop flights.
[00:35:18.040 --> 00:35:23.420]   That can be flying L.A. to Paris to Naples or something.
[00:35:23.420 --> 00:35:28.020]   And if you can find that, that's a fantastic deal.
[00:35:28.020 --> 00:35:32.680]   They also have other partners that could potentially play into that.
[00:35:32.680 --> 00:35:43.660]   So potentially you might fly the long haul on KLM or Air France, but then connect on to ITA or one of the other Sky Team partners in Europe.
[00:35:44.320 --> 00:35:49.380]   And sometimes they have these promo rewards where they're like, hey, I don't know if it's monthly or quarterly.
[00:35:49.380 --> 00:35:50.760]   I can't keep track of it.
[00:35:50.760 --> 00:35:55.040]   But they're like, hey, here are some discounts and there are better deals than our normal pricing.
[00:35:55.040 --> 00:35:57.700]   I don't know if you've ever booked one, but I see them all the time.
[00:35:57.700 --> 00:35:59.260]   Yeah, no, absolutely.
[00:35:59.260 --> 00:36:02.080]   I don't think I've booked them, but they have those.
[00:36:02.080 --> 00:36:02.860]   I think they're monthly.
[00:36:02.860 --> 00:36:05.800]   They're usually great for flying economy.
[00:36:06.260 --> 00:36:16.860]   And that's where we do see they have like a selection of cities that if you're flying from or to one of these cities, you get in on these good deals.
[00:36:16.860 --> 00:36:21.920]   And they'll often advertise them wrong in our favor.
[00:36:21.920 --> 00:36:32.440]   And what I mean by that is like they might advertise if you're flying from Austin, you'll see economy flights starting at 14,000 miles one way.
[00:36:32.600 --> 00:36:37.760]   But then you go to look and you might see economy flights starting at 9,000 miles one way.
[00:36:37.760 --> 00:36:46.120]   And so they kind of sell themselves short by I guess they're, you know, over delivering on the deal in those cases.
[00:36:46.120 --> 00:36:58.900]   Sometimes they do have business class deals sometimes, but it's usually just one North American city and seems to be as likely to be in Canada as in the U.S.
[00:36:58.900 --> 00:37:10.860]   So, you know, I feel like I frequently see them out of Montreal or wherever that, which is great for people who could easily get to Montreal, but not so great for everyone hoping to find a deal from L.A. or New York or Chicago.
[00:37:10.860 --> 00:37:17.580]   The only other thing I'll say is, you know, this inventory that these airlines offer changes all the time.
[00:37:17.580 --> 00:37:24.860]   And everyone was kind of in a sour mood about Air France, KLM flying mood this year because there was just not the availability we'd seen historically.
[00:37:25.200 --> 00:37:29.600]   And then in the last week or two, it seems like if you want to go to Europe, now it's a lot easier.
[00:37:29.600 --> 00:37:34.220]   And so, you know, things are going to change and ebb and flow with the release of inventory.
[00:37:34.220 --> 00:37:42.260]   But I'm hopeful that this is back to the old flying blue where there's a lot more availability and it's a lot easier to book.
[00:37:42.260 --> 00:37:47.020]   And so right now, at least recording at the end of June, you know, it's gotten better.
[00:37:47.020 --> 00:37:49.380]   And so hopefully that trend continues.
[00:37:49.380 --> 00:37:59.740]   I'm hoping it's better than before, even because those business class flights to Europe used to start at 50,000 miles and some number of months back.
[00:37:59.740 --> 00:38:09.820]   They change it to starting at 60,000 miles and they told us, well, we're doing that so that we can afford to basically release more word space.
[00:38:09.820 --> 00:38:13.760]   They didn't say it in those words, but that's at least how we interpreted what they said.
[00:38:13.840 --> 00:38:20.100]   And the reverse happened, like after they made that change, all the word space dried up and we're like, hey, what's going on here?
[00:38:20.100 --> 00:38:30.340]   I'm hopeful that that was a technical issue or an accounting issue that they've worked through and that now they actually have delivered on this promise to open more word space.
[00:38:30.500 --> 00:38:31.680]   That would be excellent.
[00:38:31.680 --> 00:38:38.760]   The pessimist in me says, I keep getting these emails from Air France saying they're celebrating some kind of anniversary.
[00:38:38.760 --> 00:38:44.400]   And so they're they're having like special deals that like, you know, a sale on their miles and so on.
[00:38:44.400 --> 00:38:48.720]   I'm hoping that this award space is not part of that anniversary celebration.
[00:38:48.720 --> 00:38:49.880]   Oh, I hope so.
[00:38:49.880 --> 00:38:56.040]   OK, I should mention, you know, Air France and Virgin Atlantic often have transfer bonuses.
[00:38:56.380 --> 00:38:59.940]   I averaged it out at five to seven a year every month or two.
[00:38:59.940 --> 00:39:01.920]   You'll probably see one or probably every two months.
[00:39:01.920 --> 00:39:06.560]   So often, but not something you can necessarily count on that regularly.
[00:39:06.560 --> 00:39:12.420]   But definitely I would be surprised if three months don't go by and you don't see at least one from some currency.
[00:39:12.420 --> 00:39:20.020]   If you want to do that kind of math yourself, our website, frequentmiler.com, we have a post called current transfer bonuses.
[00:39:20.020 --> 00:39:30.820]   And Chris, you mentioned that earlier, but I just want to point out that despite the name of the post current transfer bonuses, we have a second table in that post.
[00:39:30.820 --> 00:39:33.720]   That's all past transfer bonuses.
[00:39:34.420 --> 00:39:44.220]   And so if you're curious about what has happened before, like maybe you're waiting and hoping that a transfer bonus will appear to a particular program.
[00:39:44.220 --> 00:39:52.720]   And so you want to look back at were there any transfer bonuses in the summer or in the fall to this program I'm interested in?
[00:39:52.940 --> 00:39:56.580]   So you can use that data on that page to look back in time.
[00:39:56.580 --> 00:39:58.180]   Chris even helped us recently.
[00:39:58.180 --> 00:40:02.360]   We were missing a couple historical ones and he found those for us.
[00:40:02.360 --> 00:40:03.560]   And so now we've fixed that.
[00:40:03.560 --> 00:40:08.220]   So it should be pretty darn complete for the last, I don't know, five years or so.
[00:40:08.220 --> 00:40:09.240]   Yeah, it's great.
[00:40:09.240 --> 00:40:14.060]   Let's run through quickly a few of the other programs that are pretty commonly seen.
[00:40:14.060 --> 00:40:29.320]   I'll say Avios because depending on the partner or the currency you have in points, you might be able to transfer to one or multiple of the Avios programs, which is Finnair, Aer Lingus, Iberia, British Airways, Qatar.
[00:40:29.320 --> 00:40:32.540]   But you can move between them all.
[00:40:32.540 --> 00:40:42.100]   So while all the different programs have some different nuance, if you have access to just one of them as a transfer partner, you effectively get access to all of them.
[00:40:42.100 --> 00:40:46.240]   What do you think about the Avios program as a place to book flights from?
[00:40:46.240 --> 00:40:49.280]   I think it's awesome that we have that option.
[00:40:49.280 --> 00:41:05.940]   And it's really cool that all these different programs let you move the points around because even though they often have similar pricing between like booking through British Airways or Qatar or whatever, and they don't always have the same availability for booking flights.
[00:41:05.940 --> 00:41:07.260]   It's a terrific option.
[00:41:07.260 --> 00:41:19.140]   And it's not as user-friendly as some of the programs in that there's no easy way to check which of these programs have the best deal on this particular flight.
[00:41:19.140 --> 00:41:26.940]   You have to like go into each of these separately and run your award search and see how much it'll cost.
[00:41:26.940 --> 00:41:31.340]   Some of them don't display the answer if you don't already have miles in that account.
[00:41:31.560 --> 00:41:33.460]   You know, so it's challenging.
[00:41:33.460 --> 00:41:39.060]   I wouldn't say there's like amazing deals in there, but there are some good deals to be found.
[00:41:39.060 --> 00:41:44.480]   And there are things that you might not normally think about that is really good.
[00:41:44.480 --> 00:41:53.520]   So, for example, if you're interested in flying Qatar Q-suites, which is one of the best business class flights you can do, international business class,
[00:41:53.520 --> 00:42:08.440]   You can use British Airways Avios to book Qatar from the US to Doha for 70,000 Avios, which is good, or you could use Qatar's own Avios to do the same thing for the same price.
[00:42:08.440 --> 00:42:10.100]   But here's where there's a difference.
[00:42:10.100 --> 00:42:21.180]   If there is not that saver level award availability with Qatar's own miles, you'd be able to book for 140,000 Avios that same flight.
[00:42:21.520 --> 00:42:33.740]   And if you have enough Avios and you're really set on, you know, a particular date to fly, that gives you the ability to book even, you know, yes, it costs twice as much.
[00:42:33.740 --> 00:42:39.860]   But especially when there's a transfer bonus involved, that might not actually be that expensive.
[00:42:39.860 --> 00:42:43.340]   And it gives you the perfect flight on the date you want.
[00:42:43.340 --> 00:42:46.320]   And so it's really good from that point of view.
[00:42:46.320 --> 00:42:53.680]   Yeah, I think one of the things that is often the case is booking with the airline for their own flights.
[00:42:53.680 --> 00:42:57.160]   You get access for some programs to a lot more inventory.
[00:42:57.160 --> 00:43:00.360]   I know on United, you can book any flight you want with miles.
[00:43:00.360 --> 00:43:01.860]   It's just not always the best deal.
[00:43:02.140 --> 00:43:11.560]   But even when it's not the best deal, it might still be a better deal than, you know, booking in a travel portal, getting one cent per point.
[00:43:11.560 --> 00:43:13.980]   And I've seen this with United a lot.
[00:43:13.980 --> 00:43:18.460]   Yes, you can go to Europe for, you know, under 100,000 points in business class.
[00:43:18.920 --> 00:43:26.740]   But sometimes it might be 130, 140, which sometimes I feel, gosh, I know it could be better, like there are better prices.
[00:43:26.740 --> 00:43:34.300]   But if the flight otherwise is still going to be $5,000, you know, it's still going to be half a million points in the portal to book.
[00:43:34.300 --> 00:43:43.980]   So having access to that extra inventory, which usually only comes from the program that operates the airline.
[00:43:43.980 --> 00:43:54.840]   So in this case, Qatar, it's not true for every airline, but it's definitely a reason that these transfer partners can be really valuable is because some of them have access to more availability on their own flights.
[00:43:54.840 --> 00:43:56.760]   Yeah, yeah, that's a great point.
[00:43:56.760 --> 00:43:59.980]   So I was just pointing out one very specific example of that.
[00:43:59.980 --> 00:44:16.460]   But yeah, but to expand on your United example, I think United, American and Alaska all share that characteristic that sometimes you can book their own flights when you couldn't book them with partners if you have their own miles.
[00:44:16.720 --> 00:44:20.000]   But what they also share is is the free cancellations.
[00:44:20.000 --> 00:44:29.620]   And so what I like to do is if I see, you know, I need to fly to Europe, I need to fly to Australia, wherever it is on a particular date or in a narrow window.
[00:44:29.860 --> 00:44:39.260]   And I see a not horrible use of United miles, Alaska miles, American Airlines miles, if I have enough of any of those miles, what I'll do is I'll book it.
[00:44:39.260 --> 00:44:47.640]   But then I'll also set up a word alerts with some different tools to be alerted when a better deal comes up.
[00:44:47.960 --> 00:44:58.960]   And when that better deal comes up, OK, I'll cancel my United booking and get back the miles, get back the fees that I paid and book this new one.
[00:44:58.960 --> 00:45:02.740]   And if if if one never shows up, then great.
[00:45:02.740 --> 00:45:05.420]   I still have a good award flight that I can take.
[00:45:05.420 --> 00:45:08.320]   I have never yet taken that good award flight.
[00:45:08.320 --> 00:45:10.540]   The alerts have always come through for me.
[00:45:10.540 --> 00:45:17.940]   Yes, I think when we talk about examples with these airlines, you might not find them today, but that doesn't mean you won't find them before your flight.
[00:45:17.940 --> 00:45:31.840]   So when it comes to obvious, my historical use of them, which hasn't been very recent, is that, you know, booking short haul, medium flights, especially on American can be a great deal.
[00:45:31.840 --> 00:45:41.920]   Internationally, the fuel surcharges were so high that I've never really seen great obvious uses kind of going to Europe on British airways or something.
[00:45:41.920 --> 00:45:47.280]   Are there any other kind of obvious sweet spots you found that or places to avoid?
[00:45:47.920 --> 00:45:57.440]   Yeah, I mean, as you said, certainly flying British airways itself long haul using well, using any points, actually almost any points.
[00:45:57.440 --> 00:45:59.440]   They tack on these huge surcharges.
[00:45:59.440 --> 00:46:01.020]   And so that's a problem.
[00:46:01.020 --> 00:46:15.920]   The one exception there with using Avios is if you're flying British airways and booking through British airways, British airways often these days gives you an option of paying more miles and fewer surcharges.
[00:46:16.920 --> 00:46:26.880]   So you might be able to book, you know, a business class flight to London from North America for, you know what, I don't know what the pricing is off the top of my head.
[00:46:26.940 --> 00:46:35.260]   So let's say it's 60,000 Avios, but with high surcharges or you pay 85,000 Avios and low surcharges.
[00:46:35.260 --> 00:46:47.120]   And I actually recently did that for my son for a flight that we're taking later this summer because I had found a really good deal for my wife and I, but there were only two seats using different miles.
[00:46:47.120 --> 00:46:49.740]   And then, then I was like, oh, he wants to fly.
[00:46:49.740 --> 00:46:51.020]   He wants to go on this trip too.
[00:46:51.020 --> 00:46:54.420]   And oh my gosh, the, you know, the surcharge is so high.
[00:46:54.420 --> 00:47:01.880]   But then I remembered that, okay, wait, if I look through British airways itself at the award, I might be able to, you know, just pay more Avios.
[00:47:02.080 --> 00:47:09.540]   And I'm willing to do that because all the Avios I have in my account have been accumulated from when there have been really big transfer bonuses.
[00:47:09.540 --> 00:47:11.740]   So I'm talking 40% or more.
[00:47:12.080 --> 00:47:12.480]   Yeah.
[00:47:12.480 --> 00:47:17.140]   And again, similar numbers, six to seven transfer bonuses a year to Avios.
[00:47:17.140 --> 00:47:24.060]   And the fact that there are so many programs you can transfer to makes me feel like that number is going to be even higher going forward.
[00:47:24.060 --> 00:47:27.620]   Because if there's a transfer bonus to thin air, well, great.
[00:47:27.620 --> 00:47:30.420]   That's also a transfer bonus to Qatar and British Airways and all that.
[00:47:30.420 --> 00:47:31.500]   So yeah.
[00:47:31.500 --> 00:47:34.600]   And keep in mind the feature you just mentioned.
[00:47:34.600 --> 00:47:39.560]   One of the things you won't find with a lot of award search tools is stuff like that.
[00:47:39.560 --> 00:47:48.700]   Knowing that you can go to British Airways' own site and buy down the fuel surcharge is not something that you'll probably see on award tool or points, yeah, or somewhere else.
[00:47:48.700 --> 00:47:50.220]   So that's a really good call out.
[00:47:50.220 --> 00:47:51.820]   That's a really good point.
[00:47:51.820 --> 00:48:02.600]   If you are eliminating flights from your searches, all those tools let you say, you know, I don't want to see flights that have more than X amount of dollars in surcharges.
[00:48:02.600 --> 00:48:06.860]   If you're doing that, you might be missing some opportunities for awards.
[00:48:06.860 --> 00:48:07.140]   Yeah.
[00:48:07.900 --> 00:48:16.820]   Okay, let's try to do a rapid fire here where we're not going to go into as much length because, you know, we kind of hit on the programs that I think are among the best, unless I missed any.
[00:48:17.200 --> 00:48:28.680]   But I'm going to run through a few of the commonly transferable airlines, maybe give me a couple bullets on whether they are or are not a good use or things people should explore.
[00:48:28.680 --> 00:48:36.380]   I'll start with Emirates, which has been unable to transfer to for a while while I think they upgraded tech, but it seems like it's back.
[00:48:36.380 --> 00:48:36.740]   Back.
[00:48:36.940 --> 00:48:54.960]   But is it is it something people should be using or looking at much for one specific purpose, use Emirates miles to fly from New York to Milan in business class or from Newark to Athens in business class for a reasonable number of miles.
[00:48:55.240 --> 00:49:03.680]   And then at the airport, ask to upgrade when you go to check in at the airport, ask to upgrade to first class.
[00:49:03.680 --> 00:49:06.600]   You throw in some more Emirates miles to fly in first class.
[00:49:06.600 --> 00:49:09.560]   And that's how my wife and I recently flew Emirates first class.
