
[00:00:00.000 --> 00:00:01.000]   Sound is good?
[00:23:35.100 --> 00:23:40.380]   And I think that I've asked a couple of people to say that, does that really look like Sanskrit?
[00:23:40.380 --> 00:23:41.380]   Yes.
[00:23:41.380 --> 00:23:43.140]   OK, great.
[00:23:43.140 --> 00:23:45.020]   Which can mean two things.
[00:23:45.020 --> 00:23:50.700]   It can mean that the model is actually generalizing or the model is overfitting, meaning that
[00:23:50.700 --> 00:23:52.620]   it's just memorizing what the training data looks like.
[00:23:52.620 --> 00:23:55.380]   And I'm just showing you examples from the training data.
[00:23:55.380 --> 00:23:59.820]   We'll come back to that point as we go through the talk.
[00:23:59.820 --> 00:24:02.180]   You can also do conditional simulation.
[00:24:02.180 --> 00:24:06.020]   Given half of the image, can you complete the remaining half?
[00:24:06.020 --> 00:24:12.140]   And more recently, there's been a lot of advances, especially in the last couple of years, for
[00:24:12.140 --> 00:24:13.580]   the conditional generations.
[00:24:13.580 --> 00:24:19.020]   And it's pretty amazing what you can do in terms of in-painting, given half of the image,
[00:24:19.020 --> 00:24:21.300]   what the other half of the image should look like.
[00:24:21.300 --> 00:24:25.820]   This is sort of a simple example, but it does show you that it's trying to be consistent
[00:24:25.820 --> 00:24:29.640]   with what different strokes look like.
[00:24:29.640 --> 00:24:32.820]   So why is it so difficult?
[00:24:32.820 --> 00:24:36.820]   In the space of so-called undirected graphical models of Bolsom machines, the difficulty
[00:24:36.820 --> 00:24:38.680]   really comes from the following fact.
[00:24:38.680 --> 00:24:43.560]   If I show you this image, which is a 28 by 28 image, it's a binary image.
[00:24:43.560 --> 00:24:46.060]   So some pixels are on, some pixels are off.
[00:24:46.060 --> 00:24:49.620]   There are 2 to the 28 by 28 possible images.
[00:24:49.620 --> 00:24:53.580]   So in fact, there are 2 to the 784 possible configurations.
[00:24:53.580 --> 00:24:56.000]   And that space is exponential.
[00:24:56.000 --> 00:25:00.620]   So how can you build models that figure out-- in the space of characters, there's only a
[00:25:00.620 --> 00:25:03.680]   little tiny subspace in that space.
[00:25:03.680 --> 00:25:11.580]   If you start generating 200 by 200 images, that space is huge.
[00:25:11.580 --> 00:25:15.120]   In the space of real images, it's really, really tiny.
[00:25:15.120 --> 00:25:16.420]   So how do you find that space?
[00:25:16.420 --> 00:25:18.480]   How do you generalize to new images?
[00:25:18.480 --> 00:25:23.640]   That's a very difficult question in general to answer.
[00:25:23.640 --> 00:25:27.940]   One class of models is so-called fully observed models.
[00:25:27.940 --> 00:25:33.000]   There's been a stream of learning generative models that are tractable.
[00:25:33.000 --> 00:25:36.780]   And they have very nice properties, like you can compute the probabilities, you can do
[00:25:36.780 --> 00:25:38.760]   maximum likelihood estimation.
[00:25:38.760 --> 00:25:43.840]   Here's one example where I can, if I try to model the image, I can write it down as taking
[00:25:43.840 --> 00:25:47.280]   the first pixel, modeling the first pixel, then modeling the second pixel, giving the
[00:25:47.280 --> 00:25:53.960]   first pixel, and just writing it down in terms of the conditional probabilities.
[00:25:53.960 --> 00:25:56.880]   And each conditional probability can take a very complicated form.
[00:25:56.880 --> 00:26:03.200]   It could be a complicated neural network.
[00:26:03.200 --> 00:26:08.280]   So there's been a number of successful models.
[00:26:08.280 --> 00:26:14.880]   One of the early models called Neural Autoregressive Density Estimator, actually developed by Hugo,
[00:26:14.880 --> 00:26:16.520]   real valid extension of these models.
[00:26:16.520 --> 00:26:19.680]   And more recently, we start seeing these flavors of models.
[00:26:19.680 --> 00:26:27.680]   There were a couple of papers popped up, actually this year, from DeepMind, where they make
[00:26:27.680 --> 00:26:32.800]   these conditionals to be sophisticated RNNs, LSTMs, or convolutional models.
[00:26:32.800 --> 00:26:35.600]   And they can actually generate remarkable images.
[00:26:35.600 --> 00:26:39.360]   And so this is just a pixel CNN generating, I guess, elephants.
[00:26:39.360 --> 00:26:40.360]   Yeah.
[00:26:40.360 --> 00:26:45.520]   And actually, it looks pretty interesting.
[00:26:45.520 --> 00:26:49.480]   The drawback of these models is that we yet have to see how good of representations these
[00:26:49.480 --> 00:26:54.320]   models are learning, so that we can use these representations for other tasks, like classifying
[00:26:54.320 --> 00:26:59.080]   images or find similar images and such.
[00:26:59.080 --> 00:27:03.680]   Now let me jump into a class of models called Restricted Bulse Machines.
[00:27:03.680 --> 00:27:07.520]   So this is the class of models where we're actually trying to learn some latent structure,
[00:27:07.520 --> 00:27:10.000]   some latent representation.
[00:27:10.000 --> 00:27:12.480]   These models belong to the class of so-called graphical models.
[00:27:12.480 --> 00:27:17.260]   And graphical models are a very powerful framework for representing dependency structure between
[00:27:17.260 --> 00:27:19.320]   random variables.
[00:27:19.320 --> 00:27:24.600]   This is an example where we have-- you can think of this particular model.
[00:27:24.600 --> 00:27:25.600]   You have some pixels.
[00:27:25.600 --> 00:27:28.480]   These are stochastic binary, so-called visible variables.
[00:27:28.480 --> 00:27:30.680]   You can think of pixels in your image.
[00:27:30.680 --> 00:27:32.480]   And you have stochastic binary hidden variables.
[00:27:32.480 --> 00:27:35.600]   You can think of them as feature detectors, so detecting certain patterns that you see
[00:27:35.600 --> 00:27:38.040]   in the data, much like sparse coding models.
[00:27:38.040 --> 00:27:40.280]   This has a bipartite structure.
[00:27:40.280 --> 00:27:45.760]   You can write down the probability, the joint distribution over all of these variables.
[00:27:45.760 --> 00:27:47.120]   You sort of have pairwise term.
[00:27:47.120 --> 00:27:48.120]   You have unitary term.
[00:27:48.120 --> 00:27:49.960]   But it's not really important what they look like.
[00:27:49.960 --> 00:27:53.920]   The important thing here is that if I look at this conditional probability of the data
[00:27:53.920 --> 00:27:58.600]   given the features, I can actually write down explicitly what it looks like.
[00:27:58.600 --> 00:27:59.600]   What does that mean?
[00:27:59.600 --> 00:28:03.480]   That basically means that if you tell me what features you see in the image, I can generate
[00:28:03.480 --> 00:28:08.320]   the data for you, or I can generate the corresponding input.
[00:28:08.320 --> 00:28:11.960]   In terms of learning features, so what do these models learn?
[00:28:11.960 --> 00:28:16.240]   They sort of learn something similar that we've seen in sparse coding.
[00:28:16.240 --> 00:28:20.120]   And so these classes of models are very similar to each other.
[00:28:20.120 --> 00:28:24.960]   So given a new image, I can say, well, this new image is made up by some combination of
[00:28:24.960 --> 00:28:28.480]   these learned weights or these learned bases.
[00:28:28.480 --> 00:28:32.920]   And the numbers here are given by the probabilities that each particular edge is present in the
[00:28:32.920 --> 00:28:35.080]   data.
[00:28:35.080 --> 00:28:41.200]   In terms of how we learn these models, one thing I want to make-- another point I should
[00:28:41.200 --> 00:28:47.720]   make here is that given an input, I can actually quickly infer what features I'm seeing in
[00:28:47.720 --> 00:28:48.720]   the image.
[00:28:48.720 --> 00:28:52.640]   So that operation is very easy to do, unlike in sparse coding models.
[00:28:52.640 --> 00:28:54.300]   It's a little bit more closer to an autoencoder.
[00:28:54.300 --> 00:28:58.480]   Given the data, I can actually tell you what features are present in my input, which is
[00:28:58.480 --> 00:29:02.560]   very important for things like information retrieval or classifying images, because you
[00:29:02.560 --> 00:29:05.280]   need to do it fast.
[00:29:05.280 --> 00:29:06.280]   How do we learn these models?
[00:29:06.280 --> 00:29:11.000]   Let me just give you an intuition, maybe a little bit of math behind how we learn these
[00:29:11.000 --> 00:29:12.000]   models.
[00:29:12.000 --> 00:29:16.520]   If I give you a set of training examples, and I want to learn model parameters, I can
[00:29:16.520 --> 00:29:18.840]   maximize the log-likelihood objective.
[00:29:18.840 --> 00:29:24.280]   And you've probably seen that in these tutorials, the maximum likelihood objective is essentially
[00:29:24.280 --> 00:29:29.680]   nothing more than saying, I want to make sure that the probability of observing these images
[00:29:29.680 --> 00:29:31.400]   is as high as possible.
[00:29:31.400 --> 00:29:36.480]   So finding the parameters of the probability of observing what I'm seeing is high.
[00:29:36.480 --> 00:29:41.960]   And that's why you're maximizing the likelihood objective for the log of the likelihood objective,
[00:29:41.960 --> 00:29:44.960]   which is take a product into the sum.
[00:29:44.960 --> 00:29:45.960]   You take the derivative.
[00:29:45.960 --> 00:29:47.000]   There's a little bit of algebra.
[00:29:47.000 --> 00:29:49.640]   I promise you it's not very difficult.
[00:29:49.640 --> 00:29:54.140]   It's like second-year college algebra.
[00:29:54.140 --> 00:29:55.140]   You differentiate.
[00:29:55.140 --> 00:30:01.800]   And you basically have this learning rule, which is the difference between two terms.
[00:30:01.800 --> 00:30:07.360]   The first term, you can think of it as looking at sufficient statistics, so-called sufficient
[00:30:07.360 --> 00:30:09.700]   statistics driven by the data.
[00:30:09.700 --> 00:30:14.120]   And the second term is the sufficient statistics driven by the model.
[00:30:14.120 --> 00:30:15.240]   Maybe I can parse it out.
[00:30:15.240 --> 00:30:16.240]   What does that mean?
[00:30:16.240 --> 00:30:21.720]   Intuitively, what that means is that you look at the correlations you see in the data.
[00:30:21.720 --> 00:30:25.800]   And then you look at the correlations that the model is telling you it should be.
[00:30:25.800 --> 00:30:28.160]   And you're trying to match the two.
[00:30:28.160 --> 00:30:30.560]   That's what the learning is trying to do.
[00:30:30.560 --> 00:30:34.280]   It's trying to match the correlations that you see in the data.
[00:30:34.280 --> 00:30:38.440]   So the model is actually respecting the statistics that you see in the data.
[00:30:38.440 --> 00:30:41.380]   But it turns out that the second term is very difficult to compute.
[00:30:41.380 --> 00:30:46.640]   And it's precisely because the space of all possible images is so high dimensional that
[00:30:46.640 --> 00:30:52.080]   you need to figure out or use some kind of approximate learning algorithms to do that.
[00:30:52.080 --> 00:30:54.000]   So you have these difference between these two terms.
[00:30:54.000 --> 00:30:57.280]   The first term is easy to compute, it turns out, because of a particular structure of
[00:30:57.280 --> 00:30:58.280]   the model.
[00:30:58.280 --> 00:31:02.560]   And we can actually do it explicitly.
[00:31:02.560 --> 00:31:05.320]   The second term is the difficult one to compute.
[00:31:05.320 --> 00:31:11.680]   So it sort of requires summing over all possible configurations, all possible images that you
[00:31:11.680 --> 00:31:13.600]   could possibly see.
[00:31:13.600 --> 00:31:15.880]   So this term is intractable.
[00:31:15.880 --> 00:31:20.320]   And what a lot of different algorithms are doing-- and we'll see that over and over again--
[00:31:20.320 --> 00:31:24.600]   is using so-called Monte Carlo sampling, or Markov chain Monte Carlo sampling, or Monte
[00:31:24.600 --> 00:31:26.680]   Carlo estimation.
[00:31:26.680 --> 00:31:29.160]   So let me give you an intuition of what this term is doing.
[00:31:29.160 --> 00:31:33.760]   And that's a general trick for approximating exponential sums.
[00:31:33.760 --> 00:31:42.520]   There's a whole subfield in statistics that's basically dedicated to how do we approximate
[00:31:42.520 --> 00:31:43.600]   exponential sums.
[00:31:43.600 --> 00:31:46.680]   In fact, if you could do that, if you could solve that problem, you could solve a lot
[00:31:46.680 --> 00:31:50.160]   of problems in machine learning.
[00:31:50.160 --> 00:31:52.080]   And the idea is very simple, actually.
[00:31:52.080 --> 00:31:58.000]   The idea is to say, well, you're going to be replacing the average by sampling.
[00:31:58.000 --> 00:32:02.040]   And there's something that's called Gibbs sampling, Markov chain Monte Carlo, which
[00:32:02.040 --> 00:32:04.200]   essentially does something very simple.
[00:32:04.200 --> 00:32:10.560]   It basically says, well, start with the data, sample the states of the latent variables,
[00:32:10.560 --> 00:32:13.880]   sample the data, sample the states of the latent data, sample the data from these conditional
[00:32:13.880 --> 00:32:17.440]   distributions, something that you can compute explicitly.
[00:32:17.440 --> 00:32:19.760]   And that's a general trick.
[00:32:19.760 --> 00:32:23.680]   Much like in sparse coding, we're optimizing for the basis when we're optimizing for the
[00:32:23.680 --> 00:32:24.680]   coefficients.
[00:32:24.680 --> 00:32:28.960]   Here, you're inferring the coefficients, then you're inferring what the data should look
[00:32:28.960 --> 00:32:30.760]   like and so forth.
[00:32:30.760 --> 00:32:38.400]   And then you can just run a Markov chain and approximate this exponential sum.
[00:32:38.400 --> 00:32:42.560]   So you start with the data, you sample the states of the hidden variables, you resample
[00:32:42.560 --> 00:32:44.280]   the data and so forth.
[00:32:44.280 --> 00:32:52.120]   And the only problem with a lot of these methods is that you need to run them up to infinity
[00:32:52.120 --> 00:32:55.620]   to guarantee that you're getting the right thing.
[00:32:55.620 --> 00:33:00.640]   And so obviously, you will never run them infinite.
[00:33:00.640 --> 00:33:02.120]   You don't have time to do that.
[00:33:02.120 --> 00:33:06.840]   So there's a very clever algorithm, a contrastive divergent algorithm that was developed by
[00:33:06.840 --> 00:33:09.040]   Hinton back in 2002.
[00:33:09.040 --> 00:33:10.400]   And it was very clever.
[00:33:10.400 --> 00:33:14.520]   It basically said, well, instead of running this thing up to infinity, run it for one
[00:33:14.520 --> 00:33:18.600]   step.
[00:33:18.600 --> 00:33:20.360]   And so you're just running it for one step.
[00:33:20.360 --> 00:33:25.760]   You start with a training vector, you update the hidden units, you update all the visible
[00:33:25.760 --> 00:33:26.760]   units again.
[00:33:26.760 --> 00:33:27.960]   So that's your reconstruction.
[00:33:27.960 --> 00:33:31.120]   Much like in autoencoder, you reconstruct your data.
[00:33:31.120 --> 00:33:34.440]   You update the hidden units again, and then you just update the model parameters, which
[00:33:34.440 --> 00:33:39.920]   is just looking at empirically the statistics between the data and the model.
[00:33:39.920 --> 00:33:44.640]   Very similar to what the autoencoder is doing, but slight, slight differences.
[00:33:44.640 --> 00:33:48.840]   And implementation is basically takes about 10 lines of MATLAB code.
[00:33:48.840 --> 00:33:54.360]   I suspect it's going to be two lines in TensorFlow, although I don't think TensorFlow folks implemented
[00:33:54.360 --> 00:33:56.320]   Boltzmann machines yet.
[00:33:56.320 --> 00:34:00.360]   That would be my request.
[00:34:00.360 --> 00:34:04.640]   But you can extend these models to dealing with real value data.
[00:34:04.640 --> 00:34:06.840]   So whenever you're dealing with images, for example.
[00:34:06.840 --> 00:34:11.400]   And it's just a little change to the definition of the model.
[00:34:11.400 --> 00:34:14.760]   And your conditional probabilities here are just going to be a bunch of Gaussians.
[00:34:14.760 --> 00:34:20.000]   So that basically means that given the features, sample me the space of images, and I can sample
[00:34:20.000 --> 00:34:23.520]   you, give you real, real valued images.
[00:34:23.520 --> 00:34:25.840]   The structure of the model remains the same.
[00:34:25.840 --> 00:34:33.160]   If you train this model on these images, you tend to find edges, something similar, again,
[00:34:33.160 --> 00:34:38.040]   to what you'd see in sparse coding, in ICA, independent component analysis model, autoencoders
[00:34:38.040 --> 00:34:39.640]   and such.
[00:34:39.640 --> 00:34:43.980]   And again, you can say, well, every single image is made up by some linear combination
[00:34:43.980 --> 00:34:45.800]   of these basis functions.
[00:34:45.800 --> 00:34:48.840]   You can also extend these models to dealing with count data.
[00:34:48.840 --> 00:34:55.360]   If you're dealing with documents, in this case, again, a slight change to the model.
[00:34:55.360 --> 00:34:58.560]   K here denotes your vocabulary size.
[00:34:58.560 --> 00:35:03.120]   And D here denotes number of words that you're seeing in your document.
[00:35:03.120 --> 00:35:05.600]   It's a bag of words representation.
[00:35:05.600 --> 00:35:09.040]   And the conditional here is given by so-called softmax distribution, much like what you've
[00:35:09.040 --> 00:35:15.920]   seen in the previous classes, when the distribution of possible words.
[00:35:15.920 --> 00:35:20.840]   And the parameters here, Ws, you can think of them as something similar to what word
[00:35:20.840 --> 00:35:24.200]   to vacuum bedding would do.
[00:35:24.200 --> 00:35:31.760]   And so if you apply it to, again, some of data sets, you tend to find reasonable features.
[00:35:31.760 --> 00:35:37.320]   So you tend to find features about Russia, about US, about computers, and so forth.
[00:35:37.320 --> 00:35:42.280]   So much like you found these representations, little edges, every image is made up by some
[00:35:42.280 --> 00:35:45.000]   combination of these edges.
[00:35:45.000 --> 00:35:49.280]   In case of documents or web pages, you're saying it's the same thing.
[00:35:49.280 --> 00:35:53.200]   It's just made up some linear combination of these learned topics.
[00:35:53.200 --> 00:35:57.080]   Every single document is made up by some combination of these topics.
[00:35:57.080 --> 00:35:59.240]   You can also look at one-step reconstruction.
[00:35:59.240 --> 00:36:03.080]   So you can basically say, well, how can I find similarity between the words?
[00:36:03.080 --> 00:36:07.960]   So if I show you chocolate cake and further states of hidden units, and then I reconstruct
[00:36:07.960 --> 00:36:13.760]   back the distribution of possible words, it tells me chocolate cake, cake chocolate sweet
[00:36:13.760 --> 00:36:16.960]   dessert cupcake food sugar, and so forth.
[00:36:16.960 --> 00:36:22.520]   I particularly like the one about the flower high, and then there is a Japanese sign.
[00:36:22.520 --> 00:36:27.800]   And the model sort of generates flower, Japan, sakura, blossom, Tokyo.
[00:36:27.800 --> 00:36:33.720]   So it sort of picks up again on low-level correlations that you see in your data.
[00:36:33.720 --> 00:36:38.560]   You can also apply these kinds of models to collaborative filtering, where every single
[00:36:38.560 --> 00:36:46.980]   observed variable you can model, can represent a user rating for a particular movie.
[00:36:46.980 --> 00:36:50.880]   So every single user would rate a certain subset of movies.
[00:36:50.880 --> 00:36:53.560]   And so you can represent it as the state of visible vector.
[00:36:53.560 --> 00:36:58.680]   And your hidden states can represent user preferences, what they are.
[00:36:58.680 --> 00:37:04.240]   And on the Netflix data set, if you look at the latent space that the model is learning,
[00:37:04.240 --> 00:37:08.960]   some of these hidden variables are capturing specific movie genre.
[00:37:08.960 --> 00:37:14.520]   So for example, there is actually one hidden unit dedicated to Michael Moore's movies.
[00:37:14.520 --> 00:37:16.960]   So it's sort of very strong.
[00:37:16.960 --> 00:37:19.280]   I think it's sort of either people like it or hate it.
[00:37:19.280 --> 00:37:22.560]   So there are a few hidden units specifically dedicated to that.
[00:37:22.560 --> 00:37:26.080]   But it also finds interesting things like action movies and so forth.
[00:37:26.080 --> 00:37:28.840]   So it finds that particular structure in the data.
[00:37:28.840 --> 00:37:34.880]   So you can model different kinds of modality, real value data, you can model count data,
[00:37:34.880 --> 00:37:36.280]   multinomials.
[00:37:36.280 --> 00:37:39.020]   And it's very easy to infer the states of the hidden variables.
[00:37:39.020 --> 00:37:41.400]   So that's given just the product of logistic functions.
[00:37:41.400 --> 00:37:44.380]   And that's very important in a lot of different applications.
[00:37:44.380 --> 00:37:49.200]   Given the input, I can quickly tell you what topics I see in the data.
[00:37:49.200 --> 00:37:53.360]   One thing that I want to point out, and that's an important point, is a lot of these models
[00:37:53.360 --> 00:37:56.120]   can be viewed as product models.
[00:37:56.120 --> 00:37:58.960]   Sometimes people call them product of experts.
[00:37:58.960 --> 00:38:03.680]   And this is because of the following intuition.
[00:38:03.680 --> 00:38:07.520]   If I write down the joint distribution of my hidden observed variables, I can write
[00:38:07.520 --> 00:38:10.360]   it down in this sort of log linear form.
[00:38:10.360 --> 00:38:17.800]   But if I sum out or integrate out the states of the hidden variables, I have a product
[00:38:17.800 --> 00:38:20.680]   of a whole bunch of functions.
[00:38:20.680 --> 00:38:22.640]   So what does it mean?
[00:38:22.640 --> 00:38:24.240]   What's the intuition here?
[00:38:24.240 --> 00:38:26.040]   So let me show you an example.
[00:38:26.040 --> 00:38:29.800]   Suppose the model finds these specific topics.
[00:38:29.800 --> 00:38:34.240]   And suppose I'm going to be telling you that the document contains topic government, corruption,
[00:38:34.240 --> 00:38:35.540]   and mafia.
[00:38:35.540 --> 00:38:39.360]   Then the word Silvio Berlusconi will have very high probability.
[00:38:39.360 --> 00:38:42.000]   I guess, does anybody know?
[00:38:42.000 --> 00:38:43.000]   Everybody knows who Silvio is?
[00:38:43.000 --> 00:38:44.000]   Silvio Berlusconi?
[00:38:44.200 --> 00:38:46.480]   He's in head of the government.
[00:38:46.480 --> 00:38:49.040]   He's connected to mafia.
[00:38:49.040 --> 00:38:50.680]   He's very corrupt, was corrupt.
[00:38:50.680 --> 00:38:53.800]   And I guess I should add a bunga bunga parties here.
[00:38:53.800 --> 00:38:57.520]   Then it will become completely clear what I'm talking about.
[00:38:57.520 --> 00:39:05.040]   But then one point I want to make here is that you can think of these models as a product.
[00:39:05.040 --> 00:39:10.800]   Each hidden variable defines a distribution of possible words, of possible topics.
[00:39:10.800 --> 00:39:15.200]   And once you take the intersection of these distributions, you can be very precise about
[00:39:15.200 --> 00:39:17.360]   what is it that you're modeling.
[00:39:17.360 --> 00:39:22.560]   So that's unlike generally topic models or latent directory allocation models, models
[00:39:22.560 --> 00:39:28.280]   where you're actually using mixture-like approach.
[00:39:28.280 --> 00:39:32.560]   And then typically, these models do perform far better than traditional mixture-based
[00:39:32.560 --> 00:39:33.560]   models.
[00:39:33.560 --> 00:39:39.280]   And this comes to the point of local versus distributed representations.
[00:39:39.280 --> 00:39:44.640]   In a lot of different algorithms, even unsupervised learning algorithms, such as clustering, you
[00:39:44.640 --> 00:39:52.120]   typically have some, you're partitioning the space, and you're finding local prototypes.
[00:39:52.120 --> 00:39:55.720]   And the number of parameters for each, you have basically parameters for each region,
[00:39:55.720 --> 00:40:00.280]   the number of regions typically grow linearly with the number of parameters.
[00:40:00.280 --> 00:40:07.460]   But in models like factor models, PCA, restricted Boltzmann machines, deep models, you typically
[00:40:07.460 --> 00:40:08.460]   have distributed representations.
[00:40:08.460 --> 00:40:10.520]   And what's the idea here?
[00:40:10.520 --> 00:40:17.060]   The idea here is that if I show you the two inputs, each particular neuron can differentiate
[00:40:17.060 --> 00:40:19.440]   between two parts of the plane.
[00:40:19.440 --> 00:40:23.040]   Given the second one, I can partition it again.
[00:40:23.040 --> 00:40:25.520]   Given the third hidden variable, you can partition it again.
[00:40:25.520 --> 00:40:31.240]   So you can see that every single neuron will be affecting lots of different regions.
[00:40:31.240 --> 00:40:35.520]   And that's the idea behind distributed representations, because every single parameter is affecting
[00:40:35.520 --> 00:40:38.080]   many, many regions, not just the local region.
[00:40:38.080 --> 00:40:42.820]   And so the number of regions grow roughly exponentially with the number of parameters.
[00:40:42.820 --> 00:40:46.720]   So that's the differences between these two classes of models.
[00:40:46.720 --> 00:40:48.880]   It's important to know about them.
[00:40:48.880 --> 00:40:53.800]   Now let me jump and quickly tell you a little bit of inspiration behind what can we build
[00:40:53.800 --> 00:40:55.840]   with these models.
[00:40:55.840 --> 00:41:01.080]   As we've seen with convolutional networks, the first layer, we typically learn some low-level
[00:41:01.080 --> 00:41:03.200]   features, like edges.
[00:41:04.000 --> 00:41:09.600]   If you're working with a word table, typically we'll learn some low-level structure.
[00:41:09.600 --> 00:41:13.520]   And the hope is that the high-level features will start picking up some high-level structure
[00:41:13.520 --> 00:41:15.960]   as you are building.
[00:41:15.960 --> 00:41:19.960]   And these kinds of models can be built in a completely unsupervised way, because what
[00:41:19.960 --> 00:41:21.840]   you're trying to do is you're trying to model the data.
[00:41:21.840 --> 00:41:25.120]   You're trying to model the distribution of the data.
[00:41:25.120 --> 00:41:31.600]   You can write down the probability distribution for these models, known as a Bolson machine
[00:41:31.600 --> 00:41:32.760]   model.
[00:41:32.760 --> 00:41:34.560]   You have dependencies between hidden variables.
[00:41:34.560 --> 00:41:42.960]   So now introducing some extra layers and dependencies between those layers.
[00:41:42.960 --> 00:41:46.560]   And if we look at the equation, the first part of the equation is basically the same
[00:41:46.560 --> 00:41:49.560]   as what we had with restricted Bolson machine.
[00:41:49.560 --> 00:41:53.200]   And then the second and third part of the equation is essentially modeling dependencies
[00:41:53.200 --> 00:41:57.160]   between the first and the second hidden layer, and the second hidden layer and the third
[00:41:57.160 --> 00:41:58.160]   hidden layer.
[00:41:58.160 --> 00:42:01.560]   There is also a very natural notion of bottom-up and top-down.
[00:42:01.560 --> 00:42:06.840]   So if I want to see what's the probability of a particular unit taking value 1, it's
[00:42:06.840 --> 00:42:10.760]   really dependent on what's coming from below and what's coming from above.
[00:42:10.760 --> 00:42:16.080]   So there has to be some consensus in the model to say, ah, yes, what I'm seeing in the image
[00:42:16.080 --> 00:42:21.880]   and what my model believes the overall structure should be should be in agreement.
[00:42:21.880 --> 00:42:25.320]   And so in this case, of course, in this case, hidden variables become dependent even when
[00:42:25.320 --> 00:42:27.200]   you condition on the data.
[00:42:27.200 --> 00:42:32.440]   So these kinds of models we'll see a lot is you're introducing more flexibility, you're
[00:42:32.440 --> 00:42:37.240]   introducing more structure, but then learning becomes much more difficult.
[00:42:37.240 --> 00:42:42.680]   You have to deal-- how do you inference in these models?
[00:42:42.680 --> 00:42:47.200]   Now let me give you an intuition of how can we learn these models.
[00:42:47.200 --> 00:42:50.560]   What's the maximum likelihood estimator doing here?
[00:42:50.560 --> 00:42:55.040]   Well, if I differentiate this model with respect to parameters, I basically run into the same
[00:42:55.040 --> 00:42:56.040]   learning rule.
[00:42:56.040 --> 00:42:59.640]   And it's the same learning rule you see whenever you're working with undirected graphical models,
[00:42:59.640 --> 00:43:01.360]   factor graphs, conditional random fields.
[00:43:01.360 --> 00:43:03.840]   You might have heard about those ones.
[00:43:03.840 --> 00:43:07.840]   It really is just trying to look at the statistics driven by the data, correlations that you
[00:43:07.840 --> 00:43:11.400]   see in the data, and the correlations that the model is telling you it's seeing in the
[00:43:11.400 --> 00:43:13.680]   data, and you're just trying to match the two.
[00:43:13.680 --> 00:43:18.460]   That's exactly what's happening in that particular equation.
[00:43:18.460 --> 00:43:22.200]   But the first term is no longer factorial, so you have to do some approximation with
[00:43:22.200 --> 00:43:23.200]   these models.
[00:43:23.360 --> 00:43:26.800]   But let me give you an intuition what each term is doing.
[00:43:26.800 --> 00:43:30.480]   Suppose I have some data, and I get to observe these characters.
[00:43:30.480 --> 00:43:36.160]   Well, what I can do is I really want to tell the model, this is real.
[00:43:36.160 --> 00:43:37.160]   These are real characters.
[00:43:37.160 --> 00:43:41.200]   So I want to put some probability mass around them and say, these are real.
[00:43:41.200 --> 00:43:46.000]   And then there is some sort of a data point that looks like this, just a bunch of pixels
[00:43:46.000 --> 00:43:47.000]   on and off.
[00:43:47.000 --> 00:43:52.520]   And I really want to tell my model that put almost zero probability on this.
[00:43:52.520 --> 00:43:55.440]   This is not real.
[00:43:55.440 --> 00:43:57.920]   And so the first term is exactly trying to do that.
[00:43:57.920 --> 00:44:02.000]   The first term is just trying to say, put the probability mass where you see the data.
[00:44:02.000 --> 00:44:05.280]   And the second term is effectively trying to say, well, look at this entire exponential
[00:44:05.280 --> 00:44:08.960]   space and just say, no, everything else is not real.
[00:44:08.960 --> 00:44:11.960]   Just the real thing is what I'm seeing in my data.
[00:44:11.960 --> 00:44:14.480]   And so you can use advanced techniques for doing that.
[00:44:14.480 --> 00:44:17.600]   There's a class of algorithms called variational inference.
[00:44:17.600 --> 00:44:21.080]   There's something that's called stochastic approximation, which is Monte Carlo-based
[00:44:21.080 --> 00:44:22.080]   inference.
[00:44:22.080 --> 00:44:23.080]   And I'm not going to go into these techniques.
[00:44:23.080 --> 00:44:26.400]   But in general, you can train these models.
[00:44:26.400 --> 00:44:29.080]   So one question is, how good are they?
[00:44:29.080 --> 00:44:32.740]   Because a lot of approximations that go into these models.
[00:44:32.740 --> 00:44:37.720]   So what I'm going to do is, if you haven't seen it, I'm going to show you two panels.
[00:44:37.720 --> 00:44:40.640]   On one panel, you will see the real data.
[00:44:40.640 --> 00:44:44.240]   On another panel, you'll see data simulated by the model or the fake data.
[00:44:44.240 --> 00:44:47.400]   And you have to tell me which one is which.
[00:44:47.400 --> 00:44:51.820]   So again, these are handwritten characters coming from alphabets around the world.
[00:44:51.820 --> 00:44:55.640]   How many of you think this is simulated and the other part was real?
[00:44:55.640 --> 00:44:56.640]   Honestly.
[00:44:56.640 --> 00:44:58.040]   OK, some.
[00:44:58.040 --> 00:45:01.320]   What about the other way around?
[00:45:01.320 --> 00:45:05.160]   I get half and half, which is great.
[00:45:05.160 --> 00:45:10.840]   If you look at these images a little bit more carefully, you will see the difference.
[00:45:10.840 --> 00:45:16.320]   So you will see that this is simulated and this is real.
[00:45:16.320 --> 00:45:18.440]   Because if you look at the real data, it's much crisper.
[00:45:18.440 --> 00:45:20.600]   There's more diversity.
[00:45:20.600 --> 00:45:24.200]   When you're simulating the data, there's a lot of structure in the simulated characters,
[00:45:24.200 --> 00:45:29.760]   but sometimes they look a little bit fuzzy and there isn't as much diversity.
[00:45:29.760 --> 00:45:33.480]   And I've learned that trick from my neuroscience friends.
