
[00:00:00.040 --> 00:00:06.680]  � think start
[00:54:21.140 --> 00:54:21.140]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:21.140 --> 00:54:21.140]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:21.140 --> 00:54:21.140]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:21.140 --> 00:54:21.140]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:21.140 --> 00:54:21.140]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:21.140 --> 00:54:21.140]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:21.140 --> 00:54:21.140]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:21.140 --> 00:54:21.140]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:21.140 --> 00:54:21.140]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:21.180 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.160 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.160 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.160 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.160 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.160 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.160 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.160 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.160 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.160 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.160 --> 00:54:51.160]   I'm not quoting exactly, it's been many years, but in his spare time
[00:54:51.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.180 --> 00:55:21.180]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:21.220 --> 00:55:51.200]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:51.200 --> 00:55:51.200]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:51.200 --> 00:55:51.200]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:51.200 --> 00:55:51.200]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:51.200 --> 00:55:51.200]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:51.200 --> 00:55:51.200]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:51.200 --> 00:55:51.200]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:51.200 --> 00:55:51.200]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:51.200 --> 00:55:51.200]   I'm not quoting exactly, it's been many years, but in his spare time
[00:55:51.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.220 --> 00:56:21.220]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:21.260 --> 00:56:51.240]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:51.240 --> 00:56:51.240]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:51.240 --> 00:56:51.240]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:51.240 --> 00:56:51.240]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:51.240 --> 00:56:51.240]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:51.240 --> 00:56:51.240]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:51.240 --> 00:56:51.240]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:51.240 --> 00:56:51.240]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:51.240 --> 00:56:51.240]   I'm not quoting exactly, it's been many years, but in his spare time
[00:56:51.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.260 --> 00:57:21.260]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:21.300 --> 00:57:51.280]  , I'm not quoting exactly, it's been many years, but in his spare time
[00:57:51.280 --> 00:57:51.280]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:51.280 --> 00:57:51.280]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:51.280 --> 00:57:51.280]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:51.280 --> 00:57:51.280]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:51.280 --> 00:57:51.280]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:51.280 --> 00:57:51.280]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:51.280 --> 00:57:51.280]   I'm not quoting exactly, it's been many years, but in his spare time
[00:57:51.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.300 --> 00:58:21.300]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:21.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:51.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:51.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:51.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:51.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:51.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:51.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:51.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:51.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:51.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:58:51.320 --> 00:58:51.320]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:21.340 --> 00:59:21.340]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:21.340 --> 00:59:21.340]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:21.340 --> 00:59:21.340]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:21.340 --> 00:59:21.340]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:21.340 --> 00:59:21.340]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:21.340 --> 00:59:21.340]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:21.340 --> 00:59:21.340]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:21.340 --> 00:59:21.340]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:21.340 --> 00:59:21.340]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.360 --> 00:59:51.360]   I'm not quoting exactly, it's been many years, but in his spare time
[00:59:51.400 --> 01:00:21.380]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:21.380 --> 01:00:21.380]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:21.380 --> 01:00:21.380]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:21.380 --> 01:00:21.380]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:21.380 --> 01:00:21.380]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:21.380 --> 01:00:21.380]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:21.380 --> 01:00:21.380]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:21.380 --> 01:00:21.380]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:21.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.400 --> 01:00:51.400]   I'm not quoting exactly, it's been many years, but in his spare time
[01:00:51.440 --> 01:01:21.420]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:21.420 --> 01:01:21.420]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:21.420 --> 01:01:21.420]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:21.420 --> 01:01:21.420]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:21.420 --> 01:01:21.420]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:21.420 --> 01:01:21.420]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:21.420 --> 01:01:21.420]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:21.420 --> 01:01:21.420]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:21.420 --> 01:01:21.420]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:21.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.440 --> 01:01:51.440]   I'm not quoting exactly, it's been many years, but in his spare time
[01:01:51.480 --> 01:02:21.460]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:21.460 --> 01:02:21.460]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:21.460 --> 01:02:21.460]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:21.460 --> 01:02:21.460]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:21.460 --> 01:02:21.460]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:21.460 --> 01:02:21.460]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:21.460 --> 01:02:21.460]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:21.460 --> 01:02:21.460]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:21.460 --> 01:02:21.460]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:21.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.480 --> 01:02:51.480]   I'm not quoting exactly, it's been many years, but in his spare time
[01:02:51.520 --> 01:03:21.500]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:21.500 --> 01:03:21.500]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:21.500 --> 01:03:21.500]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:21.500 --> 01:03:21.500]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:21.500 --> 01:03:21.500]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:21.500 --> 01:03:21.500]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:21.500 --> 01:03:21.500]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:21.500 --> 01:03:21.500]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:21.500 --> 01:03:21.500]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:21.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.520 --> 01:03:51.520]   I'm not quoting exactly, it's been many years, but in his spare time
[01:03:51.560 --> 01:04:21.540]  , so
[01:04:21.540 --> 01:04:21.540]   so
[01:04:21.540 --> 01:04:21.540]   so
[01:04:21.540 --> 01:04:21.540]   so
[01:04:21.540 --> 01:04:21.540]   so
[01:04:21.540 --> 01:04:21.540]   so
[01:04:21.540 --> 01:04:21.540]   so
[01:04:21.540 --> 01:04:21.540]   so
[01:04:21.540 --> 01:04:21.540]   so
[01:04:21.540 --> 01:04:21.540]   so
[01:04:21.580 --> 01:04:32.240]  áfic change, Living,
[01:05:20.220 --> 01:05:20.220]   - I doubt if the main article, Moon, it may mention, geez, probably not even, because it's not credible and it's not even meant to be serious by anyone. Or the article on the Earth certainly won't have a paragraph that says, well, most scientists think it's round, but certain people think flat. Like, that's just a silly thing to put in that article. You would want to sort of address, you know, that's an interesting cultural phenomenon. You want to put it somewhere.
[01:05:20.220 --> 01:05:20.220]   - Mm-hmm.
[01:05:20.260 --> 01:05:49.560]   ado. So, this, you know, this goes into all kinds of things about politics. You want to be really careful, really thoughtful about not getting caught up in the anger of our times and really recognize. You know, I always thought, I remember being really kind of proud of the U.S. at the time when it was, McCain was running against Obama. Because I thought, oh, I've got plenty of disagreements with both of them.
[01:05:49.560 --> 01:05:49.560]   - Mm-hmm.
[01:05:49.560 --> 01:05:49.560]   - Mm-hmm.
[01:05:49.560 --> 01:05:49.560]   - Mm-hmm.
[01:05:49.560 --> 01:05:49.560]   - Mm-hmm.
[01:05:49.560 --> 01:05:49.620]   - Mm-hmm.
[01:05:49.620 --> 01:05:49.660]   - Mm-hmm.
[01:05:49.660 --> 01:05:49.720]   - Mm-hmm.
[01:05:49.720 --> 01:05:49.760]   - Mm-hmm.
[01:05:49.760 --> 01:05:49.880]   - Mm-hmm.
[01:05:49.880 --> 01:05:49.920]   - Mm-hmm.
[01:05:49.920 --> 01:05:50.000]   - Mm-hmm.
[01:05:50.000 --> 01:05:50.060]   - Mm-hmm.
[01:05:50.060 --> 01:05:50.120]   - Mm-hmm.
[01:05:50.120 --> 01:05:50.160]   - Mm-hmm.
[01:05:50.220 --> 01:05:53.480]   wont hope
[01:05:53.480 --> 01:06:00.500]  , ,,,
[01:06:00.500 --> 01:06:01.160]   baru
[01:06:01.160 --> 01:06:16.900]   Old It is, all, that's, just, be, tin, Moon, Was,iking,
[01:06:16.900 --> 01:06:20.200]   and
[01:06:20.220 --> 01:06:24.520]   I would venture to guess, I don't know the data.
[01:06:24.520 --> 01:06:27.280]   Maybe you can, ,, let me know.
[01:06:27.280 --> 01:06:33.880]   But the personal political leaning of the group of people who edit Wikipedia
[01:06:33.880 --> 01:06:36.060]   probably leans left.
[01:06:36.060 --> 01:06:37.060]   I would guess.
[01:06:37.060 --> 01:06:41.020]   So to me, the question there is, I mean, the same is true for Silicon Valley.
[01:06:41.020 --> 01:06:45.480]   The task for Silicon Valley is to create platforms that are not politically biased.
[01:06:45.480 --> 01:06:50.220]   Even though there is a bias for the engineers who created.
[01:06:50.220 --> 01:06:50.220]   The task for Silicon Valley is to create platforms that are not politically
[01:06:50.220 --> 01:06:50.220]   Even though there is a bias for the engineers who created.
[01:06:50.220 --> 01:06:50.220]   Even though there is a bias for the engineers who created.
[01:06:50.220 --> 01:06:50.220]   Even though there is a bias for the engineers who created.
[01:06:50.220 --> 01:06:50.220]   Even though there is a bias for the engineers who created.
[01:06:50.220 --> 01:06:50.220]   Even though there is a bias for the engineers who created.
[01:06:50.220 --> 01:06:50.220]   Even though there is a bias for the engineers who created.
[01:06:50.240 --> 01:07:20.240]   Even though there is a bias for the engineers who created.
[01:07:20.240 --> 01:07:20.240]   Even though there is a bias for the engineers who created.
[01:07:20.240 --> 01:07:20.240]   Even though there is a bias for the engineers who created.
[01:07:20.240 --> 01:07:20.240]   Even though there is a bias for the engineers who created.
[01:07:20.240 --> 01:07:20.240]   Even though there is a bias for the engineers who created.
[01:07:20.240 --> 01:07:20.240]   Even though there is a bias for the engineers who created.
[01:07:20.240 --> 01:07:20.240]   Even though there is a bias for the engineers who created.
[01:07:20.240 --> 01:07:20.240]   Even though there is a bias for the engineers who created.
[01:07:20.240 --> 01:07:20.240]   Even though there is a bias for the engineers who created.
[01:07:20.240 --> 01:07:20.240]   Even though there is a bias for the engineers who created.
[01:07:20.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.260 --> 01:07:50.260]   Even though there is a bias for the engineers who created.
[01:07:50.280 --> 01:08:20.280]   Even though there is a bias for the engineers who created.
[01:08:20.280 --> 01:08:20.280]   Even though there is a bias for the engineers who created.
[01:08:20.280 --> 01:08:20.280]   Even though there is a bias for the engineers who created.
[01:08:20.280 --> 01:08:20.280]   Even though there is a bias for the engineers who created.
[01:08:20.280 --> 01:08:20.280]   Even though there is a bias for the engineers who created.
[01:08:20.280 --> 01:08:20.280]   Even though there is a bias for the engineers who created.
[01:08:20.280 --> 01:08:20.280]   Even though there is a bias for the engineers who created.
[01:08:20.300 --> 01:08:50.300]  ,
[01:08:50.300 --> 01:08:50.300]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:08:50.300 --> 01:08:50.300]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:08:50.300 --> 01:08:50.300]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:08:50.300 --> 01:08:50.300]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:08:50.300 --> 01:08:50.300]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:08:50.300 --> 01:08:50.300]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:08:50.300 --> 01:08:50.300]   I'm not sure if that's true or if it feels that way, but also I'm not sure what
[01:08:50.300 --> 01:08:50.300]   I'm not sure if it feels that way, but also I'm not sure what
[01:08:50.320 --> 01:09:20.320]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:09:20.320 --> 01:09:20.320]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:09:20.320 --> 01:09:20.320]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:09:20.320 --> 01:09:20.320]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:09:20.320 --> 01:09:20.320]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:09:20.320 --> 01:09:20.320]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:09:20.320 --> 01:09:20.320]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:09:20.320 --> 01:09:20.320]   I'm not sure if that's true or if it just feels that way, but also I'm not sure what
[01:09:20.340 --> 01:09:50.340]   Elon Musk because he was complaining about wikipedia or something you should buy wikipedia and I just wrote not for sale and you know 90 zillion retweets and people liked it and it was all very good but I'm like you know what it's cute line right and it's a good like mic drop and all that and I was pleased with myself like it's not really discourse right it's not really sort of the what I like to do but it's what social media is
[01:09:50.380 --> 01:10:00.480]  ,
[01:10:00.480 --> 01:10:18.240]   actor.,, changed the not be
[01:11:15.160 --> 01:11:43.380]  łych is a very large following and you're really spouting hatred or misinformation, disinformation they've kicked people off they've done you know some reasonable things there but actually the deeper issue is of this this anger we're talking about of the the contentiousness of everything I make of a family example with two great stereotypes so one
[01:11:43.380 --> 01:11:43.380]   the the
[01:11:43.380 --> 01:11:43.380]   The Great Stereotype
[01:11:43.380 --> 01:11:43.380]   The Great Stereotype
[01:11:43.400 --> 01:12:11.640]   The Great Stereotype in the the the crackpot racist uncle and one the sweet grandma and I always want to point out about all of my uncles in my family were wonderful people so I didn't have a crackpot race that everybody knows the stereotype.
[01:12:11.640 --> 01:12:11.640]   The Great Stereotype in the the crackpot racist uncle and one the sweet grandma and I always want to point out about all of my uncles in my family were wonderful people so I didn't have a crackpot race that everybody knows the stereotype.
[01:12:11.640 --> 01:12:11.640]   The Great Stereotype in the the crackpot racist uncle and one the sweet grandma and I always want to point out about all of my uncles in my family were wonderful people so I didn't have a crackpot race that everybody knows the stereotype.
[01:12:11.680 --> 01:12:39.900]  ,
[01:12:39.900 --> 01:12:39.900]   The Great Stereotype in the the the crackpot racist uncle and one the sweet grandma and I always want to point out about all of my uncles in my family were wonderful people so I didn't have a crackpot race that everybody knows the stereotype.
[01:12:39.900 --> 01:13:08.160]  ,
[01:13:08.160 --> 01:13:09.920]   I think they're working to improve that but it's really hard for them it's hard to improve that if that actually is working if the people who are saying things that get engagement if it's not too awful but it's just you know like maybe it's not a racist uncle but maybe it's an uncle who posts a lot about.
[01:13:09.920 --> 01:13:09.920]  ,
[01:13:09.940 --> 01:13:16.100]   What an idiot by a minute right which isn't necessarily an offensive or blockable or banable thing and it shouldn't be.
[01:13:16.100 --> 01:13:16.720]   What an idiot by a minute right which isn't necessarily an offensive or blockable or banable thing and it shouldn't be.
[01:13:16.720 --> 01:13:21.140]   But if that's the discourse that gets elevated because it gets a rise out of people.
