
[00:00:00.040 --> 00:00:10.580]   pick
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.600 --> 00:29:01.600]   I've done a lot of things in my life.
[00:29:01.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:29:31.620]   I've done a lot of things in my life.
[00:29:31.620 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.640 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.640 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.640 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.640 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.640 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.640 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.640 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.640 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.640 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.640 --> 00:30:01.640]   I've done a lot of things in my life.
[00:30:01.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:30:31.660]   I've done a lot of things in my life.
[00:30:31.660 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.680 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.680 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.680 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.680 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.680 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.680 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.680 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.680 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.680 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.680 --> 00:31:01.680]   I've done a lot of things in my life.
[00:31:01.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:31:31.700 --> 00:31:31.700]   I've done a lot of things in my life.
[00:32:01.720 --> 00:32:01.720]   I've done a lot of things in my life.
[00:32:01.720 --> 00:32:01.720]   I've done a lot of things in my life.
[00:32:01.720 --> 00:32:01.720]   I've done a lot of things in my life.
[00:32:01.720 --> 00:32:01.720]   I've done a lot of things in my life.
[00:32:01.720 --> 00:32:01.720]   I've done a lot of things in my life.
[00:32:01.720 --> 00:32:01.720]   I've done a lot of things in my life.
[00:32:01.720 --> 00:32:01.720]   I've done a lot of things in my life.
[00:32:01.720 --> 00:32:01.720]   I've done a lot of things in my life.
[00:32:01.720 --> 00:32:01.720]   I've done a lot of things in my life.
[00:32:01.720 --> 00:32:01.720]   I've done a lot of things in my life.
[00:32:01.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:32:31.740]   I've done a lot of things in my life.
[00:32:31.740 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.760 --> 00:33:01.760]   I've done a lot of things in my life.
[00:33:01.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:33:31.780]   I've done a lot of things in my life.
[00:33:31.780 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.800 --> 00:34:01.800]   I've done a lot of things in my life.
[00:34:01.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:34:31.820]   I've done a lot of things in my life.
[00:34:31.820 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.840 --> 00:35:01.840]   I've done a lot of things in my life.
[00:35:01.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:35:31.860]   I've done a lot of things in my life.
[00:35:31.860 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.880 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.880 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.880 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.880 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.880 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.880 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.880 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.880 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.880 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.880 --> 00:36:01.880]   I've done a lot of things in my life.
[00:36:01.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:36:31.900]   I've done a lot of things in my life.
[00:36:31.900 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.920 --> 00:37:01.920]   I've done a lot of things in my life.
[00:37:01.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:37:31.940]   I've done a lot of things in my life.
[00:37:31.940 --> 00:38:01.960]   I've done a lot of things in my life.
[00:38:01.960 --> 00:38:01.960]   I've done a lot of things in my life.
[00:38:01.960 --> 00:38:01.960]   I've done a lot of things in my life.
[00:38:01.960 --> 00:38:01.960]   I've done a lot of things in my life.
[00:38:01.960 --> 00:38:01.960]   I've done a lot of things in my life.
[00:38:01.960 --> 00:38:01.960]   I've done a lot of things in my life.
[00:38:01.960 --> 00:38:01.960]   I've done a lot of things in my life.
[00:38:01.960 --> 00:38:01.960]   I've done a lot of things in my life.
[00:38:01.960 --> 00:38:01.960]   I've done a lot of things in my life.
[00:38:01.960 --> 00:38:01.960]   I've done a lot of things in my life.
[00:38:01.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:38:31.980]   I've done a lot of things in my life.
[00:38:31.980 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.000 --> 00:39:02.000]   I've done a lot of things in my life.
[00:39:02.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:39:32.020]   I've done a lot of things in my life.
[00:39:32.020 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.040 --> 00:40:02.040]   I've done a lot of things in my life.
[00:40:02.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:40:32.060]   I've done a lot of things in my life.
[00:40:32.060 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.080 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.080 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.080 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.080 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.080 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.080 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.080 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.080 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.080 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.080 --> 00:41:02.080]   I've done a lot of things in my life.
[00:41:02.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:41:32.100]   I've done a lot of things in my life.
[00:41:32.100 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.120 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.120 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.120 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.120 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.120 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.120 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.120 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.120 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.120 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.120 --> 00:42:02.120]   I've done a lot of things in my life.
[00:42:02.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:42:32.140]   I've done a lot of things in my life.
[00:42:32.140 --> 00:43:02.160]   I've done a lot of things in my life.
[00:43:02.160 --> 00:43:02.160]   I've done a lot of things in my life.
[00:43:02.160 --> 00:43:02.160]   I've done a lot of things in my life.
[00:43:02.160 --> 00:43:02.160]   I've done a lot of things in my life.
[00:43:02.160 --> 00:43:02.160]   I've done a lot of things in my life.
[00:43:02.160 --> 00:43:02.160]   I've done a lot of things in my life.
[00:43:02.160 --> 00:43:02.160]   I've done a lot of things in my life.
[00:43:02.160 --> 00:43:02.160]   I've done a lot of things in my life.
[00:43:02.160 --> 00:43:02.160]   I've done a lot of things in my life.
[00:43:02.160 --> 00:43:02.160]   I've done a lot of things in my life.
[00:43:02.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
[00:43:32.180 --> 00:43:32.180]   I've done a lot of things in my life.
