
[00:00:00.000 --> 00:00:01.800]   Narcissism is not arrogance.
[00:50:32.540 --> 00:50:36.000]   fear of destruction, fear of annihilation,
[00:50:36.000 --> 00:50:41.000]   that is compensated for by aggression,
[00:50:41.920 --> 00:50:44.240]   by the mechanics of envy,
[00:50:44.240 --> 00:50:49.160]   by trying to make the self seem better
[00:50:49.160 --> 00:50:50.400]   at the expense of others,
[00:50:50.400 --> 00:50:53.560]   by taking from others,
[00:50:53.560 --> 00:50:55.800]   by being completely cavalier
[00:50:55.800 --> 00:50:58.240]   to the thoughts and feelings of others.
[00:50:58.240 --> 00:51:00.120]   That narcissism is not arrogance.
[00:51:00.120 --> 00:51:02.520]   Now, narcissism is the opposite of arrogance.
[00:51:02.520 --> 00:51:06.560]   There is such a deep sense of inadequacy
[00:51:06.560 --> 00:51:09.080]   and incompetence in the self
[00:51:09.080 --> 00:51:12.360]   that the defensive structure around that
[00:51:12.360 --> 00:51:16.700]   becomes dominated by rocket-fueled envy.
[00:51:16.700 --> 00:51:21.400]   - So the machinery of narcissism is envy,
[00:51:21.400 --> 00:51:26.160]   but what do you make of the more popularly discussed
[00:51:26.160 --> 00:51:28.760]   symptom of narcissism,
[00:51:28.760 --> 00:51:33.340]   which is a seeming not caring about other people,
[00:51:33.340 --> 00:51:38.120]   sort of a very inward-facing focus
[00:51:38.120 --> 00:51:40.040]   in terms of the calculation you make
[00:51:40.040 --> 00:51:42.320]   when making decisions about the world?
[00:51:42.320 --> 00:51:46.200]   - Narcissistic people definitely care about other people.
[00:51:46.200 --> 00:51:48.120]   It's the people who are schizoid
[00:51:48.120 --> 00:51:51.720]   and say that don't necessarily register other people.
[00:51:51.720 --> 00:51:54.180]   But narcissism, people care about other people,
[00:51:54.180 --> 00:51:57.200]   but it's entirely vis-a-vis the self.
[00:51:57.200 --> 00:51:58.700]   If I'm schizoid, I don't really notice
[00:51:58.700 --> 00:52:00.320]   or care much who you are.
[00:52:00.320 --> 00:52:03.240]   But if I'm narcissistic, I absolutely care,
[00:52:03.240 --> 00:52:05.200]   because I'm watching every last detail of you.
[00:52:05.200 --> 00:52:07.320]   What might you have that's better than me?
[00:52:07.320 --> 00:52:11.560]   It's an incredibly intense focus
[00:52:11.560 --> 00:52:15.340]   upon individuals and demographics of people,
[00:52:15.340 --> 00:52:20.340]   but the priority, the goal is entirely about the self,
[00:52:20.340 --> 00:52:22.600]   which is why it can become easy to say,
[00:52:22.600 --> 00:52:24.920]   I don't care if a million people die.
[00:52:24.920 --> 00:52:26.960]   How different is that from going out
[00:52:26.960 --> 00:52:30.380]   and destroying one person or a million people?
[00:52:30.380 --> 00:52:33.800]   It's in the same category of those people,
[00:52:33.800 --> 00:52:37.180]   their existence is only meaningful in how it relates to me.
[00:52:37.180 --> 00:52:40.800]   - But it's still meaningful.
[00:52:40.800 --> 00:52:44.240]   It just seems like a very difficult leap to take
[00:52:44.240 --> 00:52:46.620]   that I don't care that a million people die.
[00:52:46.620 --> 00:52:52.760]   That seems to be, even with envy,
[00:52:52.760 --> 00:52:58.040]   that seems to be a big feeling and thought to have,
[00:52:58.040 --> 00:53:00.720]   if you at all care about them.
[00:53:00.720 --> 00:53:05.720]   Are other people, I guess, tools for alleviation
[00:53:05.720 --> 00:53:08.720]   of your sense of inadequacy?
[00:53:08.720 --> 00:53:12.240]   - Right, I don't even care about being caring at all.
[00:53:12.240 --> 00:53:14.660]   I mean, care about in that noticing
[00:53:14.660 --> 00:53:16.220]   that the person exists.
[00:53:16.220 --> 00:53:19.800]   Someone who wants money and notices
[00:53:19.800 --> 00:53:22.160]   that there's a $100 bill out cares about that.
[00:53:22.160 --> 00:53:24.200]   They don't care about the $100 bill
[00:53:24.200 --> 00:53:25.480]   and that doesn't mean anything to them.
[00:53:25.480 --> 00:53:27.160]   It's just their thoughts and feelings.
[00:53:27.160 --> 00:53:28.640]   But it's gonna attract attention.
[00:53:28.640 --> 00:53:32.240]   They care about it because it's something that they want.
[00:53:32.240 --> 00:53:34.120]   The same way people will care about others,
[00:53:34.120 --> 00:53:35.640]   but only from the perspective of,
[00:53:35.640 --> 00:53:37.280]   do you have things that I want?
[00:53:37.280 --> 00:53:39.560]   Or can I feel better about myself
[00:53:39.560 --> 00:53:40.800]   by taking something from you,
[00:53:40.800 --> 00:53:43.040]   by making things worse for you?
[00:53:43.040 --> 00:53:44.600]   - People often talk about narcissism
[00:53:44.600 --> 00:53:46.300]   as the opposite of empathy.
[00:53:46.300 --> 00:53:51.800]   But empathy, again, depends how you define it,
[00:53:51.800 --> 00:53:56.800]   but is a careful consideration of the mental state
[00:53:57.320 --> 00:53:59.960]   of the mental space of another person,
[00:53:59.960 --> 00:54:02.360]   of how the other person sees the world.
[00:54:02.360 --> 00:54:07.000]   And so you're kind of saying that narcissistic people
[00:54:07.000 --> 00:54:09.400]   would also be very good at that
[00:54:09.400 --> 00:54:12.720]   in order to understand how maybe the other person
[00:54:12.720 --> 00:54:14.320]   could be manipulated or something
[00:54:14.320 --> 00:54:16.660]   to alleviate your sense of inadequacy.
[00:54:16.660 --> 00:54:17.640]   - Right, so there's a difference
[00:54:17.640 --> 00:54:19.520]   between the mechanics of empathy.
[00:54:19.520 --> 00:54:21.880]   So let's say, and we can define things different ways,
[00:54:21.880 --> 00:54:23.720]   but let's say empathic attunement
[00:54:23.720 --> 00:54:25.680]   is the ability to be attuned and to think,
[00:54:25.680 --> 00:54:27.200]   okay, what's going on in you?
[00:54:27.200 --> 00:54:28.360]   What might you be thinking?
[00:54:28.360 --> 00:54:29.960]   What might you be feeling?
[00:54:29.960 --> 00:54:32.400]   Some people have a lot of empathic attunement,
[00:54:32.400 --> 00:54:35.960]   but we could look at that as mechanistic, right?
[00:54:35.960 --> 00:54:38.920]   It doesn't equate to care, right?
[00:54:38.920 --> 00:54:43.520]   And empathic attunement can come along with empathy or not.
[00:54:43.520 --> 00:54:46.240]   Right, so yes, people who are narcissistic,
[00:54:46.240 --> 00:54:47.480]   they can mentalize well.
[00:54:47.480 --> 00:54:52.040]   So you mentalize, meaning the ability to understand
[00:54:52.040 --> 00:54:54.720]   or to consider thoughts, feelings, motivations,
[00:54:54.720 --> 00:54:56.400]   and other people, right?
[00:54:56.400 --> 00:54:59.960]   So people who are narcissistic
[00:54:59.960 --> 00:55:02.200]   can have empathic attunement or mentalization,
[00:55:02.200 --> 00:55:04.400]   depending upon how we wanna describe those things,
[00:55:04.400 --> 00:55:08.400]   but that has nothing to do with care,
[00:55:08.400 --> 00:55:12.520]   with actual empathy or kindness or consideration.
[00:55:12.520 --> 00:55:16.360]   - So in that sense, empathy, usually popularly used,
[00:55:16.360 --> 00:55:19.760]   means that you care, like your happiness is aligned.
[00:55:19.760 --> 00:55:22.220]   There's this, I need to read this book.
[00:55:22.220 --> 00:55:23.800]   I've read so little science fiction.
[00:55:23.800 --> 00:55:25.760]   That's been one of my goals for this year,
[00:55:25.760 --> 00:55:27.560]   to catch up on some science fiction.
[00:55:27.560 --> 00:55:31.120]   So Robert Hyland from "Stranger in a Strange Land"
[00:55:31.120 --> 00:55:32.960]   has this quote about love, which is,
[00:55:32.960 --> 00:55:36.560]   "Love is that condition where another person's happiness
[00:55:36.560 --> 00:55:38.440]   "is essential to your own."
[00:55:38.440 --> 00:55:40.120]   So that's a good definition, I guess, of empathy,
[00:55:40.120 --> 00:55:42.320]   where you're very sensitive,
[00:55:42.320 --> 00:55:44.040]   so mechanistically very sensitive
[00:55:44.040 --> 00:55:46.440]   to the state of another person's mind,
[00:55:46.440 --> 00:55:50.360]   and your goal is to maximize their happiness.
[00:55:50.360 --> 00:55:52.520]   It's like essential to your own happiness.
[00:55:52.520 --> 00:55:55.000]   So the happinesses are aligned,
[00:55:55.000 --> 00:55:57.040]   and when that's elevated to its highest forms,
[00:55:57.040 --> 00:55:59.240]   you can call that love or magic love,
[00:55:59.240 --> 00:56:00.720]   friendship and so on.
[00:56:00.720 --> 00:56:01.560]   Okay.
[00:56:01.560 --> 00:56:03.160]   - There's one more thing about the narcissist,
[00:56:03.160 --> 00:56:05.960]   is some people can be sort of benign narcissists,
[00:56:05.960 --> 00:56:10.080]   where they want great things for themselves,
[00:56:10.080 --> 00:56:12.480]   but if they have enough great things,
[00:56:12.480 --> 00:56:14.920]   they can sort of tolerate others being happy too.
[00:56:14.920 --> 00:56:18.000]   And these are people who sometimes
[00:56:18.000 --> 00:56:19.760]   are actually quite highly liked,
[00:56:19.760 --> 00:56:21.820]   because they have to have the most money,
[00:56:21.820 --> 00:56:23.680]   the most power, the most of anything,
[00:56:23.680 --> 00:56:25.920]   anything more than anyone else could challenge.
[00:56:25.920 --> 00:56:26.920]   But as long as I have that,
[00:56:26.920 --> 00:56:28.960]   it's okay that you have some too, right?
[00:56:28.960 --> 00:56:30.440]   And then that can make you happy
[00:56:30.440 --> 00:56:32.080]   and can make you like me, right?
[00:56:32.080 --> 00:56:35.520]   So benign narcissists can be well-liked
[00:56:35.520 --> 00:56:37.040]   from that perspective,
[00:56:37.040 --> 00:56:40.400]   but it's still all about them,
[00:56:40.400 --> 00:56:42.280]   and that can change if, for example,
[00:56:42.280 --> 00:56:44.680]   there's a scarcity of resources now, right?
[00:56:44.680 --> 00:56:45.840]   But they're generally,
[00:56:45.840 --> 00:56:48.000]   they're not people who are being overtly destructive,
[00:56:48.000 --> 00:56:50.360]   although that, they're over the border
[00:56:50.360 --> 00:56:53.780]   into the envy territory, right?
[00:56:53.780 --> 00:56:55.740]   Malignant narcissists are very different,
[00:56:55.740 --> 00:56:58.100]   where they then want to have everything.
[00:56:58.100 --> 00:57:00.940]   So even if I have a thousand times more than you do,
[00:57:00.940 --> 00:57:02.540]   I still envy you what you have,
[00:57:02.540 --> 00:57:04.180]   because I want to have,
[00:57:04.180 --> 00:57:05.860]   I don't think I can feel good enough about myself
[00:57:05.860 --> 00:57:07.540]   unless I have everything.
[00:57:07.540 --> 00:57:08.380]   And once I have everything,
[00:57:08.380 --> 00:57:09.740]   I won't feel good enough about myself either,
[00:57:09.740 --> 00:57:10.940]   and I don't have to have more, right?
[00:57:10.940 --> 00:57:13.660]   It's like, that's malignant narcissism,
[00:57:13.660 --> 00:57:16.340]   which we think of as sociopathy, right?
[00:57:16.340 --> 00:57:18.020]   We can define these words in different ways,
[00:57:18.020 --> 00:57:20.340]   but they're very, very negative concepts.
[00:57:20.340 --> 00:57:24.220]   That's profound sociopathy, malignant narcissism,
[00:57:24.220 --> 00:57:26.420]   envy writ large.
[00:57:26.420 --> 00:57:29.300]   - So sociopathy is malignant narcissism.
[00:57:29.300 --> 00:57:31.400]   That's a convenient way to think about it.
[00:57:31.400 --> 00:57:35.300]   - No, 'cause we can do sort of sociopathic things,
[00:57:35.300 --> 00:57:36.740]   but not be sociopathic,
[00:57:36.740 --> 00:57:38.620]   like, well, you tell a white lie.
[00:57:38.620 --> 00:57:41.380]   It's like sort of sociopathy on steroids, right,
[00:57:41.380 --> 00:57:45.180]   is then envy writ large is malignant narcissism.
[00:57:45.180 --> 00:57:46.660]   - Well, just like you're saying,
[00:57:46.660 --> 00:57:49.380]   there's empathic attunement, as you said.
[00:57:49.380 --> 00:57:54.100]   So there's the mechanistic aspect of empathy and sociopathy,
[00:57:54.100 --> 00:57:56.100]   and then there's the big label you get attached
[00:57:56.100 --> 00:57:59.380]   if you're just doing that thing regularly, I guess.
[00:57:59.380 --> 00:58:01.580]   - Living your life through that lens, right?
[00:58:01.580 --> 00:58:02.420]   - Yeah.
[00:58:02.420 --> 00:58:05.740]   And is there a nice spectrum that's like
[00:58:05.740 --> 00:58:08.580]   narcissism, sociopathy, and psychopathy?
[00:58:08.580 --> 00:58:12.260]   Is it all the same kind of nice stroll through the woods
[00:58:12.260 --> 00:58:13.860]   to off the cliff, or?
[00:58:13.860 --> 00:58:16.580]   - Not really, because the words don't have clear definitions
[00:58:16.580 --> 00:58:18.300]   like psychopathy and sociopathy.
[00:58:18.300 --> 00:58:23.220]   There's no real definition of psychopath or psychopathy,
[00:58:23.220 --> 00:58:26.380]   or does that mean someone's sociopathic but psychotic?
[00:58:26.380 --> 00:58:27.220]   There's really not a,
[00:58:27.220 --> 00:58:29.740]   we end up using those words colloquially,
[00:58:29.740 --> 00:58:32.540]   which is why concepts that we can define,
[00:58:32.540 --> 00:58:36.460]   like envy, empathic attunement, narcissism,
[00:58:36.460 --> 00:58:38.900]   even though there might be nuances and definitions,
[00:58:38.900 --> 00:58:42.580]   we can define them in ways that are widely accepted,
[00:58:42.580 --> 00:58:45.340]   including within psychology and psychiatry.
[00:58:45.340 --> 00:58:47.620]   - So it's nice to just think about this broad umbrella
[00:58:47.620 --> 00:58:49.980]   of narcissism and the levels to which it's benign
[00:58:49.980 --> 00:58:53.180]   or malignant, and then also separating it
[00:58:53.180 --> 00:58:57.300]   to the different mechanisms, like interaction by interaction,
[00:58:57.300 --> 00:59:00.380]   which sometimes can be narcissistic, but broadly speaking,
[00:59:00.380 --> 00:59:01.740]   do you do everything through the lens
[00:59:01.740 --> 00:59:06.260]   of malignant narcissism that makes you a sociopath
[00:59:06.260 --> 00:59:09.220]   or a malignant narcissist?
[00:59:09.220 --> 00:59:10.820]   - Yes, and the thing I would add to that
[00:59:10.820 --> 00:59:12.340]   is the thought about culture, right?
[00:59:12.340 --> 00:59:14.340]   It's like how does the cultures we're in,
[00:59:14.340 --> 00:59:16.500]   whether it's a culture of a household, right,
[00:59:16.500 --> 00:59:17.660]   the culture of a community,
[00:59:17.660 --> 00:59:19.740]   the culture of a nation or the world,
[00:59:19.740 --> 00:59:23.900]   how does that impact what unfolds in that person,
[00:59:23.900 --> 00:59:26.260]   and then how does what unfolds in that person
[00:59:26.260 --> 00:59:27.380]   impact that culture?
[00:59:27.380 --> 00:59:30.580]   - Well, the question is what unfolds in that person,
[00:59:30.580 --> 00:59:33.220]   yeah, how does culture affect it,
[00:59:33.220 --> 00:59:36.820]   but how does your own psychological development
[00:59:36.820 --> 00:59:37.820]   unfold that?
[00:59:37.820 --> 00:59:39.860]   Because narcissism in leaders
[00:59:39.860 --> 00:59:42.860]   is the most impactful thing, right?
[00:59:42.860 --> 00:59:45.180]   Who are the most impactful individuals?
[00:59:45.180 --> 00:59:47.380]   What is the most impact of individual psychology?
[00:59:47.380 --> 00:59:49.900]   We have, it's usually leaders of countries
[00:59:49.900 --> 00:59:52.540]   or leaders of major organizations and so on,
[00:59:52.540 --> 00:59:56.260]   and one of the things you mentioned with benign narcissism,
[00:59:56.260 --> 00:59:59.500]   that seems to be aligned with success, right?
[00:59:59.500 --> 01:00:01.220]   If you care about your own success,
[01:00:01.220 --> 01:00:05.300]   that's going to be, you're more likely to be,
[01:00:05.300 --> 01:00:07.340]   have narcissistic tendencies, I suppose,
[01:00:08.980 --> 01:00:12.660]   and so my question is when you follow
[01:00:12.660 --> 01:00:16.780]   that thread of narcissism to become the leader of a country,
[01:00:16.780 --> 01:00:20.020]   now you have a lot of new,
[01:00:20.020 --> 01:00:22.780]   interesting psychological complexities to deal with,
[01:00:22.780 --> 01:00:26.100]   like power, that old cliche that power corrupts,
[01:00:26.100 --> 01:00:30.860]   does that, is it possible for power to corrupt
[01:00:30.860 --> 01:00:33.220]   the human mind to where it pushes you
[01:00:33.220 --> 01:00:38.220]   farther and farther into malignant narcissism,
[01:00:38.220 --> 01:00:40.460]   into this destructive envy?
[01:00:40.460 --> 01:00:42.140]   What are your thoughts on power,
[01:00:42.140 --> 01:00:44.300]   like the effect of power on the human mind?
[01:00:44.300 --> 01:00:50.740]   - Power is an accentuator, right, an intensifier, right?
[01:00:50.740 --> 01:00:56.420]   So I think it is true that there are people
[01:00:56.420 --> 01:00:58.540]   who can be sort of in a gray area
[01:00:58.540 --> 01:01:01.980]   where there are malignant narcissistic tendencies
[01:01:01.980 --> 01:01:05.620]   and behaviors, but there are also ways
[01:01:05.620 --> 01:01:07.660]   in which that person can think outside of themselves
[01:01:07.660 --> 01:01:08.900]   and think in a broader way
[01:01:08.900 --> 01:01:11.220]   and think sort of kindly about others,
[01:01:11.220 --> 01:01:14.860]   and they're sort of trying to navigate,
[01:01:14.860 --> 01:01:15.940]   whether they're aware or not,
[01:01:15.940 --> 01:01:18.100]   that they're trying to navigate between one and the other,
[01:01:18.100 --> 01:01:19.980]   and then the allure of power is,
[01:01:19.980 --> 01:01:21.660]   well, just look, just exercise that power
[01:01:21.660 --> 01:01:22.940]   and you'll feel better, right?
[01:01:22.940 --> 01:01:24.760]   It'll show you, right, that you're good enough.
[01:01:24.760 --> 01:01:25.780]   Look at the power you have,
[01:01:25.780 --> 01:01:28.420]   and whatever may be going on in the person's mind,
[01:01:28.420 --> 01:01:32.300]   that then power, yes, can corrupt, yes.
[01:01:32.300 --> 01:01:34.740]   I think that's why we have to have checks and balances,
[01:01:34.740 --> 01:01:36.940]   right, because we don't, you know,
[01:01:36.940 --> 01:01:39.540]   we're all inscrutable to ourselves, let alone to others,
[01:01:39.540 --> 01:01:41.860]   so we must have checks and balances,
[01:01:41.860 --> 01:01:44.020]   and we should always have them on ourselves
[01:01:44.020 --> 01:01:45.140]   as well as on others.
[01:01:45.140 --> 01:01:47.420]   We should want that for the health of ourselves
[01:01:47.420 --> 01:01:49.460]   and the world around us.
[01:01:49.460 --> 01:01:51.780]   So I think all of that is true,
[01:01:51.780 --> 01:01:54.420]   but there are also people who don't necessarily
[01:01:54.420 --> 01:01:57.420]   become corrupted by power, right?
[01:01:57.420 --> 01:02:00.060]   There can be an understanding and a grounding
[01:02:00.060 --> 01:02:02.700]   that they're a steward of power, right,
[01:02:02.700 --> 01:02:04.340]   you know, a shepherd.
[01:02:04.340 --> 01:02:06.980]   I mean, there are ways people describe utilizing power
[01:02:06.980 --> 01:02:10.140]   and utilizing it in a benign way
[01:02:10.140 --> 01:02:14.940]   that then fosters the healthy aspects of self, right?
[01:02:14.940 --> 01:02:17.300]   So like, gratitude and humility, right?
[01:02:17.300 --> 01:02:21.420]   If we could add a healthy dose of gratitude and humility
[01:02:21.420 --> 01:02:24.740]   to everyone or to our society, there would be a sea change,
[01:02:24.740 --> 01:02:26.520]   right, but how do you feel gratitude?
[01:02:26.520 --> 01:02:28.040]   How do you feel humility?
[01:02:28.040 --> 01:02:32.280]   Those things are incompatible with narcissism, envy, right,
[01:02:32.280 --> 01:02:35.200]   with really the bad pole of things that we're talking about.
[01:02:35.200 --> 01:02:38.560]   And part of the reason I'm so focused in my work
[01:02:38.560 --> 01:02:40.920]   and in really what runs through all of my thoughts
[01:02:40.920 --> 01:02:43.480]   about life is the impact of trauma, right,
[01:02:43.480 --> 01:02:46.260]   because trauma creates these false lessons
[01:02:46.260 --> 01:02:47.920]   and it walls us off from truth,
[01:02:47.920 --> 01:02:52.800]   and it starts to point towards the unhealthy ways
[01:02:52.800 --> 01:02:57.000]   of trying to feel better about ourselves.
[01:02:57.000 --> 01:03:00.120]   But we have the health in us too.
[01:03:00.120 --> 01:03:01.780]   We have those seeds of health too
[01:03:01.780 --> 01:03:04.060]   that can grow into being a steward of power
[01:03:04.060 --> 01:03:06.480]   and sharing power, being considerate and kind.
[01:03:06.480 --> 01:03:09.320]   And we see a lot of that in the world too, right?
[01:03:09.320 --> 01:03:11.000]   It's not all just the evil.
[01:03:11.000 --> 01:03:13.520]   We see plenty of people who do good
[01:03:13.520 --> 01:03:14.920]   and who are generous of spirit.
[01:03:14.920 --> 01:03:17.360]   And we have both in us, and it is,
[01:03:17.360 --> 01:03:19.460]   I think you're talking about our culture
[01:03:19.460 --> 01:03:23.340]   and the seeds that we sow and the climate that we set,
[01:03:23.340 --> 01:03:25.440]   including putting governors and boundaries around.
[01:03:25.440 --> 01:03:29.280]   Like, how do we rein in or say that the more aggressive,
[01:03:29.280 --> 01:03:32.280]   the more envious or destructive is unacceptable, right?
[01:03:32.280 --> 01:03:35.320]   How do we foster the part that's kind
[01:03:35.320 --> 01:03:38.340]   and considerate and reflective and slow to judge,
[01:03:38.340 --> 01:03:39.680]   of like, hey, let's learn a little bit more.
[01:03:39.680 --> 01:03:40.940]   Like, how do we foster that?
[01:03:40.940 --> 01:03:43.040]   And I think a lot of that comes back
[01:03:43.040 --> 01:03:44.520]   to early childhood education.
[01:03:44.520 --> 01:03:46.080]   I mean, I think we don't do nearly enough
[01:03:46.080 --> 01:03:50.120]   to protect children, and as a corollary to that,
[01:03:50.120 --> 01:03:52.400]   we don't do nearly enough to educate children.
[01:03:52.400 --> 01:03:53.960]   I mean, I wanna write a book.
[01:03:53.960 --> 01:03:55.520]   Second book I write is gonna be
[01:03:55.520 --> 01:03:58.240]   everything I needed to know about life
[01:03:58.240 --> 01:04:02.040]   I learned as a second year postgraduate psychiatry resident.
[01:04:02.040 --> 01:04:03.360]   It's like, why?
[01:04:03.360 --> 01:04:06.280]   You know, why then did I learn so much
[01:04:06.280 --> 01:04:09.880]   about unconscious motivation, about the impact of trauma,
[01:04:09.880 --> 01:04:12.940]   about how we can be envious and how we can act out,
[01:04:12.940 --> 01:04:15.880]   you know, even about how our emotions trump logic in us.
[01:04:15.880 --> 01:04:19.620]   Like, why don't we teach these things
[01:04:19.620 --> 01:04:21.320]   when we're young enough to understand?
[01:04:21.320 --> 01:04:23.760]   Like, why is that other kid bullying me, right?
[01:04:23.760 --> 01:04:26.400]   Or why, just because I'm a little bit bigger,
[01:04:26.400 --> 01:04:28.760]   do I wanna go thump that other kid on the head?
[01:04:28.760 --> 01:04:31.080]   Like, what's going on?
[01:04:31.080 --> 01:04:33.160]   We don't do those things.
[01:04:33.160 --> 01:04:35.440]   You know, we're just tripping ahead of ourselves
[01:04:35.440 --> 01:04:38.720]   and we don't stop and think, how are we using our resources?
[01:04:38.720 --> 01:04:42.080]   How are we shepherding forward the next generation,
[01:04:42.080 --> 01:04:43.160]   which, by the way, is a generation
[01:04:43.160 --> 01:04:44.880]   that's gonna determine our fates too, right,
[01:04:44.880 --> 01:04:48.560]   as we get older, but we don't, you know, do that.
[01:04:48.560 --> 01:04:49.920]   I often think of, like, in the Olympics,
[01:04:49.920 --> 01:04:52.520]   you know, you see, like, the great sprinters, right,
[01:04:52.520 --> 01:04:54.520]   and they've gotta come out of the blocks perfectly, right?
[01:04:54.520 --> 01:04:56.380]   So if they come out of the blocks a little bit too fast,
[01:04:56.380 --> 01:04:57.440]   they're gonna fall over, right?
[01:04:57.440 --> 01:04:58.520]   They're gonna just fall forward,
[01:04:58.520 --> 01:05:02.440]   and I often see that in my head about us,
[01:05:02.440 --> 01:05:04.380]   as humans and as a culture,
[01:05:04.380 --> 01:05:06.200]   that we're rushing so far forward,
[01:05:06.200 --> 01:05:09.320]   we don't stop and say, wait, let's keep the basics here,
[01:05:09.320 --> 01:05:10.600]   the basic techniques of, like,
[01:05:10.600 --> 01:05:13.640]   how are we navigating forward in life?
[01:05:13.640 --> 01:05:14.900]   Or do we just throw all those away,
[01:05:14.900 --> 01:05:18.760]   because I can get some benefit by saying that you're bad,
[01:05:18.760 --> 01:05:21.600]   even though what's being leveled against you is wrong, right?
[01:05:21.600 --> 01:05:23.760]   Like, why, do I take that?
[01:05:23.760 --> 01:05:26.360]   Or do I say, no, there's something more important here
[01:05:26.360 --> 01:05:28.980]   that we wanna shepherd forward in ourselves as a culture?
[01:05:28.980 --> 01:05:31.620]   And I think preventing childhood trauma
[01:05:31.620 --> 01:05:34.260]   and changing the ways that we educate children and adults
[01:05:34.260 --> 01:05:36.980]   would, could, again, make a sea change
[01:05:36.980 --> 01:05:39.300]   and maybe set us on a course towards,
[01:05:39.300 --> 01:05:40.860]   you know, even towards a greater likelihood
[01:05:40.860 --> 01:05:42.520]   of survival as a species.
[01:05:42.520 --> 01:05:47.520]   - Yeah, so talking to, like, people in elementary school
[01:05:47.520 --> 01:05:52.180]   about human nature and teaching them
[01:05:52.180 --> 01:05:55.420]   so how people can be resentful and envious
[01:05:55.420 --> 01:05:58.500]   and how to deal with your emotions,
[01:05:58.500 --> 01:06:02.300]   how to, yeah, so these basic interaction things
[01:06:02.300 --> 01:06:04.580]   about human relationships, about friendships,
[01:06:04.580 --> 01:06:08.500]   about betrayal, about love, about all those things.
[01:06:08.500 --> 01:06:12.600]   Like, it just, it's actually strange that we don't,
[01:06:12.600 --> 01:06:16.020]   we kind of hope the parents talk about that kind of stuff.
[01:06:16.020 --> 01:06:16.860]   - Right.
[01:06:16.860 --> 01:06:20.980]   - But then the parents often, you know,
[01:06:20.980 --> 01:06:22.700]   need therapy themselves.
[01:06:22.700 --> 01:06:24.580]   - The parents didn't learn it, right?
[01:06:24.580 --> 01:06:25.420]   - Yeah, the parents didn't learn it.
[01:06:25.420 --> 01:06:27.780]   - I mean, I'm not joking that I was mad,
[01:06:27.780 --> 01:06:29.340]   you know, second year after medical school.
[01:06:29.340 --> 01:06:30.180]   Like, how is it?
[01:06:30.180 --> 01:06:31.740]   Like, I think of even things in my own life
[01:06:31.740 --> 01:06:33.900]   and, you know, how I, you know,
[01:06:33.900 --> 01:06:36.300]   how much shame I felt after my brother's suicide.
[01:06:36.300 --> 01:06:38.100]   Like, I was already an adult, right?
[01:06:38.100 --> 01:06:41.060]   I was a young adult, but I felt so much shame.
[01:06:41.060 --> 01:06:43.760]   I didn't, like, I had no understanding that,
[01:06:43.760 --> 01:06:47.620]   that, oh, like, it's a reflex to trauma, right,
[01:06:47.620 --> 01:06:49.060]   to feel guilt and shame,
[01:06:49.060 --> 01:06:51.240]   and that, of course, I was feeling that.
[01:06:51.240 --> 01:06:54.280]   It didn't mean it was true because I felt it,
[01:06:54.280 --> 01:06:56.420]   but I mapped the fact that I felt ashamed
[01:06:56.420 --> 01:06:58.980]   to the fact that I should have felt guilty and ashamed,
[01:06:58.980 --> 01:07:02.020]   and it, like, led to some very negative things in my life
[01:07:02.020 --> 01:07:03.780]   that I had to sort of pull myself back from
[01:07:03.780 --> 01:07:07.780]   and recover from, and, like, I didn't know that, right?
[01:07:07.780 --> 01:07:10.620]   I didn't know the automaticity of the reflex
[01:07:10.620 --> 01:07:11.780]   and how pervasive it can be
[01:07:11.780 --> 01:07:13.180]   and how it can put blinders on us,
[01:07:13.180 --> 01:07:15.380]   and, I mean, it's just one example,
[01:07:15.380 --> 01:07:16.780]   but, you know, it's an example of something big
[01:07:16.780 --> 01:07:19.820]   that happens to people that we don't learn about,
[01:07:19.820 --> 01:07:21.700]   and I find myself sometimes
[01:07:21.700 --> 01:07:23.260]   having conversations with a person.
[01:07:23.260 --> 01:07:24.800]   So, you know, I still do a lot of clinical care
[01:07:24.800 --> 01:07:28.320]   of having conversations with a person after a tragedy,
[01:07:28.320 --> 01:07:30.000]   and I'm saying, I can't believe, right,
[01:07:30.000 --> 01:07:32.240]   again, I'm saying the things that this person
[01:07:32.240 --> 01:07:34.180]   didn't learn in elementary school
[01:07:34.180 --> 01:07:35.760]   because, like, none of us did, right?
[01:07:35.760 --> 01:07:37.680]   And then look at the misery and the suffering,
[01:07:37.680 --> 01:07:38.960]   and then I think this is one person
[01:07:38.960 --> 01:07:41.120]   among how many millions among us
[01:07:41.120 --> 01:07:44.020]   who, you know, try and go about their way
[01:07:44.020 --> 01:07:46.600]   without knowing things that are easily knowable
[01:07:46.600 --> 01:07:47.920]   'cause they don't even know that they're knowable
[01:07:47.920 --> 01:07:50.500]   because we don't teach them to ourselves.
[01:07:50.500 --> 01:07:52.640]   - So how to deal with trauma,
[01:07:52.640 --> 01:07:54.560]   that trauma happens, first of all,
[01:07:54.560 --> 01:07:58.380]   that suffering can happen,
[01:07:58.380 --> 01:08:01.420]   and small trauma and big trauma,
[01:08:01.420 --> 01:08:02.660]   all of it can happen,
[01:08:02.660 --> 01:08:05.060]   and there's natural ways to deal with it.
[01:08:05.060 --> 01:08:08.520]   So in the case of trauma, as you write about,
