
[00:00:00.000 --> 00:00:05.000]   But I would not underestimate the difficulty of alignment of models that are actually
[00:23:42.200 --> 00:23:45.960]   See what I mean with the AGI providing more like a base safety net
[00:23:45.960 --> 00:23:49.680]   How much time do you spend thinking about these kinds of things versus just doing the research that?
[00:23:50.320 --> 00:23:53.360]   I do think about those things a fair bit. Yeah, I think it's a very interesting questions
[00:23:53.360 --> 00:23:59.880]   So in what ways have the capabilities we have today in what ways have they surpassed where you expected them to be in 2015?
[00:23:59.880 --> 00:24:03.040]   And in what ways are they still not where you would expect them to be?
[00:24:03.040 --> 00:24:05.360]   by this point I
[00:24:05.360 --> 00:24:10.040]   Mean in fairness, they did surpass what I expected to be in 2015 in today in 2015
[00:24:10.040 --> 00:24:14.160]   I my thinking was a lot more. I just don't want to bet against deep learning
[00:24:14.160 --> 00:24:18.600]   I want to make the biggest possible bet on deep learning don't know how but it will figure it out
[00:24:18.680 --> 00:24:21.200]   But is there any specific way in which it's?
[00:24:21.200 --> 00:24:24.080]   Been more than you expected or less than you expected
[00:24:24.080 --> 00:24:27.160]   like some concrete prediction you had in 2015 that's been
[00:24:27.160 --> 00:24:29.400]   prounced
[00:24:29.400 --> 00:24:36.680]   You know, unfortunately, I don't remember concrete predictions. I made in 2015, but I definitely but I definitely think that overall in
[00:24:36.680 --> 00:24:40.360]   2015 I just want to
[00:24:40.360 --> 00:24:45.320]   Move to make the biggest bet possible on deep learning, but I didn't know exactly
[00:24:45.320 --> 00:24:49.640]   I didn't have a specific idea of how far things will go in seven years
[00:24:49.640 --> 00:24:56.280]   Well, I mean 2015 I did have all these best with people in 2016. Maybe 2017 that things will go really far
[00:24:56.280 --> 00:24:58.320]   but
[00:24:58.320 --> 00:24:59.520]   specifics
[00:24:59.520 --> 00:25:04.120]   So it's like it's both. It's both the case that it surprised me and I was making these
[00:25:04.120 --> 00:25:09.760]   Aggressive predictions, but I think maybe I believe them only only few only 50% on the inside. Uh-huh
[00:25:09.760 --> 00:25:13.280]   Well, what do you believe now that even most people at open AI would find far-fetched? I
[00:25:14.280 --> 00:25:20.120]   Mean, I think that at this because we communicate a lot at open AI people have a pretty good sense of what I think
[00:25:20.120 --> 00:25:25.220]   And so yeah, we reach the point open. I think we see eye to eye and all these questions
[00:25:25.220 --> 00:25:30.820]   So Google has you know, it's custom TPU hardware. It has all this data from all its users, you know, gmail
[00:25:30.820 --> 00:25:35.840]   What and so on it doesn't give it an advantage in terms of training bigger models and better models than you
[00:25:35.840 --> 00:25:41.240]   So I think like when the first at first when the TPU came out, I was really impressed and I thought wow
[00:25:41.240 --> 00:25:44.920]   This is amazing. But that's because I didn't quite understand hardware back then
[00:25:44.920 --> 00:25:51.920]   What really turned out to be the case is that TPUs and GPUs are almost the same thing
[00:25:51.920 --> 00:25:55.620]   They are very very similar. It's like I
[00:25:55.620 --> 00:26:00.680]   Think a GPU chip is a little bit bigger. I think a TPU chip is a little bit smaller
[00:26:00.680 --> 00:26:06.420]   It may be a little bit cheaper, but then they make more GPUs than TPUs. So I think the GPUs might be cheaper after all
[00:26:06.420 --> 00:26:09.560]   but fundamentally you have a big processor and
[00:26:10.480 --> 00:26:14.280]   you have a lot of memory and there is a bottleneck between those two and
[00:26:14.280 --> 00:26:21.360]   The problem that both the TPU and the GPU are trying to solve is that by the amount of time it takes you to move
[00:26:21.360 --> 00:26:27.840]   One floating point from the memory to the processor you can do several hundred floating point operations on the processor
[00:26:27.840 --> 00:26:30.440]   which means that you have to do some kind of batch processing and
[00:26:30.440 --> 00:26:35.200]   In this sense, both of these architectures are the same. So I really feel like
[00:26:35.880 --> 00:26:40.280]   Hardware, like in some sense, the only thing that matters about hardware is cost. Cost per flop
[00:26:40.280 --> 00:26:46.200]   Overall systems cost. Okay, there isn't much that much difference. Well, I actually don't know
[00:26:46.200 --> 00:26:49.280]   I mean, I don't know how much what the TPU costs are
[00:26:49.280 --> 00:26:51.280]   But I would suspect that
[00:26:51.280 --> 00:26:57.400]   Probably not. If anything, probably the TPUs are more expensive because there is less of them. When you're doing your work
[00:26:57.400 --> 00:26:59.680]   How much of the time is spent, you know, configuring
[00:26:59.680 --> 00:27:04.840]   The right initializations, making sure the training run goes well and getting the right hyperparameters
[00:27:04.840 --> 00:27:06.840]   And how much is it just coming up with whole new ideas?
[00:27:06.840 --> 00:27:11.160]   I would say it's a combination, but I think that coming up with... it's a combination
[00:27:11.160 --> 00:27:15.140]   But coming up with whole new ideas is actually not. It's like a
[00:27:15.140 --> 00:27:18.840]   Modest part of the work. Certainly coming up with new ideas is important
[00:27:18.840 --> 00:27:25.520]   But I think even more important is to understand the results, to understand the existing ideas, to understand what's going on
[00:27:25.520 --> 00:27:28.960]   Because normally you'd have these, you know, a neural net is a very complicated system, right?
[00:27:28.960 --> 00:27:33.360]   And you ran it and you get some behavior, which is hard to understand what's going on
[00:27:34.200 --> 00:27:39.720]   Understanding the results, figuring out what next experiment to run. A lot of the time is spent on that
[00:27:39.720 --> 00:27:47.920]   Understanding what could be wrong, what could have caused the neural net to produce a result, which was not expected
[00:27:47.920 --> 00:27:52.480]   I'd say a lot of time is spent as well, of course coming up with new ideas, but not new ideas
[00:27:52.480 --> 00:27:55.440]   I think like, I don't like this
[00:27:55.440 --> 00:28:01.760]   Framing as much. It's not that it's false, but I think the main activity is actually understanding
[00:28:03.080 --> 00:28:05.080]   What do you see as the difference between the two?
[00:28:05.080 --> 00:28:10.480]   So at least in my mind when you say come up with new ideas, I'm like, oh like what happened if it did such-and-such
[00:28:10.480 --> 00:28:16.320]   Whereas understanding it's more like what is this whole thing? You're like, what are the real underlying
[00:28:16.320 --> 00:28:21.480]   Phenomena that are going on? What are the underlying effects? Like why?
[00:28:21.480 --> 00:28:24.360]   Why are we doing things this way and not another way?
[00:28:24.360 --> 00:28:28.880]   And of course, this is very adjacent to what can be described as coming up with ideas
[00:28:28.880 --> 00:28:32.440]   But I think the understanding part is where the real action takes place
[00:28:33.120 --> 00:28:36.560]   Does that describe your entire career? Like if you think back on like ImageNet or something
[00:28:36.560 --> 00:28:38.680]   Was that more a new idea or was that more understanding?
[00:28:38.680 --> 00:28:43.800]   Well, I was definitely understanding, definitely understanding. It was a new understanding of very old things
[00:28:43.800 --> 00:28:46.680]   what is the experience of
[00:28:46.680 --> 00:28:51.800]   Training on Azure been like using Azure? Fantastic. I mean, yeah
[00:28:51.800 --> 00:28:55.120]   I mean Microsoft has been a very very good partner for us and they've really
[00:28:55.120 --> 00:28:57.880]   helped
[00:28:57.880 --> 00:29:02.880]   take Azure and make it bring it to a point where it's really good for ML and
[00:29:02.880 --> 00:29:10.600]   You're super happy with it. How how vulnerable is a whole AI ecosystem to something that might happen in Taiwan?
[00:29:10.600 --> 00:29:15.280]   So let's say there's like a tsunami in Taiwan or something. What happens to AI in general?
[00:29:15.280 --> 00:29:22.760]   Like it's definitely going to be a significant setback. It's not going to like it might be something equivalent to
[00:29:23.520 --> 00:29:26.440]   Like no one will be able to get more more computers for a few years
[00:29:26.440 --> 00:29:29.600]   But I expect computers will spring up like for example
[00:29:29.600 --> 00:29:33.360]   I believe that Intel has fabs just of the previous of like a few generations ago
[00:29:33.360 --> 00:29:39.640]   That means that if Intel wanted to they could produce something GPU like from like four years ago
[00:29:39.640 --> 00:29:43.420]   So yeah, it's not the best. Let's say I'm actually not sure about if
[00:29:43.420 --> 00:29:50.120]   If my statement about Intel is correct, but I do know that there are fabs outside of Taiwan
[00:29:50.240 --> 00:29:54.880]   That is not as good, but you can still use them and still go very far with them. It's just
[00:29:54.880 --> 00:30:00.040]   It just cost it's just a setback. Will inference get cost prohibitive as these models get bigger and bigger?
[00:30:00.040 --> 00:30:05.360]   So I have a different way of looking at this question. Yeah, it's not that inference will become cost prohibitive
[00:30:05.360 --> 00:30:10.480]   Inference of better models will indeed become more expensive
[00:30:10.480 --> 00:30:13.080]   But is it prohibitive?
[00:30:13.080 --> 00:30:15.080]   Well, it depends on how useful is it?
[00:30:15.520 --> 00:30:20.160]   Like if it is more useful than it is expensive, then it is not prohibitive like to give you an analogy
[00:30:20.160 --> 00:30:25.400]   Like suppose you want to talk to a lawyer you have some case you or need some advice or something
[00:30:25.400 --> 00:30:27.800]   You are perfectly happy to spend $500 an hour
[00:30:27.800 --> 00:30:33.600]   Right. So if your neural net could give you like really reliable legal advice
[00:30:33.600 --> 00:30:39.960]   You'd say I'm happy to spend $400 for that advice and suddenly inference becomes very much non-prohibitive
[00:30:40.160 --> 00:30:46.960]   Mm-hmm. The question is is can neural net produce an answer good enough at this cost?
[00:30:46.960 --> 00:30:55.000]   Yes, and you will just have different like price discrimination different. Yeah different models. I mean, it's already the case today
[00:30:55.000 --> 00:30:57.040]   So on our product
[00:30:57.040 --> 00:30:59.280]   the API
[00:30:59.280 --> 00:31:06.440]   We serve multiple neural nets of different sizes and different customers use different neural nets of different sizes depending on their use case
[00:31:07.040 --> 00:31:12.800]   Like if someone can take a small model and fine-tune it and get something that's satisfactory for them. They'll use that
[00:31:12.800 --> 00:31:17.440]   Yeah, but if someone wants to do something more complicated and more interesting, there is the biggest model
[00:31:17.440 --> 00:31:21.120]   How do you prevent these models from just becoming commodities where these different companies?
[00:31:21.120 --> 00:31:25.240]   Just they just bid each other's prices down until it's basically the cost of the GPU run
[00:31:25.240 --> 00:31:30.320]   Yeah, I think I think there is without question a force that's trying to create that and the answer is you got to keep on
[00:31:30.320 --> 00:31:32.520]   Making progress you got to keep improving the models
[00:31:32.520 --> 00:31:37.480]   You got to keep on coming up with new ideas and making our models better and more reliable
[00:31:37.480 --> 00:31:40.800]   More trustworthy so you can trust their answers
[00:31:40.800 --> 00:31:45.160]   All those things. Yeah, but let's say it's like 2025 and
[00:31:45.160 --> 00:31:49.640]   The model from 2024 or somebody just offering it at cost and it's like still pretty good
[00:31:49.640 --> 00:31:56.000]   Why would people use a new one from 2025 if the one from just a year older is, you know, even better?
[00:31:56.000 --> 00:31:59.840]   So there are several answers there for some use cases that may be true
[00:32:00.040 --> 00:32:04.440]   There will be a new model from 2025 which will be driving the more interesting use cases
[00:32:04.440 --> 00:32:09.800]   There's also going to be a question of inference cost like you can if you can do research to serve the same model at less
[00:32:09.800 --> 00:32:17.240]   Cost so there will be different the same model will be served will cost different amounts to serve
[00:32:17.240 --> 00:32:23.040]   For different companies. I can also imagine some degree of specialization to where some companies may try to
[00:32:23.040 --> 00:32:29.120]   Specialize in some area and be stronger in a narrower area compared to other companies and I think that too may
[00:32:29.800 --> 00:32:31.800]   That may be a response
[00:32:31.800 --> 00:32:38.720]   To commoditization to some degree. As over time do these different companies do their research directions converge or their diverge?
[00:32:38.720 --> 00:32:43.560]   Are they doing similar and similar things over time or are they going off branching off into different areas?
[00:32:43.560 --> 00:32:45.040]   So I'd say in the near term
[00:32:45.040 --> 00:32:51.720]   It looks like there is convergence in the like I expect there's going to be a convergence a divergence convergence behavior
[00:32:51.720 --> 00:32:58.040]   Where there is a lot of convergence on the near-term work. There's going to be some divergence on the longer term work
[00:32:58.240 --> 00:33:03.480]   But then once the longer term work starts to yield fruit, I think there will be convergence again. Got it
[00:33:03.480 --> 00:33:07.520]   When one of them finds the most promising area they everybody just that's right
[00:33:07.520 --> 00:33:13.880]   Now there is obviously less publishing now, so it will take longer before this promising direction gets rediscovered
[00:33:13.880 --> 00:33:15.880]   But that's how I'd imagine it. I think it's going to be
[00:33:15.880 --> 00:33:18.160]   convergence, divergence, convergence
[00:33:18.160 --> 00:33:20.400]   Yeah, we talked about this a little bit in the beginning
[00:33:20.400 --> 00:33:24.640]   But you know as foreign governments learn about how capable these models are
[00:33:24.960 --> 00:33:28.160]   How do you are you worried about spies or some sort of?
[00:33:28.160 --> 00:33:36.520]   Attack to get your weights or you know, somehow abuse these models and learn about them. Yeah, it's definitely something that
[00:33:36.520 --> 00:33:39.880]   You absolutely can't discount that. Yeah, and
[00:33:39.880 --> 00:33:48.080]   Yeah, something that we try to guard against the best of our ability, but it's going to be a problem for everyone who is building this
[00:33:48.080 --> 00:33:50.360]   How do you prevent your weights from leaking?
[00:33:50.360 --> 00:33:53.640]   I mean you have like really good security people and
[00:33:53.640 --> 00:33:58.840]   Like how many people have the if they wanted to just like a stage into the weights a machine
[00:33:58.840 --> 00:34:01.280]   How many people could do that? I mean
[00:34:01.280 --> 00:34:04.240]   Like what I can say is that
[00:34:04.240 --> 00:34:10.800]   The security people that we have the built-in they've done a really good job so that I'm really not worried about the weights being leaked
[00:34:10.800 --> 00:34:15.360]   Okay, got it. What kinds of emergent properties are expecting from these models at this scale?
[00:34:15.360 --> 00:34:18.480]   Is there something that just comes about de novo?
[00:34:19.560 --> 00:34:23.880]   I'm sure things will come. I'm sure really new surprising properties will come up. I would not be surprised
[00:34:23.880 --> 00:34:26.800]   The thing which I'm really excited about or the thing which I'd like to see is
[00:34:26.800 --> 00:34:33.320]   Reliability and controllability. I think that this will be very very important class of emergent properties
[00:34:33.320 --> 00:34:35.320]   If you have reliability and controllability
[00:34:35.320 --> 00:34:41.840]   I think that helps you solve a lot of problems reliability means you can trust the models output controllability means you can control it and
[00:34:41.840 --> 00:34:49.160]   We'll see but it'll be very cool if those emergent properties did exist. Is there somewhere you can predict it in advance?
[00:34:49.680 --> 00:34:52.320]   Like what will happen in this parameter count will have an ever America
[00:34:52.320 --> 00:34:56.640]   I think it's possible to make some predictions about specific specific capabilities
[00:34:56.640 --> 00:35:01.200]   So it's definitely not simple and you can't do it in a super fine-grained way at least today
[00:35:01.200 --> 00:35:04.120]   but I think getting better at that is really important and
[00:35:04.120 --> 00:35:06.760]   anyone who is interested in who has a
[00:35:06.760 --> 00:35:11.080]   Research ideas on how to do that. I think that can be a valuable contribution
[00:35:11.080 --> 00:35:15.280]   How seriously do you take these scaling laws if like there's a paper?
[00:35:15.280 --> 00:35:20.240]   This is like, oh you just increase you need this many orders of magnitude more to get all the reasoning out
[00:35:20.240 --> 00:35:22.800]   Like if you take that seriously, or do you think it breaks down at some point?
[00:35:22.800 --> 00:35:27.160]   well, the thing is that the scaling law tells you what happens as you
[00:35:27.160 --> 00:35:31.680]   What happens to your lock to your next word prediction accuracy, right?
[00:35:31.680 --> 00:35:36.200]   There is a whole separate challenge of linking next word prediction accuracy
[00:35:36.200 --> 00:35:38.800]   to reasoning capability.
[00:35:38.800 --> 00:35:44.600]   I do believe that indeed there is a link but this link is complicated
[00:35:45.120 --> 00:35:48.520]   And you may find that there are other things that can give us more
[00:35:48.520 --> 00:35:51.240]   reasoning per unit effort
[00:35:51.240 --> 00:35:57.520]   Like for example some special like, you know, you mentioned reasoning tokens and I think they can be helpful
[00:35:57.520 --> 00:36:02.160]   It can be there can be probably some things that
[00:36:02.160 --> 00:36:07.600]   You can is this is something you're considering just hiring humans to
[00:36:07.600 --> 00:36:11.600]   Generate tokens for you or is it all gonna come from stuff that already exists out there?
[00:36:11.600 --> 00:36:15.560]   I mean, I think that relying on people to teach our models to do things
[00:36:15.560 --> 00:36:20.960]   Especially, you know to make sure that they are well behaved and they don't produce false things
[00:36:20.960 --> 00:36:23.080]   I think it's an extremely sensible thing to do and
[00:36:23.080 --> 00:36:29.480]   Isn't it odd that we have the data we need at exactly the same time as we have the transformer at the exact same time
[00:36:29.480 --> 00:36:31.280]   that we have these GPUs like
[00:36:31.280 --> 00:36:34.520]   Is it odd to you that all these things happen at the same time or do you not see that way?
[00:36:34.520 --> 00:36:37.760]   I mean, it is definitely an interesting
[00:36:38.360 --> 00:36:41.560]   It is an interesting situation that is the case. I will say that
[00:36:41.560 --> 00:36:46.360]   It is odd and it is less odd on some level. Here's why it's less odd
[00:36:46.360 --> 00:36:55.000]   So what is the driving force behind the fact that the data exists that the GPUs exists that the transformer exists. So
[00:36:55.000 --> 00:36:59.720]   As the data exists because computers became better and cheaper
[00:36:59.720 --> 00:37:05.600]   We've got smaller and smaller transistors and suddenly at some point it became economical for every person to have a personal computer
[00:37:06.000 --> 00:37:08.840]   Once everyone has a personal computer, you really want to connect them with the network
[00:37:08.840 --> 00:37:13.920]   You get the internet. Once you have the internet you have suddenly data appearing in great quantities
[00:37:13.920 --> 00:37:18.720]   The GPUs were improving concurrently because you have more smaller and smaller transistors and you're looking for
[00:37:18.720 --> 00:37:24.800]   Things to do with them. Gaming turned out to be the thing that you could do and then at some point
[00:37:24.800 --> 00:37:29.000]   The gaming GPU and NVIDIA said wait a sec, Brian
[00:37:29.760 --> 00:37:37.120]   May turn it into a general-purpose GPU computer. Maybe someone will find it useful. Turns out it's good for neural nets. So
[00:37:37.120 --> 00:37:41.000]   It could have been the case that maybe
[00:37:41.000 --> 00:37:48.000]   The GPU would have arrived five years later or ten years later if what let's suppose gaming wasn't the thing
[00:37:48.000 --> 00:37:51.160]   It's kind of hard to imagine. What does it mean if gaming isn't a thing?
[00:37:51.160 --> 00:37:59.000]   But it could maybe there was a counterfactual world where GPUs arrived five years after the data or five years before the data
[00:37:59.480 --> 00:38:03.520]   In which case maybe things would move a little bit more. Things would have been as
[00:38:03.520 --> 00:38:06.040]   Ready to go as they are now
[00:38:06.040 --> 00:38:12.720]   But that's the picture which I imagine. All this progress in all these dimensions is very intertwined. It's not a coincidence that
[00:38:12.720 --> 00:38:19.920]   Like you don't get to pick and choose which dimension in which dimensions things improve if you see what I mean
[00:38:19.920 --> 00:38:22.440]   How inevitable is this kind of progress?
[00:38:22.440 --> 00:38:27.120]   So if like let's say you and Geoffrey Hinton and a few other pioneers if they were never born
[00:38:27.400 --> 00:38:31.360]   Does the deep learning revolution happen around the same time? How much does it delay?
[00:38:31.360 --> 00:38:37.280]   I think maybe there would have been some delay maybe like a year delay. It's really hard. It's really hard to tell
[00:38:37.280 --> 00:38:40.640]   I mean, I hesitate to give a lot a lot a longer answer because okay
[00:38:40.640 --> 00:38:44.960]   Well, then you'd have GPUs would keep on improving, right? Then at some point I
[00:38:44.960 --> 00:38:49.720]   Cannot see how someone would not have discovered it. But here's the other thing
[00:38:49.720 --> 00:38:54.840]   If okay, so let's suppose no one has done it. Computers keep getting faster and better
[00:38:55.160 --> 00:38:57.280]   Becomes easy and easy to train these neural nets
[00:38:57.280 --> 00:39:02.440]   Because you have bigger GPUs so it takes less engineering effort to train one
[00:39:02.440 --> 00:39:04.600]   You don't need to optimize your code as much, you know
[00:39:04.600 --> 00:39:06.600]   When the image in a data set came out
[00:39:06.600 --> 00:39:09.880]   It was huge and it was very very difficult to use now
[00:39:09.880 --> 00:39:15.800]   imagine wait for a few years and it becomes very easy to download and people can just tinker so I I would imagine that
[00:39:15.800 --> 00:39:17.760]   like a
[00:39:17.760 --> 00:39:24.680]   Modest number of years maximum. This would be my guess. I hesitate. I hesitate to give it to give a lot a longer answer though
[00:39:25.640 --> 00:39:27.640]   You know, you can't you can't
[00:39:27.640 --> 00:39:29.160]   run
[00:39:29.160 --> 00:39:31.160]   You can't rerun the world. You don't know
[00:39:31.160 --> 00:39:35.160]   Let's go back to alignment for a second as somebody who deeply understands these models
[00:39:35.160 --> 00:39:37.560]   What is your intuition of how hard alignment will be?
[00:39:37.560 --> 00:39:42.200]   Like I think because so here's what I would say. I think with the current level of capabilities
[00:39:42.200 --> 00:39:44.560]   I think we have a pretty good set of ideas of how to align them
[00:39:44.560 --> 00:39:49.880]   but I would not underestimate the difficulty of alignment of models that are actually
[00:39:50.400 --> 00:39:54.660]   Smarter than us of models that are capable of misrepresenting their intentions
[00:39:54.660 --> 00:39:57.720]   like I think I think it's something to
[00:39:57.720 --> 00:40:03.280]   To think it to think about a lot into research. I think this is one area also, by the way, you know
[00:40:03.280 --> 00:40:08.200]   Like oftentimes academic researchers asked me ask me where what's the best place where they can contribute?
[00:40:08.200 --> 00:40:13.120]   And I think alignment research is one place where I think academic researchers can make
[00:40:13.120 --> 00:40:15.080]   very meaningful contributions
[00:40:15.080 --> 00:40:19.520]   Other than that, do you think academia will come up with in weren't insights about actual capabilities?
[00:40:19.520 --> 00:40:23.280]   Or is that gonna be just the companies at this point? The companies will realize the capabilities
[00:40:23.280 --> 00:40:26.640]   I think it's very possible for academic research to come up with those insights
[00:40:26.640 --> 00:40:32.680]   I think it's just it doesn't seem to happen that much for some reason, but I don't I don't think there's anything
[00:40:32.680 --> 00:40:42.920]   Fundamental about academia like it's not like academia can't I think maybe they're just not thinking about the right problems or something because
[00:40:43.600 --> 00:40:47.400]   Maybe it's just easier to see what needs to be done inside these companies
[00:40:47.400 --> 00:40:52.640]   Mmm, I see but there's a possibility that somebody could just realize. Yeah, I totally think so
[00:40:52.640 --> 00:40:57.480]   Like why would I possibly rule this out? You see what I mean? Yeah, what are the concrete steps by which?
[00:40:57.480 --> 00:41:03.840]   These language models start actually impacting the world of atoms and not just the world of bits
[00:41:03.840 --> 00:41:09.840]   Well, you see I don't think that there is a distinction a clean distinction between the world of bits in the world of atoms
[00:41:10.320 --> 00:41:13.480]   suppose the neural net tells you that hey like here is like
[00:41:13.480 --> 00:41:16.560]   Something that you should do and it's going to improve your life
[00:41:16.560 --> 00:41:22.240]   But you need to like rearrange your apartment in a certain way and you go and you rearrange your apartment as a result
[00:41:22.240 --> 00:41:27.280]   If the neural net impact the world of atoms just yeah fair enough fair enough
[00:41:27.280 --> 00:41:31.120]   Do you think it'll take a couple of additional breakthroughs as important as a transformer?
[00:41:31.120 --> 00:41:36.800]   They get to superhuman AI or do you think we basically got the insights in the books somewhere?
[00:41:36.800 --> 00:41:39.040]   And we just need to implement them and connect them
[00:41:39.680 --> 00:41:43.880]   So I don't really see such a big distinction in those two cases and let me explain why
[00:41:43.880 --> 00:41:49.760]   Like I think what's what one of the ways in which progress has taken place in the past
[00:41:49.760 --> 00:41:55.720]   Is that we've understood that something had a property a
[00:41:55.720 --> 00:41:59.920]   Desirable property all along but you didn't realize
[00:41:59.920 --> 00:42:06.500]   So is that a breakthrough you can say yes, it is. Is that an implementation of something on the books also?
[00:42:06.500 --> 00:42:11.920]   Yes, so I am I my feeling is that a few of those are quite likely to happen
[00:42:11.920 --> 00:42:16.240]   But that in hindsight it will not feel like a breakthrough. Everybody's gonna say
[00:42:16.240 --> 00:42:21.440]   Oh, well, of course like it's totally obvious that such and such thing can and work
[00:42:21.440 --> 00:42:26.880]   You see with the transformer the reason it's been brought up as a big as a specific advance is because it's the kind of thing
[00:42:26.880 --> 00:42:31.760]   That was not obvious for almost anyone so people can say yeah, like it's not something which they knew about
[00:42:32.120 --> 00:42:37.080]   But if an advance comes from something like let's consider that as a the most fundamental advance of deep learning
[00:42:37.080 --> 00:42:44.700]   That the big neural network trained with backpropagation and do a lot of things like where's the novelty not in the neural network
[00:42:44.700 --> 00:42:46.940]   It's not in the backpropagation
[00:42:46.940 --> 00:42:54.740]   But then somehow it's the kind of but it was it is most definitely a giant conceptual breakthrough because for the longest time people just
[00:42:54.740 --> 00:42:56.340]   didn't see that
[00:42:56.340 --> 00:43:00.580]   But then now that everyone sees it everyone's gonna say well, of course like it's totally obvious big neural network
[00:43:01.180 --> 00:43:06.140]   Everyone knows that they can do it. What is your opinion of your former advisors new forward-forward algorithm? I
[00:43:06.140 --> 00:43:09.500]   Think that it's an attempt
[00:43:09.500 --> 00:43:11.340]   to
[00:43:11.340 --> 00:43:13.980]   brain and neural network without backpropagation and
[00:43:13.980 --> 00:43:17.340]   I think that this is especially interesting if you are
[00:43:17.340 --> 00:43:22.340]   Motivated to try to understand how the brain might be learning its connections
[00:43:22.340 --> 00:43:26.020]   The reason for that is that as far as I know
[00:43:27.980 --> 00:43:35.860]   Neuroscientists are really convinced that the brain cannot implement backpropagation because the signals in the synapses only move in one direction and
[00:43:35.860 --> 00:43:40.660]   So if you have a neuroscience motivation and you want to say, okay
[00:43:40.660 --> 00:43:46.220]   How can I come up with something that tries to approximate?
[00:43:46.220 --> 00:43:49.620]   approximate the good properties of backpropagation
[00:43:49.620 --> 00:43:54.840]   Without doing backpropagation. That's what the forward-forward algorithm is trying to do
[00:43:55.340 --> 00:44:00.740]   But if you are trying to just engineer a good system, there is no reason to not use backpropagation like
[00:44:00.740 --> 00:44:04.340]   It's it's it's the only algorithm
[00:44:04.340 --> 00:44:09.820]   hmm, I guess I've heard you in different contexts talk about the need like using humans as
[00:44:09.820 --> 00:44:15.020]   You know the existing example case that you know AGI exists, right?
[00:44:15.020 --> 00:44:18.820]   So at what point do you take the metaphor less seriously and feel?
[00:44:18.820 --> 00:44:23.720]   Don't feel the need to pursue it in terms of research because it is important to you as a sort of existence case
[00:44:24.720 --> 00:44:32.400]   Like at what point I stop caring caring about humans as an existence case of intelligence or as the sort of as
[00:44:32.400 --> 00:44:37.200]   Example in the model you want to follow in terms of pursuing intelligence in models
[00:44:37.200 --> 00:44:42.520]   I see. I mean like you gotta I think it's good to be inspired by humans
[00:44:42.520 --> 00:44:43.920]   I think it's good to be inspired by the brain
[00:44:43.920 --> 00:44:48.000]   I think there is an art into being inspired by humans in the brain correctly
[00:44:48.280 --> 00:44:52.720]   because it's very easy to latch on to an non-essential quality of
[00:44:52.720 --> 00:44:59.920]   Humans or of the brain and I think many people who I know who many people whose research is trying to be inspired by humans
[00:44:59.920 --> 00:45:03.240]   And by the brain often gets a little bit specific people get a little bit too
[00:45:03.240 --> 00:45:03.520]   Okay
[00:45:03.520 --> 00:45:06.920]   So like what cognitive science model should follow at the same time?
[00:45:06.920 --> 00:45:13.260]   Consider the idea of the neural network itself the idea of the artificial neuron this too is inspired by the brain
[00:45:13.260 --> 00:45:15.680]   But it turned out to be extremely fruitful
[00:45:15.920 --> 00:45:21.760]   So, how do you do this? You what what behaviors of human beings are essential that you say?
[00:45:21.760 --> 00:45:27.140]   Like this is something that proves to us that it's possible. What is inessential? No, actually, this is like some emergent
[00:45:27.140 --> 00:45:29.880]   phenomenon of something more basic and
[00:45:29.880 --> 00:45:39.560]   We just need to focus on our own on getting our own basics, right I would say I would say that it's like
[00:45:41.920 --> 00:45:48.920]   I think one should one can and should be inspired by human intelligence with care final question
[00:45:48.920 --> 00:45:52.920]   Why is there in your case such a strong correlation between being first?
[00:45:52.920 --> 00:45:58.280]   To the deep learning revolution and still being one of the top researchers you would think that these two things wouldn't be that correlated
[00:45:58.280 --> 00:46:03.920]   But why is that their correlation? I don't think those things are super correlated. Indeed. I feel like in my case. I
[00:46:03.920 --> 00:46:08.500]   Mean, honestly, it's hard to answer the question, you know, I just kept on
[00:46:10.000 --> 00:46:15.660]   Yep, I kept trying really hard and it turned out to have sufficed thus far. All right, so it's a perseverance
[00:46:15.660 --> 00:46:21.680]   I think it's a necessary but not a sufficient condition. Like, you know, many things need to come together in order to
[00:46:21.680 --> 00:46:24.200]   Really figure something out. Mm-hmm
[00:46:24.200 --> 00:46:27.120]   like you need to really go for it and
[00:46:27.120 --> 00:46:30.440]   also need to have the right way of looking at things and
[00:46:30.440 --> 00:46:34.880]   So it's hard. It's hard to give him like a really meaningful answer to this question
[00:46:35.640 --> 00:46:40.280]   Alright, Ilya. It has been a true pleasure. Thank you so much for coming out of Lunar Society
[00:46:40.280 --> 00:46:44.500]   I appreciate you bringing us to the offices. Thank you. Yeah, I really enjoyed it. Thank you very much
[00:46:44.500 --> 00:46:48.400]   Hey everybody. I hope you enjoyed that episode
[00:46:48.400 --> 00:46:55.320]   Just wanted to let you know that in order to help pay for the bills associated with this podcast
[00:46:55.320 --> 00:46:59.200]   I'm turning on paid subscriptions on my cep stack at
[00:47:00.000 --> 00:47:06.080]   Warkesh Patel calm no important content on this podcast will ever be paywalled
[00:47:06.080 --> 00:47:10.320]   So, please don't donate if you have to think twice before buying a cup of coffee
[00:47:10.320 --> 00:47:15.480]   But if you have the means and you have enjoyed this podcast or gotten some kind of value out of it
[00:47:15.480 --> 00:47:21.280]   I would really appreciate your support as always the most helpful thing you can do is to share the podcast
